Rywalizacja szkodzi. Wszystkim
🔗 https://www.youtube.com/watch?v=zbWs55x_ISI

0:  Wyobraźcie sobie następującą sytuację.
1820:  bliskimi nam, dalszymi, które usiłują instrumentalizować rywalizację do tego, żeby nas podporządkować sobie, albo żeby wbić w nas właśnie jakieś fałszywe przekonanie o braku wartości, przy równoczesnym mamieniu nas, że tak, że wszystko jest w porządku, że jesteśmy wartościowi indywidualni, bo jest to największy i najgorszy rodzaj hipokryzji, z jaką mamy do czynienia.
1844:  I nagrałem wam tego vloga przede wszystkim po to, żebyście dostali ten głos ze strony człowieka, który jest w takim środowisku.
1851:  Środowisko akademickie jest środowiskiem rywalizującym.
1855:  10 lat spędziłem na uczelni w atmosferze ciągłej rywalizacji i wyścigu szczurów.
1860:  Mam za sobą te wszystkie doświadczenia i równocześnie nie szukam walidacji z zewnątrz.
1866:  Nie potrzebuję jej.
1868:  Uważam, że każdy feedback, który dostaję, pozytywny, negatywny, to jest opinia do rozważenia, którą się nie przejmuję.
1875:  Po prostu uwzględniam jej istnienie.
1877:  I może za pięć lat, może za siedem lat, może za dwa tygodnie nagle dojdę do wniosku, że kurczę, ten człowiek miał rację.
1885:  Ale zauważcie, jaka to jest różnica.
1888:  Sami dochodzicie w ten sposób do takiego wniosku, a nie ktoś wam powie, jesteś gorszy.
1893:  Boże, jestem gorszy!
1895:  To jest duża różnica, bo w ten sposób wyzyskujecie władzę nad swoim życiem i nad wszystkimi informacjami, które napływają do was z zewnątrz.
1905:  Jest to absolutnie kluczowe do przetrwania w społeczeństwie, które jest tak bardzo kompetytywne jak nasze, że nawet kompetytywność sprzedaje w grach, które mają nam nieść rozrywkę i równocześnie
1918:  kompetentywność przewnika do życia rodzinnego, towarzyskiego i zawodowego i praktycznie wszędzie, gdzie spojrzymy, tam jest jakiś jej przejaw.
1928:  Więc pamiętajcie, że cel do osiągnięcia zawsze dla każdego to powinno być szczęście.
1934:  Szczęście, spokój, spełnienie także naszych ambicji, byleby to były nasze ambicje, a nie ambicje cudze, które zostały przez kogoś zaszczepione.
1943:  Ale celem nie powinna być nigdy rywalizacja, nie powinno być nigdy zwyciężenie w jakimś rankingu, nie powinno być nigdy osiągnięcie pierwszego miejsca, nie powinno być nigdy wreszcie zyskanie lauru dla samego zyskania lauru, bo nawet potem nie będziecie pamiętać, co się z tym wiązało.
1959:  Ale istnieje takie ryzyko, że w momencie, w którym przestaniecie mieć siły fizyczne i psychiczne na osiąganie tych laurów, zostaniecie po prostu z niczym.
1969:  A jak rywalizacja będzie dla was tylko środkiem do osiągnięcia lepszych celów, to jak już nie będziecie mogli rywalizować, zgadnijcie z czym zostaniecie.
1980:  Z celami, które osiągnęliście.
1983:  I tego wam nikt nie odbierze.
1987:  Do następnego.
