MARNA propaganda to wciąż PROPAGANDA (Wiadomości TVP 24.10.2020)
🔗 https://www.youtube.com/watch?v=xTP8CzwEdkY

1:  Dziś na poważnie dwie myśli, które podsuwam wam do zastanowienia się nad nimi.
1826:  Na łóżku wam rzepnę.
1829:  Będzie wzrost zakażeń wtedy.
1831:  Ale nikomu nie mówcie.
1832:  To będzie nasz sekret.
1836:  i później już przez dłuższy czas się nie zatrzymywała.
1842:  Dym w kościołach!
1843:  Dym w kościołach!
1844:  To hasło brzmi wyjątkowo... To nie byłby pierwszy raz, kiedy byłby dym w kościołach, jeżeli sobie przypomnijmy.
1848:  Nie, nie, nie będę żartować skadzielnic, ale umówmy się, że wyciągnięcie akurat tego w tym kontekście to jest klasyczny, znowu, zabieg manipulacyjny.
1861:  Wiecie dlaczego?
1862:  Dlatego, że
1864:  Tu nie ma żadnego związku.
1866:  To jest non sequitur.
1868:  Jaka była poprzednia wiadomość?
1870:  Feministki protestujące w Hiszpanii.
1873:  Dym w kościołach.
1874:  Non sequitur.
1875:  Nie wynika.
1878:  Znaczy, tu nie ma relacji przyczynowo-skutkowych.
1880:  A wiecie dlaczego?
1881:  Dlatego, że ten materiał to nie jest przyczyna i skutek.
1884:  Tylko to jest skutek-przyczyna.
1886:  Jest odwrotna relacja kompletnie.
1888:  Interpretacja my na początku, tezę mamy na końcu.
1892:  Oczywiście ta teza nigdy nie wybrzmiewa, żeby było śmiesznie, no bo to jest materiał propagandowy.
1897:  Teza jest bardzo prosta.
1899:  Wiecie, jaka jest teza?
1902:  Teza jest taka, że feministki prowadzą do zniszczenia katolicyzmu w Polsce.
1908:  To jest teza tego materiału.
1911:  I do zniszczenia rodziny tradycyjnej.
1916:  To jest teza tego materiału.
1918:  I ona nie pada.
1919:  Czyli co?
1920:  Czyli...
1936:  Płonie kościół w Chile, ale u nas jest dym w kościołach, tak?
1941:  Czyli no wiadomo, nie ma dymu bez ognia, prawda?
1944:  Czyli jeżeli w Chile płonie, to u nas jest dym.
1947:  Ale wiecie, jak to się z kolei nazywa?
1949:  No to jest falacja accidentis, to jest błąd uwydatnienia przypadkowego szczegółu.
1955:  I przede wszystkim znowu, no...
1958:  Jedna informacja z drugiej nie wynika, czyli post hoc, ergo pter hoc.
1963:  To, że w Chile jest, były taka, a nie inna sytuacja polityczna, społeczna, która doprowadziła do tego, że płonie Kościół, jeszcze chętnie bym sprawdził tę wiadomość rzeczywiście i zobaczył, tylko ciężko jest to zrobić, jeżeli we wiadomościach nie podają wiadomości, to ciężko mi jest sprawdzić każdy fakt.
1981:  Więc nie wiem, z jakiego powodu ten kościół płonie, ale wiem jedno i to wiem i tego staram się was nauczyć tutaj, że relacja między dym w kościołach, płonący kościół w Chile, dym w kościołach, to jest zbudowanie narracji, która wskazuje na wroga.
1998:  Wroga, który jest wspólnym wrogiem, naszym wrogiem.
2003:  A tego wroga nie ma.
2004:  I na pewno nie był wtedy na ulicach.
2006:  Bo na ulicach byli ludzie.
2008:  To nie byli wrogowie.
2009:  To byli Polacy.
2010:  Ludzie.
2011:  To byli Polacy.
2012:  To nie są nasi wrogowie.
2014:  To są ludzie o odmiennych poglądach politycznych.
2016:  Jeżeli będą chcieli podpalić kościół, to należy ich przyskrzynić.
2020:  Tak samo jak gdyby chcieli podpalić park, żłobek albo szpital.
2025:  Albo prywatny dom.
2026:  Prywatnego posła.
2030:  Wtedy trzeba ludzi przyskrzynić.
2033:  skazać, udowodnić winę, a nie robić relacje i narrację tego rodzaju, która łączy ze sobą coś, co nie jest w relacji przyczynowo-skutkowej, tylko jest w relacji następstwa i akcydentalizmu.
2049:  To jest przypadkowość, że takie dwie rzeczy działy się w tym samym czasie.
2054:  Nie wolno takich rzeczy robić.
2056:  Ja jestem w szoku, że dziennikarze mają czelność iść w tego rodzaju miazmaty retoryczne.
2063:  Bo to już nie są wyziewy ideologicznego, partyjniackiego, agenturalnego uprzedzenia, a nie rzetelne dziennikarstwo.
2073:  I naprawdę nie ma znaczenia, czy to jest zrobione po stronie prawicowej, czy po stronie lewicowej.
2078:  Dziennikarz nie ma prawa czegoś takiego robić.
2080:  Nawet jako publicysta musi uzasadnić.
2083:  Ja się staram uzasadniać zawsze to, co myślę.
2086:  i dawać argumenty konkretne.
2088:  Nazywam, w tym momencie na przykład to robię, mógłbym denerwować się cały czas i przedstawiać swoje poglądy polityczne, nie robię tego.
2094:  Nazywam natomiast mechanizmy retoryczne, które budują narrację,
2099:  powodującą przerażenie krańcowe u mnie, bo ja sobie zdaję sprawę z tego, że jeżeli ktoś, kto nie ma, że nawet pal sześć wyższych tytułów naukowych, ale może nawet nie być magistra i chwała mu za to, będzie świetnym stolarzem, ale siądzie do wiadomości TVP nieuzbrojony w retoryczne mechanizmy służące do dekonstrukcji tego rodzaju narracji propagandowej i co on zrobi?
2122:  To nie będzie jego wina, że on tego nie zrozumie.
2124:  Na lekcjach języka polskiego powinniśmy być uczeni takich rzeczy, a nie cały czas czytać Mickiewicza, Gombrowiczem i odwrotnie.
2130:  Bo jak widać, to do niczego nie prowadzi.
2132:  I niczego ludzi nie uczy.
2134:  A już na pewno ostatnia rzecz, jakiej potrzebujemy w Polsce, to więcej mesjanizmu.
2141:  Dym w kościołach.
2141:  Dalej.
2144:  Kościołach!
2145:  Dym w kościołach!
2146:  Te protesty pokazują, że tam nie ma granic.
2149:  Trzecie medium, nawiasem mówiąc, prawicowe, nie było jeszcze ani jednego medium lewicowego.
2154:  Mieliśmy w sieci i teraz jest w polityce, a wcześniej mieliśmy publicystę obydwu serwisów.
2160:  Straszne dziczenie, jakieś diaboliczne manifestacje, jakieś skrajnie wulgarne działania, które mają zastraszyć społeczeństwo.
2170:  Czyli jeszcze raz, zwróćcie na to uwagę.
2174:  Teraz z kolei liczy się nie treść wyroku i treść protestów, tylko liczy się wyłącznie forma.
2188:  Chyba tego już nie muszę komentować, prawda?
2190:  To znaczy, jeżeli ktoś komentuje wyłącznie formę,
2194:  a nie czyta treści, no to jest dokładnie, to jest znowu błąd uwydatnienia przypadkowego szczegółu.
2202:  I to jest scena, przyleci z nami pilot, jak dwoje ludzi rozmawia i jeden mówi, że ktoś jest chory i trafił do szpitala.
2211:  Na to spada pytanie, ale co to jest?
2214:  No i on odpowiada zamiast, co to jest choroba, a szpital to jest taki duży budynek, w środku są chorzy pomalowane na biało.
2220:  To jest dokładnie to samo, zwrócenie uwagi na formę i pominięcie treści komunikatu, która powinna być w tym wypadku kluczowa.
2225:  Nonsequitur.
2241:  Agresja na demonstracji, Chile, dym w kościołach i chronienie istotek.
2247:  Do czego to jest komentarz?
2248:  Bo ja już się pogubiłem dawno.
2252:  I przede wszystkim, dlaczego jest tak, że z jednej strony mamy profesora, a z drugiej strony mamy...
2258:  No randoma z TikToka, mówiąc brutalnie.
2261:  Czy on ma mnie przekonać do czegoś?
2263:  Bo pani, jak to mawia Food Emperor, o, ładna pani, ładnie mówi.
2268:  Ojej, no to ja jestem przekonany, no to wiadomo, to nie jest tak, że jakiś nalany polityk partii rządzącej
2276:  z wielkim bandziochem, który by się już obchał, nażaruszy się swoich pensji poselskich.
2282:  To nie jest człowiek, który wzbudzi sympatię, prawda?
2286:  Już wiemy też, że profesor nie wzbudzi sympatię, no bo wykształciuchy, prawda?
2289:  I jajogłowi, no to co?
2291:  Jeszcze w dodatku używają bzitkich słów.
2294:  No to ładna pani ładnie mówi.
2298:  No to jest wszystko.
2299:  To ja już nie mam wątpliwości żadnych.
2302:  Marcin Tulicki, Wiadomości.
2305:  I na tym się kończy materiał.
2311:  Czego myśmy się z tego dowiedzieli?
2322:  Wyliczmy fakty.
2324:  Były demonstracje.
2328:  Zapadł wyrok Trybunału Konstytucyjnego.
2332:  Spłonął kościół w Chile.
2335:  Ładna pani nagrała TikToka.
2341:  Aktywiści lewicowi używali wulgaryzmów.
2355:  Czy cokolwiek zostało powiedziane na temat treści wyroku?
2359:  Czy padły komentarze specjalistów dotyczące treści wyroku?
2365:  Czy padł tytuł tego wyroku?
2373:  W innymi sytuacji w Polsce nie jest PiS, nie jest PO, nie jest Razem, nie jest Lewica, nie jest Prawica.
2384:  Są ludzie, którzy służą ideom,
2393:  w sposób urągający ich profesji.
2396:  Politycy, którzy swoimi decyzjami nieodpowiedzialnymi prowadzą do dramatów, urągają
2405:  zaszczytnej funkcji polityka i przedstawiciela społeczeństwa.
2409:  Codziennikarze, którzy manipulują faktami, wykorzystując swoją i tak żenującą z pewnej perspektywy edukację i ciaśniusieńkie horyzonty intelektualne do klasistowskiego wywyższania się nad ludźmi, którzy nawet tej edukacji nie zdołali z różnych względów odebrać i nie są w stanie rozumieć prymitywnych mechanizmów retorycznych, które są tutaj wykorzystane.
2435:  urągają zaszczytnej funkcji dziennikarza, który ma trzymać władzę za rękę, sprawozdawać o rzeczywistości.
2446:  I aktywiści, którzy przesadzają w demonstrowaniu i posuwają się za daleko, podżegając do tego tłum, również urągają.
2462:  zeszczytnej funkcji aktywisty społecznego, który powinien zawsze działać na rzecz dobra.
2470:  Czego nie ma w tej historii?
2472:  Kogo nie ma i kogo brakuje?
2480:  Kobiety.
2483:  I lekarzy.
2486:  Wyciągnijcie z tego wnioski.
