Po co uczyć się na PAMIĘĆ?
🔗 https://www.youtube.com/watch?v=j7qmMBu3oTE

0:  Odkąd tylko pamiętam, niewiele pamiętam.
1636:  że w zasadzie wszystko co zapamiętałem było z tych zajęć, na które poszedłem z chęcią i z radością wyłuskawszy sobie danego prowadzącego, albo z moich własnych studiów, z mojego własnego czytania rzeczy, które mnie akurat podjarały.
1651:  Albo z sytuacji wyreżyserowanych, kiedy wiedziałem, że muszę coś zapamiętać, w związku z powyższym starałem się na przykład uczynić z tego podobne medium jak grę wideo.
1661:  Spytacie jak?
1662:  No bardzo prosto.
1663:  Co jest w grze wideo?
1664:  Obraz, tekst, muzyka i świat.
1669:  Jeżeli zadbacie o te cztery elementy, albo im więcej, tym lepiej oczywiście, tym większa szansa, że uczynicie sobie z sytuacji uczenia się rodzaj gry albo cyfrowego świata.
1680:  Wystarczy po pierwsze zadbać o miejsce, w którym się uczymy.
1682:  Niech ona się Wam kojarzy z tym, czego się uczycie.
1685:  To może być nawet zmiana tapety na pulpicie, wszystko jedno.
1688:  Następnie
1689:  Włączcie muzykę.
1690:  Ja zwykle używałem ambientu albo muzyki mantrycznej po to, żeby się wprowadzić w taki stan trochę odbodźcowania, żeby zapomnieć o świecie, który mnie otacza i równocześnie przez tą powtarzającą się mantrę muzyczną ja wdrażałem się do takiego nudnego i powtarzalnego schematu czytania i w którymś momencie zapominałem, że czytam i jak zapominacie, że czytacie, to jest imersja.
1712:  Czyli dokładnie to samo, co mamy w grze wideo, o wiele szybciej, ponieważ gra wideo bombarduje nas tymi strumieniami komunikacji od samego początku.
1718:  Potem co wdrażacie, skoro macie muzykę, skoro macie obraz, no to zostaje nam ten nieszczęsny tekst.
1725:  I wtedy może się okazać, że przyswoicie go znacznie szybciej.
1728:  Oczywiście nie twierdzę, że ta metoda dla każdego zadziała, są ludzie, którzy nie znoszą mantras, to ludzie, którzy mogą słuchać bez żadnego problemu piosenki w języku angielskim czytając w języku polskim i też będą mieć imersję, a są ludzie, którym wokal będzie przeszkadzał.
1740:  Musicie dostosować to do samych siebie, ponieważ, spoiler alert, i mam nadzieję, że na tym kanale jest to coraz bardziej widoczne i wyraźne,
1748:  Nie ma takich metod nauczania, kształcenia i uczenia się, które są uniwersalne dla wszystkich.
1753:  Zawsze musicie dostosować to do siebie.
1756:  Myślcie egoistycznie o swoim procesie uczenia się i edukacji, jeżeli chcecie rzeczywiście, żeby z wami to zostało na lata.
1763:  Uczcie się wielobodcowo, poznawajcie z różnych szkół.
1766:  źródeł, jedną i tę samą informację, ponieważ w ten sposób nasz mózg nie będzie nudził się powtarzaniem tej samej czynności, czy czytaniem tego samego akapitu, czy przyswajaniem tej samej treści over and over and over again, bo my tego nie znosimy, ale będzie dostawał niby tę samą informację, ale inaczej opakowaną.
1784:  I w ten sposób będzie się cieszył, bo inaczej byśmy się nie cieszyli z każdego nowego filmu superbohaterskiego, który ma dokładnie taką samą strukturę fabularną, ale ma nowe, ładne opakowanie i nasz umysł się cieszy.
1796:  Bo w tym leży cały sekret.
1798:  Musimy się cieszyć, jak się uczymy.
1800:  Bo to jest czynność, która jest bezproduktywna, krótkoterminowo.
1804:  Ona da wam owoce długoterminowe.
1806:  Natomiast to nie jest coś, co wygeneruje natychmiast kapitał.
1809:  To nie jest coś, co da wam natychmiast wyrzut dopaminy, jak właśnie treść w naszych mediach społecznościowych albo jakiejkolwiek elektronice.
1817:  Musicie uczynić tę czynność atrakcyjną dla siebie.
1822:  jak tego nie zrobicie, no to wtedy możecie mieć tylko do siebie pretensje, że zakuliście, zdaliście, ale zapomnieliście.
1831:  Ale jednak mimo wszystko zostaje taki jeden obszar, jak to wszystko zrobimy, pretensji, które możemy mieć do innych.
1837:  To znaczy do społeczeństwa, w którym uważa się, że zapamiętana informacja czyni człowieka wartościowszym.
1842:  Z tego musimy absolutnie zrezygnować i od tego musimy odejść z wielu powodów.
1847:  Po pierwsze, zapamiętana informacja może być zapamiętana niewłaściwie.
1852:  Więc dziennikarz, wykładowca, nie cytujący źródeł, a przywołujący to, co zapamiętał, bardzo możliwe, że wprowadza was nieintencjonalnie nawet w błąd.
1861:  Po drugie, zapamiętana informacja bardzo często jest zredukowana, szczątkowa, niezniuansowana, ponieważ tak zapamiętywać nam jest prościej.
1869:  O wiele prościej jest powiedzieć, o, ten filozof, na przykład zacytowany przeze mnie Bernard Stiegler, powiedział coś, z czym ja się zgadzam, przekazuję Wam dalej.
1879:  Sam nie mówię o filozofie, z którym się nie zgadzam i który mówi coś zupełnie innego.
1886:  Na tym polega właśnie różnica między informacją zapamiętaną i przekazaną, a informacją zniuansowaną, przeczytaną i skonfrontowaną z innymi źródłami.
1895:  Po trzecie, informacja zapamiętana bardzo często ulatnia się i zmienia swój kształt w czasie.
1902:  Zresztą to jest też coś, o czym cały czas mówi Stiegler.
1905:  Te retencje nieszczęsne rozwijają się w czasie.
1909:  Więc jeżeli np.
1910:  macie melodię, którą zapamiętaliście,
1912:  Po pewnym czasie zaczniecie się gubić, nie będziecie pamiętali części tej melodii.
1916:  Ja na przykład wiele razy, jak grałem na fortepianie, nie znosiłem czytać nut, w związku z powyższym uczyłem się na pamięć.
1923:  Znaczy, nie uczyłem się na pamięć, po prostu zagrałem raz utwór i umiałem go powtórzyć.
1927:  Mam pamięć do melodii.
1929:  I odtwarzałem tę melodię i tylko była jedna kluczowa cecha, mianowicie też wchodziła tutaj pamięć mechaniczna, w związku z powyższym ja nie mogłem patrzeć na klawiaturę, bo wtedy dla mnie, do mnie docierało, że ja tego nie umiem, ja nie umiem tego zagrać i się myliłem.
1942:  A tak długo jak długo całkowicie ufałem pamięci mięśniowej i mojej pamięci do muzyki, byłem w stanie odtworzyć nawet rewolucyjną Chopina, grałem z pamięci, tak, mimo że się jej nigdy na pamięć nie uczyłem.
1954:  Indywidualna sprawa bardzo.
1957:  Kolejny punkt, dlaczego zapamiętywanie jakichś informacji może być złe.
1962:  Tutaj bardzo prosty powód.
1964:  Jeżeli coś zapamiętacie, przekażecie dalej i będzie to, tak jak w tym pierwszym punkcie, informacja zła, to wiecie, co się może zdarzyć?
1971:  Może się zdarzyć teoria spiskowa, półprawda, kłamstwo.
1977:  i konflikt.
1978:  Więc zapamiętywanie bardzo często może właśnie prowadzić do tego, że będziemy mieli społeczeństwo spolaryzowane, skonfliktowane, bo różni ludzie będą zapamiętywali różne rzeczy i będą się torpedować informacjami, które nawet nie mają żadnego pokrycia w faktach.
1991:  Więc kultura zapamiętywania musi odejść do lamusa.
1994:  Jeżeli mamy program telewizyjny lub program na YouTubie i ktoś coś przytacza, jakieś badania amerykańskich naukowców, dlaczego to się nie wyświetla z tyłu?
2002:  Tak jak u mnie się wyświetla źródło, które wam analizuję.
2005:  Ojej, bardzo trudne, wcisnąłem przycisk na stream decku.
2008:  Rozumiem, że na przykład dysponujący wielomilionowym budżetem kanał na YouTubie nie jest w stanie zrobić tego samego, prawda?
2014:  Nawet jeżeli zaprowadzącym jest kilkusetcalowy ekran.
2019:  Bo nie, nawet nikt na to nie wpadnie z tego względu, że nie mamy kultury wypracowanej sięgania do źródła, tylko mamy kulturę zapamiętywania i następnie wyśmiewania się z ludzi, którzy pamiętają mniej niż my.
2031:  Tak są projektowane gry wideo pod ludzi, którzy zapamiętują rzeczy.
2034:  I następnie patrzy się z wyższością na kogoś, kto potrzebuje samouczka, ponieważ nie pamięta sekwencji wydarzeń i nie wie, co ma zrobić.
2041:  I jest zagubiony.
2044:  Tak wreszcie projektowane bardzo często są różne systemy, które nas otaczają, zakładające, że musimy coś zapamiętać, mimo że jedna z pokazujących się tutaj Wam heurystyk Nielsena mówi wyraźnie, że nie można zakładać, że użytkownik będzie wszystko pamiętał, ponieważ interfejsy, które nas otaczają, służą właśnie do tego, żeby nas wspomagać, a nie żeby nam utrudniać życie.
2067:  Więc chociaż może się to wydawać, o czym dzisiaj sobie powiedzieliśmy, bardzo filozoficzne i oderwane od rzeczywistości w rzeczywistości, wpływa na nas absolutnie wszystkich i utrudnia życie ludziom, którzy po prostu nie zapamiętują, albo zapamiętują inne rzeczy i inaczej, albo w ogóle mają inny sposób podchodzenia do informacji, ich akumulacji, przepływu i zapisu.
2090:  Krótko mówiąc, moja...
2092:  Nie chcę powiedzieć, że to jest jakiś technoentuzjazm czy technooptymizm, ale moja skłonność do tego, żeby pokazywać dobre strony mediów społecznościowych, gier wideo, technologii, nie bierze się z hurra optymizmu i z zaślepienia, tylko z tego, że czytałem wielu ludzi, wielu filozofów, którzy pokazywali
2112:  W jaki sposób powinno nasze społeczeństwo i nasza cywilizacja ewoluować w wyniku tych wynalazków?
2119:  Tak jak wyewoluowały systemy produkcji po wynalezieniu manufaktury, fabryk, produkcji taśmowej, tak samo my musimy wyewoluować
2128:  Jeżeli chodzi o abstrakcyjne procesy utoczenia się w wyniku tak gigantycznej ekspozycji na nowe media, na internet, na źródła błyskawicznego i szybkiego dostępu.
2140:  Tak długo, jak długo będziecie uczyć się metodami XIX-wiecznymi, a potem będziecie trafiali, odetchnąwszy z ulgą, do świata XXI-wiecznego, który będzie was bombardował bodźcami, tak długo się nic nie nauczycie.
2153:  I nie zazdroszczę nikomu, kto urodził się w czasach cyfrowych, w odróżnieniu ode mnie, człowieka urodzonego w czasach analogowych, który miał szansę i czas na to, żeby się zaaklimatyzować z nowymi technologiami, więc nie zazdroszczę nowym pokoleniom tego, że muszą żyć w tych dwóch rzeczywistościach, XIX wiecznej i XXI wiecznej.
2171:  Bo ja szczerze powiedziawszy nie mam zielonego pojęcia, ja bym sobie poradził,
2175:  Bez tej wiedzy, którą dzisiaj starałem się wam w miarę przystępny, mam nadzieję, sposób przekazać.
2180:  A zatem, jeżeli boicie się tego, co robią z wami media społecznościowe, co robią z wami smartfony, co robi z wami internet, gry wideo, seriale, filmy i inne oddziałujące na nas wieloma strumieniami komunikacji i wielobodźcowo media, zastanówcie się nad tym, co tak naprawdę was pociąga,
2201:  w tych konkretnych mediach, co sprawia, że jesteście przykuci do ekranów i spróbujcie zreprodukować to i zastosować w procesie uczenia się.
2211:  Ja to zrobiłem i jestem w stanie funkcjonować w tym społeczeństwie, w którym funkcjonuję, mimo że mam pamięć złotej rybki, a w zasadzie mógłbym zawstydzić złotą rybkę swoją niepamięcią.
2221:  No, mógłbym nawet Toma Cruza zawstydzić swoją niepamięcią, polecam wam swoją drogą ten film.
2226:  A jeżeli to zrobicie, jeżeli to się uda, to być może będziecie w stanie osiągnąć o wiele, wiele więcej, paradoksalnie, niż wielcy profesorowie, którzy przyszli przed wami i którzy mieli niesamowitą encyklopedyczną wiedzę, która jednak w którymś momencie się ulotniła i być może uniemożliwiała im osiągnięcie wspaniałych rzeczy i sięgnięcie prawdziwych gwiazd.
2251:  Do następnego.
