Musimy porozmawiać o odpoczynku
🔗 https://www.youtube.com/watch?v=iQMPYRA2ggA

0:  Na tapczanie siedzi leń, nic nie robi cały dzień.
1757:  Ja wiem, że potrzebuję odpoczynku kreatywnego i sensorycznego.
1761:  To są te aspekty, których najbardziej mi brakuje.
1764:  Wszystkie inne w swoim życiu zaadresowałem.
1767:  Jak jeszcze jesteście nieprzekonani co do tego faktu, też podlinkuję w opisie ten artykuł, który właśnie szczegółowo opisuje ten aspekt związany z tym, że
1782:  W momencie, w którym wydaje nam się, że się lenimy i jesteśmy gnośni, to tak naprawdę się regenerujemy.
1787:  I tutaj są streszczone badania naukowe prowadzone przez psychologów na dużych grupach społecznych, także z wykorzystaniem neuroobrazowania i mapowania aktywności naszego mózgu,
1800:  które to badania bardzo jednoznacznie pokazują na to, że sen to nie jest coś, z czego powinniśmy rezygnować, że odpoczynek we wszystkich jego postaciach to nie jest coś, z czego powinniśmy rezygnować, że aktywność fizyczna to nie jest coś, z czego powinniśmy rezygnować, ponieważ wszystkie te trzy elementy mają jedną cechę wspólną.
1822:  Właśnie aktywowanie tego default mode network.
1827:  I
1828:  To jest clue całej sprawy.
1830:  Jeżeli nauczymy się takiej aktywacji, właśnie tego obszaru mózgu, to wtedy jest szansa, że będzie lepiej.
1838:  To jest właśnie ten stan spoczynkowy, o którym Wam mówiłem wcześniej.
1842:  Jeżeli nauczymy się, że to nie jest nic złego, że leżenie na kanapie nie jest niczym złym, ponieważ jest wtedy szansa, że coś wymyślimy, to jest wtedy dla nas jakaś szansa.
1852:  No i teraz mogę powiedzieć ze swojego doświadczenia, jak to działa.
1857:  W ciągu tygodnia parędziesiąt godzin.
1860:  Nie przesadzam w tym momencie, to jest mój odpoczynek.
1862:  Oczywiście duża część mojej pracy to jest mój odpoczynek i jestem pod tym względem uprzywilejowany i szczęśliwy.
1869:  Ale wtedy, kiedy studiowałem to, czego jak się okazało później kompletnie nie potrzebowałem, co mnie frustrowało, doprowadzało do fiksacji z nerwów.
1879:  Wtedy, gdy uczyłem się w szkole i doznawałem dokładnie takich samych stanów psychicznych i lękowych,
1886:  Wtedy dbałem o te 2-3 godziny codziennie odpoczynku w miarę możliwości.
1892:  Oczywiście, że kosztem pracy.
1895:  Bo na tym polega właśnie piękno odpoczynku, że on jest kosztem pracy.
1900:  I nie możemy myśleć o tym, jak odpoczywamy, że musimy pracować, bo wtedy nie odpoczniemy, choćbyśmy nie wiem, co robili.
1908:  Dlatego zawsze polecam na początek, jeżeli ktoś chce się uczyć odpoczywać, eskapizm, ucieczka.
1914:  Robiłem raz film na tym kanale o tym, dlaczego eskapizm jest dobry.
1917:  Postaram się tutaj gdzieś go podlinkować.
1919:  Ale eskapizm w tym konkretnym znaczeniu jest przede wszystkim dobry dlatego, że uczy nas zanurzenia, uczy nas podejścia do dzieł kultury, które nie jest intelektualistyczne, nie angażuje nas, żeby koncentrujemy się, żeby zanalizować to wybitne dzieło kultury, tylko zanurzamy się.
1938:  Odpływamy i oglądamy, jak obcy strzelają laserami, albo oglądamy Hercule Poirot rozwiązującego zagadki, albo oglądamy kolejne morderstwa popełniane przez Dextera.
1951:  Wszystko jedno.
1953:  Możemy grać w gry wideo, możemy malować figurki warhammerowskie.
1958:  Wszystko jedno.
1959:  Możemy czytać książki, tylko byleby takie, które faktycznie dają nam eskapizm, a nie znowu przedłużają intelektualistyczny namysł nad rzeczywistością.
1968:  Wszystko jedno.
1970:  Byleby było to dopasowane do naszych indywidualnych potrzeb i byleby dawało nam faktycznie wytchnienie.
1976:  Nie podoba się wam jakaś książka.
1979:  Po jednej stronie zamknijcie.
1981:  Nie podoba się wam serial po jednym odcinku?
1984:  Po co?
1984:  Nie podoba się wam film, który zaczęliście oglądać?
1987:  Przerwijcie.
1988:  Jest mnóstwo alternatyw.
1990:  Żyjemy w czasach, które oferują bezprecedensową liczbę różnych aktywności wypoczynkowych i bezprecedensowo wysoką liczbę mediów, które właśnie nas w taki imersywny sposób angażują, które nas wciągają, które dają nam emocje.
2007:  To jest coś, z czego powinniśmy korzystać, bo ludzie wcześniej nie byli tak uprzywilejowani, bo nie było takiego dostępu do kultury.
2016:  I faktycznie można było wyłącznie siedzieć sobie jak u wchłopna między i bać się, że nas południca zacznie napadać i oczywiście przez to się nam zburzy dzień pracy, który jest taki istotny.
2030:  Cieszmy się z tego przywileju, który mamy, ale równocześnie też nie popadajmy w paranoję, że ponieważ czasy są takie, jakie są i ponieważ jest tak dużo różnych okazji do wypoczynku, to musimy wyłącznie uczyć się, w jaki sposób gospodarować sobie czasem pracy.
2047:  Nie mówię, że gospodarowanie czasem pracy jest złym pomysłem.
2050:  Wręcz przeciwnie, jest bardzo dobrym.
2052:  Tylko, że to jest 50%.
2053:  Pozostałe 50% wasze powinno być gospodarowaniem czasu wypoczynku.
2060:  Zastosujmy więc może wszystkie te techniki, których nas uczą coachowie o produktywności, o motywacji do odpoczynku.
2071:  Zastanówmy się, jak produktywnie odpoczywać, zastanówmy się, jak motywować się do tego, żeby w sposób, który nie będzie urągał naszej wolności i swobodzie,
2082:  Zachęcić samego siebie do odpoczywania i nie mieć potem do siebie o to pretensji, bo w momencie, w którym będziecie mieć do siebie pretensje, dwie godziny odpoczywania, ile ja mogłem wtedy zrobić?
2094:  Zadajcie sobie inne pytanie.
2096:  Odwróćcie sytuację.
2097:  Dwie godziny zmarnowałem na pracy albo nauce, albo koncentracji.
2101:  Ile ja mogłem wtedy zregenerować połączeń neuronalnych w mózgu?
2105:  Bo tak, do tego między innymi jest sen.
2107:  Ile ja mogłem wtedy zregenerować sił w swoim ciele, energii do pracy?
2115:  To nie jest coś, co zdobędziecie w ten sposób.
2118:  A nauczyć nowej rzeczy możecie się w ten sposób.
2122:  Tylko trzeba być wypoczętym do tego.
2126:  I ja osobiście za każdym razem, jak mam, a wierzcie mi, mam bardzo często, dół kreatywny.
2133:  Nie wiem, co wymyślić.
2135:  Nie mam zielonego pojęcia, za co się zabrać.
2138:  Siadam jak ten leń na tapczanie i odpoczywam.
2143:  Albo idę na spacer i odpoczywam.
2146:  Albo idę na basen i zażywam ruchu.
2149:  I we wszystkich tych trzech przypadkach dostaje mój organizm to, czego tak bardzo potrzebuje, energię.
2155:  I w ten sposób nie lecę przez cały czas na deficycie energetycznym i nie muszę uzupełniać tego deficytu energetycznego metaforycznymi energetykami.
2163:  Bo tym energetykiem może być zarówno faktyczny energetyk, który sobie popijamy, albo kofeina, czy inne używki, ale tym energetykiem może być też drugi człowiek, którego będziemy zaprzęgać do tego, żeby nas ratował od marazmu, w który popadamy.
2179:  i z którego będziemy wysysać jego siły energetyczne.
2182:  Tym energetykiem może być jakaś inne uzależnienie, w które popadniemy i które będzie nam dawało to, czego nasz organizm potrzebuje, czyli zastrzyki dopaminowe.
2193:  Tym energetykiem może być wreszcie pracoholizm, o którym staram się Wam na tym kanale coraz częściej mówić,
2202:  bo on też powoduje te wyrzuty dopaminowe w momencie, w którym nauczymy się, że nic innego nie jest lepsze w rzeczywistości niż osiąganie kolejnych skupków awansów i zarabianie pieniędzy.
2213:  Tylko, że w tym wszystkim możemy zgubić samego siebie i dotarcie do siebie samego jest trudne i możecie to zrobić tylko i wyłącznie w jednym momencie, kiedy wejrzycie w siebie, a do tego potrzeba, żeby wszystkie te bodźce, które są na zewnątrz,
2231:  zaczęły zanikać.
2233:  Więc moja ostatnia rada, którą mam dla Was, to zastanowienie się nad czasem, który poświęcacie na wypoczynek, tak samo serio, jak zastanawiacie się nad karierą, nad wyborem studiów, nad egzaminem,
2249:  nad remontem mieszkania, nad organizacją wesela.
2255:  Tak samo podejdźcie do organizacji swojego wypoczynku.
2258:  Zastanówcie się, czy faktycznie ma sens uwalanie się przed przysłowiowym Netflixem i oglądanie byle czego.
2264:  Netflix wprowadził nawet taką opcję.
2268:  Odtwórz randomowy serial.
2271:  Popyt podasz.
2273:  Jest popyt na tego rodzaju usługę.
2276:  Więc jeżeli już się pojawiają tego rodzaju rozwiązania, jeżeli wszyscy przyzwyczajają się do tego, że poszukujemy czegokolwiek, byleby się tylko oderwać, to to jest ostatni dzwonek alarmowy, żeby coś zrobić z tym naszym wypoczynkiem i jakoś zacząć się starać go organizować.
2293:  I to jest powód, dla którego...
2295:  Coraz częściej na streamach, na live'ach żegnam się ze społecznością słowami, znajdźcie czas na odpoczynek.
2302:  To jest powód, dla którego ze studentami żegnam się słowami, znajdźcie czas na odpoczynek.
2308:  I to jest powód, dla którego sam za każdym razem, jak kończę dzień pracy, mówię do samego, teraz czas na odpoczynek.
2316:  I staram się, żeby za każdym razem był on zróżnicowany.
2319:  Mam nadzieję, że Wam ten odcinek trochę pomoże w organizacji właśnie tego samego i gorąco, gorąco do tego zachęcam, bo mnie to uratowało przed popadnięciem w poważny marazm.
2333:  Do następnego.
