Jak walczyć z wypaleniem
🔗 https://www.youtube.com/watch?v=rvnoWRo1gno

0:  Mawia się, że najcenniejszą z walut jest czas.
1735:  I tu nie ma żadnego złotego ośrodka, złotego wzorca, nie ma żadnej łatwej odpowiedzi na pytanie, co zrobić, żeby znaleźć sobie motywację, co zrobić, żeby znaleźć sobie żar twórczy.
1746:  I też niech was nie zwodzi to, że ja naenergetyzowany opowiadam wam o pewnych rzeczach.
1753:  Oczywiście, że ja się bez przerwy wypalam.
1755:  Oczywiście, że mam w sobie myśli, że o, chociażby rok temu nakręciłem dla nas film, z którego jestem osobiście dumny, zwolnij.
1762:  Bo też był taki dość emocjonalny, wzięty z mojego doświadczenia.
1766:  I myślałem sobie, czy nagrać dzisiejszy, bo przecież może nie będzie tak dobry jak tamten.
1771:  To jest naturalne, my tak myślimy i to nas blokuje, należy to przezwyciężyć i iść do przodu.
1777:  Bo nigdy nie wiecie, czy kolejna rzecz, którą zrobicie po tym...
1781:  nie będzie np.
1782:  tą, do której się zmotywowaliście, robiąc coś może dobrego, może przeciętnego, może niewybitnego, ale coś.
1790:  Coś, co zrobiliście.
1793:  I ta świadomość, że coś zrobiliście, jest potężna, bo potem sięgacie w pamięcią do tego dnia i myślicie sobie, nie no, nie było weny, nie było kreatywności w sumie, nie chciało mi się, ale się udało, to skoro dzisiaj się lepiej czuję, to może zrobię jeszcze więcej.
1809:  A może nie?
1811:  Trudno.
1813:  To jest tylko praca.
1815:  To jest tylko twórczość.
1817:  Nic więcej.
1818:  Myślę, że osoby kreatywne, choć bardzo często mówią o problemach związanych z wypaleniem, prawda taka, nie różnią się w ogóle od osób normalnie zapracowanych.
1829:  Każdy w każdym zawodzie potrzebuje kreatywności, pasji, siły i energii.
1834:  Każdy.
1835:  Więc jedyne, co możemy zrobić, to wszystko, żeby tej energii w 100% nie tracić.
1841:  Nawet w przypadku ładowania telefonu mówi się o tym, żeby nie wyczerpywać tej baterii do zera.
1846:  Z jakiegoś powodu.
1848:  Nie wyczerpujmy swojej bateryjki do zera.
1851:  Zaczynajmy ją ładować z powrotem, jak osiągnie te 30-25%.
1854:  Zauważcie, że jak patrzymy na telefon i jest tam te 20%, no to nie mamy takiego poczucia o...
1862:  Co tam?
1863:  Zostawiam powerbanka w domu, zostawiam zasilacz, jolo, żyję się raz, idę z telefonem na najbliższe 12 godzin.
1870:  A i najlepiej gdzieś wyjadę jeszcze, być może do Włoch, gdzie jest bilet.
1874:  No nie zrobimy czegoś takiego z tego względu, że byłoby to irracjonalne, bo jest już w nas taki lęk, taki opór, że na to się rozładuje.
1882:  Dlaczego nie mamy takiego oporu w stosunku do samych siebie?
1885:  My się też rozładowujemy, rzekłbym szybciej i rzekłbym również, o wiele trudniej nam się na powrót naładować.
1893:  Więc baczmy na tym naszym manometrze, termometrze, czy jakkolwiek to nazwiemy, naszej kreatywności, naszego żaru.
1903:  Gdzie dosięgamy tych 30-20%.
1907:  Bo może się okazać, że to jest nasze zero, tak?
1911:  Więc lepiej mieć ten bufor zawsze, nawet jeżeli byście się mieli oszukiwać, że nie, no jeszcze dam radę te trzy godziny.
1918:  Oszukaj się, powiedz, że to jest koniec, że to jest już twoje zero, że nie ma tam żadnych rezerw, bo te rezerwy ci się mogą potem przydać.
1927:  To jest coś, czego ja się dowiedziałem, rozmawiając sam z sobą i rozważając to, co osiągnąłem, co mogłem osiągnąć i jak się czuję obecnie fizycznie, psychicznie,
1941:  I to jest może coś, co tobie pomoże.
1943:  Nie mam zielonego pojęcia.
1944:  I może wam pomoże.
1945:  Może to nie jest tylko ta jedna osoba, do której mówię.
1948:  Może paru osobom to pomoże.
1950:  Nie mam zielonego pojęcia, ale wiem jedno.
1951:  To znaczy, o tym trzeba mówić.
1953:  Bo my w Polsce jesteśmy, i to jest absolutnie inaczej, a co ta narodowa i przekleństwo jednocześnie, nieprawdopodobnie pracowici.
1961:  Ale ta nieprawdopodobna pracowitość ma swoje mroczne oblicze.
1966:  To znaczy pracoholizm.
1970:  I o tym już nie mówimy.
1971:  Znaczy nie mówimy o tym, że w którymś momencie przestajemy mieć siłę, bo to wiecie, o tym się nie rozmawia.
1977:  Rozmawiamy o sukcesach, nie rozmawiamy o porażkach.
1980:  I chowamy głęboko świadomość tego, że coś nam nie wyszło, no bo przecież trzeba się pokazać przed innymi i trzeba powiedzieć, że wszystko jest w porządku i że wszystko jest idealnie.
1991:  No ale prawda jest taka, że takie ciągłe kumulowanie w sobie tej niechęci do samego siebie w gruncie rzeczy może się tylko źle skończyć.
1999:  i kumulowanie również w sobie jakichkolwiek innych uczuć, negatywnych, także zmęczenia, zasypywanie tego, zamiatanie pod dywan i udawanie, że to nie istnieje, to to nie działa.
2014:  Działa przez pewien czas, krótkotrwalowo.
2016:  Dokładnie tak samo działa, moi drodzy, jak te krótkie zastrzyki dopaminowe, które mamy od scrollowania mediów społecznościowych albo dostania szósteczki w szkole.
2023:  To jest zastrzyk dopaminowy, który ci wystarczy na...
2027:  5 godzin, 6 godzin, a my tutaj mówimy o zastrzykach dopaminowych, które wystarczą Wam na 5 lat.
2034:  Ja nie żartuję w tym momencie, bo świadomość, wewnętrzna świadomość własnego sukcesu, to jest coś, na czym możecie ugrać pół życia.
2045:  I za każdym razem, kiedy będziecie osiągali jakieś dno kreatywne, zostanie z wami ta świadomość, to jest naturalne, mają to wszyscy, dzieje się tak zawsze, nieważne kiedy się to skończy, w którymś momencie się skończy, ale nie możemy o tym myśleć, że to trwa.
2060:  Musimy po prostu iść w zgodzie ze flow swoim.
2064:  I być może trafimy na taki moment w naszym życiu, że to się wszystko nagle odblokuje.
2070:  Być może.
2071:  Być może będziemy potrzebowali pomocy.
2072:  Nie ignorujcie nigdy pomocy, którą oferują wam inni ludzie.
2076:  Ja zignorowałem, no i żałuję.
2079:  Nie powinienem był tego zrobić.
2080:  Powinienem był pracować na te 75%.
2082:  Osiągnąłbym dokładnie to samo, co teraz.
2087:  Po prostu nie byłoby tego tak dużo.
2089:  I tyle.
2090:  Ale ja miałem sam świadomość, że niektóre z tekstów, które pisałem, były poniżej moich możliwości.
2098:  Po prostu były napisane, żeby były napisane.
2100:  Żeby zyskać kolejne punkciki do stypendium.
2104:  Ja to wiedziałem.
2106:  Więc gdybym odpuścił wtedy, tak, może bym jednego roku nie dostał stypendium, może trzeba byłoby wtedy wziąć więcej zleceń, jasna sprawa, może bym wtedy zdyskał doświadczenia zawodowe inne, może by łatwiej mi przyszło niektóre rzeczy robić dzisiaj.
2120:  Nie wiemy tego.
2123:  A nie wiemy tego dlatego, że ze sobą nie rozmawiamy.
2128:  Mam nadzieję, że będziemy jeszcze żyć w czasach, w tym się też przejawia mój optymizm technologiczny, kiedy zwycięży ten rachunek ekonomiczny, który w tym momencie działa na naszą niekorzyść, bo ludzka praca wbrew pozorom wciąż jest tania, wciąż firmy pozyskują tanią siłę roboczą, nieetycznie, z rynków rozwijających się i wciąż napędzają gospodarkę siłą ludzkiej energii życiowej.
2158:  Brzmi absolutnie przerażająco.
2161:  Ale ja liczę, że w ramiarę rozwoju technologicznego, oby jak najszybszego, kiedy będą przejmować od nas pracę maszyny, to nie będziemy dyskutować wyłącznie na temat tego, że o Boże tracimy miejsca pracy, tylko będziemy się cieszyć z tego, że zyskujemy nowe miejsca pracy, które są kreatywne i które nie wymagają od nas żmudności, która zabija ten ogień i dusi go w zarodku.
2190:  Jeżeli tego nie będzie, to podejrzewam, że długo nie będziemy w stanie zajechać na tym, co nam oferuje obecny system, przystosowany do kształtowania XIX-wiecznego fabrykanta pruskiego, który pracuje w szychcie 8-16.
2205:  i ledwo wiąże koniec z końcem.
2207:  Znaczy tak się nie da w nieskończoność funkcjonować.
2211:  I myślę, że dużo ludzi to rozumie i stąd taka nas potrzeba, żeby o tym dyskutować, żeby chodzić na terapię, żeby rozmawiać o tych problemach i przestać wreszcie porównywać się z pokoleniami, które żyły w zupełnie innych czasach, które miały zupełnie inne bodźce i na zupełnie inne ryzyka i zagrożenia były wystawiane.
2231:  Tak, bardzo często to były jeszcze gorsze rzeczy niż te, które są dzisiaj, a czasem były o wiele, wiele prostsze.
2237:  W każdym razie to były inne czasy i nie da się ich porównać z obecnymi.
2241:  Nie ma podstawy porównania.
2243:  Jedyne zatem, co można robić, zamiast patrzeć w przeszłość, to patrzeć w przyszłość i czerpać z tego maksimum inspiracji kreatywnej, zastanawiać się nad tym, co przyniesie są kolejne dni i jak my będziemy mogli na to wywrzeć jakikolwiek wpływ.
2258:  W każdym razie to jest coś, co mnie napędza.
2261:  Świadomość, że warto pracować na rzecz jutra, a nie tego, co było wczoraj, a już na pewno nie na rzecz jakichś błahych rzeczy w rodzaju cyfry na koncie.
2271:  To jest coś, co wam daje tak krótkotrwałe zastrzyki jakiejś radości, szczęścia.
2278:  W ogóle szkoda o to walczyć.
2282:  W zaginionym traktacie o szczęściu, przeczytałem to w książce Tatarkiewicza o szczęściu, podlinkuję wam też w opisie, Demokryt Zabdery podobno rozróżniał dwa stany nasze.
2295:  Niestety traktat jest zaginiony, więc do źródła nie możemy sięgnąć.
2298:  Mianowicie szczęśliwość i szczęście.
2301:  Eufemia eusto.
2303:  I szczęśliwość dla niego była czymś, co jest, no tak od, tak?
2309:  Zdarza się, że możemy to po prostu poczuć.
2312:  Bo zobaczyliśmy, nie wiem, jakiś łakoć na wystawie, wleźliśmy do cukierni, wpałaszowaliśmy łakoć i było fajnie przez 15 minut.
2323:  Ale to nie jest szczęście.
2325:  Być może szczęściem byłoby to, gdybyśmy patrzyli sobie na tę wystawę i stwierdzili, za 15 lat chcę mieć taką cukiernię.
2333:  Założyli ją.
2334:  Może byście nie zarabiali kroci, ale bylibyście, no właśnie, szczęśliwi, bo zrealizowaliście jakieś swoje kreatywne marzenie.
2342:  Na tym polega ta różnica między tymi dwoma stanami.
2344:  Moim zdaniem warto walczyć tylko o ten drugi.
2346:  Jest to właśnie główny powód, dla którego sprzeciwiam się wobec takich prostackich metod gratyfikacji typu oceny, punkty itd., które nic nam nie dają, w niczym nie pomagają w naszym rozwoju i nie są żadną informacją zwrotną.
2361:  A w każdym razie na pewno nie służą nam jako słowo pomocne w odnalezieniu kolejnego ogniska, które się tli na horyzoncie, tak jak w grach Dark Souls, które przy wszystkich swoich dziwnych rozwiązaniach designerskich, przy wszystkich swoich wadach i przy całym swoim poziomie trudności, mówią jedną przemądrą rzecz, że nawet w świecie, który jest upadły, postapokaliptyczny, który chyli się ku upadkowi, wciąż jest ktoś, kto może rozniecić ognisko.
2391:  I naszą rolą, myślę, jako społeczeństwa jest to, żebyśmy zadbali o to, żeby tych ludzi, mogących rozniecać ogniska, było jak najwięcej.
2400:  I żebyśmy w ich gronie znaleźli się również my.
2404:  Do następnego.
