Dlaczego testy na czas są ZAWSZE głupie
🔗 https://www.youtube.com/watch?v=WRX9AiaZwBg

0:  Czy egzaminy na czas są skuteczne?
1660:  Więc ten tekst bardzo mi otworzył oczy, ale jeżeli myślicie, że to jest jedyne takie badanie, które to wskazywało, to jesteście w absolutnym błędzie.
1668:  W innym tekście z kolei, learning to make decision in dynamic environments, effects of time constraints and cognitive abilities, zaczęto badać związek pomiędzy dyspozycjami poznawczymi naszymi, a tym, jak na nie wpływają ograniczenia czasowe.
1682:  Więc już widzicie, to jest sprawa bardziej poważna.
1684:  Nie dochodzi tutaj wyłącznie do analizy
1687:  od strony pedagogicznej, nazwijmy to, zjawiska egzaminowania, ale w ogóle analizy naszych dyspozycji poznawczych.
1694:  Jak się wczytamy w ten tekst bardziej, to czytamy, że dochodzą tam autorzy do dokładnie takich samych wniosków.
1700:  Moje ulubione.
1701:  Zwykła
1702:  Repetycja, powtarzanie jakiegoś zadania czy jakiejś czynności pod rygorem czasowym absolutnie nie przekłada się na lepsze wykonywanie tej czynności.
1713:  Przypominam sobie w takim razie to łacińskie repetitio est mater studiorum, jak tu się nagle okazuje, że nie do końca, nagle się okazuje, że nie dla wszystkich, nie we wszystkich okolicznościach prowadzi to faktycznie do nauczenia się czegoś.
1727:  I tutaj dochodzę do mojego sporu, który zawsze mam ze społecznością graczy, dotyczącego samouczków i tutoriali.
1733:  Ludzie bardzo często uważają, że jeżeli raz się coś pokaże, to automatycznie druga osoba to zapamiętuje.
1740:  No tak myślą wszyscy ludzie, którzy nigdy nikogo niczego nie nauczyli.
1744:  Być może uczyli, ale nigdy nikogo nie nauczyli.
1748:  Mianowicie uczymy się tak długo, aż ktoś zrozumie dane zjawisko, które jest mu pokazywane, albo zobaczy, jak należy coś zrobić.
1759:  Jakie jest proste rozwiązanie dla tutorialu w grze wideo zatem?
1763:  Zapewnić przestrzeń zamkniętą, laboratoryjną, w której ktoś będzie mógł wypróbowywać różnego rodzaju mechaniki w grze, czynności itd.
1773:  Dobrym przykładem tego jest chociażby Sekiro Shadow Die Twice, gdzie dostajemy trenera, z którym możemy ćwiczyć wymagające sekwencje ciosów i ruchów, dzięki czemu przyspiesza się znacząco nasz sposób opanowania tych wszystkich technik.
1787:  W innych przypadkach moglibyśmy na przykład słyszeć, no...
1789:  No przecież pokazał ci ten jeden boss, do którego dochodzisz, 4 godziny w Dark Souls, jedną sekwencję ruchów, więc ty powinieneś zapamiętać te piksele natychmiast i potem jak podejdziesz do tego bossa 20 minut później i będziesz mieć starcia z 50 innymi przeciwnikami po drodze, to wtedy zapomnisz te starcia z 50 innymi przeciwnikami po drodze i to jakie oni mają sekwencję ruchów i nagle przypomnisz sobie tę sekwencję ruchów, którą miał ten boss 20 minut temu.
1815:  Co w tym trudnego?
1818:  To jest przykład błędnego podejścia do procesu nauczania.
1822:  To jest mniej więcej tak, jak ja bym wyszedł z założenia, że na przykład teraz wam szybko bym pokazał, w jaki sposób zresearchować jakiś temat, po czym nigdy do tego nie wrócił.
1832:  I stwierdził, no dobrze, to teraz każdy z was umie napisać tekst naukowy.
1836:  No tak nie działa nauka.
1839:  I zauważcie, że tutaj chodzi nie o naukę w znaczeniu edukacja, uczenie się matematyki, biologii.
1845:  Nauka wszystkiego tak nie działa.
1847:  Że machanie nam przed rękami, pokazywanie, no, no, no, szybko, szybko, szybko, zobaczyłeś jak to zrobić, teraz idziemy dalej.
1854:  To tak nie działa.
1856:  i nigdy nie będzie działało.
1857:  I wyszło z tych badań dalej, że uczestnicy, którzy mieli więcej prób pod presją czasu, nawet nie zyskali niczego po tej większej liczbie prób, bo właśnie była wyższa presja czasu.
1870:  Natomiast zdarzało się tak, że z kolei ludzie, którzy mieli na początku mniejszą presję czasu, a potem wykonali jakieś zadanie, to nagle wykonywali je szybko.
1880:  I bardzo słusznie zresztą dochodzą autorzy tych badań do wniosku, że im dłuższy czas na wykonanie jakiejś czynności, im mniej presji czasowej, tym bardzo możliwe, że będziemy mogli uruchomić bardziej złożone funkcje poznawcze.
1894:  Oczywiście pod warunkiem, że mamy ku temu predyspozycje, oni też to w stosowny sposób badali.
1900:  I dzięki temu być może bardziej złożone mechanizmy decyzyjne będą nam przychodziły łatwiej, ponieważ będziemy mieli więcej czasu na to, żeby je rozważyć.
1907:  Do tego jeszcze dochodzi kwestia pamięci, zapamiętywania.
1910:  Jedni ludzie szybciej zapamiętają jakąś sekwencję czynności albo jakiś obraz, albo sposób wykonania jakiegoś zadania, a inni znacznie wolniej.
1921:  Zatem testowanie naszych umiejętności pod rygorem czasowym, nieważne czy występuje w sali egzaminacyjnej czy w grze wideo, za każdym razem, przynajmniej z tych dwóch różnych perspektyw, czyli powiedzmy z perspektywy badań neurokognitywnych i z perspektywy badań w pedagogice i w psychologii, jest po prostu nieskuteczne.
1940:  I nie jest nieskuteczne dlatego, że są dwa teksty, tylko obydwa te teksty przywołują następny pipsztylion artykułów naukowych i badań z bardzo długiego okresu.
1949:  które to jednak nie są przyswajane przez ani społeczność akademicką, ani społeczność szkolną, ani społeczność, no niestety, odpowiadającą za tworzenie kolejnych narzędzi do mierzenia naszej produktywności, do boostowania naszej produktywności w pracy, czy też chociażby projektują nowe mechaniki w grach wideo.
1967:  No i skutkiem tego, niestety, ta babania tkwią w takim limbo.
1972:  I ten film miał mieć na celu to, żeby wam pokazać, że jest zupełnie bardzo duża tradycja badawcza i naukowa, która mówi coś zupełnie odwrotnego do tego, co nam się wmawia.
1983:  A wmawia nam się to, jeszcze raz wróćmy do tej tezy, ze względów czysto praktycznych i administracyjnych.
1988:  Tak egzaminować i sprawdzać i nauczać ludzi jest łatwiej.
1994:  I to jest jedyna zaleta.
1997:  Nie ma żadnych badań empirycznych pokazujących, że jest to lepsze, skuteczniejsze i efektywniejsze w procesie długotrwałego nauczania i magazynowania śladów pamięciowych, robienia takiego imprintu w naszym mózgu.
2012:  to w takim razie, co temu sprzyja, skoro nie egzamin na czas?
2017:  I tu mogę by znowu powiedzieć ze swojego doświadczenia, że za każdym razem, jak ktoś pyta mnie o to, dlaczego coś zapamiętałem, to ja na przykład zapamiętałem to z tego względu, że włączyłem jeden lub więcej niż jeden bodziec w trakcie procesu nauczania.
2032:  Przykład szybki, jak czytałem Jerozolimę Wyzwoloną Torquado Tasso, to zapamiętałem tytuł Jerozolima Wyzwolona i nazwisko Torquado Tasso, nie dlatego, że kułem,
2043:  do egzaminu, tylko dlatego, że przeczytałem to raz do egzaminu, a równocześnie oglądałem sobie Królestwo Niebieskie.
2051:  Znakomity swoją drogą film.
2053:  I do lektury Torquato Tasso i Jerozolimy Wyzwolonej włączyłem sobie muzykę Harry'ego Gregsona Williamsa z tegoż filmu.
2061:  Co to dało mi?
2063:  No dało mi to, że do końca życia będę pamiętać ten tytuł i tego autora, a no nie pamiętam większości autorów z egzaminu z literatury średniowiecza.
2073:  A tego pamiętam.
2075:  Inny przykład, który parę razy już przywoływałem.
2079:  Pamiętam trzy szeregi w armii rzymskiej, Triarii, Hastati i Princeps, nie dlatego, że kłem z Vademecum Operonu do matury z historii,
2089:  tylko dlatego, że grałem w grę Rome Total War.
2095:  Znowu kolejny przykład wiedzy, która przeniknęła do mnie z uwagi na zaangażowanie więcej bodźców.
2101:  Wreszcie, miałem bardzo duże trudności z nauką języka angielskiego.
2105:  Uczyłem się jej, jak obliczyłem, 12 lat w sumie w szkole.
2109:  nie byłem w stanie wykrztusić jednego słowa po angielsku, a że mam rodzinę w Anglii, to miałem okazję to testować, no i naprawdę nie było to wdzięczne dla mnie, jak przyjeżdżałem do kraju, w którym wszyscy posługują się tym językiem, a ja nie umiałem wydukać jednego słowa, bo cały czas myślałem, o Boże, struktury gramatyczne i wszystko, i starałem się z tej pamięci właśnie wydobyć, ale nic się z niej nie wydobywało, ponieważ to było w pamięci krótkotrwałej najczęściej, przyswojone na kolejne kartkóweczki, testy, teściki, egzaminki i tak dalej.
2139:  Po czym
2141:  zmieniłem strategię.
2142:  Zacząłem czytać, zacząłem oglądać, męczyłem się z tym, włączałem sobie napisy po angielsku do angielskiego filmu, tak?
2148:  Oczywiście, że wygodniej było z lektorem, oczywiście, że wygodniej było z napisami polskimi, jasna sprawa.
2153:  Włączałem podcasty angielskie, w grach wideo zmieniłem język na angielski, nie włączałem polskiego, nie włączałem polskiej lokalizacji.
2162:  Pojechałem parę razy do krajów zachodnich, miałem taką możliwość przy okazji różnych konferencji i nagle zacząłem mówić.
2170:  Dlaczego?
2171:  No dlatego, moi drodzy, że istnieje coś takiego, co się nazywa immersive learning.
2176:  I immersive learning to jest nie tylko coś, co wymaga, jak niestety w wielu artykułach naukowych, tutaj Wam dwa pokazuję, nam się wmawia, to znaczy wyłącznie komputera jakiegoś headsetu VR-owego i tak dalej,
2188:  Tylko nauczanie imersyjne pojawia się wtedy, kiedy jesteście dosłownie zanurzani w jakiejś realności czy rzeczywistości.
2195:  Bardzo dobrym przykładem nauczania imersywnego jest właśnie wyjazd do innego kraju na przysłowiową pracę na zmywaku i przyswajanie języka i struktur językowych, które wcześniej nam się wydawały trudne, ezoteryczne, bardzo nieintuicyjne z perspektywy użytkownika czy użytkowniczki polszczyzny.
2215:  A nagle zaczęliśmy się posługiwać tym naturalnie.
2217:  O immersive learning więc mówi się także w kontekście naturalnego nauczania.
2222:  Czyli, no nie wiem, zastanówmy się...
2227:  Czy to nie jest czasem coś, co mamy w dzieciństwie, kiedy uczymy się języka polskiego, przypadkiem tego języka, który znamy mimo wszystko najlepiej do końca życia?
2236:  Nie, niemożliwe, no przecież mama i tata na początku mówią takiemu berbeciowi, roczek on sobie ma, siada sobie na krzesełku, 45 minutek oczywiście, dzisiaj rozpatrujemy rzeczowniki z kategorii meble.
2253:  absurdalne, no nie absurdalne, bo tak wygląda edukacja od siódmego roku życia do dwudziestego czwartego roku życia.
2259:  I w Polsce, i w wielu krajach świata.
2262:  Gdzie uważa się, że zamiast nauczania kontekstowego, imersyjnego, naturalnego, w którym zanurzamy się w jakieś zagadnienie i staramy się je chłonąć jak gąbka, lepsze jest powtarzanie.
2274:  Bo repetitio est mater studiorum.
2277:  Powtarzanie jest matką wiedzy, tak?
2280:  No nie.
2283:  Właśnie, no nie, przynajmniej z badań naukowych wynika, że nie, a myślę, że przynajmniej to jest za mało w stosunku do badań naukowych.
2291:  Badania naukowe raczej powinny rozstrzygać o tym, że zmieniamy nasze zdanie, niż sugerować nam, no może rzeczywiście te dogmaty, w które wierzymy, ponieważ tak, no to może faktycznie należałoby ciupineczkę zrewidować.
2306:  Nie, badania naukowe powinny całkowicie zmienić naszą optykę,
2312:  patrzenia na świat i zreformować radykalnie to, w jaki sposób podchodzimy do nauczania.
2318:  To, że tego nie robią, to nie jest tym gorzej dla badań, moi drodzy, tylko tym gorzej dla ludzi, którzy je ignorują.
2325:  Ignoruje je bardzo wiele osób.
2328:  Co możemy zatem my zrobić?
2330:  Absolutnie nic.
2331:  Bo możemy zrobić najwięcej wyłącznie dla siebie.
2335:  Dlatego moja rada jest taka, żebyście maksymalnie zanurzali się w jakieś zagadnienie, które was interesuje, a także takie, które was nie interesuje.
2344:  Musicie się przygotować do matury z biologii.
2346:  Włączcie oprócz książek, oprócz artykułów i podręczników.
2353:  Nienawidzę podręczników, o tym zrobię osobny film już któryś raz, będę się wypowiadał na ten temat, ale podręczniki w XXI wieku.
2361:  Włącz jeszcze film dokumentalny, przejrzyj YouTube'a, może ktoś mówi na ten temat interesująco, posłał jakiegoś podcastu, zanurz się w zagadnieniu.
2369:  Jeżeli dotyczy to jakiejś rzeczy, które na przykład są związane z zoologią, pójdź do zoo.
2375:  Otwórz to samo wademecum maturalne, z którego prujesz przez ostatnie 4 godziny.
2380:  Przejdź się, organizm Ci podziękuje, siądź przed fokarium, foki są najwspanialszymi zwierzętami na świecie, oprócz jamników, w związku z powyższym będzie przyjemnie i otwórz ten rozdział o fokach, który miasz, albo rozdział na temat zoologii.
2394:  W ten sposób w Twoim mózgu wytworzy się połączenie przyjemnego doświadczenia, fokarium, zoo z zoologią.
2401:  Czy tak przypadkiem nie działa jedna z mnemotechnik zwana Pałacem Pamięci, w której umieszczamy rzecz daną do zapamiętania kontekstowo w jakimś miejscu, które bardzo dobrze znamy?
2413:  Ludzie bardzo często się zastanawiają, dlaczego ja na przykład nie zmieniam miejsca przechowywania swoich książek, dlaczego są posegregowane tematycznie.
2420:  Dlatego, że wiem spojrzawszy na grzbiet, gdzie będzie dana w moim regale, bo go bardzo dobrze znam.
2427:  Dlaczego bardzo często podczas czytania powieści spoglądam na okładkę?
2431:  Po to, żeby stymulować mój mózg, żeby zapamiętać więcej.
2434:  Druga więc technika dla Was.
2436:  Postarajcie się, żeby to nauczanie było wielobodźcowe.
2439:  Jeśli lubicie słuchać muzyki, włączcie muzykę.
2442:  Muzyka bardzo dużo zmienia.
2443:  Do dzisiaj potrafię pamiętać niektóre rzeczy pod łuk tego, co do tego słuchałem.
2447:  Archiwum Burzowego Światła Brandona Sandersona słuchałem do utworu Niol Jeremiego Sola.
2452:  Podlinkuję Wam też w opisie.
2454:  I po tym to zapamiętałem.
2455:  W życiu bym nie zapamiętał, że Jeremy Saul, kompozytor muzyki do The Elder Scrolls, napisał utwór Njol, który ledwo umiem przeczytać, ponieważ tytuł jest norweski, w albumie Northern Diaries.
2467:  A pamiętam to, nie dlatego, że spojrzałem na to w tej chwili, czy przed nagraniem tego filmu, tylko dlatego, że pamiętam to nieszczęsne archiwum burzowego światła, które czytałem wtedy właśnie do tej muzyki.
2477:  I to sprawia również, że podchodzę do tej książki zupełnie inaczej.
2482:  Trzeci sposób, jeśli chodzi o nauczanie imersyjne, to otoczenie się maksymalnie dużą liczbą ludzi, którzy się tym interesują, więc chcecie więcej wiedzieć na temat fizyki kwantowej, słuchajcie fizyków kwantowych, wsłuchajcie się w to, jak się wypowiadają, czym się interesują, przeczytajcie ich książki.
2500:  Czy to oznacza, że zamiast jednej książki, która jest w ademecum maturalnym, przysłowiowym albo jak podręcznikiem, przeczytamy cztery i stracimy na to więcej czasu?
2511:  ale równocześnie zamiast czytać w Ademeco maturalne 20 razy, przeczytacie je raz i oprócz tego 4 książki i wam więcej zostanie w głowie.
2520:  W moim przekonaniu to jest właśnie nauczanie.
2523:  I na tym ono polega.
2525:  Nie polega na tym, że pod presją czasu piszecie test, z którego następnie dostajecie piąteczkę i jedyne, co was interesuje, to to, jaką ocenę dał prowadzący.
2533:  Bo nauka polega na tym, że przypominacie sobie coś po 20 latach i nagle jesteście w stanie szybciej pracować niż inni.
2540:  I wtedy nagle się okazuje, że macie dużo czasu.
2544:  Wtedy nagle się okazuje, że tak jak ja, łączący pracę na uczelni z tutoringiem akademickim, z YouTubem, znajduję 9 godzin czasu na sen, 4 godziny czasu na odpoczynek każdego dnia.
2557:  Bez względu na to, ile mam pracy.
2559:  Nawet jak byłem na studiach, nie robiłem YouTube'a, ale współprowadziłem fundację, pracowałem naukowo w sposób, który teoretycznie jest cięższy od tego, który mam w tej chwili.
2571:  Równocześnie miałem studia, zarabiałem na stypendiach naukowych, ale miałem 3-4 godziny czasu na granie i pamiętam moich kolegów, koleżanki pytający mnie, Krzysztof, jakim cudem ty tyle grasz albo tyle czytasz?
2582:  Kiedy ty znajdujesz na to czas?
2586:  No może właśnie inaczej podchodzę do nauczania i do edukacji.
2590:  Może nie zakładam, że należy jakąś książkę przeczytać 7 razy, żeby był wkuć, tylko czytam ją raz, ponieważ mózg zapamiętuje 20-30%, więc whatever, a potem czytam sobie szereg innych książek przywołanych w tej książce, więc pewne treści się powtarzają, ale mam efekt nowości, więc mój mózg jest bardziej zainteresowany tym, przyswaja to z większą ciekawością i nagle się tworzy mapa połączeń neuronalnych.
2614:  Nie jednej książki.
2615:  Bo książka nie powstaje w izolacji.
2617:  Żaden podręcznik naukowy, żaden artykuł naukowy nie pozostaje w izolacji.
2621:  Dlaczego jak wam równocześnie przytaczam ten artykuł, to mówię o tym, że jest tutaj pipsztylion innych?
2627:  Dlatego, że nie wystarczy przeczytać ten jeden artykuł, żeby wiedzieć cokolwiek na ten temat, jeśli się tym nie interesujecie.
2632:  Trzeba zajrzeć też do innych.
2635:  I jeżeli zajrzycie do innych i będziecie mieli tam inne dane, to nie oznacza, że wyjściowy tekst jest nieprawdą, bo tak działa Ewangelia, a nie nauka.
2643:  Nauka działa w ten sposób, że zawsze tworzy się wam sieć powiązań i w jednym tekście jest 80% prawdy, w drugim 74%, w trzecim 34% i wam się to uśrednia.
2653:  Na tym polega właśnie proces nauczania i na tym dopiero nadbudowujecie więcej.
2658:  To nie jest proces, który trwa 5 sekund, to jest proces czasochłonny.
2665:  Nie jestem w stanie zrozumieć, dlaczego naukowcy, którzy się tym zajmują, są w stanie przedkładać własną wygodę i administracyjną logistykę ponad skuteczność nauczania i równocześnie potem narzekać na efekty tegoż nauczania.
2681:  No i dobrze wiecie, na kim się to skrupia.
2683:  Skrupia się to zawsze na użytkowniku.
2685:  To gracz nie ma racji, bo gracz nie wie, co zrobić, bo to nie jest tak, że tutorial jest zaprojektowany i że gracz czegoś nie uczy, to gracz nie ma racji.
2694:  To uczeń nie ma racji, bo to on się nie uczy i to on nie umie pod presją czasu zadziałać i co tam miesiączka i głód i nie można pić na maturze, nie, nie, nie, absolutnie.
2704:  Ty masz się przyzwyczaić, tak?
2706:  To student nie ma racji, ponieważ, no przepraszam najmocniej, to wejścióweczka na pięć minutek,
2712:  i nie umiemy zrobić kartkóweczki szybkiej przed wejściem, ba, taki student jeszcze potem powie, nie no, Krzysztof, to jest ważne, bo zasady BHP.
2719:  To naucz zasad BHP, kiepie, a nie rób kwejścióweczki.
2724:  I mógłbym tak długo jeszcze wymieniać.
2726:  Ale pytanie, czy w ogóle cokolwiek to da?
2730:  Bo jeżeli nie uświadomimy sobie tego na własną rękę i nie będziemy...
2735:  dalej przekazywać tej wiedzy, to nic nie zdziałamy, żadna jedna osoba nie jest w stanie zmienić myślenia, które usiłuje się zmieniać od stu lat.
2745:  i bezskutecznie, ponieważ zwycięża zasada wybierania najłatwiejszego rozwiązania, najmniej turbującego, mimo że mamy w tym momencie dostęp do technologii, która bardzo ułatwia nauczanie imersyjne i wieloboćcowe, i umożliwia nam szybkie poznawanie wielu informacji, przyspieszenie procesów nauczania gigantyczne, mimo to wszystko ludzie wybierają to, co jest nieskuteczne, niemiarodajne i niesprawiedliwe,
2772:  I zasłaniają się do tego wszystkiego nieprawdą, którą potraktowali jako dogmat.
2777:  I ludzie się jeszcze dziwiał, że ja się denerwuję.
2781:  Do następnego.
