Studia są dla wszystkich, ale nie dla każdego
🔗 https://www.youtube.com/watch?v=lxJtXwXHhRQ

0:  Jak nie pójdziesz na studia, to będziesz rowy kopać.
1764:  Jeżeli nagle mi coś strzeli, żebym miał możliwość piwotu, zwrotu w tamtym kierunku i realizowania się tam, a nie rozpaczy, że o nie, to teraz system mnie nie przepuści, bo mam za mało punkcików.
1776:  Chciałem być wszędzie zabezpieczony, ale to był mój autonomiczny wybór.
1782:  Bardzo rzadko się zdarza, że ludzie dokonują tego rodzaju autonomicznych wyborów.
1786:  Bardzo często natomiast się zdarza, że są do tego przymuszani.
1790:  Więc jeżeli zastanawiacie się, pójdziecie na studia, a jesteście do tego przymuszani, zastanówcie się, jaki interes ma osoba Was przymuszająca.
1799:  Może myśli starymi kategoriami, że jeśli nie będzie studiów, to nie będzie pracy.
1804:  Może nie zna realiów współczesnego rynku pracy.
1807:  A może wie coś, czego Wy nie wiecie, np.
1810:  wie, że w zawodzie, do którego się możecie potencjalnie nadawać, wciąż ten dyplom może się przydać.
1818:  Jeżeli wreszcie zastanawiacie się nad pójściem na studia, ale robicie to po to, żeby stać się członkami społeczności zamkniętej, bycia w wyższym percentylu społeczeństwa i być taką elitą i chwalenia się tym, co zrobiliście,
1837:  Doderujcie sobie i nie idźcie.
1839:  Tutaj się nie ma co zastanawiać.
1840:  Nie potrzebujemy takich ludzi na piedestach.
1843:  Mamy ich wystarczająco dużo w kręgach polskich elit kulturalnych, krytyczno-literackich, filmowych, naukowych, politycznych.
1854:  Wszędzie tam są ludzie przekonani o tym, że ich gwiazda promienieje jasno, a tymczasem jest w najlepszym wypadku czerwonym karłem, więc światło nie jest przyjemne.
1868:  Więc pójście na studia, moi drodzy, to jest po prostu normalna decyzja, tak?
1873:  Założenie skarpetek, albo tak, zdecydowanie się na inny regał, albo tak, jakakolwiek inna decyzja, nad którą nie powinniśmy się zastanawiać dłużej.
1883:  Bo jeśli będziemy cały czas ulegać temu systemowi i systemowemu myśleniu, to w którymś momencie doprowadzimy do sytuacji, że będziemy autentycznie przekonani, że to, jak on teraz funkcjonuje, jest słuszne i zasadne.
1895:  A nie jest słuszne i zasadne to, że każdy po maturce ma wstęp na studia.
1901:  bo to jest zupełnie tak, aby każdy po maturce miał wstęp do dowolnej pracy bez rozmowy kwalifikacyjnej.
1907:  Serdecznie zapraszam polski i zagraniczny biznes do wdrożenia wejścia z maturą bez rozmowy kwalifikacyjnej, bez curriculum vitae od razu do pracy.
1917:  Z pewnością będą fenomenalne efekty.
1919:  A, i pamiętajcie, że jeżeli ktoś na przykład miał maturę z przedsiębiorczości, no to automatycznie zostaje Chief Financial Officerem w danej korporacji.
1928:  Myślę, że co do tego nie ma złudzeń.
1931:  Zabawne, niezabawne, bo tak funkcjonują uczelnie.
1934:  Nawet gorzej.
1935:  Wybieracie sobie uczelnia pierwszego wyboru, uczelnia drugiego wyboru.
1938:  Dobra, to moją korporacją pierwszego wyboru będzie Google, drugiego wyboru będzie Facebook, a trzeciego wyboru będzie Canpak na przykład.
1945:  O, oho, jak się nie dostanę tu, to się dostanę tam.
1947:  I jeszcze wiecie, jaka wspaniała sytuacja.
1950:  Możecie jednocześnie aplikować do różnych prac tego samego dnia.
1954:  Zupełnie tak jak na uczelnię.
1956:  I możemy oddać się takiej loterii, przebierać sobie jak w lęgałkach.
1960:  Jeżeli tutaj będziemy mieli szansę wyższą, to się dostaniemy.
1963:  Może jeszcze wprowadźmy system PT, tak jak w Genshin Impact, żeby można było łatwiej dostać się na uczelnię w tym momencie, w którym losujecie wiele razy.
1973:  Absurdalne, nieabsurdalne, bo tak to w tej chwili działa.
1976:  Więc trudno się dziwić ludziom, którzy dostają od razu informację z systemu, że się dostają na jakąś uczelnię, machają ręką i myślą sobie...
1984:  najwyżej będzie papierek, albo najwyżej zobaczę sobie siebie w lustrze i ohoho, będzie już taki lepszy Krzysztof, bo on jest po studiach, nie taki gorszy, też nadziejny Krzysztof po maturze.
1999:  Bo jest konsekwencja powiązania systemu egzaminującego ogólnopolskiego z kwalifikacjami do studiowania, które naprawdę są dla, nie wiem, 20% ogółu populacji
2013:  30 to już najdalej.
2016:  Zwłaszcza w czasach, podkreślam raz jeszcze, kiedy edukacja, dostęp do edukacji, ba, dostęp do nawet bardzo wykwalifikowanej wiedzy nie jest ograniczony.
2028:  Mamy różne ścieżki docierania do niej i nie jest nią budynek, w którym są zgromadzeni ludzie oddający się pracy umysłowej i naukowej.
2037:  Nie jest nią i nie będzie.
2040:  Więc nie myślcie także o studiach jako o czymś, co daje wam wstęp do każdej pracy.
2046:  Są takie studia, które zawsze będą wam dawały wstęp do takiej pracy i chyba będę wyrazicielem większości głosów, jeżeli powiem, nie, nie chciałbym, żeby lekarze stawali się lekarzami po kursie korespondencyjnym na Khan Academy.
2061:  Chciałbym, żeby lekarze studiowali 10 lat i więcej, żebym nie miał absolutnie żadnych wątpliwości, że leczą pacjenta, a nie objaw.
2069:  Ale nie wszyscy są lekarzami.
2072:  Nie wszyscy są prawnikami.
2073:  Nie wszyscy są inżynierami.
2076:  Jest bardzo dużo innych zawodów.
2079:  I bardzo często się może zdarzyć tak, że na przykład jak będziecie mieli wymarzoną pracę pracowania jako grafik w...
2085:  w firmie projektującej gry wideo, pójdziecie na pięcioletnie studia na ASP, przegracie na rozmowie kwalifikacyjnej z drugą osobą, która będzie miała portfolio przebogate, ponieważ już w liceum zaczęła rysować, a na poziomie trzeciej klasy maturalnej, w tym momencie już nie maturalnej,
2102:  czwartej klasy maturalnej zainteresowała się blenderem i nagle się okazuje, że może mieć nie tylko grafikę 2D i grafikę 3D i akurat teraz się okazuje, bo jest taka koniunktura na rynku, że grafika 3D przeważa i potrzebujemy takich ludzi, bo grafika 2D w tym momencie jest o wiele lepiej realizowana z wykorzystaniem narzędzi sztucznej inteligencji.
2124:  Jakim cudem możecie w ogóle myśleć, że studia są w stanie was przygotować do tak dynamicznego rynku pracy?
2130:  W tym momencie, jak to nagrywam, jest rok 2023 i sierpień.
2136:  Bardzo możliwe, że to, co powiedziałem na temat grafików 3D, jest sensowne.
2141:  Równie prawdopodobne jest to, że we wrześniu już nie będzie.
2145:  Jakim sposobem chcecie przygotować program studiów, który na to odpowiada?
2148:  To jest niemożliwe.
2150:  I nigdy nie będzie możliwe.
2152:  Studia nie służą do tego, żeby...
2155:  Przygotowywać pracowników na rynek pracy.
2157:  Ktokolwiek, kto mówi coś takiego i tego rodzaju bzdury, że edukacja powinna być praktyczna i przygotowywać do rynku pracy, nie ma zielonego pojęcia na temat tego, jak funkcjonuje edukacja.
2168:  Zwłaszcza edukacja wyższa.
2170:  Ona funkcjonuje powoli.
2173:  Powoli się realizuje badania naukowe, powoli się dociera do pewnego rodzaju wniosków.
2177:  To nie chodzi o to, żeby zrobić chyt, chyt, chyt szybko i już mam kwalifikacje.
2181:  Nie.
2182:  W ten sposób o wiele lepiej działa się samemu.
2185:  Wybiera się różnego rodzaju kursy, pójdzie się może i na studia, ale wyjdzie się z nich po roku, bo stwierdzi się, że nie ma sensu i pójdzie się w innym kierunku.
2193:  Tak człowiek funkcjonuje, który nie jest naukowcem.
2196:  Tak funkcjonuje większość ludzi.
2199:  Naukowiec tak nie funkcjonuje.
2200:  Naukowiec spędza 20 lat, żeby poznać jakiś zakres wiedzy i myśli sobie po tych 20 latach.
2206:  Pamiętajcie, mowa o prawdziwych naukowcach.
2208:  Ja nic nie wiem.
2209:  Ja potrzebuję jeszcze następnych 20 lat, żeby się tego dowiedzieć.
2213:  I żeby być pewnym, że to faktycznie jest moja działka, mój obszar, w którym mogę się tytułować ekspertem.
2221:  Kto ma 40, czy 20, czy 30 lat na zbyciu, żeby się zorientować, czy będzie ekspert?
2226:  Nikt.
2228:  Natomiast bardzo dużo jest i niestety, i zaznaczam to, teraz firm, które jeszcze wymagają stopnia magistra czy stopnia licencjata zawodowego, żeby w ogóle się móc tam rekrutować.
2239:  Z oczywistych względów chyba rozumiecie, że w takiej sytuacji nie będę zniechęcał.
2245:  do aplikowania na studia, bo to nie jest elitystyczne przekonanie, tylko to jest wyższa konieczność.
2250:  Musisz, bo ludzie, którzy zatrudniają, są idiotami.
2253:  Bo tak, trzeba być idiotą, żeby powiedzieć, że potrzebujemy dyplomu byle jakiego, żeby zatrudnić pracownika, nie patrzymy na jego umiejętności i portfolio, czyli to, co zrobił w swoim życiu.
2263:  Trzeba być idiotą, żeby tak stwierdzić.
2265:  I nawiasem mówiąc, dla mnie to już byłaby czerwona flaga, że być może warto jest pójść do innej firmy, albo do takiej, która nie myśli w ten sposób, bo jeżeli macie do czynienia z idiotami, którzy będą wami zarządzać, prędzej czy później będziecie chcieli i tak tę firmę zmienić.
2278:  A uczelnia nie jest przystosowana do tego, żeby być szkołą, w której będą zgromadzone różnego rodzaju kursy przygotowujące do różnych zawodów.
2289:  Uczelnie zawsze funkcjonowały tak, że mieliście specjalistów, ekspertów, mistrzów, którzy zajmowali się jakimś zagadnieniem, ale nie dostosowywali tego zagadnienia do rynku pracy.
2299:  Po prostu się nim zajmowali, bo akurat to było ważne.
2302:  I wiecie dlaczego to jest istotne?
2305:  Bo w ten sposób jest postęp naukowy.
2308:  Jeżeli naukowiec będzie się zajmował tym, czym już się zajmują ludzie na rynku pracy, to wtedy nie będzie żadnego postępu naukowego, tylko będzie fasadowy postęp.
2315:  To znaczy postęp będzie polegał na tym, że cały czas będziemy się inspirować tym, co w tej chwili trenduje, a nie myśleć o tym, co będzie trendować za lat 20.
2323:  I skutki takiego postępowania są żałosne.
2326:  Po pierwsze, uczelnie stają się wtedy serwilistyczne wobec korporacji, co nie jest dobre, bo nagle się okazuje, że np.
2334:  badania, które będziecie przeprowadzać na temat nowej generacji leków, zostaną przeprowadzone na zlecenie.
2339:  No i co wtedy?
2340:  A w momencie, w którym naukowcy mają pieniądze i czas na to, żeby opracowywać nowe leki, to wtedy oni mogą...
2346:  sprzedać informacje w drugą stronę koncernom farmaceutycznym i powiedzieć, słuchajcie, to jest ciekawa rzecz, tym się zajmijcie i tutaj zrobić wdrożenie.
2355:  Tak funkcjonowała zawsze nauka, nie odwrotnie,
2360:  Więc to, że w tym momencie bardzo często firmy prywatne i prywatny kapitał przejmuje potencjał badawczo-rozwojowy, czyli B plus R, badania plus rozwój, albo Research and Development, R&D, nie jest do końca dobre, bo to dzięki tym działom R&D właśnie mamy chociażby kompletnie niekontrolowane przez nikogo modele językowe AI.
2379:  Nikt nie wie, jak one działają, no bo nikt nie może wiedzieć, jak one działają, z tego prostego względu, że nikt nie miał na to stosownej ilości czasu.
2386:  W związku z powyższym się spieszymy, jest przyspieszony postęp technologiczny, a im bardziej jest przyspieszony postęp technologiczny, tym trudniej dostosować się edukacji do tego.
2393:  Jeżeli będzie w dalszym ciągu postęp technologiczny taki skokowy, to będzie abstrakcją polskie szkolnictwo.
2400:  Zawsze powtarzam, że w XX wieku XIX wieczne szkolnictwo nie było jeszcze tak złe, jak w XXI wieku jest XIX wieczne szkolnictwo.
2408:  A czym jest to XIX wieczne szkolnictwo?
2410:  To cały czas Wam powtarzam.
2412:  Szkolnictwem ogólnym, ogólnokształcącym, które ma wychować człowieka.
2418:  Nie tylko będącego pokornym obywatelem, ale przede wszystkim będącego jack of all trades, master of none, czyli najlepszym we wszystkich, ale prawda jest taka, że nie osiągającym mistrzostwa nigdzie.
2429:  Ogarniającym po trochę wszystko.
2432:  Jeżeli wiecie wszystkiego po trochu, to znaczy, że wiecie nic w dzisiejszej rzeczywistości.
2436:  Co wam z informacji, która jest wzięta z podręcznika?
2440:  skoro nie wiecie, czy ona jest zweryfikowana.
2442:  Nie wiecie, czytając podręcznik biologii, czy dane tam zawarte są oparte na badaniach z lat osiemdziesiątych, sześćdziesiątych, dziewięćdziesiątych, dwutyś... Nic nie wiecie.
2450:  Po prostu przyjmujecie to za dobrą monetę.
2453:  Potem utrwala się to wam w głowie jako wiedza ogólna i szermujecie tym w dyskusjach różnego autoramentu internetowych, mówiąc, nie no, to jest oczywiste, jesteś debilem, wróć się do szkoły.
2463:  O, bo jeszcze przecież o tym sobie nie wspomnieliśmy.
2466:  Debil, głupiec, idiota...
2469:  Wszystkie te określenia odnoszą się do kwalifikacji abstrakcyjnych umysłowych.
2474:  Bo debilem jest ten, kto nie potrafi liczyć, tak?
2478:  Albo idiotą jest ten, który nie potrafi napisać wyrazu odpowiednio, tak?
2482:  W ten sposób się bawimy?
2483:  A wiecie, dlaczego w ten sposób się bawimy?
2485:  Chyba nie muszę już mówić, dlaczego w ten sposób się bawimy.
2488:  Bawimy się w ten sposób dlatego, że czas, który mógłby zostać poświęcony na naukę podstawowych kompetencji, liczenie, czytanie, mówienie, został zmitrężony na naukę bzdur.
2499:  Na naukę zadań matematycznych, które są potrzebne ludziom chcącym zostać inżynierami.
2506:  Na przykład.
2507:  Podczas gdy Krzysztof przez całe swoje życie, mając w tym momencie lat 34, stosuje do dzisiaj proporcje.
2513:  Czyli jedyno działanie matematyczne, którego nie nauczył się w szkole.
2517:  Nauczyłem się go dzięki mojej mamie, która mi powiedziała, że proporcją ogranicz większość zadań.
2521:  Po czym dostałem jedynkę w szkole oczywiście, ponieważ używałem proporcje, nie tylko to było w podręczniku.
2526:  To jest absurdalne.
2529:  Tak samo jeżeli chodzi o język.
2531:  No niestety, chcecie tego czy nie, będziecie inżynierem, farmaceutą, biotechnologiem, wszystko jedno, będziecie musieli używać tego języka, bo niestety tak się składa dziwnie, że jak przychodzimy na ten świat, to mówimy gaga gugu mama tata, a nie mówimy jeden plus dwa pierwiastek z dwa na trzy.
2546:  Taka jest rzeczywistość, że język jest dla nas podstawą.
2549:  Inne języki, języki programowania, języki matematyczne, języki obliczeniowe, wszystko jedno jakie języki, jak bardzo szeroko będziemy tego określenia używać, poznajemy wtórnie.
2560:  A pierwotnie jest jeden język, który służy komunikacji.
2562:  Jeżeli naukowcy nie będą umieli komunikować wyników swoich badań dobrą i znośną polszczyzną, to ludzie nie będą rozumieli tych badań, następnie będą pisać bzdury w internecie,
2571:  a ponieważ Internet funkcjonuje tak, jak funkcjonuje, te bzdury będą się rozprzestrzeniać o wiele szybciej niż poważne badania naukowe.
2578:  O proszę, czyżbyśmy mieli problem związany z fake newsami i z dysseminacją fałszywych informacji, czyli rozprzestrzenianiem fałszywych informacji tylko dlatego, że kogoś się nie uczyło czytania i mówienia sensownego,
2589:  I nie, nie mówię o czytaniu ze zrozumieniem, bo czytanie ze zrozumieniem to jest wyciąganie ministerialnie aprobowalnych wniosków bez względu na treść przyswajanego tekstu.
2597:  Mówię o normalnym czytaniu.
2599:  Jeżeli ktoś czyta, to czyta.
2600:  Jeżeli czyta, a nie rozumie, to znaczy, że tylko łączy litery, okej?
2605:  Nie mówimy o recytacji w tym momencie, interpretacji, które są wam narzucone.
2608:  Mówimy o człowieku, który czyta tekst i sam go interpretuje po swojemu.
2614:  I ta interpretacja jest spójna
2617:  dobrze wyłożona.
2618:  Nie jest zgodna z tym, co powiedzieli historycy literatury w XIX wieku, tylko jest spójna.
2624:  I taka interpretacja nie ogranicza się wtedy tylko do tekstu książeczki, tylko będzie do filmu, będzie do gry wideo, będzie do raportu rocznego, który przygotowujecie.
2636:  Uniwersalny charakter ma interpretacja, uniwersalny charakter ma rozumienie, uniwersalny charakter ma wreszcie nasza komunikacja.
2646:  I tak, cały czas, moi drodzy, mówimy o studiach, o elityzmie i o tych praktykach, które się w nas kształtuje, ponieważ właśnie dlatego mamy tak bardzo duży problem z podejmowaniem życiowych decyzji, bo w tym chaosie pojęciowym nikt nic nie wie.
2663:  Nie wiecie i nie wiem i nie wiemy najbardziej podstawowej rzeczy, kim jesteśmy i co chcemy robić.
2671:  Ostatnio na live spytałem ludzi, jak wyglądało doradztwo zawodowe w szkole.
2676:  To były testy.
2678:  Zamknięte.
2681:  Doradztwo zawodowe to powinna być interakcja jeden na jeden z trenerem biznesowym, z coachem, z tutorem, który z wami godzinę rozmawia o was, bo musi wpierw was poznać, wyznaczyć pola zainteresowań, zastanowić się jak te pola zainteresowań będą się nakładać na potencjalne kwalifikacje zawodowe, przedstawić realia rynku pracy, powiedzieć co aktualnie trenduje i wy na tej podstawie dopiero.
2706:  Moglibyście na przykład podjąć decyzję o tym, do jakiego egzaminu państwowego w ramach matury przystąpić?
2712:  Na jaką uczelnię iść?
2713:  Czy w ogóle iść na uczelnię?
2715:  A może od razu pójść na praktyki zawodowe do jakiejś firmy i niezależnie robić sobie kursy korespondencyjne?
2722:  Nie wiemy tego!
2724:  Bo nikt nie priorytetyzuje naszego dobra i naszego rozwoju, bo nikt nas nie traktuje indywidualnie, bo niestety wszyscy uważają, że powinniśmy być
2736:  ogólnymi mistrzami wszystkiego.
2738:  Nie da się.
2739:  Dzisiaj poziom specjalizacji naukowej jest nawet tak duży, że jeżeli kształtujecie, a kształtujemy niestety, pracowników naukowych i pracowników umysłowych właśnie w tym XIX-wiecznym duchu,
2752:  to oni są kiepskimi naukowcami, ponieważ wydaje im się, że muszą wiedzieć wszystko.
2757:  A jeżeli naukowiec postępuje w ten sposób, że musi wiedzieć wszystko, to na przykład będzie mi trężył czas na przeczytanie 70 książek z jakiejś dziedziny, podczas gdy mógłby napisać własną w oparciu o dwa artykuły.
2769:  I ta własna książka byłaby pełna własnych przemyśleń, a nie przetworzonych przemyśleń innych.
2775:  W ten sposób być może postęp w danej dziedzinie byłby szybszy.
2779:  Ale przez to, że uczy się nas, że musimy być wszystkoidalni, niestety ma to takie, a nie inne konsekwencje, że studenci na poziomie studiów licencjackich czy magisterskich, pracujący nad pracami dyplomowymi, które je kończą, nie wiedzą o czym napisać pracę dyplomową.
2795:  Dochodzi do patologii, w których uczelnie narzucają tematy prac dyplomowych.
2799:  To jest w ogóle antynaukowe przecież.
2802:  Co to znaczy narzucić pracę dyplomową?
2804:  Czy ktokolwiek narzucał Archimedesowi nad czym ma pracować?
2807:  Czy ktokolwiek narzucał Kantowi nad czym ma myśleć?
2810:  Czy ktokolwiek narzucał Oppenheimerowi, bo akurat trenduje ostatnio to nazwisko, nad czym ma pracować?
2816:  To byli ludzie, którzy sami wpadali na tego rodzaju pomysły i dzięki nim oczywiście toczyły się...
2823:  te żarna i koła postępu naukowego.
2826:  Na tym to polega, że są ludzie, którzy wymyślają rzeczy totalnie poza pudełkiem i poza schematem i poza jakimikolwiek wcześniej wytyczonymi torami rozumowania i postępowania.
2837:  Są ekscentryczni, dziwaczni.
2840:  Dlaczego wszyscy designerzy i ludzie kreatywni są elitystycznymi dupkami?
2847:  ponieważ są dziwni, zajmują się tym, co innych nie interesuje, są ekscentryczni, są odludkami, są egocentrykami, którzy cały czas trybią w głowie nad następnym swoim projektem i nawet mogą nie pomyśleć o tym, że komuś...
2864:  Po drodze zrobili przykrość, bo nie kształci się w nas empatii niestety, tak nawiasem mówiąc, bo byli cały czas w środowisku podobnie myślących i postępujących ludzi, bo nauczyli się, że można ignorować rodzinę, ignorować bliskich, ignorować wszystko wokół nas, bo najważniejsze jest kariera i kasa.
2882:  Dlatego bardzo często też są to egocentryczni, elitystyczni ludzie, którzy myślą tylko o sobie, ale równocześnie mają tę jedną cechę, która jeśli jest właściwie kształtowana, jest bezcenna.
2897:  Potrafią wszystkie swoje siły rzucić w dany projekt, wszystkie swoje kwalifikacje.
2905:  Mają niesamowitą siłę psychiczną, 80% ludzi mówi im, że się mylą, ale oni idą dalej naprzód, bo wiedzą, że w tym coś jest, mają intuicję, mają przeczucie, mają refleks, szybko reagują na trendy i nagle mamy postęp technologiczny, bo ktoś właśnie był elitystycznym dupkiem.
2924:  ale równocześnie był skoncentrowanym na swojej pracy wybitnym myślicielem, badaczem, naukowcem, człowiekiem, w którego powinno państwo pompować wszystkie możliwe środki, wyciągać, tak jak to jest jedna jedyna rzecz, którą dobrze robią Amerykanie, wyciągać z danej szkoły, dawać wszystkie stypendia i wysyłać dalej, i zapewniać najlepszą edukację możliwą.
2946:  Tak funkcjonuje kształtowanie prawdziwych elit.
2950:  Ale ponieważ my kształtujemy elity symulowane, to niestety większość elitystycznych dupków zatraca w sobie tę iskrę, zatraca w sobie ten ogień, zatraca w sobie pasję, przeżywa wypalenie zawodowe i wyjaławia się intelektualnie.
2969:  To nie jest tak, moi drodzy, że...
2971:  magicznie po roku 1989 takich elit, które byłyby faktyczne i prawdziwe i nie uciekały z Polski po to, żeby robić karierę na zewnątrz, nie wykształciliśmy.
2983:  Nie wykształciliśmy i dlatego, że cały system stworzyliśmy po to, żeby tym ludziom szkodzić, a nie pomagać.
2990:  A jeżeli zaszkodzicie ludziom, którzy naprawdę
2994:  mają duże kwalifikacje, to istnieje niezerowe prawdopodobieństwo, że będą chcieli oni, albo nawet zrobią to nieintencjonalnie, zemścić się na innych.
3004:  I ten mobbing, to stłamszenie będzie skapywać na innych.
3009:  I nagle się okaże, że będziemy mieli właśnie tych profesorów, którzy mogą mieć czelność powiedzieć, że ze studentami się nie dyskutuje, studentów się uczy.
3016:  To nie jest prawdziwy profesor.
3018:  albo że będziemy mieli naukowców, którzy chełpią się tytułami naukowymi, chełpią się wskaźnikami cytowań, jakim trzeba być żenującym klipem, żeby coś takiego robić, a tymczasem nie potrafią nawet powiedzieć, czym się zajmują w takich słowach, żeby być zrozumiani przez wszystkich.
3036:  I wreszcie mamy nauczycieli, którym się wydaje, że nie muszą się uczyć.
3041:  Oni się już nauczyli na studiach i teraz mogą przez następne 40 lat jedyną swoją aktywność, jaką wykonywać, to prosić o podwyżkę.
3050:  Ale nic więcej, bo przecież jak wiadomo,
3054:  Od wielkich pieniędzy zależy to, w jaki sposób będziemy się zachowywali, w jaki sposób będziemy się kształcili, gdy tymczasem nie.
3060:  Gdyby to, zawsze powtarzam ten argument, wyłącznie od pieniędzy zależało, nie mielibyśmy 1 do 1 lustrzanych podobieństw w zachowaniach elitystycznych nauczycieli i w zachowaniach elitystycznych pracowników akademickich, z czego nauczyciel, powiedzmy, uśredniając, może zarobić 3 na rękę, a pracownik akademicki 6 lub 5.
3081:  Więcej zarabia?
3082:  Więcej zarabia.
3083:  Te same problemy?
3084:  Te same problemy.
3085:  Ewidentnie gdzieś indziej leży przyczyna.
3088:  Ja nie twierdzę, że jedyną przyczyną jest ta.
3090:  Na tym kanale od ponad dwóch lat staram się wskazywać różne przyczyny i żaden z moich filmów nie jest skończoną odpowiedzią na to pytanie.
3098:  Ale to jest jedna z możliwych i ona nie jest formułowana wyłącznie przeze mnie.
3103:  jeżeli pracownicy kreatywni, umysłowi mają coś właśnie wspólnego, to tę jedną cechę, zagrożenie elityzmem, zagrożenie tworzenia sobie jakiejś wieży z kości słoniowej, z której będziemy prowadzić ostrzał artyleryjski naokoło, żeby przypadkiem nikt do nas nie przystąpił, żeby przypadkiem z tym ciemnym gminem nie mieć nic wspólnego, a problem polega na tym, że wszyscy
3126:  Jesteśmy ciekawi świata, wszyscy chcemy się rozwijać, po prostu trzeba nam zapewnić przestrzeń do takiego rozwoju, stosownie do naszych możliwości i kwalifikacji, a do tego trzeba umieć rozpoznawać te kwalifikacje na możliwie wczesnym etapie.
3141:  Jeśli nie będziemy mieli narzędzi, krótko mówiąc i podsumowując, do rozpoznawania kwalifikacji, do kierowania ludzi sensownego na studia, do szkół zawodowych, do techników, do liceów,
3154:  to wtedy będziemy mieli do czynienia z postępującym kryzysem w edukacji, w postępującym kryzysem również naszego społeczeństwa i naszego państwa.
3164:  Bo niestety, chcemy tego czy nie, z tej edukacji się wszystko bierze.
3168:  I bardzo często może zdarzyć się tak, że bierze się z tego również rzecz, która nam samym utrudnia życie z nami samymi i z innymi.
3178:  Do następnego.
