🔴 Przed jamnikiem uderz czołem, jamnik górą chociaż dołem | LIVE #2
🔗 https://www.youtube.com/watch?v=n62fW7lX9yc

1:  Witajcie serdecznie na drugim livestreamie w trybie Q&A.
2455:  Który system magii jest według mnie najciekawiej zrobiony i przedstawiony?
2458:  No będę teraz bardzo fanboju względem Sandersona, bo jednak system odprysków z Archiwum Burzowego Świata i w ogóle całego kosmicznego to jest rewelacja.
2466:  Tymczasem Wiktam Łukasza Skropka w gronie trybutariuszy.
2470:  Jakie jest moje zdanie, pyta Aynito, odnośnie wszelkiego rodzaju klubów stowarzyszeń promujących fantastykę?
2477:  Snoby, nerdy czy gatunek wymierający?
2479:  Nie mówcie snoby i nerdy.
2480:  Już nawet starożytny serial Big Bang Theory z tym walczył, chociaż eksponował bardzo te stereotypy, więc myślę, że w 2021 roku to już absolutnie nie ma sensu, zwłaszcza, że Elon Musk i tego typu wysokoprofilowi ludzie zarabiający tyle, ile łącznie my wszyscy na tym czacie nigdy w życiu nie zarobimy,
2499:  właśnie są geekami i nerdami i tak dalej, im to nie przeszkadza, więc ja uważam, że tego rodzaju kluby i stowarzyszenia robią taką robotę, którą powinny robić domy kultury!
2507:  Tylko, że wiecie jaka jest różnica?
2508:  Te domy kultury dostają wszystkie granty z Ministerstwa Kultury i Dziedzictwa Narodowego, teraz oczywiście wszystkie te granty, które mają w swoim tytule narodowy,
2516:  Natomiast te stowarzyszenia muszą się bić o każdą złotówkę i potem jest właśnie tak jak z konwentami, że są wielkie flejmy fanowskie i burze, że ooo, są bilety na konwent.
2525:  Tak, muszą być bilety na konwent z tego względu, że bardzo często organizatorzy nie dostają ani grosza z pieprzonego ministerstwa, które powinno wydatkować właśnie na tę kulturę, która kogokolwiek obchodzi i interesuje.
2537:  Ja jak byłem teraz na Dniach Fantastyki we Wrocławiu, mam świeżo w pamięci, więc dlatego o tym mówię, byłem niesamowicie zbudowany tym, co widzę.
2542:  Znaczy ja tam widziałem ludzi, którzy kochają kulturę.
2545:  chcą o niej słuchać prelekcji.
2547:  Z środek wakacji gromadzą się ludzie w sali i chcą słuchać ludzi, którzy mówią w zasadzie popularnonaukowe referaty.
2555:  Come on!
2556:  Widzieliście kiedykolwiek dom kultury, który byłby wypełniony?
2559:  Albo bibliotekę publiczną?
2562:  Dobra, zjeżdżam jeszcze na dus.
2565:  Lord Kelvin poleca z pisarzy mniej znanych Ewę Białącką i Ann Bishop, jak najbardziej się zgadzam.
2571:  Ja jeszcze bym dorzucił Magdę Świerczek-Gryboś, która jest absolutnie rewelacyjna, jeżeli chodzi o opowiadania i bardzo lubię jej opowiadania.
2578:  500 osób na live jest, no nie żartujcie nawet, coś wspaniałego.
2582:  Mam poprawkę z genetyki, dla mnie czarna magia, ale podobno na psychologii się przyda.
2585:  Jeżeli czarna magia, Rebeko Cloud, którą nawiasem mówiąc również widzę w gronie trybutariuszy, to bardzo dobrze, czarna magia jest lepsza od wszystkich systemów magicznych.
2594:  Dobra, zjeżdżam teraz na sam dół czata.
2596:  Co myślę o mundurkach szkolnych?
2598:  Tak, mundurki szkolne to jest kolejny element, który ma nas uczynić armią, która będzie później wykonywać rozkazy, więc jak najbardziej należy je zlikwidować, chyba że mundur, umundurowanie czy dress code szkolny jest związane z, jakby to ładnie ująć, z dumy, z przynależności do danej społeczności.
2615:  Zobaczcie sobie, jak to było ze strojami w Hogwarcie, nie?
2618:  Kto by nie chciał mieć takiego stroju?
2619:  Albo kto by nie chciał ubierać sobie, nie wiem, jakiejś bardziej przystrojonej togi w Oksfordzie, która jest przynależna wyłącznie tym, którzy na przykład mają najlepsze osiągnięcia?
2629:  Wtedy to jest troszeczkę inaczej, nie?
2631:  A jeżeli my mamy umundurowanie dla wszystkich, to wiadomo, że chcą z nami robić armię.
2635:  Czy czarna magia jest lepsza od magii ognia?
2638:  Tak, dlatego najlepsza jest czarna magia ognia.
2643:  Wyjaśni mi sens argumentu, że na polskie kołchozy, szkoły psioczą tylko defetyści i przegrywi, bo w prestiżowych międzynarodowych testach wyszło, że polscy gimnazjaliści są genialni.
2654:  Nie wiedziałem, że w prestiżowych międzynarodowych testach wyszło, że gimnazjaliści polscy są genialni, ale być może wyszło tak dlatego, że w innych krajach nie było gimnazjów i nie było tego, z czym porównywać.
2662:  Wszystkie międzynarodowe rankingi zestawiające różne systemy szkolnictwa są kant dupy rozbić z tego względu, że nie da się porównać amerykańskiego koledżu z polskim liceum, choćby dlatego, że w polskim liceum nie ma kortów tenisowych, nie ma orkiestry, w której każdy może grać na dowolnym instrumencie, jakim chce, albo nie ma wszystkich tych podstawowych rzeczy, które powinny być w koledżu.
2682:  Krótko mówiąc, kolecz amerykański ma taką ideę, że chce zainteresować ludzi maksymalnie dużą liczbą różnych aktywności życiowych, kulturalnych i sportowych.
2693:  A polski liceum postawia tylko na teoretyczną naukę.
2697:  No i ewentualnie tę patologię, którą jest WF, ale o WF-ie to nawet nie każcie mi mówić, bo będę rantował.
2703:  Z czego jest ta muzyka?
2704:  Słuchamy Jeremiego Soule'a album The Northern Diaries .
2709:  Jest to album, który Soule wypuścił na otwartej licencji, a ja lubię promować rzeczy na otwartej licencji.
2716:  Jakie tytuły anime bym polecił?
2718:  Może będzie mi łatwiej polecić z Netflixa, bo jest najbardziej dostępny dla wszystkich, takie mam wrażenie i tam polecam Hero Mask, polecam Gaku Sentoshi Asterisk, polecam Ergo Proxy, ale Ergo Proxy chyba nie ma na Netflixie, a już wspominałem o nim, na pewno Fullmetal Alchemist Brotherhood i na pewno wszystkie animki z serii Fate Stay, wyjąwszy jedną, której tytułu i tak nigdy nie pamiętam, ale Fate Stay Zero, Fate Stay Apocrypha, Fate Stay Unlimited Blade Works, to są rzeczy, które bym na pewno polecił.
2749:  Czarne magia jamników, tak, to coś wspaniałego.
2751:  Montessori.
2751:  W ogóle Montessori, czy takie szkolnictwo, nazwijmy to eksperymentalne, wszelkiego autoramentu, to jest zawsze dobra alternatywa względem tego, co jest w tej chwili.
2760:  Ponieważ to, co jest w tej chwili, to jest dno i siedem metrów mułu.
2765:  Więc wszystko, co nie będzie, tym będzie lepsze.
2767:  Najlepsza oczywiście jest edukacja domowa, ale nie wszyscy mają predyspozycje do prowadzenia edukacji domowej.
2773:  Mówię oczywiście o rodzicach.
2776:  Potem jest Montessori czy Szkoły Demokratyczne, a o Szkołach Demokratycznych się rzadziej mówi, a szkoda, bo są bardzo interesującym eksperymentem.
2784:  My Hero Academia nie znam.
2785:  Violet Evergarden na Netflixie też jest jak najbardziej.
2788:  Przyłączam się do Rebeki Cloud w polecaniu.
2791:  Chcę usłyszeć o WF-ie.
2792:  To usłyszycie, bo będzie jakiś odcinek o tym cały.
2795:  Czy ludzie nie są tu właśnie dla rantów?
2798:  No macie tu mnie, macie tu mnie.
2802:  Polecam kanał Klamawit Profundis.
2804:  Mają świetną muzykę na styl Lotra.
2805:  Proszę, proszę.
2806:  Ja wprawdzie nie chcę o nic zapytać.
2808:  Zapytał Mikołaj Głos, ale chcę pochwalić.
2810:  O, jak mi miło.
2811:  Dzięki panu koleżanka zainspirowała się do napisania pracy magisterskiej o Radku Raku i walczy o justice dla fantastyki.
2817:  Ale się cieszę.
2818:  To jest pozytywna sprawa.
2819:  Bardzo się cieszę.
2820:  Jakie książki z gatunków fantasy, science fiction polecam?
2824:  Zawsze staram się odpowiadać na to pytanie inaczej i zawsze wychodzi inna rekomendacja, ale to dlatego, że nie lubię kanonów, więc dzisiaj Wam polecę Rafała Kosika Vertical i polecę Wam z fantasy...
2838:  Co wam polecę z fantasy dzisiaj takiego, co będzie nietypowe?
2841:  Jeszcze zerknę do mojej ściągi.
2843:  A dziś wam polecę... A dziś wam polecę małe dusze Johna Crowleya, bardzo nietypową fantasy.
2852:  Ja właśnie wysyłam dziecko do Montessori i widzę super, jak się dwulatek rozwija bez przymusu i bez nacisku.
2856:  No właśnie, no właśnie.
2858:  Co sądzę o byciu designerem postaci do gier wideo?
2860:  Oj, super sprawa, tylko załóżcie, Art Station to jest absolutny obowiązek i publikujcie tam wszystko, co robicie, nie najlepsze rzeczy, tylko wszystko, co robicie.
2869:  Najwyżej później usuniecie tekst, w którym nie jesteście dumni.
2872:  Ale pamiętajcie, że z samooceną zawsze jest ciężko, to jest coś, co wyrabiamy latami.
2876:  A może się okazać, że to, co wy oceniacie jako oj, że to jest crap i nikomu się nie spodoba, to właśnie się komuś spodoba, bo będzie szukał takiego stylu.
2884:  Więc róbcie to zanim pójdziecie na jakieś kursy.
2888:  Albo nie dajcie bogowie do szkoły artystycznej, pamiętajcie, że liczba ASP w Polsce i szkół artystycznych, w których sensownie się wykłada grafikę komputerową pod design gier wideo, można je policzyć na palcach jednej ręki.
2900:  Dziękuję Red Angel za trybut na zachętę więcej troli w Wiedźminie, rozumiem, rozumiem, będzie.
2907:  Ta seria, której nie lubię, to pewnie Fate Stay Night.
2911:  Może, może, ale nie chodziło o tę, w której przenosimy się na jakąś stację orbitalną i tam są poziomy w tej stacji orbitalnej jak...
2920:  O, anime, której nie pominąłem ją, a którą powinienem wam wszystkim polecić.
2925:  Przecież Sword Art Online, sezon pierwszy i drugi to jest coś, co wycisnęło mi morza łez z oczu i co absolutnie kocham.
2933:  Violet Evergarden, zdecydowanie serial.
2936:  Kto jest gorszy jako minister edukacji i nauki, Giertych czy Czarnek?
2940:  No zdecydowanie Czarnek, co jest pewnym sukcesem i należy ministrowi Czarnkowi pogratulować tego sukcesu, bo być gorszym od Giertycha to jest pewne osiągnięcie.
2949:  Ja czytam właśnie Asimowa, pisze Colorful Me i ma rację, ponieważ niebawem będzie Fundacja.
2955:  Ja będę na pewno Fundację omawiał na tym kanale, bo ten serial się zapowiada tak samo niesamowicie jak Dune'a Danny Villanueva, więc czytajcie Fundację póki możecie.
2964:  Co sądzę o akcjach typu narodowe czytania, jaka przerywanie lekcji, żeby odczytać na radiowęźle fragment Pepe na Tadeusza.
2971:  Są takie rzeczy naprawdę, jakie to jest żałosne.
2974:  Narodowe czytanie zaakceptuje dokładnie w tym samym momencie, w tej samej godzinie, minucie i sekundzie wedle zegara atomowego, jak zostanie wprowadzone narodowe oglądanie serialu Suits albo Mr. Robot, albo narodowe granie w grę komputerową Wiedźmin 3, czyli najlepszą, ostatnią grę co studia CD Projekt Red, albo narodowe oglądanie animek.
2994:  Okej, wtedy i tylko wtedy zaakceptuję akcję postaci narodowego czytania, zresztą naprawdę nie jestem w stanie znieść ludzi, którzy biorą książkę, nie wiem, te wszystkie moje regały są za daleko, żebym sięgnął, to się powinno zmienić, jak się przeprowadzę, więc bym sięgnął książkę i zaczął wam odczytywać takim oto głosem, jakim zwykle czytają.
3013:  Ja tego nie jestem w stanie znieść, to jest powód, dla którego zresztą, jeżeli słucham audiobooków, tylko na półtorej prędkości.
3019:  Jaką mam opinię o twórczości Janusza Zeidla?
3021:  Uwielbiam.
3022:  Fun fact, Janusz Zeidel to były pierwsze książki, które przedstawiłem na referatach na konferencjach międzynarodowych, na które pojechałem i dowiedziałem się wtedy, że nikt nigdy nie mówił nic o Januszu Zeidlu w kontekście dystopii na kongresie Utopian Studies Society, czyli stowarzyszenia zajmującego się badaniem nad utopiami i dystopiami i bardzo mnie to zmartwiło.
3041:  więc mam nadzieję, że coś jest robione ku temu, żeby przetłumaczyć wreszcie Janusza Zagda na język angielski, bo może się naprawdę bardzo spodobać.
3050:  Czy będę zgłębiał lore Warhammera Fantasy i jeśli tak, to w jaki sposób, oprócz grania w to Warhammer?
3057:  Wiecie co, nie siedzę tak głęboko w lore, jeżeli już to się interesuje, tym przy okazji rozgrywek, więc może wtedy.
3064:  Czy myślałem kiedyś, żeby anime zastąpiło lektury?
3067:  Tak, oczywiście, to jak mówię, jeżeli lista lektur, to tylko i wyłącznie lista różnych narracji w różnych mediach, które warto poznać, więc tak jak najbardziej i musiałaby być ona aktualizowana co najmniej co pół roku.
3084:  Teraz znowu na koniec się przesunę, dobrze?
3086:  Kiedy nowy Warhammer?
3087:  Ostatnio Wiedźmin dostał, zbyt dużo miłości, będzie, będzie.
3090:  W przyszłym tygodniu w sobotę.
3092:  Tak?
3092:  Nie, przepraszam, w niedzielę będziemy grać w Warhammera.
3094:  Niedzielę zawsze był Warhammerowski.
3096:  Jakie jest moje najnowsze odkrycie muzyczne?
3097:  To, czego słuchacie w tym momencie, to chyba będzie moje najnowsze odkrycie muzyczne.
3101:  Już słuchałem tego bez przerwy praktycznie.
3104:  Czy znam dość starą grę Spellforce?
3105:  Tak, znam i lubiłem ją, jak w nią grałem, ale przebijam starszą grą pod tytułem Sacrifice.
3114:  Po sześciu lat Montessori jest Eleazar.
3115:  Jest zdania, że mentalność nauczycieli po polskich studiach jest wciąż zbyt zaściankowa, by prowadzić ten typ szkoły.
3121:  No właśnie, tego niestety nie unikniemy.
3124:  W moim mieście czytanie narodowe odbywa się w centrum miasta na skwerze na pięknym granatowym tle, a w pięciu rzędach szczyci do burmistrza śmietanka towarzyska.
3131:  Wiecie, a propos śmietanki towarzyskiej i właśnie tych wszystkich ludzi, którzy mają rozdęte ego i także erudycją ograniczoną do pana Tadeusza oraz...
3141:  Nie wiem, dowolnej innej rzeczy, wybierzmy sobie lalkę, bo nigdy dość gorzkich słów na temat lalki.
3146:  I jeszcze dorzućmy Olgę Tokarczuk, którą oczywiście wszyscy czytają, dlatego że wypada, a nie dlatego, że ktokolwiek by się nią zainteresował w pierwszej kolejności, co bardzo łatwo sprawdzić, patrząc na to, w jaki sposób sprzedaż Tokarczuk wyglądała w ten sposób.
3158:  Tak tankowała, tankowała na dole, na dole.
3160:  Nobel i teraz idzie.
3164:  No, więc Stanisław Jerzy Lec, którego uwielbiam, z racji jego zbiorku myśli nieuczesane, powiedział kiedyś, niech sobie ten przepis pamięta elita, że każda śmietanka na deser jest bita.
3175:  To tak a propos tej śmietanki towarzyskiej.
3179:  Który pub był najczęściej odwiedzany na polsce Steel czy Stary Port?
3182:  Do Starego Portu zawsze miałem sympatię i...
3187:  sentyment, ale bardziej są trendy puby na Kazimierzu i tam warto się przejść na Kazimierz, żeby na przykład takie omercie wylądować.
3197:  Jak Warhammer, to który Prymarcha z Warhammer 40k?
3200:  Pytacie mnie o imiona, których nie będę pamiętał i to jest bardzo przerażające, więc uchylam się odpowiedzi na to pytanie.
3208:  Czy znam jakiś sposób na pamięciówki?
3210:  Mam na myśli cały skrypt wzorów, z tego każdy dotyczy czegoś innego, a każdy jest ważny, chociaż żadnego nie będzie się pamiętać po tygodniu.
3216:  Ja ustosowałem mnemotechniki, głównie w formie wierszyków i oczywiście obscenicznych.
3221:  Jeżeli miałem coś zapamiętać i naprawdę nie byłem w stanie, to wtedy mnie to ratowało jakoś, bo nie ma nic piękniejszego niż obsceniczne wierszyki.
3229:  Na przykład wierszyk o Jezusie z Ulissesa, który nie wiem, czy kiedykolwiek wam recytowałem, ale być może zrobiłem to na jakimś streamie growym.
3237:  Co sądzę o Death Note?
3238:  Oglądajcie animkę, ale tę klasyczną, nie oglądajcie tej abominacji, która wyszła niedawno.
3244:  Sacrifice widzę, że był ogrywany, fantastycznie.
3249:  Dlaczego pomimo całego XX wieku, pyta Melekoek, i początku XXI komunizm jest tak popularną ideą na świecie, patrz USA.
3257:  To jest ciekawy problem i chciałbym, żeby to wybrzmiało.
3260:  Pamiętajcie, że jest różnica między marksizmem, leninizmem, a na przykład
3264:  z tymi szkołami marksowskimi, które na przykład opowiadają się po stronie tego, że być może kapitalizm kognitywny, czyli ta formuła, której na przykład doją nas z kasy w Genshin Impact, powinna być regulowana.
3277:  Albo upominają się o to, że może niefajne jest to, że boom na rynku pato-de-leveloperki sprawia, że ludzi z naprawdę dobrym wynagrodzeniem nie stać na kupno własnego mieszkania, ponieważ ono zaczyna kosztować już blisko miliona złotych.
3291:  60-metrowe mieszkania w Krakowie kosztują pod milion złotych.
3294:  Milion.
3295:  Wiecie, nie ma takich kredytów hipotecznych dla 30-latków, które by pokryły coś takiego.
3300:  Więc pamiętajmy, że pewne idee z zakresu marksizmu czy komunizmu nie są...
3307:  W określonych przypadkach do odrzucenia.
3310:  Natomiast odróżnijmy to od zbrodniczych ustrojów, czyli stalinowskiego i maowskiego, prawda?
3316:  Na przykład fakt, że część z feministek marksistowskich zachwyca się Mao wywodzi się z tego, że feministki rzeczone są z Ameryki, gdzie nie doświadczyły komunizmu takiego, jak myśmy doświadczyli.
3327:  Więc pamiętajcie, że to nie jest tak w stu procentach w czambuł do odrzucenia, tylko są pewne elementy tych idei, które są warte zachowania.
3335:  I druga kwestia, bardzo, bardzo mi się nie podoba ten wątek przypisywania uniwersytetom amerykańskim tego, że one są komunistyczne albo lewicowe.
3344:  Nie, nie są, chodzi tylko o niektóre.
3346:  Są to bardzo nieliczne przypadki, specyficzne w dodatku i to jeszcze chodzi zwykle o szkoły Ivy League, które są najbardziej medialne.
3353:  Co sądzę o szkołach katolickich zarządzanych przez Clare?
3356:  O, bardzo dobrze, że brzmiewa to pytanie, ponieważ teraz przedstawię argumentację miłą drugiej stronie barykady.
3362:  Mianowicie, uniwersytety i szkoły zarządzane przez Kler niech będą zarządzane wyłącznie przez Kler, to znaczy zero dotacji z ministerstwa, zero uczestnictwa w rankingach publicznych szkół wyższych, zero uczestnictwa w rankingach szkół średnich i zero uczestnictwa w czymkolwiek.
3378:  Jeżeli są katolickie, niech pozostaną katolickie i można tam uczyć wszystkiego, poczynając od teologii,
3384:  a skończywszy na, nie wiem, że religia katolicka jest lepsza od wszystkich innych religii na świecie.
3388:  Ale niech nikt mnie nie zmusza do tego, żeby uznawać naukowość którejkolwiek z tych instytucji edukacyjnych, ponieważ nauka jest cała poświęcona obalaniu aksjomatów i wymyślaniu nowych.
3400:  Aksjomat w religii to jest dogmat, którego nie możecie obalić.
3403:  To jest antynaukowe.
3405:  Nie można mieć z tego nauki, dlatego teologia nie jest nauką.
3408:  Jest działką filozofii w najlepszym przypadku.
3411:  A i tak ja uważam, że powinienem móc napisać rozprawę teologiczną na temat tego, czy imperator w świecie Warhammera 40k jest Bogiem, czy nie.
3418:  I to będzie moim zdaniem teologia.
3420:  Ale problem polega na tym, że teologia niestety dotyczy tylko i wyłącznie jednego Boga w jednej religii monoteistycznej w Polsce.
3428:  Więc to nie są, przykro mi, szkoły czy uniwersytety, które mają cokolwiek wspólnego z nauką.
3433:  Moim zdaniem, i witam Mejmana w gronie trybutariuszy, zanim zacznę na was krzyczeć.
3439:  Tak na serio chciałbym poznać argumenty przeciwko twórczości Tokarczuk.
3442:  Nie znalazłem nic poza jest głupia i już.
3444:  Nie, to nie jest to, że Olga Tokarczuk nie jest głupia.
3446:  Olga Tokarczuk jest pretensjonalna.
3449:  Rozróżnijmy to.
3451:  I ma egomanię, co widać w jej wywiadach.
3454:  I moim zdaniem, podkreślam to bardzo precyzyjnie, angażuje się wtedy w różne akcje społeczne o charakterze lewicowym, kiedy się jej to opłaca.
3465:  bo w niektóre się nie angażuje bardzo celowo.
3467:  Zobaczcie, że po tym, jak dostała Nobla, ucichła cała jej aktywność na tym polu, mimo żeśmy się nasłuchali o wrażliwych narratorach.
3475:  Grzech Olgi Tokarczuk jest bardzo prosty.
3478:  Olga Tokarczuk nie ma, i mówię to jako literaturoznawca dyplomowany,
3482:  warsztatu pisarskiego.
3484:  Porównanie jej z dowolnym pisarzem amerykańskim, a w Ameryce świetnie uczą creative writingu, czy niemieckim, czy brytyjskim, czy nawet z innymi noblistami, jak z Haruki Murakami na przykład, bo z Kazuo Ishiguro sprawia, że Olga Tokarczuk jest tu, a oni są tu pod względem warsztatowym.
3500:  I drugi argument na rzecz jej twórczości, mój na scenę negatywne, jest nudna.
3505:  I wiecie, to jest ważny argument, bo narracja musi być porywająca w jakikolwiek sposób.
3512:  To nie jest tak, że powieść jest dobra dlatego, że porusza jakieś wątki, dlatego jest dobra.
3516:  Jakie mam zdanie na temat Uniwersytetu Pedagogicznego?
3518:  Zależy od którego.
3519:  Generalnie rzecz biorąc, ja mam dobre zdanie na temat tej uczelni, na której pracuję, bo inaczej pracowałbym na innej.
3527:  Nawodnienie.
3528:  Dziękuję, dziękuję, dziękuję.
3529:  Już piję, już piję.
3531:  Dla wszystkich, którzy nie wiedzą, jest taka niepisana umowa między mną a czatami.
3537:  Żeby przypominać mi o tym, żebym się nawadniał, żeby nerki mi nie wysiadły.
3543:  W USA wśród lewicowców funkcjonuje bardzo negatywne określenie, takie jak zwolennik stalinizmu i maoizmu.
3549:  Domyślam się, że tak, rzeczywiście.
3551:  Nie dziwię się absolutnie.
3554:  What's your biggest sin?
3557:  A wiecie, odpowiem na to pytanie poważnie.
3560:  Kłóciłem się z wszystkimi, którzy mówili mi, nie idź na polonistykę na Uniwersytet Jagielloński.
3565:  Tam jest snoberia, nic tam nie zrobisz.
3567:  Ja mówiłem im, nie, wy ulegacie modzie, mówicie tak mi, dajcie mi zrobić to, co chcę.
3572:  Tak, uważam, że to był mój grzech, nie powinienem tak mówić tym ludziom.
3577:  Lubię twórczość Maliny Kostrzakowskiej, ale czytam Galaktyka i te wiersze, które pisała do Pana Lodowego Ogrodu, więc niewiele.
3584:  Jakich autorów polecasz, żeby zapoznać się, jaki jest najlepszy warsztat pisarski różnych?
3588:  Przeczytajcie Dana Browna i zobaczcie, jak się pisze wartką narrację, pełną akcji szybką, oszczędną pod względem opisów, a potem Johna Crowleya.
3597:  Zobaczcie, jak się pisze powieści absolutnie gęste.
3601:  A potem Umberta Eco.
3603:  To znaczy, człowieka, który nie dość, że umiał pisać powieści naprawdę bardzo ambitne, poza tym warsztatowym, też umiał je sprzedać Hollywoodowi.
3610:  Patrz, imię róży.
3612:  A z trzeciej strony jakieś opowiadanie.
3615:  A z czwartej strony short fiction, czyli krótkie opowiadanie na pół strony.
3619:  I w ten sposób, rozeznając różne style i patrząc, właśnie nie, że są jakieś dzieła, które są bezwzględne w tym bezwzględnym szacunku.
3629:  są najlepsze, tylko patrzcie na to na tych, które są najlepsze w swoim gatunku.
3636:  Gdzie studiować creative writing, pyta Dawid Wojacki, na sztuce pisania na Uniwersytecie Śląskim.
3641:  Polecam z całą odpowiedzialnością, bo a, wykłada tam Mikołaja Marcela, który jest autorem bestsellerów, więc to już jest dobra rękojmia.
3649:  Dwa, robią to moi przyjaciele, do których mam zaufanie i wiem, co robią i jak to robią, jak sobie z tym radzą.
3654:  Trzy, studenci, którzy są tam albo studiowali tam, wyszli zadowoleni.
3661:  Jakie powieści mnie ukształtowały?
3663:  Bardzo trudne pytanie, ale myślę, że właśnie wymienię Umberta Eco, Johna Crowleya, a z drugiej strony, nie wiem, na przykład Tolkiena czy Louisa wbrew pozorom.
3678:  Orwella.
3679:  Bardzo dużo jest tych powieści.
3681:  I powiem Wam też, może to być zaskakujące, że to nie jest tak, że ja krytykuję mainstream, bo go nie znam.
3689:  Ja bardzo dobrze czytałem całego Balzaca, całego Mana, całego Dickensa, całego Zolle.
3695:  Te powieści też mnie w jakiś sposób ukształtowały, ale równocześnie dały mi wiedzę co do tego, że to nie jest prawda, że one są lepsze od klasyki fantastyki i przez fakt, że klasyka fantastyki jest nieobecna, zajmuje takie stanowisko, jakie zajmuje.
3710:  Co sądzę o Jakubie Żulczyku?
3711:  Nie czytałem nic Jakuba Żulczyka.
3713:  Przy wahadle Foucaulta Robert Górski wymiękł, ale to nie dziwię się, bo to jest powieść złośliwa.
3718:  To jest powieść napisana po to, żeby zrobić czytelnikom pranka na sam koniec.
3723:  Nie będę wam spoilował.
3724:  Dzięki tobie znów zacząłem czytać lektury po latach.
3726:  No Jezu, jak się cieszę.
3727:  Naprawdę mi bardzo miło.
3729:  Czy oglądałem Alters Cambo na Netflixie?
3731:  Oglądałem i wiem, na czym polegają zastrzeżenia wszystkich, którzy traktowali to jako adaptację trylogii Takesiego Kowacza, Richarda Morgana.
3740:  Ja nie potraktowałem tego jako adaptację tej trylogii i poczułem się z tym znacznie lepiej.
3744:  Natomiast każdy, kto czytał i potem obejrzał serial, będzie nieszczęśliwy, więc jedyna rada, jaką mam, pierw obejrzeć serial, a potem przeczytać książki, bo są lepsze.
3751:  Czy widziałem wykłady Sandersona z pisania fantasy?
3754:  Coś mi się przemknęło gdzieś przez feedy, ale głównie czytałem Sandersona na jego blogu.
3760:  Co myślę o RPG-ach papierowych?
3762:  Bardzo szanuję wszystkich, którzy umieją w nie grać, ja nie.
3765:  Co sądzę o Dostojewskim?
3766:  Bracia Karamazow, Idiota, Zbrodnia i Kara mam uszeregować?
3770:  Szczerze powiedziawszy, Zbrodnia i Kara będzie na samym końcu, bo chyba Bracia Karamazow mi się najbardziej podobali.
3778:  Czytałem, słuchałem opowiadań w uniwersum o szablonie Humans are Spaceworks.
3783:  Nie, nie czytałem, ale domyślam się, że Warhammer.
3787:  Dla ludzi zainteresowanych, Creative Writing, Malen poleca cykl wykładów Sandersona, całość dostępna na YouTubie, Writing Excuses, podcast również w formie podcastu, bo przyłączam się do tego.
3797:  Czy wziąłbym udział, jakby mnie zaprosili do dwóch typów podcast?
3799:  Pewnie, że tak, zwłaszcza, że ich słucham.
3802:  Więc z całą przyjemnością.
3803:  Ja w ogóle generalnie rzecz biorąc na wszystkie pytania pod tytułem, czy wezmę udział, jak dostanę zaproszenie, odpowiadam tak, bo mi się nie zdarza odrzucać zaproszeń.
3811:  Gdyby zaprosili mnie do debaty na temat Olgi Tokarczuk na Wydziale Polemistyki UJ, też bym przyjął zaproszenie.
3816:  A wiecie dlaczego?
3817:  Dlatego, że w ogniu polemiki hartują się poglądy.
3820:  To nie jest i uważam, że jest bardzo dużym błędem ta praktyka ghostowania czy cancelowania, która jest dzisiaj obecna.
3827:  Właśnie to nie jest, to nie jest dobry
3830:  To nie jest dobry sposób.
3831:  Trzeba rozmawiać ze sobą.
3832:  Natomiast, żeby nie było, ja starałem się zorganizować debaty z udziałem krytyków literackich na Wydziale Polonistyki Uniwersytetu Jagiellońskiego, no ale niestety część ludzi z Katedry Krytyki Współczesnej była bardziej zajęta obsmarowywaniem mi dupy niż robieniem tego rodzaju rzeczy.
3848:  Aha, jak się cieszę, że zostanie to utrwalone.
3850:  W związku z powyższym te projekty niestety przepadły w niwecz.
3854:  Czym jest według mnie wolność?
3856:  Hmm.
3858:  Wolność jest wewnętrznym stanem, w którym nie czujecie ograniczeń.
3862:  Nie tylko tych, które są na was narzucane, ale także tych, które nie narzucacie sami na siebie.
3868:  Prawda jest taka, że potrafimy się sami najbardziej zniewolić.
3870:  No czy to poprzez uzależnienie, czy na przykład poprzez zinternalizowanie, uwewnętrznienie różnych zakazów, które mieliśmy przez całe życie.
3878:  Mnie przeraża na przykład, że ludzie, którzy przeszli przez koszmar edukacji języka polskiego, czy w ogóle edukacji w Polsce, są w stanie powiedzieć tak,
3886:  To jest dobre, się Krzysztof czepiasz, bo możemy wpakować dzieciaki do szkoły, jak idziemy do pracy.
3891:  A co, gdzie one by się podziały wtedy?
3893:  Ja sobie myślę wtedy, no to nie jest wolny człowiek, bo on został już opanowany przez tego swojego nadzorcę, który był na zewnątrz i stał się swoim nadzorcem wewnętrznym.
3906:  To sądzę o fanfikach i innej twórczości fanowskiej.
3907:  Pytanie od Erin.
3908:  Bardzo cieszę się, że coś takiego zostało powiedziane na czacie.
3912:  Uwielbiam, z bardzo prostego powodu.
3914:  To znaczy, to jest, zauważcie, jedyny obszar kultury, w którym coś takiego się dzieje.
3917:  Pokażcie mi jeden fanfik do twórczości Olgi Tokarczuk.
3920:  Miałem popijać za każdym razem, więc popijam.
3924:  Nie ma.
3924:  Co więcej, uważam, że gdyby powstał, to prawdopodobnie byłby lepszy, a na pewno miałbym to przeczytał.
3928:  I widzicie, fanfiki dowodzą właśnie tego naszego zaangażowania w kulturę.
