🔴 Studzimy nasz zapał, dmuchając na zimne | LIVE #14
🔗 https://www.youtube.com/watch?v=WL6pr7S-N1I

90:  Dziękujemy.
2701:  Między innymi słowo do traki.
2703:  Ale całą resztę wymyślił David J. Patterson.
2706:  To jest geniusz absolutny.
2707:  Muszę powiedzieć, że byłem w szoku, jak w tym filmie właśnie słuchałem, jak coachował autentycznie ludzi, w jaki sposób na przykład funkcjonuje akcent w jego sztucznych językach.
2719:  To jest absolutnie nieprawdopodobny wykład językoznawczy, który uważam, że powinien być na uniwersytetach obwoźnym wykładem bez najmniejszych kłopotów.
2730:  Fantastycznie zrealizowany.
2731:  Polecam go.
2732:  Mega.
2733:  Dzięki za przeciekawe pytanie, tak swoją drogą.
2736:  Kazarek Łonowic już ja mnie czego ognia.
2737:  Dziękuję Ci serdecznie za trybut.
2739:  Po 43 minutach streama dostałem powiadomienie.
2741:  Tak to bywa, moi drodzy, niestety.
2743:  Dlatego te wszystkie dzwoneczki, subskrypcje i tak dalej, kan dupy to rozbić wszystko.
2748:  I tak nic nie działa.
2750:  Dlatego trzeba kompletnie się tym wszystkim nie przejmować.
2754:  Ja mogę tylko być zadowolony z tego, że nigdy w życiu się nie zniżyłem do tego, żeby żebrać o takie rzeczy na kanale.
2761:  Richard Morgan, jestem po Altered Carbon i nie wiem, czy opłaca się zapoznać z książkami, pyta Olek Bednarek.
2766:  Popatruję tutaj, bo mam nad sobą Richarda Morgana.
2769:  Absolutnie warto się zapoznawać z jego książkami.
2771:  To jest jeden z najlepszych cyberpunków, jaki możesz znaleźć.
2775:  Dynatyk, dzięki serdeczne za dołączenie do ogrona wspierających.
2777:  Bardzo dziękuję.
2780:  Więc Richarda Morgana polecam, tak samo zresztą jak polecam klasyków cyberpunkowych, no ale właśnie w takiej kolejności.
2785:  Zacząłbym od Modyfikowanego Węgla, potem jest Upadły Anioł, Zbudzone Furie, Siły Rynku.
2792:  I jeszcze są zbiory opowiadań, na przykład trzynastka.
2795:  No, to dobra rzecz, dobra rzecz w każdym razie.
2798:  Czy Tomas Mauby według mnie pierwszym pisarzem fantasy?
2800:  Pyta Justyna Śmigiel-Klimżyńska.
2802:  Tak uważam, głównie z uwagi na to, że Utopia jako utwór ma jako pierwsza... Nie wiem, czy ja ją kiedyś pokazywałem.
2810:  Pokazywałem wam Utopię Mora, czy nie pokazywałem?
2813:  Nie wiem, czy ja w ogóle mam to.
2814:  Muszę teraz szybko zajrzeć, czy ja to mam, tak?
2818:  Ale nie, mam w beznadziejnym polskim przekładzie, którym się kompletnie nie należy przejmować.
2825:  Więc wydaje mi się, że wam tego niestety, a nie, jest w edycji w Cambridge, zobaczymy, czy to jest ta edycja, której ja szukam.
2832:  Ojej, żeby to było to, to wtedy będziecie zadowolonymi ludźmi.
2837:  Ale obawiam się, że to może być po prostu edycja naukowa, a pozbawiona tego, co mnie bardzo interesuje.
2843:  do pokazania wam i obawiam się, że właśnie tak jest.
2846:  Tak, tak właśnie jest.
2847:  No więc oryginalnie utopia jest opatrzona różnego rodzaju uzupełnieniami i te uzupełnienia z mojej perspektywy przesądzają o tym, żeby to traktować jako pierwszy taki przykład narracji światotwórczej, głównie z tego względu... Dobra, znalazłem, znalazłem, znalazłem, znalazłem, znalazłem.
2861:  Głównie z tego względu, że no właśnie znajdują się tam takie uzupełnienia, których nie ma w innych przypadkach literatury.
2866:  Dobra, może zrobimy sobie tak, żeby to był dwie strony układ ciągły.
2869:  O, dobra, teraz to zobaczycie.
2871:  Więc w edycjach zagranicznych utopii wygląda to w ten sposób, że mamy sobie mapę utopii i oprócz tego jest alfabet utopijny.
2884:  Jeżeli jest fikcyjny alfabet, umówmy się, bo już rozmawialiśmy sobie o conlangach, to znaczy, że jest światotwórstwo.
2890:  W tym alfabecie utopijnym jest zapisana cała strofa, która pozwala na rekonstrukcję języka.
2900:  Uczynił mnie król Utopus mną, bo kiedyś nie byłam wyspą i uczynił z półwyspu wyspę, prawda?
2910:  Ja spośród wszystkich narodów zostałem wykorzystany do tego, żeby sportretować miasto filozofów.
2921:  Oddaję się swobodnie mymi wierzeniom, ale równocześnie nie przystaję na akceptację czegokolwiek, co byłoby lepsze ode mnie.
2931:  Wiem, przepraszam, na szybko tłumaczę ze stara angielskiego, tak?
2935:  Ale chodzi w tym o to, że...
2936:  Wyspa Utopia mówi tutaj w pierwszej osobie, że sobie nie wyobraża, żeby było cokolwiek lepszego od niej.
2941:  Co w tym miejscu oznacza, że mamy do czynienia z kreacją fantastycznego miasta.
2945:  Dobra, muszę przerwać na moment, bo Five Rogal trybutuje, że zaczyna studia w Holandii w wieku 25 lat i się martwi, że za późno, że się nie odnajdzie w grupie, albo że będzie za stary, żeby znaleźć pracę, potem cóż począć.
2955:  Nie ma czegoś takiego, jak bycie za starym na studia.
2958:  W zasadzie mogę Ci tylko powiedzieć, że dojrzałość emocjonalna i intelektualna to jest coś, co Ci się raczej przyda, bo być może będzie Ci łatwiej zaakceptować pewne absurdy, które się na studiach znajdują i nie polegać tak bardzo na programie studiów, tylko po prostu robić we własnym zakresie to, co Ci się żywnie podoba, bo od tego są studia.
2975:  Wykłady, ćwiczenia mają Cię inspirować, a cała reszta to jest nasza własna robota.
2979:  Dobra, więc wracając jeszcze do wątku utopijnego na moment,
2982:  Oprócz tego macie jeszcze jakieś listy fikcyjne, które zostały tutaj dodane do tego i tego jest strasznie dużo, prawda?
2989:  I można sobie zadać bardzo proste pytanie, po jaką cholerę ktoś coś takiego zrobił?
2993:  Po jaką cholerę ktoś pisał jakieś wiersze jeszcze do tego wszystkiego tutaj?
2997:  No po taką cholerę, że dokładnie to samo robił na przykład, żeby daleko nie szukać, Frank Herbert z Dune'ą.
3003:  Też pisał historię, kalendarium, też opowiadał o tym, jaki jest...
3009:  literatura i jak ona się tworzy, ba, nawet w którymś momencie powstała taka gigantyczna encyklopedia, która się nazywa Encyklopedią Duny, gdzie nawet macie hasło dotyczące tego, jak skonstruować balisetę, czyli fikcyjny instrument z tamtego świata.
3020:  Ale się rozgadałem, nie zadawajcie mi takich pytań, będę się rozgadywać.
3025:  Sanity, dzięki za trybut, co się stało ze streamami z Total War'a?
3028:  Środy, nie ma śród, nie ma śród Sanity.
3032:  Środy wypadły, mam wtedy zajęcia, więc nie mam kiedy streamować Total War'a, niestety.
3036:  Ale z drugiej strony cieszę się, ponieważ Warhammer Total War 3 jest w tak strasznym stanie technicznym, że nie mam siły z nim walczyć, no autentycznie.
3043:  Jeżeli nawet robię jakieś małe nagrywki dla studentów, to przy zoomowaniu w przód i w dal mapy są nieprawdopodobne błędy, koszmar absolutny.
3056:  Ilfie pyta o największą radę do tworzenia świata i ogólnie worldbuildingu.
3061:  Pozornie najistotniejsza jest przestrzeń.
3065:  Najistotniejszy jest czas.
3067:  Pokaż upływ czasu w świecie.
3068:  Wtedy ludzie nie będą ci mówić, tak jak widzowie Rings of Power, że scenografia twoja została zaprojektowana wczoraj i wykonana przez rzemieślników wczoraj i teraz jest już na scenie, na planie filmowym.
3081:  nikt tak nie powie, ponieważ będzie naznaczona zębem czasu, będzie widać ten upływ.
3085:  Dlaczego Andor, dlaczego Mandalorian, dlaczego Rogue One i podobne produkcje w uniwersum Star Wars są tak postrzegane, a nie inaczej, a cukierkowe Disneyowskie produkcje od właśnie The Last Jedi w górę nie?
3098:  No z tego względu, że w tych pierwszych czuć upływ czasu.
3100:  Zbroje są brudne, naznaczone czasem i nie mamy takiego wyrażenia, że wszystko zostało wypreparowane po to, żeby opowiedzieć jakąś fajną historię widzowi.
3108:  a tymczasem na przykład taka kapitan fazma została prowadzona tylko po to, żeby był fajny, świecący się kostium.
3113:  Naprawdę, nie ma innej funkcji kapitan fazmy, w roli której marnuje się Gwendoline Christie, niż właśnie to, żeby był fajny ludzik, który można go później w Lego sprzedać, z płaszczem i srebrzystym uzbrojeniem.
3125:  Koszmar absolutny.
3129:  Azrael jeszcze pisze, że rywalizacja wszechobecna w szkole systemowej bardzo stresuje do tego stopnia, że trafił do szpitala psychiatrycznego.
3135:  Support dla ciebie gigantyczny z naszej strony.
3137:  Szkoła w murze dała możliwość pomóc sobie i popracować nad fobią.
3141:  Dobrze zawsze słyszeć, że są rozwiązania, które mogą w takiej sytuacji pomóc.
3145:  Ja tylko mogę dołożyć swoje trzy grosze i powiedzieć, żebyście się nie poddawali tak jak Azrael i walczyli.
3153:  Czy znam jakiegoś polskiego badacza gier cyfrowych od strony stymulacji poznawczej?
3157:  Spróbuję projekt studencki rozkreślić w tym temacie, ale nie jest to łatwe.
3162:  Już co profesor Sitarski może Ci pomóc, ale on się zajmuje bardziej kwestiami architektonicznymi.
3168:  Ale still, z takich technicznych myślę, że to nie jest zły pomysł, żeby tam zacząć.
3174:  Czy oglądałem Wielką Wodę?
3175:  Nie, to jest polski serial, nie oglądam.
3177:  Z definicji nie oglądam.
3178:  Ja jestem tak zniecierpliwiony polskimi serialami, filmami, produkcjami, że stwierdziłem, że mniej stracę, jak po prostu nie będę żadnych oglądał, bo zyskam na pewno niewiele, biorąc pod uwagę różnego rodzaju moje fobie, przede wszystkim problem z udźwiękowieniem, przede wszystkim problem z polskimi aktorami, którzy wszyscy mają przydech walenrodyczny i ja nie jestem w stanie wytrzymać ludzi mówiących, że oto się napiją, o skubka, o...
3206:  Ja wolę szkołę aktorstwa amerykańskiego, że no napij się z kubka, tak?
3210:  Koniec.
3211:  Tyle w temacie.
3212:  Ale polscy aktorzy zawsze muszą udawać, że są na scenie teatru i to najlepiej, żeby to było od razu Broadway, a nie zdają sobie równocześnie sprawy z tego, że nawet aktorzy broadwayowscy nie odstawiają takiej szopki.
3226:  Wytautus Wojciechowski pyta, czy praca licencjacka na kierunku, który jest złą decyzją życiową jest dobrym pomysłem?
3234:  Przeboleć to, czy pieprznąć w cholerę?
3237:  Jeżeli kierunek jest złą decyzją życiową, to wcale nie oznacza, że praca będzie złą decyzją życiową, bo praca może być o tym, co ty chcesz napisać i co ty chcesz.
3244:  Więc wtedy przeboleć, natomiast w innych okolicznościach pieprznąć w cholerę.
3249:  Jeszcze Magdalena parokrotnie pytała, czy w Wydziale Humanistycznym nagle wykłada profesor Ignacy Fiut.
3254:  Profesor Ignacy Fiut już nie wykłada, jeśli mnie pamięć nie myli, ma tylko jeden albo dwa zajęcia, trzeba to sprawdzić w sylabusach, bo jest już tak zwanym profesorem emeritusem, czyli profesorem emerytowanym.
3265:  Tobiaszu, dziękuję serdecznie za trybut.
3266:  Oglądałem ostatnio zapis streama ze StarCrafta, zastanawiał mnie, czy Krzysztof rzuci nuke'a, zapomni o nim, wleci w zasięg własnymi jednostkami.
3273:  Nie zawiodłem się.
3274:  Rozumiem, że zrobiłem wszystkie z tych trzech rzeczy, o których mówisz.
3277:  Ja jestem, dla tych z was, którzy nie wpadają na streamy growe, zdolny do rozumienia całkowicie zrandomizowanych, dziwacznych rzeczy, których nikt by nie zrobił i jakimś tym jestem w stanie doprowadzić do każdego błędu.
3287:  To mi mówi, że powinienem chyba zajmować się quality assurance, czyli kontrolą jakości w grach wideo.
3295:  Tomasz Johnson, dzięki za wsparcie 9 miesięcy.
3298:  Bez trybu, po prostu dziękuję za streamy.
3300:  To ja dziękuję za wspieranie w takim razie.
3303:  Czy będzie Bookshelf Tour?
3305:  Był Doroto, był, był, był, był, był, był, był.
3307:  A!
3308:  które mam w innych pokojach.
3309:  Haha!
3310:  Może kiedyś, ale zbliża się to coraz bardziej, moi drodzy, bo tak jak informowałem Was w karcie społeczności, dokonałem dzięki przechojnym trybutom i wspieraniu kanału, wyłącznie dzięki temu, bo nie byłoby to inaczej możliwe, zakupu kamery, i to dobrej kamery, która teraz premieruje, Sony FX30.
3326:  Obiektyw już mam.
3329:  No i ten zakup jest po to, tak sobie imaginuję, żebym w razie czego mógł tę kamerę wyjąć i coś nagrać.
3333:  Kompletnie tego nie umiem robić, ale być może kiedyś będzie to możliwe.
3337:  Ale to jest kwestia możliwości w perspektywie 3-4 lat raczej niż kiedykolwiek indziej.
3345:  Doktor Who oglądałem Kossakowskie, ale do pewnego momentu.
3347:  Nie widziałem ostatnich dwóch sezonów i całkowicie z premedytacją.
3351:  Nigdy nie zagram Darkest Dungeon Next.
3354:  Nie jest to w moim stylu gra, naprawdę.
3356:  Kiedyś wbiłem sobie w Google grafikę, jak wygląda i stwierdziłem, okej, nie, to nie dla mnie.
3361:  Czy czytałem książki z serii Mag Bitewny?
3363:  Mika pyta.
3363:  Nawet tam polecałem w którymś momencie Maga Bitewnego.
3366:  Zresztą mam to.
3368:  Tu gdzieś.
3372:  Tak, mam!
3377:  Proszę bardzo.
3379:  Polecam.
3380:  Dobre czytadło.
3381:  Przyjemnie się czyta.
3382:  Dobry system magiczny.
3384:  Świetnie poprowadzona akcja i dobrze opisane bitwy i wydarzenia.
3387:  To nie jest proste.
3388:  Co powinno się składać na wątek romantyczny, aby był postmodernistyczny?
3392:  Postmodernizm zakłada zawsze jakąś krytyczną grę z ustalonymi motywami i z czymś, co już jest wyświechtane, że wszyscy to rozpoznają.
3400:  Już jest dawno w encyklopedii TV Tropes.
3403:  Jak nie wiecie, czym jest TV Tropes, nawiasem mówiąc, to od razu pokazuję, bo chcę, żebyście mieli jakąś referencję.
3409:  TV Tropes to jest taka przecudowna swoją drogą encyklopedia, w której możecie znaleźć najbardziej wyświechtane tropy w telewizji, w serialach, w kulturze itd.
3421:  Więc jeżeli coś tutaj się pojawia, to niechybnie oznacza to, że można z tym jakoś sobie grać postmodernistycznie właśnie.
3428:  Więc w zasadzie biorąc pod uwagę to, że komedia romantyczna jest
3431:  takim nurtem czy gatunkiem, który jest idealnie powtarzalny, no to jedyne, co by trzeba było zrobić, to na przykład zamienić ze sobą rolę, znaczy protagonistę na antagonistę, albo przedstawić to z perspektywy antybohatera, albo jakiejś niesamowicie toksycznej niewiasty, która wcale nie przechodzi żadnego redemption act, to znaczy nie jest odkupiona w troku narracji i fabuły, tylko wręcz przeciwnie, utwierdza się w swoich przekonaniach.
3453:  Coś w tym stylu.
3455:  Daniel Mielowiec trybutuje, za co serdecznie dziękuję, ale bez tekstu, więc nic nie pominąłem.
3462:  Arcykapłan Dziki Bodbru w śle pozdrowienia z Wielkiej Tamy, która przeklina router za przerywanie streama.
3468:  Routery działają na magię, moi drodzy.
3472:  Ja nie uważam, żeby to miało cokolwiek wspólnego z technologią.
3474:  Tam jest po prostu, tak jak powiedział mądry Sir Terry Pratchett, tam siedzi diabeł i on decyduje kapryśnie, które lampki się zapalą, które się nie zapalą, czy coś zadziała, czy nie zadziała.
3484:  Dokładnie tak samo działa komputer.
3489:  O, Martyna pisze, że uwielbia TV-człopów.
3490:  No proszę.
3492:  Ilfi pisze, że osobiście szkoła uzależnia go od rywalizacji i bez nierobienia czegokolwiek jest praktycznie niemożliwe.
3496:  Bez rywalizacji.
3497:  Oj, tak, no rywalizacja to jest bardzo duży problem i to się pojawia absolutnie wszędzie.
3501:  Niestety, moi drodzy.
3504:  Ja nie jestem w stanie już czasem nawet z tym walczyć, ale mogę wam kiedyś zrobić film o tym, w jaki sposób rywalizacja zniszczyła polską naukę.
3513:  na każdym poziomie.
3514:  To będzie bardzo smutny film.
3518:  Fatalnym.
3519:  Dobrym startem do czytania Gary'a Gavrila Kaya jest albo Lwy Arrasanu, albo Tigana, ale bardziej Lwy Arrasanu, bo tam jest więcej akcji.
3529:  Macie moją gwarancję,
3539:  że i fabuła tej gry, i muzyka zrekompensuje Wam brak Detroit na streamach, i mnie również.
3544:  Jest to jedna z moich ulubionych gier, w jakie zagrałem w całym swoim życiu.
3548:  Oczywiście jest znacznie dłuższa i bardziej open-worldowa, ponieważ Deus Exima Revolution to jest tak zwany immersive sim,
3555:  Więc to jest coś podobnego do Dishonored, który sobie ograliśmy już na streamach, a zatem gra jest pozornie, pozornie ograniczona i zamknięta, nie ma więc otwartego świata, ale tak naprawdę w obrębie tego pseudo-zamkniętego świata oferuje nam bardzo dużo swobody eksploracji.
3570:  Dlatego immersive sim, bo jest imersywny, zanurza nas, ale zarazem jest to symulator, czy mamy kontrolowane warunki i możemy sobie w ramach tego na przykład właśnie symulować różnego rodzaju konsekwencje naszych decyzji i wyborów.
3583:  Będziemy mieli dużą sądę na początku streamu pierwszego, więc wpadajcie od razu w przyszłym tygodniu, jak on też będzie zostanie zapowiedziany, czy gramy w trybie lethal czy non-lethal, czyli czy gramy w trybie zabójczym, czy też pacyfistycznym.
3600:  Mytus123 dołącza do grona trybutariuszy, za co bardzo dziękuję.
3604:  Łuczyki dopowiada, że polska edycja MAGA odbitywnego ma dobrą okładkę.
3608:  Fabryka słów generalnie ma dobre okładki, ale najlepsze okładki ma MAG tak długo, jak będzie współpracował z Doug Kryonem.
3615:  Doug Kryon to jest moim zdaniem jeden z najlepszych polskich
3618:  ilustratorów.
3618:  Co myślą o Halloween?
3620:  Bardzo sympatyczna rzecz, przede wszystkim jeżeli chodzi o rezonowanie kulturowe.
3624:  Nie mam wrażenia, żeby w Polsce było jakoś mega często obchodzone, w takim oczywiście trybie, w jakim jest ono obchodzone w Stanach, co wcale nie oznacza, że nie może zacząć być, bo to jest przyjemna rzecz.
3633:  Przynajmniej raz jeden miejmy coś pozytywnego, a nie tylko umartwianie się, które jest w Polsce tak nam wtłaczane od dziecięctwa.
3641:  Czy kreska w anime jest dla mnie ważna?
3643:  Pyta, czuję się krzesłem.
3644:  Ja się nie czuję krzesłem, ale jest dla mnie ona bardzo ważna.
3648:  i jest jedna postać, która też się czuje krzesłem.
3652:  Krzesło Chippendale.
3654:  Dlaczego ja pamiętam takie rzeczy?
3656:  Dlaczego ja pamiętam takie rzeczy?
3662:  To była bardzo stara animacja.
3664:  O Boże, tak!
3666:  Tak!
3666:  Mam to!
3667:  Mam!
3668:  Znalazłem!
3670:  Mówiłem?
3671:  Krzesło w stylu Chippendale.
3673:  Tak, tak właśnie.
3675:  A to jest krzesło w stylu Chippendale na krześle w stylu Chippendale.
3679:  Ten dziwny ktoś w którymś momencie wygrawerował nawet na księżycu swoje imiona.
3685:  Dlaczego ja pamiętam kreskówkę kleszcz w takich okolicznościach?
3688:  No, więc kreska anime jest dla mnie bardzo ważna.
3691:  Anime, od której w ogóle zaczynałem wszystko, to było Ergo Proximo i jeżeli...
3695:  O właśnie, ktoś uważa, że o, ja już nie będę oglądać anime, bo tam są dziewczynki z różowymi uszami, no to good luck, tak?
3704:  Polecam.
3704:  A, i bardzo lubię polecać również Ergo Proxy wszystkim, którzy z klasistowskim nadęciem mówią, że wolą sobie literaturę od anime, bo powodzenia w zrozumieniu, o co chodzi w pierwszym sezonie za pierwszym razem takiej osobie.
3717:  Zwykle nie rozumiemy, jest to bardzo zabawne.
3720:  Zerowy Marmur, dzięki serdecznie za trybut.
3722:  Czy mogę poruszyć temat chłopaka, który odebrał życie przez gnębienie?
3725:  Świeża sprawa.
3726:  Staram się nie poruszać takich kwestii, bo ja, to jest troszeczkę powyżej mojej pokrywki, wiesz, ten temat, z bardzo różnych powodów.
3734:  Mogę o tym wzmianknąć przy jakiejś okazji, ale muszę mieć do tego dobry pretekst, ponieważ rzecz, której nienawidzę ponad absolutnie wszystko, to robienia nagłówków na tragedii innych ludzi.
3746:  To jest
3747:  obrzydliwe, że żyjemy w czasach, w których na przykład, nie wiem, streamerka, jak ona się nazywa, Amoref bodajże, jest gnębiona i jest temat przemocy domowej.
3756:  Oczywiście, że pewną zaletą tego, że się o tym mówi, jest to, że mówimy o temacie przemocy domowej, ale jednak
3764:  to pokazując konkretną osobę i tak dalej.
3766:  Nie chcę w coś takiego iść.
3768:  To znaczy, dla mnie to jest przekroczenie pewnej granicy.
3771:  A jeżeli chodzi już w ogóle o samobójstwo, to tym bardziej.
3773:  To nie jest temat, którym bym w życiu polecił, poświęcił jeden film na przykład.
3778:  To jest coś, o czym można wspomnieć, żeby w komentarzach potem ktoś nie powiedział, że ha!
3782:  co tam, bullying w szkole, to trzeba, to będziesz się silny, silny, tak, będą cię bulować, zobacz, to jest tyle, Elon Musk i ten, wszyscy byli bulowani, proszę, to też potrzebujesz tego, mhm, tak, i rachunku od psychoterapeuty, rachunku później za chorobę wrzodowo-żołądka, od gastroentrologa i tak dalej, i tak dalej, tak, potrzebujemy tylu rachunków wszystkich za leczenie, bo oczywiście leczenie państwowe nie istnieje, jeżeli chodzi o tego rodzaju zakres specjalizacji, tak,
3810:  Bardzo tego potrzebuję i potrzebuję tej grubej skóry.
3813:  No, to w takim kontekście, żeby pozbyć się takich komentatorów od razu z horyzontu poznawczego, można zaadresować taką kwestię.
3820:  Ale wiecie, raz to zrobiłem przy filmie o WF-ie i oczywiście co powiedzieli ludzie?
3825:  No nie zgadniecie, bo ja przywołałem przypadek śmiertelny na lekcji WF-u.
3830:  to jeden przypadek był.
3832:  No ja rozumiem, że chcemy, żeby było tysiąc, no najlepiej, żeby było tysiąc dziennie, to wtedy się zainteresujemy sprawą, tak?
3840:  Więc ten argument jest straszny w momencie, w którym dyskutujecie z kimś, to jest wyzuty z empatii, ponieważ jeden, jeden taki przypadek, jeden, jeden
3849:  jest skandalem.
3850:  Nie miało prawa do takiej sytuacji dojść.
3852:  Nigdy w życiu.
3854:  Nawet w Potterze chciano zamknąć szkołę, jak zabita została uczennica.
3859:  W Potterze, który jest wzorem wszystkich patologii, jeżeli chodzi o zarządzanie instytucją edukacyjną.
3865:  A ja się zdenerwowałem.
3867:  Co sądzę o CGI w anime?
3868:  Nie mam nic przeciwko.
3869:  Bardzo lubię np.
3870:  Unlimited Blade Works.
3872:  który jest krytykowany za nadmiar CGI.
3873:  Dla mnie nie ma nadmiaru CGI.
3874:  Dziękuję istotę żyjącą za trybut.
3877:  Ja, Jacku, dziękuję za wsparcie od dwóch miesięcy.
3879:  Bardzo.
3881:  Fantazy w klimacie posłowiczej podłodze.
3883:  O, to ciężko.
3885:  Fantazy inspirowane japońskimi klimatami.
3888:  No może w Polsce Arkady Saulski coś takiego też pisał, ale nie czytałem jeszcze, więc ciężko mi wam polecić.
3895:  Ale bardzo jest niewiele powieści, fantazy, które są inspirowane klimatami japońskimi.
3904:  Pan Skorpion pisze, że w H&M jest do kupienia niesamowity, jamniczy, świąteczny sweter z dzwoneczkiem na obrożny.
3908:  To przepiękne, absolutnie.
3911:  Worbis pyta, czy oglądałem serial Experiments Lane.
3914:  Nie, nie oglądałem.
3917:  Czy jestem w stanie wyjaśnić zakończenie Ergo Proxi dla 3602?
3919:  Nie będę spoilował, to po pierwsze.
3921:  Po drugie, jeżeli myślisz, że pamiętam fabułę Ergo Proxi, nie, nie pamiętam już.
3926:  Ale wiem, że wywarła na mnie niesamowite wrażenie.
3929:  Dlaczego łycha Merto?
3932:  Dlaczego łycha?
3934:  Czy była jakaś seria książek fantasy, pyta Tormund, lub pojedyncza pozycja fantastyczna, która mnie odrzuciła po jakimś czasie?
3940:  Uj, bardzo dużo, bardzo dużo.
3941:  Mugły awalonu Marion Zimmer-Blady, to jest taki honorable mention.
3945:  Jedna z najgorszych rzeczy, jakie czytałem w całym swoim życiu.
3948:  Boże, to się ciągnęło jak stara guma do rzucia przyczepiona do podeszwy.
3952:  Koszmar absolutny.
3953:  Nie byłem w stanie tego przeczytać.
3955:  Mario Nunan, dzięki za wsparcie od 13 miesięcy.
3957:  Wędrowiec poznawia Władcy Ognia i Jamników.
3960:  Bardzo mi cieszy ten tytuł.
3964:  Wszystkie w tłumaczeniu Marii Skibniewskiej.
3970:  Psychopass był oglądany, Abbelek.
3971:  Death Note też był oglądany.
3973:  To absolutna klasyka, więc trzeba, trzeba.
3978:  Klappautjuszanimomon pisze, że całą sobotę szukał książki Towing Jehowa w polskim przekładzie, żeby kupić ojcu na urodziny.
3983:  Po dwóch godzinach spytał się na Discordzie i mówił, że Pióra Archanioła.
3986:  Co?
3987:  Pióra Archanioła?
3987:  Naprawdę?
3988:  Przedziwny przekład, absolutnie.
3991:  Wola Tileskim, dzięki za wsparcie od pięć miesięcy.
3993:  Ale nadrabiam.
3994:  Kawendy Mustawa pyta, czy można wpływać na moje wykłady jako wolny słuchacz online też.
3998:  Wiecie, technicznie staje się to coraz bardziej utrudnione, ponieważ ja jestem człowiekiem leniwym, to znaczy wyobraźcie sobie, że pisze do mnie 100 osób w tym temacie i ja muszę każdej wysłać link na przykład.
4007:  Póki nie ma tego jakoś sensownie zrobionego na jakiejś jednej platformie, że ja jestem w stanie po prostu jeden link puścić, będzie wszystko w porządku.
4015:  To jest bardzo duży z tym kłopot.
4018:  Natomiast mam wykłady stacjonarnie też, ale tam też z kolei jest ograniczenie, jeżeli chodzi o liczbę miejsc.
4022:  Tak jak powiedziałem, jak będą jakieś otwarte wykłady, to ja Wam dam link i dam Wam informację o tym, że coś takiego jest.
4029:  Zrobienie tego w ciągu roku akademickiego przy obecnym zacofaniu technologicznym jest ekstremalnie trudne.
4036:  Z mojej perspektywy i z moich doświadczeń mogę to powiedzieć teraz już wprost, bo akurat kończę pracę nad kursem online.
4042:  który nie jest taki, jak bym chciał, by był.
4044:  W każdym razie jest taka konkluzja, że na YouTube da się to zrobić lepiej.
4050:  No nie żartuję w tym momencie.
4051:  I to jest mój plan.
4052:  To jest plan bardzo odległy, od razu mówię.
4055:  To jest plan odległy w stylu, nie wiem, za pięć lat, może za sześć, nie wiem.
4058:  Nie wiem.
4059:  Ale będę chciał zrobić coś takiego na YouTubie, wymyślić od samego początku kurs jeden jedyny, który będzie odzwierciedlał wszystko to, czym się zajmuję i to będzie taka rzecz do polecania i do rekomendacji, bo w gruncie rzeczy ja się cały czas zajmuję podobnymi tematami, tylko mam różne przykłady, ale już teraz widzę, przetestowawszy absolutnie każde narzędzie do pracy zdalnej, jakie istnieje, bo mam głównie zajęcia zdalne,
4080:  że wszystkie nie nadają się do przedstawiania gier wideo.
4083:  Wszystkie.
4084:  Albo są problemy z glitchującą kamerą, no nie żartuję,
4087:  Tak przerażające problemy, że nie byłem w stanie ich rozwiązać.
4089:  Albo są problemy z dźwiękiem, albo są problemy z share'owaniem ekranu, albo są problemy z share'owaniem aplikacji, które pracują w innej rozdzielczości, czyli najczęściej o odświeżaniu ekranu, czyli najczęściej gry wideo, albo jest problem z HDR-em.
4100:  Zawsze jest z czymś problem.
4102:  I nawet mój workflow, który mam pod streamy, w żaden sposób mi nie pomaga w zajęciach.
4107:  Co więcej, mam poczucie, że one są znacznie gorsze jakościowo.
4111:  Dlatego też niechętnie wysyłam linki, niechętnie polecam, bo po pierwsze jest to bardzo skomplikowane technicznie, po drugie logistycznie dla mnie, a po trzecie nie mam takiego poczucia, że dawałbym coś więcej niż daję w tym momencie na przykład, bo bardzo często mi się zdarza mówić Wam rzeczy, które mówię na wykładach.
4128:  Jak ktoś pisał licencję lub magisterkę w dziedzinie, w której się zajmuję, ja, to czy było mi możliwe przeprowadzenie ze mną wywiadu?
4135:  Tak, zawsze jest możliwe, absolutnie.
4136:  Najlepiej na Insta do mnie w tej sprawie pisać, albo na maila.
4139:  Czy to nie jest tak, że Akademie Zachodnie są najlepsze na świecie, pisze Michał Kaczor właśnie przez kult kompetytywności?
4145:  Nie.
4146:  Moim zdaniem są dlatego takie dobre, że tam wyłuskuje się talenty.
4151:  U nas jest inna strategia, to znaczy właśnie robimy ludziom piekło po to, żeby doszlusowali do jakiegoś poziomu.
4158:  Nie ma żadnego poziomu.
4160:  Najlepsze uczelnie działają w ten sposób, że dają się zaskoczyć ludziom, którzy rzeczywiście mają jakiś potencjał.
4166:  W jaki sposób się taki potencjał tworzy?
4168:  No ciekawe, dlaczego na Uniwersytecie Oksfordzkim stosuje się tutoring.
4173:  Czyli maksymalnie indywidualną i antyrywalizacyjną technikę dydaktyczną, która polega na pracy indywidualnej z mentorem.
4180:  No nie wiem.
