🔴 NIE KUPUJCIE TEJ 💩 GRY — DRAGON'S DOGMA II Livestream
🔗 https://www.youtube.com/watch?v=igWJJgW2ho0

3:  i jej.
2881:  Przepraszam.
2883:  Czyli to jest po prostu, moi drodzy,
2888:  Teleport, jak znam życie.
2898:  A nie, już wiem!
2899:  Hmm, waluta pierwsza, huhuhuhuhu!
2903:  To jest, moi drodzy, jakieś gówno sieciowe.
2906:  Ooo!
2911:  No i to wygląda ładnie, a to wygląda odrażająco.
2917:  W jaki sposób ja z tego wychodzę?
2919:  W jaki sposób ja z tego wychodzę?
2921:  STOP!
2922:  STOP!
2925:  Leave the rift.
2927:  Uff, udało się.
2929:  Ja będzie z tym zeskaniem jaką rasą będę?
2931:  Oczywiście, że elf.
2933:  A to z tego względu, że elfy są najlepsze w magii.
2935:  Dobrze, moi drodzy, idziemy za znacznikiem.
2937:  Kydles pisze, że Game of War idzie do Dragon's Dogma za kreator postaci.
2940:  Tak jest!
2941:  Dzięki za trybut.
2944:  Joshua.
2949:  Dobrze, idę już odpocząć.
2952:  Idę, idę.
2953:  Dobrze, niech i tak będzie.
2960:  Czyli dlatego każą mam odpoczywać, więc mówiliście, że ja się nie mogę wyleczyć bardziej?
2965:  Sprawdźmy to.
2967:  Tak, to jest maksimum.
2969:  Rzeczywiście jest kara za utratę zdrowia, ale debilizm.
2972:  Gdzie mogę odpoczywać?
2974:  Przepraszam, myślałem, że odpoczynku służą łóżka.
2985:  Mapa świata wszelako śliczna, tak.
2989:  Apollyon pisze, że trafiła na live'a w swoje urodziny WSZYSTKIEGO jamniczego!
2992:  Moi drodzy, jest szansa na to, że jamniki pojawiające się na czacie to będzie najbardziej interesująca część dzisiejszej rozgrywki.
2998:  Wszystkiego jamniczego w urodziny, Apollyon.
3001:  Tak.
3002:  Być obwodem jest lepsze niż być bezpośrednim, nawet jeśli nie trenujesz się.
3005:  Wciąż warto się poddawać... Być obwodem jest lepsze niż być bezpośrednim.
3011:  Ok.
3011:  Aby wyświetlić ogień, wyświetlaj ogień.
3014:  Powinieneś przestać na mieście w Melvi, jeśli dostaniesz szansę.
3023:  Tak.
3023:  Staying at inn fully restores your party's health and stamina.
3026:  Jakie party?
3027:  Jest tylko nie do magii Amnix.
3030:  To kosztuje?!
3037:  On ci subtelnie sugeruje, że za to trzeba brać no monety.
3040:  Właśnie zauważyłem.
3042:  In order not to die, stay alive.
3044:  Właśnie.
3047:  W ręce mocny drugi level.
3049:  Dobrze, to gdzie się leveluje?
3054:  Ewidentnie nie tutaj.
3061:  Gdzie się leveluje?
3065:  Gdzie się leveluje?
3066:  Go to items menu, może tu.
3073:  Boże drogi, czy ja się doczekam, powiedzcie mi moi drodzy, czy ja się kiedykolwiek w życiu doczekam dobrze zaprojektowanego interfejsu, czy nigdy?
3082:  Przecież to jest, przecież to jest zrobione w Excelu.
3086:  To jest po prostu zrobione w Excelu.
3090:  Jesus Christ, ja nie wiem, to jest po prostu niesamowite.
3099:  Okej, usłyszycie to raz.
3103:  Daxos ma lepiej zrobiony interfejs użytkownika.
3109:  Lepiej.
3110:  Ja żałuję, ja żałuję, że pospieszyłem się z kończeniem artykułu, bo to byłby, to byłby mój czwarty przykład.
3118:  Boże, jak ja żałuję, że tego, przecież to jest, przecież to jest jakaś aberracja.
3122:  Znaczy, przepraszam, ale to jest aberracja.
3126:  Znaczy... Jak?
3132:  Hej, oł!
3133:  Jesteś żołnierzem.
3135:  Byłoby zaskoczeniem, gdybyś przyjechał w jednym kawałku, jeśli nie.
3138:  Mnóstwo monstrystów się w tym miejscu zakończyło wczoraj, widzisz?
3141:  Musieliśmy zacząć wysyłać nowych rekrutantów, by ich wywołać.
3147:  Czy to tak?
3148:  Helder, mam nadzieję, że będzie dobrze.
3149:  Tak, mam nadzieję, że będzie dobrze.
3163:  Przypominam, że recenzenci twierdzili, że gra jest wspaniała, zanim dostali informację o mikrotransakcjach.
3168:  Cicardo.
3169:  Szczerze mówiąc, panie dyrektorze, trochę się obawiam.
3174:  Co?
3175:  W tych miejscach nie działo się informacji o Harpie?
3177:  To ja nie mogę sobie z nimi poradzić.
3180:  To jest pierwszy raz, że słyszę o tym.
3187:  Jesus Christ.
3189:  Czy wy widzicie pracę kamery?
3190:  To jest początek gry.
3192:  Początek gry i ja muszę ślipić w tył z wadźcy karczycha, który jest przede mną z jakimś idiotycznym pawężem.
3201:  To nie jest... To nie jest quest poboczny.
3204:  To nie jest, kurwa, quest poboczny.
3206:  Ssuń swoją dupę z przede mnie, tak?!
3210:  Ssuń dupsko!
3216:  No przecież to jest niesamowite, ja nawet go nie mogę wypalić!
3219:  Co to w ogóle jest? !
3229:  Boże drogi, mogę priorytetować questy, świetnie!
3236:  Następne, następne, co będzie kolejne?
3240:  Co będzie kolejne?
3241:  Proponuję wyścig, który jest questem głównym i jeżeli nie jesteście w stanie wygrać wyścigu, to nie progresujecie.
3252:  Czekajcie, żeby to było piękne.
3254:  W ręce mocnej z nami popierdala przynajmniej, tyle tego dobrego.
3268:  Nie, to Magiamniks otwiera drzwi!
3278:  Ja od dzisiaj tak wchodzę na uczelnię.
3280:  Koniec.
3281:  Będzie to bardzo wesołe.
3285:  Jaki... Jakie hojne objęcia.
3290:  Dobrze, zabijmy coś przynajmniej.
3293:  O Chryste, dawno takiego jota nie widziałem.
3295:  Przypominam, Sauron, że recenzenci byli zachwyceni.
3298:  Kto robił dobrą recenzję tej gry?
3300:  Słyszałem, że ROG, słyszałem, że gry online.
3302:  Kto jeszcze?
3309:  Moi drodzy, możemy sterować pionami.
3311:  To mi!
3312:  Wait!
3313:  Help!
3315:  Moi drodzy, przećwiczmy najważniejszy.
3321:  Help!
3322:  Help!
3325:  O, ale, ale, ale, ale fokusowanie działa, nie?
3329:  To, co kocham z Dark Souls, to działa, nie?
3331:  O, to zawsze będzie działało, to zawsze będzie działało.
3334:  Pewnie, o, naturalnie.
3335:  W ręce mocnej już ginie.
3337:  Miałeś być tankiem.
3344:  GIIIIIN!
3345:  Ale wypalanie jest dobre, moi drodzy, to... to przyznam.
3350:  Pominąłeś wynajęcie drużyny, tu się gra czterema osobami?
3353:  Watch me.
3356:  Proszę bardzo, Jamnix level up.
3365:  Czy oni właśnie zrobili high five?
3369:  Proszę, powiedzcie mi, że to się nie stało.
3372:  Czy oni, czy oni... Czy mój, mój potężny mak właśnie zbił pionę z podrzędnym przydupasem w ręce mocnym?
3382:  Czy naprawdę to się zdarzyło?
3386:  Ja nie wierzę, ja nie wierzę w to, co się dzieje.
3388:  Zrobimy kanodynę w takim razie.
3390:  It is about time we pressed on, wouldn't you say, master?
3405:  Hashtag Dice of Cringe.
3407:  Moi drodzy, jest i pierwszy loot crate.
3424:  Co by było, gdyby projektanci Dragon's Dogmy wręczali komuś jamnika?
3428:  Proszę, to twój jamnik.
3433:  Nie umiem lepiej zniknąć.
3435:  Ale to było piękne.
3437:  Gdzie ja mam teraz iść?
3439:  O Boże.
3440:  Dobrze, bo idziemy przez bród.
3443:  W bród.
3445:  Jezus.
3445:  Od dzisiaj tak zabieram rzeczy z uczelni.
3447:  Dokładnie.
3449:  Te animacje wyglądają jak... Tak, jak skeczy Viva la Deadly.
3452:  Dokładnie, Łukasz.
3453:  To jest to.
3454:  To jest idealne porównanie.
3459:  Jeee.
3461:  Co tu się dzieje?
3463:  Okej.
3467:  Możemy schować, moi drodzy, kostur do pochwy.
3470:  Jest jeden problem, nie mamy żadnej w okolicy, ponieważ nie jesteśmy rycerzem z rycerzem.
3475:  To jest ten moment, kiedy cieszę się, że nie do magii amniks jest płci męskiej.
3484:  Idziemy stąd, gdziekolwiek.
3486:  Gdzie jest znacznik?
3488:  M?
3488:  Dobrze, tu jest znacznik.
3491:  Nie mam zielonego pojęcia, jak tam iść.
3495:  Po prostu do kokwy, tak chciałem powiedzieć.
3498:  Nie no, ewidentnie tędy.
3501:  Ja nie umiem... Widzicie, już się zgubiłem.
3505:  Ja już się zgubiłem.
3508:  Nie, nie, nie, nie, nie, nie, nie, nie.
3509:  Tutaj ewidentnie trzeba przejść.
3512:  Tu jest jakieś tajemnicze przejście, tajemnicze.
3515:  Ja nie mogę wskakiwać?
3516:  Nie mogę.
3529:  Czy gry mogą komunikować lepiej, gdzie należy pójść, czy nie?
3535:  No, Krzysztof, musisz się nauczyć.
3537:  Oddaj szacunek deweloperom.
3541:  Jesus Christ.
3542:  Musisz kupić podpowiedź za 5,99.
3543:  O!
3543:  Przepraszam?
3551:  Czy w ręce Mocny zaczął dyszeć?
3554:  Gawę!
3555:  Harsput.
3556:  Zebraliśmy Harfuta pierwszego, moi drodzy.
3563:  Okej, nie wiem, co w ręce Mocny zrobił.
3566:  Trefniś, hojdy.
3568:  Oj, uwielbiam postać, moi drodzy.
3570:  Wszystko, co jest z Archiwum Burzowego Świata jest wspaniałe.
3574:  Proszę bardzo.
3576:  Cutscena.
3577:  Można cutscena.
3578:  To ja użyję mojego jedynego zaklęcia, które mam.
3607:  Co w buty, moi drodzy?
3619:  Ludzie mówili, że Potter na podstawie siódmej, ósmej części to było napieprzanie z kałasznikowa z... z łóżki.
3627:  Nie.
3632:  Ciężki kostur maszynowy.
3634:  Tak, no dokładnie Eldar, jak w ostatniej części Pottera.
3638:  Przeładuj kostur.
3649:  Chciałem się spytać, czy polecasz grę, ale recenzję nie zachęcała, przesłałem ją prosto do Magicznego Glocka i mam odpowiedź.
3656:  Ale podobno byli recenzenci Dosek, którzy mówili, że spoko, że fajnie, tak, tak.
3661:  I dopiero teraz się zaczęli wycofywać.
3665:  In my completely honest and definitely not biased opinion, ptaszyska powinny spadać z nieba jak oberwą wodą, powinny padać jak kulermat, nie to prawda.
3671:  You saved me this time, but I won't always be so fortunate.
3675:  Wiecie co, zaczynam dochodzić do wniosku, że w niedzielę będziemy grać w Horizona.
3679:  Nie, przepraszam, ja... Ja wiele umiem wytrzymać, ale...
3697:  Musimy teraz wrócić do Phila.
3699:  Doktor Phil by się tu istotnie przydał.
3703:  W ręce Mocny lata jak kot z pęcherzem.
3705:  Przestań latać jak kot z pęcherzem!
3708:  Kretyn!
3712:  Krzysztof nie chce odpalić God of War, ciśnie w ten kartonik.
3716:  Wiecie co?
3717:  Jestem skłonny odpalić God of War wkrótce.
3720:  Teraz moja cierpliwość została wystawiona na próbę.
3725:  Dobrze, idziemy dalej w stronę znacznika.
3727:  Jestem zdeterminowany, żeby zrobić chociaż jeden quest.
3730:  Świat wygląda ładnie.
3731:  Nie no, bez przesady, moi drodzy.
3733:  Przypomnijcie sobie, jak wygląda Wiedźmin.
3735:  To jest... Czy ja nie mogę nawet... Czy ja nie mo... Moi drodzy.
3749:  To są najwyższe ustawienia graficzne.
3753:  Gra nam mówi nawet, że możemy zachować pryszcze na twarzy.
3762:  4090, 64 giga RAMu.
3765:  Nie, to nie jest ładna grafika.
3767:  Znaczy, moja karta powinna w tym momencie zrobić upscale tych tekstur i może wtedy, może wtedy.
3775:  Paskudne UI, jak zawsze.
3776:  Czy ja słyszę warchlaka, moi drodzy?
3779:  Zabijmy warchlaka.
3785:  No, świnka nie umrze, nie, nie, nie, nie, nie, nie.
3790:  Leście w bębny, zadmijcie wrogi.
3800:  Oto wieprz nadchodzi, w blasku pożogi.
3809:  Moi drodzy... O, nie, nie, nie, nie, nie, nie, nie... No to zmienia postać rzeczy!
3822:  Jest tak samo.
3826:  Jest tak samo!
3831:  Nie ma żadnej różnicy!
3834:  O nie!
3842:  Boże, dostaliśmy za to expa.
3844:  Wiecie, że nie można tego zaklęcia w żaden sposób cancelować?
3846:  To jest niesamowite.
3848:  O, o, i dobrze, dobrze, za ścieżką, za ścieżką.
3855:  W God of War nie grasz magiem?
3856:  Wiecie co?
3856:  Wszystko mi jedno, ja po prostu potrzebuję dobrej gry.
3860:  Czy nie szkoda mi 300 zł?
3861:  Ja rozważam, bo wiecie, do 4 godzin można oddać.
3867:  Co się stało?
3868:  Ży, ży, ży, ży, ży, ży, ży, ży, ży, ży, ży, ży.
3872:  Ile?
3885:  Do dwóch godzin.
3887:  To trudno.
3889:  Czekaj, czekaj.
3894:  Przecież... Przecież on...
3901:  Nie.
3902:  Warto było.
3903:  Wciąż warto było.
3904:  O Boże.
3908:  Ale w uzasadnionych przypadkach można dyskutować.
3912:  O Jezus.
3922:  Aż imię przekładajcie na 50%?
3924:  Co wy mówicie?
3925:  Gdzie tu jest 50%?
3926:  Jakim cudem?
3926:  Ja to zmieniałem wszystko na początku.
3931:  Gdzie jest niby 50%?
3931:  A rendering mode!
3936:  Ale to jest upscale moi drodzy, ach to!
3946:  Okej.
3953:  Dalej nie ma żadnej różnicy!
3958:  Nie no, ale to jest niepoważne.
3963:  Nie no, teraz się zdenerwowałem.
3965:  To jest oszukiwanie graczy.
3970:  Nie no, serio, nic się nie zmieniło.
3981:  Eee... Jestem oburzony, no autentycznie.
3986:  Widzicie i to jest powód, dla którego ja ceniłem... Ja ceniłem Cynical Brita.
3991:  To znaczy on robił... No już sprawdzę.
3996:  On robił recenzję opcji.
4003:  Tak, jest taka różnica, że więcej zasobów zużywa, dokładnie.
4008:  Ale to jest skandal.
4021:  Teraz zmniejszyłem, bo co mam żyłować, kompa?
4028:  Dramat.
4032:  Mówicie, że trzeba pewnie zestartować grę?
4034:  Whatever, niech to recenzenci ogarną.
4036:  Ja nie będę się tym pierniczył, zdenerwowałem się.
4039:  10 godzin się rozkręca?
4041:  Nie wierzę w to.
4042:  To nie jest kwestia tego, czy to się rozkręca, czy nie.
4044:  To są fundamentalne błędy w projekcie interfejsu i gameplayu.
4049:  I narracji.
4049:  To jest najmocniejsze.
4050:  Ale to nie wycofanie Cię od Twojej śmierci.
4063:  Absolutnie fabuła się nie klei, znaczy tutaj jest spaprana ekspozycja narracyjna, ekspozycja świata, to znaczy ja w ogóle nie czuję się zainwestowany w tym.
4071:  Moja postać jest jakimś herlawym suchotnikiem z amnezją.
4077:  Ja wiem, że to jest niedomag, ale bez przesady, co mu się teraz dzieje?
4089:  Okej.
4091:  Dobrze, no przynajmniej tyle.
4096:  No przynajmniej tyle.
4097:  Prej, daj pomocy!
4129:  Naprawdę?
4150:  Musiałem sobie rozmasować głowę.
4154:  Polecam masażer do głowy.
4200:  To jest parodia.
4217:  Przynajmniej smok prawilny z sześcioma końcami jakaś nędzna wiwerna.
4223:  Powiedzmy, że jest to jakaś zaleta.
4271:  Nie jest to Benedict Cumberbatch.
4278:  Stąd ta blizna, wyrwali nam serducho.
4281:  Konsekwencja bycia rycerzem, moi drodzy, zamiast żeby walczyć porządnie jak mag, walczyliśmy jak jakiś klepawy rycerz-snycerz i takie są tego konsekwencje.
4294:  Bioshock Infinite robił lepiej interfejs diegetyczny zamykanych i otwieranych powiek, a ściślej filtr sytuacyjny, ale spoko.
4301:  To jest efekt, który można zrobić mniej więcej w 13 sekund w OBS-ie lub w premierce.
4309:  Czy to jest jedna z tych lokacji, która ma być piękniejsza?
4311:  Jeśli tak, zawiodła.
4316:  Serio, tak, tak.
4318:  Szczizował walkę.
4324:  Przynajmniej jest jedna piękna pani, moi drodzy.
4326:  Ona wprawdzie wygląda dokładnie jak żeńska wersja Smigola, ale myślę, że to wciąż najlepsze, co nas w tej grze spotkało.
4335:  Ostatecznie Smigol lepszy jest niż Callum.
4338:  Callum.
4341:  Mam wrażenie, że ta pani się uśmiecha do nas sztucznie.
4351:  Oczywiście nasza postać jest niema, zgodnie z tradycją ostatnich, nie wiem, ilu gier już.
4361:  Cinematic ze skawanami wyszedł do nowej edycji Age of Sigmar, czy to oznacza, że zobaczy jakiś Cinematic z Age of Sigmar?
4366:  Nie do wiary.
4369:  Co się dzieje z jej ustami?
4370:  Nic, po prostu gry wideo cofają się.
4372:  Znaczy, tutaj mamy dewolucję gier wideo, a nie ewolucję gier wideo.
4377:  I cały postęp technologiczny ostatnich 20 lat został w tym momencie cofnięty.
4383:  Było Cell zamiast... A, było Cell... Naprawdę?
4386:  Przepraszam, nie patrzę na dialogi.
4396:  Ja też jestem zawsze Ariesen, jak się obudzę.
4403:  To jest wielka inspiracja Falloutem 76.
4408:  Tak.
4421:  Ja rozumiem taką twarz w grze, a nie w cutscenkach.
4424:  Ale cutscenki na silniku gry są prawilne.
4426:  Patrzcie, jak seksownie Niedomagiamniks leży.
4429:  O Boże, ten popin.
4431:  Ale to jest najlepsze, że w tak kiepskiej grafice macie wciąż popin.
4441:  Niedomagiamniks jest znacząco wyższy.
4449:  Chcę tylko przypomnieć, że Pentiment śmiga po cztery dyszki, a Pentiment to jest dobra gra, trzeba byłoby ją ograć, to jest mądre Staszek Ptaszek.
4461:  Czy u ciebie też wszystko takie szare?
4463:  Wszystko szare!
4464:  Tak, u mnie też jest wszystko szare, cały czas!
4467:  Znaczy, ja mógłbym teraz wam sztucznie podbić kontrast w OBSie.
4472:  Właśnie, i to niby nie może działać w 60 FPS-ach, dlatego mówię, że to jest skandal.
4490:  Boże, te dialogi wszystkie są generyczne.
4493:  Wszystkie.
4493:  On powiedział siedem zdań i to jest ekwi... To są dialogi z Genshin'a z World Questów, nie żartuję.
4502:  Oszukiwali na zajawkach, nie było tak szaro.
4505:  Tak?
4510:  Nie wiem, może to jest jakaś opcja podciągnięcia kontrastu, a szczerze powiedziawszy, nigdy w życiu jeszcze czegoś takiego w grze nie musiałem robić.
4518:  Uff, display, brightness, no nie brightness.
4528:  Nie, nie ma tutaj kontrastu, nie, nie ma kontrastu, Boże, to jest jakaś kompletna paranoja.
4534:  Dobrze, zbumpuję ten image quality, whatever.
4540:  Może to na to wpływa, ale wątpię, zobaczcie, bo tutaj macie... Tu macie dobry kontrast, czyli to jest zjebane.
4547:  A tu jest po prostu szaro wszędzie.
4556:  Zaczynam być coraz mniej rozbawiony, a coraz bardziej zły.
4559:  Bo teraz rozumiem jakaś pierwsza lokacja, która się pojawia w grze.
4563:  Przerywanie eksploracji dialogiem, kocham to.
4571:  Zobaczyć w display jeszcze?
4572:  Sprawdzę.
4574:  Ten kaszojat jest niewiarygodnie brzydki.
4581:  Może ta gra była tak niezoptymalizowana, że musieli ją downgrade'ować przed premierą, żeby jakakolwiek działała.
4585:  To jest możliwe oczywiście.
4587:  A polskiego języka nie ma RZ, ponieważ pieprzyć Polaków.
4589:  Za to jest rosyjski!
4599:  Prawda?
4600:  Ciekawe porównanie z tego wychodzi z Białym Sadem z Wiedźmina Trzeciego.
4603:  2015, dobrze pamiętam?
4604:  Wiecie co?
4615:  Chyba pierwszy raz w grze CRPG nie przyjmę sidequesta.
4619:  2015 to był wie... No, no, no, 2015... Dobra, jeszcze display mówiliście.
4623:  System, options, display.
4625:  Nie, to jest brightness tylko.
4626:  HDR, który i tak mi nic nie da, ponieważ na OBS-ie nie jestem w stanie na razie prze... przechwytywać HDR-u.
4641:  Bardzo możliwe.
4645:  Escape options refund, tak.
4651:  300 zł.
4654:  Boże, ale autentycznie, te tekstury, które są z tyłu... Widzicie, co tu się dzieje?
4659:  Czekaj, ja specjalnie zniknę, żebyście mogli to podziwiać.
4666:  W lewym górnym rogu drga tekstura.
4669:  To jest nieprawdopodobne absolutnie.
4673:  Teraz powiedz mi, jesteś zrejestrowany w guildie?
4675:  Może już to wiesz, ale zrejestrowanie się w guildie będzie... Dobrze, pójdę do guildi, skoro mnie potrzebuje.
4682:  Nie ma problemu.
4683:  Jeśli chcesz znać o wakacjach, może mogę ci napisać.
4685:  O magiach.
4685:  Jest to wakacja dla tych, którzy szukają uprawy mystycznej armii.
4688:  Magicznej.
4688:  Magi mogą zapłacić wielką ilość magii i pomagać swoim sojusznikom z magicznym wsparciem.
4704:  Boże, jakie to jest brzydkie.
4708:  Czy w Enderalu są polskie napisy wszelako?
4711:  To ma funkcję DLSS, tak, ma. ...
4719:  To wszystko jest drewniane?
4721:  No, no bo jest łóżko drewniane, bo jest stół drewniany i podłoga drewniana.
4726:  Co będziecie krytykować projektantów, tak?
4728:  No jeżeli masz drewnianą podłogę, to ją projektujesz w drewniany sposób, z wykorzystaniem drewnianych tekstur i drewnianych umiejętności.
4734:  Czego oczekujesz, roszczeniowe pokolenie?
4739:  Bardzo dobrze.
4739:  Nie ma żadnego błędnego wyboru.
4741:  Ale ja nie mogę zająć się więcej...
4750:  Ja jestem teraz... Wystałem level, nie wiem za co.
4758:  Jesus Christ.
4764:  Tysiąc pięćset za... Tysiąc pięćset za odpoczynek?
4766:  Tysiąc... Tysiąc pięćset?
4768:  Tysiąc pięćset?
4769:  How about skierdalaj?
4771:  Tysiąc pięćset za odpoczynek.
4772:  Sto pięćdziesiąt za odpoczynek, może.
4775:  Ta gra nie ma ekonomii żadnej.
4779:  Tysiąc pięćset.
4780:  Tysiąc pięćset za... Skandal!
4789:  Kto to jest?
4792:  Kto to jest?
4793:  Dlaczego ona wygląda tak brzydko?
4794:  Dlaczego wszyscy są brzydcy?
4797:  Tylko nie do magii, Amnix nie jest brzydki.
4799:  Gra angielski, angielski z grami, dziękuję serdecznie za trybut.
4802:  Osberv otrzymuje wsparcie i Kazerko trybutuje i zachęca do Code Vein, a GenGreymon pisze o angielskim voice actingu i polskim napisie cak do Enderala.
4812:  Niuch!
4813:  Akceptuję, zagramy w Enderala.
4815:  Tylko muszę go ogarnąć, pobrać.
4819:  A będę mieć miejsce, wiecie?
4820:  Aaa, wiecie ile zajmuje Dragon's Dogma?
4823:  A, wróciłeś.
4824:  Dobry czas.
4825:  Mam dla Ciebie pytania.
4855:  100 giga, z czego 85 to śmieci.
4857:  No autentycznie, autentycznie, a nie aż sprawdzę, żeby was nie okłamywać, ale z tego, co pamiętam, bo sam się zdziwiłem, było, było właśnie tyle.
4868:  Wydaje mi się, że 100 giga.
4870:  First and foremost, will you accompany me to the Capitol?
4872:  Nie, no właśnie, ściągam 60 giga.
4874:  Okej, okej, okej, dobra.
4876:  My thanks.
4877:  Czyli przesadziłem.
4878:  Are you ready to depart or do you need some time to prepare?
4881:  I'm ready now.
4882:  Good.
4882:  Then let us be on our way.
4884:  Idziemy, idziemy.
4885:  Gothica to będziemy ogrywać, a będzie remaster.
4887:  Ja nie mam nerwów, moi drodzy.
4889:  Gregor.
4891:  Gregor, czy on się zmieni w robaka?
4894:  Co to są za ludzie?
4895:  Czemu oni za nami podążają?
4897:  Czemu wszyscy są nic, jeśli on nie domaga?
4902:  Najgorsza wersja maratończyka, jaką zobaczycie w życiu.
4905:  Remaster, goblins!
4910:  Jezus, co tu się dzieje?
4911:  Jakaś parodia kompletna.
4914:  O Boże!
4920:  Płoń!
4921:  Niech chociaż tyle mam z tej gry!
4927:  Arrora, dziękuję serdecznie za trybut!
4930:  I ściśle mówiąc, bycie jam nikołajką.
4934:  Łukasz Paweł otrzymuje wsparcie, Szaman Dziki i Bobrów otrzymuje wsparcie, Wróżka Zębuczka, Halifuko oraz Jakub Kustra, a Ckliwa Mewa z Puszczy pisze, że podobno trzeba płacić za zmianę postaci i szybką podróż.
4944:  Jest to prawda, dziękuję Ci za trybut i nie tylko za to, również za wskrzeszenie postaci z tego, co widziałem i za znaczniki jakieś na mapie, jakiś dramat absolutny.
4955:  Czy nie macie wrażenia, że to jest najgorsza... najgorsza wieloosobowa walka, jaką widzieliście kiedykolwiek?
4961:  Nie do magii Amnix, jedyne, co tutaj zrobi... jedyne, w czym kontrybuował do tej walki, to, że się śmiesznie porusza.
4968:  Hi, hi, hi, hi, hi... Jezusa... Hy, hy, hy, hy, hy, hy...
4977:  Ooo, co oni rzucają?
4981:  Czy ja tu mogę wskoczyć?
4983:  Nie mogę.
4984:  O nie, Krzysztof, nie męcz się.
4986:  Spokojnie, zrobimy ten quest.
4991:  Zbyt zabawne.
4992:  Dziękuję, Jacku, za wsparcie od 28 miesięcy.
4994:  Przestałem móc czarować.
4996:  Nie domagam, nikt nie jest czarujący.
4998:  Wiecie co?
4999:  Level 5, proszę bardzo.
5000:  Gobliny rzucają kupą?
5002:  Nie domagam, Last Airbender, to jest Last Airbwender, moi drodzy.
5022:  Z profilu to wygląda jeszcze lepiej!
5057:  Rewelacja.
5058:  Laska... Magia po wylewie!
5060:  O nie, Danielu, dziękuję ci za odnowienie wspierania.
5063:  Ma gość spust.
5065:  No w tym wieku, moi drodzy, nie domagiam, nikt nie jest jurny i młody.
5069:  Jakaż to obogiamnica?
5072:  O!
5073:  Następni nędzni przeciwnicy!
5082:  Jezus... Jezus... Ja nawet nie mogłem się uchronić.
5097:  Okej, to jest najgorszy system walki jaki widziałem od bardzo długiego czasu.
5112:  Ja nawet nie mogę tym celować.
5117:  Jezus Maria.
5120:  Co w ogóle robi ten spell?
5121:  Teoretycznie...
5123:  Ma spalać.
5125:  Ale problem polega na tym, że ja nim nie mogę sterować.
5128:  Ale dostaje levele.
5129:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,
5155:  Młody Ben Kingsley z seryjnym kosturem mocy.
5159:  Albo moczu.
5160:  No i co teraz?
5162:  Help.
5164:  Help.
5168:  Jesus Christ.
5189:  Nie wierzę.
5191:  Ja chcę, żeby on się znowu zmęczył.
5192:  Czemu on się nie męczy?
5194:  Okej, bo nie biegał.
5198:  Zmęczył.
5199:  NIE!
5200:  Chciałem, żeby się zmęczył!
5203:  Chcę mi się płakać po tym, jak pretensjonalna profesor korytarza rozjebała plan warsztatów na Convie i jeszcze mi chce się wjebać bez zaproszenia, ale STANDARD!
5211:  No mam STANDARD!
5214:  Ta gra ma DRM, denuowo z limitem instalacji 5 na dzień?
5218:  Aha.
5219:  Co to znaczy limit instalacji?
5223:  Czy ta gra mówiła coś o świecie?
5225:  Nic, nic nie ma, Michał.
5226:  Żadnego wprowadzenia poza tym, że jesteśmy Erasing, mamy amnezję i smog wyrwał nam serce.
5235:  A Black Desert Online widziałem, Fen, jak najbardziej.
5238:  Ile tu jest tekstur, oprócz tych, które wzięli za darmo z neta?
5242:  Myślę, że niewiele.
5245:  Gra w Two Wars 2 daje więcej możliwości, jest przyjemniejsza od gry w Tegrato.
5248:  Swoją drogą, tylko Two Wars mi się ciężko odpalić, ale tam była beznadziejna mapa za to.
5252:  Ale dobra, Two Wars 2 wyszło lata temu.
5254:  Co to jest Arizin?
5255:  Nasz bohater.
5256:  On nazywa się Arizin z uwagi na to, że jest Arizin jak wstaje.
5263:  Nie mogę się rozglądać podczas dialogów.
5265:  Następna rzecz, która jest w standardzie Grier, ale przestała być tutaj.
5272:  Mimika twarzy nie istnieje.
5274:  Dziękuję za oszczędzenie mi 300 złotych.
5276:  Widzicie, po to jest właśnie stream.
5278:  Ja nie żartuję.
5279:  Ludzie mówili, jak się teraz bojkotuj.
5280:  Nie, po to jest stream, żebyście zobaczyli, jakie to jest gówno, a następnie żebyście zweryfikowali to, co myślicie o recenzentach, którzy cokolwiek dobrego powiedzieli o tejże... Znaczy, przepraszam, 10 minut, 15 minut już wystarczyłoby.
5294:  My gramy ile?
5295:  Godzina 18 minut.
5297:  Nic się nie zdarzyło, przez godzinę nie ma ekspozycji żadnej.
5301:  Ja zwykle mówię na warsztatach światotwórczych, że no takie w ciągu dwóch godzin to trzeba się zmieścić z ekspozycją, ponieważ zwykle właśnie jest Steam Refund wtedy.
5309:  No nie bardzo.
5310:  Jak widać nie trzeba się mieścić z ekspozycją, można to kompletnie olać.
