Błędne ognie w Ringed City — DARK SOULS 3 livestream #7
🔗 https://www.youtube.com/watch?v=E-h4kmG4OcA

4:  Wracamy.
7518:  Walczę z nimi naraz właśnie.
7521:  W tym momencie obydwa miały ciosy wymierzone.
7529:  To nic, spróbujemy się uchylać przed dwoma naraz.
7535:  Tu jest ta mgiełka.
7538:  Świetnie, jak się uchylam przed mgiełką, to wtedy obrywam od niego.
7541:  Super.
7560:  Co je... CO JEST?!
7567:  Przecież miał jeden atakować dystans... Nie, ja nic nie rozumiem.
7570:  To jest tak nie... To jest tak nieint... To jest tak nieintuicyjne!
7576:  Ucieka się przez większość walki i walczy tylko z tym Rozpalonym.
7581:  Rozpalony, czyli który?
7585:  A, rozpalają się losowo na przemian, super.
7595:  Nie możemy już na nic zakląć.
7597:  Nie, no ja nie będę teraz zaklinał co 5 sekund na co innego, bo to trochę nie ma sensu.
7604:  Dajcie spokój, dramat absolutny.
7610:  Sprawdzę jeszcze jedną rzecz z tym... Wiem, że to jest wolny czar, ale zadaje dość dużo, znaczy zadawał dość dużo obrażeń.
7618:  Nie wiem, jak będzie teraz.
7626:  Okej, nie zadaje dużo obrażeń.
7650:  Gorsze jest to, że ja nie rozpoznaję, który jest rozpalony, a który nie.
7653:  To jest... O!
7654:  O!
7655:  O!
7655:  O!
7656:  O!
7657:  Dwa naraz!
7660:  Dwa naraz!
7661:  Proszę bardzo!
7666:  Na krzyż pewnie atakują naraz.
7670:  Nie no, to jest nie do zrobienia, to trzeba mieć, mieć boskie, boskie uniki.
7678:  Trzeba mieć boskie uniki.
7699:  Nie mam pojęcia, jak to zrobić piromantą.
7701:  Nie mam pojęcia, jak to zrobić piromantą.
7703:  Zielonego pojęcia.
7704:  Powinno się dać pokonać piromantą.
7711:  Ale nie dziwię się, że można odpuścić i zmienić klasę postaci w takiej sytuacji.
7714:  Absolutnie się tego nie dziwię.
7718:  Trzeba dolevelować?
7719:  Przepraszam.
7720:  Dolevelować?
7722:  Dolevelować?
7725:  Dole... Dolevelować?
7729:  To jak się da pokonać w takim razie?
7731:  To jest pytanie.
7735:  Bo z moich obliczeń wynika, że nawet ta mana, którą mamy, nam nie wystarczy.
7747:  Zwróć uwagę na dźwięk.
7748:  Jak nagle słyszysz, że jeden się drze, to znaczy, że się Rozpalaj za chwilę zaatakuje.
7752:  Okej.
7770:  Dobra.
7779:  No więc właśnie, level jest totalnie niewspółmierny do obrażeń jakie zadajemy.
7806:  Okej, teraz wrzasnął.
7812:  Okej, okej, okej.
7813:  Dobra, teraz uciekamy.
7828:  Fuck!
7830:  Kościół!
7849:  Nie, nie, nie, nie, nie.
7850:  Co jest?!
7862:  Nie znoszę momentu, w którym jestem w trakcie uniku, unikam i gra decyduje, że zadaje mi obrażenia.
7868:  To jest strasznie irytujące.
7872:  Strasznie.
7874:  Nie, ale to jest doable, to jest doable.
7878:  Co ta jest skażona mgła od obreka?
7880:  Poza tym, w jaki sposób mam ją kupić, skoro nie mam duszy?
7896:  Come on!
7900:  To nie jest kwestia nieumiejętności uników, tylko to jest kwestia nieznania na pamięć dokładnego metrażu, ile trwa dany atak.
7908:  To nie jest kwestia nieumiejętności uników, ponieważ za każdym razem w tej grze inaczej się unika niż z innym timerem.
7916:  Więc to mnie wkurwia, muszę powiedzieć, bardzo, bardzo mnie wkurwia.
7921:  To znaczy umiejętność unikania byłaby wtedy sensowna, gdyby za każdym razem unik działał tak samo.
7926:  Nie działa tak samo.
7928:  Co chwilę trzeba się tego uczyć na nowo.
7932:  Przy Naimless Kingu uniki działały zupełnie inaczej niż tutaj, bo trzeba było unikać 3 sekundy po każdym ataku.
7937:  Tutaj trzeba unikać 2 sekundy po każdym ataku.
7939:  Ergo uniki są inne.
7946:  No dobra, ale uniki nie w każdej grze polegają na znajomości tajmingu, na pamięć, prawda?
7951:  Więc... no.
7975:  Dobra, teraz jest chyba ten drugi.
7980:  Co jest?!
7982:  CO JEST?!
7985:  Nieee, naprawdę!
7989:  Jednej sekundy przerwy nie ma!
7991:  Jednej sekundy przerwy!
7993:  To jest nie do zrobienia bez NPC-a tam.
7997:  To jest nie do zrobienia absolutnie.
8008:  Muszę to zrobić z NPC-em.
8010:  To był jedyny moment, kiedy nam się udało.
8013:  Najgorsze jest co innego, to znaczy w momencie, w którym nam się skończy żar, to ja nie wiem, co zrobimy wtedy.
8022:  Nie mam zielonego pojęcia, co wtedy zrobimy.
8035:  Jedyny sposób jaki widzę to to, żeby jeden był zajęty z nich, bo inaczej jest to dla mnie bardzo ciężkie.
8042:  I potem tylko jest kwestia tego, żeby jakimś cudem uniknąć ataków w drugiej fazie.
8058:  Przynajmniej tutaj możemy od razu biec do bossa.
8063:  Ale Krzysztof, przecież ognisko na tysiąc kilometrów przed bossem to jest tak specjalnie, żebyś czuł sense of accomplishment, gdy tymczasem w innym miejscu w grze ognisko tuż przed bossem.
8082:  To totalna niekonsekwencja w designie.
8090:  Okej, teraz tamten.
8094:  Teraz nikt tego agresywnego ściągnie na śpiegel.
8099:  A ja będę dalej tego ciągnął.
8105:  Ech... Mana!
8116:  To dla mnie ma jakiś większy sens.
8127:  O, won mi z tym.
8136:  No!
8142:  Jest.
8145:  No nie ma, nie da rady chaty, musimy w ten sposób to ogarnąć.
8149:  Teraz, teraz mogę, teraz mogę dopiero nieznacznie
8157:  Oszczędzać manę.
8159:  Fuck.
8161:  Nie no, co jest?!
8170:  No dobra, przynajmniej to zaklęcie miecza coś dało.
8187:  Nie, ja absolutnie się nie zgadzam, że czuję ulgę, jeżeli ognisko jest daleko.
8191:  Dla mnie nie, dla mnie to nie jest ulga, tylko jest udręka.
8196:  Niech trzeba iść.
8204:  Boże, jakie to szczęście, że ja farmiłem ten żar.
8216:  Demon Prince jest bardzo trudny.
8217:  Dla piromanty jest ekstra... To jest najtrudniejszy boss jak dotąd dla piromanty z uwagi na to, że nie jestem w stanie zadawać dużych obrażeń, a to jak do tej pory mnie ratowało, bo nasz build to jest Glass Cannon klasyczny.
8230:  Dobra.
8232:  Jak się farmi żar?
8234:  Anor Londo albo druga opcja zabijanie czarnych rycerzy.
8240:  Oni dropują żar albo Titanic Shards.
8243:  Czasem trzy żary mi się udało wydropić naraz.
8255:  Nie jestem w stanie zrozumieć tego.
8257:  Unikam do niego, za nim i nic.
8265:  Trudne jest też przełączanie się cały czas, bo jak gram magiem, to muszę wyłączać kamerę przy tych bossach.
8271:  To jest tak zła.
8289:  I estus!
8293:  FAK!
8317:  Nie zna mnie Aman.
8320:  Czemu to zużywa tak dużo many?
8321:  Ehh...
8346:  Te animacje PCS to są za długie?
8348:  Zgadzam się.
8348:  Nic by się nie stało, gdyby były skrócone.
8354:  Nie jestem w stanie wyczuć timingu.
8356:  Nie jestem w stanie wyczuć timingu tego ataku.
8365:  Nie jestem w stanie absolutnie wyczuć timingu.
8367:  Czy obejrzałem Kingsmanów?
8368:  Tak, tak.
8369:  Spoko film.
8370:  Sympatyczny.
8382:  Dwadzieścia prób nam zostało.
8384:  Po tym już nie będę w stanie nic zrobić.
8390:  Nawet nie możemy kupić żaru, to jest też głupie, swoją drogą.
8397:  Nie mogę gracza summonować czaty, to jest...
8401:  W Soulsach jest problem, tzn.
8403:  jest totalny brak zabezpieczeń jakikolwiek trybu online i trzeba dodatkowe programy instalować po to, żeby karta graficzna nie przepaliła i innych tego typu rzeczy.
8412:  Tam jest jakiś krytyczny błąd, którego nikt nie spatchował nigdy i jak ja sobie pomyślę o tym, że musiałem tyle rzeczy zrobić, żeby summonować gracza, no to to jest absolutnie nie do zrobienia while streaming.
8426:  Tak, tak, nowy Kingsman, wczoraj byłem.
8431:  Długi wątek na Redditzie na temat tego braku zabezpieczeń.
8439:  Raz, dwa.
8460:  Oho, teraz tamte Może mi się uda dwa na raz
8513:  Jest.
8513:  Dawaj, dawaj, dawaj, dawaj, dawaj, dawaj.
8514:  Jest.
8526:  Siedem Estusów, dobra.
8544:  Każda kula ognia, która... Okej.
8564:  Dobra.
8571:  Już płyń z tyłu, co jest?
8581:  Nie chcę już ryzykować.
8591:  Jest.
8597:  Ja wiem, jaka jest druga faza.
8599:  Ja wiem, jaka jest druga faza, niestety.
8601:  I to mnie przeraża.
8605:  Przeraża mnie, czy wystarczy nam many.
8607:  I w ogóle innych wszystkich...
8623:  Nie mam pojęcia co on teraz zrobił.
8638:  Czy on nie ma teraz jakichś innych ataków niż wcześniej?
8643:  Ma inny atak niż wcześniej.
8646:  Co tu się dzieje?
8661:  Gel, atakuj go!
8662:  Tchórzu!
8677:  Gel jest nieprzydatny w tej części.
8684:  Strasznie dużo staminy zużywają te ataki ciemną masą.
8689:  Nie, litości!
8700:  On ma dwie wazy, to zależy od tego, kogo zabije jako pierwszego?
8703:  Co?!
8705:  Co? !
8712:  Nie mogę przywołać obywuł Szymonie, próbowałem ostatnio i... i był problem.
8721:  I był problem.
8726:  Cierpiący ma trudniejszego... ja nie mam zielonego pojęcia, który jest jako pierwszy.
8730:  Dobra, wracamy do pierwszej strategii, to znaczy dwóch.
8736:  Nie widzę innego rozwiązania.
8739:  Wtedy najwięcej ubiliśmy HP-ka, taka prawda.
8751:  Taka prawda, że wtedy dotarliśmy do jednej trzeci, tylko było za mało many.
8756:  Więc teraz jest plan taki... Plan jest taki, że trzymamy się jak najbardziej z daleka tej pierwszej fazy i oszczędzamy całą manę na drugą fazę.
8770:  Nie widzę innego rozwiązania.
8776:  Ale ja, ja, ja wiem, że ten boss ma dwie fazy, ale nie wiedziałem, nie, nie jestem w stanie rozróżnić, który jest, który jest z tych demonów.
8782:  No trudno, to jest, to jest coś, czego ja nie umiem robić.
8800:  Fuck, zostaw mnie, ZOSTAW MNIE!
8805:  Przecież poprzednio było tak, że no właśnie, zajęli się nim oni i o to chodzi.
8812:  Dobra.
8831:  Co to znaczy zabić najpierw fioletowego?
8833:  Teraz patrzę na nich i jeden jest czarny, drugi jest czerwony.
8839:  Okej, aha, ten fioletowy w sensie, że pluje... Teraz dopiero widzę.
8851:  Czyli czarnego zabić, mówicie, w pierwszej kolejności.
8854:  Tak.
8857:  Żebym jeszcze wiedział, który z nich jest cierpiący, a który jest z daleka, to już byłoby w ogóle super.
8863:  No krwawienia nie wywołałem magią, moi drodzy, choćbym nie wiem, co zrobił.
8874:  Zabitego tu ma sześć palców.
8888:  Demon strzelu, czy to jest fioletowy, czy czerwony?
8899:  Witamy Tobiasza Kurzawę w gronie Trybutariuszy.
8901:  Dzięki ci serdeczne.
8903:  Muszę powiedzieć, że no, zadają nędzne obrażenia.
8916:  Dziękuję za zająbniczenie czatów stosowne.
8921:  Niecierpliwie się nie jestem w stanie... Boże, co on robi?
8944:  Nie!
8947:  Nie wiem, co się dzieje.
8953:  Okej, jeden poszedł.
8954:  Prawie.
8959:  Dobra, zabity.
8969:  Siedem Estusów.
8970:  Nie wiem, czy to wystarczy na
8978:  A, będzie skoro starczy.
8978:  Co, dwa spory na krwawie i nie dowiadacie?
8979:  Okej, okej.
8980:  Tylko pytanie właśnie, czy są aż tak dobre.
8985:  To znaczy, jeżeli zaklęcie zadałoby, nie wiem, 10 tysięcy obrażeń, to tak, kupuję.
8993:  Ale jeżeli to jest w granicach tego Cripple Fight, który uprawiam, czyli, nie wiem, 400, to jest tragedia.
9006:  Strzeluści pomarańczowy, cierpiący czerwony?
9008:  Okej.
9019:  W drugiej fazie nich moby same biją.
9021:  Było tak kacprze i zginęli obydwaj.
9026:  W życiu im nie pomogę, niech poradzą sobie w tej chwili.
9028:  Niech tylko się Lap uleczy, bo to mnie trochę niepokoi.
9034:  Zostaw Lapa.
9040:  Zostaw Lapa.
9048:  Czemu Lap się nie chce uzdrowić?
9050:  Jak to jest?
9059:  Dla mnie obydwaj są równie silni.
9062:  Ich siła polega na tym, że nie wystarcza magii, żeby ich pokonać.
9067:  256, okej.
9070:  z cudem może się uda.
9076:  Okej, laf zginął.
9079:  Świetnie.
9100:  Co jest?
9112:  O Boże.
9120:  Nie wiedziałem, że NPC mają ograniczoną liczbę Estusów z tego względu, że NPC, z którym walczyliśmy miał nieograniczoną liczbę Estusów.
9130:  Jaki glitch z Bigomeza?
9132:  Jaki glitch?
9135:  Nie znam glitchy.
9137:  Jeżeli tę walkę da się zglitchować, to mi powiedzcie.
9146:  Nie mam pojęcia, jak to ogarnąć.
9150:  Pyromancer też się kończył Estusu?
9152:  Okej.
9161:  Hmm, niedobrze.
9164:  No ale przechodzimy do drugiej fazy, przynajmniej tyle.
9168:  I w tej drugiej fazie jesteśmy w stanie zadać jakieś obrażenia, przynajmniej tyle.
9172:  Gdyby moje uniki były doskonałe, to moglibyśmy mieć siedem Estusów więcej magicznych i byłoby super.
9184:  Sfokucować się na czerwonym.
9186:  Dobrze, znaczy mnie jest strasznie ciężko to stwierdzić, ponieważ muszę zapamiętywać równocześnie, który jest czerwony, który nie jest czerwony i przypisywać ich odpowiednio do tych majestatycznych nazw typu cierpiący i strzeluści.
9200:  O Boże, naprawdę?
9205:  No nie wiem na przykład, czy to jest czerwony.
9206:  Nie mam pojęcia, czy to jest czerwony.
9212:  Ale prawdopodobnie tamten oczywiście, ponieważ zawsze jest tak, że się zasadzam na złego.
9219:  No oczywiście, że tamten.
9222:  I oczywiście, że ten będzie mnie atakował.
9227:  No naturalnie, że mnie.
9244:  Czyli cierpiący jest czerwony.
9245:  Dobra, usiłuję to zapamiętać.
9247:  Świetnie, jeszcze nas zatruło.
9252:  Oczywiście, że nie zauważyłem tego ataku.
9297:  Ale mnie drażni to nie uzupełnianie many.
9300:  Oj, bardzo mnie to drażni.
9322:  Tyle.
9324:  Reszta many musi zostać.
9325:  Już obawiam się, że nie wystarczy.
9329:  Dobra, mamy w pierwszej kolejności zniszczyć demona strzeluści czy demona cierpiącego, bo to jest dla mnie niejasne.
9337:  Musiałem sobie przylepić kuźwa karteczkę na monitorze, żeby zapamiętać.
9347:  To mnie nie mylcie, bo ja naprawdę mam złą pamięć.
9356:  Jeżeli jest git, to git.
9367:  Dobra.
9367:  Ile wpadnie kulownia na początku, tyle nasze.
9369:  Nie wiem, czy to jest ta wersja z laserem, ale nie wydaje mi się.
9379:  Czemu oni tak giną szybko tutaj?
9383:  Ja nawet nie pamiętam, czy najpierw kupiliśmy strzeluści, czy innego.
9428:  Zadaj obrażenia!
9430:  Dobrze!
9436:  Nie skomentuję tego również.
9475:  Był uskok.
9475:  Come on!
9475:  To laser jest.
9500:  Dobra!
9504:  Oszukaństwo!
9506:  Oszukaństwo, że nie da się magią!
9509:  Jak ja tego nie znoszę?!
9512:  Czemu nie mogę zadać magią krytycznych obrażeń?!
9517:  Nie ma uzasadnienia!
9523:  CZO?!
9524:  NIE!
9526:  Co to było? !
9553:  Teraz boss dostał syndromu boskich uników.
9559:  Jak zawsze, kiedy jest bliski
9562:  Śmierci, jak zawsze oczywiście.
9564:  Syndrom Boskich Uników działa.
9568:  Jezus, nie.
9571:  Jezus, nie!
9572:  Błagam, nie!
9574:  Nie!
9605:  Wiem, że było blisko, ale wkurza mnie to, co się dzieje.
9607:  To znaczy, wkurza mnie, że timing tych ataków jest dobry, przy czym boss w którymś momencie dostaje syndromu boskich uników.
9618:  I jest tragedia wtedy.
9621:  No po prostu to jest totalnie zrandomizowane.
9623:  Nie jestem w stanie zrozumieć, dlaczego te uniki się... Znaczy, bardzo mnie ciekawi, czy tego rodzaju unik jest też w momencie, w którym się go pruje mieczem, ponieważ z tego, co zauważyłem, w momencie, w którym się podejdzie mieczem do bossa, to on robi coś takiego.
9637:  I wtedy można mu zadać obrażenia krytyczne.
9639:  Fajnie, że nie zamiera w ten sposób w innych okolicznościach.
9642:  Kuźwa!
9644:  No NPC strasznie szybko padają, to jest w ogóle... Nie skomentuję tego.
9651:  Zmienia mu się pattern uników absolutnie.
9655:  W tej grze głównym bossem jest RNG.
9659:  Czyli Random Numbers Generator.
9660:  To, co tu się dzieje, to jest totalne RNG.
9665:  Mam w ekwipunku boskie błogosławieństwo, które przywraca całe HP.
9668:  Tak, aż jednokrotnie mam coś takiego.
9675:  I ja się boję bardzo, że użyję tego przez przypadek.
9679:  Chyba, że boskie błogosławieństwo się regeneruje.
9682:  Tego nie wiem, nawiasem mówiąc.
9684:  Boskie błogosławieństwo się regeneruje?
9689:  Czy boskie błogosławieństwo się regeneruje, czy nie?
9692:  Odnawia się?
9692:  Nie wiem.
9698:  A co to jest PS?
9699:  A, jeszcze mam jedno?
9700:  Świetnie!
9702:  Czyli mam dwa Heale z których nigdy nie korzystałem w całej grze.
9709:  A nie regeneruje się.
9711:  No, tak coś sądziłem.
9714:  Zdziwiłbym się, gdyby tak było.
9716:  Byłoby za dobrze.
9719:  Hmm... A można kupić.
9722:  A właśnie jak to jest z tymi żarami?
9723:  Czy one się odnawiają, te kupione?
9726:  Czemu drugi się nie zespawnował?
9731:  Bonusowy Estus, okej.
9739:  To niedobrze.
9743:  Hmm...
9747:  To jest jak dotąd... Szczerze?
9749:  To jest chyba najtrudniejszy boss jak dotąd dla mnie, z uwagi na te mikro obrażenia, które zadajemy.
9754:  Cierpiący pierwszy, pisze Kryształowa, dobra.
9759:  Zobaczymy, który to jest.
9761:  Czy cierpiący to jest ten, który jest rozpalony, czy nie?
9774:  Właśnie nie wiem, czy to jest ten cierpiący, czy nie.
9783:  Nie, to był demon strzeluści.
9785:  Cierpiący teraz zadaje obrażenia nagle.
9788:  Fuck.
9790:  Już mnie to denerwuje, że oni nie są od razu z nami.
9799:  Nie, to też był demon strzeluści.
9801:  Co jest?
9803:  Dlaczego oni zmieniają nazwy?
9804:  Nie rozumiem tego.
9814:  Nie, nie, no co się dzieje, no co się dzieje?
9820:  Czy nie wygram w ten sposób?
9824:  W zasadzie już powinienem zrobić restart.
9835:  Dobra, ten jest cierpiący.
9852:  To szkoda, że oni akurat koncentrują się na tym drugim.
9855:  Co się dzieje, no?
9882:  Słuchajcie, już nie mam many.
9893:  Oni go szybciej zabiją niż ja będę w stanie tego zniszczyć.
9898:  Za dużo mi schodzi many w tej fazie.
9901:  To jest przegrana faza, bo za dużo many zużyłem i życia.
9908:  To jest nie do wygrania już w tym momencie.
9911:  Oni muszą zadać większość obrażeń.
9916:  Właśnie nie do 300 razy sztuka, bo jak skończymy żar, to jest koniec walki z tymi bossami.
9920:  Ja nie jestem w stanie zagrać bez żaru z tymi bossami, nie ma szans.
9925:  Mieczem jeszcze może, gdybym cały czas boostował paladyna leczącego, to spoko, ale tak to... Sam to sobie robię, bo się upieram, żeby wygrać magami.
9944:  Może?
9947:  I oni są.
9949:  Mam pewien pomysł.
9950:  Czemu on bez przerwy odlatuje?
9968:  Świetnie, świetnie uniknąłem.
9978:  Jezu, to jest ten inny.
9980:  Czemu mówiliście, żeby... To nie jest ten z laserem.
9983:  To nie jest ten z laserem.
9984:  O ja pierdziele, to już przegrałem.
10004:  Dobre, dobre, dobre.
10011:  Dobre, dobre.
10020:  Boskie błogosławieństwo się regeneruje, odnawia jak Estus.
10022:  Sprawdziłem teraz.
10025:  Do zobaczenia Marcinie, do zobaczenia.
10027:  Wiecie co, jest prosta sprawa, jeżeli... Jest prosta sprawa, jestem gotów to wy... Ja jestem człowiekiem, który bada rzeczy naukowo zawsze.
10036:  Doświadczenie naukowe numer jeden.
10043:  Boskie błogosławieństwo się odnawia.
10046:  Więc informuję czaty, że... Sorry, ale nie mieliście racji.
10050:  Teraz sprawdzamy skryte błogosławieństwo.
10057:  Skryte błogosławieństwo się nie odnawia.
10059:  Wiecie dlaczego?
10060:  Powiem wam, dlaczego się nie odnawia.
10062:  Mianowicie boskie błogosławieństwo odnawia punkty życia.
10065:  Skryte błogosławieństwo odnawia manę.
10068:  Ale nie, Krzysztof, co ty mówisz?
10070:  Przecież magia jest zbala... Klasa maga jest bardzo zbalansowana w tej grze!
10075:  Ja nie wiem, Krzysztof, ty masz jakąś obsesję!
10083:  A. Teraz bardzo jestem ciekaw, w jaki sposób mam to wyeliminować z ekwipunku.
10091:  Dobra.
10096:  Jaki wyciąga zapas?
10098:  Macie w zapasie jeden na sześćset.
10107:  A w schowku był.
10110:  Co?
10113:  Ej.
10118:  Sześćset to jest limit, okej.
10120:  Dobra, czyli się nie odnawia.
10121:  Tak czy siak.
10123:  Siedemnaście żarów.
10125:  Teraz już szesnaście.
10130:  Jeszcze szesnaście, podejść i kończymy.
10134:  Próby, bo będę musiał farmić.
10137:  Żar.
10139:  No nie no, naukowy eksperyment polega na tym, że sprawdzacie, tak?
10142:  Jeżeli są konfliktujące się opinie, Wiki mówi coś innego, jedni na czatach mówią coś innego, drugi na czatach mówią coś innego, to trzeba sprawdzić eksperymentalnie.
10155:  Na tym polega metoda naukowa, że się sprawdza eksperymentalnie.
10158:  Nie na tym polega się, że mam rację, więc jestem naukowcem, tylko że zrobimy eksperyment, tak?
10171:  Dobra.
10186:  Dobra, uprośćmy to.
10187:  Czy mam atakować w pierwszej kolejności tego, który mnie atakuje jako pierwszy?
10190:  Bo może to jest lepsze.
10194:  Do tego, żebym to zrozumiał.
10205:  Uważam, że nie.
10218:  Ziejącego dymem, dobra.
10236:  Oj, strasznie przykre jest to, że żeby cokolwiek w tej grze zrobić, to trzeba zmienić Orange na Melee.
10243:  Cokolwiek.
10245:  Skutecznie atakować, szybciej atakować, wszystko jedno.
10249:  Przede wszystkim, żeby wbijać krytyk, których się nie da inaczej wbić.
10266:  Ja też przeszedłem 95% gry spelami, to jest pierwszy raz, kiedy się nic nie da zrobić.
10270:  Znaczy, da się oczywiście, ale... Na razie przynajmniej się nie da.
10286:  Okej, to jest chyba ten zły.
10290:  Tak, tak, tak, tam jest.
10293:  Znowu będzie to samo niestety.
10295:  Oni szybciej zabijają tego strzeluści, niż ja jestem w stanie zabić cierpiącego.
10308:  A może, a może... Come on.
10313:  Co? !
10322:  Druga faza, moi drodzy, druga faza.
10329:  Nie, oni napierdalają bardziej tamtego.
10331:  To jest jak znam życie i złośliwość FromSoftware celowe.
10340:  Teraz czas boskich uników.
10345:  Znaczy, boskich uników po stronie bossa i hopefully nas.
10379:  O Boże, co to jest?
10382:  Co to jest? !
10390:  Ach, to to mnie zabija.
10401:  Tak, Champion Gander pokonany został w trzech uderzeniach.
10405:  Wystarczy, że nie ma odporności na ogień.
10409:  Champion Gander trzy uderzenia, Aldrich sześć, Pontic Sullivan trzy.
10417:  Nie, ten dodatek jest koszmarny absolutnie jak na razie.
10425:  Mmm, fascynujące.
10430:  Teraz mam potwierdzenie, jest w zapasie zero, jest zużywane, teraz to widzę.
10435:  Dobra.
10440:  Ile zostało?
10442:  15 prób zostało.
10451:  Jak sprawdzić, ile ma się błogosławieństw?
10452:  Tutaj to macie.
10454:  Posiadane 1 na 1 w zapasie 0 na 600.
10457:  Strasznie nieintuicyjne.
10464:  Adamie, no nie odpowiadałem na pytanie o samonowanie widzów, ponieważ odpowiedziałem na nie jakieś 11 razy, jak dotąd podczas tego streamu i za każdym razem było to nie, bo nie gram online.
10476:  Znaczy inaczej, jeżeli jest klasa piromanty, to powinna być rozwiązanie takie, żeby można było walczyć z kimś, kto ma odporność na magię.
10484:  I jest to rozwiązanie, to znaczy to jest mroczna magia, tylko że mroczna magia, ta większa mroczna sfera, zadaje tyle samo punktów obrażeń, co kula ognia.
10493:  Natomiast nie ma odpowiednika mrocznego dla Chaos Bad Vestiges, żadnego.
10497:  A Chaos Bad Vestiges zadaje 1000 punktów obrażeń, więc to jest dwukrotnie więcej.
10502:  Oznacza to, że za każdym razem, jeżeli walczymy z przeciwnikiem odpornym na ogień, potrzebujemy dwukrotnie więcej czarów.
10508:  Zawsze.
10516:  Jak działa rekrutacja na AGH, zrobimy sobie odpoczynek.
10518:  Próbowałem to ogarnąć, nie do końca rozumiem, czy są przeliczniki matur, czy na co dzień się liczą.
10522:  Chyba wszystkie informacje na ten temat są na stronie rekrutacja.agh.pl, czyli nie te strony wydziałowe, tylko ta centralna.
10529:  I tam jest jakiś totalnie niezrozumiały dla mnie algorytm, który to definiuje, ale na pewno tam są finalne i ostateczne informacje na ten temat.
10538:  Tak, a ten czarny wąż Kartusu, to mnie nawet nie denerwujcie, to jest taki shit,
10549:  Odebrano magię i smugę.
10550:  Tak, odebrano OP magię.
10552:  No nie OP magię, to znaczy uważam, że jeżeli boss ma tysiąc... jeżeli boss ma 110 tysięcy punktów obrażeń, załóżmy, to czar, który zadaje tysiąc punktów obrażeń, nie jest OP.
10564:  Jest proporcjonalny.
10572:  Wiara i inteligencja, obydwa.
10574:  Żeby ten build miał sens, jest 40 po 40.
10584:  Dobra, przełączamy się na czarny płomień.
10587:  Biegnij do bossa po prawej.
10589:  O, i to jest dobra rada.
10595:  Tylko że wpierdla nas atakuje ten.
10598:  Musimy poczekać, aż przyjdzie NPC.
10603:  Jeden i drugi.
10605:  Z jakiegoś powodu ich nie ma na samym początku.
10608:  O, teraz poszli i się teleportowali do właściwego chyba.
10612:  Nie, nie do właściwego, oczywiście, że nie do właściwego.
10616:  O Boże, dwa na raz, nie!
10622:  No i teraz, którego oni zaatakują?
10625:  Oczywiście, że zaatakowali... O, teraz zaatakowali demona z czeluści, to ciekawe.
10630:  Dobrze.
10633:  To jest dobra wiadomość, bo to znaczy, że jest to zrandomizowane.
10643:  To nie jest dobre miejsce dla nas.
10645:  Ołboj, ołboj, ołboj, ołboj, ołboj, ołboj, ołboj, ołboj, czemu się to nie udaje, no?
10669:  Dobra, dobrego bijemy chyba.
10673:  Szkoda, że odrywamy.
10680:  Przynajmniej jest muzyka dobra.
10684:  Czego nie można było powiedzieć o Nameless Kingu.
10693:  Dobra.
10693:  Powiedzcie mi, że teraz dobry.
10695:  Czemu znowu zły?
10697:  Ja pierdziele, nie jestem w stanie tego zapamiętać.
10701:  Nie jestem w stanie tego zapamiętać.
10717:  Na Ringed City zabili mnie bossowie cztery razy łącznie przez silnika.
10721:  Szacun, a kim grałaś?
10740:  Nie wiem jakim cudem dostaliśmy obrażenia z tyłu, nie mam zielonego pojęcia.
10750:  Twin Blades Quality Build, okej.
10755:  Czyli tak, low-co.
10759:  Rzućmy te kule ognia.
10762:  Dobra Oczywiście, że ja zawsze muszę iść pod prąd Fajnie, że jego kula ognia dolatuje, a moja nie
10797:  Fajnie, że żadna moja kula o mnie nie dolatuje.
10804:  O, trzeba do ataki pewnie.
10814:  Dobra, czy to jest ten straszny atak?
10816:  Tak.
10817:  Okej, może... Dlaczego oni się... Dlaczego oni targetują mnie? !
10827:  Dlaczego to targetuje mnie?!
10831:  Dobra, teraz może się nam uda tego uniknąć.
10835:  Już musi się tego udać uniknąć jakoś.
10840:  Okej, nie da się tego uniknąć.
10853:  Ja pierdziele, no po prostu niesamowite!
10861:  Znaczy ja wiem, że rozwiązaniem wszystkich moich problemów jest zmienienie klasy postaci na walczącą wręcz.
10866:  To ja to wiem.
10867:  Tylko bym musiał wtedy od nowa levelować.
10879:  15 prób.
10886:  Nie przejdziemy tego bez summonowania NPC.
10889:  Już przetestowaliśmy to 10 razy, dosłownie, więc to nie ma co.
10893:  Jedyny sposób na dotarcie dla mnie do drugiej fazy to jest z tymi summonami.
10898:  Będzie trzeba zrobić później grind, nie ma innej możliwości.
10904:  Obawiam się.
10906:  I więcej... nie wiem czego już w sumie.
10909:  Prawdopodobnie będzie trzeba pójść w siłę i wzręczność, żeby mieć jakąś sensowniejszą obronę.
10917:  Trudno powiedzieć.
10922:  Cierpiący po prawej jest jako pierwszy.
10925:  No ale cierpiącego w pierwszej kolejności?
10927:  Okej.
10933:  No to tak, no to demon w strzeluści jest atakowany domyślnie przez NPC naszych.
10950:  Fajnie, że ja nie mogę uciec.
10956:  No i teraz się zmieniły... Myślę, że to jest wkurzające strasznie, że one się zmieniają.
10960:  Ja nie jestem w stanie nad tym kontrolować, czy tego w żaden sposób kontrolować, ani nad tym zapanować.
