Umieramy w Osadzie Nieumarłych — DARK SOULS 3 livestream #2.1
🔗 https://www.youtube.com/watch?v=Z8HfA5bmjds

3:  We welcomed!
2334:  Ja nie widzę siebie rozmazanego, więc wyłączę po prostu autofocus, bo on jest bez sensu.
2339:  Powinno być git.
2341:  Powinno być git już teraz.
2343:  Okej.
2349:  W niedzielę do kościółka.
2350:  No tak, tak, oczywiście.
2379:  O boi!
2389:  Hmm... Hmm... Hmm... Hmm... O!
2402:  Wybaczcie mnie, byłem wstępowany w myśl.
2406:  Jestem Siegwirtem Katarzyny.
2409:  Szczerze mówiąc, jestem w kawałku.
2411:  Czy kiedykolwiek poszedłeś koło czerwonego ptaka, tylko by zostać strzelił wielkim oknem?
2419:  No dobrze, jeśli się nie mylę, to one przychodzą z tego talerza.
2425:  Ktokolwiek to jest, jestem pewien, że mogę do nich porozmawiać.
2429:  Ale muszę znaleźć drogę na górę.
2431:  I to jest po prostu problem.
2434:  Wiesz, to tylko spadnie.
2436:  No dobrze, to mnie nigdzie nie daje.
2443:  Hmm... Hmm...
2449:  Ta podwóra tylko spadnie.
2450:  Z małym uzupełnieniem, w końcu... Nie, muszę użyć mojego głowy i twarzy.
2457:  Wyłóż swoje dachy.
2458:  Wyłóż twoją inną zwycięzcę!
2480:  Nie da się tego powiedzieć mrocznie.
2483:  Okej, czy to jest dźwignia?
2485:  Nie.
2503:  Co tu jest?
2505:  Bardzo niepokojące miejsce.
2511:  I na górę mówicie.
2513:  Tu jest dźwigienka.
2516:  Też nic nie daje.
2526:  Ja chcę ognisko.
2530:  Okej.
2535:  Okej.
2544:  A, odesłać windę.
2548:  Bardzo trudne.
2549:  Zagadki logiczne mnie absolutnie powalają.
2554:  Kamil pisze, to już 4 miesiące, jeszcze tylko 20 domaga ognia.
2558:  Też bym odliczał.
2561:  No dobrze, odsyłamy windę.
2564:  I powiedzcie mi, co... Ognisko jest za minibossem.
2567:  O nie.
2569:  O nie.
2571:  Miniboss to nie jest nic dla nas.
2577:  Na górze odesłać?
2584:  Instrukcje czatów nieprecyzyjne.
2591:  Dobra, tak mnie denerwuje ten brak Estusa, że muszę go użyć.
2604:  Cebulion24 tymczasem zniknął.
2611:  Jak nie będę, Kluchen, mógłem patrzeć na instrukcję, to nigdzie nie zajdziemy.
2616:  Dobrze.
2620:  I teraz mam ją odesłać, tak?
2623:  Dobrze.
2643:  Takie buty.
2650:  Gdzie jest chymkający cebulion?
2660:  Dobrze.
2667:  Aha, w połowie drogi trzeba wyskoczyć, żeby z nim pogadać.
2671:  Brzmi jak... brzmi jak sposób na zabicie się.
2674:  Hmm... Żeby... żeby przede wszystkim to się udało, ja muszę go zauważyć, to nie jest proste.
2688:  Hmm...
2696:  Hmm... hmmm... hmmm... O!
2701:  Nie uciekaj tak, miałeś mnie zbyt martwy.
2703:  Ale dzięki ci, epifania zniszczyła mnie na głowę.
2706:  Udostępniłem rytm tego nieprzyjemnego wyjścia.
2724:  Okej.
2724:  Żartujecie nawet, nie będziemy go atakować.
2758:  Ten boss płonie.
2759:  Nie jestem idiotą.
2760:  Potrzebujemy czarnego ognia, żeby go zgładzić.
2763:  Nie mamy najmniejszych szans z tym demonem w tym momencie.
2768:  Zwłaszcza bez Estusów.
2769:  A, pytanie.
2782:  W jaki sposób mam stąd wyjść?
2784:  Tutaj oczywiście nie ma żadnej dźwigni, bo po co?
2788:  Świetnie.
2790:  Wprost fantastycznie.
2796:  Eee.
2804:  Mhm.
2808:  Aaa, tu jesteś, nieodzienny przyjaciel.
2809:  Cieszę się, że mam nauczyciela dedykowanym jak ty.
2840:  Okej.
2844:  O. O, o, o. Ehehe.
2850:  Eee!
2850:  Ehehehe.
2852:  Po pierwsze.
2862:  To też by nam się przydało.
2866:  Ale chyba my to mamy.
2868:  O, potrzebujemy tonu piromancji, żeby nauczyć się bardziej przerażonych piromancji.
2892:  Choć nieautodoksyczny, to byłby najprzyjemniejszy sposób na progres.
2898:  Gdyby to był wielki sklep, a ty miałeś przyjemność czasu, moglibyśmy cię rozgryźć w trudny sposób.
2904:  Nie zostaw się długo.
2917:  Rozumiem, że zaklęcia się dostraja przy ognisku.
2920:  Tak mi się wydaje przynajmniej.
2923:  Dobre zaklęcie, ale zadaje tylko obrażenia na bliski dystans.
2925:  To dobrze, przyda się w walce z bossami.
2937:  Co?
2938:  Okej.
2941:  Dobra.
2944:  Okej.
2946:  Tak!
2946:  Świetnie.
2948:  Świetnie, świetnie, świetnie, świetnie, świetnie.
2953:  I druga rzecz, której potrzebujemy pilnie.
2956:  Mówiliście, że tutaj jest jakiś klucz.
2964:  Absolutnie nie ma.
2967:  Świetnie.
2968:  Dobrze, że można kupować kości wiodące do domu, to się przyda.
2979:  20 tysięcy.
2982:  Proszę.
2984:  Proszę.
2985:  Ok.
2989:  Tyle w temacie.
2994:  Trzeba jej dać prochy i wtedy ma więcej na sprzedaż.
2997:  Dobrze.
2998:  Dobrze.
2999:  Bardzo mnie to cieszy.
3001:  Ok.
3003:  Po kolei.
3005:  Gdzie są nasze zaklęcia?
3006:  To jest nasze nowe zaklęcie.
3007:  Chcę poznać o nim wszystko.
3010:  Usprawniona wersja piromanckiego zapłonu tworzy w dłoni olbrzymi i potężny płomień.
3015:  Paranie się piromancją wiąże się z nieuchronnym strachem i poczuciem utraty, których natężenie zależy tylko od siły wiary i inteligencji ognistego maga.
3022:  Bardzo dobrze.
3023:  Jednego i drugiego nam nie zbywa.
3030:  Nie mamy kości nieumarłego.
3031:  Dlaczego mi bez przerwy mówicie, żebym spalił kość, skoro jej nie ma?
3036:  Dobra.
3038:  Może nas stać, może nas stać na level.
3041:  Nie wiem tego.
3045:  Winda i olbrzym, mówicie.
3047:  Musimy oswoić olbrzyma.
3048:  To jest w takim razie plan na najbliższy... Pół godziny pewnie.
3052:  Tak.
3064:  Aha.
3066:  Aha.
3069:  Aha.
3071:  Świetna wiadomość.
3076:  Eee... Dobra.
3081:  Gdzie będzie najbliżej?
3082:  Przy walącym się moście, tak.
3088:  Czy mówimy 4,5 tysiąca dużo, następny poziom?
3092:  Klucz za 20 tysięcy to klucz do wieży w kapliczce.
3095:  Sklepikarka po dostaniu popiołu będzie miała klucz do kanałów.
3097:  A, tej wieży, dobrze, pamiętam ją.
3104:  Czy Bloodborne kiedyś będzie?
3106:  Chciwe, pazerne czaty.
3108:  Krzysztof dopiero zaczął pierwszego Souls Like'a grać.
3111:  Znaczy, nie Souls Like'a, Souls'a technicznie.
3113:  To jest zabawna nazwa.
3116:  Dobra, i teraz muszę sobie przypomnieć, jak iść tam.
3118:  Uuu.
3123:  Widzę coś ciekawego, coś interesującego tutaj widzę.
3156:  Not even a scratch!
3162:  Not even a scratch!
3165:  Dobrze, ale tutaj był jakiś żuczek i on mnie bardzo interesuje.
3174:  Dobra.
3174:  Wierza.
3185:  Ja widzę, że taktyka w Soulsach jest prosta.
3188:  Najpierw strzelaj, potem zwiedzaj.
3191:  Bunia walczy na... Kto by przypuszczał, że Bunia walczy wręcz tak, że... Pon!
3202:  Głupia Bunia!
3228:  Ja nic nie mówię.
3237:  Tak, ewidentnie jest to jakaś jaszczurka.
3243:  Zastosujemy starodobrą solsową taktykę, to znaczy tkórzliwe uciekanie przed przeciwnikami naprzód.
3268:  Dobra.
3270:  Zupa.
3271:  Aaa!
3275:  Zostawić mnie natychmiast.
3278:  Nie mam pojęcia, gdzie idę.
3282:  Czy to jest tutaj?
3284:  Jeszcze wyszedłem w złym kierunku!
3287:  Nie!
3288:  No nie!
3291:  To jest niesprawiedliwe.
3293:  Ja się gubię!
3297:  Tyle razy mówiłem, że ja się gubię w grach, macie dowód.
3306:  Dlatego mnie denerwuje, jak nie ma w grach mapy.
3315:  No, musimy jakoś stąd uciec w każdym razie.
3317:  Nie mam zielonego pojęcia, gdzie iść.
3322:  O Boże, pamiętam, co to miejsce.
3324:  Okej.
3328:  Dobra, kompletnie spanikowałem.
3339:  Kompletnie spanikowałem.
3342:  Czy tutaj jest, czy tutaj jest ognisko?
3346:  Pamiętałem, że tu jest ognisko.
3347:  Czemu tu nie ma ogniska?
3350:  O Boże drogi.
3352:  Ratunku!
3354:  Ratunku!
3355:  Zapętliłem się.
3362:  O nie!
3370:  I jeszcze tu jest bunia, dobrze.
3374:  Trzeba z tym jak najszybciej uciec.
3386:  Dobrze, nie tam.
3390:  Jest ognisko, dobrze.
3404:  Gdzie ja byłem wcześniej?
3409:  Wiem gdzie.
3411:  Wiem już gdzie.
3415:  Tędy.
3418:  Boże drogi.
3422:  Straszne.
3430:  O... Straszne.
3440:  Tak się kończy... Tak się kończy, jak człowiek z trudnościami poznawczymi zabiera się za eksplorację bez mapy.
3451:  Dobra, jest.
3459:  Tego minibossa można skłonić do samobójstwa?
3462:  Jak?
3462:  Okej.
3466:  Dobra.
3474:  No!
3475:  I to jest miejsce, które poznaję!
3488:  Okej.
3489:  To było za drzwiami, prawda?
3491:  Tak, będziemy biec.
3500:  Drzewiec skąd?
3501:  Jeszcze żadnego bossa nie było dzisiaj.
3503:  Na razie eksploracja, ponieważ jesteśmy słabi jak kupa.
3511:  On tutaj wejdzie?
3514:  On tutaj wchodzi!
3521:  Oczywiście się pomyliłem.
3530:  Dobra.
3533:  Jak słowo daję, jak słowo daję następnym razem, na trzecim monitorze wyświetlę sobie mapę.
3542:  Dobra, odsyłamy.
3550:  Jak często się gubię we własnych myślach?
3552:  Bardzo często.
3575:  Ja pierdziu!
3583:  Niesamowity projekt postaci.
3590:  Zawrzyj pokój.
3608:  Tutaj nic nie ma chyba do wyeksplorowania, z tego co widzę.
3611:  Dlaczego zabij na miejscu?
3613:  Dlaczego chcecie zabijać jakiegoś człowieka?
3615:  Jedna jedyna istota, która chce nam pomóc w tym przeklętym świecie!
3619:  Jedna jedyna!
3620:  Pierwszy raz!
3622:  Pierwszy raz ktoś nie chciał mnie zniszczyć!
3624:  Pierwszy raz w tej grze!
3626:  Ktoś okazał łaskę biednemu arcymagosowi!
3629:  Pierwszy raz!
3636:  Dobra.
3637:  Teraz wracamy w takim razie tam, gdzie on napieprzał.
3645:  Było takie miejsce, gdzie on napieprzał intensywnie tymi drzewcami i chce się tam udać.
3656:  Okej.
3666:  To było tam chyba.
3670:  Dobra.
3673:  Tu jest bunia jedna.
3685:  Bardzo intensywnie chce z nami walczyć zauważyłem.
3697:  Fuck!
3698:  R, R, R, R, R, R. Dobra.
3720:  Te jego kąty są zbyt szybkie.
3729:  Nie będę absolutnie walczył z minibossem, który jest odporny na ataki ogniowe.
3733:  Czy wy macie mnie za samobójcę?
3736:  Odmawiam walki z tamtym bossem, dopóki nie będziemy mieli czarnego płomienia.
3749:  Okej.
3752:  Okej.
3755:  O nie.
3758:  Chyba, że... Czemu?
3763:  Czemu nas zaatakował w trakcie?
3765:  Co to znaczy?
3766:  O nie.
3785:  Zastanawiam się... Gdzie to było teraz?
3792:  Wydaje mi się, że to było w tamtą stronę.
3794:  Tak, kanałami, dobra.
3796:  I tutaj chyba jest piesio.
3798:  Piesio?
3800:  Nie ma piesia?
3802:  Dlaczego tu nie ma piesia?
3803:  Tu jest piesio!
3804:  Nie ma piesia.
3817:  Proszę bardzo.
3818:  Wspgn.
3819:  Czemu Mana w Dark Souls nie regeneruje się?
3822:  Bardzo dobre pytanie.
3824:  Dlatego, że stamina dla elitystycznych graczy miecznikowych się sama regeneruje, ale bogowie, uchowajcie się, jeśli ktoś chce grać magiem.
3833:  Nie, nie.
3835:  Wtedy trzeba maksymalnie to utrudnić.
3841:  Dobra.
3843:  Czy to jest tutaj?
3851:  Bardzo dobrze.
3854:  Ojej, i co z tego, że Mara pozwala na zależne leczące i by dawała nieskończone HP?
3858:  To dobrze.
3862:  Ja jako zwolennik serowania jestem zawsze za tym jak największą liczbą mechanik, która utrudnia.
3869:  Zresztą pamiętajmy o tym, że gracze uwielbiają sobie utrudniać życie niezależnie.
3872:  Gdyby nie to, to nie byłoby speedrunów w Solsy, nie?
