🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
3554:  Okej, nie zdążyłem się wytłumić przy pierwszym kichnięciu, przepraszam was.
3560:  Zawsze mnie zastanawiało, jak to jest, że w szkole można porównać dobry film do dobrej książki, ale dobrej gry do dobrej książki już nie.
3565:  No dlatego, że nawet na uniwersytecie, jak jest komparatystyka, to porównujesz wyłącznie filmy, operę i literaturę.
3574:  Nie ma tam mangi czy anime.
3577:  Wiem, bo na moim wydziale, gdzie studiowałem, była komparatystyka.
3584:  Proponuję, żeby te napisy były jeszcze mniejsze.
3590:  Nie ma żadnych ciężkich dowodów, żeby to udowodnić.
3592:  Zbyt źle.
3595:  Ale wiesz, że może być.
3596:  Jeśli zapisujesz ten rekord daty, to dostaniesz Monshawe'a na jego komputerze.
3601:  Chcesz, żebym go napisał?
3603:  Moglibyśmy stracić wszystko, Adam, pod względem emocjonalności.
3608:  Musimy zabrać nasze ręce, żeby to uratować.
3611:  No, masz problem z tym?
3616:  Nie ma problemu.
3616:  Dobrze.
3617:  Zaraz.
3628:  Pani Olgo.
3629:  Nie wiem, czy czyta pani wszystkie maile.
3631:  Sprawa jest bardzo prosta.
3633:  Nie, nie czytam żadnych, czyta jest za mnie sekretarz.
3636:  Czy ma pani od tego ludzi?
3637:  Niezależnie od tego mam nadzieję, że wiadomość do pani dotrze.
3640:  Pani książka, złudne pyski, mit ludzkich ulepszeń odmieniła moje życie.
3647:  Zawdzięczam pani tyle, że trudno mi to wyrazić.
3650:  Nigdy nie byłam szczególnie atrakcyjną kobietą.
3653:  Jestem nieco pulchna i mój wygląd niezupełnie trafia w kanon naszych czasów.
3657:  That escalated quickly.
3658:  Od zawsze nie cierpiałam swojej zewnętrzności, tego jak się czułam, gdy ludzie na mnie patrzyli.
3662:  Przez lata prześladowała mnie myśl o operacjach i ulepszeniach.
3666:  Nigdy nie miałem na to ani dość pieniędzy, ani odwagi, ale zawsze marzyłam, żeby mieć piękne oczy, piękną twarz, piękne ramiona i tak dalej.
3672:  I ta nieszczęsna kobieta ma zasadniczy problem.
3674:  Ponieważ Olga odpisała jej, a to masz problem, bo moje książki są nie dla idiotów, aaaa!
3683:  Równocześnie mamy następujący mail.
3686:  Jasne, jasne, pieprznięty, świrze religijny, wracaj do Utah.
3693:  Dziwne rzeczy.
3695:  Ale swoją drogą to jest realny scenariusz, że ludzie, którzy nie akceptują swojego ciała lub mają jakiekolwiek problemy na tym tle, mówię teraz bardzo poważnie, mogliby się oddać tego rodzaju argumentacjom czy ulepszeniom.
3714:  To nie jest ciekawa perspektywa.
3716:  Co więcej, byłyby takie argumenty jak zawsze, nie?
3719:  No, jeżeli ktoś chce brać sterydy i wyglądać jak Leverking, to są jego pieniądze, niech to robi.
3726:  I później etyka lekarzy, którzy tego się przedsiębiorą, nie?
3731:  Ciężkie rzeczy.
3736:  Jedyny sposób na osoby, które ubliżają komuś za to, że robi to, co kocha, to skłonić ich do pójścia po pomoc, żeby wyleczyły swoje kompleksy i przestały przeczytać podświadomie na innych.
3746:  To raz, time looter, tylko ja nie jestem zwolennikiem tego, żeby zalecać wizytę u psychiatry komuś w formie riposty.
3752:  Raczej jeżeli ktoś rzeczywiście tego potrzebuje.
3759:  Teraz ludzie się tak poddają operacjom plastycznym.
3761:  No, do tego trochę nawiązywałem, nie?
3765:  Nie będziemy czytać uchwały generalnej ONZ, naprawdę, nie będziemy tego robić.
3776:  Jest już taki człowiek, chciał się upodobnić do Kikena, teraz upodobnił się do Barbie.
3780:  Widziałem to, widziałem.
3782:  No i zawsze to jest problem, nie?
3783:  Gdzie jest granica etyczna niesienia pomocy takiemu człowiekowi, tak?
3788:  Czy w ogóle powinniśmy to robić?
3790:  A może nie powinniśmy się w ogóle doczepiać do tego, tak?
3794:  Trudny temat.
3798:  Dla mnie ten temat się rozbija o etykę lekarską.
3801:  To jest temat, w którym ostateczne stanowisko powinien zajmować lekarz.
3808:  Dobra, możemy wyłączyć kamery.
3815:  Teraz osobną kwestią jest to, ja zawsze to powtarzam jako argument na rzecz studiów genderowych.
3822:  To znaczy, jeżeli ktoś nie rozumie, na czym polega różnica między płcią w zrozumieniu seks, a płcią w rozumieniu gender, następujący proponuje eksperyment intelektualny.
3834:  Jesteśmy w świecie cyberpunka, okej?
3837:  Mamy możliwość traktowania naszego ciała jak zbywajony nam rękaw, coś, co jest niepotrzebne, dlatego u Richarda Morgana mówi się resleeve, jako o przeniesieniu się do innego ciała, tak?
3847:  Możemy zmieniać ciała jak rękawiczki.
3851:  Jest jeden kluczek, taki malutki.
3853:  To znaczy nasza świadomość jest zapisywana na specjalnym krysztale, nośniku danych, whatever.
3859:  Wgrywana jest gdzieś.
3862:  Trafiamy do innego ciała.
3865:  I załóżmy, że to jest ciało biologicznie niezgodne z nami.
3868:  No właśnie!
3871:  Biologicznie niezgodne z czym?
3877:  Tak właśnie!
3878:  To jest gender.
3887:  Dlatego lubię fantastykę.
3891:  Fantastyka pozwala nam... Różne... Musimy tędy wyjść.
3895:  Albo tędy.
3896:  Fantastyka pozwala robić eksperymenty intelektualne.
3901:  Tego rodzaju.
3903:  Moi drodzy... Moi drodzy, jakie tu są... Nie, nie, nie, nie, nie, nie.
3909:  Żaden alarm.
3912:  Dlaczego alarm?
3914:  Ja, ja tylko... Okej, to był zły pomysł.
3923:  To był bardzo zły pomysł.
3926:  Teketsu, witamy serdecznie i dziękuję za wsparcie od dwóch miesięcy.
3938:  Właśnie o tym pisze książkę, pisze Skyer.
3940:  Protagonista przeniósł się na planetę kosmitu i przemienił go w jednego z nich.
3944:  To jest ciekawy pomysł.
3945:  Nie mówcie mi tylko, że tutaj dobrze.
3947:  Okej, jest w porządku.
3952:  Co?
3956:  Filozofii Tube nagrała dobry film na ten temat, a podrzucisz Kingo tytuł?
3959:  Dobra, musimy się stąd przekraść, moi drodzy.
3961:  Nie ma innej opcji.
3962:  Shh.
3968:  Nic nie widzę tutaj.
3972:  Co to jest?
3974:  Ale właśnie nie rozwaliliśmy ściany.
3981:  Jest opcja Typhoon.
3983:  Typhoon zawsze jest opcją, ale nie powinno być tak, że nas... że to nas strzelają tutaj.
3989:  Detroit, Toronto, Mumbai i Rio de Janeiro.
3992:  Wszystkie informacje o błędnych kontakcjach.
4003:  I aha, jestem na terenie zastrzeżonym, to dlatego.
4005:  Dobra, wszyscy zginą.
4008:  Oni w sekundę przeszli z chillowania na kanapie do mordowania.
4010:  Absolutnie tak.
4011:  Dobrze.
4013:  Nie ma problemu.
4014:  O nie, nie mamy... nie mamy nabojów do pistoletu, zapomniałem o tym.
4016:  O nie, nie mamy nabojów do pistoletu, zapomniałem o tym.
4034:  Ktoś jeszcze?
4038:  Tyle?
4039:  Już?
4042:  Nie, jeszcze nie.
4046:  Wszyscy umrą, absolutnie.
4047:  Władca śmierci ma rację.
4049:  Hmm...
4060:  Hmm.
4061:  Jak rozpocząć karierę jako nauczyciel, pyta Piotr Danisz.
4064:  A czego chcesz uczyć?
4065:  To jest pierwsze pytanie.
4066:  Kluczowe.
4074:  Nic nie rozumiem.
4076:  Wyłączyliśmy alarm.
4079:  Dramat.
4082:  A tu nie ma takiego ładnego alarmu jak w Deus Exie.
4085:  Znaczy jak w tym, jak w Star Warsach.
4092:  Drugi problem w przypadku cyberpunka to zawodowy sport.
4097:  Atleci niepewnościowo nie mają protezy, które są lepsze od naturalnych kończyn.
4101:  No właśnie.
4102:  To jest poruszone w Deus Exie.
4104:  To jest poruszone.
4105:  Ludzie nawet wprost augmentowali się po to, żeby osiągać lepsze wyniki sportowe, dlatego ja tak nie znoszę sportu.
4113:  Dwa, zdarzało się nawet w tym świecie, że okaleczali się świadomie
4120:  po to, żeby, moi drodzy, mieć lepsze wyniki.
4124:  To było dopiero przerażające.
4127:  Tak, no, wtedy trzeba robić osobną kategorię.
4130:  Na przykład augmentowani ludzie, nie?
4135:  Och, jak to dobrze, jak można znowu włamywać się, a nie słuchać jakiegoś ohydnego ala... alarmu.
4149:  Nie dało się podskoczyć do wentylacji w góry, niestety, za wysoko.
4153:  Nawet jak na ten nasz wspaniały podskok.
4155:  E-buczek, dużo e-buczków tu jest, moi drodzy.
4158:  Stymulatory nerwu błędnego.
4162:  Wykład Hugha Darrowa.
4167:  Wszyscy wiemy, jak działają stymulatory nerwu błędnego i jak je wykorzystuje w leczeniu padaczki częściowej.
4172:  W tym roku kończy się okres zastrzeżenia patentu tej technologii i będziemy mogli wprowadzić szeroko dostępne stymulatory jako skuteczną alternatywę.
4182:  Nerw błędny można pobudzać sztucznie, by modulował plastyczność nerwową mózgu bez potrzeby uciekania się do metod inwazyjnych.
4188:  Przy odpowiednim sterowaniu zarządzaniem mikroprzekaźnikami w tkance mózgowej jest tylko kwestia natężenia.
4193:  Trudne.
4215:  Już wolę mordować.
4217:  Ostatnio, gdy rozmawiałem ze znajomią, pisze Krzysztof Nowak, to jakoś się zgadało w streamach.
4221:  Dowiedziałem się wtedy, że rozmawiając ze mną, słyszy ona ciebie.
4224:  Najwyraźniej podkradłem ci styl wypowiedzi.
4226:  Nie szkodzi, to jest naturalne.
4229:  Poza tym więcej Krzysztofu, to więcej radości.
4234:  Tak naprawdę to nie... dobrze.
4240:  Mam pewien pomysł, ale nie wiem, czy on jest dobry.
4243:  W związku z powyższym, zrobimy po prostu tak.
4271:  Chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź,
4297:  Aaa, to tutaj mogliśmy wyjść.
4300:  Okej, już rozumiem, dlaczego wszyscy się zlatywali.
4302:  Ma to sens?
4304:  Ma to sens, moi mini.
4310:  Przeżył jako jedyny?
4311:  Kurczę, macie rację.
4316:  Pilnujcie mnie, pilnujcie mnie w takich kwestiach.
4323:  No teraz go już nie znajdę, no i dramat.
4329:  No tak, teraz go już nie znajdę.
4333:  Trudno.
4337:  Schowek na szczotki i dziura były wspaniałe.
4340:  Absolutnie macie rację.
4344:  Kacper Eł pisze ryzykownie, jak na świat Deus Exa, że jest korporacjonistą.
4349:  Co cię do tego przekonuje i co masz na myśli?
4351:  Popatrzcie, ile rur.
4353:  Miron Białoszewski byłby zachwycony.
4355:  Sen przez rury.
4360:  Jestem prawie pewien, że tutaj nigdy nie byłem.
4367:  Żeby nie zrobić więcej tego błędu, rozrzućmy te pudełka.
4373:  Okej, czy tutaj czasem... Ooo!
4378:  Jesteśmy chyba w tym miejscu, w którym jest quest dodatkowy.
4402:  Czemu?!
4404:  Czemu to się dzieje?!
4406:  Jaka jest jedna książka, jaką uważam na tyle ważną, żeby każdy powinien przeczytać?
4410:  Nie mam takiej książki.
4411:  Tak samo nie mam takiej gry.
4416:  Uważam, że...
4417:  To, czym się interesujemy i sztuka powinna być dobierana indywidualnie.
4422:  Ja zwykle, zanim komuś coś polecę, daję nawet tutaj na czatach serię pytań.
4428:  Jaki nurt?
4429:  Jaki gatunek?
4429:  Czym się interesujesz?
4431:  Co jako pierwszy?
4432:  Muszę mieć wywiad zrobiony wcześniej, żeby móc odpowiedzieć na to pytanie.
4439:  Czy jamniki są ze słońcami latającego potwora spaghetti?
4442:  Na pewno mogą być jedną z jego odnóg.
4445:  Dobrze, oficjalnie nie wiem, co mam zrobić.
4448:  ponieważ mapa zaczęła wskazywać bzdury.
4454:  Nie wiem, gdzie jest Objective.
4469:  Otóż Objective jest taki, że mamy stąd wyjść!
4475:  Dlaczego tego nie przeczytałem? !
4479:  O Boże drogi, nie!
4482:  Tylko nie to!
4485:  Tylko nie to!
4488:  Dlaczego mi się to przytrafia?
4490:  Przecież to jest straszne!
4500:  Gdzie jest wyjście?
4500:  Gdzie jest wyjście?
4501:  Tu jest wyjście.
4502:  Uciekamy!
4504:  Uciekamy!
4510:  Dzień dobry, panie władzo, wszystko jest w porządku.
4515:  Romaro poleca do przeczytania kodeks karny.
4518:  Zuza pisze, że ostatnio widziała pięknego jamienika wśród padającego śniegu.
4521:  Magiczny widok.
4525:  Jamnik moich sąsiadów, kiedyś, jak mieszkałem jeszcze u rodziców, miał cudowną właściwość, a wtedy jeszcze śnieg padał na tyle, żeby było to bardzo widoczne, że nurkował do zasp.
4538:  I tak się złożyło raz, że zobaczyłem zaspę sięgającą połowę okna balkonowego, tak mniej więcej do półtora metra,
4547:  I na wysokości 30 centymetrów był wykopany taka dziura i w niej był jamnik, który zażarcie drapał w okno, bo chciał się dostać.
4556:  W związku z powyższym, no nie było możliwości, bo jak by się otwarło okno balkonowe, to wpierdzieliłby się cały śnieg razem z jamnikiem.
4563:  Oczywiście to zrobiłem.
4567:  Jensen?
4569:  Prawie cię nie zrozumiałem.
4570:  Jezu, Mary i Józef, gdzie są szanse?
4574:  Pamiętasz mnie?
4574:  Byłem zawodnikiem, kiedy ty wciąż walczyłeś w SWAT.
4577:  Nicky.
4578:  Oczywiście pamiętam cię.
4580:  Jak się masz?
4581:  Labradz cię wziął na kontrolę wojenną?
4583:  Tak, tak, jestem.
4584:  Albo byłem, aż... Cholera.
4586:  Słuchaj, coś dużego się skończyło i jestem trochę zaskoczony.
4592:  Pamiętasz tego MCB'a, Jacoba White'a?
4594:  Bustowałeś go kilka razy.
4595:  Tak, pamiętam go.
4597:  Nie, nie, mówię, tak... Nicky, przestań.
4600:  Słuchaj.
4600:  Słuchaj mnie.
4602:  Wczoraj się boiłem, że ma ręce na prawdziwych, wielkopolskich eksplozjach.
4606:  Ten kurwa ma kurwa bombę, Adam!
4610:  Kutas ma bombę, to zawsze są złe informacje.
4612:  Pewnie zuza, że będzie z tymi amikołajkowy.
4614:  Jutro jest zapowiedź.
4631:  Teraz mówią, że moja C.I.
4632:  jest prawdopodobnie pełna kurwa i po prostu się z nami kurwa.
4635:  Kurwa!
4635:  Jakieś kurwa!
4636:  Jakieś kurwa!
4636:  Jakieś kurwa!
4637:  Jakieś kurwa!
4637:  Jakieś kurwa!
4638:  Jakieś kurwa!
4638:  Jakieś kurwa!
4639:  Jakieś kurwa!
4639:  Jakieś kurwa!
4641:  Jakieś kurwa!
4642:  Jakieś kurwa!
4642:  Jakieś kurwa!
4642:  Jakieś kurwa!
4643:  Jakieś kurwa!
4643:  Jakieś kurwa!
4644:  Jakieś kurwa!
4645:  Jakieś kurwa!
4650:  Jakieś kurwa!
4650:  Jakieś kurwa!
4650:  Jakieś kurwa!
4651:  Jakieś kurwa!
4652:  Jakieś kurwa!
4652:  Jakieś kurwa!
4653:  Jakieś kurwa!
4653:  Jakieś kurwa!
4653:  Jakieś kurwa!
4655:  Jakieś kurwa!
4655:  Jakieś kurwa!
4655:  Jakieś kurwa!
4656:  Jakieś kurwa!
4656:  Jakieś kurwa!
4657:  Jakieś kurwa!
4658:  To było wtedy.
4658:  To jest teraz.
4660:  Po swoim ostatnim stintzie w Standishu, zaczął się rozgadać.
4663:  Zaczął mówić o tym, jak wojna z rządem i drobny Row był częścią plotu rządu.
4668:  I czas, w którym zrobił coś o tym.
4670:  Pamiętam, że on mówił, że to ogromny chłopiec, którego weszliśmy w zeszłym roku, to był cover-up.
4673:  Weronika Aleksandra ubolewa, że zaraz 20. urodziny trzeba będzie się pożegnać z tytułem nastolatki.
4682:  Spokojnie.
4682:  Smutek przychodzi dopiero wtedy, kiedy nadchodzi trzydziestka.
4687:  Smutek... Smutek empików.
4688:  Eee...
4705:  Ale to jeżeli masz 5 grudnia urodziny, to się upomnij o jamnikołajowe torty.
4711:  Raffaello poleca film Archiwum z 2020.
4713:  Wszystkim tym, w tym mnie, którym się podobała Ex Machina.
4718:  Jak nie widzieliście Ex Machina, obejrzeć, bezwzględnie.
4722:  Piotr Danisz, który pisał, że chciałby zostać nauczycielem i miał pytanie w związku z tym, dopowiada, że chciałby prowadzić ćwiczenia na uczelni, ewentualnie nauczać w szkole.
4729:  Na Państwowej Uczelni nie mam szans się dostać.
4733:  Ale chodzi Ci o studia na Państwowych Uczelniach czy pracę?
4736:  No to od razu mówię tak, że na uczelni musisz mieć najczęściej tytuł doktora.
4740:  Nie na wszystkich, ale na większości tak.
4742:  W przypadku szkoły jest wymagane studium pedagogiczne.
4745:  Nawet jeżeli nie masz kierunkowych studiów nauczycielskich, to można dorobić sobie studium pedagogiczne.
4752:  Deklecyzm też mówi, że archiwum dobre.
4753:  Jak nawet White udało się zdobyć ręce na eksplozjówki?
4759:  Moja źródło mówi, że otrzymał materiał bombowy z jakiejś staszki rządowej na parku w Highland Parkie.
4763:  To wszystko, co znam do tej pory.
4764:  Ale to wszystko jest w porządku!
4767:  Był ostatnio widziany rantując w rally o zniszczeniu podstawy hipokryzji czy czegoś takiego.
4773:  Czy też miał szczyt?
4774:  Co?
4774:  W każdym razie, praktycznie nazywał czas i datę tego zniszczenia.
4779:  I to jest dziś!
4780:  Musi być!
4782:  Jak magistrzy pracują na studia, bo Kuba pisze słusznie, że mogą, mogą, ale to jest wyjątek, zwykle chodzi o to, że albo jest to,
4790:  Doktorant, który prowadzi ćwiczenia pod opieką profesora, co w tym miejscu oznacza, że profesor i tak nic nie robi, a doktorant odwala za niego całą robotę.
4799:  Czasami profesorowie nawet się nie fatygują na hospitację, a powinni hospitować, które jest zajęcia.
4804:  Ja miałem raz w życiu robione hospitacje, zajęcia jako doktorant.
4807:  Dwa, może być ekspertem z zewnątrz i ekspert z zewnątrz po prostu jest ekspertem i nikt nie pyta go, czy jest doktorat, czy jest jakiś tytuł.
4814:  Nikogo to nie interesuje, bo jest ekspertem.
4819:  Więc dlaczego nikt nie wierzy w twoją źródło?
4821:  Kiedyś rządził z starym zespołem White'a, ale jest to trzykrotny percyzm, który starał się zdobyć piłkę na jakiejkolwiek porozumieństwie.
4827:  Próbuje zdobyć porozumienie, więc nikt nie wierzy w niego.
4829:  Rzecz jest w tym, że wiem, że on jest odpowiedzialny.
4833:  Jeszcze nie kłócił się na mnie.
4834:  I nie sądzę, że teraz to robi.
4837:  Ten podział na alfa, beta i omega, Janku, to jest w zasadzie rzeczywiście coś, co mogłoby zostać wyeliminowane ze zwykłych rozmów, wydaje mi się, ale to jest po to, żebyśmy mogli uaktywnić feromony, żeby przekonać, na przykład, nie wiem, zapłacenia więcej.
4853:  Fajnie, pomogę.
4855:  Zacznijmy od tego, co wiemy.
4857:  Tylko fakty.
4858:  To, co wiemy?
4859:  Tylko fakty?
4861:  To, co wiemy, to, że on zrezygnował z bat-shit crazy, nienawidził policjantów, kłócił Che Guevara i otrzymał ręce na milicjantów...
4867:  Tak Marcin, jako inżynier też może być zatrudniony ekspert zewnątrz.
4871:  Ekspert to ekspert, tak?
4872:  Ktoś ma na przykład dobrze prosperującą firmę IT.
4875:  Ktoś zna się na UX i iDesignie.
4878:  Zwykle to chodzi o kompetencje bardzo konkretne, techniczne, na uczelniach.
4882:  Nie spotkałem się natomiast z zatrudnianiem kogoś z tytułem licencjata czy magistra, to już prędzej, ale na kierunkach humanistycznych to jest bardzo rzadkie.
4893:  Na kierunkach technicznych przeciwnie.
4895:  No widzicie, teraz możemy uaktywnić te feromony, tak?
4899:  I omegi ulegają naciskom, więc tam się zapaliła dwa razy omega.
4903:  Zobaczymy.
4912:  Po to są te znaczniki.
4914:  Po to są te znaczniki.
4931:  Świetnie, idziemy do kanałów.
4932:  Na edytorstwie jeszcze ktoś, kto pracuje w wydawistwie może być zatrudniony.
4936:  Ooo... Nie znam takiego edytorsta.
4939:  Na pewno w Krakowie, tak?
4940:  W edytorstwie tak nie było.
4942:  Eee...
4962:  Dobra.
4970:  Czy jest Samiec Gamma w tej grze?
4972:  Znaczy Hulk.
4973:  Samiec Gamma.
4976:  O Boże.
4978:  Femme Shepard jeszcze jest rudą.
4980:  Ooo, racja, zapomniałem.
4982:  Wczoraj mieliśmy dyskusję na temat tego, jak rzadko są rudzi bohaterowie.
4986:  To było przy okazji i protagoniści konkretnie, nie chodzi o bohaterów tła.
4991:  Czy bohaterów drugoplanowych i trzecioplanowych i tak dalej, i tak dalej.
4994:  Dobra, i teraz jesteśmy pięknie.
4996:  Teraz mamy mnóstwo sidequestów.
5000:  Krzysztof lubi sidequesty.
5002:  Mmm, soczyste sidequesty.
5005:  Dobra, idziemy do kanałów.
5007:  Gdzie są kanały?
5009:  Oczywiście, że w kanałach są szczury, tak!
5012:  Klan bracia!
5014:  Tak!
5015:  Brakuje mi trochę Warhammera.
5018:  Ale jeszcze nie tak, żeby zagrać.
5022:  Na streamie.
5026:  Toczytaliśmy.
5027:  Brak amunicji.
5036:  Kup.
5038:  Granat EMP to by się przydał.
5040:  A, zapomniałem, że jakiś kretyn stwierdził, że granaty EMP nie będą się stackować.
5047:  Bez sensu.
5048:  Oj, dużo ule... Uuuu!
5052:  Uuu, dużo ulepszeń jest tutaj.
5054:  Wiecie co?
5056:  Idziemy na zakupy ulepszeniowe.
5059:  Bo tak, wyrzućmy słój i wyrzućmy może... karabin snajperski, bo w sumie z niego najrzadziej korzystamy na razie.
5073:  Kupmy ulepszenia.
5076:  Czy na Jamnikołajki będzie czytane jakieś dobre opowiadanie?
5078:  A czy dobre, to nie wiem, Żabciu, ale będzie czytanka.
5081:  Oj, będzie.
5082:  Oj, będzie.
5084:  Będzie.
5086:  Jamnikołajki generalnie są przewidziane jako wydarzenie chaotyczne.
5090:  Sam nie wiem, co będzie tam konkretnie, ale mam parę punktów.
5098:  Dobrze, kupmy.
5102:  Ulepszenie siły rażenia.
5104:  O tak.
5105:  Ulepszenie szybkości przeładowania.
5107:  Powiększenie magazynka broni.
5109:  Zestaw serii dwunabojowej.
5112:  Strzelanie dwunabojowymi seriami do strzelby bojowej.
5117:  Pakiet pocisków wybuchowych do rewolweru, czyli nie dla nas.
5120:  System przeciwpancerny do czego?
5121:  Do pistoletu to już mamy.
5124:  Dobrze.
5125:  I laserowy system celowniczy jest do czego?
5128:  A do wszystkiego.
5130:  Ale mamy już w większości przypadków.
5132:  Okej.
5133:  Teraz czas na... powiększenie... ulepszenie siły rażenia.
5142:  Pistolet.
5145:  Nie, dajmy karabin bojowy.
5147:  Ulepszenie szybkości przeładowania.
5150:  Karabin bojowy.
5153:  Powiększenie magazynka broni.
5154:  Ciężki karabin.
5156:  W ten sposób jesteśmy potężni.
5160:  Najemnikołajki powinniście przeczytać jeden z listu świętego Mikołaja Tolkiena.
5165:  A jest taki?
5167:  Możesz podrzucić, Aśku.
5170:  Czy widziałem zapowiedź spin-offu The Boys?
5172:  Jeszcze nie.
5174:  Krzysztof nie wiedział, że wyszło.
5176:  Dobra wiadomość.
5179:  MondayZee pisze, że moduje Skyrima.
5182:  Oj, powodzenia!
5184:  Powodzenia.
5185:  Będzie Ci towarzyszył piękny ambient z Deus Exa.
5188:  Nie oszukujmy się, gramy tylko dla niego.
5191:  Tak, stream jutro też o 18.00.
5194:  Ale spokojnie, Weroniko, będzie... Będzie, będzie jakiś czas.
5200:  To nie jest tak, że skończymy po dwóch godzinach, ale jak to kolos z logiki w poniedziałek o 18.00?
5204:  Kto robi takie rzeczy?
5207:  Kim trzeba być?
5209:  Poza tym nie ma sesji.
5211:  W ogóle jaki kolos, jak nie ma sesji?
5215:  Co jest?
5217:  Gdzie Rikcz?
5224:  Tak, ja zawsze wchodzę do domu.
5229:  Oj, ewidentnie nas tu nie było.
5238:  Coś chciałbym bardziej z Sekiro 2, czy dodatek do Elden Ringa.
5243:  Dodatek do Elden Ringa jest bardziej prawdopodobny, a ja staram się mieć prawdopodobne życzenia.
5248:  Więc... O Jezus, naboje do pistol... Jezus, tak.
5260:  Naboje do pistoletu to jest najcenniejsza rzecz, jaką możemy zdobyć.
5263:  Pamiętajcie, pistolet jest najlepszą bronią.
5268:  Władca śmierci chce wiedzieć, co się działo na ostatnim streamie.
5271:  Nie jestem, nie jestem w stanie tego opowiedzieć.
5274:  Tego się nie da opowiedzieć.
5277:  No co jest?
5277:  Jeden metr, trzy metry, co, co, co?
5292:  Gość mieszka w Earthcourt.
5293:  Jeśli chce się dowiedzieć więcej o swojej przyszłości, powinienem się tam udać i go przepytać.
5311:  Okej.
5312:  Okej.
5313:  Okej.
5318:  Ta rakietnica naprawdę.
5323:  Dobrze.
5324:  Wszystko jest w porządku.
5327:  Jak wysoki musi być trybut, żebym przeczytał biegunów?
5330:  Ja to przeczytałem!
5332:  Wystarczy mi raz!
5335:  Weronika prostuje, że to nie tyle kolokwium z logiki, co kartkówka.
5338:  Nieważne!
5339:  Nie robi się takich rzeczy na studiach!
5340:  W sesji się robi!
5343:  Czy mógłbym polecić jakąś podobną książkę do Wiedźmina?
5345:  Miesiąc temu skończyłem 5 okrętów.
5347:  To jest banalne akurat.
5348:  Robert Wegner, opowieści z mekańskiego pogranicza.
5353:  To, moi drodzy,
5356:  jest lepsze niż Wiedźmin Andrzeja Sapkowskiego.
5359:  Literacko lepsze.
5362:  Pod wieloma względami.
5363:  Nie od opowiadań, bo opowiadania Andrzeja Sapkowskiego są trudne do przebicia, ale od pięcioksięgu – easy.
5372:  Kochany Robert Wegner.
5373:  Nie, Robert Wegner nie dość, że wspaniały pisarz, to jeszcze cudowny człowiek.
5384:  Jak u większości wykładowców wygląda sytuacja, że ktoś nie zda kolosa?
5387:  Dwa razy.
5387:  Rozumiem, że indywidualnie, ale czego się można więcej spodziewać?
5391:  Nie umiem ci odpowiedzieć, no bo nie ma żadnych zasad.
5394:  Zasada jest taka, że w ogóle nikt nie powinien zliczać żadnych średnich i bawić się w tego rodzaju śmieszne rzeczy.
5400:  Bo to jest bez sensu.
5404:  Dobrze, teraz wiemy, że tutaj byliśmy.
5408:  Wróżka Zębuszka pisze, że zaczęła, jest po pierwszym opowiadaniu.
5410:  I jak?
5411:  Pierwsze to chyba nie jest, wszyscy jesteśmy Mekhańczykami.
5414:  Jak przeczytasz, wszyscy jesteśmy Mekhańczykami.
5416:  To jest wow.
5420:  Nie, nie, ja na streamie nie będę czytał takich rzeczy, abel, jak ja próbuję wartościową prozę.
5425:  Nie będę czytał o kutasach w formalinie, bo to jest w biegunach.
5429:  Szczerze powiedziawszy, gdybym miał użyć argumentacji takiej, jak Arysto *** i podobnie, to bym powiedział, ja się...
5437:  Brzydzę taką literaturą.
5440:  W mojej rodzinie nigdy takich rzeczy nie czytamy.
5444:  O Boże, jak zawsze polonistów wkurzało, jak tak mówiłem.
5449:  Put that away.
5451:  Unless you're gonna finish me off.
5458:  Jensen?
5460:  Oh, Christ.
5461:  Brent Radford?
5462:  In the flesh.
5465:  Okej Tomek, dialogi Sapkowskiego są dobre, natomiast
5494:  Czwarty i piąty tom sagi są straszne, znaczy tam już tak wieje nudą, że się w głowie nie mieści.
5500:  Dobrze, zdecydowanie alfa.
5509:  Gdzie jest ta jego trauma kit?
5518:  Eee... Eee...
5532:  No, trylogia Huzyska też lepsza od Sai.
5535:  Saga Sapkowskiego naprawdę nie jest najlepszą rzeczą, jaką napisał.
5540:  Wszyscy Jesteśmy Mekaniczkami jest genialne, pisze Helena, ale do świąt nie będę miała czasu czytać.
5545:  Oj, rozumiem, rozumiem.
5547:  Węgry ma kompletnie inną tematykę niż Wiedźmin?
5549:  No bo ciężko jest znaleźć w polskiej fantastyce coś, co byłoby identyczne jak Wiedźmin.
5553:  Nie wiem, może Saga o Czar... Nie, ale Saga o Czarokrążce nie jest aż tak dobra.
5557:  To jest taka herbata saga.
5559:  Ja was proszę, bicie herbatki sypane.
5562:  Herbatki sypane są pyszne.
