🔴 Strategiczna środa — THE ALTERS oraz MECHABELLUM Livestream
🔗 https://www.youtube.com/watch?v=R_tSku77Wq8

201:  Dzięki.
4710:  Jest równo.
4714:  Potrzebujemy teraz trzeciej takiej rzeczy.
4719:  Wiem.
4721:  Teraz mi się nie będzie myliło.
4724:  O nie, storage jest niedostępny, tylko nie to.
4729:  Dobrze, tak będzie teraz Jacku, dziękuję za wsparcie od 6 miesięcy Będę na prelekcji, czy będzie można zrobić zdjęcie po... Oczywiście po to jadę na ten nieszczęsny Pyrkon, moi drodzy Prelekcja to tam wiecie, ja powiem coś 15 minut i zrobimy potem Q&A Co chce ten Tear Talk 2?
4747:  Dobrze Czy ja już się zgubiłem?
4758:  Tak
4763:  No dobrze.
4764:  Test Rapidium!
4767:  Rapidium is very fast!
4772:  Jedna wielka winda od góry do dołu.
4774:  Tak zrobimy, czerwony lisie, żeby się nie gubić w bazie.
4776:  Uuu, to trochę... Hahaha!
4781:  Hahaha!
4781:  Hahaha!
4782:  Hahaha!
4783:  Hahaha!
4785:  Hahaha!
4785:  Hahaha!
4790:  Co kurwa?
4791:  Co to jest?
4792:  Skąd?
4793:  Dlaczego?
4795:  Z wszystkich rzeczy, które tu się... Z wszystkich rzeczy, które się tutaj mogły pokazać, jest to cholerna owca?
4802:  Co tu się dzieje?
4803:  Dlaczego owca?
4807:  Czy ja mogę z nią rozmawiać?
4808:  Czy to jest zmutowana owca?
4810:  Molly?
4813:  Nigdy nie myślałem, że będę się tak cieszył, gdy zobaczę mężczyznę.
4845:  Czyli Rapidium pozwala rozmnażać owce?
4851:  Czy czemu?
4853:  Dlaczego, dlaczego, dlaczego materiał... Dlaczego materiał dziwny, genetyczny, znaleziony na obcej planecie, pozwolił mi rozmnożyć owce?
4865:  Pierwszy krok do produkcji oscypków, tak jest.
4867:  Teraz potrzebuję zrobić całą linię produkcyjną.
4871:  Będzie kebab.
4874:  Myśmy akurat dzisiaj rozmawiali o tym, czy owca jest jamnikiem.
4877:  Co się dzieje?
4878:  On jest androidem.
4879:  Do androids dream of electric sheep.
4898:  Znalazłeś księżniczkę.
4900:  This is my donut, my rapidium, my owca.
4905:  Jezu, to byłoby... Jeżeli by się... Znaczy, powiem wam tak.
4908:  Jeżeli w tym syntezatorze DNA pojawiłby się Vladimir Harkonnen, to ja w tym momencie wszedłbym do banku i przelałbym wszystkie swoje oszczędności, mimo ich wiele, ale zawsze coś, eleven bitom.
4922:  Autentycznie.
4925:  Tak.
4926:  Teraz, że jestem prawdziwym heroem, mogę użyć prawdziwej pomocy.
4934:  Nie będzie dużo owiec, będzie można sprowadzić turystów, a potem psioczyć na rząd, że nie dofinansowują infrastruktury turystycznej i podnosić ceny.
4941:  A potem wprowadzić opłaty za zdjęcia z owcami.
4946:  A potem wprowadzić opłaty za ruch... Nie, nie, to nie.
4949:  Wiem, że...
4962:  Jezu, ja wiem, dlaczego tu jest owca.
4965:  Moi drodzy, to jest dlatego, że tu jest spaceship.
4978:  Wyście myśleli, że to jest spaceship?
4982:  Ship?
4984:  To jest to.
4986:  Ja już, ja już, ja wiedziałem, a teraz wiem na pewno.
4991:  To jest tak.
4995:  O nie.
4997:  O nie.
4998:  Co ja teraz mam zrobić?
5003:  Mam iść do kuchni? !
5007:  O nie, kuchnia jest tak daleko.
5009:  Krzysztof, trzeba było jej nie umieszczać tak daleko.
5012:  Wiecie co?
5013:  Może przebudujemy bazę, żeby ta kuchnia była bliżej.
5020:  Tak trzeba zrobić.
5022:  Trzeba przebudować bazę, przebudujmy dom, żeby mieć bliżej do kuchni.
5029:  Może owca będzie nam robić...
5032:  Jezus, przecież sułtan Abdul mówił, owca padła przed nosem sułtana.
5037:  Tak było.
5038:  Ile mam tego przygotować?
5040:  Czemu sześć?
5041:  Czemu sześć od razu?
5045:  Trzy razy dwa jest sześć.
5047:  Okej.
5052:  Jak będziecie widzieli dym unoszący się z mikrofali, to znaczy, że popcorn się nie udał.
5059:  Okej.
5060:  No i widzicie, i nudna część za nami, a jedzenia nam nie pokazali już, tak?
5065:  Jedzenia nam nie pokazali.
5067:  Nothing cute.
5070:  Uwielbiam tę grę, już mi się podoba.
5072:  Słuchajcie, może z tego będzie jakaś seria, nic nie chcę mówić.
5078:  Co ja mam teraz zrobić?
5080:  Start the engines?
5081:  Już?
5081:  Ja, ja, ja, już?
5084:  No okej, można i tak.
5088:  Naprawdę musimy zrobić jedną windę.
5092:  Czy to jest Command Center?
5095:  Test engine.
5106:  Michał przeczytał Prisoner zamiast Provision, więc myślę, że będziemy zniewalać owce.
5118:  Jesteśmy zniewalający.
5122:  Trzeba iść do maszynerii.
5123:  Gdzie jest maszyneria?
5125:  O Boże, na górze.
5127:  Maszynownia.
5136:  Podoba mi się natomiast ten system przedstawiania questów.
5143:  Okej, ja naprawdę się tutaj gubię.
5148:  Dobra.
5150:  Najgorsze jest to, że się przyzwyczaję do tego i potem się zacznę znowu gubić.
5175:  Nie chce mi się tak daleko chodzić, okej?
5184:  To jest rozwiązanie.
5185:  Boże drogi.
5187:  To chyba... To jest ten popcorn.
5195:  To jest ten popcorn.
5197:  Ostatek jest głowy, teraz możesz oczekiwać na aliena, który w pewnym momencie wyrośnie z tej owcy i będzie chodzić po wentylacji.
5201:  O Jezu!
5212:  Trzeba zrobić mikrokawerek i wynająć opcję cywilizacji.
5214:  Potem opcja cywilizacja przyjedzie na Ziemię i nas wypali, ponieważ uzna, że żadna cywilizowana i inteligentna cywilizacja nie mogłaby wpaść na tak kretyński pomysł.
5223:  Tyle z tego będzie.
5236:  Masz za pół godziny ten test u ZSYD, to już nic nie zrobisz, poza tym, że możesz odpocząć.
5243:  Pankratz, to jest takie połączenie Walking Sima, gdzie zbierasz surowce, z budowaniem bazy i elementami fabuły.
5252:  Nawet nie wiem, jak to zaklasyfikować gatunkowo.
5254:  Typowe eksperymenty Eleven Beach Studios.
5261:  Muzyka bardzo interstellarowa, muzyka jest świetna.
5264:  Sprawdźmy w ogóle, kto komponował muzykę do The Alters, chociaż wiecie, jak to jest zwykle, że The Alters, 11-bit, że strasznie jest ciężko zawsze znaleźć takie rodzaje informacje.
5277:  No właśnie...
5281:  Okej.
5282:  Trailer, no jak zawsze, jak zawsze.
5285:  Może gdzieś na, może gdzieś będzie później w jakiejś wiki czy czymś w tym rodzaju.
5297:  Piotru musiał ten co do Frostpunka?
5301:  Jeśli tak, to ja się nie dziwię, że to jest świetne, bo muzyka do Frostpunka jest top.
5307:  To jest tak, to jest Mother of Drogon, nowa gra, na razie gramy w demo.
5314:  Data consistency in command center.
5316:  Dobrze, czyli niżej.
5327:  Dobrze mówię?
5329:  Tak, jestem w command center.
5334:  Gdzie mam sprawdzić data consistency?
5336:  Przeniesiemy sobie może... Nie mam zielonego pojęcia gdzie.
5343:  NQC.
5346:  AQC?
5349:  QC?
5349:  Quantum Computer!
5351:  O Boże drogi, jak ja nie znoszę tych amerykańskich, durnych, kretyńskich akronimów!
5356:  Wrzuć se, wsadźcie te cholerne swoje akronimy!
5366:  Polacy projektują i robią amerykańskie akronimy.
5372:  Niech wykuje jakiś lepszy abonament, a Kosmiczna Neostrada nie wyrabia, prawda?
5376:  I kosmiczny Google Maps też nie wyrabia.
5381:  Na Pyrkonie polecana knajpka.
5384:  Łazarz i jeżyce.
5385:  Dzięki Szymonie.
5389:  Okej, to się wyświetlało jak zginęliśmy.
5391:  I było też na początku gry.
5396:  Tego nie ma po polsku, jeszcze nie ma Anelo.
5398:  Mam nadzieję, że będzie na start.
5401:  Znaczy nie no, napisy muszą być tak de minimis.
5416:  To przypomina Beyond Two Souls, prawda?
5427:  Jezus Chryste.
5432:  She's moving.
5436:  Meeting Lena.
5438:  Lena Headey.
5440:  Doing it for her.
5445:  Seasonal job.
5446:  Proszę bardzo.
5448:  To po to, żeby zarobić na patokawalerkę.
5453:  Ładnie to jest zrobione, powiem wam.
5457:  Oczywiście byłoby fajnie, gdyby nam to ktoś czytał.
5465:  Ale przecież AI jest złe.
5470:  Krzysztof oczywiście wybrał pierwszy event ze studiów, prawda?
5473:  Czy ktoś jest zdziwiony?
5478:  Czy ktoś jest zdziwiony?
5481:  Leaving the university.
5482:  Dobrze, że tego nie wybrałem.
5485:  Czy będzie powrót do taumaturga, z którego wyszedł polski dublaż?
5492:  Tak średnio.
5493:  Jakoś nie jestem rozemocjonowany tą perspektywą na razie.
5497:  Purgatory of 9 to 5.
5499:  O, proszę bardzo.
5501:  Z pozdrowieniami dla wszystkich, którzy w takim czyśćcu niestety muszą pędzić.
5505:  Mam nadzieję, że się wyzwolicie z niego kiedyś.
5508:  Jeżeli oczywiście tego chcecie, bo są ludzie, nieironicznie, którzy lubią taką pracę.
5513:  Czemu chodzimy po tych pięć na... Dowiemy się.
5517:  Czy jest jakaś informacja, ile trwa demo tej gry?
5519:  A dlatego pojęcia nie mam, Rafale.
5521:  Znaczy, sądzę na pewno, że my na streamujku zdążymy jeszcze ograć Mechabellum, bo też chciałem wam pokazać, a Mechabellum jest już w pełni grywalne.
5533:  A może ja bym chciał dalej, co?
5536:  Proszę bardzo.
5537:  When the Crysis hit.
5539:  Znaczy, jak była premiera Crysisa, to faktycznie dużo się zmieniło w gamingu.
5543:  Przede wszystkim powstało takie przekonanie wśród twórców, że jeżeli będziemy mieli własny proprietary engine, red engine dla CD Projekt Red, to będziemy osiągnęli niesamowite sukcesy.
5555:  Dzięki temu Cyberpunk nie został kończony na czas.
5559:  Christmas tree for sale.
5562:  Boże, jakie długie to życie, umrzyj wreszcie!
5566:  Oho, już rozwód, no skąd ja to wiedziałem?
5569:  O, proszę ba, zaczyna się.
5572:  Zaczyna się.
5574:  Damn, she's getting on your nerves!
5581:  Skąd ja to wiedziałem?
5584:  Oczywiście, po co rozmawiać, walczyć, zrozumieć drugą... Nie, jasna sprawa.
5591:  A czy to dlatego się wyekspediował w kosmos?
5594:  Stwierdził, okej, uniwersytet się, praca od dziewiątej, piątej się, związki są, to teraz ja w takim razie dam się zassać podróżom międzygwiezdnym.
5605:  Project Dolly.
5608:  Jesteśmy tutaj.
5610:  You enter the spaceship with a tingling of anxiety and excitement.
5614:  You're going to space.
5617:  Far away from here, just like you've always wanted.
5621:  Far away from your problems, you'll think about them later.
5624:  Tak, podczas sesji z terapeutą.
5628:  W pustce, gdzie nikt nie słyszy twojego krzyku.
5632:  To jest przepiękny, przepiękna perspektywa.
5635:  How did they get in here?
5638:  Masz problemy na ziemi, poleć w kosmos.
5640:  Easy.
5644:  To się nazywa dosłownie uciekanie od problemów, prawda?
5648:  Jezusa Jezu.
5649:  A tymczasem Lena została tam biedna, ona myślała, że on do niej wróci, że opamięta się, że przerozmawia o sprawie i co?
5657:  I nic.
5657:  I nic.
5660:  Znowu musimy się kontaktować z alienami.
5664:  Nie macie wątpliwości, że to są obcy, bo ja już to wiem.
5670:  Hej, sprawdziłem komputer kwantumowy.
5694:  Tak, to jest jak mężczyzna nie uczy się prawidłowej komunikacji.
5697:  Lądują, dosłownie, w czarnej dupie, w kosmosie.
5701:  Nic i co potem.
5702:  Dokładnie, Michale.
5708:  Przypomina się książka Lema Powrót z gwiazd.
5710:  Społeczeństwo oszalało i jedź w kosmos.
5711:  Dokładnie.
5712:  A, bardzo ładne galłanie o nim je.
5714:  Tak.
5716:  Nie.
5723:  Przynajmniej dostaliśmy na tym zajebisty film i było to Elysium.
5726:  O!
5727:  Elysium, znakomita sprawa, moi drodzy.
5730:  Jak nie widzieliście Elysium, tam gra Dad Mamon Elysium i bodajże Jodie Foster.
5746:  To jest po to, żebyście widzieli moje cierpienie.
5752:  Dziękuję.
5753:  To jeszcze może IMDb.
5758:  Z 2013 roku rzecz.
5760:  Proszę bardzo, ta.
5761:  Mówiłem, że gra Dad Maymont.
5763:  Neil Blomkamp to reżyserował i jest Jodie Toaster.
5765:  Mówiłem, że jest Jodie Toaster.
5770:  What do you want with it?
5777:  Uwielbiam książki Huxleya i nie tylko Nowy Wspaniały Świat jeszcze jest, znaczy Wyspa jest nudniejsza, moim zdaniem, ale jest jeszcze taka jedna powieść, w tym momencie mi wypadła z głowy, ale jest po drugiej stronie regału.
5791:  Okej.
5792:  I'm not messing with that shit.
5793:  Nie, nie, nie, no dowiedzmy się, o co w tym chodzi.
5795:  What exactly will be branching?
5803:  On chce nas rozgałęziać?
5805:  Zaraz, zaraz, zaraz, zaraz, zaraz.
5807:  Wpierw... Wpierw się dowiaduje, że to jest generator frajdy.
5811:  Potem dowiaduje się, że to jest eskel zamieniony w Enta.
5817:  Co?
5819:  Co się dzieje?
5822:  Dlaczego on ma się rozgałęzić?
5823:  Bo on jest jak Pekweninos z Orsona Scotta Karla, które się sadzało w ziemi jak drzewa.
5831:  No,
5834:  Aaa, moi drodzy, alter.
5837:  Ha, ha, ha, alters.
5840:  Alte... alters.
5845:  Bo wiecie.
5847:  Bo wiecie.
5849:  Alters.
5854:  Alter your life?
5856:  No way.
5866:  Leszkel, właśnie.
5874:  They said the thing, roll credits!
5880:  Czy on może wreszcie naprawić tę transmisję?
5882:  Ja nic nie słyszę, powiedział każdy widz tego kanału, jak Krzysztof nie miał jeszcze dobrego internetu.
5893:  A co jeśli ja nie chcę?
5897:  Ja się boję.
5903:  Czekajcie, ja wiem, on sobie stworzy Lenę teraz.
5908:  Ale taką stróż nie będzie kłócił.
5910:  I to wcale nie będzie creepy.
5912:  Powiedzcie mi, że to by się nie stało.
5919:  Okej, tego się kompletnie nie spodziewałem.
5931:  Jesus Christus!
5932:  O kuźwa.
5953:  To jest drzewko.
5954:  To jest drzewko umiejętności.
5956:  Oni są genialni.
5958:  To jest genialne.
5959:  Znaczy, w tym momencie się zachwyciłem.
5967:  To jest... To jest interfejs diegetyczny.
5969:  Na... W pełni.
5972:  I jeszcze mamy nawiązanie do Dark Matter Caledon.
5974:  Absolutnie.
5974:  No mega absolutnie.
5977:  Drzewo życia.
5980:  To mi się bardzo podoba.
5997:  Takie proste niby, nie?
6009:  They did the thing.
6082:  Ja myślałem, że Frostpunk to jest jedyna rzecz, która wyszła i wyjdzie kiedykolwiek Eleven Beat'om i zostałem tak boleśnie zweryfikowany.
6094:  I rzeczywiście mamy alternatywną ścieżkę przez cały czas.
6097:  Ale nie zmieniam zdania, że naprawdę to byłoby super, gdyby to zostało jakoś tam z narratywizowane, nie?
6104:  Na przykład wyobraźcie sobie, że klikacie w to i dostajecie krótki film.
6109:  Ło!
6111:  Ależ bym chciał, żeby coś takiego zostało zrobione.
6114:  Muszę to zasugerować 11bitom, jak będą chcieli jakiegoś feedbacku.
6119:  To zrobi tak niesamowicie imersyjną robotę,
6123:  że się w głowie nie mieści.
6124:  Wy wiecie, tak jak w... No właśnie, w grach Davida Cage'a, gdzie mieliśmy, zwłaszcza w Beyond, taką możliwość przeglądania naszej helisy DNA.
6133:  Becoming a technician, proszę bardzo.
6135:  Dawid Podsiadło w alternatywnej rzeczywistości, gdzie jest generatorem frajdy, który wylądował na planecie, gdzie zjadł za dużo burrito, umie konstruować rzeczy, które wyglądają zupełnie jak steampunkowe, swoją drogą.
6146:  Podoba mi się ten kursor.
6150:  Czy wiadomo, kiedy wychodzi pełna wersja gry?
6152:  To jest do sprawdzenia.
6154:  The Alters.
6158:  The Alters.
6160:  Premiera.
6166:  W tym roku?
6168:  Zobaczmy.
6171:  Klikam.
6172:  Czy jest oficjalna data?
6173:  Wrzesień 2024.
6177:  Czy jeszcze trochę poczekamy?
6179:  Ale nie tak długo, ale dlaczego wszystko musi wychodzić we wrześniu?
6184:  Przecież wtedy, to jest bez sensu, wtedy wychodzi Space Marine 2 i wtedy wychodzi również, co jeszcze wychodzi?
6189:  Jezus, God of War Ragnarok.
6192:  No ale gry online zakładam, że mogą mieć jakieś dane, wiecie, dokładniejsze, więc lubię sprawdzać ich zawsze.
6199:  Father figure.
6202:  Suspicious visits.
6206:  Proszę bardzo, policmajstrzy przyszli.
6209:  Problemy się dzieją.
6216:  Pora na urlop, żeby wszystko to ograć.
6218:  No dajcie spokój.
6219:  Nie no, my musielibyśmy we wrześniu codziennie robić stromyki, no dosłownie.
6223:  Tak, we wrześniu musiałbyś wybierać odbiór jak 24 na 7.
6231:  Drogi ten twój pomysł z wideo pod każdą gałąź.
6233:  Wszystkie moje pomysły są drogie.
6240:  Ludzie mówili Krzysztofie, wiesz co Krzysztof, tutaj trochę jak tak patrzę, swoją drogą to była prawda, to masz tak niedoświetloną twarz troszeczkę, to może być Krzysztof coś z tym zrobił, masz taką twarz niedoświetloną.
6251:  Na czacie tak raz usłyszałem.
6253:  No i ja pomyślałem sobie, no oczywiście, zaraz to naprawimy.
6257:  3 tysiące, 3 tysiące złotych później, nie?
6261:  Chociaż nie, to akurat nie była ta, poczekajcie, żeby to było sensowne.
6265:  Żebym się wklikał w to, które faktycznie było wyłączone.
6267:  O, proszę... Nie no, jest różnica, tak?
6271:  Jakaś jest!
6274:  Ale czy to jest różnica... Warta trzech tysięcy?
6279:  Nie wiem.
6280:  Ale wy płaciliście, dziękuję za wsparcie kanału.
6286:  Można zrobić na silniku gry normalnie?
6287:  Wiesz co, Duofeny, faktycznie to akurat można.
6291:  Tu Ci przyznam rację.
6293:  I ja bym się nie obraził, gdyby to było zrobione na silniku gry, chociaż zastanawiam się zawsze, to jest pytanie dla osób technicznych na czacie, czy droższe jest faktycznie zrobienie na silniku gry, czy zrobienie prerenderu?
6306:  Zwłaszcza jeżeli mamy do dyspozycji w tej chwili AI.
6310:  Pytanie.
6313:  Dzisiaj słyszałem opinię, że potrzebujemy więcej gier przy tej ponyfacji.
6316:  Ja osobiście czuję, jakby gier było za dużo.
6317:  Oczywiście, że jest za dużo.
6318:  Przecież my i tak ogrywamy gry, które są AA, AAA, a jeszcze jest mnóstwo indyków, a potem macie jeszcze hałdę gier, jakichś kilkugodzinnych, które wychodzą co 5 sekund.
6331:  Wystarczy taki lekko poruszający się pokaz slajdów z mówiącym aktorem głosowym i zrobiłoby robotę.
6334:  To też racja, też racja.
6336:  W każdym razie na pewno nie może to wyglądać jak taki PowerPoint, bo to nie jest imersyjne.
6344:  Kryzys finansowy... Czyli teraz rozumiem, że idea polega na... Idea jest taka, żeby nas i tak zmusić do dotarcia do projektu Dolly, tak?
6353:  Sądziłem właśnie.
6355:  Czyli niezależnie od tego, jak się ułoży nasze życie, tak czy siak musimy dotrzeć do projektu Dolly.
6360:  Oj, tu powinno się ładnie tak złączyć ze sobą.
6365:  Pani Schrenner może psuć imersję.
6367:  No właśnie.
6368:  Wake up your alter.
6376:  Ja nie mogę znaleźć żadnej fajnej gry czy tutaj taniej gry.
6379:  Zaraz taką zagramy Angelico.
6381:  Tak, jak skończymy to demko.
6383:  Będzie gra darmowa.
6385:  Która nie ma mikrotransakcji.
6389:  Okej, gdzie, gdzie?
6391:  Jaki, jaki alter?
6392:  Że co, iść spać?
6399:  A nie, to było też w Quantum Computer.
6401:  Co?
6411:  Nie... Włó... Nie!
6420:  A ja już mam owcę!
6425:  Nie!
6426:  Nie!
6427:  Nie mo... Nie!
6440:  To jest creepy!
6441:  Mówiłem, że on stworzy swoją Lenę, tylko... Tylko trochę inaczej wyszło, nie?
6459:  Jezus, pokłócimy się ze sobą, to jest cudowne.
6481:  Ja jestem kupiony w pełni.
6482:  Gramy w tę grę, to jest seria.
6484:  To jest nowa seria na kanale.
6486:  Świetna Lena wyszła nam, prawda?
6493:  Serio nie wiedziałeś, o czym jest ta gra?
6494:  Nie wiedziałem.
6496:  Ja nigdy nie ogrywam gier przed streamem, wiecie o tym.
6498:  No chyba, że to jest jakaś stara gra, to co innego.
6500:  A przecież on powinien wpaść w panikę, widząc siebie.
6513:  A on nie wie.
6520:  Ja nie oglądam trailerów.
6522:  Widzicie, właśnie dlatego ja nie lubię oglądać trailerów.
6528:  Pięć takich siebie z inną historią.
6532:  Ty najpierw, muszę zaangażować się.
6537:  W porządku?
6542:  Jan Dolsztyn, senior techniczny w Operacji Mining Alicorps.
6546:  Jest tam.
6549:  Przechodziłem?
6553:  Wow, niesamowite.
6555:  Właściwie to działało.
6556:  Jemu mózg powinien eksplodować, jak wyjaśnił nasz Jan, Janowi Bis, o co chodzi.
6564:  To może być trudne do procesu, ale mój imię jest Jan Dolski II.
6569:  Ha, ha, ha, ha, ha, ha.
6574:  Oczywiście, że tak.
6575:  Nie jesteś zły za imitację.
6583:  I każdy uważa, że drugi jest klonem.
6587:  Piękne.
6587:  Yes it is.
6605:  Ej, może ten gościu, z którym gadałem przez ekran, to też inny Jan Dolski przeszli mix.
6608:  O!
6610:  To byłoby ciekawe.
6611:  Jan Dolski od doli, czyli owcy.
6615:  Co?
6640:  Grim Lucas ma prawdopodobnie najśmieszniejszy komentarz, którego nie mogę w tej chwili przeczytać.
6647:  Jedyną funkcjonalnością QC jest to, żeby nie przeszkodzić czasu.
6650:  Teoretycznie mogłoby to robić inne rzeczy, ale... Taka... cholera?
6659:  Wiem, jest absurdalna.
6661:  Myślałem o tym, ale... tutaj jesteś, prawda?
6665:  Racja.
6665:  Jeśli zrozumiem, czy w porządku mówisz mi, że jesteś... alternatywną wersją siebie, z innej myśli?
6672:  Muszę.
6673:  Grim Lukas pisze.
6674:  Czyli możesz mieć swoją opcję relansową if you incest.
6678:  Hahaha.
6690:  Nie ma jak dobry incest.
6692:  Hahaha.
6698:  Znaczy, to będzie prawdziwie narcystyczna miłość platoniczna.
6704:  Niesamowite.
6705:  Musimy to zrobić.
6706:  Znaczy, ta gra musi to umożliwić.
6713:  Okej.
6716:  Tak, tak.
6719:  I... Mówiłeś, że jesteśmy łączeni.
6721:  Tak.
6722:  To tylko my.
6723:  Jak już powiedziałem, w maszynie jest niepełnosprawność.
6726:  Jeśli nie pomagasz mi to załatwić, to wszyscy umrzemy.
6731:  Więc... czekaj.
6736:  Ej, zauważ, że mam na kamizelce numer 03, pisze White King.
6739:  Ciekawe, czym mamy 02, a wtedy kto jest 01?
6742:  Trzeba to sprawdzić.
6743:  Joe, był środa, dzień lodołamacza, gdy Huchi się nie wybacza.
6769:  I wouldn't wake you up.
6774:  I won't lie to you.
6776:  I created, I mean, woke you up.
6779:  Woke?
6779:  Because I needed you.
6781:  It wasn't easy for me either.
6784:  At least you're up front.
6787:  Ty, kurwa.
6792:  Widzisz, co teraz masz na myśli.
6794:  Nawet nie mogę się z tobą wyczuć.
6797:  Tylko ta pasywność... Co to ja jestem?
6806:  Już wiadomo, że ta gra to tak naprawdę rozważanie nad filozoficznym pytaniem, czy gracz zaliczyłby swojego klona, podsumowuje Emeriu.
6812:  Absolutnie.
6816:  Jeśli klony się klonują, to każdy kolejny klon nie będzie bardziej niestabilny?
6829:  Ja też tak uważam, Korinek.
6834:  Ale nie sprawdzimy, póki kogoś nie eksplonujemy po raz pierwszy.
6840:  Granica między naukowcem a szalonym naukowcem jest nieznaczna, ale jest.
6850:  O, to by wystarczyło, zauważcie.
6854:  Do tej helicydena.
6855:  Ok.
6855:  W jakimkolwiek innym wypadku powiedziałbym, nie dotykaj tu jeszcze raz.
6862:  Szczerze mówiąc, to jest praca dla dwóch.
6866:  Na mojej armii... ...zostanę tam na lewek.
6869:  Tylko... nie... jankaj go jak głupi... ...poczekaj go głośno.
6877:  Gotowy?
6882:  Jeden... ...dwa... ...trzy... ...jutro!
6883:  Tak!
6883:  Wyglądało!
6884:  Zrobiłeś to!
6885:  Będziemy żyć!
6885:  Zajmijmy się jedną rzeczą, Street.
6896:  Oglądałem tego świetnie, wchodzi po serial Dark Matter.
6898:  Jezu, absolutnie, jak się pięknie złożyło.
6901:  Ja teraz tylko żałuję, że nie mamy całości do ogrania.
6903:  Boże, no on autentycznie tutaj teraz będzie.
6906:  On za nami.
6911:  Jezu, tak!
6919:  On ma niezależne od nas życie, tak jak owca!
6931:  Pamiętajcie, jak podchodzicie do owcy, to musicie mieć takie ruchy.
6938:  Ona wtedy zabeczy.
6939:  Czy... jakim mamy numer?
6941:  01 jednak, haha! 01.
6947:  Nie no, jestem zachwycony, jestem absolutnie zachwycony.
6957:  Zawsze się będę mylił już, widzę.
6961:  Dobrze, to jest tutaj.
6963:  Ready to launch?
6967:  Ooo, no i proszę, automatically collect.
6978:  02 to owca.
6979:  Tak.
6981:  Tak jest.
6984:  Czyli nasz... Jesteśmy małpa na monocyklu, dosłownie.
6998:  Dlaczego mnie to bawi?
7000:  Nie mam pojęcia, ale to jest najgorszy możliwy przykład sunięcia po powierzchni Ziemi.
7008:  Alters tab.
7013:  Alters.
7017:  He looks a bit annoyed.
7018:  The alters tab allows you to check the mental and physical state of your alters.
7022:  O nie, trzeba się... O nie, trzeba się nimi zajmować.
7030:  Najgorzej.
7032:  Czy mapa nam będzie pokazywać, gdzie są nasi altero... Tak!
7037:  Jan Techniczyn.
7039:  Naprawdę, wiecie co?
7041:  Musimy to zrobić jednak.
7045:  Jak to terminal jest offline, gdy baza jest moving?
7051:  Teraz będziemy mówić, moi drodzy, tak, prawdziwi Polacy w Stanach Zjednoczonych.
7056:  Why the terminal is zamknięty, kiedy baza is moving?
7059:  I don't know.
7062:  Let someone naprawić that.
7065:  I uważam, że tak powinniśmy mówić tak długo, aż Eleven Bici nie wypuszczą wersji polskiej.
7077:  Kliknij R?
7079:  R chowa chyba te opcje, nie?
7081:  A Alt?
7082:  Nie mam pojęcia, co Alt robi.
7084:  Nie działa.
7091:  Hello?
7093:  Hey there.
7095:  Powiedziałem, nie przyjdź do mnie.
7103:  Rozumiem, że jesteś angry, ale potrzebuję twojego pomocy.
7106:  Rozumiem, że jesteś angry, ale potrzebuję twojego pomocy.
7124:  Żadnego wyboru gracza do tej pory, wymaganiowa gra na jeden raz.
7129:  To racja, Piotrze.
7131:  Chociaż wiesz, może później te helisy DNA będziesz mógł zmieniać.
7139:  Martyna pisze, nie wiem, co napisać, więc jamnik.
7141:  Bardzo słuszny wybór.
7145:  I wiesz co?
7148:  Na tę okoliczność
7151:  Rzadki jamnik.
7154:  Powiedziałem, rzadki jamnik.
7156:  Rzadki jamnik.
7157:  Jest tak mały, że musiałem zmienić kamerę, żeby go pokazać.
7164:  Rzadki.
7168:  I would do the same.
7169:  You pissed off at me now, but deep down we both know you do the same thing.
7173:  Really?
7175:  Powiedziałeś to sam, możemy wyglądać podobnie, ale jesteśmy inni.
7180:  Jesteśmy jajem i wodą, jeśli mnie zapytasz.
7185:  I nie łączy się dobrze.
7189:  Może.
7189:  Ale bez mnie nie odbędziesz długo, tak jak nie mogłem to zrobić bez ciebie.
7198:  W takiej sytuacji, schowywanie się w trzęsie jest po prostu głupio.
7203:  Żeby było więcej scenariuszy jak we Frostpunku.
7205:  Absolutnie prefeks.
7208:  No.
7215:  Na pewno natomiast można zmieniać ich nastawienie i ogląd.
7217:  Też tak uważam.
7222:  Modules deteriorate over time, which makes them prone to failures.
7225:  To repair the communication room you'll need a repair kit.
7228:  You can craft one in the workshop.
7231:  Let's craft one then.
7233:  Dobrze, gdzie jest workshop?
7238:  Tam się coś też dzieje.
7242:  Już wiem, gdzie jest workshop.
7243:  Sam go zbudowałem.
7245:  Nie ma to jak sprzeczać się z samą wersją siebie.
7247:  Emilia opisała całe moje życie.
7251:  Repair kit.
7254:  Naprawdę mi się coraz bardziej to podoba.
7260:  Ładne oświetlenie konturowe dla innego czubryny.
7262:  O!
7263:  Absolutnie jest 88A.
7265:  Oświetlenie konturowe to jest coś, co lubię.
7267:  Swoją drogą, skoro już mówimy o oświetleniu konturowym, ja byłem dzisiaj w szoku, bo mi się nie włączyła jedna lampka i jak to dużo zmienia też.
7276:  Poczekajcie, gdzie mam oświetlenie konturowe?
7278:  Tu mam oświetlenie konturowe.
7284:  Wiecie, niby nic, ale mówię Filipowi bez schematu, który teraz robi studio, słuchaj, musisz, musisz mieć odświetlenie tylne, dużo zmienia.
