Krowi poziom — BEASTMEN livestream (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=hjdWJ1H_3BU

2:  Witam wszystkich na streamie.
1938:  Który będzie dla nas najlepszy w tym momencie?
1941:  Myślę, że... Pak, Domena Cieni.
1947:  Dobrze.
1948:  Postaramy się coś zrekrutować.
1950:  Cokolwiek.
1951:  Żeby mieć szansę z tą armią.
1953:  Kiedy wraca Taurox?
1957:  Cztery tury.
1962:  Bez restartu!
1964:  Utrzymujemy to!
1968:  Wszyscy wypowiadają nam wojnę, wyjąwszy Skavenów.
1970:  Skaveni na razie nie.
1974:  Co robi ta zdolność Tauroxa nad portretem?
1977:  Już tłumaczę.
1979:  Ta zdolność, chyba o nią chodzi, możemy dzięki niej odblokowywać umiejętność uzupełnienia zasięgu ruchu.
1989:  Chyba, że chodziło o jakąś zdolność bitewną, to jeśli tak, to jeśli chodzi o zdolność bitewną, to jest wybuch.
1997:  Okej.
2004:  Mroczne elfy to jest straszna rzecz.
2009:  O nie, gromadzą się zbyt tłumnie, ale nie powinny sobie poradzić z tym garnizonem.
2014:  To są słynne ostatnie słowa.
2017:  Ten garnizon nie jest zbyt dobry.
2019:  Sprawdźmy, czy możemy zrekrutować... O, i nie możemy zrekrutować bohaterów.
2023:  To jest fatalna wiadomość.
2025:  Ale mamy za to pewien zasób grozy.
2028:  Groza to jest interesujący surowiec, powiedzmy, który został wprowadzony właśnie po to, żeby można było np.
2034:  odblokowywać sobie bohaterów.
2036:  Co my w tym momencie zrobimy?
2038:  Albo żeby można było wprowadzać ulepszenia.
2040:  Co my w tym momencie zrobimy?
2046:  I myślę, że na tym poprzestaniemy, ponieważ wydaliśmy mnóstwo pieniędzy.
2052:  Dobrze.
2055:  Nie chcemy jeszcze odprawiać rytuału zniszczenia.
2058:  Chcemy natomiast wyrekrutować jeszcze trochę jednostek.
2062:  Dobra.
2065:  Fullmetal Alchemist jak najbardziej, przy czym znany jest, przy czym polecam Fullmetal Alchemist Brotherhood.
2085:  Jak oceniam polskie okładki do Archiwum Burzowego Świata?
2087:  Trochę mnie boli ten pseudo-realizm i jakiś smutek tych okładek, gdy patrzę na kolorowe oryginały.
2092:  Trochę tak.
2093:  Mam wrażenie, że idealne byłyby mimo wszystko te w miękkiej okładce, tylko że zrobione w hardcoverze.
2105:  Mamy bardzo dobrą mapę do obrony.
2108:  Postaramy się to wykorzystać jak najlepiej.
2113:  Te jednostki Angorów, w ogóle ja pierwszy raz w życiu, żeby było śmieszniej, gram frakcją Beastmenów, te jednostki Angorów są strasznie słabe, więc trzeba sprawić, żeby strzelały jak najdłużej, bo ostatnio zginęły zbyt szybko.
2130:  Prymitywne Minotaury damy tutaj, w wielkim zgromadzeniu.
2135:  Centigory, nie mam pojęcia, co to są za jednostki, już widzę, to jest kawaleria zwierzy ludzi, a Harpie wykorzystamy do nękania łuczników.
2144:  Wszyscy?
2147:  O, mamy jeszcze szamana, dobrze.
2154:  Widzę, że nie wierzycie w to, że nie będzie restartu.
2157:  To jest oczywiście możliwe, jeżeli przegramy sromotnie tę batalię.
2166:  Spróbujemy zwabić część z tych łuczników i...
2170:  O właśnie.
2172:  Będziemy próbować użyć tych harpii do tego, do czego zostały powołane.
2176:  To znaczy, żeby nękały łuczników.
2179:  Witam, witam również wszystkich.
2181:  Elfy, elfy prymitywne, głupie i gnuśne.
2184:  Należy je wszystkie zgładzić.
2188:  W tej armii na szczęście nie ma tylu łuczników, to jest dobra wiadomość.
2194:  Natomiast Harpie to są najgorsze bodaj jednostki w grze.
2197:  One się nadają tylko i wyłącznie do tego, żeby atakować jednostki bezbronne.
2210:  Okej.
2213:  Dobrze, tryb pełnego skupienia.
2219:  Czy Angorzy nie mają tutaj zasięgu?
2221:  Nawet mi o tym nie mówcie.
2223:  Oczywiście, że nie mamy zasięgu.
2226:  Spróbujemy te pseudo-kawalerie wysłać na tyły.
2231:  Zobaczymy, że to coś da.
2241:  Widzę, że nasze harpie już zaczynają ginąć.
2243:  Świetnie.
2250:  Ta kawaleria zwierzy ludzi jest beznadziejna.
2264:  Bardzo niepokoi mnie ta przewaga łuczników.
2270:  Bardzo, a bardzo.
2276:  Harpie powinny mieć moc zrzucania z powietrza toksycznych pocisków albo w ogóle powinny mieć moc wygrywania.
2283:  To byłoby korzystne.
2299:  Tak, moi drodzy, będzie restart.
2300:  Teraz już to jest nieuniknione.
2310:  Wielkie nieba.
2320:  Zwierzoludzie mnie zawodzą.
2323:  Czy przypadkiem nas nie atakuje... nas atakuje jakiś magus popaprany, to jest fatalna wiadomość.
2329:  Straciliśmy też tę zdolność Tauroxa, która była wcześniej.
2334:  Hmm, niedobrze.
2339:  Trzeba było zrobić... aaa, automatyczne rozstrzygnięcie wcześniej.
2344:  Czy gram na legendarnym?
2345:  Oczywiście, że tak, dlatego tak to wygląda.
2349:  Czy bawię się w mecze potyczki w Total War Warhammer, czy tylko kampanie?
2352:  Tylko kampanie, szczerze powiedziawszy.
2355:  Robimy restart.
2358:  Powiedziałem, że dzisiaj bez restartu?
2360:  Kłamałem.
2371:  Beastmeni mnie zawiedli po raz pierwszy.
2376:  Jak mnie zdenerwują, to się przełączymy na Skavenów.
2379:  Nie żartuję.
2383:  Dajemy jeszcze jedną szansę Taurokowi na Oku Wiru.
2390:  F na czacie.
2396:  Ci, którzy przybyli w tym momencie, weszli i w najgorszym, i w najlepszym momencie, to znaczy z jednej strony doświadczyli nieprawdopodobnej klęski naszej pierwszej armii Tauroks, ale z drugiej strony są na początku live'a de facto.
2410:  Moje ulubione regiony Imperium Warhammer Fantaż to Stirland, Wizenland i Hochland.
2413:  O, Hochland jest fajne też.
2415:  Tam jest ser.
2420:  Teraz będziemy mieli, jak znam życie, klątwę... A nie, dyscyplina to nie jest zły trade.
2427:  Jak widać, nam by się bardzo przydał.
2432:  Dobrze.
2436:  Zaczynam mieć pewne wątpliwości, czy inwestycja w tych łupieżców Ungorów jest dobrym pomysłem.
2443:  Ale... Chyba tak.
2448:  Bo to są jednak łucznicy, bo do dyspozycji mamy tylko i wyłącznie... No powiedzmy, ta dyscyplina mnie troszeczkę martwi.
2462:  Dobrze, zrobimy tak, żeby mieć jednak jakąkolwiek piechotę.
2468:  Zasięg ruchu zwiększamy, devolucja, zgadza się wszystko, lecimy dalej.
2473:  Powrót Iggy Claw dzisiaj byłby pożądany.
2476:  Kto wie, czy tego nie zrobimy swoją drogą, ale jeszcze dajemy szansę, jeszcze dajemy, dajemy jeszcze odrobinkę.
2486:  prymitywnym Beastmenom.
2489:  Moje zdanie jest takie, że kluczem do sukcesu na początku kampanii Beastmenów są autorostrzygnięcia i poruszanie się z niewysłowioną szybkością.
2501:  Dobrze, to nam się przyda.
2505:  I okropny przypływ jest faktycznie okropny jako zaklęcie.
2511:  Myślę, że pewnym błędem było nie zaatakowanie od razu tej osady.
2514:  Zwiększamy sobie też prędkość animacji.
2515:  To jest coś też bardzo denerwującego, to znaczy wciąż nie ma tego do ustawienia automatycznie dla wszystkich frakcji.
2526:  Ja już rozumiem, na czym polega problem.
2528:  Problem polega na tym, że Beastmenów należy ogarnąć tchórzliwie.
2533:  Tchórzliwi zwierzoludzie rozgrywają wszystkie bitwy autorozstrzygnięciem najwyraźniej.
2542:  Bestialski przypływ.
2543:  Dobrze.
2544:  Możemy rekrutować?
2545:  Nie możemy rekrutować.
2546:  Dobrze.
2551:  Doomstack piesków.
2553:  Ja nie będę się nawet wypowiadał na temat tego, jakie... Chociaż te Warhounds mogą rzeczywiście być dobre.
2558:  Kto wie?
2561:  Na pewno będą lepsze od Harpy.
2565:  Chociaż z drugiej strony, no, mają wyższą dyscyplinę.
2568:  Nie, nie mają wyższej dyscypliny.
2570:  Mają niższą dyscyplinę niż Harpie.
2574:  Więc obawiam się, że może to nam nie pomóc.
2583:  Cóż to jest za banner?
2584:  Sztandar gniewu.
2585:  Absolutnie nam nic nie da.
2587:  I wznosimy Kamień Stada.
2591:  Jesteśmy z grubsza w tym momencie, w którym byliśmy.
2594:  Wnioski są następujące.
2595:  Potrzebujemy więcej łuczników i... i piechoty.
2608:  Dobra.
2615:  W Hochlandzie mężczyzna kocha bardziej swój muszkiet niż żonę.
2620:  Bawienie w sposób, jaki rejony Bretonii są odbiciem Imperium.
2623:  Macie w Imperium Sylwanię, to mamy przeklęte mu zioł.
2626:  Trochę tak jest, faktycznie.
2628:  Bretonia na tej mapie niestety jest, obawiam się, niewidoczna dla wszystkich, którzy by chcieli się dowiedzieć, gdzie się znajduje.
2635:  To znaczy widoczny jest tutaj jej skrawek, o!
2637:  Gdzieś w tym miejscu jest Bretonia.
2639:  Mapa w ogóle Okawiru, tak nawiasem mówiąc, niestety różni się nieznacznie od mapy Mortal Empires, co mnie niezmiennie bardzo martwi.
2653:  I zrobimy jeszcze jedną rzecz, mianowicie od razu ulepszymy kamień stada, żebyśmy mogli budować tutaj drugi poziom.
2661:  To oznacza też lepszy i wyższego poziomu garnizon.
2668:  Garnizon ważna rzecz, jak się w ponury sposób przekonaliśmy.
2677:  Po co w słabych, prymitywnych łuczników inwestować, skoro można rekrutować potężnych, silnych wojowników warczących wręcz?
2682:  Ponieważ niestety na poziomie bardzo wysokim, jeżeli walczymy taką samą frakcją i ma ona, powiedzmy, nie wiem, pikinierów najwyższego poziomu, załóżmy, i druga taka sama frakcja będzie mieć pikinierów najwyższego poziomu, to AI zawsze zwycięży w walce wręcz.
2701:  Wiem, nieuczciwe.
2703:  Bierzemy wściekłego byka i modlimy się, żeby ten wściekły byk był lepszy od poprzedniego.
2711:  Bierna umiejętność, szał.
2712:  Kiepska sprawa.
2713:  Ale zrobimy sprytną rzecz, mianowicie wyrekrutujemy go.
2716:  Znaczy nie wyrekrutujemy go, tylko będziemy go levelować.
2719:  W ten oto sposób.
2723:  Leśne elfy z kolei znajdują się tutaj z nimi i niestety też będziemy musieli się zmierzyć w Wiedźmim Lesie.
2730:  Ciężka sprawa, moi drodzy.
2732:  Co tu jeszcze możemy zrobić?
2734:  Hmm, groza pozyskana z bitew, wyższy poziom, dobrze.
2739:  I potrzebujemy stado gorów, rydwany.
2745:  Hmm, rydwan by się przydał, myślę.
2748:  Może właśnie rydwan jest kluczową sprawą.
2753:  Okej, mamy piechoty trochę.
2757:  Czy będę używać exploita na pieniądze z rekrutowaniem nowego lorda i burzeniem budowli?
2762:  Nie znam tego exploita.
2764:  W trakcie zwierząt ludzi dzisiaj jest ogrywana całkowicie eksperymentalnie, bo zwykle nie gram chaosem.
2774:  To będzie inspe konieczne.
2779:  Nasz szaman rośnie w siłę.
2781:  Dobrze, bardzo dobrze.
2789:  Zniszczymy sobie tutaj troszeczkę garnizon, ociupinkę, uszczkniemy.
2792:  Dobrze, nasz byk zaczyna rosnąć w siłę.
2796:  Zwierzoludzie są zdolni do budowania twierdz?
2798:  Tak.
2798:  Zwierzoludzie mogą budować twierdze wyłącznie wtedy, kiedy wykorzystają odłomek kamienia stada i wtedy są w stanie zbudować jedną twierdzę w danej prowincji.
2809:  Ma to tę właściwość, że w danej prowincji wtedy żadna frakcja nie jest w stanie zasiedlić ruin tych, które są w zasięgu naszego kamienia stada.
2819:  Czyli w tym przypadku jest to Kowadło Wola.
2821:  Musimy jeszcze zdobyć Arnheim, czyli osadę tutaj na południu, i Fortecę Rozpaczy, która jest w tym momencie zasiedlona przez inną frakcję Mrocznych Elfów.
2836:  Oho, co mi...
2839:  Hmm, zastanawiam się... Zastanawiam się, co teraz uczynić.
2846:  Sprawdzimy, co jest w tym miejscu.
2847:  O, w tę stronę.
2848:  Wydaje mi się, że tutaj możemy się przyżywić troszeczkę na tych naszych wrogach.
2857:  Pracuję na uniwerku, nie gram chaosem.
2859:  Nie chcę przenosić pracy do domu, tak jest.
2861:  O Boże, jak ja nie znoszę tych zagadek.
2867:  Nie mam zielonego nigdy pojęcia, co tutaj należy wcisnąć, w związku z powyższym... Zaraz, zobaczmy.
2872:  Dwa tego koloru.
2875:  Czyli na pewno nie to.
2877:  Na pewno nie to.
2885:  Jeszcze nigdy mi się nie udało tych zagadek rozwiązać.
2888:  Drugi!
2889:  Nie w porę!
2890:  Nie w porę!
2895:  czy na uniwerkach Cyniecz-Slanet, czy Cyncz-Slanet, czy Zgnizna Moralna Nurgla.
2900:  Myślę, że wszystkiego po trochę, ale po trochu, natomiast na wszystkich uniwerkach zdecydowanie Cyncz jako ten odpowiedzialny za, no, cnowania sprytne.
2913:  Potrzebujemy, potrzebujemy co?
2916:  Wzrostu, myślę.
2920:  Wykorzystamy zwierzęce ścieżki, czyli tryb poruszania się pod ziemią i zobaczymy, czy sobie poradzimy z tą... Nie, to są orkowie, nie poradzimy sobie z nimi.
2933:  Dobrze, będziemy sprytni w takim razie.
2936:  Będziemy levelować naszych bohaterów.
2946:  No konferencja naukowa tylko, tylko kołn.
2948:  Tak, to prawda.
2950:  To prawda.
2951:  Zniszczymy sobie tą, tą, tę mieścinkę.
2954:  O, bardzo, bardzo ładna mieścinka do zniszczenia.
2957:  Nasz byczek dalej, bardzo dobrze byczku.
2961:  Bardzo dobrze, plus jeden.
2967:  Rzeczywiście da się robić eksploit zwierzy ludzi, któryś lord po przywołaniu ma budynek, który można od razu zburzyć i dostaje to... Ach, to tego rodzaju eksploity mnie nie interesują.
2975:  Ja bardziej lubię pasywne eksploity, takie jak mają chociażby Skaveni, tak, tak!
2980:  Gdzie w przypadku Skavenów, jeżeli możemy na szesnastym poziomie rekrutować jednego z lordów, to dostajemy plus jeden czy dwa procent dochodu od wszystkich budynków.
2989:  To jest fantastyczna sprawa.
2993:  Prędkość dla wszystkich jednostek.
2994:  Przyda się.
2997:  O proszę.
3000:  O proszę.
3005:  To się tu przemieścimy w takim razie i będziemy troszeczkę sobie plądrować.
3009:  Plądrowanie jest zawsze radosne i miłe.
3014:  To jest swe drogo dość efektywny sposób na levelowanie bohaterów.
3024:  Czy są transmisje z konferencji naukowych?
3027:  Chcecie zbyt wiele.
3028:  Nawet COVID nie spowodował, że zaczęto transmitować konferencje naukowe.
3034:  O to chodziło.
3037:  O to chodziło.
3039:  Eee, tak, tak, tak, tak, tak.
3042:  Prymitywny, prymitywny AI, świetnie.
3047:  Niszczymy, wyruszamy naprzód.
3053:  Bardzo dobrze, o to chodziło.
3056:  Plan jest generalnie rzecz biorąc taki, abyście się zastanawiali, co mi się roi w głowie, żeby zaatakować naszych wrogów od tej strony i zmusić ich do rozbicia dwóch armii.
3067:  Na jedną.
3070:  Którą osaczymy i zniszczymy.
3075:  Dobry, dobry, witamy.
3080:  Tak, deale na konferencjach zawsze są poza salą i w kuluarach.
3082:  Jeżeli kiedykolwiek jedziecie na konferencje naukowo, polecam wykorzystać ten czas do networkingu bardziej.
3090:  Są wprawdzie dzielni i samobójczy, którzy siedzą na sali przez cały czas.
3095:  Ja do nich nie należę.
3099:  Jeszcze jedno zwycięstwo i będziemy mogli odnawiać sobie ruch.
3104:  O!
3113:  Kiedy Horda Jasztro ludzi Nakajem?
3115:  Och, to jest strasznie nużąca kampania, jeśli mam być szczery.
3119:  To znaczy, kampania polega na tym, że rekrutujemy Kroksigory i modlimy się, żeby nas nie zabito.
3126:  Nie brzmi to ekscytująco.
3129:  Moja ostatnia kampania z Nakajem, zanim zdołałem wyrekrutować coś, co ma sens, jedyny w przypadku frakcji Hordy, to znaczy Doomstack Stegadonów, to było jakieś 150 tur.
3142:  Nie wytrzymał tego żaden stream.
3146:  Czy nasz Rydvan... O tak, nasz Rydvan może być tutaj, dobrze.
3150:  Rydvan sobie zgrupujemy.
3156:  Paweł pisze, że studia też warto wykorzystać do networkingu.
3159:  Absolutnie się z tym zgadzam.
3163:  Damy jedną salwę z naszych śmiesznych łuczków, po czym natychmiast się wycofujemy.
3170:  Tak jest.
3172:  Tak jest, o to chodziło.
3176:  A Rydvan ma zabezpieczać tyły.
3179:  Przynajmniej nasi Ungorzy są relatywnie szybcy i mam nadzieję, że po upgradezie będzie jeszcze lepiej.
3187:  Ciekawy jestem, czy Rydvany działają tutaj tak jak w Troji, czy będą działać w ten sposób, że będą utykać w szeregach wrogów.
3194:  Co myślę o Vampire Countach Warhammerze?
3196:  Och, przepiękna frakcja absolutnie.
3198:  Ja uwielbiam Izabelę von Karsztyn.
3202:  Nie ma jak wampirzyce.
3207:  Tak jest, Rydwany działają dokładnie tak, jak myślałem, to znaczy utykają w szeregach wrogów i ciężko nimi wyjechać.
3216:  Są jedyne, jedyne Rydwany... Chociaż... Chociaż nie!
3220:  Aaa!
3222:  Pamiętam!
3223:  To są akurat bardzo dobre Rydwany, ta z gorami.
3229:  Ponieważ one, z tego co pamiętam, i chyba to nie zostało jeszcze spatchowane, liczą się za trzy jednostki.
3234:  To znaczy, każdy Tusk go liczy się za jednego.
3237:  I dzięki temu zadają dość duże obrażenia.
3247:  Dobrze.
3249:  Atakujemy.
3249:  Atakujemy.
3265:  Jak tam nasza krówka sobie radzi?
3267:  Radzi sobie krówka!
3269:  Dobrze!
3270:  Zniżcie te rydwany natychmiast.
3274:  Dobrze, ta piechota, którą mamy jest nędzna, ale jak na razie wystarczy.
3280:  Myślę, że też dobrym rozwiązaniem było związanie walką resztę.
3289:  Możemy potem też obczaić nowego Lorda Jaszczuru ludzi, kto wie, to nie jest taki zły pomysł.
3294:  Nie cierpię Izabeli von Karsztajn z dwóch powodów, już wiem z jakich.
3297:  Tak, quickly, swiftly!
3300:  Jest to strasznie irytujące, przyznaję.
3303:  Ewidentny błąd przy nagraniu ścieżki dialogowej.
3308:  Dobrze!
3313:  Głupi rydwanie!
3314:  Ruszaj niszczyć łuczników!
3325:  Harpie wydają przerażające odgłosy i one są przerażające głównie dla ucha, ale nie dla wrogów.
3333:  Pytaliście, co to jest ta zdolność Tauroxa.
3335:  Otóż tak wygląda.
3339:  Powiedzmy, wybuch minores gentium.
3345:  Och, ja tutaj widzę piękną opcję na zaklęcie.
3348:  Tak, tak, tak, tak, tak, tak.
3350:  Bardzo potrzebuję zaklęcia.
3352:  Zbliżcie się, dzielne Rydwany, z Tazgorami.
3358:  Krew dla bogach czaszek.
3359:  Tak, nareszcie mamy jakąś bitwę, która wygląda w sposób godny, a nie całkowicie żenujący.
3373:  Natomiast ci łucznicy rzeczywiście się dobrze sprawdzają jako piechota wsparcia, znaczy, jako jednostka wsparcia, absolutnie nie jako... typowa szachownica z łuczników, która się sprawdza w innych nacjach.
3388:  Ja podczas kampanii z siostrami z Mieszką myślałem, że nie wytrzymam.
3390:  Nic tylko... Moving as one!
3392:  To prawda.
3394:  Tam też jest ten problem.
3396:  Potwierdzam.
3401:  Chcę użyć zaklęcia!
3402:  CHCĘ UŻYĆ ZAKLĘCIA!
3407:  Dobrze.
3413:  Zaklęcie to nie jest tak fantastyczne, jakbym sobie tego życzył.
3420:  Dobrze.
3423:  Harpie się nadają w tym momencie do tego, żeby ścigać głównie jednostki, widzę.
3428:  Jak tam Rydvany?
3430:  Czy w środowisku naukowym na uczelniach jest podejmowany temat kryzysu nauki?
3434:  Znaczy, zależy jak rozumiesz kryzys nauki.
3436:  Jeżeli kryzys nauki rozumiesz jako ciągle nam każą robić nowe rzeczy, niech nam nie każą robić nowych rzeczy, to naukowcy praktycznie o niczym innym nie rozmawiają.
3445:  A jeżeli masz na myśli kryzys nauki taki, o którym na przykład ja mówię... Rzadziej.
3455:  Niestety.
3459:  To zaklęcie, to znaczy ulepszony, okropny przypływ, polecam tylko i wyłącznie overcastować, czyli dwukrotnie rzucać.
3469:  Zwycięstwo!
3471:  Wreszcie!
3473:  Nareszcie zwyciężyliśmy!
3476:  Ach!
3480:  Czy widziałem filmiki Nephew Narrator o Warhammerze?
3483:  Nie, nie widziałem.
3483:  O Warhammerze Fantasy właśnie?
3485:  Dobrze wiedzieć.
3491:  Samuel D. Elector Kahn z Carla Franza przynajmniej jest memiczny, natomiast Swiftly, Quickly czy ten drugi przykład z Moving As One to jest taki typowy przykład kwestii, która jest fillerem, ale w żaden sposób nie wprowadza informacji dotyczących lore i wiedzy o tym świecie.
3508:  A Markus Wolfhardt jest też przepiękny, absolutnie.
3512:  Czyli z Armenii z Warhammera 2 mówią byle co, czy Games Workshop rzeczywiście stworzył jaszczurzy jężyk.
3517:  O ile wiem, konsultowali się z ksenolingwistą.
3520:  Ksenolingwiści to są właśnie ludzie odpowiedzialni za tworzenie tego rodzaju eksperymentów.
3525:  O, wydusimy dwa zwycięstwa z nich.
3528:  Bardzo dobrze.
3530:  To jest świetna wiadomość z bardzo prostego powodu.
3534:  Mianowicie z tego, że jeszcze ludzie korzystają bardzo na tym, o właśnie, na grozie.
3540:  Im więcej zwycięstw, tym więcej grozy.
3543:  Dla nas to oznacza, tym więcej ulepszeń odblokowywanych jednostek.
3547:  Czekamy głównie na...
3550:  I am supreme.
3550:  To jest najlepszy tekst w całej grze.
3552:  Ale czy to nie jest Setra, The Imperishable?
3572:  Kontrowersyjny temat dnia.
3573:  Co czat sądzi o solonych chipsach?
3575:  Dlaczego to jest temat kontrowersyjny?
3577:  Wszystkie chipsy są dobre.
3579:  Koniec kontrowersji.
3583:  Zwłaszcza dla kogoś, kto przez ostatni tydzień z uwagi na nerki musiało się oszczędzać dietetycznie.
3594:  Dobrze.
3596:  Nasze tępe minotaury.
3598:  Potrzebujemy więcej minotaurów z tarczami.
3601:  Taurox bardzo wspomaga minotaury.
3606:  Świetne jednostki strzeleckie, które podczas zasadzki nie wpędzają przeciwników do zasadzki.
3613:  Co się stało z kampanią krasnoludów?
3615:  Będzie jutro.
3616:  Jutro gramy Torekiem.
3620:  Chipsy lukrecjowe?
3621:  Nie żartujcie nawet, jest coś takiego?
3623:  Brzmi przerażająco.
3626:  Głupie rydwany, zniszczyć głupie rydwany.
3634:  Dobrze, myślę, że... Myślę, że nasze harpie będą się akurat w sam raz nadawać do tego, żeby gonić tych tłuszliwych łuczników.
3642:  A tymczasem spróbujemy rydwanami, których mamy na razie niewiele, odciągać uwagę orkowych chopaków.
3651:  Czyżbym przesadził przy testowaniu nowych dekoktów, wywarów i mikstur podczas badań alchemicznych?
3656:  Tak, przesadziłem ewidentnie.
3658:  Moje nerki nie wytrzymały.
3661:  Kto ginie?
3662:  Czemu minotaury z tarczami się rzuciły do walki?
3665:  To jest głupota.
3667:  Taurox, idź niszczyć.
3678:  Dziki są całkiem przyzwoitą szok-kawalerią dla Zwierzoludzi, powiadacie.
3682:  Będziemy próbować.
3683:  Ja generalnie dzisiaj mam takie nastawienie, że testuję te frakcje.
3687:  Bardzo nie lubiłem grać Zwierzoludźmi, nigdy nimi nie grałem praktycznie.
3691:  Uważałem, że to w jaki sposób zostali potraktowani na samym początku było skandalem.
3696:  Natomiast teraz ewidentnie widzę, że przynajmniej są już grywalni, to jest jakiś postęp.
3700:  Ale na pewno zrobimy sobie Doomstack z tymi Rydwanami, on mi się podoba.
3707:  Jeżeli czat wie, czy jest jakiś lord, który się porusza na redwanie u zwierzęludzi, to dobra informacja będzie dla mnie.
3718:  Johan zajmuje się debankowaniem i dyskusjami o spłacie koziemcami.
3722:  Podziwiam bardzo.
3723:  To jest szczytne.
3725:  Szczytna misja.
3728:  Mnie trochę przeraża właśnie to, że się ta antynaukowość tak bardzo szerzy.
3733:  Harpie nie są w stanie sobie nawet poradzić z jednostką, która została rozbita, zniszczona.
3737:  Wyrzucimy je z armii, absolutnie.
3739:  Kazrak jest na rydwanie.
3741:  Ten świetnie.
3742:  W takim razie w momencie, w którym zdobędziemy Kazraka, dostaje on rydwany, bo w tym momencie to są jedne z naszych najlepszych jednostek.
3750:  Zobaczcie, one przechodzą jak masło przez szeregi piechoty.
3755:  Tak jak powinny Rydwany, bo Rydwany w tej grze niestety tak nie działają.
3761:  Świetnie.
3767:  Lord zginął.
3768:  Lord zginął.
3770:  Dobrze.
3772:  Świetnie.
3781:  Tak, oczywiście, że potrzebujemy.
3782:  Powiedział nikt nigdy.
3804:  Nie, podejrzewam, że jak zawsze w przypadku tych bitew zostaniemy zaatakowani przez większe siły niż te, które się tutaj pojawiają.
3812:  O właśnie, spodziewane posiłki.
3814:  Więc na razie sobie opodarujemy, zanim Kazrak nie będzie potężnym minotaurem.
3818:  Potrzebujemy na pewno... O tak, te rzeczy będziemy potrzebowali.
3826:  Obsydianowe ostrze.
3828:  Świetna wiadomość.
3832:  Nie możemy plądrować.
3835:  Natomiast zastanawia mnie... No właśnie.
3838:  Powinniśmy już móc użyć tej zdolności.
3843:  Odzyskiwanie zasięgu ruchu 0.
3845:  Nie możemy użyć tej zdolności.
3847:  Dlaczego nie możemy użyć tej zdolności?
3849:  Odnów zasięg ruchu Tauroxa.
3851:  Możemy.
3852:  Tutaj jest ta umiejętność.
3863:  Tak!
3865:  Tak!
3866:  Tak!
3867:  Tak mogę grać!
3871:  Spodziewane posiłki pizza.
3872:  Nie kuźcie mnie tą pizzą!
3873:  Jeszcze muszę wytrzymać na diecie.
3879:  To jest OP.
3880:  Dlatego gramy Tauroxem, moi drodzy.
3884:  Pozostałe frakcje zwierzoludzi tego nie mają.
3887:  Warunek jest tylko taki, że trzeba walczyć.
3889:  Dużo, dużo, dużo walk.
3892:  Duuużo walk!
3898:  Mmm, dobra muzyka.
3901:  Są bębny.
3906:  Zróbmy tak.
3920:  Łuczników proszę wyciąć uprzejmie.
3925:  Nasze dwie jedyne jednostki, które mają sens, czyli rydwany i reszta.
3933:  Dietę w przeciwieństwie do telefonu od żony można olać.
3936:  To jest prawda.
3937:  Jako dietę ma arcymagos.
3939:  Arcymagos ma dietę pod tytułem nie jeść praktycznie niczego, co szkodzi na nerki, czyli wszystkiego.
3945:  Trzeba jeść jakieś zupy i tego typu rzeczy.
3947:  Okropności.
3951:  Co to znaczy, że nie można zjeść burgera na przykład?
3953:  Ja nie jestem w stanie funkcjonować bez burgerów.
3960:  Dobrze.
3962:  Tępi łucznicy, wycofać się teraz za nasze krowy.
3968:  Widzę, że beastmeni się pięknie porozumiewają.
3972:  I ruszają do walki.
3976:  Dobrze.
3978:  Gdyby każde województwo było regionem Imperium, to województwo, z którego jesteś, którym by było?
3984:  Nuln, w dalszym ciągu.
3988:  Chyba, że chodzi o nałożenie mapy, to jeżeli chodzi o nałożenie mapy, to biorąc pod uwagę, że jestem z Małopolskiego, to prawdopodobnie byłyby okolice siedliszcza Baltazara Gelta, więc aha!
3999:  Welcome to Estalia, gentlemen!
4001:  Ja jestem za.
4004:  Czy Doomstack z Sajgorów?
4006:  Ma on sens, aczkolwiek Sajgory zostały bardzo mocno znerfione.
4012:  W tym momencie taką jednostką opecałkowitą jest Gorgona, która była w zasadzie tą, która się najdłużej trzymała w naszej poprzedniej kampanii, którą, przypomnę, spierdzieliłem.
4027:  Nasz szaman się nie wykazał jeszcze.
4030:  Szamanie, rzucaj zaklęcia.
4033:  Dobrze!
4035:  Dobrze, tak!
4037:  Magia.
4038:  Nawadnianie.
4039:  O, teraz nawadnianie jest bardzo ważne.
4042:  Na diecie muszę unikać soli, tak.
4046:  Generalnie przy problemach z nerkami unika się wszystkiego, co ostre, czyli ostre przyprawy, sól, kawa, wszystko, co odwadnia.
4060:  Najlepszy Doomstack Beastmenów to dalej bohaterowie.
4062:  Mam wrażenie, że większość najlepszych Doomstacków w tej grze to są Doomstacki właśnie bohaterskie.
4070:  Dobrze, chciałbym teraz jakiś soczysty replenishment zyskać.
4078:  Dobrze, teraz plan jest taki, żeby absolutnie się nie natknąć na tę armię, jaki ona ma zasięg ruchu.
4084:  Bardzo duży.
4086:  Ile mamy jeszcze odnowień tury?
4091:  kosztem dwóch punktów impetu.
4099:  To nic.
4101:  To zrobimy w ten sposób, że... Nie możemy rekrutować.
4113:  Możemy rekrutować, ale czemu nie możemy?
4115:  A, już rozumiem.
4117:  O, tak.
4119:  Gdzie jest rydwan?
