Zamek Drakenhof w drugiej turze — ISABELLA & VLAD VON CARSTEIN Livestream
🔗 https://www.youtube.com/watch?v=kDWWzVNoauY

2:  Witam czaty!
3593:  Boże, wielkie nieba, dajcie spokój.
3596:  Smutne jest to, jak ludzie... Niedobra rzecz się stała, bardzo niedobra, zasmuciłem się.
3614:  Bardzo się zasmuciłem.
3615:  Dobra, to teraz spróbujemy zrobić tak, zaczajmy się Vladem tutaj.
3620:  I całą resztę bohaterów tutaj zgromadzimy, licząc na to, że przeciwnik się połakomi na atak.
3629:  Jak tam Izabela?
3631:  Izabela może mieć Klątwę Nieśmierci, świetnie.
3637:  Myślę, że trzeba zacząć dbać o to, żeby nasze wampiry miały też dużo magii.
3642:  To jest ten moment, bo zaraz będziemy musieli mieć już takie konkretniejsze walki, bo jak już przychodzą krasnoludy na naszą granicę, to jest niebezpiecznie.
3653:  Okej.
3655:  Dobra.
3657:  Co polecam wampirami jeszcze, to inwestowanie w pierwszej kolejności w te wampiry, które mają domenę cieni, a nie domenę... Jak ona się nazywa?
3667:  Nawet nie wiem nigdy.
3670:  Nawet nie wiem, jak się nazywa ta magia, szczerze powiedziawszy.
3673:  Zawsze zapominam.
3674:  Jest po prostu skuteczniejsza.
3676:  Dobra.
3678:  Czy ona ma kasylwanie?
3679:  Tak, nawet recenzowałem.
3680:  Znakomita rzecz absolutnie.
3682:  Znakomita rzecz.
3691:  Dobra strategia do kucia na blachę.
3693:  Ja, Mateuszu, robiłem tak, że nie mając innego wyboru,
3698:  że układałem sobie różne obsceniczne wierszyki.
3703:  To pomagało.
3706:  Okej.
3707:  Teraz tak.
3711:  Zastanawiam się, czy jesteśmy dość silni, żeby zaatakować Zoofbar.
3717:  Vladma?
3726:  Może my jesteśmy dość silni, żeby zaatakować Zubba?
3731:  Zastanawiam się.
3733:  Zastanawiam się.
3734:  Zasłużyliście na jakąś walkę wreszcie, ale myślę, że walka ze skawenami będzie łatwiejsza na początek.
3741:  Tak.
3742:  Walka ze skawenami jest rozsądniejszą opcją.
3744:  Zaczajmy się tutaj i spróbujmy skawenów wywabić.
3748:  O tak, tak zrobimy.
3753:  Okej.
3759:  A, pułapka na skawenów to jest piękna sprawa.
3764:  Mmm, cudo.
3774:  Krzysztof właśnie dooglądał do końca arcane, jeszcze nie zebrał szczęki swobody, prawda?
3778:  Prawda?
3779:  Tak, Kazeko, to jest domena śmierci.
3781:  Wbrew pozorom, domena śmierci, tak, bo domena wampirów to jest ta, w której jest powiew śmierci, nielogicznie absolutnie.
3787:  Odnośnie Dragon Prince, piszemy, aha, to będzie premiera nowego sezonu jeszcze w tym roku?
3791:  W tym roku, w sensie 2021?
3795:  Ale to byłoby cudowne!
3800:  To byłoby znakomite, absolutnie.
3801:  Dobrze.
3808:  Skaven!
3809:  Yes, yes!
3811:  Haha!
3813:  Jest mniej Skavenów, niż myślałem.
3817:  Co to się dzieje?
3818:  Dobrze, tak czy siak potrzebujemy, żeby nasze postaci levelowały maksymalnie.
3824:  Izabela niekoniecznie.
3827:  Ale druga wampirzyca koniecznie.
3834:  Pięć tysięcy, świetnie.
3837:  Świetnie, świetnie.
3840:  Iiii... iiii... Waldenhoff nie?
3844:  Tak.
3846:  Będziemy musieli podbić za moment tę prowincję.
3850:  Polecam jakieś książki na temat filozofii.
3854:  Ciężka sprawa, jeżeli chodzi o książki na temat samej filozofii, bo jeżeli już, to bym polecał czytać samych filozofów.
3861:  łapka na skawianą, to szczuro szkodniko łapka.
3865:  Tak.
3865:  Tak jest właśnie Taraelu, absolutnie.
3868:  Na kryzys egzystencjalny to ja polecam obejrzenie sobie jakiejś dobrej komedii, ale dobrej.
3872:  Na przykład holistyczna agencja eskapistyczna, nie eskapistyczna, to detektywistyczna, wiedziałem, że się kiedyś pomyliłem, Deka Gentiego.
3880:  Czy czytam kanał komentarzy do live'ów podczas grania?
3883:  No nie, myślę, że byłoby troszeczkę za dużo do czytania.
3885:  Komentarze do live'ów są po to, jak nam się jakaś dyskusja rozwinie, jest właśnie dłuższa, jeżeli by ktoś chciał podyskutować, to tam może
3892:  Właśnie, nie było takiej możliwości zniszczenia wszystkich szczurów, bo myślę, że one się tutaj gnieżdżą, wiecie, w Karag Dromar.
3901:  Bo tak, one się tam gnieżdżą.
3903:  Przemieścimy się wladem na wszelki wypadek tutaj, bo coś czuję.
3912:  Tak.
3919:  Coś czuję, że tam jest jakaś zasadzka, która nas czeka.
3922:  Tak czuję właśnie.
3924:  Dobrze, i teraz Izabella niech się przemieści tutaj na wszelki wypadek, żeby strzec Cragmire.
3932:  Cragmire opuścimy, na razie nie jest nam potrzebne do niczego.
3936:  Tytuł sezonu Smoczego Księcia ma być zatytułowany Ziemia.
3939:  Uuu, uuu, to czekam.
3942:  Bartek pyta, czy Arkane przebiło Squid Game?
3945:  Tak, jeżeli chodzi o liczbę wyświetleń, na pewno.
3948:  Czytałem może serię Magia Wrót od Orsona Scotta Carda.
3952:  Właśnie nie.
3953:  Właśnie nie.
3954:  Nigdy.
3955:  Lord of Warcraft?
3956:  Za duże dla mnie.
3956:  Nigdy nie wszedłem tak do tego świata głęboko.
3959:  That's what she said.
3961:  Z Kronikarskiego Obowiązku STAMP 47 donosi, że najnowszy sezon JoJo to złoto w stanie czystym.
3966:  Proszę.
3968:  Koszty działania bohatera, szansa na działanie bohatera.
3970:  Chcemy szansę na działanie bohatera, chociaż nie działamy bohaterami.
3977:  Tu się nie...
3978:  Aaaah, świetnie.
3982:  Eric von Duck, zmierzaj tutaj natychmiast.
3986:  I Verbena również.
3989:  Liczę czaty na kreatywne wampirzemiana.
3995:  Izabela po raz pierwszy powiedziała Swiftly.
3997:  Gwarantuję Wam, że to nie jest po raz ostatni.
4001:  Tu potrzebujemy murów, tak, absolutnie.
4003:  Znaczy na razie to będzie upiorny płot, więc wiecie, ciężka sprawa.
4007:  Nie chcę Waldenhoffu ulepszać.
4010:  Co polecam przy ustaniu Wiedźmina?
4011:  Bez chwili wahania opowieści z mechańskiego pogranicza Roberta Wegnera.
4016:  Czy Dark od Netflixa mnie wciągną?
4017:  Nie.
4018:  Jak wykrywa się, czy szczury nie są podmiastami, dostajesz taką informację na interfejsie, jak klikniesz w dowolne miasto, jest taka czerwona, taki czerwony glif i to jest znamie tego, że znajduje się tam podmiasto.
4036:  Lolwowa pisze, Tara Elton, nie można ogarnąć czegoś, co nie istnieje jako konstrukcja logiczna, mili państwo.
4043:  Dobra gra w klimacie Van Helsinga,
4048:  THE INCREDIBLE ADVENTURES OF VAN HELSING!
4052:  Pierwszy, drugi, trzeci!
4054:  Znakomite, naprawdę.
4055:  Jest tam Lady Katarina, która cały czas dogryza naszemu głównemu bohaterowi, czyli Van Helsingowi.
4063:  To jest takie diablo w sosie steampunkowym, ale questy, które tam są, ach, piękne, grające z konwencją, mroczny klimat do tego wszystkiego, a jak jeszcze brakuje nam klimatu tego świata, to można zagrać w Death Trap, czyli Tower Defense, najlepszy, jaki istnieje Tower Defense, a mówię to jako Funjam Crafta, który ma tam tysiąc któryś poziom.
4084:  I zastawia się pułapki na wilkołaki w tym tower defensie i inne przeciwne naturze monstra steampunkowe.
4089:  Wspaniała rzecz!
4091:  O, o, zaczynają się, zaczynają się... O!
4094:  Drakarczuk!
4095:  Jest!
4096:  Jest, jest, jest, jest, jest!
4109:  Orgia von Dracarczuk.
4111:  Przepraszam, miało być Olgia.
4113:  Nie, nie, nie chcemy, nie chcemy Orgi.
4116:  Nie, nie, nie, nie, absolutnie nie.
4118:  Olgia von Dracarczuk wygrywa jak na razie.
4121:  To było absolutnie pewne.
4123:  Kurz von Gesagt.
4126:  Kurz von Gesagt jest piękny.
4128:  Też mi się podoba.
4130:  Leci.
4131:  Kurz von Gesagt.
4135:  Czaty, czaty jak zawsze z pomysłami.
4140:  Ja wam dam Orgię Drakarczuk.
4142:  Chociaż może rzeczywiście była lepsza.
4147:  Szlachetna porażka, my ass.
4152:  Absolutnie nie będzie żadnej szlachetnej porażki.
4155:  Nawet jeśli.
4157:  To będziemy temu przeciwdziałać.
4167:  Obiecuję, że skończył się to autoryzowy w którymś momencie.
4174:  Tak?
4176:  Wiecie dlaczego to zrobiłem?
4184:  Opłaca się na początku wampirami tracić armię, ponieważ to, co jest najpotężniejsze w armii wampirów, to jest wampirzy lord.
4194:  I chcemy mieć cechę krwawy.
4196:  Na razie jest amator krwi i chcemy żądny rozlewu krwi.
4199:  Daje to nam plus 20% wszystkich możliwych i radosnych jakże punktów zdrowia.
4206:  Teraz przenosimy się Vladem do Schwarzhafen, żeby to w Schwarzhafen doznać uzdrowienia.
4214:  O tak.
4215:  Donald von Trampstein.
4222:  To musimy mieć jeszcze jakiś mężczyzn, bo na razie mamy same kobiety w naszym gronie, więc moi drodzy, teraz, za te wszystkie czasy, kiedy na czatach nie było propozycji dla kobiet, to właśnie, będzie trzeba.
4236:  Patrzę, patrzę.
4240:  Katarin von... O, Katarin von Sigmar już jest, ale to nie będziemy żadnego kultu Sigmara.
4247:  Więc wiecie, sigmaryści nam weszli na czaty.
4251:  Zawsze było takie zagrożenie, że tak się stanie.
4254:  Zawsze było.
4255:  Dobrze, możemy już rekrutować, to jest też dobra wiadomość, samych wampirów.
4260:  I teraz tak, strażnik wiedzy, znaczy nekromantów.
4262:  To jest dobra wiadomość.
4264:  Wystarczy nam...
4268:  Utrata wigoru.
4271:  Pustujmy dalej szkielety wojownicze.
4274:  Myślę, że wystarczy.
4275:  Tego nie chcemy.
4280:  Czyżby nasze wampiry absolutnie nic nie kosztowały?
4284:  185.
4285:  Maryla von Rodowitz!
4287:  Yeah!
4292:  Czaty.
4294:  Czaty.
4297:  Czaty.
4299:  Kajabladek.
4300:  Dobrze, chociaż nie lubię tej postaci bardzo, ale pasuje.
4307:  Bardzo pasuje niestety.
4308:  Smutna postać.
4311:  Petrycze.
4311:  O, ładne, ładne petrycze.
4312:  Ładne petrycze.
4318:  Betrycze mi się od razu... Widzicie, roztargniony się zrobiłem i rozrzewniony, bo przypomniałem sobie wszystkie tomy serii Niefortunnych Zdarzeń dedykowane Betrycze.
4331:  Marta von Lempart, nie, nie, wspaniałe rzeczy są.
4337:  Ale piękne jest to, że każde miano jesteśmy w stanie zamienić na niemiecko brzmiącej wampirze.
4345:  Dobra, następna seria nazw potem, teraz Limit Bohaterów dla Nekromantów chcemy i następna tura.
4364:  Von Blatchtein też dobre.
4370:  Więc tak, moi drodzy, będziemy mieli głównie imiona żeńskie, chociaż teraz dla nekromanty potrzebujemy... Karol von Wadowitz, przepraszam, przed 21.37, ale wygrywa.
4387:  Zrobimy go prażaninem.
4389:  Karel von Wadowitz jest alchemikiem nekromantą z Praże.
4396:  Wadowitz, bardzo dobrze.
4399:  Teraz tak, czy możemy... TAAAAK!
4405:  Dyscyplina!
4407:  WSEPANIALE!
4409:  Więcej wąpierzy!
4412:  Więcej darmowych prawie wąpierzy!
4414:  Okej i... Do kogo dołączymy?
4420:  Do Vlada.
4421:  Vladowi jest potrzebny nekromanta bardzo.
4425:  Okej.
4427:  Vlad wraca do Schwarzhafen, żeby jeszcze porekrutować w wąpierze szkielety.
4432:  Przy nim trwają dzielnie Orgia von Dracarczuk, jak również Kurz von Gesagt.
4441:  Dobry wieczór, gazowane mleko.
4442:  Witamy, Beatrice.
4444:  Tak.
4454:  Tak właśnie.
4455:  Tak właśnie.
4458:  Dobrze już upgrade'uje ten Waldenhof, bo mi gra nie daje spokoju.
4464:  I ma to, jak się uczyć na dwa kolosy z Niemca, bo to, co czat wytwarza postacie niemiecko brzmiące, pisze Samuit, prawda?
4471:  Karel von Wadowiciego, legendarne kremowe mikstury.
4474:  Już za 30 minut.
4479:  Los cremos de la Wadowice.
4485:  O Boże, Boże, Boże.
4489:  Musimy przemieścić postać do prowincji Styrend, dostaniemy za to pięćset... pięćset... jak to było?
4494:  Spaczonych monet?
4496:  One są spaczone?
4497:  Zmatowiałe, przepraszam.
4500:  Czy ten krasnolud jest z nami w stanie wojny?
4503:  Nie.
4505:  Nie, ale to nic.
4509:  Czy mamy zasięg, którąkolwiek z postaci tutaj?
4511:  Nie bardzo.
4514:  Okej.
4516:  Nie ufam temu krasnoludowi.
4518:  Nie ufam temu krasnoludowi.
4519:  Jeszcze zostaniemy tutaj chwilę.
4523:  Przemieścimy się tak i tak.
4528:  Dobrze.
4532:  Pamiętajcie, że musimy mieć przewagę kobiet.
4537:  To nie takie proste!
4540:  Potem i... F.
4565:  Będziemy musieli... będziemy musieli... będziemy musieli wskrzesić Kurza von Gesagta.
4575:  Musimy bezwzględnie wskrzesić Kurza von Gesagta.
4584:  Jakie to szczęście, że wampiry się mnożą.
4586:  Mnożą się prawie tak, jak Skaveni.
4590:  Dobrze, dobrze Skaveni, dobrze, dobrze.
4593:  Ja nie mam nic przeciwko.
4595:  Absolutnie nic przeciwko.
4599:  Izabela von Karsztajn, niech tutaj się czai w zasadce, dostanie wtedy bardzo ważny dla nas trait, czyli cechę.
4610:  Okej.
4612:  I... Bestia natura.
4617:  O, Orgia ginie na starcie.
4619:  Dlaczego mnie to nie dziwi?
4620:  Absolutnie.
4621:  Jakie książki, gry polecacie, żeby wkleić się w świat Warhammera fantasy?
4624:  Z gier nie ma równych Warhammer Total War, niestety.
4629:  Więc jak ktoś ma problem z Total Warem, to... Widzę, że chcą z nami walczyć.
4640:  Dużo chce.
4640:  Na przykład Snorko Stary Dziwak chce z nami walczyć.
4644:  To dobrze, ponieważ mamy więcej szkieletów teraz.
4646:  To również dobrze, ponieważ mamy wreszcie, powiew śmierci, magiczne posiłki.
4650:  I chyba nareszcie... Chyba... W ogóle, wampir wiedza... Pilnujcie mnie, że jak ma wiedzę wampir jakiś, to musi bezwzględnie, ale to bezwzględnie być nieśmiertelny.
4661:  Pozostałe niekoniecznie.
4664:  Pozostałe są do tankowania wtedy.
4669:  Okej.
4671:  Tak, wampirami da się tankować wbrew wszystkim pozorom.
4674:  Kurz von Gesagt, podejdź, podejdź no z łaski swej.
4683:  Tak, tak, tak, tak, tak.
4689:  Magiczne posiłki, w sensie zaczarowane szaszłyki?
4692:  Tak, tak właśnie.
4695:  Uuu, to nie jest jakaś bitwa, którą bym chciał zaprezentować, ale, ale, ale istnieje szansa, że Snorko Stary Dziwak jeszcze będzie chciał z nami walczyć.
4706:  Dobrze, inwokacja Neheka, świetnie.
4709:  Coś tutaj mamy do zrobienia.
4710:  Tak, mury, absolutnie potrzebujemy większe mury mieć.
4714:  Izabela von Karsztajn może... Nie chciałem, żeby plądrowała nasz własny zamek.
4721:  Kurz von Gesagt, proszę bardzo, tutaj.
4725:  Czy mamy... Tak.
4732:  Yennefer.
4734:  Yennefer.
4737:  Musi być Yennefer.
4742:  Pasuje.
4744:  W stu procentach.
4746:  Utrzymanie nie.
4747:  Koszt werbunku... Utrata wigoru się nam bardzo przyda, myślę.
4753:  Okej.
4762:  W nawiązaniu do przyzacnego magistra niełuki i szkodnictwa wyższego Industrius van der Schwarz.
4770:  Van der Schwarz, wielkie nieba.
4773:  Elgion mi pisze, że w biuro Zarii Constrazion ma aksa 180 wishy.
4778:  Nawet mnie nie przerażajcie z tą straszliwą liczbą wishy.
4782:  Okej, widzę, że Snorko, stary dziwak, strasznie nie chce z nami walczyć.
4789:  Stary sposób na to jest następujący.
4792:  Tym bohaterem, który musi mieć najwięcej ruchu... O nie.
4801:  Dobrze.
4802:  I stara zasada.
4804:  Jeżeli będziemy w tym trybie, to powinien nas zaatakować.
4807:  Istnieje taka szansa.
4810:  Okej, tymczasem tak, bo pamiętajmy, że szkielety są darmowe, więc możemy ich mieć sporo.
4818:  Drakenhof na poziomie trzecim, świetnie, świetnie.
4822:  Wszystko jest w zgodzie z planem, wyjąwszy może atak na Schwarzhafen, z którego się spodziewam.
4828:  I to mnie troszeczkę martwi, więc potrzebujemy jeszcze zombiaki.
4836:  Saxton nie wiedział, że gram w tę grę.
4838:  Gram, jak najbardziej, wspaniała.
4839:  Pamiętam, jak grałem mnóstwo modów i trwała 2-3 minuty, ale było warto.
4842:  Każdy bohater był unikatowy jednostek, że pu-pu.
4850:  Kurz von Gesagt nie ma szczęścia.
4856:  Szukam fotelu do biurka, siedzący, typ pracy, pisze Artur Machowski, którego serdecznie witam na czatach.
4860:  Robi swoje.
4860:  Czy podam nazwę firmy fotela, z którego korzystam?
4863:  To jest Herman Miller, przez 2L.
4872:  Wladimir von Blutin.
4875:  Piękne!
4876:  Chaty są dzisiaj w formie, dobra.
4879:  Czas... Czas, myślę, pozbyć się skawenów.
4886:  W całości i w stu procentach.
4892:  O, wiedziałem, wiedziałem, wiedziałem, wiedziałem.
4896:  Okej, potrzebujemy...
4903:  Jestem zaniepokojony.
4904:  Potrzebujemy chyba... Izabela von Karsztajn nie ma zasięgu tam?
4913:  Nie może być.
4914:  Oczywiście, że mamy tam zasięg.
4916:  Izabela von Karsztajn musi udać się na ratunek.
4920:  Nie ma wyboru.
4923:  Niestety, ilość sera w tej kampanii, ale uprzedzałem, będzie znacząca.
4931:  Jest bardzo znacząca, ponieważ nie możemy sobie pozwolić na utrafę Schwarzhafen, a równocześnie na utratę wspaniałych, soczystych punktów umiejętności.
4948:  Jest jeszcze ostatni slot, który wykorzystał Tarael.
4959:  Kirsten von Pawlowicz.
4963:  Krzysztof nie umie pisać.
4966:  Absolutnie.
4967:  Kirsten von Pawlowicz była kiedyś
4972:  sędziną Trybunału w Altdorfie, z którego została wykopana z hukiem za niekompetencje, jak również za wpieprzanie kanapek w trakcie pracy sądu.
4982:  Kirsten von Palolvis następnie została wskrzeszona przez jednego z nekromantów, który ledwo to zrobił, straszliwie się przeraził i powiedział wtedy, lordzie mój, lordzie mój, cóżem sobie uczynił?
4997:  Tak było, nie zmyślam.
5001:  Relacja przytoczona przez samego biskupa Alojzego Urbanka w Waldorfie, rok 1313.
5007:  Przepraszam, 1369.
5016:  Nie może być.
5016:  Jesteśmy w Schwarzkhafen?
5019:  Nie może absolutnie być.
5021:  To musi być jakiś... To musi być jakiś absolutny przypadek, że tutaj jesteśmy.
5030:  Dobra, czy mamy jakieś zaklęcia tutaj?
5033:  Nie, to niedobrze.
5040:  To dobrze... Okej, zawziętość, tak.
5046:  Teraz powinniśmy mieć już większe szanse, myślę, w tej bitwie, bo spodziewam się, że krasnoludy zaatakują.
5052:  Bardzo bym się zdziwił, gdyby tego nie zrobiły w każdym razie.
5062:  O co chodzi z tym serem?
5063:  To jest strategie, które zmierzają do tego, żeby wykorzystać pewne puenty, które są w grze.
5070:  Mówi się, że to jest czizowanie.
5073:  Nieszczęśni Skaveni.
5076:  czaty, jak jesteście takie kreatywne.
5080:  Proszę bardzo, ogłaszam nieformalny konkurs, w ramach którego można wygrać satysfakcję intelektualną i trzy emoji ode mnie na czacie na wymyślenie odpowiednika słowa czizować.
5094:  Proszę bardzo.
5098:  Wszyscy nam wypowiadają o wojnę, to będzie bardzo ciekawa kampania.
5108:  Zastanawia mnie, dlaczego na modłę wiedźmińską, oczywiście, że chcemy migrację, wszyscy, którzy nas tutaj... Wszyscy, którzy napotykamy wrzeszczą dziko.
5119:  Uziemienie.
5120:  Tak!
5122:  Dobrze, dobrze.
5124:  Serwatkować, sernić, seroważ... Seroważyć jest dobre.
5128:  Serzyć, emmentalerować, skawenić, serwować.
5134:  Serzyć nienawiść.
5136:  Serdelić, serobić, serkać.
5138:  Gołdzić.
5142:  Okej.
5143:  Coraz lepiej.
5145:  Mazdamerować.
5148:  Serzyć.
5152:  Krzysztoficz, tak, tak.
5154:  Chcielibyście.
5158:  Po godzinie 25 minutach streamu
5165:  Walczymy.
5170:  Age of Empires 3, kontrowersyjna moja ulubiona część, pyta Marcin.
5173:  Okej, ale dwójka najulubieńsza.
5175:  Kremówkować.
5176:  Homogenizować.
5181:  Naserzyć.
5187:  Serniczyć też jest ładne.
5189:  No, serniczyć jest ładne.
5194:  pleśnić.
5195:  Witamy Tomek.
5195:  Tomeks, przyszedłeś na czat w dziwnym momencie.
5200:  Szczurzyć.
5201:  Czaty wymyślają teraz jak najdziwniejszy sposób nazwać czizowanie.
5208:  Jeżeli myśleliście, że znacie Corner Camping, to niczego nie znaliście.
5215:  Okej.
5216:  Latające wąpierze do grupy na razie.
5219:  Nielatające wąpierze do walki.
5222:  Okej.
5225:  Seromancić.
5232:  Ratować, o ładne.
5234:  Oserzać.
5236:  Ratować jest ciekawe.
5241:  Niech jakaś dobra dusza spisze to na Discordzie.
5247:  Zrobimy sobie głosowanko wtedy.
5248:  Tyromancić, tyromancja ładna.
5252:  sermagować.
5253:  Haha, Tatiano, haha, I see what you did here.
5258:  To jest przepiękna rzecz ta nieśmiertelna woda, możemy sobie rekonstruować nasze... O tak, tak, tak, tak, tak.
5264:  Utracone punkty, świetnie!
5267:  Och, czyżby Vlad von Karstein był chodzącym generatorem mocy magicznej?
5273:  Absolutnie tak.
5276:  Czyżby dzięki temu możliwe było rzucenie zaklęcia na naszych prymitywnych przeciwników?
5281:  Nie może być.
5295:  Pryndzlować?
5298:  Oj, oj, oj, oj, oj!
5301:  Prymitywne gobliny!
5303:  Ginąć, ginąć!
5306:  Świetnie.
5314:  Serdelić mi się też podoba, no.
5318:  Jak to adont serdelić, serniczyć, bo to też ma ten atut, że jest dwusylabowe.
5326:  Szybko!
5326:  Od razu!
5326:  Szybko!
5326:  Od razu!
5327:  Szybko!
5327:  Jesteśmy nowym ordem!
5329:  Jesteśmy niemożliwi!
5330:  Jesteśmy niemożliwi!
5350:  Nie ma jak wahadło półcienia!
5352:  Przepiękny czar, wspaniały czar!
5354:  Good spell!
5356:  Good!
5357:  Good!
5363:  Serdeczyć!
5366:  Niech będzie podpalony, niech ser będzie z tobą!
5368:  Na wieki wieków spaczeń ufiel!
5369:  Dobra.
5379:  Niestety jeszcze nie słyszeliście Izabelli von Karsztajn, ale... ale to się w którymś momencie zmieni.
5386:  Na razie tylko słyszymy SWIFTLY!
5390:  Dobra, jak tam Vlad?
5391:  5 sekund do... dobrze.
5398:  Okej, okej, okej, okej, Vlad generujesz, świetnie.
5410:  Sylvainia rules the night.
5413:  Jakie piękne słowa.
5416:  Wykorzystywać przemyślną strategię i głupiotę oponenta.
5419:  Proszę bardzo.
5421:  Sprycić.
5428:  Dobra, moi mili, my tutaj gadu-gadu, a tutaj trzeba wygrać bitwę.
5433:  Pokażę wam jeszcze jeden wspaniały czar tej domeny.
5435:  Ci z was, którzy nie widzieli, ci z was, którzy widzieli, wiedzą, czym to się je.
5442:  O tak!
5442:  O tak!
5443:  Wszyscy giną!
5444:  Wspaniale.
5450:  Nasz jeden wampir może się już wskrzesić.
5453:  Teraz tak, na jednostki tego rodzaju bardzo dobre są czary typu tajemny dek Melkota albo pijawka dusz.
5463:  Pijawka dusz nawet bardziej.
5469:  Hmm... Okej.
5471:  Teraz tak.
5471:  Faza numer dwa bitwy.
5476:  Bo to była faza pierwsza.
5478:  To była faza pierwsza, moi drodzy.
5481:  Nadia Levi skończyła Arkane.
5482:  Zgrzewała drugi raz, wciąż nie wie, co ze sobą zrobić.
5486:  No, ja podobnie.
5487:  Bardzo mi ciężko jest znaleźć serial, który mnie ucieszy.
5490:  Teraz obejrzałem coś, co się nazywa na Warrior Nun.
5493:  Wiem, co po mnie pomyślicie.
5494:  Krzysztof kompletnie zwariował.
5496:  Gdzie Krzysztof i Watykan?
5498:  I coś, co się nazywa Warrior Nun.
5501:  To jest dobre.
5503:  Ten serial naprawdę nie jest zły.
5505:  To jest dobry serial fantasy.
5506:  Jestem tak zdumiony, kompletnie się tego nie spodziewałem.
5510:  On wyszedł jakoś w lipcu tego roku i dobre efekty specjalne, dobra fabuła, magia i technologia, czyli coś, co ja lubię.
5519:  Nie jest to złe.
5521:  Byłem zaskoczony.
5525:  Po pierwszym odcinku Arkane się zdecydowanie rozkręca Fear the Quiet, zdecydowanie.
5535:  Mam nadzieję, że przeciwnik do nas idzie.
5537:  Idzie, dobrze, bardzo dobrze.
5539:  W tak zwanym międzyczasie będziemy generować wiatry magii.
5541:  Okej, jeżeli chcą zwalczyć z nami snotlingami napędzane obiekty taranujące, tak właśnie, to dobrze, to dobrze, nie ma problemu.
5555:  Nie zależy mi kompletnie na tych jednostkach.
5558:  Okej, myślę, że jeszcze bardziej... Możemy jeszcze lepiej zrobić to, co myślę.
5566:  O tak.
5567:  Możemy jeszcze lepiej to zrobić.
5570:  To jest, moi mili, corner camping.
5572:  Ja uśmiechałem się ironicznie, jak mówiliście, Krzysztof, ale dlaczego ty, czy ty, dlaczego ty kampujesz w rogu mapy?
5580:  Ale Krzysztof, nie, nie, nie.
5582:  Nie widzieliście jeszcze kampowania w rogu mapy.
5584:  Witamy pustennika nikczemności w gronie trybutariuszy, który wyszedł ze swojej pustelni specjalnie po to, żeby nawiedzić czaty.
5595:  Trybutariusze, zajamniczajcie.
5598:  O tak, Pol Poliko, był oglądany Młody Papież, to jest jedna z lepszych ról Judah Law, znakomita sprawa absolutnie.
5606:  Nie żałuję, że obejrzałem, mimo że totalnie nie moje klimaty, teoretycznie.
5610:  Pandewu poleca z kolei na anime Nanatsu no Taizai, powiedział Krzysztof, kalecząc japońskiego, japoński.
5617:  Pierwszy sezon jest mocno fanservice'owy, ale historie postaci ciekawe i satysfakcjonujące.
5621:  Proszę, kolejna polecajka, jeżeli chodzi o Netflixa.
5627:  No i Cowboy Beepop jest teraz w całości anime, jeżeli ktoś jest zainteresowany.
5631:  Ja nie specjalnie, ale wiem, że to jest bardzo popularna rzecz.
5634:  Okej, przenieśmy się naszymi wampirzami tutaj.
5641:  Snotlingami napędzany obiekt taranujący taranuje nasze wampiry.
5648:  Dajmy mu potaranować jeszcze.
5651:  Nawet nie pokaleczyłem japońskiego?
5653:  No nie mówcie.
5655:  Kiedyś trzeba było zacząć.
5656:  Jestem dumny, że jestem w waszej społeczności, pisze pustelnik nikczemności.
5659:  To ja jestem dumny.
5662:  Rośniemy w siłę.
5663:  Za moment będziemy mogli... OPANOWYWAĆ ŚWIAT!
5672:  O tak.
5672:  Przeciwnicy się zbliżają.
5674:  To oznacza, że możemy pozbyć się tych, które są najgorsze absolutnie.
5679:  Mianowicie, absolutnie najgorszy jest... I nawet zrobimy w ten sposób.
5686:  Wielkie dziękuję i do zobaczenia w kolejnych odcinkach!
5687:  Wielkie dziękuję i do zobaczenia w kolejnych odcinkach!
5712:  Szybko!
5713:  Szybko!
5714:  Szybko!
5714:  Od razu!
5714:  Szybko!
5714:  Przeszkodź ich uspokój!
5715:  Światła magii!
5715:  I wroga!
5715:  Czerwone lata!
5718:  Szybko!
5719:  Neferatus, schowaj się!
5719:  Od razu!
5741:  Ciężko jest czasem, jak animacje jednostek na to nie pozwalają, wznieść się do lotu.
5746:  To jest rzecz, która bardzo irytuje w tej grze.
5762:  Bardzo niedobra rzecz, nie mamy magii.
5765:  Bardzo niedobra rzecz.
5775:  Najlepsze książki 2021 według ciebie?
5777:  Oj, nie śledzę tak, Patryku, żeby ci powiedzieć.
5785:  Dzień dobry przy okazji.
5787:  Vinland Saga jest polecane.
5789:  Vinland Saga, jeśli lubi ktoś klimaty średniowieczne, skandynawskie z kolei.
5796:  Okej.
5796:  Kluczowa sprawa jest taka, żeby wampiry miały jak najwięcej możliwości ataku.
5816:  Ojojojoj, potrzebujemy bardzo dużo wiatrów magii do tego.
5819:  Zapomniałem, jaką mamy regenerację.
5820:  Uuu, jest straszna.
5827:  Niedobrze, niedobrze.
5843:  Nasz wampir musi się natychmiast ewakuować stąd, bo obrywa.
5848:  To niedobrze.
5851:  Oto!
5852:  Oho!
5853:  Dobry moment!
5860:  Spróbujemy przekierować naszego wampira tutaj.
5864:  Gdzie on jest?
5865:  Ach, tutaj jest.
5866:  Dobrze.
5877:  Niepokoi mnie możliwość utraty tego wampira.
5880:  Bardzo mnie niepokoi.
