Total War: Warhammer II — CYLOSTRA DIRELFIN livestream
🔗 https://www.youtube.com/watch?v=R6IbYz1NgRM

3:  Witajcie na streamie.
2164:  O, o, o, o, o, o. Dobrze.
2168:  Ona też cudownie walczy w zwarciu.
2175:  Okej.
2176:  Dobrze.
2185:  Tak, tak, tak.
2186:  Tak ma to wyglądać.
2190:  No i zobaczcie, w momencie, w którym już jest ta ochrona na prawie 80% to jest nieźle, natomiast Morghule to jest właśnie przykład tego, jak na poziomie legendarnym to wygląda.
2202:  Walczą z jednostkami pierwszopoziomowymi Imperium i przegrywają sromotnie, mimo że, żeby zrekrutować normalnie Morghule, trzeba mieć niesamowicie wysoko rozwiniętą ekonomię.
2219:  Syreny trzymaliśmy do tej pory w odwodzie.
2222:  And for good reason.
2232:  No.
2234:  Nie jest prosto już.
2238:  Dobrze, dobrze.
2239:  Myślę, że wyślemy tutaj jednak te syreny, bo to, co się dzieje, bardzo mnie niepokoi.
2244:  Nasze mongule chyba nie przetrwają tej bitwy.
2249:  Oho.
2252:  Może być ciężko.
2255:  Ale już widzę, że... Już widzę, że została nałożona kara dyscypliny i... I uciekają.
2261:  Dobrze.
2263:  Uuuuh.
2269:  Teraz pytanie.
2271:  Czy złupimy osadę, czy ją zajmiemy?
2274:  To jest pytanie taktyczne.
2277:  Bo, paradoksalnie...
2280:  A płaca się łupić, gdyż to oznacza więcej punktów doświadczenia.
2285:  W Warhammerze Total War prawda jest taka, że największymi MVP są jednostki bohaterskie lordów oraz bohaterowie, czyli ich przyboczni.
2296:  Dopiero w drugiej kolejności właściwe jednostki.
2302:  225 ofiar, gdy znasz wzdęty trup ze sobą.
2305:  Tutaj też widać, jakie znaczenie duże ma zasięg.
2309:  Te jednostki docelowo są do wymiany, bo w ogóle nie mają liczby zabitych takiej, jakie by dla nas była radosna.
2315:  No.
2317:  Myślę, że złupimy.
2321:  Myślę, że złupimy i to jest właśnie radość grania tą frakcją, mianowicie im więcej zabijemy wojsk ludzkich, tym więcej mamy trupów do wskrzeszenia.
2334:  Myślę, że potrzebujemy zacząć iść linią magiczną powolutku, ale wpierw interesuje nas nagły atak, to znaczy możliwość zaatakowania jednej armii z pięciu na przykład, bo niestety wrogowie tutaj mają taką cudowną właściwość, mianowicie rzucają na przeciwników swych tak z pięć armii na przykład naraz.
2358:  Dobrze, tu jest nasz bohater, który jest wprawdzie kiepski, ale trudno co poradzimy.
2363:  Coś możemy zrobić?
2364:  Nie, chyba wszystko.
2378:  Oczywiście, że mój prestiż rośnie.
2385:  Cóż za w ogóle... Założenie przeciwne byłoby oburzające.
2390:  Co możemy tutaj zrobić?
2392:  To jest latająca piramida.
2393:  W latającej piramidzie potrzebujemy jak najszybciej garnizon i jak najszybciej rozwinąć ją do poziomu trzeciego, ponieważ garnizon dodaje mury na poziomie drugim dopiero.
2403:  Tu mamy coś nowego.
2407:  No powiedzmy, że jeszcze tak sobie dobierzemy.
2416:  Czy mi się wydawało, czy ta wkurzona diwa operowa właśnie dowaliła fragmentem z czarodziejskiego fletu?
2421:  Ona będzie to walać wieloma fragmentami.
2425:  Dobra.
2427:  Dlaczego walczę jeszcze raz?
2429:  Z bardzo prostego powodu, mianowicie nie chcę, żeby ta jednostka została uszczuplona całkowicie, a prawdopodobnie mogłaby być nawet wyeliminowana w autorostrzygnięciu.
2440:  W tych frakcji jest też jakoś pizdu, że tak powiem, w tej części.
2443:  Jest, jest.
2443:  W Mortal Empires jest bardzo dużo frakcji.
2447:  Plus jeszcze dochodzą frakcje buntownicze i frakcje Horde.
2453:  Madame Sylostra będzie nam śpiewać przez cały czas.
2457:  Tak, tak.
2462:  Ale ładnie, ładnie rozpoznany fragment.
2464:  Rzeczywiście to jest z szarzyńskiego fletu, nie rozpoznałem na początku.
2469:  Dobra, wzdętego trupa chowamy w ogóle, będzie nam niepotrzebny.
2473:  Generalnie wzdęte trupy trzeba chować najlepiej, tylko nie w szafie, bo źle pachną.
2482:  Oni prawdopodobnie się... a nie, ruszą na nas, bo czasem jest tak, że przeciwnik nie rusza nawet.
2487:  No ale tu będzie prosto.
2489:  Tu sobie praktycznie przywołamy sobie naszą ka... Hej!
2492:  Przywołamy sobie... Zostaję fanką numer jeden tej postaci.
2498:  No ona ma w sobie pewien urok, całkiem spory nawet.
2502:  Myślę, że nie jest najciekawsza z wszystkich postaci, które są dostępne w tej frakcji.
2507:  Jest na przykład także Luthor Harkon.
2509:  Witam, witam.
2510:  Jest Luthor Harkon.
2511:  Luthor Harkon ma cudowny quest, znaczy najlepszy quest, jaki sobie można wyobrazić.
2515:  Mianowicie Luthor Harkon musi odzyskać swój mózg i umysł, który został zamknięty w jakiejś krypcie.
2521:  Szalony pomysł, prawie tak jak w Orlandzie Szalonym, gdzie literalnie, z tego co pamiętam, fabuła polegała na tym, że Orlando Furioso musiał się udać do piekła, żeby zdobyć mózg, który był zamknięty w słoiku.
2532:  Najbardziej dzika rzecz jaką kiedykolwiek czytałem.
2536:  Nie fantasy.
2538:  I Lufor Harkon w którymś momencie, jak już odzyskuje sprawność umysłową, to jest jedną z najbardziej potężnych postaci w tym roosterze.
2544:  Jest też kapitan Noctilus, który jest dokładnie taki jak David Jones z Piratów z Karaibów.
2552:  Włącznie z tym, że zresztą podbijemy, myślę, jego Galleon's Graveyard.
2556:  Kiedy gramy w gęsinach?
2557:  Zagramy, zagramy.
2559:  Dziś jest Warhammer.
2561:  Ja muszę sobie zrobić trójpolówkę
2563:  Czy my chcemy podbić Bagienne Miasto?
2569:  Chcemy.
2572:  Co to jest?
2573:  Dostaliśmy quest Zagadka Kartografa.
2575:  O nie.
2576:  To jest coś, co się kompletnie nie opłaca, mimo że brzmi fajnie.
2579:  To znaczy zrekrutowanie postaci, która będzie buszować po całej mapie i odkopywać skarby kosztuje więcej niż otrzymujemy nagrody za ten skarb.
2592:  A gęsina, swoją drogą, to... Polecam tym, którzy nie grają.
2597:  Bardzo taka spokojna gra i sympatyczna.
2600:  Jakoś mnie kupiła w stu procentach.
2604:  Znalazłem miejsce, które chciałem Panu pokazać ostatnio.
2606:  Zapisać miejsce, zapisać i pokazać w stosownej porze.
2610:  Co się dzieje?
2611:  A, możemy nasz okręt dalej.
2615:  Co oznacza, że możemy zrekrutować kapitana Floty Wampirów, czyli naszego pierwszego maga, a to oznacza, to oznacza przepiękne zaklęcia.
2624:  Wspaniale, im więcej zaklęć, tym lepiej.
2629:  Kosztowało to wkład pamięciowy aż dwóch osób i zapisane.
2632:  Dobrze, bardzo dobrze.
2636:  Public order jest na poziomie żenującym, ale nie będziemy rezygnować z tego dochodu, bo inaczej nam zmaleje nasz główny dochód.
2646:  Czy coś potrzebujemy stąd?
2647:  Nie, nic.
2649:  Port łupieżców brzmi jak coś, co powinniśmy mieć.
2653:  Myślę, że też sobie te szczyty maku musimy podbić i do tego...
2658:  Wekspediujemy.
2663:  Domena wampirów oczywiście.
2666:  Zyskaj lojalność przez budowanie zatok pirackich.
2670:  Stratek zmniejsza tempo utraty lojalności.
2672:  Przychody z... Dobrze.
2674:  Myślę, że... Myślę, że ten... A!
2677:  Słowo wyjaśnienia.
2679:  Mechanika lojalności polega na tym, że jeżeli spadnie ona, to dana frakcja, znaczy dany bohater się buntuje i rekrutuje armię, która zaczyna z nami walczyć.
2687:  To zresztą chyba było w którymś z Total Warów, nie pamiętam.
2691:  Ale zobaczcie, to jest to, co mówiłem na początku.
2694:  Zrekrutowanie nawet osobno po prostu Lorda już nas kosztuje więcej, niż by faktycznie powinno było kosztować, to znaczy utrzymanie jest 313, ale przez to, że są właśnie ten wzrost kosztu utrzymania armii 15%, który wzrasta wykładniczo, to sprawia, że nie możemy wyrekrutować ich nieskończoność dużo.
2713:  czy da się wyłączyć zamienianie XD na jakąś emotkę denerwującą?
2716:  Nie wiem, to pretensja do YouTubów.
2724:  Ale chyba, chyba nie, ewentualnie można pisać ze spacju, jak, jak boomerzy.
2734:  Może ten, może mała litera też pomoże.
2742:  First word problems edits finest, generalnie mamy, ale to jest, posprawdzajcie, może, może Anusz.
2753:  O nie, na Discordzie się da.
2754:  Okej, rozumiem.
2757:  Mała litera nie pomaga.
2759:  Smuteczek.
2764:  Siloasta jest cudownie, cudownie, ale to absolutnie cudownie zwariowana.
2769:  O, w cudzysłowie, albo z podwojonym D. Proszę, ile mamy rozwiązań?
2775:  To, co zrobię teraz jest ryzykowne i głupie.
2779:  A, jest głupsze niż myślałem.
2782:  No dobra, nieważne, bo myślałem, że sięgniemy tej...
2789:  Dobra, ale zawsze można posłuchać jak Sylostra śpiewa.
2794:  Cztery tury i zaczynamy robić to, co najlepsze, to znaczy cheesować system i mechaniki.
2802:  I będziemy mieć pełną kwaterę i kajutę kapitańsko-lordów, którzy będą nam dawali różne radosne boosty.
2810:  O, o, o, już możemy... Nie, jednego nie możemy.
2812:  Właśnie, bo jest na poziomie pierwszym, dopiero od poziomu piątego można.
2819:  Ej!
2821:  Czemu nie mogę w tej turze?
2823:  Co za przykrość.
2825:  Uuuu... Czy moje oczy dobrze widzą?
2830:  Ależ moje oczy dobrze widzą.
2832:  Można mi się pozbyć dwóch tych jednostek i... zrekrutować jedną lepszą.
2839:  Myślę, że się pozbędziemy wszystkich tych jak na razie.
2842:  żeby mieć większy dochód przynajmniej w tej turze.
2846:  Nasz bohater, który porusza się w tempie jednego centymetra na godzinę, zdobędzie sobie szczyty maku.
2854:  Jak zabezpieczymy ten... to terytorium, to modlimy się o dwie rzeczy.
2858:  To znaczy, żeby Lord Mazdamandi nie był tak potężny, jak jest w tej chwili, bo inaczej mamy absolutnie przerąbane.
2867:  Tak, o to się głównie modlimy, bo ze skegi sobie poradzimy.
2877:  Hmm.
2878:  To jest dobra informacja, bo oznacza, że druga frakcja, która po lordzie Mazdamandii i jaszczuru ludziach może nam najbardziej zaszkodzić, to jest ekspedycja głównego łowczego, czyli Markusa Wolfharta, który ma tę irytującą właściwość, że nie wiem, czy to się uda zrobić.
2897:  Nie, nie da się.
2899:  Markus Wolfhart mianowicie, jak każdy ma zrozumieć się do niego, kliknie, jak się nim gra, mówi, Markus!
2905:  Wolfhart.
2905:  Z długą pauzą, nikt nie wie dlaczego, ale to się zrobiło memem w świecie warhammerowskim.
2913:  No właśnie, teraz się pomyliłem i nasz wzdęty trup zginął, ale trudno.
2920:  Okupujemy.
2922:  I frakcja jest zniszczona, bardzo dobra informacja.
2925:  Im mniej frakcji, tym lepiej.
2926:  Żywot pirata i nagły atak to będzie koniec tej linii.
2930:  Potem idziemy w linię magiczną, czyli tę i tę, a na samym końcu idziemy w inspirującą obecność, ponieważ to są wszystkie boosty dla jednostek, a na razie nie wiemy jeszcze jakie będziemy mieli finalnie jednostki.
2941:  Znaczy wiemy, prawdopodobnie będą to albo syreny i zrobimy sobie Doomstack połączony z syrenami oraz bohaterami, albo zrobimy sobie najlepszą jednostkę, jaka istnieje, ale to na razie wam nie spojluję.
2957:  Szczebiotrzący owoc, na pewno się nazywa normalnie w oryginale.
2963:  Na Steamie się strasznie trudno zmienia wersje językowe i mi się nie chciało tego zrobić.
2967:  Czy nas stać w ogóle na założenie tutaj?
2970:  Jesteśmy biedni jak mysz kościelna, nie stać nas, przeszukaj ruiny.
2978:  Zagadki matematyczne, och jak ja to uwielbiam.
2983:  Dobrze, czyli ten trójkąt jest pewnie z tyłu.
2988:  Zawsze to robię źle.
2992:  To sąsiaduje z tym.
2999:  Nie wiem, co nieprawda.
3000:  Dzień dobry wszystkim, dzień dobry jak najmniej.
3001:  Jeżeli ktoś ma pomysł, jak rozwiązać tę zagadkę, to będę wdzięczny, ja się zawsze mylę.
3005:  W związku z powyższym pewnie zgadnę źle.
3009:  Jeszcze się nie poddałem, ale już prawie.
3012:  Na pewno nie to.
3014:  Moim zdaniem kółko.
3016:  Jeśli tylko tekst, to nie ma problemu.
3017:  Dobra.
3022:  To jest powód, dla którego nigdy nie rozwiązałem testu na inteligencję.
3024:  One nie są robione dla takich ludzi jak ja.
3031:  O nie!
3033:  Jakim cudem on się tutaj znalazł?
3035:  A propos Marcusa, to polecam filmik Marcus Wolfhardt's You're Going to Brazil.
3039:  Widziałem!
3039:  Jest świetny, absolutnie.
3048:  Dzień dobry.
3050:  Nie wiem, czy dobry.
3051:  Właśnie nas zaatakowano.
3055:  Szlak.
3056:  Jakim cudem?
3057:  Ach, bo to była rebelia.
3064:  Dobra.
3066:  Znaczy, ja nie zwariowałem tego się... Znaczy to, jeżeli się... Nie, znaczy przez to, że mają konnicę może być duży problem, ale nie poddajemy się.
3076:  Nie wiem tylko dlaczego nasza, nasz garnizon jest tak bardzo uszczuplony, to jest, to jest coś co mnie dziwi, bo myśmy mieli od dawnego, od długiego czasu to.
3083:  Dobra, teraz naszym MVP jest wzdęty trup.
3087:  Wbrew pozorom, on musi wygrać.
3091:  Jeżeli w ogóle się da wygrać tę bitwę.
3092:  Schowamy się w lesie, dlatego że oni mają większość łuczników, a nasi strzelcy nic i tak nie dadzą.
3102:  Desantowcy są... dobrze.
3103:  I tutaj będzie wzdęty trup.
3105:  On tutaj jest... o, damy sobie nawet... dobra.
3108:  Zobaczymy, co się da zrobić.
3119:  Czemu... czemu ja muszę być taki ambitny?
3122:  Dobrze.
3124:  Strasznie nie lubię tego rodzaju ataków.
3128:  Boże, i to jest rebelia swoją drogą i rebelia ma takie siły.
3132:  Come on.
3134:  Widzę, że bardzo usilnie chcą tego naszego desantowca pokładowego zniszczyć, ale nie poddamy się.
3142:  Tak łatwo.
3145:  No największym im problemem są rajtarzy, którzy mają nie dość, że strzałów duchu, to jeszcze to jest jazda.
3150:  Na jazdę nie mamy żadnej opcji.
3155:  Teraz tak, teraz timing jest najważniejszy.
3159:  I to, żeby nasz wzdęty trup nie został odkryty.
3161:  Na razie jest ukryty.
3166:  O nie, o nie, o nie, o nie, o nie, o nie, o nie, o nie, o nie.
3169:  Jakim cudem oni nas widzą?
3171:  Dobrze.
3193:  Jeżeli nasz wzdęty trup nie wybuchnie w odpowiednim miejscu, nie sądziłem, że wypowiem kiedykolwiek takie zdanie, to ciężko będzie.
3205:  Ale już widzę, że... Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
3211:  Dobra.
3213:  Niestety.
3215:  Powinien był wybuchnąć dalej.
3219:  Będziemy musieli odbić to miasto, nie ma opcji.
3222:  W ogóle, jeżeli chodzi o memy Warhammerowskie, to znakomite robi... Boże, jak on się nazywa na O?
3228:  O Oikul, czy coś takiego, Oukil YouTuber.
3232:  Ookil?
3233:  Bardzo dziwna nazwa.
3236:  No tak, będziemy musieli odbić to, nie ma opcji.
3240:  Tak, to była rebelia, to była rebelia, no ja... Dobrze.
3245:  Jak znam życie...
3249:  Nie będę się nawet... Dobra, dostajemy na szczęście pełny replenishment, więc to jest powiedzmy tylko strata.
3258:  Ale ta strata pozwoli nam na kolonizację, bo dostaliśmy całkiem sporo.
3264:  Dobrze.
3267:  I założę się, że teraz rebelia będzie z tej strony i będziemy w ten sposób przez całe następne tury latać z jednej na drugą.
3277:  Dobrze.
3279:  Nasz paladyn za to robi się coraz bardziej... ...skuteczny.
3287:  Snake, Snake!
3288:  Tak!
3289:  Było bardzo blisko!
3291:  Było bardzo blisko!
3292:  Gdyby... Prawda jest taka, że gdybyśmy dostali większy garnizon, to nie byłoby większego problemu.
3298:  Co my chcemy?
3300:  My chcemy to.
3302:  Czy możemy kogoś wskrzesić?
3304:  Tak, możemy moją ulubioną jednostkę wskrzesić.
3306:  Świetnie.
3307:  Boże, ale mamy zero pieniędzy.
3310:  A, i tam jest rebelia teraz?
3311:  Świetnie.
3314:  A, bo to jest stolica.
3326:  W ten sposób nasze dwa i pół koła poszło...
3331:  Poszło się jebać.
3334:  Tak.
3339:  Aaa!
3340:  O, ciekawe, nie zajęli.
3343:  Dobrze, musimy, musimy zrobić false match, mimo że false match nigdy nie jest dobrym pomysłem, bo trzeba rozprawić się z rebelią, ale dostaliśmy już ten, to co chciałem mieć wcześniej, czyli poziom werbowanych lordów, tempo uzupełnienia strat, siła pocisków, siła pocisków.
3363:  Nie, nie inwestujemy w to na razie, jak Skaveni to zajmą, a to są, to są radośni Skaveni.
3369:  Skavenów też byśmy kiedyś mogli zagrać swoją drogą, bo to byłoby, oj, tak, tak.
3373:  Skaveni to jest jedyna rasa w tym uniwersum, która ma bomby atomowe, więc proszę niech... Tak, to będzie speedrun.
3399:  No niestety stało się to, co może być absolutnie najgorsze w kampanii Sailostry, co wcale mnie nie dziwi, a mianowicie wypowiedziała nam wojny najsilniejsza frakcja w regionie.
3409:  A to oznacza, że będzie zabawnie.
3414:  Że Skaveni nie chcą z nami walczyć, co jest dobrą informacją, ale złą informacją jest to, że nasza postać nie ma w ogóle żadnego zasięgu.
3422:  Czemu ona tu nie może przejść?
3426:  To są strefy wpływów w ogóle, bo ze strefy wpływów nie można wyjść za bardzo, ale teraz już powinniśmy być w strefie wpływów miasta, czyli w razie czego będziemy... Dobra, dobra, dobra, dobra, dobra, po kolei.
3435:  Musimy zabezpieczyć tę prowincję, bo ona w tym momencie jest naszą jedyną nadzieją.
3442:  Obi-Wan Kenobi, you're my only hope.
3446:  Nie, potrzebujemy tej skrzyni, bo ona nam daje przychody.
3452:  A później pójdzie ta.
3457:  Czy nasz jakikolwiek... O, możemy... Dobrze, to jest dobra informacja i to jest dobra inwestycja.
3462:  Zaraz zobaczycie dlaczego.
3465:  Może być i morderca.
3466:  Wszystko jedno.
3469:  Baradecie z tego powodu.
3472:  cokolwiek, cokolwiek.
3475:  Teraz się nie zdziwcie, teraz rozwiązuję tę jednostkę, ale może ona pójść tutaj.
3483:  Dochody ze wszystkich budynków, to jest coś, co się nam przyda, ale zastanawiam się, czy nie bardziej się nam przydałby zasięg ruchu na mapie kampanii.
3491:  Dobra, w tej, w tej, nie, na razie złoto, a potem zasięg ruchu w następnej turze.
3501:  Złośliwe wykorzystywanie mechanik growych w stylu Krzysztofa, część pierwsza.
3512:  Na szczęście... Nie, nie chcę paktu o neagresji, nic to nam nie da.
3522:  Atak w zwarciu, linia artylerii, oczywiście, że linia artylerii.
3527:  Teraz dostajemy 20% zasięgu dla piechoty i skrócenie czasu przeładowania, to jest świetna informacja.
3534:  Skaveni się zrobili w międzyczasie silni trochę, ale mamy nasz... Dobrze, weźmiemy sobie jednego wzdętego trupa na wszelki wypadek.
3545:  Też nie sądziłem, że powiem w życiu takie zdanie.
3549:  I...
3552:  I bierzemy następnego.
3558:  Pa pa.
3561:  I bardzo się nam przydasz tutaj.
3563:  Panie, robię dinsie, który mnie nie interesuje z żadnego innego powodu poza boostem, który będziesz zapewniał.
3576:  Będą się stracili na śmierć!
3606:  Skarbiec.
3609:  Jest źle z pieniędzmi.
3614:  Na wszelki wypadek zasadzka, bo boję się tego heksoatla całego naszego.
3624:  Utrzymanie dla jednostek.
3629:  Dobrze.
3632:  Tutaj nas interesuje generalnie, że biorąc ta cudowna zdolność, która gdzieś się powinna pojawić, nie pamiętam gdzie ona jest.
3643:  Beczka z prochem.
3645:  Wzdętego trupa najlepiej trzymać schowanego tylko nie w szafie, bo brzydko pachnie.
3648:  Tak, tak, mogłem to powiedzieć.
3656:  Dobrze, port łupieżców i tak zostanie złupiony, nomen omen, więc nas kompletnie nie interesuje, wyłączmy sobie te notyfikacje, bo będzie tylko nas wkurwiać niepotrzebnie.
3667:  Wysoki strażnik, co tutaj możemy zbudować?
3671:  Nie, to nie, dobra, idziemy dalej.
3674:  Strasznie nie lubię też takiego guzdrania się z turami, więc ja się przepalam przez tury dość szybko.
3683:  Chyba, że są jakieś piękne... Dziękuję, dziękuję!
3688:  Chyba, że tury sprzyjają na przykład wielu bitwom.
3692:  Bitwy, tak.
3693:  Bitwy są interesujące.
3695:  Bordelańskie Flabellum.
3700:  Czy Sajlostra właśnie wrzasnęła?
3702:  Pani kapitan Sajlostra Dzikopłetwa na tym przyklennym okręcie nieustannie przymierza wraz ze swoją załogą potępionych morza w poszukiwaniu widowni, która posłucha jej pięknego, śmiercionośnego śpiewu.
3712:  Jej przeklęte struny głosowe, które pozwalają paraliżować ofiary, zyskują na sile podczas oceanicznych sztormów, a każdy okręt, który napotka w trakcie swojej żelugi może stać się jej celem.
3722:  Jego załoga zostanie sparaliżowana śpiewem, a następnie zaciągnięta pod wodę przez nieumarłych majtków.
3728:  Takie opisy questów lubię.
3732:  Mmm... utrzymanie dla... nie.
3739:  Co tu jest interesującego?
3741:  Ład publiczny, wpływy sportów, wpływy sportów brzmi dobrze.
3745:  Mamy mało pieniędzy, wpływy sportów.
3751:  Tak, zdecydowanie, gdybyśmy mieli więcej pieniędzy w tym momencie, to nasze problemy by się natychmiast skończyły, powiedział każdy zawsze.
3765:  No dobra, potrzebujemy i tak full stack, więc... I... Rozwój zatoki, utrzymanie, siła pocisków.
3791:  Siła pocisków.
3797:  Normalnie byłoby tak, że musielibyśmy każdego z tych bohaterów rekrutować, przemierzać z nim lądy i morza, walczyć z przeciwnikami i dopiero wtedy na szczęście awansować na ten ostatni poziom, a tutaj, proszę uprzejmie,
3814:  Jedno kliknięcie i jest już w naszej kajucie kapitańskiej.
3819:  Okej, tutaj będzie rebelia.
3821:  I to jest teraz dobra informacja, bo to oznacza doświadczenie dla naszej diwy.
3827:  Przychody.
3829:  Stać nas?
3830:  Stać nas, świetnie.
3834:  Nie martwcie się, już zaraz będziemy mieli wszystkich obsadzonych i nie będę tego robił.
3839:  Teraz potrzebujemy koszty budowy, świetnie.
3844:  Ten mnie trochę niepokoi, bo on lubi wypowiadać wojnę.
3847:  To jest właśnie jedna z frakcji Hordy, która... no właśnie, ma agresywność i nierzetelność, a także bycie słabełżem wpisane w CV.
3861:  Prawdopodobnie moglibyśmy wynegocjować z nim pakt o nieagresji i to w sumie warto zrobić.
3869:  Tak.
3870:  To nam zabezpieczy tyły.
3874:  A jak się jest wielką, nieumarłą diwą, chce się mieć zabezpieczone tyły.
3889:  Dobrze, nie damy mu zwyciężyć łatwo, to znaczy tym razem nie ma zbyt wielu, znaczy w ogóle nie ma praktycznie łuczników, a to oznacza, że nasz wzdęty trup ma potencjał.
3902:  To jest, to jest straszne, jeżeli jedna jedyna jednostka, która się pojawia w początkowym garnizonie, to jest wzdęty trup, no.
3911:  Dobrze.
3912:  Więc idea jest taka, że chcemy zadać jak największe straty.
3919:  Przy maksymalnych stratach własnych.
3923:  Przynajmniej tyły są zabezpieczone, tak.
3932:  Dobrze.
3932:  Strzelaj we włóczniku.
3933:  Wzdęty trupie z gwarantem pięknego cytatu.
3937:  Wzdęty trupie, bądź dzielny.
3943:  Wzdymaj się.
3946:  Swoją drogą, jaki on jest piękny.
3948:  Bo jeszcze ma miecz wbity w plecy i strzały.
3957:  Tak!
3960:  Zawsze coś.
3964:  Teraz już możemy ginąć.
3967:  Cóż... Ale, ale... Przynajmniej mamy do walki z 1635 wrogów następnym razem, a nie 1693.
3990:  To jest powód, dla którego w tej grze buduje się mury.
3992:  Zawsze.
3993:  Dlatego idę w rozwój.
3995:  O!
3996:  To jest akurat dobra informacja, że to zajęli, bo to oznacza, że teraz może... A nie, bo to oznacza, że nam zaatakują bagienne miasto.
4003:  To nie jest dobra informacja.
4008:  Ale, ale, ale!
4009:  Tam była jakaś walka.
4012:  To znaczy Skegi cały czas jest... Cokolwiek.
4016:  Chce więcej pieniędzy.
4021:  Wzdęty trup wygląda jak Mixtrol Ligula z Wiedźmina, no.
4024:  Ale to jest, znaczy generalnie jednostki samobójcze to jest ciekawy pomysł, ale... problematyczny taktycznie.
4042:  Będziemy mieć dużo doświadczenia z tych rebelii, ale niestety problem w postaci takiej, że nie dostaniemy się do tego bagiennego miasta szybko.
4052:  Chyba, że... Chyba, że... Na jakim poziomie jest Hexoatl?
4063:  Tak, wzdęty trup jest jednostką samobójczą w tym sensie, że za każdym razem ginie, nie jego zrekrutujemy, w związku z czym też nie zdobywa doświadczenia jak inne jednostki Total Warowe.
4074:  W tym wypadku wzdęty trup po prostu wybucha w kontakcie z jednostkami wroga.
4081:  Liczę na Total War Monty Python od Briana.
4085:  Haha.
4086:  Eee... Dobra.
4090:  Eee... Odporność?
4092:  Nie, nie.
4093:  Bez sensu.
4095:  To... Zrobimy sobie mały zwiad.
4099:  A!
4101:  Ma dwie armie w regionie.
4103:  To jest fatalna informacja.
4107:  Ale my za to mamy śpiewaczkę operową, a tego nikt nie ma w regionie.
4113:  Dobrze, dostaliśmy... Dobrze.
4117:  Zaczynałem mieć full stack, jeszcze 7 jednostek i nie będę się bał.
4126:  Okej, to jest dobra informacja, możemy ulepszyć latająco piramidę, mam bardzo złe przeczucie co do tego.
4133:  I tak, potrzebujemy zagrody niewolników, zagrody niewolników zawsze są przydatne.
4139:  Piękne są te opisy, swoją drogą.
4141:  Niegdyś dumni wojownicy, teraz to żałosne istoty, które pozabijałyby się o dodatkową porcję chleba.
4148:  Warhammer niezależnie od tego, czy w wersji 40k, czy w wersji fantasy, zawsze jest niepoprawny politycznie.
4160:  Okej, nie było ataku na Bagienne Miasto, to jest dobra informacja.
4164:  Teraz pytanie, co oni chcą zrobić, bo najskuteczniejsza rzecz, jaką możemy my zrobić, to jest zasadzka na tym etapie.
4175:  Ale zanim się przesuniemy, na zasadzkę potrzebujemy jakieś 20... 25%, zdaje się tak, ruchu.
4181:  Nie.
4182:  Nie.
4189:  Idziemy tutaj.
4190:  Na wypadek, gdyby był atak.
4191:  Trudno.
4192:  Musimy być w zasięgu wsparcia.
4193:  Jesteśmy w zasięgu wsparcia?
4194:  Jesteśmy.
4196:  Swoją drogą, ta diwa jest cudownie nieproporcjonalnie większa od tego całego miasta.
4202:  Czy mamy... Dobra, potrzebujemy gwałtownie jednostek i na wszelki wypadek wzdęty trup.
4212:  I jeszcze jeden do kajuty kapitańskiej, żeby nam wypełnił office.
4219:  Byle co.
4223:  Dobrze.
4224:  Co teraz?
4226:  Utrzymanie siła broni.
4229:  Pójdziemy w siłę broni, zdecydowanie.
4233:  Okej.
4236:  1700 dochód.
4238:  Jest żenująco.
4240:  Lord Mazdamandi, okej, to jest przywódca frakcji, który swoją drogą ma swojego własnego oswojonego stegadona...
4252:  Przecież mieliśmy pakt o nieagresji.
4256:  O ty chuju.
4259:  Dobrze, że mamy dwa wzdęte trupy.
4263:  Nie, to nie ma szans.
4265:  Mówiłem wam.
4267:  Te frakcje, hordy są najgorsze.
4269:  W tym sensie, że one nie mają własnych miast, w związku z powyższym będą zdeterminowane do tego, żeby toczyć wojnę absolutnie ze wszystkimi.
4274:  Natomiast bardzo mnie niepokoi liczba łuczników tutaj.
4277:  Ona będzie problemem.
4279:  Mimo nawet, że to są orkowie.
4286:  Ale mamy, oooo, tak, mamy rewelacyjny teren.
4296:  Zrobimy sobie taką długą linię.
4301:  Tu syreny na flance, mormgule na flance.
4307:  Wzdęte trupy tu.
4311:  Nie wiem, czy wykorzystamy dwa, zobaczymy.
4317:  Orkowie bardzo lubią, niestety, atakować flanki.
4325:  Tyły chronione, tak, zawsze.
4327:  Zwłaszcza, zwłaszcza na naszej... Gdzie jest Silostra?
4330:  Tu jest.
4331:  W sumie powinienem wiedzieć, gdzie jest Silostra, bo ona za każdym razem wrzeszczy, jak jest ktoś w okolicy.
4338:  Ojojoj, jaki tu jest piękny, śliczny blob jednostek i chce tutaj moje zaklęcie.
4349:  Szybciej, szybciej, szybciej, Silostro.
4351:  Dobrze, drugi wzdęty trup.
4353:  To są jednostki garnizonowe, więc je sobie damy tutaj.
4357:  Wszystko jedno, możemy je stracić.
4368:  No zadaliśmy aż 0% obrażeń, no cudownie!
4375:  Ale, ale, ale.
4376:  Zrobimy jedną rzecz, to znaczy... Dobrze.
4380:  Artyleria nas może uratować tutaj.
4382:  To tak mocno.
4398:  Co się, co się, co się dzieje?
