Nie ma ognia bez maga ognia — BALTHASAR GELT Livestream #2
🔗 https://www.youtube.com/watch?v=M4K_9rqOrJc

2:  Witajcie w świecie Warhammera!
4190:  Ta, ta, ta.
4191:  Not all men!
4195:  W języku angielskim jest już hashtag na wyśmiewanie takich wypowiedzi.
4203:  Czas najwyższy zapamiętać sobie jedną zasadniczą rzecz.
4206:  Do dyskryminacji dochodzi, kiedy mówimy o grupie, która jest w mniejszości i która jest systemowo wykluczana lub dyskryminowana.
4219:  Tak działa znachorstwo i ma się dobrze, powiedziała Kluchel-Muchen, nawiązując do wcierania jodyny w uszy.
4223:  Trochę tak jest.
4225:  Kolejna historia z dziś, pisze Palitka.
4226:  Nauczyciele historii krzyczą nauczynicy na lekcji, że je jogurt, bo spadł jej cukier.
4230:  Koleżanka ma cukrzycę.
4231:  Główny argument była długa przerwa.
4249:  Każde mlaśnięcie dedykuje kolejnemu idiocie pedagogowi, który uważa, że jeść można tylko w przerwach.
4270:  To jest batonik.
4273:  Bardzo go lubię.
4276:  Dobry wieczór, czaty.
4277:  Dobry wieczór, Bartku.
4281:  O nie!
4281:  O nie!
4281:  Problem, problem, problem, problem, problem!
4282:  Niebezpieczne jednostki!
4302:  Dobra, teraz wykorzystamy to, co wam mówiłem, to znaczy sieć Amentoka.
4309:  Zobaczcie teraz, jaka jest potęga tego zaklęcia.
4312:  Strzelać wszyscy, natychmiast!
4315:  Wszyscy!
4316:  Aaaa, haha!
4318:  Gino wargajsty!
4319:  Wypluj tego batona, teraz nie można!
4322:  Kumpel zajmuje się robieniem konserwatywnego contentu, ostatnio zabrał się za temat prześladowania katolików w Polsce.
4327:  Jak delikatnie go uświadomić o tym, o czym mówiłem?
4333:  że w Polsce jest dużo ludzi i mniejszość to katolicy,
4340:  ale większość rzeczy, która jest w Polsce, co zabawne, jest im podporządkowana, prawda?
4347:  Więc myślę, że to jest najlepszy przykład tego, że mniejszość nie jest prześladowana.
4351:  Znaczy, mniejszość mówię o wierzącej, praktykującej, natomiast, bo wiadomo, że w Polsce, która jest krajem oportunistów, większość ludzi, och, och, jak mi się oberwie, większość ludzi oczywiście mówi, że nie no,
4363:  Oczywiście, że ja jestem wierzący, przecież to tak był słynny tekst Kwaśniewskiego, że on jest, jak to było, praktykujący, ale niewierzący.
4373:  To przepiękna sprawa.
4378:  Po polskiemu w uszy wciela się tylko Amol.
4381:  Ramol, to prawda.
4382:  W naszym szkolnictwie przedstawić można to, że 5 na 6 naukowców udowadnia, że rosyjska biblioteka jest bezpieczna.
4387:  Trochę tak.
4388:  Raport dotyczący dyskryminacji miasta i istnienia został przygotowany przez klub Jagielloński.
4391:  Z całą mocą mojej socjologicznej wiedzy będę go weryfikować, pisze Alice in Poland.
4394:  Nie wiedziałem o takim raporcie, jest to przerażające.
4398:  Uuu, jojojo, jest konnica, której absolutnie musimy się pozbyć.
4403:  Strzelać w konnicę!
4410:  Oberwiemy bardzo.
4413:  I am supreme!
4420:  Dobra, musimy... Musimy pomóc strzelcom.
4426:  Dobra.
4429:  Trochę nie będę teraz śledził czatów, bo to jest rzecz niespodziana się stała.
4436:  To znaczy, katolicy praktykujący w Polsce to jest mniejszość, tacy, wiecie, prawdziwi.
4441:  A!
4441:  Mówicie o sekcie polsko-katolickiej z siedzibą w Toruniu.
4445:  A nie, to przepraszam, to większość.
4463:  A to jest coś serio, co bym rozróżniał.
4468:  Pamiętajcie, że jesteśmy krajem, w którym hierarchia kościelnych powiedział całkowicie na serio i że nasz... inaczej, ludzie mówią inaczej.
4477:  Doprowadził do sytuacji, w której ludzie słuchający jego rozgłośni mówią na serio, że ojciec Rydzyk jest naszym ojcem świętym.
4485:  W średniowieczu doprowadziłoby to do interwencji inkwizycji.
4491:  To uczucie, które dziewczyna ci rzuciła, gdy dokonałaś apostazji, zdarzają się takie rzeczy?
4494:  Nie żartujcie.
4500:  Obawiam się, że ten oddział stracimy.
4503:  Nie spodziewałem się tego kompletnie.
4509:  Pozdrowienia Stalunia.
4510:  Widziałem reveal jednostek Chincha.
4512:  Zgadzam się z legendem absolutnie, że pięknie... Znaczy pięknie to powiedział, że to jest połączenie roostera z cavernów i wysokich elfów.
4522:  Bardzo mi się podoba.
4527:  Ciekawe, czy załoga Dumy Imperatora ma tak samo przewalone, jak załoga niemieckiego A7V z I wojny światowej.
4532:  W środku czołgu było 18 kłopów, a wewnętrzne nagrywało się do 100 stopni.
4535:  To jest możliwe.
4536:  To bardzo steampunkowy jest czołg.
4542:  Bardzo, bardzo tracimy.
4544:  O nie, nie stracimy tej jednostki.
4545:  Świetnie.
4546:  To wiecie co, uważam, że uzasadnione było pójście tutaj, bo przynajmniej doprowadziliśmy do anihilacji jedną z groźniejszych jednostek, która w ogóle istnieje tutaj w tym zamku.
4559:  W raporcie było napisane tym klubu Jabłoniewskiego, że mężczyźni, których partnerki mają wyższe wykształcenie, mają depresję przez to.
4568:  Wiecie, jest proste rozwiązanie tego problemu, znaczy... douczyć się, jeżeli komuś to przeszkadza.
4573:  Boże drogi, co to za bzdura jest?!
4578:  Jeszcze powiedzcie mi, że jak ktoś na to wyłożył pieniądze państwowe, to już w ogóle będę dobity.
4584:  Czy podpowiem... Sorry, Dragomirze, nie widziałem.
4587:  Jak rozwijać Karla Franza?
4588:  Mam konferencję z Adolfem i nie wiem, co z nim zrobić.
4591:  Ja bym nie szedł w jego boost dla gwardii Ricklandu, bo niewiele ona daje.
4597:  Rozwijałbym go dokładnie tak samo, jak innego legendarnego lorda.
4600:  Każdego innego legendarnego lorda w tej grze.
4602:  Dobra, wjedziemy tam czołgiem, bo on chyba więcej zrobi, jak będzie wewnątrz niż tutaj.
4613:  Mam wrażenie, że troszeczkę amunicję marnujemy.
4617:  To jest duży eufemizm.
4619:  Bardzo amunicję marnujemy.
4622:  Czy jest coś takiego jak Pinterest dla pisarzy?
4624:  Tak, łotpad.
4626:  Witaj Marcinie, wytwierdzę odpowiedni moment na pytanie, bo jestem ciekaw, czy się spotkałem z gorszym traktowaniem uczniów na religii, gdy ten bezstrzelnie ośmielił się przyznać do ateizmu, ale w ogóle dlaczego komuś, kto jest ateistą, każe się uczęszczać na lekcje religii?
4636:  To jest skandal.
4637:  To nie ma sensu.
4639:  To nie ma żadnego sensu.
4642:  Aaa!
4645:  Ktoś się poddaje!
4647:  Jak mi przykro!
4649:  Dobrze, bardzo dobrze.
4653:  Uciekamy dumą imperatora.
4657:  Jak się buntować w szkole, czy ma to sens?
4659:  Alisa Walker, nie wiem, czy ma to sens.
4660:  Trzeba mierzyć siły na zamiary i przede wszystkim popatrzeć po prostu, czy ci się to opłaca.
4665:  Ja się buntowałem.
4668:  Przez to miałem obniżone zawsze sprawowanie i wizytę u pedagoga, który mnie straumatyzował, był idiotą.
4673:  Nawiasem mówiąc, potem pedagog uczył również wychowania do życia w rodzinie.
4677:  Co to są za bestie za tymi murami?
4679:  To były, kargo samotniku, to były wargaisty i wargulfy.
4684:  Potwory wampirze, które są naprawdę dobre jak na roster tych jednostek.
4688:  Straciliśmy jeden oddział tylko, więc uważam, że nie jest źle, bo zdobyliśmy zarazem jeden z najwspanialszych zamków, jaki tu istnieje, to znaczy Drakenhof.
4700:  To jest... Wiecie co, to jest nam nawet potrzebne, bo wyrekrutujemy sobie kapitana.
4706:  O, o, o, łowca czarownic.
4709:  Okej.
4710:  Łowca czarownic się przydaje z uwagi na oczyszczanie z paczenia w zasadzie tylko, więc będziemy mieli go tutaj przez chwilę.
4718:  I drugi bohater, którego potrzebujemy, to jest kapitan imperium.
4723:  Kapitan imperium dlaczego?
4725:  Przeszła wkład publiczny.
4726:  To jest wszystko, dlaczego go potrzebujemy.
4732:  Ahoj Jakubie, witam Jakuba Sadowskiego, witamy.
4736:  Ateista ma chodzić na religię, bo ocena z religii jest do średniej, nie kumam?
4739:  Aha, zawsze zapominam, że ocena z religii jest do średniej.
4742:  Myślałem, że jest też opcja etyki, ale zapominam cały czas, gdzie jesteśmy i gdzie żyjemy.
4752:  Naprawdę jest wszystko smutne, wiecie?
4755:  Dodatkowa kula czarnoksięstwa.
4757:  Go trzeba się cieszyć dodatkowymi ukulami członkiństwa.
4760:  Co myśląc o katechetach, którzy uczą wielokrotnie do życia w rodzinie, nie mają kwalifikacji.
4764:  To jest oczywiste, że nie mają kwalifikacji, nie mogą mieć do tego kwalifikacji.
4769:  Mamy w miarę dobrego księdza, pisze Szymon, nie można nim w ogóle porozmawiać na każdy temat, od LGBT po aborcji, a nie ma pani jakiejś wspomnienie, nie wolno o tym mówić, jakaś, jakaś, ale to jest coś, na co rantowałem na streamie niedawnym.
4779:  Czy nie uważacie, że religia
4782:  Jakakolwiek religia, nie jest to do tego, żeby mówić o sprawach, które są, nie wiem, metafizyczne, dotyczą życia wiecznego, duchowego.
4791:  Dlaczego mówimy cały czas i non stop o, no, życiu fizycznym?
4798:  To trochę nie ma sensu, nie uważacie?
4802:  To w ogóle nie powinna być... To w ogóle nie powinien być problem i kontrowersja.
4805:  To w ogóle nie dotyczy kwestii religijnych.
4807:  Czas spać.
4808:  7.50 zostało do roboty.
4809:  Wielkie nieba.
4810:  Papa Nurgle niech ma w opiece.
4812:  Do zobaczenia, mały pierdzie.
4813:  Zawsze chciałem powiedzieć takie zdanie.
4816:  Zamki są wspaniałe.
4817:  Noted.
4818:  No oczywiście, że są wspaniałe.
4819:  Przepraszam najmocniej.
4820:  Zobaczcie, jak wygląda zamek Drakenhof.
4822:  Czy to nie jest wspaniałe?
4824:  Ja rozumiem, że to nie jest to samo, co piękna nekropolia w Heroesach 5, ale mimo wszystko jest pięknie.
4836:  Mag życia w armii absolutnie jest konieczny, tylko że jest jeden problem.
4840:  Po pierwsze nie mamy w ogóle pieniędzy, a po drugie kap niestety.
4845:  Pojawił się nam się kap, musimy zwiększyć liczbę magów, a do tego potrzebujemy, po to mi był też Dakenhof, do tego potrzebujemy wybudować wieżę magów, na którą nas nie stać.
4854:  Znaczy konklawę, ściślej mówiąc.
4861:  Ja bym się bał lekcji etyki, pisze bardzo złośliwy człowiek, bo mam pewne podejrzenia, jak etyka byłaby nauczona, to jest też prawda.
4868:  Jako ateista uwielbiałem religię, ponieważ udowadniałem wszystkim, pisze Jimmy Jacob, innym uczniom z klasy, że niczego konkretnie nie wiedzą w kwestii własnej wiary.
4875:  A to jest, twoją drogą, ciekawa prawidłowość, że zwykle w Polsce katolicy mają żadną wiedzę na ten temat.
4880:  Ale wiecie, ja mam sporo... Znaczy, spośród moich znajomych zagranicznych, ci z nich, którzy są katolikami, nie mogą uwierzyć w to, co się u nas dzieje.
4888:  Dlatego mówię złośliwie o sekcie polsko-katolickiej, bo naprawdę jest skrajna różnica między kierunkiem, w którym poszedł Kościół na świecie i tym, co się dzieje w Polsce.
4900:  Jaki mały ułamek ludzi wierzących, czy nie chcę słuchać o metafizyce, o LGBT każdy, bo to emocjonujące przejre mi już.
4905:  Tak, to jest sensacjonizm niestety.
4912:  Ej!
4913:  Zostaw moją osadę!
4919:  Co ja zrobiłem?
4919:  Przecież chciałem automatyczne rozstrzygnięcie, bez sensu.
4923:  Poddamy się.
4925:  Witamy Wilkasa i dziękuję za przemiłe słowa.
4927:  Dlaczego instytucje religijne zajmują się dźwiękiem doczesnym, dźwięk monet, czy życiem doczesnym, dźwięk monet?
4931:  No, no, no, no, no, niestety, niestety.
4937:  Chociaż wiecie co, może zdołamy przynajmniej, a nie, nawet jeżeli kogokolwiek ubijemy, to i tak wampiry wskrzeszą.
4945:  Niestety.
4946:  Czy widziałem lekarstwo dla uniwersytetu napisane np.
4948:  Egidą Królu Jagiellońskiego?
4950:  Jeśli nie, to streszczę, że to dzieło rozpływające się nad wprowadzeniem kolegiów na studia przez UOSW, nie wiem co to jest UOSW, mam alergię na akronimy, zaraz zacznę się gdzieś drapać.
4963:  Co rozumiesz pod swoim buntowaniem się?
4966:  Głównie ja zawsze pyskowałem nauczycielom.
4969:  Udowadniałem ich głupotę.
4971:  Bardzo tego nie lubili.
4972:  Oj, bardzo tego nie lubili.
4974:  Od czego zacząłeś czytanie Dune'y?
4975:  Od oryginalnego sześcioksięgu czy od części chronologicznej?
4978:  Nie, absolutnie od oryginału Franka Herberta.
4980:  Nie pakuj się w rzeczy pisane przez Briana Herberta i Richarda Andersona.
4986:  Czy gadam czasem z ludźmi na Discordzie?
4988:  Tak, tak, tak.
4988:  Zdarza mi się tam wpadać i rozmawiam.
4990:  Pewnie.
4991:  Inaczej Discord miałby średni sens.
4995:  Nawiąż kontakty z zaufanymi urzędnikami.
4999:  Słyszycie tę muzykę?
5003:  Teraz powinna być.
5009:  To jest przepiękna wampirza muzyka, taka cichusieńka.
5013:  Z dzwonem.
5014:  Dobra, dam na minus 2 dB, żebyście słyszeli później.
5018:  Też dobra.
5023:  Czy będę szkolił rycerzy Morra i co o nich sądzę?
5026:  Jakich rycerzy?
5032:  Czy chodzi o tych, grojącego słońca?
5036:  Szczerze powiedziawszy, nie wiem, nie wiem, o których może chodzić, ale nie polecam generalnie żadnych jednostek kawaleryjskich Imperium poza rycerzami półgryfa.
5045:  I to półgryfa, a nie półgryfa z halabardami.
5048:  I to wyłącznie dla specyficznego lorda, raczej dla Volkmara the Grim.
5056:  Okej, musimy... I am ready.
5058:  Are you?
5064:  Jaka tu jest armia?
5067:  Niezła armia, ale nie wiem, czy sobie poradzi z wampirami.
5071:  Więc przenieśmy się tutaj.
5073:  Czy tu jest jakaś armia też?
5074:  Schwarzaffen?
5076:  Tak, obecność wojska.
5078:  Dobra.
5079:  Nie jest dobrze.
5081:  Nie jest dobrze, moi mini, ale musimy zbudować kolegium magiczne.
5085:  Nawodnienie, absolutnie!
5088:  Absolutnie.
5090:  Dziś tradycyjna długość strumyka?
5091:  No myślę, że spokojnie do północy.
5095:  Ja po religii dostałem traumę, mimo że religia prawosławna i zazwyczaj miałem spokojnego nauczycieli, pisze Matt Faniga, ale w liceum to kobita mi postęp depresji przyspieszyła, współczuję strasznie.
5103:  Ja kiedyś interweniowałem, nawiasem mówiąc, byliśmy na pierwszym roku ze studentami na jakimś spotkaniu, wyjeździe, nie, to był wyjazd gdzieś tam w jakieś dalekie rejony tej rzeczywistości naszej polskiej i w ramach rzeczonego wyjazdu
5123:  Była, no uwierzcie mi lub nie, ale była msza.
5126:  I ja powiedziałem wtedy, no ale ja rozumiem, że
5130:  tylko chętni idą.
5131:  Nie, nie, nie, nie, nie, wszyscy.
5133:  Więc ja wtedy zaprotestowałem i powiedziałem, nie, nie wszyscy, idą chętni.
5137:  Więc jak widzicie, to jest, właśnie tu możemy mówić o tej dominacji, prawda, instytucjonalnej pewnej, którego Boga Imperium lubię najbardziej, czy obecnego, czy dawnego.
5146:  Szczerze powiedziawszy, jeżeli chodzi o bóstwa w uniwersum Warhammera, to mam słabą wiedzę na ten temat.
5152:  Raczej bym skłaniał się, to jest ten jeden, jedyny moment, kiedy by mi się podobało Age of Sigmar.
5158:  To znaczy bym tam wskazał jakiegoś boga, któremu bym sprzyjał i oczywiście, że byłby to Teklis.
5163:  Natomiast jeżeli chodzi o Stary Świat, to ja raczej jestem tym, który by czcił bogów chaosu, na przykład Stlenesza.
5170:  Rycerze Morra to regiment Sylwanii.
5172:  O, to nie wiedziałem nawet na ten temat.
5174:  Niestety nie możemy rekrutować jednostek sylwańskich, nawet jeżeli podbijemy tutaj cokolwiek.
5181:  Czy Drakenhof ma swoją niespatrzoną wersję?
5182:  Nie.
5183:  Tutaj zawsze jest duże spatrzenie wampiryczne, będziemy musieli je swoją drogą obniżyć, nie wiem, ile to nam zajmie, ale trochę tutaj posiedzimy w tej prowincji na pewno.
5192:  Jak będziemy mieli wyższy dochód, to zaczniemy rekrutować nową armię.
5194:  Na razie tutaj widzę, że Feildorf ma pewien problem i zastanawiam się, czy nie ruszymy naszym bohaterem tutaj.
5204:  Mhm.
5206:  Na wszelki wypadek tak, natomiast w Forcie Sol musimy niestety i widzicie, tak to się dzieje potem, że mamy bardzo niewiele, bardzo niewiele pieniędzy.
5220:  Dobrze.
5221:  Musimy mieć jakiegoś lorda tutaj bezwzględnie, zawsze w Forcie Sol i to też polecam wszystkim grającym w Imperium.
5226:  Dobra!
5231:  Legend coś sugerował z tym, że Halabardanie mają dodatkowy damage na duże jednostki.
5235:  Można mieć parę, ale nie dawałbym tego do Doomstaka na pewno.
5239:  Czemu trzeba robić cokolwiek na Discordzie, żeby się zweryfikować numerem telefonu?
5242:  To jest antyspammerskie, nie mam na to wpływu.
5244:  To jest konieczne w momencie, w którym jest dużo ludzi.
5246:  Słuchajcie, na naszym Discordzie jest 2,5 tysiąca osób.
5249:  Muszą być jakieś zabezpieczenia.
5251:  Dzisiaj na własnej skórze pisze Szymon, zdałem sobie sprawę, jak trudne są odpowiedzi ustępstw polskiego.
5254:  Niby dostałem 4+, ale stres tak potęży, że palnąłem aż gwiazdy świecą za dnia.
5258:  No, widzicie.
5261:  Mój powód, powód dla którego ja nie znoszę absolutnie, po to jest nam autorytet imperialny i prestiż, żebyśmy mogli takie rzeczy robić jak powstrzymywać wojnę.
5270:  Ja dlatego jestem takim wrogiem odpytywania i tak dalej, bo to naprawdę nic nie sprawdza.
5279:  Okej, ryzyko się opłaciło.
5281:  Weźmiemy pieniądze, bo mamy bardzo mało.
5285:  To w zasadzie jest jedyna rzecz, którą sprawdza to działanie w przypadku dużego stresu.
5293:  A ja uważam, że są o wiele lepsze sposoby na nauczenie się działania w sytuacji stresowej i jednym z nich jest na przykład to, żeby unikać stresu maksymalnie, ponieważ później jak człowiek idzie do lekarza w okolicach mojego wieku, to słyszy unikaj stresu, unikaj stresu, unikaj stresu.
5309:  Wspomniałem, żeby unikać stresu?
5315:  Połowa sukcesów w grze Imperium to jest wyprowadzenie miażdżących szarż jazdą szturmową w plecy wroga.
5320:  Ja wiem, Taraelu, że bardzo lubisz walczyć piechotą i tak dalej, ale jeszcze raz powtórzę dla wszystkich, którzy nas słuchają, pamiętajcie, że na poziomie bardzo wysokim i legendarnym piechota w ogóle nie ma żadnego, żadnego znaczenia praktycznie.
5332:  Może teraz po tym patchu, który był kawaleryjskim jest troszeczkę lepiej, ale tylko troszeczkę.
5339:  Okej.
5341:  Dalej weźmiemy pieniądze.
5344:  to, swoją drogą, cały czas każda zwycięska bitwa zwiększa nam liczbę prestiżu.
5351:  Czy wartość prestiżu w zasadzie.
5353:  O, żadne tam pryrusowe zwycięstwo.
5354:  Walczymy, moi drodzy.
5356:  Walczymy nieustraszenie.
5359:  Da się pozbyć zamku z paczenia wampirycznego do około 10, tak u mnie było zawsze.
5364:  Okej, w przypadku Drakenhof.
5366:  Zawsze spaczenie zamienię w złoto.
5367:  Uuu, tak, tak.
5370:  U mnie na każdej wycieczce była możliwość pójścia na mszę, ale zawsze była możliwość wyboru.
5373:  To dobrze pan, to dobrze, tak powinno być.
5375:  Jakim mam ostatnio zaciesz na zajęciach z utopii i dystopii, jak pan Krzysztof jest cytowany,
5382:  Któż mnie cytuje?
5383:  Jak miło.
5385:  Bardzo miło.
5385:  Napisałem rzeczywiście parę rzeczy o utopiach i utopiach.
5387:  Kiedyś miałem zaciesz z kolei, ja olbrzymi, że to jest jeden, jedyny rodzaj fantastyki, który mi pozwolono analizować.
5395:  Wiecie?
5395:  Ja byłem jeszcze na UJ-cie, HS Nieme.
5399:  Na Wydziale Polonistyki UJ.
5400:  Muszę to dodawać, że to chodzi o Wydział Polonistyki, żeby ludzie, którzy są na normalnych wydziałach UJ-tu, na przykład technicznych, nie czuli się urażeni.
5408:  Okej, zrobimy tutaj...
5411:  Tak, może.
5413:  Przygotujemy tutaj się pod wycofanie.
5417:  I jeszcze dwa oddziały widzę.
5419:  Dobrze, raz, dwa.
5421:  Tu się ustawimy, okej.
5423:  Czołg idzie naprzód.
5424:  Rzeczywiście potrzebujemy bezwzględnie kapłana życia.
5429:  Dobra, nadrabiam czaty i walczymy.
5432:  W pewnym momencie Nadia pisze, na wycieczce w Gimbazie było pójście do szkoły, ale nie pod pretekstem sztuki, tylko żeby powyznawać Boga i w pewnym momencie trzeba było powtórzyć coś trzy razy, wykonać znak krzyża i tego nie zrobiłam, znajoma się na mnie rzuciła.
5445:  Boże drogi, co wy opowiadacie, to jest straszne.
5451:  Unikaj stresu niby jak.
5452:  No właśnie.
5453:  Dobranoc Alkun, dobranoc.
5454:  Sprawdź co daje elektor Sylwani.
5456:  Dobra uwaga, musimy to zrobić.
5458:  Nic tak nie pomaga na stres jak piwo.
5460:  Albo pójście na długi spacer.
5462:  To zawsze polecam przed egzaminami albo jakimiś stresującymi sytuacjami życiowymi.
5466:  To jest coś, do czego ja się zmuszałem zawsze.
5468:  Znaczy, chciałem się uczyć do ostatniej chwili, ale zrobiłem taki eksperyment.
5472:  Poszedłem na spacer, nawdychałem się tlenu, byłem tak zmęczony, że poszedłem natychmiast spać, potem na egzamin i na jakimś cudem wszystko pamiętałem.
5479:  Ja!
5485:  No tak, tak, tak, od lekarza w pewnym momencie się bez przerwy słyszę, że jestem.
5489:  O, The Royal pisze, że zajęcia na Wydziale Polonistyki na UJ.
5493:  Tam mnie ktoś cytuje i nie dostał palpitacji?
5496:  To musi być profesor Całek, nie widzę innej opcji.
5500:  Bo się znamy.
5502:  Herbatka, tak.
5505:  Czy mam kontakty z pracownikami z Wydziału Polonistyki?
5507:  I co się tam o mnie mówi?
5508:  No właśnie, właśnie, ja się nie wiem!
5511:  Kontakty mi się wszystkie urwały, zasadniczo, to znaczy... W momencie, w którym zostałem zatrudniony na AGH, magicznie bardzo dużo osób się przestało do mnie odzywać.
5525:  Bardzo zabawne.
5526:  Tak naprawdę to nie... Dobra.
5529:  Tutaj ustawimy się raz.
5531:  Nim myślę, że to będzie dobra decyzja.
5533:  Okej.
5535:  Generujemy punkty.
5544:  Czy będzie kiedyś live z Norski, czy za duża katorga?
5547:  Za duża katorga!
5548:  Ja nie jestem w stanie.
5550:  Nie jestem w stanie.
5551:  Dobry wieczór, Stefanator1312.
5553:  Absolutnie, absolutnie...
5560:  Przychylam się do Juni, która twierdzi, że herbatka New York została zakupiona.
5565:  Bardzo mnie to cieszy.
5566:  Co to za... Co to za strzelanie kulą ognia w jedynego maga, który ma do tego prawo?
5572:  O, tak!
5574:  Tak!
5575:  Gehenna z Golden Hounds!
5577:  O, skaczcie radośnie!
5580:  Moje ogary!
5581:  I ogary poszły w las.
5582:  Ostatni cytat z polskiej literatury.
5586:  Będzie kiedykolwiek.
5586:  Dobra, jeszcze tym walniemy.
5590:  Czym jeszcze możemy walnąć?
5592:  Tym jeszcze możemy walnąć.
5593:  Baltazar Geld rozpętuje chaos, zanim w ogóle jeszcze pokażę wam wartość jednostek.
5599:  Zanim w ogóle się zacznie bitwa do Baltazar Geld już wszystkich zabije.
5604:  A tutaj mała modyfikacja.
5607:  I tutaj też zrobimy małą modyfikację.
5608:  Zrobimy częściowo szachownicę.
5611:  Okej, tak i tak.
5616:  I wycofajmy może... Może tak zróbmy.
5624:  Czasem spacer może, pisze Bogdan, nasilić stres, jeżeli się nie jest niczym zajętym.
5629:  O, to prawda.
5630:  Ale to ja mówię ze swojej perspektywy, to znaczy ja jak jestem na spacerze, to zawsze myślę o jakichś fikcyjnych światach, zawsze.
5637:  Bo spacer jest generalnie bardzo nudny, nie?
5642:  Ooo!
5643:  Kulę ognia jeszcze trzeba umieć rzucić!
5647:  Dobra.
5649:  Rzucamy zaklęcia za zaklęciami.
5652:  Bardzo dobrze.
5654:  Baltazarek i jego makabryczne koszty magii.
5656:  Makabryczne, mam nadzieję, że pozytywnie, ponieważ trzy punkty magii to jest bardzo niewiele.
5662:  Będzie rekrutowana świetlista Arka Hysz.
5664:  To jest przepiękna, przepiękna, wspaniała jednostka.
5669:  Bardzo lubię mieć przynajmniej jedną.
5673:  Natomiast faktycznie drogi jest bardzo ostateczna przemiana, ale obejmuje dużo jednostek.
5682:  Cieszę się Łukaszu, że ci się podobają rzeczy, które opowiadam.
5686:  Pamiętaj jednak, bo słowa autorytet jest miłe, ale ja zawsze lubię dodawać, że trzeba weryfikować na własną rękę rzeczy i nie dowierzać nawet osobom, którym ufasz, bo zawsze mogą bzdurzyć i pierdzielić.
5701:  Ja też mogę bzdurzyć i pierdzielić.
5703:  Wiele razy mi się to zdarza.
5706:  I zachęcam zawsze do tego, żeby wszystko sprawdzać.
5708:  To tylko taka drobna uwaga.
5711:  Ale bardzo mi miło.
5712:  Nie zrozum mnie źle.
5713:  Dobra, tutaj jest niedobra sytuacja.
5715:  Bardzo niedobra sytuacja.
5717:  Musimy ją rozwiązać jakoś.
5718:  Jeszcze nie wiem jak.
5724:  O, o, o. Wielkie nietoperze sobie poszły.
5727:  Świetnie.
5728:  I teraz musimy pokonać tego wąpierza.
5730:  Myślę, że czołg powinien mu dać radę.
5734:  Okej.
5740:  Nawodnienie, moi drodzy, nawodnienie nawodnieniem, ale bitwa bitwą.
5746:  Na razie tylko herbatka.
5750:  Dobra, sytuacja tutaj jest troszeczkę lepsza.
5755:  Świetnie.
5757:  Do tego potrzebowaliśmy naszego czołgu, możemy go teraz wycofać.
5762:  Tak myślę.
5763:  Ooo, czas na wypalanko!
5767:  Wypalanko wampirów!
5769:  Magia oognia!
5775:  Tak, tak!
5777:  Dlaczego Vir idzie w złą stronę?
5778:  Dlaczego Irvir idzie w złą stronę?!
5781:  Zły Vir!
5784:  Zły Vir!
5785:  Dobra, spróbujemy tutaj zrobić ładniejszy czar.
5790:  Co jest?
5797:  Okej.
5799:  O tak, o tak, dobrze.
5804:  Sieć Amentoka.
5806:  Dobra.
5812:  Świetnie.
5813:  Tu obawiam się, że nasza artyleria troszeczkę zaczyna przesadzać.
5823:  Jest piromanta, oczywiście.
5825:  Która książka o Wiedźminie podobała mi się najbardziej?
5827:  Opowiadania, zdecydowanie opowiadania.
5833:  Krzysztof, niby tak, niby nie, a potem na live'ach z Wiedźmina z pamięci cytuję dziadę i trylogię.
5839:  Wilk w jamniczej skórze.
5841:  No wiecie no, zostałem wytresowany, więc jak każdy dobry pies,
5846:  No powtarzam to, co zostałem wytresowany, tak?
5849:  Jeżeli ktoś zrobił ze mnie małpę, która ma jeździć na monocyklu, to zgadnijcie, co robię.
5853:  Jeżdżę na monocyklu, prawda?
5856:  Natomiast rzekłbym, że przez to dobrze wiem, że to się absolutnie do niczego nie przydaje.
5864:  Jak ja uwielbiam grać imperialnymi!
5869:  313 zabitych przez dwóch magów, 200 przez artylerię!
5872:  Przecież to jest wspaniałe!
5874:  Obiektywnie!
5875:  Czy czytałem Pustynnego Księcia od Bretta z cyklu demonicznego?
5878:  Bardzo lubię cykl demoniczny, ale nie znam tego cyklu sequeli, który teraz wychodzi w tym momencie.
5883:  O proszę, 2137, dzieją się rzeczy, kremówki, nie lubię kremówek, wolę wuzetki.
5891:  Żółty jamnik.
5892:  Tak jest, jamnik żółty to jamnik serowy.
5895:  Wciąż nie wiem, czy ten jamnik je Emmentaler, czy jakiś inny ser.
5898:  Więcej kasy.
5899:  Potrzebujemy więcej pieniędzy.
5903:  Która książka o Wiedźminie podobała mi się najmniej?
5905:  Sezonu burz nie liczymy.
5906:  Grzegorzu, psujesz całą zabawę.
5909:  Miałem właśnie powiedzieć o sezonie burz.
5916:  Pani jeziora.
5919:  O!
5920:  A wiecie co, to jest dobra wiadomość, bo... Fort Sol... Fort Sol wymaga... O, mamy świetlistą arkę, ona pójdzie do Belt Gelda.
5934:  To jest dobra jednostka do obrony Fortu Sol, bardzo ją polecam.
5939:  Natomiast Geld absolutnie, bo stracił jeden oddział, dostaje świetlistą arkę Tempelhof.
5947:  To jest przefantastyczna rzecz.
5950:  Piorun Światłości Solheim, a jak to brzmi fantastycznie.
5954:  Wiecie dlaczego jest najlepsza?
