Wielka ucieczka — THOREK IRONBROW livestream #2 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=J7t_63q-mDg

2:  Witam wszystkich!
5074:  Niewiarygodne.
5075:  Uwaga!
5093:  Zabijcie tego, absolutnie.
5095:  Dobrze, zginął Lord, świetnie.
5106:  Dobrze, możemy jeszcze raz... Musimy wysłać chyba Thana tam, nie ma opcji.
5112:  Wstąpił Crastan na działo, ale nie zagrzmiało, bo Reduty Ordona na oczy nie widziało.
5116:  O!
5118:  Dziękuję za przywołanie mojej ulubionej literatury.
5122:  Czy Bastilodon ginie?
5130:  Dobrze, Bastilodon zginął.
5132:  Następny cel.
5137:  Wszyscy w amet Aloksa.
5140:  Kimkolwiek on jest.
5141:  Tan, tu proszę bardzo.
5147:  Katapulty, jak zawsze, mają najwięcej zabitych, czemu mnie to nie dziwi.
5165:  Czemu nie wykorzystałem Tana?
5166:  Dlatego, że Tan strzegł dział.
5170:  Jak jest rytuał Primeval Glory, on niestety polega na tym,
5176:  że mogą przyzwać taką jednostkę dzikich zimnokrwistych, która jest dość słaba, ale jednak w momencie, w którym walczy z generalnie bezbronnym działem, no to może sobie poradzić.
5194:  To jest troszeczkę tak skaweńskie menace from below, czyli zagrożenie z podziemi, nie wiem jak to powiedzieć.
5202:  Te szczury, które Skaveni mogą przyzwać z każdego miejsca.
5206:  Na każde miejsce na mapie.
5207:  No dokładnie, dokładnie.
5208:  Czy był już finał od Mechanicus?
5210:  Wielki finał!
5210:  Warhammera Mechanicusa jest w niedzielę, moi drodzy.
5214:  I to będzie dosłownie wielki finał.
5216:  Pięć walk z bossami, a na początek streamu dwie małe, które kończą quest line'y dwóch bohaterów.
5226:  Kazuken!
5227:  Kazaken!
5227:  Ha!
5234:  Strzelajcie, strzelajcie, wystrzelać, może jeszcze nawet podejdziemy tam, żeby na murach i wystrzelać.
5242:  Tak jest.
5243:  Kogoś mamy tu jeszcze blisko?
5245:  Proszę bardzo, natychmiast.
5253:  Generalnie, gdyby się dało dzia... grolem, gdyby się dało dawać działa na mury, to byłoby piękne.
5262:  Czy grałem w Undertale?
5263:  Tak.
5264:  Piękny wpis do Księgi Uraz, tak jest, została z-z-zmazana.
5270:  Prawie.
5271:  Znaczy, zostanie zmazana dopiero wtedy, gdy uda nam się pokonać obrzydliwych jaszczuroludzi.
5280:  Undertale był ogrywany, był, był, był, tylko dawno temu, jak wychodziła rzecz.
5289:  Ale to pyrrusowe, pyrrusowe.
5292:  Proszę bardzo, wyrrrrżnęliśmy ich.
5297:  Wbrew pozorom wojownicy Saurusów mieli tutaj dużo.
5300:  Ach, już wiem dlaczego, bo wycięli dwa oddziały górników.
5304:  Ulubiony hack and slash poza Diablo?
5305:  No to jak Diablo zostało wyłączone, to zostają mi dwie opcje.
5310:  Jedną jest... no Boże, nie Pillars of Eternity, tylko druga rzecz, zawsze zapominam.
5317:  Ach, słynna rzecz z takim gigantycznym drzewkiem umiejętności, zaraz mi przypomnicie.
5321:  A drugi ulubiony, ale lore'owo hack and slash, to jest The Incredible Adventures of Van Helsing.
5328:  Path of Exile, dziękuję.
5329:  Wiedziałem, że mi przypomnicie.
5331:  The Incredible Adversions of Van Helsing, mamy bitwę za bitwą, widzę.
5335:  Jest absolutnie przecudowną grą, w której walczymy z wąpierzamy wilkołakami w steampunkowej Borgowi, u boku ducha Lady Katariny, która złośliwie i z rosyjskim akcentem dopowiada różne rzeczy.
5349:  No i jest to miodna gra.
5350:  I później jeszcze do...
5353:  w The Incredible Adventures of Van Helsing została wypuszczona gra, która się nazywa Death Trap i to jest jedna z najlepszych tower defense, w jakiej grałem w życiu.
5366:  W sumie, ponieważ tu jest tyle tych smocząt, to jest paradoksalnie moment, w którym mogą się nam przydać strzelcy.
5382:  Zostawimy ich tutaj.
5385:  Kłośników wycofamy oczywiście.
5387:  Mówicie, że działo należy dawać przed katapultą.
5389:  Dobrze wiedzieć.
5392:  To jest dobra wiadomość.
5395:  Będzie tak czynione.
5397:  I nie wiem, tutaj katapulty chyba.
5401:  Tak mi się wydaje, że to będzie najlepsze.
5404:  Tu jeszcze jest jeden oddział strzelców.
5406:  Dobrze, że jest tyle oddziałów strzelców.
5407:  To jest bardzo dobra wiadomość.
5411:  tu ich damy.
5413:  A może nawet tu.
5414:  Później trzeba będzie wszystkich wycofać szybko.
5420:  No, rozkład miasta jest dobry.
5421:  Torchlight płacze cicho w kącie.
5423:  Nie zagrałem w Torchlight, właśnie na tym problem polega.
5426:  W porę i potem już nie byłem w stanie się zanurzyć.
5430:  Zawsze ten problem.
5432:  Torchlight wyszło niebezpiecznie blisko Diablo.
5436:  Tana tu zostawimy, żeby powstrzymywał te... Dobra, myślę, że jest okej.
5443:  Uuuu!
5444:  Dobre, dobre wieże!
5448:  To się rzadko zdarza.
5454:  Nie, nie robię gatebuga.
5460:  Chyba zdołamy zniszczyć tę wieżyczkę, tak mi się wydaje.
5464:  Chociaż nie przy tym poziomie pudłowania.
5466:  Dobra i teraz tak, celujemy w Stegadona w pierwszej kolejności.
5476:  Aaa, tak, tak, to był chyba dobry pomysł.
5489:  To rzekłbym, że troszeczkę zmarnowane zaklęcie.
5497:  No!
5498:  Jeszcze troszeczkę.
5504:  Okej, uda się.
5506:  Teraz zmieni troszeczkę ten fioletowy pasek wieży, to jest wytrzymałość.
5509:  Dawniej trzeba było najechać na wieżę.
5511:  Tak!
5512:  Dobrze.
5515:  No strzelajmy jak do kaczek do tych śmiesznych stegadonów.
5522:  Ehehe!
5524:  Dobrze.
5527:  Tak sobie myślę nawet.
5531:  Co ja sobie myślę?
5532:  Myślę sobie, że można byłoby tutaj te dwa oddziały kuszników podprowadzić.
5538:  W Warhammerze można samodzielnie strzelać z działy katapult po wciśnięciu Entera?
5543:  Chyba tak?
5545:  To jest ten tryb pocisku z tego, co pamiętam.
5547:  Nie próbowałem tego nigdy.
5553:  Ulubiony gatunek growy?
5554:  Nie no, RPGi.
5555:  W drugiej kolejności strategie.
5558:  Tylko najbardziej lubię, jak jest połączenie jednego z drugim.
5562:  Strzelajcie do tych karanozaurów, bardzo proszę uprzejmie o to.
5566:  Dziękuję.
5568:  Kusznicy, proszę wyeliminować wojowników saurusów.
5573:  No, zdecydowanie w takich sytuacjach, kiedy jest ten Rite of Primeval Glory polecam gorąco zostawić na murach.
5582:  No jedna wieża niestety jest, ale...
5586:  Ale to im nic nie da, ponieważ w tym momencie z tego, co widzę, jest nasza... No dobra, nasza brama jest niestety w złym stanie.
5593:  To oznacza, że trzeba wycofać naszych strzelców.
5601:  A tych zostawimy na bramie.
5603:  Okej, nie.
5606:  Dobra, dobra, dobra, dobra.
5607:  Zły moment, w złym momencie.
5608:  Nie.
5617:  Teraz tak.
5618:  Strzelać!
5620:  Strzelać!
5625:  Bardzo zły moment, bardzo zły moment.
5632:  Dobra, przedarli się.
5634:  Musimy się, musimy zacząć strzelać w inną stronę.
5640:  Ci kuśnicznicy na szczęście mogą walczyć wręcz, ale też nie przesądzajmy ich umiejętności.
5648:  Czemu głupi strzelcy zeszli z murów?
5665:  Dobrze, tu jest sytuacja dobra.
5669:  Tak, no tutaj, tutaj, tutaj nasi strzelcy zostali na murach, to było kluczowe taktycznie.
5678:  Dobrze, ten już prawie zginął.
5683:  Okej.
5691:  Jak z zasięgiem?
5692:  Kiepsko.
5693:  Schodzimy.
5706:  A mury runą, runą, ja wam dam, ja wam dam!
5709:  Takie klątwy miotać przeciwko naszym dzielnym Dawii, którzy walczą ze smokami!
5717:  Come on!
5719:  Czy jesteśmy w stanie trochę strzelać przynajmniej tutaj w tych saurusów, bo to mnie niepokoi, nie ukrywam.
5726:  Czemu nie?
5727:  Nie, nie, coś takiego jest niewskazane.
5731:  Strzelamy!
5740:  O nie.
5759:  Oni strzelają w ogóle?
5760:  Nie.
5769:  W sumie lepiej będzie tutaj w tych wojowników Saurusów walić katapultą, to jest jedna opcja.
5791:  Dobra.
5793:  Dziki karnozał prawie pada już.
5796:  Za moment zupełnie padnie.
5802:  Niech zatriumfuje krasnoludzki ład.
5805:  Zgadzam się.
5806:  Plus brakuje tutaj jakiegoś solidnego... solidnej miejscówki, gdzie można byłoby się napić piwa.
5814:  Jakieś ponure świątynie po królach grobowców tutaj zostały rozpadające się.
5820:  To nie jest miejsce, gdzie się dobrze pije piwo.
5824:  Teraz kluczowa sprawa, należy wszystkich wyeliminować.
5827:  Na tyle, na ile jesteśmy w stanie to zrobić.
5846:  Jaki dział historii lubię najbardziej, jeśli chodzi o epokę?
5849:  Nie no, starożytność zdecydowanie, tu nie będę oryginalny.
5854:  Ewentualnie jeszcze XVII-XVIII wiek, wtedy kiedy są wojny napoleońskie.
5858:  No, to jest fajna sprawa.
5862:  Bo... Między innymi oczywiście.
5865:  Bo można wreszcie troszeczkę się wyżyć taktycznie, nie?
5872:  To jest piękna sprawa.
5876:  Okej, są zblokowani, o to chodziło.
5880:  Czasami jest tak, że się blokują te jednostki i nie uciekają, bo o dziwo stąd można uciec na przykład w to miejsce.
5886:  O, i bez żadnego problemu.
5888:  A nam chodzi o to, żeby całą tę armię wybić.
5891:  Do ostatniego Saurusa.
5895:  No właśnie, tutaj uciekłbym.
5896:  Fuck logic.
5902:  Jak to nie jest to miejsce, gdzie się dobrze pije piwo?
5904:  Dyć, starożytny Egipt to ojczyzna tego szlachetnego napoju.
5907:  A czy to wygląda na starożytny Egipt?
5912:  Nie najgorzej raczyło się kieliszkiem winia na dachu opuszczonego szpitala, więc nie rozumiem, gdzie dostrzegasz problem w otoczeniu ruin.
5918:  Tym, że nie ma tawerny!
5920:  Trzeba ją dopiero zbudować.
5921:  No, no, no, wojny napoleńskiej XIX wiek, dlatego mówię, że szkło się poprawiłem, że XVIII, XVII niekoniecznie.
5931:  Przychody, rozwój, tak, przyda nam się to.
5937:  Cóż to za frame drop.
5938:  Czasem się tak zdarza, że jak się przejdzie z widoku bitwy do widoku ogólnego, to się dzieją dziwne rzeczy.
5946:  Oblężenia są nudne, ale graficznie zróżnicowane i przepięknie.
5949:  Jak pierwszy raz zobaczyłem, jak byle sklecone jak drewniane konstrukcje na ruinach Kamiennej Twierdzy Krasnoludu, to zapauzowałem grę.
5955:  No trzeba przyznać, że się bardzo postarali.
5958:  Spellforce 1 czy 2?
5960:  Oj, chyba 1, ale grałem... Nie, 2, ale grałem strasznie dawno temu.
5964:  Migracja?
5965:  Tak, potrzebujemy migrację.
5969:  Migracje zawsze są dobre.
5971:  Co tu się dzieje?
5973:  Tu jest jakiś Lord Wąpierzy.
5977:  No i nie mamy wyjścia, musimy go dojechać.
5980:  Jak ja widzę wąpi... jak ja widzę wampiry, to od razu mi się otwiera gilotyna w kieszeni.
5989:  Odporność fizyczna to się przyda tym akurat.
5995:  Magiczna ochrona, odporność fizyczna, odporność fizyczna.
6000:  Nie.
6002:  Magiczna ochrona się przyda helikopterowi, dobrze.
6009:  Dlaczego Sfinks i piramidy są w Egipcie były za duże, żeby przenieść je do Londynu?
6013:  No tak, no tak.
6016:  Smutna sprawa.
6022:  Your end is nigh.
6027:  Potrzebujemy troszeczkę tego słodziutkiego replenishment i potrzebujemy również... O tak, jaka jest tu sytuacja?
6035:  Mamy trzy jednostki... Nie, chcę jeszcze dwie jednostki.
6040:  Chcę jeszcze dwie jednostki gromowładnych, zdecydowanie.
6044:  Weźmiemy sobie tego stratega, bo on ma większy ruch na mapie, żeby nam tu zrekrutował...
6050:  Są już żelazne smoki.
6052:  Och, zaczynamy być Doomstackable, moi drodzy.
6057:  Skrócenie czasu przeładowywania dla jednostek artylerii.
6061:  Klikam, nie doczytując do końca.
6066:  Nie no, wampiry absolutnie.
6068:  Ja dostaję zawsze torsi na widok wampirów, chyba że zdarza się mi nimi grać, wtedy jestem troszeczkę łagodniejszy i robię dumstaki z samymi cudownymi wampirzymi maginiami.
6080:  O, to tak, to jest miłe.
6082:  Siła pocisków dla jednostek, kuszników gromowładnych, strażników, żelaznych smoków.
6086:  Bierzemy bez zastanowienia.
6089:  Jak gram krasnoludami, to właśnie wybieram w czerwonej linii zawsze te dwie ostatnie
6098:  A w życiu nie będziemy podpisywać traktatu pokojowego z Kroggarem.
6101:  Zawsze biorę w tej czerwonej linii dwie ostatnie umiejętności, to znaczy i dla gromowładnych, i dla artylerii.
6108:  Jedyny dobry wampir był w JoJo.
6110:  O tak, to prawda, tam był, tam był wampir.
6112:  No, tam był dobry.
6116:  Bramę Isztar się pocięło i do Berlina trafiła.
6118:  Och, żeby tylko, tam jeszcze kawałki są w innych muzeach, nie wiem, czy w Luwrze nie widziałem.
6123:  Eee...
6129:  Jak to jest sytuacja z Lamią?
6131:  Dalej jest... Czyli cały mój chytry plan spalił na panewce.
6141:  Jak to rozwiązać?
6141:  Zastanawiam się.
6144:  Teraz się zastanowię w pełni.
6154:  Na razie...
6157:  Na razie wymienimy się jednostkami.
6162:  To jest plan na na razie.
6166:  Raz, dwa, dobrze.
6167:  Jesteś nam niepotrzebny, Kadri, Strażniku Przysięgi.
6171:  Spełniłeś swoje ważne zadanie.
6174:  Bohaterów dalej nie możemy rekrutować, co napawa mnie przerażeniem.
6179:  I myślę sobie, że... coś by trzeba było z tym fantem zrobić.
6186:  Bo tutaj jeszcze troszeczkę poczekamy na rozwój.
6190:  Czy mam w planach sprawdzenie New World?
6193:  Musisz sprecyzować, o co konkretnie chodzi, bo nie kojarzę.
6196:  Który z konstruktów piątego tieru Królów Grobowców, czyli Hiero Tytan, Nekro Sfinks i ten trzeci, czyli to będzie Sfinks Bojowy, jest najlepszy?
6204:  Moim zdaniem każdy, w zależności od tego, kogo potrzebujesz.
6207:  Ja buduję armię Królów Grobowców zawsze w bardzo zbalansowany sposób, nie dumstakuję tam.
6212:  Szczerze powiedziawszy, jeżeli chodzi o hierotytanów, to chyba ich rekrutuję najrzadziej, natomiast ten nekrosfinks jest znakomity do radzenia sobie z cięciem jaszczurek na kawałki.
6223:  Sfinks bojowy z kolei jest dobry z tego względu, że trzyma długą linię piechoty.
6226:  Najlepiej mieć taką długą linię straży grobowców i ze 3-4 jednostki nekrosfinksów nad nimi wtedy będą bardzo długo się bronić.
6240:  Smiling Jack z Vampire the Masquerade też był dobry.
6242:  Nie, nie, no oczywiście.
6244:  Ja dostaję w ściku, widząc wampiry głównie w grach strategicznych, natomiast jeżeli chodzi o wampiry w kulturze, to parę by się fajnych znalazło.
6254:  Na pewno, na pewno najlepsza jak dotąd narracja, w której wampiry mi się wściekle podobały, to była Castlevania.
6261:  Tak to należy robić.
6262:  Strasznie mi się to podobało.
6267:  No właśnie widzę, że Helsing też w puba mam.
6270:  Dobra, niszczymy... Ci greenskinni nas zewsząd otaczają, niestety.
6280:  Dobrze, bunt jest zdławiony, zwiększamy tutaj przychody, bo to się przyda.
6286:  Kolejna z Uraz została zmazana, ale w Księdze Uraz mamy aż piętnaście ich.
6291:  Można zresztą, przepięknie jest to zrobione, runami wyryte w Księdze Uraz, mamy ich aż dziewięć.
6298:  A, i jak już jestem w Księdze Uraz, tu jest akurat specyfika kampanii Toreka polega na tym, że trzeba znajdować te legendarne runy.
6308:  I artefakty, to konkretnie te artefakty są potrzebne do tego, żeby odblokować runę, więc będziemy musieli pójść na polowanie po artefaktach różnych w którymś momencie, ale do tego musimy mieć wreszcie zabezpieczoną sytuację tutaj na dole z Kroggarem.
6323:  Sesja ćwiczeń zaliczona.
6324:  Ale ćwiczeń mam nadzieję, że już tylko fizycznych, a nie żadnych uczelnianych, nie dajcie bogowie.
6332:  War Sphinx może działać prawie jak rywan.
6334:  Jeśli jest w ciągłym ruchu, jest nie do ruszenia dla piechoty.
6336:  Właśnie, to jest kluczowa zaleta tych Sphinxów bojowych.
6340:  Tak, absolutnie popieram.
6345:  I tutaj już zaczynamy sobie tworzyć nową armię, moi mili.
6349:  O tak.
6350:  I to będzie taka nowa armia już idealnie zrobiona.
6354:  Pod Doomstaka, którego potrzebujemy, żeby pójść na wschód.
6358:  Zachód wróć.
6359:  Na wschód to swoją drogą.
6363:  Czy mam już karnozaura?
6364:  Jeszcze nie właśnie, bo musimy iść na polowanie po artefaktach.
6371:  Generalnie tutaj dynamika tej kampanii jest o wiele wolniejsza niż w wypadku Okawiru, jest to jak zawsze, ale ja nie gram w Okawiru, bo po pierwsze nie znoszę zmian, które są na tamtej mapie, jestem bardzo przyzwyczajony do tej mapy.
6388:  Co?!
6389:  Nie rozśmieszajcie mnie.
6393:  A po drugie... Nie, chyba najbardziej mnie te zmiany na mapie denerwują.
6397:  No i jeszcze to, że połowa streamerów i tak ogarniała Okowiru, więc stwierdziłem, że już znam bardzo dobrze tę kampanię, więc stwierdziłem, że jeżeli gdzieś wyzwanie, to tutaj.
6407:  Czyli co?
6407:  No to jeżeli są częściowo zdobyte,
6415:  No tak, tutaj musimy tego ryneczku bronić, ale tak sobie myślę, że nic nam nie broni.
6421:  Zostawić sobie tutaj katapulty tak jak ostatnio.
6424:  Trochę kuszników do obrony damy też.
6430:  No damy tutaj do obrony im jakiś mały oddział.
6433:  O, na wszelki wypadek.
6434:  A całą resztę gromadzimy tutaj.
6439:  Teraz zrobimy taką prawillną obronę krasnoludziom.
6444:  Chowamy tutaj jednostki.
6448:  Raz.
6452:  Dwa.
6456:  Trzy.
6459:  Cztery.
6462:  Pięć.
6464:  I tutaj reszta kusznicy.
6471:  Tam, w tym miejscu.
6474:  Jest dobrze?
6474:  Jest dobrze, myślę.
6479:  Ja zacząłem Okowiru, bo nie lubię limitów czasowych w grach, a rytuał śmierć mi limite czasowe.
6487:  Tam jest limit czasowy, ale Okowiru jest zrobiony w taki sposób, że jak dojdziesz do tego rytuału i nie masz go ukończonego, to jest ostateczna bitwa.
6494:  Więc wystarczy mieć jedną dobrą bitwę,
6496:  Bo jedną dobrą, rozegrać jedną dobrą bitwę, albo mieć jedną dobrą armię i wtedy możesz grać w Okowirów Nieskończoność.
6502:  Tylko wystarczy cały czas, jak ktoś skończy rytuał, to musisz zmierzyć się z jego wojskami.
6507:  I to się robi automatycznie.
6508:  Teleportujesz się tam po prostu, wygrywasz bitwę, dalej jest rytuał i można robić spokojnie sobie w swoim tempie.
6515:  Oczywiście gra tego nie komunikuje na samym początku.
6520:  No, dokładnie, to widzę, że czat podobne rzeczy mówi.
6524:  Ja tu specjalnie nie trzymałem muru, bo mają te latające obrzydlistwa, a i tak wygramy.
6532:  Kawaleria szkieletów, nie, na to nie chcę nawet marnować naszych nabojów, ale na szkieletów łuczników chcemy marnować nasze naboje.
6541:  Dobra.
6549:  Let them come.
6552:  To jest najpotężniejsza kawaleria powietrzna, gnilce.
6555:  Ja drżę ze strachu za każdym razem, jak je widzę.
6558:  Niemniej jednak Vortex Campaign z podstawowymi celami to jest bardzo powtarzalna kampania.
6562:  Siłą Warhammera 2 jest Mortal Empires, ja się absolutnie zgadzam.
6565:  Ja zresztą wolę zdecydowanie sandboxowe doświadczenie niż jakiekolwiek inne.
6577:  A cóż tutaj, mamy tu zasięgu?
6578:  Dziwna sprawa.
6583:  Dobrze, zniszczyć mi te kawalerie.
6596:  Tak, tak, ewidentnie, ale to ciekawe.
6599:  Nie mają zasięgu.
6601:  Thunderers tutaj, dobra.
6603:  Poradzimy sobie.
6607:  Kusznicy mają zasięg?
6608:  Mają.
6609:  Przynajmniej tyle.
6616:  Czy FW jest tytoń?
6619:  FW?
6619:  Musisz na tym czacie rozwijać akronimy, ja mam nietolerancję... Są ludzie, którzy mają nietolerancję dla ktozy, ja mam nietolerancję dla akronimów.
6629:  Jest jakiś skrót gdzieś, to ja nie rozumiem, co czytam.
6633:  Dotyczy też takich rzeczy jak PZU.
6636:  Fu.
6637:  Obrzydliwa rzecz, PZU.
6638:  AHAHA!
6642:  Jak strzelają kuśnicy dzielnie i radośnie.
6646:  Wspaniały widok.
6650:  O, tutaj widzę, że się... Tam będą głównie łucznicy.
6653:  To jest dobra informacja dla nas.
6657:  Podprowadzimy sobie ich trochę bliżej.
6659:  Warhammer Fantasy, okej.
6661:  Witamy, witamy wszystkich przybywających, znowuż, witamy Dominikę.
6668:  Dobrze.
6669:  Stałowickę kanału zresztą.
6672:  Dobrze.
6674:  Tu są dwa oddziały szkieletów, które będziemy teraz napieprzać naszą katapultą.
6678:  Oj nie, niedobrze.
6681:  Niedobrze, niedobrze, musimy zniszczyć natychmiast tych łuczników, oni... ...młócą w naszych długobrodych, to jest niedopuszczalne.
6696:  A czemu ci łucznicy nie chcą?
6698:  Ojojoj, niedobra sytuacja.
6709:  Może pieprzniemy w nich katapulto po prostu?
6711:  Oni się tam tak ładnie gromadzą, że aż żal byłoby tego nie wykorzystać.
6716:  Czyli US Urzęd Skarbowy nie jest gorszy, to prawda, to prawda.
6722:  Skrót US jest nawet bardziej mrożący krew w żyłach niż PZU.
6728:  Dobrze, jest, jest dobrze.
6730:  Tak na marginesie, odnalazłem ten kanał jakiś tydzień temu dzięki rekomendacjom YouTube, filmy o tępieniu fantastyki, podoba się, nie zawsze się zgadzam, oglądam filmy z przyjemnością.
6737:  Cieszę się, zawsze powtarzam, że ja bardzo się cieszę, jak ci ludzie nie zgadzają, bo jest jakimś, jakąś plagą naszych czasów jest takie przekonanie, że wszyscy powinni wszystkim sobie potakiwać, że nie wolno ze sobą polemizować, a prawda jest taka, że to dopiero w ogniu polemiki hartują się poglądy.
6753:  I tak wiem, że powtarzam to za często.
6757:  Czy nasz głupitan zdąży?
6760:  Tak, żeby nie trzeba było wycofywać Thunderers.
6763:  Tak, zdąży.
6764:  Dobrze.
6769:  Nie spodziewałem się, że tutaj będzie aż tak dużo wrogów, ale damy rad.
6778:  Jeszcze mamy bardzo dużo rezerw.
6782:  Najmniej ulubiona frakcja ludzi.
6784:  No spośród tych, którymi możemy grać, no to chyba jednak... Jak się nazywa ten najwyższy kapłan Sigmara?
6799:  Volkmar the Grim.
6800:  Volkmar Ponury to jest najgorszy możliwy wódz, moim zdaniem.
6805:  Bardzo dobrze się gra Balthazarem Geltem, oczywiście.
6810:  Come on.
6811:  Bardzo dobrze się gra również Markusem Wolfhartem.
6814:  Przepraszam, Markus Wolfhart.
6816:  Duna filmowa, ja czekam na pewno.
6821:  Owoc twojego... owoc życia twojego, Jezus.
6829:  Rany boskie.
6830:  To był cudowny suchar.
6836:  Świetnie, mamy zasięg na niego.
6838:  Bardzo dobra informacja.
6841:  Strzelamy dalej z naszej małej, dzielnej katapulty.
6846:  Kto tutaj się tak długo opiera nam?
6847:  Z szkielety wojownicy?
6848:  Co za wstyd.
6850:  Witam również!
6852:  Volkmar Wegrim ma tak potężny wąs, że nie sposób się mu ułatwić.
6856:  To może być jego jedyna zaleta, fakt.
6861:  Bo jeżeli chodzi o zdolności bojowe, znaczy można w pierwszych turach dać mu biczowników, który ładnie boostuje, ale szczerze powiedziawszy dla mnie Volkmar the Grim później już tylko i wyłącznie funkcjonuje jako lord dla tych hero doomstacks, czyli doomstacków, które mają w sobie tylko i wyłącznie herosów.
6888:  Tutaj robimy małe, małe przygotowanie pod sieczkę, którą urządzimy za moment.
6896:  Wszystkim tym jednostkom, które tutaj w pub mał, myśląc, że z nami wygrają.
6901:  Nic bardziej mylnego.
6909:  Volkmar ma nowe umiejętności po najnowszym patchu.
6911:  O, to powstrzymuję swoje złośliwe sądy, bo przyznaję szczerze, że nie grałem jeszcze ludźmi po najnowszym patchu.
6918:  W ogóle najnowszy patch naprawdę dużo zmienił, więc jeżeli ktoś z was nie grał albo nie miał DLC-ków wszystkich, to jest to dobry moment, żeby zacząć.
6930:  Dobrze, i teraz czekamy cierpliwie.
6933:  Czekamy, czekamy, czekamy.
6935:  Niech tutaj wejdą.
6937:  Dobra, teraz.
6944:  świetnie wszyscy strzelać w aszmoza kimkolwiek on jest czy nasza katapulta ma tu zasięg?
6964:  niech zacznie mieć
6969:  O proszę, Marek z czatu kupił po najnowszym patchu grę.
6972:  No właśnie, to w dobry moment, rzekłbym.
6975:  Zwłaszcza, że na pewno będzie jakiś bonus dla posiadających już Warhammera Total War przy zakupie trójki.
6986:  No w DLC-ki niestety to jest ciężka sprawa, zwłaszcza największe świństwo jest takie, że do niektórych DLC-ków trzeba mieć pierwszego Warhammera też.
6993:  Czy słyszałem o ostatnich problemach z dostaniem się na uczelnie, bo listy są zapewnione ludźmi z Ukrainy ze 100% zwiniakami matury?
6999:  No słyszałem o tym, że to chyba na UAM-ie był ten problem.
7003:  Na Discordzie ktoś naszym informował o tym.
7007:  Muszę zresearchować temat, ale moja intuicja jest taka, że od lat jest plagą to, że ludzie z zagranicy są waloryzowani przez nasz system i ministerstwo jako lepszy student, to znaczy dostają więcej pieniędzy, a to z tego względu, że jest takie przekonanie, że jeżeli będziemy mieli studentów międzynarodowych, to wtedy będziemy czwarci na liście po Stanfordzie, co jest nieprawdą, ponieważ czwarci na liście po Stanfordzie uniwersytetów mamy mieć szansę tylko i wyłącznie wtedy, kiedy będziemy mieli taki sam budżet, a budżet Stanforda jest wyższy niż budżet całej polskiej nauki.
7037:  To tak w dużym skrócie.
7038:  Więc dużo ludzi niestety ma takie podejście, że instrumentalnie traktuje ludzi, studentów z zagranicy i w związku z powyższym podejrzewam, że tego rodzaju sytuacje mogą występować.
7051:  Wcale bym się w każdym razie nie zdziwił.
7054:  Oczywiście, że to jest nieuczciwe, ale to jest kolejny tylko przykład na to, że ten system jest punktowy i jest kompletnie zjebany.
7067:  Cieszę się twoimi przodkami.
7089:  Nie wiedziałem, że studenci z zagranicy też płacą za studia dzienne.
7093:  To jest bardzo dziwne.
7097:  Skończyłem historię na UAM.
7099:  Umiem, ale mało.
7100:  Oj, oj.
7100:  To przypomina mi nazwę polskiej uczelni w Krakowie z kolei, to znaczy KSW, Krakowska Szkoła Wyższa, a K kup sobie wykształcenie, jak mawiają złośliwie Krakusi.
7112:  Tak, tak.
7113:  Wiecie, co teraz zrobimy, prawda?
7116:  Wiecie.
7121:  No reason for it, but an incredible victory!
7145:  Obawiam się, że może się to nie udać tym razem.
7152:  Ale na razie się jeszcze udaje.
7156:  Uniwersytet koło samej Warszawy, a u KSW też to słyszałem, tak.
7161:  Dzwoni twój ulubiony krasnolud w ogóle?
7168:  Wódz klanu Angrund chyba najbardziej, czyli Belegar Ironhammer.
7172:  Uwielbiam go absolutnie, świetnie napisana postać.
7176:  Dobra.
7177:  Wzmocniony pancerz.
7180:  Tyle nam wystarczy.
7187:  Poszedłem zapolować na biesa, ale trzy razy mnie pokonał, to odpuściłem.
7190:  Widzę, że ogrywany jest Wiedźmin mobilnie.
7196:  Część heroesów ulubiona?
7197:  3,5.
7198:  Absolutnie.
7199:  Z uwagi na to, że jest to gra nieskończenie grywalna.
7206:  A, chodzi o wywiady, jakie organizuje Monika Jaruzelska.
7209:  Widziałem parę strasznie takie low-fi.
7215:  Znaczy, poziom snobizmu niesamowity jest tam, to trzeba przyznać.
7220:  Ale to jest coś, w czym bym się umiał odnaleźć, z tego względu, że kończyłem UJ.
7225:  Jest mi to znane.
7227:  Boże, czy ja dobrze widzę, że wreszcie możemy mieć bohaterów tutaj?
7231:  Tak, wreszcie.
7234:  Na to czekałem.
7237:  Na to czekałem i oczywiście już od razu nie miałem pieniędzy.
7243:  Ale rozmowa z Karolem Paciorkiem była dziwna, bo miałem wrażenie, znaczy to nie jest dobre jak widać, że prowadzący wywiad wywyższa się nad swojego gościa, to jest strasznie słabe.
7256:  Mam alergię na punkcie tego rodzaju rzeczy.
7261:  Wiecie co, rozegramy to manualnie.
7265:  Ulgrim Ironfist to niesamowity badass.
7267:  No, to jest prawda.
7268:  Zresztą nim się najlepiej gra, jeżeli ktoś lubi grać z zabójcami.
7276:  Ulubiony krasnolud to martwy krasnolud.
7278:  Tak, tak!
7280:  Skaven, szczur z klanu na czacie.
7283:  Jakaś opinia u Łemka?
7285:  Hmm... Hmm...
