Na wieki wieków Spaczeń 🧀 — IKIT CLAW livestream #7
🔗 https://www.youtube.com/watch?v=QrxKMNCBoWE

6:  Kevin!
5105:  Bitwa!
5106:  Walka!
5106:  Rada!
5107:  Rada radzi!
5109:  Tak!
5109:  Uwielbiam... Uwielbiam te ich odzywki.
5118:  Przepiękne jest to... Może nam się uda w którymś momencie wyekspediować Skaveny na wodę, to zobaczcie jakie dopiero śmieszne tam rzeczy mówią.
5127:  Ten sztur nie jest głupi.
5129:  Nie, nie.
5131:  Dobrze.
5134:  Serosław, Serosław jest coraz potężniejszy.
5138:  Wychodzi na to, że strasznie łatwo mu manipulować.
5141:  Tak!
5142:  Oczywiście, że tak, jak każdym.
5146:  Absolutnie tak.
5147:  Dobra.
5148:  Góra Stebrnej w Łuczni nie wiem, czy się obroni, ale cały czas nie dostajemy z patch paliwa i to dlatego, że nie walczymy dużo Ikitem.
5157:  Tylko Ikit Close dobywa z patch paliwo w dużych ilościach.
5166:  Wiem, co zrobimy.
5167:  Albo... Dobra, porzućmy to.
5169:  Czy ma sensu?
5173:  Tu mam żarcie, żarcie jest ważne.
5177:  Ja mam kota, który zabiłby dla sera.
5178:  Nie znam takiego jamnika, który by zabił dla sera.
5181:  Rada rządzi!
5182:  Rada radzi!
5183:  Rada szturów!
5186:  Nigdy nie zdradzi, spieprzyłem rytmikę.
5191:  Teraz tak pomyślałam, pisze Erin, że zmiana Grindelwalda to zgrzyt dla osób robiących szipowy filmik.
5195:  Nie będzie można użyć materiałów z trzeciej części.
5197:  To zgrzyt dla wszystkich absolutnie.
5200:  Bo jest nieuzasadnione!
5203:  Znaczy, ja wiem, że oni spaprali sobie sami praktycznie to.
5211:  Serratwit Rattenborough!
5214:  Nawet nie wiedziałem, że istnieje.
5216:  I Mata Szczurari.
5220:  Mata Szczurari jest sprytna.
5222:  Dlaczego Mata Szczurari jest tak daleko?
5227:  A już wiem.
5229:  Mata Szczurari...
5231:  idzie zakładać, i zawsze o tym zapominam, ktoś, kto będzie oglądał tę kontynuację, ryknie śmiechem.
5237:  Mata Szczurali ma zadanie założyć podmiasta w osadach Elfik, żebyśmy mogli je wysadzić w powietrze.
5248:  Wciąż czekam na okazję, by zgarnąć książkę przewodnik terenowy po świecie fantastycznym wokół nas, Artura Spiderwicka.
5253:  Wspaniała nazwa nawiasem mówiąc, ale nigdy pieniążków nie ma.
5255:  A nie ma gdzieś w jakichś źródłach podejrzanej proweniencji, takim Libgenie chociażby?
5260:  Ktoś jeszcze się musi ruszyć?
5262:  Czy już nikt?
5263:  Yyy... Nikt?
5266:  Czy możemy z kimś mieć pakt?
5268:  Tak.
5273:  W życiu.
5280:  Nie wiedziałem, że... Nie wiedziałem, pisze Magda, jak jeden zmieni aktora, czemu nie Depp.
5289:  Afera z Amber Heard.
5291:  To znaczy Amber Heard nie utraciła żadnego kontraktu, a Johnny Depp utracił wszystkie.
5297:  Mimo, że jest niewyjaśniona sprawa przemocy domowej i wciąż nie wiadomo, kto... Kto zawinił.
5313:  Bardzo dziwna bitwa.
5315:  Matwa Szczurari już chyba trzeci stream próbuje zakładać w podmiasta, w Afel Rollen.
5319:  Tak, Wewe Darwish.
5320:  Tak, zgadza się.
5323:  Zawsze to słyszę o Macie Szczurari.
5324:  Tak, tak.
5325:  Ja już jestem przyzwyczajony i wy myślicie także, że ja zapominam absolutnie wszystko.
5332:  Ratysław Gomułka?
5333:  Właśnie nawet nie wiem, gdzie jest.
5352:  Jaki soczysty przeciwnik!
5358:  Wiecie, co jest piękne?
5361:  Nie!
5362:  Dlaczego dopiero za jedną turę?
5366:  To inaczej zrobimy.
5368:  Mamy... Jaka tu jest?
5370:  100% szansa na powiedzenie zasadzki.
5373:  Skaven sprytny!
5376:  Dobrze.
5378:  Cernic de Pouce dołącza.
5381:  I jak go levelujemy?
5383:  Tak, tak, tak, tak.
5390:  Easy.
5392:  Zawsze od tej części zaczynam, odpolę na ostrzał, potem leci wersja magiczna.
5399:  I levelujemy dalej.
5405:  Czy Ser Rattenborough już jest?
5407:  Był!
5409:  Właśnie, my mamy cały czas tę samą kampanię Skavenu.
5412:  Skaveni są na tyle zajmujący, że cały czas rozgrywamy tę samą kampanię.
5418:  Uuu, wiedza, nieśmiertelny.
5420:  Serosaw Spaczyński zostanie z nami już na zawsze.
5428:  Niestety.
5432:  Jamniki!
5433:  Tak!
5434:  Zgadzam się, Sarmowento, za mało było jamników dotąd.
5438:  Prawdę mówiąc, pierwsze fantastyczne zwierzęta to był dla mnie Doctor Who w świecie H.E.
5441:  Potter.
5442:  Ekscentryczny bohater z muszką?
5443:  Jest.
5445:  Ta jego teczka większa w środku?
5446:  Jest.
5447:  W sumie?
5448:  W sumie?
5450:  Mnie się podobały fantastyczne zwierzęta, bo to był taki... Nie zrozumcie mnie źle, bo mówię bardzo schematycznie, taki...
5458:  Dorosły Potter, w tym sensie, że bohaterowie nie są już młodzi, prawda?
5467:  Chaosyci?
5468:  A co tu robią Chaosyci?
5476:  Myślę, że to daje nam ciekawe możliwości.
5482:  Bardzo, bardzo ciekawe możliwości dla szturów.
5489:  A więc...
5490:  A więc myślicie, że pomagamy.
5494:  Nie, nie pomagamy.
5496:  Chcemy po prostu więcej spożywienia.
5498:  Tak, tak.
5500:  Bardzo dobrze.
5501:  Smaczni chaosy ci, świetnie.
5503:  I zdobędziemy w tej turze zamek Temple Cove?
5506:  W tej turze.
5508:  W tej turze, dobrze, bardzo dobrze.
5513:  Pięknie!
5514:  To się nazywa upiec dwie gomułki sera na jednym ogniu.
5521:  Razz Pacino rośnie w siłę.
5523:  Świetna wiadomość.
5524:  Czy Razz Pacino... Uuu, Razz Pacino ma najlepszą... Najlepszą cechę w świecie!
5531:  Razz Pacino w nagrodę dostanie... Chełm oszusta.
5535:  Iiii...
5538:  To jest w sumie dobre, ale to jest lepsze.
5540:  I co jeszcze Rat Spaccino dostanie?
5542:  Rat Spaccino dostanie... odporność na ostrzał.
5546:  I Rat Spaccino dostanie... Skaweński Wywar.
5551:  Ale lepszy był Skalm zdecydowanie.
5553:  Czy jest Skalm?
5556:  Kto ma Skalm?
5558:  Ratowid Serogi.
5559:  Nie, to zostaje w takim razie.
5560:  Damy mu przerażającą maskę.
5563:  Świetnie.
5566:  Dobrze, jak tutaj sytuacja?
5570:  Względnie dobrze.
5572:  Uuu!
5573:  Witamy Mikołaja Marchewkę w gronie Trybutariuszy!
5577:  Wiecie, co to oznacza, wiecie, co to oznacza.
5579:  Ale żeśmy to wywołali, prośby o jamniki na czatach wcześniej.
5583:  Wiele osób narzekało, że wiek bohaterów w Fantastycznych Bestiach odejmował Feeling of Wonders Harry Pottera.
5589:  Myślę, że właśnie niekoniecznie, ale coś w tym jest, że potrzebujemy zawsze, zauważcie, postaci z zewnątrz po to, żeby w takiej klasycznej fantasy, żeby ona się zachwycała na to, popatrzcie, jakie fantasy jest to fantasy.
5602:  Ojej, ojej.
5603:  Ja właśnie tego nie lubię.
5604:  Ja lubię postrzegać świat realistycznie z perspektywy bohatera, który jest właśnie w nim zanurzony.
5610:  Jest dla mnie o wiele bardziej satysfakcjonujące.
5614:  Dobrze.
5615:  Quick, myślę, może się powoli wycofać do... Właśnie pytanie gdzie?
5622:  Na razie do Galbaras.
5624:  A Rymamut będzie zakładać osadę w Mordheim.
5631:  Tymczasem Sneaky Sneaked wędruje zniszczyć mroczne elfy tutaj.
5638:  Jak się zajamniczyło pięknie.
5641:  Tup Tup znacznie bardziej lubi Newta od Harry'ego, bo to postać, która dzięki swoim zdolnościom i inteligencji pokonywała przeciwności, a Harry to taka postać, która zawsze dostawała na tacy.
5650:  Plus jest bardzo denerwujący.
5651:  Okej.
5660:  A więc mówicie, że się nie dostaniemy tam w tej turze.
5665:  Let's agree to disagree.
5669:  Tak.
5670:  Nie byłoby kampanii Skavenów bez serowych mechanik.
5675:  Jeżeli wam brakowało zatem sera, to proszę uprzejmie.
5678:  Dla tych, którzy mają wielkie what the fuck w tym momencie.
5683:  Zasięg ruchu 100%.
5684:  Dzięki temu małemu, cudnemu, serowemu exploicikowi.
5690:  Dzięki temu też w tej turze będziemy walczyć ze wszystkimi, jeżeli dobrze pójdzie.
5695:  O tak!
5697:  No Eddie Redmayne jest cudowny w roli.
5700:  Cudowny w roli Newta, absolutnie.
5706:  Tu jest... Tinker, Tinker!
5708:  Tu jest to trudne, niestety, jak zawsze w górach.
5712:  Trzeba bardzo uważać, żeby pikselik po pikseliku iść.
5717:  Przy okazji będziemy słuchać wszystkich wypowiedzi Quicka.
5720:  Nie Quicka, tylko Ikita, cóż ja mówię.
5728:  Podróż teraz, teraz!
5732:  To powinno być motto biura podróży.
5734:  Podróż teraz, teraz!
5737:  Biuro podróży Ikitklo i szczurowie.
5742:  Niestety, bardzo zła informacja, kończy nam się zasięg ruchu naszego bohatera.
5748:  Skampa, skampa!
5758:  Jesteśmy prawie na miejscu.
5761:  Kiedy mordownia?
5762:  Sobota.
5765:  Jak oglądam YouTube, to nikt kampanii Vortexa nie gra, bo jest najbardziej irytująca, bo jest najmniej interesująca i najmniej ciekawa.
5774:  Myślę, że głównie z tego powodu.
5777:  Ale tak się składa, że myśmy akurat kampanię Vortexa parę razy mieli.
5781:  Aha!
5782:  Ja zwykle odpalam je wtedy,
5788:  Tak.
5790:  Myślicie, że to się skończyło?
5791:  Nie, nie skończyło się.
5793:  Odpala mnie zwykle wtedy, kiedy prezentuję jakąś nową rasę, bo wtedy zazwyczaj jest tak, że jest lepiej przygotowana warstwa fabularna w kampanii Vortex, a w kampanii Mortal Empires czy Imperia Śmieletelnych, ta, którą rozgrywamy, jest raczej doświadczenie sandboxowe, które widać trochę na mapie, prawda?
5812:  Tu chodzi o podbój głównie.
5815:  Jak tam serowarstwo?
5816:  W bardzo dobrym momencie przychodzisz, Bartku.
5819:  Powiedziałbym nawet, że w rewelacyjnym momencie.
5823:  Usiłujemy przejść przez ten przesmyk, gdzie krasnoludy zawsze się tutaj przeteleportowują w irytujący sposób.
5834:  I osobiście uważam, że jest to kompletny kretynizm, bo to jest wąwóz.
5839:  Dobra, nie jest to wąwóz, ale takie, powiedzmy, żleby, zejście do przełęczy.
5848:  Prawie, prawie!
5851:  Prawie, prawie!
5852:  Dobrze.
5853:  Bardzo dobrze.
5857:  Dlatego mamy dużo bohaterów.
5860:  Dlatego mamy bardzo dużo bohaterów.
5865:  Uuu.
5872:  Tak, dotrzemy!
5873:  Dobrze.
5875:  Co to jest za szczurowa podróż?
5877:  A propos w ogóle szczurów, jest taka powieść, której nikt nie zna.
5880:  Myszy z Deptford.
5881:  Znana na czata?
5884:  Czy żeby mieć pełne doświadczenie, to trzeba kupić Warhammera 1 i wszystkie dodatki, Warhammera 2 i wszystkie dodatki?
5889:  Nie, no nie wszystkie, ale na pewno Warhammer 2 i dodatek ten, który sprawia, że z cavernami się da grać, czyli The Prophet and the Warlock, jeśli mnie pamięć nie myli, ten, który wprowadza właśnie Iki Taklo, to jest obowiązek, bo jeżeli zagrasz z cavernami w wersji podstawowej, to nie będziesz mieć połowy jednostek, które my tutaj mamy, incydentalnie tych, które są najbardziej istotne.
5910:  Tylko będziesz się męczył piechociarzami i procarzami, a jeżeli potrzebujecie widzieć, jak się gra anime, no to w oblężeniach to widzicie.
5920:  Tak, na miejscu!
5922:  Jesteśmy na miejscu, jak miło.
5929:  Teraz najważniejsze.
5931:  Uzupełnimy sobie jednostki, ale przede wszystkim...
5942:  W przypadku krasnoludów zawsze w ten sposób walczę, bo są niewysłowienie potężni na tym etapie.
5951:  Dobra, czy ktoś jest jeszcze do wyeliminowania?
5953:  Tutaj tak, Mroczne Elfy, czyli Iki tutaj zostanie na jakiś czas.
5959:  Bohaterowie niech się tutaj pofatygują, natomiast tu potrzebujemy kogoś.
5965:  Tu kogoś potrzebujemy, wiecie, i to kogoś potężnego.
5968:  Będzie to Wataszka Bak-Bak, któremu zmieniam imię na... Niech, niech, niech zobaczę na ten wątek z imionami.
5979:  Niech zobaczę na ten wątek z imionami.
5980:  Był jakiś, który mi się kojarzył... Szczuart Malutki!
5987:  Szczuart malutki.
5990:  Szczuart malutki będzie na przeraźliwym pomiocie pomykał, tak właśnie.
5995:  Pytanie, czy przeraźliwy pomiot jest lepszy.
6000:  Absolutnie tak.
6001:  I dostaje wszystkie boosty do walki.
6006:  Będzie kompletnie nielogiczne, ale za to skuteczne.
6010:  I teraz tak.
6011:  Co rekrutujemy Szczuartowi?
6014:  Na pewno dostanie katapulty w liczbie sztuk pięciu.
6017:  Zobaczymy, jak z resztą.
6019:  Resztę możemy najwyżej przywołać z regimentów, ponieważ mam poczucie, że tutaj ktoś nas zaatakuje i bardzo bym nie chciał utracić tej prowincji po raz kolejny, bo widzicie, jaka to jest męka, żeby ją utrzymać.
6031:  Nadałem czaty.
6034:  Czy oglądałem?
6035:  Chciałem zjeść twoją trzustkę.
6036:  Nie, nie widziałem tego.
6049:  Głupie pytanie.
6049:  Czy jeśli ktoś z grasy CRP-gową Warhammera zaczyna z skawenem, to na początku expi na szczurach, czy bije innych skawenów?
6057:  Bije innych skawenów.
6058:  Skaweni zawsze biją innych skawenów.
6060:  To jest potwierdzone lore'owo.
6063:  Dobrze, jak tam nasi inni?
6065:  Quick.
6067:  Quick się regeneruje.
6068:  Serwatka.
6071:  Suszy się na pustyni.
6074:  Na wypadek, gdyby mumie chciały przeciwko nam wystąpić, a to jest bardzo możliwe.
6082:  Ciężkie, wszystko takie drogie, drogie.
6089:  Kinga napisała cały wstęp do wypracowania i zrobiła plany na rzeczy i wykłady.
6092:  I stwierdziłam, że strumyk lepiej czynić cokolwiek.
6094:  Cóż za wspaniała wiadomość i gratulacje, że się uporałaś z tym nudnym zadaniem.
6099:  Dobrze.
6102:  Śmierdzący Lord Skrull się zasadza w zasadce.
6105:  Serosław niechże... A niechże się zasadzi w zasadce, co tam, co tam.
6112:  Mata Szczurari.
6114:  Mata Szczurali podąża dalej.
6116:  Myślę, że Ser Radfit Rattenborough może uszkodzić tę armię.
6122:  Brawo.
6124:  Brawo, Ser Radfit.
6126:  Jesteś niesamowity.
6128:  Absolutnie nic to nie dało.
6132:  Tak.
6133:  Mury.
6135:  2200.
6135:  Nie.
6137:  Mury najważniejsze.
6139:  Lecimy dalej.
6141:  Mam wadę, że okuta.
6142:  ale niewielką.
6143:  Znaczy, ja zawsze nie mogłem patrzeć w dal, to znaczy nic nie widzę w dal, a w bliż widzę świetnie.
6152:  Więc póki nie przeszkadza mi to w grach wideo, to nie jestem zasmucony w żadnym stopniu.
6156:  Jak zacznie mi to przeszkadzać w grach wideo, to wtedy się zmartwię, a na razie nie.
6162:  Co ciekawe, wada wzroku mi się zrobiła przed tym, jak miałem komputer, to jest bardzo zabawne.
6171:  O, która fala chaosu?
6172:  Chyba właśnie teraz jest początek jakoś?
6183:  Świetnie!
6187:  Rycerze Graala, strażnicy Graala, królewscy rycerze na przeplegazach.
6191:  Tyle w temacie.
6199:  To była dobra decyzja.
6200:  Więcej Rycerzy Greala, ale stracimy, czyli nie chcemy stracić absolutnie.
6210:  A oczywiście, że komputer niszczy wzrok, tak, naturalnie.
6213:  Chyba, że na przykład siedzicie przed monitorem i osiem godzin w Excelu, to wtedy nie.
6219:  Czy są bohaterowie samicy Skarvenów?
6221:  Mata szczurari!
6227:  Czy zamierzam obejrzeć Psie Pasury z Benedictem Cumberbatchem?
6230:  Chyba wszystkie rzeczy oglądałem z Benedictem Cumberbatchem, a nie tę!
6235:  Dostaliśmy najgorszą możliwą mapę do walki z Bretonią.
6238:  No, autentycznie najgorszą możliwą.
6240:  A może nie?
6242:  Uuu!
6244:  Zaraz, zaraz, zaraz, zaraz.
6245:  Tu jest takie wzniesienie.
6249:  No okej, powiedzmy, że jest dobrze.
6257:  Prawda jest taka, że to jest losowe.
6261:  Ale myślę, że jeżeli będziemy w tym miejscu dosłownie, to powinniśmy mieć niezaburzone pole widzenia.
6273:  Okej.
6276:  Jedno jest pewne.
6278:  Będziemy obficie wykorzystywać bohaterów.
6286:  Pro tip, ustawcie od razu katapulty w drugą stronę, jeżeli wiecie, że będziecie się wycofywać.
6291:  My będziemy.
6294:  A w ogóle na taki tekst, że komputery psują wzrok, zawsze polecam anegdotkę o Johannie Sebastianie Bachu, który stracił wzrok czytając książki.
6306:  Przy świeczce.
6310:  Wcale nie jest tak, że po prostu na wzrok szkodzi konkretny kontrast, że trzeba mieć dobrze to dopasowane... Nie, wcale nie o to chodzi.
6322:  Kawaleria bardzo jest blisko.
6327:  To jest ten moment, w którym przywołujemy szczury.
6331:  Trzeba maksymalnie opóźnić kawalerię.
6339:  Tak, tak, atakujcie!
6340:  Atakujcie tych groźnych wrogów tutaj!
6343:  Nie przejmujcie się naszą armią!
6345:  Nie, nie, nie!
6346:  Nie, nie!
6350:  I tymczasem... Spacz różnice już napieprzają.
6364:  O, tak!
6366:  Dobrze, dobrze, dużo szczurów!
6373:  Okej, tu jeszcze mam magiczny przewodnik.
6377:  Ta głupia konnica nie wie jak walczyć!
6382:  Oj, oj, oj!
6383:  Tak, tak!
6384:  Tak!
6386:  Tak!
6387:  Bum, bum!
6391:  Bum, bum!
6394:  Dobrze!
6396:  Dobre szczury.
6397:  Pięknie.
6405:  Absolutna podstawa zasypywać ich, ale to zasypywać niewyobrażalną liczbą jednostek.
6415:  Okej, tu się przygotujmy.
6438:  Ooo, dobrze, dobrze!
6440:  Bardzo dobrze, tak, tak!
6445:  Potęga Bretonii.
6452:  Hahaha, tak!
6457:  To tak!
6458:  To jest linia nie Majinota, tylko Szczuromiota.
6471:  Jest kompletny chaos to, co tu się dzieje, ale to dobrze.
6480:  Dobrze, ta konnica wymaga wyczyszczenia.
6483:  O właśnie, to jest to, co mówiłem, że czasem nie ma zasięgu, mimo że wydaje nam się, że jest zasięg.
6496:  Dobra.
6513:  Mam lepszą wadę wzroku, pisze Polpoliko.
6515:  Na starość się będzie poprawiać.
6517:  Będę widział gorzej z bliska, lepiej z daleka.
6520:  To nie dobrze, że będę widział gorzej z bliska, bo komputer, komputer ważny.
6526:  Nie ma to jak rozpętać Wietnam Brytończykom.
6529:  Wspaniała sprawa.
6535:  To była bitwa pod Arden.
6539:  Dobra.
6541:  Jak tam nasze zdrówko?
6542:  Bohaterowie tylko troszeczkę ucierpieli, ale poza tym git.
6551:  Parafrazując jedno z poznanych Percivala, lecz nim dojrzeli w polu skawena, konnica w bombę wlazła.
6555:  Trochę tak jest.
6557:  Trochę tak jest.
6559:  Oczywiście, że komputer to zawsze wyjaśni brak personelu i całe istniejące w świecie zło.
6564:  Ja uważam, że to jest kwestia technofobii, no naprawdę.
6567:  W większości przypadków ludzie, którzy twierdzą takie rzeczy, jedyne co potrafią zrobić w komputerze to otworzyć Worda, ewentualnie zadzwonić do wnuczka lub syna z pytaniem, ale jak to zrobić?
6588:  Czy miałem styczność z Starego Diablo?
6589:  Pyta Dawid Rydzewski.
6590:  Ba!
6591:  Nie jest tylko styczność, jestem ogromnym fanem.
6593:  Bardzo czekam na Diablo 3, wróć, 4 i czekam tym intensywniej, im bardziej przekładają premierę, bo to akurat ostatnio chyba jest w przypadku Blizzarda dobry omen, takie mam przynajmniej wrażenie.
6607:  Kiedyś to była gwarancja tego, że firma pracuje dobrze i intensywnie nad jakimś tytułem, już teraz tak dobrze nie ma.
6614:  I z tego, co widziałem materiały o Diablo 4, przedstawia się to dobrze.
6617:  W Diablo 3 miałem coś 900 paragonów wbitych, tak mi się wydaje w każdym razie.
6628:  Nie mamy tu murów.
6630:  Tragedia.
6634:  Najgorsza, najgorsza osada Kraina Zgromadzeń.
6636:  To jest jedna prowincja, jedna osada w prowincji, niezależnie od tego, kim gram, zawsze ją tracę.
6641:  Czy polecam serię Mass Effect?
6643:  Tak, chociaż miej świadomość tego, że ona się bardzo zestarzała i doświadczenie oglądania tego na streamie jest o wiele lepsze niż grania, moim zdaniem.
6655:  Więc tak, polecam serię, ale nie mogę się pytać nad Andromedy, bo nie grałem.
6663:  Face-out komentarzy na YouTubie, na apce tabletowej, na iPadzie trzeba kilka klikać, żeby w ogóle je przeglądać, wysiada się tylko jeden komentarz.
6669:  Ja w ogóle z komentarzeniem mam ten problem, że bardzo często widzę na przykład, że ktoś dodał komentarz i on jest niedostępny i nie mogę go wyświetlić.
6678:  Ja nie banuję komentarzy, więc nie jest to moja ingerencja, więc musi być to albo YouTube, który na przykład nie lubi linków bardzo,
6686:  Albo czasem też mi się zdarza, że, i to jest autentyk, ja nie mam żadnego filtru wulgaryzmów, bo znacie moje podejście do słów, używam ich wszystkich, natomiast YouTube bardzo często przekierowuje komentarze, z których miałem, nie miałem żadnego problemu, do poczekalni, mimo że ja nie mam ustawionego żadnego filtru wulgaryzmów na przykład.
6704:  A czasem się nawet nie zdarza tak, że tam jest jakikolwiek wulgaryzm.
6708:  To jest jakiś kompletny absurd.
6710:  Rat Spaccino.
6711:  Ten osobnik pozostaje wierny.
6714:  O, tak, tak.
6715:  Może, może, chyba zbyt lojalny.
6718:  Pewnie coś knuje, kombinuje.
6720:  To jedyna odpowiedź, ale co należy zrobić?
6721:  Jak zarazić?
6722:  Zagwarantuj lojalność!
6723:  Wyłup oko!
6725:  Obiecaj tabakę ze spaczeniem.
6727:  Zabij podwładnego!
6728:  Albo odór władcy.
6729:  Nie!
6730:  Oczywiście, że obiecamy tabakę ze spaczeniem.
6736:  Dzieją się straszne rzeczy.
6739:  Siej rozkład.
6740:  Oczywiście, że siej rozkład, ale... Bardziej potrzebujemy opresyjnych planów.
6748:  Tylko sobie Inscription?
6749:  Nie znam.
6752:  Szymon się absolutnie nie zgadza, bo po raz pierwszy dwa lata temu Mass Effect'y były jedną z najlepszych serii gier.
6755:  A tu widzicie, to moje zdanie, nie?
6757:  Ja wróciłem do Mass Effect'ów i moje doświadczenie powrotu do Mass Effect'ów było zupełnie o wiele, wiele gorsze od grania w nie po raz pierwszy tamtych x lat temu.
6767:  Głównie dlatego, że bardzo się zestarzała mapa.
6770:  Ja nie jestem w stanie za jej pośrednictwem nawigować.
6779:  Mówmy się, Andromeda nie istnieje, to nasza wyobraźnia.
6782:  No Andromeda nie ma dobrej prasy wśród graczy, to trzeba powiedzieć wprost.
6786:  Czy Rat Spaccino... Co za pytanie.
6791:  Szybka zemsta.
6792:  To będzie księga.
6792:  Będzie działać, a potem umrzeć.
6797:  No i dobrze, teraz tak, potrzebujemy tutaj szczura kolonizatora numer 2.
6802:  Szczur kolonizator niech będzie przy okazji.
6805:  Spryt, wytrwałość, nie, beznadzieja.
6808:  Wiedza, wiedza, tu nas interesuje wiedza w tej sekcji.
6812:  Więc bierzemy wataszkę, bo wataszka może być byle jaki.
6817:  Dajemy mu żarłoczną ekspansję i tyle.
6819:  Ma jeden cel, skolonizować.
6822:  I mówiąc o kolonizacji, wiecie co robimy z Mordheim.
6826:  Bierzemy.
6828:  Dla nas!
6829:  Dla nas, tak, tak!
6832:  Polecam do kolonizacji oczywiście bez armii, bo wtedy tracicie całą armię na rzecz miasta, co ma średni sens.
6840:  Tak, tak, tak, tak i tak.
6848:  YouTube nie lubi linków, ale wiecie, co jest najzabawniejsze?
6851:  Ja mam zaznaczoną opcję, zezwalaj na zamieszczanie linków, a YouTube i tak face outuje komentarze.
6857:  Nie jestem w stanie tego zrozumieć.
6859:  Danganrope?
6859:  A co to jest Pale Arcing?
6861:  Co to jest za gra?
6862:  Bo nie kojarzę.
6863:  Najgorzej mi Gomez'a pisze jest na Twitchu.
6865:  Jak napisałem o tym, że biała bluza Avizo mi coś przypomina i wspomniałem o tym w Kapturze, to poszło do moderacji, już nie wróciło.
6870:  Co więcej...
6872:  Twitch jest o tyle groźny, że jeżeli tam dopatrzą się te magiczne algorytmy na przykład czegoś, co na YouTube się wiele razy dzieje, to znaczy naruszenia praw autorskich, przepraszam, naruszenia praw autorskich przez recenzję, która cytuje materiał, to na Twitchu trzy razy i kanał idzie do kasacji.
6892:  Nie ma żadnej apelacji.
6894:  Nie można odwołać się od tej decyzji.
6897:  Nie ma żadnego procesu.
6899:  Na YouTube jest cały formularz, który jest całkiem sensownie skonstruowany i procedura trwa 24 godziny w tym momencie.
6923:  Gdzież można gryźć?
6928:  Szacując o śpiewanych reklamach wszelkich medykamentów, nienawidzę śpiewanych reklam.
6932:  Uważam, że powinny zostać zlikwidowane.
6936:  Jest to choroba tocząca naszą cywilizację.
6940:  Powiedzcie mi, z jakiego powodu ktoś wymyśla w którymś momencie, że zamiast sformułowania kup pan cegłę, musi być bruk beks, bruk breks, twój dobry sąsiad, kup naszą cegłę.
6953:  Tak, tak, wiem, że i tak legendarną reklamą pozostaje cegła, cegła, cegła, cegła.
6957:  Fajna rzecz.
6958:  Swinarza i ferba.
6960:  Niemniej, to jest jakiś fenomen z tymi wspieranymi reklamami.
6963:  Natomiast najgorsza reklama ever, bo to jest wątek, który sobie przypomniałem, która sprawia, że jestem tyle od zrobienia na ten temat shorta i możliwe, żebym to zrobił, gdyby nie fakt, że ta reklama trwa 10 pieprzonych minut, jest reklama Multikina.
6978:  Siedzę sobie w Multikinie i nagle widzę, że ludzie chodzą sobie, wiecie, szmartfony, chodzą ulicami, klikają w szmartfony.
6992:  Klik, klik, pac, pac, klikają.
6995:  I wszyscy tłumy chodzą.
6997:  I tam notyfikacje się pojawiają na ekranie, że oni w tych szmartfonach siedzą.
7002:  No i wchodzi człowiek i narrator takim funebrycznym głosem z ofu pozakadrowym mówi, że tak, teraz znajdź czas na film, żeby obejrzeć film.
7015:  Ale nie tak!
7016:  I pokazuje kogoś sobie oglądającą na smartfonie.
7019:  I nie tak!
7020:  Pokazuje kogoś oglądającemu na laptopie, gdzie mu się kółko buforowania cały czas kręci.
7025:  I nie tak!
7026:  Pokazuje jak ktoś sobie z tabletem idzie i równocześnie gotuje.
7029:  Nie rób tak!
7031:  Tak nie wolno!
7033:  Tylko w dobrym fotelu VIP Multikina będziesz mógł doistrzeć piękno sztuki filmowej!
7044:  Nie!
7044:  Nie w inny sposób!
7046:  Porzuć te urządzenia przenośne!
7049:  Parweniuszu!
7051:  I wydaj sześć tych zamiast tych ośmiu na Netflixa i przyjdź do nas i wydaj jeszcze następne sześć na popcorn.
7058:  I wydaj jeszcze następne sześć na M&M'sy, które kosztują w sklepie 5,30.
7063:  Tak, doświadczaj sztuki filmowej!
7067:  Później, jakby jeszcze było mało, pięć ostatnich filmów tej reklamy, to jest jakiś kompletny gość bez spodni w ogóle wychodzi na ulicę, znowu klika w tym smartfonie i w którymś momencie jest takie... Giną wszystkie, wszystkie, wszystkie notyfikacje.
7087:  I narrator, jak już żenadometr wyjebuje na orbitę, narrator wtedy mówi...
7099:  Ja mam wtedy okazję wrzasnąć w kinie.
7100:  KURWA NIE!
7102:  NIE JEST PRZYJEMNIE!
7103:  DAJCIE MI ŚWIĘTY SPOKÓJ Z TĄ REKLAMĄ OGŁĘŻYĆ FILM!
7106:  TO JEST KRYTYNIZM!
7107:  Jak można robić tego rodzaju reklamę w kinie, jeżeli chce się zachęcić do chodzenia do kina?
7111:  To mnie zniechęca do chodzenia do kina.
7114:  Nie można zrobić tak jak IMAX z Infinite Worlds, że macie trailer piękny, który pokazuje wam inne światy, jest powiedziane, że na naszej planie jest nieskończenie wielu różnych światów, chcemy sobie w nich zamieszkać.
7124:  O, chodź do IMAX-a!
7125:  KONIEC!
7126:  Tyle w temacie, to jest okej, a nie tego rodzaju durna reklama, która jeszcze jest w dodatku wbrew wszelkiej logice, bo nie zachęca na chodzenie do kina.
