Organki szatkują organy — THOREK IRONBROW livestream #3 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=3Z1ESWSjGbE

2:  Kazukan Kazakit!
2296:  To jest absolutnie i bezwzględnie konieczne.
2300:  Tu się fortyfikujemy.
2304:  I budujemy refektarz.
2307:  Jakkolwiek to brzmi, oberża.
2309:  Refektarze znajdują się zazwyczaj na niższych poziomach, by żaden wojownik nie miał nigdy zbyt daleko do piwa.
2316:  Czy poza Warhammerem grałem w Total Wary?
2318:  Nie, Warhammer to jest mój ulubiony Total War.
2324:  Dobra.
2328:  O, strategia w klimacie Star Warsów.
2331:  No, gdyby tylko wyszła taka, która by mnie zadowoliła, to byłoby cudownie.
2335:  Ostatnia wspaniała strategia Star Warsowa to było Empire at War.
2339:  Och, jak to się grało.
2343:  Potrzeba piwa.
2345:  Potrzeba piwa jest bardzo ważna w tej piramidzie potrzeb, jaką mamy.
2350:  Mniej więcej w okolicach Wi-Fi.
2362:  Dobrze, dyscyplina jest nam potrzebniejsza bardziej w tym momencie.
2369:  Dobrze, teotikła jest mniej więcej chroniona.
2372:  Jak wygląda tutaj sytuacja?
2374:  Przeklęta dżungla, potrzebujemy tutaj murów, absolutnie.
2378:  I teraz musimy się rozprawić z Court of Liberas.
2381:  Once and for all!
2383:  I przy okazji podbijemy Lamie.
2384:  Jak jest w Lami?
2386:  Dobrze, nie ma wojsk w Lami.
2387:  Świetnie.
2389:  Grimgor chyba jest związany walką na północy, przynajmniej na razie, albo z klanem Eshin na wschodzie.
2399:  Skarbiec jest pusty.
2401:  Czy warto tykać książki Jerzego Bralczyka?
2403:  Jeśli się lubi językoznawstwo, to można, ale ja mam problem z językoznawcami, którzy mówią o poprawnym mówieniu i o normatywizmie językowym.
2415:  Choć Bralczyk akurat z nich jest najsensowniejszy.
2418:  Z doświadczenia innych Total War'ów mogę stwierdzić, że w formacji to już sztywno, a jak się w ich jakiś kształt ustawi, to już nie bardzo.
2424:  Okej, rozumiem.
2430:  Nie będzie żadnej szlachetnej porażki, moi drodzy.
2437:  Jeżeli chodzi o krasnoludy chaosu, o których mówicie na czacie, to jest bardzo możliwe, że zostaną dodane.
2442:  Ja miałem taką teorię, że jako pre-order incentive, ale wszystko wskazuje na to, że jednak nie.
2448:  Przez te streamy głównie patrzymy na te fortece, w związku z powyższym ja już zdążyłem opanować to, w jaki sposób tutaj należy się rozstawić z wojskiem.
2458:  Otóż należy przede wszystkim ogarnąć te dziwne... ten dziwny teren.
2470:  Okej.
2472:  Trzy.
2474:  Tutaj jeden oddział myślę wystarczy do zabezpieczania.
2481:  Tu oddział kuszników.
2484:  Tu drugi oddział kuszników.
2487:  Tu trzeci oddział kuszników.
2489:  I tu czwarty oddział kuszników.
2493:  A katapulty tu.
2496:  Dobrze.
2496:  Thane.
2511:  Tutaj nie powinien mieć zasięgu, no najniebezpieczniejsza rzecz jaką mają, to znaczy działo ogniowe.
2516:  Działo ogniowe musimy natychmiast zniszczyć.
2520:  Jak?
2520:  Jeszcze nie wiem.
2526:  I długo brodzi do obstawiania wież.
2529:  Gdzie jest działo ogniowe?
2530:  Tu jest działo ogniowe, czyli zasięg ma ta wieża, więc ona jest ważna.
2537:  Dwie wieże tylko mają zasięg.
2538:  Niedobrze.
2542:  Hmm.
2543:  W sumie... Weźmy jeszcze jeden oddział.
2547:  Niech obstawia te wieże.
2548:  To pytaliście się o sterowanie prawą myszą i w ten sposób rozszerzamy formację.
2554:  Ja na początku, jak grałem w Warhammera Total War, to ustawiałem jednostki takie i potem się dziwiłem, że nie mogę obstawić jeszcze rynku.
2562:  Okej.
2565:  Jak rozstawić artylerię, kiedy broni się za murami?
2567:  Moim zdaniem właśnie tutaj.
2569:  Najdalej, jak jesteś w stanie i przewidujesz, gdzie oni się wedrą.
2575:  Tak, żeby artyleria miała najlepszy zasięg, co mi mówi, że w sumie jeszcze możemy ją troszeczkę do tyłu dać.
2581:  Generalnie artyleria nie będzie strzelać za mury, tylko przed mury.
2586:  Od naszej strony.
2588:  Czy grałem w The Elder Scrolls Online?
2589:  Tak, mam tam jakieś 200 godzin.
2592:  Profesor Bralczyk to coraz częstszy typ naukowca celebryty.
2594:  Nie jest to negatywne same w sobie, po prostu warto szukać książek mniej popularnych naukowców.
2598:  To prawda, znaczy jest popularyzatorem, tak.
2604:  Ale wciąż jest jednym z typów naukowców, którzy wykładają z wykorzystaniem kartki.
2612:  To jest coś, do czego mam alergię.
2614:  Na co mam alergię?
2616:  Tu!
2617:  Tu strzelajcie, głupie, pijane krasnoludy!
2620:  Macie strzelać w piekielne działo!
2622:  I w... yyyy... Wojowników chaosu, tak, bo są dla nas najniebezpieczniejsi.
2628:  Tu w zasadzie obojętne, w co strzelamy, ale niech będą to wojownicy chaosu również.
2634:  Ogary chaosu, tak.
2636:  Iii... Pomiot chaosu jest niebezpieczny.
2642:  Dobra.
2644:  Tak grany był Kingdom Come, ale bez dodatków.
2648:  Co wy z tym wywiadem z Olgą Tokarczuk?
2650:  Przecież, po pierwsze, Olga Tokarczuk nie przyjechała bez zaproszenia, to raz.
2654:  Dwa, ja się kompletnie nie znam na jej twórczości, a musiałbym wtedy ją sobie przypomnieć.
2661:  Ja nie jestem zwolennikiem takiego grillowania, bo to nic nie da, wiecie?
2664:  To znaczy, to da tylko i wyłącznie to, że
2668:  przekona przekonanych i nie przekona nieprzekonanych.
2671:  To znaczy ludzie, którzy ją uwielbiają i uważają, że ja bredzę, w dalszym ciągu będą ją uwielbiać i uważać, że ja bredzę.
2677:  Nawet jeżeli ja bym w mistrzowski sposób zwyciężył z nią w jakimś pojedynku retorycznym, to po pierwsze, a po drugie i tak by do tego nie doszło, bo wierzcie mi, to nie są ludzie, którzy grają fair, przyjmują zaproszenia i tak dalej, tylko agenci decydują o tym już na tym etapie.
2692:  Jak ktoś jest tak znanym pisarzem
2700:  Dzięki, Bartku, za pozdrowienia.
2702:  Godzin w Warhammerze 2300-400, coś takiego.
2706:  Dobra, działo już jest powoli, powoli niszczone.
2710:  Bardzo dobra wiadomość, bardzo dobra.
2713:  O, i widzicie?
2714:  Tutaj nasza katapulta w tym momencie strzela na mur, dokładnie w tym miejscu, w którym wychodzą z wieży wybrańcy, czyli Chosen.
2724:  Podobno jedna z najlepszych jednostek chaosu.
2731:  Podobno.
2734:  Dobra, tu potrzebujemy jakiejś większej linii.
2738:  Bo ja już widzę oczyma wyobraźni, jak oni się tutaj wdzierają.
2742:  Więc na wszelki wypadek... A, tu są dwa oddziały Longbeats.
2747:  Dobrze, to jest idealnie.
2748:  To jeszcze tutaj na wszelki wypadek.
2752:  Okej.
2760:  Ktoś prócz loży literaturoznawczej lubi Tokarczuk.
2763:  Dużo jest takich ludzi, którzy czytają książki dlatego, że dostaje ona nagrodę Nike.
2768:  No i jeżeli ktoś na przykład nie czyta wiele i przeczyta Tokarczuk, to może ją lubić.
2774:  Ja to umiem zrozumieć.
2777:  Oni nawet nie są w stanie dotrzeć do nas, trolle chaosu.
2781:  Przypominam, że nie dawano nam żadnych szans.
2783:  Teraz potężnie kichnę.
2793:  Jak tam sytuacja tutaj?
2796:  Tu giną bardzo dobrze, tu Longbeats się jeszcze utrzymują.
2801:  Tu walczymy, w porządku.
2805:  No tak, tak, tak, no i poloniści, nauczyciele polskiego oczywiście też będą robić dobrą minę do złej gry i twierdzić, że uwielbiają Tokarczuk, chociaż doświadczenie mi mówi, że bardzo często jest właśnie tak, że tylko tak mówią.
2818:  a sami czytają co innego.
2820:  O tak, Rycerze Chaosu strzelamy, absolutnie.
2825:  Cóż za piękny widok.
2828:  Daui grzmiący ze swoich wspaniałych pukawek.
2831:  No i zobaczcie, w tym momencie nasz... nasz garnizon jest już tak awansowany, że za moment będziemy te bitwy rozstrzygać automatycznie bez żadnego problemu.
2842:  Oczywiście jest tu pewne ryzyko, no bo w którymś momencie twierdza może upaść, ale...
2848:  Nie przy buntach chaosu.
2850:  Najniebezpieczniejsze bunty, jakie są, są wtedy, kiedy nie ma murów.
2854:  I kiedy jest inny layout niż twierdza krasnoludzia.
2858:  Dziękuję za życzenie na zdrowie.
2861:  U mnie w klasie nawet jedna osoba nieironicznie to karczuk lubiła.
2864:  No dokładnie.
2865:  Słuchajcie, póki ktoś kogoś lubi, a nie snobuje się na tym, to jest wszystko okej.
2870:  Gorzej właśnie, i to jest coś, co ja tępię, jak ludzie się snobują na jakiejś literaturze, potem wyniośle z nosową nutą mówią, no, co ty się znasz na tym, jak ty nie czytałeś biegun?
2883:  No nie, to ja na taki dyskurs jestem bardzo uczulony.
2888:  Tak bardzo, że kichałbym nawet do nioślej.
2894:  Donośniej.
2895:  Donioślej to też.
2901:  Gość się nazywa... w bardzo dziwny sposób.
2905:  Kuchar Zuriteller.
2909:  Niezależnie od tego, jak się nazywa jednak, zginie.
2916:  Świętowanie zwycięstw kuflem piwa jest fantastycznym pomysłem.
2921:  Muszę kupić piwo.
2925:  To jest tak, jak Napoleona spytali kiedyś, że jest problem straszny, bo... Ojejejej, niedobrze, niedobrze, niedobrze.
2935:  Bo nie mogą świętować jego przybycia strzałem z armaty.
2939:  Napoleon powiedział, no ale dlaczego nie możecie?
2943:  Ze stu powodów co najmniej.
2944:  Po pierwsze, nie mamy armat.
2945:  Dobrze wystarczy!
2947:  No więc to było na tej samej zasadzie.
2955:  Myślę, że możemy przekierować ten oddział strzelców tutaj też.
2961:  Oho.
2962:  Flanka, jak zawsze.
2966:  Mnie ciekawi, czy Demony Chaosu będą jako cztery różne frakcje, czy jako jedna frakcja czterech dowódców oraz ile frakcji doda trójka?
2971:  Bo dwójka dodała ich sześć, siedem, licząc frakcja najemników.
2975:  Ja myślę, że każdy Bóg Chaosu to będzie osobna frakcja.
2979:  Widzieliśmy na pewno oddziały Korna, nie?
2981:  Na pierwszych prezentacjach.
2984:  Poza tym końcówka kampanii Zwierzoludzi z dodatku daje pewne wyobrażenie na temat tego, jak oni mogą to zrobić.
2994:  Nie chcę spoilować.
2998:  Ja w swoim czasie rozgrywałem sobie kampanię Zwierzoludzi.
3001:  Nie jest godna tego, żeby pokazać ją na streamie w całości.
3005:  Nie jest to nic jakiegoś przesadnie wybitnego, ale grało się dobrze.
3011:  Więc wczorajszy odcinek o Beastmenach będzie zarazem ostatni, ale potraktowałem go jako prezentację frakcji.
3019:  Możliwe, że sobie jeszcze wrócimy do frakcji z dodatku, natomiast rozgrywając kampanię po stronie Koatla, nie Koatla, Koatla, dobrze, nie, Koatl to jest jednostka.
3028:  Zaraz sobie przypomnę, jak się nazywa ten skrytobójca jaszczuroludzi, Kecl chyba.
3035:  I wtedy zobaczycie też tę bitwę, tylko z innej strony.
3037:  Let's roll!
3053:  Proszę, proszę, piekielne działo do nas przybyło.
3059:  Dobra.
3065:  Cóż za piękny widok, cóż za wspaniały widok.
3069:  Wszyscy giną.
3071:  Mamy bardzo dobrą amunicję natomiast już na szczęście.
3077:  Pa-pa, buntownicy!
3079:  Kto tu jeszcze do nas zmierza?
3081:  A, Pamiąt Chaosu jest unbreakable, niezłomny.
3084:  To znaczy, że nawet jeżeli wszystkie oddziały się wycofują, to one tutaj przybędą na... do naszego komitetu powitalnego.
3097:  Piw-paw!
3107:  Właśnie jeżeli... Absolutnie propsuję to, co Ula na czacie napisała.
3111:  Zdzichu, jeżeli się spotkasz z fanem Tokarczuk, to nie musisz z nim rozmawiać i go przekonać, że to jest złe.
3117:  Po prostu jeżeli lubi to, to okej, natomiast jeżeli argumentuje, i to jest problematyczne, jak bardzo wielu fanów tej twórczości, że fantastyka jest dla głupców,
3127:  to wtedy trzeba interweniować i mówić, że moment, moment, moment, moment, prawda?
3132:  I wtedy można przywołać coś, co jest wybitne w skali bezwzględnej po stronie fantastycznej, a co często nie jest rozeznawane jako fantastyka przez ludzi, którzy mieli tradycyjne wykształcenie, nazwijmy to.
3143:  No na przykład taki, o, John Crowley, małe, duże, albo Gorman Gust, Mervina Peake, albo weźmy nawet Krainy Hicków, Jonathana Carolla.
3153:  Czy jeszcze prostszy przykład, Alicję w Krainie Czarów.
3161:  Ulubiona rasa z serii The Elder Scrolls Online?
3163:  Ja w Souls zawsze grałem elfami z uwagi na to, że można mieć boosty do magii.
3174:  Teraz sobie usiłuję kompulsywnie przypomnieć nazwę.
3182:  Boże, Forek jeszcze nie dotrze tutaj.
3185:  Forek jest niedojdą.
3190:  Ej, ej, ej, ej, ej, ej, ej.
3195:  Dobra, niech przybywają.
3197:  Poradzimy sobie z nimi bez żadnego problemu.
3201:  Ściana tarcz.
3202:  Pancerz dla krasnoludów z tarczami.
3204:  Bardzo dobrze.
3206:  Ulubiona część Wiedźmina pod względem fabularnym.
3207:  A tu was zaskoczę.
3209:  Dwójka miała bardzo dobrą fabułę.
3212:  Fabularnie dwa.
3215:  Jaka szlachetna porażka.
3217:  Co to za brednie?
3220:  Nie, zaraz, mamy dwie katapulty.
3222:  Nie, nie, nie, no bez przesady.
3224:  Bez przesady.
3225:  Litości.
3230:  A jeśli chodzi o Wiedźmina książkowego... To opowiadania.
3236:  A jeśli chodzi o Wiedźmina serialowego, to jeszcze wciąż nie powstał taki sezon serialu, o którym mógłbym powiedzieć, że jest moim ulubionym.
3249:  Jedynka?
3251:  Znaczy, jedynka miała dobrą fabułę, to jest prawda, ale dwójka mnie absolutnie urzekła tym, zresztą napisanym przez Artura Ganszyńca, którego miałem przyjemność poznać, rozwidleniem fabularnym, nie?
3266:  To znaczy w jednym kierunku, jak podążymy za Jorwetem, idziemy do Twierdzy Krasnoludów, a w drugim Gramo mówi, a takiego!
3272:  Wybory w życiu też są złe!
3274:  Trafiasz do obozu Nilfgaardczyków, którego największą atrakcją jest okoliczny burdel i absolutnie nic ponadto.
3281:  I gra też wymusza w ten sposób replay, nie?
3286:  Dobrze, yyy... Karnozaur idzie tutaj.
3290:  Iron Drakes będą wypalać, taaaak!
3292:  Ale, ale będziemy wypalać!
3295:  Ale my będziemy wypalać!
3297:  Boże, jak ja lubię wypalać.
3300:  Yyy... Nie ma to jak Karnozaur, który ma obruszkę.
3307:  Daui nawet są w stanie, yyy...
3311:  Czy on wygląda jak T-Rex?
3315:  Wygląda jak T-Rex.
3317:  Albo jak ten, Velociraptor.
3319:  Bar- nie, to jest Velociraptor bardziej, bo ma ten ogon.
3322:  Oczywiście.
3325:  Witamy Jana na czacie również, krasnoludcy przywódcy Daui witają.
3330:  Dobrze, musimy troszeczkę uporządkować się, bo tu się dzieją rzeczy.
3334:  Niedopuszczalne absolutnie.
3343:  Dobrze.
3347:  Gdzie są kusznicy?
3348:  Tutaj są kusznicy.
3352:  Okej.
3363:  Dobrze.
3364:  Jeden oddział.
3366:  Drugi oddział.
3370:  Katapulta tutaj na koniec.
3372:  Co się dzieje z biednym naszym?
3376:  A wiem, co my zrobimy.
3380:  Jeżeli nas atakuje wredne, piekielne działo, to my je zaatakujemy prędzej, bo jesteśmy sprytnym dinozaurem!
3389:  Kusznicy troszeczkę są w złym miejscu.
3393:  Ustawmy ich tutaj.
3397:  Aha!
3398:  Tępi chaosyci!
3400:  Nie umieją walczyć z dinozaurem!
3403:  Bardziej jak Carnotaur.
3405:  Carnotaur?
3406:  Nie znałem.
3408:  Kiedyś strasznie interesowałem dinozaurami.
3410:  Wiedźmin dla mnie nigdy nie błyszczał bardziej jako wielka, spójna fabuła polityczna w stylu Martina, czyli poszczególny element historii, postaci i dialog.
3417:  No jasne, to wszystko to jest prawda.
3419:  Bo w ogóle Wiedźmin jako taki, jako saga był pisany jako fantazy postmodernistyczna, satyryczna bardziej, bliska temu, co Pratchett robi wbrew pozorom niż Martin.
3434:  Czy będę w BIO pograć w odmianę tabletopa Warhammera 13 sierpnia?
3438:  Czy 13 sierpnia jest DF?
3439:  Jeżeli będzie jakiś DF na DFie Warhammer, to na pewno się będę przyglądał.
3444:  Przyglądał!
3451:  Zniszcz to działo!
3455:  Gupi dinozaur!
3457:  Ono pluje ogniem w naszych mężnych Dawii!
3461:  Niszcz działo!
3464:  Tak właśnie!
3465:  Tak ma to wyglądać, dobrze.
3466:  Jak wygląda tu sytuacja?
3469:  Aaaa!
3470:  Nie może wyglądać piękniej!
3473:  Przecież mamy Miotacze Ognia!
3477:  Wprawdzie niestety to one zostały... ...zaatakowane, ale co tam.
3488:  Oj, oj, oj, oj, oj, oj, oj, oj, oj!
3508:  Musimy w tak zwanym międzyczasie zmienić troszeczkę formację, ale powinno być okej generalnie.
3524:  Czy wolę ścieżkę Jorweta czy Rosha?
3526:  Jorweta zdecydowanie.
3537:  Dobrze, katapulty troszeczkę się nam ociągają.
3544:  Dobrze, udało nam się ochronić część naszych oddziałów wypalających.
3551:  Oddziały wypalające wypalać!
3558:  Wypalanie, moi drodzy, jest ważne.
3560:  Przecież, przecież to jest piękno.
3563:  Wprawdzie zostało nam ośmiu wypalaczy, ale cóż... Czy nasz karnozaur...
3570:  Naprawdę?!
3572:  Karnozaur został zabity przez... obsługę działa? !
3581:  I wszyscy się tak podniecali niesamowicie tym, że ooo, ooo, będzie można, będzie można, ooo, ooo, karno, ooo, mhm.
3595:  Tyle w temacie karnozaura.
3599:  Aby my tutaj nie mamy zasięgu dla broni palnej, to wiele wyjaśnia dlaczego ta flanka się utrzymała.
3607:  Jak sytuacja tu wygląda?
3609:  Coraz lepiej.
3630:  Zabili dinozaury.
3631:  Skandal.
3635:  Przyjdzie Greenpeace i ich zje.
3641:  Mam wrażenie, że część z naszych strzelców w ogóle nie strzelała.
3645:  Mamy klęskę urodzaju, jest za dużo strzelców.
3658:  Zniszczyć tych wybrańców natychmiast.
3667:  No, żelazne smoki nie miały tylu
3673:  Tylu zabitych, ile bym chciał, że teraz się musimy wybrać naszym tanem w długą podróż po działo.
3682:  Ech... No co tu się stało?
3692:  W MMORPG generalnie grywam, a nie gram.
3696:  Właśnie tak, grywałem w... eee... Elder Scrolls Online, grywałem w WoWa oczywiście, bo kto nie grał.
3705:  Naprawdę.
3706:  Naprawdę.
3708:  Cała potęga Dawei kontra dwóch pachołków haosytów obsługujących działo!
3726:  No, nieznaczne zwycięstwo.
3728:  Nieznaczne zwycięstwo in your face.
3729:  No faktycznie zginął.
3733:  No, karnozaur miał opętańczą, opętańczą walkę, która zabrała sześciu chaosytów.
3743:  Wstąpiłem na działo stukrasnali, kuflami wroga układało.
3746:  Tak.
3748:  Tak.
3754:  A, jeszcze przetrwali.
3755:  Świetnie.
3760:  Dobrze.
3762:  Przynajmniej levelujemy.
3767:  Brak skażenia się przyda w tym momencie, bo się dzieją jakieś niedobre rzeczy.
3773:  Czy my tutaj jesteśmy w stanie rekrutować?
3774:  Tak, bo potrzebujemy drugą armię, więc spokojnie myślę, że jeden oddział się przyda na razie.
3784:  Ja też lubię mieć działo ogniowe.
3788:  Tak wiem, co powiecie.
3790:  Że działa ogniowe są słabe.
3792:  Nieprawda.
3793:  Nie zawsze.
3794:  Eee...
3799:  No i dupa, nie mamy pieniędzy na... To nie możemy niestety kupić dzieła ogniowego, bo musimy... Jeszcze pilniejsza sprawa jest ta.
3809:  Potrzebujemy tu murów.
3812:  Dobrze.
3813:  Co tu się dzieje?
3814:  Gotrek i Felix.
3815:  Nie, nie będę robił tego exploitu z niekończącą się rekrutacją Gotreka i Felixa, bo to nie jest na moje nerwy dzisiaj, ale jest taka możliwość.
3825:  Jak jesteście zainteresowani, to Legend zrobił cały stream wokół tego.
3831:  Grał coś z sześćdziesięcioma Gotrekami i Feliksami.
3841:  Tak, ja narzekam!
3842:  Nic mi nie pasuje!
3843:  To prawda!
3845:  Dzięki temu jesteśmy skuteczni i mamy 170 tur na karku i cały czas tkwimy w jednym miejscu.
3854:  Ale spokojnie, celem nie wprost takiego streamu jest pokazanie, jak wywikłać się z takiej sytuacji.
3861:  Aha!
3865:  Ale to jest piękne!
3867:  Są bunt za buntem.
3871:  Raz i zdławimy.
3872:  Na razie trzeba zdławić w pierwszej kolejności Court of Liberas.
3884:  Jeśli tak, to nawet nie będziemy się przesadnie starać.
3890:  To już jest Doomstack, moi drodzy.
3898:  Dobrze.
3902:  Tutaj wznosimy, tak, potrzebujemy pieniążków, z tymi się możemy już uporać, myślę.
3910:  Nie, stracimy.
3913:  Oh, come on.
3914:  Poziom trudności legendarny, poziom bitwy bardzo wysoki, poziom inwazji chaosu legendarny.
3921:  Jednostki dzielą się na elastyczne i nieelastyczne.
3923:  Działa ogniowe to drugie.
3925:  To prawda, ale działa ogniowe dobrze radzą sobie z naprawdę masywnymi jednostkami i zgrupowaniami tych jednostek.
3935:  Organki nie zawsze.
3939:  Jak 40k to Warhammer Dawn of War.
3941:  Ooo!
3942:  A man of culture, I see.
3945:  Piękna sprawa Warhammer Dawn of War, naprawdę.
3948:  Tylko jedynka, bo tam można było budować bazy.
3950:  Boże, jak ja tęsknię za czasami, kiedy można było budować bazy.
3954:  Połowa fanów w strategiach polegała dla mnie zawsze na możliwości budowania bazy.
3960:  Zawsze.
3961:  Ja jestem typem... To się dzisiaj mówi nieładnie na to kamper, ale tak, jestem typem takiego gracza, który się fortyfikuje, rozbudowuje ekonomię, wznosi wieże i dopiero potem wychodzi gigantycznym wojskiem.
3973:  Nie znoszę potyczek, nie znoszę takiej rebelianckiej taktyki spalonej ziemi, że
3979:  O, tutaj sobie uszczkniemy, tu atakujemy!
3982:  Tak, to się zmienił StarCraft.
3984:  To znaczy, ja w StarCraft'cie, o, teraz wezmę swoje cztery próbniki, o, jednego Zelota!
3990:  Wow!
3991:  Jaka bitwa mnie teraz czeka!
3993:  O, o, o!
3995:  Cztery próbniki, jeden Zelota!
3996:  Nie, lepiej!
3998:  Cztery próbniki, jeden Zelota i jeszcze...
4003:  I jeszcze Templariusz!
4005:  O Boże!
4006:  To będzie epicka bitwa!
4008:  Nie, nie znoszę tego i ja dlatego nie mógłbym nigdy we sporcie działać.
4013:  Nie tylko... Nie dlatego, że nie umiem, ale dlatego, że mnie to wkurwia!
4017:  Ponad wszelką wątpliwość i przeciętność.
4023:  Twoje ognisko płonie jasno.
4024:  Idź dalej, mój dzielny sojuszniku.
4027:  Nie irytuje mnie to, że na najwyższych poziomach komputer cheatuje.
4031:  Nie, bo ja też!
4034:  To jest właśnie ta odpowiedź.
4035:  Jeżeli komputer oszukuje, oszukuj go lepiej!
4039:  Znaczy, irytujące to jest dla graczy, mówiąc serio, którzy lubią na przykład grać piechotą.
4044:  No to jestem w stanie to zrozumieć, bo piechotą się nie da grać na tym poziomie.
4048:  Tak jak wiele razy mówiłem, oddział długobrodych z wielką bronią sterowany przeze mnie kontra taki sam oddział sterowany przez AI, ten drugi wygra.
4055:  Były takie testy, Taryf je bodajże robił.
4068:  Canon Rush'e to... no, Canon Rush'e jeszcze są okej w StarCraft'cie, bo przynajmniej... przynajmniej się można pośmiać, zwłaszcza jeżeli gra na przykład Haas albo... Fran... Boże, Boże, Boże, Boże, jak on się nazywa?
4082:  Zawsze Lowko się z niego strasznie śmieje, że to jest... Przypomnę sobie... Ja sobie to przypomnę!
4090:  Ale nie... But it is not this day!
4099:  Ooo, pal!
4101:  Pal!
4102:  A teraz uciekaj.
4107:  Jesteś słaby i niegodny zaszczytu dowodzenia armią.
4111:  Wilk!
4113:  Wilk, Wilk.
4115:  Dobre.
4116:  Bardzo dobry aktor swoją drogą.
4121:  Przepiękna jest ta kampania w twierdzy pierwszej, kiedy poznajemy po raz pierwszy Wilka.
4129:  Prosta fabuła, ale przepiękna.
4133:  PROSTE!
4134:  ZŁOTE!
4136:  A SKROMNE!
4139:  Co sądzę o świecie Dune'y?
4141:  11 na 10.
4142:  Jeden z moich ulubionych światów, właśnie nie science fiction, bo to nie jest świat science fiction, tylko typowy świat science fantasy i w ogóle wykraczający poza wszelkie tego rodzaju podziały.
4155:  Nie mogę się doczekać filmu Denis Villeneuve'a, bo już sam zwiastun,
4161:  pokazał mi, że przynajmniej światu zostanie oddana sprawiedliwość.
4165:  Mnie to, szczerze mówiąc, wystarcza, bo jeżeli chodzi o opowiadanie fabuł, to Frank Herbert nie był mistrzem, ale jeśli chodzi o kreowanie światów, był.
4174:  Możecie sobie sprawdzić, w Internecie krąży coś, to się nazywa The Encyclopedia of Dune, ma to 800 stron i jest absolutnie niesamowite.
4187:  Proszę, jak... proszę, jak levelujemy.
4189:  Proszę, jak pięknie levelujemy.
4191:  Dobrze, czas ich zdławić.
4198:  Liczę, że film mnie przekonał do duny, po pierwsze książce odpadły.
4201:  Można odpaść, naprawdę.
4202:  Jestem to w stanie zrozumieć.
4203:  Tak samo jak można odpaść z Hyperiona Dana Simonsa.
4206:  To jest trudna proza, ciężko przez nią się brnie.
4210:  Nie zawsze jest na to czas.
4211:  Dzisiaj jest, wbrew pozorom, o wiele mniej czasu na czytanie niż kiedykolwiek, z uwagi na to, że naprawdę mamy atrakcyjne alternatywy.
4220:  A czasem nawet atrakcyjniejsze alternatywy.
4222:  Ja się nie boję tego stwierdzenia.
4227:  Inaczej bym sam musiał siebie krytykować za to, że nie czytałem i to długo, na przykład w tym roku.
4237:  Nie byłem w stanie się przekonać.
4239:  Był nawet taki moment, że na Discordzie naszym holistyczna agencja jest kapistyczna, link w opisie, albo na streamach ludzie pytali, co czytać i tak dalej, a ja tak unikałem odpowiedzi, a to dlatego, że właśnie nie miałem kompletnie humoru.
4256:  Będzie jak z awatarem piękna led wydmuszka.
4258:  Ale to jest piękna wydmuszka i mnie ona odpowiada.
4263:  Naprawdę mam zero problemu z awatarem.
4268:  Gdyby takich wydmuszek było więcej, byłbym szczęśliwym człowiekiem.
4271:  Hoho.
4275:  Zrobiłeś bardzo duży błąd, Chaosyto.
4277:  Dobra.
4285:  A propos odpadania, co sądzę o takich niegodziwcach, którzy odpadli od Wiedźmina III?
4289:  PS, kocham RPG, ale jakoś nie wiem, wciąż liczę, że kiedyś do tego wrócę i pochłonę.
4294:  Nie wiem to zrozumieć.
4296:  To jest wszystko kwestia tego, na ile się jest zainwestowanym w lore.
4302:  Można też odpaść od tego czysto mechanicznie.
4304:  Mnie na przykład nie podoba się zbyt wysoki poziom trudności.
4311:  W walkach, które są na... Właśnie dlatego się zastanawiam, jaki poziom wybiorę na stream.
4316:  Bardzo się zastanowię.
4319:  O Boże, nie jesteśmy w stanie rekrutować teraz, no nic.
4322:  Ale przynajmniej się pozbyliśmy tej rebelii.
4324:  Jak tutaj sytuacja?
4326:  Czy jest tak, jak myślę?
4328:  Nie, nie jest tak, jak myślę.
4329:  Cały czas wskazuje... To jest przez to, że jest świeży garnizon, nie?
4333:  Wskazuje nam, że jest porażka.
4336:  To jest łez i wiarołomstwo.
4339:  Nie ma żadnej porażki.
4344:  Runa negacji to jest pierwsze, w co zawsze inwestuję, z tego względu, że runa negacji pozwala nam ochronić się od obrażeń.
4353:  Prędkość dla krasnoludów jest dobra, albowiem wolne są, mają krótkie pęciny.
4359:  Tutaj już powinno być lepiej po wybudowaniu tego.
4365:  Mam taką nadzieję w każdym razie.
4368:  Nieprzydzielone punkty umiejętności.
4371:  Gdzie jeszcze?
4372:  Co jeszcze się tutaj dzieje?
4374:  Mówcie mi, że znowu będzie... A tu są mury.
4388:  Nikt mi się nie przejmuje.
4392:  Jak tu są mury, to sobie damy radę.
4396:  Nie.
4405:  W sumie kiepsko idzie tymi krasunadami, tutaj mam zamiat po kampanii, by odpalić całemu na tych samych zestawieniach.
4410:  Ciekaw jestem, jak mi pójdzie.
4412:  Również jestem, pamiętajcie, że tutaj jest bardzo dużo kwestii losowych, to znaczy ja jak sobie ćwiczyłem przed streamem troszeczkę...
4420:  to... A nie, ja sobie nie ćwiczyłem przed... Ja sobie nie ćwiczyłem przed streamem!
4424:  Ja przecież odpaliłem kampanię DaWii od razu w premierze!
