🔴 RINGS OF POWER — odcinek 5 i 6 | Recenzja ze spojlerami #3
🔗 https://www.youtube.com/watch?v=YVcxr00_RQc

233:  A, jesteście!
2947:  Droidów szukali, tak, tak, to było to.
2948:  Więc polecam Spaceballs, moi drodzy.
2951:  Wspaniała sprawa.
2954:  Tu jest ta scena, o której wspomniałem wcześniej, to znaczy Tar Palantir,
2959:  który ma dar jasnowidzenia.
2961:  To nie jest przypadek, że palantiry jako kamienie widzące tak też się nazywają, bo tar palantiry oznacza właśnie też kogoś, kto widzi na odległość, ale tym razem chodzi o odległość w czasie, odległość w przestrzeni, ma przeczucie, że Muriel nie powinna wyruszać do śródziemia.
2975:  Ale ona już jest przekonana przez Galadrielę, rozumiecie?
2977:  Jeżeli ktoś tak wprawnie porusza mieczem i tak wprawnie spankuje żołnierzy po ich jędrnych pośladkach, to...
2987:  Polemizować z kimś tak możnym, który tak przemożny wpływ na nas wywiera zarazem, próżno.
2994:  Pozostaje się tylko zgodzić.
2996:  A zatem Tar-Palantir może sobie ostrzegać Muriel i może mówić jej, że czeka ją wyłącznie ciemność.
3003:  Ciemność widzę na wschodzie.
3006:  Ciemność, nie idź tam.
3009:  Mrok wije się.
3011:  No i na to Muriel jest przerażona z oczywistych powodów.
3014:  O, tutaj macie scenę przerażenia Muriel.
3016:  Zobaczcie, jaka ona jest przerażona.
3019:  I potem możemy już spokojnie przejść do następnej sceny z Harfutami.
3023:  O tym, jak bardzo ten odcinek jest dziwnie nudnawy, świadczy fakt, moi drodzy, że ja, który przewijał wszystkie wątki z Harfutami, tym razem przewijałem wszystkie wątki praktycznie poza Harfutami.
3034:  Oczywiście potem sobie musiałem na poczet naszej rozmowy obejrzeć w całości.
3040:  Ale tak, nie dziwię się komuś, kto nudził się podczas piątego odcinku i to bardzo.
3044:  Czy Spaceballs ma podobny humor do Austin Powers?
3046:  Tak, i do nagiej broni i podobnych parodii.
3050:  I tutaj macie, o tyle jest to interesujące, że na samym początku pojawia się magia lodu, moi drodzy.
3056:  No więc ja jestem jamnik niniejszym i zastrzegam się, że będę szczekał, jeżeli się okaże.
3061:  Będę szczekał na żywo.
3063:  Zobowiązuję się.
3065:  że odszczekam to, jeżeli się okaże, że to jest Gandalf.
3068:  Równocześnie potem usłyszycie mój 15-minutowy rant na to, dlaczego to nie powinien być Gandalf, ponieważ nie pamiętam, by Gandalf kiedykolwiek dysponował tego rodzaju mocami.
3078:  Chyba, że rozwiążą to w ten sposób, że Istarim wszystkim, bez wyjątku, przypiszą moc panowania nad żywiołami.
3083:  Ja jako miłośnik magów, zwłaszcza magii żywiołów także, nie mam nic przeciwko.
3090:  Co nie zmienia faktu, że tak.
3091:  Czy to jest Saruman?
3092:  Pyta kulkę.
3093:  To jest ciekawe pytanie i prędzej bym się na to zgodził z bardzo prostego powodu.
3098:  To znaczy, ale znowu, ja przepraszam, wykorzystuję teraz moją nerdowską, fanowską wiedzę.
3103:  Brudną, śmierdzącą, niepożądaną przez Amazon.
3107:  No ale Saruman, zwany Kulunirem,
3110:  jeszcze w Amanie, już miał wtedy spinę z Gandalfem i to srogą, zawsze był znany jako mistrz rzemieślnictwa, rzemiosła, kowalstwa i interesował się inżynierią generalnie rzecz ujmując.
3124:  Co poniekąd widzimy w adaptacji Petera Jacksona i oczywiście w samym Władcy Pierścieni, gdzie Sauron zaprowadza industrializację.
3132:  U Jacksona jest to ograniczone wyłącznie do Isengardu, natomiast w przypadku Władcy Pierścieni oczywiście mamy do czynienia także z industrializacją Shire'u.
3142:  co nie zmienia faktu, że Saruman zdecydowanie był po stronie inżynierii, postępu przemysłowego i tak dalej, i tak dalej.
3148:  A zatem jest logiczne, że mógłby się pojawić w serialu, który ostatecznie jest o kuciu pierścieni władzy, nie?
3156:  Tak myślę.
3157:  I ponieważ nie mieliśmy tak, że ani na ekranie, ani w Władcy Pierścieni zdeterminowanego tego, w jakich żywiołów używał Saruman, moim zdaniem w większości, to ma to sens, żeby to był Saruman.
3170:  Więc tutaj bym się zgodził, tak, ale nie zgodzę się, żeby to był Gandalf.
3173:  To jest... Tak, tu jest problem.
3176:  Władztwo Gandalfa nad ogniem jeszcze słusznie zauważa, że Efrę związało się także z posiadanym przez niego pierścieniem władzy, czyli Narią.
3182:  Otóż to i nie powinniśmy tego zapominać.
3185:  A zatem...
3186:  Nie mam zielonego pojęcia skąd te moce się biorą.
3189:  Zobaczymy.
3190:  Zobaczymy, jak to jest zaplanowane, bo pierścienie, jak pamiętajmy, jeszcze nie powstały, co powoduje bardzo dużo problemów.
3197:  Tu patrz, krzyczy, Krzysztof jest gotowy na szczekanie.
3200:  Zobaczymy, moi drodzy, zobaczymy.
3203:  Może być tak, niestety, też jak piszecie, że to jest Gandalf, bo Gandalf lubi hobbitów.
3207:  Tak, ale z drugiej strony, sam Roman miał w swoim spichlerzyku fajkowe dzieziele, więc też miał kiedyś do czynienia z hobbitami.
3214:  Zobaczymy, zobaczymy.
3216:  Rozumiecie, widzicie?
3217:  Tu już zaczyna się teren fanowskich spekulacji, co dla mnie jest czytelnym sygnałem, że to jest fajny wątek.
3223:  Chciałbym tego mieć więcej w serialu.
3225:  Saruman używał też Force Pusha na Gandalfie w scenie grillowania drzwiami w Isengardzie.
3230:  Tak, tak, właśnie.
3231:  Zresztą, drogo, pamiętam, że ja kiedyś się bawiłem przeróbkami z moim przyjacielem z dzieciństwa.
3237:  postawienia dla Piotrka, to zrobiliśmy kiedyś przeróbkę Twist Again z Gandalfem Wirującym.
3244:  Ja wiem, to był gimnazjalny humor, ale to było w gimnazjum, tak?
3248:  W związku z powyższym jest to uzasadnione w tym konkretnym przypadku.
3251:  Fajny wątek, zwłaszcza dlatego to jest, że w którymś momencie, a pamiętamy od czego się wszystko zaczęło, od tego, że Hodor przestworzy bał się, że jest zagrożeniem, Peril, odrzuca
3268:  Nori!
3268:  Nori!
3269:  Nori Brandyfoot.
3270:  Pamiętałem to imię.
3271:  Więc odrzuca Nori i Nori nie tylko czuje się odrzucona w sposób fizyczny, ale czuje się odrzucona także w sposób metaforyczny.
3278:  Znaczy, że ona już nie ufa Hodorowi z przestworzy.
3282:  A Hodor z przestworzy jest przerażony, ponieważ widzi, że czynił krzywdę zupełnie nieintencjonalnie.
3287:  Jeszcze wcześniej jest taka scena, która też przemawia za tym, że mógłby to być Saruman.
3291:  Mianowicie jego głos...
3293:  przy tym jak inkantuje, jest bardzo zbliżony do tego słynnego zaklęcia, które wypowiedział Saruman, krzycząc Karadras, obudź się!
3303:  I wtedy oczywiście spuścił lawinę.
3307:  Czy ja zdołam znaleźć oryginalny tekst?
3311:  Karadras, Saruman...
3314:  Bo przepięknie to brzmi w Kuenii, ale nie wiem, czy to mi się uda.
3320:  Żeby było śmieszniej, Christopher Lee się strasznie długo tego uczył.
3327:  Nie, nie znajdę tego niestety.
3329:  W każdym razie nie tak szybko.
3333:  Wspaniała jest ta inkantacja, jest to jeden z piękniejszych momentów dla mnie w Władcy Pierścieni, dla mnie oczywiście fana magów i magii.
3340:  Wspaniała sprawa.
3342:  A może Gandalf nie używa ognia, bo nie wie jeszcze kim jest i ma amnezję, jak mu wróci pamięć, to i ogień powróci.
3346:  No tak, ale tak jak wcześniej powiedział, bardzo słusznie zresztą, jeden z naszych komentujących, Boże, nie pamiętam teraz Twojego miana, bardzo Cię przepraszam za to, nie ma jeszcze pierścienia władzy, które umożliwiają panowanie nad ogniem, więc ha, zobaczymy.
3360:  Trzeba sprostować, bo to były szare bagna, a nie martwe, także nie zrobili błędu, pisze Mateusz Herman.
3366:  Naprawdę?
3367:  To nie były deadmashes?
3368:  Byłem przekonany, że to były deadmashes.
3372:  To jeśli tak, to się wycofuję, ale wydawało mi się, że to były deadmashes i to tak było oznaczone na mapie.
3379:  O, kłaj w analga karas senai, jarwak saraj lej, nie.
3384:  Raselia.
3385:  Moja kłenia jest zardzewiała.
3387:  Straszne.
3388:  Co do Sarumana, tyczy się w drużynie pierśnięta na tej scenie, co zamykał Gandalfowi drzwi, to nauczyłem się montować, zrobiłem, jak przez minutę je zamykał.
3398:  Piękne.
3398:  Mateusz Herman pisze, że sprawdzał, czyli to jest potwierdzone, tak?
3401:  Szare bagna, okej.
3402:  To w takim razie ma to głęboki sens, wycofuję się absolutnie.
3407:  Dobrze, moi drodzy.
3408:  I przechodzimy do sceny, która jest dość szczególna.
3412:  To znaczy za każdym razem, jak się pojawiają krasnoludowie, to Krzysztof się cieszy, Krzysztof się raduje.
3419:  Tylko jest tutaj jeden zasadniczy i maleńki problem.
3422:  Ja wiem, że dla was, którzy macie
3425:  Ambiwalentny stosunek do tego, w jaki sposób się adaptuje światopogląd Tolkiena, możecie się tutaj bardzo sprzeciwić.
3432:  Natomiast krasnoludy, które mówią shit albo gówno, innymi słowy, to nie są krasnoludy tolkienowskie, to są Dawi z Warhammera.
3441:  Jak widzicie, nie mam nic przeciwko Warhammerowi, tak?
3444:  Kocham Warhammera fantasy.
3446:  Ale Warhammer fantasy, jak zawsze podkreślam, jest fantasy po lub w trakcie epoki przemysłowej, industrialnej.
3452:  To nie jest fantasy tolkienowska, pseudośredniowieczna, to nie jest allotopia osadzona w świecie rycerskich podań, elfów, smoków i tak dalej.
3461:  To jest zupełnie inny rodzaj fantastyki.
3464:  Dzisiaj to nazywamy albo właśnie fantastyką fantasy postmodernistyczną, albo fantasy miejską, urban fantasy, jest mnóstwo na to określeń.
3471:  Ale jedno jest pewne, to nie jest taka typowa high fantasy.
3474:  Możecie spotkać krasnoludów, które będą przeklinać albo zachowywać się w taki przejaskrawiony sposób.
3480:  Właśnie fantazy, która jest kontr-Tolkienowska.
3484:  Ja nie mówię, że jej nie lubię.
3486:  Kocham Brandona Sandersona.
3487:  Uwielbiam Georgia A. Martina.
3489:  Uwielbiam Andrzeja Sapkowskiego, którego Jarpen Zirgin ma papugę mówiącą RRRRRRRRWA MAĆ!
3496:  Przepiękne to jest, ale to nie jest Tolkienowskie.
3499:  Tolkienowska fantazy zawsze była wysterylizowana z tego rodzaju odniesień, dlatego że chodziło o zaprezentowanie jakiegoś świata takich kryształowych wartości.
3509:  Tak, on jest może nie dzisiejszy, ale na tym polega jego urok.
3513:  I świadoma rezygnacja z tego na poczet sceny, która naprawdę nic nie wnosi fabularnie, nie jest dobrą decyzją, w moim przekonaniu.
3524:  Bo chodzi tutaj o dowcip, którego używa jeden krasnolud, to znaczy, że elfowie nawet potrzebują deliberować przez dwa tygodnie, zanim się wysrają, tylko że to shit zostaje ucięte z uwagi na PG-13, jak znam życie.
3538:  Jest to kloaczny, amerykański humor, który sam lubię miejscami, ale nie wcisnąłbym go do Władcy Pierścieni.
3549:  Druga rzecz, której się pojawia ta scena, to jest prank, który robi znowu nasz Durin, który nawiasem mówiąc nie powinien jeszcze żyć w tej erze.
3558:  Gilgaladowi, który niezmiennie wygląda jak, jak się nazywał ten aktor, którego zapamiętaliśmy wszyscy przez mem, teges, śmeges, fą, fą, fą, przecież ja zaraz zwariuję, że nie mogę sobie przypomnieć jego imienia i nazwiska, ale przepraszam, to jest wybitny polski aktor, więc dlatego nie jestem w stanie zapamiętać, jak się nazywa.
3577:  A zatem, no, Gilgalad wygląda dokładnie, mówi, dziękuję, Michał Milowicz, Gilgalad wygląda identycznie jak Michał Milowicz, ja nie wiem dlaczego, nie wiem dlaczego, ale za każdym razem, jak na niego patrzę,
3587:  Ryczę ze śmiechu, no nie jestem w stanie przejść nad tym do porządku dziennego.
3593:  W każdym razie Gilgalad stara się zachowywać się z rewerencją wobec swoich gości, z szacunkiem, no a krasnolud by tylko popierdywał i mówił, że a ten stół w ogóle, na którym sobie śniadamy albo wieczerzamy, w zależności od tego jaka to jest pora dnia, trudno stwierdzić,
3610:  Po każdym razie ładniej jest w lesie, więc może być dowolna.
3613:  Do to w takim razie ten stół jest bardzo cenny, bo my go wykorzystujemy, powiada Durin, do chowania naszych zmarłych.
3620:  I Gil-Galad ma na to takie... O, i Gil-Galad też mógłby wtedy powiedzieć... I wtedy amerykański widz miałby takie...
3638:  Ale niestety nie mówi w ten sposób, więc ta scena traci trochę na swojej śmieszności.
3644:  Przypomina mi się swoją drogą i bardzo wam chciałbym to polecić.
3647:  Nie wyczynię inaczej.
3649:  Wy bezsprzecznie to znacie, tak?
3654:  Ale muszę, ponieważ... No nie da się inaczej.
3658:  To znaczy muszę wam polecić w tym kontekście najpiękniejszą rzecz w polskim internecie, jaka istnieje, moi drodzy.
3666:  Rzekłbym.
3667:  I ta najpiękniejsza rzecz w polskim internecie, jaka istnieje, to jest oczywiście Dem, prawda?
3672:  I Dem miał kiedyś...
3674:  taki fantastyczny program, to znaczy to się nazywało, ile mnie pamięć nie myli, moi drodzy, program z humorkiem i ten bardzo krótko i lapidarnie wyjaśnił to, z czym ja mam problem, to znaczy właśnie z taką, wiecie, kabaretową śmiechawą, taką dobrą śmiechawą, nie, która jest, że tutaj, wiecie, ktoś się zaśmieje, ktoś tam piardnie i to jest takie, to jest, wiecie, takie zabawne, to jak ten, to jak ta emoji, ha, ha, ha, ha,
3703:  jest śmiechawa, jest fantastycznie, jest śmiesznie i oj, oj, oj, jak zabawnie i wszyscy się śmieją i daniec i kabarety, ha, ha, ha, ha.
3712:  No, to ja miałem mniej więcej takie skojarzenia w momencie, w którym widzę tego rodzaju pomysły fabularne, że to nie pasuje po prostu do Tolkiena, tak delikatnie rzecz ujmując, moim zdaniem.
3726:  Chłopco się za babę przebrał.
3727:  Ha, ha, ha.
3728:  No właśnie.
3729:  Szanuję, że znacie.
3730:  Szanuję, że znacie program z humorkiem.
3732:  Jeżeli nie znacie programu z humorkiem, bardzo polecam program z humorkiem.
3736:  Równie polecam jak Kuchcika Dema.
3741:  Wracając znać do wieczerzania, tak, to jest ewidentnie wieczerzanie, bo widzę, że jest wystarczająco ciemno w tym lesie.
3748:  Kończy się ono z wymianą zdań między Elrondem a Gil-Galadem, który wygląda jak Michał Milowicz.
3757:  I tu się zaczynają poważne problemy.
3759:  Nie widzicie teraz kluczowej kwestii, ja się na moment zniknę.
3765:  Znaczy nie, przepraszam, nie, nie, nie, to nie to, nie to.
3770:  Czy jesteś zaznajomiony z pieśnią o korzeniach Hiflejglilu?
3775:  Usiłowałem znaleźć, co to jest, ale moi drodzy, zanim powiecie cokolwiek, przepraszam najmocniej, przepraszam najmocniej, czyżby było tak, że żeby wiedzieć, o co tutaj chodzi...
3791:  Musielibyśmy być, moi drodzy, fanami?
3804:  Zaraz, zaraz.
3806:  Ja myślałem, że ten serial nie jest dla fanów Tolkiena.
3811:  Ja myślałem, że fani Tolkiena się podszywają tutaj pod target Amazonu, który jest o wiele szerszy.
3818:  I w takiej sytuacji oczekiwalibyśmy, że tak w każdym serialu zostanie nam wyjaśniona nazwa własna.
3826:  I nie byłoby to może tak...
3830:  Dla mnie zaskakujące, gdyby nie fakt, że czytam tutaj zdanie No to przepraszam najmocniej i najuprzejmiej w tym momencie.
3848:  Ile razy słyszałem, że nie ma praw do Silmarillionu?
3852:  Co to znaczy, że mówienie mi o jakimś zaginionym Silmarillionie?
3856:  Dlaczego tutaj się to pojawia w takim razie?
3858:  Po co jest to wprowadzane?
3860:  Po jaką cholerę się w ogóle o tym wspomina?
3862:  Skoro zakłada się, że jest potrzebna wiedza fanowska, zewnętrzna, nikt nie wyjaśnia tutaj tego, czym jest Silmaril.
3870:  Nikt, przysięgam wam, nie mówi, kto je stworzył, gdzie je stworzył, dlaczego je stworzył, jak one są związane z elfami, dlaczego są kluczowe dla Silmarillionu i dla Quenta Silmarillion, czyli całej opowieści o Silmarillach.
3882:  NIKT NIC O TYM NIE MÓWI!
3885:  A jest to o tyle zabawne, że Silmarillie oryginalnie przechowywały światło dwóch drzew w Valinorze i te dwa drzewa były postrzegane przez elfów jako źródło właśnie tego dobrostanu, szczęśliwości, światłości i faktycznie miałoby pewien sens poszukiwanie tychże Silmarilli przez resztę czasu.
3909:  To tym jest Silmarillion i o tym są wydarzenia drugiej ery także.
3913:  Cały czas elfowie szukają Silmarillów, ale z Rings of Power zostało to wycięte, ponieważ nie ma praw do Silmarillionu, ale pojawia się Silmarill, ponieważ nie ma praw do Silmarillionu.
3922:  Nic nie ma sensu i wszystko jest sprzeczne ze sobą.
3925:  Więc koniec.
3926:  Nie ma w tym momencie żadnej dyskusji na temat
3930:  tego, że Amazon poniekąd ma do czegoś prawa, czy nie ma do czegoś praw.
3933:  Wszystko jedno, poczynają sobie z tym i tak nieprawdopodobnie swobodnie i nie byłoby to aż tak przerażające.
3941:  Mówicie, że to jest drugi raz, kiedy pojawiają się systemy alien, no dobrze, ale to jest pierwszy raz, kiedy zostaje to wykorzystane do zrobienia origin story rudzie.
3953:  Nie, nie jest to rudza śląska.
3955:  I moi drodzy, okazuje się mianowicie, że mifril to jest tak naprawdę sperma baloroga.
3962:  Znaczy, balorog zapłodnił drzewo i jego nasienie wniknęło w głąb góry i tak powstał czokapik.
3970:  Przepraszam, tak powstały silmarile.
3979:  Po co jest ta scena?
3981:  Po co jest ta scena?
3983:  To nie jest... Nigdy nie było tak, nigdy nie było tak, żeby Mithril był czymś specjalnym.
3988:  W tym momencie Mithril zostaje przedstawiony jako specjalna moc.
3993:  Wiecie, wcale nie ma Gaffin, wcale nie ma Gaffin, która to specjalna moc w postaci Mithrilu pozwoli wam na pokonanie największego zła.
4004:  Wiecie o jakie zło chodzi?
4005:  Ja wam pokażę o jakie zło chodzi.
4008:  Zobaczcie, okazuje się, że crossover z kolorem z przestworzy Lovecrafta nie był jedynym.
4015:  Mamy jeszcze inną transfikcjonalną ekspansję, moi drodzy, i jeszcze inny przejaw przenikania do naszego świata tolkienowskiego, przepraszam, amazonowego, treści z innego świata.
4026:  W tym przypadku to są treści pokarmowe, a pochodzą one...
4029:  Ze Stranger Things.
4031:  Bo jeżeli to nie jest ten glut, który się pojawia w Upside Down, to jestem jamnik.
4036:  Po raz kolejny.
4037:  Po raz drugi będę jamnikiem.
4039:  Biomasa na li... Tak jest, biomasa zergów na liściach się pojawia.
4043:  I wiecie, jedyny sposób na to, żeby zniszczyć biomasę ze Stranger Things, to jest użycie Mifrilu.
4052:  Bo jak wiadomo, jak macie papier, nożyce, kamień, wiadomo co bije.
4056:  No i sperma Balroga bije gluty ze Stranger Things.
4059:  Prosta sprawa, więc potrzebujemy Mithrilu.
4061:  Co jeszcze pytacie?
4063:  Logiczne?
4064:  Logiczne.
4065:  Czy wiemy w ten sposób, o czym będą wszystkie praktycznie odcinki poświęcone współpracy elfów z Eriadoru, z krasnoludami z Kazad Dum?
4075:  Oczywiście, że tak.
4076:  Będą chcieli wydybać od nich Mithril, żeby walczyć z...
4081:  Strange Black Goo na liściach.
4094:  Eregianu, nie Eriadoru, macie rację.
4099:  I elfy znowu będą świecić, tak, tak będzie.
4102:  Więc ja nie wiem, szczerze powiedziawszy, co mam na to powiedzieć, bo jak Dodon mogłem krytykować różnego rodzaju rozwiązania w abstrakcji od tego, czy jest coś związane z lore, czy nie.
4113:  Ale w tym momencie jest tak, moi mili, że twórcy sami się proszą, tak?
4117:  Zupełnie szczerze mówiąc, jeżeli chcielibyśmy oceniać ten serial w abstrakcji od Tolkiena, no możemy, tak?
4123:  Ale w momencie, w którym wymaga się od nas wiedzy zewnętrznej wobec serialu, żeby zrozumieć, co się tam dzieje, no naprawdę jestem ciekaw, czy jeśli ktoś z was nigdy nie miał do czynienia z Tolkienem, może ktoś taki będzie oglądał zapis tego streamu i niech skomentuje wtedy, bardzo proszę, pod filmem.
4138:  Niech o tym wiem.
4139:  Jeżeli nie wie, czym jest Silmaril, nie wie, czym jest do końca Mithril, to czy ta scena mu cokolwiek wyjaśniła?
4146:  Bo dolary przeciw orzechom, że nie.
4148:  I że ta wiedza zewnętrzna jednak jest w jakimś stopniu konieczna.
4151:  A jak jest konieczna, to jest głęboką hipokryzją mówienie, że to nie jest seria dla fanów.
4156:  Malitkeusz pisze, że nie miał właśnie.
4157:  No widzicie?
4163:  Więc tak, to jest problem, moi drodzy, kiedy się pojawia coś takiego.
4168:  I w moim przekonaniu problemem tym jest niejednoznaczna decyzja producencka.
4173:  Albo robimy faktycznie coś, co jest osadzone w świecie Śródziemia, albo nie.
4176:  Albo robimy, ludzie mówią fanfic.
4178:  Nie, to jest błęd.
4179:  Fanfic musi przestrzegać lore.
4182:  W fanfiku sobie możecie powiedzieć, że Severus Snape tak naprawdę był homoseksualny i shippować go z Malfoyem.
4187:  Możecie to robić, ale niech Severus Snape wygląda jak Severus Snape, a jeżeli będzie miał nie czarną szatę, tylko na przykład różową i poruszał się na jednorożcu i nie pracował w Hogwarcie, tylko w Bobatą, to wtedy już nie będzie to ten sam Severus Snape, prawda?
4200:  I nie powiemy, że to jest kanoniczne, tylko raczej, że to jest opowieść apokryficzna, czyli apokryfos po grecku oznacza ukryte.
4207:  Kanoniczne to jest to, co jest zgodne z jakimś kanonem ustalonym w tym przypadku, kanonem Śródziemia czy kanonem tolkienowskim.
4213:  Możemy sobie coś takiego napisać, jasne, ale nikt nie oczekuje, że ktoś rozpozna w tym człowieku Severusa Snape'a i w Bobatom rozpozna Hogwart.
4220:  Bo to są zupełnie inne rzeczy i fanfic zachowuje zgodność z materiałem źródłowym.
4225:  Więc Rings of Power to nie jest fanfic.
4227:  Rings of Power to jest nieumiejętnie osadzona opowieść w dużym świecie.
4233:  Tak, omawiamy jeszcze piąty odcinek.
4235:  Jesteśmy w połowie, ale nie martwcie się.
4237:  Teraz zacznie się festiwal wielkiego przewijania.
4241:  Z tego względu, że jest bardzo, bardzo długa scena w Numenorze, którą streszcza się następująco.
4246:  Galadriela chce wyruszyć na okrętach do Śródziemia.
4249:  Nowość nie znamy.
4251:  Prosimy dalej.
4253:  Ale ludzie, którzy są, jak wiemy dobrze, niewierni, ludzie ci nie chcą, żeby Numenorejczycy bratali się z elfami w związku z powyższym, podpalają łodzie i nie ma łodzi, bo wiecie...
4272:  łodzie płoną.
4274:  Nie ma na czym płynąć.
4277:  To jest wątek w Numenorze, który się pojawia.
4279:  Ale potem nie martwcie się, bo potem się okaże, że jednak popłyną.
4284:  I czy tutaj jest jeszcze coś istotnego?
4286:  Zastanawiam się.
4286:  Czy tu w ogóle jest coś istotnego?
4288:  Tak, tu jest jedna istotna scena.
4290:  Po tym oczywiście jak Galadriela przekazuje Halbrandowi McGuffin, kolejny.
4296:  Tym razem jest to wisiorek.
4298:  Wisiorek jest bardzo ważny,
4300:  ponieważ popycha fabułę naprzód i później Halbrand sięgnie po ten wisiorek i on zrozumie, że jest królem.
4311:  Tak, podpalili własne łodzie w Agary, tak było w Numenorze, żeby nie popłynąć.
4316:  Ale nie martw się, podpalili tylko jedną łódź finalnie, może dwie, więc nie za dużo.
4322:  Kluczone w każdym razie jest to, że Galadriel udaje się przekonać Halabranda do tego, że on powinien być królem na wygnaniu, że powinien wrócić do Southlands i powinien przyjąć to brzemię, którego symbolem jest wisiorek, który ona mu przekaże.
4335:  Tutaj nie wiem, czy nam się uda zobaczyć ten wisiorek, on jest bardzo ważny.
4339:  Tu jest ważny wisiorek.
4341:  I zapamiętajcie tę scenę, bo ona będzie kluczowa w części szóstej, czy w odcinku szóstym.
4347:  To jest mniej więcej tak jak w Niebołaziku po budce, czyli Skywalker odrodzenie.
4350:  Także dostajecie kryształ, który prowadzi was do sztyletu, który prowadzi was do artefaktu, który prowadzi was do zamkniętego skarbca z artefaktami, który prowadzi was dalej.
4359:  To jest taka seria McGuffinów, więc to jest istotne.
4365:  No i wracamy do wątku, który jest najciekawszy jak dotąd.
4370:  to znaczy do wątku Arondira i orków i zarazem także Adara, który to Adar nie reaguje na miano Sauron, co oznacza prawdopodobnie, że Sauronem nie jest.
4381:  Jeszcze w części szóstej usłyszymy, że Adar się chełpi tym, że Saurona zabił.
4386:  Jak?
4387:  Już to widzę, już to widzę.
4388:  W związku z powyższym najprawdopodobniej nim nie jest.
4390:  Zresztą przedstawia się, kim jest dokładnie, więc ta teoria, myślę, może śmiało upaść.
4395:  Ale mamy tutaj scenę hołdu tych...
4398:  zwolenników Czarnego Pana spośród ludzi z Southlands, które jak wiadomo jest na północy.
4403:  I widzimy już rozłam, którego się nie będzie dało w żaden sposób zasypać.
4407:  Oczywiście, jeżeli myślicie, że Ados jakoś specjalnie tym przejął, że składany jest mu hołd przed naiwnych ludzi, absolutnie nie.
4413:  On dba wyłącznie o orków i o to, żeby im się żyło dobrze.
4417:  I generalnie już możemy śmiało powiedzieć, że motywacją główną Adara jest stworzenie w terenie, który jest w tym momencie zasiedlany przez ludzi, czyli w Southlands,
4427:  świata dla orków, ich własnej krainy, ich własnej ojczyzny.
4430:  I co więcej, te motywacje nawet całkiem są sensownie wyłożone w części szóstej, więc tak.
4436:  W każdym razie wątek ten jest... nie jest świetny, ale jest na pewno czymś, czego oczekiwałem po tym serialu.
4443:  Osobiście uważam, że powinno się ten wątek rozbudować do całości i...
4448:  w większym stopniu skoncentrować na tym, jaka była właśnie historia Mordoru i historia przemienienia tej krainy z żyznego pastwiska w spopieloną ziemię.
4459:  No i niestety to się stanie w ciągu jednego odcinka, zamiast całego serialu.
4463:  The Ultimate Bad.
4464:  Witamy w gronie Trybutariuszy.
4467:  Ten Adar przypomina strasznie Johna Snowa?
4469:  Coś w tym jest, coś w tym jest.
4470:  W każdym razie jest to dobrze zagrana postać, mroczna, interesująca.
4475:  Theo całkowicie natomiast już stracił swoją rolę od czasu, kiedy stracił swój własny McGuffin, czyli pamiętamy rękojeść miecza, ona jest bardzo istotna i zobaczycie dlaczego w części szóstej.
4485:  Natomiast Prym tutaj wiedzie w zasadzie wyłącznie już Aron Deere i Bronwyn, która jest powiedzmy taką rings of powerową...
4493:  modyfikacją romansu Berena i Lufien, chociaż mówię to z ciężkim sercem, bo jednak romans Berena i Lufien jest legendarny, kultowy i zasługuje na to, żeby go zekranizować w całości.
4501:  I ostatnia scena, praktycznie przedostatnia, ściślej mówiąc, to jest poza oczywiście marszem orków na sadyby Southlandczyków, a konkretnie na tą mroczną czarną wieżę, która tutaj się nam jawi na horyzoncie, wracamy sobie spokojnie do
4520:  Lindonu i w Lindonie jest konfrontacja, której się już spodziewaliśmy od jakiegoś czasu, to znaczy konfrontacja Elronda oraz Durina.
4529:  To jest wujek Benjen z gry o tron, Adar, a faktycznie, coś tak myślałem, że znam skądś tego aktora, dajcie spokój.
4537:  O rany.
4539:  Krzysztof, należy zauważyć, że serial Władca, Pierścieni, Pierścienie Władzy po sześciu godzinach nie tłumacza, nie wspomina czym są Pierścienie Władzy, więc o czym my gadamy?
4547:  Coś w tym jest, coś w tym jest.
4549:  Czy wyjaśnili, co to był ten napad?
4551:  Nampad, który tak wykrzykują orkowie, którzy tutaj maszerują i to jest swoją drogą fajny też motyw muzyczny, bo on mi się podoba.
4560:  To był jedyny moment, kiedy krew w moich żyłach zaczęła buzować.
4564:  Ja bardzo lubię epickie momenty, zwłaszcza takich marszy, bitew, to jest wspaniałe.
4570:  I prawdopodobnie oznacza to śmierć albo zagłada, tak w każdym razie spekuluje Nerd of the Rings, ale nie ma nigdzie tłumaczenia tego.
4577:  Pamiętajcie, że Tolkien...
4579:  celowo nie rozwijał czarnej mowy, bo Tolkien nikt nie chciał, żeby ktokolwiek mówił czarną mową.
4584:  Wbrew pozorom, Kroltyn do ksenolingwistyki podchodził bardzo na poważnie i uważał, że jeżeli ze wszystkich języków, a tak zrobił, celtyckich, semickich, słowiańskich, wziął takie głoski, takie fonemy, dźwięki znaczące innymi słowy, najmniejsze, brzmiące, które brzmiały właśnie źle, kojarzyły się z czymś negatywnym
4607:  i stworzył z nich czarną mowę, i tak dalej.
4616:  Zauważcie, że to to i tak dalej, to w Nazgul też to przetrwało chociażby, to jest ciemność i tak dalej.
