Jak naprawić Cyberpunka?
🔗 https://www.youtube.com/watch?v=SXyBVZbxKWc

2:  Jak naprawić Cyberpunk 2077 od CD Projektu Red?
1726:  To, żeby questy, które, na przykład ten quest pięściarski, czy tak dalej, wpływały jakoś na główną fabułę, robi się w dość prosty sposób, to znaczy tworzy się questliny, ciągi questów, zaplata się je, tworzy się relacje między nimi, sprawia się, że no tak, jeżeli zrealizowałeś ten quest, to tutaj w tym questlinie będziesz mieć dodatkową opcję, jeżeli zrealizowałeś tamten, to on będzie mieć takie, a nie inne konsekwencje w innym.
1751:  Nie ma żadnych konsekwencji.
1754:  Żadnych, żodyn quest nie ma konsekwencji w Cyberpunku 2077 poboczny, wyjąwszy te, które są dobrze zgrane z wątkiem głównym.
1766:  Judy Alvarez, Rivera i samego Johnny'ego Silverhanda.
1771:  One jakiś wpływ mają.
1774:  Oczywiście największy ma ten Johnny'ego.
1776:  Pozostałe mają raczej wpływ na to, jakie opcje romansowe będą dla nas dostępne.
1785:  Więc to jest do poprawy.
1788:  I tak jak mówiłem w recenzji, ja nie wyobrażam sobie poprawienia tego hotfixa.
1791:  To jest po prostu złe światotwórstwo.
1793:  Światotwórstwo polega dobre na ciągłej świadomości tego, że mamy do czynienia z żyjącą rzeczywistością, w której każde nasze działanie ma reperkusję i wpływa na to, co się będzie działo w rzeczywistości.
1809:  wywołuje określone reakcje u użytkowników.
1813:  Wreszcie sprawia, że jesteśmy w stanie mniej więcej przynajmniej przewidzieć, czy jeżeli pójdziemy do tej części świata, będziemy mieć tu sprzymierzeńców, czy nie.
1824:  Jesteśmy w stanie wreszcie zlokalizować różne miejsca, które są w rzeczywistości, nie gubimy się w niej.
1830:  Jesteśmy w stanie wreszcie zamieszkać ten świat.
1834:  Nie tylko metaforycznie, ale całkiem dosłownie.
1838:  To nie jest tak, że jak żyjecie sobie w świecie, w waszej społeczności lokalnej, to to jest takie oczywiste i automatyczne.
1845:  Nie, tworzą się sieci relacji.
1847:  I to autentyczność i prawdziwość tych sieci relacji sprawia, że my postrzegamy jakiś świat jako prawdziwy.
1854:  Nie to, że jest grafika hiperrealistyczna.
1858:  Brutalny przykład, ludzie niewidomi też postrzegają rzeczywistość, też funkcjonują w tej rzeczywistości, a nie dostają żadnych bodźców graficznych.
1867:  a funkcjonują w świecie i mają poczucie realności świata.
1871:  Poczucie realności nie jest związane z tym, co widzicie na ekranie.
1874:  Więc poczucie realności jest związane właśnie z takimi mikrosytuacjami, o jakich wspomniałem na przykładzie komisariatu z Deus Exa.
1882:  Szczerze?
1884:  Od recenzji jeszcze przegrałem 20 godzin zadań pobocznych w cyberpunku.
1892:  Nie spotkałem się z takim przypadkiem.
1895:  Wyobraźcie sobie teraz, że questline z cyberpsychozą sprawia, że rozwiązawszy go, mamy możliwość ominięcia boss fightu z Adamem, mój ty Boże, jak on się nazywa, w tym momencie zapomniałem nazwiska, z Masherem.
1913:  No niewątpliwie jest to psychopata.
1916:  Wyobraźcie sobie ten moment.
1918:  nagradzamy gracza, który wykonywał zadania poboczne i pokazujemy mu.
1923:  Jesteś detektywem?
1924:  Jesteś dobrym detektywem?
1926:  Sprawdzasz się w tym?
1927:  Świetnie.
1927:  W walce z zadałem Smasherem nie będziesz musiał traktować go jako kolejnej gąbki na pociski.
1933:  Możesz z nim porozmawiać.
1934:  A tak mamy tylko i wyłącznie taką wyzutą z wszelkiego znaczenia opcję oszczeń Smashera lub nie.
1940:  I jedyną naszą motywacją jest to, że Smasher znalazł Johnny'emu Silverhandowi za skórę, bo tak naprawdę my go nie znamy.
1947:  I co, i zabijemy Smashera i Johnny powie nam, a ślicie, zabiliście Smashera, dzięki, po pszczody jestem.
1952:  Super.
1953:  Świetna motywacja, dojrzała, mądra.
1957:  To samo, jeżeli chodzi o wątki romansowe.
1959:  Wątki romansowe w cyberpunku są tak prymitywnie rozpisane, że są już poradniki, co zrobić, by raz zaruchać, dosłownie, w grze.
1969:  Nie wiem, czy to jest dojrzałe przedstawienie relacji seksualnych, ale tak na moje oko nie do końca.
1974:  Na pewno nie jest to dojrzałe przedstawienie relacji miłosnych i na pewno nie jest to dojrzałe podejście do zawierania jakichkolwiek związków, zwłaszcza w świecie, który, przypominam, reklamował się tym, że nie będzie heteronormatywny, w związku z powyższym powinniśmy mieć tam jeszcze większą opcję i większą pulę różnych możliwych zachowań, także nienormatywnych.
1993:  Nie mamy.
1994:  W ogóle.
1997:  A to też jest część naszego doświadczenia fabuły, czyli questów.
2001:  Istotna, bardzo istotna nawet.
2006:  Jeśli już o tym mówimy, kwestia czwarta.
2008:  To znaczy elementy już bardzo charakterystyczne dla RPGów.
2012:  Mamy trzy ścieżki życia.
2015:  Jakie one mają wpływ na to, jak rozgrywamy grę?
2019:  Korpos, Nomad, Street Kid.
2022:  Dostałem dodatkowe opcje dialogowe.
2025:  A i teraz pamiętacie, co mówiłem o złotej tej ścieżce fabularnej i tej niebieskiej?
2031:  Tak, tak, to jest część niebieskiej ścieżki.
2034:  Może raz czy dwa jako korpos miałem opcje na złotej ścieżce fabularnej.
2039:  Pozostałe to były niebieskie.
2040:  I jeszcze jedna ciekawa rzecz.
2042:  Ponieważ gra jest napisana w taki sposób, żeby doświadczać jej właśnie tylko tak, jak to sobie wyimaginowali deweloperzy,
2050:  to skutkiem tego w którymś momencie w człowieku zaczyna się wytwarzać takie przyzwyczajenie.
2055:  Aha, to jak wklikam się w te dodatkowe opcje niebieskie, to nie będzie tak, że pogłębię relację z daną postacią lub wiedzę na temat świata, tylko to jest ryzyko.
2066:  Bo Anusz powiem coś, co tę postać rozsierdzi.
2068:  Ja jako korpos miałem ten problem, że korposi generalnie są znienawidzeni.
2073:  I nikogo nie obchodziło to, że mnie korporacja Arasaka wykopała ze swoich szeregów i miałem problem.
2079:  I zarazem również zadrę i chciałem wendetty nadrzeczonej korporacji.
2083:  Nie, nie, nie, nie, nie!
2085:  Jeżeli wybieramy opcję korposa, to skutek jest tego taki, że po prostu będziemy traktowani jako dupek.
2092:  Świetnie, super.
2095:  Czasami jest tak, że możemy wykorzystać te opcje jako wyciągnięcie dodatkowej informacji, ale jeżeli nie wyciągniemy tych informacji, to i tak nic się nie zmieni, bo gra sama nam je poda.
2106:  na złotej ścieżce.
2108:  Wreszcie, w RPGach, jeżeli już mamy system klasowy, mamy też system przynależności klasowej, to znaczy mamy pewne frakcje, do których możemy przystać i frakcje, które nie będą nam sprzyjać.
2119:  Skyrim na przykład robił to o tyle źle, że w Skyrimie możemy przystać do wszystkich frakcji i skutkiem tego, jak w Sovngarde się spotykamy
2128:  z pewną postacią fabularną, której imienia nie zdradzę, bo schoda spoilować tym, którzy nie grali, to możemy się przedstawić jakoś.
2135:  Możemy się przedstawić w efekcie jako arcymak zimowej twierdzy, mistrz gildi złodziei w Pękninie i tak dalej.
2141:  Całą listę różnych tytułów dostajemy.
2144:  To, aby te frakcje nie rozmawiały między sobą, nie orientowały się.
2146:  Zaraz, ten gość jest... On rządzi nami wszystkimi.
2150:  Jak to się stało?
2151:  Jak do tego doprowadziliśmy?
2153:  Nawet Skyrim to robi źle, a Skyrim jest naprawdę dobrze zrobioną grą, jak na tamte czasy.
2158:  Cyberpunk doktores w ogóle tego nie robi, to znaczy, mamy żadnej przynależności klasowej, niby są nomadzi, ale polegają oni na tym, że możemy po prostu ich wezwać w którymś momencie do pomocy.
2169:  Korporacja w żaden sposób praktycznie nam nie pomaga, nie mamy żadnego systemu reputacji wrzeczonej korporacji,
2174:  możemy po prostu wykonywać questy lub ich nie wykonywać.
2177:  Myślałem, że street cred będzie polegał na tym, że to nie będzie tylko jeden parametr tego, że o, jest, wiadomo, szacunek ludzi ulicy, tak?
2187:  Tylko nie, nie, nie, że to będzie rozłożone, że przecież jest zróżnicowane wielowarstwowe miasto, że ci będą nam sprzyjać, ale tamci nie.
2194:  Jeżeli ten gang zaatakujemy, to on będzie w takim razie za nami wysyłał jakieś bojówki co jakiś czas.
2199:  Na tym polega system reputacji.
2202:  W Skylimie ostatecznie, wywołanym przed chwilą, wysyłano na nas w którymś momencie z dodatku Dragon Bone zabójców za nami, bo byliśmy niebezpieczni, dostawaliśmy listy z pogróżkami.
2216:  To są elementy właśnie budowania tego wrażenia otwartego świata i redukowania wrażenia bezkarności.
2223:  Wszystko, co robisz, ma konsekwencje.
2225:  W cyberpunku nie ma.
2227:  Powinno mieć, jeżeli chcemy, żeby ta gra była lepsza.
2230:  A po to jest to wideo.
2232:  Następnie opcje klasowe w dialogach, jak wspomniałem, również powinny podlegać systemowi reputacji i być w większym stopniu uzależnione od naszych atrybutów.
2242:  Postać inteligentna powinna się wysławiać lepiej i sprawniej niż postać, która jest myśniakiem i wchodzi na wszystkie konflikty.
2253:  Neverwinter Nights robił to w ten sposób, że parametr inteligencja odpowiadał za, w razie gdyby był zbyt niski, odblokowanie specjalnych ścieżek dialogowych.
2262:  Więc jeżeli byliśmy tępym orkiem, to myśmy my ork wejść do karczma!
2267:  I tak wyglądały wszystkie kwestie dialogowe dla osób poniżej pewnego pułapu intelektualnego.
2273:  Cudowne rozwiązanie, piękne, złośliwe poniekąd nieco, ale pokazujące, że parametry postaci to nie są tylko cyferki, takie cyferki, które wybuchają sobie jak strzelamy do kogoś, pif, pif, pif, pifi, cyferki, cyferki, cyferki i później wypadają klucuszki kolorowe, tak jak to jest w Looter Shootera i zbieramy klucuszki i później cyferki, cyferki, cyferki znowu.
2299:  Ja nie umiem tak grać, przepraszam, wiem, może ktoś to lubi, może kogoś to emocjonuje, wiem, że to można wyłączyć, ale mnie to denerwuje, denerwuje mnie sam pomysł sprowadzania zabijania człowieka do cyferek, które wypadają.
2312:  To nie jest slasher, to nie jest diablo, to nie jest hack and slash.
2318:  Tam jest miejsce na tego rodzaju mechaniki, w lootershooterach jest miejsce na tego rodzaju mechaniki, w RPGach jest miejsce na rzut kośćmi.
2328:  na losowo generowane wartości, które decydują o tym, czy nasz atak się uda, czy się nie udał.
2336:  I CRPG tylko ukrywają ten system pod warstwą wizualną, żeby to nie było takie wyraźne i pierwszoplanowe, choć Divinity, znaczy nie Divinity Baldur's Inn, tylko Baldur's Gate 3 ma w plamach, w każdym razie po tym, co widzieliśmy, właśnie te rzuty kośćmi potraktować pierwszoplanowo, więc tak też można zrobić.
2356:  W każdym razie w cyberpunku takiego wrażenia nie ma.
2359:  Następnie problem też ściśle związany z RPGami polega na tym słynnym problemie z przyrostem doświadczenia.
2368:  Problem polega na problemie, przepraszam, idę w tautologię.
2371:  Przyrost doświadczenia jest wieloparametrowy znowu i możemy mieć przyrost doświadczenia w ramach tego, jak wykonujemy jakąś czynność wielokrotnie,
2380:  rozwiązanie praktykowane przez Bethesda w The Elder Scrolls, ale możemy mieć też sytuację przeciwstawną.
2386:  To znaczy, że będziemy inwestować zdobywane punkty doświadczenia w określone drzewka umiejętności.
2392:  W cyberpunku, który oczywiście chce być grą dla wszystkich i dla nikogo, mamy obydwie formuły i obydwie mechaniki i obydwa modele.
2403:  No i zgadliście, nie działa to.
2405:  Trzeba się zdecydować na jeden albo
2408:  w jakiś inny sposób rzeczy rozwiązać.
2411:  Nie ukrywam, że podoba mi się pomysł z tym, żeby jakoś rozwinąć ten patent elderscrollsowy, ale na pewno powinniśmy zdobywać więcej punktów umiejętności, ponieważ cyberpunk w tym wymiarze godzinowym, w którym
2425:  w ogóle jest grywalny, bo naprawdę powyżej 80 godzin nie da się już grać w tę grę, jest tak frustrująca, tak denerwująca i tak jałowa, że nie poddaje się rozgrywce już po upływie tak długiego czasu.
2442:  I żebyśmy mieli po prostu okazję wypróbować różne drzewka umiejętności i wreszcie oczywiście zgadliście problem jest z restartem tychże, tzn.
2449:  możemy wykupić za cenę złota chip specjalny, który restartuje umiejętności, ale tylko częściowo.
2457:  Następnie, jeszcze raz, bo to warto wspomnieć.
2465:  Jeżeli jesteśmy w otwartym świecie, świecie gry RPG, przechodzimy teraz już do niedostatków otwartego świata w takim razie i do ostatniego rozdziału tej przydługiej wypowiedzi mojej.
2480:  to zaczynamy wchodzić na bardzo takie uncharted territory, terra incognita, dlatego że nie do końca wiemy wciąż, co świat czyni światem i co sprawia, że postrzegamy rzeczywistość jako rzeczywistą.
2497:  Wiem coś o tym z tego względu, że akurat światotwórstwem zajmuję się i naukowo, i częściowo w praktyce.
2504:  I konsultowałem projekty światotwórcze i starałem się w tym wspierać.
2507:  I nie ukrywam też, że akurat tym najbardziej się interesuję jako fan i potrafię godziny ciężkie spędzać słuchając lore videos o świecie Warhammera czy Gwiezdnych Wojen itd.
2519:  No czy Cyberpunka samego 2020.
2522:  Natomiast tutaj problem jest taki, że jedyny dostęp do wiedzy na temat świata jest w książkach.
2529:  które jak otwieracie na interfejsie, słyszycie w tle biały szum, zamiast np.
2533:  ambientu Michaela McCona lub jakiegokolwiek podobnego kompozytora.
2537:  Niezbyt to zachęca do poznawania czegokolwiek o historii tego świata.
2541:  Następnie powinniśmy się dowiadywać czegoś o świecie od bohaterów, zwłaszcza od zamieszkujących go ludzi.
2548:  Chcesz się dowiedzieć czegoś na temat jedzenia, które jest w Night City?
2552:  Porozmawiaj ze sprzedawcą sushi.
2553:  Nie mamy takiej możliwości.
2556:  To jest fenomen, bo Redzi z jednej strony potrafili zadbać, żeby w rozmowie z Takemurą w którymś momencie nasza postać, jak zjada klopsiki, to zjadała pojedynczo każde szaszłyka, na które są nabite, czego nie widziałem w żadnej innej grze i ta scena mnie urzekła.
2574:  To był taki moment, kiedy poczułem, jestem w tym świecie.
2578:  Ale to był moment, przebłysk, prysuł, jak czar, jak iluzja, którą jest.
2585:  Ta iluzja nie powinna pryskać, ona powinna być cały czas utrzymana.
2588:  Pamiętacie, jak się wszyscy śmiali ze Strażnika, który took an arrow to the knee ze Skyrima?
2594:  Ale on opowiedział swoją historię.
2597:  A podejdziemy do jakiejkolwiek postaci NPC, która nie jest powiązana z questlinem,
2602:  i dostaniemy generyczne uwagi, na które się zrzymałem w recenzji.
2606:  Najczęstszą uwagą jest get out of my way, get out of my way, get out of my way.
2611:  To już zresztą czekało się parodii na YouTubie.
2613:  Gdzieś tam ją podlinkuję w opisie.
2615:  Get out of my way.
2617:  No bardzo to zachęca do rozmów z MPCami.
2619:  Wyobraźcie sobie Państwo, że chodzicie po ulicach i rozmawiacie z kimś i słyszycie coś takiego.
2625:  Znaczy nie, no wystarczy pojechać do Krakowa.
2627:  Żart, przepraszam, sam jestem z Krakowa i wcale bym tak nikomu nie powiedział.
2632:  Ale prawda jest taka, że można się spodziewać tego rodzaju opinii, czy tego rodzaju stereotypu, bo rzeczywiście prawda jest taka, że Krakusi są coś wycofani.
2643:  A tylko ludzie z Krakowa wiedzą, że Kraków dzieli się tak naprawdę na właściwe miasto i tak zwany Krakówek.
2649:  I to tam są te wszystkie buce, których należy unikać.
2651:  No ale skąd mają to wiedzieć przyjezdni?
2654:  Koniec dygresji na temat Krakówka.
2657:  Rzecz jest taka, że niestety w Night City, Night City jest całym takim Krakówkiem, ktoś zresztą powiedział słusznie i zrobił mem na tej zasadzie, że nie Night City, tylko w zasadzie Ciemnogród.
2666:  I trochę tak jest, tzn.
2668:  spotykamy się z bandą ordynusów, idiotów i zabijaków.
2673:  Questy częstokroć sprowadzają się do tego, pamiętam taki jeden, że trzeba ocalić jakiegoś korposa przed policją i trzeba strzelić do policji z granatnika i oczywiście policja nie zaczyna nas ścigać wtedy.
2684:  Nie, bo to jest część quest'a.
2687:  I to jest taka zamknięta część i wtedy policja nie robi nam ziazi.
2692:  Ale nie dajcie bogowie, żebyśmy podeszli do jakiejś crime scene, która pojawia się co jakiś czas emergentnie w Night City, to wtedy natychmiast dostajemy kulkę w łeb.
2702:  Ale jak strzeliśmy z granatnika w obrębie quest'a, to mamy immunitet.
2709:  Kolejny przykład tego, jak się nie projektuje otwartego świata.
2713:  Wreszcie porządne światotwórstwo zakłada również to, że mamy takie poczucie, powtórzę to po raz kolejny, bycia w świecie.
2721:  Dobrym przykładem tego jest, znowu będzie Skyrim, scena, w której w obozach gromowładnych i imperialnych widzimy, jak się pochylają nad mapą krainy.
2730:  To jest piękne.
2732:  To pokazuje, że ten świat wytwarza swoje artefakty kulturowe.
2737:  I na wielu let's playach i recenzjach cyberpunka ludzie np.
2742:  starali się pograć na arcade machines, które są w różnych salonach gier.
2749:  Nie da się.
2751:  Można obejrzeć film jak GTA?
2754:  Nie, nie da się.
2755:  Może można zagrać w jakąś minigrę?
2758:  No powstrzymajcie mnie, bo znowu zacznę mówić o sudoku i hakowaniu, które jest koszmarne.
2764:  Jest jeden jedyny quest związany z Riverem, gdzie możemy zagrać w grę, ale to granie w grę jest w zasadzie graniem w takiego larpa, powiedzmy, razem z dzieciakami, czyli dalej jesteśmy w tym świecie, różnica jest taka, że mamy inny interfejs.
2778:  Ale to jest taki przykład z udanego zaimplementowania minigry, tylko chcielibyśmy tego więcej w otwartej rzeczywistości.
2785:  I skoro już jesteśmy przy tym,
2788:  to otwarty świat nie powinien komunikować w swojej historii tylko za pośrednictwem e-booków.
2794:  Come on, jest 2077 rok.
2797:  Nie wierzę, że nie ma innych sposobów komunikowania o tym, co się dzieje w świecie.
2801:  Bo przecież mamy braindance, czyli mechanikę, którą CD Projekt Red wykorzystało może 4, może 5 razy, z czego 3 razy w wątku głównym.
2810:  Umyka mi to kompletnie, ponieważ to były najbardziej emocjonujące momenty rozgrywki.
2814:  Oczywiście wtedy, kiedy działały.
2819:  Braindance to dosłownie, czy taniec umysłu, więc piękna też metafora, możliwość odtworzenia ostatnich chwil Denata z różnych perspektyw zarejestrowanych przez jego wszczepy cybernetyczne.
2832:  Jakie to daje możliwości do tworzenia...
2836:  kilkudziesięciu co najmniej fabuł detektywistycznych i stworzenia całej subklasy dla hakera, który będzie się chciał specjalizować w zadaniach detektywistycznych i budowaniu reputacji w obrębie Night City Police Department, NCPD.
2851:  Wyobraźcie to sobie przez moment, że możecie być prawdziwym PI-em, detektywem, private investigator w świecie cyberpunka.
2860:  w którym jeden, jedyny raz przyjeżdża Trauma Team, to znaczy wtedy, kiedy nie możemy nic zrobić i tylko stoimy z rękami podniesionymi.
2867:  Tak to jest ten fragment, który widzieliście na E3.
2870:  I nigdy więcej nie widziałem już interwencji Trauma Team.
2875:  Zbrojnej.
2877:  A może mógłbym chcieć się stać częścią tego.
2880:  Może chciałbym współpracować z Militechem.
2882:  Może chciałbym współpracować z Nightwatchem.
2885:  Może chciałbym współpracować nie tylko z Nomadami.
2891:  Nie mam takiej opcji.
2896:  Trudno powiedzieć, jaka jest tego przyczyna.
2898:  Tak już w ramach podsumowania, czy próby podsumowania.
2901:  Moim zdaniem, i to jest moja robocza hipoteza, rzecz bierze się z tego, że gra pierwotnie miała mieć trzy postaci, które miały być powiązane z tymi trzema klasami.
2911:  Johnny Silverhand miał być właśnie takim zwariowanym rockmanem, z umiejętnościami technologicznymi, raczej nastawionym na akcje.
2918:  Miał być ktoś w rodzaju Jackiego, ale mieliśmy możliwość wcielenia się w pełnoprawnie, który byłby skoncentrowany właśnie na bijatykach, pięściach, rozwiązaniach siłowych itd.
2929:  i byłby mniej przebojowy powiedzmy od Johnny'ego Silverhanda i miał być wreszcie Korpos.
2935:  postaci jednej z postaci, którą spotykamy w grze tak swoją drogą.
2940:  Już chcę unikać takich większych spoilerów, więc nie będę wspominał kogo, ale możliwość rozegrania całej tej historii z perspektywy wewnątrzkorporacyjnej, bez całego tego bullshitu związanego z implantem, no byłaby niesamowita.
2954:  Bo też pomyślcie nad tym, dlaczego został wprowadzony ten implant?
2958:  Dlatego, że połączyliśmy dwie postaci w jedną, bo tak było taniej i prościej.
2962:  I tutaj spodziewam się, że jest ten problem.
2964:  Wyobrażam sobie, że było tak, że cyberpunk został napisany, a naprawdę, znam też ludzi, którzy piszą dla CD Projekture, to są wybitni pisarze, wybitni scenarzyści.
2976:  Bardzo jest możliwe, że produkcja przyszła, zapukała do nich i powiedziała, chcemy produkt.
2982:  Już, już, dowozić, dowozić.
2984:  I ten nacisk sprawił, że być może nie dostaliśmy tego, co powinniśmy byli dostać.
2991:  Hmm...
2993:  Ale to jest tylko hipoteza.
2995:  Natomiast musimy oceniać to, co dostaliśmy.
2999:  A dostaliśmy amalgamat, dostaliśmy grę z ambicją do bycia RPG-iem z otwartym światem, ale ona nie jest nawet RPG-iem.
3008:  To jest gra akcji z elementami RPG.
3011:  Tak jak definiowaliśmy sobie Deus Ex Human Revolution, Bioshock Infinite, to nie są złe gry.
3018:  ale one nie mówiły o sobie, jesteśmy RPG-iem z otwartym światem.
3022:  Come on, jeśli by ktokolwiek przedstawił mi, sam Ken Levine, przedstawił mi Bioshocka Infinite jako RPG-a z otwartym światem, to bym go wyśmiał tak samo, jak wyśmiewam CD Projekt Red w tej chwili.
3035:  Bo Bioshock Infinite jest wszystkim, ale nie otwartym światem.
3038:  Jest tunelem, pięknie zaprojektowanym, cudowną fabułą, absolutnie, i wybitnymi rozwiązaniami narracyjnymi.
3047:  ale liniową.
3047:  To, że gra jest liniowa, to nie jest złe.
3049:  Ona po prostu musi być dobrze zrobiona i dobrze napisana, żeby ta liniowość wychodziła.
3055:  Cyberpunk teraz w tym kształcie, w którym jest, nie jest dobrze napisany.
3060:  I teraz najważniejsze.
3062:  Można się cieszyć tą grą, ale absolutnie tego nie neguję.
3065:  Ba, cieszyłbym się, gdyby było dużo takich ludzi, ale media na recenzji mówi nam w tej chwili coś zupełnie innego.
3071:  Niemniej, ja tego wszystkiego nie mówię w tej chwili po to, żeby powiedzieć Wam, że doświadczacie tej gry w zły sposób, albo że jest ona beznadziejna i hurdur, hurdur, bugi.
3081:  Nie, to nie o to chodzi.
3082:  Nie wspomniałem ani o jednym bugu graficznym, którego doświadczyłem i szczerze nie chcę wspominać, bo uważam, że to jest całkowicie nieistotne.
3089:  W tylu grach miałem bugi, które przeszkadzały mi w rozgrywce, ale w większości z tych, w które grałem, nie miałem takiej sytuacji, żeby wybijać się z imersji tylko i wyłącznie z uwagi na bugi.
3100:  Natomiast w Cyberpunk mnie wybijał z imersji notorycznie.
3104:  Co ciekawe, nie wtedy, kiedy miałem bugi.
3108:  Potrafił mnie wybić z imersji nawet wtedy, gdy wszystko wydawało się działać płynnie.
3119:  Ostatecznie, jeżeli wyobrazimy sobie, że z jakichś względów, hipotetyczna sytuacja, bo chcę rozpaczliwie uniknąć spoilera,
3133:  Chcemy zerwać relacje jakiekolwiek z jakąś osobą.
3138:  To nie jest scenariusz cyberpunku, który występuje, ale jest analogiczny do innej sytuacji, która jest pod koniec gry w pewnym zakończeniu.
3146:  Jeżeli chcemy zerwać z tą rzecz osobą, obrażamy ją, mieszamy z błotem, wybywamy, żeby nigdy jej w życiu nie zobaczyć i wyobraźmy sobie, że taka gra pod sam koniec nam mówi...
3159:  Ale słuchaj, bo w sumie obecny jej facet ma dla ciebie fajne zadanie, to pomóż im teraz, wróć i pomóż im, no będzie fajnie.
3169:  I może trójkąt sobie zrobić razem.
3172:  Mniej więcej coś takiego dzieje się w cyberpunku.
3175:  Sam samiusieńki koniec.
3176:  Jak już właśnie gra stwarza nam na powrót możliwość zaangażowania się w aktywności tak zwane open worldowe.
3185:  Tak zwane open worldowe.
3189:  Bo nie mają one nic wspólnego z otwartym światem.
3191:  W takim rozumieniu, w jakim się przyjęło ten otwarty świat postrzegać.
3194:  Czyli nie tylko to, że nie jesteśmy w stanie z obozu nomadów przejść w linii prostej do majoczącego na horyzoncie Night City, ponieważ natrafiamy na niewidzialną ścianę.
3206:  Tak, możecie to sprawdzić.
3207:  Na Badlancach możemy tylko i wyłącznie jedną ścieżyną dojść do Night City.
3214:  Otwarty świat bierze się również z tego, że w taki sposób przywykliśmy postrzegać doświadczenie narracyjne, nie tylko doświadczenie eksploracji.
3224:  Otwarty świat nie będzie wtedy, jeżeli nie będziemy mieli nigdzie niewidzialnych murów, jeżeli równocześnie narracja nie będzie temu sprzyjać.
3231:  Ta możliwość porozmawiania z każdym i odkrycia jakiegoś questline'u, nie wtedy, kiedy zaznacza się on pytajniczkiem na mapie.
3240:  Idziemy do pytajniczka i o, komuś trzeba pomóc, dziękuję pytajniczku, że mi to powiedziałeś, gdyby nie ten pytajniczek, to bym tego nie wiedział.
3250:  Tak nie jest w rzeczywistości.
3252:  która nas otacza, więc jak mamy postrzegać coś takiego jak realne?
3256:  Jak mamy to postrzegać jako coś, co się dzieje w otwartym świecie?
3260:  Jak mamy postrzegać to coś jako autentyczne i wiarygodne?
3264:  To nie jest autentyczne i nie jest wiarygodne.
3267:  To się niczym nie różni od tunolewego doświadczenia gry, która nam mówi pójść z punktu A do punktu B. To ja już wolę Call of Duty, które niczego nie udaje, niż grę, która sprzedaje siebie jako grę z otwartym światem, pod czym oferuje mi najbardziej linearne doświadczenie z możliwych.
3285:  Night City jest piękną piaskownicą, tylko że bez piasku.
3290:  W tym momencie mamy tam troszeczkę piasku, troszeczkę tłuczonego szkła, a troszeczkę shitu.
3300:  I to wszystko sula się w takim kotłowisku nieprzyjemnym, w tym jak tylko uda nam się wyjść na powierzchnię i zaleczyć te wszystkie rany, zakażone jeszcze przy okazji z uwagi na to, co jest w tej piaskownicy.
3320:  I zaczerpniemy tego świeżego powietrza, pooddychamy trochę klimatem tego miasta, to gra nas znowu wpycha pod powierzchnię.
3327:  I znowu doświadczamy tego wszystkiego, co jest w niej denerwujące.
3332:  Do tego stopnia, że nawet nie miałem okazji zrobić tego, co robiłem zawsze i w GTA, i w Mafii, i w Watch Dogsach, i we wszystkich grach tego typu, to znaczy nie bunkrowałem się w tunelu, nie gromadziłem z pierwszej, z drugiej strony gigantycznej liczby samochodów, które następnie wysadzałem granatnikiem po to, żeby zwiększyć liczbę gwiazdek w protokołach poszukujących mnie policji i następnie walczyć z policjantami, aż umrę.
3358:  Taki The Last Stand, który zawsze lubiłem sobie realizować.
3361:  To czysta zabawa.
3363:  W piaskownicy, w sandboxie.
3365:  Nie miałem na to ochoty w cyberpunku.
3368:  Przecież wiedziałem, do czego to prowadzi, to znaczy, że nagle policja się zmaterializuje za mną, bo policja w tej grze się teleportuje, w związku z powyższym cała ta moja taktyczna strategia nie miałaby żadnego sensu, prawda?
3379:  I to może jest najlepszym świadectwem tego, że i wyjaśnieniem zarazem powodu, dla którego tak ostro zakończyłem recenzję, mówiąc, że nie chcę wracać do tego świata, bo właśnie to nie jest świat, do którego można wrócić, to są dekoracje puste,
3396:  które zostały zapełnione treścią w sposób całkowicie przypadkowy, które zostały obudowane mechanikami, które nie działają i które zostały wreszcie zaczerpnięte z tak wielu gatunków gier, że tworzą razem amalgamat niegrywalny dla każdego, kto za bardzo się...
3415:  z jakimś nurtem gier wideo.
3417:  Jeżeli ktoś gra wyłącznie w RPGi, to on prawdopodobnie dostrzeże to spektrum problemów, które mnie bardzo przeszkadza.
3425:  Jeśli ktoś raczej pogrywa sobie w różne gatunki, być może właśnie to będzie dla niego idealna sytuacja, bo dostanie coś z każdego.
3435:  Jednak wydaje mi się, że jak na grę tego kalibru?
3440:  To jest za mało i co więcej, jak na grę tego kalibru moglibyśmy zadowolić obydwie grupy graczy.
3446:  Po prostu deweloperzy powinni byli dostać więcej czasu.
3449:  Znacznie, znacznie więcej czasu.
3451:  Nie mówimy o dodatkowych dwóch miesiącach.
3453:  Problemy, o których ja powiedziałem tutaj, są problemami na development dwu-, trzyletni.
3461:  Chyba, że przy obecnym zaawansowaniu prac byłyby tam jakieś opcje łatwych ingerencji, które by zmieniały reguły rządzące tym światem, ale na tyle, na ile orientuję się w tym, jak projektowane są światy gier wideo, także od strony technicznej, nie jest to takie proste, jak się wydaje.
3479:  To nie jest kwestia dołączenia paru algorytmów, które sprawiają, że NPCowie zaczną rzeczywiście krzątać się wokół swoich czynności i żyć.
