Ród Smoka odc. 1 | Mamy nową Grę o Tron? | Recenzja i analiza
🔗 https://www.youtube.com/watch?v=JY1Umq4D26w
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

1:  BFP - To nie zmienia faktu, że możemy rozmawiać.
1651:  BFP - Właśnie, on naprawdę ma wiele wspólnego z Euronem Greyjoyem.
1654:  KMM - Dlatego mówię, to jest amalgamat mnóstwa ciekawych postaci i który ma szansę być jedną z najbardziej farbujących w ogóle postaci, które weszły na scenę w Pieśni Lodu i Ognia, rozumianej jako całościowe uniwersum.
1669:  GW - O ile Sapocznik nie zrobi tutaj, że tak powiem, kontynuacji tak zwanej subwersji oczekiwań i nie zabiją go w pierwszym sezonie.
1679:  GW - W każdym razie dr Hu w długich włosach dał radę na pewno.
1687:  GW - Bardzo fajnie opisano go na którejś zebraniu właśnie rady, że kiedy dostał funkcję strażnika praw był tyranem, kiedy
1699:  GW - był skarbnikiem, był strasznie skąpy, a kiedy przydzielono mu Złotą Straż, zrobił sobie z tego po prostu oddziały milicji takiej à la gestapo.
1713:  GW - Więc tak naprawdę widać, że on niezależnie od
1717:  GW - od przydzielonej funkcji oddaje się, że tak powiem, istocie zadania.
1725:  GW - Więc faktycznie w myśl Machiavellego byłby władcą idealnym, bo wybiłby wszystkich wrogów do cna, przycisnął ludzi i siedział sobie sam na swoim żelaznym tronie.
1739:  GW - No ale całe szczęście jeszcze są ludzie dookoła, którzy zauważają, że tak naprawdę zanim by usiadł na tym tronie, spaliłby całe królestwo dookoła, więc zobaczymy, jak jego starania...
1754:  GW - zostaną ucięte i w którym momencie.
1756:  BFP - Cezary zauważył na czatach, że Damon to Joffrey posiadający inteligencję i osobistą odwagę.
1761:  BFP - Change my mind.
1762:  BFP - Ja bym dorzucił jeszcze i charyzmę.
1766:  BFP - I wiedzę.
1767:  BFP - Dokładnie to chciałem powiedzieć.
1768:  BFP - Tak jak Euron Greyjoy był...
1772:  BFP - złą postacią, ale miał wiedzę o świecie.
1774:  BFP - Każdemu imponował, co widział, gdzie był, bo był żeglarzem, był piratem, który zwiedził większość tego świata znanego, a nawet nieznane, nawet nieznane miejsca, które nie zostały znaczone na mapach, przecież on był w Starej Walerii i to jest intrygujące, że my też nie wiemy, gdzie był Damon przez te ostatnie kilka, może kilkanaście lat.
1795:  BFP - Tam jest mowa, zostawiłeś swoją żonę, gdzieś tam sobie latasz frywolnie na swoim smoku
1801:  BFP - No i kurczę, muszę sobie pozwolić na to, muszę powiedzieć słowo o smokach, jak bardzo pociąga mnie wizja smoków w tym serialu, który pojawia się od razu.
1813:  BFP - I to nie jest tak, że one będą sobie dorastały, one już są bronią atomową, którą dysponują Targaryenowie.
1820:  BFP - Bo tak George R. R. Martin słusznie kiedyś porównał smoki pod władzą Targaryenów do broni nuklearnej.
1827:  BFP - To tak zdobyto Westeros, tak oni podporządkowali sobie Westeros.
1831:  KMM - Tak, chociaż taniej ze smokami, czyli te wydarzenia, które się teraz zbliżają, to jest też okres, w którym Targaryenowie zdają sobie sprawę z tego, że smoki...
1840:  KMM - Karlejo staje się coraz słabsze z tego względu, że są trzymane w niewoli właśnie w King's Landing.
1847:  KMM - Więc to jest też to, o czym mówiłem, że Daemon może podejrzewać, to znaczy, że dlatego Westeros potrzebuje silnego króla, żeby po prostu ruszyć ze smokami na podbój, wypalać wszystko, rozszerzyć imperium.
1858:  KMM - To jest, myślę, jedna z jego motywacji, które on może mieć.
1862:  KMM - bo jego więź ze Smokiem jest niezwykła i to jest zresztą bardzo podkreślone w serialu pod sam koniec, jak on nawiązuje więź ze Smokiem swym i jak się o niego troszczy, nie oddając go tym, no nazwijmy ich stajennych, okej?
1878:  KMM - Tak jak Rainera oddaje i dobra, okej, to ogarnijcie Smoka, ja teraz idę do swojej lektyki, a nie, nie, Damon Targaryen podchodzi sam, zajmuje się nim, a stajenni...
1888:  KMM - smoczenni, stoją sobie obok.
1891:  KMM - Jeszcze muszę Filipa poprawić jako loremistrz tutejszy, dotyczący wszystkiego, co jest znane z Pieśni Lodu i Ognia.
1896:  KMM - Valeria jak najbardziej jest na mapach, ale Euron Greyjoy był na innych kontynentach, to znaczy na ubrzeży Sophorios, czy nawet dotarł do Asshai, które właśnie są już mniej zdecydowanie znane.
1906:  KMM - ale książkowy Euron jest zupełnie inny od Eurona serialowego, który został sprowadzony do bycia pantoflarzem Liny Headey, ponieważ już wtedy weszły niestety te różne walk-tropy i sprowadzono tę postać do śmiesznostki, którą nie był.
1922:  KMM - Było to strasznie irytujące i pamiętajmy, że to jest ósmy sezon i o pewnych rzeczach się nie rozmawia.
1928:  BFP - The Dead Grammar dokonał fenomenalnej językowej aktualizacji.
1932:  BFP - Otóż stajenni
1935:  BFP - Tutaj mamy grotni.
1936:  BFP - Oni są grotni.
1937:  KMM - To jest grota, tak.
1938:  KMM - Grotni.
1939:  BFP - Coś pięknego.
1940:  BFP - Wielkie brawa dla ciebie, Ned Grammar.
1944:  BFP - A coś a propos smoków jeszcze chciałem dodać.
1947:  BFP - Mianowicie bardzo fajnie to, co powiedziałeś, że te smoki będą karlały z czasem.
1955:  BFP - I również tutaj widzimy, że te smoki są bardziej od siebie różne.
1958:  BFP - My spośród 17 smoków, które pojawiają się w Blood and Fire, czyli książce na George'a R. R. Martin'a, na podstawie której oparty jest ten serial, zobaczymy bodajże 9 tych smoków.
1970:  BFP - I już teraz widać, że na przykład zdeformowany jest jeden ze smoków.
1974:  BFP - Nie mam pewności, czy to jest smok Rejnyry, czy to jest smok Daimona właśnie.
1979:  BFP - Wydaje mi się, że Rejnyry, ale ma nieproporcjonalnie długą szyję.
1983:  BFP - I coś, co wygląda jak skrzydła bądź płetwy przy nogach, tak.
1987:  BFP - Więc wydaje mi się, że też będą bardziej różnorodne te smoki.
1990:  BFP - Mam nadzieję, że zobaczymy coś więcej niż tylko różnice w kolorach, bo trudno było odróżnić smoka od smoka spośród tych trzech, które mieliśmy.
2000:  BFP - No dobra, może kiedy jeden zmienił się w zombie, to wtedy było trochę łatwiej.
2003:  KMM - Generalnie demon Targaryen ma też, i w ogóle Targaryenowie jako całość rodu, o tyle symboliczną relację ze smokami, że tak samo jak karleją smoki, tak samo karleje dynastia Targaryenów, która cały czas para się incestem, żeby utrzymać tę właśnie więź ze smokami, która jest przekazywana genetycznie.
2024:  KMM - No i tu się pojawia Otto Hightower, jak ja lubię te posty.
2027:  KMM - Ja uwielbiam tego aktora.
2029:  BFP - A propos tego, co powiedziałeś Krzysztof, myślę, że wszyscy we trzech możemy z czystym sumieniem polecić Wam jeden z najlepszych kanałów na YouTubie, jakim jest Alt Shift X.
2042:  BFP - jak my z Krzysztofem karmiliśmy się jego odcinkiem The Real Dune gdzie przez dwie godziny opowiada o różnicach między książką a filmem a potem obejrzeliśmy film do tego się nie da opisać jaka to jest uczta intelektualna on wypuścił odcinek właśnie wszystko co powinniście wiedzieć o Targaryenach przed obejrzeniem serialu i on właśnie ciekawie opowiada o tych rytuałach Targaryenów które nawet uwzględniały stosunki seksualne
2071:  BFP - ze smokami, a przynajmniej Targaryeni uprawiali seks ze sobą i smoki dołączały do tego.
2077:  BFP - Więc to taki mały piece of miscellaneous information, który zawsze może wam się przydać na lekcjach języka polskiego na przykład, jeżeli będziecie musieli błysnąć znajomością lektur.
2087:  BFP - Kingi trivia.
2088:  BFP - Kingi trivia.
2091:  BFP - Otto Hightower.
2091:  BFP - Grzegorz, czy masz coś do powiedzenia o Hand of the King?
2097:  GW - No wspaniale zagrana postać.
2099:  KMM - W kontekście kinky trivia.
2101:  GW - W kontekście kinky trivia, akurat to jest najbardziej chyba konserwatywna postać, także tutaj trzyma się... O przepraszam, niemal co wypuścił swoją córkę, bo już buduje długoterminowy plan.
2115:  GW - Moment, moment, moment.
2119:  GW - konserwatywne a propos tego, jak działają reguły królestwa i dworu.
2128:  GW - Więc tutaj niestety trochę przedmiotowo potraktował swoją córkę, żeby utrzymać
2141:  GW - wpływy i łaskę króla.
2144:  GW - Więc tutaj ja nie mówię konserwatywnie w takim myśleniu, jakim my uważamy, tylko reguł.
2150:  GW - Czyli z mężem stanu po prostu.
2151:  GW - Tak, z zagrywek dworskich.
2154:  GW - No i zresztą już też wyczuł w pewnym momencie pięknie pokazano, jak bardzo próbował trzymać fason, kiedy Damon Targaryen wyzwał na pojedynek jego syna
2170:  GW - na kopie i jak potraktował go niesportowo, za co też został zresztą Damon tam wygwizdany w pewnym momencie, no bo o ile dobrze kojarzę, no to zawsze kopią się celowało w współzawodnika, a nie jego konia, więc
2190:  KMM - No podcinanie nóg konia kopią to jest bardzo brzydka zagrywka w joustingu.
2198:  GW - Natomiast sama postać, mam nadzieję, że się długo utrzyma, bo to jest taka ostoja tak naprawdę króla i tutaj faktycznie on jest taką prawą ręką, na której król może się zepszeć.
2213:  GW - i pozostaje tylko mieć nadzieję, że młoda królowa, o ile utrzyma się na tronie, no to też będzie zasięgała jego rady i on zrobi chyba tak, wygląda na to, że on tutaj będzie głównym też prowodyrem tego, żeby szukać nowych dróg na zwalczanie wpływów Daemona na dworze królewskim.
2240:  BFP - Tak, wydaje mi się, że on będzie stanowił bardzo ciekawą przeciwwagę dla tej układanki Rejnera, Damon, ale zawsze Filip musi sprawdzić, Reynis.
2250:  BFP - Ona jeszcze nie wykonała swojego ruchu, ona jest jak cichy barateon spośród trzech braci, który dopiero czeka na swój ruch i ona może wykonać go w odpowiednim momencie.
2261:  BFP - No i ten Otto Hightower, który jest, no ten gościu gra w go.
2265:  BFP - Szachy to nie jest jego game of choice, tylko go.
2270:  BFP - I koleś potrafi delikatnie, nawet nie manipulować swoją córką, tylko użyć perswazji, żeby powiedzieć, nasza miłość bardzo cierpi, jest w swojej komnacie, idź do niego i pociesz go.
2285:  BFP - I już wtedy czuć, czy tu nie ma jakiegoś podtekstu seksualnego.
2289:  BFP - I ona się waha i mówi, no idź po prostu, idź ze swoim dobrym słowem.
2292:  BFP - I to jest to zasiewanie ziarenka, bo czego potrzebuje jeszcze król?
2297:  BFP - Nadziei, że może mieć jeszcze męskiego podomka.
2300:  BFP - A z kim mamy fenomenalną scenę, w której jego żona mówi mu królowa...
2306:  BFP - 5 poronień, 5 terminowanych ciąż, nie z jej woli oczywiście, w ciągu 10 lat.
2313:  BFP - Ja nie wiem, czy jeszcze mam siłę.
2315:  BFP - Mam nadzieję, że to będzie syn.
2317:  BFP - I kończy się to jej śmiercią.
2318:  BFP - I nagle pojawia się młoda kobieta,
2321:  BFP - No i chyba jasne są plany Otto Heitawera, który tutaj rozgrywa naprawdę długoterminową i ciekawą rozgrywkę na dworze.
2332:  BFP - Krzysztof?
2333:  KMM - Igliw słusznie też przypomina, że Heitawerowie mają historyczne związki z Cytadelą i z Meesterami.
2339:  KMM - To jest nieznany wątek dla widzów serialu, ale w powieściach Pieśni Lodu i Ognia bardzo wyraźnie jest powiedziane, że Meesterzy mieli
2349:  KMM - zupełnie inne plany wobec Westeros, byli raczej po stronie technologii niż magii.
2354:  KMM - Nie podobały mi się ogromnie zarówno machinacje Targaryenów, jak i ich quasi mistyczny związek ze smokami, już nie mówiąc o samych smokach.
2362:  KMM - Jest jeszcze jeden maester w Pieśni Ledu i Ognia, który się para czarną magią między innymi i jest wykluczony przez to z Cytadeli, więc Hightowerowie nigdy nie wkroczyli na scenę polityczną Westeros jeszcze tak mocno, jak za sprawą nie tylko Ottona Hightowera, ale także jego syna,
2377:  KMM - który też ma symboliczne zwycięstwo z Targaryenami przez no właśnie to, że finalnie pokonuje demona Targaryena w pojedynku.
2386:  KMM - I to jeszcze wymusza na nim kapitulację, więc to jest bardzo takie gorzkie, gorzka porażka i gorzka lekcja dla demona Targaryena, a zarazem również symboliczne zwycięstwo dla Hightowerów.
2398:  KMM - To znaczy Hightowerowie mają teraz szansę
2400:  KMM - zwyciężyć na dwóch polach.
2401:  KMM - To znaczy po pierwsze tym dynastycznym przez machinację Ottona, a po drugie na tym symbolicznym bitewnym wojennym dzięki jego synowi.
2408:  KMM - Więc fantastycznie, że wprowadzają Hightowerów.
2411:  KMM - Mam mokry sen nerda, że dzięki temu dostaniemy się czegoś więcej od Stadeli, Maesterech i właśnie relacji między Hightowerami a Stadelą.
2420:  BFP - Ja chciałem przeczytać komentarz Cezarego, który nie zawodzi, uzupełniając to, o czym mówimy.
2426:  BFP - Konflikt Damon vs Otto to jest ciekawy początek do rozważań nad władzą.
2431:  BFP - Lepszy jest ktoś charyzmatyczny i przebojowy, czy osoba kryjąca się w cieniu i pragmatyczna do bólu?
2436:  BFP - I faktycznie ten spór między nimi o istotę władzy wychodzi w momencie, w którym Damon, w zasadzie pierwszy raz kiedy go widzimy po scenie z Reinerą, to jest jak wyprowadza swoje złote płaszcze i dokonuje ultra brutalnego pokazu siły, swoich nowych sił porządkowych.
2459:  BFP - Siądz terror, on rządzi terrorem.
2461:  GW - Złote gestapo po prostu.
2462:  KMM - Tak, złote gestapo.
2463:  KMM - Zostałem poprawiony na czatach i słusznie.
2465:  KMM - To znaczy, że Kristen Cole pokonywał Demona Targaryena w pojedynku.
2470:  KMM - Tak, czyli Dornilczyk.
2472:  KMM - Ja nie wiem.
2473:  BFP - Też się przez małe zacząłem zastanawiać, bo chciałem powiedzieć, że ten Dornilczyk jeszcze powróci.
2477:  BFP - O tego Dornilczyka
2479:  BFP - Ten dorniczyk to jest właśnie Criston Cole i to jest ten, który pokonuje.
2484:  BFP - To synowi Hightowera niestety podkłada kopię pod kopyta Damon i nie wiadomo nawet w jakiej kondycji jest.
2493:  BFP - Widzimy tylko, że mocno ląduje na twarzy i zostaje wyprowadzony, a jego ojciec, czyli rzeczony Otto Hightower musi zachować kamienną, posągową twarz.
2503:  BFP - Co też jest naprawdę, to jest, kurde, to jest dla mnie majsterszczyk, zarówno scenariuszowy, jak i reżyserski.
2509:  BFP - Mamy najpierw konflikt rozrysowany między Ottonem, bo nie wiem jak to inaczej odmienić, Otton mi się bardzo podoba, między Ottonem...
2517:  KMM - No to ja się tłumaczę jako, ale w odmianie musisz powiedzieć Ottona, nie da się inaczej.
2522:  BFP - No to pięknie, no to znaczy, że coś wyniosłem ze szkoły.
2526:  BFP - Więc między Ottonem a Damonem najpierw konflikt werbalny, gdzie mówi, podważasz istotę prawa i porządku w naszym mieście, w naszej stolicy, jeżeli robisz sobie taką samowolkę, a Damon mówi, zobaczymy jakie to przyniesie efekty.
2543:  BFP - Po czym kilka scen później mamy dalej ten konflikt i kontynuację, ale na spojrzenia.
2548:  BFP - Po prostu patrzy mu w oczy i mówi teraz wybrałem twojego syna na twoich oczach i teraz go zmasakruję.
2553:  BFP - No i to jest dla mnie wszystko to, co najbardziej lubiłem w grze o tron, ale trochę tak jak ostatnio mówiłem z Breaking Bad i Better Call Saul.
2562:  BFP - Tam gdzie Breaking Bad potrzebowało trochę krzyku, tak Better Call Saul wystarczą spojrzenia kinematograficznie.
2568:  BFP - I tutaj podobnie.
2570:  BFP - subtelniej, bardziej kameralnie i wszystko zamknięte w jednym rodzie i satelitach wokół tego rodu, a nie na różnych kontynentach i różnych wątkach, które mocno je tak dekoncentrują i okrawają z wartości i zdarzeń to wszystko, co dzieje się na przestrzeni historii.
2589:  KMM - Czyli Filip właśnie porównał serial fantasy House of the Dragon z Better Call Saul.
2595:  KMM - Jeżeli dla was to nie jest rekomendacja, to ja jestem jamnik.
2599:  BFP - Porównałem po prostu dobre kino z dobrym kinem.
2601:  BFP - To też tak można po prostu to sprzedać.
2604:  BFP - Ale jeżeli tak to ładnie umiesz, to tym jest milej, bo każda rekomendacja do Better Call Saul jest dobrą rekomendacją.
2611:  BFP - Przejdźmy do kolejnej postaci.
2612:  BFP - Zobaczmy, co my tutaj jeszcze mamy.
2615:  BFP - Szkoda, że nie ma takiej rozpiski smoków.
2620:  BFP - Bardzo mi się podoba ten lord, Corlys Valarion, który jest mężem Rhaenys
2627:  BFP - I gościu jest jak chorągiewka.
2629:  S02 - Mi się to mega podobało, jak mu to wytknął Wizerys czy jakiś inny lord.
2634:  S02 - Jak on mówi, no ja wspieram Daemona.
2636:  S02 - Mia 5 mówi, no to ja wspieram swoją żonę.
2639:  BFP - A on mówi, człowieku, ty się zdecyduj.
2641:  BFP - I myślę, że on jest człowiekiem, który jest pod butem swojej żony, ale jeszcze tego nie wiemy.
2646:  BFP - On po prostu zasiada w radzie i myślę, że jeżeli tylko będzie właściwie pokierowany, no to będzie grał do bramki re...
2653:  BFP - No Jezus Maria, Rhaenys, Rhaenys, już zapamiętam.
2656:  KMM - To jest trochę taki Lord Varys tutejszy, tylko że mniej, wydaje mi się, cyniczny i pajęczy.
2663:  KMM - W ogóle Velaryonowie są ciekawą dynastią, bo oni byli bardzo blisko związani dynastycznie z Targaryenami i też między nimi akurat były bardzo często małżeństwa mieszane.
2674:  KMM - I też muszę zaznaczyć, że to był wybór akurat producentów serialu, żeby wszyscy Velaryonowie byli czarnoskórzy, bo w oryginale też to są
2681:  KMM - białoskórzy, fioletowo-ocy.
2683:  KMM - No ale pamiętajmy, że nawet targaryenowie nie mają już fioletowych oczu i to tak konsekwentnie, więc to tylko dla porządku zaznaczam, ale właśnie jest to przykład race swapu, który nie będzie przeszkadzał, póki będzie konsekwentny, to znaczy niech oni rzeczywiście wszyscy wyglądają dokładnie tak samo jak Corlys Velaryon, niech mają też te białe włosy i tak dalej.
2701:  KMM - Natomiast też magnetycznie gra ten aktor Velaryona.
2706:  KMM - Bardzo mi się podobała ta jego kreacja i brakowało właśnie tego rodzaju politycznej bójki na spojrzenia, na one-linery, na teksty, na riposty i złośliwe docinki w siódmym i ósmym sezonie Gry o Tron.
2722:  KMM - Tego zaczęło brakować już na poziomie piątego, szóstego sezonu.
2725:  KMM - I House of the Dragon powraca z tym wszystkim, z dyskusjami w Małej Radzie i tak dalej.
2730:  KMM - Nie ma już tej karykatury Małej Rady, która się pojawia w ósmym sezonie.
2733:  KMM - Nie będę tego nawet przypominał, bo było to po prostu okropne.
2736:  KMM - Jak wszyscy sobie robili pat, pat po głowie.
2738:  KMM - O, to ja sobie zróbmy sobie tutaj port.
2740:  KMM - O, a tutaj sobie zrób stateczki w tym porcie.
2742:  KMM - O, jak fajnie.
2744:  KMM - Na szczęście tego już nie ma.
2746:  KMM - Wracamy do starego, dobrego West.
2747:  KMM - Muszę rzucić kilka.
2750:  BFP - Muszę rzucić kilka komentarzy, które się pojawiły.
2752:  BFP - Pierwszy, Jolo Swag powiedział, fajny by był serial Better Call Jaqen Hagar.
2757:  BFP - To jest bardzo udane.
2758:  BFP - Drugie, a propos samego Lorda Corlissa, który wywołał wiele emocji.
2762:  BFP - Miłosz Węgrzyn mówi krótko, jest simpem.
2767:  BFP - Chociaż nie, no tak szczerze to bardziej się wydaje, że z nią współpracuje i wie, że jego żona nie zrezygnowała z klejmów do korony.
2772:  BFP - Właśnie, on jest z rodziny, która się wrzeniła w Targaryenów.
2775:  BFP - To raczej tak to wygląda.
2777:  BFP - Słusznie założył Mishar, że oni są w Westeros duże niż Targaryenowie.
2781:  BFP - Świetnie założył też Owocowy, że Corlys to jest typowy polityk, wspiera tego, kto wyda mu się najsłuszniejszy w kwestii własnego interesu.
2787:  BFP - I Cezary.
2788:  BFP - Cezary, nasz drugi strażnik loru, świetnie tutaj
2791:  BFP - uzupełnił nas.
2792:  BFP - W serialowym lore Valerianowie żenili się z arystokracją z Wysp Letnich.
2795:  BFP - HBO przynajmniej tłumaczy zmiany w lore, a nie jak Netflix w Wiedźminie ma wywalone.
2801:  BFP - No i jeszcze Wolfi, Valerion może i Chorągiewka, ale wolał poczekać, aż ktoś inny rzuci propozycję na innego następcę, żeby nie podpaść za bardzo obecnemu królowi.
2809:  GW - No same doskonałe komentarze i znakomite uzupełnienia.
2814:  S02 - Ale nie no, to byłoby słabe, jakby czarnoskóry ginął jako pierwszy, to trochę wydaje mi się, że...
2820:  S02 - A wyrośliśmy z tego takiego tokenowego stereotypu.
2823:  S02 - Mam nadzieję, że tak nie będzie.
2825:  KMM - Ładnie też Matixor napisał, że Targaryenowie władali niebami Westeros, podczas gdy lud Velaryon rządził na morzach.
2831:  BFP - I Balthus też właśnie.
2832:  BFP - Corlys jest czadem, wielkim podróżnikiem, małep do interesów.
2835:  BFP - Nawet tutaj nie zasłaniamy swoimi mordkami, to widać, że the most feigned nautical adventurer, bardzo ciekawe pojęcie jak na żeglarza, nautical adventurer in the history of Westeros.
2847:  KMM - To jest wtedy, kiedy masz napisać pracę magisterską i brakuje ci do limitu słów.
2851:  KMM - Wtedy zmieniasz żeglarza na nautical adventurer.
2853:  BFP - Sprawdzasz ile słów, zanim wyślesz kopię do Krzysztofa M. Maja, pana doktora, dodajesz trochę ciekawych sformułowań i puszczasz.
2862:  BFP - Tak, dokładnie tak.
2864:  BFP - Zastanawiam się, czy jest tutaj jeszcze postać, o której chciałem, żebyśmy zamienili słówko bądź dwa, ale wydawało mi się, jest, dokładnie.
2872:  BFP - To jest żona wspomnianego przed chwilą, czyli
2877:  BFP - księżniczka Rhaenys, która jest ciocią Rhaenery, a siostrą Viserysa, najmniej ma w tym momencie do zagrania w całym serialu na przestrzeni pierwszego odcinka.
2891:  BFP - A dla mnie jest osobiście, z perspektywy tego, jaką władzą dysponuje i być może jakie ma doświadczenie, ciekawszą od samej Rhaenery.
2902:  BFP - Ja jestem ciekawszy jej postaci niż same Rhaenery.
2907:  KMM - Ja mam do niej ambiwalentny stosunek kompletnie.
2909:  KMM - Nie zapadła mi w pamięć akurat ona.
2912:  KMM - Tak samo następna postać, którą też masz w tym handoucie.
2917:  BFP - A przepraszam, mam tutaj poprawkę, że jest kuzynką Wizerysa.
2920:  BFP - Ojciec Wizerysa i ojciec Reiny z byli braćmi, a to dziękuję za to uzupełnienie.
2926:  KMM - Więc ja powstrzymuję się na razie od oceny.
2928:  KMM - Zobaczę, jak się rozwinie w kolejnych odcinkach.
2931:  BFP - Okej.
2932:  GW - No tutaj wydaje mi się, że ona będzie miała funkcję takiej przewodniczki właśnie młodej księżniczki.
2943:  GW - rym nieintencjonalny, ale w każdym razie z jednej strony będzie właśnie chciała zaznaczać swoje miejsce, więc myślę, że ona będzie trochę mieszała na tym dworze na zasadzie właśnie manipulowania młodą królową, młodą dziedziczką.
2965:  GW - I tutaj podejrzewam, że to będzie nadawało odpowiedniego kolorytu co najmniej przez ten sezon.
2971:  GW - bo trzeba też w końcu typować kogo w tym sezonie też odstrzelą, no to jednak tak.
2979:  BFP - Wydaje mi się, że perfekcyjne combo, bo ona sprawia wrażenie właśnie takiej również
2989:  BFP - fachowej mistrzyni długoterminowej gry i strateżki, która myśli wiele kroków naprzód.
2997:  BFP - Przykładowo, jeden z tych rycerzy, który podjeżdża do niej na turnieju, mówi The Queen Who Never Was, czy możesz dać mi błogosławieństwo, favors, prawda?
3010:  BFP - Kto wie, na ile to nie był zabieg PR-owy?
3013:  BFP - Kto wie, na ile on nie był poinstruowany, żeby tak zrobić?
3017:  BFP - I może być tak, że ona jest równie wytrawną graczką w grze o tron, nomen omen, jak Otto Hightower.
3026:  BFP - I połączenie sił przez te dwie postaci to byłoby potężne kombo.
3030:  BFP - Nie czytałem książek, nie wiem jak będzie.
3031:  BFP - Myślę, że nawet wyjdzie poza książki ta historia.
3037:  BFP - Zobaczymy.
3038:  KMM - Ja miałem czytać właśnie, ale teraz nie przeczytam, póki nie zobaczę serialu, bo chcę najpierw zobaczyć serial.
3043:  KMM - Natomiast moja wiedza lore'owa jest głównie z Księgi... To jest tak?
3048:  KMM - Księga Lodo i Ognia?
3049:  KMM - Nie, Świat Lodo i Ognia, przepraszam.
3052:  KMM - Zresztą bardzo polecam, jeżeli ktoś chce się dowiedzieć czegoś więcej na temat tego, co się działo, na przykład, nie wiem, przed Doom of Valyria albo w trakcie Doom of Valyria,
3060:  KMM - i tego wszystkiego, co doprowadziło do tego, że Targaryenowie się przyniesie z Valyrii tutaj.
3064:  KMM - Ale to, co mówicie o niej, brzmi bardzo kusząco.
3067:  KMM - Jeszcze na czatach się pojawiało porównania z Lady Oleną, czyli Queen of Thorns.
3071:  BFP - I Miss Myshar też bardzo fajnie napisał.
3073:  BFP - Ona wygląda jak połączenie Cersei z Catelyn Stark.
3076:  BFP - Jest wyrachowana, ale kocha swoją rodzinę i robi wszystko, by ona przeżyła i wyszła w nadchodzącej wojnie najlepiej.
3085:  BFP - Mowa o rodzinie.
3086:  KMM - Mnie ona fizjonomicznie właśnie najbardziej Catelyn Stark przywołuje, to może powoduje moją ostrożność na początku, ponieważ ja Catelyn serialowej nie znoszę.
3095:  KMM - Lubię książkową Catelyn, która się później fajnie zmienia w fajne coś, nie będę spoilował.
3101:  BFP - No już możesz spoilować, bo już zakończył się tam ten serial.
3103:  KMM - Nie, no książkę to nie wypada, nie, nie, bo dużo ludzi nie przeczytało.
3106:  BFP - Lady Stoneheart, tak.
3108:  KMM - Ale to nie jest spoiler.
3110:  BFP - Ale zespoilowałem.
3111:  BFP - Lady Stoneheart.
3112:  KMM - Ktoś teraz może jeszcze wpisać.
3115:  BFP - Ktoś może wpisać jeszcze na Wikipedii.
3117:  BFP - No i wtedy sobie dopiero zespoiluję.
3121:  BFP - No zresztą Cezary też zespoilował.
3122:  BFP - Cezary dzisiaj tutaj jest strażnikiem loru.
3124:  BFP - Jeżeli strażnik loru może napisać Lady Stoneheart, to ja tym bardziej mogę to powiedzieć.
3129:  BFP - No i jedna z najbardziej enigmatycznych postaci obok moim zdaniem Princess Rayneris, czyli nasz Dornijczyk.
3138:  BFP - Sir Kristen Cole.
3139:  KMM - Którego ja pomyliłem z synem Hightowera.
3142:  KMM - Przepraszam.
3144:  BFP - Obawiam się, że syn Ottona Hightowera nie ma już takiej ładnej buźki.
3147:  KMM - Przepraszam, ale ta ładna buźka była widoczna przez pięć sekund, jak zdjął hełm.
3151:  GW - Nie ma taka ładna.
3153:  BFP - No to się teraz o to pokłóćmy.
3156:  GW - No tutaj to jest ciasteczko, nie?
3158:  GW - No to zobaczymy jeszcze, jak długo pożyje.
3161:  S02 - Kanapka z Hightowera i Kristena Cole'a.
3164:  GW - Nieee... Ja wiem, wolę jednak swoich Chrisów.
3173:  GW - Wracając do tego uniwersum, tutaj no...
3178:  GW - Jeżeli jest faktycznie pokazane na fotosach, to może tylko na zachętę, ale albo właśnie będzie gdzieś starał się lawirować właśnie na dworze i zdobyć serce księżniczki albo jego dwórki, tudzież pójdzie do ostrzału.
3199:  BFP - Chciałbym cokolwiek, nawet kuśniesz, by coś zaspoilerować, ale nie mogę, bo nie czytałem książek, więc nie wiem.
3205:  KMM - Czaty już spojlowały, kim będzie Sir Criston Cole, więc... Jak ktoś uważnie ogląda i czyta coś na czatach, to ma zaspojlowane.
3214:  KMM - Ale na pewno jest to postać z potencjałem.
3216:  KMM - Ja mam ciepło w sercu względem Dornniczyków, co jest adekwatne lorowo, ponieważ są na południu, jest im również ciepło.
3224:  KMM - Już od czasu debiutu mojej ulubionej postaci, chyba w ogóle z całej pieśni Lodu i Ognia, w każdym razie w peletonie się znajduje,
3232:  KMM - to znaczy Oberyn Martella.
3234:  KMM - Więc jeżeli Kristen Cole będzie w połowie przynajmniej tak fantastyczny jak Martell, no to mam moją dozgonną miłość wtedy jako postać.
3245:  BFP - Adam zauważył, ciekawe jak wy byście byli hot, spoceni w zbroi po walce.
3248:  BFP - No właśnie, no właśnie.
3250:  KMM - I ciekawe jak byście rozpoznawali ludzi po twarzy, jeżeli mieliby założony na nią hełm.
3255:  BFP - Dokładnie, to Krzysztof wciąż się broni, że pomylił dwie postacie, całkowicie zmieniając wymowy tego, co się dzieje w serwisie.
