Recenzja "What if...?" od Marvela. Garść przemyśleń i pomysłów na upgrade serii
🔗 https://www.youtube.com/watch?v=1-4mEIXVteY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

5:  KMM - Co by było, gdyby powinno być najlepsze?
1554:  KMM - Tak, tutaj zobaczyłem to, co się dzieje.
1556:  KMM - Jak rzeczywiście zadasz sobie to pytanie i zaczynasz wytwarzać rzeczywistość za nim.
1560:  BFP - Ja nic bym tu nie zmieniał.
1562:  BFP - Dla mnie to jest... Ja też nie.
1563:  BFP - Tak powinien wyglądać Marvel Reef i tak powinny wyglądać pozostałe osiem odcinków w zasadzie.
1567:  KMM - Ale zauważ, że zaletą tego odcinka jest to, że on się jednak koncentruje wokół jednej postaci.
1573:  KMM - I jest ona czytelną, centralną postacią, wokół której jest cała narracja formowana.
1580:  KMM - I myślę, że może to być kluczem do sukcesu, bo w poprzednich przypadkach mam wrażenie, że nic nie było takiego szczególnego i w Czarnej Ludowie, i w Tczali, i w całej reszcie, co by sprawiło, że mogliby oni realnie wpływać na kształt multiwersum, bo jednak to nie jest ten poziom mocy, którą dysponują.
1599:  BFP - Bo to jest studium bohatera.
1602:  BFP - Character study.
1603:  BFP - To jest dokładnie to, co zaproponowałem z Thanosem, który wybiera inną ścieżkę.
1607:  BFP - To jest dokładnie to samo, co zaproponowałem z Hankiem Pymem i Wasp, których małżeństwo się rozpada.
1613:  BFP - Czyli to jest tylko pretekst do historii małżeńskiej.
1615:  BFP - Swoją drogą polecam A Marriage Story, który jest na HBO.
1622:  BFP - Pięcioodcinkowa miniseria.
1624:  BFP - na podstawie Bergmana, więc można się tym pobawić i to pokazuje pełny potencjał, tak jak dokładnie powiedziałeś, pełny potencjał tego, co daje nam Marvel's What If.
1634:  BFP - Ale piąty odcinek, który był krytykowany, a dla mnie jest zachwytem, czyli What If Zombies?
1640:  BFP - Muszą być zombie.
1642:  BFP - To mi się podoba, że wszyscy mówią, co gdyby Doktor Strange stracił serce, co gdyby świat stracił Avengersów, co gdyby T'Challa, co gdyby zombie
1650:  BFP - Wiesz, taka totalna prostota, dumb fun, ale w fajnym wykonaniu i wreszcie nie remix.
1658:  BFP - Nie remix, to nie jest wykorzystanie elementów fabularnych z poprzednich części, czy też z poprzednich filmów w Marvel Cinematic Universe, tylko no co gdyby wszyscy zmienili się w zombie.
1671:  KMM - Tam jest pewien problem z etiologią tego wirusa, bo akceptuję, że pochodzi on z Quantum Realm, bo jeżeli nie wiadomo skąd coś jest, to wiadomo, że jest z Quantum Realm.
1681:  KMM - Natomiast potem problemem jest to, w jaki sposób on się przenosi i w jaki sposób dokonuje interakcji z supermocami bohaterów.
1688:  KMM - Jest to niewytłumaczone i rozumiem dlaczego, ale też jest niejasne i moją duszę, fana wszystkich możliwych filmów o zombie, który uważa, że najdoskonalszą robotę
1701:  KMM - zrobił autor książki, oczywiście teraz nie pamiętam, World War Z, która jest reportażem pokazującym naukowo wręcz, jak różne kraje mogłyby sobie radzić z zombimi.
1712:  KMM - I to jest mój pomysł na ten odcinek, to znaczy pokazać od strony naukowej, nie wiem, chociażby właśnie Ironmana nie zabijać od razu w pierwszej sekwencji,
1724:  KMM - i Bannera, żeby się pochylili nad tym problemem w laboratorium i zaczęli spróbować przebadać ten wirus i eksperymentowali, jak on reaguje na przykład z tkanką Halka, a jak reaguje z tkanką ludzką, w zasadzie skąd on się wziął w Quantum Run.
1740:  KMM - Tego mi brakowało, tego elementu bardzo charakterystycznego dla narracji o zombie, świetnie zrealizowanego w filmie World War Z z Bradem Pittem, mimo że on nie ma nic wspólnego z oryginalną książką.
1752:  KMM - Brooksa, przypomniałem sobie Maxa Brooksa.
1754:  KMM - Tak, tak, tak.
1755:  KMM - Synamela Brooksa.
1756:  KMM - Tak, tak jest.
1757:  KMM - I tego mi właśnie brakowało.
1759:  KMM - Tutaj właśnie tego elementu detektywistycznego, tego mystery.
1763:  KMM - Ale oczywiście akceptuję.
1764:  KMM - Jest bardzo duża liczba ludzi, którzy po prostu chcą zombie i jak spytać ich, czego by chcieli w następnym filmie o zombie, to powiedzieliby, chcemy więcej zombie i żeby był miotacz ognia i żeby było dużo bomb, które spadają na te zombie i żeby było takie duże zombie, które jest większe od innych zombie.
1782:  KMM - No,
1783:  KMM - Ale jak porównasz na przykład ten odcinek Marvel What Ifs, Cabanera of the Iron Fortress, anime, w której zombie są wtłoczone w świat samurajów, który przechodzi rewolucję technologiczną, bo tam działy się o wiele bardziej interesujące rzeczy, mimo że te same tropy były odgrywane, więc no okej.
1801:  BFP - Zanim zaproponuję swoją zaupgradeowaną wersję tego odcinka, bo mam tylko pomysł na upgrade, ale myślę, że jest dość ciekawy, to chciałem Ci oficjalnie wręczyć w imieniu Rady Języka Polskiego nagrody imienia profesora Miotka za niezwykłe odmienienie słowa zombie mówiąc z zombimi, z tymi zombimi.
1821:  BFP - Nigdy czegoś takiego nie słyszałem i jestem absolutnie zauroczony z tymi zombimi.
1825:  BFP - To jest zajebiste i zamierzam to zapamiętać i zamierzam to napisać w pierwszym komentarzu tego odcinka.
1830:  BFP - Pamiętajcie, żeby wypominać Krzysztofowi z tymi zombimi.
1834:  BFP - Człowiek człowiekowie wilki ma zombie, zombie, zombie.
1838:  BFP - Mój pomysł na upgrade byłby taki, żeby podmienić bohaterów odcinka.
1842:  BFP - To była świetna szansa, żebyś wyciągnął wszystkich tych cholernie drugo- i trzecioplanowych bohaterów filmów Marvela.
1849:  BFP - Weź tych śmiesznych bohaterów, którzy się pojawiają gdzieś tam w Captain Marvel, tam Dr. Rambo czy jakaś inna.
1855:  BFP - Weź tych bohaterów, którzy się pojawiają w Wanda Vision, tam siedzą w tym centrum badawczym.
1861:  BFP - Weź, nie wiem, bohaterów po prostu... O, Happy Hogan tu się pojawia i on tu pasuje.
1869:  BFP - Weź wszystkich bohaterów drugoplanowych, którzy nie mają żadnych mocy i spraw, żeby musieli walczyć z zombie, którzy mają moc.
1877:  BFP - I odcinek kończyłby się tak, że wszyscy zginą.
1880:  BFP - ale przynajmniej będą próbowali walczyć.
1882:  BFP - To byłoby niedorzeczne, to byłoby śmieszne, ale przynajmniej stawka byłaby wyższa.
1887:  KMM - Rozumiem.
1887:  BFP - Myślą byś, czy oni znajdą sposób, żeby z nimi walczyć, przecież to jest Iron Man, który nie ma nóg i lata, a Happy Hogan może tylko sprzedać mu fangę w twarz.
1896:  KMM - Tak.
1897:  KMM - I... Racja, to czy to jest tak absurdalne założenie, że zombie, które nie ma mózgu, mogłoby pilotować strój Iron Mana, że rzeczywiście można podkręcić to do dziesiątki i pójść w pełną groteskę.
1907:  KMM - Tak.
1909:  KMM - Rozumiem tę ścieżkę.
1911:  BFP - A gdyby Killmonger uratował Tony'ego Starka?
1916:  BFP - Myślę, że to jest jeden z najsłabszych odcinków dla mnie.
1921:  BFP - Kompletnie nieporywający.
1923:  BFP - Jest to kolejny remiks, to znaczy... Okej, no to nie jest tak, że podąża za ścieżką fabularną czy remiksuje ścieżkę fabularną, którą znam, ale nic nie wprowadza nowego, jeżeli chodzi o postać Killmongera.
1935:  BFP - I tak Killmonger okazuje się taką samą osobą, takim samym złym.
1939:  KMM - Tak, nic nie zmienia.
1941:  KMM - Nie zmienia też zasadniczo świata, w którym się znajdujemy.
1946:  KMM - W zasadzie świat, w którym Killmonger ratuje Ironmana i świat, w którym Ironman zostaje Ironmanem są podobne, są bardzo podobne.
1955:  KMM - I moim zdaniem przyczyną jest tutaj nieprzemyślenie origin story Tony'ego Starka.
1962:  KMM - Nie wydaje mi się, żeby Tony Stark nie został Iron Manem.
1965:  KMM - To trochę było wbrew temu, co zostało ustanowione w odcinku z Doktorem Strangem.
1970:  KMM - Niezależnie od tego, co zrobimy, jednak jest to predestination, jednak jest ten zapisany los, który wiąże się z o wiele bardziej skomplikowanymi rzeczami niż tylko decyzją chwili.
1981:  KMM - To nie była decyzja chwili u Tony'ego Starka.
1983:  KMM - Wydaje mi się, że nie jest oddanie sprawiedliwości
1985:  KMM - tej postaci.
1986:  KMM - Ona dojrzewała w nim długo i nie powstałaby gdyby nie mnóstwo różnych okoliczności, więc mnie się w tym odcinku najbardziej nie podobało potraktowanie roli Ironmana i szczerze ja musiałem sprawdzić w ogóle kim jest Kim Monger, bo ja w ogóle zapomniałem kim jest Kim Monger.
2000:  KMM - To mi była tak nieinteresująca postać, potraktowałem ją jako typowego szwarc charaktera, który potrzebny był w Black Panther.
2008:  KMM - Tu bym się spierał.
2009:  KMM - I tyle.
2010:  BFP - Wiele osób by się spierało, bo to rzeczywiście była postać, która miała konkretne motywacje, która została zraniona przez rodzinę T'Challi, a należała do rodu.
2019:  BFP - Natomiast ja muszę pochwalić Micka Wingerta, który podłożył głos pod Tony'ego Starka, ale zrobił to tak, że byłem absolutnie przekonany do samego końca odcinka, że to jest Robert Downey Jr.
2033:  KMM - Ja też.
2034:  KMM - Teraz mnie zdziwiłeś.
2035:  BFP - O nie, stary.
2036:  BFP - Black Widow to też nie jest Carlyle Johansson.
2039:  BFP - I to jest fenomenalna robota tej dwójki aktorów, którzy zaadaptowali... Dobra, nie będę jeszcze mówił.
2046:  BFP - O tym powiem na koniec, bo ja naprawdę chcę wyróżnić voice actorów, którzy zagrali w tej serii i uważam... Duży szacun tutaj.
2052:  BFP - Duży szacun.
2053:  BFP - Ja uważam, że... Powiem to na koniec.
2056:  BFP - Natomiast moja alternatywna wersja nie jest jakaś super oryginalna, ale uważam, że jest trochę lepsza.
2060:  BFP - To...
2063:  BFP - Chciałbym, żeby Killmonger zabił przypadkiem T'Challa podczas pojedynku i przeżył traumę, która go odmieni i sprawi, że zająłby miejsce T'Challi.
2070:  BFP - Znaczy wróciłby do rodziny królewskiej, nikt by nie wiedział, że zabił T'Challa, ale robiłby wszystko, żeby odpokutować tak naprawdę wewnętrznie, pracować na to, żeby być lepszą osobą i otworzyłby Wakandę ze swoją technologią na cały świat.
2084:  BFP - I byłyby reperkusje tego i konsekwencje tego, co by się stało, gdyby
2088:  BFP - gdyby Wakanda otworzyła się na świat, udostępniła technologię, ale na jaw wyszedłby sekret w odpowiednim momencie tego, że Killmonger zabił T'Challa i zostałby wyrzucony stamtąd z Wakandy i wtedy narodziłby się znowu Killmonger, który chciałby się zamścić.
2106:  KMM - Ale wbrew pozorom to jest znaczące, dlatego że jeżeli za pytaniem kontrfaktycznym, co by było, gdyby nie idzie zmiana istotna świata, to to unieważnia sens postawienia tego pytania.
2119:  KMM - Więc z mojej perspektywy to jest właściwy kierunek.
2123:  KMM - To, co pojawiło się w serialu, nie było właściwe, bo ja nie widziałem właśnie tej znaczącej zmiany w rzeczywistości.
2128:  BFP - Czyli zawsze patrzysz na świat jak na bohatera i rozumiem, dlaczego to robisz, ale ja tu postawię gwiazdkę.
2135:  BFP - Ta kontrfaktyczność nie ma sensu tak długo, jak nie widzisz zmiany w świecie, bądź w bohaterze.
2139:  BFP - I to jest fajne, w sumie ten dualizm jest fajny w naszym podejściu, bo ty zawsze mówisz bardziej, szkoda, że nie zmienił się świat, a ja mówię bardziej, szkoda, że nie zmienia się postać.
2148:  BFP - Chociaż przed chwilą mówiłem o wersji alternatywnej, w której zmienia się świat, ale tak, może tak ma być.
2153:  BFP - Dobra, a co gdyby, i to jest siódmy odcinek, Thor był jedynakiem, czyli nie miał brata, nie miał Lokiego.
2161:  BFP - Fajny jest ten odcinek.
2162:  BFP - Ja wiem, że ty będziesz go krytykował.
2163:  BFP - Jest zabawny, jest lekki.
2166:  BFP - Cudowny jest Chris Hemsworth.
2168:  BFP - Naprawdę bardzo dobrze wypada także głosowo.
2170:  BFP - Loki.
2172:  BFP - jako Frost Giant z Jotunheimu, chciałem to zawsze zobaczyć.
2178:  BFP - Co by było, gdyby Loki został w Jotunheimie?
2181:  BFP - O to chodzi.
2182:  KMM - To było duże zaskoczenie dla mnie, tak, to przyznaję.
2185:  KMM - Ale premis na odcinek pod tytułem Thor robi bibę tysiąclecia na Ziemi.
2192:  KMM - I się napieprza przez 10 minut.
2194:  KMM - Tak, oczywiście z Captain Marvel, czyli z postacią, która wymaga tego, żeby przekonać wszystkich ludzi na świecie, że Brie Larson jednak jest likable.
2202:  KMM - Muszę powiedzieć, że to jest bardzo ambitne zadanie, które sobie postawili twórcy.
2206:  KMM - Nawet im trochę wyszło, chociaż nie do końca, bo wciąż wygląda jak Brie Larson.
2211:  KMM - Ale chciałbym powiedzieć, że ta wersja animowana Captain Marvel mnie zdecydowanie bardziej przekonuje, więc chyba się udało im to zdecydowanie.
2220:  KMM - ale wciąż ma taką funkcję, że no to ja tutaj przyjdę pozabierać wam zabawki, bo wam tutaj troszeczkę za dobrze się dzieje.
2228:  KMM - Niemniej dla mnie to jest najsłabszy odcinek w ogóle całej serii, to znaczy w tym znaczeniu, że mogłoby go nie być, bo wydaje mi się, że znacznie interesującym bardziej mnie,
2241:  KMM - podejściem byłoby zastanowienie się nad tym, co by było faktycznie, gdyby Thor nie miał Lokiego, wydaje mi się, że to nie jest tak, że on by się stał wiecznym i najlepszym proizowiczem na świecie, raczej by się osunął w wojaczkę, w ponuractwo i tak dalej.
2258:  KMM - W tym kierunku ja bym szedł, w kierunku uczynienia z opowieścią o Asgardzie i o relacji między ojcem,
2266:  KMM - a synem takiej, takiej no nordyckiej niemalże narracji, wielkiej, poważnej, w stylu tego cudownego pierwszego Thora, Kennefa Branacha, który mi się tak strasznie podobał.
2278:  KMM - Bardzo szekspirowskiego, jak to Kenneth Branagh.
2280:  KMM - Tak, bardzo liczyłem na powrót tego, szczerze powiedziawszy, tylko podkręconego do dziesiątki.
2285:  BFP - Nie, wiesz, że ja bym nie remiksował, tak?
2287:  BFP - Dla mnie tym zarzutem jest właśnie remiksowanie.
2289:  BFP - Więc ja bym poszedł w alternatywną historię, w której Loki pozostał w Jotunheimie.
2294:  BFP - Czyli cała historia Lokiego, który jest gigantem.
2299:  BFP - Nie mam pojęcia, w jaką stronę by się to toczyło, ale domyślam się, że byłby tym gościem, który nie byłby imprezowym gościem, tylko ruszałby na podbój świata jako gigant.
2308:  BFP - I być może miałby do tego znacznie większe predyspozycje.
2311:  KMM - Właśnie, druga rzecz, która mnie zastanowiła tutaj, to jak dalece zmieniła się osobowość Lokiego.
2317:  KMM - I znowu moglibyśmy zadać sobie pytanie, czy to, że Loki był tym, kim był, faktycznie zasadzało się na tej toksycznej relacji, którą miał z Odynem i bardzo niejednoznacznej relacji, którą miał z Torem, czy też na tym, że jednak był hybrydą genetyczną, mówiąc bardzo brzydko,
2337:  KMM - Czy może na tym, że był oddany do rodziny zastępczej, nazwijmy to w ten sposób?
2343:  KMM - Bardzo dużo jest tutaj pytań.
2344:  BFP - To jest ciekawe.
2345:  KMM - I interesujące byłoby zastanowienie się nad tym, co by było właśnie, gdyby się nie zdarzyły te wszystkie trzy rzeczy.
2350:  KMM - Nie wydaje mi się, że mielibyśmy do czynienia z takim, yo, cool, ziomalskim Lokim, który przychodzi i mówi, piona, bracie, fajną bibę robicie.
2359:  KMM - Nie widziałem tam Lokiego.
2361:  BFP - Moglibyśmy mieć naprawdę, naprawdę zmyślnego Lokiego, który zawiązuje sojusz np.
2366:  BFP - z Mrocznymi Elfami, z Niflheimu i po prostu podbija pozostałe siedem krain.
2373:  BFP - No i masz fantazję nordycką też.
2376:  BFP - Ja zawsze mam fantazję nordycką, każda moja fantazja jest nordycka.
2380:  BFP - Ósmy odcinek, znakomity.
2383:  BFP - Co gdyby Ultron wygrał?
2385:  BFP - Wow, bardzo dobry odcinek.
2387:  BFP - Postapokalipsa.
2389:  BFP - Tak.
2389:  BFP - Która pokazuje dwójkę bohaterów, którzy przeżyli Hawkeye i Black Widow i bardzo mi się podobało to zmęczenie bohaterów.
2397:  BFP - To, że Hawkeye jest na skraju już załamania nerwowego.
2401:  BFP - To jak oni przeglądają te dokumenty, oni szukają tych dokumentów, Hawkeye mówi, nie no przecież to nie ma sensu, przecież to po prostu nie ma sensu, już straciłem całą rodzinę, po cholerę.
2409:  KMM - A Watcher za zasłonę mówi, kurwa, to jest tutaj, gościu, jeszcze sprawdź to, przepiękne.
2415:  BFP - I tu wchodzi największy plot twist serialu.
2417:  BFP - Ten, w którym mówisz, okej, fuck, mają jakiś większy plan.
2422:  BFP - Ultron zbiera wszystkie kamienie, niszczy wszystko i mówi, co by tu jeszcze spieprzyć.
2426:  BFP - I nagle mówi, czyli to jest głos.
2428:  BFP - Watcher, który komunikował się tylko z nami, z widzami, nagle zostaje usłyszany i pierwszy raz, zamiast mówić...
2436:  S02 - What if?
2437:  BFP - Mówi, what the fuck?
2440:  BFP - I Ultron przebija się przez ścianę wymiarów i zaczyna walkę z Watcherem, który jest znakomitą sekwencją.
2446:  BFP - Przelatują przez świat, przez uniwersa i walczą ze sobą.
2449:  BFP - Wspaniały.
2450:  BFP - I Watcher myśli, cholera, chyba będę musiał złamać moją przysięgę.
2454:  BFP - Nie w czas.
2456:  BFP - I to mi się naprawdę bardzo podobało.
2459:  KMM - Dostaliśmy Ultrona, który faktycznie jest Ultronem, a nie tym strasznym robotem, który ma plan wyrwania kawałka Ziemi w kosmos i rzucenia jej tak, żeby było bardzo źle na podwole.
2472:  KMM - Okropna fabuła.
2475:  KMM - Wolę o wiele bardziej tę polityczną część tego filmu niż te właśnie walki z Ultronem.
2480:  KMM - I wydaje mi się, że tutaj została mu oddana sprawiedliwość.
2483:  KMM - To znaczy faktycznie to jest inteligentne posunięcie maszyny, która ma zaprowadzić pokój.
2489:  KMM - Musi zdobyć najpotężniejszą broń we wszechświecie, która pozwala za pstryknięciem palca to zmieniać.
2495:  KMM - Tylko, że jest jeden problem.
2497:  KMM - To znaczy nie wydaje mi się, żeby Ultron do końca używał mocy wszystkich Kamieni Nieskończoności.
2502:  KMM - W każdym razie nie robi tego jak Thanos.
2505:  KMM - I szkoda, bo mógłby.
2507:  KMM - Widzimy dziwne rzeczy, które może zrobić w stylu przecinania ta nosa w pół nagle.
2515:  BFP - Wtedy ma tylko jeden kamień i jeszcze ma jeden kamień.
2518:  BFP - A dopiero potem...
2521:  BFP - Zaraz przejdziemy do finału, do którego mam bardzo dużo zdobyć.
2524:  KMM - Bo w zasadzie te dwa odcinki się znowu mocno łączą.
2526:  BFP - Tak, ale mam alternatywne, mówiłem, że trzymałem parę torped na koniec i tak, z tego jestem zadowolony, z tego pomysłu.
2536:  BFP - Strzelaj.
2537:  BFP - Ja ten odcinek pociągnąłbym bez zmian w zasadzie do punktu, w którym Ultron niszczy już w zasadzie wszystko, już niewiele mu zostaje i dopiero słyszy Watchera.
2547:  BFP - Słyszy Watchera, zabija Watchera i niszczy całe multiwersum, niszczy wszystko.
2552:  BFP - I mówi, to jest moja dyrektywa, ja muszę zniszczyć wszystko.
2555:  BFP - Ale w punkcie, w którym niszczy wszystko Ultron,
2558:  BFP - Przeżywa kryzys egzystencji.
2560:  BFP - Mówi, ja już nie mam celu, ja mogę się wyłączyć, ale jestem tak potężną istotą, jedyną, która została na świecie, że muszę zmienić swój cel, muszę zmienić swoją dyrektywę.
2569:  BFP - I staje się Bogiem.
2571:  BFP - Zaczyna tworzyć świat i multiwersum na nowo, co jest nawiązaniem dla mnie do przedostatniego odcinka wybitnej miniserii, jaką jest Watchmen.
2580:  BFP - Zaczyna tworzyć nowy świat.
2583:  BFP - zaczyna tworzyć nowy świat, tworzy ten nowy świat, mijają setki milionów lat i dochodzi do wniosku, że teraz, kiedy stworzył świat, musi go ponownie zniszczyć.
2593:  BFP - I to jest niekończący się cykl.
2595:  BFP - Musi tworzyć i musi niszczyć.
2597:  KMM - Żniwiarze.
2599:  BFP - Tylko trochę mniej patetyczne i łopatologiczne niż w przypadku tego, co widzieliśmy w Mass Effectie Zniszczonym przez trzecią część.
2608:  KMM - Był, no.
2609:  BFP - Finał.
2611:  BFP - Kiedy widzimy cały ten masterplan, przyznam,
2614:  BFP - że merdałem ogonkiem, jak zobaczyłem, że Watcher w ósmym odcinku pojawia się u naszego doktora Strange'a, który stał się Strange Supreme i mówi, stary, zjebałem, tak jak ty, musimy połączyć siły i coś zrobić.
2630:  BFP - Powiedziałem, yes, jednak będzie crossover, czyli nie po prostu antologia, tylko jakiś crossover.
2636:  BFP - No i co się dzieje?
2639:  BFP - Pojawia się znikąd Gomora, czy tam Gamora, która jest jakąś bohaterką, która zabiła Thanosa w swoim świecie.
2645:  BFP - I mogę tylko powiedzieć, że jest to jeden z odcinków, które nie pojawiły się w tym sezonie, bo nie zdążyli i ten odcinek pojawił się w kolejnym sezonie.
2652:  BFP - Ale jest to idiotyczne, że pojawia się ta postać, która jest traktowana równoprawnie z innymi.
2657:  BFP - Jest niezwykła niekonsekwencja w postawie Watchera, czyli złamał swoją przysięgę już dwa razy,
2666:  BFP - Ale nie miesza się w sprawy pozostałe.
2668:  BFP - W sensie, nie pomoże bohaterom w walce z Ultronem.
2671:  S02 - Nie, nie, nie, nie, ja nie mogę już bardziej.
2674:  BFP - To jest idiotyczne.
2675:  BFP - Jest bezużyteczność dużej części bohaterów.
2678:  BFP - Bohaterem tego odcinka poza Watcherem jest Strange Supreme.
2682:  BFP - Jego moc to jest 99%.
2685:  BFP - a nie 1% to są pozostali bohaterowie, którzy są bezużyteczni.
2688:  S02 - To Challa jest bezużyteczny, Killmonger jest bezużyteczny.
2691:  S02 - Ale przecież, ale przecież czarna wdowa strzela z łuku na motorze.
2697:  S02 - O nie, nie, nie.
2698:  S02 - Czarna wdowa najpierw
2701:  BFP - przypadkiem znajduje w budynku tę strzałę, którą stworzyła w poprzednim odcinku.
2706:  BFP - To jest Deus ex machina.
2708:  BFP - Jakby ja już wolałbym, żeby Watcher krzyknął tutaj albo żeby wyczarował tę strzałę.
2713:  BFP - Ona nie.
2713:  BFP - Ona wpada na motorze do budynku.
2716:  BFP - i mówi, wow, strzała tu leży.
2718:  BFP - No to jest po prostu obrażanie inteligencji widza.
2720:  KMM - To nie jest jedyna Deus Ex Machina, bo jeszcze pojawia się coś, czego bardzo nie lubię w narracjach komiksowych, to znaczy zawsze, jeżeli mamy jakąś materię, to jest antymateria.
2730:  KMM - W związku z powyższym, skoro mamy Infinity Stones, to jest Infinity Stones Crusher.
2736:  KMM - Och, wreszcie wiem, co niszczy kamienie nieskończoności.
2739:  KMM - Ale, ale... To coś, co służy do niszczenia kamieni nieskończoności.
2743:  KMM - Chola...
2744:  BFP - Przypomnę, że to jest ten odcinek, którego nie widzimy i nie zobaczyliśmy i nie wiemy, czy został użyty w tamtym odcinku.
2750:  S02 - Dobra.
2751:  BFP - Bo zauważ, bo też powiedziałeś, zniszczy kamienie nieskończone.
2754:  BFP - No nie, nie do końca tak jest, bo ona mówi, o jasna cholera, zapomniałem, że ona działa w moim uniwersum, ale nie w tym.
2759:  BFP - Tak, tak, oczywiście.
2760:  BFP - Więc tu zwrócimy honor.
2761:  KMM - Tak, zwracamy, ale wciąż jest to jakaś deus ex machina, bo jeżeli, zwłaszcza, że pamiętajmy, że geneza kamieni nieskończoności jest strasznie skomplikowana,
2772:  KMM - i w sumie do końca nie wiemy jeszcze, skąd one się wzięły, przez kogo zostały wykute.
2776:  KMM - Prawdopodobnie przez Eternalsów, ale musiałbym doczytać lore.
2780:  KMM - Tak czy inaczej, poza tymi dwoma aspektami, to tak, gdyby nie Doctor Strange i gdyby nie oczywiście jego sojusz z Watcherem, to nic by się nie stało.
2790:  KMM - Faktycznie brakowało mi też tutaj, na to liczyłem trochę, bo to jest taki moment, żeby w ostatnim odcinku to ujawnić, uchylaja rąbka tajemnicy.
2798:  KMM - Znaczy, kim jest ta rasa tych obserwatorów?
2801:  KMM - No pewnie to będzie w drugim sezonie, tak znam życie.
2803:  KMM - Bardzo fajna uwaga.
2805:  KMM - Ale brakowało mi jakiegoś, jak to się ładnie mówi, jakiejś prospekcji, czyli premonition, tak?
2810:  KMM - Jakiejś informacji dotyczącej tego, co będzie w przyszłości, czego możemy się spodziewać.
2816:  KMM - To może by też ujawniło trochę i wyjaśniło motywację Watchera i tego właśnie, dlaczego na przykład on nie może interweniować.
2824:  KMM - Tak, tak.
2824:  BFP - Nie może interweniować, ale robi wyjątek dla czarnej wdowy i puszcza ją do innego świata, gdzie sobie może żyć.
2829:  BFP - Więc jakby Gamora, która pojawia się... Czarna wdowa musiała zostać zrehabilitowana.
2836:  BFP - Gamora pojawia się znikąd.
2837:  BFP - Jest ta niekonsekwencja w łamaniu tej przysięgi Watchera.
2842:  BFP - Jest bezużyteczność postaci, jest ta magiczna strzała, która się pojawia, zesłana przez, no właśnie nie Watchera, ani nie Boga, więc nie wiadomo, przez scenarzystów.
2851:  BFP - I jest słaby plot twist, ten moment, w którym Killmonger mówi, ja może wezmę kamienie dla siebie i zrobię z nimi, jeszcze nie wiem.
2858:  BFP - To też jest słabe, więc są dwa jasne punkty tego odcinka.
2861:  BFP - To jest, a przepraszam, jeszcze jedna rzecz.
2863:  BFP - No i to, że Ultron nagle stwierdził, nie, no nie będę wykorzystywał full swojej mocy.
2869:  BFP - Nie zniszczę ich jednym stryknięciem.
2872:  BFP - Właśnie.
2872:  BFP - Gościu w ósmym odcinku, który był fantastyczny, na moment zmieni się w Galaktusa i pożera całą galaktykę.
2880:  BFP - Ale nie, chłopaki, będę was strzelał promieniem laserowym.
2883:  BFP - O Jezus, to naprawdę było głupie.
2886:  BFP - Więc naprawdę to jest jeden z najgorszych odcinków.
2889:  KMM - Ale dobra rzecz, oczywiście, to było wykorzystanie, o tym nie wspomnieliśmy, bo pojawił się ten wątek Hajdry, nie bez powodu, ponieważ jest tam ten byt cyfrowy, który zainfekowany zostaje.
2901:  BFP - Doktor Ziman, czy jakoś tak.
2904:  KMM - Nie pamiętam.
2906:  KMM - Nasty German Scientist, wiadomo, musi być taki.
2910:  KMM - I jestem w stanie zrozumieć na takim planie postludzkim taką walkę dwóch bytów cyfrowych w sumie.
2918:  BFP - I to mi się bardzo podobało.
2919:  BFP - Tylko problem polega na tym, że ten wartościowy pomysł pojawił się w ósmym odcinku, tak?
2923:  BFP - Że...
2924:  BFP - I Will zestroił, to było w ósmym odcinku, dziewiąty tylko to jakoś tam pociągnął dalej.
2930:  BFP - Też się dziwię, że trafię na tą Black Widow, a ona nie mówi, hej słuchajcie, bo cały poprzedni odcinek to zbierałam tego wirusa i w sumie powinnam mieć taką strzałę i to jest sposób na pokonanie.
2938:  BFP - Ale wszyscy mówią, nie, nie, nie Black Widow, nie odzywaj się, bo my mamy Infinity Stone Crusher.
2944:  BFP - What?
2944:  BFP - Przecież cały poprzedni odcinek służył do setupu, do tego, co ma się stać w tym odcinku, więc naprawdę słaby odcinek, ale po prostu źle napisany.
2953:  BFP - Naprawdę źle napisany i ten odcinek ratuje Strange Supreme, bo na szczęście wraca i jest bardzo fajną postacią i fajne mają pomysły na jego moce nawet, tak?
2963:  BFP - Te pancerze, wykorzystanie Cthulhu i tak dalej.
2966:  BFP - No i oczywiście Thor, którego okrzykiem bojowym jest Viva Las Vegas.
2971:  KMM - To było przepiękne.
2972:  BFP - To było przepiękne, ale naprawdę to jest jeden z najgorzej ocenionych przeze mnie odcinków.
2977:  BFP - Jakby Killmonger miałby u mnie jakieś takie 5 na 10, a ten odcinek ma takie 4,5-5 na 10.
2982:  BFP - Naprawdę słaby odcinek.
2984:  BFP - Ale mam swoją alternatywną wersję.
2988:  BFP - Moja alternatywna wersja jest oparta na Ultronie, który przebił się przez wszystkie ściany multiwersum, ale odkrywa, że jest coś jeszcze.
2997:  BFP - Jest warstwa nad, która nazywa się meta i przechodzi do świata Disneya.
3004:  BFP - Zaczyna zabijać bohaterów Frozen, zaczyna wyrzynać Indian i Pocahontas,
