#229 Jak Nie Pozwolić Swojemu Wku*wowi Pójść Na Marne? Wiedźmin, Gra o Tron - dr Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=q4AycNpVEQg
PG (Przemysław Górczyk)
KMM (Krzysztof M. Maj)

0:  PG - Jak wybuchła wojna w Ukrainie, to ja nie mogłem oglądać filmów wojennych.
2282:  KMM - Jest cały artykuł na ten temat.
2285:  KMM - I w ten sposób udowodnił tezę, że Amazon jest w stanie przepuścić produkt żywnościowy, który nim nie jest,
2292:  KMM - Tutaj nie działają żadne mechanizmy kontroli, ale jeżeli chodzi o kontrolowanie swoich pracowników, to te mechanizmy są wyśrubowane.
2299:  KMM - No i niestety, jeżeli chodzi o produkcję, to tam podobna dezynwoltura zachodzi i chaos kompletny, że z jednej strony masz perełki, Carnival Row, znakomita produkcja fantasy,
2310:  KMM - Świat, taki brudny, industrialny świat, w którym są wróżki, więc też sobie myślisz, że pewnie dla dzieci, nic bardziej mylnego.
2319:  KMM - I równocześnie tacy powiedzmy fabrykanci wzięci jeden do jeden z Dickensa i oni stwierdzają, że trzeba zrobić getto dla tych wszystkich nieludzi.
2328:  KMM - No i możesz sobie dośpiewać, co się tam dzieje, dokładnie to samo, co u Andrzeja Sapkowskiego, pogromy nieludzi i tak dalej.
2333:  KMM - Świetnie, realistycznie zrobiony serial.
2336:  KMM - Pospiesznie skończony.
2337:  KMM - Peryferal z drugiej strony, według powieści Williama Gibsona, przepiękny wizualnie, z bardzo dobrymi pomysłami adaptacyjnymi, nie przekładający świata powieściowego jeden do jeden.
2349:  KMM - Świetny cyberpunk, skasowany po jednym sezonie.
2352:  KMM - Też dla mnie kompletnie niepojęty, a znakomicie zagrany.
2355:  PG - Czemu oni w ogóle to kasują?
2356:  PG - Ja nie rozumiem tego posunięcia, żeby coś...
2358:  KMM - Nie mam pojęcia.
2359:  KMM - Prawdopodobnie to jest kwestia tego nieumiejętności odróżniania hatewatchingu, który ludzie uprawiają w stosunku do produkcji, o których jest głośno, bo Rings of Power było bardzo głośno, od fanów, którzy powolutku przekonują się do jakiejś produkcji i będą do niej wracać.
2376:  PG - Jak wygląda proces?
2376:  PG - Oni nie przetestowali tego z użytkownikami, żeby zbadać to, czy to będzie przyjmowalne, czy to będzie nieprzyjmowalne?
2382:  KMM - Tego ci nie powiem.
2382:  KMM - Wiem, że chodziły słuchy, że manipulowali statystykami oglądalności.
2387:  PG - Tym bym się w ogóle nie zdziwił, ale przecież można zrobić dwa odcinki, wpuścić w to ludzi i zebrać feedback i oni powiedzą, to jest za ładne, nie kupuję tego i będzie można delikatnie to jakby nadrobić ten kierunek.
2400:  PG - Nie wiesz, coś takiego się dzieje?
2401:  KMM - Wiesz co, mam wrażenie, że sporo ludzi właśnie może nie priorytetyzować tego tak, jak my priorytetyzujemy, że jednak musi być to realistyczne i patrzą na to troszeczkę inaczej.
2411:  KMM - To bardzo zależy od tego, jaką masz grupę fokusową i komu to puścisz.
2415:  KMM - Jeżeli wystarczy, że po prostu była grupa złożona z ludzi, którzy nie są fanami fantastyki, to już wystarczy, że dużo się zmieni.
2421:  KMM - Natomiast niedoceniono jednej rzeczy, to znaczy, że IP, jakie stworzył Tolkien, intellectual property, czyli własność intelektualna, cały ten świat, to jest gigantyczna.
2430:  KMM - Więc to nie jest tak, że to są już ci typowi fani fantasy, zwłaszcza że, to też jest dla mnie niezrozumiałe, mieli już przykład w postaci gry o tron, która nie była projektowana dla typowego fana fantasy.
2442:  KMM - Ona była projektowana w stylu tych dramatów historycznych, które HBO się specjalizowało.
2448:  KMM - Gra o tron bardziej przypominała rodzinę Borgiów,
2452:  KMM - niż jakąkolwiek produkcję fantasy, która wyszła wcześniej, dlatego to tak zadziałało, bo ludzie, znaczy mainstreamowa widownia, która prędzej przyjmie wielki dramat historyczny, oglądała to i miała takie okej, okej, w porządku, ciekawe rzeczy, ale że tam się pojawił smok, to on się pojawił tam w szóstym czy siódmym sezonie dopiero, w pełnej krasie, więc ludzie nie mieli z tym takiego problemu mam wrażenie i tego kompletnie Amazon nie zauważył.
2476:  PG - Moim zdaniem bardzo ważną rzeczą jest odnośnie gry o tron.
2480:  PG - Ja pamiętam taką sytuację, to było w tym Rud Smoka, w tej nowej części.
2485:  PG - Tak sobie oglądam i oglądam i tak sobie mówię, kurde, coś tutaj mi nie gra, trochę tego nie kupuję i nagle wchodzi nowy odcinek i odcinek albo się kończy, albo zaczyna od tego, że wchodzi szczur, zaczyna pić krew, idzie kamera po tej krwi i mówię, o tak, to jest gra o tron, rozpoznaję to.
2501:  KMM - Musi być też dobra sztuka kinematograficzna, musi być dobra muzyka, gra aktorska, no i przede wszystkim, wiesz, to też jest to, na co cierpi ten nieszczęsny Netflixowy Wiedźmin.
2511:  KMM - Też masz takie kadry tam, w których no cierpisz, jak na nie patrzysz, bo widać, że to jest zrobione paździerzowo i że nie ma tam tych właśnie efektów praktycznych bardzo często, że jest po prostu rzucony gdzieś greenscreen i no Henryk Kawil może się pocić i robić wszystko, ale on nie jest w stanie zagrać za wszystkich.
2528:  PG - Ten aktor podobno odszedł od Wiedźmina, wiadomo z jakiego powodu?
2532:  KMM - Znowu są ploty, to znaczy ploty są takie, że Henry Cavill od samego początku bardzo chciał tworzyć Geralta takiego, jakiego pamiętano z gier, a Lauren Schmidt-Hissrich razem z całym zespołem miała ideę fix, nie, nie, my tworzymy nowe uniwersum.
2547:  KMM - Wiesz co, to jest nawet na poziomie identyfikacji wizualnej, jak był kiedyś WitcherCon organizowany,
2552:  KMM - To logo WitcherConu było, ponieważ to była koprodukcja Netflixa oraz CD Projektu Red, połowa logo WitcherConu była z logiem wiedźmińskim z gier, a połowa Netflixowego.
2565:  KMM - Więc oni to mają dopracowane na poziomie znaków towarowych już i chodziło im o stworzenie alternatywnego uniwersum,
2571:  KMM - Z pewnymi podobieństwami, to już był pewien problem, to znaczy albo by stworzyli zupełnie coś nowego i kompletnie nie nawiązywali do gier, albo powinni wziąć jednak te rzeczy, do których się gracze w grach przyzwyczaili, czyli chociażby wygląd Geralta.
2585:  KMM - I pamiętam swój problem na samym początku, jak czytałem te zapowiedzi, że my się odcinamy całkowicie od gier, spoko, a potem patrzę na Geralta, on wygląda dokładnie tak samo jak w grach, coś jest nie tak, nie?
2595:  KMM - I Henry Cavill chciał przenieść wszystko to, co sam pokochał jako gracz z Gier, a produkcja oponowała.
2602:  KMM - I tam cały czas była ta negocjacja i cały czas było przeciąganie liny i mam wrażenie, że Cavillowi się po prostu to opatrzyło w momencie, w którym fani zaczęli coraz bardziej, i wiesz, i nie tylko fani, krytycy także filmowi zaczęli bardzo mocno, od drugiego sezonu zwłaszcza w górę, mówić, że serial idzie w niedobrym kierunku.
2619:  PG - Ten trzeci sezon był kiepski.
2622:  KMM - Pierwszy sezon się udał dlatego, że to były opowiadania.
2625:  KMM - przyznaję w stu procentach, jak oglądałem, kupowałem ten kierunek, mówiłem, no ja potrzebuję więcej budżetu i tak dalej, ale te opowiadania działają.
2633:  KMM - Natomiast miałem obawy od samego początku, jak usłyszałem, że chcą się zabrać za sagę.
2637:  KMM - Saga Sapkowskiego jest bardzo specyficzna.
2639:  KMM - To jest trochę tak jak ekranizowanie Terry'ego Pratchetta, bo to jest fantasy, ale równocześnie fantasy z dużą dozą humoru, właśnie postmodernistyczna, grająca z konwencją.
2648:  KMM - Jak rozmawiałem z zagranicznymi badaczami fantasy, oni mi porównywali Sapkowskiego z Pratchettem.
2652:  KMM - Dla nas to jest trochę dziwne, bo
2654:  KMM - Sapkowski to była taka pierwsza fantasy, z którą wiele osób miało do czynienia w Polsce, a tymczasem na Zachodzie właśnie totalnie go odbierają jako postmoderne, grę z konwencją, dużo humoru, takiej siarczystości, którą mogą kojarzyć ze słowiańskością i tak dalej, i tak dalej.
2671:  KMM - I to kompletnie zginęło u Lauren History, że ona nie potrafiła ani tego zrozumieć.
2676:  KMM - Myślę, że też Tomasz Bagiński tutaj nie zdołał za bardzo zadbać o to, żeby te kody kulturowe polskie przeszły do produkcji.
2684:  KMM - No i wiesz, i rozwiązania sztampowe, fabularne zaczęły tak strasznie zgrzytać z prozo Sapkowskiego, która... Wszystko możesz powiedzieć, ale nie, że jest sztampowa.
2693:  KMM - No, że fani po prostu zacznie odpływać i jak patrzysz na brutalne wykresy oglądalności, no to każde otwarcie kolejnego sezonu ma mniej widzów i teraz podobno mają być już tylko dwa sezony, miało być początkowo osiem i Liam Hemsworth ma zastąpić Henry'ego Cavill'a.
2709:  PG - Jestem ciekawy, jak się wbije w tą rolę.
2712:  KMM - Ja podejrzewam, że będzie dokładnie tak samo, jak było w przypadku innych tego typu niefortunnych podmian aktorów w światach fantastycznych.
2720:  KMM - Jak chociażby Gellert Grindelwald został zastąpiony przez Matza Mikkelsena, ponieważ Johnny Depp miał wtedy bardzo duże problemy wizerunkowe, to ja byłem przekonany, że ktoś mi znajdzie jakieś wyjaśnienie tak zwane in universe, wewnątrzświatowe, że no tam jakiś zażył eliksir, zaklęcie, wszystko.
2737:  KMM - Nie, po prostu
2738:  KMM - pojawił się nowy człowiek, wyglądający zupełnie inaczej, wiesz co, nawet nieucharakteryzowany.
2743:  PG - W Rodzie Smoka też było coś takiego.
2745:  PG - I też tak nagle z dupy się zmienili.
2746:  PG - I nie wszyscy się zmienili, to było najświeższe.
2748:  KMM - To prawda, to prawda.
2750:  KMM - I nikt ci nie tłumaczy, bo to jest niesamowite absolutnie.
2753:  KMM - A jeszcze Mats Mikkelsen, naprawdę on wyglądał jak nowojorski księgowy, nie przypominał w żadnym wypadku Johnego Deppa, szalonego, który jeszcze w dodatku, przypomnijmy, on też w którymś momencie wyglądał inaczej, ale to było właśnie wyjaśnione
2767:  KMM - W tym, że używał jakiegoś zaklęcia, które sprawiło, że zmienił wygląd.
2771:  KMM - Więc wiesz, to masz świat magii, w którym człowiek zmienia wygląd i nikt nie reaguje.
2774:  KMM - Wszystkie twoje lampki alarmowe wyjął.
2777:  PG - Co myślisz o Wiedźminie?
2778:  PG - Mam wrażenie, że jak oni zaczęli, pierwszy sezon jest zbudowany w ten sposób, że Wiedźmin w każdym odcinku ma jakąś misję.
2784:  PG - Czyli zaczyna się od jakiegoś problemu, coś się dzieje i on na końcu musi zabić potwora.
2788:  PG - I zaczynamy kolejny odcinek.
2789:  PG - Natomiast to się zupełnie zmieniło i w ostatnim odcinku to jest trochę bardziej jak gra o tron, czyli taka polityka, wymieszane historie i tego trochę nie rozumiałem.
2797:  PG - Dlaczego?
2797:  PG - Bo zaczyna to się dokładnie tak jak Mandalorian, bo Mandalorian cały czas idzie w tym stylu.
2801:  PG - Zabija potwora jednego na odcinek i jakby odcinka historii i zaczynają się nowe rzeczy, a jak oni zaczynają to tak wymijać właśnie pomiędzy tymi światami, to ja się w tym zaczynam gubić.
2811:  PG - To jest kompletnie zmiana koncepcji tego samego serialu.
2814:  KMM - No wiesz, no też musisz mieć do polityki wielu graczy.
2818:  KMM - Ja kisnąłem ze śmiechu, jak w trzecim sezonie Wiedźmina miałeś tylko Redanie.
2823:  KMM - Jak możesz pokazać politykę Królestw Północy z jednym Królestwem Północy?
2829:  KMM - To jest fizycznie niemożliwe.
2830:  KMM - Tutaj byś miał właśnie Gry o Tron, w której jest na przykład tylko Rut Arryn.
2834:  KMM - Nic z tym nie zrobisz, więc po pierwsze nieprzemyślane, po drugie rzeczywiście to co mówisz, czyli taka konstrukcja kryminalnego procedurala, że mamy sobie jedną sprawę w jednym tygodniu, ale w tle gdzieś jest ten motyw tej żony detektywa Monka na przykład, albo ten motyw Dextera, czy on zostanie złapany.
2853:  KMM - Ale przykuwać się uwaga do jednej sprawy, która jest rozwiązywana i Geralt, głowca potworów, się idealnie do tego nadaje.
2862:  KMM - I Sapkowski to robi przez całą sagę, nawiasem mówiąc.
2864:  KMM - Tam cały czas powstarzają się zlecenia wiedźmińskie.
2867:  KMM - Nie zapomina czytelnik ani przez moment, że Wiedźmin jest Wiedźminem.
2870:  PG - I to jest autentyczne w gruncie rzeczy, bo tak wyglądała jego robota.
2873:  PG - Dostawał zlecenie, szedł zarobić pieniądze.
2876:  KMM - On się wpakowywał w tę całą kabałę polityczną zupełnie nieintencjonalnie.
2881:  KMM - Wadziło mu to bardzo.
2883:  KMM - Równocześnie był ten wątek z Ciri i z Yennefer.
2885:  KMM - Biedny nie wiedział, co ma zrobić i przez to było niesamowicie autentyczne.
2890:  KMM - A tutaj...
2891:  KMM - Jak usiłują nam cały czas wmówić, bo postaci oczywiście zgodnie z amerykańską sztuką pisania kiepskich dialogów, mówią nam na ekranie, co mamy myśleć o tym, co myślą postaci.
2900:  KMM - No więc jak Yennefer mówi, że my jesteśmy rodziną i się bardzo kochamy, no to można płakać krwawymi łzami.
2906:  KMM - Bo Andrzej Sapkowski nigdy by czegoś takiego nie zrobił.
2909:  KMM - Pamiętam jak na samym początku trzeciego sezonu Wiedźmina ja zapłakałem krwawymi łzami.
2915:  KMM - Bo zobaczyłem, że Lauren Schmidt-Histrich razem ze swoim zespołem scenarzystów nie zrozumiała tego, że jak Jennifer pisała do Geralta miły przyjacielu, a on do niej miła przyjaciółko, to to było ironiczne i sarkastyczne.
2928:  KMM - A ona to napisała tak, jakby to był list obrażonych kochanków.
2932:  KMM - To jest ten poziom niezrozumienia materiału źródłowego i też się nie dziwię, że ludzie, którzy znali i Geralta growego, i Geralta literackiego, byli zrażeni do tego.
2942:  KMM - To jest pewna sztuka, stworzyć, powiedzmy, nie adaptację w tym przypadku, tylko nową wersję historii i jakiś remake, który antagonizuje fanów z jednej strony gry, a z drugiej strony książki.
2955:  KMM - Pytanie powstaje, dla kogo to jest ten serial.
2958:  PG - Dla mnie, bo ja nie czytałem książki i nie grałem w grę.
2961:  PG - A podobał ci się?
2963:  PG - Tak, zwłaszcza pierwszy sezon.
2965:  PG - Ja lubię to, że mogę sobie wejść w taki inny świat, tak jak rozmawialiśmy wcześniej, i odpłynąć.
2969:  PG - Więc to mi się podoba, ale im dalej w Wiedźminach, tym gorzej mi się odpływa.
2973:  PG - Tak, tak.
2974:  KMM - I myślę, że to właśnie głównie z powodu tego, że nie było spójnej koncepcji na serial.
2980:  KMM - Kiedy pojawiają się jakieś konfliktujące ze sobą wizje i nie masz planu, no to wtedy są problemy.
2985:  PG - Ja mam wrażenie, że on nie był taki drastyczny jak na samym początku.
2988:  PG - Gra o tron ma w to do siebie, że tam się dzieją poważne rzeczy i najfajniejsze było to, że tam głównie ktoś ginął.
2993:  PG - To jest po prostu doskonałe moim zdaniem.
2995:  PG - Teraz jak oglądam inne seriale, ostatnio oglądałem Team Seal i tak oglądam i mówię, że główny aktor nie zginął, o co tutaj chodzi?
3003:  PG - To już nie jest ten poziom w ogóle.
3005:  PG - A w grze o tron cały czas ktoś ginie.
3007:  PG - Nikt się tego nie spodziewa, bo to jest kompletnie nowe, bo głównie aktorzy nigdy nie ginął.
3010:  KMM - No bo jak zginął, mimo że Sean Bean jest chodzącym spoilerem, umówmy się, jak się on pojawia na ekranie, wiadomo, że zginie, ale jednak fakt, że zginął w tym pierwszym sezonie, to była, znaczy pamiętam, że były artykuły w mediach mainstreamowych, nie zajmujące się normalnie kompletnie fantastyką.
3027:  KMM - Jak w ogóle to jest możliwe?
3029:  KMM - Jaki wielki serial, produkcja HBO i nagle nasz bohater, którego wszyscy lubiliśmy, dobry człowiek, jest zaszlachtowany, dlaczego?
3036:  KMM - I ludzie chcieli o tym dyskutować.
3038:  PG - O którym teraz mówisz?
3039:  PG - O której postaci?
3040:  PG - Bo ja nie kojarzę... Ned Stark.
3041:  PG - Ned Stark, no.
3041:  KMM - Pod koniec pierwszego sezonu, tak.
3043:  KMM - I jeszcze w jakiś sposób ginie.
3044:  KMM - I jeszcze w jakiś sposób.
3045:  KMM - I wiesz, potem miałeś podobne sytuacje związane na przykład z oburzeniem widzów, że tu jest jakaś negatywna postać i nic przeciwnie, nic się jej nie dzieje.
3053:  KMM - I właśnie na tym polega realizm.
3055:  KMM - To jest coś, co pięknie powiedział Stanisław Lem kiedyś o fantasy i różnicy między fantasy a baśnią.
3061:  KMM - W baśni upolujesz smoka i dostaniesz rękę królewny w zamian i półkrólestwa i wszyscy są zadowoleni, rachunek ekonomiczny jest na zero, dlatego Andrzej... Boże, Stanisław Lem mówi, że to jest gra o sumie zerowej, a fantasy wręcz przeciwnie.
3073:  KMM - Upolujesz tego smoka, pójdziesz do króla, nie dość, że się okaże, że on nie ma żadnej królewny, to jeszcze ci jego szambelan wbije sztylet zatuty w plecy.
3081:  KMM - I zabierze jakieś rogi tego smoka,
3084:  KMM - Tak, że to jest jego trofeum, oczywiście.
3087:  KMM - I to jest gra w sumie nie zerowej.
3088:  KMM - No i to jest dokładnie to, co się dzieje w grze o tron.
3090:  KMM - Zresztą jest też taka historia i anegdota o Giorgio Martinie, który czytał Władcy Pierścieni i on na poziomie pierwszego tomu, w ogóle dzisiaj strasznie dużo spoilerów jest.
3101:  KMM - Mi to w ogóle nie przeszkadza jak coś.
3103:  KMM - I pod koniec pierwszego tomu, jak wiadomo, no nie wiadomo, co się dzieje z Gandalfem.
3107:  KMM - Gandalf opuszcza drużynę i George Armand miał takie...
3110:  KMM - wreszcie zginął ten mędrzec, który ma zawsze prowadzić drużynę i on ma być tym dobrym.
3115:  KMM - A potem dwóch wieża powraca i George R. R. Martin stwierdził o nie, nie, nie.
3120:  PG - Ale tam też nie jest wyjaśnione, dlaczego on nagle jest biały.
3124:  PG - Tego nigdy nie kłamałem, dlaczego on wrócił biały.
3126:  KMM - Chodziło z tego, co pamiętam, o to, że Gandalf zostaje przywrócony przez Valarów, którzy rezydują sobie w Amanie, to jest ta święta ziemia na zachód od śródziemia i Valarowie są odpowiednikami aniołów naszych.
3142:  KMM - No i chodziło o to, że zostaje ponownie wysłany jako Istar i jako jeden z pięciu magów mądrych, którzy mieli przewodzić w Śródziemiu w walce z siłami Saurona.
3154:  KMM - I tylko dlatego, że poniósł ofiarę w obronie Śródziemia, jest wynagrodzony wyniesieniem do najwyższego zaszczytu.
3162:  KMM - Kolor tych szat znamionował to, że miał być pierwszym pośród Istarich.
3167:  KMM - Wcześniej był to Saruman, czyli Kurunir, jeśli mnie pamięć nie myli oryginalnie, w Walinorze, a potem okazało się, że Gandalf zasłużył na te jego szaty bardziej.
3179:  PG - Siemanko, jeśli słuchając mojego podcastu przeszło Ci przez myśl, że fajnie gdyby moi słuchacze poznali i polubili Twoją markę, a tym samym pomógłbyś mi lepiej rozwijać ten projekt, to śmiało odzywaj się na maila dropuje.gmail.com.
3191:  PG - Adres mailowy znajdziesz też w opisie tego podcastu.
3197:  PG - Teraz ważne info.
3198:  PG - Do mojego podcastu nie zapraszam ludzi na rozmowy, za które zostało wcześniej zapłacone.
3203:  PG - Jeszcze wracając do Twojej marki.
3204:  PG - Ja na co dzień używam wielu produktów i chętnie polecę moim słuchaczom coś, co jest porządne i sprawdzone.
3209:  PG - Bo czemu nie?
3211:  PG - Dobra, to tyle.
3212:  PG - Wracamy do rozmowy.
3213:  PG - Nie złą masz pracę.
3215:  PG - Najlepsza w świecie.
3217:  PG - Ja z tobą rozmawiam jako fan, ty ze mną rozmawiasz, to jest twoja praca.
3221:  KMM - Tak, wiesz, to jest cudowne, ponieważ to też tworzy taką synergię między tym, co robię na YouTubie i tym, co robię na uczelni, dlatego zawsze powtarzam, że moją specjalnością jest zajmowanie się fikcyjnymi światami, co też stawia mnie w komfortowej sytuacji, bo nie muszę żadnego projektować, zresztą nie umiem, bo nie jestem artystą, w odróżnieniu od niektórych YouTuberów, którzy tak o sobie mówili,
3241:  KMM - Haha.
3241:  KMM - Natomiast równocześnie mam przegląd różnych światów i wiesz, czasem mi się zdarza, że doradzam albo, nie wiem, albo studentom, którzy na początku projektują światy, czasem jakieś studio mnie nawet samobójcze poprosi o jakąś opinię czy ekspertyzę.
3255:  KMM - I wtedy mogę powiedzieć, no słuchaj, ten zrobił tak, ten zrobił tak, ten zrobił tak i ty z tego wyciągnij wnioski, jakie chcesz, prawda?
3262:  KMM - Więc to jest, jakby w tym widzę swoją rolę, to znaczy, żeby poznawać jak najwięcej różnych światów i orientować się, jak można byłoby zaprojektować je lepiej, jak zrobić inżynierię wsteczną, więc to jest bardzo wdzięczna praca i wbrew pozorom, przez to, że też ona się łączy z grami wideo bardzo często, pokazuje ona, jak może być, wiesz, miejsce kogoś, kto zawsze widział siebie po stronie nauk humanistycznych,
3284:  KMM - Ale tak z drugiej strony lubił też romansować na przykład z programowaniem czy z czymś.
3288:  KMM - Wtedy się okaże, że na przykład można być fenomenalnym właśnie projektantem narracji w jakimś studiu i wykorzystujesz wtedy swoje własne zainteresowania.
3296:  KMM - Ja jestem ogromnym zwolennikiem pracowania z pasji.
3300:  KMM - Tylko z tym jednym zastrzeżeniem, żeby pamiętać, że jeżeli się pracuje z pasji, to prawdą jest, że się nie przepracuje ani jednego dnia, ale równocześnie, że się nie odpocznie ani jednego dnia.
3310:  KMM - Więc to jest ta druga strona medalu.
3313:  KMM - I dla mnie takim sposobem na odpoczywanie było streamowanie gier, bo złapałem się na tym, że jak grałem sam dla siebie, to już był notatnik, nie?
3328:  KMM - z myślą, okej, ja to będę musiał wykorzystać do czegoś.
3331:  KMM - To samo było przy oglądaniu seriali.
3332:  PG - O to chciałem cię zapytać, jak wyglądał cię przełączanie pomiędzy właśnie tym graniem z pasji, a później robieniem tych takich żmudnych zadań, czyli okej, tutaj sobie pograłem, ale tutaj muszę zrobić rozpiskę, podzielić to na jakieś punkty, przestać się jakby bawić i zacząć robić taką, w cudzysłowie, poważną pracę.
3350:  PG - To jest trudne?
3351:  KMM - Jest trudne, dlatego bardzo lubię gry, które umożliwiają zapis w każdym momencie.
3356:  KMM - Uśmiecham się do Souls-like'ów teraz, które nie umożliwiają takiego zapisu, ale i tak je uwielbiam, żeby nie było.
3362:  KMM - Bo emocje, które się wiążą z tymi grami, ach, to jest nie do porównania z czymkolwiek innym.
3367:  KMM - Dla nieznających Souls-like'ów to są gry typu Dark Souls, które wymagają bardzo
3372:  KMM - dużej dozy cierpliwości w starciach z potężnymi przeciwnikami, trzeba się uczyć sekwencji ich ruchów i gra o tyle nie wybacza, że nie możesz sobie właśnie zapisać stanu gry i często musisz wrócić na przykład dwie godziny wcześniej do jakiegoś punktu zapisu, który jest zwykle w jakiejś symbolicznej formie ogniska czy obozu, do którego wracasz i później znowu musisz się przedzierać przez szeregi przeciwników, którzy się odrodzili.
3396:  KMM - Do bossa, który zabija cię po dwóch sekundach.
3398:  KMM - Czemu oni nie dają możliwości zapisu?
3399:  KMM - Bo ma być trudno.
3400:  KMM - Bo ma być realistycznie, nie?
3402:  KMM - Więc nie masz mieć władzy.
3404:  KMM - To jest trochę tak jak w horrorze, gdzie nie czulibyśmy emocji w horrorze, gdybyś uzbroił naszego bohatera w pancerz jakiegoś Ultramarinisa z Warhammera 40, dał mu wielki miodacz ognia i powiedział, no dobrze, no to teraz te zombie to...
3419:  KMM - Nagle by się okazało, że one nie budzą już twojego strachu, a jeżeli wrzucisz gracza i odbierzesz mu władzę, czyli to poczucie sprawczości, sense of agency, które jest w grach, no to nagle się okazuje, że rzeczywiście jest to wyzwanie.
3431:  KMM - No ale wiesz, dla mnie to jest problematyczne, bo musiałbym nagrywać całą grę praktycznie po to, żeby wydobyć z niej jeden screenshot na przykład, albo wydobyć z niej jeden fragment, więc wiesz, no streamowanie jest idealne, bo dzięki temu teraz mam zapis swojej własnej gry, którą mogę cytować, bo w pracach akademickich... I możesz komentować na bieżąco.
3448:  PG - Tak.
3448:  KMM - W pracach akademickich jest ten problem, że musisz zacytować konkretny fragment, a więc jeżeli bym cytował czyjąś rozgrywkę, to wtedy to jest tak, bym cytował film, a nie grę.
3457:  KMM - A jeżeli cytuję własną rozgrywkę, no to wtedy postępuję uczciwie wobec mojego czytelnika.
3462:  KMM - To też było znaczące dla mnie.
3464:  KMM - I jeżeli gra pozwala na zapis, to moja praca jest prosta.
3468:  KMM - Jeżeli gra nie pozwala na zapis, no to zrobię stream, wtedy będę mieć ten zapis już w formie moich streamów, ale wiesz, wciąż się muszę przez nie przedrzeć.
3476:  KMM - Albo robię w jakimś momencie screenshot na szybko, żeby po prostu wiedzieć, że to był ważny moment.
3481:  PG - Dużo spędzasz czasu w ten sposób, że grasz i robisz notatki?
3486:  KMM - Tak, tak, dużo, dużo, no bo w którymś momencie zawsze jest jakieś rozwiązanie, które cię zainteresuje.
3491:  KMM - Czasami mam tak, że ukończę jakiś tytuł i od razu siadam do tekstu, tak miałem jak skończyłem Elden Ringa.
3496:  KMM - stwierdziłem, ok, to jest świetny przykład gry, która łączy konstrukcję otwartego świata, który możesz eksplorować nieskrępowanie, właśnie z taką grą typu Soulslike, która buduje ci i piętrzy przed tobą wyzwanie.
3509:  KMM - No i pytanie, czy otwarty świat, gdzie możesz bez żadnego problemu się poruszać, nabrać doświadczenia, zdobyć oręż potężny, czy ona nie trywializuje tego wyzwania?
3518:  KMM - Z drugiej strony, czy ten świat faktycznie jest otwarty?
3521:  KMM - Czy to jest taki świat jak w Wiedźminie chociażby?
3523:  KMM - Więc to był interesujący też
3526:  KMM - kasus do przeanalizowania.
3528:  KMM - No i wiesz, też sporo się uczę od moich studentów, na przykład cały system opisywania screenshotów, to jest coś, co wymyślili moi studenci na moich seminariach, mianowicie wpadli na pomysł, żeby robić chociażby screenshot jakiejś sytuacji dialogowej, żeby nie przepisywać dialogu, bo to bez sensu, ale równocześnie ten screenshot opisać, no tak jak w Wordzie, jak opisujesz, pisząc pracę dyplomową,
3547:  KMM - bardzo detalicznie, żeby powiedzieć, co jest konkretnie na ekranie.
3550:  KMM - Że wiesz, na przykład jak ty nie grałeś w Soul Slayer, tak, czytasz tekst, ale wiesz już, o co tam chodzi, masz wszystko opisane na ekranie.
3555:  PG - Jestem w takim miejscu, są tam jakieś potwory, dzieje, to jest taki etap gry, jestem motyle życia i tak dalej.
3561:  KMM - Tak, tak, tak.
3561:  KMM - Jesteś w takim miejscu, w takiej lokacji, to jest interfejs użytkownika, a to jest sama gra, bo wiesz, bardzo często też to wymaga odróżnienia.
3568:  KMM - I taki detaliczny, gęsty opis służy ci wtedy jako taki żywy przypis trochę, do którego się możesz odnieść w tekście, gdzie robisz analizę.
3577:  KMM - No i to jest jedyna w zasadzie taka rzecz, którą możemy zrobić w martwym medium, jakim jest tekst, względem medium interaktywnego i żywego, żeby jakoś je unieśmiertelnić.
3586:  KMM - Zwłaszcza, że wiesz, to też jest problem.
3588:  KMM - Dużo gier starszych przestaje być już możliwe, czy łatwe, powiedzmy, do takiego konsumenckiego odpalenia na nowszych maszynach.
3597:  KMM - Więc ta praca, nazwijmy to właśnie kulturoznawców, humanistów i tak dalej, archiwizacyjna, kronikarska, zaczyna być bardzo istotna.
3605:  KMM - Badania, które ostatnio przeglądałem mówią, że gry starsze niż 15 lat praktycznie już są, wypadły kompletnie z obiegu i są trudne do przeanalizowania, trudne do dostania, więc jeżeli wiesz, nie robisz ich analiz, tak jak robią analizy filmoznawcy, literaturoznawcy i tak dalej, to strasznie dużo kultury przepada.
3624:  KMM - I gdyby nie moderzy, gdyby nie różne inicjatywy ludzi, którzy starają się archiwizować te tytuły na jakichś serwerach dostępnych ogólnie,
3632:  KMM - no to by nam autentycznie przepadała część naszej kultury i to zaczyna być coraz większy problem.
3637:  PG - Teraz ludzie się pukają w głowę, jakiej kultury gry, to nie jest żadna kultura, to są jakieś zabawy dla dzieci i niedojrzałych facetów.
3645:  KMM - Mam wrażenie, że na szczęście ten stereotyp już mija wraz z rosnącym wiekiem gracza, który teraz, no średni jest 30-34, to jest średni wiek gracza na świecie przynajmniej.
3656:  PG - Jak to jest możliwe, skoro dzieciaki cały czas grają pewnie w jakieś gry na telefonach?
