Co Dalej z Mobbingiem na UAM? | Prof. dr hab. Robert Kmieciak, Krzysztof M Maj | Magazyn Reporterów
🔗 https://www.youtube.com/watch?v=LEV3IAP-9lw
RK (Prof. dr hab. Robert Kmieciak)
SM (Szymon Majchrzak)
KMM (Krzysztof M. Maj)

270:  S03 - Dzisiaj karbary są ściekiem komunikacyjnym.
2050:  RK - Będziemy starali się, i to mogę obiecać, przekonywać studentów poprzez informowanie o polityce równościowej, administracyjnej, o tego typu możliwościach.
2061:  RK - Oczywiście
2063:  RK - One są powszechnie znane, natomiast być może nie do wszystkich to dociera.
2067:  RK - Także wydaje się, że warto na tym skoncentrować uwagę i to mogę tutaj dzisiaj wstępnie zadeklarować.
2076:  SM - Bardzo dziękujemy za tak liczny odzew na naszym czacie, na transmisji youtubowej.
2083:  SM - Tam pani Patrycja pisze, studenci boją się w ankietach na USOS pisać o swoim niezadowoleniu z zajęć.
2089:  SM - A co dopiero o trudnych sytuacjach związanych z mobbingiem?
2092:  SM - Rozumiem wątpliwości pana profesora.
2094:  SM - Ja nie mam gotowej odpowiedzi na to, jak to poprawić.
2098:  SM - Wskazuję tylko, że studenci najwyraźniej z tego, co czytamy już od kilku dobrych tygodni, po prostu w tych ankietach obawiają się zgłaszać te problemy.
2109:  SM - A jak zrobić tak, żeby zachęcić ich do tego?
2111:  SM - Mam wrażenie, że to jest pytanie do władz Uniwersytetu im.
2115:  SM - Adama Mickiewicza w Poznaniu i do ekspertów, którzy mogliby na ten problem odpowiedzieć.
2121:  SM - Myślę, że możemy przejść do konkretnie Wydziału Anglistyki, choć obracamy się oczywiście wokół tej sprawy.
2127:  SM - To przypomnę pretekst do naszego programu.
2131:  SM - Jak pan, profesor, w świetle tego, co opublikowaliśmy niedawno, ocenia komfort studiowania na WA?
2140:  RK - Ja przyznam szczerze, że byłem bardzo zaskoczony tym materiałem, który państwo żeście opublikowali.
2144:  RK - Oczywiście dobrze, że się pojawił w przestrzeni publicznej, to jest ważny sygnał dla nas, a co już starają się podkreślać wielokrotnie, my tego typu sygnałów nie bagatelizujemy.
2159:  RK - Jestem zaskoczony, bowiem w mojej opinii Wydział Anglistyki jest bardzo dobrze zarządzany, jest ceniony także poza Poznaniem.
2171:  RK - To jest kierunek najwyżej oceniany w Polsce.
2174:  RK - W rankingu perspektywy wygrywa rok rocznie, to prawda.
2176:  RK - Tak jest.
2177:  RK - I do czego zmierzam?
2179:  RK - To są trudne studia też, prawda?
2182:  RK - Z tego co wiem, to są dane oficjalne Wydziału Anglistyki.
2187:  RK - Jedynie chyba 30% studentów, którzy rozpoczynają studia, wieńczą ten proces dydaktyczny, edukacyjny dyplomem.
2197:  RK - Także wiele osób po drodze z jakichś powodów przestaje studiować.
2203:  RK - Byłaby karkołomna, myślę, teza taka, że z tego względu, że są mobbingowani czy dyskryminowani.
2209:  RK - Nie, to są po prostu trudne studia.
2211:  RK - I zwracam panu uwagę i państwu również na tę kwestię, że to, że dwie trzecie studentów nie kończy studiów...
2222:  RK - z powodem do dumy.
2223:  RK - Wie pan, bo zastanawiam się właśnie nad tą kumulacją niechęci.
2228:  RK - Ja oczywiście, powtarzam raz jeszcze, nie bagatelizuję tych sygnałów, które tam się pojawiły.
2233:  RK - Natomiast ja bym się tym zajął bardzo poważnie w momencie, kiedy będę miał konkretne zgłoszenia, konkretny wniosek dotyczący konkretnych spraw.
2243:  RK - Natomiast przyznacie państwo, przyzna pan redaktor, że opieranie się na wpisach internetowych, no to trochę za mało
2250:  SM - Oczywiście, do wyciągnięcia konsekwencji wobec konkretnych osób pełna zgoda.
2255:  SM - To absolutnie w świetle prawa nie jest żaden dowód i co do tego nie ma sporu.
2262:  SM - Tylko zastanawiam się, czy tak rażące opinie w Google, które można na przykład przeczytać.
2268:  SM - Czy takie komentarze, jak ten, który dostaliśmy od jednej z naszych słuchaczek, która mówi wprost, ten problem ciągnie się latami, jesteśmy wdzięczni, że ktoś się tym zainteresował, nie powinny spowodować tego, że następuje refleksja.
2282:  SM - Okej, to ja się przyjrzę, co tam się dzieje, to może wypada się nad tym pochylić, bo skoro tak wiele osób
2288:  SM - który przychodzi do internetu, przychodzi do mediów i mówi, coś jest nie tak, to czy to nie jest sygnał, że może rzeczywiście warto to zgłębić?
2297:  SM - Dobrze, a ile osób, jeżeli mogę zapytać?
2300:  SM - No, jeżeli chodzi o to, ile osób obejrzało nasze materiały, to jest to blisko ćwierć miliona.
2305:  SM - Jeżeli chodzi o komentarze, to jest kilkadziesiąt komentarzy, które się pojawiły pod tymi filmami.
2311:  SM - To jest kilkanaście osób, które opowiedziały nam swoje historie, panie profesorze.
2316:  SM - To jest wreszcie ponad setka opinii, z których średnia to jest w pięciopunktowej skali poniżej dwójki.
2322:  SM - To jest najniższa opinia ze wszystkich wydziałów.
2326:  SM - Ja dzwoniłem przed naszym poniedziałkowym programem dwa tygodnie temu do innych stacji telewizji,
2332:  SM - akademickich w Polsce, konkretnie do dwóch, do Lublina i do Warszawy.
2337:  SM - I kiedy padało zostawienie słów mobbing i Poznań, i uczelnia, to każdy od razu wiedział, że chodzi o Wydział Anglistyki, panie profesorze.
2345:  RK - No i właśnie, i to jest moim zdaniem no jednak niesprawiedliwe, tak?
2351:  RK - Bo myślę, że... A może to jest symptomatyczne, panie profesorze?
2354:  RK - Wydział Anglistyki mógł być wspominany w zupełnie innych kontekstach, tak?
2361:  RK - W zupełnie innych kontekstach.
2367:  SM - Zastanawia mnie Panie Profesorze pewność, z jaką Pan Profesor wygłasza te tezy, ponieważ sami przed momentem ustaliliśmy, że jest problem z pokazaniem, przedstawieniem, zebraniem skali zjawiska.
2377:  SM - A pan profesor stwierdza, i to jest moje odczucie, proszę mi powiedzieć, jeżeli pan profesor się z tym nie zgadza, że pan profesor jakoby kończy ten wątek stwierdzeniem problemu nie ma, bo nie ma do mnie zgłoszeń.
2392:  RK - Panie redaktorze, bez przesady.
2394:  RK - Już na początku rozmowy stwierdziłem, że
2397:  RK - problem mobbingu na pewno jest.
2400:  RK - Niekoniecznie tylko i wyłącznie na Wydziale Anglistyki.
2404:  RK - To chciałem jasno powiedzieć.
2406:  RK - Ale ten problem, co wynika z badań, które żeśmy sami zlecili, jest.
2411:  RK - I problem polega też na tym, żeby się temu przeciwstawić.
2415:  RK - Natomiast
2416:  RK - Chciałem powiedzieć jeszcze o innej kwestii, bo to umyka być może w tej naszej dyskusji.
2422:  RK - Bardzo proszę.
2424:  RK - Myślę tutaj o skali uniwersytetu.
2425:  RK - To jest, proszę państwa, to jest 37 tysięcy ludzi, tak?
2427:  RK - 32 tysiące studentów.
2432:  RK - 5 tysięcy pracowników, 3 tysiące pracowników naukowych i dydaktycznych.
2436:  RK - Przecież byłbym skrajnie naiwny, jakbym twierdził, że w takiej grupie osób nie znajdą się moberzy, osoby dyskryminujące innych.
2448:  RK - No przecież to są ludzie, tutaj już skoncentruję się na pracownikach, pełnowymiarowi powiedziałbym, pełnokrwiści, ze swoimi zaletami, ale także wadami.
2457:  RK - Któż z nas nie ma wad.
2459:  RK - Pełna zgoda.
2460:  SM - Ja jestem przekonany, że na Wydziale Anglistyki są świetni pedagodzy, ale niech to nie przesłania nam skali problemu.
2466:  RK - Panie profesorze, to... Panie redaktorze, ja będę mógł powiedzieć o skali problemu w momencie, kiedy wpłyną do mnie konkretne skargi.
2472:  RK - I mogę tutaj to zadeklarować publicznie, że jeżeli takie się pojawią, niezwłocznie się tym zajmę.
2478:  RK - Natomiast niech pan nie oczekuje, że ja będę się ustosunkowywał do często anonimowych wpisów internetowych.
2485:  RK - Rozumiem.
2486:  RK - No to jest trochę jednak nieporozumienie.
2488:  SM - Rozumiem.
2489:  SM - Dopowiem tylko, że jeżeli chodzi o te proporcje kończących studia do rekrutujących się, tą jedną trzecią, no to już wśród kryteriów Polskiej Komisji Akredytacyjnych jest wspieranie studentów.
2503:  SM - Zastanawia mnie, jak się ma do tego fakt, że jak relacjonują nasi rozmówcy, niektórym nawet odbierano prawo do usprawiedliwiania zajęć przez zwolnienia lekarskie.
2514:  RK - Jeżeli takie sytuacje nie miały, to było to działanie całkowicie bezprawne.
2518:  SM - Panie profesorze, przejdźmy do puenty.
2521:  SM - Ja proponuję, żebyśmy spotkali się za jakiś czas i zobaczyli, jakie są efekty tego, co my przedstawiliśmy.
2530:  SM - Bo szczerze liczę na to, że sytuacja na Wydziale Anglistyki się zmieni i my nie będziemy dostawali z konkretnego wydziału tak wielu pytań.
2538:  SM - Mam nadzieję, że one trafią do pana profesora.
2542:  SM - A jeżeli nie trafią, to być może wspólnie po raz kolejny zastanowimy się, dlaczego nie trafiają.
2547:  RK - Znaczy ja mam nadzieję, że rzeczywiście sytuacja będzie dobra.
2553:  RK - Wiem, że po państwa materiale podjęto tam też działania takie mające na celu sprawdzenie.
2561:  SM - A jakie to są działania pani profesor?
2563:  RK - Sprawdzenie tych oskarżeń czy opinii, które się pojawiły.
2570:  RK - Wiem na pewno, że zostało zorganizowane i chyba będzie jeszcze drugie spotkanie ze studentami wydziału.
2577:  RK - Bezpośrednio po państwa materiale jeszcze przed wakacjami zostało też zwołane na zwyczajne zebranie pracowników, gdzie właśnie ta kwestia była poruszana.
2587:  RK - Ja chciałbym wyraźnie podkreślić, że ta refleksja nastąpiła, mimo że, no być może, bo tego nie jesteśmy w stanie w tej chwili stwierdzić, ja tutaj będę konsekwentny, my na razie opieramy się na opiniach, często anonimowych.
2605:  RK - Jeżeli trafią do mnie czy do moich współpracowników,
2610:  RK - skargi studentów Wydziału Anglistyki, zajmiemy się tym niezłocznie.
2615:  RK - Natomiast kończąc, chciałem powiedzieć, że cieszę się na ewentualną kontynuację naszej współpracy, czy chęć kolejnego spotkania.
2628:  RK - Wydaje mi się, że dążymy do tego samego.
2631:  RK - I tutaj państwa materiał temu służy.
2636:  RK - I myślę, że też działania, które my systemowo w Uniwersytecie podejmujemy, chcemy wyeliminować, bądźmy realistami, ograniczyć tego typu zjawiska WOM.
2646:  SM - Rzecznik Praw i Wolności Akademickich prof. Robert Kmieciak.
2650:  SM - Bardzo dziękuję.
2651:  RK - Bardzo dziękuję panie rektorze.
2652:  RK - Dziękuję państwu.
2885:  SM - Za nami rozmowa z Rzecznikiem Praw i Wolności Akademickich profesorem Robertem Kmieciakiem.
2891:  SM - Dla tych, którzy słuchali tylko we fragmentach albo spóźnili się z jakiegoś powodu, przypominam, całość będzie już jutro dostępna na naszym kanale YouTube Radio Afera.
2901:  SM - Pod tym hasłem najłatwiej jest nas znaleźć.
2905:  SM - A teraz przechodzimy do komentarza po tym, co mam wrażenie, że przez ostatnie 40 minut bardzo mocno wybrzmiało.
2912:  SM - Moim i waszym gościem jest adiunkt Akademii Górniczo-Hutniczej w Krakowie, doktor nauk humanistycznych i wykładowca, a także youtuber Krzysztof M. Maj.
2924:  SM - Dobry wieczór Krzysztofie.
2926:  KMM - Dobry wieczór, witam wszystkich serdecznie.
2928:  SM - Krzysztofie, ty zajmowałeś się w swojej działalności youtubowej, również chyba można to nazwać dziennikarskiej, sprawami o mobbing, przede wszystkim na Uniwersytecie Jagiellońskim.
2941:  SM - Jak w świetle tego, czego ty doświadczyłeś, co relacjonowałeś u siebie na kanale, mógłbyś zrecenzować nasze ostatnie 40 minut?
2954:  KMM - Od razu sprostuję, że robotę dziennikarską wykonali reporterzy wyborcze.
2958:  KMM - Jedną sprawą zdawałem i zresztą był follow-upowy artykuł w marcu 2023 na temat sprawy mobbingowej w Instytucie Historii Sztuki.
2967:  KMM - Zatytułowany, pozwolę sobie przytoczyć ten tytuł w całości, nic się nie stało, 200 osób napisało o molestowaniu na UJ.
2972:  KMM - Od konsekwencji nie poniesie żaden z wykładowców.
2975:  KMM - To jest zamknięcie tej historii, w której przypominam, że musiało dojść do interwencji
2980:  KMM - Rzecznika Praw Obywatelskich w ogóle, żeby zaczęto procedować i żeby te młyny uniwersyteckie zaczęły mielić troszeczkę szybciej, a nie powoli.
2995:  KMM - To jest bardzo znana niestety odpowiedź, że mamy tutaj anonimowe wypowiedzi, a my tutaj potrzebujemy procedur.
3003:  KMM - Procedury owszem istnieją i osobliwie oznajmię, że jest znaczące, że istnieją na wielu uczelniach, w tym na AGH-u.
3010:  KMM - rzecznicy praw studenta.
3012:  KMM - Natomiast jeżeli mamy rzecznika prawa i wolności akademickiej, który obejmuje wszystko praktycznie i jeszcze do tego wszystkiego, przypominam, jest pracownikiem tejże uczelni, to istnieje innego rodzaju domniemanie, to znaczy takie domniemanie, że nie może być bezstronnym arbitrem.
3028:  KMM - Nawet u nas na Akademii Górniczo-Kutniczej
3031:  KMM - Jest bezstronny arbiter w postaci rzecznika praw studenta, Agnieszka Zatyka-Szlachcic i uważam, że to jest procedura absolutnie standardowa, to znaczy to musi być osoba spoza społeczności z tego względu, żebyśmy my z kolei mieli pewność, że nie będzie żadnych nacisków, tak samo jak druga strona chce mieć pewność, że nie będzie żadnych anonimowych zgłoszeń.
3049:  KMM - Ja tylko mogę powiedzieć, że z całej mojej kariery akademickiej, plus kariery akademickiej moich rodziców, plus kariery akademickiej moich dziadków, nie było w Polsce ani jednego przypadku profesora oskarżonego nieuczciwie przez studenta, który został w wyniku tego oskarżenia zwolniony.
3063:  KMM - Takiej sytuacji nie znam, bardzo chętnie bym takie poznał, natomiast gwarantuję, że nie ma ich nawet szans najmniejszych, żeby były w takim wolumenie, w jakim są te zgłoszenia, o których wiemy.
3074:  SM - Krzysztofie, my wnioskujemy, przepraszam, że wejdę w słowo, czas nagli,
3078:  SM - Mamy go tylko 7 minut.
3081:  SM - My w naszych materiałach próbujemy pokazać, że problem nie leży w tym, że gdzieś ten mobbing występuje, bo to jest tylko pochodna tego, że takie zachowania nie są zgłaszane.
3092:  SM - A nie są zgłaszane, bo te systemy, które funkcjonują na UAM, o konkretnym poznańskim przypadku rozmawiamy, po prostu nie zachęcają do tego studentów.
3102:  SM - Jak ty byś odniósł do odbicia...
3105:  SM - Jak ty byś się odniósł do odbicia tego argumentu?
3108:  KMM - Jest po prostu nieskuteczne, to znaczy ankieta służy do ewaluacji jakości kształcenia, kropka.
3114:  KMM - Natomiast ankieta nie służy do zgłaszania przestępstw.
3116:  KMM - To jest przestępstwo.
3117:  KMM - Przestępstwa zgłasza się do prokuratury i w ogóle studenci są bardzo łagodni, że piszą o tym w internecie.
3122:  KMM - Powinni walić pozwami na lewo i prawo w uczelnie.
3125:  KMM - Problem polega na tym, że studenci nie mają pieniędzy i uczelnie o tym bardzo dobrze wiedzą.
3129:  KMM - Ale też do tego potrzeba odwagi, to jest przecież olbrzymie.
3133:  KMM - Szybciej tego muru obojętności jest trudne i ludzie, trudno się dziwić, uciekają w te rewiry, które znają najlepiej.
3141:  KMM - To znaczy piszą do influencerów na Instagramie, piszą opinie w Google itd.
3146:  KMM - W związku z powyższym uważam, że przynajmniej z perspektywy PR-owej uczelnie powinny być zainteresowane tym, żeby tych opinii nie ignorować.
3153:  KMM - Jeszcze raz powtarzam.
3153:  KMM - którzy ankiety nie służą do tego, żeby zgłaszać przestępstwa.
3157:  KMM - Do tego muszą być inne procedury na uczelni, które mają działać dokładnie tak samo szybko, jakby zadziałały procedury, domyślam się również na Uniwersytecie Adamia Mickiewicza w Poznaniu, gdyby w akademiku odkryto marihuanę.
3168:  KMM - Zaręczam, że w ciągu 24 godzin by procedury zadziałały.
3171:  KMM - W związku z powyższym w przypadku przestępstw z kadry, czy podejrzenia przestępstwa ze strony kadry, również w 24-godzinnym czasie reakcji mamy na myśli.
3181:  KMM - W tym momencie powinniśmy
3182:  KMM - rozmawiać, a nie o tym, że tutaj będzie jakaś procedura, się zwoła komisja i tak dalej, i tak dalej.
3186:  KMM - Takie pierdoły, przepraszam najmocniej, to sobie można robić wtedy, kiedy zachodzi innego kalibru problem.
3193:  SM - Co w takiej sytuacji powinna zatem zrobić uczelnia?
3196:  SM - Bo ja mam wrażenie, że nasza dzisiejsza rozmowa
3201:  SM - To było już w pewnym momencie mielenie tak zwanej wody.
3204:  SM - To było trochę kręcenie się w kółko.
3207:  SM - Pomysłów brak.
3208:  SM - Oczywiście będą badania dotyczące chociażby molestowania, będą zebrania na Wydziale Anglistyki, ale odnoszę takie wrażenie i to już jest moja publicystyczna opinia,
3220:  SM - że konkretnych działań w sprawie Wydziału Anglistyki, w sprawie tego, żeby zbadać całe zjawisko, nie będzie tak długo, jak te sprawy nie zostaną zgłoszone.
3231:  SM - A te sprawy nie będą zgłoszone, bo po prostu studenci nie czują się bezpieczni, po prostu się boją.
3237:  SM - To jest błędne koło, Krzysztofie.
3239:  KMM - Jest to błędne słowo i jedyne rozwiązanie, jakie ja widzę, to jest arbitraż zewnętrzny, to znaczy uczelnia żadna nie może być sędzią w własnej sprawie i wieczne przyzwalanie na to, żeby, jeszcze raz podkreślę, podejrzenie popełnienia przestępstwa jakiegokolwiek kalibru było rozstrzygane wewnątrz jakiejś instytucji, nie działało od lat w kościele katolickim,
3259:  KMM - I nie działa od lat na uczelniach.
3261:  KMM - Różnica między jednym a drugim polega na tym, że my nie przenosimy z parafii do parafii, bo nie musimy.
3266:  KMM - Można zamieść pod dywan o wiele łatwiej i o wiele łatwiej niestety również zadziałają mechanizmy zastraszania.
3271:  KMM - Zresztą również byłem ofiarą takich.
3273:  KMM - W związku z powyższym dobrze wiem, jak one działają i jedyne rozwiązanie, jakie ja widzę, jest takie, żeby zgłaszać to na zewnątrz i żeby to dokumentować.
3281:  KMM - Studentów mogę tylko zachęcać do tego, żeby tego rodzaju dokumenty zamieszczali w internecie na tyle, na ile mają na to możliwości, ponieważ jak widać,
3289:  KMM - Tak czy siak, jeżeli zwierzy się jakaś komisja, to przychodzi do pokazania dowodów.
3295:  KMM - Bez dowodów nie jesteśmy w stanie procedować.
3298:  KMM - Więc instytucje zaufania publicznego, taką jaką jest chociażby Rzecznik Praw Studenta, czy inne instytucje zaufania publicznego i osoby zaufania publicznego są jedyną opcją.
3308:  KMM - Myślę, że każda społeczność akademicka jest w stanie wyłonić mężów stanu wobec...
3312:  KMM - W ogóle, niezależnie czy ze swojego grona, czy z innych, którzy będą w stanie takie sprawy załatwiać i równocześnie robić to w porównaniu ze studentami.
3319:  KMM - Bo jeżeli będzie się to robić poza studentami, no to sprawa jest w zarodku ucięta.
3324:  KMM - Mogę ze swojej strony powiedzieć, że na przykład są, szybko dopowiem też o rozwiązanie, ankiety robione u nas na AGH-u niezależnie od ankiet w USOS-ie przez samorząd i te ankiety, w odróżnieniu od tamtych, nie mają punkcików i dziwnych jakichś pól, które trzeba wypełniać.
3340:  KMM - Ile dajesz prowadzącemu w zakresie, nie wiem, przychodzenia pilnie na zajęcia, tylko są ankietami opisowymi.
3346:  KMM - I studenci piszą tam cztery o pięciostronicowe elaboraty.
3349:  KMM - Ci sami studenci, którzy podobno nie chcą pisać i nie chcą niczego zgłaszać.
3353:  KMM - Wystarczy, że zorganizuje to samorząd.
3354:  KMM - Więc rozwiązania są i to są te trzy, które przychodzą mi do głowy.
3358:  KMM - Bezstronny arbitraż, rzecznik praw studenta i samorządność studencka.
3363:  KMM - A jeżeli wszystko to nie działa, dokumentowanie w internecie.
3366:  SM - Musimy kończyć.
3368:  SM - Mam wrażenie, że te trzy punkty, które wymieniłeś, to jest świetna odpowiedź też na zagwozdkę pana rzecznika, pana profesora Kmieciaka, który siedział po mojej prawej jeszcze kilkanaście minut temu.
3379:  SM - Co zrobić?
3380:  SM - Jak bardziej zachęcić studentów do opowiadania swoich historii?
3384:  SM - Nie w internecie, nie w mediach.
3387:  SM - A właśnie w instytucjach, które powinny gasić takie zachowania w zarodku.
3392:  SM - A jeżeli one nie są gaszone, to potem mamy takie sytuacje, jak właśnie na Wydziale Anglistyki UAM.
3400:  SM - Moją rozmowę z profesorem Robertem Kmieciakiem komentowałem przez ostatnie kilka minut z doktorem nauk humanistycznych, adiunktem w Akademii Górniczo-Hutniczej w Krakowie, a także youtuberem Krzysztofem M. Majem.
3413:  SM - Krzysztofie, bardzo Ci dziękuję.
3415:  KMM - Bardzo dziękuję i trzymam kciuki za studentów Instytutu Anglistyki UAM i ich zdrowie psychiczne.
3423:  SM - My również trzymamy za Was kciuki, a na koniec pięknie dziękujemy.
3428:  SM - W pierwszej kolejności Wam, tym, którzy mieli na tyle odwagi, żeby skontaktować się z nami, żeby skomentować nasze materiały i z imienia i nazwiska, bądź też anonimowo opowiedzieć o tym, co dzieje się na Uniwersytecie im.
3441:  SM - Adama Mickiewicza w Poznaniu.
3443:  SM - My ze swojej strony obiecujemy, że to nie jest nasze ostatnie słowo.
3447:  SM - Program przygotowała Maria Lewandowska i Adam Kaźmierczak.
3450:  SM - Realizował go Szymon Dopierała, a za transmisję na YouTubie był odpowiedzialny Kamil Stróżyński i Mikołaj Pluciński.
3459:  SM - Szymon Majchrzak, dobrego wieczoru.
3463:  S03 - Dzisiaj Garbary są szczekiem komunikacyjnym.
3466:  S03 - Słuchamy i chcemy być wysłuchani.
3468:  S03 - Budynek stoi tylko i wyłącznie na słowo honoru.
3471:  S03 - Magazyn Reporterów, Radia Afera.
3473:  S00 - Jeszcze dzisiaj zaapelujemy do wszystkich dyrektorów, żeby zamknąć już szkoły, przedszkola.
3479:  S00 - W każdy poniedziałek o 20.00.
