Znęcamy się nad Harrym Potterem - czekając na Hogwart's Legacy, Krzysztof M. Maj, ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=S1o0R985PvI
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)

0:  DS - No ale chciałbyś mieć koedukacyjną sypialnię?
1291:  KMM - Zwłaszcza jak zaczęło przychodzić do tych kolejnych konkursów typu turniej trójmagiczny, a potem jeszcze następny, następny, następny.
1297:  DS - Trochę zastanawiałam, co jej się jeszcze uda wymyślić?
1299:  DS - Ja w ogóle szanuję za to, bo to szczerze mówiąc nie jest takie proste.
1301:  KMM - Nie, nie jest.
1302:  KMM - Ale to było na siłę trochę.
1303:  DS - Jeszcze musisz to w tytule zmieścić, nie?
1305:  DS - Harry Potter i coś tam.
1307:  KMM - Tak.
1307:  KMM - I dopiero w późniejszych tomach z tego zrezygnowała tak już w zupełności i to było na plus.
1313:  KMM - Moim ukochanym tomem jest tom szósty z tego względu, bo tam się zaczyna właśnie ta tajemnica, trochę już wychodzą z tych murów szkolnych, więc ma to głęboki sens, ale wbrew pozorom Deathly Hallows mi się tak nie podobało właśnie przez wzgląd na to, że tam już za mało z kolei było tego Hogwartu jako takiego.
1327:  KMM - Myślę, że lepszym rozwiązaniem byłoby wtedy rozbicie naszych bohaterów, żeby na przykład część była w Hogwarcie, a część poza i
1334:  DS - Było takie wrażenie dalej tego świata, tego filu z Hogwartu.
1340:  DS - Mi nie przeszkadzało to, co mówisz, to, że jest za każdym razem jakiś event, bo moim zdaniem to było na tyle fajnie opisane, zawsze były te wskazówki i przez cały, faktycznie cały rok szkolny my jako czytelnicy staraliśmy się zgadnąć, o co chodzi i mimo wszystko zazwyczaj jej się udało mnie zaskoczyć.
1355:  DS - No ja też oczywiście czytałam te książki, jak byłam dość młoda, więc nie wiem, być może jak mnie czytała dzisiaj, to
1361:  DS - Jakieś by to było dla mnie mniej takie właśnie zaskakujące i efektowne.
1365:  DS - Natomiast ja ostatniej części strasznie nie lubię.
1368:  DS - W ogóle chciałam najpierw zrobić taki disclaimer, że... Bo pod ostatnim filmem mieliśmy tamten kawałek, gdzie rozmawialiśmy również o Harrym Potterze i potem parę osób wyciągnęło z tego wniosek, że
1384:  DS - Ja na przykład nie przepadam za Harrym Potterem.
1387:  DS - I ja chciałam powiedzieć, że ja uwielbiam Harry'ego Pottera.
1390:  DS - To jest książka, która była, książka, cała seria, która była ze mną przez całe życie.
1395:  DS - Od małego najpierw czytałam, bo w ogóle pierwsza część to była pierwsza gruba książka, którą przeczytałam samodzielnie.
1401:  DS - Więc dla mnie jako małej Dominiki było to takie wielkie osiągnięcie.
1405:  DS - Potem były audiobooki, które słuchałam w podróży albo do spania, albo coś tam, potem filmy, więc Harry Potter jest super, co nie oznacza, że nie ma paru mniejszych lub większych błędów i problemów i wad, bo po pierwsze każda książka ma, nawet jak jest dobrze napisana, bo po prostu... Nawet książki Olgi Tokarczuk.
1425:  KMM - Nie byłem w stanie zachować uwagi.
1426:  KMM - Przepraszam, próbowałem.
1428:  DS - Każda książka... Zróbcie blipa.
1433:  DS - Każda książka ma błędy, a w ogóle w przypadku Harry'ego Pottera ja uważam, że Rowling należy bardzo dużo wybaczyć.
1441:  DS - Ponieważ jeśli się postawimy w jej sytuacji, Harry Potter wychodził przez 10 lat, od 1997 do 2007.
1449:  DS - Mamy kobietę, która napisała książkę, krótką książkę, bo pierwszy Harry Potter jest dość cienki, taka typowa debiutancka długość książki tak naprawdę.
1460:  DS - I ona wysyła tę książkę, nikt jej nie przyjmuje, po czym nagle ktoś ją, faktycznie jakiś wydawca postanawia ją wydać, no nie?
1466:  DS - I potem nagle
1468:  DS - Nie wiem, w którym momencie to było, kiedy te książki były wydawane po angielsku, ale nagle jest na to boom.
1475:  DS - Więc popatrzcie, mamy debiutantkę, która nagle jest na oczach całego świata i wszyscy oceniają jej pisanie.
1482:  DS - I jest taka gigantyczna presja, bo ludzie piszą, że to jest książka ich marzeń, że oni znajdują się w tym Hogwarcie duszą.
1494:  DS - I oni oczekują, że tak będzie aż do końca, że to dalej będzie tak samo fantastycznie magiczne i cudowne dla nich.
1500:  DS - Więc ja się nie dziwię, że ona po pierwsze popełniła trochę błędów, bo jeszcze na dodatek była duża presja czasu, no bo wydawca chciał, żeby ona pisała szybko i wydawała szybko.
1508:  KMM - I faktycznie pisała szybko, to trzeba jej oddać.
1510:  DS - A książki to też, nie wiem, też z mojego doświadczenia pisarskiego, prawda, jeszcze nic nie wydałam, ale coś tam napisałam, co sobie w szufladzie leżało, prawda, i po jakimś czasie to wyjmowałam.
1520:  DS - I to się zdarzało kilkukrotnie.
1522:  DS - I zawsze, jak wrócimy do naszego tekstu, najlepiej po więcej niż pół roku, to nagle widzimy, jak strasznie dużo tam jest błędów i problemów.
1530:  DS - I tego się nie da zobaczyć wcześniej.
1532:  DS - Oczywiście ona miała bardzo dużą pomoc od wydawcy, no na pewno miała ileś tam beta czytelników, pewnie miała jakichś iluś redaktorów, którzy nad tym pracowali.
1541:  DS - Dużo więcej pomocy miała niż taki zwykły autor, który pisze, ale i tak na szybkości, że tak powiem, nie da się wielu błędów wykluczyć.
1548:  DS - Więc moim zdaniem to nie jest do końca tak, że Rowling tutaj popełniła błąd, bo jest słabą pisarką albo jest niemądra i czegoś nie wymyśliła.
1556:  KMM - Znaczy przede wszystkim też trzeba pamiętać, że ona miała bardzo dobry warsztat z zakresu antropologii, kultury i mitu z uwagi na swoje wykształcenie, więc była w stanie wszyć różne elementy z łatwością taką, która wielu debiutantom fantasy nie przychodzi tak łatwo.
1573:  KMM - I druga rzecz, którą też chciałem podnieść, to to, że rzeczywiście to, co mówisz o fenomenie Pottera, to jest coś, czego można dzisiaj nie doceniać, zwłaszcza jak się, nie wiem, poznaje Pottera, tak, dowolną inną fantazję i nie pamięta tamtego czasu.
1584:  KMM - Przecież nawet w moim ulubionym, jednym z ulubionych filmów, Diabeł ubiera się u prady, jest wątek cały zdobycia rękopisu Pottera i to jest ważny moment.
1594:  KMM - To jest niesamowite, że nawet do super mainstreamowego filmu dotarł ten wątek.
1599:  KMM - Pamiętam też ataki na ciężarówki opancerzone, które przenosiły pottery.
1603:  KMM - To było niesamowite absolutnie.
1606:  KMM - Podobne ataki na ciężarówki opancerzone były tylko w Polsce, gdzie chciano wydobyć matury oczywiście.
1611:  DS - No ale w Polsce dla odmiany było to szaleństwo, że jak tylko się pojawił jakiś po angielsku potem jakiś przeciek tłumaczenia i coś, to wszyscy to ściągali, drukowali, czytali te tłumaczenia, które tam było jeszcze napisane na początku, że to jest przetłumaczone przez kogoś amatorsko, więc potem mogą być różnice w stosunku do oryginalnego tłumaczenia.
1628:  KMM - Ja przeglądałem te tłumaczenia, ba, zdarzało mi się też stać w tych kolejkach o 24-tej,
1634:  DS - Ja w kolejce do księgarni akurat nie stałam, ale faktycznie u mnie cała rodzina miała te takie właśnie wydrukowane na drukarce tłumaczenia i tylko takie spięte spinaczem i to się tak strasznie niewygodnie czytało.
1644:  KMM - Ale to jest jeszcze podwójnie zabawne, bo dokładnie w tamtym momencie, tak ja znowu będę rantował na to, co zwykle rantuję, była ta narracja, że nikt nic nie czyta.
1654:  KMM - Nikt nic nie rozumie, młodzież upada.
1657:  KMM - Wszyscy oglądają seriale, grają w gry wideo, tępieją i nie będą czytać nigdy książek.
1665:  KMM - Po czym kolejki młodych ludzi do księgarn, bo chcą czytać Pottera, po czym czytanie Pottera po 13 razy, bo chciało się jeszcze dłużej pozostać w tym świecie i od tamtego czasu, a to już sporo lat minęło, w dalszym ciągu bardzo mądrzy polscy literaturoznawcy nie zrozumieli tego fenomenu.
1682:  DS - Mnie zawsze strasznie bolało, że ani Harry Potter, ani opowieści z Narnii, w sensie pierwsza część, nie były lekturą szkolną.
1690:  KMM - Ale potem się to zmieniło, potem trafiły już na listę lektur.
1693:  KMM - Różnie to było, czasem były na nadobowiązkowych, czyli wiecie, jeżeli chcecie ukryć trupa, to najlepiej na liście lektur nadobowiązkowych, bo tam inni zaglądają.
1700:  KMM - Nauczycieli oczywiście z egzaminatorów zaglądają za to uczniowie.
1703:  KMM - No i druga rzecz, czasem się pojawiały też jakieś czytanki, jak lubię to określenie.
1707:  DS - No tak, ale to jest taki kawałek tylko, nie?
1710:  DS - A to byłaby naprawdę fajna, znaczy jeśli mówisz, że była to dobrze, ale za moich czasów.
1715:  KMM - No i jeszcze jest jeden element, to znaczy wiesz, jeżeli to się czyta jako normalny tekst, gdzie są motywy fantastyczne, no to się nie rozumie, czym jest fantazy.
1722:  KMM - I niestety bardzo często tak w szkole się fantazy czyta.
1725:  KMM - O tym moglibyśmy zrobić drugi odcinek i narzekać na to, jak bardzo różne jest w ogóle czytanie fantazy i jak różnych potrzeba do tego kompetencji, że się zwraca uwagę właśnie na świat, na mapę, na bestiariusz i tak dalej i tak dalej, na to wszystko, na co się nie zwróci uwagi w, no nie wiem, dowolnej baśni, prawda?
1740:  KMM - No, ale Potter właśnie był dobry o tyle na początku, że pięknie łączył w sobie te dwie konwencje.
1746:  KMM - Z jednej strony właśnie baśń, trochę powieść młodzieżową, a z drugiej strony fantazy i przez to był bardzo dobrym wprowadzeniem do gatunku.
1753:  KMM - Mam wrażenie, że właśnie ludzie częściej przechodzili od Pottera do opowieści z Narni niż odwrotnie, a wcześniejsze pokolenia miały jednak te opowieści z Narni jako taki, to się ładnie nazywa gateway drug po angielsku, nie wiem jak to powiedzieć ładnie po polsku, ale jestem z pewnością przekonany, że ktoś w komentarzach będzie wiedział.
1769:  KMM - No, w każdym razie Potter, dla mnie się zaczyna szał na Pottera od trzeciego tomu w górę, co ciekawe.
1775:  KMM - To znaczy pierwszy i drugi tom był dla mnie okej, natomiast dopiero w trzecim tomie miałem już duży hype.
1781:  DS - Pierwszy, czwarty są świetne, piąty...
1786:  DS - Okej, szósty świetny, siódmy tragedia.
1790:  DS - On jako książka jest w jednym tomie, chyba siódmy, nie?
1793:  KMM - Tak, tak, jest w jednym przydługim tomie.
1796:  KMM - I tak samo jak pierwszy film nie ma żadnego sensu z siódmego, tam jest jedna dobra scena, mianowicie jak Voldemort bierze różdżkę i godzi nią w niebo i wrzeszczy.
1804:  KMM - To jest wspaniała scena i należałoby ją przedłużyć do godziny.
1808:  KMM - Natomiast pozostałe sceny, gdzie są, nie wiem, Wesleyowie, których mogłoby w ogóle nie być, ja bym nic nie stracił.
1813:  KMM - Względnie jest ta żenująca scena tańcu między Potterem a Hermioną.
1817:  KMM - Nie, ja tego kompletnie nie kupowałem.
1820:  KMM - Plus jeszcze te takie tanie aluzje do drugiej wojny, że szmalcownicy tam, jakieś powstańcy, tego nie lubię.
1827:  KMM - W ogóle to mi nie pasowało totalnie do uniwersum.
1830:  KMM - Natomiast polemizowałbym z piątą częścią, bo piąta część dla mnie była fenomenalna przez ten wątek zakonu Feniksa i przede wszystkim dom przy Grimwald Place, dobrze mówię?
1840:  DS - No, jakaś tak Grimwald Place, no.
1841:  KMM - No i to było super, bardzo mi się podobał.
1843:  DS - Ona była ciekawa, ale była tak strasznie ponura i jakby mi się trochę nie podobało to, że ona nie była zła, tak jak możemy się spierać czy siódma część była zła, bo moim zdaniem najlepsza siódma część nie była.
1855:  DS - Piąta część jest dobra, ale przez to co się tam dzieje w tej książce to jakby niszczony jest ten Hogwart, ten taki Hogwart, który wszyscy kochamy i nie wiem, mnie to tak bardzo dotyka jak to czytam.
1865:  DS - Że tam już nie ma tych fajnych lekcji, no wiadomo jest Snap i coś tam, ale ogólnie nie jest już fajnie w Hogwarcie.
1871:  DS - Mam to samo odczucie co Harry Potter, że Hogwart przestaje być domem, nie?
1875:  DS - No i ja rozumiem, że to jest ciekawe, ale ja jako czytelnik nie chcę, żeby Hogwart przestawał być moim domem.
1881:  KMM - Rozumiem to.
1881:  KMM - Znaczy rzeczywiście ten akcent na pokazywanie magii od strony lekcji i zajęć był coraz mniejszy w kolejnych tomach.
1889:  KMM - Dla mnie poniekąd to była zaleta, ale mam wrażenie, że to w o wiele większym stopniu było w filmach.
1894:  DS - Ja myślę, że w piątej części chyba trochę było dla mnie za mało zrównoważonych, brakowało mi zrównoważenia tego, że tyle się złych rzeczy dzieje, a zwykle tam te złe rzeczy były równoważone przez humor i takie lekkie scenki.
1906:  DS - A w piątej części, że tak powiem, wszystkie aspekty
1910:  DS - we wszystkich aspektach była, za przeproszeniem, przesrany, no bo była Umbridge, Harry był tak strasznie niemiły dla wszystkich, tam jest ten Caps Lock Harry, jak to go nazywałem w internecie, bo Harry ciągle tam wrzeszczy i jest wszystko wypisane wielkimi literami, więc on jest jeszcze niemiły dla swoich kolegów, nic tam po prostu nie jest takiego.
1926:  KMM - Ale ja nie wierzę, masz tom, w którym jest najlepszy pojedynek magiczny w całej serii opisany, między Voldemortem a Darnedorem, jest świetnie opisana scena śmierci.
1934:  DS - Syriusz był moim ulubionym bohaterem, więc nie mogę lubić książki, w której umiera Syriusz.
1939:  KMM - Ale to jest dobra śmierć.
1940:  KMM - Znaczy porównaj to ze śmiercią, która jest dowolnie teraz... Dobra śmierć, powiedział Krzysztof.
1944:  DS - Tak, tak.
1946:  DS - Ludzie mogą umierać, jeśli jest to dobra śmierć.
1949:  KMM - No właśnie porównaj to z tymi nieszczęsnymi harfutami, że cię mówią, że on umrze i co z tego?
1955:  KMM - To się nie przyjmij.
1955:  KMM - No dobra, niech giną.
1956:  KMM - Wszystko jedno.
1957:  KMM - Przecież nie obchodzi cię to, prawda?
1958:  DS - A nie mógł umrzeć ktoś inny?
1960:  KMM - No mógł, oczywiście, że mógł.
1962:  DS - Tyle kandydatów było.
1963:  S06 - W siódmej części miałaś całą galerię ludzi, którzy umarli.
1966:  DS - W ogóle było bezsensu.
1966:  DS - Takie, weźmy wszystkich bohaterów do worka, potrzęśnijmy tym workiem, a potem wyciągniemy jak w skrable tych, którzy mają umrzeć.
1974:  KMM - Ja miałem tak w siódmej części na przykład, że Potter umarł i ja miałem takie, wreszcie, wreszcie.
1978:  KMM - Jest, tak, nareszcie.
1980:  KMM - Czekałem na to siedem części.
1982:  KMM - Po czym oczywiście, aha, tak.
1984:  KMM - Już widzę, dobrze.
1985:  KMM - Ale to było dziwne, tam też miałem poczucie, że Rolling troszeczkę się zaczyna rozsypywać lore.
1992:  KMM - Parę razy miałem takie momenty, w czwartej części miałem to, kiedy Avada Kedavra, muszę oczywiście o tym powiedzieć, Avada Kedavra przestaje działać w czwartej części.
2001:  KMM - To znaczy Awada Kedawra jest zaklęciem niewybaczalnym, które... Dwie wersje są.
2005:  DS - Albo wyrywa duszę.
2006:  DS - Są tylko trzy zaklęcia niewybaczalne.
2008:  DS - Natychmiastowa śmierć, tortury przez ból i przejmowanie władzy nad tym ciałem.
2013:  DS - Ale jakieś inne potworne zaklęcie, na przykład zaklęcie, które spali ci stopę, już nie jest niewybaczalnym zaklęciem.
2018:  KMM - Albo wywróci na lewą stronę.
2019:  KMM - Jest też takie zaklęcie lorowo w podtarzu.
2021:  KMM - I jest wszystko...
2022:  KMM - porządku z wywracaniem na lewą stronę.
2024:  DS - Ono jest niemiłe, ale nie jest niewybaczalne.
2026:  DS - Tak jest.
2027:  DS - Jak potem przeprosicie, to jest szansa, że ktoś by wybaczył.
2030:  KMM - Wyobraź sobie, że jesteś na przykład kroptologiem w szpitalu świętego Munga i rzucasz zaklęcie wywracające na lewą stronę i już wiesz, gdzie jest odbyt, wiesz, gdzie są jelita, wszystko wiadomo, prawda?
2039:  KMM - Bardzo praktyczne, nie?
2041:  KMM - Więc przypuszczanie dlatego nie jest niewybaczalne.
2043:  KMM - Still...
2044:  KMM - Avada Kedavra, tak?
2045:  KMM - Po pierwsze, zabawne, bo Abracadabra zostało przetworzone w odpowiedni sposób, to raz.
2050:  KMM - Dwa, zaklęcie niewybaczalne, które albo wyrywa duszę, albo zatrzymuje akcję serca.
2054:  KMM - Swoją drogą jest hipoteza, że to zaklęcie, którym walnęła Molly Weasley, to właśnie była niewerbalna Avada Kedavra, ale ja się z tym nie zgadzam.
2061:  KMM - W każdym razie, okej, no to przyjmijmy, że to jest ekwiwalent naszego pocisku samonaprowadzającego.
2067:  KMM - No nic nie zrobisz, jeżeli ktoś to w ciebie wyceluje, mamy przerąbane.
2071:  KMM - Po czym chod tuś, po tuś, uskakuje za nagrobek i...
2074:  KMM - przestaje to działać.
2075:  KMM - No dobrze, to wymyślmy w takim razie, korzystając z tego, że powierzchnia fizyczna powstrzymuje awalakadawrę, być może pomogłoby w obronie przed zaklęciem nieodbijalnym najstarszy wynalazek ludzkości obok miecza, czyli tarcza?
2088:  DS - Nie, nie, nie, bo to jest wynalazek Mugoli, a czarodzieje nie rozumieją wynalazków Mugoli.
2093:  KMM - Ale nagrobek działa, no to niech chodzą z nagrobkiem w takim razie.
2096:  KMM - To może być windargium Leviosa, o i będziemy mieli nagrobek przed sobą w takim razie.
2102:  KMM - Może być nawet własne, wszystko jedno, prospektywnie.
2104:  DS - Być może czarodzieje używają śmietników, wtedy taka pokrywka od kaszela śmietnika.
2109:  KMM - No właśnie, to jest pierwszy moment, kiedy lore Pottera nie działa.
2112:  KMM - Ja się nie dziwię frustracji Voldemorta wtedy, jak on ciepie jedną awadą kadawru za drugą, a śmieszny Potter zamiast honorowo stanąć do pojedynku, skacze za nagrobki.
2120:  KMM - Dramat absolutny.
2122:  KMM - I drugi moment, kiedy przestaje się zszywać lore, no to jest właśnie siódma część, kiedy nagle się przestajemy rozumieć, na czym polega w zasadzie właśnie to oderwanie duszy.
2130:  KMM - To, słowo drogo, było jeszcze w trzeciej części, kiedy się pojawiły i dementorzy.
2134:  KMM - Natomiast nie wiemy jak to działa i równocześnie się okazuje, że można kogoś zabić, ale nie zabić.
2139:  KMM - To znaczy Potter trafia do limbo.
2140:  KMM - I Rowling mętnie tłumaczy, że to dlatego, że tam on miał cząstkę Voldemorta w siebie, która się czepiła jedynej żywej dusz.
2147:  DS - Ja też o tym czytałam ostatnio, bo to jest w ogóle jeden z moich dowodów powiedzmy na to, że ostatnia część jest słabo napisana, że nawet jeśli przeczytamy ją parę razy, to my dalej nie rozumiemy do końca na czym polega to zakończenie, dlaczego właśnie Harry nie umiera i tak dalej, dlaczego ta różdżka,
2167:  DS - O, bo jeszcze jest ten moment, że tak, że różdżka nieodbijalna, która odbija zaklęcie, bo ta miała pana wcześniej... Ja przeczytałam ostatnio parę artykułów na temat tego właśnie, jak się kończy Harry Potter i dlaczego tak się kończy Harry Potter, ponieważ nie byłem w stanie tego zrozumieć, mimo że
2183:  DS - Właśnie parokrotnie to przeczytałam i to jeden raz niedawno, nic nie pamiętam, więc jeśli napisaliśmy książkę, którą po przeczytaniu trzy razy czytelnik dalej nie rozumie, jak się to skończyło, to znaczy, że coś jest trochę słabo.
2196:  DS - Ja przeczytałam takie wyjaśnienie, że to nie chodzi o to, że jak Voldemort rzucił Avada Kedawra, to zabił Horcruxa w Harrym, no nie?
2203:  DS - A Harry nie umarł.
2204:  KMM - Tak, ja to rozumiem.
2205:  DS - Tylko to jest bardziej skomplikowane.
2208:  DS - Bo chodzi o to, że najpierw matka Harry'ego oddała za niego życie, więc on miał tą ochronę jej miłości w swojej krwi.
2215:  DS - No nie?
2216:  KMM - Dobrze, tak, czaję.
2218:  KMM - Chociaż to jest bardzo ryzykowna swoją drogą w ogóle lore'owo, że ona coś takiego wprowadziła, bo wszyscy by z tego korzystali.
2224:  KMM - No właśnie, czy miłość innych matek jest gorsza niż miłość... Najgorsza rzecz jaka jest, to to, że Potter swoją ofiarą życia
2232:  KMM - w siódmej części, ochronił wszystkich tym swoim bąblem fabularnym, bo to jest zbroja fabularna, nie oszukujmy się.
2238:  KMM - I teraz nikt nie mógł zostać zabity i tym się tłumaczy fakt, że jak Voldemort pojedynkuje się równocześnie z McGonagall i ze Slagornem, to jego klątwy śmiertelne ich nie sięgają.
2248:  DS - Ale przecież Syriusz umarł Zacharego.
2253:  KMM - Więc właśnie, ale druga rzecz, przecież klątwa śmiertelna i tak zadziałała na Pottera, mimo ochrony, którą dała mu matka, tak teoretycznie, to znaczy, no mimo wszystko zostawiła jakiś ślad.
2265:  KMM - Czyli oznaczałoby to, lorowo, że Slagorn i McGonagall powinni mieć piorunki na sobie, tak jak stacja wysokiego napięcia.
2272:  DS - Ale nie, jakieś inne kształty, truskaweczkę na przykład.
2274:  DS - Każdy dostaje inne.
2275:  S04 - Malinkę zostawiła na szyjniach.
2278:  S04 - Ruska Voldemortas.
2279:  S04 - Bzowa, oho!
2281:  DS - Widziałeś już, jaką malinkę zostawił mi Voldy.
2285:  KMM - Ale wiesz co, Maggie Smith mogłaby to powiedzieć w taki sposób, żebyśmy wszyscy uwierzyli w to, że między nimi coś było.
2292:  KMM - Ona byłaby w stanie to zagrać.
2293:  DS - Ja ją uwielbiam w roli McGonagall, jest świetna.
2296:  KMM - Perfekcyjny casting.
2297:  KMM - No, ale kontynuuj, bo ja powiedziałem o bąblu czasoprzestrzennym.
2300:  DS - No więc on miał tą ochronę miłości matki w swojej krwi, więc Voldemort go tam już nie mógł potem w ogóle dotknąć, ani nie mógł go zabić.
2307:  DS - Ale potem Voldemort... Później jest ta scena na cmentarzu.
2313:  S06 - To jest tak złe.
2316:  DS - Że Voldemort był po prostu jakimś fetyszystą.
2318:  S06 - Czoła.
2320:  DS - To czoło Harrego.
2321:  DS - Mogę je dotknąć.
2325:  S06 - A zatem.
2326:  S06 - Nie mógł go dotknąć.
2327:  DS - Nie dojdziemy do końca tej historii.
2329:  S06 - Voldemort też nie doszedł, ale
2335:  DS - Więc potem na tym cmentarzu on użył krwi Harrego, żeby się ożywić.
2339:  DS - Więc wtedy krew Harrego płynęła w żyłach Voldemorta i ta ochrona również.
2345:  DS - Więc oni jakby byli w tym samym bąblu, więc mógł go dotykać i teoretycznie niby mógł go zabić.
2352:  DS - Ale jak rzucił na niego klątwę Avada Kedawra, to Harry nie umarł, tylko został tak zawieszony właśnie w tym limbo.
2359:  S06 - Zawieszony w prawach ucznia.
2362:  DS - Również w sumie Voldemort był wtedy jakby szefem szkoły.
2365:  DS - Tak, tak, tak.
2366:  DS - I on był zawieszony w tym limbo, ale ponieważ w krwi Voldemorta dalej była ta jego krew i ta jego ochrona, to niby dlatego on nie umarł do końca i mógł sobie wybrać czy chce wrócić.
2377:  KMM - To już jest powyżej mojej pokryty.
2378:  DS - No i właśnie ten autor, który to... I on tam podawał cytaty, że tam Voldemort... Jak rozmawiał z Dumbledorem, to Dumbledore mówił właśnie, że bo ta twoja krew i coś tam.
2386:  KMM - Dumbledore wszystko przewidział.
2388:  KMM - To nie jest tak, że Dumbledore był w trybie wiecznej improwizacji.
2391:  KMM - On nic nie rozumiał, co się dzieje, ale w którymś momencie wpadł na jakiś pomysł.
2395:  KMM - Bo ja to wszystko przewidziałem.
2397:  KMM - On jest tak jak taki retroaktywny MacGyver, który z gumki, recepturki i kubka tworzy wyrzutnie rakiet samonaprowadzających.
2403:  KMM - I Dumbledore miał podobnie, tylko że z retoryką.
2405:  KMM - Niesamowity ten gość.
2406:  DS - Ja myślę, że Dumbledore nie był pewien, czy to tak zadziała.
2410:  DS - No Harry musi umrzeć.
2412:  DS - No jak będzie dobrze, to wtedy będzie mógł się ożywić z powrotem, a jak nie, no, ale może będzie dobrze.
2420:  DS - Myślę, że to jest czas na pytanie od patronów.
2424:  KMM - Oho, dawaj.
2426:  DS - Uwaga.
2428:  DS - Jak sądzicie, gdyby Harry Potter miał robioną ekranizację pierwszy raz w 2022 roku na Netflixie albo Prime w formie serialu, co by pozamieniali w celach adaptacji?
2441:  KMM - Ja myślę, że profesor Czmiel byłby czarnoskórą lesbijką, ale to jest taka moja ostrożna hipoteza.
2447:  DS - Ja myślę, że powinieneś wymyślić wersję optymistyczną, gdyby naprawdę się starali, to co by zmienili, bo by uważali, że to coś wyniesie i wersję pesymistyczną.
2456:  DS - Ja myślę, że w wersji optymistycznej dużo więcej uczniów byłoby etnicznie różnorodnych.
2463:  DS - Zwłaszcza tak w backgroundzie.
2465:  KMM - Netflix ma kwoty, kiedyś Filip na kanale Bez Somatu to pięknie nazwał, że to jest nie diversity, czyli faktycznie dbałość o to, żebyśmy przedstawiali różnorodność, czy etniczną, czy rasową, czy cokolwiek, co definiuje normalny świat, tylko checklisty.
2479:  KMM - Znaczy robimy checklistę.
2481:  KMM - Okej, jest jeden Azjata, dobrze, to teraz jeszcze potrzebujemy dwóch Norwegów, świetnie.
2486:  DS - No i tak realistycznie jakby ich tam, po prostu tych uczniów, czy tak powiem drugoplanowych uczniów,
2491:  DS - bardziej zrobili różnorodnych, no to to by nie zmieniło fabuły ani nic.
2495:  DS - To byłaby taka nieszkodliwa zmiana.
2496:  DS - To prawda.
2497:  KMM - Zresztą te zmiany były w pewnym zakresie realizowane i jakoś nikomu nie sprawiało to problemu.
2503:  KMM - Nie, ja myślę, że głównie kłopot, jaki byśmy mieli jest taki, że po prostu by nie zwracano uwagi w takim stopniu na lore.
2509:  KMM - To znaczy jak Chris Columbus zaczął, zwłaszcza Chris Columbus, kręcić Pottera, to on po prostu przenosił te opisy książkowe prawie jeden do jeden na plan filmowy i dlatego to było miłe dla czytelników.
2520:  KMM - Potem oczywiście można było na kanwie tego coś opracowywać, wprowadzać jakieś innowacje, chociaż ja na przykład mam bardzo duży problem z tym, że w trzecim filmie nagle Alfonso Cuarón, a to mi się wszyscy zachwycało, a ja mam problem z tym filmem chyba największy, ponieważ tam nagle Dumbledore zmienia wygląd, ok, rozumiem, zmarł aktor, zdarza się, ale istnieje coś takiego charakteryzacja i druga rzecz, tylko że tam akurat było to zrobione dobrze, Netflix by kompletnie tego nie
2544:  KMM - nie zrobił.
2544:  KMM - Zresztą nie muszę sięgać do Netflixa, ponieważ wystarczy wziąć mój ulubiony przypadek, to znaczy Gellert Grindelwald, który zmienia wygląd na księgowego, smutnego w garnierze.
2552:  DS - Mamy Gellerta Grindelwalda jako księgowego.
2555:  DS - Padło to zdanie.
2556:  KMM - No musi paść, ponieważ w filmie, w którym i w serialu, w którym i w świecie, w którym
2562:  KMM - Zmiana wyglądu jest dosłownym tematem drugiej części i są rozważane różne sposoby zmieniania wyglądu, a to w eliksir wielosokowy, a to zaklęcie.
2571:  KMM - Nie wytłumaczenie tego jest problemem.
2573:  KMM - Myślę, że Netflix, jakokolwiek współczesna adaptacja, by w tym kierunku szła, no bo poszła.
2577:  KMM - Mam już dowód, że oni coś takiego robią i nie widzą problemu z lorem.
2582:  KMM - No, więc przypuszczam, że tego rodzaju elementów byłoby ciut więcej, ale tym, co na przykład mnie rozindyczyło jeszcze bardziej od zmiany wyglądu Dumbledora, było to, że chatka Hagrida migrowała z jednego miejsca na drugie.
2593:  KMM - Znaczy była na błoniach, pamiętacie?
2594:  DS - I do druga części wypączkowała.
2597:  DS - Bo najpierw była, wydaje mi się, że taka po prostu, że wiesz, jeden daszek i ściany, no nie?
2600:  DS - A potem taka przybudówka.
2601:  DS - Hagrid sobie zbudował wakacje.
2603:  DS - Ale to przynajmniej możesz sobie
2604:  KMM - wytłumaczyć to, że... No tak, ale nie wytłumaczyć już... Właśnie, nie wytłumaczyć już tego, że po pierwsze znika sowiearnia, a po drugie nie wytłumaczyć tego, że zakazany las zmienia się nagle z lasu, który jest na Błoniach w las, który jest na zboczu dużej góry, która nagle gdzieś powstała, nie wiadomo gdzie.
2620:  KMM - Ponadto geografia tego świata też mnie zauważyłem, fascynuje, ponieważ ja już finalnie nie wiem, z której strony Hogwartu jest to jezioro, przez które płyną.
2627:  KMM - W każdej części filmu było z innej strony, w zależności od tego, czego potrzebowali filmowcy, więc takie rzeczy mi przeszkadzały, więc
