Żegnamy SUKCESJĘ | Zakończenie na jakie czekaliśmy?
🔗 https://www.youtube.com/watch?v=L3wb8Qgr4Tc
MG (Marcin Giełzak, Dwie Lewe Ręce)
GW (Grzegorz Wątroba, Okiem Deva)
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

9:  BFP - To już jest koniec.
2662:  KMM - Nie wiemy jakie miał stanowisko do końca.
2664:  KMM - On był powiedzmy starszym podtomowym.
2670:  KMM - starszy pod Tomem.
2671:  KMM - I to było wszystko, co możemy dedukować na temat jego całej kariery, bo właśnie to nie jest pierwszy plan, ale z drugiej strony, jeżeli się uważnie patrzy, to widzi się na przykład taką piękną scenę, jak w pierwszym sezonie, po bodajże obiedzie w trakcie święta dziękczynienia, wywala się bardzo dużo kunsztownie przygotowanego jadła, ponieważ śmierdziało w tym ustroniu, gdzie się znaleźli i Logan stwierdził, zamawiamy pizzę.
2697:  KMM - No i jest taka scena, to jest jedna sekunda,
2699:  KMM - kiedy kamera właśnie podgląda wyrzucane homary.
2703:  KMM - I wystarczy na to spojrzeć albo na drugą scenę, jak Kendall z kolei mówi w tym pamiętnym odcinku pierwszego też sezonu, mówiłem, że będzie to włącznie pierwszy i ostatni, kiedy jest na Long Island i ma się przenieść na głosowanie do firmy, gdzie to jest jedna z najbardziej żałosnych scen w jego życiu.
2722:  KMM - No i rozmawia z pilotem, co mnie to obchodzi, że jest zamknięta przestrzeń powietrzna.
2726:  KMM - Ja Ci wszystko zapłacę.
2727:  KMM - Mówię, ale nie, ale tutaj jest komisja jakaś.
2729:  KMM - Nieważne, kupimy ludzi w komisji.
2732:  KMM - Dude, F16 mnie zestrzeli, tak?
2734:  KMM - Tego już nie jesteś w stanie kupić i dopiero to jest ten argument, którego przekonuję.
2738:  KMM - Więc my możemy tylko domniemywać, jak bardzo absurdalnymi pieniędzmi się tam obraca, ale pamiętajmy cały czas, że to nie jest fikcja.
2745:  KMM - To znaczy są takie firmy.
2747:  GW - Jedyna uwaga jest taka, że jeżeli by to był Logan Roy, to by zadzwonił do rodzyny, czyli do prezydenta jeszcze tamtejszego, wtedy jeszcze nie rządzącego i on jako zwierzchnik sił zbrojnych prawdopodobnie by jakiś waiver opracował.
2761:  GW - To jest jedyny jeszcze ten level, którego wtedy Kendall nie miał.
2765:  BFP - Tak a propos pieniędzy, chciałem tylko zauważyć, wrzucając niektóre z udanych scen i przewybitnych dialogów na przestrzeni całego serialu, że w tym ostatnim odcinku jest ta znakomita scena, w której najpierw Tom mówi Gregowi, stary, może przetrwamy, ale licz się z tym, że Madson będzie chciał ci ściąć wynagrodzenie.
2782:  BFP - Po czym ma tą rozmowę z Madsonem, Greg się cały czas temu przypatruje.
2786:  BFP - Tom już wie, że dostanie fotel CEO, podchodzi do niego Greg i mówi, no i co, no i co, a Tom mówi...
2792:  BFP - Będzie trzeba wykastrować twoje wynagrodzenie, srogo chłopie, ale zawalczyłem o twoje przetrwanie.
2797:  BFP - I Greg jest chyba osobą najbardziej nastawioną na pieniądze w tym całym serialu.
2800:  BFP - W sensie, dlaczego?
2802:  BFP - Bo on jest jedyną postacią, która ich nie miała.
2805:  BFP - Tak, tak.
2806:  MG - Pieniądze najefektywniej korumpują tych, którzy ich nie mają.
2809:  BFP - Tak, absolutnie tak.
2812:  BFP - Przechodząc od pieniędzy, chyba że chcesz jeszcze coś dorzucić Marcinie do pieniędzy, a później przechodząc do władzy.
2817:  MG - Dorzuciłbym tylko tą dynamikę New We Old Money.
2821:  MG - Chris Rock bardzo celnie powiedział, są ludzie bogaci i są ludzie zamożni.
2827:  MG - Szak jest bogaty.
2830:  MG - Facet, który podpisuje jego czeki, jest zamożny.
2834:  MG - Wiecie, ta biała rodzina, która jest właścicielami koloru niebieskiego, to jest zamożność.
2839:  MG - I Royowie są w przedpokoju, tak?
2842:  MG - Oni są multimiliarderami, ale nadal patrzą ze swego rodzaju nienawistną zawiścią w stronę takiej rodziny jak Pearsowie, których przodkowie sięgają gdzieś Mayflower, Nowej Anglii i prawdopodobnie byli bogaci zanim Ameryka powstała.
2860:  BFP - I utrzymują te pozory, to bardzo dobrze widać.
2862:  MG - I to jak oni się posługują swoim pieniędzmi, swoim bogactwem jest jeszcze bardziej imponujące.
2868:  MG - Znaczy przy nich nawet Royowie ze swoim pewnym
2872:  MG - gustem wyglądają jak noworysze.
2874:  MG - Dlatego, bo Nan Pierce bardzo lubi powtarzać rzeczy typu, we are simple country folk.
2881:  MG - Ona jest niemalże zażenowana i zawstydzona, kiedy słowo pieniądze pada.
2886:  MG - I mówi, jak ja tego nie znoszę, tych rozmów o pieniądzach i tak dalej.
2890:  MG - Oczywiście, tylko chodzi mi o to, jak ludzie, którzy należą do klasy starobogackich, wiedzą,
2897:  MG - Jak się nawiguje po tych wodach i to, co bardzo lubię powtarzać, kto ogląda dwie lewe ręce, ten wie, na liście stu najbogatszych ludzi na świecie są absolutnie wszyscy, oprócz stu najbogatszych ludzi na świecie, bo setka najbogatszych ludzi na świecie nie chce być na żadnych listach.
2912:  MG - Listy są dla noworyszy.
2914:  MG - I teraz, po czym to poznajemy, choćby, jeśli chodzi o dynamikę piersów i rojów?
2919:  MG - Wszyscy wiedzą, ile jest warta firma rojów.
2922:  MG - Jest notowana na giełdzie.
2924:  MG - Irojowie mają mieli 36%.
2927:  MG - Nikt nie wie, ile jest warty koncern Peersów.
2932:  MG - Jest warty tyle, ile Nan Peers powie.
2934:  MG - Raz 25 miliardów, raz 10, ponieważ jest to prywatna firma.
2938:  MG - Można sprzedać za ile chce, komu chce i tak dalej.
2941:  MG - I to też doskonale pokazuje, jak mało wiemy o ludziach, którzy są naprawdę bogaci.
2947:  MG - I ostatnia rzecz.
2949:  MG - Co to bogactwo oznacza?
2951:  MG - To bogactwo oznacza, że kiedy spotkali się w pokoju hotelowym i zaczęli rozmawiać o tym, kto będzie następnym prezydentem Stanów Zjednoczonych, komu ofiarują poparcie, to Greg w pewnym momencie chciał odegrać jakąś rolę i zapytał, czy ja nie mam prawa głosu?
2965:  MG - A Roman odpowiedział, masz.
2966:  MG - Raz na cztery lata zresztą bydła.
2970:  KMM - Jest jeszcze taka scena a propos tych nowych pieniędzy, noworyszy, nowobogackich i starych pieniędzy, zwłaszcza tych pieniędzy, pamiętajmy, kontynentalnych, a nie kolonialnych, jak Caroline Collinwood, którą po raz kolejny będę cytował,
2987:  KMM - przepięknie gasi Toma, który uznał za stosowne mówić absolutnie wszędzie razem ze swoimi rodzicami, że to oni zapłacili za wino, bo dobre wino kupili, to my, to my.
2999:  KMM - I ona powiedziała, że bardzo zmyślną taktykę opracowaliście, żeby wszyscy wiedzieli o tym, że to właśnie wy zrobiliście.
3011:  KMM - Uwielbiam sytuację gaszenia nuworyszy, to znaczy mnie zawsze będzie mniej denerwował jakiś zasiadły latyfundysta, który od czasów feudalnych i XIV wieku cały czas gnoi ludzi, cały czas powiększa swój majątek, od tego człowieka, który stwierdził, że on się takim stanie i będzie jeszcze bardziej gnoił wszystkich na przestrzeni jednego życia, a nie czterech pokoleń.
3037:  MG - A propos Carolyn Collingwood, było dwóch ministrów w rządzie Margaret Thatcher, którzy za sobą nie przepadali, Alan Clark i Michael Heseltine.
3046:  MG - I Alan Clark powiedział Michaelu Heseltine'ie, Michael to równy gość, tylko strasznie po nim widać, że sam kupił swoje meble.
3055:  BFP - Od razu myślę o mężu tejże Caroline, która jest matką Royów i Jonatanie, który z dupy się pojawił w ostatnim odcinku ze swoim pyczem, który jest Living Plus w wersji okrojonej, uboższej.
3068:  BFP - Ale przechodząc płynnie od tego, z czym nas przed chwilą zostawiłeś Marcin, czyli tej sceny, w której w jednym pokoju hotelowym zapadają decyzje na temat tego, kogo będzie wspierało ATN w wyścigu na prezydenta Stanów Zjednoczonych.
3082:  BFP - Być może
3083:  BFP - Przyczyni się także do wyboru nowego prezydenta USA.
3086:  BFP - I przechodząc od pieniędzy do władzy, tam również jest taka wybitna scena, jedna z moich ulubionych w serialu, kiedy Logan Roy mówi, potrzebuję coli, kto może przynieść mi colę.
3099:  BFP - I trzy sztaby trzech potencjalnych kandydatów na prezydenta dostają informację, że Logan Roy potrzebuje coli.
3106:  BFP - Pierwszy kandydat mówi, ja się nie będę zniżał do czegoś takiego.
3110:  BFP - Drugi przychodzi do Logana, zostawia moralizatorską gadkę za sobą i mówi, nie, nie, nie, to nie jest funkcja prezydenta Stanów Zjednoczonych.
3118:  BFP - Trzeci przychodzi, otwiera puszkę i mówi, słyszałem, że ktoś potrzebuje coli, a następnie nalewa ją osobiście Loganowi i to jest menken.
3128:  GW - No bo tutaj po prostu to jest pokazanie kto brzydko mówiąc się wypnie, dlatego bo ATN później taką osobę wypromuje.
3136:  GW - No zresztą wystarczy zobaczyć jak to działa in real life, jak wyglądała relacja Fox News i Donalda Trumpa.
3144:  BFP - No właśnie chyba do tego teraz przejdziemy, bo mówimy o władzy i wielu amerykańskich komentatorów, recenzentów, publicystów łapało się za głowę, jak momentami ten serial wyprzedza rzeczywistość.
3160:  BFP - Otóż jedna z ważniejszych rzeczy, myślę, że tu Marcin zaraz podejmie ten wątek, która została sportretowana w odcinku ósmym, to jest to, co niedawno zostało rozstrzygnięte
3171:  BFP - Nie tyle w sądzie, ile przez ugodę poza sądem pomiędzy firmą Fox News a Dominion.
3177:  BFP - Otóż firma Fox News, która jest fabryką kłamstw i teraz można już to mówić głośno, bez najmniejszych wyrzutów sumienia, co zresztą jest tajemnicą policzynela,
3187:  BFP - wpisywała się w narrację Trumpa po jego przegranych wyborach, utrzymując jego narrację.
3192:  BFP - Zauważcie, jak często wraca w tym serialu słowo kreowanie narracji, tworzenie właściwej narracji.
3200:  BFP - I Fox News tak daleko zaszło w swoim kłamstwie.
3203:  BFP - Jego redaktorzy, dziennikarze, reporterzy
3207:  BFP - że zaczęli kierować już na poziomie detalu, na poziomie konkretu, no jak to zmanipulować?
3214:  BFP - No jest firma Dominion, ona robi oprogramowanie, które służy do liczenia głosów, to oni na pewno przyczynili się do sfałszowania wyników wyborów.
3222:  BFP - Dominion to jest
3224:  BFP - Przesadzam, ale zrozumiecie o co chodzi.
3226:  BFP - To jest old money.
3227:  BFP - To jest korporacja, która powiedziała nie, nie, nie.
3230:  BFP - Tak nie będziemy grali.
3230:  BFP - To znaczy my tracimy na tym wizerunkowo i tracimy kapitał.
3234:  BFP - I pozwali Fox News na 1,6 miliarda dolarów.
3238:  BFP - I Rupert Murdoch, czyli nikt inny jak cholerny Logan Roy naszego rzeczywistego świata,
3244:  BFP - Wystąpił w sądzie i pod przysięgą, żeby nie zapłacić takich pieniędzy, powiedział tak osobiście instruowałem moich ludzi w redakcjach, żeby kłamali.
3257:  BFP - I teraz przywołuję odcinek ósmy, kiedy świadomie widzimy władzę, jaką dysponuje rodzina Rojów.
3265:  BFP - Świadomie decyduje się wesprzeć konkretnego kandydata na prezydenta w sytuacji, w której nie zostały rozstrzygnięte wyniki wyborów, narażając się na kompromitację.
3274:  BFP - Ale co to znaczy prawdziwa władza splątana z bogactwem?
3278:  BFP - To jest moment, w którym Kendall mówi, to zapłacimy.
3282:  BFP - Jak będzie trzeba, to zapłacimy.
3284:  BFP - Marcin?
3285:  MG - Tak, a czy a propos Fox News mogę tylko dopowiedzieć, że jest nawet gorzej niż to przedstawiłeś, to znaczy pojawił się jeszcze taki wątek, że Fox News dysponowało najbardziej wysublimowanym systemem ustalania tego, kto będzie przyszłym prezydentem Stanów Zjednoczonych.
3299:  MG - I Fox News jako pierwsze miało prawdziwe wyniki wyborów.
3304:  MG - Fox wiedziało wcześniej niż CNN, wcześniej niż CNBC, wcześniej niż PBS, że to będzie Joe Biden.
3310:  MG - I jaka decyzja zapadła na poziomie zarządczym?
3313:  MG - Musimy wymienić system na gorszy.
3315:  MG - Ponieważ ten lepszy system psuje naszą układankę.
3318:  MG - Ludzie nie będą mogli na przykład powiedzieć, nie wiedzieliśmy.
3320:  BFP - Nie liczy się prawda, liczy się narracja.
3322:  MG - Tak, i to widać doskonale po tym, co mówi Mencken do Kenna.
3327:  MG - Mencken, myśląc, że przegra, mówi, ubierzcie to tak w słowa, żeby wyszło, że przegrałem, ale jakbym wygrał.
3336:  MG - Dajcie moim zwolennikom coś.
3338:  MG - Zasiejcie wątpliwości.
3340:  MG - Podłóżcie dynamit pod amerykańską demokrację.
3343:  MG - I Ken mówi, jasne, nie ma sprawy.
3346:  MG - Więc to jest władza.
3348:  MG - Ale władza leży w jeszcze jednej rzeczy.
3350:  MG - Co się mówi przeciętnemu człowiekowi, który wierzy w amerykańskie marzenie?
3354:  MG - Pracuj ciężko, oszczędzaj, graj zgodnie z zasadami i na końcu tej drogi dostaniesz to, o co walczyłeś.
3363:  MG - Dostaniesz swój domek, swój trawnik, swój samochód na podjeździe, a twój syn może, może będzie prezydentem Stanów Zjednoczonych.
3372:  MG - A jaka jest prawda?
3374:  MG - Prawda jest taka, że ktoś taki jak Kendall Roy może spieprzyć ile razy chce.
3380:  MG - Ktoś taki jak Lucas Matson może położyć sprawę ile razy chce.
3385:  BFP - Kendall może zabić człowieka.
3386:  MG - Tak.
3387:  MG - Oni nigdy nie ponoszą odpowiedzialności swoich czynów, bo zawsze będzie druga szansa.
3392:  MG - Znaczy, gdyby jakiekolwiek MŚP rządziło się tak, jak się rządzi Wersa i Royco, to nie tylko, że ta firma by zbankrutowała,
3400:  MG - Wszyscy członkowie zarządu byliby w więzieniu.
3403:  MG - Która firma sobie może pozwolić na coś takiego, że nie może minąć kwartał, żeby nie pojawiały się spekulacje na temat tego, czy prezes zarządu jeszcze żyje i czy nie dostał kolejnego wylewu i czy nie leży w szpitalu.
3417:  MG - Później mamy karuzelę prezesów.
3418:  MG - Właściwie co chwila jest kolejny prezes w spółce notowanej na giełdzie.
3423:  MG - Oczywiście na początku Logan, potem mówi się, że ma być Kendal, 18 miesięcy przygotowują przejęcie władzy przez Kendala, ową sukcesję, potem po prostu ogłaszają, że jej nie będzie, potem ma być prezesem Ria Jarell, jest nawet prezesem przez chwilę, wskazana ręcznie przez Kendala, wyjęta z kapelusza, potem tymczasowym prezesem jest Jerry, potem jest Kent z Romanem, potem jest ogłoszone, że będzie nim Shiv, a potem jest ogłoszone, że jednak mimo wszystko tak wyszło, że będzie nim Tom.
3453:  MG - Nic się nie dzieje.
3455:  MG - Wszyscy im to odpuszczają.
3456:  MG - Ja już nawet nie wspominam o impulsywnych decyzjach typu kupili Voltera, zamknęli Voltera, ogłosili, że kupili, że kupią 150 tysięcy lokalnych kanałów telewizyjnych, a potem jakoś, a ja wiem, rozeszło się po kościach, jednak tego nie kupujemy.
3471:  BFP - Kupili ATN, nie ATN, tylko C... Jak się nazywa ta liberalna stacja Pirsów?
3478:  BFP - PGN.
3479:  BFP - Kupili PGN, żeby zrobić na złość ojcu
3482:  GW - I żeby było zabawnie, chcieli jeszcze zrobić reverse... Nie nazwość ojcu, że Logan Roy zrobił nazwość swojemu bratu.
3488:  BFP - Nie, to on oryginalnie chciał zrobić nazwość swojemu bratu, żeby nie miał ostatniej liberalnej stacji, a dzieci, żeby nazwość ojcu.
3496:  BFP - Ale jeszcze dzieci miały pomysł, żeby zrobić tak zwany reverse Viking, czyli żeby przejąć Gojo.
3501:  BFP - Dlaczego?
3503:  BFP - Because we can.
3505:  MG - No i sposób, w jaki jeszcze prowadzili te negocjacje, który sam w sobie wołał o pomstę do nieba, o czym mówiliśmy poprzednim razem, kiedy rozmawialiśmy na temat sukcesji.
3517:  MG - Chociaż tu była jeszcze jedna rzecz, to znaczy pamiętajcie, że ta gra była nieco głębsza po stronie Logana, to znaczy Logan zamierzał odsprzedać swoje biznesy Gojo za wyjątkiem Perły w Koronie, czyli telewizji i kupić PGM i tym samym być królem kablówki.
3535:  MG - czyli wziąć to, na czym się zna.
3538:  MG - No i Logan z powodzeniem przecież uniemożliwił Kendallowi jego wielki plan w postaci tak zwanego bearhug, czyli sytuacji, w której dochodzi do przyjaznego, wrogiego przejęcia, czyli pojawia się podmiot zewnętrzny, który oferuje tak skrajnie przestrzeloną
3554:  MG - ofertę objęcia akcji firmy, że nieprzyjęcie tej oferty może doprowadzić do tego, że akcjonariusze pozwą zarząd, no bo powiedzmy, że mieliście taką ofertę na stole, czemu jej nie przejęliście.
3565:  MG - No i tu wychodzi jedyny talent, który Logan realnie ma, to znaczy jest mistrzem gierki korporacyjnej, podstawiania nóg, wbijania noży w plecy, postraszania kogo trzeba, czytaj Romana, przekupienia kogo trzeba, czytaj Stewiego,
3581:  MG - A to jest dokładnie to, czego kompletnie, autystycznie nie potrafi robić Kendall.
3588:  GW - Tak naprawdę żadna inna osoba, bo jedyna osoba, która z tych dzieci, która miałaby jakiekolwiek szanse utrzymać się w tym biznesie na jakimkolwiek poziomie, no to właśnie jest Kendall, ale Kendallowi właśnie brakuje tego wyrafinowania, który Logan zdobywał latami, a
3607:  GW - Kendall miał tylko szkołę, nie miał doświadczenia, nie ponosił konsekwencji swoich działań, zresztą tak jak żadne inne z tych dzieci, więc po prostu faktycznie nie miał komu przekazać tej władzy, stąd miałem takie wrażenie, że właśnie w trzecim sezonie, gdy się pojawił Lucas Madsen, no to
3628:  GW - Logan Roy widział w nim godnego następcę, bo widział w nim właśnie takiego agresywnego biznesmena, on był wręcz takim bullying typowym po prostu, tylko że w ładnych europejskich rękawiczkach.
3646:  BFP - To oddając głos Tobie Krzysztof, jeżeli chciałbyś dodać coś do tematu władzy, ja powiem, była droga do godnej sukcesji i to byłby triumvirat.
3656:  BFP - to rzeczywiście byłby triumwira.
3657:  BFP - To znaczy oni współpracując ze sobą byliby w stanie udźwignąć brzemię tej władzy.
3663:  GW - To jest jedyna szansa, właśnie tak, jedyne jasne przebłyski w tej całej fabule, w tej całej historii były wtedy, kiedy to rodzeństwo się faktycznie dogadywało.
3672:  GW - Tylko, że w momencie, kiedy jakiekolwiek zagrożenie mijało albo poczuli się stabilnie, to zmieniali się w wojca.
3679:  GW - W tym momencie po prostu pojawiała się znowu konkurencja pomiędzy nimi i każdy chciał drzeć w swoją stronę.
3686:  BFP - Tak.
3688:  GW - Krzysztofie?
3689:  BFP - Krzysztof tam na czacie siedzi.
3691:  KMM - Tak, tak, ja oczywiście jak zawsze multitaskuję.
3694:  KMM - Wiecie, mnie ten temat władzy smuci bardzo, ponieważ strasznie denerwuje mnie to, że jest to dokładnie ten schemat, który funkcjonuje w naszej rzeczywistości, to znaczy, że środki do osiągania rzeczy, pieniądze są środkiem nabywczym, środkiem płatniczym do
3710:  KMM - akumulowania jakichś materialnych dóbr lub niematerialnych, wszystko jedno, ale dóbr są zamieniane na cel do osiągnięcia i to jest dokładnie to co tu się dzieje.
3720:  KMM - Z tego samego powodu denerwuję się jak metody ewaluacji albo oceniania są traktowane jako cel zamiast jako środek.
3727:  KMM - Więc ja w tym pędzie za władzą i za pieniędzmi upatruję taki najwyższy poziom zezwierzęcenia człowieka.
3736:  KMM - I strasznie mnie martwiło to.
3739:  KMM - Przyznam, że jedna z tych rzeczy, która właśnie mi bardzo przeszkadza w wealth porn gatunku, który lubię, bo przecież obejrzałem i Billions i właśnie Sukcesję, to właśnie to, jak bardzo te seriale uświadamiają z jednej strony to, że środek staje się celem, a z drugiej strony to, że to jest fugazji, tak?
3754:  KMM - Posługując się piękną metaforą z Wilka z Wall Street.
3757:  KMM - To jest nic, to jest pył.
3759:  KMM - I w ostatecznym rozrachunku, czym się szczycił Logan Roy?
3764:  KMM - Logan Roy się w ostatecznym rozrachunku szczycił tym, to był jeden, jedyny moment, kiedy miał maślany uśmiech na twarzy, jak mógł usłyszeć przeprosiny od pana prezydenta.
3773:  KMM - Jak bardzo to jest żałosne z kolei, bo widzimy łatwo to, jak żałosnym człowiekiem jest Tom, czy jak żałosnym człowiekiem jest Greg Wiech, ale żałosne.
3781:  KMM - Żałosny jest także Logan Roy.
3783:  KMM - Żałosne są te dzieciaki, które nie są w stanie ze sobą w żaden sposób rozmawiać, używając tylko różnego rodzaju właśnie strategii i taktyk władzy, które ich rodzice, w zasadzie obydwoje, bo Caroline Collingwood też tutaj nie jest bez winy,
3797:  KMM - ich nauczyli.
3798:  KMM - Przecież Logan Roy nauczył nie języka miłości, tylko języka brutalnej przemocy.
3803:  KMM - Przemocy symbolicznej, przemocy ekonomicznej, przemocy fizycznej.
3808:  KMM - Ostatnie sceny, kiedy Roman jest turbowany przez
3813:  KMM - swojego brata, który wciela się wtedy w swojego satrapę ojca, przecież są dokładnym odzwierciedleniem tego, co się pięć sekund wcześniej dzieje w toalecie, kiedy Tom z kolei tulbuje Grega, to znaczy ta przemoc fizyczna idzie w parze z przemocą
3828:  KMM - mocą ekonomiczną i symboliczną i uświadamia nam, że to, że to jest taki ładny, piękny świat, drogich golfów, fajnych fur i jachtów, absolutnie nie zmienia faktu, że to są ludzie na wskroś prymitywni, niecywilizowani, którzy dostali się do największych apanarzy społecznych i władzy, jaką sobie można wyobrazić, a tak naprawdę kompletnie nie mają tego, co determinuje faktyczne szczęście.
3853:  KMM - Przecież te drobne momenty, kiedy ta rodzina faktycznie jest
3857:  KMM - trochę szczęśliwa, jak ta wyprawa tym jachtem nieszczęsnym albo te drobne momenty, w których rzeczywiście czują coś na kształt szczęścia i przyjemności, to w zasadzie to nie jest szczęście, tylko to jest przelotna szczęśliwość.
3871:  KMM - Po prostu poczuli się szczęśliwie w danym momencie, a za moment wszystko znowu się wali, ponieważ wchodzi właśnie do gry władza i pieniądze.
3880:  BFP - Tu muszę się z tobą głęboko nie zgodzić, Krzysztofie, a propos tego, że władza jest fugazji.
3885:  BFP - No tak jak Cersei próbowała wyjaśnić Littlefingerowi w bardzo brutalny sposób, power is power i to co widzimy w tym serialu to jest prawdziwa władza.
3894:  BFP - Wielokrotnie w toku serialu między wierszami powiedziane jest, że Logan Roy wynosił na piedestał amerykańskich prezydentów i go z niego zdejmował, że on rozpętywał wojny i
3906:  BFP - Rupert Murdoch dokładnie tak robił.
3908:  BFP - Rupert Murdoch miał wpływ pośredni, ale przemożny na wybór premierów, na zdejmowanie premierów z ich urzędów, mówię o Wielkiej Brytanii i nie tylko.
3919:  BFP - Także wpływ na Australię, Nową Zelandię, Kanadę, jak najbardziej.
3923:  BFP - To jest prawdziwa władza, w sensie być może nie zobaczymy mniej namacalnej, ale bardziej prawdziwej władzy niż ta, która została okazana w tym serialu.
3933:  KMM - Ale wiesz, z takiej głębokiej, humanistycznej, etycznej perspektywy to jest żadna władza.
3936:  KMM - No nie, bo masz Ruperta Murdocha.
3940:  KMM - Ale kim jest Rupert Murdoch?
3943:  KMM - Z perspektywy etycznej mówiąc, to jest nikt.
3947:  KMM - Nikt nie będzie pamiętał o Rupercie Murdochu za 1200 lat, albo za 4000 lat w perspektywie takiej, jaką mogliby
3954:  KMM - przyjąć w Dune, bo to nie ma żadnego znaczenia.
3957:  KMM - I wydaje mi się, że warto jednak, żeby wyszedł taki głos, że ta władza to jest jednak fugazji w świecie, w którym uczy się nas, że akumulacja kapitału i akumulacja właśnie takiej pseudowładzy to jest wyłączny cel człowieka, a nie szczęście.
3972:  KMM - Bo podkreślam, i Rupert Murdoch i cała reszta to nie są ludzie, którzy są szczęśliwi.
3976:  KMM - Ludzie wydaje, że są szczęśliwi.
3978:  KMM - Natomiast w takim głębokim ludzkim poczuciu nie są.
3982:  MG - Ja bym powiedział co innego.
3983:  MG - Ja bym powiedział, że fugazji to jest to, co dało im władzę.
3986:  MG - Znaczy oni wszyscy są genialnymi ściemniaczami.
3989:  MG - I to, że Logan Roy każdorazowo podejmuje decyzje biznesowe mówiąc, bo czuje to w kościach.
3996:  MG - On nie patrzy w tabelki w Excelu, on nie podejmuje uczonych decyzji otoczone doradcami.
4003:  MG - On mówi, bo czuję to w kościach, bo taki mam kaprys i jeśli ktoś uważa, że to jest przerysowane, niech zobaczy, jak podejmuje decyzję Elon Musk albo Larry Ellison.
4013:  MG - na odtajnionych dokumentach w postaci maili i smsów.
4017:  MG - Tam też jest, bo czuję to w kościach, albo taki mam kaprys.
4020:  MG - Tylko cały żart polega na tym, że jak powiedział Nietzsche, pycha dostojnych jest stanem świętym.
4027:  MG - Oni mają prawo powiedzieć, bo tak mi się podoba, albo czuję to w kościach, ponieważ nikt tego nie będzie oceniał i jest w tym coś ze samo spełniającej się przypowiedni.
4035:  MG - Logan Roy jest geniuszem, bo jest geniuszem, bo jest geniuszem, bo wszyscy to mówią.
4041:  MG - I są sytuacje, w których naprawdę ktoś idzie z Loganem krok w krok i cios za cios i Logan po prostu nie ma nic do powiedzenia.
4053:  MG - Jest świetna scena ze Stewiem.
4055:  MG - Kiedy Stewie mówi do Kendala na oczach Rogana, tak zabijesz mnie, zamordujesz, poderżniesz mi gardło, naprawdę?
4061:  MG - Dobra, tu nikt nikogo nie zabije, wiemy o co tu chodzi.
4064:  MG - Chodzi o to, kto sprawi, że akcjonariusze będą mieli 5 centów więcej na dolarze.
4069:  MG - To jest cała rozgrywka, nic więcej.
4073:  MG - Więc przestajemy gadać, kto kogo zamorduje i kto jest taki twardy.
4077:  MG - Ale jest też moment, w którym Kendall mówi do Logana, ale czego ode mnie chciałeś, kiedy byłem w tym pokoju z Lorencem i... Znaczy, ja nie chciałem jakiegoś dick measuring contestu.
4092:  MG - A Logan odpowiada, wiem, że przeczytałeś dużo książek o teorii zarządzania i byłeś na Harvardzie, ale czasem to jest Dick Measuring Contest.
4102:  MG - I jeśli czegoś mi brakuje w tym serialu, co chciałbym zobaczyć, to swego rodzaju sprawiedliwej przemocy.
4109:  MG - Znaczy, ja bym chciał zobaczyć scenę, wiecie, w taki revenge porn, nie dla dobra serialu, dla mojej własnej osobistej satysfakcji, w której, kiedy w pierwszym odcinku Logan mówi do Kenna, chcesz mnie uderzyć, tak?
4124:  MG - No to śmiało, uderz mnie.
4126:  MG - No dalej, raz się odważ, uderz mnie.
4128:  MG - Chciałbym, żeby wtedy złapał go chociaż za klapy i powiedział, jesteś starym, osiemdziesięcioletnim staruszkiem, mógłbym cię złamać w pół.
4135:  MG - Znaczy, call his bullshit.
4138:  MG - Albo kiedy Logan opowiada o tym, jakim jest geniuszem biznesowym.
4141:  MG - Żeby ktoś mu powiedział, widzisz te liczby?
4144:  MG - Bredzisz.
4145:  MG - Call his bullshit.
4147:  MG - Czego nikt nigdy nie robi i pozwala, żeby jego legenda rosła.
4151:  BFP - Czy jest tylko jedna osoba, która to robi?
4153:  BFP - Jest tylko jedna osoba i to jest Nan Pierce.
4156:  BFP - Robi to w bardzo subtelny sposób.
4157:  KMM - Iłon, wcześniej robi to Iłon, brat Logana, to on mówi, że bzdurzysz, kupiłeś te medale, nigdy nie byłeś na żadnej wojnie, co ty bredzisz.
4166:  MG - To jest świetna scena.
4168:  KMM - Ja dlatego jestem po stronie tej etyki, którą przyjmuje Iłon.
4172:  KMM - To nie jest człowiek, który jest biedny, on po prostu wszystkie pieniądze jakie miał, a przecież miał je, bo swoją drogą dowiedzieliśmy się tego w którymś momencie,
4179:  KMM - od Lojko skądżeby indziej, wpakował to w swój eremitaż, który sobie stworzył.
4186:  KMM - Oddał na Caritas.
4187:  KMM - I później oddawał charytatywnie.
4190:  MG - To a propos żałosności Logana Loja.
4193:  MG - To jest człowiek, który kupuje medale wojenne.
4197:  MG - Tak.
4197:  MG - To jest człowiek, który grając w głupią zabawę rodzinną, kiedy jego wnuk powiedział, że przegrałeś, spoliczkował go.
4206:  MG - Tak, to jest straszne i też żałosne.
4207:  MG - Człowiek naprawdę aż tak niewiele trzeba, żeby odwołać się do jego uczucia niższości.
4215:  GW - Bo to właśnie pokazuje idealnie właśnie, w sumie jakbyśmy schodzili na traumę, czy na profile w ogóle postaci, to tu idealnie właśnie obrazuje narcyza, taką osobę, która faktycznie
