🔴 Uruchamiamy wsparcie Bez/Schematu! || Q&A Bez/Schematu #2
🔗 https://www.youtube.com/watch?v=tdBwISPwGLU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  KMM - Bikłeś, jestem już w telewizji.
2532:  BFP - Ja wiem, że tam producentem wykonawczym był Jordan Peele.
2535:  BFP - Pewnie widzieliście zwiastun nowego filmu, który nadciąga Jordana Peele'a, czyli Nope, który jest jednym z najlepszych trailerów, jakie widziałem ever.
2543:  BFP - A mówię to tuż po trailerze, nie Lord of the Rings, tylko trailerze Doctor Strange and the Multiverse of Madness.
2553:  BFP - Więc Lovecraft Country było dla mnie zawodem, powiedzmy takie 6,5 na 10.
2560:  BFP - Archiwum 81 to jest dla mnie taki prawdziwy Lovecraft.
2563:  BFP - Ciekawy, bo ja jeszcze mam przed sobą ten serial i słyszałem o tym serialu, że jest fenomenalnie fascynujący na początku i ma bardzo rozczarowujące słabe zakończenie.
2576:  BFP - Krzysztof, jesteś tutaj z nami?
2582:  BFP - Powiedz proszę, że jesteś, bo cię nie słyszę.
2587:  KMM - Krzysztof już jest.
2588:  KMM - Krzysztof jest tępy i nie włączył mikrofonu, który grzecznie wyłączył po to, żeby nie słychać było jak łupie po mechanicznej klawiaturze i odpisuje podziękowania dla Michała Pietralika, który dołączył do Protektorów bez schematu.
2601:  KMM - Jak widzicie, moja pamięć jest legendarna absolutnie, nie pamięć w zasadzie, zresztą to też jest jeden z moich ulubionych filmów.
2610:  KMM - Przechodząc do pytań w takim razie, skoro mamy za sobą soundtrack, pytanie od Tomi1948.
2616:  KMM - Filip.
2618:  KMM - Jak to się stało, że zacząłeś tworzyć kanał?
2620:  KMM - Jakiś impuls, czy wydarzenie cię skłoniło?
2622:  KMM - Wiem, Andrzej Wajda, że tak obrałeś sobie hobbystyczną drogę.
2626:  KMM - Może generyczne pytanie, ale jestem ciekaw, bo śledzę kanał niemal od początku powstania.
2629:  KMM - O, proszę.
2630:  KMM - I uważam go za jeden z ciekawszych, jeśli chodzi o podcasty i tematy popkulturowe.
2633:  KMM - Pozdrawiam ciebie i Krzysztofa.
2635:  KMM - Ja też podpinam się pod Tomiego, bo też śledzę bez schematu prawie od początku.
2639:  BFP - Tak, znaczy bardzo serdecznie dziękuję za to.
2642:  BFP - Krzysztofowi zresztą też faktycznie potwierdzam, że śledzi niemalże od początku, właściwie od drugiego miesiąca istnienia bez schematu.
2651:  BFP - Bez schematu założyłem z moim przyjacielem Marcinem Giełzakiem pod koniec 2017 roku.
2658:  BFP - Czyli tak naprawdę od 2018 zaczęło się toczyć bez schematu.
2661:  BFP - Pamiętam nawet pierwsze trzy odcinki.
2663:  BFP - Pierwszy był Blade Runner 2049 i świecie przedstawionym miasto Masa Maszyna.
2668:  BFP - Więc od razu zagrało to na strunach Krzysztofa.
2671:  BFP - Potem było trochę o świecie przedstawionym Bioshocka.
2674:  BFP - Było o dezinformacji, którą uprawia Rosja.
2679:  BFP - Temat wciąż bardzo aktualny.
2682:  BFP - I pamiętam dokładnie, kiedy narodziła się koncepcja bez schematu, tak w wielkim skrócie.
2688:  BFP - To naprawdę było lato, sierpień 2017 i ja i Marcin przeżywaliśmy, wydaje mi się, bardzo silne wypalenie zawodowe.
2696:  BFP - Obaj jakby pracowaliśmy w zakresie kierowniczym, zarządzania, w organizacjach, w przedsiębiorstwach, prowadziliśmy startupy i czuliśmy się naprawdę mocno wypaleni.
2707:  BFP - I
2708:  BFP - Stwierdziliśmy, jest tyle tematów, którymi chcielibyśmy się podzielić.
2712:  BFP - Pamiętam, że właśnie, kurde, zobaczyliśmy, to jeszcze nie, Blade Runnera nie było, ale na przykład jest tyle fajnych tematów popkulturowych, jest tyle fajnych tematów, nie wiem, o ateizmie chcielibyśmy porozmawiać z ludźmi, podzielić się naszymi perspektywami, podzielić się naszymi inspiracjami książkowymi.
2727:  BFP - Był nawet wtedy taki temat, że chciałem opowiedzieć, dlaczego Faith No More jest jednym z moich kochanych zespołów i czemu tak wielką inspiracją dla mnie w wielu obszarach życia.
2733:  BFP - I co ciekawe, może ten temat wróci w małym kąciku muzycznym, który planuję prowadzić gościnie raz na miesiąc z Grzegorzem Wątrobą, który jest tu z nami teraz na czatach.
2741:  BFP - Czyli z Aramisem, jak lubimy mówić bez schematu.
2746:  BFP - I z tego wszystkiego pamiętam, siedzieliśmy na leżakach, byliśmy już dość pijani i powiedzieliśmy, stary, może założymy vloga.
2752:  BFP - I to było naprawdę tak, jakbyście wzięli
2755:  BFP - lekserotoninowy, jeżeli macie problemy z depresją, który naprawdę zaczyna działać po dwóch, trzech dniach.
2761:  BFP - Tylko u nas zadziałało to po dwóch minutach.
2763:  BFP - A może alkohol.
2765:  BFP - I pamiętam, że wtedy były przygotowania, takie trzy, cztery ciężkie miesiące.
2768:  BFP - Krzysztof to tak założył vloga i tak prowadzi vloga.
2771:  BFP - A my w ogóle ten sprzęt, który tu do dzisiaj stoi, wydajemy jakieś 10 tysięcy złotych na ten sprzęt.
2777:  BFP - Nagraliśmy w ogóle trzy odcinki i to zrobiliśmy tak, jakbyśmy, nie wiem, mieli wystartować z programem telewizyjnym na zasadzie, nie wiem, randka w ciemno w TVP.
2785:  Dziękuję.
2787:  BFP - I tak, i tak ruszyło bez schematu.
2789:  BFP - To znaczy tak naprawdę w swojej istocie było wentylem emocjonalnym, który służył trochę jako terapia.
2797:  BFP - I do dzisiaj jedną rzecz wiem, jako że Marcin wybrał inną drogę, co absolutnie szanuję, potem zostałem na trzy lata sam bez schematu, póki nie połączyło się dwóch wspaniałych twórców, młodych i utalentowanych doktorów.
2810:  BFP - To jedna zasada, którą wiem i którą będę na pewno utrzymywał z Krzysztofem.
2813:  KMM - Doktor Dumi, doktor Strange.
2816:  BFP - Doktor dziwa go i doktor zagłoda.
2820:  BFP - To jest to, że to co robimy, to zawsze musi być fun.
2825:  BFP - To nigdy nie może się zmienić w jakąś taką taśmową, korporacyjną robotę.
2829:  BFP - To nie może być produktoza, że po prostu wypuszczamy content, że więcej contentu.
2834:  BFP - Nie.
2834:  BFP - To co teraz dzisiaj z Wami robimy, to jest cholerny fun.
2836:  BFP - Nie robimy tego dlatego, że musimy.
2838:  BFP - Nie robimy tego dlatego, że nie mamy na chleb, więc musimy uruchomić program wsparcia.
2843:  BFP - Bardzo to doceniamy, to bardzo nam pomaga, ale w swojej istocie na koniec dnia to jest po prostu fun.
2847:  BFP - Dla nas czasami mamy wiele gorszych dni, ale te momenty, kiedy dzielimy się swoimi materiałami, kiedy widzimy, że short Krzysztofa, tak jak wczoraj, naprawdę ma takie fajne przybicie,
2858:  BFP - że mamy tutaj dzisiaj Was na czatach i możemy z Wami rozmawiać, to jest po prostu fun.
2862:  BFP - Bez schematu, na końcu i na początku swojego istnienia zawsze, myślę, że Krzysztof też to potwierdzi, będzie dla nas po prostu cudowną odskocznią w naszym życiu i formą komunikacji z ludźmi, którzy czują podobnie jak my.
2873:  KMM - No i też sposobem na to, żebyśmy zrobili z waszym wsparciem nieocenionym coś, co nie jest raczej domeną polskiego YouTube'a.
2882:  KMM - To znaczy ja szczerze mówiąc, jak zasubskrybowałem bez schematu po raz pierwszy, to dlatego, że chciałem mieć takie dyskusje, jakie słuchałem za granicą po prostu o kulturze popularnej.
2892:  KMM - Bo dla mnie na przykład jak kończyłem jakiś odcinek Westworld, to miałem taką intuicję, wskakuję na kanał,
2900:  KMM - Alt Shift X, żeby posłuchać o tym odcinku konkretnym.
2904:  KMM - No, więc czegoś takiego bardzo w Polsce brakuje.
2906:  KMM - Jeszcze Adam, dziękujemy ci serdecznie za super czat.
2909:  KMM - Serial Fallout od Amazona, jakieś przemyślenia.
2911:  KMM - Ja jako człowiek, który grzeszy tym, że nie pamiętam już pierwszych Falloutów, które oglądałem zza pleców kolegów, którzy nie pozwalali mi grać, mimo że Krzysztof piszczał,
2919:  KMM - ty masz na co dzień, daj mi pograć w radosnych latach 90., to ja czuję się niegodny odpowiedzi na to pytanie, więc Filip, znowu oddaję ci.
2929:  KMM - Jako fan fanatyk Fallouta, co myślisz na ten temat?
2933:  BFP - Mój Boże, powiem tak, boję się tego, że robi to Jonathan Nolan i jeszcze druga scenarzystka, którzy oboje byli showrunnerami Westworld.
2947:  BFP - I trzeci sezon Westworld jest katastrofalny.
2950:  BFP - To jest naprawdę szajs.
2953:  BFP - Pierwszy sezon Westworld był dobry, naprawdę dobry.
2956:  BFP - Drugi sezon miał swoje momenty wybitne, ale też strasznie próbował niepotrzebnie komplikować.
2961:  BFP - Dla mnie Westworld cierpi na problem, który ma film brata Jonathana Nolana, czyli Christophera Nolana, czyli Tenet.
2969:  BFP - Tenet jest niezwykle inteligentnym, kretyńskim filmem.
2973:  BFP - Jest strasznie pusty w środku, jest bardzo ciekawie skonstruowany, ale to jest tak jak układanka albo puzzle, które mają tysiąc kawałków, są trzywymiarowe, składacie i okazuje się, że tak naprawdę nie ma tam żadnego obrazu.
2987:  BFP - Składaliście to po nic i Westworld trójka dokładnie miało takie wrażenie, z takim wrażeniem mnie pozostawiło.
2995:  BFP - I mam obawy, że Fallout jest w swojej istocie i pastiszem, i niezwykłą parodią, karykaturą i satyrą na amerykańskie społeczeństwo, na lęki zimnowojenne.
3007:  BFP - To jest tak potężnie piękna seria, którą kocham i którą będę jeszcze niejednokrotnie omawiał na vlogu bez schematu, gwarantuję Wam, bo kocham najbardziej obok Bioshocka.
3019:  BFP - Nie wierzę w to, że Jonathan Nolan, człowiek, który raczej nie ma poczucia humoru i to widzę po filmach, które współtworzył ze swoim bratem i widzę to po Westworld, byłby w stanie to dobrze przenieść na srebrny ekran.
3032:  BFP - Boję się tego.
3033:  KMM - Ja z Westworldem miałem tylko z zakończeniem problem taki duży, to znaczy uważam, że to jest Reap of Fight Clubu i bardzo mi się to nie podobało, ale generalnie serial oceniam dość wysoko, zwłaszcza na tle tego, co robi teraz Amazon, dajcie spokój, naprawdę docenimy wszystkie rzeczy.
3048:  KMM - Mówię wam, jak wyjdzie Władca Pierścieni, to znaczy The Rings of Power at Amazonu, docenimy ósmy sezon gry o tron.
3054:  KMM - Takia jest moja predykcja.
3055:  KMM - Palitka pyta...
3057:  KMM - Czy gdyby nasz język był bardziej neutralny płciowo, miałoby to wpływ na sposób myślenia naszego społeczeństwa w kontekście płci i ogólnego zwracania na nią uwagi?
3066:  KMM - Czy nasz język sprawia, że bardziej się dzielimy i ogółem mamy większy problem z tolerancją np.
3070:  KMM - osób niebinarnych?
3071:  KMM - I dopowiedzenie.
3072:  KMM - Nie patrząc tylko na końcówki czasowników w czasie przeszłym i TPL, np.
3076:  KMM - ostatnio rozkminiałem, że słowo gwałciciel brzmi tak kuźwa dostojnie i poważnie, jak jakiś nauczyciel, porównanie przypadkowe, a np.
3082:  KMM - taka dziwka kurwa czy prostytutka odnosząca się do pracy seksualnej brzmi jak coś poniżającego i potępiającego.
3088:  KMM - Ja mogę wygrzebując jakąś moją zamieszkłą wiedzę z okresu studiów odpowiedzieć, że to o czym mówisz się nazywa językowym obrazem świata.
3098:  KMM - Była taka hipoteza pod koniec XX wieku, że to w jaki sposób się wypowiadamy i jak mówimy,
3105:  KMM - kształtuje trochę na zasadzie sprzężenia zwrotnego to, jak postrzegamy i kształtujemy naszą rzeczywistość.
3109:  KMM - To znaczy faktycznie fakt, że na przykład to, co jest często przywoływane, że jest intuicyjnie łatwo utworzyć nazwy zawodów męskich albo, że one brzmią poważniej, bo pan profesor brzmi poważniej niż pani profesorka,
3123:  KMM - to kształtuje także wstecznie, retroaktywnie, innymi słowy, to jak wygląda nasza rzeczywistość.
3128:  KMM - Dlatego ludzie, którzy starają się coś zmieniać z językiem, na przykład upierając się przy mówieniu nieekonomicznym, pracownica seksualna to jest nieekonomicznie, osoby studenckie to jest nieekonomiczne językowo, ale jest bardziej inkluzywne, bo jeżeli mówimy studenci, studentki, to wtedy dajemy dwie płcie i nie dajemy przestrzeni dla osób niebinarnych, a szczerze, akurat na przykład w odniesieniu do uczelni, do szkół itd.,
3152:  KMM - To jest taka przestrzeń, gdzie nie ma prawa być jakiejś segregacji rasowej, płciowej, politycznej, religijnej i jakiejkolwiek innej.
3161:  KMM - Więc jeżeli jesteśmy w stanie tego uniknąć nawet kosztem wyrabiania w sobie sztucznych nawyków językowych, moim zdaniem dobrze, właśnie z uwagi na ten językowy obraz świata.
3170:  KMM - Przypomnijmy sobie to, co też na czatach pisaliście, że inuici teraz mówimy na eskimosów, bo eskimos oznacza ten, kto je surowe mięso.
3178:  KMM - No, ludzie mają prawo nie chcieć, żeby do nich tak mówić, więc ja zawsze uważam, że kwestie zmian językowych są najmniej kosztowną rzeczą, jaką możemy zrobić, żeby realnie wpłynąć na to, jak się kształtuje rzeczywistość.
3190:  BFP - I to jest dokładnie, ja wiem, że to zabrzmi zabawnie, ale to jest dokładnie tak, jak z tym, kiedy przychodzi chłopak do liceum i mówi, proszę, jeżeli mnie lubicie, mówcie do mnie Filipanie Bartosz.
3200:  BFP - bo ja się z tym bardziej utożsamiam, jakby będę się czuł z tym lepiej.
3204:  BFP - I możecie oczywiście go wyśmiewać, a możecie uszanować jego decyzję i naprawdę na tym nie stracicie.
3211:  BFP - Ale pokaż mi jeszcze tam to pytanie, proszę, Krzysztof.
3213:  BFP - Pewnie.
3213:  BFP - Wyrzuć na ekran.
3215:  BFP - Ja szybko się odniosę.
3218:  KMM - Jeżeli chodzi o bikonik, muszę też, w trakcie jak Filip jeszcze sobie przypomina pytanie, muszę to powiedzieć, w roku 1984 jest inne zdanie, że niszczymy język i niszczymy słowa i redukujemy język, nie tworzymy nowe słowa, więc źle pamiętasz rok 1984, niszczymy język i redukujemy słowa, żeby ludzie nie mogli w ramach tego języka wyrazić sprzeciwu wobec opresyjnego systemu.
3243:  KMM - Więc jeżeli osoby niebinarne nie mogą używać na przykład zaimków albo nie mogą używać nadmiarowych słów, żeby wyrazić swój sprzeciw, to to jest rok 1984.
3254:  KMM - Jest bardzo zabawne, że dystopie, które są narracją lewicową, są wykorzystywane do atakowania narracji lewicowej bardzo często.
3262:  BFP - Ale przecież dokładnie taka sytuacja miała miejsce w zeszłym roku w powszechnym spisie ludności, gdzie nie dano opcji inna płeć.
3271:  BFP - Dano tylko mężczyzna kobieta i nie dano innej płci.
3274:  BFP - Nie było możliwości znaczenia innej płci, co jest formą odbierania
3279:  BFP - No już nawet możliwość ekspresji jest formą zakrzywiania rzeczywistości.
3282:  BFP - Natomiast do tamtego pytania odpowiadam absolutnie tak.
3286:  BFP - Są badania, które na to wskazują.
3289:  BFP - Nie pamiętam nazwiska tej socjolożki, ona jest związana z krytyką polityczną, ale ona pokazała, jak...
3296:  BFP - myślenie, język wpływa rzeczywiście na przyszłość zawodową kobiet.
3303:  BFP - Otóż są sfeminizowane zawody, jak na przykład, raczej nie mówimy pielęgniarz, mówimy pielęgniarka, nauczycielka, to jest też mocno sfeminizowany zawód, ale już na przykład mówimy strażak, nie strażaczka, prawda?
3314:  BFP - Mówimy sędzia, a nie sędzina, bo sędzina to jest żona sędziego.
3318:  KMM - Moja mama jest sędzią swoją drogą.
3320:  KMM - W serii Niefortuny jest zdarzenie, bo sędzia Strauss pamiętam w tłumaczeniu.
3323:  BFP - Tak.
3324:  BFP - I teraz to, jak to konotujemy, z jaką płcią wpływa na to i to również powołam się na fajne słowa, które usłyszałem od Marty Zucker, bardzo fajna autorka, która napisała trzy książki o kobietach w świecie startupów.
3339:  BFP - Teraz wydaje trzecią książkę o kobietach działających na rzecz dobra społecznego, czyli odpowiedzialnych społecznie startupach, kobiety, liderki.
3348:  BFP - Ona powiedziała, pamiętam takie badanie, ona je cytuje w swojej książce, w którym
3353:  BFP - Badacze weszli do przedszkola, koedukacyjnego przedszkola.
3357:  BFP - Były dziewczynki i byli chłopcy i powiedzieli teraz damy wam pobawić się w fajną grę.
3363:  BFP - Tu są pionki, tu są rzeczy, możecie się bawić, ale to jest gra dla bardzo mądrych dzieci.
3368:  BFP - Wiecie co się stało?
3370:  BFP - Większość chłopców zaczęła się bawić, a większość dziewczynek nie przystąpiła do zabawy.
3375:  BFP - Bo trudno powiedzieć nawet jak to możliwe, ale na jakimś poziomie stwierdzono, że skoro to jest dla bardzo mądrych dzieci, to dziewczynki powinny się zająć czymś innym.
3383:  BFP - To jest efekt tego, jak posługujemy się językiem.
3386:  BFP - Brzmi to szokująco i polecam poszukać to badanie, ale tak po prostu jest.
3390:  BFP - Więc jeżeli od dziecka mówimy dzieciom,
3393:  BFP - używając konkretnych zaimków czy też rodzajników i mówimy, że to jest taki zawód kojarzony z taką płcią i taką płcią, to w końcu kobiety zaczynają myśleć, czy na pewno IT, czy programiści, rzadko się mówi programiści, prawda?
3408:  BFP - I jest...
3409:  BFP - niedoreprezentowanie kobiet na przykład właśnie w firmach IT, czy nawet, i myślę, że Grzegorz mógłby tu sporo powiedzieć, a może nawet podejmiemy ten temat z Grzegorzem w naszym cyklu miesięcznym Okiem Deva o kobietach w branży gier, których tak naprawdę jest wcale niewiele.
3424:  BFP - Myślę, że Krzysztof może tu rzucić jakieś dane, bo Krzysztof naprawdę zna te dane.
3428:  KMM - Jeżeli chcecie, to są konkretne dane, zresztą mój serdeczny kolega z katedry, Damian Gałuszka, jest współautorem raportu, który wychodzi rok rocznie i wydaje go Krakowski Park Technologiczny.
3440:  KMM - To jest cały raport o polskiej branży game dev i między innymi na podstawie tych raportów CD Projekt Red wyciągał ostatnio wnioski, wprowadził to stypendium proaktywne dla kobiet w game devie i zostało to oczywiście źle zrozumiane, to znaczy ludzie zaczęli mówić, że to jest tyrania.
3456:  KMM - Pamiętajcie, że nigdy nie jest tyranią moment, w którym ktoś odpowiada na opresję i stara się zrównoważyć nierówność, która była w którymś momencie.
3466:  KMM - To jest straszna, duża pułapka, to znaczy wyobraźcie sobie, że na przykład, ja podam, czyli to zrobię zawsze, to znaczy ad absurdum, wyobraźcie sobie w którymś momencie, że musicie przez 450 lat
3478:  KMM - jest jakiś człowiek, który załóżmy, że jest bardzo długowieczny i dostaje cały czas w ten sposób fangę w pysk.
3483:  KMM - I w którymś momencie po tych 450 latach się wkurwi i komuś już nie da fangi w pysk, tylko wyciągnie jakąś maczugę i zatłucze osobę, która go w ten sposób przez setki lat dręczyła.
3496:  KMM - Zresztą mamy tego rodzaju eksperymenty w literaturze fantastycznej, więc nie musimy daleko szukać, chociażby w tiganie Gaia Gavrila Kea jest taki moment.
3504:  KMM - I co?
3506:  KMM - To jest etycznie złe?
3507:  KMM - No nie jest to etycznie złe.
3508:  KMM - A czy to jest zrównoważenie tej krzywdy, która była przez 450 lat?
3511:  KMM - Nie!
3512:  KMM - Nie jest zrównoważenie.
3513:  KMM - Gdyby było w pełnej zrównoważone to, to przez następne 450 lat temu delikwentowi trzeba byłoby dawać w ryj.
3521:  KMM - Więc w momencie, w którym w latach
3525:  KMM - 50., 60., XX wieku zaczęło się mówić o równouprawnieniu płciowym, to przepraszam, jest 20 wieków do nadrobienia, więc uspokójmy się w momencie, w którym kwestionujemy to, bo jeżeli już, to musimy wytrzymać to przez ostatnie ile, nie wiem, paręnaście lat w Polsce jest ten temat i tak to do niczego nie doprowadziło realnie.
3544:  BFP - Ja przeczytam pytanie, super chat to się nazywa, tak?
3548:  BFP - Tak, tak.
3549:  BFP - Dobra.
3550:  BFP - Od Tomasza.
3551:  BFP - Filip, czy grałeś w papier w RPG?
3552:  BFP - Jak tak, to w jakie?
3555:  BFP - Podjąłem kiedyś próbę ze znajomymi w Dungeons & Dragons, ale pamiętam, że się upiliśmy w trakcie i znudziło mi się, ale bardzo mi się podobało i teraz uwaga, jestem otwarty na eksperymenty w tej mierze, bo to świetnie poszerza wyobraźnię.
3569:  BFP - I może coś kiedyś związanego bez schematu będzie miało połączenie z jakąś sesją RPG.
3574:  BFP - Ale zobaczymy.
3575:  BFP - I jeszcze rzecz super czatowa, którą widziałem, tylko zjadę, bo tu się tutaj dużo dzieje, co mnie bardzo cieszy w ogóle.
3583:  BFP - 345 osób, cudownie.
3585:  BFP - Cieszę się, że Grzegorz też w ogóle wyłapał, jak ja mówiłem o tym niedoreprezentowaniu kobiet w IT, to też powiedział, że to jest powód, że mamy tak mało programistów, co jest tragedią.
3595:  BFP - I też wyłapał moją myśl, żebyśmy podjęli ten wątek na okiem deva.
3599:  BFP - To Krzysztof On Off.
3600:  BFP - Wasze ogłoszenie inkluzywności jest wspaniałe.
3602:  BFP - By na nie zwracać uwagi, mógłbym rzucać w was nawet trójkątnymi znaczkami z tuwy?
3607:  BFP - Co to jest tuwa?
3608:  KMM - Nie mam zielonego pojęcia, ale to jest jakaś aluzja, która była powyżej naszych pokrywek, więc szanujemy bardzo.
3617:  KMM - Jeszcze jest jedna kwestia, to znaczy nie jest dyskryminacją tego rodzaju stypendium, biorąc pod uwagę to, że we wszystkich innych tego typu stypendiach były niepisane reguły, które wykluczały kobiety.
3632:  KMM - Na przykład jest niepisana reguła, o której zresztą pięknie ktoś wpisał na czatach, że komputery były tylko dla dziewczynek.
3639:  KMM - G. Bokota to napisała albo napisał.
3643:  KMM - Ja pamiętam ten czas, że moje koleżanki nie mogły grać w gry komputerowe, bo to było dla kolegów, bo to było dla chłopaków.
3650:  KMM - Więc tego rodzaju rzeczy mają swoje konsekwencje.
3653:  KMM - I co?
3653:  KMM - Czy to była dyskryminacja systemowa?
3655:  KMM - Nie, ale była to dyskryminacja społeczna, kulturowa, z którą dziewczyny musiały żyć przez długi czas i efektem tej dyskryminacji jest to, że musimy na to w jakiś sposób zareagować.
3669:  KMM - No i myślę, że zawsze to będę powtarzał.
3672:  KMM - Ile osób utalentowanych potencjalnie tracimy przez to, że właśnie w młodym wieku, w czasie szkolnym czy w czasie uniwersyteckim ktoś się styka z miękką dyskryminacją.
3681:  KMM - Teraz parę dni temu dosłownie, jak już o tym rozmawiamy, ale palitka wywołała temat, wyszedł raport o równości na AGH i wyszło, że 70% stanowisk kierowników katedr i w ogóle kierowników, dziekanów i tak dalej zajmowanych było i jest przez mężczyzn.
3695:  KMM - Czy jest to dyskryminacja w takim razie z uwagi na płace?
3700:  KMM - Tak, ponieważ z zajmowanymi stanowiskami kierowniczymi, katedralnymi wiąże się wyższe uposażenie.
3705:  KMM - Więc argument konserwatywny, nie, nie ma żadnej wage gap, to lewacki wymysł, no jest, tylko że nie wpisana w konstytucję.
3713:  KMM - Jeszcze by tego brakowało, żeby była wpisana w konstytucję.
3716:  KMM - Ale to nie oznacza, że jej nie ma.
3718:  KMM - Ona jest, tylko że się o tym nie mówi, ponieważ nie ma danych na ten temat.
3722:  KMM - Jeżeli dopiero teraz wyszedł taki raport, to na czym mieliśmy pracować innym?
3727:  BFP - Ja jeszcze tylko dodam, my jako Bez Schematu mamy swoje wartości, co do których mamy zgodę z Krzysztofem i wierzę, że też z Grzegorzem i wierzę, że też z Arturem, który często bywa gościem w naszych materiałach i to są generalnie progresywistyczne i na pewno inkluzywne poglądy.
3745:  BFP - I będą materiały na Bez Schematu, które będą krzywiły ideę inkluzywności
3750:  BFP - w oparciu o popkulturę, w oparciu o media, może nawet będą kiedyś robione jakieś badania, może nawet będą kiedyś jakieś inicjatywy i kampanie robione przez Bez Schematu w tym obszarze i ktokolwiek się z nami nie zgadza, spoko, zachęcamy was do dyskusji, ale nie będziemy naginali, jak czytam pewne rzeczy, nie będziemy naginali swoich poglądów na potrzeby społeczności, bo po prostu to jest nasz kręgosłup moralny, tak?
3772:  KMM - Nie wiem, ale się dowiem.
3773:  KMM - Witamy swoją drogą na czatach.
3775:  KMM - Pisze, dzieła to też z drugą strony zabawa lalkami, jest dla dziewczynek robienie makijażu, jest dla dziewczynek dokładnie okazywanie słabości, jest tylko dla dziewczynek jak najbardziej.
3782:  KMM - Zresztą feminizm czwartofalowy, o czym się rzadko mówi, czyli ten, który się rozwijał w 2013 roku, mówi o prawach mężczyzn, mówi o prawach osób niebinarnych, mówi o...
3793:  KMM - W prawach wszystkich innych, chodził mnie tylko o prawach kobiet, więc także adresuję te kwestie jak najbardziej.
3797:  KMM - Embratka też dodaje, że była jedną z tych dziewczyn, które chciały grać, a się odmawiały.
3802:  BFP - Przepraszam, ja jedną rzecz tylko jeszcze powiem, bo przy mikrofonie fajną rzecz zauważył, że mało inkluzywna ta redakcja bez schematu.
3810:  BFP - To powiem tak, Krzysztof mi świadkiem, że jest
3815:  BFP - twórczyni w sferze popkultury, której złożyliśmy propozycję prowadzenia vloga na bez schematu.
3822:  BFP - Swojego vloga, swojego cyklu.
3824:  KMM - Tak było.
3825:  BFP - Nie dostaliśmy odpowiedzi nawet.
3827:  BFP - Każdy inny twórca nam odpisywał.
3829:  BFP - Niestety nie dostaliśmy odpowiedzi nawet.
3831:  BFP - To nie jest tak, że nie próbujemy.
3834:  KMM - Ja na pewno nie jestem zwolennikiem też twardych parytetów.
3837:  KMM - To od razu mogę powiedzieć od siebie z kolei, bo uważam, że to jest sztuczne.
3840:  KMM - To znaczy, nie rozwiążemy problemu w momencie, w którym będzie 50% i 50%.
3844:  KMM - Nie.
3845:  KMM - Rozwiążemy problem w momencie, w którym będą wszyscy mieli dokładnie takie same szanse awansowe i dokładnie takie same szanse na ekspozycję.
3851:  KMM - Jeżeli youtuberka stwierdzi, okej,
3853:  KMM - Będę nagrywać o Dark Souls, tak?
3856:  KMM - Będę sobie grała w Dark Souls i będę chciała sobie w to grać i będę sobie to streamować i wbiję jej 50 chłopa na czaty i mówię, wiecie, jaka kobieta będzie grać?
3864:  KMM - No to umówmy się, nie?
3865:  KMM - Oczywiście nie mówię, że tak się dzieje, ale mówię, że tak się może dziać, mówię, że się tak na pewno działo w tak zwanych moich czasach, a w tak zwanych moich czasach tak się składa, wykształcili się 30-40-latkowie, którzy teraz zakładają firmy, są menadżerami i mają bardzo często takie, a nie inne przemyślenia, nie?
3881:  KMM - Czerwia fantastycznego kojarzę i śledzę od samego początku, nawiasem mówiąc, iWoods.
3886:  BFP - Takie ciekawe pytanie się pojawiło anonimowi psychopaci.
3889:  BFP - Na co wydajecie pieniądze z trybutów i wspierania, mam nadzieję, że figurki jamników?
3893:  BFP - Zabawnie, ale nie wiem, czy widzicie, dzisiaj obraz jest lepszy z mojej kamery, bo kupiłem po prostu lepszą kamerę Logitech specjalnie do streamów.
3901:  BFP - Dzisiaj dźwięk być może jest lepszy, bo używam dokładnie takiego mikrofonu,
3906:  BFP - jakiego używa Krzysztof.
3907:  BFP - To jest wydatek, to jest inwestycja, którą poniosłem i którą może zrekompensuję sobie częściowo z trybutów, które od Was spływają, bo po prostu chcę, żeby te live'y były dla Was lepsze.
3917:  BFP - Więc jak mówimy w tym filmiku, który jest, że chcemy inwestować w lepszy sprzęt, chcemy inwestować cały czas w lepszą jakość contentu, którą dostajecie, to jest dokładnie to.
3927:  KMM - Dla mnie zawsze było sensownym przypadkiem ludzi, którzy YouTube'a robią hobbystycznie, że to ma być reinwestycja dla społeczności, więc ja dokładnie tak samo robię na swoim kanale i też nie ukrywamy, że to sprawia, że na przykład człowiek nie szlocha w momencie, w którym Amazon czy inny Netflix czy inne tego rodzaju cudowne korporacje nagle stwierdzają, że sobie wezmą całe pieniądze z revenue z reklam.
3949:  KMM - To jest proste, dlatego trzeba coś społeczności dać w zamian w takiej sytuacji.
3954:  KMM - Czy jest możliwość prowadzenia rekrutacji na studia, pyta Zdzichu, lub do pracy w taki sposób, żeby rekruter przed przyjęciem kandydata nie dowiedział się o płci takiej osoby?
3963:  KMM - Ja nie jestem przeciwko takiemu rozwiązaniu, natomiast raczej bym się zastanawiał nad czymś innym i spojrzał na to bez schematu.
3970:  KMM - dlaczego musielibyśmy o czymś takim myśleć, nie?
3973:  KMM - To znaczy rekruter in the first place powinien w ogóle nie mieć z tym żadnego problemu.
