Co tam, panie, w Gilead? Recenzja 4. sezonu "Opowieści Podręcznej" || Gość: Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=YV3bciCrjR4
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - To co tam panie słychać w Gilead?
1679:  KMM - Jest taka jedna scena, którą absolutnie wstrząsnęła, jak na to spotkanie tych anonimowych podręcznych, nazwijmy to tak, w bibliotece.
1686:  KMM - Przychodzi jedna z ciotek.
1688:  KMM - Była ciotka.
1690:  KMM - Była ciotka, tak, która doprowadziła do tego, że kochanka jednej z tych podręcznych została skazana wedle prawa Gileadu za bycie lesbijką, powieszona na murze.
1701:  KMM - I ona przychodzi z tą właśnie, zjedzą mnie w komentarzach, ale z chrześcijańską etyką przebaczenia.
1707:  KMM - To znaczy, przepraszam, nie chciałem tego zrobić, okazuje skruchę.
1713:  KMM - No i zostaje skonfrontowana z tym, co zostaje June Osborne i pozostałem podręcznym.
1718:  BFP - Tak, podałeś mi piłeczkę, bo ja chcę powiedzieć, że jakkolwiek to nie zabrzmi, to ostatnie trzy odcinki czwartego sezonu Handmaid's Tale mają jeden z najbardziej antychrześcijańskich przekazów w historii popkultury.
1733:  BFP - Ale już tłumaczę dlaczego.
1735:  BFP - Fundamentem chrześcijaństwa i etyki chrześcijańskiej jest przekonanie o tym, że kiedy okażemy skruchę,
1744:  BFP - Kiedy żałujemy swoich grzechów, to mogą nam one zostać odpuszczone.
1752:  BFP - Baranek Boży gładzi grzechy świata.
1758:  BFP - I ludzie, którzy operują w ramach tego systemu, który jest tak silnie teokratyczny i osadzony
1766:  BFP - w nieprawdopodobnym nie tyle konserwatyzmie, ile reakcjonizmie chrześcijańskim, noszą na sztandarach to, że to co robimy, robimy w imię jakichś wyższych celów, ale to co złego zostanie nam wybaczone, bo mamy świadomość naszych potknięć, pomyłek i tego, że cel uświęca pewne środki.
1789:  BFP - Ale co w sytuacji, w której odmówimy komuś prawa do tego,
1794:  BFP - żeby odpokutować.
1797:  BFP - Żeby czuł się dobrze ze sobą.
1799:  BFP - Tak.
1801:  BFP - Co jeżeli odmówimy komuś prawa do wyrzutów sumienia?
1805:  BFP - Albo zostawimy go z tymi wyrzutami sumienia, ale nie postawimy kropki na końcu zdania.
1811:  BFP - I to kółko terapeutyczne, które organizuje przyjaciółka June, które ma poprzez sprawdzoną metodykę terapeutyczną dotrzeć do sedna twojej traumy, twojego bólu, pogodzić się z samym sobą, pogodzić się ze swoją przeszłością, zostaje brutalnie wywrócona razem z całą szachownicą przez June, która uczęszcza
1834:  BFP - na te spotkania terapeutyczne i w momencie, kiedy pojawia się tam wspomniana przez ciebie ciotka, która żałuje tego, co zrobiła jednej z bohaterek i mówi, proszę, proszę o wybaczenie, proszę, żebyś mi wybaczyła.
1844:  BFP - John wstaje i mówi, nie, tu nie ma wybaczenia.
1848:  BFP - Tu nie ma wybaczenia.
1851:  BFP - My chcemy zobaczyć twoją krew.
1853:  BFP - My chcemy zobaczyć, jak ten system się sypie, a ludzie, którzy go zbudowali, wiszą na murze.
1859:  BFP - Tak jak ludzie nam bliscy, których wywieszaliście na murze.
1864:  BFP - I bohaterka, o której przebaczenie prosi ta ciotka na pytanie ciotki, co ja mogę zrobić, żeby zmyć z siebie ten grzech, czyli to myślenie chrześcijańskie.
1875:  BFP - Tak, żeby się oczyścić, nie?
1877:  BFP - Żeby poczuć się ze sobą lepiej, tak jak powiedziałeś.
1881:  BFP - Ta bohaterka odpowiada trochę wyczuwając fluidy June.
1885:  BFP - Nic.
1887:  BFP - I wychodzi.
1888:  BFP - Nic nie możesz zrobić.
1889:  BFP - Czyli nie stawia kropki na końcu tego zdania.
1892:  BFP - Ona robi coś gorszego.
1893:  BFP - Ona stawia wielokropek.
1895:  BFP - Wie, że coś tam powinno nastąpić.
1896:  BFP - To cię nie przestanie prześladować.
1899:  BFP - I ta postawa June, która jest tak antychrześcijańska, jak powiedziałem, która brzmi nie nadstawiaj drugiego policzka.
1909:  BFP - Nie miłuj bliźniego swego jak siebie samego.
1912:  BFP - Nie wybaczaj, kiedy ktoś okaże skruchę.
1915:  BFP - Nie.
1917:  BFP - Wyciśnij ostatnie soki.
1919:  BFP - Połam kości i wyssi krew z ludzi, którzy cię skrzywdzili.
1925:  BFP - Bo to jest jej forma radzenia sobie z traumą.
1928:  BFP - To jest jej forma zadośćuczynienia, która jest antychrześcijańska.
1935:  KMM - Nawet to wyostrzę, jest w którymś momencie też paralelna względem tej scena w sądzie, gdzie pierwsze co mówi June, jak wchodzi na rozprawę, gdzie widzi swojego prawcę i gwałciciela, który gwałcił nie tylko w ramach rytualnego gwałtu zgodnego z chorym prawem Gileadu, ale także łamał to chore prawo, żeby gwałcić niezależnie.
1956:  KMM - Widzi go uśmiechniętego cynicznie, bo on już wie, że się dogada.
1961:  KMM - mówi do sędziny, ale nie będę przysięgać na Biblię.
1966:  KMM - Bo ona wie, że ona chce wyjść z tego systemu etycznego.
1969:  BFP - Tam jest inaczej, tam jest inaczej.
1970:  BFP - O nie, nie.
1971:  BFP - To ja muszę to naprostować.
1973:  BFP - Ona wchodzi i ona chce zagrać na reguła Gileadu.
1977:  BFP - Ona chce zagrać na nosi Gileadu i mówi, czy mogę przysiągnąć na Biblię.
1982:  BFP - A urzędnik sądowy mówi, we don't do that here.
1986:  KMM - A, tak, masz rację, tak, tak.
1987:  BFP - My jesteśmy świeccy.
1991:  BFP - I potem mamy wszystkie zeznania June.
1993:  BFP - No i June dowiaduje się, że Fred Waterford idzie na ugodę.
1999:  BFP - Znaczy, ugodę, on chce współpracować, on chce wydać swoich...
2004:  BFP - popleczników i innych zbrodniarzy w tej mafii jaką jest Gilead w zamian za immunitet.
2011:  BFP - I dowiaduje się od urzędnika USA, że no niestety wszystkie jej zeznania nie będą miały mocy.
2019:  BFP - bo dostanie immunitet, bo wygrywa, w cudzysłowie, i tu znowu zagwozdka moralna, wygrywa większe dobro, jakim może być zdobycie wiedzy o systemie, który być może będziemy w stanie złamać
2035:  BFP - dzięki tej wiedzy, którą pozyskał Manfreda Waterforda.
2037:  BFP - Jest świadkiem koronnym, który będzie teraz zeznawał i trzeba dać mu ochronę.
2042:  KMM - Sprawę komplikuje też to, że opinia publiczna kanadyjska zaczyna sympatyzować z Waterfordami, w którym jest taka przerażająca dla mnie absolutnie scena, jak oni wychodzą z jednego z budynków rządowych, a ludzie wiwatują, tak jak w naszej
2054:  KMM - W naszym radosnym świecie bardzo często się zdarza, że są jakieś absolutnie chore i opresywne idee, które zyskują poklask społeczny i tym samym oczywiście jest domniemanie, że no tak, no skoro jest poklask, to znaczy, że może nie jest tak, że to może jest jakiś cień prawdy, może jednak mają rację, jednak działa ten system.
2073:  BFP - No i co się dzieje?
2074:  BFP - Co się dzieje?
2075:  BFP - No trzymając się cały czas tych dwóch słów kluczowych, czyli traumy i sprawiedliwości.
2081:  BFP - Dziun
2082:  BFP - pada na genialny pomysł, o którym my jako widzowie jeszcze nie wiemy, co jest ciekawe.
2086:  BFP - Dopiero na sam koniec, w ostatnich minutach finałowego odcinka czwartego sezonu rozumiemy jej masterplan.
2092:  BFP - Otóż June, wykorzystując swoje kontakty w Gilead, bo ma takowe, ma Josepha Lorenza, wspomnianego komendanta, który nie wiadomo do której bramki gra, ale sympatyzuje z June i Nika, który jest ojcem jej drugiej córki,
2111:  BFP - który jest nie tylko szefem bezpieki, on jest ministrem wojskowości w Gilead.
2116:  BFP - Awansował na komendanta, więc obok Josepha Lorenza, który jest także komendantem, to są dwie bardzo wpływowe osoby w Gilead.
2124:  BFP - Układa się z nimi i mówi, chcecie zamknąć usta Fredowi Waterfordowi.
2130:  BFP - To w zamian za Freda Waterforda dajcie 22 więźniów politycznych,
2136:  BFP - Na wymianę.
2138:  BFP - I to jest coś, co ja mogę sprzedać rządowi USA na uchodźstwie jako ich sukces.
2145:  BFP - Żeby Fred Waterford nie wyszedł na wolność.
2149:  BFP - I co się dzieje?
2152:  BFP - June swoją drogą na pytanie, czego ty dokładnie chcesz, odpowiada a propos Freda, ja chcę, żeby on się bał.
2160:  BFP - Ja chcę, żeby on czuł to, co ja poczułam i to jest scena otwierająca pierwszy sezon Handmaid's Tale.
2166:  BFP - Ja chcę, żeby on czuł to, co czułam ja.
2170:  BFP - Kiedy siły Gilead mnie ścigały, kiedy uciekałem ze swoją córką, dopadli mnie, pobili mnie i odebrali mi córkę.
2178:  BFP - I uczynili mnie seksualną niewolnicą.
2180:  KMM - tuż przed tym, jak się wydawało, że ona już ucieknie tym lasem do jakiejś chatynki na obrzeżach i że się uda.
2187:  KMM - I ta prawda jest taka, że ten sam los gotują w którymś momencie Waterfordowi dzięki współpracy swoją drogą z twoim ulubieńcem tego sezonu, moim zresztą również, to znaczy Tywinem slash Tyrionem Lannisterem Gileadu, czyli komendorem Lorensem.
2201:  KMM - który zresztą mówi do June coś bardzo znaczącego, to znaczy, ale ty wiesz, że na tym się nie skończy, to znaczy, że ta twoja zemsta, bo on już się domyśla, o co może chodzić, to nie ci nie wystarczy.
2216:  BFP - I co się dzieje, bo zauważ, dochodzi do tej wymiany Fred za więźniów na moście, co zresztą kojarzy się z mostem szpiegów w Berlinie,
2225:  KMM - Właśnie miałem to, to jest tak świetny film, ja sam mówię coś.
2229:  BFP - Spielberga i tam jest oczywiście granica z Kanadą.
2233:  BFP - Pojawia się Joseph Lawrence.
2234:  BFP - Fred jest tak przekonany, że znowu jest górą, to znaczy znajdzie, może inaczej, znajdzie grunt pod nogami.
2242:  BFP - I mimo, że dochodzi do tej wymiany i jakby nie rozumie, dlaczego nie leci do hagi, gdzie myślę, że zostanie uniewinniony w zamian za współpracę, staje przed Lorenzem i mówi, rozumiesz, dlaczego musiałem zrobić to, co musiałem zrobić?
2254:  BFP - Lorenz mówi, tak.
2256:  BFP - Po czym wycofuje się, mówi, mnie tu nie było.
2259:  BFP - I pojawia się Nick, który wsadza Freda Waterforda do ciężarówki i wtedy Fred zaczyna się bać.
2265:  BFP - Wtedy czuje to, co June chciała, żeby czuł.
2269:  BFP - Traci poczucie kontroli nad sytuacją.
2271:  KMM - Tak, to jest zresztą świetna scena absolutnie, jak w nim narasta ta panika, jak zostaje przykuty do tego furgonu, nie wie gdzie idzie, ma zasłonięte oczy i mamy powidoki z tej sceny, którą w zasadzie mogliśmy obserwować w wcześniejszej części serialu, jak właśnie June razem z innymi podręcznymi miała jechać do jednej z tych kolonii rozrodczych.
2290:  KMM - I widzimy dokładnie w takiej samej sytuacji Waterforda.
2293:  KMM - Nie wiesz, gdzie wylądujesz.
2295:  KMM - Waterford opuszcza furgon i June do niego podchodzi w którymś momencie.
2300:  BFP - Nick wyprowadza Freda i znajdują się w No Man's Land, czyli miejscu, w którym nie obowiązuje ani prawo Gilead, ani prawo Kanady.
2310:  BFP - I prowadzi go do June, która z uśmiechem na twarzy daje Fredowi wybór.
2316:  BFP - Pistolet albo gwizdek.
2319:  BFP - I przez brak wyboru Fred wybiera gwizdek.
2323:  BFP - I kiedy June gwizdze, wychodzą wszystkie jej sojuszniczki, jej podręczne marty.
2330:  BFP - Wszystkie ofiary systemu.
2331:  BFP - Tak, których twarzą
2337:  BFP - od momentu, w którym stwierdziła, że zemsta jest drogą, do nie odkupienia, tylko zadośćuczynienia samej sobie, wychodząc za jej pleców i nie przymierzając, biorą Freda Waterforda na kopy, widzimy Lynch.
2355:  BFP - Widzimy, jak June wygryza policzek.
2359:  BFP - Fredowi Waterfordowi, myśląc o wszystkich sytuacjach, kiedy musiała mu się podporządkować, kiedy musiała udawać, kiedy życie jej zależało od tego, kiedy ugnie się przed tym mężczyzną i wszystkimi innymi mężczyznami w tym systemie.
2375:  BFP - I widzimy sytuację, która normalnie może się kojarzyć z drugim sezonem The Boys, kiedy kobiety biorą na kopy szwarc charakterkę i to jest taki girl empowerment moment.
2389:  BFP - Możemy pomyśleć, no to jest taki tarantinowski, grindhouse'owy, death proof moment, kiedy kobiety też się mszczą i też biorą na kopy Cartera Sella, ale to nie jest do końca to.
2400:  BFP - Znaczy czujesz satysfakcję, że Fred Waterford wreszcie dostaje to na co zasłużył i sam czuje lęk i sam staje się ofiarą dokładnie tych samych metod i tej samej opresyjności, którą on stosował i zaprojektował w Gilead przeciw kobietom.
2416:  KMM - Tak, ten lincz zresztą kulminuje w takiej symbolicznej scenie, jak Waterford zostaje powieszony, no nie upowały, ale na murze tak, wieszano zresztą w Gileadzie i pojawia się tam ten napis, wypisany zresztą jego krwią, no i te te bastarde z karbondurą, czyli nie będziecie nam, nie pamiętam jaki jest przekład polski, to jest zabawne.
2435:  BFP - Nie pozwól z sukinsyną cię zmielić.
2439:  KMM - Tak, tak.
2441:  KMM - I to jest przerażająca scena, bo z jednej strony mamy takie poczucie sprawiedliwości, która się wreszcie dokonała, sprawiedliwości, której nie był w stanie dać świat zewnętrzny.
2452:  KMM - Cały system demokratyczny, system immunitetów Trybunałów Sprawiedliwości, sądzenia zbrodniarzy wojennych, którym jest Fred Waterford, ale były w stanie dać kobiety ofiary.
2465:  KMM - Ale z drugiej strony jest to niezgodne z wszystkimi systemami etycznymi, jakie wymyśliliśmy jako ludzie i cywilizacja.
2473:  BFP - Pomijając Hammurabiego oczywiście.
2475:  BFP - Wendetta.
2477:  BFP - Przypomnę bardzo dobry odcinek, który robiłem.
2480:  BFP - Tak sobie od razu przysłodziłem, ale było o zemście w popkulturze.
2485:  BFP - O motywie zemsty w popkulturze.
2488:  BFP - I oczywiście, że mamy tutaj wątek wendetty, ale wendetty potraktowanej jako formę terapii.
2496:  BFP - Jeszcze raz podkreślę te dwa słowa, które nam dzisiaj przyświecają.
2502:  BFP - Trauma i sprawiedliwość.
2503:  BFP - Trauma i sprawiedliwość.
2505:  BFP - Ta sprawiedliwość jest formą kompensacji, czy też radzenia sobie z traumą.
2512:  BFP - W zupełnie inny, antychrześcijański sposób niż to, co próbuje robić przyjaciółka June.
2518:  BFP - I teraz...
2520:  BFP - Czujemy to w momencie, w którym widzimy, kiedy te kobiety go okładają.
2523:  BFP - No chyba tylko socjopata jest w stanie to oglądać i wiwatować, mówić, o, jest fantastycznie, o to chodziło w tym serialu.
2531:  BFP - Ale scena ostatniej minuty, kiedy June wysmarowana krwią wraca do domu, do swojego męża, Luca, i do swojej córki, małej córki,
2541:  BFP - I ona bierze na ręce swoją córkę, przytula ją do swojego policzka i widzimy, jak ta krew z jej policzka, krew Freda Waterforda zostaje na policzku jej małej córki.
2553:  BFP - I widzimy, jak wstaje jej mąż, idzie do pokoju i widzi ją i osuwa się na ziemię, płacząc, bo widzi, co zrobiła jego żona.
2559:  BFP - A June mówi tylko, proszę daj mi chociaż tylko kilka minut, żeby z nią spędzić.
2564:  BFP - Co to znaczy?
2566:  BFP - June poświęciła wszystko dla tej zemsty, poświęciła wszystko, żeby zabić w sobie ten itch, to drapanie, które nie mogło ustąpić.
2577:  BFP - To drapanie oznaczało, to nie jest tak, że ty jesteś straumatyzowana.
2581:  BFP - To drapanie oznaczało, ta trauma musi doprowadzić do...
2585:  BFP - wyrwania kręgosłupa temu systemowi, ale nie niespersonifikowanemu systemowi, konkretnym ludziom, którzy muszą zawisnąć na murze.
2595:  BFP - Tak jak moje przyjaciółki.
2596:  BFP - Ja chcę, żeby Fred Waterford zawisnął na murze.
2599:  BFP - To też mówi wcześniej i to się dzieje.
2603:  BFP - Ale co mówi Joseph Lawrence?
2605:  BFP - W ciekawym scenariu pisarstwie tzw.
2607:  BFP - dramatic irony, czyli kiedy my jako widz wiemy coś, czego nie wiedzą bohaterowie, który widzimy w scenie.
2613:  BFP - Tu jest odwrócone dramatic irony.
2616:  BFP - Kiedy bohaterowie wiedzą coś, czego my jeszcze nie wiemy.
2619:  BFP - Joseph Lawrence dokonując tej wymiany więźniów za Freda Waterforda mówi June, to co chcesz mu zrobić nie wystarczy.
2629:  KMM - Tak, tak, tak.
2630:  BFP - Co jeżeli nie...
2632:  BFP - Nie poczujesz ukojenia.
2634:  BFP - I my to widzimy w June, że Fred Waterford zawisł, ale jest jeszcze kilkuset komendantów, kilkuset nazistów, którzy staną w Norymbergi przed obliczem sądu, a niektórzy uciekną do Argentyny.
2649:  BFP - Teraz trzeba ich wszystkich wyłapać i postawić przed trybunem stanu.
2654:  BFP - June nie chce nikogo stawiać przed sądem.
2656:  BFP - June chce ich wszystkich powiesić.
2658:  KMM - Nie ma takiego sądu na zewnątrz tego świata, który mógłby dać June tę sprawiedliwość, której ona szuka.
2665:  KMM - I to jest o tyle przerażające.
2666:  KMM - Dla mnie tutaj znowu jest rozgrywana ta opozycja tego Gileadu i tego, co jest na zewnątrz.
2672:  KMM - Bo June od samego początku tego wyjazdu do Kanady, ona była trochę out of place, tak przez tę traumę, która w niej siedziała.
2680:  KMM - Troszeczkę się cofnę do tej sceny, które były we wcześniejszych odcinkach serialu, ale ten moment, kiedy ona wchodzi do supermarketu i widzi podręczne między półkami, jak przebiera między chipsami i puszkami w tej świątyni kapitalizmu, nie?
2696:  KMM - I ona sobie zdaje sprawę z tego, że ta trauma w niej siedzi, ona nie wyjdzie.
2701:  KMM - I ta scena, o której mówisz, w której krew Waterforda i Gileadu spływa na dziecko, które było czymś zupełnie niezwiązanym z tym systemem i skaża tę rodzinę, do której ona mogła się wprowadzić.
2715:  KMM - Tam jest taka piękna scena, zresztą jak mówi jej mąż, to jest twój nowy dom, a June na to tak patrzy.
2722:  BFP - Nowy dom?
2723:  BFP - Ale to właśnie, ja wiem, co ty chcesz powiedzieć, że jakby...
2726:  BFP - Kiedy ona krwią wysmarowuje swoje własne dziecko, kiedy skaża ten dom, kiedy odcina się od swojej rodziny, ona się wtedy wreszcie czuje dobrze.
2737:  BFP - Ona czuje ulgę.
2739:  BFP - To jest tak potężne.
2741:  BFP - Jeszcze raz podkreślę, to jest wybitny kawałek telewizji.
2747:  KMM - I też genialny sposób na skomentowanie trudnej sytuacji ludzi, którzy przeżyli traumę, zwłaszcza traumę na tle seksualnym i szukają tej sprawiedliwości, ale z drugiej strony albo nie są w stanie się zdobyć na tę odwagę,
2763:  KMM - albo zderzają się właśnie z tym wymiarem sprawiedliwości, który mówi takiego.
2767:  KMM - My będziemy i tak wspierać tych, którzy mają władzę, mają pieniądze, mają wpływy, mogą dać nam konkretne rzeczy.
2773:  KMM - Co możesz dać nam ty ze swoim poczuciem zemsty i sprawiedliwości?
2778:  BFP - To jest bardzo interesująca myśl, którą wyraża June.
2781:  BFP - Czasem się mówi, są pewne rzeczy, których nie można wybaczyć, a June mówi, są pewne rzeczy, których nie wolno wybaczyć.
2789:  BFP - Naszym moralnym obowiązkiem
2791:  BFP - a jest to moralność antychrześcijańska, to jest nie pozwolić, żeby zapomnieć i nie pozwolić, żeby wybaczyć.
2800:  BFP - Zemścić się, ale zemścić się tak, żeby to była ilustracja dla innych.
2805:  BFP - No bo przecież to jest przekaz dla innych.
2809:  BFP - Don't let the bastards grind you down i powieszony.
2812:  BFP - No przepraszam, ona wysyła odcięty palec razem z obrączką.
2816:  KMM - Tak, Waterfordowej, nie pamiętam jej imienia.
2821:  KMM - Serinie, Serena.
2823:  BFP - Wysyła Serinie odcięty palec.
2825:  BFP - To już jest bardzo mafijne.
2828:  BFP - Ja powiem tak, ja byłem podekscytowany tym, co może zaoferować czwarty sezon, kiedy kończył się trzeci.
2837:  BFP - Nigdy nie byłem tak podekscytowany oglądając tę serię, jak po zakończeniu czwartego sezonu.
2843:  BFP - Czwarty sezon robi prawdziwy reboot, nadaje nowego sensu istnienia tej historii, temu serialowi, zmieniając perspektywę zupełnie.
2854:  BFP - wprowadzając nowe zmienne i rzeczywiście dokonując przekonującej zmiany w psychologii i motywacji bohaterki, która nie jest taką zmianą, jaką pamiętamy z przedostatniego odcinka Game of Thrones i Daenerys, która nagle staje się zła.
2868:  BFP - Nie, nagle pokazując, że nasza bohaterka zmienia się w...
2875:  BFP - narzędzie anioła zemsty, ucieleśnienie właściwie anioła zemsty, który nie przebiera się za superbohaterkę i teraz będzie biegać po ulicach nocami i mścić się na wszystkich gwałcicielach.
2888:  BFP - Nie, ona wykorzysta narzędzia systemowe, ona wykorzysta manipulacje, socjotechnikę.
2893:  BFP - Do tego, żeby niszczyć ten system, ale nie w taki finezyjny, polityczny sposób, tylko dosłownie wieszając ludzi.
2901:  BFP - Pokazując jakie piętno, i wracamy do tej stygmy, jakie piętno wywarna niegilea.
2906:  BFP - Ta trauma jest jednocześnie piętnem, ale to piętno sprawia, że ona się upodabnia do oprawców.
2912:  BFP - zwalcza ogień ogniem.
2913:  BFP - To jest właśnie to antychrześcijaństwo.
2915:  BFP - Ja się nie mogę doczekać piątego sezonu.
2916:  BFP - To jest dla mnie fascynujące.
2918:  KMM - Zwłaszcza, że nam się kształtuje bardzo interesująca dynamika.
2921:  KMM - W środku powiedzmy jest komando Lawrence, na zewnątrz przynajmniej na razie jest June Osborne, a w środku jest ciotka Lydia, która jest taką cichą bohaterką drugiego planu w czwartym sezonie.
2934:  KMM - przechodzi swoją wewnętrzną przemianę i myślę sobie, że z jej perspektywy prowadzona narracja, z perspektywy kobiety, która jest przekonana, że ona ma uratować wszystkie podręczne, otacza je tą matczyną opieką.
2946:  KMM - Jest taka też, znowu wrócę do tego, scena, w której podręczne uciekają z furgonu, w którym ona jest.
2954:  BFP - Ponownie doskonały przykład
2957:  BFP - dobrze napisanego scenariusza, który wie jak obchodzić się z postaciami i z ich zmianą motywacji.
2964:  BFP - Zgadzam się z tobą, że w czwartym sezonie ciotka Lidia rzeczywiście zasługuje na nieco empatii z naszej strony, bo nagle uzewnętrznia te swoje matczyne uczucia i troszeczkę może nie łamie, ale naciąga granice systemu, w ramach którego operuje, no bo ona jest jakby ręką tego systemu, zresztą bezlitosną, żeby otoczyć opieką te,
2987:  BFP - Kobiety, na których jej zależy, które traktuje jak córki.
2991:  BFP - Ale co do tego prowadzi?
2992:  BFP - To, że June mówi, żadna podręczna cię nie szanuje.
2997:  BFP - Szanujemy cię, bo się ciebie boimy, bo masz narzędzia opresji w swoich rękach.
3002:  BFP - ale kobieta, która myślała, że cię kocha, jak ciotkę, rzeczywiście jak ciotkę, jakbyś była jej rodziną, zdradziła cię w pięć minut, kiedy tylko miała okazję.
3013:  KMM - A ciotka Lydia odpowiada swoją narracją.
3016:  KMM - Odpowiada swoją narracją, w której mówię dodak, ale zgodnie z moim systemem etycznym, jakkolwiek by nie był on wypaczony z naszej perspektywy, ona chroni podręczne, a te, które idą za June Osborne, giną pod kołami pociągu.
3028:  KMM - Giną zastrzelone przez bezpiekę.
3030:  BFP - Dżun jeszcze wcześniej mówi, ty myślisz, że ty je chronisz, a ty je oddajesz ludziom, którzy je gwałcą, je łamią psychicznie i traumatyzują.
3039:  BFP - I wreszcie właśnie ta scena, o której mówisz.
3043:  BFP - Podparcie tej tezy, którą prezentuje, jakby pojawia się teza, jest antyteza, syntezą tego jest zobaczenie, jak na jej oczach ochroniarz zabija dwie podręczne, które ona miała pod swoimi skrzydłami, a dwie inne giną pod kołami pociągu.
3060:  BFP - Dlaczego?
3061:  BFP - Dlatego, że chciały wyrwać się z tego, w co chciała wrzucić się ciotka Lidia.
3066:  BFP - I to jest pewna zmiana w tej postaci, którą bardzo chwalę.
3069:  BFP - Bo to nie jest taka typowa zmiana, no to ja będę walczyć z systemem.
3072:  BFP - Nie.
3072:  BFP - To ja w ramach systemu przynajmniej zrealizuję swoją potrzebę, żeby rzeczywiście chronić te podręczne, które darzy jakimś uczuciem.
3081:  BFP - I to jest bardzo ciekawy kierunek dla tej postaci.
3084:  KMM - I taka interesująca relacja i napięcie, które się rodzi właśnie między tymi dwiema postaciami.
3089:  KMM - Z jednej strony Lidiu, a z drugiej strony June Osborne.
3092:  KMM - No jeżeli z ich perspektywy będzie fokalizowana, czyli prowadzona narracja w piątym sezonie, to I'm all in.
3098:  BFP - Ja myślę, że więcej będzie relacji między Lidią a Josephem Lawrencem, który ją…
3105:  BFP - Jakbyś to ładnie powiedział, reinstytuował, reinstytucjonalizował.
3109:  BFP - Tak, w obrębie systemu.
3110:  BFP - W obrębie systemu.
3111:  BFP - Przewrócił ją do funkcji ciotki razem ze wszystkimi jej prerogatywami.
3117:  BFP - I jakby to są takie dwie enigmy i dwie bardzo moralnie ambiwalentne postaci w tym momencie.
3123:  BFP - I to jest dla mnie fantastyczna przeciwwaga dla postaci June, która nie wydaje się moralnie ambiwalentna.
3130:  BFP - Ona wydaje się po prostu zła w dobrej sprawie.
3133:  BFP - A tamte dwie postacie wydają się
3137:  BFP - Dobre w złej sprawie.
3138:  BFP - Niezwykły jest ten kontrapunkt.
3141:  BFP - Naprawdę polecamy czwarty sezon Handmaid's Tale.
3144:  BFP - Ja się nie mogę do czegoś piątego i trochę to zajęło czasu, trochę było potknięć po drodze, ale niezwykłe jest to odbicie, o którym powiedziałem, które następuje od trzeciego odcinka czwartego sezonu, które sprawia, że nagle znowu sięgnął wyżyn pierwszego sezonu ten serial i ma coś nowego do zaoferowania, nowe rozdanie.
3165:  KMM - Tak, jeśli ktoś nie widział z Was Handmaid's Tale, to naprawdę teraz warto dla tych emocji, które są w czwartym sezonie, nawet jeżeli by to oznaczało, że przez kilka odcinków różnych sezonów trzeba się przeklikać i przewinąć, bo tak naprawdę fabuła w tym serialu nie ma aż takiego znaczenia.
3182:  KMM - To, co ma znaczenie, to relacje między postaciami, postaci z tym światem,
3187:  KMM - I ten przekaz polityczny, głęboki, ideologiczny, który z niego płynie, który nie jest prosty.
3193:  KMM - Nie jest serial, który da proste odpowiedzi na trudne pytania.
3197:  KMM - Nie, to jest serial, który da trudne odpowiedzi na najbardziej proste i podstawowe pytania.
3203:  BFP - Ładnie powiedziane.
3205:  BFP - Zachęcam Was do tego, żebyście sprawdzili inne analizy bez schematu, między nimi także te, które uprawiam z Krzysztofem.
3214:  BFP - Śledźcie bez schematu, subskrybujcie bez schematu, jeżeli już to robicie na YouTubie, to pamiętajcie, żeby kliknąć dzwoneczek.
3221:  KMM - Bezwzględnie.
3222:  BFP - A my, myślę, namówimy jak najszybciej Radka Pistolę do tego, żeby zrobić odcinek, który bardzo chcielibyśmy zrobić.
3227:  BFP - Ja się czuję dobrze ze sobą, chociaż jest to antychrześcijańskie, kiedy wymawiam tytuł tego odcinka, mianowicie, rzeczy, które robiłem w grach i wstydzę się do dzisiaj.
3239:  BFP - Ja wiem, że ty, podobnie jak Fred Waterford, powinieneś stanąć przed stosownym Trybunałem i pójść na potrójne dożywocie za to, co robiłeś w Simsach.
3250:  KMM - Będę się spowiadać i więcej nie grzeszyć.
