Krzysztof M. Maj vs. Dwie Lewe Ręce: Czy polską szkołę da się naprawić? (I uniwersytet też)
🔗 https://www.youtube.com/watch?v=UuqZSq7wIaw
JD (Jakub Dymek, Dwie Lewe Ręce)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

5:  MG - Dzień dobry, przy mikrofonie Jakub Dymek i Marcin Giełzak, a to jest podcast Dwie Lewe Ręce.
1458:  KMM - Nie ze wszystkim w takiej instytucji publicznej nie ma możliwości przewidzenia sytuacji kryzysowej, ale jeśli przygotujemy nauczyciela wyłącznie do tego, że sala siedzi cichutko, buzia w ciup, rączki w małdrzyk i słucha, a ewentualnie na przykład Jadzia powie dupa na lekcji, będzie trzeba na to zareagować, no to nauczyciel w ogóle nie jest przygotowany do rozwiązywania sytuacji kryzysowych.
1479:  KMM - A jeśli chodzi o ludzi, bo domyślam się do czego zmierza to pytanie też, którzy nie chcą się uczyć w ogóle i odmawiają tego całkowicie z pełną świadomością, to moja odpowiedź jest taka, że edukacja elementarna jest tym, czego potrzebuje państwo od obywatela.
1495:  KMM - Obywatel ma umieć opłacić podatki, liczyć, porozumieć się o i dobrze i skutecznie porozumieć się, żeby nie wywoływać problemów różnego rodzaju.
1503:  KMM - I to jest pakiet jego umiejętności podstawowych.
1507:  KMM - Jeżeli chodzi o wiedzę, to zapewne będziemy mówili o tym, że powinien się orientować, co to znaczy być obywatelem tego konkretnego kraju, w tym przypadku Polski, znać historię i tak dalej, i tak dalej.
1516:  KMM - To są rzeczy z perspektywy państwa ważne.
1519:  KMM - Natomiast z perspektywy państwa nie jest już istotna wiedza coraz bardziej akademicka, która zaczyna się od liceum, technikum czy studiów.
1526:  KMM - Więc ja bym luzował te rygory i obowiązki edukacyjne na poziomie tych wyższych.
1531:  KMM - Im wyżej, krótko mówiąc, idziemy w edukacji, tym powinna być mniejsza zachęta do tego, czy to wprost, czy nie wprost, żeby studiować.
1537:  KMM - Bo wydaje mi się, że za dużo spotkałem studentów, którzy powiedzieli, no...
1542:  KMM - Szedłem na studia po to, że w zasadzie muszę zabić jakoś czas, a poza tym mój pracodawca mi kazał.
1547:  KMM - I też zbyt dużo spotkałem ludzi, którzy powiedzieli, no poszedłem do liceum dlatego, że rodzice mi powiedzieli, że mnie szedł do technikum, bo no, co ja będę do zawodówki później, a tak to powinienem mieć wiedzę ogólną.
1557:  KMM - I takie rozmowy w polskich domach są.
1559:  KMM - I tu nie ma co się oszukiwać co do tego.
1561:  KMM - Więc myślę, że jeśli ktoś po prostu jest zmuszany do robienia czegoś wbrew sobie, no to
1566:  KMM - będzie bardziej skory w radykalnych przypadkach do agresji, czy też no po prostu trollowania tego całego procesu edukacyjnego.
1574:  JD - Powiedziałeś o tym, że szkoła ma pewne funkcje
1581:  JD - Państwo twórcze, tak to nazwijmy, czy inaczej, z persywy państwa szkoła ma pewne bardzo istotne zadania do wykonania, pozaedukacyjne, o charakterze formacyjnym, o charakterze obywatelskim itd.
1592:  JD - Chciałbym pociągnąć trochę ten wątek i zapytać Cię o kwestię równości i o szkołę i edukację jako miejsce równości.
1599:  JD - Bo ja się na tym nie znam, ale z tego co czytam, a czytam o tym coraz częściej, to wynika, że w Polsce ten system już się zaczął rozjeżdżać.
1606:  JD - Już mamy coraz więcej ośrodków, gdzie bogate dzieci uczą się, mówiąc kolokwialnie, na bycie dalej bogatymi dziećmi i na reprodukowanie swojego przywileju.
1618:  JD - w kolejnych generacjach, a ci, którzy mają gorsze szanse albo po prostu mieli pecha nie urodzić się w Warszawie, Trójmieście, Krakowie, Wrocławiu czy Poznaniu, mają te szanse ograniczone już na starcie.
1629:  JD - Słowem, że w Polsce, które było społeczeństwem w miarę bezklasowym, bo w miarę egalitarnym, egalitarnym w biedzie oczywiście, ale było nim przez bardzo wiele lat, zaczyna pojawiać się pewna reprodukcja elit poprzez szkołę, którą my znamy z Anglii, Francji, Stanów Zjednoczonych.
1647:  JD - Moje pytanie jest takie, czy ty to widzisz, a jeśli to widzisz, to czy jesteśmy w stanie w taki publicystyczny, choćby skrótowy sposób opowiedzieć o tym, jak temu zaradzić i zachować tę egalitarną funkcję edukacji, jaka w Polsce przez całe dziesięciolecia jednak była?
1662:  KMM - Przy całym z tym krytyzyzmie wobec polskiego systemu oświaty uważam, że jeden jego największy atut jest taki, że jest on, a raczej powinienem już powiedzieć był on dla wszystkich bezpłatny.
1674:  KMM - Problem zaczyna się wtedy, gdy te płatności zaczynają narastać.
1678:  KMM - To znaczy okazuje się, że do tego, żeby mieć wzorowe zachowanie trzeba najlepiej coś przynieść do szkoły i dobrze, żeby to był papier do ksero.
1685:  KMM - To jest jeszcze małe piwo, ale potem się okazuje, że żeby dobrze zdać maturę trzeba zainwestować w korepetycje, a potem się okazuje, że jeszcze do tego dochodzą różnice majątkowe i fajnie byłoby, żeby, naprawdę są te mądurki, ale zrobimy tak, żeby dzieciak się i tak wyróżniał na tle majątkowym względem innych.
1703:  KMM - Ja obserwowałem, szczerze powiedziawszy, jak ja się uczyłem w latach dziewięćdziesiątych, już takie różnice majątkowe były, to też na fali transformacji, wejścia do Unii Europejskiej i tak dalej, sporo ludzi się bogaciło i jeszcze więcej ludzi chciało bardzo wyraźnie dać temu znać i wyraz w tym, jak doposażali swoje pociechy idące do szkół.
1721:  KMM - Co jeszcze jesteśmy w stanie zrozumieć?
1722:  KMM - Problem zaczyna się wtedy, kiedy jest systemowe przyzwolenie na to, żeby nic nie robić z faktem wypączkowujących jak grzyby po deszczu szkół i uczelni prywatnych, które, zaznaczę wyraźnie, są dobre wtedy, kiedy są mniejszościową konkurencją i pokazują na przykład, no słuchajcie, da się realizować wytyczne chociażby Marii Montessori, robimy szkołę Montessori, proszę bardzo.
1745:  KMM - No dobrze, ale nie jest rozwiązaniem to, które jest obecnie, to znaczy, że większość szkół Montessori to są szkoły prywatne,
1751:  KMM - a mniejszość to są szkoły publiczne, to znaczy mam takie wrażenie, że od lat 80. do dzisiaj to już jest pół wieku, no nie za bardzo ten eksperyment się udał w tym znaczeniu, że szkoły publiczne przeżywają taką reformatorską stagnację, nazwijmy to, czy pedagogiczną stagnację, więc rosnące nakłady na szkolnictwo prywatne biorą się z tego, że bardzo często rodzice wychodzą z fatalnego założenia,
1773:  KMM - który jest prostym błędem uwydatnienia przypadkowego szczegółu, że skoro w szkole prywatnej są realizowane reformy, no to w takim razie przepiszę dziecko do szkoły prywatnej.
1783:  KMM - I potem ludzie mi w komentarzach na YouTubie piszą, no Krzysztof, szkolnictwo prywatne jest lepsze.
1787:  KMM - I ja dostaję szał.
1788:  KMM - Albo, że powinniśmy sprywatyzować oświatę i ja wtedy zaczynam rwać włosy z głowy.
1793:  KMM - Bo to absolutnie nie jest dobre rozwiązanie na żadnym poziomie, a jeżeli chcemy się przekonać jak bardzo złe to jest rozwiązanie, to nawet w szkolnictwie bezpłatnym, publicznym, wyższym w Polsce już wpływ korporacjonalistycznego kapitalizmu jest katastrofalny, właśnie między innymi jeżeli chodzi o mierzenie szkolnictwa.
1811:  KMM - Zawsze tu chodzi o mierzenie, tak nawiasem mówiąc, potencjału naukowego.
1815:  KMM - Tutaj chodziłoby oczywiście o mierzenie potencjału finansowego ludzi do tego, żeby mieć jak najlepsze właśnie wykształcenie i na jak najlepszą edukację.
1824:  KMM - Edukacja najlepsza, moim zdaniem, nie musi się wiązać z tym, że jest edukacją płatną i prywatną.
1830:  KMM - Ona może być bez żadnego problemu dostarczana publicznie, ale musimy teraz spojrzeć prawdzie w oczy i powiedzieć, że już nie jest.
1837:  KMM - To znaczy rynek korepetycji w Polsce jest gigantyczny.
1839:  KMM - Co drugi maturzysta praktycznie w tym momencie korzysta z korepetycji jawnie czy niejawnie.
1844:  KMM - No a równocześnie kim ja jestem, żeby mówić korepetytorom, że robią coś złego, skoro oni z kolei realizują kształcenie indywidualne, za którym ja jestem, całym sercem.
1854:  KMM - I ono jest diablo skuteczne.
1855:  KMM - Nagle się okazuje, że korepetytor jest w stanie w trzy miesiące przygotować do matury, a polska szkoła męczy się z tym trzy lata.
1862:  KMM - No i wiesz, i potem masz edukację domową z kolei.
1865:  KMM - Kolejny sektor, który się teraz bardzo rozwija, ostatnim razem jak sprawdzałem statystyki 60 tysięcy uczniów w całej Polsce, to było parę miesięcy temu sprawdzane, więc niech ktoś mnie zweryfikuje w razie czego w komentarzach, uczęszczało do tej tak zwanej edukacji chmurowej, mówię tak zwanej, ponieważ już została ona zmonopolizowana przez firmę jaką jest Szkła w Chmurze.
1885:  KMM - A mamy przecież edukację domową, która jest realizowana przez bardzo wiele różnych podmiotów, fundacji i tak dalej.
1891:  KMM - Czasami jest samoorganizowana przez różnego rodzaju społeczności, a zauważcie, że już jest taki element, to jest firma i już używamy słowa szkoła w chmurze, tak jak używamy marki Adidas na nazwanie rodzaju butów.
1902:  KMM - Co jest niebezpieczne, ponieważ za moment nauczyciele powiedzą, proszę bardzo, kolejni prywaciarze, tutaj szkoła w chmurze, kupicie sobie edukację zdalną.
1911:  KMM - A tymczasem znowu nie wyciągamy wniosków z tego, że to jest już trzecia instytucja po korepetytorach i po szkołach demokratycznych, szkoła Montessori i wszystkich eksperymentalnych, która wprowadza łatwo do wprowadzenia innowację pedagogiczną, którą mogły wprowadzić szkoły publiczne, a tego nie zrobiły.
1928:  KMM - Więc w tym momencie jesteśmy na takiej trajektorii, jeszcze biorąc pod uwagę zmiany i przewagę pierwiastka liberalnego w obecnej opozycji rządzącej, znaczy podejrzewam, że rządzącej, zobaczymy,
1939:  KMM - że będziemy iść coraz bardziej w tym kierunku właśnie tej edukacji, w której politycy nie widzą problemów, ponieważ przecież ich dziecko chodzi do prywatnego przedszkola.
1948:  MG - To porozmawiajmy jeszcze o zmianach instytucjonalnych.
1951:  MG - Nasi sąsiedzi zza zachodniej Miedzy, mam tu oczywiście na myśli państwo niemieckie, byli bardzo uparci i są uparci do tej pory, że nie wszyscy muszą iść na studia.
1962:  MG - Mimo to ciężko powiedzieć, aby Niemcy byli narodem tak przeciętnie gorzej wykształconym od naszego, albo żeby im gorzej szło ze zdobywaniem nagród Nobla, tworzeniem innowacji do przemysłu, a i w humanistyce to nie ma za bardzo czego z czym porównywać.
1975:  MG - To dla nas byłoby...
1976:  MG - prestiżem wykładać na Heidelbergu, a nie dla Niemca wykładać na UJ.
1981:  MG - Co oni robią?
1982:  MG - Oni mają zawodówki i w te zawodówki dużo inwestują i u nich skończyć dobrą zawodówkę to też jest prestiż.
1989:  MG - Czy ty widziałbyś u nas szansę na to, żeby przekonać polskie społeczeństwo do tego, że szkoła zawodowa to nie jest szkoła dla niezdolnych, to jest szkoła zdolnych na obszarach innych aniżeli literatura, filozofia, chemia, fizyka,
2003:  MG - I czy widziałbyś sensowność w tym, żebyśmy w Polsce zaczęli doinwestowywać ten obszar?
2009:  KMM - No i ja mogę tylko przyklasnąć temu, bo zniszczenie zawodówek wynikało z różnego rodzaju klasowych pretensji do tego, żeby być inteligentem i że w zasadzie postęp Polski będzie wtedy, kiedy wszyscy nimi zostaniemy.
2024:  KMM - To jest nieprawda.
2025:  KMM - To jest krzywdzenie ludzi, którzy są specjalistami, świetnymi fachowcami w innych dziedzinach.
2030:  KMM - Zresztą w fachowie jest to nieprzypadkowe słowo właśnie od niemieckiego i od fachszule, prawda?
2035:  KMM - Więc bycie fachowym to jest coś, co dla mnie jest o wiele bardziej istotne od bycia intelektualistą, ponieważ jeżeli ja mam problem w domu, to wzywam hydraulika i mój problem hydraulik rozwiąże w sposób, którego ja nie rozwiążę i z bardzo prostego powodu, to znaczy ja nie umiem sobie naprawić rury, więc co mi z moich wszystkich książek, które mam zgromadzone, jak mnie zaleje?
2055:  KMM - Ja wiem, że to jest może prostacki przykład.
2057:  MG - Wejdę Ci w słowo, ale wiesz co powiedział Stephen Fry jeszcze bardziej prostacko?
2061:  MG - Większość intelektualistów nie wie, w którą stronę usiąść na muszli klasę.
2064:  MG - Ależ oczywiście tak.
2066:  MG - I stąd hemoroidy.
2067:  MG - Oczywiście.
2067:  KMM - W każdym razie myślę sobie, że to podejście do szkół zawodowych, które było też negatywne, bierze się znowu z tego, że w szkole mamy tą etykę akademicką.
2077:  KMM - Cały czas kształcenia akademickiego jest bardzo niewiele takich przedmiotów, które byśmy nazwali właśnie fachowymi, czy przygotowującymi do myślenia o konkretnym zawodzie.
2085:  KMM - No bo co mamy?
2086:  KMM - Technikę jakąś, czy jakkolwiek to się teraz nazywa,
2090:  KMM - może wychowanie sportowe, które powinno być wychowaniem fizycznym, ale jest wychowaniem sportowym, ale nie wątpliwie przygotowuje do bycia sportowcem, nie przygotowuje w żadnym stopniu do bywania o tężyznę fizyczną,
2103:  KMM - powoli zaczynam mieć problemy i to jest straszne.
2106:  KMM - Nie powinienem mieć takich problemów.
2107:  KMM - Zdecydowanie powinniśmy mieć więcej, przynajmniej tak, wiecie, jak patrzymy na wycinek społeczeństwa, że tyle osób, ile pracuje w zawodach, czy fizycznych, czy nie intelektualistycznych, nie abstrakcyjnych, tyle powinno mieć swojej reprezentacji w szkole.
2122:  KMM - Dokładnie to samo swoją drogą mówię o kulturze polskiej, to znaczy kultura i literatura nie powinna być elitystyczna, tylko powinna odzwierciedlać całe spektrum, w
2131:  KMM - Wszystkich form literackich, kulturalnych, z jakimi mamy do czynienia.
2135:  KMM - Szkoła za każdym razem w tym wymiarze popełnia ten sam błąd.
2138:  KMM - Jest jedna rzecz natomiast w szkolnictwie niemieckim, która jest jeszcze bardziej radykalna.
2142:  KMM - Pamiętam jak mój znajomy, który teraz pracuje w THQ Nordic w Austrii,
2146:  KMM - firma gamedevowa, mówił mi, że on nie może iść na doktorat, ponieważ jeszcze nie znalazł pracodawcy, który mu go opłaci.
2153:  KMM - Ja mówię, Sven, o czym ty mówisz?
2155:  KMM - Mówi, no tak, no tutaj, żebyś poszedł na doktorat, nawet humanistyczny, musisz mieć umowę z pracodawcą, który będzie to współfinansował.
2162:  KMM - No i zauważcie, że jak gdyby wprowadzić tego rodzaju wytyczne w Polsce, to nagle liczba doktorów nauk humanistycznych, która jest, no delikatnie rzecz ujmując, dość spora i
2172:  KMM - jeszcze delikatniej rzecz ujmując, zdecydowanie zbyt duża względem naszych zapotrzebowań, radykalnie by się zmniejszyła, no bo instytucji kultury w Polsce, które by finansowały doktoraty jest bardzo niewiele, ale zauważcie, że wtedy faktycznie być może finansowalibyśmy te doktoraty, które są najpilniej potrzebne.
2190:  KMM - A ten system oczywiście ma swoje wady naturalnie, bo jest system także kraju bogatego, który sobie może na to pozwolić i który może zaufać biznesowi czy całej tej otoczce, nazwijmy to, partnerstwa publiczno-prywatnego, że faktycznie będzie w takim kofinansowaniu partycypować.
2207:  KMM - Natomiast w Polsce sobie tego kompletnie nie wyobrażam.
2210:  KMM - Nie mamy takiej tradycji też, jak zawsze powtarzam zwolennikom szkolnictwa prywatnego, jak w Stanach, że bogaty senator, który skończy Harvarda przekazuje donacje na rzecz Harvarda.
2220:  KMM - nikt nie przekazuje żadnych doracji, nie przekazywałby w Polsce na rzecz uniwersytetów, które kończy, bo do tego trzeba byłoby je szanować.
2226:  KMM - A ciężko jest szanować instytucję, która stosuje takie narzędzia opresyjne cały czas i nie buduje społeczności, która ma poczucie przynależności do tej wspólnoty.
2235:  KMM - Konsekwencje tego są bardzo daleko idące.
2238:  KMM - Ale najbardziej mnie chyba boli to, że w Polsce cały czas, mimo że jest 2023 rok, ja spotykam ludzi, którzy no chociażby, nie wiem,
2246:  KMM - są świetnymi stolarzami, ale mają takie poczucie niższości względem kogoś, kto chociażby ma doktorat.
2251:  KMM - Dla mnie to jest przerażające.
2253:  JD - Chociaż zarabiają więcej.
2254:  JD - Ja myślę, że już coraz rzadziej mają, ja myślę, że już coraz rzadziej mają, bo po prostu widzą swój stan konta pod koniec miesiąca i zaczynają mieć...
2265:  JD - No wiesz, żyjemy w społeczeństwie kapitalistycznym.
2268:  MG - Żyjemy w określonej rzeczywistości.
2271:  JD - Nie, nie, nie, ja mam rówieśników, którzy zostali fachowcami w swoich dalece nieakademickich dziedzinach, zajmują się, wiesz, energetyką, budownictwem i naprawdę patrzą na nas, którzy tam się sielili na te wyższe studia dzisiaj z politowaniem.
2286:  JD - Znaczy mam nadzieję, że nie z politowaniem, bo wciąż coś nas łączy, wiesz, pamięć lokalna, sport, sympatia.
2291:  JD - Wspólnie spędzony czas, więc mam nadzieję, że przynajmniej na mnie nie patrzą z takim politowaniem, ale rozumiesz ten obrazek, nie?
2296:  JD - Gdy dzisiaj w Polsce po 20 latach spotyka się dwóch rówieśników i jeden poszedł w taką twardą ścieżkę techniczną, nauczył się zawodu w jakiejś rozwijającej się branży, która wymaga konkretnych kompetencji.
2309:  JD - Niech to będzie powiedzmy ciepłownictwo.
2311:  JD - No i jego kolega Pięknoduch, który poszedł sobie na antropologię kultury.
2316:  JD - teatrologię, bibliotekoznawstwo i zrobił doktorat, ba, może nawet habilitację zrobił i koniec końców naprawdę nie tylko nie cieszy się społecznym prestiżem, bo umówmy się, sam mogę z własnego doświadczenia to powiedzieć, kulturoznawcy nie cieszą się w Polsce wielkim prestiżem.
2332:  JD - Ani się cieszą prestiżem, ani nie mogą sobie tego tytułu doktor, jak w Niemczech, wypisać na wizytówce na drzwiach, bo pewnie wszyscy to wiecie, że w Niemczech na formularzu pocztowym i na dowodzie osobistym i na plakietce na drzwiach jest napisane Herr Doktor, jak się ów doktorat ma, ani też nie mogą pocieszyć się no właśnie tym przelewem przychodzącym na koniec miesiąca.
2352:  JD - Ale to była dygresja.
2353:  JD - Moje pytanie jest na całe szczęście krótsze.
2355:  JD - Powiedziałeś, że tych doktorów nauk humanistycznych w Polsce produkuje się dużo więcej...
2360:  JD - nieźli wskazywałyby na to potrzeby, kto miałby owe potrzeby określać i wyznaczać?
2364:  JD - Bo gdyby miał to robić w Polsce tak zwany wolny rynek albo pracodawca, to ja bym się prawdę mówiąc tego śmiertelnie bał.
2371:  JD - Bo z perspektywy globalnego kapitału, to edukacja wyższa w Polsce powinna wyglądać tak, że za publiczne pieniądze uczymy ludzi angielskiego, księgowości, programowania, płaci za to państwo,
2385:  JD - w postaci podatków, subwencji i tak dalej, doszkala tych ludzi, a potem od razu ich wysyła do wielkich korporacji, w których ci ludzie są gotowym, karnym, podporządkowanym, wielce funkcjonalnym pracownikiem i jeszcze najlepiej, żeby ta firma sobie w tej Polsce tych podatków nie płaciła.
2402:  JD - Ja rozumiem, na czym polega problem, że polskie społeczeństwo jest zbyt akademickie, mówiąc kolokwialnie, to rozumiem, że mamy być może nadpodarz,
2413:  JD - antropolożek kultury, kulturoznawców właśnie i filologów języków orientalnych.
2417:  JD - Być może to rozumiem, ale z drugiej strony powtórzę.
2420:  JD - Znaczy wizja tego, jak powinna wyglądać edukacja, gdy zapytać o to biznes, to jest fabryka karnych pracowników, wykształconych ponad swoje pensje, bardzo kompetentnych, ale bardzo też po prostu użytecznych, którym nie w głowie jakieś fantazje właśnie, żeby tutaj książki czytać, dokształcać się, poszerzać horyzonty,
2440:  JD - tylko żeby poznali najlepiej trzy języki, żeby się odnaleźli w globalnej korporacji, a używali tych języków między ósmą a szesnastą do wypełnienia kolumienek w Excelu.
2450:  KMM - Pamiętam, jak siedziałem razem z mamą na inauguracji roku akademickiego na Akademii Górniczo-Hutniczej w Krakowie.
2455:  KMM - Zacząłem jak Marcin, zacząłem od anegdoty.
2458:  KMM - I słyszeliśmy Janusza Filipiaka, który niestety wtedy był w radzie mojej uczelni.
2467:  KMM - I powiedział dokładnie to, co ty Jakub teraz, że właśnie tego potrzebuje biznes, w tym przypadku Comarch.
2472:  KMM - I wynikało z jego wypowiedzi, którą miał uczelność wygłosić na inauguracji roku akademickiego, że w zasadzie uczelnia jest mu potrzebna jako taki łatwy zasobnik kapitału ludzkiego, fabryka inżynierów, innymi słowy.
2488:  KMM - Na szczęście potem przemawiała moja mama, ale powiem w ten sposób, że ja się tego strasznie boję i mam wrażenie, że właśnie w tym kierunku uniwersytety zmierzają, bo w Polsce mamy tych uczelni ponad 400 w tej chwili.
2502:  KMM - Więc mówiąc o nadpodarzy pracowników naukowych, mam na myśli, że ten rynek akademicki zareagował już dawno, tworząc szkoły, które były...
2513:  KMM - I na początku to była jakaś filia AGH w Nowej Soli, autentycznie taka funkcjonowała swoją drogą, ale potem te szkoły zaczęły zdobywać uprawnienia i nazwały się wyższymi szkołami.
2526:  KMM - To już nie była filia, a potem nazwały się Akademią.
2529:  KMM - A teraz Akademia Ignatianu nazywa się już Uniwersytetem.
2532:  KMM - A to oznacza, że może otworzyć kierunek medyczny na przykład.
2535:  KMM - Na co, wiesz, Naczelna Izba Lekarska mówi, my nie potrzebujemy w tym momencie więcej lekarzy, my potrzebujemy wykwalifikowanych lekarzy.
2543:  KMM - Nie, nie, my nie chcemy lekarzy z nowo utworzonego kierunku w Płocku.
2547:  KMM - My chcemy lekarzy z najlepszych możliwych uczelni, którzy mają praktykę przy łóżkach,
2553:  KMM - I w momencie, w którym Naczelnia Izba Lekarska grzmi, że jest za dużo kierunku medycznych, to znaczy, że coś się poszło bardzo nie tak.
2560:  KMM - Więc myślę sobie, że to już od dawna jest w pewien sposób sterowane niestety przez środowisko akademickie, że tworzymy taki wyrób naukopodobny w Polsce.
2571:  KMM - A tworzymy go dlatego, że jest społeczne zapotrzebowanie.
2573:  KMM - Będę się wciąż kłócił, że wiesz, nawet przypuszczam w gronie twoich znajomych pracujących w ciepłownicy i tak dalej, tam jednak są inżynierowie.
2581:  KMM - Firmy nie dopuszczają wciąż w Polsce do pracy ludzi, którzy w ogóle nie mają żadnych studiów ukończonych, ale wiesz, problem zaczyna się wtedy, kiedy ty możesz w realiach naszego rynku zrobić sobie kurs trzymiesięczny w Stanfordzie i będziesz mieć takie samo logo na LinkedInie, jak po pięciu latach studiów w Collegium Medicum.
2599:  KMM - I z perspektywy, niestety, biznesu bardzo często jest to wystarczające.
2603:  KMM - A to z kolei prowadzi do tego, że tworzy się oferta edukacyjna na takiej zasadzie, że to my rozumiemy, że macie potrzebę certyfikatu i dyplomu, my to wam damy, to teraz, żebyście mieli wygodniej, żebyście nie musieli sobie jechać do innej uczelni, albo wariant mój, bardziej moim zdaniem optymalny ekonomicznie, uczęszczać na zajęcia hybrydowo, jak nie możecie sobie pozwolić na to, żeby płacić 3 tysiące za czynsz, nie oszukujmy się, 90% młodzi ludzi nie może sobie na to
2629:  KMM - pozwolić bez pracowania, no to w takiej sytuacji wzięcie zajęć w lokalnej wiosce nawet, 3 km od swojego domu jest oczywiście o wiele bardziej opłacalne.
2641:  KMM - Tylko, że to zapotrzebowanie, będę się uparcie kłócił, jest sztuczne.
2644:  KMM - Bo naprawdę, jeżeli potrzebujemy pozyskać wiedzę akademicką, o wiele lepsze z perspektywy o
2649:  KMM - mieliśmy mówić o rozwiązaniach też państwowych, z perspektywy Ministerstwa Edukacji byłoby stworzenie otwartej platformy edukacyjnej na wzorem Khan Academy, tylko że bezpłatnej, gdzie mogliby naukowcy, nauczyciele wrzucać swoje wykłady jako podcasty, więc wrzucać tę wiedzę sprawdzoną, zweryfikowaną, teoretyczną, recenzowane to musiałoby być stosownie przez środowisko, nie tak jak podręczniki, nawiasem mówiąc, gdzie mój kolega katedralny
2674:  KMM - recenzuje negatywnie podręcznik Hitu Rożkowskiego, a on i tak przechodzi, bo te recenzje są niejawne na przykład.
2680:  KMM - Więc to musiało być w atmosferze jawnej, żeby rzeczywiście niwelować te różnice ekonomiczne, które są.
2686:  KMM - Bo obiektywnie można byłoby argumentować na rzecz filii uczelni, no dobrze Krzysztof, to mówisz z perspektywy Krakusa, który siedzi w Krakowie i ma 15 pipsylionów uniwersytetów wokół siebie, no co z człowiekiem, który chce przyjechać do tego Krakowa i dostaje w nos czynszem 3,5 tysiąca.
2703:  KMM - To jest obiektywny problem, który trzeba rozstrzygnąć, ale nie uważam, że rozwiązaniem tego problemu jest budowanie uniwersytetu w miejscowości tego człowieka.
2711:  KMM - To jest absurdalne rozwiązanie tego problemu.
2713:  JD - Ale budowanie akademików w dużych ośrodkach jednak już tak.
2717:  KMM - A budowanie akademików w dużych ośrodkach jest bezwzględnie konieczne.
2720:  KMM - Co więcej, absolutnie nie uważam, że te akademiki powinny być tak płatne, jak są płatne.
2724:  KMM - Są koszmarnie drogie w stosunku do warunków, które oferują.
2727:  KMM - Studenci nie mają tam połączenia z Wi-Fi bardzo często, co jest abstrakcją.
2731:  KMM - A jeżeli mają, to są poblokowane strony w stylu Sci-Hub, służące do pozyskiwania prac naukowych i tak dalej.
2737:  KMM - Więc są problemy na problemach.
2740:  KMM - I jeszcze do tego wszystkiego bardzo często spotykam się z profesorami, którzy potrafią powiedzieć wprost, że studia są od studiowania.
2746:  KMM - Jak bezczelnym trzeba być człowiekiem, żeby powiedzieć studia są od studiowania do kogoś, kto ma alternatywę, albo płacisz 900 czy 700 złotych za akademik, albo płacisz 3,5 tysiąca za najem i co on ma, skąd ma te pieniądze wziąć?
2759:  KMM - No oczywiście wiemy skąd ma te pieniądze wziąć, od bogatych rodziców, bo edukacja ma być dla bogatych ludzi.
2764:  KMM - Więc te mechanizmy takiego pełzającego elitaryzmu ekonomicznego już mamy, tylko że one są ukryte i wydaje mi się, że właśnie to powoływanie uczelni w mniejszych miejscowościach sztuczne nie jest wykorzystaniem istniejącego już kapitału naukowego,
2781:  KMM - I jest niedźwiedzią przysługą i wylewaniem dziecka z kąpielą co najmniej.
2785:  KMM - Więc wiesz, 400 uczelni w Polsce.
2789:  KMM - Ciekaw jestem, czy ktoś potrafiłby wymienić chociażby 20 to raz, a potem bym był ciekawy, jakie by uczelnie wymienił z Wielkiej Brytanii, z Francji czy ze Stanów Zjednoczonych.
2798:  KMM - To jest bardzo dobry test pokazując, czy faktycznie potrzebujemy 400 tego rodzaju uczelni.
2803:  KMM - Szkół wyższych.
2804:  MG - Skoro przeszliśmy do tematu uczelni, to w ramach programu obowiązkowego musi paść to pytanie.
2811:  MG - To jest kwestia, która wszystkich moich znajomych, którzy pracują na uczelniach, zamienia w działa na warony.
2815:  MG - Mianowicie problem punktozy.
2818:  MG - Z jednej strony łatwo się z tego śmiać.
2820:  MG - prawda?
2821:  MG - Instytut Teologiczny Imienia Pustynnego Demona dostaje tyle punktów co Nature, no i możemy to tylko zdyskontować ironicznym uśmiechem, a z drugiej strony jakaś potrzeba zmierzenia na ile sobie nasz akademik radzi i jakaś potrzeba zagonienia go do pracy, no bo w Polsce jest tak, że jak już ktoś zostanie samodzielnym pracownikiem naukowym, to jest koniec, tak?
2844:  MG - On już prawdopodobnie do końca życia tylko będzie się podpisywał pod artykułami swoich podopiecznych,
2849:  MG - Już nic za szczególnego nie popełni.
2851:  MG - Jak pomiędzy tymi dwiema absurdalnymi skrajnościami znaleźć jakiś rozsądny punkt równowagi?
2859:  MG - No bo zakładam, że jakoś sobie ci Niemcy, Francuzi, Anglicy i inni radzą z tym problemem, a my cały czas nie możemy.
2867:  KMM - W 2012 roku w San Francisco spotkało się Towarzystwo Biologów Molekularnych i sformułowało deklarację DORA, której przeczytania zachęcam wszystkich, której sam jestem kontrasygnatariuszem, bo każdy może się tam dopisać.
2881:  KMM - Deklaracja ta została powołana celem odkłamania
2885:  KMM - obrzydliwego fałszu, który jest udziałem film w rodzaju Thomson Reuters wykupiony przez Clarivate i tak dalej, dużego kapitału, mówiąc duży kapitał, mam na myśli kapitał, który ma przychody, przychód netto konkretnie, większy niż, przepraszam, dochód netto, większy niż Google i Amazon i Apple, i BP.
2909:  KMM - Więc jeżeli ktoś protestuje przeciwko BP, Google'owi, Amazonowi, zachęcam do protestowania przeciwko Elsevierowi, korporacji Clarivate, z tego prostego powodu, że ona wykorzystuje niewolniczo od lat naukowców do tego, żeby publikować wyniki badań.
