ESKAPIZM - ucieczka od codzienności! Synestezje - panel dyskusyjny Krzysztof Maj, Bez/Schematu i JA!
🔗 https://www.youtube.com/watch?v=0zVqMH05SfU
KMM (Krzysztof M. Maj)
PW (Przemysław Wideł)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  BFP - Patrońszczyzna.
1361:  S09 - Ale no właśnie, jeżeli byłoby to na przykład tego typu podejście, tak jak na przykład ty miałeś ten pusem i wpuszczy, dobra, to będziecie teraz czytać taką fajną książkę, przeczytacie to na przykład, będziemy dyskutować na temat po prostu i tak dalej, na przykład, nie wiem, lekcja praktyczna, że się przez pół godziny kłócisz na przykład jakiś letan z nauczycielem, co jest rozwijające, bo cię uczy dyskutowania, uczy cię myślenia, dobierania argumentów.
1381:  S09 - i jest dużo bardziej rozwijająca niż na przykład to, że właśnie musisz pamiętać kolor oczu, jakie miała Olenka Kmicica zobaczyła, czy coś takiego.
1388:  S09 - No to nie ma czasu, matura.
1390:  S09 - To właśnie jest kwestia nie tekstu, tylko dobierania jakby metody do przekazywania treści o nich, albo właśnie nauczania w szkole.
1397:  S09 - Bo to też mam wrażenie, że to jest chyba podejście, które ma nauczyciel.
1400:  KMM - No tak no, pisać metodę indukcyjną, a nie dedukcyjną, a w testach wszystkich dominują dedukcyjne, niestety.
1406:  KMM - Tak zwana metoda projektowa właśnie polega na tym, że no trochę tak jakbyśmy teraz mieli warsztat, nie?
1411:  KMM - Ja tam wstrzykiwałem trochę teorii, ale dla mnie idea warsztatu jakiegokolwiek czy szkolenia polega na tym, że my się spotykamy, coś robimy i coś z tego wyniknie.
1418:  KMM - Ja bym powiedział, co z tego wyniknie.
1420:  KMM - A prawda jest taka, że ja na przykład jak piszę sylabus na kurs akademicki, ja muszę powiedzieć, dosłownie odpowiedzieć na następujące pytania.
1427:  KMM - Student wie, student rozumie.
1431:  KMM - Ja nie wiem, co student wie i co student rozumie.
1434:  KMM - To samo jest zresztą w szkole.
1435:  KMM - Student też nie wie.
1437:  KMM - Nikt nic nie wie.
1438:  KMM - Nie wiemy, po co tu jesteśmy.
1439:  KMM - I dobrze, właśnie bardzo dobrze.
1441:  KMM - To ma być bezużyteczne.
1442:  KMM - Właśnie na tym rzecz polega, że my zapomnieliśmy, że sztuka jest po nic.
1446:  KMM - Ona jest po to, żeby wywołać u nas emocje, a nie ma mieć jakiegoś celu.
1450:  KMM - Że o, musimy za trzy tygodnie wiedzieć wszystko na temat Sienkiewicza.
1454:  KMM - Ja mógłbym w ten sposób bardzo łatwo rozpisać egzamin z Tolkiena,
1457:  KMM - i dość absolutne.
1459:  KMM - Nie wszyscy.
1460:  KMM - Nie wszyscy.
1462:  S09 - A propos jeszcze, wcześniej było powiedziane, że szkoła może zniszczyć każdą książkę albo każde medium ogólnie.
1469:  S09 - Miałam taką sytuację, że kiedyś z własnej woli sięgnęłam po zbrodnię i karę Dostojewskiego.
1475:  S09 - i miałam ogromne doświadczenie z kapizmem właśnie w świat emocji bohatera.
1482:  S09 - Tu nie było w świat przedstawiony jako fizyczne budynki, tylko chodziło właśnie o te bardzo obce i dziwne emocje, które on przeżywał.
1490:  S09 - I to był świetny czas dla mnie czytanie tej książki.
1493:  S09 - Nie wiedziałam, kiedy mi leciały godziny i wtedy, kiedy byłam tak mniej więcej dwóch trzecich, może w połowie, dostałam maila ze szkoły, że za dwa tygodnie muszę mieć to przeczytane.
1503:  S09 - I gdybym nie dostała tego maila, to bym przeczytała to i pamiętała wszystko z tego, ale dostałam i mi to całkowicie popsuło to.
1509:  BFP - A tak to nie wiesz, że ubił staruszkę.
1512:  S05 - No właśnie.
1513:  S05 - Nie spoileruj.
1514:  S06 - To są książki.
1519:  BFP - To ciekawe, bo ja miałem tak samo, u mnie, ja naprawdę nienawidziłem czytać lektur szkolnych do trzeciej liceum, do drugiej, trzeciej liceum.
1527:  BFP - Czyli do końca.
1527:  BFP - Naprawdę, niemal do samego końca, naprawdę przez te kilkanaście lat się męczyłem.
1535:  BFP - I wszystko dla mnie było przyjemne, co było spin-offem.
1539:  BFP - Jak był, na przykład pojawił się Joseph Conrad, Junro Ciemności i ktoś powiedział, a możecie sobie też obejrzeć Czas Apokalipsy.
1545:  BFP - Możemy?
1546:  BFP - Nie musimy?
1547:  BFP - Obejrzałem i myślę, fuck, to jest to.
1550:  BFP - I tak samo były opowiadania obozowe,
1555:  BFP - okresu wojennego i tak na przykład poleciałem gdzieś tam do Herlinga Grudzińskiego do rozmów z Katem i to nagle zobaczyłem literaturę wtedy, dopiero w trzecim liceum.
1565:  BFP - Jak sobie przeskoczyłem z tego, co miałem przeczytać, to nagle czymś byłem zafascynowany.
1570:  KMM - Ja to nawet na studiach praktykowałem, jak miałem listę lektur obowiązkowych, to ja je ignorowałem, czytałem wszystkie nadobowiązkowe wpierw i one były fajniejsze, a potem czytałem całą resztę, która już mnie nudziła ekstremalnie.
1582:  KMM - I swego drogu też miałem wrażenie i to wrażenie się utrzymuje we mnie nieustannie, że ludzie, którzy układają takie listy,
1589:  KMM - Zaczynają za bardzo traktować bułkę przez bibułkę i myśleć sobie o tym, że no tak, no dobrze, to teraz musimy wydestylować, jakie są obiektywne zestawy cech, które czynią coś wybitnym i w efekcie wybierają rzeczy, które są bardzo często artystycznie przeciętne albo tematycznie już nieadekwatne do naszej rzeczywistości.
1607:  KMM - No i też jest drugi problem, to znaczy ile osób, tyle punktów widzenia, więc...
1611:  DS - I tyle gustów, no bo to jest też czynnik, że po prostu może ci nie podejść taka lektura, bo każdy z nas lubi książki, które są jakiegoś rodzaju, ale musimy czytać książki, które są... Potęga Krzysztofa.
1623:  BFP - Przyszliśmy gadać o skakpić, my i tak rozmawiamy o podstawie programu.
1628:  BFP - Ale śpiewane dzisiaj nie było.
1630:  KMM - To było pytanie z publiczności.
1634:  KMM - Ale z drugiej strony, z tym gustem, to też jest ciekawa kwestia, bo zauważcie, że my to sobie sami robimy, że ktoś powie, że lubi jakąś muzykę i ktoś powie, że ty się w ogóle nie znasz na muzyce, ale to jest wybitne.
1646:  KMM - Albo powiemy sobie, że powiedzieliśmy na jakimś filmie, ale na co ty chodzisz do kina?
1650:  KMM - Więc cały czas myślimy w taki sposób, że ustawiamy sobie różnego rodzaju kanony, a dla mnie kanon jest przeciwieństwem eskapizmu i imersji.
1658:  KMM - Po prostu.
1659:  DS - Dobra, ale są pewne książki, które dadzą ci eskapizm, są eskapistyczne dla ciebie, a są takie, które nie są.
1665:  DS - I które są, a które nie są?
1666:  KMM - Jakbyś to miał... U mnie jest prawa prosta, to znaczy, ja pamiętam, to brzmi, że zabawna jest historia, ale to nie będzie zabawna historia.
1674:  DS - Dla ciebie nie są eskapistyczne, kiczowe rzeczy, które tyczą się fantastyki.
1678:  KMM - Tak, nie znoszę kiczowej fantastyki, bo w latach 90. była tylko kiczowa fantastyka i ja czekałem, aż wreszcie będzie porządna.
1684:  KMM - Zobaczyłem grę o Tron i sobie pomyślałem, tak, wreszcie się wszystko zmienia.
1688:  KMM - Potem Amazon i Netflix.
1690:  KMM - Natomiast druga rzecz, którą miałem, to ja pamiętam niestety Kraków przed dołączeniem Polski do Unii Europejskiej.
1696:  KMM - Pamiętam brud, pamiętam szczyny, pamiętam smród wszędzie.
1700:  KMM - I wtedy była imersja.
1702:  KMM - Tak, tak.
1703:  KMM - Obrzydliwe rzeczy.
1704:  KMM - I teraz jak ktoś mi mówi, Krzysztof, to jest taka awangardowa powieść, poczytaj się.
1707:  KMM - więcej o PRL-u.
1710:  KMM - Nie, sorry.
1711:  KMM - Znaczy mnie to ani nie bawi, ani nie cieszy.
1713:  KMM - Nie chcę czytać już o takiej Polsce.
1715:  KMM - Nie chcę widzieć filmów o problemach w Polsce, bo mogę sobie odpalić wiadomości i dostanę destylat.
1722:  KMM - No, nie te.
1724:  KMM - Chociaż teraz, no...
1725:  KMM - W każdym razie, problem polega na tym, że ja zawsze nie mam imersji wtedy, kiedy jestem w tej rzeczywistości.
1730:  KMM - Znaczy musi być naprawdę wybitny pisarz, ale to ekstremalnie wybitny, żeby napisał coś takiego, żeby mnie to przyciągnęło.
1737:  KMM - I miałem tak parę razy w życiu.
1739:  KMM - Pamiętam, że jednym z takich pisarzy był John Crowley, który napisał na przykład teatralogię Egipt.
1744:  KMM - To nie jest w żadnym razie fantazy, to jest raczej realizm fantastyczny, trochę tak jak Gabriel Garcia Marquez.
1750:  KMM - I...
1751:  KMM - Albo Gormenga z Merwina Pika.
1752:  KMM - I to jest osadzone w naszej rzeczywistości, ale ta proza jest tak tajemnicza, styl jest tak niesamowity i tematyka, jaka tam jest podejmowana jest tak nęcąca.
1760:  KMM - Na przykład jakieś wątki alchemiczne i tak dalej, to są w naszej rzeczywistości oczywiście historyczne, ale to jest tak zrobione, tak świetnie zrobione, że ja jestem przyszpilony do stroni z książki.
1769:  KMM - I tak mi się zdarzało rzeczywiście, więc to jest chyba mój problem, że ja łyknę fantasy, nawet jeżeli będzie napisane przeciętnie, bo właśnie będzie tam ten aspekt świata jakiegoś wykreowanego i to dla mnie było zawsze ważne.
1781:  KMM - Natomiast nie łyknę, jeżeli tego świata nie będzie.
1783:  KMM - To też się wiąże z ograniczeniami poznawczymi.
1786:  KMM - Mianowicie ja na przykład jak czytam książkę, ja nigdy nie widzę twarzy postaci.
1789:  KMM - Nigdy.
1790:  KMM - Może mi ktoś opisać tę postać na dziesiątą stronę, ja tej twarzy nie będę widział.
1794:  KMM - Ale zawsze widzę obrazy świata.
1796:  KMM - Więc to też trzeba na to patrzeć, bo są ludzie, którzy na przykład właśnie bardziej się zwiążą z jakąś postacią, ale równocześnie nie mają problemu z rozpoznawaniem twarzy, albo są wrażliwi na rysy charakterystyczne różnych ludzi, a ja nie.
1808:  PW - To jest ciekawy wątek, w jaki sposób dopasować do siebie i w jaki sposób segregować te dzieła, po które sięgamy, tak żeby rzeczywiście zapewnić sobie pełne, jak pełniejsze, jak najbardziej satysfakcjonujące doświadczenie eskatystyczne.
1824:  PW - Tutaj gdzieś we wcześniejszych wypowiedziach padł wątek, pojawiło się hasło recenzentów.
1832:  PW - Myślę, że to mogłoby być takie pytanie, które chciałbym wam zadać, czyli...
1838:  PW - w jaki sposób konstruować sobie ten smak po to, żeby rzeczywiście cieszyć się z tego doświadczania innych światów, z tej podróży w poświaty.
1847:  PW - Dominika, Filip?
1849:  DS - Dawaj Filip, ja po tobie.
1852:  BFP - Ja odpowiem tak jak powiedział Oscar Wilde, moje gusta są proste, ja lubię to co najlepsze.
1861:  BFP - Dlatego sięgam po recenzje, dlatego interesuje mnie to, co mówią krytycy.
1865:  BFP - To nie jest tak, że zawsze się z nimi zgadzam, dopiero co obejrzałem nowy film Martina Scorsese, którego twórczość ubóstwiam, czyli Czas Krwałego Księżyca i byłem znacznie bardziej krytyczny niż krytycy.
1877:  BFP - Nie mogę powiedzieć, że zjechałem ten film, ale byłem krytyczny.
1880:  BFP - I tak jak właśnie się przesłuchiwałem, czasem ktoś mi coś podsunął.
1884:  BFP - Właśnie jak opowiadałeś o tych opisach, to przynieś sobie świetną książkę Petera albo Patrika Suskinda, Pachnidło, która jest nieprawdopodobna w opisy, tak?
1895:  BFP - Bo tam mają bohatera, który ma perfekcyjny węch i potem się okazuje w ogóle mordercą, a on tam właśnie tworzy pachnidła i tak dalej.
1901:  KMM - Dla wiosna można powiedzieć wtedy...
1904:  BFP - Ale to jest bardzo szybko powiedziane.
1905:  KMM - Na polonistyce mówili mi, że Suskind to jest kiepska literatura dla ludzi bez gustu.
1911:  KMM - To ciekawe.
1912:  BFP - Ja bym go obok Coelho nie postawił, chociaż tamten też o alchemii pisał.
1917:  KMM - Ale widzisz, to jest to, tylko wtrącę na szybko, że ludzie potrafią takim jednym zdaniem zniszczyć całe nasze emocje, przeżycia, przemyślenia też potencjalnie bardzo wartościowe, które mamy.
1927:  BFP - Ale ja na przykład, z Dominiką ostatnio o tym rozmawialiśmy, ja odtwarzam sobie całą, dobra nie całą, no powiedzmy pięć ksiąg Duny, tak?
1939:  BFP - Są jakby levele zanurzenia, jest entuzjasty, potem tam bardziej zaawansowany i tak dalej.
1945:  DS - Ty chcesz zrobić level hardcore.
1947:  BFP - No nie, nie da rady, ja już nie będę czytał tego, co jego syn tam wypierdywał, jeżeli chodzi o Dunę.
1953:  BFP - Ale ładnie wygląda na półce.
1956:  BFP - No do ciebie tak.
1958:  BFP - Jest to naprawdę bardzo trudne w czytaniu, bo właśnie na przykład Frank Herbert, jemu się uda wybitna książka pierwsza, potem jest Mesjasz Dune'y, która jest niezwykłą książką, ale trudno się ją czyta.
1970:  BFP - Teraz Dzieci Dune'y.
1971:  BFP - Każdą książkę chciał zrobić inaczej i widać to, ale ten człowiek w ogóle nie umiał w opisy na przykład przyrody, w ogóle.
1977:  BFP - Tam nie ma w ogóle opis planety.
1979:  BFP - Ten człowiek kompletnie nie umie w akcję, zupełnie.
1981:  BFP - Jak jest jakaś walka, to jest mowa, że nie wiem,
1984:  BFP - Tanka Najdaho stanął po drugiej stronie, mrugnął i zaczyna się drugi rozdział.
1989:  BFP - Tak, to było ciężkie.
1992:  BFP - Jego interesują postaci, psychologia, polityka i filozofia.
1995:  BFP - Ponad wszystko.
1997:  BFP - I jak ja sobie tego słucham, bo teraz sobie słucham, co też jest inną formą,
2002:  BFP - a jednocześnie nadrabiam wszystkie opowiadania Sapkowskiego, to to jest w ogóle coś nieprawdopodobnego.
2007:  BFP - To jest naprawdę tak, jakbym zjadł właśnie coś bardzo specyficznego, tak jakbym jadł kawior.
2013:  BFP - Coś, co ma bardzo dziwny posmak, ale po prostu czuję, że muszę zjeść placka ziemniaczanego.
2018:  BFP - W przypadku dziennym to przyprawę.
2021:  S01 - Albo przyprawę, tak.
2022:  BFP - Nadmiar melanżu tam jest zdecydowanie, zapach cynamonu, więc... No nie wiem, ja...
2030:  BFP - Też ja bardzo dużą część swojego życia spędziłem na czytaniu rzeczy, które nie są fikcją i beletrystyką.
2036:  BFP - Czyli czytałem bardzo dużo książek o zarządzaniu, bardzo dużo książek o marketingu, bardzo dużo książek popularnonaukowych, szczególnie jeżeli chodzi o psychologię poznawczą, psychologię behawioralną i astrofizykę.
2047:  BFP - I zauważyłem, że to zawsze jest ciężkie.
2050:  BFP - To zawsze jest cięższe niż czytanie beletrystyki i tam nie ma eskapizmu.
2053:  BFP - Tam jest zero eskapizmu.
2054:  BFP - Możesz mieć świetnego publicysta, autora, intelektualistę, który snuje narrację jak Yuval Noah Harari chociażby, ale nie będziesz tak wciągnięty.
2064:  BFP - Nie będziesz tak wciągnięty nawet jak... Dobra, akurat Herbert właśnie jest takim trudnym pisarzem.
2071:  BFP - I wydaje mi się, przynajmniej w moim przypadku, że ja na przykład zacząłem doznawać eskapizmu, jeżeli chodzi o literaturę, właśnie wtedy, kiedy przestałem czytać to, co nie jest beletry.
2079:  BFP - To, co jest nie beletry.
2082:  BFP - Zacząłem odłożyłem non-fiction, zacząłem czytać fiction.
2088:  BFP - I, no nie wiem, ja się sugeruję poleceniami.
2091:  BFP - Jeżeli dostanę naprawdę dobre polecenie czegoś i wiem, że to będzie ciężkie, jak na przykład ślepowidzenie Petera Wattsa... Albo właśnie, chociażby William Gibson, którego ja ubóstwiam, zresztą wiem, że... Zagadać do mnie, czy możesz podać mój korek?
2104:  DS - Ja się przestanę ruszać.
2108:  KMM - To przez tyle tych BWF-ów szkolnych.
2120:  DS - Albo to była taka wskazówka, że za dużo mówisz.
2125:  BFP - Nie, no tylko jeszcze podam taki prosty przykład, właśnie serial peryferal.
2132:  BFP - Versus książka.
2134:  BFP - Książkę się naprawdę bardzo ciężko czytać.
2136:  BFP - Ja wiem, bo robię się recenzję, to jest bardzo trudne, ale jak się przemożesz, to po pięćdziesięciu stronach dopiero zaczynasz rozumieć, o czym pisze autor.
2144:  BFP - Bo pierwszy pięćdziesiąt stron, to nie wiesz, co się dzieje.
2146:  DS - Akceptujesz to, że masz się nie przejmować tym, że nic nie rozumiesz i że potem z tych jakichś dziwnych, rozwijanych słów... Ale coś zacznie nabierać sensu, nie?
2154:  BFP - Że tam...
2155:  BFP - jakieś tam wykorzystywanie mątwy do tego, żeby znikać i kamuflażu i tak dalej, to zaczyna nabierać sensu.
2160:  BFP - A w serialu to jest niby ta sama historia, ale podana znacznie bardziej praktycznie, ale jak ktoś by powiedział, musisz przeczytać tę książkę, bo ja bym na przykład każdemu powiedział, chcesz science fiction, cyberpunk, musisz przeczytać peryferala.
2170:  DS - To by była męka.
2171:  DS - Jakby to była lektura szkolna, to to byłaby prawdziwa męka.
2174:  BFP - Oj tak, to prawda.
2175:  BFP - Ale jakby ktoś ci na vlogu dobrze sprzedał, dlaczego warto to obejrzeć.
2180:  DS - Jeszcze ci nawet może właśnie ostrzec, tak jak ty teraz, że to trzeba faktycznie się zaakceptować na początku.
2184:  BFP - Przetrzymaj te pierwsze pięćdziesiąt, jak z Dark Souls.
2187:  BFP - Przetrzymaj te pierwsze pięćdziesiąt śmierci, a potem wróć z głowy.
2191:  DS - A propos gustu właśnie recenzentów i tak dalej, ja w ogóle doszłam już dawno do wniosku, że nie ma sensu się w ogóle przejmować tym, czy ktoś uważa, że masz dobry gust, czy masz zły gust.
2200:  DS - Co cię w ogóle obchodzi, co ktoś inny o tobie myśli?
2202:  DS - I to w ogóle wszystkich aspektach życia.
2205:  DS - Jak się ubierasz, jaki masz, nie wiem, ton głosu, cokolwiek, jakie książki czytasz.
2210:  DS - Więc moim zdaniem trzeba po prostu...
2212:  DS - czytać dużo książek i sobie wyklarować z tego, jakie książki lubisz.
2217:  DS - I tyle.
2217:  DS - I potem faktycznie nawet czytasz sobie jakiś recenzentów, czy coś, albo właśnie książki z tyłu, ten opis na okładce i szacujesz mniej więcej, czy to będzie rzecz, która ci się spodoba, czy to jest rzecz, która raczej nie jest dla ciebie.
2228:  DS - Jak nie jest dla ciebie, to szczerze mówiąc, po co się męczyć?
2230:  DS - Od czasu do czasu oczywiście można, tak jak ja na przykład nie znoszę jedzenia, które śmierdzi morzem, ale od czasu do czasu sobie wezmę jakieś owoce morza z jem, żeby sprawdzić, czy dalej śmierdzą morzem, czy może coś się odmieniło.
2243:  DS - Więc ja na przykład nie znoszę książek, które są ponure i źle się kończą.
2248:  DS - To w ogóle zabija we mnie eskapizm, bo to jest trochę to, co ty mówiłaś.
2251:  DS - Nasza rzeczywistość jest już tak smutna, ponura i ciężka, że ja chcę od książek czegoś innego, no nie?
2256:  DS - Więc jeśli ktoś mi napisze, że to jest super hardkorowe dark fantasy, to...
2263:  DS - Ja wiem, że nie ma sensu tego czytać, no nie?
2265:  DS - Więc jeśli chcemy mieć wrażenie eskapizmu, to po prostu musimy wiedzieć, co nam je daje i ty jeszcze nie powiedziałeś, jakie książki, w ogóle rozmawiamy o książkach, nie wiem, z jakiegoś powodu, ale na razie zostaniemy przy tych książkach.
2278:  DS - Jakie książki tobie dają wrażenie eskapizmu?
2280:  DS - Jakie cechy muszą spełniać?
2281:  BFP - No te, które nie śmierdzą morzem.
2284:  DS - Ej kurczę, jakbyś był na plaży i znalazł taką skrzyneczkę wyrzuconą na brzeg przez morze, otworzyłbyś ją, ona byłaby tam zacięta, więc w ogóle to byłoby bardzo trudne, ale w końcu byś ją otworzył, a tam byłaby wśród jakichś wodorosów jakaś książka.
2296:  KMM - Robinson Crusoe.
2299:  KMM - To wszystkie litery byłyby niewyraźne, bo byłyby zamazane.
2303:  BFP - Trzymało się tej literatury, ale u mnie nawet nie tylko się do literatury nosi.
2309:  BFP - Ja najbardziej kocham science fiction.
2311:  BFP - Science fiction po prostu porywa mnie, każdą komórkę mojego ciała.
2316:  BFP - I jest taka trylogia chińskiego pisarza Liu Cixina, to jest właściwie wspomnienie o przeszłości Ziemi.
2323:  BFP - Jest Problem Trzech Ciał, to bardzo głośno było w tej książce, potem Ciemny Las i Koniec Śmierci.
2329:  BFP - I to jest pierwszy raz, kiedy ja dosłownie, to był też okres pandemii, kiedy ja siedziałem z książką od, nie wiem, może 18 do 5 nad ranem.
2336:  BFP - Ja nie mogłem odłożyć tej książki, ja nie mogłem przestać tego czytać.
2339:  BFP - Zresztą zaraz będzie adaptacja na Netflixie.
2342:  BFP - Problemu Trzech Ciał, którą robią twórcy Gry o Tron, ale póki oni mają materiał, który mogą adaptować, to jest dobrze.
2349:  BFP - I tak właśnie jakbym miał dokonać jakiejś wewnętrznej wiwisekcji, co dla mnie było takie skapistyczne w tej książce, to było oryginalne koncepty, które perfekcyjnie potrafi opisać autor.
2360:  BFP - Ale to tak oryginalne koncepty, że nic nie chcę spoilować, ale tam jest najciekawsza wizja końca całego uniwersum, jaką w życiu widziałem, która polega na złożeniu nas do dwóch wymiarów.
2371:  BFP - Także cały świat zaczyna przypominać po prostu obraz, bo jest inna cywilizacja, która jest tak potężna, że kiedyś składała światy, które były czterowymiarowe do trzech wymiarów, a są w stanie złożyć trzywymiarowy świat do dwóch, skompresować.
2384:  BFP - To jest koniec tego uniwersum, ale oglądanie końca tego uniwersum jest najpiękniejszą rzeczą, jakiej w życiu doświadczycie, razem odchodząc z tym światem.
2392:  BFP - i umieć coś takiego pisać, to jest, aż mnie ciare przechodzą, tak, jak o tym myślę, więc nie wiem, chciałbym, żeby więcej było takich autorów, takich pisarzy, którzy potrafią tak robić, ale właśnie to, co powiedziałaś, że jak już sobie wyrabiasz gust, bo na przykład już wiem, że częściej w science fiction trafię niż w literaturze pięknej, to częściej w science fiction trafię na to, co zaspokoi moje potrzeby i wiem, że nawet nie jakaś kwestia gatunku czy podgatunku,
2418:  BFP - Czy to będzie post-apo, czy to będzie bardziej kosmiczny science fiction?
2422:  BFP - Nie, raczej np.
2423:  BFP - wiem, że konkretny autor albo konkretny temat, który zostanie podjęty, albo otwieram i patrzę na jego styl pisania, bo Herbert, cudowne koncepty, wspaniałe rzeczy, siermiężny styl pisania, ciężkie i za bardzo skoncentrowanie się na braku akcji, tak?
2438:  BFP - Więc też umiejętność wyważenia, nie wiem, czemu tak mówię cały czas w tych książkach, ale zadałeś pytanie, co dla mnie jest takie eskapistyczne, to właśnie jak ja bym mógł otworzyć taki koferek, to bym zobaczył
2449:  BFP - 10 kontynuacji do Problemu Trzech Ciał, który napisał Lucy Sheen i wiedziałbym, że to będzie perfekcyjne.
2454:  DS - No właśnie, ale nie zawsze tylko książki dają ten eskapizm.
2457:  DS - Ja na przykład rozmawiałam na moim Discordzie z moimi patronami, rozmawialiśmy sobie właśnie o eskapizmie i oni powiedzieli, że wielu z nich, dla wielu z nich światotwórstwo jest tym eskapizmem i że nawet dużo bardziej niż książki, bo książki są super, otwieramy, prawda, okładkę i czytamy i dopóki jesteśmy w tym świecie, no to mamy immersję i jest super,
2477:  DS - ale kiedyś dochodzimy do końca albo po prostu ją zamykamy, idziemy robić coś innego i wtedy ta zabawa się kończy.
2483:  DS - A jak oni zajmują się tym tworzeniem światów, to można o tym tak naprawdę myśleć cały czas, prawda?
2490:  DS - Nonstop gdzieś tam z tyłu głowy można sobie tworzyć ten swój świat i czerpać z tego przyjemność.
2494:  BFP - Gry RPG, takie stołowe.
2498:  KMM - To jest coś.
2499:  KMM - Mnie przypomina się taka rzecz, którą rzeczywiście robię eskapistycznie, jak sprzątam czy prasuję.
2503:  KMM - Zawsze jest odpalany Lutin 9 na YouTubie i Lore Video Emperor of Mankind, część pierwsza.
2513:  KMM - Ja wiem, że będzie jeszcze siedem, a każda trwa cztery godziny.
2516:  KMM - I ja jestem uspokojony... Ja tego słucham z radością absolutną.
2523:  KMM - Ja jestem typem człowieka, który ma odkurzacz do odkurzania małego odkurzacza.
2526:  KMM - W każdym razie, jak słucham... On to wie.
2531:  KMM - Więc jak słucham Lutina 9, to jest niesamowite dla mnie, no bo w zasadzie to jest 100% definicji wiedzy bezużytecznej.
2540:  KMM - Do niczego tego nie wykorzystam, ale to tak niesamowicie mnie właśnie zatapia w tej rzeczywistości Warhammera.
2545:  KMM - To jest szczególna przez wzgląd na to właśnie, że tam jest niewiele właśnie takich fabuł, które można poznać.
2550:  KMM - No bo tak, nie było filmów, z animacji mamy Astartes i długo, długo nic.
2555:  KMM - I to jeszcze jest fanowska.
2556:  DS - To jest straszne oszustwo, do niczego tego nie można wykorzystać, ale to jest przez 15 minut będziesz o tym rozmawiał na panelu.
2561:  KMM - Tak, tak, ale jeszcze jest, najlepsze jest w tym wszystkim to, że to wszystko się narodziło z figurek, więc to jest takie światodwórstwo w stanie czystym.
2567:  KMM - Gdyby nie było poza tymi figurkami czegoś więcej, no to właśnie nie byłoby tego
2572:  KMM - I tego eskapizmu i tej immersji.
2573:  KMM - Ja niesamowicie podziwiam człowieka, który jest w stanie malować armię nekronów przez jakieś, nie wiem, kilkanaście miesięcy i cieszyć się tym, tak?
2582:  KMM - Bo to nie jest to samo, co bawienie się na przykład figurkami, które nie mają tego lore całego.
2588:  KMM - Zawsze trzeba sobie coś dopowiedzieć.
2589:  KMM - Ja jak na przykład bawiłem się klockami LEGO, to sobie wtedy dopowiadałem cały świat, w którym się to działo.
2594:  KMM - No i skażenie światotwórcze już było wtedy, bo ja na przykład pod karą śmierci powieszenia jednocześnie
2600:  KMM - zabraniałem wszystkim dotykania moich zestawów, nie wolno było mieszać klocków ze sobą.
2604:  KMM - Zestaw to jest jeden setting, tak?
2607:  KMM - Nie miesza się settingów.
2609:  KMM - Więc to było wszystko święte i za każdym razem była jakaś opowieść, która się z tym wiązała.
2613:  KMM - Setting ginął wtedy, kiedy przybywał smok i wszystko niszczył na przykład.
2617:  KMM - Bo wtedy trzeba było zburzyć na przykład jakiś zamek i on miał zostać zburzony.
2621:  KMM - No bo to jest fakt kanoniczny, który się zdarzył w tym świecie.
2624:  BFP - Więc nikt tego nie mógł złożyć.
2625:  BFP - Ja się nawet nie śmieję, dla mnie to jest absolutna podstawa.
2629:  BFP - Ale ja już mam odpowiedź na to, co zapytałaś.
2632:  BFP - Dla mnie prawdziwy, najlepszy, najwyższej wartości eskapizm jest wtedy, kiedy odkładasz źródło tego eskapizmu i zostajesz dalej w tym świecie.
2641:  S02 - Chciałam, żebyś o nim myślał.
2642:  PW - I ja myślę, że to jest chyba dobra odpowiedź na to pytanie, które próbowaliśmy sobie tutaj zadać.
2649:  PW - Spoglądam na zegarek i chyba nam się powoli czas antenowy kończy.
2653:  S01 - I jeszcze nie.
2654:  PW - Nie jeszcze?
2655:  S01 - No to ładnie.
2656:  DS - Czyli jednak nudzimy.
2659:  DS - Jeszcze się nie skończy.
2662:  PW - Myślałem o tym, że moglibyśmy mieć pół godziny czasu na to, żeby zapytać jeszcze publiczność, czy mają jakieś pytania w tym temacie eskapistycznym.
2674:  PW - No pewnie.
2674:  PW - Czy eskapizm ma jakąś ciemną stronę?
2677:  PW - Biorze się za jakimiś konsekwencjami negatywni?
2679:  DS - Oj tak, ja czasem nienawidzę eskapizmu.
2683:  DS - jak zacznę czytać jakąś książkę i naprawdę mam plan, że będę ją czytać tylko dwie godziny, bo potem mam bardzo dużo naprawdę ważnych rzeczy do zrobienia.
2691:  DS - Nigdy mi się jeszcze nie udało przestać po dwóch godzinach, po prostu nigdy.
2694:  DS - Jeśli książka jest dobra, zacznę ją czytać, to po prostu skończę ją czytać jak skończę i zawsze wszystko zawalam wtedy.
2698:  DS - Zawsze.
2699:  KMM - To samo mam ze streamem.
2700:  KMM - Nie no, dzisiaj cztery godziny.
2701:  KMM - Po pięciu godzinach tymczasem.
2704:  KMM - To jest pułapka rzeczywiście, ale to jest taka ładna pułapka, w którą fajnie jest.
2709:  KMM - To jest taka przyjemna.
2711:  KMM - To jest taka pułapka BDSM.
2717:  DS - A to wypadałabym dziewczyna towarzysza.
2720:  DS - Ta książka jest twoim partnerem.
