THE LAST OF US odc. 3 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=1oQD0C7QyGs
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

8:  BFP - Mili, witajcie na naszym... Mili, witajcie... O, przepraszam, bo mam pogłos siebie.
1529:  BFP - I im więcej byśmy wrzucali takich dodatkowych historii encyklopedycznych, dygresji, to jest moim zdaniem dopiero rozrzedzanie fabuły.
1537:  BFP - To jest dopiero nie tylko rozrzedzanie fabuły czy historii, ale wręcz
1540:  BFP - stracenie okazji, czy niewykorzystanie czasu, który się ma do tego, żeby podbić to, co stanowi serce naszego serialu, czy naszej historii, tych motywów przewodnich.
1549:  TN - No ale... Proszę.
1551:  TN - W tym odcinku właśnie Kino Drogi troszeczkę zamieniło się w taką powieść szkatułkową i moim zdaniem
1558:  TN - To opowiadanie, które tutaj widzieliśmy, było bardzo potrzebne, bo niektórzy mówią, że to był taki filer, wypełniacz, ale moim zdaniem tutaj duży impakt na Joella.
1571:  TN - Ta cała sytuacja i ta cała historia duże wrażenie zrobiła na Joel'u i złamała go
1582:  TN - co widzieliśmy w jednej z ostatnich scen.
1586:  TN - I moim zdaniem to była ważna historia o miłości, a The Last of Us, tak jak już mówiłem, jest o człowieczeństwie.
1596:  TN - Tutaj mogliśmy zobaczyć piękną historię dwóch mężczyzn.
1601:  KMM - Ja w ogóle nie uważam, że to był filler, to znaczy prepersi jako ruch w Stanach Zjednoczonych to jest bardzo istotny element każdej narracji postapokaliptycznej, bo wtedy prepersi mają takie aaa!
1612:  KMM - Miałem rację?
1614:  BFP - Trzeba było!
1616:  BFP - W ogóle zobaczcie, że... Przepraszam, dokończ.
1618:  KMM - Znaczy jest to przepiękna wymiana zdań między Billem i Frankiem w którymś momencie.
1623:  KMM - Jak Frank mówi do Billa, którego jeszcze nie wprowadziliśmy, ale trochę wybiegam, to jest ważne, że no tak, tak, bo tylko co o tym, że rządzą nami naziści, a Bill ma takie, rządzą nami naziści, człowieku, mówiłem, mówiłem, że tak jest.
1635:  KMM - I to jest fantastyczne.
1636:  KMM - Ale teraz, ale nie wcześniej.
1638:  KMM - Tak, tak.
1639:  KMM - Pokazuje w jaki sposób właśnie można było faktycznie przygotować się do najbardziej absurdalnej sytuacji.
1644:  KMM - Przypomina mi się słynne zdanie z World War Z, to znaczy dlaczego Jerozolima była przygotowana na pandemię zombie, ponieważ wywiad żydowski Mossad nie chciał, żeby kiedykolwiek doszło do takiej sytuacji, że dojdzie do najbardziej absurdalnego i nieprzewidywalnego zagrożenia dla narodu.
1662:  KMM - W związku z powyższym zbudowali gigantyczny mur antyzombi.
1665:  BFP - Jest taki komentarz Kalmiko, który mi opisał, nie chcąc niestety tego rozwinąć, zmarnowano potencjał byla z gry.
1671:  BFP - Jest dokładnie odwrotnie.
1673:  BFP - Wzięto byla z gry i uczyniono z niego postać z krwi i kości.
1677:  BFP - Wreszcie coś o nim powiedziano, poza pewną markotnością.
1681:  GW - No, ale generalnie chciałem zostawić sobie trochę na koniec, ale podejrzewam, że to gdzieś umknie mi po drodze albo zostanie powiedziane i mi się rozmyje.
1691:  GW - Natomiast wydaje mi się, że tak, po pierwsze, ja tutaj rozumiem właśnie ten argument ludzi, że ci, którzy chcieli mieć...
1701:  GW - akcję w tym serialu bardziej wartką i cały czas progresującą w dużym tempie i wtedy zrozumiem właśnie tych ludzi, że im się to może nie podobać, że mają taki trochę przystankowy odcinek, ale nie zgodzę się, że tutaj nie jest to istotne dla fabuły, jest bardzo istotne dla fabuły, dlatego, bo mamy najpierw zbudowaną tą całą relację jakby z tymi dwiema postaciami, z których jedna
1726:  GW - uczy się jak przeżyć, a druga uczy drugą jak przeżyć, a ta druga uczy pierwszą jak żyć.
1732:  GW - I to jest właśnie ta najważniejsza rzecz, że mamy te dwie strony.
1736:  GW - Jedną, która po prostu chce przeżyć tą całą apokalipsę, a druga, która chce po prostu żyć jak człowiek w trakcie apokalipsy.
1744:  GW - I tutaj też jest nakreślane w którymś momencie, do tego też na pewno nawiążemy,
1752:  GW - to, jaką rolę niektórzy przyjmują w trakcie właśnie kryzysowych sytuacji i do tego też nawiążemy, ale no właśnie ten dialog i to, do czego już nawiązywały Krzysztof i Tomasz, że to zbuduje troszeczkę Joela na nowo i przygotuje do dalszej drogi.
1778:  GW - Także absolutnie nie zgadzam się, że to jest
1781:  GW - zwykły filer, że to jest pomijane dla fabuły, ale rozumiem tutaj ten argument ludzi, którzy liczyli na bardziej wartką akcję, bo faktycznie tutaj tempo spada, ale spada po coś.
1796:  KMM - Tak.
1796:  KMM - Drugi argument.
1797:  KMM - Zauważcie, że mieliśmy teraz perspektywę zupełnie inną narracyjną przez ostatnie dwa odcinki, to znaczy człowieka ekstrawertycznego, zdeterminowanego, świetnie przystosowanego do tego, żeby spełniać rolę takiego obrońcy rodziny, prącego naprzód, świetny bohater kina drogi.
1814:  KMM - I mamy taką postać, z którą może utożsamić się Krzysztof, który zobaczyłby, że opustoszały jego okolice i stwierdziłby...
1823:  KMM - Nareszcie święty spokój, idziemy po najlepsze winko, idziemy do Home Depot, żeby stworzyć sobie najlepszy tower defense wokół domu, następnie przyrządzamy sobie resztką naszych kulinarnych umiejętności, które będziemy kształcić w najbliższym czasie, fantastycznego steka, odpalamy sobie dobrą muzykę i mamy takie...
1844:  KMM - I tylko żeby nie było tych cholernych zombiaków, to będzie wszystko w porządku.
1849:  KMM - Więc ja teraz mogę powiedzieć otwarcie i będzie druga scena, w której do tego nawiążę, mianowicie gdyby The Last of Us było strategiczną grą Tower Defense, ja bym zagrał w The Last of Us natychmiast, zobaczywszy ten odcinek, ponieważ dokładnie to bym zrobił.
1865:  BFP - Krzysztof jest tym gościem, który gra w Fallout 4 dla budowania bazy i nigdy nie zrobił pierwszego quest'a.
1871:  GW - Filip, jeszcze zostaw na chwilę właśnie na tym kadrze, bo to trzeba podkreślić, jak już wprowadziliśmy Billa, absolutnie rewelacyjny Nick Offerman w tym serialu po prostu zaorał wszystko, ukradł ten odcinek, jak uwielbiam Pedro Pascala i tak dalej, ale tutaj to jest główny bohater opowieści, to jest czyste złoto i jest niesamowite to, że wybrali aktora głównie komediowego do roli tak bardzo wzruszającej i dramatycznej,
1898:  GW - Z czego mamy nawet cząstkę Rona Swansona.
1902:  GW - To jest tak jakby Rona Swansona wpuścić w apokalipsę.
1907:  GW - O czym też już mówiłeś w czasie recenzji.
1909:  GW - Ale jest jeden piękny hint, który dzisiaj mi dziewczyna pokazała, zasugerowała.
1918:  GW - Także dzięki Ola, pozdrówka.
1922:  GW - Tam jest ta scena, kiedy on je tego stacka i ogląda telewizję, ogląda te swoje kamery, jak zombiak idzie w stronę drzewa i rozpieprza mu łeb, tak?
1934:  GW - I on tak popija to wszystko i się śmieje.
1937:  GW - Jest taka scena chyba w dwóch...
1939:  GW - W trzecim sezonie Parks and Recreations, jak były urodziny Rona Swansona i siedział po prostu, wpierdzielał steka, popijał whisky i oglądał chyba Most na rzece Kwai albo jakiś inny stary wojenny film, gdzie też wszystko się rozpieprzało.
1954:  GW - Chyba on nawet tak mówił, ha, it never gets old.
1957:  GW - Także to jest ten taki hint do Parks and Recreations, także rewelacja był.
1963:  KMM - Właśnie miałem powiedzieć, że Nico Fehrman generalnie gra w bardzo dobrych rzeczach, bo nie tylko Parks and Recreation, ale jeszcze... Devs.
1968:  KMM - Devs, prawda?
1970:  BFP - Polecałem nawet w recenzji, absolutnie.
1972:  BFP - Fargo też grał.
1973:  BFP - Fargo, dokładnie.
1974:  BFP - Grał w jednym z moich ulubionych filmów ostatnich lat, czyli The Founder o założycielu McDonald's, czy właściwie Ray Kroku, który podebrał braciom McDonald's i grał jednego z braci McDonald's.
1985:  GW - No tak, no ale wciąż on najbardziej jest znany mimo wszystko z roli Rona Swansona i ze swojej tablicy tej piramidy życia, a tutaj mamy jakby to przesunięte w absolutnie piękną, dramatyczną rolę.
1998:  BFP - Ja chciałem jeszcze zaznaczyć i oddaję głos tobie Tomek, że a propos też tego zarzutu,
2005:  BFP - że kurczę, żałuję, że jednak nie było adaptacji tego, co w grze.
2008:  BFP - Tylko ja wtedy zadaję pytanie, ale co było w grze?
2011:  BFP - Bo w grze z bylem cutscenek i dialogów było 7 minut łącznie.
2014:  BFP - Mniej więcej, liczyłem.
2016:  BFP - I...
2018:  BFP - Ja jako gracz na przykład świetnie pamiętam faktycznie całą tę sekcję, która nazywa się Bill's Town.
2022:  BFP - Byliśmy w miasteczku Billa.
2023:  BFP - Było dużo pułapek, było dużo zainfekowanych.
2025:  BFP - To było świetne, bo zabijało się stu zainfekowanych.
2029:  KMM - Miotacze ognia jeszcze były.
2031:  KMM - Powiedz mi, że były miotacze ognia.
2032:  KMM - Były miotacze ognia.
2033:  BFP - Byłeś do jasnej cholery.
2034:  BFP - Chyba był, a nie, jeszcze chyba nie było.
2035:  BFP - Nie wiem.
2036:  BFP - W każdym razie.
2038:  BFP - Było fantastycznie, jeżeli chodzi o pacing, jeżeli chodzi o klimat, ale dlatego, że każda potyczka, każda scena akcji to było być albo nie być.
2045:  BFP - No nie wiadomo było, czy uda mi się, czy nie.
2047:  BFP - No to w końcu jednak medium interaktywne, gdzie moje decyzje mają konkretny rezultat.
2052:  BFP - I przełożenie tego, i to jest w słowach Nila Dragmana, gdyby oni przełożyli to na serial, to mielibyśmy, no nie wiem, 50 minut sceny akcji, które byłoby nużące.
2064:  BFP - bo już widzieliśmy dobrą scenę akcji z klikerami w poprzednim odcinku i nie ma sensu tego powielać w nieskończoność, jakkolwiek byśmy tego choreograficznie i scenograficznie nie rozgrywali, versus jakieś 7 czy 10 minut interakcji.
2075:  BFP - Zamiast tego postanowiono zrobić coś innego, czyli grać na, no właśnie, na tym motywie przewodnim miłości bezwarunkowej i tego, co ludzie są w stanie zrobić z miłości i rozumiem wszystkich tych, którzy mówią, kurde, ale nie zobaczyliśmy interakcji między bylem
2091:  BFP - a Eli i Zgoda też chciałbym usłyszeć kilka interakcji między nimi, ale cieszę się, że zamiast tego dostaliśmy coś takiego.
2099:  BFP - To jest coś, co jestem w stanie przehandlować dla takiej fabuły.
2102:  BFP - Tomek?
2103:  TN - Tutaj została pokazana też taka postać, która pokazuje, że niektórzy ludzie mogą być szczęśliwi tylko wtedy, kiedy jest apokalipsa, kiedy wszyscy inni umrą.
2115:  TN - I tutaj właśnie jest taki doskonały introwertyk, który się zabunkrował u siebie w domu.
2121:  TN - I można byłoby powiedzieć, że ja nie...
2125:  TN - Nie czuję jakiegoś vibe'u z taką osobą, z Prepersem, który jest foliarzem, który też w sumie uważa, że rząd to naziści, ale pomimo wszystko ten serial pokazał, że to jest człowiek z krwi i kości, który...
2141:  TN - Kocha muzykę, który jest wrażliwy na sztukę, lubi dobrze zjeść i totalnie mnie to kupuje i moim zdaniem właśnie bardzo dobrze w tej roli zagrał, tak jak to już mówiliście, Nick Afferman.
2160:  BFP - I też zauważcie, że pięknie rozegrany jest fakt, jak jednak on jest prepersem, ale też silnie konserwatywnym.
2169:  BFP - Wydaje się przywiązywać dużą wagę do drugiej poprawki Konstytucji Stanów Zjednoczonych i prawa do posiadania broni.
2177:  BFP - Tak.
2178:  GW - Ale też prawicowcem w większości to właśnie skrajnie prawicowy, wręcz zwolennicy Tea Party, czyli tego skrajnie prawicowego odłamu republikanów są głównie właśnie prepresami.
2191:  GW - I to też właśnie nie do końca pokrywa się z pojęciem foliarza.
2195:  GW - Nie, nie, nie.
2197:  GW - Nie to miałem na myśli.
2199:  GW - Bo tam były jakieś komentarze też tego typu.
2202:  GW - To nie to samo.
2203:  BFP - Nie, nie, to jest a propos tego, co ja powiedziałem, ja powiedziałem to faktycznie.
2208:  BFP - Ja też to powiedziałem.
2209:  BFP - Tak, ale powiedziałem to dlatego, bo nie znaję teraz syse, ale już na samym początku on generalnie tak jakby przez cały czas spodziewał się wielkiego spisku i nawet on mówi New World Order, tak, czyli od zawsze był jakiś wielki spisek rządu.
2224:  TN - No tak, no bo twierdzi, że chociażby właśnie atak na World Trade Center... To jest taki zwolennik z teorii spiskowych, w którym właśnie ja bym nie sympatyzował, ale no jednak tutaj okazuje, że w tej rzeczywistości miał rację, tak?
2236:  KMM - Dla mnie właśnie to pokazuje, że tak długo jak długo znowu nie narzucamy nikomu naszej preperskiej mentalności, to dobra, stara, liberalna demokracja w Stanach Zjednoczonych mówi, ach,
2249:  KMM - Chcesz sobie robić w garażu arsenał jądrowy?
2253:  KMM - Rób sobie, nie ma problemu, bylebyś tego nikomu nie narzucał.
2256:  KMM - Mnie się to akurat bardzo podoba i lubię narracje, które przewrotnie w naszych bardzo jednoznacznych politycznie czasach pokazują, że tak, okej, to jest też jakaś postawa życiowa.
2267:  KMM - Więc tak, podobało mi się to, że to zostało pokazane, bo rzeczywiście to jest ten jeden, jedyny scenariusz, w którym ten człowiek wygrał życie.
2275:  KMM - Absolutnie, bo był przygotowany w stu procentach do absolutnie wszystkiego.
2279:  GW - W ogóle niesamowity był ten cały reel, ten montaż, jak jest tak, zabrali wszystkich ludzi, okej, now it's time, bierze ten strzęp, bierze przyczepę, dobra, benzyna, gaz, Home Depot, stawiamy ogródzenie.
2293:  KMM - Nawet go nie powstrzymało, jak wyłączyli prąd, Nico Fermano takie, okej, jedzie do elektrowni, przecina generator, lecimy.
2300:  BFP - Ja mówię, to jest dzień z życia Nica Fermana, tak, bo on jest w ogóle cieślą, on jest majsterkowiczem, więc ja pomyślałem, oni po prostu postawili kamerę na jego ranczu i powiedzieli,
2309:  BFP - Nick, rób swoje, tak?
2310:  BFP - Do your thing, tak?
2311:  BFP - Ale właśnie piękny jest, dlaczego ja wspomniałem o tym jego, no zakładamy, konserwatyzmie, preperstwie, o tym, że wydaje się takim twardym gościem,
2322:  BFP - Pięknie to wszystko kontrastuje z tym, kim on wewnątrz jest, tak?
2327:  BFP - I to, że on nigdy nie zaznał miłości i to, że on nigdy... Ale wydaje się szczęśliwy, tak?
2333:  BFP - To też jest ważne.
2334:  BFP - On wydaje się szczęśliwy, dopiero na końcu będzie pisał w liście do Joella, wydawało mi się, że kiedy zniknęli wszyscy, będę najszczęśliwszy.
2340:  BFP - A potem okazało się, że jest ktoś taki jak ja.
2342:  BFP - I okazało się, że mam o co walczyć.
2344:  BFP - No więc pojawia się...
2347:  BFP - Nasz, bo wy tak dużo powiedzieliście o Nicku Offermanie i oczywiście on jest wybitny, ale to co robi aktor Murray Bartlett, australijski aktor Murray Bartlett, który z tego co wiem grał też w The White Lotus.
2359:  GW - White Lotus.
2360:  GW - W pierwszym sezonie jest absolutnie rewelacyjny jako manager hotelu.
2364:  GW - Który jest wybitny.
2364:  KMM - Fitnym serialem i musicie go zobaczyć bezwzględnie obydwa sezony.
2369:  KMM - Ja tylko chciałem utyskiwać troszeczkę na Filipa, z tego względu, że przewinął scenę, pierwszą Tower Defense'a, o której wspominał Grzegorz.
2377:  KMM - Wspaniałą scenę, gdzie Zondiak jest likwidowany.
2380:  KMM - Dziękuję.
2381:  KMM - Join or die.
2383:  GW - To jest świetny motyw też właśnie zwolenników bardziej prawej strony, gdzie mamy tego węża podzielonego na 8 części, który tak naprawdę sygnalizował 13 hrabstw, kolonii, które dały podwalenie do Stanów Zjednoczonych.
2399:  GW - To był chyba Thomasa Jeffersona właśnie rysunek, że albo się przełączycie, albo zginiecie przeciwko właśnie opresji angielskiej.
2407:  GW - O ile dobrze kojarzę kontekst historyczny.
2408:  GW - Ale to właśnie to też konfederaci bardzo, nie nasi konfederaci, tylko tak, zwolennicy bardzo tego prawicowego właśnie poglądu na świat w Stanach, no to też właśnie żyją tymi zasadami, lubią sobie tą flagę trzymać i tak dalej, i tak dalej.
2430:  GW - Czy w Ameryce ogólnie tak jest, że tam jest dużo flag akurat, że wieszają... To jest w ogóle ciekawy absurd, że głównie właśnie tam prawicowcy świętują dalej wojnę secesyjną, którą oni przegrali, ale... Stronnictwo Popularów pisze, że zjednocz się albo zgiń, to inna flaga niż nie depcz po mnie.
2450:  KMM - Podobno.
2451:  KMM - Ja nie wiem, ja się nie znam.
2452:  KMM - I'm only the messenger, don't shoot me.
2456:  BFP - Trzeba by zweryfikować, bo to nie chodzi o flagę konfederatów, tak?
2460:  GW - Nie, nie, to jakby chodzi mi o raz, że skrajna prawica bardzo tam lubi właśnie tą flagę konfederatów, to jest jedno, ale ten symbol join or die to jest kolejny jakby element tego całego prawicowego oglądania świata.
2475:  GW - O, może tak.
2476:  BFP - Ja chciałem przy tej scenie się zatrzymać.
2480:  BFP - Żeby nakreślić wam wagę tego, z jaką wrażliwością twórcy podeszli do tego, żeby zaprezentować dwie osoby homoseksualne, z których żaden aktorów grających nie jest faktycznie homoseksualny.
2497:  GW - Marie Bartlett jest?
2499:  GW - Tak, było przecież w tym, na podcaście wspomnianym.
2504:  BFP - Okej, to ciekawe, to bardzo fajne.
2506:  GW - Gay married middle-aged man, tak go określali.
2510:  GW - I reżyser tak samo, dlatego właśnie oboje, zresztą jak omawiali tę scenę i w ogóle ten cały motyw, żeby oddać odpowiednio szacunek jakby
2522:  GW - Całość narracji i klimatowi tutaj, no to oni mówili, że tutaj nawet nie jest problem w tych wszystkich scenach, żeby właściwie oddać uczucie nieheteronormatywne bardziej ludzi w średnim wieku i to jak się buduje po prostu związek przez lata.
2542:  BFP - Tak, to Craig Mazin wspomniał o tym, że żeby dobrze wypadła relacja między nimi, a przede wszystkim kiedy zbliżamy się do zbliżenia, nomen omen,
2556:  BFP - zaczął pytać osób nieheteronormatywnych w swojej obsadzie, w którym dokładnym momencie, czy w jaki sposób osoba, która jest homoseksualna jest w stanie domyślić się, że ktoś inny również ma odmienną orientację.
2569:  BFP - I to jest bardzo ciekawe.
2571:  BFP - Powiedział, że dokładnie w tej scenie
2574:  BFP - w której Bill w jakiś sposób cały czas daje wypowiadać się Frankowi, pomimo całej swojej podejrzliwej natury, pomimo swojego podejścia skrajnie pragmatycznego, w jakiś sposób daje się ponieść emocją, pozwala Frankowi wypowiedzieć się i Frank znajduje sposób na to, żeby przekonać go, żeby wpuścił go do swojego własnego domu.
2596:  BFP - I to jest naprawdę niezwykłe, że są właśnie te niuanse, że kiedy oglądasz to jeszcze raz, naprawdę wszystkim polecam wysłuchać tego podcastu, to nawet ich sposób rozmawiania, ale to czego nie mówią, mimika, mikro mimika, pewne sygnały, które do siebie wysyłają sprawiają, że potem sceny tak postępują w takiej kolejności, a nie innej i to, że w pewnym momencie, zaraz do tego dojdziemy,
2621:  BFP - Frank Robbie swoje charakterystyczne sprawdzam, kiedy siedzą przy pianinie.
2625:  BFP - Dlaczego o tym mówię?
2628:  BFP - Tak się prezentuje mniejszości seksualne w popkulturze.
2633:  BFP - Dokładnie tak.
2634:  BFP - Znaczy rozmawia się z ludźmi, którzy znają to z autopsji i są w stanie skorygować twój scenariusz bądź to, co wypracowałeś z aktorami w tak zwanym blokowaniu scen, żeby każdy detal miał znaczenie, żeby nie było tutaj fałszu, żeby to było autentyczne.
2651:  BFP - Dlatego mam do tego taki duży szacunek też.
2656:  BFP - Jak nic nie chcecie dodać, to przeskoczę dalej.
2659:  BFP - Ja absolutnie jestem zakochany w tym, w jaki sposób postać Byla przywiązuje wagę do dobrego trunku i dobrego posiłku.
2667:  BFP - I to jak Frank, którego... Ja tu widzę siebie po prostu.
2672:  GW - To jest absolutnie raz, że dobrze bym tak... Tak.
2676:  KMM - I czy możemy się zatrzymać nad zdaniem na temat dobierania Bożolę do królika?
2682:  KMM - Czy możemy się chwilę zatrzymać i ukontentować, poczuć smak tych potraw i tego wspaniałego trunku?
2688:  KMM - To jest coś, co ja bardzo doceniam, to jest powód, dla którego uwielbiam film Myni.
2691:  KMM - Ja mogę oglądać w nieskończoność o jedzeniu filmy i narracje i seriale, zwłaszcza jeżeli to jest dobrze zareprezentowane i ze smakiem.
2700:  KMM - Widać tutaj dwóch hedonistów, którzy się cieszą życiem i jeszcze zauważcie,
2704:  KMM - że to jest cały czas w czasach apokalipsy, nie?
2706:  KMM - Więc to nie jest tak, że nagle dla Franka to było coś ekstremalnie normalnego.
2712:  KMM - No to nie, to znaczy należy domniemywać, biorąc pod uwagę to, że on wprost mówi, że ucieka z miasta, które padło, z tego co zrozumiałem, z tej strefy akwarantanny, czyli została zdominowana przez zarażony, więc jeszcze głodował i nagle trafił do Olimpu, gdzie proponuje mu się Parnas, znaczy proponuje mu się Ambrozja, albo stóp Parnasu dotarł.
2730:  KMM - Coś wspaniałego absolutnie.
2731:  KMM - Ja się nie dziwię, że się rzucił na to jedzenie.
2733:  KMM - Dziwię się, że nie chciał dokładki.
2736:  TN - To jest piękne, że oni czerpią przyjemności z tak małych rzeczy, jak właśnie jedzenie, jak sztuka.
2743:  TN - To pokazuje, jakimi też są ludźmi i też ta scena pokazuje... Znaczy tak naprawdę oni się tutaj poznają, tak?
2751:  TN - Frank i Bill.
2753:  TN - Bill się dowiaduje, że Frank również zwraca na takie rzeczy uwagę, tak jak wino.
2758:  TN - Więc to na pewno też jest krok bliżej ich relacji, tak?
2764:  GW - Zwrócił uwagę... Znamienne Billa, I know I do not seem the type.
2771:  GW - Wiem, że ja nie wyglądam na takiego typa, który potrafi docenić dobre wino czy coś takiego.
2777:  GW - A on powiedział, że jednak wyglądasz.
2778:  GW - No, you do.
2780:  BFP - W ogóle ta mina, ta mina Franka, jak on dostaje to żarcie, gościu przed chwilą... Jaką byś miał minę inną?
2788:  BFP - Ja bym nie gotował.
2790:  BFP - Gościu siedział w dole, pewnie wpieprzał jakąś padlinę wcześniej zwierzęcą i nagle siada i dostaje elegancko podany piękny posiłek razem z winem i jest...
2799:  BFP - What the fuck, dude?
2800:  BFP - Ja chcę tutaj się naprawdę zakoszarować.
2802:  BFP - Jestem w stanie to zrozumieć.
2803:  TN - I to są prawdopodobnie rzeczy bardzo zdrowe, bo też z jego własnego ogrodu, prawda?
2807:  KMM - Tak, tak.
2808:  KMM - Ale powiem wam, miałem taki vibe na początku, byłem święcie przekonany, że on coś knuje, on zaraz wyciągnie nóż, zadźga go, on coś knuje, to nie może się dobrze skończyć.
2818:  KMM - Ja cały czas byłem podejrzliwy, znaczy ja się za bardzo wczułem w prepersa Billa.
2824:  KMM - Za bardzo.
2824:  KMM - Czyli ja cały czas miałem tę rękę na kaburze.
2827:  KMM - Cały czas.
2827:  TN - Ale myślę, że wielu oglądających tak miało, bo ja też tak miałem i myślałem, że też któryś zaraz kogoś zaatakuje, ale no na szczęście potoczyło się to inaczej.
2836:  GW - No wiecie, jesteśmy dwa odcinki w postapokalipsie, ludzie sobie wbijają nóż w plecy, także jak inaczej się przygotować do kompletnie, jakby jak inaczej można zakładać w momencie, kiedy mamy taką scenę.
2852:  GW - Nie pozostaje nic innego, dlatego tym piękniejsza jest ta subwersja.
2856:  BFP - Jestem tak zachwycony całą tą sceną przy pianinie, w której Murray Bartlett wykonuje utwór Long Long Time.
2863:  BFP - Fortepian!
2864:  BFP - W fortepianie, przepraszam.
2865:  KMM - Pianino jest żyrafą, fortepian jest jamnikiem.
2869:  KMM - Tak, no dokładnie.
2871:  BFP - Właśnie mam brain freeze.
2872:  BFP - Wyobraźmy, że mieliśmy wspólne nauczycieli.
2874:  BFP - Mój mózg nie jest w stanie przeprocesować tego, co właśnie słyszałem.
2879:  BFP - Ale tak sobie to zakoduję.
2881:  BFP - Pianino to jamnik, tak?
2883:  BFP - Dobrze zrozumiałem?
2884:  KMM - Nie.
2885:  KMM - Pianino stoi, fortepian leży.
2888:  KMM - A teraz zapamięta jeszcze Filip, że jamnik to pozioma żyrafa, a żyrafa to jest pionowy jamnik.
2895:  KMM - Teraz wszystko zapamiętasz dzięki Pianinom.
2898:  BFP - Muszę się napić.
2899:  Hahaha.
2902:  BFP - kocham, muszę to puścić z dźwiękiem dla wszystkich, którzy będą pewnie słyszeli to, a wy może nie, ale to jak on podchodzi i jak on autentycznie odczuwa fizyczny ból, Bill i mówi no, no, thank you, no, no, no, no, no, a Frank mu mówi, no wiesz, no nie jestem profesjonalistą, a Bill mówi, ja też nie jestem profesjonalistą, ale wiesz, naprawdę, znaczy są jakieś granice.
2926:  KMM - Ja to bardzo dobrze rozumiem.
2928:  TN - I też w tej wcześniejszej scenie, kiedy jedli cały czas, Billy się przyglądał jeszcze Frankowi tak uważnie, a tutaj pierwszy raz chyba rzeczywiście odwrócił się do niego plecami i zaczął grać na pianinie i akurat tak jak Krzysztof mówił, że jak oczekiwał, że coś się wydarzy, to akurat myślałem, że w tej scenie coś się wydarzy, kiedy on się odwrócił.
2948:  KMM - Tak, bo to był jeden, jedyny moment, kiedy nie miał giwery ze sobą, absolutnie tak.
2952:  BFP - Ale zobaczcie, jak pięknie gra tropami ten serial, w ogóle ta historia.
2956:  BFP - Znaczy, wy nie grając w gry spodziewacie się czegoś, bo tak zakodowały to w nas podobne historie postapokaliptyczne, które jednak często były cięte z tego samego budulca.
2967:  BFP - I tutaj...
2968:  BFP - Jest inaczej, spodziewacie się jakiejś eksplozji i do tej eksplozji w końcu nie dojdzie, bo to jest tak naprawdę historia bliska odlotowi Pixara, o bliskości dwojga ludzi i kurczę, no nie wiem, dlatego właśnie cieszę się, że poszli tą drogą, a nie drogą tego, co oryginalnie było w grze.
2986:  GW - Tutaj jeszcze tylko taka ciekawostka też z planu, którą wspominał właśnie Maisie z Druckmannem, że Murray potrafi świetnie śpiewać i grać i musiał bardzo starać się, żeby nie wychodziło mu ta gra na fortepianie i fizycznie cierpiał, kiedy ćwiczył tę scenę.
3006:  BFP - Tak, a ja muszę się odnieść do jednego komentarza, bo ja go nie odbieram jako coś negatywnego.
3010:  BFP - Eric Trax napisał, Frank to zwykły wyrachowany skurczybyk, który wykorzystał byla.
3014:  BFP - I wiecie co?
3015:  BFP - Tak mogło być na początku.
3016:  BFP - Może na starcie tak.
3018:  BFP - Ale później się pokochałeś.
3019:  KMM - Ale to jest logiczne w takich realiach.
3022:  KMM - Dokładnie.
3023:  KMM - Jak ja bym zobaczył takie żarcie, jak ja bym zobaczył takie wino... Filip, ty byś nie potrzebował pandemii, żeby zostać u kogoś, żebyś zobaczył takie żarcie i wino.
3033:  GW - Kurde, to ja muszę w takim razie przyciąć menu na twoją wizytę u mnie.
3041:  BFP - Oj tam, oj tam, tylko dlatego, że się szlają po czyichś domach i uwodzę innych mężczyzn jedząc im jedzenie, to wcale nie znaczy, że jestem taki jak Frank.
3051:  BFP - Ale jest dla mnie niezwykłe w tym, w całej tej historii właśnie to, co powiedzieli twórcy Craig Mazin i Neil Druckmann, że miłość romantyczna trwa rok,
3067:  BFP - Czyli ta, gdzie jest to takie głębokie zaangażowanie.
3072:  GW - To też mogę pokłócić, bo to psychologia mówi różnie, od pół roku do dwóch lat.
3076:  GW - Fizyczne zafascynowanie, takie, że mamy klapki na oczach, żeganie tęczą i tak dalej.
3082:  BFP - I mamy trochę takie wrażenie, że przechodzimy przez kilka różnych faz tej miłości i te przeskoki, które następują, zaraz zaczną następować, ale pewnie najpierw przejdziemy do rzeczy, która bulwersuje bardzo wielu ludzi, a mianowicie coś, co jest straszniejsze dla niektórych niż pocałunek zombie, czyli pocałunek dwóch mężczyzn, który uważam za po prostu piękny.
3106:  BFP - I wiecie dlaczego?
3108:  BFP - Dlatego, że to postać Nicka Offermana, czyli Bill robi taką robotę, to jego spięcie, to jego przerażenie, to wszystko co do tej pory wiedzieliśmy o tej postaci, ta jego twardogłowość, ta jego postawa taka wręcz preperska i promilitarystyczna i nagle widzimy tego gościa, który wydaje się takim zamkniętym, introwertycznym twardzielem,
3129:  BFP - po prostu przerażonego i spiętego, zdanego na łaskę innego człowieka, co do którego coś czuje.
