THE EXPANSE – żegnamy najlepszy serial sci-fi tej generacji
🔗 https://www.youtube.com/watch?v=JrodmJ-knro
BFP (Bartosz Filip Malinowski, Bez/Schematu)
AK (Artur Kurasiński)
KMM (Krzysztof M. Maj)

0:  BFP - Belta Lauda, panowie.
1551:  KMM - Najbardziej klasycznym przykładem jest oczywiście kultowe anopteinum z Avatara, nazwane tak leniwie, że tłumaczy się na polski jako niewydobywalium, ponieważ jest niewydobywalne spod drzewa.
1562:  KMM - Trudno sobie wyobrazić coś gorszego.
1564:  KMM - Protomolekuła...
1566:  KMM - Miejscami graniczyła z niewydobywalium, ale została przedstawiona w sposób, który mnie kupił, to znaczy jako coś kompletnie obcego.
1575:  KMM - Nikt do samego końca nie ma zielonego pojęcia, skąd to pochodzi, w jaki sposób protomolekuła doprowadziła do zagłady rasy, która jest w ogóle odpowiedzialna za powstanie tych struktur na skolonizowanej planecie.
1586:  KMM - Jak należy ją w sumie kontrolować?
1588:  KMM - To są takie eksperymenty i zabawa w Boga, którą w zasadzie uprawiają w większości ziemianie i cały ten syndykat, który się tworzy w którymś momencie i doprowadza do tego, że wszystkie frakcje muszą się jednoczyć po to, żeby z nimi walczyć.
1601:  KMM - Ale tak do
1601:  KMM - do końca nie udaje się nim nad tym zapanować, ponieważ powstaje potem ta stacja, powstaje właśnie ta struktura, ten pierścień, dokładnie tak samo jak w Gwiezdnych Wrotach, jak zaatakowała jedna z frakcji, więc to jest znany moment.
1615:  BFP - No tak, tylko ci nie polecieli do Egiptu, no.
1617:  KMM - To prawda, to prawda, tak, tak, tak.
1620:  KMM - Ori, tak się nazywała ta frakcja, która tworzyła gigantyczny pierścień.
1623:  KMM - Odbiegam trochę od tematu.
1624:  KMM - Ważne jest w tym wszystkim to, że to dalej jest tajemnica.
1628:  KMM - Serial się kończy, my nic nie wiemy na temat tej protomolekuły.
1631:  KMM - Tu jest właśnie ta subtelna różnica między tym, jak tworzą narrację w ekspans, a jak tworzą gdzie indziej.
1637:  KMM - Kręcisz głową.
1639:  BFP - No tak, znaczy po pierwsze moi przyjaciele uzależnili się od rantowania na bez schematu, po prostu, to już jest odruch Pawłowa, wchodzicie na bez schematu i musi być trochę rantu, a to miała być pochwała, mieliśmy się cieszyć.
1652:  BFP - Dlatego ja muszę teraz trochę to zrównoważyć.
1654:  BFP - Zacznę od CGI.
1656:  BFP - Zgadzam się z tobą, Artur, ale połowicznie.
1659:  BFP - Panowie, ja przypomnę, że ten serial zaczynał na stacji SyFy, potem wydawało się, że umarł i uratował go Amazon.
1667:  BFP - I kiedy wszedł Amazon, to zwiększyły się też budżety na CGI.
1670:  BFP - I ten ostatni sezon... Nie, nie.
1673:  BFP - Był SyFy, a potem był Amazon i został już na Amazonie.
1676:  100%.
1676:  BFP - I...
1680:  BFP - Ostatni sezon, który ma tylko 6 odcinków zamiast 10 czy 11, bo zdarzały się też chyba 11 odcinkowe sezony, a może nawet był 13 odcinkowy sezon, też pamiętam, to teraz te 6 odcinków sprawiło, że CJ było najlepsze.
1695:  BFP - Ze wszystkich sezonów.
1696:  BFP - Dla mnie wszelkiego rodzaju bitwy kosmiczne, które były w tym sezonie, były fenomenalne.
1702:  BFP - Znaczy dla mnie wyglądało...
1703:  BFP - W pierwszym odcinku tego sezonu walka, jaka była, jak oni używają Railgana i świetnie prowadzi kamera obok asteroidy, to było coś znakomitego, już nie mówię o ostatnim odcinku.
1712:  BFP - Więc powiedziałbym, że się zgadzam połowicznie.
1714:  BFP - Faktycznie pierwsze dwa sezony, może trzy sezony, to CGI zostawało wiele do życzenia, ale jak dostali pieniądze z Amazona, to naprawdę to podpompowali i naprawdę wtedy zaczęły się sypać wszelkiego rodzaju wyróżnienia.
1726:  BFP - Serial był na Netflixie.
1728:  AK - Właśnie sprawdzam.
1729:  AK - Naprawdę?
1730:  AK - Aha.
1731:  AK - I został oczywiście zdjęty z niego, no bo kupił go Amazon.
1735:  AK - Chyba, że ja coś źle czytam.
1737:  BFP - Nie, możesz mieć radę.
1739:  BFP - Nie wiem.
1739:  BFP - Możliwe.
1740:  BFP - Może ja go faktycznie na początku oglądałem na Netflixie.
1742:  BFP - Ale nie, no to chapeau bas, że to sprawdziłeś i że okej, okej, ciekawe.
1747:  BFP - No może potem, jak faktycznie przejął go Amazon, no to już wtedy nie było gadki Netflixa z sci-fiem.
1754:  KMM - Ja może bym obronił trochę tak, bo to nie jest tak, że ja krytykuję Expanse w żadnym razie, ale uważam, że to nie jest taka bezkrytyczna miłość fanboya, tylko szorstka miłość krytyka.
1764:  KMM - I powiem w ten sposób, światotwórczo ten serial jest bez zarzutu pod wieloma względami, zatrzymuje się troszeczkę nad tym pierwiastkiem z tego względu, że można to było pociągnąć dalej, ale równocześnie nie przeszkadza mi, że tego nie zrobiono.
1778:  KMM - Wystarcza mi w zupełności ta tajemnica, która została pozostawiona, nam właśnie do pewnych spekulacji.
1783:  KMM - Bardzo mi się podobał taki wątek na Redditzie, jak ktoś pytał, no, no, to co z tymi obcymi w Expanse?
1788:  KMM - I ktoś powiedział...
1791:  KMM - It's not that serious, bro.
1792:  KMM - To nie jest serial tego typu.
1794:  KMM - To nie jest serial, w którym będziesz mieć obcych, do których będziesz strzelał z laserów.
1798:  KMM - I dlatego światotwórczo Expanse absolutnie mnie satysfakcjonuje.
1802:  KMM - To, gdzie widziałem pewne problemy, to były pewne kwestie fabularne.
1807:  KMM - To znaczy czasami było tak, że serial bardzo przyspieszał, a czasami nienaturalnie zwalniał.
1812:  KMM - Nie przeszkadzało mi to, bo dalej mi się dobrze oglądało, ale właśnie przez to, że niektóre wątki zostały powiązane z postaciami, które niekoniecznie mnie odpowiadały,
1820:  KMM - Miałem z tym problem.
1821:  KMM - To jest ta wada opierania seriali bardzo często na silnych postaciach.
1826:  KMM - Super, jeżeli wszystkim pasują, jeżeli komuś natomiast wątek jakiejś postaci nie pasuje, to wtedy można dużo stracić.
1833:  KMM - I ostatnia kwestia, jeżeli chodzi o kwestie techniczne, to...
1837:  KMM - Nie znam serialu, w tym momencie żadnego serialu science fiction, który mógłbym przywołać od razu, który by tworzył tego rodzaju realistyczne efekty specjalne, nawet przy pewnych niedostatkach budżetowych.
1851:  KMM - Myślę, że ten serial broni się przede wszystkim spójnością, fantastyczną muzyką, o której trzeba wspomnieć.
1858:  KMM - To jest jeden z tych seriali, gdzie czołówkę oglądałem, tak jak czołówkę kiedyś gry o tron, z niesamowitą przyjemnością.
1864:  KMM - I jest to też serial, w którym jest rewelacyjna reżyseria dźwięku.
1869:  KMM - I to jest absolutnie coś, czym się broń.
1871:  KMM - No i oczywiście nie zapominajmy o głosie sekretarz generalnej ONZ-u.
1876:  KMM - Ja mógłbym słuchać, to byłby taki mem, że jak ona by nagrała książkę telefoniczną, to ja bym po prostu siedział i obgryzał paznokcie i tylko wsłuchany w nią.
1888:  KMM - Dojdźmy jeszcze do litery Z, błagam.
1890:  KMM - To byłoby wspaniałe.
1892:  BFP - A propos czołówki i radowania się czołówką, to my to się będziemy radować, jak już wyjdzie Lord of the Rings – Power of the Ring.
1898:  BFP - Jak widzieliście, jak wygląda ta czołówka, mam nadzieję, że widzieliście.
1902:  AK - The Making of, tak.
1904:  AK - Dosyć specyficzne.
1905:  AK - Nie zdradzajmy może, niech sobie nasi słuchacze i widzowie wygooglają i zobaczcie.
1910:  AK - Powiem szczerze, że to jest ciekawe.
1912:  AK - W dobie takiej kasy wydanej, bo to chyba jest, poprawcie mnie, jeśli się mylę, najdroższy serial ever.
1918:  AK - Tak, prawdopodobnie.
1919:  AK - Jeff sobie kupił miejsce w historii ponownie.
1923:  BFP - To jest takie wysłanie sygnału do fanów, ale zrobiliśmy detour, ale nie szkodzi.
1929:  BFP - Stawiamy na practical effects.
1930:  BFP - Mamy tyle pieniędzy, że możemy zrobić naprawdę wiele ze scenografią, z kostiumografią i zobaczycie jak wygląda czołówka.
1939:  BFP - Tak przypuszczam, ale wracając do mojej obrony expense.
1942:  BFP - Również nie jestem bezkrytyczny wobec tego serialu i również najmniej podobał mi się sezon czwarty, o którym właśnie mówił Artur, czyli ten, który dzieje się na planecie Elos.
1953:  BFP - Czyli tam, gdzie znajdują te wszelkiego rodzaju artefakty i tak dalej.
1955:  BFP - Swoją drogą trochę przypomina ten sezon i to, co się dzieje tam dla mnie.
1961:  BFP - The Foundation, ale też trochę ślepowidzenie, jeżeli chodzi o to, jak okazana jest tam ta technologia i tak dalej.
1966:  BFP - Mówimy o książce Petera Wattsa, o której jeszcze kiedyś będziemy rozmawiali na bez schematu.
1969:  BFP - Jedna z najlepszych książek science fiction.
1972:  KMM - Ciekawe, mnie przypomniało z kolei Raised by Wolves Ridleya Scott'a.
1977:  BFP - Też, faktycznie.
1979:  AK - To pewnie dlatego, że większość tych kopuł, które występują w filmach science fiction robi ta sama firma z Szczecina, Polska.
1988:  AK - I to jest fakt, dlatego że zaczęła się kariera tej firmy od The Martian.
1992:  AK - Panowie po prostu sprzedali Ridleyowi Scottowi fajne kopuły i potem się nagle okazało, że one są takie bardzo sci-fiowe, że teraz wszyscy chcą je mieć, bo one świetnie właśnie udają to, że możesz sobie coś rozstawić na planecie, trochę posypać piachem i to przypomina kolonię na, wiecie, gdzieś odległej galaktyce.
2012:  KMM - Polak potrafi, chyba że produkuje Wiedźmina.
2014:  KMM - Polak potrafi.
2015:  BFP - Ring miało nie być produkt placementu.
2018:  BFP - Ring i protomolekuła.
2022:  BFP - Bez ring nie broniłby się tytuł Expanse.
2025:  BFP - Czyli tak naprawdę my jesteśmy obserwatorami rozwoju cywilizacji, która nie następuje skokowo, tylko ewolucyjnie.
2035:  BFP - I odkrycie ring to jest trochę jak odkrycie Ameryki.
2040:  BFP - To jest moment, w którym status quo zostaje wreszcie zaburzone i belterzy mają szansę zmienić swoje położenie.
2047:  BFP - Belterzy, którzy są na pasie asteroid w naszym Układzie Słonecznym, którzy są pomiędzy Ziemią a Marsem i tak naprawdę są najbardziej eksploatowaną frakcją ze wszystkich, którzy są rozbici, nie są zjednoczeni.
2060:  BFP - mają swoje charakterystyczne zwyczaje, mają swoje ambicje, aspiracje, ale generalnie żyje im się najgorzej.
2066:  BFP - I kiedy pojawia się dostęp do tego ring, to to jest ich szansa na zmianę życia.
2070:  BFP - To jest tak jak na przykład dla ewangelików, protestantów to była szansa, żeby popłynąć do Ameryki i tam zacząć nowe życie.
2078:  BFP - I voila, założyli Stany Zjednoczone.
2080:  BFP - I Marsjanie, którzy zakładają swoją kolonię na Lakonii, i zaraz wam powiem ciekawostkę,
2088:  BFP - Są tymi, którzy stworzą za 30 lat Imperium Lakońskie.
2092:  BFP - I to co było ciekawe właśnie w szóstym sezonie i tu też nawiązuję do protomolekuły.
2096:  BFP - Otóż zobaczyliśmy dwie linie fabularne jednocześnie.
2099:  BFP - Każdy odcinek z tych sześciu zaczynał się historią małej dziewczynki na Lakoni.
2105:  BFP - I chłopczyka.
2106:  BFP - I chłopczyka.
2107:  BFP - I dziwnych piesków.
2108:  BFP - Strange dogs, które uwaga, są dronami naprawczymi.
2113:  BFP - To nie są nawet zwierzęta.
2114:  BFP - To są drony naprawcze, które wykorzystują protomolekuły, bo to one zostały stworzone miliardy lat temu przez tych, którzy stworzyli ten ring, które zostały stworzone po to, żeby swoją drogą, podobnie jak niektóre istoty w Mass Effect'cie w Cytadeli, żeby naprawiać wszystko.
2130:  BFP - I jako, że nie znają człowieka jako gatunku, to traktują go jako
2134:  BFP - urządzenie do naprawy.
2135:  BFP - Więc używają protomolekuły do tego, żeby naprawiać ludzi.
2139:  BFP - I na Lakoni odkryją sposób do tego, żeby nie umierać.
2143:  BFP - Więc protomolekuła zostanie wykorzystana, ale właśnie nie do końca z wiedzą ludzi.
2149:  BFP - Trochę na czuja do tego, żeby zbudować potężną, potężną cywilizację czy potężne imperium tam właśnie po drugiej stronie.
2156:  BFP - I zabieg jest bardzo ciekawy, bo w szóstym sezonie te krótkie kawałki, które zaczynają odcinki
2161:  BFP - To jest materiał podebrany z jeszcze kolejnej książki, której nie oglądaliśmy adaptacji w tym sezonie.
2167:  BFP - Czyli jakby biorą materiał z jednej książki i biorą z przyszłej książki materiał, pokazując, co jeszcze może się stać w tym świecie.
2175:  BFP - Ale robią to po to, żeby zostawić sobie furtkę do kontynuacji i żeby pokazać to, o co chodziło w całym tym serialu.
2182:  BFP - To nie chodzi wyłącznie o ekspansję czy rozwój geograficzny,
2188:  BFP - w przestrzeni kosmicznej i w naszej galaktyce.
2190:  BFP - Tu chodzi także o rozwój tego, czym bądź kim jest człowiek.
2194:  BFP - I teraz uwaga.
2196:  BFP - Dla tych, którzy widzieli, to nie będzie spoiler, ta dziewczynka odkrywa, że udaje się ożywić jakiegoś dziwnego ptaszka, który tam umarł, z pomocą właśnie tych dronów, które traktuje jako strange dogs.
2211:  BFP - I umiera jej brat i udaje się wskrzesić jej brata dokładnie w ten sam sposób, ale rodzice odrzucają tego brata, traktują go jak dziwnego zombie.
2219:  BFP - A mimo to ona się nie boi.
2220:  BFP - I teraz mogę powiedzieć, ona będzie bardzo ważną postacią w kolejnych książkach.
2225:  BFP - Niezwykle ważną postacią.
2227:  BFP - I to, co pokazuje ta scena między innymi, jeżeli chodzi o protomolekuły i co pokazuje ten wątek, to jest to, że a co jeżeli my się myliliśmy przez cały czas...
2237:  BFP - I ten naukowiec, który był ojcem między innymi jednej z postaci, które zginęły w pierwszym sezonie i tej postaci, kurczę akurat zapomniałem jak ona miała na imię, ale tej postaci.
2250:  BFP - Mówisz o dziewczynie?
2252:  BFP - Tak, ale jej siostra... Gao?
2255:  BFP - Tak, tak, tak, tak, tak.
2256:  BFP - To był doktor Gao.
2257:  BFP - Co jeżeli doktor Gao mówił, że protomolekuła jest sposobem na to, żeby ludzie byli w stanie szybciej rozwijać się w przestrzeni, a może, żeby byli w stanie uniknąć swojej zagłady?
2267:  BFP - Co jeżeli on tak naprawdę cały czas miał rację?
2269:  BFP - My postrzegaliśmy jakiegoś szalonego naukowca i nagle w szóstym sezonie
2273:  BFP - I w zupełnie innym układzie.
2275:  BFP - Okazuje się, że jest dziewczynka, która daje nam dowód na to, że być może jest to rozwiązanie.
2279:  BFP - Że być może to jest jedyna nadzieja na przetrwanie ludzkości na tak olbrzymim terytorium, które zajmują.
2287:  KMM - Sam nawiązałeś do Mass Effecta, więc to jest ten dylemat, który stoi przed człowiekiem iluzją.
2292:  KMM - To znaczy on też usiłował działać dokładnie tak jak ten doktor, tylko że kwestionowalibyśmy etycznie jedynie jego działania.
2300:  KMM - Natomiast to, że coś się dzieje oddolnie, bo dziecko odkrywa właśnie nieznane, pozbawione jest uprzedzeń i nie myśli o tym, co kseno, jako o czymś, co należy...
2311:  KMM - potraktować ksenocydem, że użyje uzdobionego określenia Orsona Scotta Carda.
2316:  KMM - Tylko nie, myśli sobie, to jest coś ciekawego, muszę to poznać, a naukowiec reprezentujący interesy Ziemi myśli o tym, no tak, musimy to opanować, żeby szybciej ekspandować na inne planety, żeby mieć więcej pieniędzy, żeby mieć granty naukowe i tak dalej, i tak dalej.
2333:  KMM - Jest w zupełnie innym systemie myślowym, więc to jest bardzo ciekawy dylemat też, bo pokazuje właśnie, jak ta
2338:  KMM - Jak bardzo blisko w sytuacji kolonizacji czy skoków technologicznych, które się z nią wiążą, jest nauka i polityka i w jaki sposób mogą one się znieprawiać nawzajem.
2353:  BFP - Dorzucę do pieca.
2355:  BFP - Przecież tam na tej kolonii w Lakonii jest marsjański naukowiec, stoi na czele tej kolonii, który rozwinie potęgę tego imperium.
2365:  BFP - I on nie wspiera na koniec Marko i Narosa, chociaż on oczekiwał jakiegoś wsparcia, jakichś posiłków tam z drugiej strony.
2371:  BFP - Dlaczego tego nie robi?
2372:  BFP - Przypominam, jest taka scena, w której on wychodzi na zewnątrz, bo poinformował go po śmierci tego chłopca.
2378:  BFP - Jeden z jego asystentów czy zastępców, że coś się wydarzyło i widzi statek, statek czy pewną stację, która nie jest stacją Marsjan.
2387:  BFP - To jest artefakt, relikt przeszłości po tej cywilizacji, który wreszcie zaczyna nadawać żyć.
2394:  BFP - I to jest ten moment, kiedy twórcy wysyłają nam sygnał, okej, doszło do jakiegoś przełomu i on jako naukowiec będzie w stanie rozwinąć potężne ciało polityczne, jakim będzie Imperium Lakońskie.
2404:  BFP - Także absolutnie to, co mówisz, całkowita zgoda.
2407:  BFP - Ja jeszcze będę bronił postaci, wszystkich tych trzech postaci, Marko i Naros.
2411:  BFP - Może jeszcze zacznę inaczej.
2413:  BFP - Character development w tym serialu jest wzorcowy, ponieważ postać, której nie trafiłem na początku, w pierwszych dwóch sezonach, to był Amos, którego traktowałem jako guburowatego, irytującego osiłka.
2425:  AK - Bardzo fajna postać.
2426:  BFP - Ale właśnie to, jak się rozwinął, sprawiło, że w ostatnich trzech sezonach był moją ulubioną postacią obok Avarsalii.
2434:  BFP - To o czymś mówi, to o czymś świadczy.
2436:  BFP - Obserwowałem jego ewolucję, w której on, również to fajnie jest podkreślone w ostatnim sezonie, staje się liderem.
2442:  BFP - Ta scena, w której on rzuca się na Bobby, pomimo, że ona jest w tym specjalnym pancerzu i chroni jej swoim ciałem, żeby przeżyła, jest wspaniała.
2449:  BFP - Ta scena, jak już przypomniałem sobie jej imię, Clarissa Gao, czyli siostra tamtej zmarłej
2454:  BFP - Gao i córka także doktora Gao, widzi w nim swojego mentora, to również jest jakiś testament, jakieś potwierdzenie, afirmacja tej jego pozycji liderskiej.
2463:  BFP - Ale Naomi Nagata, dobrze mówię?
2471:  BFP - Nagata, okej.
2473:  BFP - Miała znakomite sceny, szczególnie ze swoim synem Filipem.
2476:  BFP - I w poprzednim sezonie, kiedy ona była sama na tej stacji i walczyła o to, żeby przetrwać, to był dla mnie, to był najjaśniejszy punkt tamtego poprzedniego sezonu.
2484:  BFP - Marco Inaros podobał mi się jako postać.
2487:  BFP - Pomijając jego gestykulację, pomijając jego głos, co mogło się wydawać trochę takie sztampowe,
2492:  BFP - to jakby spojrzeć na jego motywację, jego rozgrywki, to była ciekawa postać.
2495:  BFP - To był człowiek, który potrafił swoją charyzmą zjednoczyć belterów, przekonać do siebie, mieć złowieszczy plan, nie bać się radykalizacji swoich pobratymców, nie bać się stosować najbardziej wymyślnych, terrorystycznych sposobów na to, żeby siać strach, uzyskać swoje cele, a jednocześnie budować sojusze.
2513:  BFP - Był genialny.
2515:  BFP - I potem okazało się, że oczywiście tak naprawdę...
2518:  BFP - potrafił poświęcić swoich, żeby tylko podążać za zemstą, co też go ciekawie uczłowieczało.
2523:  BFP - I wreszcie Holden.
2524:  BFP - Holden moim zdaniem był takim kapitanem Ameryką, bo od samego początku wyznawał kantowskie reguły moralne, to znaczy mówił, to jest dobre i koniec, nie mogę od tego odstawać, zupełnie.
2537:  BFP - Uważał, że tylko tak trzeba postąpić, kropka.
2540:  BFP - I to sprawiało, że ludzie mu ufali.
2542:  BFP - I co się dzieje na sam koniec?
2544:  BFP - Na sam koniec dokonuje brutalnego fortelu, którego nikt nie mógł się spodziewać.
2549:  BFP - Zostaje mianowany dyrektorem federacji, która będzie nadzorować handel i przepływ statków.
2557:  BFP - Tak, dokładnie.
2558:  BFP - Powstaje Hanza.
2559:  BFP - I w pierwszej minucie swojego sprawowania urzędu mówi, że składa swoje stanowisko na ręce swojej zastępczyni, czyli Kaminy Drummer i w tym samym zaskakuje nawet Awarsale, wszystkich zaskakuje.
2574:  BFP - Bo jest wizjonerem i wie, że to jest jedyny sposób, żeby utrzymać pokój.
2577:  BFP - Czyli złamał swoje reguły, złamał swoje postępowanie, bo też czegoś się nauczył w toku tego serialu, więc ja Holdena będę bronił.
2585:  BFP - że nawet jeżeli czasem was nudził, nawet jeżeli czasami wydawał się sztampowy, przewidywalny, nie był tak ciekawy jak Amos na przykład, czy znakomity Alex, który był ich pilotem, a ostatecznie wyleciał z serialu za molestowanie seksualne, co też zrobiono średnio w tym piątym sezonie, bo musieli tak dziwnie pociąć ostatni odcinek, że w zasadzie nikt się nie przejął jego śmiercią, więc naprawdę miał wyboje ten serial.
2608:  BFP - to w ostatecznym rozrachunku Holden wychodzi na naprawdę ciekawą postać i zaznaczę, że ludzie mówią, że w książkach jest znacznie ciekawszą postacią, bo jego główną cechą, jego głównym talentem jest przede wszystkim budowanie poparcia wśród społeczności i organizowanie społeczności.
2622:  BFP - Tak jak tam na tej kolonii, to takich scen, takich momentów jest więcej w cyklu tych książek i nie tylko udaje mu się zbudować świetną załogę statku Rosinante, ale również jednoczyć społeczności.
2634:  KMM - Trochę mogę polemizować tylko z oceną ostatniego gestu Holdena, to znaczy ja to czytałem trochę, bo ja jestem team Avasarala generalnie rzecz biorąc, bo uważam, że ona jest połączeniem Tyriona Lannistera i Littlefingera i jeszcze do tego wszystkiego umie lepiej unikać kłopotów niż obydwaj.
2657:  KMM - I ona jest w ostatecznym rozrachunku głównym zwycięzcą też tej układanki geopolitycznej, ponieważ zachowuje najwyższe stanowisko, jakie może mieć.
2665:  KMM - Ostatecznie jest też przywódczynią tego frontu i twarzą polityczną.
2671:  KMM - Jamesie Coldenie społeczność galaktyczna zapomni w którymś momencie, o ile go nie unieśmiertelnią jako bohatera.
2677:  KMM - Natomiast ten jego ostatni gest, ja odczytałem na to, no tak, oczywiście, po raz kolejny James Holden nie bierze odpowiedzialności politycznej.
2684:  KMM - i tu mi się strasznie nie podobało, bo ja właśnie oczekiwałem, że to jest ten jeden, jedyny moment, kiedy on może wreszcie przyznać Avasarali, że tak, że mylił się w wielu kwestiach i egoistycznie cały czas dbał o załogę jednego statku.
2696:  BFP - Zupełnie jak Jon Snow.
2698:  KMM - Zupełnie jak Jon Snow, też nie lubię tej postaci, podczas gdy równocześnie statki, jak wiemy, i załogi tych statków przecież zostały zdziesiątkowane.
2706:  KMM - To była hekatomba gigantyczna i Avasarala w którymś momencie mówi to wprost.
2710:  KMM - My już nawet nie mamy kogo wysyłać i czym kolonizować
2713:  KMM - Straciliśmy gigantyczną liczbę statków.
2715:  KMM - Swoją drogą chyba pierwszy raz w życiu w serialu usłyszałem jakiegokolwiek hierarchę politycznego czy dygnitarza, który przyznaje wprost, mamy gigantyczne straty, nie jesteśmy w stanie odbudować naszego potencjału militarnego.
2730:  KMM - We wszystkich Star Warsach i Star Trekach w nieskończoność są dorzucane kolejne statki.
2734:  KMM - I one magicznie się pojawiają.
2736:  KMM - No już nie wspomnę nawet w trylogii Disneya, gdzie nawet nie jest wspomniane to, w jaki sposób Szyf Palpatine materializuje z nicości tysiąc krążowników z gigantycznym napędem.
2745:  BFP - No oni to w ogóle chyba mają jakiś generator admirałów Akbarów.
2748:  BFP - Tak, tak, tak.
2750:  KMM - Nie, ale w stałym kanonie była stocznia Mon Cala, gdzie robiono gigantyczne krążowniki Mon Calamari, stąd ta nazwa i tam też była największa stocznia imperialna, więc było wyjaśnienie tego potencjału militarnego, ale potencjał militarny w ekspansji jest po stronie Marsa i tego kruchego sojuszu.
2769:  KMM - Ziemia nie inwestuje tak w swój rozwój, więc Avasarala musiała grać politycznie i James Holden był taką szansą na stworzenie czegoś, co będzie faktycznie ponadgalaktyczne.
2779:  KMM - Ja nie jestem pewien, czy Kamina Dromer będzie w stanie to udźwignąć.
2782:  KMM - Ona będzie myślała o interesach Belterów, więc tak, przegranym w tym momencie staje się dzięki Holdenowi Ziemia i Mars równocześnie.
2790:  KMM - I tak, Belterzy będą się rozprzestrzeniać pewnie, ale w życiu nie uwierzę w to, że ktoś taki jak Kamina Dromer, który jest takim, jakby patrzeć na klasy postaci, to oczywiście James Holden będzie rycerzem prawym, dlatego go nie znoszę.
2802:  S02 - Paladyny.
2803:  KMM - Paladynem, jeszcze gorzej.
2806:  KMM - To jest ten produkt, który się wyłania ze szkoły, jak wuefista równocześnie uczy religii.
2811:  KMM - I do tego wszystkiego mamy kamienny dramat, który jest takim typowym rug.
2815:  KMM - Ona jest rzeźmieszkiem, najlepszym jego umiejętnością jest to, że umie otwierać zamki albo łowczynię.
2823:  KMM - W każdym razie nie wierzę w nią.
2825:  AK - Amos jest dla mnie bardziej rogue'iem, a Kamina Drummer jest takim powiedziałbym, że priestem z takim backgroundem religijnym, który ma pchatą postać i wiara w jakiś jej magiczny cel.
2839:  BFP - A Marco Inaros jest bardem, a Amos jest tankiem.
2845:  AK - Nie, Marco Inaros jest złym, ale takim złym nie do końca.
2848:  AK - W sensie takim chaotycznie neutralnym?
2851:  AK - Nie, nie może być.
2851:  BFP - Ale ma wysoką charyzmę, no musi być bardem.
2854:  AK - Marco Inaros, oni bardzo fajnie by wymawiali te jego imię.
2857:  AK - On mi się kojarzy z takim klasycznym, XVII-wiecznym kapitanem piratów, który jest taki przerysowany tutaj.
2865:  AK - Wchodzi na ten helm całego, wiecie, tego statku i zaczyna wydawać te... To było niezłe z jednej strony, z drugiej strony było to upierdliwe, bo...
2872:  AK - Znaczy charyzma jego głównie opierała się na, czy tak było to budowane w serialu, na krzywdzie, na jego agresji, na tym, że był po prostu niesamowitym sukinsynem i potrafił mordować bez wytchnienia i bez żadnego pardonu.
2887:  AK - Natomiast on gdzieś dla mnie przestał być takim bardzo wiarygodnym, kiedy właśnie ta relacja z tym synem, znaczy powiem inaczej, tak, tu się trochę zgodzę z wami, jeżeli chodzi o kwestię Naomi Nagaty,
2903:  AK - Z jednej strony niechęć do zabicia swojego własnego syna dla mnie była totalnie zrozumiała, po czym niewybuchnięcie rakiety przez Jamesa Holdena było według mnie już lekkim przegięciem.
2915:  AK - To znaczy ta postać dla mnie zaczęła się, oczywiście można powiedzieć, no nie dla swojej wybranki serca zrobiłby wszystko i między innymi zachowałby przy życiu jej syna, natomiast z drugiej strony mógł załatwić cały konflikt w jednym momencie.
2931:  AK - Nie zrobił tego.
2932:  AK - Po czym bez żadnego problemu próbowali rozwalić ten statek ponownie, już trochę poświęcając celowo.
2938:  AK - A potem się okazuje, że magicznie, też spoiler alert, syn Marco Inaros i Naomi Nagaty odlatuje sobie, czyli można by powiedzieć, cholera, jeżeli ty byś jednak chciał
2951:  AK - widzu przyjąć, że James Holden wrzucił swoje wszystkie przekonania i jakby swoją całą postać do kosza i razem ze swoją partnerką rozwalili w końcu złego bandytę.
2965:  AK - Przy okazji taki cultural damage jej syna.
2969:  AK - Tu się tak okazuje, że my ratujemy go.
2970:  AK - W związku z tym nie miej wyrzutów sumienia.
2972:  AK - Oni zabili tych złych, ale ten dobry odleciał.
2975:  BFP - Trochę mi się to nie podobało.
2976:  BFP - Nawet dobiję jeszcze bardziej gwoździem kolejnym to, co powiedziałeś, bo ja się z tą zgadzam.
2981:  BFP - Nie tylko ciężkie było do przełknięcia to, że Holden rozbraja tę torpedę w momencie, czy głowicę właściwie w momencie, w którym ona uderza i może zakończyć konflikt, jakby daje całkowity popis nieprawdopodobnego egoizmu i krótkowzroczności, niegodną stanowiska kapitana statku, a już tym bardziej lidera społeczności, więc może dobrze złożył swoje stanowisko, jest jeszcze gorzej.
3005:  BFP - Amos konfrontuje go z tym, kiedy się o tym dowiedział.
3008:  BFP - Tak.
3009:  BFP - A mamy tylko sześć odcinków.
3010:  BFP - To jest bardzo kompaktowe, całkiem nieźle poprowadzona narracja, jak na sześć odcinków.
3014:  BFP - Amos go z tym konfrontuje.
3015:  BFP - Siedzi sobie w kantynie z Bobby.
3017:  BFP - Mówi, ja nie wiem, on w sumie tego nie zrobił.
3019:  BFP - Bobby w ogóle mu odpuszcza, temu Holdenowi.
3021:  BFP - Mówi, nie wiem, ja chyba nie wracam na statek.
3023:  BFP - A Bobby mówi, no weź, no chodź, no będzie fajnie, no chodź.
3026:  BFP - Mówi, no dobra.
3028:  BFP - Ani razu potem mu tego nie wygarniam.
3029:  BFP - Stary, co ty, czy ty jesteś w stanie...
