Recenzja DUNE. Czy to ekranizacja, na którą czekaliśmy?
🔗 https://www.youtube.com/watch?v=xcFjoPEcfE4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Duna, chciałbyś coś dodać do tego?
1681:  BFP - To jest pierwsza część z dwóch, dwóch rozdziałów, które złożą się na pierwszą książkę Dune Franka Herberta, bo tych książek, jak pewnie wiecie, było więcej.
1691:  BFP - Ja naprawdę żałuję, że to nie jest serial.
1695:  BFP - Ja żałuję, że to nie jest 10-odcinkowy serial, który trwałby 10 godzin i który opowiedziałby po pierwsze całą tę historię, od początku do końca, mam na myśli książkę pierwszą i nie trzeba by było czekać dwóch czy trzech lat na kolejną część czy drugi rozdział.
1711:  BFP - ale miałby czas na to, żeby trochę złapało oddechu te postaci, żeby troszeczkę zbudowały relacje.
1718:  BFP - Cały pierwszy odcinek, pierwsza godzina serialu mogłaby się toczyć na planecie rodzimej Atrydów, na Kaledonie.
1728:  BFP - Kaladan, przepraszam.
1730:  KMM - – Też się… Robiłem swoje recenzje i też powiedziałem Kaledon z Kaledonią.
1736:  BFP - I mogłyby być tam świetnie zarysowane relacje dworskie, tak naprawdę, wiadomo, między Leto Atrydą, między jego konkubiną, matką Paula, samym Paulem Gurneyem, Duncanem Idaho.
1749:  BFP - I pierwszy odcinek mógłby się kończyć właśnie w ten sposób, że wylatują statki z Caladanu i lecą na Arrakis.
1759:  BFP - Nie tylko uważam, że dałoby to więcej przestrzeni na oddech, ale gdyby na przykład HBO to wydało, bo przypomnę, że HBO Max jest platformą, na której zostaje to wypuszczone, to my byśmy mieli naprawdę następcę Gry o Tron.
1773:  KMM - Naprawdę... Myślę nawet, że byłoby lepiej.
1777:  KMM - Zrobiłeś mi krzywdę teraz, ponieważ ja teraz jestem urzeczony tą wizją, bo faktycznie ta jedna rzecz, której w tym filmie brakuje, to rozwoju postaci, nawet do tej formy, w której zostali oni zaprezentowani w książkach.
1792:  KMM - Zresztą parę widziałem też komentarzy w sieci, że brakuje bardzo tej strony poetyckiej Gurney'a Helleka, tutaj jest ona wyrażona tylko tym, że on rzuca bonmotami z książeczki, którą sobie trzyma, a on grał przecież na balisecie, instrumencie swego drogu wymyślonym przez Herberta, zrekonstruowanym przez fanów i szczegółowo opisanym.
1813:  KMM - I ona poddawała taką poetycką stronę wojownika, którą byśmy kojarzyli z podań o samurajach, prawda?
1819:  KMM - I brakuje właśnie tego rozwoju postaci, który rewelacyjnie by się dało zrobić w serialu.
1826:  KMM - Ja oczywiście mam tylko jedną wątpliwość, to znaczy serial ten musiałby być rzeczywiście zrobiony na dokładnie tym poziomie, bez filler-epizodów, bez sztucznych wypełniaczy, które się często przydarzają w serialach.
1839:  KMM - bo na to po prostu nie byłoby miejsca i czasu.
1841:  KMM - Więc gdyby rzeczywiście zrobiono to na wysokim CETA, jak pierwsze sezony Gry o Tron, powiedzmy do czwartego, piątego, to byłoby to absolutnie rewelacyjne.
1851:  BFP - Tak, no jakby nie da się ukryć, że George R. R. Martin czerpał z Duny i no przecież jest tyle podobieństw.
1861:  BFP - Jest rody, wielkie rody, które mają swoje hymny, mają swoje hasła, mają swoje ceremoniały.
1870:  BFP - Mamy smoki w postaci czerwi.
1872:  BFP - czy też czerwiów, zależy jak to odmienia.
1875:  BFP - Mamy elementy mistyczne, elementy magii, tajne zakony, które sterują władcami.
1887:  BFP - Coś jeszcze się by wymyśliło.
1888:  BFP - Szukam jakiegoś odpowiedniego przeprawy w świecie gry o tron.
1894:  BFP - To chyba byłoby złoto Lannisterów.
1897:  BFP - Idealny blueprint już powstał, więc myślę, że to fajnie wypełniłoby lukę po grze o tron, gdyby taki serial powstał.
1907:  BFP - I mielibyśmy więcej, mielibyśmy to inaczej dawkowane, oczywiście, że problemem byłoby to, że nie widziałoby się tego na wielkim ekranie.
1914:  BFP - I to jest największy kontrargument przeciw serialowi, no to jest to, że Dune'y naprawdę trzeba zobaczyć na wielkim ekranie, bo zobaczyć, bo to jest scena, którą ja najbardziej pamiętam i zapamiętam, jeżeli chodzi o Dune'ę, scena, w której
1931:  BFP - Statki Caladanu wylatują na Arakis, wylatując spod wody.
1939:  BFP - To jest ważne do podkreślenia, wylatując spod wody.
1942:  BFP - I są wielkości małego polskiego miasteczka.
1946:  BFP - Po czym kamera pokazuje szerszy kadr i widać jakieś 10 takich statków, które wyleciały spod wody i lecą w stronę Arrakis i samo lądowanie na Arrakis.
1955:  BFP - Czy pierwszy atak czerwia, którego jesteśmy świadkami, czy atak czerwia u świtu, to są, taki scen się nie zapomina, albo...
1966:  BFP - ornitopter, jak to się mówi ładnie?
1968:  BFP - Ornitopter wydaje mi się.
1970:  KMM - Ornitopter, tak.
1972:  KMM - Projekt tej maszyny jest genialny, absolutnie.
1976:  KMM - Pomijam fakt, że czerpie on, bo oczywiście została ona opisana w Encyclopedii Dune'a i tak dalej, ale on czerpie z wszystkiego tego, o czym się mówi w rozwoju technologii współczesnej, że idziemy w stronę imitacji natury.
1988:  KMM - I jest to przepięknie zrobione.
1990:  KMM - Ja nie jestem w stanie uwierzyć, że to urządzenie nie istnieje w świecie i nie działa.
1994:  KMM - I tutaj też przejdę do ważnej dla mnie rzeczy, to znaczy bardzo dużego i znakomicie pomyślanego balansu i równowagi między efektami praktycznymi, a wygenerowaniem komputerowo.
2005:  KMM - Ja, szczerze powiedziawszy, domyślam się, ale nie wiem na 100%, gdzie były użyte, jakie.
2010:  KMM - Jest to zrobione absolutnie rewelacyjnie i bardzo mi brakowało tego w kinie science fiction.
2015:  KMM - A jeszcze mówię to świeżo po obejrzeniu praktycznie całości serialu Expanse, który zawsze był chwalony za to, że tam są bardzo realistycznie zrobione efekty tego rodzaju.
2025:  KMM - Dune to przebiła w stu procentach.
2028:  KMM - Ta monumentalność świetnie przepisuje też na jakość efektów specjalnych.
2033:  KMM - Widać, że ten film został zrobiony przez absolutnych mistrzów w obróbce graficznej, w projektowaniu 3D.
2040:  KMM - Nieprawdopodobnie to jest zrobione.
2042:  BFP - Stawiamy w tym odcinku pytanie, a może deklarację, arcydzieło.
2049:  BFP - Chciałbym, żebyś Ty najpierw na koniec, zamykając tę naszą recenzję, wypowiedział się, czy jest to Twoim zdaniem arcydzieło, jeżeli tak, to dlaczego?
2060:  KMM - Wiesz, jest to dla mnie arcydzieło z bardzo osobistego powodu.
2064:  KMM - Ja traktuję sztukę jako arcydzielną w momencie, w którym chcę do niej wracać i nie mam żadnych przeciwwskazań ku temu, na przykład fabularnych, znam fabułę, więc po co mam to obejrzeć jeszcze raz, albo...
2077:  KMM - Są w tym filmie dłużyzny, więc dlaczego miałbym się nudzić, albo z jakichś względów nie podoba mi się jakiś element, po cóż.
2085:  KMM - Nawet jeżeli mi się nie podobały pewne elementy, to w dalszym ciągu będę czerpać z tego filmu przyjemność taką, jaką ja zawsze wiązałem z medią filmowym, audiowizualną.
2094:  KMM - Połączenie gnialnej muzyki sonorystycznej Hansa Zimmera z cierpliwymi
2104:  KMM - dłużącymi się kadrami Wilneva i jego powolną narracją i koncentracją na tym, żeby pokazać piękno tego świata i oddać mu sprawiedliwość, to sprawia, że ja się czuję tak, jakbym wrócił do muzeum w Sanoku i jeszcze raz stał przed płótnami Beksińskiego, wlepiał się w nie jak ciele w namalowane wota patrząc i nie wiedział, co ze sobą zrobić.
2125:  KMM - To jest taki moment dla mnie mistyczny, który ja czuję
2129:  KMM - w obcowaniu ze sztuką arcydzielną i ma to absolutnie nic wspólnego z wartościowaniem sztuki kinematograficznej.
2134:  KMM - To jest wyłącznie emocja, którą ja w sobie mam i wrażenie.
2138:  KMM - Dlatego też mogę się tylko podpisać pod wspomnianiem o imersji, od którego zacząłeś.
2143:  KMM - Dla mnie tym jest zanurzenie.
2145:  KMM - W momencie, w którym ja się zanurzam, ja się nie zastanawiam nad składem atomowym wody.
2149:  KMM - Ja się cieszę tym, że woda mnie obmywa.
2151:  KMM - Tak samo mam w Dune'ie.
2152:  KMM - Ja się nie zastanawiam nad tym na samym początku, jak to jest zrobione.
2156:  KMM - Ja się cieszę, że ten film mnie otacza.
2159:  KMM - I zrobiłem dobrą rzecz, myślę, jak poszedłem na film po raz drugi, siadłem sobie w czwartym rzędzie.
2165:  KMM - I to wrażenie mi się spotęgowało wtedy.
2168:  KMM - Dlatego bym uznał Dune'ę za arcydzieło.
2170:  KMM - Z osobistych względów i z uwagi na to wrażenie, które na mnie wywiera.
2176:  BFP - Ja mogę się podpisać pod tym, że to jest spektakl, którego trzeba doświadczyć.
2180:  BFP - W sensie uważam, że każdy, każdy, każdy, nawet ci, którzy nie lubią science fiction, nawet ci, którzy rzadko chodzą do kina, mają dobry pretekst do tego, żeby pójść do kina i doświadczyć czegoś.
2191:  BFP - To jest doświadczenie.
2193:  BFP - Dzięki warstwie audiowizualnej, dzięki niezwykłej pracy jaką włożył reżyser, montażysta, kostiumografowie, twórcy rekwizytów, praca aktorska, to sprawia, że naprawdę zabiera się do nas do innego fikcyjnego świata i ten świat jest bardzo przekonujący i zapominamy o tym rzeczywistym.
2215:  BFP - I w tym kontekście to jest wielki wyczyn.
2219:  BFP - Rzadko się coś takiego trafia.
2222:  BFP - a przynajmniej ja, na moim poziomie czysto osobistych emocji, przemyśleń, to nieczęsto na to trafiam.
2231:  BFP - Natomiast
2232:  BFP - Zanim jeszcze odpowiem, czy ja się przychylam do tego, czy to jest arcydzieło.
2236:  BFP - Denis Villeneuve stworzył jak dla mnie lepsze science fiction.
2241:  BFP - I to jest Blade Runner 2049, który odhaczył dokładnie te same punkty, które zrobiła Diona, dla mnie.
2247:  BFP - Był równie immersyjny, był nieprawdopodobnie dopracowany pod kątem production designu.
2252:  BFP - Ten świat po prostu tak, że był namacalny, tylko ociekał deszczem, a nie piachem pustyni.
2259:  BFP - ale jednocześnie wnosił dzięki po prowadzeniu postaci fabuły walor emocjonalny, którego nie ma ten film.
2266:  BFP - Ja nie mówię, że Dune'a nie ma waloru emocjonalnego, ja mówię, że nie ma takiego waloru emocjonalnego.
2271:  BFP - Ja i tak się nie utożsamiałem z żadną z postaci w Dune'ie, jak z bohaterem grajanym przez Ryana Goslinga w Blade Runnerze 2049 i także nie pozostawił mi z tyloma przemyśleniami i rozterkami natury moralnej,
2289:  BFP - jak Blade Runner 2049.
2291:  BFP - To muszę podkreślić, że wciąż jest to jeden z najlepszych filmów science fiction jakie w życiu widziałem i jego autorem jest właśnie autor także filmowej Dune'y ostatniej.
2300:  BFP - Natomiast, that being said, pomimo moich zastrzeżeń do tego, że Dune'a jest momentami trochę bezduszna, że chętniej bym zobaczył serial niż film,
2312:  BFP - to wywarła na mnie takie wrażenie i trzymając się tego samego kryterium oceny, co ty, ja naprawdę myślę już o tym, kiedy pójdę znowu na ten film, a pewnie pójdę na niego jutro bądź pojutrze, to powiedziałbym awansem dałbym temu etykiety arcydzieła.
2329:  BFP - Dlaczego awansem?
2330:  BFP - Bo ja wiem, że powstanie Chapter 2 i ja wiem, że to może być lepszy film.
2336:  BFP - I uważam, że Dune powinno się fair ocenić w momencie, kiedy będą obydwie części.
2344:  BFP - A ja tak bardzo wierzę w Villneva i tak bardzo wierzę w ten materiał źródłowy, że awansem mogę powiedzieć, jak zobaczymy drugą część, to ja nie będę miał wątpliwości, że to jest arcydzieło.
2353:  BFP - że będzie tam więcej duszy, że będzie tam więcej emocji, że ten setup, to zbudowanie świata i postaci, które w przypadku Blade Runnera nastąpiło w poprzednim Blade Runnerze,
2366:  BFP - tutaj będzie budowane na pierwszej części Dune'y, którą właśnie obejrzeliśmy, więc długo się mocowałem z tą myślą i doszedłem do wniosku, tak, chcę potraktować to jako filmowe arcydzieło, nawet nie mówię science fiction, jako filmowe arcydzieło, ale dlatego, że myślę o kolejnej części, na którą zasługujemy i na którą Denis Villeneuve jako autor tej epopei zasługuje również, więc jesteśmy w zasadzie zgodni.
2395:  KMM - Absolutnie.
2396:  KMM - Można byłoby powiedzieć, że ten prolog, bo dobrze, żeby to wybrzmiało w recenzji, że faktycznie to jest prolog do świata, po prostu wyczerpuje to, co w narracji się nazywa ekspozycją.
2407:  KMM - To jest przedstawienie świata, to jest rozłożenie piąków na planszy.
2411:  KMM - Zobaczymy, dokąd one nas zaprowadzą.
2413:  KMM - Jest niesamowity potencjał i myślę, że na pewno będzie wykorzystany, a
2418:  KMM - Jeżeli wierzyć piramidzie Freitaga, od ekspozycji idziemy tylko cały czas do punktu kulminacyjnego i będzie cały czas więcej, cały czas lepiej.
2425:  KMM - Zobaczymy tylko, gdzie wypadnie ten punkt kulminacyjny.
2429:  KMM - Ale ja z kolei mam swój ulubiony film Villneva, nie jest to wbrew pozorom Blade Runner 2049, ale bardzo niewiele brakowało, bo jest to The Arrival.
2439:  KMM - I wierzę, że jeżeli Villeneuve potrafił zekranizować to świetne opowiadanie Tedda Chianga, to absolutnie sobie poradzi z tym, co zaproponował Herbert, zwłaszcza, że fabularnie w Kronikach Duny potem dzieją się tylko jeszcze lepsze rzeczy, jeszcze bardziej szalone fabularnie.
2456:  BFP - Czekamy na Wasze komentarze, bo to chyba nie będzie niezwykłe przewidywanie przyszłości, że większość widzów bez schematu obejrzy Dune'ę i może część z Was już nawet widziała w momencie, w którym ukazuje się ten odcinek, więc naprawdę bardzo chętnie poczytamy Wasze opinie i Wasze recenzje, tym bardziej, że ja non stop w mediach społecznościowych trafiam na różnorodne opinie.
2482:  BFP - A czy trafiam na opinię od dużych fanów twórczości Herberta, że nie jest to do końca ta ekranizacja, której oczekiwali, czy na którą czują, że zasługiwali, ale tym bardziej chętnie przeczytamy wasze recenzje.
2495:  BFP - Pamiętajcie, żeby śledzić kanał Krzysztofa, pamiętajcie, żeby śledzić bez schematu i kliknąć ten cholerny dzwoneczek, bo...
2503:  BFP - W sensie i tak jest ciężko się do Was przebić z materiałami nowymi przez algorytmy YouTube'a.
2507:  BFP - Dinger dongs.
2509:  BFP - Ale dinger dongs, dinger dongs, ding ding.
2512:  BFP - I sprawdźcie inne polecane materiały bez schematu, a ja z Krzysztofem na pewno niebawem znowu się pojawimy i przegadamy jakieś inne dzieło kultury.
