Czy serialowy SANDMAN dorównał komiksowi? | Dyskusja
🔗 https://www.youtube.com/watch?v=wl8JYeE5JbY
KMM (Krzysztof M. Maj)
RC (Ryszard Chojnowski, Rysław)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  GW - Pożyłem kawałek jądra tego Maca, co ty mi pierdolisz tutaj?
1625:  RC - Oczywiście możemy powiedzieć, a to wszystko fantazja, w fantazji wszystko jest możliwe.
1629:  RC - Niby tak, ale nawet fantazja powinna
1633:  RC - rządzić się jakąś logiką, prawda?
1635:  RC - Więc niemożliwe było, albo bardzo mało prawdopodobne, że pojawienie się w XIV wieku w Anglii czarnoskórej osoby w karczmie nie wzbudziłoby żadnego zainteresowania.
1645:  RC - Mogliby zastosować taki sam zabieg, jak w przypadku odcinka czwartego, kiedy właśnie... Znaczy nie wiesz, czy oni jej nie widzą jako białej.
1653:  RC - Większy problem mam z Karczmarką, o którym mówisz.
1656:  RC - Czemu w serialu pokazano Sandmana jako czarnego?
1660:  BFP - Ale pokazano go na moment, na jedną sekundę, żeby pokazać perspektywę jej ukochanej nady.
1664:  RC - Ja nie mam problemu z tym, żeby te wieczne istoty miały dowolne kolory skóry.
1672:  BFP - Przepraszam, tak jak napisał Wolfi w tym momencie, tak jak napisał Wolfi, nie mamy niczyjego POV, żeby móc spojrzeć na śmierć inaczej niż jest, więc ja absolutnie nie mam z tym problemu.
1682:  BFP - To, z czym mam problem, to jest rzeczywiście ta karczmarka, która jest czarnoskóra.
1685:  BFP - Ja to przeoczyłem, ale jeżeli tak jest, to to jest idiotyczne.
1689:  RC - Natomiast główny problem, już tam naszego Lucienne, czy naszą Lucienne pomijam, czyli kamerdynera i bibliotekarza świata snów, który w ogóle jest w komiksie inną osobą, nie wymądrza się, nie jest taką protekcjonalną postacią.
1711:  RC - I jest wsparciem dla Morfeusza, a nie tutaj patrz Morfeuszu, ja tutaj jestem osobą, która wie lepiej i przyjdziesz mnie przepraszać jeszcze.
1723:  BFP - Nie, przepraszam.
1724:  BFP - Nie, nie, przesadziłeś.
1726:  RC - Oczywiście, że przesadzam tutaj.
1727:  BFP - Ale przesadziłeś dlatego, bo to jest nieprawda.
1729:  BFP - To znaczy Lucien
1731:  BFP - Nie spiera się z Morfeuszem.
1733:  BFP - Jak Morfeusz mówi, to ja mam rację, to ona siada i instruuje Matthew, że ma ją wyłączyć z obiegu.
1739:  BFP - Ale jak się ona zachowuje?
1741:  S01 - Jak się zachowuje?
1741:  BFP - Zachowuje się tak jak... Tak jak Alfred z Batmanem.
1744:  RC - Nie, zachowuje się tak jak obrażona pani domu.
1748:  RC - Nie, całkowicie się nie zgadza.
1750:  RC - Możemy się nie zgadzać.
1751:  KMM - Ja chciałbym się połowicznie zgodzić.
1752:  KMM - To znaczy popieram absolutnie i w 100% zdanie dotyczące podróży historycznej.
1759:  KMM - Jeżeli nie ma POV, to POV należy zrobić.
1761:  KMM - I to jest coś, co robimy w narracji.
1763:  KMM - Narracja na tym polega.
1765:  KMM - Jeżeli w serialu jest coś pokazane
1767:  KMM - jako fakt światotwórczy, to znaczy, że byty, teraz pomylę i powiem eternal zamiast endless, są postrzegane różnie przez różne postaci, to jest to genialne rozwiązanie takiego problemu i takiego konandrumu światotwórczego, jakim jest niezgodność realiów historycznych z realiami przedstawionymi w serialu.
1788:  KMM - To jest raz.
1790:  KMM - jest bzdurą rozpowszechniana przez ludzi narracja, że jeżeli coś jest fantazja, to nie ma być realistyczne.
1795:  KMM - Na odwrót.
1796:  KMM - Jeżeli jest fantazja, to ma być na wskroś realistyczne.
1799:  KMM - Jedna z najbardziej nośnych form definiujących allotopię, czy inny świat, to jest świat bardziej realny niż świat rzeczywisty.
1806:  KMM - On musi być bardziej realny, ponieważ nie mamy dostępu do tej rzeczywistości.
1810:  KMM - I tak samo jest z historią.
1811:  KMM - Jeżeli bawimy się historią,
1814:  KMM - OK, możemy to robić, tylko musimy być wtedy przygotowani na to, że ludzie będą sięgali do dokumentów historycznych i mówili, ale zobaczcie, tam tak nie było, prawda?
1822:  KMM - I mają do tego święte prawo.
1823:  KMM - W przypadku fantasy mogą też sięgać do czegoś, to znaczy mogą sięgać do lorebooka i mówić, zobaczcie, tutaj mam inne świadectwa pokazujące, że tak nie było.
1831:  KMM - Więc jeżeli się przenosimy w świecie fantasy do świata historycznego, to ten świat historyczny musi być reprezentowany zgodnie z realiami, w których został okazany, czyli żadnych czarnoskórych skarczmarek,
1840:  KMM - W Wielkiej Brytanii, ponieważ nie obchodzi mnie niniejszym toż, Wielka Brytania i Stany Zjednoczone muszą sobie odgrywać traumę kolonializmu we wszystkich swoich produkcjach.
1848:  KMM - To jest ich trauma, prawda?
1849:  KMM - To znaczy to Wielka Brytania doprowadziła do sytuacji, która jest w tej chwili na granicach Indii i Pakistanu i to oni są odpowiedzialni moralnie i etycznie za te wszystkie rzeczy.
1858:  KMM - I w związku z powyższym tutaj absolutnie się zgadzam z Lesławem, że jest to edgy, trąci to hipokryzją.
1865:  KMM - I można było to zrobić inaczej, zwłaszcza, że ja akurat, i tutaj właśnie połowiczność mojej zgody się w tym wyraża, uwielbiam postać śmierci, jest wdzięczna, sympatyczna i jak porównałem ją... Absolutnie tak, ona jest fantastycznie zagrana.
1878:  S01 - I jeszcze jedna rzecz...
1880:  S01 - Przesympatyczna.
1881:  KMM - Jest ucharakteryzowana na tamtą śmierć, mimo innego koloru skóry i to jest coś, co ja bardzo doceniam w czasie, w którym zmienia mi się wygląd kompletnie postaci.
1892:  KMM - Cały czas myślę o Rings of Power.
1894:  KMM - Każe mi się wierzyć w jakiś idiotycznych, teraz wyszła kolejny materiał promocyjny, jak w szamponach z Hands and Shoulders bohaterowie w jakiejś sepi się pokazują ze sobą.
1904:  KMM - jakaś bzdura aktorka grająca czarnoskórą krasnoludkę za każdym razem mówi, że this is the first female dwarf of color reprezentacją i ja nie mogę tego wytrzymać, ponieważ po pierwsze mieliśmy kobiety krasnoludy w Hobbicie, a po drugie dwarf of color naprawdę
1920:  KMM - U Tolkiena nie.
1921:  KMM - Więc są pewne zjawiska, które należy potępiać z tej samej grupy, ale są takie, które należy doceniać właśnie za to, że zostało to zrobione dobrze, na zasadzie pewnego kompromisu.
1932:  KMM - Jest zmieniony kolor skóry, jest race swap, ok, ale równocześnie jest charakteryzacja.
1937:  KMM - Są atrybuty, jest ang, jest charakterystyczny strój, rozpoznaje się śmierć jako śmierć.
1943:  KMM - Jak śmierć podchodziła do Sandmana, to ja nie miałem takiego... Bo ja nie wiem, o co się toczy dyskusja.
1946:  BFP - Właśnie przeczytałem komentarz od Kacpra.
1948:  BFP - W tej scenie nie ma żadnej czarnej karczmarki.
1951:  BFP - Śmierć podnosi piwo ze stolika, które jest zakryte za jedną z postaci w karczmie.
1955:  BFP - Tak więc ta scena nie zaburza historyczności.
1957:  RC - Fajnie, jakby ktoś to zweryfikował.
1959:  RC - Jest scena z czarną skórą, z karczmarką naprawdę.
1961:  RC - Na 100%.
1962:  RC - Ja ją jedynie zauważyłem.
1964:  RC - Ale to jest drobiazg.
1965:  RC - Ona jest w cieniu.
1965:  BFP - A ja tego nie zauważyłem.
1967:  BFP - Kompletnie, więc to nie jest tak, że mamy czarnoskórego Shakespeare'a w tym serialu, bo wtedy ta dyskusja miałaby mocniejszą nawet wymowę, ale jeżeli ja nawet nie zauważyłem takiej postaci, to czy jest o co kruszyć kopię?
1979:  RC - Nie, to jest wspomnienie, głównie mi chodziło o postać śmierci, która mogła być dostosowana.
1986:  RC - Natomiast mówię, ja ze śmiercią nie mam takich problemów.
1988:  RC - Dla mnie największy problem, jeśli chodzi o zmianę rasy, to jest unity.
1993:  RC - ponieważ jest to zmiana też mało prawdopodobna, jeśli chodzi o realia historyczne.
2001:  RC - I dwa, zmiana, która w ogóle całkowicie zmienia wątek Jedha albo go modyfikuje w taki sposób, że może być jakby takim...
2020:  RC - elementem, który wręcz zachęca do właśnie międzyrasowych.
2025:  RC - I mówię, to jak to odebrałem, dla osób, które nie wiedzą, Unity Kincaid to jest postać, która kiedy zostaje nasz sen uwięziony w pierwszym odcinku, zapada w śpiączkę i ona później jest jedną z wiodących postaci w tej drugiej części wątku wiru snu, ponieważ uwaga, raz jeszcze podkreślamy, tu będzie mnóstwo psujów, spoilerów, więc ona miała być tym pierwszym virem snu i ta jej
2054:  RC - dziedzictwo przeszło na jej prawnuczkę.
2057:  RC - W komiksie była to wnuczka.
2060:  RC - Jaki się problem pojawia?
2061:  RC - Problem się pojawia taki, że kiedy mamy Jonitę Kincaid czarną skórą na początku XX wieku i okazuje się, że jest z bardzo bogatej rodziny, która była właścicielami tam chyba cukrowni i cukier Kincaid aż do XXI wieku jest dostępny.
2081:  RC - okej, to jeszcze jestem w stanie zrozumieć, natomiast to, że ona w roku 2020 wygląda jak miała lat 60, kiedy ma lat ponad 100, to jest problem, ale to nie jest problem rasowy, to jest problem kontynuacji.
2099:  RC - Problemem jest to, że jej dzieci oczywiście też są czarnoskóre i dochodzimy do sytuacji, kiedy mamy Jedha,
2105:  RC - super sympatycznego chłopca, który jest męczony przez tych parszywych, złych rednecków białych.
2113:  RC - On w komiksie był męczony przez parszywych, złych rednecków białych, ale on też był biały.
2118:  RC - W ogóle ci ta rodzinka była też inaczej przedstawiona zupełnie.
2123:  RC - Jako superbohaterowie.
2126:  RC - On tak sobie myślał.
2131:  RC - W ogóle mówię, wątek jego wuja i jego ciotki jest w serialu, jego ciotka jest bardziej taką zastraszoną przez złego męża, który tam robi temu dziecku straszne rzeczy.
2145:  RC - W komiksie robi gorsze rzeczy i wygląda jak typowy jeszcze taki redneck.
2150:  RC - Tylko mówię, w obecnej sytuacji
2153:  RC - Możliwe, że ja jestem już przewrażliwiony, ale pokazywanie jak biali męczą czarnoskórego, uroczego chłopca,
2164:  RC - jest, no, nie wiem, nie wiem, czy potrzebne.
2167:  RC - Nie wiem, czy to jest potrzebne.
2168:  RC - Nie wiem, czy ta zmiana była konieczna.
2171:  RC - Czy ten wątek musiał być tak zmieniony.
2174:  RC - Moim zdaniem nie.
2175:  RC - Z drugiej strony cała postać Rose jest świetnie zagrana.
2178:  RC - Przeurocza dziewczyna.
2179:  RC - Bardzo, bardzo fajna.
2180:  RC - Jet też fantastyczny chłopak.
2182:  RC - Z tym, że, no mówię, ta zmiana jest... Nie wiem, no...
2187:  RC - Jeśli coś zmieniamy, to zazwyczaj robimy to w jakimś celu.
2191:  RC - Musimy mieć jakiś kierunek, w którym podążamy.
2195:  RC - Jeśli naszym pomysłem jest zmiana tylko po to, żeby zadowolić obecne panujące trendy i przekazy, to musimy też się zastanowić nad konsekwencjami tej zmiany.
2209:  RC - A tutaj konsekwencje są takie, upraszczając bardzo oczywiście,
2214:  RC - Biali źli, czarni dobrzy.
2216:  RC - I to jest moim zdaniem, to jest niezwykle rasistowskie.
2219:  RC - I to jest coś, co mi nie zagrało tutaj po prostu.
2224:  RC - To jest coś, co mi nie zagrało.
2225:  RC - Oczywiście są różne opinie, jak ktoś ma inne zdanie, to ja jak najbardziej szanuję, ale to jest coś, co mnie... Ja bym wrócił do tego wątku, bo ja...
2237:  BFP - Dzieluję się z tą komentarzem i zostańcie z nami, zaraz go też usłyszycie, który podzielam.
2244:  BFP - Przepraszam, przeczytałem właśnie komentarz, który w tym momencie banuję, ponieważ ktoś użył słowa rasistowskiego.
2256:  BFP - Jesteś wyciszony, kolego.
2258:  BFP - Nie ma miejsca na rasizm ani mowę nienawiści w tym miejscu.
2262:  BFP - Wszystko co mówi Rysław jest sensownie wyargumentowane na tyle, że sprawia, że ja mam problem z tym, żeby bronić tego serialu momentami.
2270:  BFP - Ale mówienie w taki sposób wylatujecie z tego czatu.
2275:  BFP - Niech będzie jasne.
2276:  BFP - To jest miejsce, w którym ludzie rozmawiają kulturalnie i mają szacunek do innych ludzi i próbują argumentować, a nie posługiwać się obraźliwymi pojęciami.
2286:  RC - Ja nawet nie wiem o co chodzi, przepraszam.
2288:  BFP - No nie, ktoś po prostu użył słowa na N tylko w języku polskim.
2293:  BFP - Tak.
2294:  BFP - I pojawiła się jeszcze informacja, że nie było czarnoskórej karczmarki w XIV wieku.
2300:  RC - Tylko w XVI.
2300:  BFP - Tylko w XVI.
2301:  BFP - Także
2304:  BFP - To też nie jest.
2306:  BFP - Oczywiście możemy mówić wtedy już o kolonialnej Wielkiej Brytanii i trochę zmienia się wtedy postać rzeczy.
2312:  RC - Nie, jeszcze nie.
2315:  RC - Lata, kiedy nam Szekspir nieistniejący, o tym trzeba by w ogóle nagrać.
2319:  BFP - Kasper Janik właśnie mówił, że tam w XIV wieku pojawia się ciemnoskóry kupiec,
2325:  BFP - co jest okej.
2326:  BFP - Natomiast tak, jeżeli pojawia się ciał nos Kora Kaczmarka, też uważam, że to jest po prostu na siłę.
2332:  BFP - Ja przyjmuję taką perspektywę Krzysztofa.
2335:  RC - Czy to wyprowadziło mi z inmersji?
2337:  RC - Nie wyprowadziło mi z inmersji.
2339:  BFP - Ale oddajmy głos Grzegorzowi.
2341:  BFP - Teraz przypominam, mówimy o tym, na ile uważasz, że ten materiał jest wierny albo odchodzi od ducha oryginału i jak ty to postrzegasz?
2351:  GW - To jeszcze mnie wróci w ciekawym momencie dyskusji.
2353:  GW - Ale możesz się odnieść też do tego, co mówiliśmy teraz.
2356:  GW - Jak dla mnie to generalnie jest tak, że jeżeli chcemy się trzymać jakichś... Ja cały czas będę upoczywie trzymał się tego, że jeżeli ktoś nadaje sobie jakieś reguły, to żeby ich nie zmieniał w trakcie.
2369:  GW - Więc jeżeli ktoś zakłada, że mam kompletnie
2372:  GW - odjechany po prostu świat, gdzie everything goes, ok, ale jeżeli ktoś nadaje jakieś sobie ramy, to później niech się ich trzyma, bo inaczej mnie to wytrąca z odbioru.
2380:  GW - Więc jeżeli się trzymam jakichś zasad historycznych, no to dobrze by było, żeby to było trzymane.
2386:  GW - Natomiast kompletnie mi nie przeszkadza zmiana ani płci, ani wyglądu jakiejkolwiek postaci, która jest tymi...
2398:  BFP - Musisz się podgłosić troszeczkę Grzegorz jakoś, jeżeli masz taką możliwość, bo pojawia się prośba, żebyś był ciut głośniej.
2405:  GW - Teraz tak?
2406:  GW - Myślę, że jest okej.
2406:  GW - No dobra.
2407:  GW - Jeżeli tyczy się to jakichkolwiek postaci w sinieniu, czyli w tym wyimaginowanym, nieświadomym świecie i tak dalej, to tam, jak dla mnie, everything goes.
2420:  GW - Jeżeli ktoś zmieni płeć, czy ktoś zmieni...
2425:  GW - orientację, czy ktoś zmieni kolor skóry, no to tutaj mi jest naprawdę wszystko jedno.
2432:  GW - Jeżeli ktoś chce się bawić jakieś właśnie ramy historyczne, no to wtedy lepiej, żeby się tego trzymał, bo po prostu niektórych to może wytrącić z równowagi, jak dla mnie tutaj temat skończony.
2441:  GW - Jeżeli chodzi o trzymanie się oryginału, no to właśnie to, do czego nawiązywałem bardzo dobrze, że wycięto
2448:  GW - To też być może trochę z przymusu, ale bardzo dobrze, że wycięto wszystkie motywy z komiksu, ze względu na to, że to by troszeczkę rozmawiało o odbiór.
2461:  GW - Bo mamy przecież też to, że John leży w Arkham.
2469:  GW - John Dee leży w Arkham.
2474:  GW - W celi obok chyba Scarecrowa.
2478:  GW - Później on w momencie, kiedy wychodzi na zewnątrz, to on się pojawia w iluś arkach komiksowych, dotyczących arkam też w innych komiksach, jako Doktor Destiny.
2488:  GW - Tego też nie mamy.
2489:  GW - A to dobrze.
2491:  GW - No właśnie, dobrze.
2493:  GW - To odejście właśnie od tej całej warstwy Detective Comics jest jak dla mnie bardzo pozytywne.
2500:  BFP - Mansion Manhunter też się pojawiał w pewnym momencie.
2506:  RC - Na kadrach tutaj mamy stracha na wróg.
2509:  BFP - Tak, tak.
2509:  BFP - Jeszcze się pojawia potem jak on go odnosi do tego Johna Dee dokładnie.
2514:  GW - Rewelacja.
2514:  GW - I właśnie dlatego tutaj to odejście od oryginału jest dla mnie jak najbardziej pozytywne.
2521:  GW - Jeszcze ciekawszym jest to, że właśnie te uzupełnienia, których nie pokazano w komiksie, były zawsze off screen.
2527:  GW - Na przykład śmierć Ethel Cripps, która w komiksie była tak poza kadrem trochę, a tutaj pokazano to, jak działał ten amulet chroniący tę kobietę, gdy oddawała go Johnowi.
2542:  RC - Jeśli mogę, to właśnie jest zupełnie zmienione działanie tego amuletu, ponieważ w komiksie Ethel jest starowinką, a tutaj ona zachowuje atrakcyjność, względną młodość przez stola.
2553:  RC - Ona kradnie ten amulet z domu Johna Burgessa.
2565:  BFP - pana demonów, a tutaj żona przehandlowała ten Rubin za coś.
2569:  RC - Nie, nie, nie.
2571:  RC - Jest pokazana scena.
2573:  GW - Lepiej, bo jest nawiązane później w serialu, że tak naprawdę wzięła, wymieniła go za hełm, bo była scena rozmowy z tym demonem, od którego później Sandman odbierał hełm, że wymienił go na Protective Amulet by Fairtrade.
2591:  RC - Ale ona jest też pokazana, kiedy mamy scenę z Moirami, jest pokazana... Panie Łaskawe, czy... Z Moirami.
2603:  RC - By many names they go.
2605:  RC - Tak, one mają wiele imion.
2608:  RC - I jest pokazana, że to ona dokonała tej wymiany w komiksie,
2614:  RC - Był to pan Sykes, który... Tutaj mamy kolejny przykład tej zlamianej rasy.
2620:  RC - Mamy pana Sykesa, który był w komiksie tym, powiedzmy, pomocnikiem naszego głównego demonologa, który go oszukał i uciekł wraz z Ethel i później wykorzystał moc swojej umiejętności do przywołania demona, przehandlowania tego demona,
2639:  RC - przehandlowania hełmu za amulet, który został wykradziony przez Ethel.
2644:  RC - Tutaj to zostało uproszczone.
2646:  RC - Tutaj zostało uproszczone w ten sposób, że to Ethel ucieka, zabierając wszystko i jest pokazane, że to ona dokonuje tej wymiany podczas rozmowy właśnie z Moirami.
2658:  RC - Moiry pokazują scenę przecież z nią, jak ona klęczy przy pentagramie chyba.
2662:  RC - i ona dokonuje wymiany hełmu na amulet ochronny, a postać pana Sykesa w ogóle gdzieś znika, zostaje pominięta.
2674:  RC - Więc tutaj nastąpiło takie zawężenie wątków, skondensowanie, żeby pokazać głównie postać Ethel, która znowu w komiksie jest reprezentowana na dwóch, trzech kadrach tak naprawdę później.
2689:  RC - Czyli ten wątek jej został rozwinięty bardziej.
2692:  BFP - Grzegorz, jak ty oceniasz?
2693:  BFP - No właśnie chcę, żebyś kontynuował.
2695:  GW - No i tak naprawdę chyba taką większą zmianą, która mi się w zasadzie podobała, bo to był taki łącznik wszystkich, trochę sztuczny, ale wciąż łącznik wszystkiego, to był Korynczyk, który jest od samego początku.
2710:  GW - Tak.
2711:  GW - A nie tylko tak naprawdę w tym jednym arku, tym dollhouse, o ile dobrze kojarzę.
2719:  RC - Tak naprawdę Korynczyk się pojawia w domu lalki i on się pojawia tak naprawdę dopiero przy zjeździe kolekcjonerów.
2725:  GW - Serial convention.
2728:  RC - To jest jeden z moich ulubionych momentów i komiksu, znaczy Domu Lalki i serialu.
2735:  GW - A tutaj świetnie to właśnie pokazali, że... To jest główny antagonista tego sezonu.
2739:  GW - Tak, główny antagonista i tego się akurat nie spodziewałem, bo tak się zastanawiam, co on robi w tym momencie przecież?
2744:  GW - Trochę to tak ni stąd, ni zowąd od samego początku.
2749:  GW - ale no właśnie raz, że tutaj zrobili go właśnie znacznie, jakby pogłębili i te jego rozmowy z Sandmanem były też ciekawe i głębokie, ale jeszcze do tego były świetnie zagrane i to zrobiło robotę.
2768:  GW - Więc generalnie jestem, jeżeli chodzi o odejścia od oryginału, generalnie zadowolony.
2774:  GW - Ja mam tutaj akurat uwagi.
2775:  RC - Jeśli mogę dosłownie na momencik jeszcze wejść, tylko chciałem powiedzieć, że niestety początek serialu, to co się dzieje tuż przed uwięzieniem Morfeusza jest niekanoniczne, jeśli weźmiemy pod uwagę Uwerturę Sandmanową.
2789:  RC - Czyli komik, który powstał
2792:  RC - 20 lat po zakończeniu... Tak, w 2006.
2795:  RC - W 2016 chyba.
2796:  BFP - W 2016, masz rację.
2798:  RC - W 2016.
2799:  RC - Jest też polskiej wersji, jakby ktoś szukał, też wydany chyba w świecie komiksu.
2802:  RC - I w tymże komiksie są pokazane chwile, które prowadzą do uwięzienia Morfeusza.
2809:  RC - I one...
2810:  RC - nie idą w parze z tym, co widzimy w serialu, kiedy Morfeusz, nawet w pierwszych scenach Morfeusz zostaje wezwany przez osoby starające się przywołać śmierć w momencie, kiedy przeszkadza Koryntczykowi, kiedy w zasadzie chce go unicestwić, prawda?
2827:  RC - Tutaj jest to zmienione.
2828:  RC - Ciekawe, czy w ogóle...
2830:  RC - No nie wiem, czy mają plany jakieś na Uwerturę, ale chyba już zmieniono.
2835:  BFP - Chciałbym jeszcze usłyszeć opinię Krzysztofa, bo my dużo mówiliśmy o tym, jak my porównujemy pierwowzór komiksowy z tym, co zobaczyliśmy w serialu, ale Krzysztof,
2849:  BFP - Nie ma tego backgroundu komiksowego.
2852:  BFP - I chciałbym dowiedzieć się od Ciebie, jak Ty poczułeś się w tym świecie.
2856:  BFP - Czy czułeś się zagubiony?
2857:  BFP - Bo jak ja, przepraszam, że jeszcze zrobię takie uzupełnienie, o co mi chodzi.
2861:  BFP - Jak ja czytałem komiks, nawet dzisiaj, jak odświeżałem, to też jako osoba, która lubi bawić się w rozszyfrowywanie światów fikcyjnych i światotwórstwo, miałem problem z tym, żeby sobie to zmapować, tak jak powiedziałeś American Gods.
2874:  BFP - Bo to trochę takie jest, to czerpie z różnych religii, z różnych mitologii, z różnych nurtów kulturowych i nie do końca zawsze ma sens.
2882:  BFP - Nie do końca perfekcyjnie są poukładane, bo to jednak jest ta estetyka snu.
2886:  BFP - W snu rzadko cokolwiek ma sens.
2888:  BFP - Jak ty się w tym odnalazłeś, jak ty to odbierasz i oceniasz?
2891:  KMM - No powiem tak, że przewidując trochę twoje pytanie, aż sięgnąłem wcześniej do regału, tutaj jest pierwsza książka, jaka wyszła w Polsce na temat kompendii, kompendiowa.
2903:  KMM - Rękopis Znalezionych Smoczej Jaskini Andrzeja Sapkowskiego.
2905:  KMM - Zawsze powtarzam, że to jest pierwsza książka na temat fantasy popularnonaukowa, ponieważ dopiero potem naukowcy polscy dostrzegli, że taki gatunek w ogóle istnieje.
2915:  KMM - Ja niestety miałem nieszczęście być jednym z nich.
2917:  KMM - Nieszczęście dlatego, że to była najtrudniejsza do napisania książka, bo nie było żadnych źródeł.
2920:  KMM - Anywho.
2921:  KMM - Tutaj jest taki rozdział dotyczący gatunku, który reprezentuje ten serial.
2927:  KMM - Na ile reprezentuje go komiks
2930:  KMM - Znów nie będę się wypowiadał, najbliżej specjaliści mówią w odniesieniu do Gaimana i do całokształtu jego twórczości o New Weird, czyli właśnie już przywołanej przez Ryszarda tej fantastyce, która jest powiedzmy odpowiednikiem tego, co nowa fala w science fiction zrobiła.
2947:  KMM - amalgamat konwencji, romansowanie z horrorem, z grozą, wprowadzanie wątków niesamowitości, ale również pokazywanie bardziej współczesnych tematów.
2958:  KMM - Andrzej Sapkowski ma talent do tego, żeby ująć skomplikowaną rzecz w prosty sposób, dlatego przytoczę w fragmencie jego definicji tego,
2966:  KMM - moim zdaniem odnosi się lepiej do tego, czym jest serial i wyjaśnia, dlaczego mnie nie przeszkadzały różne tam elementy, wliczając w to osoby o różnych kolorach skóry.
2975:  KMM - Mianem urban fantasy, czyli fantastyki miejskiej określamy utwory utrzymane w poetyce pikarejsko-wielkomiejskich ballad.
2982:  KMM - Schmelmer Roman, czyli właśnie powieść pikareńska, West Side Story lub punk rocka, w których magia i fantazja wkraczają do betonowo-asfaltowej dżungli naszych miast ulicą Nowego Jorku biega
2992:  KMM - biały koń ratując bohatera z rąk młodzieżowego gangu, a elfy szwendają się po McDonaldach.
2997:  KMM - To jest przepięknie powiedziane, jak świat fantastyczny, czy świat fantasy w zasadzie, jest niejako naniesiony na naszą rzeczywistość, musi się w niej odnaleźć.
3009:  KMM - I przykładem takim
3011:  KMM - który mnie oswoił z tą konwencją i także z reprezentacją różnych współczesnych problemów politycznych w świecie fanpazy był chociażby Ben Aronowicz z Rzeki Londynu, który opowiada historię czarnoskórego maga przyjętego do Scotland Yardu, który musi się tam odnaleźć i wszyscy oczywiście są względem niego rasistowscy.
3029:  KMM - I to działa.
3030:  KMM - Więc ja patrząc na Sandmana z tej perspektywy i na jego ekranizację, byłem w stanie o wiele więcej zaakceptować, niż bym zaakceptował i niż kiedykolwiek zaakceptuję w odniesieniu do klasycznej fantasy.
3042:  KMM - Dlatego też, jeżeli by ktokolwiek poszukiwał sprzeczności w tym, że tu się Krzysztofowi podoba Sandman, a tu w Rings of Power nie, a tutaj u Sapkowskiego nie, to właśnie dlatego.
3052:  KMM - To są różne gatunki.
3054:  KMM - I w momencie, w którym mamy do czynienia z urban fantasy, z fantastyką miejską, to jest fantasy, która zakłada, że w tym świecie doszło do rewolucji przemysłowej i do przemian obyczajowo-politycznych takich, jak u nas w XIX wieku.
3067:  KMM - Czyli do momentu, do XIX wieku w zasadzie te światy są takie same, a nagle w XXI wieku odkrywamy, o fuck, tutaj pchli targ prowadzą elfy i krasnoludy, myśmy o nich wcześniej nie wiedzieli.
3077:  KMM - I one się nagle pojawiają i konfrontowane są z różnymi problemami rasistowskimi czy politycznymi w naszej rzeczywistości.
3083:  KMM - I z tej perspektywy Sandman się broni.
3086:  KMM - I ja też tak Sandmana oglądałem.
3088:  KMM - Oglądałem go z podobnym bagażem, z jakim podchodziłem do chociażby już przywołanego wcześniej tutaj na czatach i słusznie Cienia i Kości według Libardugo, który również reprezentuje nurt fantastyki miejskiej, ale także Carnival Row czy His Dark Materials.
3104:  KMM - To są wszystko te fantasy współczesne, nazwijmy to, w których moim zdaniem się odnajduje dobrze Sandman Gaimana i jak znam Gaimana, on bardzo świadomie pozwalał sobie na tego rodzaju zmiany.
3116:  KMM - Zresztą komentował to na Twitterze za każdym razem, jak ktoś z nim polemizował, że właśnie taka była intencja.
3121:  KMM - Więc tutaj mamy jaskrawy przykład tego, jak zaangażowanie autora może wyjść na dobre serialowi.
3129:  KMM - W przypadku zaangażowania natomiast Andrzeja Sapkowskiego w Wiedźmina, czy niestety Tomasza Bagnińskiego, to wyszło na gorsze i to tak zdecydowanie.
3137:  BFP - A wiecie, z czym mi się kojarzy ten świat?
3139:  BFP - Ja jeszcze wtedy nie miałem języka, żeby to w ten sposób nazwać.
3144:  BFP - ale teraz, kiedy oglądałem serial, o tym pomyślałem, ja rzeczywiście czułem się w tym świecie lepiej, ponieważ znałem to wszystko z dwóch pierwszych tomów, potem jak jeszcze się pojawi Loki, pojawi się Odyn, pojawi się Destruction, jeszcze więcej bogów się pojawi także z Panteonu Egipskiego, zresztą American Gods zostało zbudowane na jednym z tomów, chyba siódmym tomie Sandmana tak naprawdę, to ja miałem takie wrażenie i takie poczucie, jak kiedy pierwszy raz grałem w Dark Souls.
3173:  BFP - I potem Feldenringa, że to nie jest świat, w którym opowiadam się... Przepraszam, jakaś aluzja?
3187:  BFP - Rysław, sam to powiedziałeś.
3188:  BFP - To nie jest świat, w którym opowiada mi się historię jakiejś postaci.
3191:  BFP - To jest świat, w którym czyni się aluzje dotyczące mitów i legend i baśni.
3197:  BFP - I Gaiman właśnie tak bardzo zmiksował te wszystkie baśnie, legendy, postaci historyczne, bo przecież będziemy mieli Szekspira, będziemy mieli Oktawiana Augusta, wspaniałe postaci, wspaniałe historie.
3210:  BFP - No, Rysław.
3211:  RC - Ale to dopiero będzie tutaj, w Krainie Snów.
3215:  BFP - Tak, ale to pokazuje jaka jest pojemność tego świata.
3220:  RC - Będzie jego syn Orfeusz.
3225:  RC - Wystarczy odjąć M. Ja już Krzysztofowi wszystko zespoilowałem.
3228:  RC - Taka smutna historia.
3229:  BFP - Ja już wszystko Krzysztofowi zespoilowałem.
