Patrz jak ZMASAKROWALI mojego Wiedźmina😞| Rodowód Krwi
🔗 https://www.youtube.com/watch?v=A_bkAVrvoR0
KMM (Krzysztof M. Maj)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

29:  BFP - Kochani, już jesteśmy na żywo, już jesteśmy na żywo, wydzielimy sobie za moment czat.
1505:  BFP - normalnie po prostu ludzie, jak ich widzę pod żabką na co dzień.
1510:  KMM - Słowo kluczowe, ludzie, to znaczy jeszcze bym szybko podbił to, co mówicie.
1514:  KMM - Elfy są ludźmi w tym serialu, w stu procentach.
1516:  KMM - Oni mają nic wspólnego z elfami.
1518:  KMM - Dlatego te spiczaste uszy tak Artura rażą.
1521:  DS - Ja w ogóle na początku im nie do końca uwierzyłam, bo ja już wiem, że oni czasem mówią jedno, potem robią drugie, tak jak z Harfutami.
1526:  DS - Wiecie, Harfuty mają wielkie serca, ale potem zostawiają innych na śmierć.
1529:  DS - W związku z czym
1531:  DS - Tak, żeby umarli.
1534:  DS - W związku z czym ja im nie ufałam na początku i za każdym razem, jak pojawiała się nowa postać, to tak miałam... Czy to na pewno jest elf?
1539:  DS - Czy to na pewno jest elf?
1540:  DS - Gdzie on ma uszy?
1542:  DS - Muszę zobaczyć na uszy, żeby się upewnić, czy to elf.
1543:  DS - No bo tak jak mówiliście, wszyscy wyglądają na ludzi.
1546:  BFP - Jeszcze przeczytam, już oddaję głos tobie Jaga, bo wiem, że też trochę odświeżyłaś swój lore związany z Wiedźminem i zrobiłaś dużo notatek nawet samych niespójności tego, jak ten serial w ogóle szarga logikę wewnętrzną tego uniwersum, ale Cezary Wódkowski napisał, to jak chcieli inkluzywniej, to mogli zrobić na przykład spin-off o Zerikani albo Wiedźminach z Dalekiego Południa i dodać do tego potwory z legend arabskich czy afrykańskich wyszłoby ciekawiej i lepiej.
1574:  BFP - Ja bym dodał i oryginalniej.
1577:  BFP - Oddaję Ci głos, Jaka.
1579:  JM - To będzie, to będzie...
1581:  JM - Może nie takie długie, bo gdzieś tam będę potem może dorzucać coś jeszcze, ale rzeczywiście ja oczywiście się podpisuję pod tym wszystkim, co do tej pory padło i też drażni mnie taki obwios sposób traktowania tego typu tematów.
1595:  JM - Wszystko jest takie, wiecie, klisza na kliszy.
1597:  JM - Jedna klisza pogania drugą i w sumie to samo dotyczy się fabuły, w której również bazują na takich samych oczywistościach.
1605:  JM - Zauważcie, że mamy powiedziane, że
1608:  JM - To jest kontynent, jest taką krainą, gdzie trwa jakaś tysiącletnia wojna, która się toczy w ogóle pomiędzy królestwami, ale my to tylko wiemy z dialogów i w ogóle większość rzeczy, które dzieje się w tym serialu są tylko deklaratywne.
1622:  JM - Wiemy to z dialogów dlatego, że ktoś o tym powiedział.
1626:  JM - Ale nie widzimy tych królestw, widzimy jedno miasto tylko, którym jest Sintra w wersji starej, nie wypowiem tego, bo też nie do końca pamiętam, też mam problem z zapamiętywaniem.
1638:  JM - W wersji starej budżetowej.
1643:  JM - W każdym razie wiemy, że jest to miasto, ale poza tym tam jest po prostu pustynia, tam nie ma żadnych małych miasteczek, poza jakimiś tam drobnymi wyjątkami, w których na przykład właśnie Fial ze Skowronkiem sobie próbują walczyć, ale zauważcie, że w trakcie tej walki nie ma żadnych ludzi.
1658:  JM - Atakują ich w ogóle jacyś przeciwnicy, ale w tej wiosce nikt nie mieszka, tam po prostu nikogo nie ma.
1665:  JM - W związku z tym mamy jeden wielki kontynent, na którym panuje po prostu bezludzie kompletne, czy bezelfie właściwie, ale musimy uwierzyć na słowo twórcom, że to jest gigantyczne, zaludnione państwo, w którym toczy się jakaś wojna, której nie widać.
1681:  JM - No i kolejna rzecz.
1682:  JM - Kiedy już dochodzimy do tej wojny i mamy tutaj tą słynną scenę, w której księżniczka Merwyn dokonuje przewrotu.
1695:  JM - Tak, tak, tak.
1696:  JM - Nawet sobie spisałam.
1698:  JM - Próbowałam gdzieś to też zapamiętać, ale w razie czego to mnie poprawiajcie.
1701:  JM - Merwyn doprowadza do przewrotu.
1704:  JM - Wiecie, no to też jest takie, że trwa tysiącletnia wojna i na jednym spotkaniu typiarz po prostu decyduje, że okej, to ją kończymy, tutaj będzie jakieś małżeństwo pomiędzy jego siostrą a kimś tam i już będzie spokój.
1718:  JM - No to też jest takie trochę, wiecie, naciągane.
1721:  JM - Mnóstwo jest takich scen walki, gdzie nie wiem, czy też zauważyliście, ale te takie postacie NPC nastawiają się na cios.
1733:  JM - Na przykład właśnie w momencie, kiedy mamy walkę na sam prawie że koniec, kiedy z kolei Skian też udaje, że przeszła na drugą stronę, ale później tam są jakieś w ogóle strasznie dziwne zawirowania i ona jednak jest po stronie tych swoich
1754:  JM - I na koniec zostaje jakichś tam dwóch niedobitych wojowników, którzy po prostu spacerkiem starają się oddalić od tego miejsca, gdzie jest zagrążenie ich życia, gdzie po prostu była rzeź.
1764:  BFP - A krasnoludzica trafia ich wszystkich dwóch jedną strzałą.
1768:  JM - Dokładnie i potem ona spokojnie może strzelić z łuku.
1773:  JM - Tego typu nieścisłości czy jakiegoś takiego ślamazarstwa łącznie z dialogami, w których też takie kliszowe wypowiedzi następują albo np.
1782:  JM - nadmierna ilość wulgaryzmów.
1784:  JM - Okej, fajnie czasami, jeżeli pojawia się jakiś soczysty wulgaryzm w odpowiednim miejscu i tak było właśnie w książkach Sapkowskiego, że to były
1793:  JM - Te momenty, kiedy ten wulgaryzm powinien się pojawić.
1797:  JM - A tutaj mamy do czynienia, mogę zabluźnić dwa razy?
1800:  JM - A już to, ja przetarłem szlak, bardzo proszę.
1803:  JM - Spoko.
1805:  JM - Kiedy mamy dialog o treści, wykurwiaj stąd kurwa.
1809:  JM - Czy to jest, nie wiem, czy to jest jakieś... Brzmi jak moje streamy.
1812:  JM - Fajne, cool.
1815:  JM - No w każdym razie, wiecie, tego typu dialogi, no to nie wiem, moim zdaniem to jest totalna
1821:  JM - totalna dziura, takie totalne dno, które w ogóle ani nie jest śmieszne, ani nie jest żadne, ani nie jest, nie wiem, nie wprowadza, bo każda postać praktycznie tam w ten sposób się potrafi wypowiadać, więc to nie jest jakaś indywidualna cecha jakiejś jednej postaci, która by była na przykład taka właśnie.
1839:  JM - Tam wszystko jest zmieszane, wrzucone do jednego wora, właśnie zawinięte taką kokardkę zrobiona z kliszy, żeby wszystko było, wiecie, takie w jednym, dobrze znanym schemacie.
1850:  JM - No i wiecie, i strasznie leniwo.
1852:  JM - Ale to może dam już komuś innemu się dalej wypowiadać, jak będę miała jakieś jeszcze, przypomną mi się rzeczy, to będę dorzucać.
1860:  BFP - Krzysztofie, zbieraj już swoją manę.
1862:  BFP - Dominiko, Tobie oddaję głos.
1865:  DS - Ja chciałam wrócić jeszcze do tych niepełnosprawnych, bo ja na przykład bardzo lubię, jak osoby niepełnosprawne są pokazywane w filmach czy w serialach, bo uważam, że jest to też po prostu ciekawe dla nas jako dla widzów.
1874:  DS - Jest inny rodzaj bohatera, możemy pokazać jakieś różne ciekawe problemy i rzeczy, których na co dzień w filmach nie ma.
1882:  DS - I chciałam powiedzieć, że to się da zrobić rewelacyjnie.
1885:  DS - Da się naprawdę dużo checkboxów z tej listy, o której Filip wcześniej mówił, naprawdę dobrze zrealizować.
1892:  DS - I takim przykładem, który ja bardzo polecam każdemu, jeśli macie ochotę coś fajnego obejrzeć, jest serial animowany Smoczy Książę, Dragon Prince.
1904:  DS - Tam jest wspaniała postać, mamy generału, imiona, Abaje, Anaje, jakoś tak.
1914:  DS - Nie, nie ta postać.
1917:  DS - W każdym razie mamy panią generał, która jest ciotką naszych głównych bohaterów i ona również jest osobą głuchą.
1926:  DS - Nie, nie, czekajcie.
1927:  DS - Tak, jest osobą głuchą i musi czytać z ruchu wark, no i oczywiście mówi posługując się językiem migowym.
1934:  DS - Jest to postać fantastyczna, jest to postać, która mimo swojej niepełnosprawności jest generałem dowodzącym armią, dowodzącym całym oddziałem.
1943:  DS - Jest super pokazane, jak to mogła obejść w tej rzeczywistości świata.
1948:  DS - Ma po prostu swojego żołnierza, swojego tam adiutanta.
1955:  DS - który cały czas z nią chodzi i ona w języku migowym mówi do swoich oddziałów, czy do kogo tam potrzebuje, a on po prostu jest jej głosem i to mówi.
1965:  DS - I jest to bardzo silna postać, jest to bardzo ciekawa postać, która, no ja jestem dopiero w drugim sezonie, ale przypuszczam, że ona również będzie miała cały swój rozwój postaci na przestrzeni tego serialu, także da się to zrobić i nie ma wymówek po prostu.
1982:  DS - I jak się to zrobi dobrze, to te postaci często są ciekawsze niż tacy typowi bohaterowie, których możemy spotkać w filmach.
1990:  DS - Także Smoczego Księcia bardzo polecam, tylko bez polskiego dubbingu, bo polski dubbing bardzo nisz te historie.
1996:  DS - Ale wracając do naszego tematu, czyli do Wiedźmina,
2001:  DS - rodowodu krwi.
2003:  DS - Chciałam powiedzieć, że ja też miałam wrażenie takiej okropnej, okropnie zmarnowanej okazji, ponieważ oni wszystko ustawili
2014:  DS - pod to, żeby dało się to tak pięknie zrobić, bo zrobili te klany elfów, prawda?
2020:  DS - Mamy tamten klan psa, mamy klan duchów i klan trzeci... Jamnika.
2027:  DS - Klan Jamnika, tak jest.
2029:  DS - I klan Kruka.
2031:  DS - To byłaby taka świetna okazja, żeby każdy klan miał na przykład wojowników z innym kolorem skóry.
2039:  DS - To byłoby świetne rozwiązanie i na dodatek te klany po pierwsze różniłyby się wizualnie, więc my jako widzowie moglibyśmy łatwo śledzić te historie, tak jak było zrobione w rodzie smoka, że jeden ród był czarnoskóry, a drugi nie i dlatego mogliśmy, po prostu było to fajne narzędzie, które ułatwiało nam śledzenie historii i polityki tych rodów.
2062:  DS - Więc to byłoby ciekawe, byłoby fajne, nie wyglądałoby nierealistycznie i na dodatek dawałoby fajne uzasadnienie, dlaczego później w tym Wiedźminie, którego mamy pierwszy, drugi sezon, czemu tam są elfy, które mają różny kolor skóry.
2078:  DS - Ale nie.
2079:  DS - Z jakiegoś powodu zrezygnowano z tej okazji, z jakiegoś powodu postanowiono ich wszystkich wrzucić właśnie do jednego worka, solidnie wymieszać, dodać im jeszcze zarosty wszelkiego typu, wszystkie możliwe fryzury, wszystkie możliwe akcenty, a potem podzielić na trzy i powiedzieć, że są w trzech różnych klanach.
2096:  DS - Nie rozumiem, dlaczego tak zostało zrobione, ale uważam, że była to bardzo zła decyzja, która bardzo dużo odebrała temu serialowi.
2103:  DS - Po trzecie już chyba.
2105:  DS - Nie wiem, czy wy zauważyliście,
2108:  DS - Ja dopiero dzisiaj się zorientowałam.
2110:  DS - Oglądałam wczoraj, robiłam binge watching do trzeciej w nocy, w ogóle myślałam, że zasnę już w ostatnim odcinku i byłam taka szczęśliwa, kiedy się skończył, że mogę wreszcie wrócić do oglądania czegoś, co ma sens.
2121:  DS - Więc dopiero dziś przyszła mi ta myśl do głowy.
2123:  DS - To jest świat, w którym nie ma ludzi, prawda?
2126:  DS - Świat jest zamieszkany wyłącznie przez elfy i przez krasnoludy.
2130:  DS - Nawet potworów.
2131:  BFP - Jednego.
2132:  BFP - Jedną.
2132:  DS - Właśnie to chciałam powiedzieć.
2133:  DS - W związku z czym mamy jednego krasnoluda.
2136:  DS - Jednego krasnoluda.
2137:  DS - Ja rozumiem, że jesteśmy w królestwach elfów, ale oni nie są w żadnym, przynajmniej nie jest nam to powiedziane, nie są w żadnym stanie wojny.
2143:  DS - Bo jakby to był stan wojny, to rozumiem.
2145:  DS - Krasnoludy siedzą u siebie, elfowie siedzą u siebie, mają jakąś wielką granicę.
2150:  BFP - Ale kolory skóry są wymieszane.
2152:  DS - Ale tak, kalory skóry są wymieszane, ale nie ma żadnych krasnoludów.
2155:  DS - Skoro nie ma żadnych krasnoludów na ulicach, to automatycznie pojawia nam się pytanie, dlaczego nikt nie zwraca uwagi na tą jedną, jedyną krasnoludkę, która chodzi gdzieś, no nie?
2165:  DS - No bo to powinno być trochę tak, jak... No to jest głupie, ale tak jest, że jeśli na przykład...
2171:  DS - w jakimś mniejszym mieście, pojawi się w Polsce, pojawi się ktoś o bardzo ciemnym kolorze skóry, to naturalnie wzbudza ciekawość innych ludzi i ludzie się przypatrują, bo nigdy nie widzieli takiej osoby, więc w takiej sytuacji powinno być podobnie, że jeśli ta jedna krasnoludka przejdzie z Królestwa Krasnoludów i znajdzie się w Królestwie Elfów, to wszyscy powinni patrzeć i powiedzieć, popatrzcie, krasnoludka, widziałaś kiedyś krasnoludkę?
2195:  DS - No ja nigdy nie widziałam krasnoludki, wyobrażałem sobie, że są niższe, no nie wiem, cokolwiek, nie?
2200:  DS - Ale nie, jest tylko jedna i nie wzbudza niczyjego zainteresowania.
2206:  DS - Nie wiem, czy też zwrócić się na to uwagę, wszyscy są żołnierze i ta jedna, jedyna krasnoludka nikogo to nie interesuje.
2218:  JM - Ja przyznam, że miałam wtedy właśnie taki moment, że teraz się zorientują te elwy, powiedzą, że coś jest nie tak.
2223:  Nie.
2224:  DS - Nie.
2224:  DS - Ale nie, po co?
2227:  DS - Ja też zupełnie nie zapamiętałam niczyich imion oraz dla mnie to nie są...
2235:  DS - Elfy?
2236:  DS - Tylko ja tam widziałam takich, wiecie, to była drużyna, która dla mnie składała się z Ragnara Lodbroka, czyli z Wikinga, kto tam jeszcze był, Jackie Chan w spódnicy, oczywiście, Jaskier w dredach, tylko taki, który troszkę gorzej śpiewa i słaba Daenerys Targaryen, która czaruje.
2260:  DS - I paru innych, którzy z mojego punktu widzenia byli dość mocno zbędni.
2265:  AK - Iris Elba jako ten zły czarodziej.
2268:  AK - Tak.
2268:  AK - Tak.
2269:  AK - Walor.
2270:  DS - Dla mnie, mi się on w ogóle skojarzył z Jaffarem i to wbrew pozorom nie przez kolor skóry, tylko on był złym czarodziejem, który miał gigantyczną, magiczną laskę.
2279:  DS - Czy to tam miało być?
2281:  KMM - I gigantyczne kompleksy.
2283:  KMM - I zauważcie, że ta najpotężniejsza jedyna rzecz, ja wiem, że ja to mówię, więc ja powinienem się z tego cieszyć, ale jeżeli ja się z tego nie cieszę, to to coś znaczy.
2291:  KMM - Najpotężniejsza rzecz, jaką przyniósł z wymiaru chaosu, to było pierdzenie kulkami ognia.
2296:  KMM - To jest wszystko, co... Boże, straszne, tak?
2298:  KMM - Znaczy, ja się spodziewałem, że jeżeli to jest jakaś potworna magia chaosu, to nie wiem, właśnie potw... Potwory!
2305:  KMM - To, co się kojarzy z Wiedźminem, że on będzie, nie wiem, pętał jakieś monstra, że jakiegoś smoka wyczaruje z cieni.
2312:  KMM - Wszystko jedno, ale najbardziej generyczna magia żywiołów się pojawia w jego wykonaniu i to jest coś, co ma wszystkich przerazić, gdy tymczasem używają wobec niego jakichś force pushy nowoczesnych.
2324:  KMM - Żebyśmy nie poszli w kwestie światotwórcze, bo to jest osobna kwestia, chciałbym jeszcze bardzo silnie podbić te wątki, które wy wbiliście, dotyczące inkluzywności.
2333:  KMM - Jest jeden mistrz inkluzywności, którego nie ma na pokładzie Netflixowego Wiedźmina, jest nim Andrzej Sapkowski.
2340:  KMM - To znaczy Andrzej Sapkowski specjalizował się w tym, żeby pokazywać grupy wykluczone i w dalszym ciągu nie wiem, dlaczego nie korzystają z
2348:  KMM - z jego talentów, niby w tym sensie, żeby go zatrudnić, żeby się chociaż zainspirować, jak ktoś robi w sposób nieoczywisty.
2354:  KMM - Bardzo fajnie Szymon napisał na czatach, że mamy jedną postać z niepełnosprawnością, najsłynniejsza postać w popkulturze.
2362:  KMM - Darth Vader, czy ktokolwiek mówił o nim, że my, o, że nowa nadzieja to będzie film science fiction z reprezentacją osoby z niepełnosprawnością, nie, nikt o tym nie mówił, ponieważ miało to po prostu wybić się samo, miało nas skłonić do refleksji, więc jeżeli chcemy
2380:  KMM - I to jest bardzo słuszne, zatrudniać ludzi, którzy są na pełnym spektrum różnych ras, seksualności, niepełnosprawności, wszystko jedno.
2391:  KMM - To dajmy temu inną argumentację, to znaczy chcemy przedstawiać świat żywy, żyjący, naturalny, wiarygodny.
2398:  KMM - I w ramach tego jesteśmy w stanie to wszystko zrobić.
2401:  KMM - Świeżo wczoraj zobaczyłem ostatni odcinek His Dark Materials.
2405:  KMM - gdzie jest przedstawiona perspektywa miłości homoseksualnej.
2410:  KMM - I już żałuję, że to powiedziałem, ponieważ gdybym tego nie powiedział, to nikt by nie zauważył.
2415:  KMM - Bo to zostało tak zrobione naturalnie właśnie i dobrze, ze smakiem.
2421:  KMM - Tu jest to wszystko zwulgaryzowane.
2424:  KMM - serialcu, którego najbardziej pasuje ten przymiotnik, jest wulgarny nie tylko tak, jak Jaga powiedziała na poziomie językowym, on jest wulgarny na poziomie narracji, na poziomie scenariusza, na poziomie wprowadzania właśnie tego rodzaju wątków, że macie tutaj, macie, to jest tak strzelenie w twarz, zamknij się, masz już tę swoją reprezentację, cicho siedź już, już zróbmy sobie te nasze rzeczy, chcecie, mamy tych fanów brzydkich, dajmy im jakąś bitwę, niech się zamkną.
2450:  KMM - Macie tego Avallaha, macie tego Redina.
2452:  KMM - Tak, tak.
2453:  KMM - To jest dokładnie w ten sposób zrobione, wulgarnie, bez szacunku, już nie tylko dla materiału źródłowego, bo tak jak w Rings of Power, tu nie ma materiału źródłowego, bo jeżeli z czegoś mogli korzystać, to swoją drogą z nielubianej przeze mnie powieści Andrzeja Sapkowskiego, Sezon Burz, gdzie mamy przedstawiony ten wątek mutacji wiedźmińskich i tworzenia pierwszego Wiedźmi...
2472:  KMM - Spodziewałem się, że to, będą z tego korzystać, bo mieli, mieli do tego prawa wykupione, ale nie.
2477:  KMM - Więc teraz też już nie możemy bronić tego, tak jak w przypadku Ring z Opal, że o, nie mają praw wykupionych.
2481:  KMM - Mają wszystko wykupione, mogli korzystać, nie korzystają z tego całkowicie celowo i świadomie.
2487:  KMM - To znaczy chcą stworzyć swoje własne uniwersum wiedźmińskie, które będzie różne nie tylko od książek, ale będzie także różne od gier,
2495:  KMM - I w tym momencie usunięcie z obsady swoją drogą Cavilla to przypieczętuje jeszcze bardziej.
2500:  KMM - I dlatego tam będą się pojawiały właśnie te elementy wspólne dla tego Kichui Campu, który się pojawił chyba tak najmocniej w drugim sezonie Wiedźmina.
2508:  KMM - I te elementy po prostu są w moim przekonaniu
2512:  KMM - fatalne od strony marketingowej, no bo to, co powiedziała Dominika, to jest w zasadzie przepis na to, jak naprawić tę sytuację, jak to zrobić w sposób wiarygodny i logiczny, żeby te rzeczywiście klany Elfie miały sens i żebym ja był w stanie je rozpoznawać.
2525:  KMM - Ja nie tylko nie pamiętam nazw tych klanów Elfii, bo przepraszam najmocniej klan Sowy, Żbika i Żuka, to mi się kojarzy właśnie z Trzema Królestwami.
2532:  KMM - Cały czas powtarzam, że ten film to jest Wannabe Three Kingdoms, tylko że bez świetnych bitew i świetnych efektów wizualnych, świetnej choreografii, ale z podobnie cringe'owymi
2542:  DS - dialogami, ale to, co wybaczamy... A może oni sobie wymyślili, że te trzy klany to będą początki tych wiedźmińskich szkół?
2549:  AK - Szkół, prawda?
2550:  AK - Jezu, nie.
2551:  AK - No tak, no tak.
2553:  AK - Dlatego są zwierzątka.
2556:  AK - Każdy z nich się dysponuje jakimś dziwnym.
2557:  AK - Patrzcie, Bartka, czyli jak ona się nazywała?
2563:  AK - Naśpiewająca.
2564:  JM - Skowronek.
2565:  AK - Skowronek, ale potem jeszcze zmieniła imię, bo wiecie, ona przestała być Skowronkiem.
2569:  JM - Czekaj, mam zapisane.
2570:  AK - Wielką wojowniczką.
2572:  JM - Ejla?
2574:  AK - Ejla, genialnie, Ejla, super, właśnie zapawiała w pamięć, więc ona posługuje się sztyletami, Fjal posługuje się ciężkim toporem, więc to mogłoby faktycznie być to, co w grze, mamy szkołę kota, mamy szkołę niedźwiedzia,
2592:  AK - Być może, znaczy moim zdaniem oni kompletnie, oni czyli twórcy, osoby, które piszą scenariusz, kompletnie nie rozumieją materiału wsadowego, pierwowzoru i literatury Sapkowskiego.
2605:  AK - Oni prawdopodobnie zostali urzeczeni sukcesem cyferkowym i takim bardzo dużym elementem komercyjnym gier CD Projekt Redu,
2616:  AK - które dla nich są fajnymi grami, bo są tam kresną ludy, elfy i jest naparzanka.
2621:  AK - Ja uważam, że jest gorzej.
2624:  AK - Ale wiesz co, to chyba jest, znaczy moim zdaniem to jest po tym kluczem.
2627:  BFP - Oni zatrzymali się na poziomie Icewind Dale'a i tych origin stories, postaci, które tworzysz od początku i sam sobie dopowiadasz ich historię.
2636:  AK - Ale zobaczcie, po co tworzyć jakieś wydumane historie?
2640:  AK - To oczywiście spoiler dla tych, którzy jeszcze nie widzieli tego serialu.
2643:  AK - Stworzenie pierwszego Wiedźmina.
2645:  AK - Po pierwsze, jest to absurdalnie, bo niezgodne z kanonem.
2648:  AK - Pierwszego Wiedźmina stworzył makre gena, bodajże nazywał się Azul.
2652:  AK - Zresztą nawiązania do tego jest w kilku opowiadaniach Sapkowskiego, do czarów Azula.
2656:  AK - Jest piękna historia, która się nazywa Droga, z której się nie wraca.
2660:  AK - To jest przepiękne opowiadanie.
2662:  AK - gdzie mamy Wisennę, mamy Wojownika, mamy de facto pokazanie, powstanie, zaczęcie losów Geralta.
2671:  AK - Kurde, tam jest tyle tych rzeczy, które można wykorzystać.
2674:  AK - Jedno z najlepszych rzeczy, które można było obejrzeć w drugim sezonie Wiedźmina, serialu tego, nazwijmy go głównego, to było opowiadanie na bazie ziarna prawdy.
2685:  AK - Reszta była znowu totalnym fanficsem, pisanym kłóciesze tylko i wyłącznie
2692:  AK - ludzi, którzy uważali, że cokolwiek wiedzą na temat prozesa Sapkowskiego.
2696:  AK - I to pokazuje, że jeżeli chcesz odejść od Sapkowskiego, to gubisz w ogóle ten rytm, tracisz ten flavor, tracisz ten vibe i zupełnie ta historia ci rozlatuje w rękach.
2704:  AK - To weź sobie te elfy, weź sobie te krasnoludy i zbuduj sobie z tego właśnie jakieś koło czasu, kroniki Szanary i tak dalej, ale nie powtarzaj tego błędu, nie pchaj tego w stronę Sapkowskiego, który jest
2716:  AK - jest postmodernistyczny, co mam wrażenie w ogóle Amerykanów nie interesuje.
2721:  BFP - Właściwie lewicowy i postępowy, a nie na pokaz.
2725:  AK - Bardzo.
2726:  AK - Walący w kościół, to też wielokrotnie Sapkowski już nie tylko podkreślał będąc pijanem na konwentach, ale walił to w... Kler walił w... Już pomijam to, że napisał trzy książki, czyli Narendrum, gdzie to było bardziej widoczne.
2739:  AK - Natomiast...
2740:  AK - U Sapkowskiego są te wątry, które się przewijają.
2743:  AK - Myśmy za to go pokochali.
2744:  AK - My Polacy rozumiemy to i dla nas jest to bliskie.
2747:  AK - Widocznie jest to ciężkie do przełożenia, ale uwaga, znowu, CD Projekt Red pokazał, że da się to umasowić, da się tymi samymi elementami polecieć i w jej zalipie, do której pielgrzymkują teraz ludzie, bo zobaczyli w grze tą chatę z pięknymi wzorami wokalistycznymi, jest dla nich takim samym elementem, nie wiem, jak czeska Praga.
2767:  AK - Więc da się, ale Netflix mówi nie, hola hola, my zrobimy coś swojego.
2772:  AK - Weźmiemy jakieś chrzanione monolity, dodamy tam jakieś możliwości tworzenia portali, zbudujemy wokół tego jakiś świat przed przełomem i wychodzi... I mamy gotową kampanię RPG.
2783:  AK - I mamy u Bogu kampanię RPG, ale tak jak powiedziała Dominika chyba na początku, czy Jaga, nie pamiętam, o tym, że to jest źle poprowadzona kampania RPG, w sensie, że to jest coś, co na każdej sesji byłoby robione kulawo, czy wyszło by od razu cringe'owe i gracze by powiedzieli, nie stary, wiesz co, nie załamuj nas, mamy piątek, 4 godziny, a ty nam serwujesz po prostu jakąś taką opierdługę.
2806:  BFP - To jest to, co chciałem przejąć od Ciebie dokładnie w tym tonie, ale najpierw przeczytam komentarz użytkownika Dekarda, który wygrał czaty.
2813:  BFP - Otóż, Descartes napisał, że Ballora gra ten aktor, i to jest Lenny Henry, który zagrał Sadoka od Harfuta w Rings of Power.
2823:  BFP - Chłop zaliczył brutalne kombo dwóch największych klopsów tego roku.
2828:  BFP - Dla mnie to był taki szoker, jak przeczytałem to, co napisał Descartes, że postanowiłem to sprawdzić.
2832:  BFP - I jeszcze mam lepszą rzecz.
2834:  BFP - Otóż Lenny Henry zagrał Harfuta, który jest niziołkiem.
2839:  BFP - Niziołki, znaczy hobbitem, ale hobbici niziołki są niżsi od krasnoludów.
2847:  BFP - Ten koleś ma 190 centymetrów wzrostu.
2850:  BFP - Czyli można, tak?
2852:  BFP - Czyli można.
2853:  BFP - Tak jak aktor, który grał przecież zresztą Gimliego, również jest masywnym gościem.
2859:  KMM - Tak, rosły, barczysty człowiek.
2861:  KMM - Swoją drogą jeszcze, zanim popłyniemy dalej, to szybko chciałem przypomnieć jedną rzecz, którą słuszną powiedział Artur, żeby uciąć jeden wątek polityczny, który się często pojawia w tych dyskusjach, bo nie ma nic gorszego niż przejść z krytyki Wiedźmina serialowego do takiego prymitywnego
2878:  KMM - okładania politycznego którejkolwiek ze stron politycznych, ale wiadomo, o co mi w tym momencie chodzi.
2885:  KMM - Chodzi o to, że wiadomo, że będzie złe.
2888:  KMM - Przypominam, że Andrzej Sapkowski jest pisarzem lewicy.
2891:  KMM - Wiedźmin, pięcioksiąg jest na wskroś lewicowy.
2896:  KMM - Jeżeli ktoś tego nie czyta, to znaczy, że właśnie zawsze, będę to tylko powtarzał, mamy problem z nauką interpretacji czytania w szkołach.
2903:  KMM - Może trzeba było zacząć wreszcie czytać współczesne powieści, a nie te ramotki.
2907:  KMM - których i tak nikt nie rozumie i może nauczyć się, na czym polega mądra lewica w wykonaniu Sapkowskiego, który nawiasem mówiąc, jeżeli chodzi o swój antyklerykalizm, gdzie jeszcze dalej powiedział Artur, Sapkowski kiedyś w wywiadzie ze Stanisławem Beresiem, w którym zresztą go wybatorzył jak polonistę tak, że ach, pięknie się to czytało i rzekł, nie no, ja nie jestem antyklerykałem, ja nie jestem ateistą, ja jestem poganinem, więc wiecie, ktoś, kto mówi tego rodzaju rzeczy,
2932:  KMM - Polsce i jest traktowany jako konserwatywny pisarz fantasy, którego teraz woke culture zabija.
2941:  KMM - U mnie to wywołuje łzy ze śmiechu, bo naprawdę mamy materiał źródłowy, który jest gotowcem do stworzenia narracji lewicowej, która właśnie będzie
2951:  KMM - w kontrze wobec prymitywnego falsyfikacjonizmu lewicowego i pokazywania różnego rodzaju progresywnych wartości prospołecznych i tak dalej, w sposób taki, który, nawiązując do tego, co powiedział Filip, jest satyrą, jest niedźwiedzią przysługą i ja się nie dziwię potem, że czytam takie komentarze, ale one mnie denerwują, ponieważ Andrzej Semkowski, tak samo jak zresztą Ursula Le Guin, tak samo jak połowa fantastów po latach 90-tych, 80-tych, reprezentuje niekonserwatywną fantazy.
2981:  BFP - Chciałem tylko nawiązać do tego, co powiedział Artur, bo mnie od samego początku do samego końca podczas oglądania tego nieszczęsnego miniserialu nie opuszczała myśl, że to jest taka bardzo budżetowa sesja stołowego RPG, gdzie babcia Julka jest tą jedyną, która jeszcze była w miarę trzeźwa, żeby przejąć rolę mistrza gry czy mistrzyni gry i...
3007:  BFP - takie miałem wrażenie, że to jest jakaś taka niezaspokojona potrzeba twórców, którzy wychowali się podobnie jak ja na grze Lionheart, czy Icewind Dale, czy Pool of Radiance i tworzyli sobie postaci, które były no-name'ami, ale musieli sobie dopowiadać ich historię w głowie.
3024:  BFP - No bo schodzili tylko poziom i poziom niżej, nie było tam żadnych NPC-ów, no mieli tylko tą swoją wesołą szóstkę, która rozbijała kemping co dwa poziomy w lochu
3033:  BFP - I gdzieś tam sobie snuli historię, że a, on na pewno tędy go poznał w tawernie, jak grali w karty i tak dalej, i tak dalej.
