DARK SOULS 2 to...? 🤔
🔗 https://www.youtube.com/watch?v=ygoqdolsYao
KMM (Krzysztof M. Maj)
RN (Rafał Nawrocki, Demonidias)
MD (Mateusz Drozd, Kiszak)
AS (Adam Szymański, Balmora House)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Czym jest do prawdy Dark Souls 2?
2372:  MD - Ja za każdym razem wchodzę
2374:  MD - i zaczynam słyszeć ten śpiew w tle i już wiem co mnie kurwa czeka.
2379:  BFP - To jest... Ale wiesz co jest najlepsze, że nawet jakby ta lokacja zniknęła, to nie byłoby to zadziwiające w przypadku Dark Souls 2.
2386:  MD - Tak, tak, tak, tak, tak, tak, ale ta lokacja mimo wszystko jest sobie magiczna, bo jak właśnie oglądałem twój materiał, ty tam tak powiedzieliś, że te lokacje wszystkie są bardzo takie zlane, ale to Shrine of Amana, ja bym nawet powiedział, że mam wrażenie, że to jest najbardziej magiczna lokacja, jaką kiedykolwiek Trump Software wytworzyło, bo...
2404:  MD - Lokacja położona cała na wodzie, z pięknym śpiewem w tle, z dużą ilością czarodziei, z wypałzającymi potwornymi bestiami z wody, które próbują cię złapać, utopić.
2416:  MD - Do tego hipopotamy.
2417:  BFP - Wąską ścieżką, żebyś nie spadł do wody głęboko.
2421:  MD - Którą jeszcze możesz skontrować za pomocą noszenia pochodni, czyli masz ten dodatkowy element prowadzący cię, prawda?
2428:  MD - Na który gdzieś musisz tam wpaść.
2431:  MD - To jest niesamowita lokacja, która, no ja bym powiedział, że zapiera dech w piersiach, ale no jest to niestety w wersji ze Skolarem bardzo mocno zniszczone zbyt dużą ilością przeciwników.
2442:  MD - Ja od razu zaznaczę, że ja w wersji bez Skolara nie grałem jeszcze, bardzo zamierzam ją ograć, bo też widziałem multum SAI na temat tego, jak ten Skolar faktycznie rezonuje w graczach i taki główny argument, który ja słyszałem, to jest taki, że
2456:  MD - Generalnie w DS2, w wersji ze Skolarem, jest bardzo dużo zrobionych, ty to nazwałeś, ambush gangi?
2463:  MD - Nie wiem, nie pamiętam do końca.
2464:  MD - Spambush, ganging, crowding.
2468:  MD - Tak, tak, tak.
2469:  MD - I Darksauce w poprzedniej części mają to do siebie, że posiadają dużo takich elementów, które cię zaskakuje.
2475:  MD - Zobacz, tutaj leży przedmiot, ale jak ty go podniesiesz, to coś na ciebie wyskoczy.
2480:  MD - Tylko jeżeli się dokładnie przyjrzymy Dark Soulsom, to za każdym razem w takiej sytuacji występuje element, który pozwoli ci zidentyfikować pułapkę.
2491:  MD - I to jest mega ciekawe.
2492:  MD - I ty normalnie grając w grę, ty na to nie zwracasz uwagi.
2496:  MD - uwagi, ale jeżeli ty już będziesz wiedział, że tam jest pułapka, to zobaczysz, że istnieje szczegół, który wskazuje na to, że jest to jedna z pułapek.
2503:  MD - I w Dark Soulsie 2 w momencie, gdy oni w scolarze poprzenosili tych wszystkich przeciwników, bo jak ktoś nie wie, jak to wyglądało, to scolar to był no po prostu zwykły skok na kasę, wzięli sobie grę, dodali do niej kilku przeciwników, kilkunastu lub kilkudziesięciu, pozmieniali im lokację, dodali do lokacji jeszcze kilka NPCów, którzy ci inwejdują, gdzie w Iron Keep to chyba jest nawet dwóch NPCów inwedu i
2527:  MD - inwejdujących ciebie, co już jest dosłownie całkowicie absurdałne.
2533:  MD - I ci przeciwnicy mają jeszcze zwiększone agro.
2536:  MD - I ja ostatnio nawet oglądałem takie jedno wideo odnośnie tego, jak działa Iron Keep bez skolara.
2542:  MD - I faktycznie w starym Iron Keepie za każdym razem po zabiciu jakiegoś przeciwnika masz czas się wyleczyć, normalnie się rozejrzeć.
2550:  MD - A w skolarze, jak wejdziesz do Iron Keepa, to oni wszyscy na ciebie biegną i każdy próbuje cię zabić.
2557:  MD - I to jest niesamowite, jak czasem jednym parametrem można zepsuć całą grę.
2563:  MD - I chciałem przyjść do czegoś jeszcze w związku z tym, a i główny argument, który się podaje w wersji Dark Souls 2 bez cholera jest to, że ta gra odpowiednio podwyższa Ci poziom trudności.
2575:  MD - Bo nie oszukujmy się, Dark Souls 2 są najtrudniejsze na samym początku, jak musisz się do nich przyzwyczaić, jak nie masz adaptability i jak masz ogromną ilość przeciwników.
2584:  MD - I podobno wersja bez scolara posiada wstęp gry o wiele łatwiejszy, a końcówkę gry o wiele trudniejszą.
2590:  MD - I ten Zamek Drągielik jest faktycznie trudniejszy, ale to staje się bardziej naturalnym progresem.
2597:  MD - Ja muszę to zobaczyć, ale może...
2599:  MD - demonidzia sprawia coś więcej.
2601:  RN - Wiesz co, ja bym się chyba nie zgodził z tym, że początek jest łatwiejszy, bo właśnie ogrywam wersję Dark Soulsa na PlayStation 3, wersję 1.0 na premierowym patchu i nawet w tej knieju Padłych Olbrzymów jest znacznie mniej przeciwników niż na Skolarze już, nie?
2620:  RN - Więc tutaj już nawet te zmiany pierwsze są widoczne na niekorzyść Skolara, jeżeli chodzi o te
2627:  RN - liczby przeciwników.
2628:  MD - Tak, tak, tak, o to mi chodzi dokładnie.
2629:  MD - Dokładnie o to mi chodziło, że bez scolares łatwiej na początku
2634:  RN - Tak, tak, no ale to tutaj, znaczy nie, czekaj, że na skolarze pod koniec też jest, mówiłeś trudniej, tak?
2642:  MD - Nie, skolarz jest łatwiej na koniec, a jest ciężej na początku, a w przeciwnym wypadku to narasta.
2649:  RN - Aha, w ten sposób, no bo na skolarze na koniec też masz nawalone przeciwników więcej niż normalnie w grze, masz jeszcze więcej tych inwejdów właśnie, więc tam jest totalnie wszędzie.
2659:  RN - Generalnie jeżeli chodzi o Scolara i Vanillę, no to tutaj jeszcze taki jeden element się zmienił.
2665:  RN - To jest totalnie taki drobiazg, ale warto bym chciał uzupełnić, że zwiększyła się liczba osób, które mogą brać udział w kooperacji.
2672:  RN - To chyba jest do jakiegoś absurdalnego poziomu 8 graczy.
2677:  RN - coś takiego, ośmiu lub sześciu, ale wydaje mi się, że ośmiu nawet.
2680:  RN - Nigdy w życiu nie widziałem, żeby tyle osób grało w coopie naraz.
2685:  RN - Znaczy, moim punktem jest to, że zarówno, że Scholar na każdym etapie ma więcej przeciwników i teraz jak to ogrywam na bieżąco, to to naprawdę widać.
2695:  RN - że to jest obecne na każdym etapie, ale też jeszcze ciekawe jest to, że Dark Souls 2 jest jedynym solsem od From Software, który dodaje jeszcze kolejnych przeciwników w trybie nowej gry plus.
2708:  RN - I to jest bardzo też fajne do zobaczenia, że korzystając z innej mechaniki gry, czyli z żarów ascezy, możecie sobie zawalczyć z danym
2718:  RN - bossem i przejść daną lokację już na tym NG+, gdzie wasza postać zostaje na tym samym trybie nowej gry, czyli na przykład na pierwszym przejściu gry, ale możecie sobie dopakować już, powiedzmy, zaginioną twierdzę i zawalczyć z grzesznicą na trybie nowej gry+, dzięki czemu u niej się pojawiają dodatkowi przeciwnicy, dzięki czemu też w samej lokacji są nowe spawny przeciwników,
2742:  RN - I to jest akurat element mocno wyróżniający Dark Souls 2, moim zdaniem na korzyść, to jest bardzo duży argument za tym, że Dark Souls 2 coś tam jeszcze fajnego wprowadziła, o czym nie wspomnieliśmy wcześniej.
2757:  RN - Tak samo też to, że właśnie macie chociażby tę mechanikę Żarów Astezy, nie?
2762:  RN - To tak tylko jeszcze co do uzupełnienia, bo macie możliwość zawalczenia sobie ponownie... Tak, no, że zawalczyć możecie sobie po raz kolejny tak naprawdę z bossem na jeszcze wyższym poziomie trudności, bez konieczności powtarzania całej gry, co jest mega dobre.
2776:  RN - Oczywiście tutaj też
2779:  RN - ta mechanika niestety działa mocno na niekorzyść przy takim, powiedzmy, normalnym przejściu gry, bo jeżeli sobie zawalczycie z takim bossem, dostaniecie mnóstwo dusz i możecie się przelewelować na przykład, nie?
2787:  RN - Na resztę gry.
2788:  MD - Tak, ale to jest mechanika, która daje grze też bardzo dużą głębię, bo na speedrunach to ma niesamowity sukces.
2795:  RN - Tak, możesz dobić ten milion soul memory i przejść przez tam kapliczkę zimy, nie?
2800:  RN - Od razu.
2801:  RN - To jest bardzo fajne, bo można przegniłego tam chyba, nie wiem, ile to, pięć, sześć razy się go bije, nie?
2806:  MD - Tak, tak, Rotena się zabija.
2807:  RN - kilka razy.
2808:  RN - No, no i można skipnąć dużo gry.
2811:  RN - I jeszcze uzupełniając poprzedni wątek odnośnie tych lokacji, które robiły na nas duże wrażenie.
2817:  BFP - I zachwytów i what the fuck momentów.
2819:  RN - Tak, to to jest wszystko w jednym.
2821:  RN - Gniazdo Smoków, to tam jest widoczna mechanika, która była zaprezentowana jeszcze na materiale przedpremierowym i to jest unikalna mechanika dla całego Dark Soulsa dwójki.
2831:  RN - gdzie im więcej zbijecie jaj smoków w tej lokacji, tym szybciej doprowadzicie do tego, że przyleci smok na ten ostatni most, na którym musicie wejść i przedostać się do kolejnej lokacji, do tej kapliczki smoczej i on po prostu zerwie ten most, a wy spadniecie i zginiecie.
2848:  RN - I to jest jedyny taki
2849:  RN - Moment, który jest bardzo łatwy do pominięcia, bo jeżeli ktoś po prostu nie rozwala tych jaj w lokacji, to nawet się o tym nie dowie.
2858:  RN - I to jest jedyny moment w całej grze, kiedy takie coś jest dostępne.
2861:  RN - Więc to jest na pewno warte też podkreślenia, bo to jest taki WTF moment niezły, jak pamiętam po raz pierwszy przechodziłem grę i byłem na tym moście, czekałem, czekałem, mówię, no nie, nie ma tego smoka, co pokazywali.
2872:  RN - usunęli.
2873:  RN - Kolejną rzecz, którą usunęli.
2874:  RN - Warownie Aldi też wykastrowali nieprawdopodobnie względem tego, co przedpremierowo pokazywali, bo tam ta lokacja była tak naszpikowana jakimiś detalami, obrazami, dodatkowymi klatkami, jakimiś ciałami i tak dalej.
2886:  RN - Mega to wyglądało.
2887:  RN - To teraz ta lokacja jest totalnie płaska, chociaż oczywiście też na tle resztę lokacji wygląda dobrze, ale no zaufajcie mi, zobaczcie sobie materiał przedpremierowy z Dark Souls 2, jak to miało wyglądać.
2896:  RN - to będziecie w szoku.
2898:  RN - I tutaj też tak naprawdę, jeżeli chodzi jeszcze o takie drobiazgi, które mogą być momentem,
2906:  RN - to na przykład to, że mechanika pochodni, no powiedzmy, że w jakiś sposób może być ukryta, bo trzeba podejść do ogniska i tam przyłączyć, nie?
2915:  RN - Trzeba być postrzegawczym, żeby zauważyć, że w ogóle można z tej pochodni skorzystać, ale jest też zrobiona w taki sposób, czego nie było już później, że można ją sobie przypadkowo zgasić, rolując w wodzie lub podchodząc pod wodospad, nie?
2930:  RN - I na przykład w otchłani to bywa... Dark lurker, tak, tak, tak.
2933:  BFP - idzie do Darklarkera i tam się schodzi, to wszyscy mówili, zachowaj wiele motyli, zachowaj wiele motyli, bo musisz odpalać pochodnie.
2940:  BFP - Obok Humanity, które jest ci podobne.
2942:  BFP - Tak, ja wchodzę, pierwsza rzecz, którą robię, odpalam pochodnie i wchodzę pod wodę.
2945:  BFP - I natychmiast gaśnie i kończy mi się.
2947:  BFP - Ale tak, chciałem tylko powiedzieć demo, że jak zacząłeś mówić z ekscytacją o Dark Souls 2 i machać ogonkiem, to od razu ci się mikrofon naprawił.
2954:  RN - Więc problemów żadnego nie ma.
2955:  RN - Czyli muszę tutaj dużo gadać po prostu dobrych rzeczy o tej grze.
2958:  MD - Mnie zaki czuwa.
2959:  MD - Jest jeszcze jeden element Dark Souls'a 2, który wpływa na pozostałe Dark Souls'y.
2964:  MD - Dark Souls'y 2 to są pierwsze Souls od FromSoftware, które zrobiły multibossa.
2969:  MD - I nie chodzi mi teraz o Strażników Tronu jako bossa podwójnego.
2973:  MD - a multibossa, czyli zakończenie gry składające się z więcej niż jednego segmentu.
2979:  MD - Bo w DS1 mamy Gwynę na sam koniec.
2981:  MD - W Dark Souls 2 mamy Strażników Tronu, mamy Nashandrę i potem jeszcze mamy Aldi, jeżeli odblokujemy to dodatkowe zakończenie.
2988:  MD - W Dark Souls 3 mamy też dwa paski życia na bossie.
2993:  MD - W Bloodborne mamy Germana i mamy Moon Presence.
2998:  MD - W Elden Ringu też mamy bossa, który się składa z dwóch elementów, z dwóch różnych bossów.
3003:  MD - Faktycznie.
3004:  MD - Zastanawiam się, na ile to było takim blueprintem, który próbowali stestować, bo zobaczy, że to jest coś, co przeszło już do takiego kanonu.
3011:  MD - Każdy boss w
3014:  MD - Gdyż otwieram software, jest więcej niż jednym bossem teraz na sam koniec, więc to jest, ja, mi się to o tyle podoba, że to jest takie finalne sprawdzenie swojej siły, no bo wygląda to w taki sposób, że w desie 1, w desie 2, jak zabije się tych strażników i się umrze na Nashandrze, to możesz pójść jeszcze na tą Nashandrę, prawda?
3032:  MD - Ale masz ten element weryfikujący twojego skilla na sam koniec.
3035:  MD - Czy jestem w stanie zabić trzech bossów back to back?
3039:  MD - I w Bloodborne z tego zrezygnowali, ale w Death 3 utrzymała się ta tendencja, ty musisz dwa razy zabić końcowego bossa, w Elden Ring jest dokładnie to samo, więc ciekawy jestem, czy kolejny gra z tą software to potwierdzą, że będą próbowali na sam koniec już tak faktycznie, faktycznie zchallenge'ować.
3060:  BFP - Masz rację.
3060:  BFP - W Dark Souls 2 zaczęły się eksperymenty z dwufazowością bossów.
3064:  BFP - Nawet Rydvan pamiętny przecież ma dwie charakterystyczne fazy.
3069:  BFP - Pierwsza, gdzie musisz wysadzić gościa z Rydvanu, a potem... Sekiro 4 maje.
3074:  BFP - To ja się nie wypowiem jeszcze.
3075:  KMM - Tak, dobrze Kira pisze.
3077:  MD - Sekiro ma czterech bossów na sam koniec.
3080:  KMM - W sensie cztery fazy z dwóch bossów.
3081:  KMM - Sekiro mnie wystawił na największą próbę cierpliwości tym, bo w pierwszym był Genichiro, który w ogóle człowiek na początku z nim walczy, wydaje się, że to jest największy power level, jaki może być w tej grze, a potem on jest tylko przystaweczką, tak?
3094:  KMM - Posmakujesz go sobie i później masz trzy fazy z Ishinem, Jezus Maria.
3098:  AS - Tak, to jest tylko wnuczek, a potem jest dziadek.
3100:  AS - Tak, tak.
3102:  KMM - I Lies of Pi się tym też zainspirowało, bo właśnie to zakończenie, które jest wielopiętrowe i ta dwufazowa walka z bossem.
3112:  KMM - Jeszcze dodam do wcześniejszego wątku podniesionego przez Kiszaka i a propos wycięcia contentu, to znaczy wycięto straszliwy content, biorąc pod uwagę tę ognistą maginię, mianowicie ona miała taki cudowny apak, grab apak, że mówiła, klasa.
3125:  KMM - Last, last, last po twarzy i to zostało wycięte.
3128:  KMM - To jest tak smutne po twarzy.
3129:  BFP - Ja zmemuję ten fragment i podłożę tam inne dźwięki, podłożę tam zupełnie inne captions, ale nieważne.
3135:  BFP - I wymień niuchacza na coś lepszego.
3138:  BFP - Brando napisał, i to jest naprawdę, Brando przepraszam, bardzo fajny wątek, który myślę może stanowić ciekawy przyczynek do dalszej dyskusji, zanim przejdziemy do takiego czystego bullshitu.
3148:  BFP - Dark Souls 2 to chyba Dark Souls, który najbardziej zasługuje na remake od FromSoftu.
3153:  BFP - Dużo dobrych pomysłów, którym przydałoby się nieco szlifowania.
3157:  BFP - I wiecie, już zostawiam wam do wypowiedzi.
3161:  BFP - Rafał, widzę, że ty się pierwszy wyrywasz, potem dam głos Adamowi, ale...
3166:  BFP - Kurczę, rzeczywiście, gdyby naprawić wiele z tych rzeczy, które raczej uniwersalnie uważane są za niedoskonałe bądź nieprzemyślane.
3177:  BFP - Kiszak widzę tak podejrzanie, patrzy, że to część pięknego doświadczenia, ale gdyby wystandaryzować to trochę bardziej względem pozostałych solców, kurde, to mogłoby być bardzo interesujące.
3188:  BFP - Rafale?
3191:  RN - Ja tylko jeszcze nawiążę do tej dwufazowości, to wydaje mi się, że tak naprawdę już oni to zaczęli eksperymentować przy okazji Demon's Souls, no bo mieliśmy Man Eaterów, gdzie nagle drugi się pojawiał, był Dragon God, który upadał, no to był akurat taki typowy gimmick fight, gdzie tam może to nie było jakąś taką stricte, powiedzmy, drugą fazą, ale też w samym Dark Soulsie jedynce mieliśmy chociażby dwie fazy, tak, też na Gargulcach, gdzie nagle drugi przychodził,
3220:  RN - Więc oni mocno rozwinęli tę po prostu ideę, że akurat tego to bym chyba do Dark Soulsa 2 nie dopisywał jako takiego etapu, że oni tutaj to wymyślili po raz pierwszy.
3231:  BFP - No może, w sumie Dark Souls 2 też wzięło to obniżanie paska życia stopniowe wraz niby z utratą człowieczeństwa i po każdej śmieci, co też było najpierw w Demon's Souls.
3242:  BFP - Ale jakoś chyba, nie wiem, ja nie przyszedłem Demon's Souls, więc się nie wypowiem, ale rzeczywiście, no nawet jak patrzę na walkę z Dark Lurkerem, no to jest druga faza, gdzie on się rozdziela, prawda?
3251:  BFP - Nie jest to specjalnie oryginalne, ale było widać, że próbowali podbić stawkę, żebyś czuł, że wyślizguje ci się grunt spod nóg, kiedy już myślisz, że opanowałeś arenę i jesteś spokojny, bo pokonasz bossa i wiesz, że ci wystarczy flaszek.
3264:  RN - No dokładnie.
3265:  RN - Jeszcze w sumie to Manus był też z Dark Souls 1, gdzie nagle Magiom zaczynał atakować, dochodziły mu nowe ataki, czy Ornstein i Smaug, gdzie po prostu on albo rósł, zmieniały mu się trochę też te ataki, bo wchłaniał ataki tego drugiego.
3276:  RN - Więc tutaj o Dark Soulsie 2 bym nie mówił, w kontekście tego, że oni to wymyślili, tylko rozwinęli bardziej ten pomysł.
3282:  RN - Jest dużo rzeczy, które Dark Souls 2 wprowadziło po raz pierwszy, tak jak już dzisiaj rozmawialiśmy.
3288:  RN - ale myślę, że te dwie fazy akurat nie.
3291:  RN - Ja powiem wam jeszcze tylko tak totalnie na marginesie, jako taką ciekawostkę, jeżeli chodzi o Dark Souls 2, że oni próbowali zrobić całkowicie inny system poruszania postacią i to też było w betcie widoczne, gdzie przed tym, co teraz dostaliśmy, bo tutaj na pewno będziemy dzisiaj mówić o tym systemie sterowania, że postać nie może się poruszać
3318:  RN - Tak precyzyjnie jak już w Dark Souls 3 na przykład, ale powiem wam, że to co było przed premierą to wyglądało jakby ktoś wrzucił w wersję Alpha Demon's Souls.
3330:  RN - Serio, ja nie wiem co oni zrobili, ale widać ewidentnie, że tutaj ta koncepcja nad tym movementem postaci to się tak mocno zmieniła,
3339:  RN - Ja nie wiem dlaczego, jakby tak też nawet wam mogę, delikatnie zmieniając może temat tej dyskusji, ale podrzucić taki temat, jak w ogóle oceniacie tak naprawdę w Dark Soulsie 2c movement, ale względem starszego Dark Souls 1?
3355:  MD - Czy uważacie, że... Ale to jest prawda, że Dark Souls 2 mają faktycznie ośmiokierunkową oś poruszania się?
3362:  MD - Tak, no.
3362:  MD - Tak.
3364:  MD - Nie zwróciłem na to nigdy uwagi, naprawdę.
3367:  MD - Dowiedziałem się wczoraj o tym.
3368:  MD - To jest mocno zakamuflowane.
3369:  BFP - Może dlatego, że grasz na macie do tańczenia, to nie wyczułeś tak bardzo.
3375:  S05 - Czekajcie, ale tańczy się chyba też, nie?
3379:  KMM - Najbardziej złości ta mechanika ukrycia części statystyki, bo one są ukryte, nie oszukujmy się.
3385:  KMM - Gdyby nie guided, nikt się o tym by nie dowiedział.
3388:  KMM - Po tą cholerną statystykę adaptability, która odpowiada za wszystko.
3391:  KMM - To jest tak, macie w typologii, ładnie wyglądającą typologię, wszystko jest pięknie podzielone i potem jest kategoria inne.
3398:  KMM - I adaptability to jest taka kategoria inne, w której jest wszystko.
3401:  KMM - I nie wiadomo co do końca.
3403:  KMM - Ludzie mi na przykład mówili, że jak masz zręczności wystarczająco dużo, to adaptability możesz dobić do 40, a inni mówią, że trzeba do 60, a inni mówią, że w ogóle do 90, więc ja na przykład tak wymaksowałem.
3414:  KMM - Ale generalnie rzecz biorąc, było to o tyle problematyczne, że właśnie nie za bardzo można było się dowiedzieć, za co odpowiada jedna z wielu statystyk.
3422:  KMM - Mam też wrażenie, że to rozmnożenie różnych rzeczy, ono nie dotyczy wyłącznie
3427:  KMM - umiejętności, bo też są rozmnożone przedmioty.
3429:  KMM - Ja w większości consumables praktycznie nie użyłem, a i w Dark Souls 3 i w Dark Souls 1 używałem dużej, dużo większej liczby i z bardziej zróżnicowanych consumables, przedmiotów zużywanych, tak samo jak w Elden Ringu.
3440:  KMM - A w Dark Souls 2 ograniczałem się, nie wiem, do dwóch, trzech maksimum, no i właśnie w tym były te nieszczęsne ogniste motyle.
3447:  KMM - Ale o consumables będę mieć rant osobny.
3450:  MD - Ja rozumiem na przykład ideę wprowadzenia adaptability, bo jakbyśmy się zastanowili, co im mogło przyświecać na to adaptability, no to było dostrojenie twojej postaci.
3459:  MD - To ty decydujesz, jak twoja postać jest zręczna, jak dużo twoja postać potrafi uniknąć.
3465:  MD - Tylko, że gry From Software rozwinęły się tak bardzo i pokochaliśmy je właśnie za możliwość przechodzenia ich zawsze na pierwszym poziomie, z jak największą ilością obostrzeń i to było założenie, które teoretycznie miało ciekawą ideę, no bo
3480:  MD - to ty decydujesz jak ciężka jest twoja gra, to ty decydujesz no jak dużo twoja postać może sobie pozwolić, ale okazało się, że to ogólnie wypacza całą ideę grania w Sousy, bo to jest to, co my chcemy faktycznie w Sousach mieć jako całkowitą jej podstawę.
3496:  MD - Więc ja rozumiem założenie, ale uważam, że jest niewypalone, nie?
3500:  BFP - Asura napisał na czacie, chciałem tylko napisać, że do Dark Souls 2 trzeba dorosnąć.
3505:  BFP - Bez wątpienia.
3506:  BFP - Alichta napisał, nigdy ani razu podczas któregokolwiek przejścia Dark Souls 2 nie podbiłem adaptacji.
3512:  AS - To gratuluję chyba.
3516:  BFP - Tak to jest jak się gra dwiema tarczami, znaczy nie wyobrażam sobie...
3521:  BFP - Nie, nie mieliśmy się to w głowie.
3522:  BFP - Adamie, oddaję Ci głos.
3523:  AS - Odnośnie adaptacji krąży obecnie po community taki cudowny mem, bo wielkimi krokami zbliża się dodatek do Elden Ringa i ten dodatek ma ponoć mieć jakiś tam system skalowania naszego poziomu, żebyśmy, wiecie, nie wbili tam na 300 poziomie do tej Krainy Cieni i wszystko pozamiatali, tylko jakiś czynnik skalowania ma tam istnieć i ludzie już się śmieją, że będzie to właśnie adaptability.
3548:  AS - Także szykujcie się.
3552:  BFP - Twoim zdaniem, tylko podbiję to co napisał na czacie Brando.
3558:  BFP - Zacznij od tego Adam może, czy ty rzeczywiście masz wrażenie, że gdyby sięgając oczywiście do swoich doświadczeń, ale też tego co znasz z community i generalnej oceny Dark Souls 2, że gdyby zrobić remake, ale w takim stylu w jakim do tej pory robiło się remake'i, Demon's Souls, to była gra, w której jednak zduplikowano wiele rzeczy, które
3578:  BFP - Kurczę, trudno powiedzieć.
3598:  AS - O, dużo rzeczy by musiało tam być naprawionych.
3603:  AS - Ok, kupuję argument z tym adaptability, jeśli chodzi o rozwój postaci.
3609:  AS - Jestem w stanie się z tym zgodzić, ale właśnie to... Wspomnieliśmy też o ogólnie sterowaniu postacią.
3615:  AS - Moim zdaniem sterowanie postacią w dwójce jest dużo gorsze nawet od jedynki.
3620:  AS - Nie wiem dlaczego, ale...
3622:  AS - W Dark Souls 2 czuję się mega sztywno, sterując swoją postacią.
3627:  AS - Mega sztywno, nawet w stosunku do jedynki.
3632:  AS - I jakby, nie wiem, nie potrafię tego wytłumaczyć.
3635:  MD - Może za mało adaptability, ale... Może właśnie w życiu za mało adaptability.
3643:  RN - Jeszcze masz najwięcej elementów, gdzie musisz skakać po różnych platformach, nie?
3648:  RN - Oj tak, Boże, tak.
3650:  BFP - Nie, ale to odczuwalność w sterowaniu, znaczy różnica w sterowaniu moim zdaniem jest ogromna.
3657:  BFP - I to jest dziwne, bo jedynka miała dobre sterowanie, trójka miała
3663:  BFP - Dobre sterowanie i po środku stało się coś bardzo dziwnego.
3666:  KMM - Czyli to jest proste, musisz zagrać na klawiaturze i mysz.
3671:  KMM - Żartuję, żartuję, spokojnie.
3675:  BFP - Tak próbuję sobie przypomnieć, bo jak pierwszy raz grałem w Dark Souls 2, to nawet jakoś nieświadomie to zarejestrowałem i poczułem, coś tu jest tak jakby nie do końca.
3686:  BFP - Widać oczywiście w animacji, jak bardzo skacze ta postać w swoim ruchu i że ten ruch nie jest płynny, ale
3694:  BFP - Trzeba rzeczywiście trochę pograć i przede wszystkim uważam powykonywać te elementy platformowe, żeby poczuć problem.
3701:  BFP - gdzie przychodzi... Ja pamiętam taki moment, a propos elementów platformowych właśnie w Gnieździe Smoków, gdzie trzeba dosłownie jadąc na linię, jedzie się na linię i trzeba... W ogóle fantastyczne, to jest chyba jedyny Sol, z którym stwierdzono, ej wiecie co by było fajne?
3721:  BFP - Jakby nasza postać mogła... Tyrolki.
3722:  BFP - Tak, tyrolki kurwa, zróbmy tyrolki, nie?
3725:  BFP - I tak wiecie, zróbmy takie wysepki, na które można skakać.
3728:  BFP - Graczom się to w chuj spodoba.
3730:  BFP - To jest dokładnie to, czego oczekujemy od Solsów.
3732:  AS - Pracownik miesiąca.
3735:  BFP - Jedziesz i musisz w odpowiednim momencie zeskoczyć na wysepkę, bo tam jest chyba 10 tysięcy dusz albo 20 tysięcy dusz, coś takiego.
3742:  BFP - Jest taka jedna właśnie mała wysepka tam.
3744:  BFP - I musisz zeskoczyć, ale...
3747:  BFP - Jak zeskoczysz, to oczywiście musisz wcisnąć atak w odpowiednim momencie, żeby skończyć rol, bo jak będziesz się rolował dalej, to spadniesz z tej wysepki, bo nie dasz się tak wycelować, że skakujesz nawet na krawędź tej wysepki z jednej strony, ale jak się przetoczysz, to na pewno uda ci się nie spaść.
3760:  BFP - Nie, nie, nie.
3761:  BFP - Musisz wykonać atak.
3762:  BFP - I wydaje mi się, że to sterowanie najbardziej odczuwane nie jest podczas walki.
3767:  BFP - To nie jest problem, który się pojawia podczas walki, tylko to jest problem, który pojawia się najbardziej podczas nawigacji w otoczeniu, a w szczególności w wykonywaniu jakichś platformowych elementów.
3776:  BFP - Rzucam wam tak hasło, żebyście podjęli.
3778:  KMM - Krzysztof, ty też... Jeśli chodzi o płynność ruchu, ja mogę powiedzieć tylko to, co obserwowałem po innych postaciach w grze, bo to było przekomiczne.
3786:  KMM - Jest taki jeden moment w walce w DS-ie, jeden z Orszinem i Małgiem, jak Orszin tak do nas dosłownie płynie, jakby był w powietrzu, bo coś tam się gliczuje.
3797:  KMM - No to w Dark Souls 2 jest dużo takich przeciwników.
3800:  KMM - Do dzisiaj pamiętam w Iron Keep jak uciekam przed jakimś przeciwnikiem i nagle widzę, że on właśnie sunie przeze mną na 4,5 razy szybciej niż w ogóle powinien.
3809:  KMM - I to się tam dzieje notorycznie.
3810:  KMM - Znaczy gra koryguje ruch innych postaci po to, żeby na przykład ktoś mógł nam wsadzić obrażenia.
3816:  KMM - To się też dzieje przy wypadach, które musimy później następnie w jakiś sposób unikać.
3821:  KMM - Musimy się uczyć.
3822:  KMM - Ja sobie w ten sposób wyobrażałem, że chociażby hitboxy wokół mieczy to tak naprawdę nie jest ostry miecz, tylko to jest tuleja.
3829:  KMM - I że ktoś walczy ze mną taką wielką tuleją, która zajmuje całą arenę i dopiero jak sobie to
3834:  KMM - przetłumaczyłem, to łatwiej było mi unikać, więc dla mnie tu był ten problem z ruchem i fakt faktem również miałem straszny kłopot z jedną rzeczą i to mnie dopiero ludzie na live'ach uświadomili, mianowicie jak biegłem, kończyła się stamina, trzeba było jeszcze raz się jakby zerwać do biegu, żeby można było dalej biec, to znaczy gra z jakiegoś względu uznawała, że w tym momencie postać ma stanąć i koniec, nie ruszać się, nie zrywać się do biegu i jak biegłem w ten sposób do Redvanu,
3862:  KMM - Ja w ogóle nie wiedziałem co się dzieje i nie rozumiałem tego i zacząłem patrzeć na pasek z tamieniem.
3865:  KMM - Nie, nie, no wszystko jest w porządku, no on się powinien regenerować, a tu tymczasem jest ten problem.
