THE LAST OF US odc. 9 FINAŁ | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=InCexO5WMJ8
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

7:  BFP - Ja zwykłem te nasze poniedziałkowe spotkania zaczynać od słów
1574:  KMM - Miałem wrażenie, że znowu jest odstęp, że znowu mi czegoś ktoś nie powiedział i aż się upewniłem, specjalnie obejrzałem sobie końcówkę ostatniego odcinka, żeby wiedzieć o co chodzi, do tego stopnia ten był oderwany kompletnie.
1588:  KMM - Dziwne.
1588:  GW - Ale no nie, no to... Znaczy brakuje ci, podejrzewam, te 15 minut, gdzie masz na przykład 3 minuty, minęło tyle tygodni, 3 minuty, minęło tyle tygodni, żeby pokazać... Znaczy nie, ja zrozumiałem inaczej, że Krzysztof, jakby to co powiedziałeś, to brzmi, że brakuje ci dosłowności.
1602:  KMM - Nie, nie dosłowności, to jest po prostu, mam odstęp, to jest mniej więcej tak, abym włączył serial i zapomniał, że był jakiś odcinek w zeszłym tygodniu, to jest do tego stopnia.
1610:  BFP - No tak, ale wiesz, możesz zrobić serial, który będzie miał 20 odcinków, tak jak The Walking Dead per sezon i wrzucać tam filery, które... Ale tu nie chodzi o filery, ale popatrz, mamy 43 minuty.
1621:  GW - Kogo by zabiło, żeby zrobić 20 minut?
1622:  BFP - Ale nie, to w ogóle tego nie kwestionuję, tylko ja bym chciał 20 minut więcej w tej lokacji.
1628:  GW - Tak, ale właśnie tej rozmowy, chociaż nie, ja bym na przykład powiedział, że jak idą właśnie przez te kolejne regiony, bo tam od Colorado do Salt Lake City jest trochę terenu i gdzieś tam, żeby się przewijały te rozmowy, na przykład, że na początku Ellie nie była w stanie nic powiedzieć, potem, że próbowali nawiązać w ogóle jakiś kontakt z powrotem, później, że próbowali jakkolwiek porozmawiać i tak dalej, i tak dalej, żeby...
1655:  GW - Ten progres z tego szoku, bo to wydaje mi się, że to o to tak, przynajmniej ja tak czuję o to, choć Krzysztof mówił, że proces od tego szoku do jakiejkolwiek stopnia komunikacji, żeby był zaznaczony jako jakiś progres.
1670:  GW - I to nie kosztuje dużo, to nie musi być 20 minut, okej, ale te 5 minut poszatkowanych, tam ujęć, które na przykład pokazują też, że oni się przemieszczają, że się zmienia otoczenie wokół nich, że zmienia się pora roku jakoś.
1687:  GW - Cokolwiek w tym kierunku.
1689:  KMM - Kupuję to.
1690:  KMM - Żeby była trauma widoczna, to musimy mieć przepracowanie traumy.
1697:  KMM - I nawet jeżeli to przepracowanie traumy zwykle polega na tym, że człowiek siedzi cicho i dopiero potem się decyduje na tym, żeby ją przepracować, to jednak wysyła jakieś sygnały, prawda?
1707:  KMM - Tak, ale nie było tutaj tego.
1708:  KMM - I druga rzecz, ludzie piszą na czatach, że były przeskoki czasowe.
1711:  KMM - No uziwa, no przecież jeżeli ja nie mam informacji z zewnątrz, że są tu przeskoki czasowe, ja bym tutaj mógł zrobić uroczy test, wzorem cudownych testów szkolnych i zapytać, który odcinek dzieje się w którym mieście.
1723:  KMM - I jeszcze, żeby to ułożyć na osi czasu.
1726:  KMM - Słowo honoru, żebym ufundował kilkutysięczne stypendium dla osoby, która byłaby w stanie to zrobić.
1730:  KMM - Tego się nie da zrobić na podstawie jednokrotnego obejrzenia serialu.
1733:  KMM - Ja bym musiał zrobić analizę narracyjną, zapoznać się ze scenariuszem, materiałami dodatkowymi, jeszcze czymś... A to jest podstawowa rzecz w kinie drogi.
1742:  BFP - Ja bym ci powiedział, a jakie to ma znaczenie?
1744:  KMM - To nie ma żadnego znaczenia.
1746:  KMM - Mogą być w Nowym Jorku, mogą być w Paryżu, mogą być w Montrealu.
1750:  KMM - Jeżeli masz budowanie relacji i robisz odstęp między jednym a drugim, to w jaki sposób chcesz zakomunikować widzowi, że jest to odstęp?
1758:  KMM - Jak masz kino drogi, komunikujesz to drogą.
1761:  KMM - Pokazujesz, o, oni teraz przyjechali, nie wiem, w 15 bilionów kilometrów, czyli zapewne po drodze nie rozmawiali o tym, jaki jest najlepszy przepis na ciasteczka drożdżowe.
1771:  KMM - Nawet w szeregu.
1772:  KMM - Czytam, czytam.
1773:  GW - Nawet w Shreku od Bagna do Królestwa Farquada zrobili ten reel na 2,5 minuty, gdzie oni po prostu idą przez jakiś tam teren, żeby widzieć, że się środowisko zmieniło.
1787:  BFP - Nawet w Shreku.
1790:  BFP - Czytam na czatach, ma znaczenie, mapa jest ważna, plus jeden Krzysztof, pora roku, ma znaczenie i mają pieniądze.
1796:  BFP - To napiszcie dlaczego.
1798:  BFP - Oczekuję odpowiedzi.
1799:  BFP - Dlaczego?
1800:  BFP - Dlaczego ma dla was znaczenie to, że coś się dzieje w Salt Lake City, a nie w Pittsburghu?
1804:  BFP - Ale ci wyjaśniam dlaczego.
1805:  BFP - Nie, nie, nie, nie usłyszałem tego wyjaśnienia.
1807:  KMM - Jak to nie?
1808:  KMM - Przecież powiedziałem ci, że jeżeli masz powieść drogi czy kino drogi, to istota polega na tym, że właśnie dlatego odwołujesz się bez przerwy do zmieniających się lokacji, żeby pokazać upływ czasu.
1819:  KMM - Jeżeli nie masz pokazanego upływu czasu, to z perspektywy mojej jako widza, ta scena, która była tutaj, dzieje się tuż po poprzedniej.
1827:  KMM - Nie ma tam żadnego przeskoku czasowego.
1830:  KMM - Była sekwencja o 18.45, potem była retrospekcja do czasów minionych, a potem była 18.57.
1835:  KMM - Ale patrz na postaci, nie na lokacje.
1839:  KMM - Ale jakie postaci?
1839:  KMM - Patrz na ich zachowanie, patrz na ich relacje.
1841:  KMM - To nie ma innych postaci, przecież zaczyna... To jedyna postać to jest żrafa, w sensie pionowy jamnik.
1846:  KMM - To jest wszystko, co tutaj się pojawia.
1847:  KMM - Zaczyna się odcinek od tego, że jest Joeli.
1849:  KMM - Eli, jakie inne postaci?
1851:  BFP - Od tego, że Eli, którą znasz od siedmiu czy ośmiu odcinków, jest zupełnie inna niż była.
1858:  BFP - Jak?
1858:  BFP - Gdzie?
1858:  BFP - Co jest w niej innego?
1860:  KMM - Ona cały czas... No nie, no przepraszam, ale teraz to już jest jakiś kuriozum.
1864:  KMM - Ale ona cały czas gra kamienną twarzą, tak jak przez ostatnie 7 odcinków.
1867:  GW - No nie, no przecież to jest... Nie, to się nie zgodzę.
1869:  GW - No nie, o czym ty mówisz, Krzysztof?
1871:  GW - To żeby tylko tak troszeczkę rozdzielić.
1876:  GW - Brakuje faktycznie bardziej płynnego przejścia, większego poprowadzenia tego, jak wyglądał ten proces od właśnie samego czynnika traumatyzującego skrajnie po jakikolwiek stopień właśnie komunikacji pomiędzy Joelem a Ellie.
1892:  GW - Brakuje tutaj faktycznie tego przejścia.
1894:  GW - Czy byłoby to pokazane przez dosłownie najazd na twarze postaci, które wymieniają między sobą albo próbują wymienić między sobą jakieś zdania, czy przez pokazanie na przykład
1905:  GW - tła w jakiś sposób, gdzie byśmy mieli i upływ czasu, i zmianę poru roku, i zmianę terenu.
1911:  GW - Przecież ogarnęliby to CGI bez problemu.
1914:  GW - W jakikolwiek sposób pokazanie tego stopniowego progresu.
1917:  GW - Tutaj faktycznie pomiędzy zimą i traumą, a wiosenną, powiedzmy, porą i jakąkolwiek rozmową jest po prostu zbyt duży przeskok i ja po prostu rozumiem, ja tego nie potrzebuję, bo
1933:  GW - ten progres już raz przeżyłem powiedzmy przez grę więc dla mnie to jest po prostu pewne uzupełnienie i jestem w stanie bardziej zaakceptować skoki ale jeżeli ktoś nie zna tego materiału nie wczuwa się tak bardzo też w ten serial albo widzi więcej wad to to jest po prostu za mało dla takiej osoby także trzeba też starać się zrozumieć wydaje mi się tutaj drugą stronę że ten skok był po prostu za duży
1957:  BFP - No tak, ale to jeszcze uzupełnię to w taki sposób.
1961:  BFP - To, że Ellie jest inna niż ją widzieliśmy w ośmiu odcinkach wcześniej, to chyba nie podlega dyskusji, naprawdę.
1967:  BFP - Mieliśmy iskrzącą energią, sarkastyczną, zadziorną dziewczynę, która używa humoru, żeby chronić... Mieliśmy ponurą, straumatyzowaną, chowającą w sobie dużo, pod maską sarkazmu dziewczynę, to jest duża różnica.
1984:  KMM - A teraz nie ma tego.
1986:  KMM - Ja jego nie wiem, ponieważ gra tak samo.
1991:  KMM - I na tym polega problem.
1991:  KMM - Ja nie wiem, czy ona w tym momencie przepracowuje traumę morderstwa, czy ona w dalszym ciągu ustosunkowuje się do tego tak, ustosunkowała się do poprzedniego morderstwa, o którym dopiero mówi Joelowi pod koniec tego odcinka.
2004:  KMM - Ja tego nie wiem.
2006:  BFP - Przeczytam to, co napisał Ripple G i Krzysztof chyba inny serial ogląda.
2009:  BFP - Bo naprawdę mam takie wrażenie.
2012:  BFP - Każda scena właściwie z Ellie, to jest ona docinająca Joelowi, czytająca mu bezbelskie żarty.
2018:  BFP - A co robi za pięć minut?
2020:  BFP - No co robi za pięć minut?
2022:  KMM - Czyta dokładnie te same żarty, które czytała wcześniej.
2025:  KMM - A co robi teraz?
2025:  KMM - Wiesz, co się zmienia między tymi dwiema scenami?
2028:  KMM - Reakcja Joela.
2029:  KMM - To się zmienia.
2030:  KMM - Joel zmienia całkowicie swój stosunek i ten odcinek jest o tym, że w nim się bardzo dużo zmienia.
2036:  KMM - Natomiast Ellie nie.
2038:  KMM - Ja nie jestem w stanie po tych sygnałach, które są tutaj wysyłane, tego wyinterpretować.
2042:  KMM - To jest kwestia interpretacji.
2043:  KMM - Jeżeli dialogi są tak oszczędne,
2046:  KMM - No to wtedy coś musi tę pustkę wypełnić w narracji i dla mnie w niedostateczny sposób jest to wypełnione.
2053:  KMM - Ja się czuję troszeczkę tak, jakbyśmy rozmawiali przed obrazem w Muzeum Sztuki Współczesnej, które jest białym płótnem i ja bym teraz, mam tłumaczone, że Krzysztof, ty się nie znasz, ponieważ ty nie wiesz, że to jest konstruktywizm prowidencjonalny i że tutaj jest to i to i to.
2067:  KMM - No nie, sorry, znaczy ja w pewnym momencie mówię, że potrzebuję jednak więcej danych, tu mam za mało danych.
2073:  KMM - Być może brakowało jednego odcinka.
2075:  BFP - Okej, to tylko ostatnią rzecz powiem.
2078:  BFP - Nie musimy mieć zmiany lokacji, żeby widzieć upływ czasu.
2081:  BFP - Wystarczą zmiany pory roku, które faktycznie odnotowują zmianę czasu.
2086:  BFP - Poprzednio miałeś zimę, teraz masz wiosnę.
2091:  KMM - Nie ma śniegu, no już prościej się tego nie da wyłożyć.
2094:  KMM - Śnieg zniknął.
2095:  KMM - Ale Filip, strefy klimatyczne istnieją.
2098:  BFP - No tak, w Stanach Zjednoczonych na pewno idzie, no dobra, okej.
2101:  BFP - No tak!
2103:  BFP - Tak, tak, z pewnością przeszli od jednego brzegu do drugiego brzegu.
2107:  GW - Chodzicie za bardzo w łapanie się suwek tutaj, bo tutaj i tak nie jest istotna lokacja i pora roku, tylko jest istotne to, że postacie w jakiś sposób przebyły wewnętrzną drogę i to jest za mało pokazane.
2120:  GW - I chyba tutaj możemy się zgodzić, że można było to zrobić znowu lepiej, tak?
2125:  BFP - Nie, ja się nie zgodzę, ale przyjmuję wasze argumenty.
2131:  BFP - Na pewno byłoby mi, znaczy nie pogardziłbym, gdyby było więcej o 20 minut tego odcinka, tak?
2137:  BFP - Tak, ale ja bym go nie rozdysponował na to, żeby widzieć, co się wydarzyło przed pierwszą sceną, którą widzimy z Bellą.
2144:  BFP - Chciałbym widzieć więcej tego, co się dzieje w Salt Lake City.
2147:  BFP - Chciałbym widzieć więcej relacji między nimi, chciałbym widzieć więcej zainfekowanych.
2150:  GW - Ale widzisz, jakbyś zobaczył więcej relacji jeszcze między nimi, to być może zobaczył też, byłoby lepiej pokazane, jak te postacie faktycznie się zmieniły, więc może to nie musiałoby być właśnie taki adventure reel, który pokazuje przemieszczanie się postaci i rozmowy wtedy, ale...
2167:  GW - jakby pokazali więcej materiału i ich interakcje, to może wtedy by nie było takiego poczucia braku, jaki teraz jest, że nie widzimy tak bardzo progresu pomiędzy postaciami i ich relacjami.
2178:  GW - I mówię znowu, ja tego nie potrzebuję, ale chcę też zobaczyć to wszystko, przyjąć troszeczkę pozycję ludzi, którzy
2186:  GW - Albo potrzebują więcej dosłowności, albo nie potrzebują więcej dosłowności, ale potrzebują większego, uzupełnienia, bardziej płynnych, powiedzmy, przejść pomiędzy pewnymi stanami postaci.
2197:  GW - Ja to jestem w stanie tutaj się skłonić ku temu, że można było znowu przedstawić to inaczej.
2203:  BFP - Przepraszam, przeczytał tylko szybki komentarz.
2205:  BFP - Rozbawił mnie, ale kłekłe napisał.
2207:  BFP - Krzysztof by chciał zobaczyć, jak uciekają przed zarażonymi potopiącym się śniegiem, żeby było, że zmiana pory roku.
2213:  GW - Filip, a przeczytać ci, jakie są komentarze w twoją stronę, bo zaczynasz czytać bardzo wybiórczo.
2218:  S02 - Oczywiście.
2219:  S02 - Filip, wdech i wydech.
2221:  KMM - Ja chciałbym tylko zaznaczyć uprzejmie, że jeżeli film wybiera najbardziej prymitywny sposób komunikacji czasu, to znaczy 20 lat później.
2228:  KMM - Ale właśnie tego nie było.
2230:  KMM - Było wcześniej, we poprzednich odcinkach.
2232:  KMM - To jeżeli wprowadza taki styl komunikacji z widzem, to nie powinien nagle z niego rezygnować w połowie serialu i teraz zakładać, że wszyscy się będą domyślać.
2240:  KMM - Jeżeli zostało zakodowane coś, to jest mniej więcej w taki sposób, gdybyśmy miały w pierwszej części książki rozdziały, a w drugiej części książki nagle bym nie miał rozdziałów, tylko miałbym cały rozdział na całość książki.
2252:  KMM - Kompozycja istnieje i trzeba jednak, jeżeli się decyduje na pewne rozwiązania,
2257:  KMM - utrzymywać pewna spójność, bo po prostu widza się pozostawia w chaosie.
2261:  KMM - Gwarantuję wam, że ktoś może się pogubić w tego rodzaju rzeczach i przepraszam najmocniej, ale gadanie pogardliwe, że to jest względem zagodniego widza, ze strony ludzi, którzy na przykład, nie wiem, nie interpretowali w swoim życiu Ulyssesa Jamesa Jonesa, ciupineczkę śmieszne, bo zawsze, jak będę powtarzał, jeżeli chodzi o rywalizację, there's always a bigger fish, więc uważajcie może z mówieniem, że ktoś tam nie dointerpretował, bo nie domaga, tak?
2285:  KMM - Zawsze można skomplikować narrację, zawsze można sobie włączyć Ergoproxy, a nie Neon Genesis Evangelion.
2291:  KMM - Więc to nie jest ta kwestia, to jest kwestia spójności.
2294:  KMM - Jeżeli serial jest prowadzony spójnie, to jest wszystko w porządku.
2298:  KMM - Ja nie lubię takich rozwiązań.
2301:  KMM - Uważam, że twórcy Czarnobyla stać na troszeczkę lepsze i inteligentniejsze zabiegi i dlatego od samego początku szydziłem z tego, żeby pokazywać tak upływ czasu.
2309:  KMM - Można to robić inaczej.
2311:  KMM - I to rozwiązanie jest złe, i to rozwiązanie jest złe.
2315:  KMM - Z jakiegoś powodu rozmawiałem o serialach jakiś czas na tym kanale i jakoś dziwnym trafem tylko przywołałem ten problem.
2323:  BFP - Ale to jakie jest dobre rozwiązanie?
2324:  BFP - Bo to mnie ciekawi.
2325:  KMM - Jakie jest dobre?
2326:  KMM - Inne.
2327:  KMM - Jak zobaczę, to powiem.
2328:  KMM - Znaczy nie no, bo to jest pytanie egzaminacyjne.
2331:  KMM - Inne jakie?
2332:  KMM - Nie wiem.
2333:  KMM - Trzeba byłoby przyjrzeć się, w jaki sposób to jest robione w innych produkcjach.
2336:  KMM - Tutaj ewidentnie to nie zadziałało.
2338:  KMM - Można to robić na... To jest troszeczkę tak, jakbyś spytał o... A jak komunikować, gdzie jest jakiś bohater bez opisu ala Eliza Orzeszkowa?
2345:  KMM - No nie wiem, w dialogach, tak?
2347:  KMM - Na przykład, prawda?
2348:  KMM - Można to robić, ale równocześnie wydaje mi się, że właśnie taka plansza tekstu to jest właśnie Eliza Orzeszkowa style, to znaczy o, i ten las był taki, i lecimy teraz przez 14 stron, jaki był las.
2359:  KMM - A jeżeli komuś się nie podoba, to wyjedziemy klasistowskim argumentem, no tak, no bo ty nie rozumiesz wyrafinowanej literatury.
2364:  KMM - No taka dyskusja nie ma sensu wtedy.
2367:  KMM - Ja tego nie powiedziałem, że była jasność.
2371:  BFP - Mam nadzieję, że to jest jasne.
2373:  KMM - Nie, ale się pojawiają tego rodzaju uwagi w komentarzach.
2376:  BFP - Tak, pojawiają się też, że Krzysztof plus jeden, więc myślę, że ludzie mają różne wrażliwości.
2382:  KMM - Chodzi o kształtowanie pewnej dyskusji na temat tego, w jaki sposób można komponować narrację, albo jak można komponować opowieść.
2390:  KMM - Jest to robione niekonsekwentnie.
2391:  KMM - Nie mówię, że dobrze, nie mówię, że źle.
2393:  KMM - Jest robione niekonsekwentnie.
2394:  KMM - No to trzeba się zdecydować na jakieś rozwiązanie.
2397:  KMM - No i ja mógłbym odbić to pytanie do Ciebie i spytać, dlaczego w takim razie to Cię przekonuje.
2401:  KMM - No i odpowiedź być może jest taka, że dlatego, że masz wiedzę taką, której nie mają widzowie, którzy nie grali w grę.
2406:  BFP - Nie, powiedziałbym, dlatego, że wymaga to ode mnie pomyślunku.
2409:  BFP - Dlatego, że nie podaje mi to rzeczy na tacy.
2411:  BFP - Dlatego, że wymaga ode mnie uważności.
2414:  BFP - To byłaby moja odpowiedź.
2414:  KMM - A nie uważasz, że lepiej byłoby, żeby człowiek myślał nad tematami filozoficznymi, które ten serial podaje, a nie na temat podstawowej konstrukcji narracyjnej?
2421:  BFP - To jest to, co powiedziałem już dzisiaj.
2423:  BFP - Można rzuć gumę i iść jednocześnie.
2425:  BFP - To znaczy można poświęcić energię na myślenie nad dwiema rzeczami.
2429:  KMM - Nie w tym przypadku myślę.
2430:  KMM - No w porządku.
2431:  KMM - Let's agree to disagree, bo dla mnie to jest klasyczny kazus narracji, która zaciemnia rzeczy dla samego zaciemniania, a tak naprawdę usiłuje udawać, że robimy to nie dlatego, że mamy mały budżet, tylko dlatego, że tak jest ambitnie.
2446:  KMM - To jest kazus, krótko mówiąc, teatru, który wystawia mi Szekspira i on jest wystarczająco już trudny, ale wystawia tego Szekspira z użyciem jednego krzesła na tle osnutej pajęczynami czarnej kotary i mówi mi, że to jest sztuka.
2458:  KMM - I że ja jestem głupi, bo ja tego nie doceniam, ja powinienem patrzeć przez to na tekst Szekspira.
2462:  BFP - Obaj obejrzeliśmy film Tar, który zjada The Last of Us poziomem złożoności pomyślunku na śniadanie.
2469:  BFP - Na przykład.
2470:  BFP - Ale wymaga pomyślunku.
2471:  BFP - Bardzo dużo.
2472:  BFP - Ja bym go nie zrozumiał, gdybym nie poczytał.
2475:  BFP - Więc jakby to też może to jest taki sygnał do wszystkich, którzy piszą, że o Filip serce, Krzysztof mózg.
2481:  BFP - Nie, w naszych dyskusjach nigdy nie chodzi o to, żeby któryś z nas powiedział o plus jeden, ale go zgasił albo zaorał.
2488:  BFP - Nie, my ścieramy nawet jeżeli wchodzą w to jakieś emocje, czy są zaangażowane w te emocje, różne wrażliwości, to jest chyba słowo klucz, wrażliwości, to co preferujemy, to co nam się podoba.
2500:  BFP - Krzysztof nie dostał tutaj dokładnie tego, czego oczekiwał.
2503:  BFP - Ja to absolutnie szanuję, ale to też wiadomość dla wszystkich, którzy mówią o bzdura, o to nie ma sensu, o czegoś nie zrozumiał, albo Krzysztof 1000% racji.
2512:  BFP - Spróbujcie odrzucić takie myślenie, bo my nigdy w dyskusji ze sobą we trójkę nie myślimy w taki sposób.
2517:  BFP - Na zasadzie
2519:  BFP - Okej, to mi dało do myślenia.
2521:  BFP - Może teraz uważam inaczej, ale na pewno prześpię się z tym, co powiedziałeś, bo to ma znaczenie.
2526:  BFP - I zmieniając na scenę dalej, chciałem powiedzieć, że jeden z najzabawniejszych komentarzy, jakie dostałem w ostatnim czasie, to dzisiaj pod recenzją.
2535:  BFP - że ta żyrafa jest najlepszym CGI, jakie w życiu widziałem.
2538:  BFP - Otóż pragnę potwierdzić, że to nie jest CGI.
2542:  BFP - To jest prawdziwa żyrafa, to jest prawdziwa żyrafa i no ta scena jest jeden do jednego tworzeniem tego, jak wyglądało to w grze.
2551:  BFP - Krzysztof, czy chcesz tutaj coś ty powiedzieć, jak ty odebrałeś tę scenę?
2554:  BFP - Bo to mnie też ciekawi, jak ty odebrałeś tę scenę, kiedy ona się tak, no trochę można by powiedzieć, że z dupy pojawia nagle, nie?
2561:  KMM - To była bardzo miła zmiana, tylko znowu wybrzmiałaby lepiej, gdybyśmy mieli jakiś kontrast.
2567:  KMM - Natomiast nie mamy żadnego kontrastu wobec świata, bo teraz świat jest bezpieczny, jest oczyszczony z zagrożenia, bohaterowie się poruszają.
2574:  KMM - Żrawa była taką ładną niespodzianką na końcu tej drogi, natomiast nie miałem takiego wrażenia, że zbudowało to właśnie takie uczucie idylliczności.
2582:  KMM - Ellie biegnie tam w górę tego dziwnego budynku,
2587:  KMM - i wychodzi właśnie do tego Edenu, do tego raju, prawda?
2590:  KMM - No i to by wybrzmiało w momencie, w którym byśmy mieli to właśnie skonfrontowane z brzydszym światem na zewnątrz.
2598:  KMM - Przypomina mi się trochę aluzja cały czas do Horizon Zero Dawn, wcale nie dlatego, że tam są pionowe jawniki również, to znaczy żyrafy, prawda?
2604:  KMM - I tam był wygrany ten kontrast bardzo ładny między tą ośnieżoną częścią świata na północy, jak to bywa w strefach klimatycznych, a resztą rzeczywistości, prawda?
2615:  KMM - I nagle dostaliśmy zupełnie inną paletę kolorów.
2618:  KMM - No właśnie, ale to było budowane przez cały czas, więc okej, fajnie, natomiast gdyby byli zarażeni wcześniej albo, ja wiem, kanibale, wszystko jedno, może bym to bardziej odczuł.
2628:  GW - To wydaje mi się, że tutaj akurat, Krzysztofie, patrzysz na to właśnie pod kątem tego, jak jest zbudowany świat, a nie znowu skupiasz się na postaciach, bo tutaj istotne jest to, że tak przynajmniej w mojej interpretacji, że Joel szuka jakichkolwiek środków, żeby nawiązać połączenie z powrotem z Ellie, żeby sprawić, żeby się chwilę poczuła lepiej.
2649:  GW - Próbuje wszelkich możliwych środków
2654:  GW - jedzenie, gry planszowe, opowiadanie o tym, co możemy zrobić potem itd.
2661:  GW - Jedyna rzecz, którą w tym momencie powoduje uśmiech na twarzy Eli jest kontakt z naturą, kontakt z tym, że ten świat nie jest do końca powieprzony, skoro widzi tam stado żyraf i ma szansę znowu wejść w kontakt z tym troszeczkę starym światem,
2684:  GW - I Joel ją do tego prowadzi i to, że ona znajduje żyrafę, to jest jedno, ale to, że ją podprowadza, bo podejrzewam, że sama by tego nie zrobiła.
2692:  GW - A tutaj właśnie Joel w tym momencie jest w stanie ją zaprowadzić do tej żyrafy, bo wie jak się obejść z tym zwierzęciem, bo był w zoo wcześniej, więc...
2704:  GW - Więc po prostu jest tym łącznikiem znowu jej ze starym światem i daje mu niesamowitą radość na twarzy, widać to właśnie Pedro Pascala, widać to na twarzy, że jaką radość sprawia mu to, że ona się uśmiecha, się śmieje, właśnie cieszy się, cieszy się z tego kontaktu.
2720:  KMM - Tych żywa w tym jest trochę nawiasem też.
2723:  GW - Tak, tak, to w kolejnej scenie, ale właśnie to nawiązanie kontaktu tutaj wydaje mi się najistotniejsze, ale wciąż jestem w stanie zrozumieć, że znowu większy i lepszy kontrast byłby, gdyby po drodze było jakieś zagrożenie.
2737:  GW - Wciąż ta scena nie jest o porąbaniu tego świata i problemie tego świata, tylko o problemie pomiędzy tymi dwiema osobami.
2746:  GW - Ale okej, Krzysztofie tutaj rozumiem, że jakby był ten kontrast, byłoby lepiej.
2751:  KMM - Tu się zgadzam z twoją perspektywą.
2752:  KMM - Po prostu, dostaliśmy nową lokację, a mogliśmy dostać idyllę.
2757:  KMM - I wtedy z kolei scena w szpitalu mogłaby rezonować bardziej.
2759:  KMM - Absolutnie, jeżeli chodzi o relacje między postaciami, tu jest wszystko w porządku.
2763:  KMM - Może trochę zabrakło wybicia tego, że Ellie nie wiedziała właściwie, co to jest w ogóle, tak?
2768:  KMM - Że to dla niej jakiś dinozar, można to było jakoś ograć w ten sposób.
2772:  BFP - Znaczy ja na pewno zgodzę się z tym, że ta scena rezonowałaby bardziej tak jak jeszcze rezonowała w grze, kiedy wyszliśmy
2782:  BFP - bodajże z naprawdę ciężkiej lokacji i byliśmy wyczerpani i wydawało się, że Chryste na każdym kroku czai się na nas zagrożenie.
2792:  BFP - I nagle widzimy, że ten świat coś jeszcze ma do zaoferowania, coś pięknego.
2796:  BFP - I oczywiście dzieje się to, co się dzieje przed naszymi oczami, ale dzieje się też coś w bohaterach.
2802:  BFP - Najważniejsze jest to, że nagle znowu Eli zaczyna zachowywać się jak Eli.
2806:  BFP - No bo ja będę argumentował, że na samym początku odcinka Ellie jest wycofana, kompletnie nietypowa dla swojej osobowości, wygaszona i tutaj wreszcie zaczyna w jakiś sposób reagować żywo, tak jak nie wiem, reagowała na przykład na automat z Mortal Kombat arcade'owy.
2823:  BFP - Natomiast faktycznie warto obserwować relacje Joella przez ten cały czas.
2827:  BFP - Tutaj pada jedna z najważniejszych kwestii dialogowych, która może być zakopana przez inne, no bo w tym odcinku dzieją się dość ważne rzeczy.
2836:  GW - Ale mamy tutaj klamrę względem drugiego odcinka.
2839:  BFP - Jest bingo, tak, mamy klamrę.
2842:  BFP - Ale nie, chodziło mi o coś innego.
2843:  BFP - Chodziło mi o to, że on mówi, może olejmy to wszystko.
2848:  BFP - Może po prostu, wiesz, tak jak do tej pory było, wróćmy do Jackson, żyjmy sobie razem.
2855:  BFP - Komu to przeszkadzało, nie?
2857:  BFP - I to jest ten moment, kiedy ona...
2860:  BFP - Ponownie gdzieś konsoliduje w sobie te wszystkie doświadczenia, które miała i mówi, ale to nie może być po nic.
2865:  BFP - W sensie, ja rozumiem, że tobie jest fajnie i mi też jest przyjemnie, ale Riley, Sam, Tess, moje doświadczenia z Davidem, ludzie, którzy zginęli po drodze, no to nie mogą być po nic.
2879:  BFP - Jesteśmy już tak blisko celu.
2881:  BFP - Jeżeli rzeczywiście ze mnie można stworzyć lek, to brnijmy dalej.
2885:  BFP - Ale u mnie...
2887:  KMM - Ale ty nie miałeś wrażenia, że ten dialog jest bez sensu, biorąc pod uwagę to, że w Jackson wcale nie było Ellie tak dobrze, a tutaj ma żyrafy i idyllę?
2894:  BFP - Ale tu nie chodzi o Jackson, tylko chodzi o nich i chodzi o to, żeby nie kończyli swojej drogi jako dwoje osób, które ze sobą spędzają czas.
2904:  KMM - Dla mnie właśnie to, że zmienia się tak bardzo otoczenie i rzeczywistość w tym świecie sprawia, że ja nie rozumiem tego związku emocjonalnego z poprzednimi miejscami, które odwiedzili.
2915:  KMM - Pod warunkiem chyba tylko tym jednym, że Joel chce wrócić do brata, więc on ma powód, natomiast Ellie...
2922:  BFP - No nie, jakby z dialogu wynika, że on chciałby, żeby to, co czuje przy Ellie, żeby trwało, żeby dalej była jakby substytutem jego córki.
2934:  BFP - To brzmi w każdej linijce dialogowej.
2937:  BFP - Nawet kolejna, kiedy on mówi, że chciał popełnić samobójstwo.
2940:  GW - Dla mnie tutaj w ogóle największym problemem to było to, że wręcz właśnie tak ją bezpośrednio traktował w ostatnich scenach, co było w ogóle dla mnie...
2950:  GW - bardzo nie fair względem Ellie, jak Joel opowiadał o swojej córce, ale do tego jeszcze przejdziemy później, przepraszam.
2958:  KMM - Ale jakbyśmy teraz spojrzeli z perspektywy Ellie, nie z perspektywy Joela, który egoistycznie chce mieć swoją rodzinę znowu, bo taka jest prawda.
2965:  BFP - To jest prawda, to jest prawda.
2967:  KMM - A spójrzmy teraz z perspektywy Ellie, jaką ona ma faktyczną motywację, żeby wrócić gdziekolwiek?
2972:  KMM - Patrząc na danych z serialu, jaką ona ma motywację, żeby gdziekolwiek się ruszać, żeby stwierdzić, a nie, dobra, to ja wracam z żelem w inne miejsce, gdzie wszędzie ją spotykało coś złego praktycznie.
