Jak OBALIĆ pruską SZKOŁĘ w POLSCE? | Krzysztof M Maj
🔗 https://www.youtube.com/watch?v=atqWePD2GeM
KMM (Krzysztof M. Maj)
GK (Grzegorz Klimarczyk)

0:  KMM - W dzisiejszym odcinku.
1546:  KMM - To by trzeba było właśnie powiedzieć, okej, jest zapotrzebowanie i tak jak mówisz, ściągamy kogoś, kto się na tym zna, robimy jakiś fajny warsztat, może wokół tego rozbudujemy jakiś kurs, oddolnie reagujemy.
1557:  GK - Dobra, to powiedziałeś też właśnie, jak ta sztuczna inteligencja przyczynia się do kreowania nowych zawodów, do tego, że będzie wypierała przeciętność, bo ją będzie po prostu zastępowała.
1568:  GK - Będziemy potrzebowali tak naprawdę ponadprzeciętnych ludzi w danych obszarach, którzy się utrzymają.
1574:  GK - To jaki będzie miał wpływ na naszą edukację?
1577:  GK - Uważasz, że to wywali w kosmos w końcu pruski model?
1580:  GK - Może jeżeli politycy nie dadzą rady, to może sztuczna da?
1586:  KMM - Powiem tak, mój sceptyzm jest gigantyczny, bo jestem z rodziny nauczycielskiej i profesorskiej, wielopokoleniowej i mój dziadek lata temu mówił dokładnie to samo co moja mama lata temu i to samo co ja.
1600:  KMM - Różnica polega na tym, że dziadek wypalił się jak miał 70 lat, mama jak miała 50, a ja wypaliłem się jak miałem 30.
1606:  KMM - To jest jedyna różnica.
1607:  KMM - Natomiast problemy, które poruszaliśmy są dokładnie takie same.
1611:  KMM - To znaczy ja mógłbym po prostu zrobić copy-paste tego, co mówił mój dziadek, tylko że mój dziadek jeszcze ostrzegał, że Huntke jest kretynem i doprowadzić do ruiny edukacyjnej w Polsce, bo się zainspirował testami zamkniętymi wyboru ze Stanów i stwierdził, że wprowadzenie na przykład przedmiotu pod tytułem ścieżka edukacyjna,
1627:  KMM - sprawi, że ludzie zaczną myśleć komparatystycznie i porównywać ze sobą różne dziedziny, a nie tak, że wprują sobie, okej, to w takim razie to się łączy z tym.
1636:  KMM - Dokładnie tego widziałem, tego skutki, jak mieliśmy podrecznik do Polskiego Domo Piękne, który właśnie pokazywał, jak porównać Sienkiewicza z barokiem.
1646:  KMM - No i co ludzie powiedzieli?
1647:  KMM - No jasna sprawa, że Sienkiewicz jest poetą barokowym.
1650:  KMM - 80% ludzi sobie to wbiło, bo w podręczniku sąsiadował z paskiem.
1654:  KMM - To jest właśnie ten problem.
1655:  KMM - Nie można ludzi uczyć schematycznie myślenia poza schematem i nieschematycznego.
1661:  KMM - Więc wydaje mi się, że ta rewolucja kopernikańska II, której jesteśmy świadkami w tym momencie, co do tego nie ma najmniejszych wątpliwości, bo można po prostu sobie nawet nie zdawać sprawy z tego, jak bardzo jest to zaawansowane, ale to zrewolucjonizuje absolutnie wszystko.
1676:  KMM - głównie z uwagi na to, że AI nauczyła się mówić naszym językiem.
1679:  KMM - Do tej pory mówiła językiem swoim własnym, bardzo hermetycznym i zrozumiałym jedynie dla programistów i do takiego wyższego szczebla, którzy umieli programować sieci neuronowe.
1689:  KMM - Teraz AI jest w stanie nam odpowiadać na pytania semantycznie, kierując znaczenia i nie kopiując z Internetu, tylko tworząc własne.
1696:  KMM - W tym momencie czat GPT pisze dwa razy lepiej niż przeciętny maturzysta.
1700:  KMM - jeżeli chodzi o używanie języka, co daje niefajne świadectwo o nauczaniu języka polskiego w Polsce.
1707:  KMM - No, trudno się dziwić, skoro z liceów wypadło nauczanie gramatyki właśnie wskutek reform Huntkego i wyżej.
1714:  KMM - W każdym razie
1715:  KMM - Można sobie właśnie nie zdawać z tego sprawy, natomiast na pewno do jakiejś rewolucji to doprowadzi.
1720:  KMM - Ja się jednak obawiam, że istota systemu edukacji w Polsce pruskiego i złośliwie dodaliby jeszcze, że ruskiego, polega na tym, że jest on całkowicie odłączony od rzeczywistości, w tym zwłaszcza rzeczywistości technologicznej.
1734:  KMM - Przy tym poziomie technofobii, gdy ludziom na przykład zabrania się drukowania pras, tylko muszą je przepisywać ręcznie, czyli jak widzimy, problem już jest w wynalazku czcionki ruchomej, czyli XV wiek.
1746:  KMM - Więc technofobia sięga do XV wieku, nie do wynalazku smartfonów.
1750:  KMM - Smartfony oczywiście do koszyka.
1751:  KMM - Minister nauki cały czas mówi o tym, że smartfony zostaną zakazane.
1756:  KMM - Cóż zostanie zrobione?
1757:  KMM - Oczywiście zakaże się używania czata GPT.
1759:  KMM - Ludzie będą to robić po swojemu.
1761:  KMM - Ja na przykład zetknąłem się z sytuacją, w której ludzie, których nauczyłem używania menadżera bibliograficznego do pisania prac, napotykali na swojej drodze profesorów, którzy mówili, ale wy tego nie możecie używać, musicie to zrobić ręcznie.
1774:  KMM - No i ja potem im powiedziałem, okej, to w takim razie przekonwertujcie wszystkie pole aktywne na pole tekstowe, statyczne i oddajcie tak pracę.
1782:  KMM - Bo ewidentnie problem tutaj tkwi nie w metodzie, tylko właśnie w technofobii.
1786:  KMM - Dlatego też ja tak strasznie grzmię na alarm, jeżeli chodzi właśnie o zachowania technofobiczne, bo problemem nie jest to,
1794:  KMM - wbrew pozorom, że chce się uchronić ludzi przed, nie wiem, szkodliwością ekranów na przykład i światła niebieskiego.
1801:  KMM - Są filtry światła niebieskiego w smartfonach, to raz.
1804:  KMM - Ministerstwo przekazuje do szkoły tablety, zamiast przekazać urządzenia e-ink, które są
1810:  KMM - Tańsze, lepsze dla wzroku niż książka, co ciekawe, bo Kindle czy jakikolwiek inny czynnik jest poświetlany naokoło, a książka odbija nam światło z lampy.
1819:  KMM - W związku z powyższym wali nam od razu większą ilością lumenów w oczy.
1824:  KMM - To przekazują tablety, które się zużyją za dwa lata.
1826:  KMM - Mój Kindle, którego kupiłem 10 lat temu, w dalszym ciągu działa.
1831:  KMM - i pozwala na wyświetlanie tam tekstu, więc dokładnie robi to, co powinien robić tablet szkolny.
1836:  KMM - Dlatego też kompletnie są nonsensowne tego rodzaju działania i nie uwierzę, że ktokolwiek wzbrania nam technologii z uwagi na troskę o wzrok, bo w przeciwnym wypadku nie dawaliby do szkoły tabletów.
1846:  KMM - Wreszcie mówi się o tym, że smartfony uzależniają, gdy tymczasem uzależniają nawet nie same aplikacje,
1852:  KMM - ale mechaniki wykorzystywane w tych aplikacjach różnego autoramentu i trzeba się nauczyć je rozpoznawać.
1857:  KMM - Na przykład ta słynna mechanika infinite scrolling, która jest i na TikToku, i w Instagramie, i w Facebooku, i w Twitterze, i każdy od tej rzeczy mechaniki się może uzależnić, ponieważ bardzo prosta rzecz, jedno pociągnięcie kciuka nas dzieli od tego, żeby dostać nowy, atrakcyjny content.
1873:  KMM - Proste rozwiązanie tego problemu, które można znaleźć w pracach naukowych, ustawienie profilu monochromatycznego w telefonie, które automatycznie pozbawia te algorytmy ich największej broni, to znaczy kolorów, które nas uderzają, tej multisensoryczności.
1886:  KMM - To jest taka podstawowa, rudimentarna wiedza,
1890:  KMM - jak się posługiwać technologią we współczesnym świecie, której ludzie nie mają.
1894:  KMM - Przeciętny student, z którym mam do czynienia, nie ma zainstalowanego menadżera do haseł.
1898:  KMM - W związku z powyższym taki elementarz higieny cyfrowej nie jest kompletnie nigdzie nauczany, a jest takie jedno miejsce, gdzie powinien być absolutnie, to znaczy szkoła, bo to go nie zagwarantują wszyscy rodzice.
1912:  KMM - Rodzice dzisiejszych dzieciaków uczyli się jeszcze w czasach, kiedy technologia nie była aż tak rozpowszechniona.
1918:  KMM - Więc teraz jest pilna potrzeba, żeby wykształcić nowe pokolenie rodziców, które na przykład będzie sobie umiało poradzić z problemem uzależnienia od różnych mechanik w grach, które będzie wiedział, że to, że dzieciak gra w Genshin Impact nie jest problemem, ale to, że dzieciak siedzi i ogląda streamera, który wiszuje cały czas, to znaczy wybiera sobie losowo generowane postaci w mechanice hazardowej, która jest w tejże grze, to jest już problem.
1943:  KMM - ale do tego trzeba znać się na tym, w jaki sposób rozróżniać od siebie te moduły.
1947:  KMM - Więc myślę, że ten taki wsobny charakter polskiego szkolnictwa, który się odcina od technologii, sprawi, że chat GPT nawet nie wpłynie na absurd zadań domowych, one dalej będą zadawane.
1958:  KMM - Tak samo jak nie wpłynęło to, że znaleźli one w którymś momencie internet, który strywializował kompletnie pozyskiwanie informacji do opracowań przecież.
1966:  KMM - Ja pamiętam, że uczyłem się, byłem do tego zmuszony swoją drogą, co zabawne, z opracowań maturalnych Grega, które trywializowały monolog Hamleta do postaci Hamlet filozofuje.
1978:  KMM - I to trzeba było napisać w czytaniu ze zrozumieniem i dostawało się 100% punktów.
1983:  KMM - No dzisiaj dostajemy dokładnie to samo, tylko że w postaci cyfrowej, więc ten dostęp jest jeszcze łatwiejszy, bo to opracowanie Grega musiał rodzic kupić dzieciakowi.
1991:  KMM - A teraz wystarczy, że się wejdzie do internetu, dostaje się opracowanie.
1994:  KMM - Czy zmienił się sposób egzaminowania ludzi z tych opracowań?
1998:  KMM - Ani o jotę.
1999:  GK - Czyli nie jesteś tutaj optymistyczny i uważasz, że to jeszcze potrwa ten proces, dobrze?
2004:  KMM - Jeżeli nie zaprotestujemy, to się nic nie zmieni.
2007:  GK - Powiedz mi, jakbyś widział to, pewne rzeczy już wybrzmiały, ja chciałbym je tutaj wyciągnąć, jakbyś widział tą szkołę przyszłości.
2015:  GK - Ona raczej powinna uczyć właśnie nie umiejętności twardych, nie zawodów, tylko raczej miękkich przede wszystkim, bo według mnie to może wygrać jeszcze ze sztuczną inteligencją, czyli tu możemy mieć przewagę.
2027:  GK - I na pewno też szansą jest uczenie pracy w grupach, no to też umiejętności miękkich.
2034:  GK - No i nauka uczenia się, czego w ogóle szkoła nie uczy, czyli jak się uczyć, żeby być dopasowanym, żeby to co powiedziałeś, jeżeli się zmienia jakiś zawód, to żebyśmy my potrafili się szybko przekwalifikować i bardzo szybko nadgonić to, czyli...
2048:  GK - To zupełnie w kosmos wyrzuca te podstawy, które są obecnie, bo to nawet nie ma co usprawniać w obecnym szkolnictwie.
2055:  KMM - No tak, tak, no bo podręcznik uczy cię, że dostajesz skończoną, zweryfikowaną, gotową wiedzę z zakresu biologii dla klasy siódmej,
2065:  KMM - skutkiem czego nie kwestionujesz tego, czy ta wiedza jest dobra, czy jest aktualna, jakie poglądy polityczne miał autor, co może być kluczowe w przypadku biologii, nie?
2072:  KMM - Nie uczysz się tego wszystkiego.
2074:  KMM - I ja obserwuję znowu, mając do czynienia ze studentami pierwszego roku, bo akurat takich mam największą liczbę, a zwracam uwagę, że to nie jest wielka różnica między studentem pierwszego roku a maturzystą, to jest różnica dwóch miesięcy po maturze, to są ludzie na przykład, którzy nie znajdą samej informacji w ogóle.
2090:  KMM - Ale absolutnie, i to nie jest ich wina, to znaczy zwykle wygląda to w ten sposób, że nie wpadną na pomysł, żeby sprawdzić w Google chociażby, najprostszy sposób, jakąkolwiek informację, której szukają.
2102:  KMM - Czekają, aż ktoś ją poda.
2103:  GK - Albo zweryfikować, czy ona jest prawdziwa.
2106:  KMM - Weryfikacji, to już w ogóle nawet nie mówię.
2108:  KMM - Bo to, co jest w Google, to jest prawdą, słuchaj.
2110:  KMM - To jest skończona prawda, a jeżeli coś jest napisane przez naukowca,
2115:  KMM - To już w ogóle to jest stuprocentowa prawda.
2117:  KMM - Nie ma czegoś takiego jak błędy naukowe, nie ma czegoś takiego jak wycofane teksty z czasopism naukowych albo błędy metodologiczne w tekście naukowym.
2124:  KMM - Wystarczy spróbować zaangażować się w dowolną dyskusję na Twitterze i zobaczcie jak ktoś przywołuje tekst naukowy i wskazać błędy metodologiczne w tym tekście, nikt na to nie zareaguje.
2134:  KMM - Natomiast wszyscy zareagują, o tak, tak, ten przywołał tekst naukowy, dyskusja jest skończona, bo przyzwyczailiśmy się, że przywołanie źródła naukowego kończy dyskusję, a nie ją rozpoczyna.
2143:  KMM - To jest właśnie to, co robi szkoła.
2144:  KMM - Podręcznik ma kończyć dyskusję, tak, a nie rozpoczynać dyskusję.
2149:  KMM - Mój genialny historyk w gimnazjum bodajże, tak, dr Marcin Spurna, pozdrawiam serdecznie, jak słucha, miał z nami taki zwyczaj, że kreśliliśmy po podręczniku nowej ery i wskazywaliśmy błędy historyczne.
2162:  KMM - I językowe, i gramatyczne.
2164:  KMM - Było tego sporo, bo podręcznicy są w Polsce w katastrofalnym stanie.
2168:  KMM - To nas nauczyło o wiele więcej na temat tego, czym jest historia, jak to czytać, jak weryfikować, niż cokolwiek w tym podręczniku, kiepską polszczyzną napisanym.
2177:  KMM - A i tak potem się okazało, że to samo wydawnictwo wypuściło kompendium maturalne i wszyscy się z tego kompendium maturalnego uczyli, a kompendium to maturalne sprowadzało cały proces historyczny i myślenie historyczne do data, wydarzenie, data, wydarzenie, data, wydarzenie.
2194:  KMM - Koszmar absolutny.
2196:  KMM - Więc...
2198:  KMM - To długo, długo już się to za nami ciągnie.
2201:  KMM - Jak stoję z tym radzić?
2203:  KMM - Szkoła skandynawska przez ciebie przywołana to szkoła projektowa.
2207:  KMM - Zajęcia, które polegają na tym, że dzisiaj się uczymy szyć dziurę w spodniach, nie są ośmieszane przez nikogo.
2215:  KMM - Natomiast w naszych realiach byłyby już.
2217:  KMM - Od tego jest szkoła.
2219:  KMM - Tymczasem okazuje się, że przy tym zalewie informacji, które możemy znaleźć w sieci,
2224:  KMM - Szkoła nie jest tym miejscem, do którego idziemy po to, żeby się czegoś dowiedzieć i szkoła powinna być tym miejscem, które nas tego nauczy, że właśnie szkoła nie jest tym miejscem, gdzie idziemy, żeby się czegoś dowiedzieć, tylko jest pewnym punktem wyjścia dla nas do naszych własnych poszukiwań i daje nam właśnie te umiejętności miękkie, wyszukiwanie informacji krytyczne, wyszukiwanie informacji, interpretowanie,
2244:  KMM - analiza danych, wyszukiwanie fake newsów, po stronie takich umiejętności abstrakcyjnych, a po stronie umiejętności praktycznych, wszelkiego rodzaju, począwszy od prac manualnych, skończywszy na różnych umiejętnościach, które można mieć, np.
2256:  KMM - umiejętność gry na jakimś instrumencie, który ktoś chce, też jest fajna, tylko że w szkole zostało to sprowadzone do tego, że wszyscy dmą w plastikowe flety, czego się nie da wytrzymać, bo flety są najtańsze.
2266:  KMM - a są najtańsze dlatego, że zapewnia się nam taki surogat muzyki, zamiast żeby była porządnie wyposażona sala, tak, w koledżu amerykańskim, gdzie idziemy i ktoś chce grać na kontrabasie, proszę bardzo, tutaj jest kółko kontrabasu, prawda?
2277:  KMM - I tu nie mówimy o szkołach prywatnych, żeby nie było, to jest tak, że w szkołach finansowanych z budżetu federalnego.
2282:  KMM - Więc to się da zrobić.
2283:  KMM - Po prostu trzeba przestać udawać, że nakłady na naukę są mniej pilne niż nakłady na obronność, na ekonomię, na gospodarkę, na banki i tak dalej, i tak dalej, i tak dalej.
2293:  KMM - I w momencie, w którym przestaniemy tak udawać, to będzie nam łatwiej to realizować.
2297:  KMM - I równocześnie praca w grupa, o której wspomniałeś, to było coś, czego ja nienawidziłem, bo to było robione w sposób sztuczny i nienaturalny, tak?
2305:  KMM - To znaczy wyglądało to tak, że jedna osoba robiła wszystko za innych.
2308:  KMM - I potem jeszcze referowała i najczęściej referowała ta sama osoba, ale nikt nas nie nauczył, jak pracować w grupie.
2315:  KMM - To był ten paradoks.
2316:  KMM - Praca w grupie to były te fajne zajęcia z polskiego, na których można sobie czegoś się napić i zjeść, bo na innych oczywiście nie wolno było.
2324:  KMM - I pogadać sobie ze sobą, no a potem coś tam damy nauczycielowi, to nieważne.
2328:  KMM - Ale nikt nas nie nauczył współpracy i pracy w grupie i potem jest...
2331:  KMM - Korporacja dowolna, większość ludzi będzie pracowała w miejscach, w których jest jakaś praca grupowa wymagana i nagle nie wiemy, jak to zrobić.
2339:  KMM - I ludzie teraz się dziwią, że sporo generacji Z czy millenialsów zwalnia się z pracy, nie jest w stanie się zaklimatyzować w grupie, nie umie współpracować.
2348:  KMM - A to jest właśnie ta rzecz, której się nie nauczą w mediach społecznościowych i w internecie.
2352:  KMM - Ta jedna.
2354:  GK - Tak, a najważniejsza, my też jakby patrzymy z perspektywy, cały turkus opiera się na oddolnych inicjatywach i często pracach w projektach, grupach.
2363:  GK - I my się tego bardzo długo uczyliśmy.
2364:  GK - Uczyliśmy się, że są różne kolory osobowości, trzeba dobrać do zespołu każdy kolor, żeby ten zespół mógł w pełni wykorzystać potencjał zespołu, żeby stworzył coś nowego.
2377:  GK - Że nie jak się wybierzemy wszyscy o podobnych kolorach,
2381:  GK - to będziemy się klepać po ramieniu, będziemy się świetnie rozumieć, tylko co z tego, jak nie dodamy żadnej wartości dodanej.
2389:  KMM - Podam Ci konkretny przykład z mojego seminarium dyplomowego.
2392:  KMM - Prowadzę seminarium dyplome głównie z analizy gier wideo kulturoznawczej.
2396:  KMM - Ja nie miałem zielonego pojęcia, w jaki sposób zacytować grę.
2399:  KMM - Dyskutowaliśmy o tym z kolegami, doktorami, profesorami na całym świecie.
2402:  KMM - Byłem na parunastu konferencjach międzynarodowych, gdzie to było głównym tematem numer jeden.
2406:  KMM - I ludzie ustanowili taki konsensus, że okej, to musimy znaleźć jakiś let's play, który jest na YouTubie, tam zacytować minutę daną z gry, znaleźć to, no bo przecież albo możemy sami wrzucić swoją własną rozgrywkę.
2418:  KMM - A moi studenci przytomnie mówią, screenshot.
2421:  KMM - Ja mam tak, faktycznie, jest o wiele prostsze rozwiązanie, lepsze, ale następna grupa mówi, ale screenshot to jest za mało.
2429:  KMM - Opiszmy, co jest na tym screenshotzie.
2431:  KMM - Zanalizujmy, co jest interfejsem, co się dzieje na drugim planie.
2434:  KMM - Może jest tam jakiś dialog, może przepiszmy ten dialog.
2437:  KMM - Zróbmy legendę i oznaczmy numerami elementy.
2440:  KMM - Ja mam takie, Jezus, faktycznie.
2443:  KMM - A trzecia grupa przychodzi i mówi, ale Krzysztof, słuchaj, przecież moglibyśmy jeszcze tutaj coś zaznaczyć, narysujmy coś na tym, tak?
2450:  KMM - Że tu jest jakiś na przykład obrys mapy, to obrysujmy tę mapę, żeby widać było, że tu jest jeszcze jakiś input oddolny właśnie po stronie kogoś, kto analizuje.
2458:  KMM - I ja miałem znowu trzecią eurekę i teraz zgłosiłem artykuł do przestrzeni, nie, do images, przepraszam, do jednego z czasopism publicznych.
2466:  KMM - poświęconych analizie audiowizualnej, gdzie dokładnie tak zrealizowałem screenshoty i dostałem opinie od recenzenta, że on w życiu czegoś takiego nie widział, że to jest genialne.
2474:  KMM - Pomysł moich studentów.
2475:  KMM - Gdybym realizował seminarium dyplomowe tak jak moi koledzy, to znaczy rozdał teksty i je czytał, je ćwiczył warsztatowo właśnie, jak pisać prace, jak analizować, jak się tym zajmować, to mój warsztat naukowy nie zostałby przez studentów udoskonalony.
2490:  KMM - A ja swoją drogą, żeby było śmieszniej, zawsze byłem tą osobą, która źle się czuła w pracy w grupie i musiała się dopiero tego nauczyć.
2497:  KMM - Więc to naprawdę działa i to jest akurat coś, co działa na każdym poziomie, bo bardzo często można im niżej w edukacji, tym więcej elementów zabawy i gry włączyć w tę naszą pracę projektową i korzystać z potęgi, jaką jest nauczanie imersywne, immersive learning.
2514:  KMM - Jak ktoś jest zanurzony w grze, chłonie informacji i nawet nie wie kiedy.
2518:  KMM - więc można dokładnie z tego skorzystać, tylko że w procesie edukacyjnym.
2522:  KMM - Ale to jest też znowu coś, co wymaga określonych nakładów finansowych, choć powiedziałbym, że akurat najmniejszych.
2528:  KMM - Ja do dzisiaj nie rozumiem, dlaczego na uczelniach w nowo tworzonych salach i w nowo budowanych, bardzo drogich często, szkołach prywatnych są dalej te pruskie ławy szkolne, prawda, zamiast żeby były stoły warsztatowe albo, nie wiem, pufy, stoły, cokolwiek.
2543:  KMM - Z jakiegoś powodu wiemy, że jak robimy kawiarnię, to nie fajne byłaby kawiarnia, jeśli byłyby takie stoły.
2549:  KMM - A z drugiej strony, jak robimy szkołę, to się nie zastanawiamy nad tym, że może fajnie byłoby ją urządzić przytulnie i tak, żeby to inspirowało właśnie do pracy twórczej.
2558:  KMM - Język polski...
2559:  KMM - no to niech tam będzie biblioteka.
2560:  KMM - Nie robimy osobnej biblioteki szkolnej, tylko robimy bibliotekę w sali, gdzie jest nauczanie języka polskiego, żeby ludzie poczuli się, jak to jest być otoczonym książkami.
2570:  KMM - Ja tutaj w tym moim małym studiu mam wszędzie wokół siebie książki i tutaj nie bez powodu jak siadam, to mi się tutaj najlepiej czyta.
2578:  KMM - A gdybym sobie siadł przed ekranem dużym, 65-calowym, na którym sobie lubię oglądać seriale,
2584:  KMM - No bo ty książkę prejdzie czy później odłożył i sobie włączył serial.
2587:  KMM - No taka jest prawda, że przestrzeń na nas spływa, jaka wokół nas jest kształtowana i dlatego też mega ważne jest to, żebyśmy się inspirowali tym, jak w korporacjach bardzo poważnych, gdzie zarabiać poważne pieniądze jest gaming room.
2600:  KMM - Albo jest jakiś pokój, w którym po prostu można się rozerwać, a nawet jak nie ma, to już dawno rezygnuje się z kubików i wprowadza się właśnie jakieś elementy.
2608:  KMM - Ja byłem w bardzo tradycyjnej korporacji, zatrudniony w moim pierwszym zawodzie i nawet tam, mimo że był open space, były pufy, były jakieś pufy Saco, były sofy, na których można było sobie siąść, ta przestrzeń była jakoś zdynamizowana.
2622:  GK - Czyli jakby potrzebujemy zupełnie nowego spojrzenia na wymiar edukacji, żeby właśnie kształcić tych młodych ludziach.
2630:  GK - Raz, że pracy zespołowej z tego wnioskuję i potwierdzam, że trzeba się nauczyć.
2635:  GK - Po prostu z tym się nie rodzimy.
2637:  GK - I też nie był to mój najmocniejszy punkt, a uważam, że ona czyni cuda, ta praca zespołowa.
2644:  GK - To jest pierwsza rzecz.
2645:  GK - I każdy musi po prostu wiedzieć, jaki ma mocne strony, gdzie może do tego zespołu wnieść swoją cząstkę.
2653:  GK - I tego powinna uczyć szkoła.
2655:  GK - Zgodzimy się, prawda?
2656:  GK - Absolutnie.
2657:  GK - I jak najwięcej umiejętności miękkich, kreatywnych.
2661:  GK - I teraz zadałbym hipotezę, bo wspomniałeś o budżecie.
2665:  GK - który jest dosyć ważny.
2666:  GK - Ja uważam, że nawet te pieniądze, jakbyśmy wykorzystali lepiej wydając, efektywniej, to i tak by było lepiej, tylko że z drugiej strony miałem opublikowany teraz wywiad właśnie z uczniem, który niedawno skończył właśnie liceum i powiedział, że
2685:  GK - Państwowe pieniądze nigdy nie będą wydane dobrze, więc muszę się zgodzić.
2692:  GK - Natomiast to, co się gdzieś tam nam rysuje, to według mnie nie ma ważniejszego, tylko widzisz, tu jest za duży przeskok.
2700:  GK - Ja uważam, że ordynacja polityczna powoduje, że dążymy do populizmu, a żadna partia polityczna nie będzie się wzorowała na czymś, co przyniesie efekty za 20 lat.
2711:  GK - No bo dobra reforma edukacji przyniesie efekty za 20 lat, więc tej partii już prawdopodobnie nie będzie.
2718:  GK - Szansa na to, że ona będzie w takim formacie jest prawie żadna, albo że będzie przy władzy jeszcze przez te 20 lat, to również niezbyt duża szansa.
2728:  GK - W związku z tym jesteśmy chyba trochę skazani na taką bezradność w tym momencie i ten stan inercji.
2735:  GK - Zastanawiam się, co może być takim impulsem do zmian, właśnie jak to zrobić, jak się przyczynić, jak zaktywizować ludzi, żeby te zmiany odbyły się wcześniej.
2746:  GK - bo to, że one są nas konieczne, to ja w ogóle nie mam wątpliwości.
2749:  GK - Ja prawdopodobnie prędzej czy później porzucę moją pracę zawodową i zajmę się jakby na rzecz fundacji w 100% jakby będę się angażował, bo mam taką potrzebę wewnętrzną i czuję od serducha, że powinienem się tym zająć, że chciałbym coś zrobić w życiu takiego, co może, nie wiem, czy mi się ego włącza, być może,
2770:  GK - Natomiast chciałbym zostawić coś takiego właśnie niematerialnego, coś co faktycznie może wpłynąć na... I uważam, że nic bardziej na gospodarkę naszą nie może wpłynąć, na innowacyjność tej gospodarki, na to, że będziemy niezależnym państwem, jak właśnie dobra edukacja.
2787:  GK - Nie wiem, czy to jest takie trudne do...
2789:  KMM - do zrozumienia, ale być może... Oczywiście, no, w kraju, w którym jest nakłady na edukację, które się bardzo, bardzo teraz będę narażał, są niższe niż nakłady na armię, to tak będzie zawsze.
2799:  KMM - Gdy tymczasem Stany Zjednoczone dawno temu zrozumiały, że nakłady na naukę, dobre nakłady na naukę, mogą też się przełożyć na świetną i prosperującą armię, nie bez powodu teraz musimy kupować odrzeczonej armii amerykańskiej, ich rozwiązania technologiczne, których myśmy nie wyprodukowali, choć mogliśmy, bo potencjał zbrojeniowcy polskiej jest, i to zresztą widać po
2817:  KMM - niektórych rozwiązaniach, które byliśmy w stanie zrobić mimo takich, a nie innych nakładów, które są u nas na naukę i innowacyjność.
2825:  KMM - To jest akurat dla mnie bardzo bliska sprawa, bo po pierwsze właśnie większość osób z mojej rodziny właśnie naukowców, to byli naukowcy z segmentu technicznego i Akademia Górniczo-Kłótnicza też nie kryje się z tym, że bardzo wiele rozwiązań, które są wypracowane przez ich naukowców, naszych naukowców,
2845:  KMM - To są rozwiązania komercyjne, wdrażane w przemyśle, w różnych jego gałęziach, ale wszyscy absolutnie są zgodni co do tego, że tego się nie da robić bez gigantycznych pieniędzy i gigantycznego wzrostu nakładów na edukację, więc to jest ta presja polityczna, którą można mieć, no bo w tym momencie to są działania pozorowane, no przecież umówmy się, że
2865:  KMM - histeria środowiska nauczycielskiego w stosunku do obecnego ministra jest całkowicie bezpodstawna z bardzo prostego powodu.
2873:  KMM - On nic nie zrobił!
2874:  KMM - Czy dosłownie ten człowiek zaraz kończy kadencję i nie ma jednego osiągnięcia, które by sobie właśnie pozostawił?
2881:  KMM - Co ciekawe, poza wprowadzeniem idiotycznego i niepotrzebnego archaicznego przedmiotu, jakim jest historia i teraźniejszość, muszę powiedzieć, że jest sztuką wprowadzić przedmiot, który nazywa się historia i teraźniejszość, który byłby archaiczny.
2893:  KMM - I poza tym nie zrobił nic.
2895:  KMM - Ta reszta to są działania pozorowane.
2896:  KMM - To jest niesamowite, jak nauczyciele bejtują się na dyskusję.
2899:  KMM - Ja to widzę bardzo często w wartościowych różnych organizacjach i profilach typu Nie dla chaosu w szkole, gdzie 90% komentarzy to są komentarze, że tak, tak, tak, musimy zmienić ministra, będzie wszystko dobrze.
2910:  KMM - Nie będzie nic dobrego, nic nie pamiętacie.
2912:  KMM - Nie pamiętacie, że Chantkę, Kudrycka, później jeszcze teraz ja zapomniałem jak się nazywał, Murdzek przez moment był, Gowin i właśnie Czarnek po stronie Ministerstwa Edukacji i Nauki, a z kolei Piątkowski, Zalewska i cała reszta tych wszystkich ministrów od Giertycha w górę po stronie Edukacji...
2932:  KMM - ponadpodstawowej podstawowej, robią dokładnie to samo co roku, to znaczy przeciągają linę i bawią się właśnie w zmienianie poszczególnych cegiełek w murze, który jest zmurszały i postawiony w złym miejscu.
2944:  KMM - I umyka mi kompletnie to, dlaczego jest tak dużo ludzi, którzy się właśnie na to łapią, ale myślę, że tak jest po prostu łatwiej
2951:  KMM - bo też tego uczy system, to znaczy spychanie odpowiedzialności w górę.
2954:  KMM - To kiedyś jeden z profesorów przepięknie określił mianem, że polska edukacja i nauka jest na krześle elektrycznym, to znaczy każdy się trzęsie przed swoim przełożonym.
2963:  KMM - Uczyciel się trzęsie przed dyrektorem, dyrektor przed kuratorem, kurator przed ministrem, po stronie edukacji wyższej będzie, że student przed docentem, docent przed doktorem, doktor przed profesorem, to jest dłuższa hierarchia, więc można byłoby przejść przez wszystkich dziekanów i rektorów aż do konferencji rektorów akademickich szkół polskich i jeszcze do samego ministra w ogóle.
2981:  KMM - Struktura strachu jest straszna.
2983:  GK - Ja bym to rozszerzył, bo uczeń przed nauczycielem oczywiście jeszcze i jeszcze dodatkowo bym rodzica w to włączył, przed którym... Tak, tak, przed radą pedagogiczną.
2995:  GK - A rodzic przed wiatówką, przed nauczycielem to jest jakby zapętlanie się tego...
