Jak nie błądzić w otwartym świecie (krótki poradnik dla designerów) / Krzysztof M. Maj / 18. SFI
🔗 https://www.youtube.com/watch?v=fb9QGVuAtcs

17:  Dzień dobry, witam wszystkich serdecznie.
1589:  Jedna, która jest tą starą filozofią z From Software, z Dark Souls, z Demon's Souls, gdzie mieliśmy bardzo klaustrofobiczną przestrzeń, ale idealnie zaprojektowaną, każdy jej centymetr opowiadał jakąś historię, a z drugiej strony mamy ten pusty, dziwny, otwarty świat, w którym jest content.
1606:  w którym jest nagle 150 tysięcy bossów, z którymi możemy walczyć, ale równocześnie nic nam nie przeszkodzi wykorzystać, że te bossy wszystkie są na smyczy, tak jak to w silniku FromSoftu, szybkie wyjaśnienie, smycz oznacza, że postać zacznie wracać po jakimś czasie do miejsca, w którym była, w związku z powyższym możemy to banalnie scheezować, strzelając do niej z łuku albo napieprzając zaklęciami, co w otwartym świecie jest jeszcze bardziej możliwe, a to trywializuje wyzwanie.
1631:  I dużo graczy FromSoftu miało rację i fanów FromSoftu mówiąc, że Elden Ring jest prostszy, więc nie jest już tym samym.
1640:  Potem zaczęli walczyć z Malenią i zmienili troszeczkę zdanie.
1644:  Niemniej w otwartym świecie rzeczywiście to doświadczenie jest zupełnie inne.
1647:  A zatem otwarty świat dużo zmienia, może strywializować wyzwanie i równocześnie przez skalę sprawia, że bardzo ciężko jest jednej osobie, narrative designerowi na przykład, zapanować nad tym, w jakiej kolejności gracz będzie poznawał kolejne części kontentu i zawartości.
1664:  No i ta formuła, dla niegrających w gry FromSoftu, szybkie wyjaśnienie podawania strzępów lore, wiedzy o świecie w ramach opisów przedmiotów, sprawdzała się w korytarzowych grach, sprawdza się również w Hogwarts Legacy.
1678:  Nawiasem mówiąc, gdyby ktoś mi tylko mówił, że jedynie gry FromSoftware
1683:  pozwalają na opisywanie narracji za pośrednictwem opisów przedmiotów.
1687:  Tylko tam zastosowano to innowacyjne rozwiązanie.
1690:  No nie tylko tam, wszędzie to teraz jest, bo też dużo studiów naśladowało from software, to inna sprawa, ale to działa, tak?
1697:  To się sprawdza jako sposób komunikowania wiedzy o świecie, ale pytanie, czy to się sprawdza jako jedyny środek komunikowania narracyjnej wiedzy o świecie?
1708:  I to jest pytanie, niech zawiśnie na razie w przestrzeni.
1711:  Bo musimy to sobie zmapować, prawda?
1714:  Mamy oto narrację, mamy wspomniany świat gry, mamy fabułę, mamy roleplay i mamy równocześnie te rzeczy, które nas interesują w świecie.
1722:  I teraz wyzwanie prawdziwe.
1724:  Zaprojektować rzeczywistość tak, żeby nas interesowały rzeczy w świecie w sposób naturalny.
1729:  Czyli jeżeli projektujecie dużą, mroczną wieżę na horyzoncie, dobrze będzie, jeżeli gracz będzie mógł do niej wejść i sprawdzić, co jest w środku i oby
1740:  Oby jego wędrówka została wynagrodzona, bo jeśli nie, będzie czuł rozczarowanie i w którymś momencie przyzwyczai się do tego, co jest najgorsze w otwartych światach, czyli ubisoftyzmu.
1749:  To znaczy o 45 metrów do najbliższego znacznika, tam znajdziesz cel, o już jest 44, o już 43, emocjonujące.
1760:  I Hidetaka Miyazaki ma rację.
1763:  projektowanie tego rodzaju otwartych światów jest bez sensu.
1766:  I słusznie pojawiały się memy, nie wiem dlaczego nie mam tego memu, ale chyba dlatego, że jest bardzo znany, które nakładały interfejs napisany przez Ubisoft na Elden Ringa i wyglądało to bardzo zabawnie.
1777:  I słusznie, ponieważ to są zupełnie dwie różne filozofie i chyba wszyscy projektanci gier zgadzają się z tym, że Ubisoft daje za dużo informacji graczowi, sprawia, że gracz nawet nie może poczuć tego zagubienia,
1789:  nawet jeżeli by narracja tego wymagała, a narracja bardzo często w grach FromSoftu tego wymaga.
1794:  Gracz ma czuć obcość tego świata.
1796:  To nie jest tak, że ten świat ma być udomowiony przez niego, ale z drugiej strony mamy przecież przyzwyczajenia z naszej rzeczywistości, konia z rzędem temu, kto nie porusza się po obcym mieście z telefonem i Google Mapsami i nie idzie te 45 metrów do najbliższego punktu, bo chce szybko i optymalnie tam dotrzeć.
1814:  A zatem projektowanie tych points of interest, miejsc budzących nasze zainteresowanie w grach, musi balansować te dwie filozofie, moim zdaniem.
1823:  To znaczy, raz, wykorzystywać nasze przyzwyczajenia.
1825:  Jeżeli coś jest na górze, jest ważniejsze.
1827:  Jeżeli coś jest na dole, jest mniej ważne, ale może tam jest jakaś tajemnica.
1831:  Jeżeli coś jest za zamkniętymi drzwiami, zamknięte drzwi powinno się dać otworzyć.
1835:  Jeżeli coś jest w skrzyni, będzie cenne itd., itd.
1838:  Możemy grać z tą konwencją, jasna sprawa.
1840:  ale wykorzystywanie tego rodzaju, fachowo mówiąc, markerów kognitywnych z naszej rzeczywistości jest mega pożyteczne, bo sprawia, że nie musicie po prostu graczowi dawać wskazówek bardzo detalicznych, co ma zrobić i przeciążać interfejsu.
1854:  optymalna również sytuacja jest taka, żeby ten interfejs można było włączyć, jeżeli ktoś chce.
1860:  I myślę sobie, że rozwiązania tego rodzaju wpływają bardzo pozytywnie na accessibility, zwłaszcza dla tych osób, które są niepełnosprawne, a również chcą jakoś dokonywać interakcji ze światami gier i również chcą mieć wyzwanie na przykład, bo to nie jest przecież ich wina, że są niepełnosprawni, więc czemuż mamy
1875:  im tego wyzwania odmówić.
1877:  Niemniej to jest ta jedna rzecz, która różni w wysokim stopniu interaktywne gry wideo od innych mediów.
1883:  Nie ma innego medium, w którym jesteśmy w stanie zaprojektować świat, w którym po prostu coś nas zainteresuje.
1888:  Nie dlatego, że jakaś starowinka nam powie, o pójdź do tajemniczego lasu, tam mi zabrano moją biedną kuskę, ojej, zabij potwory, które zabiły mi moją biedną kuskę.
1898:  No i wtedy wszystko wiemy, prawda?
1900:  Wiemy, gdzie jest las, wiemy, gdzie jest kłuska, wiemy, gdzie są potwory i wiemy, gdzie jest starowinka, do której mamy wrócić.
1905:  Nuda.
1906:  A zatem można oczywiście się tą formułą bawić, ale nie w nieskończoność.
1910:  Dobra.
1911:  I przykład.
1912:  Mój ulubiony obecnie przykład, to znaczy nie spodziewałem się, że w grze Hogwarts Legacy, w której spodziewałem się, że będę rzucał awada-kedafro przez cały czas i nic więcej nie robił.
1920:  I naprawdę uważam, że to byłoby świetne rozwiązanie.
1924:  Natomiast równocześnie nie spodziewałem się Simsów.
1926:  Kompletnie się nie spodziewałem tego, że dostanę w pokoju życzeń możliwość projektowania swojej własnej przestrzeni, łapania fantastycznych zwierząt, meblowania tego i robienia tego wszystkiego, co się kompletnie nie zgadzało z moim roleplayem, który był jednoznaczny.
1941:  To znaczy byłem cały czas karmiony narracją o tym, że Gryffindor jest najlepszym z domów i należy mu wsypać maksymalnie punktów.
1947:  Chciałem zagrać z Slytherinem, wybić
1949:  wszystkich gryfonów, to był mój jedyny objektyw w ramach roleplayu, nic więcej, ale gra mi powiedziała, że jest tutaj coś innego, co mnie może zainteresować i nagle mój roleplay się zmienił i zacząłem spędzać dużo czasu w minigrze wewnątrz gry, więc zwycięża tutaj zawartość i równocześnie zauważcie, zawartość świetnie połączona z narracją.
1970:  Jest taka rzecz jak pokój życzeń w tym świecie?
1972:  Jest.
1973:  Możecie wyczarować nam wszystko, czego chcecie?
1975:  Tak.
1976:  Czy przypomina to Simsy?
1977:  Oczywiście.
1978:  Czy w ten sposób bierzemy dwie widownie i doimy z nich pieniądze po to, żeby nasze studio rosło w siłę i żebyśmy mogli zrobić następną grę?
1987:  Oczywiście, bo nagle się okazuje, że waszym targetem nie są wyłącznie filmy,
1992:  fani uniwersum, ale także fani innego tytułu i innej specyfiki grania i innej rozgrywki.
1998:  I wracamy tutaj do Wiedźmina i Gwinta, gdzie również to zostało wykorzystane i również dużo ludzi przyznawało się do tego, że więcej czasu spędza w Gwincie niż przy questach.
2008:  I to jest ta magia dobrze zaprojektowanego contentu, z którym oczywiście też
2013:  Skalarnie przynajmniej zgrana cała narracja wewnątrz świata gry i wreszcie eksploracja.
2020:  Mam powód eksplorować świat.
2024:  Nie potrzebuję mieć pytajniczków.
2027:  Chodzę od domu do domu, szabruję kufry, ponieważ chcę znaleźć mebelki do mojego pokoju życzeń.
2031:  To jest wszystko, co ja robię obecnie w tej grze.
2034:  I opóźniam ukończenie wątku fabularnego tylko z tego względu.
2038:  I dla mnie to jest niezwykłe, bo pokazuje alternatywę jakąś.
2041:  I zauważcie, ta alternatywa, będę się upierał, jest narracyjna.
2044:  Tak jest to świetnie zaprojektowane, znaczy akurat ten layout Pokoju Życzeń ma
2049:  pewne problemy, ponieważ gra jest cały czas z tego widoku trzeciej osoby, a niewygodnie się w ten sposób projektuje, co nie zmienia faktu, to jest moje przewidywanie, ponieważ to się nagrywa, to może się okazać, że jestem głupi, moje przewidywania są dobani, ale myślę, że ja bym z tego zrobił osobny tytuł, najlepiej w kolabie z twórcami Simsów i zobaczył, co z tego będzie.
2070:  Może byłby z tego podobny hit, jak w którymś momencie był z Gwinta.
2075:  No i zatem, moi drodzy, świat gry będzie tego rodzaju pojemnikiem na zawartość fabularną i narrację dla samego gracza, więc my powinniśmy projektować ten świat, mówiąc po polsku, accordingly, a zatem uwzględniając te trzy tryby.
2088:  Co powiedziawszy, uzupełniam to o przykład negatywny.
2093:  To znaczy Cyberpunk 2077.
2095:  Ta część, którą widzicie, złośliwie przeze mnie zaznaczona, to jest część, do której nie możemy trafić, ponieważ jej nie ma w świecie gry.
2102:  Jest na mapie, ale jest niedostępna.
2104:  Pierwszy wniosek.
2105:  Nie rób swojego świata i nie projektuj go takim, jakim on nie jest.
2109:  I nie mów graczowi, że jest do wyeksplorowania coś, co nie jest do wyeksplorowania.
2113:  Nie pokazuj mu właśnie jakiegoś markera kognitywnego,
2117:  który jest nieodpowiedni.
2119:  No bo jeżeli pokazujemy, że jest piękny stadion, to ja chcę na ten stadion się wspiąć, tak?
2124:  Bo grałem w Assassin's Creed'a, okej?
2126:  I ja wiem, że jeżeli widzę wysoki budynek, chcę się znaleźć na szczycie tego budynku, koniec, kropka.
2131:  Jeżeli widzę, że jest cyberpunk, chcę mieć latające samochody.
2134:  Nie dajecie mi latających samochodów, będę zły.
2137:  Jeżeli widzę puste wagony kolei albo puste stacje, chcę, żeby tam zaczęło działać metro,
2143:  Co robią modderzy?
2144:  No właśnie to, uzupełniają świat, uzupełniają luki w świecie, między innymi takie luki w świecie, to znaczy w którymś momencie zadałem sobie trud na potrzeby jednego artykułu, który robiłem, żeby zwiedzić świat cyberpunka naokoło i natrafiłem na takie kwiatki, ale to i tak nic nie było w porównaniu z tym, to znaczy tu jest napisane, że Militech zablokował drogę, ale tak naprawdę jak zaczniecie tam sobie podróżować, to was teleportuje 70 metrów w tył z informacją, o, dotarłeś do końca mapy, och,
2171:  ale otwarty ten świat, prawda?
2173:  I to jest duży problem, który zawsze będą mieć otwarte światy, to znaczy one w którymś momencie będą musiały być zamknięte, ale można to zrobić w sposób naturalny, Skyrim otaczają góry, rozwiązany kłopot, można to zrobić w sposób, który jest quasi naturalny, to znaczy w Hogwarts Legacy są to takie bąble, które przypominają zaklęcie, okej, mogę to jakoś przyjąć,
2194:  ale wciąż wolałbym, żeby to była przeszkoda naturalna, albo żeby to było jakoś inteligentnie zaaranżowane.
2199:  Wiecie, co by zmieniało tę sytuację?
2201:  Mianowicie, gdyby Militech mnie tutaj przyskrzynił i gdybym miał z tym związany quest, że muszę uciec z więzienia Militechu i przy okazji dowiadywałbym się więcej na temat tej korporacji, zadzwoniłbym do Arasaki i powiedział, słuchajcie, wyciągnijcie mnie stąd, ja wam dam w zamian coś innego i nagle narracja przychodzi wam w sukurs w rozwiązywaniu problemów designerskich,
2222:  które prędzej czy później będą konieczne do napotykania, bo silniki mają swoje ograniczenia.
2228:  Ale najbardziej mnie rozeźliła ta sytuacja.
2230:  Oj, najbardziej.
2231:  To znaczy mam wielki neon otwarty 24 godziny na 7.
2235:  Podchodzę i jest napisane zamknięte na interfejsie.
2237:  Dude, dlaczego projektujesz coś takiego?
2240:  Dlaczego kłamiesz w żywe oczy i mówisz, że coś jest otwarte, jak jest zamknięte?
2244:  Nie rób takich rzeczy i nie róbcie ich absolutnie nigdy.
2247:  Ten neon można byłoby wygasić.
2248:  Można byłoby napisać na tym neonie cokolwiek.
2250:  Można by tu napisać na przykład Penguins Incorporated.
2254:  Let us freeze together.
2255:  Cokolwiek, tak?
2256:  Można byłoby tutaj...
2257:  to wolny neon, tak, w cyberpunku jesteśmy przyzwyczajeni do neonów, ale jeżeli dajemy znak diegetyczny, który substytuuje w jakiś sposób interfejs, to naprawdę, no nie róbmy takiego konfliktu, ponieważ taki konflikt, moi drodzy, nazywa się dysonansem ludotopijnym i wiem to dlatego, że wymyśliłem ten termin.
2273:  I dysonans ludotopijny oznacza mianowicie sytuację, w której wasza rozgrywka idzie...
2284:  idzie sobie, a świat rozwija się sobie, tak?
2286:  Tak jak mamy dysonans ludonarracyjny polegający na tym, że narracja konfliktuje nam z rozgrywką, przykład prosty, macie Hogwarts Legacy, jesteście, no, grzeczna, grzeczna dziewczynka, piąty rok w ogwarcie, buzia w ciub, rączki w małdrzyk, ale awa taka dobra, nie?
2304:  No więc nie bardzo, tak?
2305:  Dysonans ludonarracyjny.
2307:  Dysonans ludotopijny będzie wtedy, kiedy problemem nie będzie narracja i rozgrywka, to problemem będzie projekt świata i rozgrywka.
2313:  I to jest ciekawy rodzaj dysonansu, który się właśnie pojawiać będzie w tych otwartych światach i na który zwracałbym tak samo baczną uwagę, na jaką się zwraca już w odniesieniu do dysonansu ludonarracyjnego, bo przyszłością będą te otwarte światy, czy nam się to podoba, czy nie.
2328:  teraz naprawdę będzie łatwiej zaprojektować świat, nawet proceduralnie, zaprząc któryś kolejny, może to będzie siódmy już model czata GPT, do tego, żeby napisał nam parę questów, ale wtedy, moi drodzy, wejdzie ktoś, kto będzie właśnie musiał zadbać o to, żeby nie dochodziło do rozdźwięków, nie dochodziło do absurdu, bo gwarantuję, że AI, która będzie zatrudniona do takich sytuacji, będzie generować takie absurdy i będzie ich sporo.
2351:  I gracze w którymś momencie przestaną kupować nasz produkt, bo się zorientują, że to jest generyczne.
2356:  że to jest nieciekawe, że to jest powtarzalne.
2359:  Więc myślę, że to jest jedna z tych rzeczy, na które należałoby zwrócić uwagę.
2363:  I na koniec, tak jak obiecałem, krótka bonusowa informacja dotycząca tego, jak bym radził sobie na tym naszym bardzo turbulentnym rynku gamedevowym,
2374:  Przede wszystkim, moi drodzy, tu jest taka jedna stronka, którą bardzo polecam, to jest zestawienie według Hitmarkera Gaming Professions, które już się zestarzało, dlatego to Wam pokazuję, mianowicie na tych wszystkich kartuszach, gdzie pojawiały się kolejne zawody,
2389:  Już brakuje tego, co do którego pojawiały się ogłoszenia, to znaczy gość, który pisze prompty dla AI.
2395:  Naprawdę to już zaczyna być konkret z tego względu, że to jest też rodzaj sztuki, żeby się umiejętnie komunikować w taki sposób, żeby dostawać na przykład 7 dobrych konceptów do naszej gry.
2407:  I to też dobra informacja dla wszystkich concept designerów i concept artystów, którzy no na przykład byli niezadowoleni z tego tytułu, że firma mówiła, ok, 10 minut, chcę mieć 7 konceptów tej lokacji.
2417:  No to proszę bardzo, piszemy prompty dla niej, dostajemy się tym konceptu, a może jeszcze w stylu neowiktoriańskim, a może renesansowym, tak, w stylu Leonardo da Vinci i po 5 minutach jest.
2429:  A wy później jako koncept artysta, jak już szefu wybierze, tak, co należy zaprojektować, to przechodzicie do pracy odręcznej, tworzycie oryginalne dzieło już w tym settingu, który został wybrany, więc tej pracy brakuje.
2440:  Dlatego też wniosek z tego, rynek zmienia się tak szybko, że można sobie pracę samemu wytworzyć.
2447:  I moja rekomendacja jest taka, że jeżeli na przykład kodujecie, rozejrzyjcie się też, może Wam odpowiada narysowanie czegoś sobie w blenderku, albo może chcemy właśnie się poćwiczyć w speedpaintingu, wziąć sobie jakieś zdjęcie, wziąć sobie Photoshopa i zacząć narysować coś,
2464:  Gwarantuję Wam, że taka wielość skilli jest rzeczą poszukiwaną w gamedevie, zwłaszcza polskim, gdzie niestety jest tak, że bardzo często trzeba być multi-instrumentalistą i umieć się szybko przekwalifikowywać.
2477:  Ale dobra wiadomość jest taka, że w zasadzie teraz główną dyspozycją wszystkich pokoleń, wspaniałomyślnie włączę siebie także w nie, młodych, jest to, że dynamicznie się przekwalifikowujemy, że dobrze wiemy, jak wygląda rynek pracy.
2493:  Druga rzecz, to jest rzecz, myślałem wszystkim znana, ale okazuje się, że nie wszystkim, mam nadzieję, że Wam już jest, to znaczy skillshot, to jest główne miejsce, gdzie się ogłaszają firmy poszukujące pracowników w polskim gamedevie przynajmniej.
2507:  Jak widzicie, interfejs tej strony jest przepiękny i nowoczesny.
2512:  I wreszcie jest grupka na fejsie, który jak wiadomo jest dominującym medium społecznościowym w 2023 roku.
2518:  O Boże, co to się właśnie stało, nie mam zielonego pojęcia.
2521:  Mianowicie GameDev Praca Polska, gdzie możecie nie tylko znaleźć oferty, ale to bym bardziej polecał, zareklamować siebie i podać widełki, ponieważ GameDev w odróżnieniu od innych,
2532:  zawodów, na szczęście pozwala na to, żeby te widełki komunikatywnie podawać.
2537:  No i wreszcie ostatnia najważniejsza, błagam, rzecz, nawet jeżeli wyłącznie kodujecie, to wtedy tutaj powinien być jeszcze GitHub, portfolio, tak, to znaczy trzeba coś gromadzić, nieważne jest to, czy ktoś Wam coś wydał,
2549:  czy pracowaliście faktycznie nad jakimś tytułem, ale ważne jest to, żeby mieć gdzieś jakieś jedno miejsce, gdzie gromadzicie wszystkie swoje zajawkowe rzeczy, które mogą się przydać przy projektowaniu gier, nie ma znaczenia jakość tego, nikt nie będzie się bawił w ocenianie, co najwyżej, najgorsza rzecz jaką możecie dostać to feedback, no to głównie mówię do ludzi, którzy będą chcieli na przykład być wszelakiego autorementu autartystami w gamedevie, najgorsze, że to można usłyszeć to
2573:  Słuchaj, popracuj jeszcze nad swoim stylem, tu trzeba tego, tam trzeba tego, tutaj jest taki jeden koncept artysta, którym się można na przykład inspirować, albo no ten model 3D jest okej, ale wiesz, my potrzebujemy model, który będzie faktycznie pokazywał na przykład tę broń jako funkcjonalną z wszystkich perspektyw, a nie tylko, żeby było ładnie z przodu, a brzydko z tyłu i niefunkcjonalnie, bo wiesz, no gracz to będzie trzymać, tak?
2592:  No i takie rzeczy się zdarzają i trzeba być na taki feedback otwarty, więc mega polecam, żeby się zainteresować portfolio,
2598:  oprócz oczywiście tego nieszczęsnego poszukiwania pracy, które jak wiadomo jest zajęciem wdzięcznym, wszyscy marzymy o tym, żeby się troszeczkę zajęć, jak ktoś na przykład ma wybór między Netflixem, a takim rozesłaniem 150 CV, każdy wybiera to drugie, to jest oczywiste, ja to w 100% rozumiem, dziękuję Wam serdecznie za wysłuchanie i oczywiście czekam na pytania, a to jest jeszcze raz Space Marine, bo czemu by nie.
2627:  Niech rozpośni się dyskusja.
2629:  Kto chce zacząć?
2630:  Rękę do góry.
2637:  Tak, mówił Pan po pierwsze o tym, abyśmy projektowali nasze światy, starając się unikać tych
2648:  Tych sytuacji, kiedy mamy na mapie miejsce w świecie, nie da się do niego wejść.
2654:  Natomiast co gdybyśmy spróbowali zaprojektować świat w taki sposób po prostu intencjonalnie, gdybyśmy w ten sposób na przykład oznaczali lokacje sekretów i specjalnych nagród dla gracza.
2665:  To jest dobry pomysł.
2667:  W ogóle da się też intencjonalnie zamknąć świat tak, żeby to było fajne i wspomnę Dolinę Górniczą, bo czemu by nie, zawsze odniesienie do Gothica jest mile widziane.
2675:  Można to zrobić inteligentnie i myślę sobie też, że jednak w odniesieniu do sekretu jakiegoś i tak dalej, jeżeli coś jest zamknięte, no to automatycznie musi być taka opcja, żeby w którymś momencie tam dotrzeć i to odkryć.
2686:  Zresztą dwie najbardziej podstawowe rzeczy budowania napięcia narracyjnego, tajemnica albo intryga, no i oczywiście śmierć.
2697:  Dobrze, jeszcze drugie pytanie w takim wypadku, a mianowicie śmiejemy się wiadomo z tych pytajniczków na mapach i tak dalej, aczkolwiek stanowią one bardzo wygodną metodę indykacji lokacji treści dla gracza.
2711:  Jaką alternatywę by pan sugerował do tego?
2715:  Toggle on, toggle off.
2716:  Prosta sprawa, jeżeli komuś to pomaga, niech może sobie to włączyć, prawda?
2720:  Dobrze, ja mam tutaj na myśli bardziej alternatywę w znaczeniu mechanicznym, na przykład, nie wiem, Skyrim zamiast pytajniczków na mapie stosował kompas.
2729:  To jest jakaś opcja, choć nie jestem fanem.
2732:  Powiem znowu o rozwiązaniu, które widziałem i lubię.
2736:  Podróżujemy sobie po Red Dead Redemption 2 i Arthur Morgan zaznacza na mapie, gdzie był, albo że coś znalazł interesującego, czyli retroaktywne spojrzenie na to, nie proaktywne.
2745:  Wtedy nie zdradza się tego, co gracza czeka, tylko raczej zaznacza się, co odkrył i wtedy włącza się ten mechanizm nagrody, prawda?
2752:  Że im więcej odkryliśmy, tym bardziej nasza mapa jest zapełniona.
2756:  To jest trochę odwrócenie tego myślenia i równocześnie no nic nie tracimy, ponieważ gracz wtedy będzie grać dłużej albo będzie właśnie szukał w solucji, tak jak większość graczy Elden Ringa robiła.
2766:  To długa podróż.
2798:  Tak, ja tutaj mam pytanie o te modele generatywne i o generowanie treści, gdzie miałem takie wrażenie, że pan trochę się z tego wyśmiewał, że te firmy chcą teraz to właśnie generować w taki sposób, ale z drugiej strony mam wrażenie, że dla wielu firm otwarte światy są niejako troszeczkę przekleństwem pod tym względem, że widać, że to się sprzedaje, że gracze wtedy dłużej czasu poświęcają tej grze, więc osoby z góry bardzo często chyba wymuszają na tych studiach, żeby włożyć to w otwarty świat, będzie lepiej.
2824:  Jakby okej, będziemy generować to AI-em i śmieję się pana, że to wtedy będzie takie powtarzalne, ale aktualnie problem jest taki, że bez AI-a ludzie tworzą o wiele bardziej powtarzalne treści, więc może dzięki temu uda się uniknąć tego i ci projektanci będą mogli się rzeczywiście skupić na tych kluczowych rzeczach, a AI po prostu dopełni ten cały świat.
2844:  W taki sposób, że mówię, że projektanci będą mogli zaznaczyć te wszystkie szczegóły, te wszystkie punkty, a ja i to wypełnię.
2851:  I w ten sposób dostaniemy grę, w której treść będzie naprawdę przyzwoita, a jednocześnie nie będzie pusta.
2858:  A bez tego ja byłaby po prostu pusta, no bo często jest tak, że brakuje tych środków, żeby tworzyć tą grę.
2864:  Absolutnie się zgodzę, tylko powiem, że moim zdaniem raczej to będzie dochodziło do shiftu, jeżeli chodzi o zapotrzebowanie na narrative designera, to znaczy teraz mamy większe zapotrzebowanie na quest designeru, którzy właśnie robią repetytywne rzeczy, tu się absolutnie zgadzam, ale dlatego, że jest crunch, dlatego, że jest wymóg rynku taki, a nie inny i dlatego, że na czele wielu firm stoi Android Wilson i ma takie oczekiwania, jakie ma, to jest problem.
2888:  bo zwykle ponzowie i szefowie korporacji, to znaczy, jeżeli są, są w większym stopniu biznesmenami niż graczami, nie?
2895:  I tutaj leży pies pogrzebany.
2897:  Na szczęście nie mam nikogo.
2898:  Natomiast, jeżeli chodzi o narrative designera, to on i tak musi wkroczyć, jak AI wypełni content, prawda?
2904:  I on wtedy mówi, no dobrze, no to teraz jak połączyć ze sobą te wszystkie struktury, bo AI wciąż nie jest dobre w łączeniu struktur, struktury wyższego rzędu,
2915:  raczej jest dobre, przynajmniej jeżeli mówimy o modelach językowych, oczywiście wypełnianie rzeczy, tak samo jeżeli chodzi o proceduralne generowanie rzeczywistości.
2922:  Fajnie możemy wygenerować proceduralnie 10 dungeonów, ale równocześnie dobrze, jeżeli wejdzie artysta i zacznie tweakować, tak, tutaj coś doda, tam coś zmodyfikuje, więc myślę sobie, że dojdzie do takiej profesjonalizacji tych zawodów, które były najbardziej wyzyskiwane w crunchu po prostu i w nadgodzinach, to znaczy
2939:  story designerów, czy właśnie concept artistów, level designerów, którzy będą się teraz zajmowali strukturami wyższego rzędu, więc ja też jestem optymistą, jeżeli chodzi o wykorzystanie AI, ale w zasadzie realistą, bo ono już jest wykorzystywane, znaczy nasz sprzeciw lub jego brak nic nie zmieni, to już i tak jest.
2954:  Problem tylko jest taki, że jeżeli nie powiemy, okej, mamy świetne narzędzia, róbmy lepsze światy, to będzie problem, bo w tym momencie mam takie wrażenie, że i Ubisoft, i EA są na stanowisku, okej, mamy świetne narzędzia, róbmy to samo, co robiliśmy, tylko że taniej.
2968:  No trochę tak.
2969:  Dziękuję.
2972:  Czy ktoś jeszcze?
2990:  Ja miałbym pytanie jeszcze w kwestii tego zamknięcia światłu.
2995:  No głównie o ten problem związany z mapą, minimapą i fakt, że to mimo wszystko jest ograniczona przestrzeń.
3001:  Weźmy sobie na przykład miasto z dostępem do morza i fakt, że gdzieś tam na krańcu mapy mimo wszystko nie możemy renderować tego morza w nieskończoność.
3012:  Jak w takiej sytuacji ewentualnie by w sposób narracyjny, rozsądny niż
3019:  Stop, cofamy cię.
3021:  Można by to wytłumaczyć.
3023:  I tak, żeby jeszcze to miało sens w świecie gry, bo to jest też bardzo ważne.
3027:  No jedna z tych rzeczy, to można to ogarnąć questem oczywiście, tak, w tym moim przykładzie z Militechem, ale również są inne opcje, no chociażby weźmy proceduralnie generowane duże światy w stylu Elite Dangerous czy Star Citizen.
3040:  Eksperymentuję w tym momencie w robot space industry z taką technologią, że każda rzecz pozostawiona, to chyba nawet zostało już wdrożone, że każda rzecz pozostawiona w świecie ma swoje miejsce, swoją instancję na serwerze, w związku z powyższym, jeżeli wrócimy po...
3054:  dwóch latach na tę samą planetę, ba, jeżeli ktoś z naszych znajomych pójdzie w miejsce, w którym zostawiliśmy skafander, on tam będzie.
3062:  Niezależnie od tego, czy się vlogujemy, on tam będzie, bo jest to realistyczne.
3066:  I ten rodzaj realizmu, myślę, jest zbawieniem w tej sytuacji, no bo my mamy wyłącznie ograniczenia technologiczne, które sprawiają,
3073:  że gracz nie może się udać w nieskończoność właśnie gdzieś daleko, bo właśnie nie ma możliwości, na razie przynajmniej, zrealizowania tego w taki sposób, żeby nie było tego kontrastu między fajną, wypełnioną treściami przestrzenią, a tą przestrzenią, która była wygenerowana proceduralnie.
3090:  Więc w momencie, w którym rzeczywiście będziemy też, odwołując się do poprzedniego pytania, w stanie wypełniać nawet, nawet generycznie i może nawet trochę lepszymi questami przestrzeń wokół i nie będzie już ograniczeń technologicznych ściśle i w większym stopniu będziemy korzystywali z zasobów serwerowych, to wtedy czemu by nie?
3106:  Da się to zrobić, żeby nawet można było jakiś świat zwiedzać w nieskończoność.
3110:  Ale na razie myślę, że rozwiązaniem jest dobry narrative, dobry writing i to jest nasz przyjaciel, przynajmniej na razie.
3116:  Zobaczymy jak będzie później.
3118:  To jest na pewno bardzo ciekawy kierunek rozwoju.
3121:  Jestem głęboko przekonany, że technologia znajdzie rozwiązanie jak zawsze i inżynierowie znajdą rozwiązanie jak zawsze, ale na razie trzeba szyć z tego co mamy.
3133:  Dzień dobry Panie Krzysztofie, ja chciałem po pierwsze podziękować za wykład i za cały rozwój rynku gier w Polsce.
3142:  Moje pytanie dotyczy gier VR, który jest dosyć rzadko poruszany i tego jak imersja w tych grach może wpływać na
3152:  na rozwój w zasadzie całej branży, to znaczy wydaje mi się, że gry z wirtualną rzeczywistością mogą mieć zdecydowanie wyższy poziom imersji, jeżeli chodzi o graczy i kiedy takie urządzenia właśnie służące do wirtualnej rzeczywistości zaczną wypierać na przykład konsole czy gry komputerowe?
3174:  Odpowiem lapidarnie na początek, to znaczy nie miałem imersji w Hogwarts Legacy, ponieważ mój komputer był za słaby, 17 tysięcy złotych później, moja imersja jest dość kosztowna i no jest fajnie, tak, ale...
3190:  ale jednak Krakus boleje nad tym, tak?
3194:  Więc myślę sobie, że tu jest główny problem, to znaczy próg wejścia ekonomiczny, który wciąż sprawia, że gier na VR nie jest wiele, nie opłaca się ich robić, bo niewiele osób je kupi, ale...
