Kiedy BOJKOT ma sens, a kiedy zmienia się w ABSURD?
🔗 https://www.youtube.com/watch?v=95VZBqBvPNQ
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

20:  BFP - Szanowni, witajcie na, mam nadzieję, jednej z najciekawszych dyskusji w historii tego kanału.
1612:  GW - teoretycznie wolnej w dostępie, jaką powinna być kultura i dlatego tutaj cały czas zaznaczam, że jeżeli chce się pokazywać komuś palcem, robić virtual signalling, robić właśnie jakby starać się wymuszać na kimś jakieś decyzje w zakresie etycznym, to warto
1635:  GW - sobie dobrze przemyśleć, czy jesteśmy konsekwentni w naszych postawach, bo albo robimy cherry picking i wtedy nasze tak naprawdę sygnalizowanie komuś, że powinien coś robić bądź nie robić jest gówno warte, albo właśnie trzeba się trzymać konsekwentnie jakiegoś zdania, ale wierzcie mi, jest masa przykładów tego, że to jest praktycznie niemożliwe.
1660:  GW - Więc dwa razy zastanówcie się, jak zaczniecie kogoś mieszać z błotem, bo nie robi czegoś w taki sposób, jakbyście wy chcieli.
1666:  BFP - Ja oddaję już głos Krzysztof tobie i Oskarowi, bo chciałbym, żeby Oskar też zabrał głos.
1672:  BFP - Zebrało się sporo wątków, ale odniosę się do jednego komentarza, który się pojawił.
1675:  BFP - Jednoręki bandyta napisał, co wy na to, że BBC oficjalnie przepraszało Rowling za bojkot?
1680:  BFP - To jest ten moment, kiedy naprawdę warto być precyzyjnym faktograficznie.
1686:  BFP - BBC, owszem, wystosowało przeprosiny na łamach swojej stacji, bo jest rzetelną telewizją informacyjną, przepraszając J.K.
1694:  BFP - Rowling, a właściwie widzów, to jest też ważne rozróżnienie, widzów, a nie J.K.
1700:  BFP - Rowling, nie za bojkot, za to, że została na antenie nazwana transfopką.
1705:  BFP - I teraz to jest, oczywiście możemy pogłębiać tą rozdzielczość i schodzić na coraz niższe poziomy tego...
1712:  BFP - tej sprawy, ale ja również rozumiem ludzi, pomimo, że uważam inaczej, którzy powiedzą, J.K.
1718:  BFP - Rowling nie jest transfobką.
1719:  BFP - Ja ci pokażę prawdziwych transfobów.
1721:  BFP - I wiecie co?
1722:  BFP - Ja mogę was zaprosić pod niektóre moje filmy i pokazać wam komentarze transfobów.
1727:  BFP - Szczególnie, kiedy robiliśmy dyskusję o ostatnim Matrixie Sióstr Wachowskich.
1732:  BFP - to tam będziecie mieli przykłady prawdziwej transfobii.
1734:  BFP - A w przypadku J.K.
1736:  BFP - Rowling, ja uważam, że tak, że jej komentarze są transfobiczne, ale to też można skalować.
1741:  BFP - I ja uważam, że oczywiście, że ona wyrzędza więcej szkody niż komentarze pod moimi filmami pewnych osób, ponieważ
1749:  BFP - Ona naprawdę ma posłuch.
1750:  BFP - Ona naprawdę kształtowała również wrażliwość ludzi, którzy dzisiaj szczególnie czują się zranieni przez nią, bo jej tak bardzo ufali.
1758:  BFP - Ufali światu, do którego uciekali, a który ona stworzyła.
1761:  BFP - Oskar, chciałeś coś powiedzieć, jak mówiłem?
1765:  OR - Chciałem zacząć od tego, że wszyscy mamy trochę inne wyjście, bo wy albo gracie, albo chcecie zagrać w Hogwarts Legacy.
1771:  OR - Ja mam do tego znacznie bardziej dystansowane podejście z prostego powodu.
1777:  OR - Ja nie jestem totalnie w świecie Harry'ego Pottera.
1779:  OR - Ja wiem, że tam są cztery szkoły i jeden nazywa się jakiś Hufflepuffel czy coś takiego.
1782:  OR - To jest dla mnie wszystko, co wiem o tym świecie.
1785:  OR - I jest Harry Potter i zły chłop łysy bez nosa.
1789:  OR - Generalnie... Więc dla mnie to jest coś takiego jak... Ja nie zagram w Hogwartsa Legacy.
1797:  OR - Ta gra nie jest mi w żaden sposób bliska.
1800:  OR - I z mojej perspektywy powiedzenie, że nie zagram i coś tam byłoby proste, jakby najprostsze, że się mogły powiedzieć, bo i tak bym, to byłoby dla mnie super proste w ten sposób podejść do tego i mówić, no nie będę grał i podpiąć pod to właśnie takie jakieś, wiecie, wartości, które ja ogólnie uznaję, ale uważam, że to byłoby kłamstwo z mojej strony, gdybym tutaj zaczął mówić, że nie gram, bo bojkotuję, bo coś tam.
1828:  OR - Natomiast
1830:  OR - jednocześnie mam takie właśnie podejście, cały czas mówimy o tym indywidualnym podejściu, indywidualnym podejściu.
1840:  OR - Mój problem też z tym takim zero-jedynkowym podejściem jest taki, że osobom jak w przytoczonym przez siebie Filip artykule zaczyna się też obrywać, kiedy faktycznie zaczynają pisać o swoich własnych uczuciach, własnych emocjach,
1859:  OR - i dlaczego nie chcą zagrać w tą grę.
1862:  OR - Ponieważ mam wrażenie, że przez to cała ta atmosfera zaczyna się tak podgrzewać w takiej sytuacji, że to jest znowu trochę to, o czym Krzysztof mówiłeś, nagle robią się dwa tak skrajne fronty, albo jesteś z nami, albo przeciwko nam, że
1878:  OR - naprawdę wartościowa dyskusja i naprawdę merytoryczna, która jest związana z tym, że tak, ja absolutnie jestem w stanie zrozumieć kogoś, kto nie byłby w stanie w to zagrać, bo go to za bardzo zraniło, bo ktoś, kto był właśnie fanem czy fanką, obojętnie czy jest cis, czy jest trans, w tym momencie jak się określa, Harry'ego Pottera i ktoś nie jest w stanie po tych rzeczach, które Rowling wypisywała.
1906:  OR - Bo ja sam mam, nie wiem czy będziemy dalej rozmawiać o pewnych dziełach, w których może każdy z nas ma takie miejsce, w którym okej, tu było za dużo, nie mogę już patrzeć na tego aktora, nie mogę wracać do filmów z tym, nie mogę wracać do serialu z tym aktorem, nie mogę wracać do treści tego twórcy za to, co robił.
1925:  OR - I ja to rozumiem.
1926:  OR - Ja też mam takie treści, ale jednocześnie
1930:  OR - Znowu, wydaje mi się, że to wynika tak bardzo z głębi emocjonalnej, z tego, co kogoś rusza, a jednocześnie same te produkty, nie wiem, jak filmy z Kevinem Spaceym, one same w sobie często były robione przez ludzi, którzy w życiu, nie mówię o Brianie Singerze na przykład, ale inne firmy, w których jakby twórcy chcieli coś konkretnego przenieść i to, kim okazał się Kevin Spacey,
1955:  OR - w żaden sposób nie miało żadnego odzwierciedlenia w filmie, który widziano.
1962:  OR - I dlatego w momencie, w którym ktokolwiek ma podejście, okej, ja mogę oglądać ten serial, ja mówię, no nie, ja już nie dam rady, to znowu tak jak powiedziałeś Filip, ja nie jestem w stanie podejść i powiedzieć mu, że jesteś, nie wiem, złym człowiekiem, bo dalej cieszysz się serialem, którym kilka lat temu cieszyliśmy się razem, ale ja już po prostu nie potrafię się nim cieszyć.
1983:  BFP - Ja jeszcze odniosę się do tego, co napisał Arek, znaczy bardzo dużo fajnych komentarzy, odniosę się tylko szybko do dwóch.
1990:  BFP - Arek napisał, no dobrze, jeśli ktoś ma zasięgi w skali Rowling i ma wypowiedzi transfobiczne, to mają większy impakt niż wypowiedzi randoma z neta, ale wciąż ta osoba ma prawo je wygłaszać.
1999:  BFP - Arku, uważam, że jeżeli masz takie zasięgi jak J.K.
2001:  BFP - Rowling i nie masz bezpiecznika w swojej głowie, który sprawia, że jednak, znaczy nie jesteś Trumpem ani Elonem Muskiem, tylko J.K.
2010:  BFP - Rowling i masz bezpiecznik, który sprawia, że pomyślisz zanim coś napiszesz,
2015:  BFP - Także ze względu na charakter pracy, którą wykonał Łaś, bo jesteś autorką książek, które stanowiły, jak już powiedziałem, miejsce ucieczki dla wielu ludzi, ukształtowały wielu młodych ludzi.
2025:  BFP - Ci ludzie zaufali światu, ale także autorce.
2029:  BFP - No to znaczy, że ten problem jest z tą osobą, tak?
2031:  BFP - To nie jest problem z medią, to nie jest problem z Twitterem, to nie jest problem z naszą kulturą, to jest problem z J.K.
2035:  BFP - Rowling, to jest dziaderka, tak?
2038:  BFP - Dziaderka albo baberka, czy TERF, jak ładnie ją też nazwano.
2041:  BFP - I uważam, że sobie najwięcej szkody wyrządza wizerunkowo i traci zaufanie bardzo wielu ludzi, ale jednocześnie może też krzywdzić innych.
2049:  BFP - I druga rzecz, zanim oddam głos Krzysztofowi, co do której chciałem się odnieść.
2053:  BFP - Pojawiła się taka uwaga, że wygodnie wam tutaj dyskutować, macie takie same poglądy.
2059:  BFP - Nie uważam, że mamy takie same poglądy, to raz.
2061:  BFP - Dwa, nie uważam, że dyskutujemy dokładnie w tym samym tonie.
2065:  BFP - I trzy, czy zaprosiłbym kogoś takiego jak na przykład Bartek Sitek do rozmowy?
2072:  BFP - Chętnie.
2072:  BFP - Jest tylko jeden problem.
2074:  BFP - Bartek Sitek jest właśnie dla mnie, ja go bardzo lubię jako twórcę, ale zderzyłem się z nim raz na Twitterze i on nie chciał dyskutować.
2082:  BFP - On chciał mnie poniżyć.
2084:  BFP - On chciał mnie rzucić na żer ludziom, którzy będą podbijali serduszkami jego riposty.
2091:  BFP - I nie miałem poczucia, że jest przestrzeń na dyskusję z taką osobą.
2094:  BFP - Chętnie bym to zrobił, ale boję się, że tu nie ma woli na dyskusję.
2099:  BFP - I to jest dla mnie reprezentacja właśnie takiej samozwańczej, ochotniczej milicji moralnej, która będzie ferowała swoje zdanie i swoje wyroki na temat ludzi, którzy nie podzielają mojego systemu wartości.
2111:  OR - Ja tylko wcześniej pozdrowić Bartka, bo ja się znam z nim osobiście i generalnie... Dawno nie mieliśmy okazji rozmawiać, ale generalnie ja Bartka bardzo lubię.
2121:  BFP - Ja też lubię, aczkolwiek ponownie... W sensie osobiście, mogę się nie zgadzać z nim, ale tak.
2127:  BFP - Była sytuacja, w której naprawdę miałem wrażenie, że Bartek Sitek dołożył wszelkich starań, żeby wystawić kogoś pod pręgierzem i go po prostu wybatorzyć publicznie, mając bardzo słabe do tego podstawy.
2138:  BFP - I byłem tym głęboko zniesmaczony, dlatego zareagowałem.
2141:  BFP - Chodziło o Rysława.
2143:  BFP - I uznałem, że to dziwne jest, żeby naprawdę wyciągać takie wnioski na podstawie czyichś polubień na Twitterze.
2150:  BFP - I usłyszałem po raz pierwszy w życiu, chwilę po dyskusji o molestowaniu, gdzie usłyszałem, że jestem pieprzonym lewakiem, to dzień później na Twitterze usłyszałem, że jestem pieprzonym prawakiem i transfobem.
2161:  BFP - Tylko na YouTubie jeszcze ktoś chciał ze mną wchodzić w dyskusję.
2165:  BFP - Na Twitterze nie.
2166:  BFP - Liczyło się tylko to, jak zostanę zaorany.
2168:  GW - Bo to jest takie prowadzenie dyskusji.
2170:  GW - Jak jesteś lekko bardziej na lewo, to już jesteś lewakiem.
2173:  GW - Lekko bardziej na prawo od poglądów danej osoby, to jesteś prawakiem.
2177:  GW - Łatwiej zapakować kogoś w szufladki, zamiast poprowadzić dyskusję na zasadzie, a jakie masz poglądy na ten konkretny temat, a nie, a jesteś lewakiem, to z tobą nie gadam, a jesteś prawiakiem, to z tobą nie gadam.
2189:  GW - Pakowanie w szufladki kompletnie blokuje właściwie komunikację międzyludzką.
2193:  BFP - Tak, Krzysztofie.
2196:  KMM - Ja chciałem tylko powiedzieć, że jeżeli jeszcze raz zobaczę komentarz gdziekolwiek, że czterech cishetów dyskutuje na jakiś temat, to się wkurwię.
2204:  KMM - To znaczy, tym razem ja wytaczam wojnę.
2207:  KMM - Kto kurwa kiedykolwiek powiedział z nas o naszej seksualności?
2212:  KMM - Uspokójcie się, tak?
2213:  KMM - Znaczy, to nie jest temat publiczny.
2216:  KMM - Przepraszam, to jest mocne.
2217:  KMM - Moment Filip, jeżeli ktoś sobie tego nie życzy,
2220:  KMM - To moment, jeżeli ktoś robi z tego swoją tożsamość, to ja w ramach mojej tolerancji nie będę homofobiczny czy transfobiczny, jeżeli to jest rdzenna część czyjejś tożsamości.
2229:  KMM - Heteroseksualność jest swoją drogą rdzenną częścią tożsamości osób konserwatywnych i religijnych.
2235:  KMM - Czy stygmatyzuje osoby konserwatywne i religijne odnośnie do ich manifestowanej heteroseksualności?
2240:  KMM - Nie.
2241:  KMM - Tak długo, jak mu długo nie mówią, że należy zakazać aborcji.
2244:  KMM - Na przykład.
2245:  KMM - W związku z powyższym argumentacja taka, że do rozmowy należy zapraszać ludzi, którzy się identyfikują z jakimś środowiskiem, jest argumentacją quasi religijną i sekciarską.
2256:  KMM - Więc jeżeli chcecie, żeby tematy progresywne, żeby troska o mniejszości ich prawa napotykały na zrozumienie ze strony osób ukraińskich,
2265:  KMM - u których nie ma zrozumienia, to zmieńcie pieprzoną narrację, ponieważ od lat jest tak, że środowiska konserwatywne, Ben Shapiro w górę, mówią, no tak, tak, no ta lewica, tylko emocje, tylko takie pierdolenie na Twitterze, a tutaj czemu, a my racjonalnie, my mówimy logicznie, my argumentujemy.
2287:  KMM - No to zadajcie sobie pytanie, komu dajecie w tym momencie paliwo takimi tekstami.
2291:  KMM - Czy osoba o poglądach konserwatywnych zareaguje, no to faktycznie cis-heterycy dyskutują, no słuszny argument.
2299:  KMM - Czy osoba o poglądach konserwatywnych zareaguje dobrze na ludzi, którzy na co dzień stygmatyzują faszyzm, a potem wpisują się par excellence w definicję faszyzmu Gilles Deleuze'a, że faszyzm jest instalowaniem machiny wojennej w dyskursie.
2312:  KMM - Na przykład, czy konserwatywny filozof, czy naukowiec waszym zdaniem wtedy się zgodzi z taką tezą?
2318:  KMM - Nie, ponieważ będzie mu śmierdziało brunatną kolorem na kilometr.
2322:  KMM - I dlatego trzeba uważać w tego rodzaju dyskusjach i dlatego w moim przekonaniu nie ma znaczenia w tym momencie, jakie poglądy mają osoby zaproszone do dyskusji, czy to są osoby prawicowe, czy lewicy.
2333:  KMM - Ja poza ich poglądem politycznym nie powiedziałem nigdy, będę się do skończenia świata wyśmiewał z komentarzy, których jedni mówią mi, że jestem prawakiem, drudzy, że lewakiem.
2341:  KMM - Wystarczy, że powiem, że nie należy molestować kobiet i od razu ooo Krzysztof Lewak.
2345:  KMM - A wystarczy, że powiem, że być może powinniśmy się zastanowić nad tym, czy dobrym pomysłem jest nazywanie ludzi, którzy nie grają w Hogwarts Legacy transformami ooo prawak.
2353:  KMM - To nie jest normalne moi drodzy i myślę, że na Bez Schematu Zawsze postaraliśmy się pokazywać i też na naszych kanałach, że nie ma nic złego w racjonalnej dyskusji i egzaminowanie siebie z tego, kto jest jakiej seksualności, religijności czy jakie ma poglądy polityczne jest dokładnie tym samym, czym stygmatyzacja w innych aspektach.
2372:  KMM - Z tą różnicą, że w Polsce, zaznaczę, nie ma stygmatyzacji osób, które mają poglądy prawicowe i są chrześcijanami, ponieważ mamy takie instytucje publiczne, jakie mamy.
2382:  KMM - Więc tu jest ta jedna, jedyna różnica, ale wciąż uszanujcie prawa ludzi do tego, żeby nie czynili ze swojej seksualności, ze swoich poglądów politycznych części swojej tożsamości, jakiejkolwiek bądź.
2395:  BFP - Tak, ja oddając już głos Grzegorzowi, chciałem odnieść się do kilku komentarzy i właściwie wracających akcentów.
2402:  BFP - Alojzy Bąbel na przykład napisała, słychać jakie macie poglądy, czy słychać jakie masz poglądy.
2407:  BFP - To jest właśnie to, co chyba najbardziej mnie przeraża.
2409:  BFP - Na jakiej podstawie, Ptysiu?
2411:  BFP - Na jakiej podstawie?
2413:  BFP - To jest ordo inquisitorum tak zadecydowało.
2416:  BFP - Wiecie, Krzysztof, przepraszam, że próbowałem ci przerwać, ale tak bardzo rezonowało we mnie to, co powiedziałeś, że są osoby, które dzisiaj na przykład też ktoś wszedł i powiedział czterech tęczowych prowadzących.
2428:  BFP - Ktoś inny powie dokładnie odwrotnie, tak?
2431:  BFP - Po przeciwnej stronie spektrum i powie czterech cisheteryków tutaj będzie się mądrowało.
2436:  BFP - Osoby, które szczególnie powinny być wrażliwe na tym punkcie, czyli twierdzą, że noszą na sztandarach wartości i przekonania bliskie społecznościom LGBT, bądź należą do społeczności LGBT, ale jeżeli przyjmują te wartości na sztandary, to zakładam, że się z nimi utożsamiają, powinny być ostatnimi, które będą wskazywały palcami i mówiły o czyjejś orientacji,
2459:  BFP - Nie mając do tego podstaw.
2460:  BFP - W sensie, nie wiecie, czy wśród tej czwórki nie ma kogoś, kto nie jest heteroseksualnym cis mężczyzną.
2465:  BFP - Nie wiecie tego.
2467:  BFP - Nie wiecie.
2467:  BFP - I my wam nie musimy tego mówić, to jest najpiękniejsze.
2470:  BFP - Kompletnie nie musimy o tym mówić.
2472:  BFP - I jak mówię o tej policji moralnej, przeraża mnie właśnie to binarne myślenie lewica-prawica.
2478:  BFP - Cis...
2479:  BFP - LGBT.
2481:  BFP - Nawet dzisiaj pokazywałem Krzysztofowi komentarz pod jednym z naszych ostatnich filmów dyskusji, gdzie Krzysztof, ja wiem, że tobie się to nie podoba, ale tak mówisz, żeby nie zrobić przykrości Filipowi.
2492:  BFP - I byłem, oczywiście zaśmiałem się, powiedziałem, kurczę, no rozgryzłeś nasz, HBO mnie opłaca po to, żebym mógł coś tam skapnąć Krzysztofowi, go proszę na kolanach, żeby mówił dobrze o The Last of Us.
2502:  BFP - Ale to jest tak szokujące, że żyjemy w takich bańkach i tak bardzo potrzebujemy słyszeć ludzi, którzy mówią to, co myślimy i czujemy, że my już nawet nie dopuszczamy perspektywy tego, że ktoś może naprawdę czuć inaczej, że kogoś może zachwycić film Prometeusz, który dla mnie jest głównym.
2517:  BFP - Ale może.
2518:  BFP - To jest właśnie niezwykłe, że może.
2520:  BFP - I to ja wolę zbudować sobie całą teorię spiskową w głowie.
2524:  BFP - Że Krzysztof tak naprawdę mruga i mówi, ja dziś jestem Clarkiem Kentmanie Supermanem i nie magiem ognia, tylko spokojnym człowiekiem z uczelni, który będzie delikatnie formował swoje poglądy, żeby komuś nie sprawić przykrości, a nie, bo tak rzeczywiście uważam.
2537:  BFP - Tutaj kłania się brzytwa okama.
2540:  BFP - Naprawdę, w tym wypadku rozwiązanie najprostsze jest najprawdziwsze.
2544:  BFP - Może naprawdę się po prostu Krzysztofowi to podoba.
2546:  BFP - I również, proszę, nie zakładajcie z góry, że jak tutaj dyskutujemy, to spotkaliśmy się znowu w swoim gronie, żeby się poklepać po plecach.
2553:  BFP - Albo spotkaliśmy się i my z góry już wiemy, co powiemy.
2556:  BFP - Bo nie wiemy, jak zareagujemy na to, co się pojawi na czatach.
2559:  BFP - Bo nie wiemy, jaki argument padnie z drugiej czy trzeciej strony, który sprawi...
2563:  BFP - Masz rację.
2564:  BFP - I dlatego ja zrobiłem ten research przed naszą rozmową i dlatego przejrzałem sobie teksty osób, które myślą inaczej ode mnie, żeby zrozumieć tych, którzy bojkotują.
2571:  BFP - I jestem w stanie podzielać większość tych argumentów, ale w większości nie jestem w stanie podzielić sposobu, w jaki ten bojkot jest prowadzony.
2578:  BFP - Grzegorzu.
2580:  GW - To teraz może tak powolutku jeszcze nawiążę do tego, co też się pojawiało w czatach, bo mam wrażenie, że może to jest trolling, może nie, ale odniosę się jeszcze do sytuacji o Atomic Heart, potem przejdę do innej gry, która też jest związana z kontrowersyjną postacią i wtedy też płynie, może przejdziemy do seriali i opowiemy trochę o filmach.
2603:  GW - Stąd też na początku, jeżeli chodzi o Atomic Heart, no to tutaj sprawa jest następująca, iż deweloper jest faktycznie z Rosji, jest finansowany częściowo przez spółki skarbu państwa, więc tym samym w domyśle, i to jest też sugestia m.in.
2620:  GW - ukraińskiego rządu, pieniądze, które oni zarobią mogą częściowo...
2626:  GW - pośrednio bądź bezpośrednio wspierać agresję rosyjską na Ukrainie, ale dodatkowo jeszcze są informacje bardziej pokątne ze względu na to, że deweloper
2641:  GW - nie może oficjalnie zaprotestować przeciwko wojnie, bo jest firmą, która jest w Rosji, a tam też pracują ludzie, już pomijając to, że niektórzy na stanowiskach kierowniczych w tym studium są powiązani z innymi spółkami Skarbu Państwa, ale skoro i deweloperzy zapytani prywatnie na forach i te informacje były tam poniekąd weryfikowane, no są przeciw
2669:  GW - wojnie, tylko że no po prostu tutaj jak to ktoś określił na czatach, no mieli pecha w takim akurat momencie pracować w takim a takim studiu i tutaj atakowanie z kolei znowu deweloperów wydaje mi się nie do końca, znaczy nieuzasadnione, natomiast no właśnie dodatkowo jeszcze jest kwestia tego, że
2696:  GW - w akurat przypadku wydawania gry na zachodzie odpowiada za to firma Focus, która teoretycznie dokonała due diligence, czyli dokładniejszego sprawdzenia źródeł finansowania firmy i twierdzi, że gdyby było ono bardzo niejasne bądź
2718:  GW - podejrzane, to by nie podjęła się wydawania.
2721:  GW - I tutaj ja jakby nie podzielam tego zdania patrząc na to, kto bezpośrednio jest związany z firmą i tutaj wiele osób dokonało całkiem solidnego researchu, więc reasumując, moim zdaniem
2738:  GW - Ja nie mam za złe tutaj, w życiu bym nie oczerniał w żaden sposób deweloperów za to, co robią.
2745:  GW - Gra jest oceniana według zachodnich recenzentów całkiem nieźle.
2750:  GW - Natomiast ja osobiście właśnie ze względów na to, że prawdopodobnie dochody z gry mogą jakoś wspierać rząd rosyjski, no to nie zagram po prostu w ten tytuł.
2761:  GW - ale nie będę nakazywał tego nikomu w tym zakresie i ponadto tutaj jeżeli chodzi o sam zasięg kontrowersji, dlaczego jest mniejszy niż w przypadku Hogwarts Legacy, to już swego czasu...
2777:  GW - Rysław podsunął w sumie bardzo słuszną argumentację, która też wydaje mi się, że rezonuje generalnie w różnych działach z zakresu socjologii, że pewne sprawy dla pewnych grup są bardziej odległe, bo po prostu są fizycznie dalej.
2796:  GW - I dla nas osobiście, z racji tego, że tę wojnę mamy dosłownie po sąsiedzku, ten temat jest znacznie bliższy w ogóle dla krajów bałtyckich, dlatego też nie tylko w polskich mediach, ale i na Litwie, Łotwie, Estonii, no to też tam ludzie wyrażają się jasno, nie kupujcie tej gry, bojkot i w ogóle, ale już na przykład dla ludzi właśnie we Francji, w Stanach Zjednoczonych sprawa jest na tyle odległa, że wiele osób powie,
2827:  KMM - No bo... Tylko, że tutaj mamy jedną zasadniczą różnicę jednak, rzekłbym.
2831:  KMM - Po pierwsze, zresztą tak swoją drogą, mój Twitter 15 stycznia 2023, ważna nitka, dokumenty dotyczące właśnie sposobu finansowania, dziwnej daty premiery gry na ogłoszenie Republiki Donbaskiej, niepodległą i tego typu rzeczy, zgromadzona nitka i mój komentarz, to przesądza sprawę, moich dywowie pieniędzy nie zobaczą za Atomic Arts.
2854:  KMM - Nie narzucam,
2855:  KMM - nie ewangelizuje, informuje o swojej decyzji i jeżeli ludzie, którzy przeczytają tę nitkę, zobaczą argumenty przytoczone tam, zadecydują, okej, myślę tak, Krzysztof, to moim zdaniem to jest...
2871:  KMM - jeden ze sposobów, na który można realizować bojkot konsumencki z wykorzystaniem większych zasięgów, jeśli się je ma.
2877:  KMM - Podejmij decyzję przeczytawszy wszystkie dokumenty.
2879:  KMM - Natomiast jest kluczowa różnica między tymi grami.
2882:  KMM - Atomic Hearts jest grą alternatywną i historyczną o czasach imperializmu sowieckiego.
2889:  KMM - No przecież w związku z powyższym, jeżeli do tego dołożymy tematykę gry, to teraz ja się nie dziwię, że nikt w Polsce czy na ścianie wschodniej
2898:  KMM - Nie utożsamia się specjalnie z sowieckim imperializmem, nawet jeżeli jest to fantastyka.
2903:  KMM - Ja na przykład od lat mam problem z czytaniem polskiej literatury i mówię o tym bardzo powszechnie, ale moje zdanie się kompletnie nie liczy, bo rosyjska literatura jest na listach lektur.
2913:  KMM - W związku z powyższym, to co mogę jedynie w tej konkretnej sytuacji powiedzieć, to macie sytuację taką, że jest deweloper, który jest shady, słusznie Grzegorz powiedział, im bliżej jesteś tematu, tym bardziej jesteś wrażliwy, tak?
2925:  KMM - Osoby trans, osoby, które są transaktywistami i zajmują się prawami osób trans, siłą rzeczy będą na sprawę z Hogwarts Legacy patrzeć inaczej i należy to uszanować.
2935:  KMM - Tak samo jak należy uszanować ludzi, którzy są bliżej ściany wschodniej i kontaktów z ZSRR-em, który został wskrzeszony jak jakiś truposz,
2943:  KMM - przez Putlera i w związku z powyższym nie chcą grać w tę grę.
2947:  KMM - Natomiast jest kluczowa różnica.
2949:  KMM - Hogwatch Legacy nie jest grą o transfobii, a Atomic Heart jest grą o imperialistycznych zakłócach Imperium Sowieckiego.
2956:  BFP - Tu byłbym ostrożny, bo ja bym nie łączył, już oddaję głos tobie, Oskar, ale nie łączyłbym tego tak bardzo z zawartością gry.
2963:  BFP - Grzegorz wprowadził to kryterium geograficzne, że im dalej od naszej granicy, im dalej od Rosji, im dalej od Ukrainy, tym bojkot tego jest mniejszy.
2972:  BFP - Ja bym wprowadził jeszcze jedno rozróżnienie, które dla mnie osobiście jest, nie chcę powiedzieć przykre, ale przygnębiające.
2981:  BFP - Rozróżnienie sfery.
2982:  BFP - Okazuje się, że sfera obyczajowa jest w stanie wywołać znacznie większy, szerszy, powszechniejszy bojkot na całym świecie niż sfera wojny.
2991:  BFP - Bo tutaj my nie mówimy o tym, że oni są powiązani z Kremlem słabo albo z oligarchami rosyjskimi.
2997:  BFP - Nie, my mówimy o sytuacji, w której pieniądze rosyjskie idą na finansowanie inwazji na inny kraj.
3003:  BFP - I to wzbudza mniejsze kontrowersje, bo znacznie mniejsza jest oburzenie Atomic Heart na świecie niż Hogwarts Legacy.
3011:  BFP - I okazuje się, że to nie jest... Słusznie powiedziałeś, Krzysztof, że kwestie, które są nam bliskie, bardziej nas poruszają.
3017:  BFP - Ale to nie jest tak, że środowisko osób transpłciowych zrobiło taki bojkot.
3020:  BFP - Bo już zgodziliśmy się, że jest masa innych osób spoza społeczności LGBT, która do niego dołączyła.
3026:  BFP - I tak jak powiedział Oskar, dlatego, że to było łatwe.
3028:  BFP - I dziwi mnie, dlaczego coś, co... Ponownie,
3031:  BFP - Pewne rudymentarne sfery, co do których możemy się zgodzić na pewno.
3035:  BFP - Mam wrażenie, że wojna boli ludzi bardziej niż wiele kwestii obyczajowych.
3040:  BFP - I to mnie dziwi, że jest taka dysproporcja w reakcji na te tematy, pomimo że kontekst jest tak znaczący.
3047:  BFP - Oskar, oddaję Ci głos.
3049:  OR - Tylko odległość geograficzna to jedno.
3053:  OR - Ja na to zawsze patrzyłem w inny, prosty sposób.
3056:  OR - jak popularny jest świat Harry'ego Pottera.
3059:  OR - Skoro ja, osoba, którą kompletnie ominął przez tą osmozę popkulturową i tak wchłonąłem jakieś tam elementy, jak ktoś mi coś pokaże świata Harry'ego Pottera, to ja prawdopodobnie będę w stanie stwierdzić, że jest to coś ze świata Harry'ego Pottera, kompletnie nie interesując się tym medium.
3076:  OR - Więc jednocześnie sprawa jest dla mnie z porównania do Atomic Hearts prosta o tyle, że jedno to jest super popularna franczyza rozwijana, ile ma, 7-8 filmów, nie licząc tych zwierząt późniejszych jeszcze, licząc te trzy kolejne.
3094:  OR - Masę książek, które nie tylko były bestsellerami, ale jeszcze wychowywały kolejne pokolenia.
3101:  OR - Ja pamiętam w moim gimnazjum, jak ludzie zaczynali czytać Harry'ego Pottera,
3106:  OR - I do dzisiaj to jest żywy świat, żywa franczyza.
3109:  OR - W porównaniu do kolejnych jakichś sexy robotów, czy cokolwiek, androidów, cokolwiek było tam na okładkach Atomic Heart, jakby skala jest tak zupełnie inna, a jednocześnie jest o tyle smutne, że z jednej strony masz studio, które robi grę, której masz
3131:  OR - gdzieś w tle milionerkę.
3135:  OR - I twórczynię uniwersum, który i tak już został wykorzystany w każdym możliwym medium.
3139:  OR - Tak, którą można określić określeniem TERFy.
3142:  OR - No ale z drugiej strony masz coś takiego jak wojna, gdzie w jednej strony mówimy o kobiecie, która ma wszystkie pieniądze świata i dostaje kolejne pieniądze i
3158:  OR - nie wiem, coś z nimi zrobi, a z drugiej strony masz potencjalne pieniądze, które idą na kraj, który używa ich do zabijania ludzi, którzy są obok.
3169:  OR - I ta skala jest przerażająca właśnie dlatego, że mówię, bliskość geograficzna i tak dalej, zgodzę się, że to ma na pewno wpływ, ale mnie boli to, że właśnie jeżeli będę krzyczał, że Hogwarts Legacy jest, każdy kto gra w Hogwarts Legacy jest transfobem,
