Dlaczego Uciekamy do Innych Światów? | ESKAPIZM
🔗 https://www.youtube.com/watch?v=4x794OViL7I
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)

20:  BFP - Fikcja i fantazja.
1533:  BFP - Tam były elementy steampunkowe, to była jedna z naprawdę pierwszych rzeczy w popkulturze, która miała elementy steampunku.
1540:  BFP - Musieliśmy czekać długo na ludzi, którzy pochodzą ze studia, które tworzyło tę grę, czyli Looking Glass Studios, żeby stworzyli coś innego, ale podobnego i równie wybitnego i to było Dishonored.
1551:  BFP - Światotwórczo to też po prostu zniszczyło, bo wtedy zrobili Whale Punk.
1555:  BFP - Dominiko?
1557:  DS - Wiesz co, moje życie bardzo długo, przynajmniej wtedy się tak wydawało, że bardzo długo, gdzieś to liceum, było strasznie nudne.
1566:  DS - W sensie, polegało na tym, że szłam do szkoły, po szkole szybko trzeba było przepakować plecaczek i iść do szkoły muzycznej, a po szkole muzycznej albo na korepetycje, albo na takie jakieś zajęcia korekcyjno-ruchowe, na które mnie mama zapisała, żebym była zdrowa.
1581:  DS - I tak upływał cały dzień, potem trzeba było zrobić zadania domowe, a potem następnego dnia to samo.
1587:  DS - No i w niedzielę na obiad do rodziny i tak dalej, i tak dalej.
1591:  DS - Więc było tam naprawdę mało wolnego czasu, którym można było przeznaczyć na coś, co się lubi.
1596:  DS - Więc ja bardzo szybko odkryłam, że te książki pozwalają mi gdzieś tam pomiędzy
1603:  DS - wepchnąć po prostu trochę przygody, gdzie dzieje się coś ekscytującego, gdzie, nie wiem, jadąc tramwajem z zajęcia na zajęcia, mogę właśnie przeżyć jakąś przygodę, gdzie na przerwie pomiędzy lekcjami, między jednym nudnym gadaniem nauczyciela, a drugim nudnym gadaniem nauczyciela, mogę przez 10 minut przeczytać kolejny kawałek, nie wiem, Bitwy Czarodziejów na przykład, prawda?
1627:  DS - Więc to ubarwniało trochę ten codzienny świat.
1630:  DS - No i nie oszukujmy się, też potem na lekcji, jak był jakiś wyjątkowo nudny kawałek, który mnie akurat nie interesował lekcji, no to człowiek niby słuchał nauczyciela, kiwał głową, coś tam zapisywał w zeszycie, ale z tyłu głowy po prostu widzisz oczami wyobraźni to wszystko, co się przed chwilą działo i zastanawiasz się, czy ten wygra, czy ten wygra, czy może te dwie osoby w końcu ze sobą porozmawiają, może popadną w konflikt i co tam się jeszcze może wydarzyć.
1655:  DS - Więc to jest jedna bardzo ważna dla mnie rzecz, która bardzo mi nie ukrywam też pomogła po prostu przeżyć te wszystkie ciężkie lata szkoły, że tak sobie powiemy.
1667:  DS - No i właśnie od wszelakich problemów, jakby znajdowałam się w jakiejś sytuacji, w której się nie czułam niekomfortowo czy coś, no to można było uciec sobie do tego świata książek.
1674:  DS - ale też po prostu bardzo mocno to rozbudziło moją kreatywność.
1678:  DS - Tutaj też tak jak Jaga, oczywiście zainspirowało mnie to do pisania swoich własnych historii, które na początku albo działy się w tym świecie, albo były bardzo podobne, a potem już w którymś momencie stworzyłam sobie swój własny świat ze swoimi bohaterami, gdzie po prostu mogłam przeżywać ich własne przygody.
1694:  DS - czy tam nawet na lekcji sobie coś tam pisać w zeszycie, co nie było zapisywaniem lekcji.
1699:  DS - Ale też na przykład, co prawda rysować nie umiałam nigdy, więc nawet nie oszukiwałam się, że będę potrafić, ale to, co ja na przykład robiłam, to jak miałam zeszyt do szkoły, no i te zeszyty oczywiście kupowały się na początku roku szkolnego, a potem jak się jakiś skończył, to prawda, trzeba było odłożyć stary na półeczkę, wziąć nowy, to ja nie miałam zwykłych zeszytów, ja brałam zeszyty,
1720:  DS - Po czym przeszukiwałam internet w poszukiwaniu różnych super inspirujących mnie obrazków pochodzących właśnie z tych przeczytanych książek.
1728:  DS - Czasem przy okazji się trafiło też coś innego.
1730:  DS - Drukowałam to sobie na drukarce czarno-białej, bo akurat moi rodzice nie mieli kolorowej, ale to mi nie przeszkadzało, więc drukowałam sobie te obrazki.
1737:  DS - Potem wycinałam je sobie i robiłam z nich taką mozaikę.
1741:  DS - Układałam sobie jeden obok drugiego, żeby mi tak idealnie wypełniły ten zeszyt, a potem to wszystko obklejałam taśmą klejącą, żeby jak wrzucę do plecaka, nie pościerało i żeby nie wyblakło.
1752:  DS - i takie zeszyty po prostu nosiłam do szkoły.
1754:  DS - I to w ogóle też fajnie na mnie działało, bo tutaj macie ten nudny podręcznik do czegoś, a na to sobie kładziecie ten zeszyt i te książki, i ci bohaterowie, i te przygody wam towarzyszą.
1766:  DS - Więc myślę, że właśnie ta kreatywność, którą mam do dziś, się gdzieś tam zapoczątkowała właśnie przez to.
1774:  JM - Kto czytał pod ławką książki fantasy?
1777:  DS - No oczywiście, tylko to był taki problem, że one, jak nie było czytników, to były często grube, więc trudno to było tak zrobić w niepostrzeżenie.
1785:  KMM - No trzeba było usiąść z tyłu, to jakoś... Tak, te książki są bardzo grube i dlatego krytycy literatcy mainstreamowi ich nie czytają.
1792:  KMM - Znaczy nie, nie, czytają ich dlatego, że oni czytają wyłącznie wybitną literaturę.
1795:  KMM - Tak, tak, tak, właśnie dlatego ich nie czytają.
1799:  BFP - To ja mam w takim razie, bo tobie chciałbym dać zaraz, Krzysztof, głos na dłużej, zadając pewne prowokacyjne pytanie, ale jakby to, co powiedziała Dominika, uruchomiło kaskadę moich wspomnień a propos właśnie tego przetrwania szkoły.
1814:  BFP - W sensie, ja wiem, że ja tutaj...
1817:  BFP - prawie kazania do chóru, ale ja nie mogłem z niej szkoły.
1821:  BFP - W sensie naprawdę szkoła dla mnie zawsze była nieprzyjemna.
1824:  BFP - Nie było rzeczy raczej w szkole może poza... To będzie zabawa.
1829:  BFP - Poza WF-em.
1832:  BFP - Poza WF-em i długimi przerwami.
1834:  BFP - To w zasadzie nie było dla mnie... Krzysztof opuścił lokal.
1840:  BFP - Nie było dla mnie jakichś specjalnie przyjemnych rzeczy.
1844:  BFP - Tak naprawdę Krzysztof...
1845:  BFP - Już nie, chciałem coś brzydkiego powiedzieć.
1848:  BFP - Plastyka to była dla mnie masakra.
1850:  BFP - Plastyka to ja musiałem załatwiać sobie znajomych, żeby rysowali za mnie albo lepili rzeczy z plasteliny.
1858:  DS - Bardzo długo było tak, że cokolwiek nie ulepiłeś, to dostawałeś piątkę, żeby ci nie było przykro i żeby nie zabić twojego talentu artystycznego.
1863:  BFP - Pewnie tak.
1865:  BFP - Natomiast dla mnie rytuałem takim, jak chodziłem do szkoły, już zacząłem chodzić do szkoły, to było
1870:  BFP - naprawdę co poniedziałek pierwszy każdego miesiąca zasuwałem do kiosku i patrzyłem, bo to nie były jeszcze salony prasowe, to były kioski ruchu, te budki takie metalowo szybkowane z kratami, gdzie można było tam podejrzeć co tam jest.
1887:  BFP - I Pani Cher, Spawn, to już później 97, Batman, Superman, Spiderman, X-Men, Mega Marvel, wydania specjalne DC, ja tym żyłem.
1898:  BFP - Spawn był po polsku?
1900:  DS - Spawn do listy, żeby było coś polskiego.
1901:  BFP - Ale oczywiście, to były wydania TM Semic.
1904:  BFP - A jeszcze które, doliczyć?
1907:  DS - A niektórzy Winx czytali, ale ja czytałem Winx.
1908:  BFP - Ale to później, to później.
1910:  BFP - Winx, wszystko.
1910:  BFP - Wtedy jeszcze wychodził Kaczor Donald i Gigantyk, które wkręcały mi się tak samo jak Batman i Superman.
1915:  BFP - I zawsze jak pani mówiła, które podać?
1917:  BFP - Ja mówiłem, pff, wszystkie, no jak które podać?
1920:  BFP - I ja brałem je wszystkie i ładowałem je do plecaka i ja po prostu siedziałem i czekałem, aż będzie świetlica albo przerwa, żebym mógł to czytać.
1928:  BFP - I dlatego ta świetlica wraca.
1929:  BFP - A kiedy nie mogłem tego robić, bo czekałem, aż wyjdą, to siedziałem i przez cały czas w szkole myślałem,
1935:  BFP - co będzie w kolejnym numerze, bo wtedy nie było internetu, gdzie można by podejrzeć, co będzie dalej, tylko zapowiedź na samym końcu numeru, co będzie w kolejnym numerze.
1942:  DS - Jeszcze kurczę, jak ominąłeś jakiś numer, no to nie miałeś, nie?
1945:  BFP - O Jezu, to w ogóle, jeżeli chodzi o ciągłość i tak dalej, to masakra.
1949:  BFP - Każdy numer kończył się ulubionym Krzysztofowym ciąg dalszy nastąpi.
1956:  BFP - To nie był odgłos ekstazy, żeby była jasność.
1960:  BFP - I to naprawdę rozpalało moją wyobraźnię.
1963:  BFP - Ale jeszcze taka jedna rzecz, bo jeszcze właśnie ta druga myśl, którą wrzuciła mi Dominika do mojej głowy, to jest ta kreatywność.
1970:  BFP - Taki moment, gdzie przekroczyłem pewną granicę między konsumentem a twórcą treści, to był moment... Stara dupa były.
1979:  BFP - To był jak wyszedł Warcraft 3 Reign of Chaos.
1983:  BFP - Bo wiecie, ta gra i ten świat ma taki lore.
1986:  BFP - Ma tak fascynujące rasy, światy, że ja zacząłem tworzyć fanfiction.
1991:  BFP - To znaczy ja brałem zeszyt i tworzyłem fanfiction, ale nie opowiadałem historii.
1994:  BFP - Ja tworzyłem nowe jednostki.
1996:  BFP - Ja tworzyłem nowe rasy.
1997:  BFP - Ja spełniałem marzenia Krzysztofa o tym, jak powinno wyglądać światotwórstwo.
2001:  BFP - Ja tworzyłem nowe regiony tego świata.
2004:  BFP - A potem wyszedł World of Warcraft i wszystko spieprzył.
2007:  BFP - I okazało się, że cała moja praca w piach, bo w sumie to mają od tego ludzi, którzy zarabiają miliony dolarów.
2013:  BFP - W każdym razie, Krzysztofie, chyba, że będziesz miał jeszcze do zrzucenia tu jakąś myśl, to zapraszam, ale ja chcę Cię skonfrontować z pytaniem, z którym Ty się konfrontujesz na vlogu tydzień do tygodnia, dzień do dnia.
2026:  BFP - To są rzeczy, które dawały nam wtedy przyjemność.
2028:  BFP - Powiedzieliśmy, że byliśmy znacznie młodsi, ale my to kochamy dalej.
2032:  BFP - A wiele osób patrzy na nas z poczuciem wyższości.
2035:  BFP - Dlaczego wy sobie to robicie?
2036:  BFP - Dlaczego wy marnujecie czas?
2038:  BFP - Po co wy czytacie komiksy?
2039:  BFP - Po co wy gracie w gry?
2041:  BFP - Dlaczego to robimy?
2042:  BFP - I dlaczego walczymy o dobre imię tego?
2047:  KMM - Tak, smutno się zrobiło i to ja jeszcze szybko dodam, że też czytałem Giganty i też to było w świetlicy, ale to było dlatego, że nie miałem alternatyw.
2054:  KMM - Więc to była jedna jedyna rzecz, która była tam dostępna i która nie była lekturą szkolną, więc się wiedziałem okej i w ten sposób pokochałem Sknerusa Makkwacza.
2063:  KMM - Ja też, to jest najlepsza postać.
2065:  KMM - Prawda?
2066:  KMM - Absolutnie.
2067:  KMM - Najbardziej ironiczny z nich wszystkich, sarkastyczny.
2069:  KMM - Natomiast jeśli chodzi o ten problem, o którym mówisz, to ja się z tym spotkałem w wersji bardziej mrocznej.
2077:  KMM - To znaczy, ja się spotkałem z, no osobliwie niestety, niektórymi przedstawicielami nauk technicznych po 50-60, którzy mówili, i to mówili do mojej mamy, co ty robisz?
2088:  KMM - Już ty marnujesz czas, po co ci czytać tego Balzaka?
2090:  KMM - To głupoty są jakieś.
2092:  KMM - Po co, po co ty w ogóle chodzisz do kina?
2093:  KMM - Przecież artykuł trzeba napisać, Grands War.
2096:  KMM - Po co to robisz?
2097:  KMM - Są ludzie i są to intelektualiści w Polsce i podejrzewam, że do dziś, którzy w ogóle uważają, że jakakolwiek kultura i oddawanie się jej, to jest strata czasu.
2106:  KMM - I potem schodzi to level niżej, nie?
2109:  KMM - A w tym krajobrazie znajdują się ludzie, którzy potrafią powiedzieć komuś, że ten wycinek kultury, którym on się zajmuje jest mniej godny uwagi.
2118:  KMM - A w obrębie tego fandomu czy tej grupy znajdują się osoby, które powiedzą, nie, nie, nie, to jest jeszcze gorsze.
2125:  KMM - I w ten sposób okazuje się, że wszyscy trochę jesteśmy adwokatami diabła.
2129:  KMM - I wszyscy trochę mamy syndrom sztokolski, a tymczasem powinniśmy zaakceptować fakt, że kultura jest cała, holistyczna i są różne jej przejawy, które są dobre, złe.
2138:  KMM - Ja na przykład bardzo często jestem niezrozumiały, niezrozumiany w tym zakresie, niezrozumiały to też swoją drogą, ale to w moich tekstach naukowych, niezrozumiany jestem w zakresie mojej krytyki wobec wysuwanych na piedestały twórców klasyki, twórców kanonicznych, noblistów i tak dalej, podczas gdy ja to robię wyłącznie dlatego, że ludzie ich analizujący,
2159:  KMM - całkowicie negują istnienie kultury, którą moglibyśmy nazwać popularną, współczesną, jakąkolwiek inną.
2166:  KMM - I to nie jest tak, że oni jej nie analizują, oni ją negują.
2169:  KMM - I mam bardzo szybki, aktualny przykład, który naświetliła Paulina Małochleb swoją drogą, niedawno na łamach Gazety Wyborczej.
2176:  KMM - Mianowicie powiedziała, przestańcie wreszcie jeździć po literaturze Young Adult, ponieważ na targach książki największe kolejki były do ludzi, którzy tworzą literaturę Young Adult.
2187:  KMM - A wy, i zwracając się tutaj do krytyków literackich, mówicie, że to jest prymitywne, że to jest głupie, że to jest dla dzieciaków, że to nie jest wartościowe, że lepiej lekturę, więc ja myślę, że to jest o wiele bardziej problematyczne, to znaczy eskapizm jest traktowany jako robienie wszystkiego tego, za co nie dostajemy pieniędzy w korpo.
2206:  KMM - i co nie wytwarza jakiejś wartości, jakiegoś kapitału konkretnego.
2210:  KMM - A tymczasem jest bardzo dużo pracy i nie chcę teraz odwoływać się do książki Bullshit Jobs, która też nie wytwarza żadnego kapitału, a jednak nie mówimy o niej w ten sposób.
2221:  KMM - Więc ewidentnie jest taki problem w niektórych z nas, że nie potrafimy zaakceptować faktu, że ta część naszej egzystencji jest ważna.
2228:  KMM - Może dlatego, że nie zastanowiliśmy się nigdy nad antropologią kultury i tym, że człowiek zawsze był zwierzęciem opowiadającym sobie historię.
2236:  KMM - Myśmy to zawsze robili.
2237:  KMM - Niezależnie od tego, czy mowa o dwóch neandertalach, z których jeden mówi, że upolował bilsze zwierzę od drugiego, czy mówimy o bardziej skomplikowanych historiach, czy mówimy wreszcie o tych historiach, które u nas zyskały największą renomę, a tych mianowicie, które arystokraci XVIII-wieczni we Francji nazwali ad usum delfini, dla pożytku księcia czy dla pożytku delfina opowiadane, więc wiecie, pożyteczne, uczą i bawią i bardzo często przez to
2261:  KMM - The things we do for pop culture.
2290:  BFP - Oddając głos już wam, Jaga i Dominika, ja tylko zaznaczę, ja szczęśliwie raczej nie spotykałem się z taką stygmatyzacją, chociaż raczej się zaczęło to dziać, w jakimś stopniu, kiedy faktycznie sięgnąłem po gry i siedziałem przy komputerze, no bo wiadomo, jak siedzisz długo przy komputerze, to ci wypali oczy w końcu.
2310:  DS - No i klawiaturę rodzicom wystukasz i będą gorzej klawisze działać.
2315:  BFP - Sąsiedzi mogą spać od stukania w klawiaturę.
2318:  BFP - Ale zawsze się zastanawiałem, jak łatwo, nawet nie zastanawiałem, nie miałem okazji tego zastosować nigdy w praktyce, ale z przyjemnością bym to zrobił.
2325:  BFP - Teraz już jestem za stary, żeby to zrobić, bo nikt mi nie wytknie tego.
2329:  BFP - Ale ludzie, którzy wytykają młodym ludziom, że marnują swój czas czytając komiksy, czy malując figurki z Warhammera, uśmiech w stronę Krzysztofa,
2341:  BFP - To są ci sami ludzie, którzy wstają o godzinie 5 z termosem, jadą o 6 nad staw czy nad zalew i łowią ryby i wędkują przez 8 godzin po to, żeby złowioną rybę wypuścić z powrotem.
2355:  DS - Co nie znaczy, że wszyscy wędkarze tak mówią.
2360:  BFP - Tak, tak, pozdrawiamy wszystkich wędkarzy, żeby nie było, że tutaj szkaluje.
2365:  BFP - To jest ten stream, na którym szkaluje się wędkarzy i grzybiarzy, także pozdrawiamy wszystkich.
2371:  JM - Generalnie chodzi o ludzi, którzy mają swoją jakąś tam sposób, który inni uznaliby za marnowanie czasu.
2378:  JM - Każdy w jakiś sposób marnuje czas według kogoś.
2381:  BFP - Tak, ale to już jak jesteś przy głosie, to ad vocem.
2386:  BFP - Dlaczego broniłabyś i może nawet nie broniła, dlaczego ty z pewnością zawsze będziesz znajdowała w swoim życiu przestrzeń na fikcję, na popkulturę i na fantazję?
2399:  JM - Ja może trochę się cofnę jakby w tych rozważaniach, dlatego że nawiązując jeszcze do tego, co na przykład w moim przypadku się działo za czasów szkolnych, tylko już takich właśnie trochę późniejszych, powiedzmy, że gdzieś tam delikatnie przed gimnazjum się to zaczęło.
2414:  JM - to nie wiem jak wy, ale ja należałam do tych ludzi, którzy w klasie nie byli lubiani.
2421:  JM - W sensie śmiano się ze mnie i tak różnie tam nieprzyjemnie się działo w związku z tym.
2426:  JM - Znaczy może nawet nie to, że śmiano, ale wiesz, wiecie, ta ostatnia osoba, która na WF-ie zostaje wybrana do wszystkiego, nie dlatego...
2435:  JM - Nie dlatego, że jest nie wysportowana, tylko dlatego, że niespecjalnie Cię lubią.
2442:  JM - Także dla mnie w ogóle zagłębianie się w tę fantastykę było takim sposobem na to, żeby po prostu nie czuć się samotnym, żeby móc w jakiś sposób
2454:  JM - wchodzić w relacje, w interakcje z bohaterami, o których się czyta, czy którymi się gra za sprawą gier komputerowych.
2461:  JM - Więc myślę, że naprawdę sporo osób, które mają różne takie problemy relacyjne w czasach szkolnych, podobnie znajdują sobie przestrzenie, w których mogą w jakiś sposób się czuć lepiej albo zapomnieć się i nie musieć cały czas wisieć w tej przestrzeni, w tej rzeczywistości, która jest dla nich trudna,
2482:  JM - I ja uważam, że właśnie w tym kontekście fantastyka czy w ogóle jakieś takie immersyjne opowieści są zbawienne dla niektórych, bo po prostu pomagają im te najtrudniejsze czasy przetrwać.
2496:  JM - Wiadomo, że jakby to nie rozwiąże ich problemów, ale być może da im takie odsapnięcie na tyle efektywne, żeby nie wpadli w jakieś ciężkie emocjonalne stany.
2510:  JM - W związku z tym myślę sobie, że tak, że eskapizm jest ważny, fantazja jest ważna, opowieści są ważne, bo dzięki temu mogą komuś pomóc.
2518:  JM - Zresztą jest cała masa komentarzy, jak się, nie wiem, czyta gdzieś na internecie, czy na Instagramach twórców właśnie na przykład literatury, gdzie ludzie im piszą, że twoja książka pomogła mi przetrwać, nie wiem, jakąś ciężką chorobę, całą serię tam, nie wiem, twoich kryminałów przeczytałem w trakcie, nie wiem, leżenia w szpitalu.
2539:  JM - Także ja uważam, że to jest gigantyczna wartość, że tego typu takie opowieści, w które można się zanurzyć, potrafią komuś bardzo, bardzo pomóc.
2548:  JM - A już samo to zasługuje właśnie na, wiecie, na Szapoba, w ogóle Szewskis, wszystko.
2554:  JM - Dlatego myślę, że ja osobiście też nigdy nie zrezygnuję z czytania tego typu książek.
2561:  JM - Zawsze będę szukać, chociaż muszę przyznać, że coraz trudniej mi znaleźć takie serie na przykład, które naprawdę mnie tak chwycą za gardło i
2568:  JM - nie pozwolą odejść do momentu, w którym skończę czytać.
2574:  JM - To mi pokazuje, że to takie będzie.
2577:  JM - Krzysztof, schowaj to.
2578:  KMM - Przysięgam, to jest coś, o czym dręczę czerwia od dłuższego czasu.
2585:  KMM - Bardzo dobra rzecz, czarny pryzmat.
2588:  KMM - Trzeba czytać.
2590:  KMM - Ile to stron ma?
2591:  KMM - Osiemset?
2592:  KMM - Nie, no to tylko pierwszy tom ma osiemset.
2593:  KMM - Na szczęście kolejne mają więcej.
2596:  KMM - Po tysiąc dziewięćset i jest ich sześć.
2600:  KMM - No to naprawdę.
2601:  KMM - To jest dobra wiadomość, aby było mało.
2603:  KMM - Wszystkie są już po polsku?
2604:  KMM - Tak.
2605:  BFP - Pozwólcie dokończyć, proszę, jadzę myśli.
2609:  JM - Właściwie już się, wiecie, zbliżałam do brzegu, że nie przestanę szukać i czytać takich rzeczy, jeżeli już na nie natrafię, ponieważ one pozwalają odsapnąć od rzeczywistości.
2623:  JM - Nawet jeśli ma się mały problem, to i tak, i tak warto sobie poczekać, aż on się tak ułoży na spokojnie, a to się nie stanie, dopóki się nie oderwie od niego myśli.
2636:  BFP - Aż kusi mnie, żeby dodać coś i chyba dodam, ale najpierw proszę ciebie, Dominiko, o twoje przemyślenia.
2642:  DS - Wiesz co, pytałeś, czemu my w ogóle prowadzimy te nasze vlogi właśnie o fantastyce.
2651:  DS - I ja w ogóle miałam szczęście.
2654:  DS - Zupełnie inaczej niż w sytuacji Krzysztofa.
2657:  DS - U mnie wszyscy czytali książki.
2659:  DS - Niektórzy oczywiście czytali sobie tam może bardziej jakieś
2663:  DS - obyczajowe czy kryminały czy coś, ale faktycznie też dużo członków mojej rodziny czytało fantastykę, taką czy inną, jakieś ciocie, wujkowie, kuzynki, więc można się w ogóle było wymieniać książkami, to było fajne.
2676:  DS - Więc ja bardzo długo żyłam w przekonaniu,
2681:  DS - że ludzie nie czytają fantastyki, bo po prostu na nią nigdy nie trafili.
2686:  DS - Albo nawet zobaczyli ją gdzieś w księgarni, ale to była osobna półka.
2690:  DS - Oni zawsze kupują na tej półce, to jest ich półka na przykład kryminały, więc po prostu ich nie ciągnie, żeby pójść i wziąć coś z tamtej półki.
2699:  DS - Więc ja tak trochę, ja wiem, że to nie do końca tak jest, ale to tak emocjonalnie we mnie zostało, że ja na przykład chcę robić ten kanał, żeby pokazać ludziom, że są takie wspaniałe historie, że są takie wspaniałe filmy, są takie wspaniałe książki, że oni usłyszą tą recenzję czy tą jakąś zapowiedź czy coś, co zupełnie nie będzie czarnym pryzmatem, tylko jakąś zupełnie inną książką i oni wtedy stwierdzą,
2722:  DS - Kurczę, to brzmi ciekawie.
2724:  DS - Nie czytałem nigdy czegoś takiego, ale spróbuję.
2726:  DS - I że jak już ktoś raz spróbuje, to że się po prostu wciągnie w ten gatunek i że mu się to spodoba.
2733:  DS - To jest jedna rzecz, którą chciałam powiedzieć.
2734:  DS - I chciałam coś jeszcze powiedzieć a propos tego, co mówiła Jaga.
2737:  DS - Tylko co to było?
2737:  DS - Kurczę, teraz mi wyleciało z głowy.
2740:  DS - O czym ty mówiłaś przed chwilą?
2743:  DS - O tym, że pomaga przetrwać problemy.
2745:  DS - To Filip, ty powiedz to, co ty chciałeś powiedzieć.
2747:  DS - Możemy się przypomnieć.
2748:  BFP - Jasne.
2750:  BFP - Ja chciałem na piedestał wynieść jeszcze medium albo formę kultury, która w ogóle nie wybrzmiała w naszej dyskusji, ale pojawiła się na krótko na czacie, bo każdy z nas dotykało gier, filmów, książek, seriali, nawet trochę zabawek, ale nie było miejsca dla muzyki.
2775:  BFP - I rzeczywiście, gdy mowa o tym, co powiedziałaś Jaga, czyli że są ludzie, którzy piszą do autorów, twoja książka, ta historia pomogła mi zrozumieć pewne rzeczy, albo pomogła mi się odnaleźć, albo pomogła mi w trudnym momencie mojego życia.
2789:  BFP - Jak często słyszą to artyści muzyczni i jaką również formą eskapizmu albo też ulgi jest pewna empatyzacja, czy też...
2800:  BFP - tą przyjemność, jaką czerpiemy z poczucia, że ktoś poczuł to, co my, albo ktoś zaraził nas swoimi emocjami, czy może przez osmozę muzycznie przeniknęły do nas te emocje i my mówimy, przecież to są moje emocje, przecież ja tak myślę, ja tak czuję, tylko ja nie umiałem tego wyrazić, artysta to zrobił.
2817:  BFP - I muzyka ma też tę przewagę nad innymi obszarami kultury, że bardzo często muzyka
2824:  BFP - Nie w każdym przypadku, ale jednak może mieć największą rotację.
2829:  BFP - Weźmiemy sobie jeden kawałek, możemy go słuchać w nieskończoność.
2832:  BFP - Z książką jasne, możemy do niej wracać, ale nie będziemy jej czytali na okrągło.
2836:  BFP - Ale muzyka może być jakiś jeden utwór i po prostu robimy przy nim absolutnie wszystko.
2841:  BFP - A więc te emocje w nas są wywoływane, powiedziałbym, w czasie rzeczywistym i to jeszcze w kontekście innych czynności.
2849:  BFP - Tego, że jeździmy na rowerze, tego, że idziemy do pracy, tego, że właśnie pracujemy, czy cierpimy i leżymy w łóżku i...
2859:  BFP - Dla mnie osobiście, jak zwykłem mówić, że bez trzech rzeczy nie jestem w stanie żyć.
2865:  BFP - Gry, internet, jestem w stanie bez tego przeżyć, ale nie jestem w stanie przeżyć bez roweru, nie jestem w stanie przeżyć bez muzyki i nie jestem w stanie przeżyć bez ogórków kiszonych, co też wczoraj potwierdziłem na streamie z Dark Souls 2, gdzie wreszcie pokonałem cholernego bossa, zjadłem trzy ogórki kiszone, okazało się, że są za słone i były niedobre.
2882:  JM - To może spróbuj małosolne, one nie są takie słone.
2884:  BFP - Mało solne są podobno mało słone i zawsze mi nie smakują, bo są za słone.
2888:  BFP - Więc naprawdę muszę iść do łokiku.
2892:  BFP - Zamierzam iść do łokiku i złożyć jakąś sprawę o to, że jest fałszywa reklama.
2897:  BFP - Zostałem wprowadzony w błąd.
2898:  JM - Ale przynieś ogórę na dowód.
2900:  BFP - Tak, przynoszę wszystkie ogórki, jakie znajdę na rynku i powiem, one wcale nie są małosolne do jasnej cholery.
2905:  BFP - Ile mogę wygrać?
2906:  BFP - W każdym razie, tylko robię shoutout dla muzyki i rzeczywiście myślę, że jest więcej osób, już nawet widzę tutaj na czacie osoby, które mówią, że muzyka jak najbardziej może być też formą eskapizmu.
2921:  BFP - Ale Dominiko, może ty sobie przypomniałaś, co chciałaś powiedzieć?
2924:  DS - Nie, ale jak sobie przypomnę, to wtedy powiem.
2926:  KMM - Ja wrzucę do tematu muzycznego, bo Filip mnie o to nie podejrzewa.
2930:  KMM - Mianowicie dla mnie muzyka zawsze miała zupełnie inne, ale również szczególne miejsce, z tego względu, że ja ją w pewnym sensie, znaczy nie chcę powiedzieć tworzyłem, ale raczej odtwarzałem, ponieważ długie lata swojego życia uczyłem się gry na fortepianie i ja miałem swój sposób na przeżywanie czy przepracowywanie traum szkolnych, mianowicie wracałem do domu,
2952:  KMM - Waliłem klapą fortepianu, znaczy w tym przypadku to była pianina, niestety nie stać było nas na fortepian.
2957:  KMM - To rodzina akademicka, a nie rodzina bonców biznesowych z lat 90., którzy się dorobili na transformacji.
2963:  KMM - W związku z powyższym waliłem tą klapą pianina i przez najbliższe półtorej godziny
2971:  KMM - Grałem.
2971:  KMM - I żeby było śmieszniej, tutaj wszyscy, którzy mnie znają ze streamów, na których popisuje się nieprawdopodobnym brakiem pamięci, wszystko trwało z pamięci.
2980:  KMM - Każdy utwór znałem na pamięć.
2982:  KMM - Nienawidziłem czytania nut do tego stopnia, że wystarczyło mi raz przeczytać partyturę, żeby od razu się nauczyć tego na pamięć i grałem potem z pamięci przez lata całe.
2992:  KMM - I w sumie mój repertuar na takim szczycie to było 3,5 godziny bite, więc jeżeli byłem naprawdę sfrustrowany, to jechałem 3,5 godziny.
3000:  KMM - Natomiast problem mój polegał na tym, że przez to, że byłem ograniczony nutami, a nigdy się nie nauczyłem grać ze słuchu, nigdy nie nauczyłem się improwizować, nie mogłem grać tej muzyki, którą kocham najbardziej.
3009:  KMM - No i szlak mnie trafiał.
3011:  KMM - Bo nie można było grać muzyki z gier, muzyki współczesnej, klasycznej, instrumentalnej i tak dalej.
3016:  DS - Teraz się to trochę pojawia, nie?
3017:  DS - Ale wtedy było o to ciężko.
3019:  KMM - Tak, teraz w necie bez żadnego problemu to ściągniemy.
3023:  KMM - No więc to był mój eskapizm muzyczny, taki faktycznie mocno tolkienowski, to znaczy eskapizm w wersji tolkienowskiej, zresztą Dominika użyła tego zwrotu, jest ucieczką do świata, nie ucieczką od problemów.
3035:  KMM - I ja faktycznie uciekałem do, żeby totalnie się odciąć, nie pamiętać o niczym i też z takiego poczucia najwyższego wstrętu wobec tego aspektu rzeczywistości, który mnie dotykał.
3044:  KMM - Natomiast przez to, że nigdy nie byłem tym dzieciakiem, którym nigdy nie było stać na Walkmana, w związku z powyższym ja nie słuchałem nigdy muzyki.
3052:  KMM - W takim stopniu, jakim wszyscy w latach 90. słuchali.
3055:  KMM - Więc mnie cała popkultura lat 90., 80. ominęła przez to muzyczna.
