Jak wygląda dojenie znanych marek - gościnnie Krzysztof M. Maj i Bez/SchematuBez/Schematu
🔗 https://www.youtube.com/watch?v=z2luWI23esY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
RP (Radosław Pisula, Full Frontal Pisula, Napisy Końcowe)
OR (Oskar Rogowski, Napisy Końcowe)

0:  OR - Hej, witajcie na Napisach Końcowych.
1443:  BFP - Marvel więcej filmów robi, więcej produkcji, ale tam są jacyś reżyserzy, którzy jakąś wizję mają.
1449:  BFP - Pojawia się taki Sam Raimi, pojawia się taki Taika Waititi, James Gunn, a tutaj po prostu taśmowo i to jest znacznie mniej
1457:  BFP - Nawet oryginalne i kreatywne niż Assassin's Creed.
1462:  BFP - Ale chciałem trochę odwrócić waszą perspektywę, bo ja jestem winowajcą, który wrzucił tu korporacje i właśnie te aktywa i duże marki.
1470:  BFP - Ale zobaczcie.
1472:  BFP - Słyszycie, o Jezu, znowu reboot Batmana.
1475:  BFP - Ale wychodzi The Batman.
1476:  BFP - No to jest dobry film.
1478:  BFP - Myślicie, o Jezu, kolejny spin-off z tym Wolverine'em całym.
1481:  BFP - Ale wychodzi Logan.
1484:  BFP - myślicie, o kolejny, kolejny jakiś tam z X-Men i, ale wychodzi serial Legion i uważajcie, bo teraz będzie najlepsze.
1490:  BFP - O Jezu, kolejne Star Wars, niech przestaną już dojść te krowy i wychodzi Andor.
1494:  BFP - Więc bałbym się sytuacji, w której nie mielibyśmy wyboru i to jest przykład Call of Duty, gdzie nie ma w zasadzie konkurencji, jest Battlefield, ale tam nie za bardzo jest jakakolwiek konkurencja.
1508:  BFP - A tutaj w ramach marki Star Wars coś się dzieje, coś ciekawego jeszcze się dzieje, że ten cały Disney jeszcze potrafi coś stworzyć.
1514:  BFP - I ma wystarczająco oleju w głowie, ale to też jest inna gałąź rozrywki niż gry wideo, żeby wziąć dobrego reżysera, żeby dać mu szansę, żeby dać mu trochę więcej swobody twórczej.
1526:  BFP - I nawet w tych popularnych rzeczach właśnie zdarzają się na tych samych aktywach oparte perełki.
1533:  BFP - Gorzej, kiedy ktoś rzeczywiście robi na przykład takie, no nie wiem, nazwijmy to Snyderverse, które jest rzeczywiście takie moim zdaniem już podkręcone do maksa.
1544:  BFP - Snyderverse w założeniu, no to my teraz zrobimy takiego Marvela, tylko trzy razy szybciej.
1549:  KMM - Ale to też jest ciekawy problem, zauważcie, no bo przywołujemy Andorę, ja też absolutnie się z tym zgodzę, chociaż moje zdanie na temat Andorę jest takie, że to jest znakomity serial science fiction, tylko przez brak mieczy świetlnych nie za bardzo rozpoznaję, że to są Star Warsy.
1562:  OR - To jest bardzo ważne, wbrew pozorom, ale wrócę do tego, ukończymy.
1565:  KMM - To jest ważne.
1566:  KMM - Natomiast zauważcie, że gdyby, nie wiem, Krzysztofowi wychodzącemu z seansu Zemsty Seedów ktoś powiedział, słuchaj, słuchaj, słuchaj, posłuchaj mnie bardzo uważnie, bo nie będę powtarzać, będzie taki serial i dowiesz się więcej na temat matactw politycznych, na Kurosan i będzie więcej, o i tu będzie rebelia, to bym powiedział...
1586:  KMM - Ile mam zapłacić?
1586:  KMM - Kiedy?
1587:  KMM - Kiedy robić przelew?
1588:  KMM - Ja byłbym tak nachajpowany, jak każdy fan Star Warsu byłby wtedy nachajpowany, wszyscy by oglądali ten serial, cały internet by o tym kipiał, bardziej niż go o Grze o Tron.
1599:  KMM - A doszliśmy do tego, poprzez właśnie zluzowanie tej krytyki poczynań korporacyjnych, że uniwersum, które kiedyś był jednym z największych, zostało rozwodnione, jest niczym w porównaniu z czymkolwiek.
1611:  KMM - Teraz wychodzi...
1612:  KMM - dla Stoffa znakomite, który nie jest nawet w połowie taką marką, jakby Gwiezdne Wojny, a ma takie wyniki oglądalności, bo ludzie nie oglądają Andorra nie dlatego, że o tym nie usłyszeli, tylko dlatego, że mają serdecznie dość już, jak wiele różnych produkcji było, które rozwodniły markę, które absolutnie nie zrealizowały oczekiwań fanowskich i co więcej, realizowały także sprzeczne wizje artystyczne, kompletnie sprzeczne.
1638:  KMM - Więc tutaj jest trochę...
1640:  KMM - Z jednej strony kontra, z drugiej strony podtrzymuje punkt Filipa, bo tak, zobaczcie, super, jeżeli oddajemy artystom pełną swobodę, jest świetnie, ale to jest zawsze 50-50.
1649:  KMM - Możemy dostać coś, co będzie wybitne i będzie Loganem, ale takiej produkcji jest niewiele, ale możemy też dostać coś, co będzie niezgodne z uniwersum, mimo że nawet reżyser będzie bardzo zdolny.
1659:  KMM - I brakuje właśnie takiej osoby, która by to wszystko spajała.
1662:  KMM - Tylko, że to też nie powinno być tak, że będziemy... O, Kevin Feige jest zbawcą, ojej, bo on już jest tak dawno tam.
1670:  KMM - Nie, Kevin Feige świetnie nadzorował ten rozwój franczyzy wokół Kamieni Nieskończności, powiedzmy.
1676:  KMM - Robimy teraz nowe fazy Marvela, przechodzimy zupełnie... Komu innemu dajemy kontrolę kreatywną i niech to będzie nowa spójna wizja, która też wniesie nowych odbiorców, bo ja z kolei jak gadam z no, dziewiętnastolatkami, osiemnastolatkami, też często ze studentami, to oni mówią...
1690:  KMM - Mi się nie chce oglądać tych wszystkich Marveli.
1692:  KMM - To nie są moje filmy.
1694:  KMM - Chcielibyśmy coś nowego, tak?
1696:  KMM - I dla takich ludzi właśnie powinna być zupełnie nowa faza Marvela, z zupełnie nowym Jamesem Gunnem, z zupełnie nowym Kevinem Feige i nowym rusterem postaci, w ramach których może tam się pojawić jakiś fanservice, że pojawi się Iron Man, to będzie dla tych starych, którzy pamiętają jeszcze wcześniejszego Marvela.
1712:  OR - Znaczy, ja tutaj właśnie pociągnę ten temat z Andorem i o tym, co Filip powiedziałeś i odniosę się właśnie do tego, że właśnie tam nie ma mieczy świetlnych i tak dalej.
1724:  OR - Niestety, mam pewne wrażenie, że
1729:  OR - Ta jakość Andora i wielu dzieł, które wymieniłeś jest niestety bardzo powiązana z siłą aktywów lub innymi niestety czynnikami, o których zaraz powiem.
1742:  OR - Andor nie był żadnym aktywem.
1745:  OR - To była drugoplanowa postać z Rogue One.
1748:  OR - Tak, filmu, który zarobił dużo pieniędzy.
1751:  OR - Ale Andor nikogo.
1753:  OR - To tak mówiąc wprost.
1755:  OR - Jak ten serial wychodził, to nawet my z Radkiem patrzyliśmy na niego w dużej mierze na początku, jak na serial właśnie o Agacie Harkness, czy coś takiego.
1763:  OR - I z czasem zwiastuny wyglądały fajnie, zaczęło nam jakoś to, wiesz, to mówić.
1768:  OR - Ale w pewnym momencie mieliśmy takie podejście zmęczeni kolejnym, to chyba Obi-Wanem właśnie, czy czymś takim, który jest aktywem.
1775:  OR - Właśnie Obi-Wan był aktywem.
1776:  OR - To jest to, co trzeba było zrobić, wiesz, wcisnąć w to jak najwięcej, bo tutaj mamy Markę.
1782:  OR - i czy Mandalorianem, którego drugi sezon to były tylko te lunchpady takie.
1787:  OR - Ty dostajesz serial.
1787:  OR - Teraz musimy zrobić tu odcinek, w którym przedstawimy powstać.
1791:  OR - Patrz, Yasoka, kojarzycie?
1792:  OR - Ona dostanie swój serial, więc w tym odcinku musi się pojawić.
1795:  OR - Hej, hej, hej, widzicie tutaj?
1796:  OR - Cara Dune.
1797:  OR - Ona zaraz wyleci do swojego serialu.
1799:  OR - Tym był drugi sezon Mandaloriana.
1800:  RP - Ona zaraz wyleci z serialu.
1801:  OR - A potem wyleciała kompletnie, ale z czego?
1803:  OR - Ale tym był drugi sezon Mandaloriana de facto.
1806:  OR - Boba Fett.
1806:  OR - To samo.
1807:  OR - Masz trzy odcinki, w których on coś, próbujemy skupić się na Boba Fecie, a potem...
1811:  OR - a to chyba nikogo nie obejdzie, dobra, Luke Skywalker i Ahsoka, bo ona tutaj się przywita i poleci do swojego serialu, nie?
1818:  OR - I po tym wszystkim, gdzie oni naprawdę doili to tak, jak to mówi się, jak tą krowę z kręgosłupem, patrzyłem na tego Andora i po prostu mieliśmy takie, może to będzie dobre, bo to nikogo nie obchodzi, więc nie będzie tego ciśnienia takiego, że to są te ich najważniejsze aktywa, więc trzeba wszystko połączyć, powiązać, bo wiesz, po tego i wyszedł fantastyczny Andor, no wymieniłeś na przykład Logana,
1840:  OR - który miał być ostatnim filmem Hugh Jackmana, de facto ostatnim filmem Patricka Stewarta w tym momencie.
1846:  OR - to na pewno miało wpływ, niż gdyby wiedzieli, że jeszcze 10 innych filmów po drodze z nimi, wiesz, z nimi ma nastąpić.
1854:  BFP - W tym wszystkim ten Batman... No i był ostatni przez 6 lat, no.
1856:  OR - No, wiadomo, no.
1858:  OR - W tym wszystkim to jedynie ten Batman, to jest taki faktycznie, to jest coś takiego, mam wrażenie, że po prostu to wynikło z tego, że już było tyle Batmanów obok i w sumie i tak miał być ten Batman Afflecka gdzieś jeszcze obok i tak dalej, że można było pomyśleć,
1871:  OR - Dobra, to możemy zrobić jeszcze jednego Batmana gdzieś na boku, gdzieś, gdzieś, wiesz, gdzieś przy okazji tego wszystkiego.
1877:  BFP - Szczerze, gdyby... No, ale również Michael Keaton, a mnie się japa cieszy, a to też aktywo.
1880:  OR - Tak, ale wydaje mi się szczerze, że gdyby to był jedyny Batman Studia w tym momencie...
1886:  OR - bez myślenia o 50 innych uniwersach i wszystkim innym, nie dostałbyś takiego Batmana, jakiego dostałeś.
1892:  OR - Wydaje mi się, że to by się nie stało.
1896:  OR - Te marki, jeszcze tylko skończę, są właśnie zwykle wychodzą... Prey.
1900:  OR - Kapitalny predator po różnych filmach o predatorze.
1904:  OR - Na boczku, na hulu, za znacznie mniejsze pieniądze, gdzieś tam, a dlaczego?
1908:  OR - Bo z kolei te aktywy były już tak zajechane, przeterminował się już ten termin ważności właśnie, o którym mówicie już tak bardzo, że już tylko to dało się zrobić i w sumie whatever.
1918:  OR - Więc niestety
1920:  OR - w tych pozytywnych elementach tego wszystkiego, mam wrażenie, że niestety one wynikają często głównie z tego, że studiów po prostu już tak bardzo nie zależy i mogą sobie pozwolić na ryzyko, ale nigdy nie pozwoliliby sobie na takie ryzyko z cholernym Obi-Wanem.
1935:  RP - Tak, ale też popatrzmy, jak te filmy, o których tutaj mówiliśmy, powstawały, bo na przykład Batman, on był przez długi czas w cieniu tego, co się dzieje z tym głównym światem DC, nie?
1948:  RP - I to, że, ej, Affleck ma wracać, że tutaj ma być ta wersja Snydera, nie?
1952:  RP - Że ona powstaje i ona ma być taka rozmodowana i po tym ma być to Nightmare.
1956:  RP - i ma dostać swój kolejny film i że o może Snyder wróci, będzie tutaj głównym tym dowodzącym, nie?
1960:  RP - I tam Matt Reeves zrobił sobie tego Batmana na boku i to było jego największym plusem tego filmu, że mu nikt wtedy nie przeszkadzał, bo ta większa wojenka, ta fanowska i oparta tutaj na tych wielkich problemach studyjnych, które się tam rozgrywały, miała miejsce na poziomie tego Justice League, tego Batflecka i tych wszystkich rzeczy, nie?
1976:  RP - I ten Matt Reeves zrobił sobie ten film, zrobił świetny film, nie?
1979:  RP - Troszkę też tak było z Jokerem, o którym się mówiło, wiesz, w tym świecie fanowskim więcej, no bo pojawiały się te zdjęcia, gdzie tam był Phoenix w tym make-upie i to robiło wrażenie, ale ten film też dopiero miał ten wybuch popularności w momencie, gdy zaczął dostawać nagrody, gdy pojawił się w Cannes, gdy było o nim głośno przez to, że ten poziom jego, widać było, że on był zupełnie inaczej odbierany niż te normalne blockbustery, nie?
2002:  RP - To był film na innym poziomie.
2004:  RP - I...
2005:  RP - Dokładnie tak samo było z tym Batmanem, nie?
2006:  RP - Że on sobie gdzieś tam na boku powstawał, ale głośno było w tym świecie właśnie fanów tej wersji Batmana z Benem Afleckiem, nie?
2016:  RP - I to też jest właśnie ta sytuacja, gdy ten świat miał być rozwijany, nie?
2019:  RP - To miał być.
2020:  RP - I teraz zresztą widzimy, jak to dalej się rozgrywa, nie?
2022:  RP - Wiemy, że Matt Reeves ma tam robić swojego następnego Batmana.
2025:  RP - Nie mówi się prawie nic o tym... I tu też miała być ta oczywiście spinofoza już, bo pojawił się serial o... I cały czas ma się pojawić serial o Pingwinie, nie?
2034:  RP - O którym teraz też się nie mówi, bo cały czas głównym, główną narracją jest co się dzieje teraz w Warner Bros, nie?
2040:  RP - Jak wszedł James Gunn i kto teraz tam będzie Batmanem, bo ten Batman... O, to jest ważny Batman, tak.
2045:  RP - Tak, to jest ten, tak, tak, tak.
2047:  RP - To jest ten nieważny, to jest bardzo ciekawa uwaga.
2049:  RP - My, my, my kochamy ten film, nie?
2050:  RP - Ale widzicie jak o tym teraz się mówi, nie?
2051:  RP - Kto będzie nowym Batmanem?
2053:  RP - Nie mówicie, że Pattinson będzie w tym świecie, nie?
2055:  RP - Nie, nie, nie.
2056:  RP - Kto będzie, jak będzie nowy Superman to musi być oczywiście też nowy Batman, ten główny Batman, ten nasz Batman.
2060:  RP - Ten Batman jest podstawową narracji, nie?
2062:  RP - Nie ten Batman, który zdobywa nagrody, nie ten Batman super dla tych ludzi, którzy lubią takie filmy te bardziej artystyczne, my chcemy tego naszego Batmana, nie?
2069:  RP - I to jest, to jest, i te filmy na tym zyskują i te projekty, Andor właśnie Batman, że są gdzieś tam jednak z boku, nie?
2075:  RP - Bo ta główna narracja, ona jest, ona ma ten największy głos, nie?
2078:  RP - Zresztą wiemy jak to wykorzystali też fani Snyderverse, psychofani Snyderverse, nie?
2083:  RP - Ale...
2084:  BFP - Kurczę, znaczy pierwsza rzecz, która chyba jest najważniejsza, którą chciałem powiedzieć, to że Krzysztof jest prawdopodobnie jedyną osobą w galaktyce, która Coruscant czyta z francuska.
2094:  BFP - Ja widziałem to poradku po prostu.
2098:  BFP - Ja widziałem to poradku, że ktoś tu pojechał Toussaint ciężkim, co mnie bardzo cieszy.
2103:  KMM - Nie zauważyłem tego.
2105:  BFP - Ja mówię, najpiękniejsze francuskie miasto w kosmosie.
2108:  BFP - Wszyscy chodzą we flabankach.
2111:  S03 - Wino, prawda?
2114:  RP - I tam Lando Calrisson.
2117:  RP - O nie.
2117:  BFP - Przepraszam.
2122:  KMM - Ale kurczę, właśnie to co... I Gilles Palpatine.
2126:  KMM - Casio Ando.
2130:  BFP - Marc Amil.
2131:  BFP - Dobra, wystarczy.
2132:  BFP - Koniec.
2134:  BFP - Luke Lucas.
2135:  BFP - Dobra.
2137:  BFP - Chciałem powiedzieć, że idealnie uderzył w główkę gwoździa.
2143:  BFP - Tak to się mówi?
2143:  BFP - Nie.
2144:  KMM - Nie dziecka w każdym razie.
2146:  BFP - W każdym razie nie dziecka, tak.
2147:  BFP - Chciałem powiedzieć, że Radek trafił w sedno.
2151:  BFP - To może to jest lepsze.
2153:  BFP - Bo...
2155:  BFP - Mnie nie przeszkadza, kiedy korporacja robi rzeczy, które są... W ogóle w terminologii zarządzania się mówi, że są produkty, które są typu dojna krowa, są produkty typu gwiazda, są produkty typu znak zapytania.
2169:  BFP - Nie wiadomo, czy to zwróci inwestycje.
2172:  BFP - Dojna krowa to jest The Walking Dead.
2173:  BFP - Można dojść, dojść, dojść i wiemy, że to będzie przynosiło przychody, zyski, ale...
2178:  BFP - Ja na przykład chcę, żeby AMC reinwestowało to w inne fajne produkcje, które są dla innych.
2182:  BFP - Tak jak właśnie dla nich jest Mandalorian, a dla tu chłopaków z napisów końcowych niech będzie Andor.
2188:  BFP - I to jest, dla mnie to jest okej.
2190:  BFP - Wiecie dlaczego?
2191:  BFP - Bo my nawet robimy to jako YouTuberzy.
2193:  BFP - Zdarza nam się robić odcinek, ok, ten odcinek jest bardziej dla nich.
2196:  BFP - Pogadamy o tym Marvelu i pogadamy o tym DC, ale wiecie co, potem pogadamy o adaptacjach i o tym, dlaczego praca krytyka jest jednak ważna i zasługuje na uznanie.
2205:  BFP - I wydaje mi się, że tak długo jak korporacje tak do tego podchodzą, to jest ok, ale na przykład właśnie taki podany przykład Activision Blizzard nie ma tej równowagi.
2214:  BFP - Oni przeznaczają te pieniądze na jeszcze większe pakiety dla odchodzących tam CEO za to, że ukrywali afery mobbingowe i molestowania seksualne.
2225:  KMM - Wszystko Bobby Kotick bierze, jacy tam CEO, jest tylko jeden Bóg w tej galaktyce.
2229:  BFP - Więc powiedziałbym, że czasem przydają się takie dojne krowy i posłużę się tym przykładem The Walking Dead.
2235:  BFP - Przyznaję, póki nie zrobiłem tego odcinka, nie wiedziałem, ilu jest fanów The Walking Dead w Polsce.
2239:  BFP - W sensie, wiedziałem, że to jest popularne, nie wiedziałem, że tak popularne.
2242:  BFP - Są ludzie, którzy piszą pod tym moim streszczeniem, że chłopie, ile ty rzeczy pominąłeś, nie podoba mi się ten odcinek, ja oglądałem już tyle razy i to jest to, i to jest to, i to jest to, czego nie uwzględniłeś.
2253:  BFP - Ok, spoko, nie zamierzam się kłócić, ale wciąż wierzę,
2258:  BFP - że fajna będzie ta seria z Rickiem i Michonne.
2263:  BFP - Mamy tylko osiem odcinków.
2264:  BFP - Ja chcę... Okej, może jestem jak Fox Mulder z Archiwum X i mówię I want to believe.
2269:  BFP - Ja chcę wierzyć.
2271:  BFP - I ja wierzę, że może ten Daryl Dixon będzie niezły, bo to one są pomyślane jako takie na razie miniseriale, więc...
2277:  BFP - To jest taki przykład obrazowy, oczywiście życzeniowy, ale występuje też w innych sytuacjach, gdzie tak, doimy, ale może dzięki temu jesteśmy w stanie inwestować coś fajnego i DC to robi, i Marvel to robi, i jak widzimy chociażby po Andorze, Star Wars i Disney i Lucasfilms także to robi.
2295:  RP - Ja tylko dodam, że ja tak miałem w listopadzie, gdy gadałem z Oskarem i mówię, ej, ten Narodowy Krwi może być dobry, będzie miał tylko cztery odcinki i se...
2305:  OR - Potem mnie Radek tak zmuszał, to było takie, ja obejrzałem pierwszy odcinek, Radek, ja już nie dam rady, ja byłem jak ten typ, który wiecie, podnosi tą sztangę i wszyscy na siłowni mówią, chłopie, jeszcze wyciśniesz jeszcze jeden, ja mówię, ja już nie dam rady, ja już nie mogę, mówi, no dobra, obejrzałem dwa, ja już mam jakąś opinię o tym serialu, powiem czemu go nie skończyłem, kończ go, Radek, kończ go.
2325:  RP - Ja mówię, on ma zakończenie i jest...
2328:  RP - Dziwniejsze niż się spodziewasz.
2330:  RP - I było, nie?
2330:  RP - Ale ja sobie tak myślałem, że ale to będzie skondensowana fajność, nie?
2333:  RP - Tak wszystko, wszystkim, wiesz, udowodnią, że to będzie dobry projekt.
2336:  RP - Kondensowana fajność.
2338:  OR - I to było, jak wiesz, uderzenie plackiem krowim w twarz.
2342:  OR - O Wiedźmina chcę zapytać i ogólnie właśnie fantastykę, którą Krzysztof poruszył, ale jeszcze jak jesteśmy chwilę przy tych Star Warsach i MCU, wiecie co jest zabawne?
2351:  OR - Według mnie dwa najlepsze projekty tej fazy to jest Werewolf by Night i Guardians of the Galaxy Christmas Special.
2357:  OR - To są dwie tanie rzeczy na Disney+, które znowu, większość ludzi nawet nie wie, myślę, że tych, wiecie, typowych MCU moviegoers nawet nie wie, że coś takie jak Werewolf by Night istnieje.
2369:  BFP - Krzysztof jest zaskoczony, że jest coś takiego jak Werewolf by Night.
2372:  KMM - Pierwsze, pierwszego nie znam, czy Christmas Special słyszałem, a o pierwszym w ogóle nie usłyszałem nawet.
2376:  OR - No właśnie, bo to nie miało żadnej promocji czy coś takiego.
2380:  OR - To jest naprawdę fajne.
2380:  OR - To jest naprawdę fajnie zrobione z całym podejściem.
2384:  OR - I cały trik polega na tym, że to jest gdzieś na boku.
2389:  OR - To jest tanie, to są te speciale, to trwa tam 40 minut czy coś w tym rodzaju.
2393:  OR - I dali kompozytorowi nakręcić dżedżiniemu.
2399:  OR - Dali nakręcić film z miłości do lat czterdziestych.
2403:  OR - Do potworów z lat czterdziestych.
2406:  OR - Próbuję sobie przypomnieć niestety takie projekty, które były jednak w tym mainstreamie, które faktycznie wyszły jako część tego dużego elementu, które faktycznie były dobre.
2420:  OR - Wiecie, nie ten jeden projekt, którym, nie wiem, jak Tom Cruise, który chciał tego Top Guna zrobić, który też wydawało się, że nikogo.
2427:  OR - Jak były te telery, ja sam zastanawiam się, kto na to pójdzie, a potem rypnął, ile kasy rypnął, ale to był fantastyczny film.
2434:  OR - Natomiast cały czas próbuję sobie przypomnieć, szczerze mówiąc w czwartej fazie jedyny taki serial, który faktycznie mógłbym podpiąć pod dojarkę, to byłby Loki, który mi się autentycznie podobał.
2446:  OR - Uważam, że byłby najlepszym z tych wszystkich seriali.
2449:  KMM - Tak, Lokiego z przyjemnością też oglądałem.
2451:  OR - A to byłby chyba taki jeden, gdzie myślisz, wiesz, mamy jeszcze Hiddlestona, który już trzy razy umarł, ale trzeba jeszcze pociągnąć, jeszcze coś wydoić.
2458:  OR - To jest jedyny, który mi przychodzi do głowy z tych projektów, który autentycznie uważam, że jest najlepszym serialem z tej całej zbieraniny i podejdzie pod faktycznie takie jeszcze z tego Hiddlestona i jeszcze wykręćmy, ile się da.
2471:  OR - Poza tym to naprawdę mam problem z...
2475:  OR - przypomnieniem sobie, ale nawet ja słyszałem takie opinie o sezonie Boba Fetta.
2479:  OR - Dobrze, że były te odcinki z Luke'iem i Mando.
2481:  OR - Ktoś napisał u nas, dosłownie gość, bo mnie to serial o Boba Fecie może nigdy bym go nie sprawdził, by mnie nie obchodził, ale jak usłyszałem, że pojawia się w nim Luke Skywalker i Mandalorian, to musiałem go sprawdzić.
2493:  OR - Ja myślę tak, oh you sweet summer child, to jest dosłownie ten moment, w którym fear of missing out, ej, przegapisz pojawienie się Luka Skywalkera i wiesz, chociaż na chwilę, naprawdę chcesz
2503:  OR - No co ty, Luca zawiedziesz?
2506:  OR - Więc tak, nie wiem, czy wam przychodzą do głowy jakieś inne projekty poza właśnie Lokim, gdzie...
2511:  OR - To jest element tego dojenia, ale to nie jest koniec, to będzie dalej, to będzie wcześniej.
2518:  OR - To nie był serial, który nikogo, bo mamy hotelnego Hiddlestona, ale miały naprawdę wysoką jakość.
2523:  BFP - Ale wiesz, to jest model przetestowany już wiele lat temu, stworzony m.in.
2529:  BFP - przez McDonalda, który dorzuca zabawkę do Happy Meala.
2532:  BFP - Tak, to jest bardzo niezdrowe jedzenie, ale dostaniesz zabawkę, dlatego rodzice kupią dziecku.
2539:  KMM - Z drugiej strony macie też coś takiego jak Joker, nie?
2542:  KMM - Twórcy mówią, nie, nie, to nie jest część uniwersum.
2547:  KMM - Wszystkie komunikaty marketingowe były opatrzone caveatem.
2550:  KMM - To nie jest część uniwersum, to nie jest część sequel.
2554:  OR - No i... Sequel przy takich pieniądzach musiał powstać.
2556:  RP - Tak, sequel, ale też jak fani się pojawili i od razu... To jest nieuniknione.
2559:  RP - Oj, to kiedy się tam pojawi Batfleck, nie?
2561:  RP - Razem z tym Jokerem, nie?
2562:  RP - My nie chcemy z tym Jokerem, albo kiedy Pattinson będzie miał wspólny film z tym Jokerem?
2567:  RP - Musi mieć przecież, bo jak to inaczej?
2568:  RP - Przecież te filmy nie są częścią tego głównego uniwersum.
2570:  OR - To może będą częścią swojego uniwersum.
2572:  RP - Więc muszą być połączone, bo jak coś może być niepołączone w tych czasach, nie?
2575:  RP - Wszystko powinno się jakoś łączyć, jeśli jest... Jeśli wychodzi z jednej marki, nie?
2580:  RP - Tak właśnie jak tutaj marka Batmana, nie?
2583:  OR - Tutaj chcę zaznaczyć, skoro już idziemy do seriali, to będę chciał zapytać o The Walking Dead, ale najpierw chcę jeszcze zapytać o pewien, wiecie, istniało coś takiego, co się nazywało The Arrowverse, które już chyba, nie wiem czy ten flash się skończył, czy teraz ma ostatni sezon.
2600:  RP - Jeszcze ma ostatni sezon, chyba dziewiąty albo dziesiąty.
2603:  OR - Tak, dziesiąty chyba sezon jest.
2605:  BFP - To jest The Walking Dead dopiero.
2607:  OR - Tak, to było dojone jak się da, ale właśnie a propos tego uniwersum, multiwersum itd.
2615:  OR - Mieliśmy z Radkiem taki moment, kiedy już obaj odpadliśmy na spokojnie z tych wszystkich seriali, jakie wyszły.
2622:  OR - Niektórych nawet nie ruszyłem, nigdy nie sprawdziłem.
2625:  OR - Ale oni co roku robili taki crossover, gdzie te wszystkie seriale się spotykały razem.
2632:  OR - I trzeba przyznać, że przez jakiś czas on był kompletnie głupim fan.
2636:  OR - Naprawdę był sporym fan.
2637:  BFP - Kevin Conroy pojawił się jako Batman, który podkładał głos świętej pamięci Kevin Conroy.
2644:  OR - Był moment, gdzie tam nagle trafili jedno uniwersum, to było, gdzie wszyscy byli złymi nazistami.
2649:  OR - I przyjechali i atakowali.
2650:  OR - W przeciwieństwie do tych dobrych nazistów.
2654:  OR - Więc generalnie mieliśmy fan.
2657:  OR - Ale potem właśnie wyszedł ten, o którym wspomniałeś niestety.
2660:  OR - Ten z Kevinem Conroyem.
2662:  OR - które było właśnie multiversus.
2664:  OR - I oni chcieli pokazać, że w DC to jasne, mogą być różne uniwersy, ale pamiętajcie, to wszystko jest jedne.
2671:  OR - Multiversum.
2673:  OR - I starali się zatrudnić tam każdego, kogo tylko mogli.
2678:  OR - I mój ulubiony moment to jest, kiedy wypowiadał się na to Michael Rosenbaum.
2687:  OR - Czyli gość, który w Smallville swego czasu grał Lexa Uthora.
2690:  OR - Fantastyczny Lex Uthor przy okazji.
2692:  OR - On powiedział, że telefon do niego w kwestii tej roli brzmiał słuchaj, pieniądze niewielkie, nie mamy żadnego scenariusza, ale potrzebujemy, żebyś się pojawił.
2702:  OR - Generalnie i on powiedział...
2706:  OR - Nie.
2710:  OR - Jego dobry przyjaciel, z którym zresztą do dziś mają wspólny już jakiś tam nowy podcast, który był, grał Supermana z kolei.
2716:  RP - Polecam bardzo podcast Rosenbaum'a, bo jest fantastyczny.
2719:  OR - Oni w ogóle założyli też jakiś wspólny teraz.
2721:  OR - Ale Tom Welling skorzystał z tego i pojawia się w tym spin-offie, znaczy w tym crossoverze.
2727:  OR - I cały ten crossover polegał dosłownie na tym.
2730:  OR - Ściągnięto
2733:  OR - Kogo tylko się dało, ze wszystkich możliwych projektów nawet pojawił się, dzisiaj nie wiem czy to służy im dobrze, czyli Ezra Miller w tym momencie jako Flash, żeby powiedzieć, że to też jest, te kinowe, to też jest multiwersum, nie?
2748:  OR - I to był ten moment, kiedy ja tak usiadłem i miałem takie totalne już przesilenie.
2751:  OR - To było coś takiego, gdzie już wyszliśmy dalej, już nawet nikt nie udawał, bo nie znoszę No Way Home, ale oni udają, oni tam próbują jakąś fabułę zrobić, że coś tam się wokół tego kręci.
2764:  OR - Tu nikt już nawet nie udawał, tu chodziło tylko o to, żebyśmy ściągnęli każdego, kogo się tylko da i ścisnęli to jeszcze jak poszło.
2772:  OR - To było nieoglądalne.
2773:  RP - I działały te segmenty, gdy widać było, że aktorzy lubili swoje role i próbują coś jeszcze do nich dodać, coś wyciągnąć.
2779:  RP - Tak właśnie było z tym segmentem Wellinga, który nie pasuje do reszty serialu zupełnie, ale fajnie domyka to, co było w Smallville, bo chciał to Welling zrobić porządnie, nie?
2786:  RP - Tak samo było właśnie z tym fragmentem z Conroyem, który w końcu mógł zagrać Batmana, dał z siebie wszystko, nie pasowało to zbytnio do reszty serialu, nie było tutaj żadnej historii, ale znowu dał z siebie wszystko, nie?
2795:  RP - I tak samo Brandon Routh, który mógł
2797:  RP - Ktoś zagrał w Superman Returns.
2799:  OR - Tak, znowu zagrał w Superman Returns.
2800:  RP - Wszystko, wszystko pocierało.
2801:  RP - W tej strasznej wersji Supermana, która była najgorszą adaptacją Donnera, jaką sobie można wyobrazić, bo Singer zupełnie nie zrozumiał, co działało u Donnera i próbował zrobić zwykłą kalkę, nie dodając nic od siebie i to nie wyszło.
2813:  RP - Ale tutaj widać, że Rowd kochał grać Supermana i chciał dodać coś od siebie i ta wersja Supermana jest super,
2819:  RP - Nie ma nic do roboty w tym serialu za bardzo, nie?
2821:  RP - Bo był tylko po to, żeby się pokazać.
