Edukacja – wielki reset? | dr Krzysztof Maj | Głos Kongresu Obywatelskiego
🔗 https://www.youtube.com/watch?v=Ra98wNn-dho
KMM (Krzysztof M. Maj)
MS (Miłosz Szymański, Głos Kongresu Obywatelskiego)

0:  MS - Dzień dobry Państwu, nazywam się Miłosz Szymański, a to jest głos Kongresu Obywatelskiego.
1451:  KMM - A tymczasem prawie oświatowym jest powiedziane wyraźnie, że ocena to ma być feedback, a nie ocena cyfrowa, która ma być wliczona do średniej.
1457:  KMM - Nie ma czegoś takiego prawie oświatowym i to było dla mnie szokiem, jak to odkryłem.
1460:  KMM - Ponieważ byłem całe życie inaczej uczony.
1463:  KMM - Skutkiem czego widać, że jakikolwiek nawet byłby najbardziej liberalny i postępowy minister, on zostanie zachukany przez większość środowiska, które jest zapetonowane kompletnie.
1473:  KMM - Dlaczego jest zabetonowane, to już są moje hipotezy.
1475:  KMM - Jedną z tych moich hipotez jest to, że przyjmowano za dużo osób na kierunki nauczycielskie, a równocześnie nauczyciel, i w tym upatruje zanik prestiżu zawodu, nie jest w żaden sposób regulowany zawodowo egzaminem wstępnym, tak jak w przypadku prawników czy lekarzy.
1492:  KMM - egzaminem zawodowym.
1493:  KMM - Dopiero potem na kolejne stopnie nauczycielskie mianowanego, dyplomowanego robi się dodatkowe egzaminy, natomiast przed przystąpieniem do nauki w szkole powinna być obowiązkowa ewolucja psychologiczna, psychiatryczna, metodyczna, pedagogiczna, skomplikowany, złożony egzamin, który po prostu odsiałby ludzi, którzy poszli na te studia, bo się tam było łatwo dostać, gdyż przez ostatnie 30 lat najłatwiej się było dostać na studia pedagogiczne.
1517:  KMM - Co więcej też, może część słuchaczy nie wiedzieć, ale przyjrzyjcie się temu, jak dawniej nazywały się uniwersytety tak dumnie brzmiące, jak na przykład Uniwersytet Kazimierza Wielkiego w Bydgoszczy.
1527:  KMM - To były kolegie nauczycielskie, to były szkoły pedagogiczne.
1530:  KMM - Większość z tych uczelni, które nowo wypączkowały, ponieważ każdy chciał być uniwersytetem i każdy rektor chciał się poławić w gronostajach, więc mamy tych uczelni w tym momencie ponad 400 publicznych w Polsce, tak nawiasem, one wszystkie wykrystalizowały się ze szkół pedagogicznych.
1544:  KMM - No i nie jest chyba dla nikogo tajemnicą, na jakie uczelnie było się łatwiej dostać, a na jakie trudniej się dostać.
1549:  KMM - W związku z powyższym tych nauczycieli lub ludzi o kwalifikacjach pedagogicznych myśmy kształcili od groma.
1555:  KMM - Tylko, że problem polegał na tym, że kształciliśmy ich niewłaściwie.
1558:  KMM - Nawet na uniwersytecie, który ja kończyłem, który podobno jest najwyżej w rankingach, czyli Uniwersytet Jagielloński, myśmy mieli opowiadane o tych wszystkich metodach alternatywnych edukacyjnych, ale metodą wykładu.
1570:  KMM - Czyli student zapamiętywał, że a, może są tutaj jakieś metody projektowe, ale uczył się o tym na wykładzie.
1576:  KMM - Czyli kodowała się w mózgu informacja, aha, wykład jest najskuteczniejszy.
1579:  KMM - Więc te problemy sięgają bardzo głęboko.
1583:  KMM - Więc jedyne, co ja w tym momencie widzę tak na zaraz do zrobienia, to są trzy stadia.
1589:  KMM - Pierwsze stadium, najbardziej bolesne.
1591:  KMM - To znaczy, trzeba zrobić audyty.
1593:  KMM - Na uczelniach audyty są co cztery lata i na podstawie audytu uczelnia traci lub zyskuje prawa do nadawania tytułów doktora.
1599:  KMM - Na poziomie szkolnym można byłoby zrobić tak, że ten audyt przeprowadzony oczywiście przez pracowników naukowych, pedagogów i tak dalej, i tak dalej, on skutkuje przyznaniem lub odebraniem lub zawieszeniem koncesji edukacyjnej przez samorząd.
1610:  KMM - Prosta sprawa.
1611:  KMM - Natychmiast dyrektorzy by mieli bardzo, bardzo, bardzo dużą motywację, żeby pilnować przestrzegania prawa w szkołach.
1618:  KMM - Drugi krok jaki jest do zrobienia to szeroka akcja ze szkoleniami dodatkowymi, uzupełniającymi, finansowanymi przez państwa dla nauczycieli, tych, którzy chcą się rozwijać i w związku z powyższym, jeżeli takie szkolenia będą mieli, jeżeli będą mieli dodatkowe uprawnienia, wtedy należą im się podwyżki, co byłoby oczywistą superatą dla wszystkich bardziej zaangażowanych.
1639:  KMM - No i trzecie stadium byłoby związane z reformą także nauczania akademickiego na kierunkach pedagogicznych i wprowadzeniem egzaminów zawodowych takich jak dla prawników i medyków do zawodu nauczycielskiego.
1652:  KMM - W ten sposób się buduje prestiż zawodu, a nie w ten sposób, że mówimy, że wszystkim, czyli także nauczycielce plastyki, wufiście, matematyczce i chemikowi, wszystkim porównio jak Batiuszka Stalin przykazał,
1669:  KMM - porówno dajemy 30% pensji, albo 40%, albo 130% pensji, wszystko jedno.
1674:  KMM - To nie w ten sposób się reformuje.
1676:  KMM - Ta reforma musi być strukturalna.
1679:  MS - No, tylko wie pan, my tutaj się mierzymy z sytuacją, której nauczyciele to jest jedna z największych grup zawodowych w Polsce, ponad pół miliona ludzi.
1687:  MS - No, jakby...
1690:  MS - Mam wrażenie, że to, o czym my rozmawiamy w tej chwili, to nie jest reforma edukacji, to nie jest to, czy robić zadania domowe, czy nie, tylko to jest dokładnie ta sama rozmowa, co o w ogóle tym, czy nas stać, żeby wreszcie mieć porządne, wydolne państwo.
1709:  MS - Czy my jesteśmy wreszcie w tym momencie, że możemy traktować siebie
1714:  MS - w sensie my obywatele siebie nawzajem poważnie, naszych rządzących poważnie i wymagać od naszych rządzących, żeby nas traktowali poważnie, bo jak było za PRL-u, to jest osobny temat.
1727:  MS - Całe szczęście my obaj niewiele już z tego pamiętamy.
1730:  KMM - Całe szczęście.
1730:  MS - Natomiast to, co się działo później, to była w ogóle budowa jakiegokolwiek państwa, dorobek i tak dalej, okej,
1739:  MS - Cieszę się, że Polska zaliczyła ogromny sukces gospodarczy, rzadko spotykany w świecie, to warto podkreślić na każdym kroku.
1747:  MS - Natomiast 35 lat później można powiedzieć, że chyba czas na to, żebyśmy
1755:  MS - zabrali się za budowę czegoś, co jest naprawdę na poważnie, bo te instytucje, które my teraz mamy, niektóre powstały w trakcie PRL-u, a niektóre jeszcze wcześniej, niektóre powstały później, ale są nasiąknięte zupełnie starym myśleniem.
1774:  MS - Dochodzimy teraz do momentu, w którym Pan mówi o wykorzystaniu technologii cyfrowych i internetu w szkolnictwie, o tym, żeby robić eksperymenty, o tym, żeby wymagać egzaminów wstępnych od nauczycieli.
1786:  MS - To jest absolutna rewolucja.
1788:  MS - To jest coś, co ja...
1793:  MS - obserwując debaty polityczne w Polsce, mam wrażenie, że my dyskutujemy o tym, czy o 5% w lewo, czy o 5% w prawo.
1801:  MS - A pan tutaj proponuje, żeby postawić wszystko na głowie w tej chwili.
1805:  MS - A tu jeszcze warto podkreślić, że żyjemy także w kraju, w którym jeżeli partia A ma pomysł, to partia B, niezależnie od jego merytorycznej wartości, będzie mówić, że to jest głupie.
1816:  MS - I odwrotnie.
1818:  KMM - No to jest też, Singapur przekonał się o tym, że jeżeli się wpompuje gigantyczne pieniądze nie wyłącznie w pensje, tylko w ogóle w edukację i w naukę, no to również przekłada się to w dalekim planie na gigantyczny skok gospodarczy, technologiczny i nawet można powiedzieć cywilizacyjny.
1838:  KMM - Ten sam eksperyment zrobiła Estonia, jeżeli chodzi o położenie światłowodów, powszechna, no i wzrost mikroprzedsiębiorczości był tam gigantyczny.
1846:  KMM - Więc inwestowanie w technologię cyfrowej, w ogóle w tak zwany kapitalizm kognitywny, nasz współczesny, to jest najlepsza rzecz, jaką możemy zrobić, zresztą im szybciej to zrobimy jako państwo, tym lepiej, bo jak my tego nie zrobimy, to wyręczą nas tym korporacji i dobrze wiemy, jak to się skończy.
1862:  KMM - Ja w tym momencie już
1863:  KMM - Z wszystkich narzędzi edukacyjnych, na jakich korzystam, to korzystam ich odpłatnie, sam finansując różne rzeczy.
1870:  KMM - Już nie mówiąc o tym, że powinniśmy mieć internet przyłączany tak jak wodę i prąd przez państwa, już tego nie ma, już zostało to zmarnowane i w tym momencie dobrze wiemy, jakie są standardy, to znaczy firmy śmieją się z nas, mówiąc nam, że będziemy mieli internet do 300 megabitów na sekundę i puszczają 5.
1886:  KMM - I co nam zrobisz?
1887:  KMM - Nic nie zrobisz.
1888:  KMM - Więc jeżeli zajmiemy się tym jako państwo, no to będziemy mieli tylko problem.
1892:  KMM - Teraz nauczyciele bardzo często mówią o tym, że sektor prywatny edukacji rozkwita.
1897:  KMM - No rozkwita dlatego, że jest tu wolny rynek, powstaje konkurencja, konkurencja się sprawdza lepiej, ludzie wybierają konkurencję.
1903:  KMM - To naprawdę nie jest fizyka kwantowa w tym przypadku.
1907:  KMM - i rozwiązaniem nie jest likwidacja sektora publicznego i rozwój wyłącznie prywatnego, bo wtedy nie będzie tej konkurencji, tylko właśnie to, żebyśmy rozwijali sektor publiczny, inspirując się tym, co robi sektor prywatny i w ten sposób będziemy się napędzać, tak jak Apple się cały czas napędza z Samsungiem.
1921:  KMM - I bardzo dobrze Apple sobie coś zaprojektuje, następnie Samsung robi to samo, tylko lepiej i taniej.
1927:  KMM - Nie lubię Apple'i.
1928:  KMM - W każdym razie potrzebujemy dokładnie takiej samej rewolucji na poziomie
1934:  KMM - I oczywiście, że to nie jest łatwa sprawa w polskiej kulturze politycznej, natomiast zwracam uprzejmie uwagę, że ktoś tych polityków edukuje.
1940:  KMM - Jak ludzie wieszali psy na ministrze nauki poprzednim, którego ja złośliwie nazywałem magistrem niełuki i szkodnictwa, to zwracałem uprzejmie uwagę, że temu człowiekowi ktoś dał habilitację, a wcześniej doktorat, a wcześniej magisterium.
1955:  KMM - A żeby te wszystkie rzeczy się udały, potrzeba lekko licząc od 50 do 70 osób zaangażowanych w to w sumie.
1963:  KMM - Potem jeszcze możemy rozszerzyć to bardziej i zobaczyć innych profesorów polityków w naszym Sejmie,
1970:  KMM - I nam się zacznie powolutku włos jeżyć na głowie, jak zobaczymy jaka jest, nie kultura polityczna, tylko jaka jest kultura intelektualna w kraju, bo to jest problem.
1978:  KMM - To znaczy kształcenie elit intelektualnych, które będą zajmowały się tym, co intelektueści robią najlepiej, to znaczy siedzeniem i zarządzaniem i mówieniem.
1986:  KMM - Ale robią to dobrze, ponieważ nie zajmują się rzeczami, które ich wyczerpują w innych obszarach.
1992:  KMM - Natomiast jeżeli nie będziemy kształtować ludzi myślących poza pudełkiem, no to jest problem.
1997:  KMM - I prosta sprawa, jak mają ludzie nie zwalczać się jako właśnie przeciwstawne partie polityczne, skoro w szkole polskiej debata oksfordzka, czy w ogóle jakakolwiek samorządność jest fikcją.
2010:  KMM - Przecież plenipotencja, jaką ma przewodniczący klasy, to jest zdecydowanie o kolorze kredy.
2015:  KMM - Nawet mimo to, że w ustawie prawo oświatowe jest zapisane, można sprawdzić.
2022:  KMM - Nie podam artykułu w tym momencie, prawdopodobnie 40 któryś, że samorząd szkolny może żądać od nauczyciela uzasadnienia pisemnego oceny dowolnego ucznia.
2035:  KMM - I to jest pisane od lat 90. prawie oświatowym.
2039:  KMM - To jest straszne.
2041:  KMM - Samorządność nie istnieje.
2042:  KMM - Ludzie muszą czuć, że mają władzę, jeżeli są w samorządzie, ponieważ na tym polega samorządzenie.
2048:  KMM - Jak możemy mówić o demokracji funkcjonalnej, jeżeli uczymy jej właśnie tak, trochę mnie uczono o tych metodach praktycznych i projektowych na Uniwersytecie Jagiellońskim, wykładowo.
2058:  KMM - Wykładowo powiemy, że w Sejmie jest tylu a tylu posłów i potem ja słyszę redaktora Mazurka w RMF-ie, który pyta z taką, aha, jak to on, zadowoloną miną posłankę, aha, a ile jest posłów w Sejmie, aha, egzaminacyjne pytanie.
2072:  KMM - Żałosne to jest po prostu.
2073:  KMM - Wszyscy powierają te wzorce szkolne, mimo że szkołę skończyli dawno temu.
2077:  KMM - Dlatego też uśmiecham się zawsze, jak ktoś mi mówi, że wszystkie drogi w moich narracjach prowadzą do szkolnictwa.
2083:  KMM - Bo tak, bo one prowadzą do szkolnictwa.
2085:  KMM - Liczba przypadków, kiedy ludzie powierają o wzorce jakiegoś patologicznego nauczyciela, który stresuje innych dla samego stresowania, a nie umie niczego nauczyć, jest gigantyczna.
2096:  KMM - Wystarczy tylko wyczulić sobie aparat krytyczny nasz i będziemy widzieć takich przypadków więcej.
2102:  KMM - A zatem jakie rozwiązanie byłoby?
2104:  KMM - Demokratyzacja szkolnictwa od samego początku, chociażby włączenie głosu uczniowskiego coraz bardziej, oczywiście im uczniowie są starsi, tym w większym stopniu, do zarządzania szkołą, do zmieniania tego, co tam się dzieje.
2117:  KMM - Jest taki piękny serial Sex Education, w którym uczniowie decydują się, żeby zaadresować problem w którymś momencie części uczniów, którzy są trans i wprowadzają trzecią toaletę, która jest neutralna genderowo, tak żeby było też dla nich jakieś miejsce.
2131:  KMM - I oni to sami mówią, natomiast nauczyciele oporują, ale w którymś momencie organizują spotkanie dwustronne, gdzie ze sobą rozmawiają.
2138:  KMM - Jakbym pomyślał o czymś takim, nawet nie w szkole, ale na polskim uniwersytecie dowolnym, to już wiem, jaki byłby efekt czegoś takiego.
2145:  KMM - To znaczy, któraś strona, którąś by wyśmiała i na pewno któraś by się wywyższyła, mówiąc, że tamta nie ma takiej władzy.
2151:  MS - No właśnie, a jeszcze mój postulat jakiego byłego ucznia.
2154:  MS - Wzrósł skróconego mnożenia przydał mi się dokładnie zero razy od kiedy zakończyłem edukację.
2159:  MS - Dziękuję bardzo za tę bezcenną wiedzę i dziękuję panu bardzo za tę rozmowę.
2165:  MS - Moim gościem był pan dr Krzysztof Maj z Katedy Technologii Informacyjnych i Mediów Wydziału Humanistycznego Akademii Górniczo-Hutniczej, a także kanał na YouTubie Krzysztof M. Maj.
2177:  KMM - Dziękuję serdecznie za zaproszenie.
