Jak generować DOBRE pomysły? Seweryn Rudnicki i Krzysztof M. Maj |🚀26
🔗 https://www.youtube.com/watch?v=an6TNZtBUEE
KMM (Krzysztof M. Maj)
SR (Seweryn Rudnicki)

0:  SR - Pomysł to jest nic.
1440:  KMM - Bo bardzo często ludzie oporują wobec nowszych metod czy metod kreatywnych właśnie, bo wydaje im się, że
1447:  KMM - tamte stare, sprawdzone, skuteczne, gdzie jest rygor, mores, są, no właśnie, były wykorzystywane od dawna, w związku z powyższym są dobre.
1457:  SR - To pytanie, które zadajesz, to jest dla mnie pytanie, jak się dzieje zmiana w organizacji.
1462:  SR - I to ja nie aspiruję do takiej roli, żeby prowadzać konkretny proces kreatywny, który trwa, wiesz, od sesji kreatywnej trwającej kilka godzin do, nie wiem, kilkudziesięciogodzinnego procesu, żeby wykonywać tak daleko idących zmian.
1475:  SR - Ja raczej dostarczam pewnych narzędzi pracy, ja ludziom pokazuję, jak takie rzeczy można robić.
1481:  SR - Zwykle jest tak, że się tworzy jakaś taka grupa inicjatywna, takich liderów pewnej transformacji, którzy te rzeczy wiem, że podchwytują i później wdrażają i wykorzystują.
1490:  SR - Na szczęście jest tak, że żeby dokonała się zmiana, nie musisz mieć większości po swojej stronie.
1493:  SR - Dobrze wiem, że mniejszość jak gdyby wywiera często zmieniający wpływ, więc miejmy nadzieję, że to tak się transformuje, ale nie byłoby też jakichś wielkich złudzeń.
1502:  SR - Organizacje muszą bardzo wiele różnych celów zrealizować i
1506:  SR - I to otwieranie się też działa tylko do pewnego momentu.
1509:  SR - No po prostu też trzeba robić business as usual, robić to wszystko, co musi być zrobione, żeby dana firma istniała.
1516:  KMM - A jak miałbyś pokazać ludziom, którzy na przykład pracują ze studentami, zwłaszcza jeżeli to są kierunki praktyczne, gdzie liczy się...
1525:  KMM - brokerstwo innowacji, gdzie liczy się wynalazczość.
1528:  KMM - Jak byś doradzał pracować, zwłaszcza biorąc pod uwagę realia, w jakich funkcjonujemy, to, że rozlicza się nas wszystkich, wbrew logice, punktami, rankingami i tak dalej, a równocześnie trzeba nagle ludziom, którzy mają się uczyć do sesji, zastymulować procesy kreatywne.
1545:  KMM - Jakie są najlepsze do tego techniki, twoim zdaniem?
1548:  SR - Wiesz, ja sobie bardzo zmieniłem warsztaty dydaktyczne od czasu, jak zacząłem się zajmować takimi kreatywnymi metodami.
1555:  SR - Praktycznie nie prowadzę już wykładów, jakby wycofałem się z tych wszystkich rzeczy.
1560:  SR - Większość zdecydowaną zajęć, które prowadzę, to jest jednak w trybie warsztatowym albo mocno konwersatoryjnym, czyli generalnie wchodzę też w taką rolę kogoś, kto
1569:  SR - Wie i umie stworzyć warunki pracy, właśnie takie powiedzmy projektowe, czy takie kreatywne, takie gdzie ludzie czują się w miarę bezpiecznie, żeby poeksperymentować z różnymi rzeczami i w takiej roli się dobrze czuje, raczej facylitatora niż takiego kogoś, kto siedzi tam i wie jaka jest poprawna odpowiedź, no.
1588:  SR - Ja coś tam wiem generalnie, ale dużo rzeczy nie wiem i mam wrażenie, że ludzie się uczą skuteczniej w takich warunkach.
1596:  SR - Ale oczywiście nie wszystkiego, bo pewnych rzeczy się musisz nauczyć po prostu z podręcznika i to też jest w porządku, więc ta droga, o której mówię pewnie nie jest drogą dla każdego.
1604:  KMM - Mhm.
1605:  KMM - Wiesz, bo też się uczą cały czas w trakcie projektu, ja miałem takie cudowne doświadczenie, jak no zwykle przez to, że zajmuję się rzeczami, które, no co do których nawet nie ma podręczników, jak nie wiem, chociażby typy fabuł w grach wideo, no to o wiele prościej jest podać listę fabuł w grach wideo i tyle, zwłaszcza, że sporo studentów na przykład nie gra, ale równocześnie można spytać o to, jakie są ich zdaniem dobre i złe i potem z tego zacząć wypracowywać jakieś struktury, więc to się absolutnie da zrobić.
1630:  KMM - I co więcej, mam wrażenie, że to w ten sposób lepiej wsiąka i lepiej jest zapamiętywane i przede wszystkim ta wiedza staje się operacyjna.
1637:  KMM - Bo tak jak mówisz, nie unikniemy tego, że jest jakaś wiedza teoretyczna, ale ona musi być operacjonalizowalna.
1642:  SR - Dokładnie.
1643:  SR - Chyba tej takiej wiedzy, powiedzmy, podręcznikowej, takiej wiedzy tradycyjnie rozumianej, no to wiesz, mamy już jakby mnóstwo źródeł, mamy teraz czata i będzie takich rzeczy dużo więcej.
1652:  SR - Jak jest sens generalnie w naciskaniu akurat na ten pedał?
1661:  SR - Ale inną rzeczą, która wydaje mi się jakby pomaga tutaj, to są jednak grupy, które są różnorodne.
1668:  SR - Wiele uczelni w Polsce, zwłaszcza uczelni technicznych, działa w takim trybie monokultury, że generalnie ludzie są bardzo homogeniczni, bardzo podobni po prostu do siebie na danym kierunku, w danej grupie studenckiej.
1680:  SR - Ja mam okazję uczyć akurat też takie zespoły, które składają się ze studentów z różnych kierunków, z różnych uczelni, z różnych krajów.
1688:  SR - Czyli studentów Erasmusa na przykład.
1690:  SR - I mam wrażenie, że bardzo fajnie to działa.
1693:  SR - Mam też przedmioty z takich przedmiotów wybieralnych u nas i gdzie też mam ludzi z 5-4 roku bardzo różnych kierunków.
1702:  SR - Też moim zdaniem super układ.
1704:  SR - Mamy tą informatykę społeczną u nas na wydziale, która jest
1708:  SR - Mniej więcej połowa ludzi ma takie bardziej analityczno-ścisłe zacięcie, druga połowa ma takie projektancko-humanistyczne i świetnie to działa.
1717:  KMM - Nie ukrywam, też mój ulubiony konik, to znaczy ten podział, który mamy wdrukowany w społeczeństwie, że są ścisłowcy i są humaniści, a potem jest rynek pracy, który weryfikuje i to bardzo boleśnie.
1726:  KMM - Dokładnie.
1727:  KMM - Nagle się okazuje, że znowu podam przykład z GameDevu.
1730:  KMM - Jasna sprawa, fajnie, że ktoś potrafi zaprogramować level w grze wideo, ale równocześnie nie mamy stanowiska akurat takiego, bo jest mała firma i potrzebujemy też kogoś, kto będzie w stanie napisać quest, a jak jeszcze coś narysuje, to już w ogóle super.
1743:  KMM - No i nagle wtedy nie można rozłożyć rąk i powiedzieć, a ja nie jestem artystą, bo tak, możesz być, prawda?
1749:  KMM - Nie ma żadnego problemu.
1750:  KMM - Dokładnie.
1751:  SR - Świetny przykład.
1752:  SR - Mi się przypomina to powiedzenie skład dobrych founderów startupu, że trzy razy ha, musisz mieć hustlera, hakera i hipstera.
1761:  SR - Hipstera kreatywnego, rozumiejącego kulturę, potrafiącego napisać właśnie opis tego świata, o którym mówisz, hakera, który powiedzmy to zakoduje i hustlera, który to sprzeda.
1772:  KMM - No tak, sprzedanie jest największym problemem, tak.
1775:  SR - I chyba, wiesz, to jest fajny taki moment naszej dyskusji, no bo zobacz, możemy sobie usmysłowić, gdzie są luki, jeśli chodzi o nasze społeczeństwo, naszą kulturę.
1784:  SR - Mamy świetnych programistów i inżynierów w wszystkich konkursach deweloperskich, wiesz, jakby bardzo okej, ale nie jesteśmy krajem, społeczeństwem kojarzonym jakoś szczególnie z innowacyjnością.
1795:  SR - mamy dobrych hakerów, co z hipsterami, z hustlerami, hipsterów to może więcej, hustler jest generalnie, wydaje mi się, to jest bardzo trudna praca, jakby sprzedażowa.
1806:  SR - I no właśnie, to jest ten obszar kompetencji.
1808:  SR - Ja kojarzę takie uczelnie z Finlandii na przykład, gdzie jest politechnika, która w zasadzie jest zmiksowana z ASP.
1816:  SR - No i to już jest na miejscu.
1818:  KMM - To samo w IT University of Copenhagen, tam też zresztą jest pierwszy w Europie kierunek groznawczy, wdrożony właśnie w dwojakim trybie.
1825:  KMM - Jeden to jest ścieżka designerska ściśle, a drugi to jest ścieżka deweloperska, producencka.
1832:  KMM - I w zależności od tego, jakie ludzie mają aspiracje, jaki mają background, mogą wybierać sobie przedmioty z dwóch tych ścieżek.
1839:  KMM - Ja uważam, że w ogóle ideałem byłoby, gdyby można było to mieszać ze sobą, że nie wybierasz jedno i wtedy jesteś skazany na cały czas, żeby to kontynuować.
1846:  KMM - Ale popatrz, jest coś takiego w Polsce, że uważa się, że ta sfera biznesowa, komercyjna, a sfera akademicka to są jakby dwie różne sfery.
1855:  KMM - Wydaje mi się, że możemy właśnie doprowadzać do tego, że to przejście z uczelni na rynek pracy byłoby o wiele płynniejsze.
1862:  KMM - Na przykład sam fakt, że rozmowa kwalifikacyjna może wyglądać bardzo podobnie jak kreatywny egzamin i odwrotnie.
1869:  KMM - Na egzaminie nie musimy odpytywać z wiedzy, możemy dać zadanie kreatywne, takie jak w tych słynnych rozmowach kwalifikacyjnych Google'a.
1876:  KMM - Dostałeś problem do rozwiązania i masz teraz czas i tu masz narzędzia.
1881:  SR - Tak, tak.
1882:  SR - Wiesz, temat rzeka, to jest też jakoś tam bardzo bliskie mojemu sercu.
1889:  SR - Wydaje mi się, że odseparowanie świata akademickiego od świata pozaakademickiego, czy to będzie biznes, czy to będzie przemysł, czy to będzie sztuka.
1898:  SR - Robi dużo złego i wydaje mi się, że transfer między tymi sferami, ja na przykład pracuję sporo z ludźmi z uczelni w Holandii, z Politechniki, czyli takim odpowiednikiem AGH holenderskim i tam model kariery jest często taki, że po studiach sobie idziesz popracować w biznesie przez 10 lat,
1920:  SR - Jak zeszkasz trochę ekspertyzy, wracasz na przykład na uczelnię, zrobisz sobie jakiś doktorat, powiedzmy masz tam koło czterdziestki, to wtedy coś tam podłubiesz, porobisz sobie jakieś badania, chwilę po będziesz w tej społeczności, tam koledzy i koleżanki trochę ci pomogą, nauczą cię tam tego, wiesz, jak to pisać artykuł i tak dalej, a później sobie możesz też wrzucić do biznesu i trochę przynieść tej wiedzy.
1939:  SR - U nas kariery tego typu są bardzo trudne.
1943:  SR - Możesz być na uczelni i robić jakieś fajne badania na zlecenie przemysłu.
1947:  SR - To się dzieje, bo masz ekspertyzę, masz laboratorium i tak dalej.
1951:  SR - Ale jakbyś próbował pracować i tu, i tu, to jest naprawdę trudne.
1955:  SR - Musisz tak jakby grać jednocześnie w obie gry.
1960:  SR - część wspólna między nimi jest stosunkowo nieduża.
1962:  SR - Znam sporo ludzi z biznesu, którzy próbowali wejść na akademię, zrobić na przykład doktorat.
1968:  SR - Mam wrażenie, że to jest jeszcze trudniejsze niż wyjście z akademii.
1971:  SR - O ludziach, którzy wyszli z akademii i dobrze sobie radzą w biznesie znam ileś takich historii.
1976:  SR - W drugą stronę praktycznie nie znam.
1979:  SR - Oczywiście to jest jakieś tam anegdotyczne w moim wypadku, bo przecież nie jest to jakby przeglądowe badanie, ale
1985:  SR - Generalnie nie jest to proste, zmiana tych gier, więc jakby ten transfer, który mógłby się odbywać między tymi obszarami jest siłą rzeczy ograniczony.
1993:  KMM - Zwłaszcza, że też zmieniają się cały czas formuły.
1996:  KMM - Kiedyś studia zaoczne były dla ludzi pracujących, a dzisiaj jest to trochę nonsensowne, bo każdy pracuje w jakimś...
2002:  KMM - wydaniu, właśnie ciężko jest zestroić tę pracę, którą wykonujemy z tym, co robimy na uczelni.
2007:  KMM - Przypomina mi się z kolei dowód anegdotyczny jeden, to znaczy mój przyjaciel, który teraz pracuje w THQ Nordic w Austrii, robił doktorat humanistyczny, ale z analizy strategii marketingowej w grach wideo.
2019:  KMM - I powiedziano mu, no słuchaj, jeżeli chcesz robić u nas doktorat, musisz sobie znaleźć pracę w studiu, musisz zobaczyć, jak wygląda marketing i
2027:  KMM - I wtedy oni ci sfinansują doktorat.
2029:  KMM - I to jest podobno częsty tryb w uczelniach niemieckich, że te doktoraty są współfinansowane czy kofinansowane przez biznes.
2036:  KMM - To może też jest jakieś rozwiązanie, ale wiesz, dla mnie jest to tyle unikatowe, że zachęca do myślenia takiego także w obszarze humanistyki, co jest rzadkością jednak wciąż.
2045:  SR - Tak, doktoraty wyróżniowe mamy i w zasadzie już w Polsce można robić też w humanistyce.
2051:  SR - Ale ta ścieżka generalnie, o której tu mówimy, taka powiedzmy, brzydko da się mówić, komercjalizacyjna, ale ona jakby gdzieś tam, wiem, że w zamysłach ustawy, która w tym momencie jest, ona miała być mocniejsza, jest taka, jaka jest.
2064:  SR - Więc to się dzieje w jakimś ograniczonym zakresie.
2069:  SR - Na pewno można sobie wyobrazić, żeby to działo się lepiej, no ale wiesz, akademia się profesjonalizuje, musisz coraz więcej punktów dowozić i tak dalej, i tak dalej, to jest coraz...
2076:  SR - coraz jakoś tam trudniejsze, więc się skupiasz na tych punktach, no bo ostatecznie za to jesteś głównie oceniany.
2081:  KMM - Byś miał doradzić ludziom, którzy chcą trochę tak, nie wiem, i poza systemem edukacji, i poza swoją branżą, w której pracują, pracować nad swoją własną kreatywnością w ramach samorozwoju.
2091:  KMM - Czy są jakieś dobre techniki?
2093:  KMM - Wiadomo, ciężko jest nauczyć się pracy w zespole poza zespołem, ale czy można jakoś stymulować swoją własną kreatywność w własnym zakresie?
2102:  SR - Są różne, rozmaite treningi kreatywności, które składają taką obietnicę, że istnieje coś takiego jak taka ogólna kreatywność, taka zgeneralizowana kreatywność, która generalnie jest tam powiązana z ogólnym wskaźnikiem inteligencji i tak dalej, i tak dalej.
2121:  SR - Jest to psychologicznie tam umocowane.
2125:  SR - Natomiast ja nie pracuję w tym podejściu w ogóle.
2128:  SR - W ogóle nieszczególnie mnie interesuje indywidualny poziom kreatywności osób, które przychodzą do mnie na zajęcia, na warsztat, do zespołu.
2136:  SR - Wiele razy słyszałem, że osoba, co do której na oko bym nie powiedział, że jest takim geniuszem kreatywności, rzucała pomysł, który okazał się wybrany przez grupę ostatecznie.
2145:  SR - Okazał się tym najlepszym w tym konkretnym kontekście pomysłu.
2150:  SR - Więc moje podejście polega na tym, żeby wspierać zespoły, a nie żeby wspierać jednostki w rozwoju kreatywności.
2158:  SR - Wydaje mi się też taki mit, wiesz, w ramach tych mitów są ci wszyscy Archimedesi, co weszli do wanny, Newtonowie, którzy się położyli, wiesz, pod...
2167:  SR - jabłonią i spadło jabłko i bach, pomysł.
2170:  SR - Weź tą żarówkę, tą Edisonkę, która jest taką najbardziej wyświechtaną i mało oryginalną po prostu metaforą, ikoną kreatywności.
2179:  SR - To jest strasznie błędne.
2181:  SR - Generalnie pomysły mają nie tyle ludzie, co zespoły.
2184:  SR - Pomysły nie pojawiają się w momencie, tylko wymagają czasu pewnego, w procesie się pojawiają.
2190:  SR - I sam pomysł generalnie nie broni się sam, tylko wymaga jeszcze dużo wsparcia i rozwoju, żeby coś z tego sensownego wyszło.
2198:  SR - Już wolałbym, żeby ziarenko było symbolem kreatywności.
2201:  SR - Większość tych ziaren, nic z nich nie wychodzi, one gniją, gubią się.
2207:  SR - padają na skałę i tak dalej.
2209:  SR - Znamy te przypowieści.
2210:  SR - Więc jakby z niektórych coś sensownego powstanie, często to co powstanie umrze też, ale z niektórych powstają naprawdę sensowne rzeczy i wielkie dęby, pod którymi wszyscy odpoczywamy.
2220:  KMM - No to w tym kontekście muszę ci zadać to pytanie, co bardziej sprzyja wynalazczości i innowacyjności?
2226:  KMM - Współpraca czy rywalizacja?
2231:  SR - Ja nie jestem pewien, czy w kontekście kreatywności widziałbym te rzeczy jako rozłączne.
2239:  SR - Jest jasne, że jednym z takich podstawowych driverów kreatywności w dekadach powojennych była zimna wojna i rozwój wojskowości.
2248:  SR - Mnóstwo technologii, weźmy internet, no właśnie wtedy powstał GPS, taka sama... No więc rywalizacja...
2259:  SR - Są takie miary kultur.
2263:  SR - Jednym z takich wymiarów, które się diagnozuje w jednym z takich klasycznych podejści jest męskość i kobiecość.
2270:  SR - Niesamowicie seksistowskie zestawienie, ale to kilkadziesiąt lat temu zaczęto to robić i tak już to niestety zostało.
2276:  SR - W każdym razie generalnie porównywano czy kultury, które kładą nacisk na rywalizację i sukces taki wiesz, mierzalny, materialny, czy kultury, które kładą nacisk na jakość życia
2288:  SR - współpracę, więzi, relacje itd., które są bardziej innowacyjne statystycznie.
2294:  SR - Okazało się, że nie ma zależności.
2296:  SR - Czyli w obu źródło może tej innowacyjności jest nieco odmienne, ale wyniki są podobne.
2305:  KMM - Czyli bardziej rywalizacja zespołów niż rywalizacja jednostek w zespołach.
2310:  SR - Właśnie to na pewno.
2312:  SR - Wszystkie te techniki kreacyjności są bardzo
2315:  SR - demokratyczne w tym sensie, żeby spłaszczać hierarchię, żeby rozbijać te struktury, statusów, które gdzieś tam mogą powstawać w trakcie pracy kreatywnej, żeby to niwelować.
2329:  SR - ale raczej bym też nie przeciwstawiał zespołów sobie.
2333:  SR - Ja często pracuję w takim trybie, że kilka zespołów równolegle pracuje nad rozwiązaniem problemu, ale przy założeniu, że nie ma tego jednego dobrego rozwiązania, tylko tam wiele dobrych może być.
2344:  SR - No i wtedy, jak jesteś w zespole i widzisz, że obok pracują i tam gdzieś pracują, no to się też mobilizuje.
2350:  SR - Tam zaraz coś wymyślą, zaraz coś zaprezentują, też chcę coś sensownego opowiedzieć.
2354:  SR - Nie muszę z nimi wygrać, ale przynajmniej zagrajmy.
2358:  SR - Pobawmy się.
2360:  SR - I to tworzy fajną atmosferę.
2362:  SR - Wydaje mi się, że tak to sprzyja.
2365:  SR - A jednocześnie zespoły mogą się trochę wymieniać, wyjedzą, dawać sobie feedback nawzajem.
2369:  SR - No to sens.
2370:  KMM - Tak, to też spłaszcza tę strukturę hierarchiczną, którą mamy.
2375:  KMM - Lubię zadawać to pytanie zawsze na koniec.
2376:  KMM - Czy jest jakaś jedna myśl, którą byś chciał zostawić ludzi, którzy myśleli sobie do tej pory, że design thinking, kreatywność, innowacja to jest dla nich czarna magia absolutnie i chcieliby wejść do tego świata jakoś, a się boją właśnie.
2387:  KMM - Tak jak bardzo często ludzie boją się wziąć udział w współpracy grupowej czy w projekcie jakimś zespołowym.
2395:  SR - Ja też chciałbym ich zachęcić do tego, że to są metody, które nadają się na każdego.
2401:  SR - Kilkuletnie dzieci można przeprowadzać przez takie procesy projektowe i to są narzędzia, są gry, w których dzieciaki zupełnie naturalnie wchodzą w takie rzeczy.
2411:  SR - Natomiast ja bym chyba wolał zostawić ludzi z taką myślą, że żeby mieć dobry pomysł, to trzeba mieć po drodze dużo różnych pomysłów i żeby raczej starali się nie jeden zamknięty, gotowy pomysł,
2422:  SR - wiesz, jak taki klejnot pomysł swój nie jest, tylko raczej jako coś takiego otwartego, jako półpomysł, który możesz zyskać, jak o nim opowiemy, jak się wymienimy z kimś, jak coś do niego dodamy, jak właśnie dostaniemy feedback.
2435:  SR - Jakby, żeby patrzeć na rozwój pomysłu jako proces, w którym on może przychodzić bardzo wiele transformacji i zyskiwać na tych transformacjach i żeby dążyć do sytuacji, w której powstają naprawdę pule wielu różnorodnych pomysłów.
2446:  SR - Tak się dochodzi do tych nielicznych, naprawdę dobrych.
2450:  KMM - Dzięki Ci wielkie.
2451:  KMM - W bunkrze nauki był z nami Seweryn Rudnicki, specjalista i trener innowacji.
2455:  KMM - Dziękuję Ci serdecznie za rozmowę.
2457:  KMM - Dzięki Krzyszku.
