Pojedynek wielu światów, czyli co wyszło i nie wyszło w nowym "Doctor Strange"?
🔗 https://www.youtube.com/watch?v=hB7-BTWbsg0
GW (Grzegorz Wątroba, Okiem Deva)
MK (Marcin Kończewski, Koń Movie)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Witamy w wojnie wielu światów.
1518:  BFP - Było dużo ciekawiej magii także w tym odcinku.
1519:  GW - No dobrze, ale ja bym chciał to zobaczyć w wersji filmowej.
1523:  MK - Umówmy się, że jednak tutaj chodzi o filmy i filmy są flagą największą, a seriale są już naprawdę dla geeków i dla tych bardzo, bardzo zaangażowanych w świat Marvela fanów.
1538:  BFP - A propos oryginalnego rozgrywania pojedynków między psjonikami, na przykład to Krzysztof naprawdę, naprawdę, zresztą Marcin, jeżeli ty nie widziałeś, obejrzyjcie Legion.
1548:  BFP - Legion, gdzie przecież syn Charlesa Xavier'a jest głównym bohaterem.
1553:  GW - To jest chyba jeden z najlepszych marvelowskich seriali, jeżeli chodzi o oryginalność.
1558:  GW - Masz połączenie właśnie...
1561:  GW - introspekcji związanych z taką psychologią, rodzenie sobie z traumą, jednocześnie masz elementy w ogóle musicalowe, to jest niesamowite.
1570:  GW - Tam walczą na taniec, tak?
1570:  GW - Tak, walczą na taniec.
1571:  BFP - Dwa hipoteżni psionicy walczą na taniec, a jeden z najpiękniejszych... Tak abstrakcyjny serial.
1576:  MK - O nie, Krzysztof, spodoba Ci się, naprawdę.
1577:  MK - To jest jedna scena, jest jedna scena, która była przegenialna.
1581:  MK - No to...
1581:  MK - Z nutami.
1582:  MK - Która z nutami.
1583:  MK - To naprawdę mi się bardzo podobało, bo to było coś innego właśnie.
1588:  MK - I to jest to, czego bym oczekiwał.
1590:  MK - Ja to też w swojej recenzji mocno zaakcentowałem, że to jest coś, co mi cieszy mordkę.
1594:  MK - Ja po prostu uśmiechałem się oglądając tę scenę, bo to jest coś nietypowego.
1599:  MK - Ja tego chcę więcej, więcej, więcej.
1600:  BFP - A to jest żywcem wyjęte z serialu Lidia.
1602:  BFP - Naprawdę.
1603:  MK - Tylko o tym myślałem, kiedy widziałem.
1604:  MK - Dlatego ja będę popierał Grzesia tutaj, że tego jest tutaj zdecydowanie za mało.
1610:  MK - Jest bardzo dużo rajmizmu, to jest super, to jest świetne, ale ja naprawdę potrzebuję w tym wszystkim historii i wykorzystywania potencjału, który znam z komiksów, który też wiem, że drzemie tam i on jest gigantyczny.
1626:  MK - A tutaj...
1628:  MK - Pod tym względem jest naprawdę tutaj bardzo kiepsko, bo nasi bohaterowie są rozwodnieni po prostu.
1637:  MK - Rozmywa się to o ich motywacje, które są kompletnie niejasne praktycznie.
1642:  MK - Jeżeli naprawdę pomyślimy o tym, co motywowało Wandę,
1646:  MK - to to było tak przewidywalne i było tak wiadome od początku, jak to się zakończy, że ona świetnie nadrabia to aktorstwem, całą podbudowę.
1656:  MK - Jest genialna, naprawdę w wielu momentach dawała popis, ale niestety było wiadome od samego początku, że to, czym ona się tutaj motywuje, jest absurdalne i ona sama do tego dojdzie, bo jest w niej to ziarno dobre i to było widać po prostu w poprzednich Avengersach, było to widać w WandaVision.
1674:  MK - I to jest kolejna rzecz, która mnie strasznie zirytowała w Strangu, że tak jakby to przejście rzeczywiste w jakiś tam sposób tej ścieżki, którą ona przeszła w WandaVision, tutaj też jest w jakiś sposób przekreślone.
1691:  MK - I to jest też kiepskie.
1694:  MK - Ona wraca tylko i wyłącznie, scena po napisach jest istotna z Darkholdem z całego serialu praktycznie.
1700:  MK - A cały serial i to, że ona zrozumiała motywację Visiona, który jej wytłumaczył, co jest nie tak w tym, co ona robi.
1710:  MK - I ona też się do tego przyznała.
1711:  MK - No to tutaj wracamy znowu i mamy zero.
1714:  GW - Przerabiamy to samo.
1715:  GW - No właśnie, to jest tak jakby ta, powiedzmy, terapia, którą przeszła w WandaVision w ogóle nie miała żadnego efektu i żadnego znaczenia, a ona była clue tego serialu w ogóle, gdzie ona właśnie przepracowała sobie to wszystko i w tym momencie to jest takie...
1734:  GW - Aż tak Darkhold po prostu jej pomieszał w głowie z powrotem.
1739:  GW - Ale znowu, Magafinem tak naprawdę przekreślili cały rozwój psychologiczny postaci.
1743:  GW - O to chodzi.
1744:  MK - Trochę kapa, nie?
1745:  MK - Wielokrotnie już wam mówiłem, że to jest dla mnie najważniejsze.
1747:  MK - Zawsze.
1748:  MK - Zawsze jest ten człowiek, jego emocje, to w jaki sposób rozbudowuje się postać, jak się charakter Ark robi.
1753:  MK - To jest szalenie istotne.
1755:  MK - Ja tutaj w ogóle tego nie wyczułem.
1757:  MK - W całym, całym praktycznie filmie to jest największy jego minus.
1760:  GW - Ale w ogóle istotą komiksów jest to, że mamy wybujałe, fantastyczne postaci, które robią niestworzone rzeczy, ale mają ten jeden relatable pierwiastek ludzki, na którym się opieramy i który pokazuje, że oni mają te same problemy co my, tylko że po prostu w innej skali.
1782:  GW - I oni jakoś właśnie przechodzą stratę bliskich, jakieś niespełnione pragnienie, jakieś nieprzepracowane rzeczy.
1791:  GW - I oni to przeżywają i mają ten swój proces i my z tym procesem idziemy i przez to możemy odczuwać jakiś tam katarzyzm.
1798:  GW - I w momencie, kiedy to wszystko idzie w pizdzielec gdzieś, no to w tym momencie mamy tylko taką popcornową papkę.
1806:  KMM - Tutaj jest ten problem, że ten film jest o przemianie Ameryki Chavez, która się dokonuje w zasadzie pozakadrowo w wyniku tego, że dr Strange jej mówi jak coach ze sceny uwierz w siebie i ona mówi spoko i zaczyna czarować, podczas gdy dr Strange, żeby dojść do takiego momentu właśnie objawienia i uwierzenia w siebie, potrzebował całego pieprzonego filmu sobie poświęconego.
1833:  KMM - A tutaj mamy dosłownie parę scen i zgadzam się absolutnie z tym, że America Chavez jest relatable właśnie przez to, że jest osamotniona w tym świecie, że rozumiemy jakby jakim dramatem jest to, że dysponuje mocami, których nikt inny nie dysponuje.
1848:  KMM - Tylko, że właśnie szkoda, że ten woda nie został pociągnięty.
1850:  KMM - Ale druga rzecz dla mnie o wiele bardziej problematyczna.
1852:  KMM - Zauważcie, wybijacie elementy z Doktora Strange'a, które wskazują na to, że tak, po pierwsze, w filmie o czarnoksiężniku nie ma magii, a jedyny pokaz magiczny to są te nuty, to jest dosłownie to, co powinno być przez cały czas, bo to jest magia.
1867:  KMM - Druga rzecz, nie są wyjaśnione te okoliczności, w jakich
1873:  KMM - Funkcjonują te dwie księgi, które są kluczowe dla fabuły.
1876:  KMM - Nie wiemy, kto je spisał, nie wiemy, dlaczego one zostały spisane.
1878:  KMM - W przypadku Darkholdu wiemy znacznie więcej.
1880:  KMM - W przypadku drugiej wiemy tylko, że jest antytezo Darkholdu.
1883:  MK - I w ogóle, co się z nią dzieje, to jest też jakaś kpina z tej księgi.
1885:  MK - Ona jest niczym, ona nie istnieje.
1887:  MK - Tak, tak.
1890:  KMM - Dlaczego zniszczenie grimoiru powoduje, że on przestaje działać?
1893:  KMM - To też jest nielogiczne.
1894:  KMM - I ostatnia kwestia, najbardziej problematyczna, właśnie w przypadku Stevena Strange'a.
1898:  KMM - Zauważcie, że ten film, jak byśmy spojrzeli na narrację, na napięcie narracyjne, on jest o niczym.
1903:  KMM - To jest dokładnie ten sam problem, który zaczyna mieć ostatnio z większą liczbą filmów, że on się zaczyna i kończy, tak samo było z Sekretami Dumbledora, nic nie zmienia w uniwersum.
1911:  KMM - By ten film wyciąć, nic nie zmienia w uniwersum.
1915:  KMM - Ponad wprowadzenie Ameryki Chavez to moglibyśmy zrobić jednym odcinkiem serialu.
1918:  KMM - Natomiast tutaj Doktor Strange nie przeżywa wewnętrznej przemiany, a to jest film o nim.
1924:  KMM - Ameryka Chavez przeżywa powierzchowną przemianę, a Wanda Maximoff przeżywa ponownie przemianę, którą przeżyła w swoim serialu.
1931:  BFP - Dokładnie.
1934:  BFP - Zbiorę parę wątków, żebyśmy posunęli tę dyskusję kawałek naprzód, aczkolwiek skaczemy sobie swobodnie między różnymi uniwersami i bardzo dobrze to wychodzi.
1944:  BFP - Nie do końca zgodzę się z tym, że
1947:  BFP - Ja potrzebuję na przykład wiedzieć w tym filmie, kto stworzył Darkhold, co się z tym wiąże, bo na tej zasadzie wszystkie filmy z Thor'em byłyby do śmieci, bo nie dowiedzieliśmy się, jak powstał Asgard i pozostałe inne światy w ramach mitologii nordyckiej.
1960:  BFP - Tak samo nie wiem, jaka była historia założenia oryginalnych Guardians of the Galaxy, tych, na których czele stał... Ale na przykład miałeś wyjaśnione, skąd się wziął Stormbreaker i dlaczego musiał być wykuwany w tej kuźni i to było wyjaśnione w 30 sekund.
1974:  GW - Tak.
1974:  GW - Ale nie wiedziałem skąd się wziął.
1976:  GW - I przez to Stormbreaker nie był magafinem.
1979:  BFP - Zgoda.
1981:  BFP - I tu przechodzę właściwie do dwóch właśnie kolejnych rzeczy.
1984:  BFP - Jedna będzie dotyczyła Ameryki Chavez.
1986:  BFP - Właściwie obydwie będą dotyczyły Ameryki Chavez.
1988:  BFP - I tu padło w pewnym momencie, że szkoda, że zaklęcia są przedstawiane w tak nieciekawy sposób.
1994:  BFP - Dla mnie jak już zaklęcia były przedstawione, one były fajne.
1996:  BFP - Tylko ja mam jeden problem.
1997:  BFP - który miałem dokładnie taki sam problem z One Division.
2000:  BFP - To był serial, który bardzo mi się podobał przez pierwsze 4-5 odcinków i mocno mi się nie podobał na zakończenie.
2006:  BFP - Nie podobał mi się na zakończenie, ponieważ cała ta piękna konstrukcja psychologiczna musiała zostać zniszczona przez Agatę Harkness, która się pojawia i mówi, to byłam ja!
2016:  BFP - I zaczyna latać w powietrzu i strzelać się laserami
2019:  BFP - z Wandą Wyżyn, przepraszam, Wandą, a Wyżyn w tym czasie walczy z Białym Wyżym, strzelając się laserami.
2025:  BFP - Czyli wszystko generalnie sprowadzało się do...
2035:  BFP - I co się dzieje w przypadku Ameryki Chavez, która ma ciekawą, jakby tak jak Brandon Sanderson stwierdził, ciekawa jest moc ta, która wiąże się z jakimś kosztem, który ponoszę, prawda?
2047:  BFP - I Ameryka Chavez jest ciekawa do momentu, w którym nie panuje nad swoimi mocami.
2051:  BFP - Ona nie wie, kiedy to się stanie, kiedy się przeniesie.
2053:  BFP - Musi być w jakiejś
2055:  BFP - tragicznej, kryzysowej sytuacji, prawda?
2057:  BFP - I to może wyrządzić wielką szkodę, tak jak jej rodzicielkom.
2060:  BFP - Natomiast moment, w którym ona zdaje sobie sprawę, że wow, ja mam moc, podskakuje i jeb, strzela w machę Wandzie, to jest znowu ten sam problem.
2069:  BFP - Czyli aha, czyli ona poza tym, że potrafi przenosić się między wymiarami, to potrafi skupić energię Chi w swojej pięści i przypierdolić komuś.
2078:  BFP - No to jest tak sztampowe, to jest tak nieciekawe i tak całkowicie rozładowuje potencjał tych postaci, nawet w samych ich supermocach, które mają.
2086:  BFP - I tu chciałem wrócić do tego, co pojawiło się na samym początku, przechodząc troszeczkę do drugiego filmu, który nam dzisiaj towarzyszy, czyli Wszystko Wszędzie Naraz, że ja bym pewnie bardziej oponował, bardziej bym się z wami spierał, broniąc Dr. Strange, gdybym nie widział Wszystko Więcej Naraz.
2100:  BFP - I Krzysztof powiedział mega ważną rzecz na dzień dobry.
2103:  BFP - Wiedział, bardzo nie podoba mi się to, w jaki sposób zostały przedstawione matki Ameryki Chavez i pociągnął to Grzegorz, mówiąc, że został uprzedmiotowiony.
2113:  BFP - I teraz uważajcie.
2116:  BFP - Jeden z mianowników wspólnych między tymi dwoma filmami jest to,
2120:  BFP - że córka, protagonistki, wszystko wszędzie naraz, jest homoseksualna.
2126:  BFP - Ale to nie jest jedyna cecha jej osobowości, tak jak tamtych matek.
2130:  BFP - Relacja między matką a córką jest niezwykle złożona i ważna.
2134:  BFP - Ma cały kontekst kulturowy.
2135:  GW - To jest w ogóle absolutnie core tego filmu.
2137:  BFP - Dokładnie.
2138:  BFP - I to jest core emocjonalne.
2140:  BFP - Ja zgadzam się.
2140:  BFP - Możemy rozmawiać jeszcze chwilę też o korporacjach, chociaż chciałbym przejść właśnie do Wszystko Więcej Naraz, które powstało od niezależnego studia.
2147:  MK - Wszędzie, wszędzie, wszędzie.
2149:  BFP - A co ja powiedziałem?
2150:  MK - Cały czas mówisz, że jest więcej, ale my chcemy więcej od Stręża.
2152:  BFP - No bo ja chcę więcej, no.
2153:  BFP - Wszystko więcej na raz.
2154:  BFP - Dawajcie mi więcej, wszystko wszędzie na raz.
2156:  GW - Ale to nie jest zamówienie w McDonaldzie, tylko tytuł filmu, więc wszystko wszędzie na raz.
2161:  BFP - Jak rozmawiamy o Disneyu i Marvelu, to możemy mówić o zamówieniach w McDonaldzie.
2165:  BFP - Dostaję dobrego hamburgera mniej więcej co trzy miesiące, a biorąc pod uwagę seriale, dostaję co jakiś miesiąc.
2170:  MK - A to był sezonowy drwał tylko.
2172:  BFP - Właśnie, rozmawiamy...
2175:  BFP - Rozmawiamy o burgerach z McDonalda, które bywają lepsze bądź gorsze i rozmawiamy o kraftowym burgerze, jakim jest wszystko wszędzie naraz.
2183:  BFP - Dobra, nieistotne.
2185:  BFP - Film, film.
2185:  BFP - Go on, go on.
2186:  BFP - Oddaję wam tutaj głos, bo zobaczcie jak bardzo zgadzam się właśnie z tym, że
2192:  BFP - Wchodzi producent z jakąś checklistą i mówi, a i musimy mieć tu takie dwie, swoją drogą ciekawe, czy zostanie to cenzurowane w Chinach, ale to tak na marginesie.
2200:  BFP - Trzeba by śledzić te informacje, no właśnie.
2203:  BFP - Więc przychodzi ktoś z checklistą i mówi, o są dwie mamy i to wystarczy, więcej o nich nie musicie wiedzieć, wiadomo, że kochały córkę i tyle.
2210:  BFP - A nagle masz wszystko więcej naraz i masz głęboką relację.
2214:  KMM - Finn jest znany przecież powszechnie jako ten czarny szturmowiec i ten czarny szturmowiec Finn, który nie ma żadnej innej cechy osobowościowej, poza tym, że jest wszystkich sidekickiem, został skurczony na plakacie disneyowskim w Force Awakens, przecież właśnie z uwagi na ich nieprawdopodobnie empatyczny stosunek do reprezentacji innych ras i innych grup społecznych i nienormatywnych.
2237:  KMM - Natomiast w przypadku Wszystko Wszędzie Naraz, powiem tak, że mi się bardzo ten film nie podobał i bardzo mi się ten film podobał.
2243:  KMM - Już wyjaśniam dlaczego.
2244:  KMM - To znaczy, to jest film dla mnie do oglądania w domu.
2247:  KMM - Ja lubię tego rodzaju eksperymenty, ale to są filmy, które ja bym przewijał w wielu miejscach, ponieważ ten humor do mnie nie trafia.
2254:  KMM - Natomiast to, co do mnie trafia, to bardzo dużo...
2257:  KMM - wysmakowanych, gnialnych zabiegów kinematograficznych, częstokroć tak pomysłowych, że ja bym nawet na to nie wpadł, biorąc pod uwagę to, jak mają bardzo skromną scenografię.
2268:  KMM - Widać też skromny budżet, ale radzą sobie z tym właśnie tak, jak radzi sobie artysta.
2273:  KMM - kombinują kreatywnie.
2275:  KMM - Scena z dwoma kamieniami, które ze sobą rozmawiają jest genialna.
2279:  KMM - Nie pamiętam lepszej sceny.
2282:  KMM - A co było w Doktorze Strange'u, że o, bo tu jest jeden wymiar, w którym zmieniasz się w farby.
2287:  KMM - U, nie chcesz długo pozostać w tym wymiarze, bo nie będziesz mógł jeść.
2290:  KMM - Jakie zabawne.
2292:  KMM - Ale to jest prawda, nie będziesz mógł.
2295:  GW - W porównaniu właśnie do... Tak, dokładnie.
2298:  KMM - Więc tam zdecydowanie to szło w lepszym kierunku, bardziej kreatywnym i przede wszystkim też widać było różnorodność tych światów.
2308:  KMM - I żeby było jeszcze śmieszniej, widać było też stawkę.
2312:  KMM - Tam była bardzo konkretna stawka w postrzymaniu tych wszystkich pęknięć czasoprzestrzennych, której nie było w Strange'u, a która była w What If i która była w Lock'im.
2322:  MK - Wiecie co było jeszcze fenomenalne?
2324:  MK - Moim zdaniem to właśnie jest gigantyczna różnica straszna pomiędzy tymi dwoma filmami.
2330:  MK - Jeżeli chodzi o eksplorowanie możliwości jaką dają wieloświaty to jest przede wszystkim to jak gigantycznie różniły się postacie, te same postacie ale w różnych rzeczywistościach.
2344:  MK - To jest ta rzecz, która jest niesamowita i za każdym razem dostawaliśmy właśnie taką konstrukcję psychologiczną bohatera, że mimo wszystko ty, nawet jeżeli tam byłeś przez chwilę w tamtym świecie, to potrafiłeś to wejść.
2357:  MK - Mnie ujął tak za serce ten motyw z kamieniami, a druga rzecz, ten motyw w świecie, w którym ludzie mieli ręce jak parówki.
2365:  GW - W ogóle poświęcenie czasu na tak absurdalny świat mnie kompletnie rozpieprzał.
2371:  MK - Ale popatrzcie ile tam było emocji w pewnym momencie, jak ta nasza główna bohaterka właśnie w tym świecie brata się z...
2381:  MK - To się na początku... Są parą.
2383:  MK - Tak, no są parą, oczywiście.
2385:  MK - Przepraszam, ale chodzi mi o to, że to jest w ogóle to połączenie, że ona tam jest czarnym charakterem, tak?
2392:  MK - To się nam wydaje i to zostaje wszystko złamane, przełamane, kompletnie podważone i ukazane w zupełnie innej perspektywy, że to jest zawsze tylko i wyłącznie w jakiś sposób umowne i to jest...
2407:  BFP - Zobaczcie, że Doctor Strange z całym tym swoim budżetem i z całym tym swoim tytułem miał tak niewiele szaleństwa i obłędu na tle wszystko wszędzie naraz.
2417:  BFP - Teraz właściwie wreszcie powiedziałem ten tytuł.
2419:  MK - Miał dużo, jeżeli chodzi o wizualia, to się zgodzę.
2423:  MK - I odwagę gatunkową.
2424:  BFP - Ty powiedziałeś o tym, że było więcej ciekawych pomysłów na to, jak rozegrać różne światy, wszystko wszędzie naraz.
2432:  BFP - Tam nawet było więcej pomysłów na to, jak rozegrać zwykłe mordobicie ciekawień.
2436:  BFP - To było tak banalne.
2437:  BFP - Walka między Mordo a Strangem to jest Jason Bourne.
2440:  BFP - To jest typowy Jason Bourne.
2442:  BFP - A tam na przykład walka, która sprowadzała się do tego, że musisz dać komuś przyjemność, rozwiązać jego życiowy problem.
2450:  BFP - Albo na przykład zrobić to szybciej.
2452:  BFP - Masa różnych ciekawych pomysłów.
2454:  GW - W ogóle chyba jeden z najlepszych motywów był wtedy, kiedy pokazali, jak był jeden z pierwszych zabiegów, gdzie pokazywali jednocześnie fabuły w dwóch różnych wersjach świata, gdzie w jednej Evelyn, czyli główna bohaterka, właśnie wszystko wszędzie naraz, gadała ze swoim mężem, który chce się z nią rozwieść, a jednocześnie w drugim uniwersum walczy z demonicznym Daidri, która została opętana przez...
2481:  GW - Tą wersję jakiegoś profesjonalnego zapaśnika i chciała ją złamać na kolanie i w tym momencie, żeby na dodatek, żeby poradzić sobie z nią, musiała w tym momencie przekonać, bo w ogóle ten koncept, bo od tego zacznijmy.
2497:  GW - Jak gdy tutaj doktor Strange potrzebował faktycznie przenoszenia się pomiędzy multiwersami, to tutaj mamy ten transport mentalny pomiędzy różnymi wersjami siebie i ten koncept w ogóle oparty na tym, że... Może mają Dark Holda.
2513:  GW - Jest zgodny w sumie z tą jedną z koncepcji, którą kiedyś też prezentował Stephen Hawking, że tak naprawdę w kontinuum czasoprzestrzennym każda decyzja powoduje tworzenie różnych wersji tej samej rzeczywistości i to faktycznie.
2528:  GW - jest tak pięknie pokazane, gdzie mamy te takie bardziej wyraziste wersje rzeczywistości i mamy ten cały ciąg, który prowadził do tego, że nagle z biednej właścicielki automatycznej chińskiej pralni staje się gwiazdą filmową albo szefem tej techniki żonglerki gotowania, te panyaki to się chyba nazywa, tam gdzie mamy multiwersum, gdzie... Rakakuni to był, to był Rakakuni.
2552:  GW - Tak, tak, w ogóle ja bym...
2555:  GW - Tak, to było też niesamowite, że ona specjalnie, tak na początku myślałem, ona się przejęzyczyła tylko po prostu, że pomyliła sobie Ratatouille z Rakakuni i później i tak pomyślałem sobie w głowie, jak oni zrobią wersję uniwersum, gdzie zamiast szczurów na łobach będą mieli szopy, to się popłaczę ze szczęścia, autentycznie urodniłem łzy.
2577:  GW - Bo to było tak genialne, gdzie mieli po prostu szopy na głowie pod wielkimi czapkami i żonglowali jedzenie.
2582:  GW - To było cudowo.
2583:  KMM - To są dwie rzeczy, których nie ma w Strzężu.
2586:  KMM - To znaczy, po pierwsze, wyjaśniono bardzo precyzyjnie i poświęcono bardzo dużo czasu.
2591:  KMM - Zasady.
2592:  KMM - I dzięki temu można było je łamać i dzięki temu można było z nimi grać.
2596:  KMM - I druga rzecz.
2598:  KMM - To jest coś, czego bardzo dużo ludzi, którzy są zafiksowani politycznie, nie rozumie kompletnie, zwłaszcza w odniesieniu do fantastyki.
2604:  KMM - To nie jest tak, że osoba o konserwatywnych poglądach zawsze będzie koso patrzyła na reprezentację mniejszości seksualnych w filmie, w literaturze czy gdziekolwiek indziej i al rovestio, jeżeli ktoś ma poglądy liberalne, będzie patrzył koso na reprezentację konserwatystów.
2618:  KMM - Nie.
2619:  KMM - To się da zrobić, tego się da nauczyć scenariopisarzy, tego się da nauczyć pisarza, jak napisać postać, żeby była lubialna, żeby można było się w nią wcielać, żeby człowiek z nią sympatyzował.
2633:  KMM - Jak ja patrzyłem na córkę głównej bohaterki Wszystko Wszędzie Naraz, ja byłem po jej stronie.
2638:  KMM - Ja powiem sobie momentalnie.
2640:  KMM - Się nie zastanawiałem nad tym, co... W ogóle mi to przez myśl nie przeszło.
2644:  KMM - Potraktowałem to jako coś absolutnie normalnego, tak jak powinno się to traktować, nawiasem mówiąc, ale to zrobiła narracja filmowa, a nie moje poglądy.
2653:  KMM - Ja moje poglądy odwieszam bardzo często na półkę, bo mam takie podejście do sztuki.
2658:  KMM - Willing suspension of disbelief, jak mawiał Coleridge.
2660:  KMM - Odstawiam wszystko i daję się porwać narracji.
2663:  KMM - Narracja o matkach Ameryki Chavez mówiła mi... O, popatrz, no to są...
2668:  KMM - Ona ma mamę, a nie mamę.
2670:  KMM - Patrz jak dziwnie.
2671:  KMM - Nie ma ma i taty, ale ma mamę.
2674:  KMM - To jest ten motyw odpychający.
2676:  KMM - Otóż to.
2677:  KMM - I dlatego osoby przekonuje się w ten sposób tylko przekonany.
2681:  KMM - Trywializuje cały wątek tej postaci.
2683:  KMM - Uprzedmiotawia.
2685:  MK - I przez to można go łatwo wyciąć.
2688:  GW - No właśnie.
2688:  GW - To najbardziej wkurza, że to naprawdę bardzo łatwo będzie wyciąć właśnie w Chinach.
2693:  GW - Bo to nic nie wprowadza.
2695:  GW - Absolutnie.
2696:  GW - To jest pusty przelot.
2698:  GW - Stąd wrócę do tej mechaniki właśnie i o tym, co mówił przed chwilą Krzysztof, to suspension of disbelief i to wsiąknięcie na rację może działać tylko wtedy, kiedy mamy właśnie spójne, jasne zasady i mamy pewną konsekwencję działania i tak jak już, bo rozpędziliśmy się o tych wielu światach, ale
2719:  GW - Ten patent, który pokrywa się z tym, że jeżeli chcemy się podłączyć do innej wersji, naszej wersji w multiwersum, musimy zrobić coś absurdalnego, żeby zwiększyć entropię, to wręcz jest takie twierdzenie w ogóle w fizyce, że tak naprawdę...
2737:  GW - różne wersje rzeczywistości budują się przez zwiększanie entropii materii w czasie.
2744:  GW - I tutaj właśnie budowanie tej entropii na zasadzie robienia czegoś absolutnie odklejonego i absurdalnego kompletnie mnie zdobyło po prostu, że przełożenie butów na odwrót czy zjedzenie szminki to jest pół bidy, ale wciągnięcie muchy nosem czy...
2763:  GW - W momencie, kiedy była ta nagroda pracownika miesiąca, którą widziałem na biurku Dydry, która wyglądała jak bad plug, to stwierdziłem, to jest dziwny sposób na pokazanie strzelby Czechowa, ale to kiedyś wystrzeli.
2779:  GW - Wystrzeliło.
2782:  BFP - Czy to będzie szop?
2783:  BFP - A ja patrzę i mówię, czy to jest bad plug?
2786:  KMM - Tak, i w tym momencie... To jest niesamowite, bo mówimy o najbardziej absurdalnym filmie tego roku, który jest logiczniejszy i spójniejszy niż... Niż budowany na uniwersum.
2798:  BFP - I bardziej szalony wbrew tytułu, znaczy nie, okej, tytuł mówi, że szalony, ale to...
2803:  MK - Znacie historię tego, jak zostało w ogóle stworzone wszystko wszędzie naraz?
2808:  MK - Bo duet Daniels.
2811:  MK - Oni otrzymali kilka lat temu po Swiss Army Man propozycję stworzenia filmu Marvela.
2821:  MK - I nie jestem pewien, nie chcę was przekłamywać, ale nie wiem, czy to nie miało być właśnie coś na zasadzie wieloświatów.
2829:  MK - I nie miało być to przypadkiem coś ze Strangem.
2832:  MK - I oni podziękowali grzecznie i pomyśleli, a co jeżeli my stworzymy swój własny film, w którym będziemy mieli całkowicie autorską i wolną rękę w tworzeniu tego, co będziemy chcieli pokazać, jeżeli chodzi o konstrukcję tych wieloświatów.
2853:  MK - I oni tworzyli ten scenariusz.
2856:  MK - naprawdę bardzo, bardzo długo.
2858:  MK - To był proces, który trwał blisko 2 czy 3 lata.
2862:  MK - Samego tworzenia scenariusza to jest niezwykle przemyślane.
2865:  MK - Oni myśleli sobie o każdym możliwym detalu.
2867:  MK - Ja przeczytałem, dostałem od Best Filmu właśnie wywiad z nimi, taki dosyć sążnisty, w którym wyjaśniali, na jakiej zasadzie to było budowane, na jakiej zasadzie to było konstruowane.
2880:  MK - Tam było zaprzęgniętych kilka różnych osób też, między innymi ze środowisk naukowych.
2886:  MK - I to jest naprawdę widoczne tutaj, bo tu każdy detal jest, nie jest pusty i to jest fascynujące, że to nie są puste, zwyczajne, wiecie, jakieś artefakty, które można obalić, tylko każdy z nich, nawet jeżeli przykuje twoją uwagę, on nie przekuwa twojego uwagi, twojego wzroku przypadkowo, tylko to zostanie użyte, tak jak przed chwilką to powiedzieliście.
2909:  GW - Ale to właśnie to osadzenie, tutaj jestem bardzo oczarowany tym osadzeniem w fizyce, bo w ogóle jednocześnie spłaszczenie to do takiego stopnia, że to jest strawne dla popkulturowego widza,
2925:  GW - Ale jest osadzone w rzeczywistości.
2930:  GW - Koncepcja wszechświata jako torusa to jest normalne zjawisko w fizyce, gdzie po prostu wszechświat się rozszerza jako taka oponka lekko sklejona ze sobą, żeby mieć przestrzeń na wormhole, na pewien magnetyzm wszechświata itd.
2947:  GW - To jest normalna koncepcja w fizyce.
2950:  GW - I co tutaj robią z tym?
2953:  GW - Centrum wszechświata skupieniem w ogóle tej czarnej energii jest bajgiel z sezamem.
2960:  GW - Jak ja to zobaczyłem, myślałem, że się przekręcę ze śmiechu.
2963:  MK - I ten bajgiel też nie jest pusty później, jest metaforą głęboką, jest czymś poprowadzonym tak bardzo ludzko.
2972:  MK - I bez sensu.
2973:  GW - Tak, tak, tak właśnie, bo tutaj bardzo wybija...
2977:  GW - I tu swoją drogą jestem zachwycony tym, że, bo dawno nie widziałem tak dobrze zrobionego w filmie językiem filmowym koncepcji dadaizmu, takiej kompletnej właśnie odklejenia twórczego, a jednocześnie pokazania tego, jak...
2996:  GW - może też współczesna młodzież, ale jak generalnie człowiek radzi sobie z tym poczuciem nihilizmu, tą taką ciemną materią, jaka jest w człowieku i ten donat, ten bajgiel jest tym uosobieniem takiego wewnętrznego chaosu, że wszystko jest dookoła bez sensu i szukamy tych tylko małych momentów, w którym coś nabiera sensu i to najbardziej właśnie wybrzmiewa
3019:  GW - Wydaje mi się w ostatniej części filmu, gdzie jest to pokazane takimi przebitkami i mnie to na przykład bardzo ruszyło, to może być tylko moja interpretacja i mogę się mylić, ale to jest właśnie to, że ta główna antagonistka chce zniszczyć siebie, bo czuje ten mrok w środku w postaci tego całego bajgla, bo uważa, że wszystko jest kompletnie bez sensu
3041:  GW - w poszukiwaniu i bezsilnie próbuje odnaleźć sens w swoim istnieniu i dopiero na końcu, kiedy główna bohaterka przytula się ze swoją córką i kiedy czuje, że zostaje przez swoją matkę zaakceptowana, wtedy są takie przebitki
3060:  GW - że na przykład wybucha supernowa, czyli dosłownie w momencie, kiedy mamy to takie poczucie bezsensu non-stop, szukamy tych momentów, w których życie nabiera jakiegoś takiego... Kiedy chwila miała sens.
