Wszystko tylko nie pierścienie władzy - Krzysztof Maj w pojedynku na dygresje! | ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=WEY_lkZy7RM
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  DS - Ale dlaczego gry komputerowe sobie radzą, a film sobie nie radzi?
1336:  KMM - To był przedostatni, przed przedostatni odcinek bodajże, przed tym, o którym dzisiaj rozmawiam.
1341:  DS - Był ten jeden odcinek, gdzie ja się w ogóle nie zorientowałam.
1345:  DS - Oglądałam z kolegą i on mnie dopiero uświadomił w połowie odcinka, że ten odcinek jest dlatego tak szary i dlatego taki jest nieładny, że to wszystko dzieje się w nocy.
1355:  DS - I wtedy kliknęło.
1356:  DS - I to wtedy powiedzmy miało sens, ale dalej nie wyglądało lepiej.
1362:  DS - Talentu do kręcenia nocnych scen to oni zdecydowanie nie mają.
1365:  KMM - I tak samo widać cięcia budżetowe, dlatego wracam cały czas do tego wątku, że nie da się zrobić dobrego serialu fantasy bez gigantycznego budżetu, w którym momencie da się zrobić dobry dramat kostiumowy historyczny, ale w momencie, gdy chcemy, żeby smoki wyglądały realistycznie, żeby
1379:  KMM - była magia jakaś, cały czas czekam, aż będzie jakaś magia.
1382:  KMM - Czemu nie ma magii w House of the Dragon?
1385:  KMM - W Grze o Tron czekałem, nie wiem, trzy sezony bodajże, aż Melisandre zacznie czarować.
1389:  DS - Ja nie wiem, czy oni nie uznali na przykład, że się przejechali na magii w Grze o Tron.
1393:  DS - No bo w Grze o Tron tej magii obiecywali, obiecywali, obiecywali.
1396:  DS - Nie byli w stanie tego potem dowieść.
1397:  DS - Nic się tam nie spięło na koniec, więc ja nie wiem, czy oni teraz po prostu nie uznali, że bezpieczniej jest po prostu zostawić magię, skupić się wyłącznie na smokach.
1405:  KMM - No mój ból polega na tym, dlatego ja się tak strasznie bulwersuję o to, co się stało w Rings of Sour.
1409:  S00 - The Rings of Power is a masterpiece.
1412:  KMM - Mianowicie przez to, że wpompowano takie pieniądze, ale równocześnie zatrudniono niedoświadczonych showrunnerów, którzy nic wcześniej nie zrobili, niedoświadczonych aktorów z Morfyt Clark, która ma cztery zmarszczki mimiczne i nic więcej.
1428:  KMM - Następnie beznadziejną muzykę, następnie beznadziejnego reżysera, który nie jest w stanie prowadzić aktorów,
1435:  KMM - I w zasadzie zwyciężają tylko ci, którzy mają swój własny talent, jak aktor grający Hallbrand, jak świetnie zagrał, albo aktor grający... Durin Disa, Elrond się broni też, moim zdaniem.
1444:  KMM - Otóż to, Arondir.
1446:  KMM - Arondir... On jest mroczny i dziwny, ale ja go kupuję jako mrocznego i dziwnego.
1452:  DS - Ja nie mogę, ale nie z jego winy do końca.
1455:  KMM - Wiem.
1455:  DS - Tylko on ma dla mnie zbroję jak gladiator, w sensie ten napierśnik.
1460:  KMM - Nie, nie, nie.
1461:  DS - Jeszcze to sparowane z tymi krótkimi włosami, on dla mnie wygląda jakby się po prostu urwał ze Spartacusa i przypadkiem trafił na plan Pierścieni Władzy.
1468:  KMM - To jest ciekawa analogia.
1469:  KMM - Znaczy generalnie pomysł, żeby wszystkich elfów posłać do fryzjera i takiego kiepskiego, to nie był dobry pomysł.
1477:  KMM - Bardzo instagramowe mają te fryzury.
1480:  KMM - No tak, właśnie.
1481:  KMM - Po prostu...
1482:  DS - Wiedzieli, że to jest modne, zanim to było modne.
1484:  DS - Ja się po prostu uśmiałam potwornie, no bo Elrond ma właśnie tak pięknie postawiony na jakieś piance czy czymś te włosy i nie wiem, czy zwróciłeś uwagę, bo to łatwo można przeoczyć, jak jest ta scena, że go wyrzucają z Khazad-dum i on taki biedny siada na chyba głazie tuż przed wejściem.
1502:  S07 - Tak, jest coś takiego.
1502:  DS - I tak bardzo mu było smutno, że go wyrzucili, że aż mu ta grzywka opadła.
1506:  DS - Hahaha.
1509:  S02 - Muszę to jeszcze raz zobaczyć, bo mi umknęło.
1512:  DS - I wygląda strasznie śmiesznie, ma takie oklepnięte włosy.
1516:  KMM - Ale właśnie to jest kłopot, że teraz po tym wszystkim ludzie w Amazonie i wszędzie inni powiedzą, no proszę, tak, nie...
1522:  KMM - Fanów się nie da zadowolić?
1523:  KMM - Nie da się zadowolić.
1524:  KMM - Myśmy tyle wpompowali pieniędzy i to... No tak, ale to nie jest sztuka.
1528:  KMM - To jest mniej więcej tak, aby ktoś stwierdził, że no, to ja teraz będę od dzisiaj ubierał się dobrze i ja sobie pójdę do werskacze albo do armatniego.
1539:  KMM - Ja sobie wydam dwadzieścia tysięcy na krawat.
1543:  KMM - On będzie pstrokaty ochydny i nie będzie go umiał zawiązać, ale wydał dwadzieścia tysięcy.
1548:  KMM - No to z pewnością teraz będzie się mógł pokazać na salonu.
1550:  KMM - No tak, będzie szturem salonowym, a nie lwem
1552:  KMM - salonowym wtedy, właśnie dlatego, że nie ma żadnej wiedzy za tym, żadnych kompetencji, tylko goła mamona, która została wydana i co z tego?
1560:  KMM - No i tu jest ten, niestety, pies pogrzebany, niestety pies, bo... Jamnik.
1564:  KMM - Tak, właśnie.
1566:  KMM - Jamnik reference, obligatory duck's food reference.
1568:  KMM - No, więc tumbo ubolewam, bo podejrzewam, że to może być poczytywane teraz jako właśnie asumpt do tego, żeby nie inwestować w tego rodzaju produkcje, a też umówmy się, nie ma ich wiele w kulturze.
1581:  DS - Nie ma ich wciąż wiele, tak.
1583:  DS - Znaczy one się pojawiły, wyszło ich trochę, ale oni wszyscy je robią tak źle, że potem ludzie tego nie chcą oglądać i też się boję tego, że się zatoczy takie kółko, że oni stwierdzą, że ludzie tego nie chcą oglądać, że to jest wina gatunku, a to nie jest wina gatunku, tylko tego, że nikt nie chce, nie chce moim zdaniem, bo to nie tak, że się nie da, nikt po prostu nie chce go zrobić dobrze.
1601:  KMM - Już z fantazy było zawsze tak, że było niedoszacowane krytyczno-literacko, naukowo, publicystycznie, recenzencko.
1610:  KMM - Po pierwsze, jeżeli mówimy o jakichkolwiek, nie wiem, badaniach nad fantazy, to raczej łatwiej znajdziemy badania nad science fiction jakiekolwiek, czy teksty literaturoznawcze różne, ale to oczywiście zachodnie, nie polskie.
1621:  DS - Na szczęście teraz mamy Krzysztofa Maja, który dzielnie stara się nadrobić braki w naszych polskich badaniach i ma bardzo dobrą książkę na ten temat, która podobno jest strasznie nudna, ale ma bardzo ładną okładkę.
1633:  KMM - Tak, ma ładną okładkę, dlatego, że ją kupiłem od głównego konseptu artystu Ubisoftu Montreal, więc trudno, żeby nie była ładna.
1639:  KMM - Natomiast niestety, jeżeli chodzi o całą resztę i treść, nie polecam.
1642:  KMM - Ale właśnie ona jest pisana dla naukowców, po to, żeby im wyjaśnić takim językiem, który oni zrozumieją, czyli snobistycznym, że to jest równie wartościowe, co nie wiem, tu wstaw nazwisko typu Kucji, albo typu Elbek, albo typu Cortazar i tak dalej, i tak dalej.
1660:  KMM - Więc to jest problem pierwszy, z którym się stykamy, ale drugi jest taki, że przez to, że właśnie nie ma tej wiedzy, ja wiem, że może to brzmieć, jakbym przeszacowywał wpływ naukowców, ale tak naprawdę to nie, ponieważ jednak poloniści, którzy uczą dzieciaki w szkole i dla wielu z ludzi to jest ostatni kontakt z taką półprofesjonalną analizą kultury, nie?
1684:  KMM - Dużo ludzi w ogóle rezygnuje, później ogląda tylko powierzchownie albo czyta powierzchownie i nie interesuje się tym.
1691:  KMM - I teraz ci ludzie są wykształceni przez ludzi, którzy nie czytają fantasy.
1695:  KMM - Jeżeli się na czymś znają w science fiction, to jest to co najwyżej lem.
1699:  KMM - I mam na podparciu tego anegdotę, którą jeszcze nie share'owałem w internecie.
1702:  KMM - Mój serdeczny kolega na studiach doktoranckich, to było oczywiście na Wydziale Polonistyki Uniwersytetu Jagiellońskiego, tradycyjnie nie pozdrawiam,
1710:  KMM - miał seminarium właśnie z Lema.
1712:  KMM - I żeby było zabawnie, dziekan, który podobno się też znał na fantastyce wtedy, powiedział wrzeczonemu mojemu koledze, że jak chciał znowu zrobić seminarium, tylko że tym razem miało to być o Ursuli Leguini, o fantazy.
1724:  KMM - A przecież miałeś już o tej fantazy, no Lem był, nie?
1728:  KMM - No więc wybitny naukowiec, wybitny.
1730:  KMM - I to pokazuje z jakim mamy problemem do czynienia, że jest to niedoszacowane.
1734:  KMM - I potem to niedoszacowanie migruje po różnych dyscyplinach, po filmowcach, później migruje do domów kultury i wiele innych miejsc i w zasadzie nie wiemy jak powinna wyglądać dobra fantazy,
1749:  KMM - A chociażby dzięki Lemowi świetnie wiemy, jak powinna wyglądać dobra science fiction.
1753:  KMM - I teraz challenge dla wszystkich.
1755:  KMM - Ile jest więcej cancelowanych seriali albo filmów lub serii filmowych?
1761:  KMM - Po stronie fantazy są bez przerwy.
1763:  KMM - Mogę wymieniać nieustannie.
1764:  KMM - Seven Sun na przykład jest jedną z takich, Francja została cancelowana.
1767:  KMM - Natomiast science fiction sprzedaje się lepiej, ponieważ ludziom się wydaje, że to jest naukowe, że tam jest dużo fizyki, astrofizyki i w ogóle...
1777:  KMM - dowiemy się czegoś wartościowego z tego, a poza tym Lem, futurologia, przewidywanie, nic to tam, że Gilles Verne, który sobie przewidywał, że ktoś będzie używał łodzi podwodnej, tak naprawdę czytał prasę na bieżąco, gdzie mówiono o tym, że pracują nad czymś takim jak łódź podwodna i że Verne sobie pomyślał, u, fajnie, to dam tam kapitanu Nemo, a później ludzie, którzy o tym nie wiedzą, czytają to i myślą, o, przewidział, tak samo jak Lem, o, przewidział, bo kryształki są i na kryształkach ludzie będą czytać, no, fascynujące
1803:  KMM - Fascynujące przewidywanie.
1805:  KMM - To mnie trochę bawia.
1806:  KMM - Po stronie fantasy nie ma czegoś takiego.
1808:  KMM - Po stronie fantasy możemy co najwyżej powiedzieć, jak bardzo jest to niedokładne historycznie, bo w XIV wieku Chełmy wyglądały inaczej.
1815:  DS - Ale dlaczego gry komputerowe sobie radzą, a film sobie nie radzi?
1820:  KMM - To jest ciekawe pytanie.
1821:  KMM - Po pierwsze dlatego, że przemysł growy nie miał nigdy problemu z rekrutowaniem ludzi, którzy mieli doświadczenie np.
1830:  KMM - z prowadzeniem kampanii RPG-owych.
1832:  KMM - Natomiast szkoły filmowe itd.
1835:  KMM - nie bardzo, nie lubią tego.
1838:  KMM - I to jest raz.
1838:  KMM - Np.
1839:  KMM - w CD Projekcie Red lead narrative designer jest po polonistyce, Marcin Blacha.
1845:  KMM - i Artur Ganszyń jest dwie Nagrody Polityki na koncie, też z tego co pamiętam kończył Politykę na UW, więc jest dużo ludzi relatywnie, nawet w Polsce, którzy są związani ze środowiskiem literaturoznawczym i trafili do przemysłu growego i byli w stanie realizować swoje pasje, które nie mogli
1860:  KMM - w swojej własnej dyscyplinie.
1862:  KMM - Ciekawe dlaczego.
1863:  KMM - I to jest jedna z moich hipotez.
1865:  KMM - Druga jest taka, że to się po prostu sprzedaje, to znaczy ludzie przyzwyczajeni do tego, że mają jakąś kampanię RPG-kową, no to chcą właśnie grać tymi klasycznymi klasami postaci typu tam Mac, Paladin i tak dalej.
1879:  KMM - A ja bym miał teraz wymyślić, jakie są klasyczne klasy science fiction RPG-owe.
1887:  KMM - Ha?
1887:  KMM - Jest ciężej, nie?
1888:  DS - No trudniej.
1889:  KMM - Znaczy możemy sobie przeszczepić tak, że zamiast tam Priesta będzie jakiś inżynier, który będzie odpowiadał za support, tak?
1895:  KMM - No można to robić ewentualnie, albo będziemy mieli jakiegoś Jedi'a, ale nie oszukujmy się, to dalej jest rycerz.
1900:  KMM - Więc myślę, że to jest druga kwestia, że gry wideo i gry tradycyjne RPG są po prostu bardzo ze sobą związane i w jednych i w drugich jest roleplay.
1908:  KMM - To, że niektóre tylko gry wideo nazywa się roleplaying games, nie oznacza, że w każdej grze nie ma roleplayu, w każdej grze jest roleplay, musi być.
1915:  DS - Ja teraz strzelę, bo zupełnie nie wiem, jaka jest historia gier, więc popraw mnie, jeśli się mylę.
1921:  DS - Czy to może mieć jakiś związek na przykład z tym, bo przynajmniej coś takiego funkcjonuje w takiej świadomości zbiorowej, że gry były dla dzieci.
1932:  DS - Więc może przez to, że gry były jakby bardziej dla dzieci, no to można tam było bardziej, wiesz, powrzucać te wróżki, elfy, inne takie rzeczy, śmiało, bo wiadomo było, że ci dzieci to będą lubić, więc to się mogło tam dopracowywać i stać się dobre.
1944:  KMM - No, science fiction zawsze było uznawane za takie bardziej dojrzałe, a fantasy nie.
1949:  DS - Więc może w grach było jakoś właśnie więcej pola do manewru, nie?
1953:  KMM - Tak, tak, to jest bardzo prawdopodobne.
1955:  KMM - No na pewno, jeżeli miałbym wymieniać gry fantasy, no to mogę w nieskończoność.
1958:  KMM - Teorie Poverty, Vengeance 2, absolutnie rzecz, którą każdy powinien zagrać, coś wspaniałego.
1963:  KMM - Two Worlds 2, Wiedźmin 3, Wiedźmin 2, to są wspaniałe tytuły absolutnie.
1967:  KMM - A Wiedźmin 1?
1969:  KMM - Znaczy, Wiedźmin 1 ma problemy, to znaczy w Wiedźminie 1 wątek kolekcjonowania seks-kart, no można, tak?
1977:  S04 - Nie podobały ci się te karty?
1980:  DS - Podobały mi się, ale czemu tylko karty?
1983:  KMM - Szyma Domet trochę wybijał, ale wiesz, ale były dobre teksty, znaczy nie będę teraz ich cytował na wszelki wypadek, ale teksty Talara i Baraniny były bardzo dobre.
1991:  S01 - Jak żyjesz?
1993:  S01 - Jak z Tomka.
1995:  S01 - Siedzę cicho, nie rzucam się w oczy i wp***lam kartofle.
2000:  KMM - Więc Wiedźmin pierwszy był dobrze napisany, ale jako gra fantasy został przebity o kilka rzędów wielkości przez Wiedźmina trzeciego, jeżeli chodzi o skalę światotwórczą.
2010:  KMM - Jednak bardzo było czuć taką klaustrofobiczność Wiedźmin.
2012:  KMM - na pierwszego.
2013:  KMM - Tam praktycznie były dwie wyzimy i w którymś momencie tylko mieliśmy taki ładny eksodus tej bardzo fajnej lokacji, która była modelowana na całym polskim romantyzmie z Wiedźmy Lolbulem i tak dalej.
2025:  KMM - Jak popatrzymy na to z takiej perspektywy międzynarodowej, to dużo ludzi...
2030:  KMM - zagrało w Wiedźmina I, ale dopiero potem, jak zagrało w III, a my na to patrzymy bardzo tak nostalgicznie, trochę jak na Gothica.
2036:  KMM - Ja jestem jedną z tych osób, która zaakceptowała to, że Gothic już jest w powrokach niepamięci.
2041:  KMM - Pewnie ludzie zabiją w komentarzach.
2042:  KMM - Nie jestem w stanie już do tej gry wrócić, ale wspominam mile i na pewno jest to jeden z kolejnych przypadków, w których możemy mówić, tak, to jest dobra opowieść fantasy,
2054:  KMM - Natomiast jeżeli chodzi o science fiction, to nie mam wrażenia, żeby ono było niedoreprezentowane w grach, ale na pewno jest mniej ciekawe i mniej interesujące.
2061:  KMM - Nie znam wielu gier sci-fiowych, które nie byłyby strategiami, które mnie niesamowicie wciągnęły.
2066:  DS - Nie możesz grać czarodziejem.
2068:  KMM - Ja nie rozumiem ludzi, którzy grają jakąkolwiek inną klasą postaci.
2070:  KMM - To znaczy, można w rzeczywistości opanować fektunek, prawda?
2072:  KMM - Coś o tym wiesz.
2073:  KMM - W takim razie po co mam to robić w grze?
2088:  DS - Ja nie lubię grać czarodziejami.
2089:  KMM - Dlaczego?
2090:  DS - Uwielbiam magię w grach i dlatego gry fantasy są najlepsze na świecie, ale nie lubię grać czarodziejami.
2096:  S04 - Ale dlaczego?
2097:  DS - W mało gier gram.
2098:  DS - Ja wiem, że w niektórych jest inaczej, więc weź na to poprawkę.
2101:  S04 - Dobrze.
2101:  DS - Ale gry, w której ja grałam, jak się grało czarodziejami, sprowadzało się to do tego, że musiałeś stać daleko i rzucać czary w tych wrogów.
2110:  DS - Mhm.
2110:  DS - A oni do ciebie biegli przez ten czas.
2113:  DS - I moje serce nie wytrzymuje tego napięcia.
2116:  DS - Czy ja ich zdążę zabić, zanim oni do mnie dobiegną?
2119:  DS - Czy musisz uciekać tyłem?
2121:  DS - Nie wiesz, co za tobą jest.
2122:  DS - To są jakieś straszne rzeczy.
2124:  DS - A jak jesteś jakimś dobrym paladynem, masz zbroję, masz hełm, masz wielką tarczę, za którą się chowasz i tylko za tej tarczy ich tłuczesz.
2131:  DS - Jesteś w szale bitewnym, idziesz cały czas do przodu i jesteś spokojny.
2136:  KMM - Teoretycznie tak, chyba że to jest Dark Souls, wtedy nie jesteśmy spokojni, wtedy ta tarcza sprawia, że przeciwnik w dokładnie taki sam sposób nas one-shotuje, jak bez tej tarczy.
2146:  DS - Ale psychicznie czujesz się lepiej, bo ty biegniesz na nich, a nie oni na ciebie.
2150:  KMM - Ale ja jestem zawsze tą osobą, która się trzymała z dala pierwszej linii frontu i może dlatego mi ta taktyka odpowiada, ale muszę przyznać, że faktycznie, jak sobie przypominam, Two Wars 2 i pierwsze podziemie do tego trafione było jeden szkielet i mój mag, zamiast ciepnąć porządną kulę ognia, która popielił
2164:  KMM - wszystko do struktury atomowej na swojej drodze, to pierdział takimi małymi iskierkami.
2172:  KMM - Te iskierki zadawały 1% obrażeń temu nieszczęsnemu szkieletowi.
2175:  KMM - To wyglądało tak, że ja puszczałem iskierkę, biegłem, puszczałem iskierkę, biegłem.
2179:  KMM - Dosłownie przez całe podziemia tak przebiegłem.
2181:  KMM - I ten nieszczęsny szkielet, ja w końcu ubity, to było dla mnie większe doświadczenie niż ukończenie Sekiro.
2186:  KMM - albo jakiegokolwiek innego Sonslaka.
2188:  KMM - Niesamowite przeżycie.
2189:  KMM - Ja to lubiłem, ale przyznam ci w jedną rację.
2192:  KMM - To znaczy, że w jednym rację, że nie umieją ludzie projektować w atrakcyjny sposób rozgrywki magiem właśnie dlatego, że nie mają tego dobrze rozpracowanego.
2200:  KMM - Nie pomyślą w jaki sposób mogliby walczyć magowie.
2204:  KMM - Eragon!
2205:  KMM - Wbrew wszelkim pozorom, Christopher Paolini pomyślał, w jaki sposób należałoby chronić armię w momencie, w którym Mac może zrobić tak i ewaporuje wszystkich.
2216:  KMM - Tak, to prawda.
2217:  KMM - Pomysł, że Mac musi chronić kontyngent wojska jest dobry.
2219:  DS - Dobrze, że pisał o tych wojnach w następnych książkach, a nie w pierwszej i zdążył już trochę dorosnąć i pomyśleć.
2226:  KMM - Tak, zdecydowanie.
2227:  KMM - Chociaż powiem tak...
2228:  DS - Ale od początku się starał, on jakby miał przemyślaną magię już na samym początku, miał koszty, miał skutki w ogóle, nie?
2234:  KMM - Tak, te kryształy, w których trzeba było staszować magię, to było sensowne, na pewno lepsze niż gulganie miksturki Manny, to jest druga rzecz, która mnie zawsze denerwuje.
2241:  KMM - Dlaczego są mikstury Manny, a nie mikstur Staminy?
2245:  KMM - No właśnie, bo ludzie mówią tak, tak, dlatego że Stamina to jest ta energia wewnętrzna, życiowa, która się regeneruje.
2251:  KMM - Właśnie opisałeś magię.
2252:  KMM - To jest ta energia życiowa, która ma się regenerować, jak się jest magiem.
2256:  DS - Poza tym to magiczne eliksiry, więc w pewnym sensie, skoro mamy magię, to moglibyśmy zrobić, żeby ona robiła wszystko.
2262:  DS - Znaczy, w granicach jakiejś logiki, nie?
2264:  KMM - Potki i inne mikstury mogłyby po prostu boostować nas w innych aspektach.
2268:  KMM - Nie wiem, odparnia trucizny, albo potęgować magię ognia, która jest oczywiście lepsza od innych szkół magii ognia i tak dalej, i tak dalej.
2274:  KMM - Ale mana?
2275:  KMM - Nie, zdecydowanie nie.
2276:  KMM - Ludzie mają to nieprzemyślane.
2277:  KMM - Natomiast u Paliniego jest tak, że w tym cyklu idzie tak poziom, a później spada gwałtownie w tomie ostatnim.
2283:  KMM - A płytami są te tomy opowiadań, które wydał.
2285:  KMM - Mało kto wie o tym.
2286:  KMM - To jest bardzo złe.
2287:  DS - Widelec, Wiedźma i coś tam.
2289:  KMM - To jest bardzo złe.
2292:  DS - Ja nie powiedziałabym, że to jest aktywnie złe.
2294:  DS - Są takie książki, że czytasz i po prostu nie możesz.
2297:  DS - To jest dla mnie takie neutralne, ale stosunkowo to było mało ciekawe.
2300:  DS - Myślałam, że będziecie taki fajny powrót do tego świata, jakieś trzy krótkie historyjki i poczujemy znowu ten klimat.
2308:  KMM - Balin ma momenty niesamowite.
2310:  KMM - Duwenderwalden na przykład, jak jest opisane, przepiękna sprawa.
2313:  KMM - Tak samo walki smoków.
2314:  KMM - On też miał rękę właśnie do opisywania bitew, ale masz rację, że od następnych tomów.
2318:  DS - Miał parę problemów.
2320:  DS - Często w opisach się skupiał na zupełnie nieistotnych rzeczach.
2324:  DS - Tą esencją, że to idzie tak, jest sam początek, gdzie jest ten prolog, gdzie on przez całą stronę opisuje uzbrojenie tych elfów, którzy jadą na koniach, co jest zupełnie nieistotne dla tej historii.
2335:  S04 - To prawda, to prawda.
2336:  DS - Eragon to była takie bardzo przyjemna, bardzo przyjemna lektura.
2340:  DS - Ja pamiętam z dzieciństwa, że bardzo mi się przez to przyjemnie płynęło.
2344:  DS - Przeczytałam to i bardzo mi się podobało.
2345:  DS - Zachowałam to w pamięci jako taką lekturę comforting book, że tak powiem.
2351:  KMM - Comfort book, jak jest comfort food, to można przeczytać comfort book.
2352:  DS - No tak, tak, tak, dokładnie.
2355:  DS - Ale jak czytałam potem za drugim razem, jak już dorosłam, to jedna rzecz mnie koszmarnie wkurza od tego czasu.
2361:  S00 - Jedna, okej.
2364:  DS - No bo na końcu pierwszej części, uwaga, spoilery do Eragona, w ogóle ten tytuł będzie miał, tytuł tego filmu będzie miał na końcu takie wielkie spoilery do wszystkiego.
2373:  DS - Tak.
2373:  DS - Na końcu pierwszej części tam ten cień, chyba cień Durza, trafia go bronią w plecy, no nie?
2380:  DS - Eragona.
2381:  DS - No i Eragon zostaje wyleczony, no ale zostaje mu ta blizna.
2383:  DS - No i okazuje się, że jak zrobi jakieś gwałtowniejsze ruchy, no to dostaje ataku bólu, rwa kulszowa, wszyscy dorośli mogą się zidentyfikować z Eragonem.
2392:  DS - I ja sobie pomyślałam, zajebiście.
2395:  DS - W ogóle to jest taki strasznie ciekawy plot twist.
2398:  DS - Przepraszam, dramatyczny zwrot akcji.
2400:  KMM - Tak, to zdecydowanie krócej i efektywniej jest powiedzieć.
2404:  DS - I ja się zastanawiałam, jak w ogóle Paulini z tego wybrnie, no nie?
2407:  DS - No bo mamy bohatera, który jest smoczym jeźdźcem, ciąży na nim taka wielka odpowiedzialność.
2412:  DS - Wszyscy uważają, że on pokona tego złego imperatora i jednak pokonanie tego imperatora w dużej mierze ma być osiągnięciem fizycznym.
2419:  DS - No wymaga się od niego pełnej sprawności.
2421:  DS - I jeszcze super było napisane, jak to bardzo wpływa na tą jego pewność siebie, że on się czuje gorszy od innych, że te elfy właśnie w Duveldenwarden była ta frakcja, która nim pogardzała i uważała, że jest za słaby, żeby być smoczym jeźdźcem.
2434:  DS - I ja czekałam na jakieś takie super rozwiązanie tego i że on pokona tą słabość i mimo, że będzie tam ranny, to wygra z Galbatoriksem, ale nie.
2444:  DS - Tyk!
2444:  DS - Jedno magiczne zaklęcie, jedna nocka i Aragon jest ozdrowiony i jeszcze przemieniony w superelfa.
2449:  KMM - Czyli tak dobrze, bo po prostu autor mógł o tym zapomnieć.
2452:  KMM - I to tak się też zdarzało.
2454:  KMM - Więc no niestety, magia nie powinna być używana w fantazy jako deus ex machina do rozwiązania nagłego problemu.
2462:  KMM - O, bo jest magia, to to rozwiążemy.
2464:  KMM - Dokładnie tak samo jak w science fiction technologia nie powinna być wykorzystywana jak magia, mimo że jest nieodróżnialna od magii według Clarka, bo to jest tanie.
2473:  KMM - Magia to jest pewne prawo, które rządzi rzeczywistością, też musi mieć swoje ograniczenia.
2477:  DS - Nie daje to zupełnie ani czytelniczej satysfakcji, ani oglądaniowej.
2481:  DS - Widz nie jest usatysfakcjonowany wtedy.
2483:  DS - A w kanawa?
2485:  DS - Trudy Canavan?
2486:  DS - A gdzie ona miała taką deus ex machina?
2488:  DS - Ja czytałam tylko tą trilogię z tym czarnoksiężnikiem, bo reszta mi się już później nie podoba.
2494:  KMM - I jeszcze uczennica maga, skojarzyło mi się dlatego, że uczennica maga jest właśnie o uzdrawianiu i w ogóle ta magia lecznicza jest interesująco przez nią opracowana i ona właśnie wymaga tego, żeby mieć wiedzę medyczną.
2505:  KMM - No bo co z tego, że dysponujemy właśnie, o jest zaklęcie, które uzdrawia, no dobrze, ale fajnie byłoby wiedzieć, jaka jest różnica między wątrobą śledzioną a krtanią, no bo przy uzdrawianiu być może te szczegóły są istotne.
2517:  KMM - I lubię, jak magia jest właśnie traktowana jako nauka w gruncie rzeczy, więc tutaj trochę się uśmiecham w stronę Patriga Rotfusa i tego, jak on to robi.
2526:  KMM - Bo to powinno być rzeczywiście coś, co się do pewnego momentu wykłada i da się tego nauczyć, ale od pewnego momentu jest potrzebny tylko talent.
2534:  DS - Mi się bardzo podobało Czarnoksiężnik z Wybrzeża, no Ariwald w każdym razie.
2541:  DS - Czytałeś przygody Ariwalda?
2544:  DS - Nie czytałeś?
2546:  KMM - Nie, nie czytałem, nie czytałem.
2548:  DS - Czarnoksiężnik z Wybrzeża to jest ta firma, która robiła Dedeki, więc pokręciłam jak się nazywał.
2552:  KMM - Wizards of the Coast to było, tak.
2555:  DS - Jak się nazywał Ariwald, nikt nie pamięta.
2556:  DS - Ariwald z Wybrzeża.
2559:  DS - Ariwald z Wybrzeża.
2560:  DS - To jest ten tytuł, którego szukałam.
2562:  KMM - Którego ja nie znalazłem, bo go nie znam.
2564:  DS - No to musisz przeczytać.
2565:  DS - To jest rewelacyjna historia o gościu, który przypadkiem zostaje czarodziejem, można by tak powiedzieć.
2573:  DS - Ale tam ten przypadek jest znacznie bardziej skomplikowany.
2575:  DS - Wszyscy myślą, że on jest czarodziejem, a on tylko udaje, że jest czarodziejem.
2578:  DS - Znalazł sobie taki zakątek na Wybrzeżu i mówi tym wszystkim wieśniakom i czarodziejom, że on jest czarodziejem.
2584:  DS - Boże, wieśniakom i królowej chyba tam.
2587:  DS - że jest czarodziejem, no oni wszyscy go dobrze traktują, nie?
2589:  DS - Ma wygodny domek, ma jedzonko, do momentu, aż okazuje się, że ktoś chce ich zaatakować i wtedy wszyscy idą do tego czarodzieja po pomoc oczywiście, nie?
2599:  DS - No ale jakoś to się tam dzieją różne losy, że on w końcu czarodziejem faktycznie zostaje, natomiast tam ta magia jest właśnie taka strasznie skomplikowana i mi się okropnie podoba tam jeden przykład, że jak masz magię teleportacji, to musisz wykonać takie strasznie skomplikowane obliczenie matematyczne wręcz, żeby wyliczyć swoje położenie w tym miejscu końcowym.
2616:  KMM - Ma to sens głęboki.
2618:  DS - I jak policzysz źle, no to możesz na przykład, wiadomo, pojawić się na przykład w ścianie, no nie?
2621:  KMM - No to jest dlatego, dlatego w Dune'ie są wymagani nawigatorzy, żeby można było w ogóle to wszystko ogarniać i jeszcze muszą się napruć melanżem jeszcze wcześniej.
2628:  DS - Dlatego Ariwald właśnie nigdy nie używał magii teleportacji do spraw trywialnych, zawsze wolał po prostu zejść po schodach i używał jej tylko jak już absolutnie musiał i to gdzieś strasznie daleko się przeszło.
2639:  KMM - Ja to szanuję o wiele bardziej niż rollingowe podejście do magii, że machamy sobie różdżką i się dzieją rzeczy.
2644:  KMM - Jeszcze oczywiście trzeba wykrzyczeć po łacinie, to jest bardzo ważne, żeby to było po łacinie, inaczej nie zadziała.
2651:  KMM - I dlatego też lubię to, co zrobiła swoją drogą, bardzo zaskakująca, to jest trylogia fantasy, a zrobiła to świetnie autorka, czyli
2661:  KMM - Chakraborty to się nazywa City of Brass, czyli miasto Mosiądzu i następne części.
2667:  KMM - To jest fampa zaosadzona w innym świecie, czyli Allotopii, która jest wzorowana trochę na Bliskim Wschodzie, w kulturze arabskiej głównie i
