Spieramy się o filmową DIUNĘ
🔗 https://www.youtube.com/watch?v=sq1zcDmAuFw
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

16:  BFP - Liza Nalgaib!
1645:  BFP - Jak by wyglądał ten film, gdyby go kręcił Lars von Trier?
1650:  BFP - Zacznę od Zendayi.
1652:  BFP - Uważam, że to nie jest kwestia interpretacji, to o czym mówiłeś Krzysztof, jaką rolę odgrywa Zendaya, to jest kwestia poetyki filmu.
1661:  BFP - Naprawdę ciężko, a nawet jeżeli się da, to nie byłoby to atrakcyjne, byłoby przedstawić to, co jest łatwe do zaprezentowania przez narrację, którą naprawdę kocha prezentować Frank Herbert życie wewnętrzne bohaterów do znudzenia.
1678:  BFP - I teraz obserwowanie zmęczonej czy umęczonej twarzy i grymasu na twarzy Timotiego Chalamet, który pokazuje, że on nie ma pewności, czy droga, którą podąża jest tą właściwą, jest rozerwany między zdrowym rozsądkiem, a rządzą władzy i zemsty, nie byłoby atrakcyjne.
1695:  BFP - Ten konflikt trzeba zeksternalizować i w tym celu Chani musi werbalizować jego wątpliwości.
1702:  BFP - Dlatego byłbym na pewno ostrożny przed tym zakładaniem, że Chani jest albo jednowymiarową postacią, albo graną na jednej emocji, w przeciwieństwie do Harkonnenów.
1712:  BFP - Tutaj muszę się pod tym podpisać i pokażę pewną nielogiczność, która wynika trochę z reguł, które narzuca nam sam film i scenarzysta i reżyser w jednej osobie.
1725:  BFP - Denis Villeneuve zaczerpnął z kolejnej książki, żeby nie popełnić błędu Franka Herberta, bo miał ten luksus, że on wiedział, co nastąpi, w przeciwieństwie do samego Franka Herberta, kiedy pisał Dune.
1735:  BFP - Toteż zasiał ziarna.
1738:  BFP - okrucieństwa i zła postaci Muad'Diba już w tych dwóch częściach Duny.
1744:  BFP - De facto trochę czerpał z Mesjasza Duny, żeby robić setup po to, co nastąpi później.
1750:  BFP - Retroaktywnie to zmieniał Frank Herbert pisząc Mesjasza Duny.
1755:  BFP - Skoro postawił na tak zniuansowany obraz głównego bohatera, dlaczego nie mógł zaaplikować dokładnie tego samego do Harkonnenów?
1762:  BFP - Czemu nie trzymał się tych samych reguł, jeżeli chodzi o ukazanie Harkonnenów, żebyśmy my czuli się nieco dziwnie z tym, że podobnie jak w książce Feydrauta, nie był takim okrutnikiem, nie był tak bezlitosny.
1775:  BFP - Nie był kanibalem.
1777:  BFP - No tutaj nie wiemy, jego trzy maskotki kobiece są zapewne, ale są też przesłanki, że być może.
1784:  BFP - Natomiast Feydrauta w książce, jak słusznie powiedziała bodajże matka wiolebna Mohian do Lady Margo Fenring po tym, jak ona zabezpieczyła jego materiał genetyczny, czytaj, powiedziała, że nosi jego córkę, powiedziała, że Feydrauta byłby inną osobą, gdyby wychował się na dworze atrydów.
1803:  BFP - byłby tym samym, czym Paul.
1806:  BFP - Oni nie są w książce przedstawieni jako przeciwieństwa dokładne.
1810:  BFP - Oni są przedstawieni jako swego rodzaju lustrzane odbicia, produkty swoich środowisk i wartości, które wyznają ich rody.
1818:  BFP - Tego nie da się wyczuć w tym filmie, bo Feydrauta jest ewidentnie psychopatą.
1822:  BFP - Jest socjopatą i psychopatą i to nie wynika wyłącznie z wychowania, to wynika przede wszystkim prawdopodobnie z jego predyspozycji.
1831:  BFP - I również uważam, że fremeni są ukazani dość jednowymiarowo, natomiast nie zgodzę się z tobą Marcin co do tego, że boi się pokazać czegokolwiek, co by zaburzyło takie wrażenie szlachetnych
1843:  BFP - chociażby scena pobierania wody, nawet z żywego Harkonena.
1847:  BFP - Jest to dość obrzydliwe.
1848:  BFP - Znaczy jest to coś, co wzdryga cię i patrzysz na to i nie czujesz... Ja wiem, że ciężko byłoby to ominąć, biorąc pod uwagę świat przedstawiony i jego logikę wewnętrzną, ale nie mam poczucia, że wątek Harry, który został też wycięty z serialu, wątek Harry, tak jak wiele innych wątków, Tufira, Hałata, Lieta, Kainza, Shoutout, Mapes, czy...
1872:  BFP - Na tych postaciach nawet poprzestańmy.
1875:  BFP - Wydaje mi się, że chodzi po prostu o metraż i to, że to niewiele wnosiło do tego filmu.
1878:  BFP - Jasne, ukazałoby nam więcej, jeżeli chodzi o etnografię, obyczaje Fremenów, ale i tu wprowadzę wszystko, co chcę powiedzieć do jednego zasadniczego argumentu.
1889:  BFP - Bo kilka osób napisało, że właśnie dlatego książka, o Sleepy Deer chyba to napisał, że właśnie dlatego książka będzie miała przewagę zawsze nad filmem.
1896:  BFP - Ja nie mam takiego wrażenia.
1898:  BFP - Ja powiedziałem to w swojej recenzji i powtórzę to jeszcze raz.
1901:  BFP - Jako fan Duny, w szczególności tej książkowej, teraz mogę powiedzieć, że film jest lepszy niż książka.
1909:  BFP - Dla mnie.
1910:  BFP - Rządzi się innymi regułami.
1912:  BFP - I jasne, że można by było zrobić to, o czym mówicie.
1915:  BFP - Można by zrobić Dunę Arona Sorkina.
1917:  BFP - Na pewno byłoby kilkadziesiąt osób, które by to obejrzało.
1920:  BFP - Ale również film rządzi się językiem filmu i pozwala pokazać pewne rzeczy albo inaczej nawet poczuć pewne rzeczy w sposób, który książka by nie potrafiła.
1931:  BFP - Herbert
1932:  BFP - naprawdę nie potrafił zamknąć gęby Wladimirowi Harkonnenowi.
1936:  BFP - Dla mnie pod koniec tej książki ta postać przestała być jakkolwiek tajemnicza, intrygująca i przerażająca.
1943:  BFP - Stellan Skarsgard, który żądał od Denis Villeneuve'a, żeby ciąć jego sceny, żeby je wyrzucać, nawet te, które zostały nagrane, aby pozostawić tę mgiełkę niepewności, mieć takie wrażenie, że on cały czas jest gdzieś tam w tle.
1957:  BFP - I cały czas czuwa, patrzy, planuje i trzyma swoje grube łapska na losie głównego bohatera Lady Jessica i całego Arrakis.
1966:  BFP - To robiło robotę i Denis Villeneuve pokazał, że istoty książki można przekazać pisząc dwudziestokrotnie krótsze dialogi.
1973:  BFP - Bo wiele można wyrazić spojrzeniem głównego bohatera, bo wiele można wyrazić tą miną Chani, która nie każdemu się podoba, bo wiele można wyrazić nawet nie tylko obrazem, bo ja wiem, że sporo osób teraz mówi, o, bo Wilnef nie lubi dialogów.
1988:  BFP - Zapomnijmy na moment o tym, ile jest dialogów w tym filmie i popatrzmy na wszystkie inne narzędzia, którymi dysponuje reżyser.
1995:  BFP - do tego, żeby opowiedzieć tę historię, zachować jej istotę, a jednocześnie nie sprawić, że nikt nie obejrzy tego filmu poza garstką ludzi.
2004:  BFP - Gdyby Aaron Sorkin zrobił Dunę, to prawdopodobnie podzieliłaby los Duny Hodorowskiego, tylko problem polegałby na tym, że faktycznie by powstała, ale nikt by jej więcej nie zobaczył.
2021:  KMM - To ja tylko, korzystając z chwili ciszy, powiem, że diuna została wydana w latach 60., znaczy połowa lat 60., jeśli pamięć nie myli, przez Franka Herberta, więc mówimy z perspektywy bardzo wygodnej, to znaczy mówimy z perspektywy przewagi, która już jest ponad pół wieku, prawda?
2039:  KMM - I od tego czasu Sajemstwie Krzysie bardzo mocno rozwinęła.
2042:  KMM - I Diona nigdy nie stała fabułą, nie zawsze stała lorem, czyli wiedzą o fikcyjnym świecie.
2047:  KMM - Jest takie słówko folklore, które się zachowało w Polszczyźnie, ale lore, czyli sama wiedza nam niestety nie przeniknęła do naszego leksykonu.
2054:  KMM - więc będę mówił o tym jako wiedza o fiktywnym świecie dłużej.
2058:  KMM - I nie jest przypadkiem, że jedna z pierwszych encyklopedii światów, jaka powstała, to właśnie była The Dune Encyclopedia, ma to 680 stron, napisała to Willis M. McNeely, która swoją drogą posłużyła Villeneuve'owi jako też inspiracja, więc myślę, że jeżeli chodzi o to, w jaki sposób można miksować fabułę przegadanej książki, wzorzec dał już Peter Jackson.
2080:  KMM - konia z rzędem, że cytaty, które pamiętacie z filmowego Władcy Pierścieni nie pojawiały się we Władcy Pierścieni i wiem to dlatego, że Peter Jackson o tym sam mówił, że miksował różne cytaty i dawał innym postaciom, ponieważ tak go wymagał właśnie dramatyzm filmu, ale jedno zostało zachowane, to znaczy ta charakterystyczna stylistyka Tolkiena, jego przemyślenia i one przeniknęły w jakimś sensie i myślę, że możemy w nieskończoność mówić o tym, że tak, że film ma swoje
2108:  KMM - swoje ograniczenia objętościowe, ale nie zmienia to faktu, że ja nie pamiętam ani jednego cytatu z drugiej części Dune'y, bo z pierwszej by się parę znalazło, na przykład to słynne My Iraq is my Dune, prawda?
2119:  KMM - Pamiętamy natomiast memy z Lisa Nile Gaibem, ponieważ Stilgar
2123:  KMM - Został poprowadzony w dziwny sposób.
2125:  KMM - Ja nie jestem fanem do końca tej postaci.
2127:  KMM - Lubię ją, od razu zaznaczę, ale głównie lubię ją dlatego, że lubię Javiera Bardema.
2130:  KMM - Natomiast mam wrażenie, że zostanie zapamiętany za memy z Lisa Nalgaibem, które sprowadziły cały, wiecie, proces odkrywania u Paula Muadiba tych cech
2141:  KMM - proroczych do memu.
2143:  KMM - Znaczy do tego, że a tak, no to faktycznie, to jest ten typ z proroctw.
2147:  KMM - I jeszcze wzmagane jest to i potęgowane tym, że jednak patrzymy na tę całą sytuację z perspektywy bardzo sceptycznej, co do tego konsekwentnie czani.
2156:  KMM - I jeszcze do tego wszystkiego, no z perspektywy współczesnego świata, w którym no jakiekolwiek wzmianki o Mesjaszu byłyby dokładnie tak traktowane jak u Monty Pythona.
2165:  KMM - Jak sobie porównacie reakcję na Mesjasza w Monty Pythonie,
2170:  KMM - w życiu Briana i reakcje Mesjasza ze strony Stilgara, to one są prawie takie same.
2175:  KMM - Więc to jest interesujące.
2177:  KMM - Wydaje mi się, że dopiero pod koniec filmu Stilgar wreszcie już jest traktowany poważnie z tym swoim fanatyzmem i on zaczyna przerażać wtedy.
2184:  KMM - Więc to jest, wiecie, maestria Javier'a Bardem'a.
2187:  KMM - Natomiast prowadzenie go w ten sposób przez środkową część filmu dla mnie było problematyczne.
2192:  KMM - I zgodzę się w 100% natomiast co do tego, że Duna jest przegadana miejscami, chociaż naprawdę nie z perspektywy kapitularzu Duną na przykład albo późniejszych tomów, tylko z perspektywy innej prozy science fiction.
2206:  BFP - To ja tutaj szybko to odbiję mówiąc, że gdybyśmy mierzyli wartość dzieła ilością memów, to Leonardo DiCaprio nie miałby dzisiaj już kariery.
2215:  BFP - Bo jego role są najbardziej memiczne.
2217:  BFP - Nie ma aktora, który miałby więcej... Ok, Nicolas Cage.
2221:  BFP - Nicolas Cage z pewnością ma karierę.
2223:  BFP - I to taką, która wystarczy za trzy żywoty.
2227:  BFP - Natomiast... Dobrego, średniego i słabego aktora.
2230:  BFP - To, że powstają memy nie świadczy o filmie.
2233:  BFP - Oppenheimer do czegoś się bał.
2236:  BFP - Absolutnie.
2237:  BFP - I see a narrow way through.
2239:  BFP - We must be like Harkonnen's.
2242:  BFP - Rebecca Ferguson, która mówi nieście nowinę i rozgląda się po kobietach.
2248:  BFP - Stilgar, który mówi do Paula nothing fancy.
2252:  BFP - Kiedy mówi mu today you become a fremen or you die.
2259:  BFP - Masa, masa cytatów.
2262:  BFP - Fade Rauta na arenie, który mówi dwukrotnie w toku tego filmu You Fought Well, a 3Ds, przy czym za drugim razem, kiedy umiera.
2270:  BFP - Patrzący na niego Wladimir Harkonen, który mówi Show Me What You're Made Of i Happy Birthday, Nephew.
2279:  BFP - Helena Mohiam, która mówi A, Jessica, patrzy na Jessica, Jessica mówi telepatycznie trzeba było wybrać inną stronę, albo wybrać złą stronę.
2289:  BFP - Mohiam mówi
2290:  BFP - Ty ze wszystkich ludzi powinnaś wiedzieć, że nie ma tutaj stron.
2294:  BFP - Twój ojciec rządził sercem.
2295:  BFP - No masa.
2297:  BFP - Nawet wiesz, bez obejrzenia tego filmu po raz trzeci wymieniam ci masę cytatów, które są fantastyczne i które... Ja tu muszę powiedzieć, że wszystkie, które zacytowałeś, nie robią na mnie wrażenia szczególnie imponujących.
2310:  MG - Z faktu, że można było je zapamiętać, nie wynika, że którykolwiek z nich jest na poziomie you can't handle the truth.
2318:  MG - albo wszystkie te chwile przepadną w czasie jak łzy na deszczu.
2321:  MG - To po prostu nie jest szczególnie dobre pisarstwo.
2324:  MG - To są zazwyczaj napompowane emocjami i dość melodramatyczne sceny typu This is not hope.
2332:  MG - Zapamiętujesz to, bo to wykrzyczał i tak dalej, ale to nie jest ani błyskotliwy, ani szczególnie przejmujący dialog, a skoro jestem przy głosie, to tylko
2342:  MG - chciałem wejść przez chwilę w polemikę odnośnie tego, czy można powiedzieć, że film jest lepszy od książki.
2347:  MG - Najłatwiej jest oczywiście powiedzieć, że jest po prostu zupełnie inny.
2350:  MG - Natomiast gdzie ja widzę przewagę książki?
2353:  MG - Książka na każdym kroku stara się mnie jako czytelnikowi rzucać wyzwanie,
2359:  MG - I traktuje mnie jako czytelnika, jako współpracownika w tej intrydze.
2363:  MG - Film bardzo się o mnie troszczy i obniża mi poprzeczkę, żebym przypadkiem nie musiał za dużo myśleć, żebym nie był skonfundowany.
2373:  BFP - Ale ma też zarobić pieniądze.
2375:  MG - Ale ja nie jestem księgowym Denisa Villeneva.
2383:  MG - Ja nie oceniam, czy on zarobił dużo, czy mało.
2385:  MG - Dla mnie mogło obejrzeć ten film 100 osób w arthouse'owych kinach i mógł on być genialny, a mogło go obejrzeć tyle osób, co Kapitana Amerykę.
2393:  MG - I dla mnie to nic nie zmienia.
2394:  MG - Wypowiadam się na temat filmu, nie wypowiadam się na temat biznesu.
2399:  MG - I jeżeli mam scenę, w której cesarz mówi do Paula
2405:  MG - your father was a weak man i twierdzi, że cała ta intryga wynikała z faktu, że Leto Atryda był słabym człowiekiem, no wiesz, nie da się rządzić sercem i trzeba było tak to rozegrać, to myślę sobie, nie, to jest kompletne zaprzeczenie tego, co Herbert chciał powiedzieć.
2422:  MG - U Franka Herberta cała intryga wynika z tego i Herbert jako człowiek, który badał historię, lubił tego typu nawiązania, to jest pułapka Tukidydesa.
2433:  MG - Mamy imperium Corrinów, które słabnie, które jest w strukturalnym kryzysie.
2443:  MG - On to często podkreśla, że Saudukarzy nie są już tak potężni jak byli, że w sumie łapówki są smarem, które to wszystko trzymają w kupie.
2451:  MG - I masz dom Atrydów, który rośnie w siłę.
2453:  MG - I masz księcia Leto, który jest niezwykle zręczny.
2457:  MG - Zarówno na poziomie budowania sobie poparcia w Lancracie, jak i zbudowania armii,
2462:  MG - o której przecież jest powiedziane wprost, że jest pierwszą, która mogłaby stawić czoła imperatorowi i że równowaga sił byłaby zaburzona, gdyby za tą potężną armią stanęły armie innych domów.
2475:  MG - A to nie jest wykluczone, biorąc pod uwagę, jaką leto zaskarbił sobie popularność.
2479:  MG - I w tym kontekście ma absolutny sens,
2483:  MG - Dlaczego Padyszach, Szaddam IV, chociaż nie chciał tego robić, ucina dalszy rozwój alterynów, bo się tego rozwoju boi.
2492:  MG - Swego rodzaju paranoja, która się załącza cesarzowi.
2496:  MG - Jak oglądasz film, zwłaszcza tą końcówkę, ten ostatni dialog, to motywacje Szaddama stają się takie trochę na wzruszenie ramionami.
2506:  MG - I dla mnie ta głębia, ja to odbiję zaraz, powiedziałbym duchowa, którą próbuje pokazać Villeneuve, to do mnie przemawia.
2515:  MG - Przemawiają do mnie te obrazy, ta muzyka, to milczenie pustyni.
2521:  MG - Przemawia też do mnie, i tu wejdę w lekką polemikę z Krzysztofem, przemawia też do mnie sposób, w jaki oni pokazują, jak missionaria protectiva Bene Gesserit działa.
2530:  MG - A to z prostego powodu.
2533:  MG - Co do zasady, wielkie objawienia miały w sobie coś z żywotu Briana, miały w sobie coś slapstickowego.
2541:  MG - Prorok Mahomet również w pewnym momencie doszedł do wniosku, że może pociągnął to wszystko za daleko, może to nie ma sensu.
2548:  MG - I wtedy jego żona go przekonała, żeby nie porzucał swojej misji.
2554:  MG - Jego najcenniejszy sojusznik,
2558:  MG - przedstawiciel wielkiej kurajszyckiej szlachty, czyli Halib i Mabwalid, dowiedział się o Mahomecie w taki sposób, że jego siostra z nim przebywała.
2569:  MG - On był oburzony, że z tym przybłędą i nie wiadomo kim jego siostra spędza czas.
2574:  MG - I kiedy wiedział, że Mahomet przyjdzie do ich domu, ukrył się w szafie.
2579:  MG - I chciał po prostu wypaść z tej szafy i powiedzieć, przyłapałem was.
2582:  MG - Tylko, że zanim wypadł z szafy, posłuchał.
2585:  MG - I słowa Mahometa tak go natknęły.
2587:  MG - I Mahomet przepowiedział mu, że ty będziesz Salif al-Islam, ty będziesz mieczem islamu.
2594:  MG - No i wiecie, to jest ten Halib i Malwali, który później zdobędzie Jerozolimę.
2597:  MG - To jest odpowiednik Stilgara w tej historii, więc...
2601:  MG - To przejście od wielkości do śmieszności jest jeden krok w obydwie strony.
2606:  MG - Rzeczy wydają nam się śmieszne, dopóki nie stają się wielkie, a stają się wielkie, kiedy ludzie w nie wierzą.
2612:  MG - Znakomita jest scena, w której Jessica mówi, jeśli chodzi o poszukiwanie wyznawców.
2617:  MG - Najpierw słabi, najpierw wykluczeni, najpierw ci, którzy są podatni i stopniowo przechodzisz do silnych.
2624:  MG - Jak Chrystus zdobywał swoich zwolenników?
2627:  MG - Zaczął od kółka rybackiego,
2630:  MG - gdzieś na krańcach imperium, a skończył na tym, że Cesarz padł przed nim na kolana.
2635:  MG - Więc akurat dla mnie ten story arc Stilgara jest do kupienia i sposób, w jaki ludzie powoli wygaszają swoje wszystkie argumenty na nie, jest do kupienia, zwłaszcza biorąc pod uwagę, i to była moja ulubiona scena, kiedy Paul mówi do tego zgromadzonego tłumu,
2659:  MG - że niejeden tutaj chciałby mnie wyzwać i wskazuje na jednego ręką, mówi, myślisz sobie, z jednej strony miałbym szansę, ale myślisz z drugiej, a co jeśli on naprawdę jest Mahdim?
2669:  BFP - Odbiję szybko, dając Ci głos Krzysztofie, ten argument dotyczący słów Szaddama IV na temat letoatrydy, że to jest w jakikolwiek sposób w opozycji do tego, co widzimy w książce.
2679:  BFP - Absolutnie nie.
2681:  BFP - Jedno nie wyklucza drugiego.
2683:  BFP - I w książce, i w filmie widzimy, że rzeczywiście Leto, pomimo, że jest oczywiście pragmatykiem, i w książce nawet bardziej niż w filmie, bardzo fajnie podkreśla to scena, w której każe ludziom w Arakin rozdać wodę.
2697:  BFP - ale mówi i macie rozgłaszać kto to zrobił, bo muszą wiedzieć od kogo dostali te wody.
2701:  BFP - Dbając o PR polityczny, temu też służy scena bankietowa.
2705:  BFP - Ale fakty są takie, że Leto Atryda przybywając na Arrakis chce zdobyć serca Fremenów.
2712:  BFP - To nie jest tak, że on ma plan podbicia czy podporządkowania ich sobie, tylko zasiewa stopniowo w nich zaufanie.
2718:  BFP - Mówi nie będę naruszał waszych regionów si czy będę zbierał przyprawy tam gdzie mi pozwolicie.
2724:  BFP - Jak każdy mądry kolonizator.
2727:  BFP - No ale masz kontrast w tym świecie, jak wyglądają alternatywy chociażby na przykładzie Harkonnenów, którzy stanowią tło dla trydów.
2735:  BFP - No nie przypadkiem się przeciwstawnie prezentuje te dwa rody względem siebie, a pomiędzy nimi, nie mogę powiedzieć, że mediatorem, bo się miesza w te sprawy, jest Shaddam IV.
2745:  BFP - I masz scenę z Ornitopterem.
2748:  BFP - Masz wymowną scenę, w której, przepraszam, ze żniwiarką i Ornitopterem, w której...
2754:  BFP - Liet Kynes przekonuje się, jakim człowiekiem jest Leto, kiedy każe rozładować żniwiarkę, rozładować ornitopter i ewakuując stamtąd ludzi.
2764:  BFP - To jest człowiek, który kieruje się honorem, lojalnością.
2767:  BFP - To rozumie Szaddam jako rządy sercem.
2769:  BFP - Jego syn, Paul Atryda,
2772:  BFP - Nie popełnia tego błędu i kontrastuje z tym scena, w której właśnie to, co powiedziałeś, wchodzi na zgromadzenie fremenów i mówi, to ja jestem drogą, to ja wam powiem, gdzie idziemy.
2782:  BFP - To już nie są rządy serca, to są rządy siły, to są rządy głosu.
2786:  BFP - I pokazuje szadamowi scenę później, potem jak słyszy od niego te słowa, co to znaczy nie rządzić sercem, kiedy każe mu ucałować zakrwawiony sygnet jego własnego ojca.
2796:  BFP - Więc nie, nie zgadzam się z tym, że słowa szadama nie aplikują się do letoatrydy.
2802:  MG - Tu możemy się zgodzić, że się nie zgadzamy.
2804:  MG - Ja też pamiętam, że Leto bardzo podkreśla, że robi to, co robi, bo rozumie sztukę zdobywania serc i umysłów i podkreśla, jak każdy mądry kolonizator, te imperia kolonialne trwały i tam kolonie trwały,
2818:  MG - gdzie szanowałeś miejscowe obyczaje, gdzie wchodziłeś w porozumienie z miejscowymi elitami, gdzie robiłeś rzeczy dla podklasku i pod publikę.
2826:  MG - Kto chciał rządzić wyłącznie przemocą, ten nie był w stanie rządzić, bo potrzebujesz minimalnej dozy współpracy ze strony miejscowej ludności.
2834:  MG - I tak Leto od samego początku w rozmowie ze swoim synem przedstawia swój plan,
2838:  MG - I są też bardzo długie monologi wewnętrzne Jessica, w tym taki, w którym ona mówi, że Lato ją przerażał swoim chłodem, swoją żelazną konsekwencją i swoją skłonnością do politycznej kalkulacji.
2854:  MG - Gdyby ktoś oglądał tylko film, a nie czytał książki, miałby wrażenie, że to jest Robb Stark, że to jest poczciwy naiwniak.
2861:  KMM - Ja mam szczerze powiedziawszy jeszcze większy problem z imperatorem, ponieważ gdybyśmy mieli zrobić coś, co ćwiczy się wyłącznie w polskiej szkole, to znaczy charakterystykę postaci, to podejrzewam, że jeżeli chodzi o imperatora, to moglibyśmy powiedzieć, że był imperatorem i miał taki tron i Sardaukarowie go bronili i miał córkę.
2881:  KMM - bo to jest wszystko, co wiemy o rodzie Korinów.
2883:  KMM - Nie wiemy absolutnie nic o nich.
2885:  KMM - Jeżeli byśmy tak mieli trzy szklanki wypełnić jedną informacjami na temat atrydów, no to pierwsza część Dune'y naprawdę pięknie dostarcza dużo informacji.
2894:  KMM - Druga część absolutnie oddaje sprawiedliwość Harkonnenom.
2898:  KMM - Wreszcie dowiadujemy się też, jak wygląda kultura i społeczeństwo na Gidi Prime, chociaż z pewnymi ułomnościami możemy się spierać co do tego, czy przedstawianie ich jako inżynierów faszystów z Prometeusza jest szczególnie dobrym pomysłem.
2910:  KMM - Natomiast o Korinach nie wiemy nic.
2911:  KMM - A przypominam, że żeby nie mówić o innych książkach, czyli nie autorstwa Franka Herberta, tylko Breana Herberta i Kevina J. Andersona, to mamy trzy takie.
2919:  KMM - Ród Atrydów, Ród Harkonenów i Ród Korinów.
2922:  KMM - Czyli prawdopodobnie Ród Korinów jest równie istotny, ba, mamy na temat Rodu Korinów równie wiele informacji, ba, Szaddam IV panował bardzo długo i ta jego dekadencja i to, w jaki sposób upadało to imperium, dałoby więcej motywacji,
2937:  KMM - letoatrydzie, żeby właśnie prowadził swój cały dżihad.
2940:  KMM - Natomiast oczywiście to nie jest najgorszy problem, jeżeli chodzi o ten writing.
2943:  KMM - Ja nie będę, jeżeli chodzi o naszą dyskusję, polemizował jakoś tak bardzo ogniście w różnych aspektach, ale w jednym bardzo.
2952:  KMM - To znaczy bardzo będę polemizował, jeżeli chodzi o jakość scenariusza, ponieważ nie jestem w stanie uwierzyć, że człowiek, który jest odpowiedzialny za, czytam w tej chwili, Passengers' Dare to Dream, Pasażerowie, to jest ten film z...
2964:  KMM - Boże drogi, Jennifer Lawrence, następnie Doctor Strange, The Darkest Hour oraz Mumia, tak, ta Mumia z Tomem Cruzem i fucking Prometheus jest dobrym wyborem ze strony Denis Villeneuve'a na współscenarzysta.
2975:  BFP - Nie, nie, to jest współscenarzysta, który pomagał.
2978:  KMM - Nie jest to dobry wybór Denis Villeneuve'a na współscenarzystę.
2982:  KMM - Jest wielu bardziej utalentowanych, którzy może
2985:  KMM - byliby w stanie do, w tych, wiecie, nielicznych dialogach, które mamy, zadbać o to, żeby one faktycznie rezonowały mocno i w tych momentach, kiedy potrzeba naprawdę tego kontekstu politycznego, żeby go wstrzyknąć.
2998:  KMM - Nie wiemy dużo na temat house Tyrell, prawda, z gry o tron, ale ile my wiemy na temat domu Tyrellów, dzięki tym nielicznym wypowiedziom, jakie mieliśmy ze strony Lady Oleny.
3008:  KMM - To się naprawdę da zrobić i dialogi są takim momentem,
3012:  KMM - Dobry przykład, kiedy to wychodzi w Dune'ie, wszystkie sceny z udziałem Bene Gesserit.
3017:  KMM - My się dowiadujemy stamtąd więcej, niż się dowiadujemy z książki z bardzo prostego powodu.
3022:  KMM - O Missionaria Protectiva i w ogóle działalności Bene Gesserit dowiadujemy się z aneksu, który był dołączony do pierwszej części Duny.
3028:  KMM - Natomiast tutaj mistrzowsko wmontowano w dialogi właśnie partie ujawniające ludziom o co chodzi.
3035:  KMM - Natomiast
3036:  KMM - Przeciętny widz może mieć trudność z zobaczeniem na przykład, i to widać bardzo po komentarzach, jaka była w ogóle rola Czerwiów, dlaczego oni się wszyscy tak bili o te Araki, dlaczego to jest takie ważne, z bardzo prostego powodu.
3046:  KMM - To znaczy w drugiej części scenarzysta zapomina już o wszystkim, co było w części pierwszej praktycznie i nie powracają te wątki, które są kluczowe.
3052:  KMM - Po co ma powtarzać to samo, co powiedział w części pierwszej?
3054:  BFP - Pierwsza część zaczyna się od tego, że tłumaczy ci, czym jest przyprawa i dlaczego jest tak istotna.
3058:  KMM - Z bardzo prostego powodu.
3059:  KMM - To znaczy, to jest narracja, która jest właśnie o tym.
3062:  KMM - To znaczy, nie byłoby niczego w tym świecie, gdyby nie ona.
3066:  KMM - Cała krucjata Paula Muadiba nie miałaby sensu.
3068:  KMM - Ba, przypominam, że fremeni nie mieliby na co wsiąść.
3072:  KMM - ponieważ nie działałyby statki.
3074:  KMM - Więc usunięcie gildii nawigatorów przez scenarzystę jest debilizmem światotwórczym i scenariopisarskim z bardzo prostego powodu.
3082:  KMM - To znaczy, to nawigatorzy zostali przekonani w oryginalnej Dune'ie do tego, żeby lody wielkie ewakuować z orbity Arrakis.
3090:  KMM - A kto tutaj przekonuje?
3091:  KMM - Gurney Halleck przez krótkofalówkę i mówi
3095:  KMM - Panowie, jest dobrze, jest dobrze, skontaktowałem się z nimi przez krótkofalówkę, jest dobrze.
3100:  KMM - Odchodzą.
3101:  KMM - To jest prymitywne.
3102:  KMM - Natomiast połączenie tego z melanżem i pokazanie, że Pol mógł za pośrednictwem wody życia go skazić, nie jakimiś atomówkami, to po pierwsze.
3111:  KMM - Po drugie, pokazanie, że bez nawigatorów nie ma żadnego dżihadu.
3115:  KMM - Fremeni nic nie... Co mogliby Fremeni zrobić?
3117:  KMM - Fremeni mogliby wsiąść na te swoje czerwie i ewentualnie popatrzeć w gwiazdy.
3121:  KMM - To jest wszystko, co byliby w stanie zrobić.
3123:  KMM - Dopiero połączenie tej desert power, to jest cytat, który pamiętam z pierwszej części, z tym, co dają wielkie lody Lansradu, z tym, jaką estymą był obdarowany leto I Atryda przez lody Lansradu i z tym, co zostało na szczęście w filmie, to znaczy ze zdradą imperatora, to właśnie mogło przekonać wszystkich do tego, żeby powierzyć w ogóle Paulowi Muad'Dibowi część tej potęgi, którą on nie dysponował.
3150:  BFP - Okej, to teraz postaram się...
3153:  BFP - odnieść do kluczowych z tych punktów, które pojawiły się w twojej wypowiedzi.
3158:  BFP - Po pierwsze, całkowicie się nie zgadzam z tym, że wątek przyprawy i znaczenia dla uniwersum i całego Imperium Galaktycznego ma mniejsze znaczenie w drugiej części, bo kluczowy zwrot, który się pojawia, a propos cytatów, które można zapamiętać, mieć nad czymś kontrolę to móc to zniszczyć.
3174:  BFP - I to jest to, czym szantażuje Pol wszystkich.
3178:  BFP - To jest powód, dla którego sprowadza Imperatora na Arrakis.
3181:  BFP - Bo sparaliżuje mu imperium i zniszczy jego imperium, niszcząc złoża melanżu.
3187:  BFP - Mówisz o tym, że wycelował atomówki zamiast użyć wody życia, która faktycznie mogłaby zniszczyć tak naprawdę te trocie przyprawowe.
