Matrix vs Spider-Man, czyli o szacunku do fanów i dobrej i złej nostalgii
🔗 https://www.youtube.com/watch?v=2FvsVRidyhk
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Dzisiejszy odcinek ulicy Zamkowej będzie sponsorowało słówko nostalgia i fraza fanservice.
1544:  BFP - Stąd tak debilne, kretyńskie rozwiązania fabularne, naprawdę kretyńskie, jak chociażby to, że wskrzeszony Neo i wskrzeszona Trinity muszą być blisko siebie jako baterie, bo dzięki temu dają jakiś niezwykły efekt energetyczny, który sprawia, że ludzie w Matrixie są bardziej wydajni i 200% szybciej biegają jako chomiki w kołowrotku.
1563:  BFP - No przepraszam, ale takie było wytłumaczenie Nila Patryka Harysa, analista niejakiego, który przez 5 minut gadał do Neo, a Neo nie mógł nawet krzyknąć zamknij wreszcie mordę, ponieważ był w bullet time'ie, tak.
1575:  BFP - A tamten oczywiście też stwierdził, o wiem jak cię załatwimy, wiesz jak cię załatwimy?
1578:  BFP - Wykorzystamy twój bullet time!
1581:  BFP - No nie, to był taki szczyt, że ciężko było o tym mówić.
1584:  BFP - Natomiast z perspektywy Lany Łaczowskiej mam przekonanie, że ona z wielkim zaangażowaniem emocjonalnym
1590:  BFP - ale jednocześnie z jakimś dystansem artystycznym stwierdziła, że weźmie to, co znamy i ona na nowo opowie tę historię, zmieniając pewne elementy, które dla niej były okej, a dla nas jako fanów są świętokradztwem.
1604:  BFP - Dlatego uważam, że to nie Warner Bros.
1607:  BFP - trzeba zabierać Matrixa, tylko Lanie Łaczowski.
1611:  BFP - I tak sobie pomyślałem...
1614:  BFP - jak oglądałem ten film, a potem jeszcze rozkminiałem, jak ja chciałbym, żeby ten film mógł wyglądać.
1619:  BFP - Pomyślcie, jakby to było, gdyby aktor, który gra Morfeusza, grał postać gościa, który dostał świra na punkcie gry Matrix.
1628:  BFP - On się zakochał w postaciach, które tam są.
1630:  BFP - I on jest cosplayerem.
1631:  BFP - On normalnie...
1633:  BFP - Prowadzi społeczność larpowo-kosplejerską, przebiera się, Morpheusza cosplayuje i to zaczyna się stawać jego obsesją.
1640:  BFP - On zaczyna szukać ludzi, którzy grali w tej grze czy w tym filmie.
1643:  BFP - Znajduje Keanu Reevesa, znajduje Kerrien Moss i wciąga ich w tą swoją dziwną grę.
1648:  BFP - I robi to tak...
1649:  BFP - zawzięcie, robi to tak obsesyjnie, że nie tylko zmienia się w Stokera, ale faktycznie siłą swojej woli zaczyna kształtować Matrixa.
1656:  BFP - I okazuje się, że on zaczyna tworzyć swoją świadomością Matrixa, przypisując ich do konkretnych ról.
1661:  BFP - A Keanu Reeves gra oczywiście Keanu Reevesa, mówi kurwa człowieku daj mi spokój, weź daj mi spokój.
1665:  BFP - Ale nagle zaczyna dostrzegać Jezu, ten gościu naprawdę włożył rękę w lustro, jak on to zrobił.
1670:  BFP - I to byłaby prawdziwa opowieść, piękna, mądra opowieść z morałem o sile cosplayerstwa.
1676:  BFP - I to jest coś, w co ja bym naprawdę zainwestował, tak?
1679:  BFP - Jak ja bym słyszał taki pitch, powiedziałbym, wchodzę w to, no i żałuję, że tak nie było.
1684:  GW - To, co opowiadasz, już po raz kolejny prezentujesz fabuły i pomysły i pitche lepsze niż oryginalni twórcy, no tutaj trzeba oddać.
1694:  GW - No ale faktycznie, to co się... Poprzeczka nie była zawieszona wysoko.
1697:  GW - No nie, okej, ale to, co opowiadałeś kiedyś o Batmanie, zdecydowanie jest jeszcze warto przeanalizować.
1703:  GW - Będzie jeszcze odcinek o tym.
1705:  GW - No, ale to co się faktycznie w czwartym Matrixie odwaliło i tutaj chcę tak zrobić taki zapalnik, żeby odpalić znowu Krzysztofa, jeżeli chodzi o lore i światotwórstwo.
1716:  GW - Zamiast z Gracją właśnie poradzić sobie z faktem, że Keanu już nie może się za bardzo produkować w scenach walki, dostajemy spamowanie force push co chwila, tak?
1725:  GW - W ogóle jak dla mnie dwa koncepty tam przyprawiają mi o taki ból głowy, że ja nawet nie wiem do teraz jak sobie z tym poradzić.
1732:  GW - Bo załóżmy, było pierwsze założenie, właśnie to jest to, że najbardziej chyba mnie wybijało z całości produkcji to, że ona nie jest konsekwentna względem własnych założeń, które zostały nadane w poprzednich filmach.
1748:  GW - Dlatego, bo mieliśmy koncepcję tego, że ludzie są baterijkami i każdy człowiek to jest po prostu bateryjka, jest istotny dla istnienia maszyn, które niewolą ludzi na całej ziemi.
1762:  GW - I kto stwierdził nagle, że dobrym pomysłem będzie Swarm Mode, który powoduje masową śmierć tysięcy po prostu baterii, które są potrzebne tym maszynom.
1775:  GW - Nagle stwierdzają, że są niepotrzebni?
1777:  GW - No to jak?
1779:  GW - Ale dlaczego?
1780:  GW - To jest jedno.
1781:  GW - Drugie?
1782:  GW - Wyłączyli pół Mokotowa pod koniec filmu.
1784:  GW - Tak, dokładnie.
1786:  GW - I drugie, co mnie po prostu też kompletnie rozwaliło, to jest to, że nagle maszyny mogą przenosić się do rzeczywistości ludzi, wychodzić z tego Matrixa, z czego na początku pokazują, że to jest ciężki, drogi proces, gdzie oni mogą tam w zamkniętym pomieszczeniu zmaterializować się przez jakieś tam cząsteczki, jonizacje i tak dalej.
1809:  GW - I ten bullshit jeszcze bym był w stanie uwierzyć.
1812:  GW - ale nagle, kiedy jest to potrzebne, Morpheus w zasadzie może kurna wejść wszędzie i nagle zmienia sobie postać tą, tak jak mu jest wygodnie, przechodzi przez jakieś kratki ściekowe, parowują po prostu maszyną nagle, która ponoć ma permabana na to gniazdo, gdzie jest Nioh i Trinity i nagle jest wszystko okej.
1836:  GW - W momencie, kiedy mogą robić takie rzeczy, no to i z racji tego, że są już obyci z tą technologią, no to w zasadzie to oni powinni zaorać maszyny dawno, tylko że co, nie chce im się?
1847:  GW - Ja nie rozumiem po prostu tego szafowania kompletnego zasadami w zależności od potrzeb.
1855:  GW - To jest ta niekonsekwencja...
1858:  GW - Gryzie mi się zawsze i w grach, i w filmach, i serialach, i tak dalej, we wszystkich środkach kultury.
1864:  GW - W momencie, kiedy nadajemy jakieś zasady, to się ich pilnujmy.
1867:  GW - Te, które były nadane w oryginalnej trylogii, oczywiście były absurdalne, ale jak już ktoś mi je dał, to niech się ich trzymają.
1874:  GW - I ja po prostu łyknąłem i spoko, jak tą niebieską piegółkę.
1878:  GW - Natomiast w momencie, kiedy ktoś nagle mi to wywraca do góry nogami i to się kompletnie kupy nie trzyma, no to jak mam to przyjąć i dobrze odbierać?
1888:  BFP - A ja już oddaję głos Arturowi jako najbardziej doświadczonego fana Matrixa.
1893:  BFP - Najstarszego w czymś powiedzieć.
1895:  BFP - No to tak.
1897:  BFP - Ale jedyne, czego mi brakowało...
1902:  BFP - diversity ages.
1904:  BFP - I jedyne, czego mi brakowało jeszcze w tym filmie, to żeby rzeczywiście Morpheus, który miał postać tych cząsteczek, żeby jeszcze spojrzał w kamerę i powiedział WE ARE VENOM!
1913:  BFP - Ale naprawdę w ogóle bym się nie zdziwił, gdyby coś takiego nastąpiło, bo jak widać jego możliwości były nieograniczone, szczególnie, że... Ja mam takie wrażenie, że Matrix Resurrections w otwarty sposób
1930:  BFP - okazuje despekt w stronę fanów.
1934:  BFP - Naprawdę, jakby wracam do tego, co powiedziałem, że Lana Łaczowski nie tylko nie kocha już Matrixa, ale sama go nie rozumie i próbuje jakoś retroaktywnie, retrospektywnie zmieniać jego wymowy i zmieniać to, co w nim najlepsze, ale oglądając ten film, miałem takie poczucie, że mnie jako fana Matrixa się nie szanuje, tak jakby dla niej zabawą było szarganie tego, co stworzyła przez lata i Artur tu ci oddaje głos, żebyś powiedział, czy czujesz podobnie.
1956:  AK - Ja się zastanawiałem, co by mnie zadowoliło, co by mi ukoiło mój ból, moją rozpacz po obejrzeniu tego filmu, bo naprawdę byłem zdruzgotany.
1965:  AK - Oczekiwałem po prostu jakiegoś uaktualnionego, uaktualnionych odpowiedzi na pytanie, czym jest Matrix, Anno Domini 2021, bo tak de facto piękno i wielkość Matrixa z 1999 roku polegała na tym, że zadawał pytania, bardzo głębokie,
1982:  AK - Czasami nawet wręcz absurdalnie głębokie, jak na amerykańskiego widza, bo przecież ludzie tropili scena po scenie Easter Eggi i patrzyli, co konkretnie oni podrzucają za tropy, do jakich filozofii, do jakich konkretnych wątków odwołują się poprzez daną scenę.
1997:  AK - Numer apartamentu był jakimś tropem, książka, w której Neo ukrywał tę taśmę, w ogóle każda ze scen miała swoją jakąś bardzo głęboką siłę.
2010:  AK - I powiem Wam, że na koniec już tak naprawdę próbowałem wydobyć cokolwiek z tego filmu Matrix 4 i byłem zruzgotany, bo ja wiem, że Wam się rola Merrowinga nie podoba.
2021:  AK - Ja uważam, że o tyle fajno, że on w sumie wykrzyczał to chyba, co miało być takim mięsem tego filmu, że mamy Marka Zuckerberga, że to są nasze ówczesne Matrixy, czyli takie obecnie agenci de facto Matrixa,
2038:  AK - których my przyjmujemy jako platformy społecznościowe, przynajmniej ja tak odebrałem, plus jeszcze oczywiście, że my nie chcemy się uwolnić, czyli tu możemy delikatnie powiedzieć, że to jest takie, wiecie, ucieczka od wolności, no i tutaj, prawda, siadamy, tutaj wyjmujemy cygaretki, zastanawiamy się teraz, na czym polega życie i tak dalej, ale to było tak mierne i ten mrowing przez chwilę, ja wiem, powtórzę, Wam się nie podobał, ja uważałem na tle tego całego szlamu, tego syfu, który był z ekranu, bił,
2065:  AK - Uważałem, że on w sumie jest jakoś tam nawet fajny, bo żadne z tych bohaterów i bohaterek, które by się pokazały w tym filmie, naprawdę nikt, nawet architekt, w sensie, przepraszam, osoba, która była analitykiem, bo tak było nazywane, on mi się nie podobał, dlatego że
2082:  AK - Nawet jeżeli mamy złą postać, która w większości filmów jest bardzo prosta, bo jest najciekawsza wtedy, ma najwięcej cech takich zrozumiałych dla nas i których prawdopodobnie boimy się w życiu okazywać, a dlatego jest ciekawa, bo ktoś może być zły, może być okrutny itd.
2097:  AK - I oni nawet takich postaci nie potrafili zrobić.
2100:  AK - Hugo Withing był bardzo ciekawym agentem, bo był jakimś magnetyzm, taki zwierzęcy, powiedzmy, w tych scenach, kiedy on torturował Morpheusza i mówi do niego, jesteście wirusem, wy ludzie, jesteście złem, jesteście zoo tego świata.
2121:  AK - Kurde, ja czułem tam ciary, potem wjeżdżała scena z helikopterem, wjeżdżał minigun i to po prostu scena pulsowała.
2129:  AK - A tu ta przemowa, do której się Filip odnosiłeś, kiedy właśnie neo-wybraniec jest w tym takim parodii tego bullet-time'a i ten właśnie analityk się między nim gdzieś tam de facto robi jakieś takie skoki temporalne,
2147:  AK - Na końcu ta scena, w której Trinity unosi jego, czyli Neo i to jest takie, wiecie, najbardziej chyba łopatologiczne pokazanie, kobiety rządzą, pomimo tego, że się z tym zgadzam i jestem wyznawcą i super i girl power i w ogóle,
2163:  AK - taka łopatologia i jeszcze na wszystko jest nałożony taki płaszczek pod tytułem, ponieważ jestem twórczynią tego całego uniwersum, to nie wolno wam tego w żaden sposób krytykować, zobaczcie co stworzyłam i te sceny tych feedbacków, czy też przebitek wyświetlanych na tych płachtach ruchomych, żebyście przypadkiem nie pomyśleli, że jesteście w jakimś innym filmie, tylko to jest Matrix, którego kochacie,
2188:  AK - I film się kończy jakąś wielką sceną, która jest, powtórzę, ja szczerze powiedziawszy to był dla mnie teatr telewizji, te bezimienne postacie, które w Matrixie pierwotnym były ciekawe, bo były takim właśnie legionem minionków, które byli agentami czy podstawionymi jednostkami przez Matrixa, a tu była jakaś bieda zespołem ludzi ubranych w te kostiumy tych SWAT-owców i tak dalej.
2213:  AK - Nagle Neo odzyskuje tą siłę, chociaż nie może latać, ale może sprać po mordzie.
2217:  AK - Potem Carrie Ann Moss, która nagle okazuje się, że być większa i potężniejsza od Neo, z czym nie mam problemu, ale rany boskie, naprawdę przez ten cały film głównym bohaterem jest Neo.
2229:  AK - Dlaczego ty wprowadzasz kobieto...
2231:  AK - na 15 minut ostatnio, tworzy superbohaterkę, osoby, która zupełnie, ja wiem, że to może być ciekawe, może być jakimś takim switchem, cliffhangerem, ale to zupełnie nie gra.
2241:  AK - Ja nie wiem, ile osób obejrzało przed produkcją ten film, w sensie przed montażem.
2245:  AK - Problem tego filmu jest to, że tak jak powiedział Krzysztof, on nie ma klasycznej budowy.
2251:  AK - To, co powiedział Grzegorz też, że właściwie nie wiadomo, gdzie się zaczyna, gdzie się kończy.
2256:  AK - Ja mam problem taki, że
2258:  AK - Boję się, że to naprawdę Lana Łachowski nie powiedziała, nie rzuciła tych słów na wiatr i Warner Bros.
2264:  AK - dało jej przepustkę na zrobienie kolejnych części i boję się, że ona będzie brnęła w tą sytuację, w której miłość wszystko zwycięża.
2274:  AK - co na przykład było zrobione, moim zdaniem, w jednym z lepszych filmów, które widziałem, jeśli chodzi o kino science fiction, Staffa Science Fiction, czyli Interstellar.
2282:  AK - Wielu osobom się ten film nie podoba, ale właśnie dla mnie to przesłanie pod koniec tego filmu, to, że miłość wszystko zwycięża, to się broniło.
2289:  AK - Ten film był piękny, wspaniały i moim zdaniem miał tą duszę.
2293:  AK - A jeżeli to wypowiadają, czy też pokazują to przez swoją grę aktorską aktorzy na planie Matrixa 4,
2300:  AK - to ja mam ochotę wstać i wyjść, bo to jest trochę jakieś jasełka połączone z jakimś bardzo złą, operatorską... A tu z Grzyckiem się nie zgodzę.
2309:  AK - Moim zdaniem efekty specjalne w Matrixie 4 były takie sobie, żeby nie powiedzieć, że ja cały czas czułem zgrzyt.
2315:  AK - To nie wyglądało na biedne, ale miałem wrażenie, że oni specjalnie próbują zrobić coś takiego, żeby to nie wyglądało na super nowoczesne.
2322:  S02 - Na pospieszne.
2324:  AK - Efekty.
2324:  AK - Nie wiem, czy też to czuliście.
2325:  AK - To na przykład towarzyszyło mi cały czas w scenie rozmowy właśnie w tym bullet time między analitykiem a Neo.
2331:  BFP - No nie no, to w ogóle jakiś kiczowaty efekt.
2334:  BFP - Te przeskoki, prawda?
2335:  AK - On tam drgał i to nie było takie drganie, że to ktoś wymyślił sobie.
2339:  AK - Tak samo ten efekt tych cząsteczek właśnie Morpheusza i tak dalej.
2344:  BFP - 20 lat postępu technologicznego, a ten film wygląda gorzej niż pierwszy Matrix.
2349:  KMM - Oczywiście, że tak.
2350:  KMM - I jeszcze, bo muszę w to wtrącić, bo Interstellar jest jednym z moich najokochańszych filmów, które powstały kiedykolwiek, także muzycznie.
2358:  KMM - I Matrix, muzyka.
2360:  KMM - W soundtracku do Matrixa, to jest zresztą rzecz, którą analizuję ze studentami, jest to tak dobre, w którymś momencie są wykorzystane pieprzone upanishady, tylko tego nie słychać, bo nie wszyscy czytają w tym języku, ale są wykorzystane i to ma sens, bo to jest pieśń o nieśmiertelności, o cyklu.
2379:  KMM - o powrotach.
2380:  KMM - To jest to, co Artur powiedział.
2381:  KMM - Matrix ma zakodowane bardzo dużo różnych rzeczy w warstwach głębszych, bo na pozór, jak się ślizga człowiek po powierzchni, no to to jest...
2392:  KMM - Just your average superhero movie.
2394:  KMM - Neo oczywiście jest Mesjaszem, oślepł, ale pokonał maszyny, a wcześniej oczywiście też był, nawiasem mówiąc, ten wątek Amor Vincitomio, przecież on wypełnia całą drugą część filmu.
2405:  KMM - Więc to wszystko było, ale jak schodziliśmy w głąb, to odnajdywaliśmy kolejne pokłady
2414:  KMM - muzyczne, wizualne.
2416:  KMM - Marcin Łukański na gałęzi zbił przepiękny materiał na podstawie samego zwiastuna.
2421:  KMM - I żeby było śmieszniej, jego uwagi się utrzymały po premierze filmu.
2425:  KMM - Powiedział, że siostry Wachowskie, Łaczowskie, wszystko jedno, naprawdę zagrały
2435:  KMM - trudnymi kartami, to znaczy filtr kolorów, który został wykorzystany w Matrixach był nieoczywisty, to się nie podobało widowni, nie był bezpieczny.
2443:  KMM - Jak ktoś jest bardziej zainteresowany fachową analizą, to polecam to, co było w materiałach na gałęzi na ten temat, bo ja się na ten temat nie znam, ale ten color grading zielonkawy, to wszystko razem z bardzo specyficzną muzyką, z tymi brzmieniami, które zostały tam wykorzystane, z jednej strony orkiestrowe, z drugiej strony
2461:  KMM - metalowe, rockowe, ambientowe, tego było strasznie dużo, stworzyły taką bardzo unikatową całość.
2469:  KMM - I zrobienie po tym takiego mlazgrawego filmu, który jest paciają zbitką różnych dziwnych kontekstów, kiepskich żartów, niedopowiedzianych kwestii dialogowych,
2483:  KMM - auto-parodii, no to już nawet nie jest tak, jakby porównywać z Interstellarem, to jest tak, jakby porównać, nie wiem, pałac w Sankt Petersburgu z wojskową latryną, jeszcze w dodatku przepełnioną.
2495:  KMM - Jest to... Matrixem.
2497:  KMM - Tak, Matrixem.
2498:  KMM - I właśnie do tego Matrixa nawiążę, zauważcie, że to jest słowo, które przeniknęło do Uzusu.
2503:  KMM - My go używamy potocznie, mówiąc, że ktoś żyje w Matrixie.
2507:  KMM - I teraz, czym jest Matrix?
2510:  KMM - w oryginalnej trylogii Matrix, jest światem syntetycznym stworzonym po to, żeby ludziom dać utopię, z której nie będą chcieli uciekać.
2517:  KMM - Najprościej rzecz ujmując.
2519:  KMM - Ten koncept nie jest utrzymany w tym świecie w ogóle, w żaden sposób.
2523:  KMM - Ja już nie widzę w tym świecie utopii, z której ludzie nie chcą uciekać, ja w tym świecie widzę kalkę naszej rzeczywistości z wszystkimi jej niedoskonałościami, z nudną pracą korporacyjną, z...
2534:  KMM - crunchowaniem nad grami wideo i z kiepską sojową latę, którą sobie kupujemy.
2540:  KMM - So many missed opportunities.
2543:  KMM - I to wszystko tworzy nam kopię rzeczywistości, w której jesteśmy.
2546:  KMM - I nie ma już argumentu dla ludzi za nieuciekaniem z tego świata do czegoś lepszego.
2551:  KMM - Ba, ten świat nie wydaje się w żaden sposób inny.
2554:  KMM - W tym Matrixie oryginalnym była ta nutka właśnie tej tajemniczości, takiej cyberpunkowości w gruncie rzeczy.
2561:  KMM - Tutaj tego w ogóle nie ma.
2562:  KMM - To znaczy ten świat przez to też, że jest zastosowany... Czas się zatrzymał.
2565:  KMM - Tak, jest filtr kolorystyczny bezpieczny zastosowany, ten właśnie, o którym mówi Marcin Łukański.
2569:  KMM - Nie wiem, jak to się fachowo nazywa, ale taka powiedzmy paleta brązowa, słoneczna, kojarzona z naszą rzeczywistością.
2576:  KMM - Nie widzę w tym świata przyszłości.
2578:  KMM - To w ogóle nie jest świat przyszłości, zacznijmy od tego.
2580:  KMM - I teraz najważniejsza kwestia, bo poruszyliście rzecz z...
2585:  KMM - tym obrzydliwym CGI było.
2587:  KMM - O, będziemy mieli takie cząsteczki, które tworzą antropomorficzną postać.
2590:  KMM - To jest takie nowoczesne, bo wiecie, to są takie nanocząsteczki.
2594:  KMM - Och, i maszyny mogą się materializować w naszym świecie.
2597:  KMM - Tylko, że maszyny mogą się już materializować w naszym świecie, bo one są zmaterializowane w naszym świecie.
2602:  KMM - Przecież o tym jest cały Revolutions.
2604:  KMM - To są te wijące się maszyny, które atakują.
2606:  KMM - One nie potrzebują, jeżeli mamy świadomość o roju, to one nie potrzebują przybierać postaci antropomorficznej.
2612:  KMM - Po co?
2612:  KMM - Jeżeli dla potrzeb kontaktu z ludźmi są efektywniejsze sposoby kontaktu.
2616:  BFP - Dlatego, że są maszyny, ale są też programy.
2619:  GW - To był programem i on nie był stricte maszyną, bo tam jest to rozdzielone jeszcze, że mamy osobną maszynę, osobny program.
2626:  KMM - Cały rand po nic.
2627:  KMM - Nie, to nie ma żadnego znaczenia, ponieważ programy są skorzystane wyłącznie po to, żeby zarządzać ludźmi w Matrixie.
2634:  KMM - Maszyny nie potrzebują tych programów na zewnątrz, a jeżeli by programy potrzebowały wyjść na zewnątrz, mają już gotowe ciała maszyn, w które mogą wejść.
2641:  KMM - Starość Axolotla Dukaja jest o tym.
2643:  KMM - Możemy mieć nawet maszynę czy program, wszystko jedno, który będzie w koparce albo w podnośniku widłowym.
2649:  GW - Właśnie to mnie jak najbardziej zdziwiło, że faktycznie zamiast po prostu wniknąć w którąś z tych funkcjonalnych maszyn, które wyglądają jak macki i tak dalej, to mamy po prostu właśnie taki śrut tak naprawdę latający gdzieś tam w przestrzeni.
2666:  KMM - Venom.
2667:  KMM - Są przykłady robienia tego dobrze.
2669:  KMM - Eddie z Mass Effecta na przykład.
2671:  KMM - Ale można byłoby równie dobrze wtłoczyć program do świadomości statku, którym podróżują bohaterowie.
2679:  KMM - To byłoby o wiele bardziej interesujące.
2681:  KMM - Natomiast robienie tego rodzaju klepawego CGI, który gra na tym wytartym koncepcie sci-fiowym, że nanocząsteczki maszyny będą tworzyły powłokę ludzką, jest absurdalne właśnie z tej perspektywy, że zauważcie, i o tym mówił Artur,
2695:  KMM - Agent Smith i każdy inny program, oni uważają, że są lepsi od ludzi, więc jeżeli byśmy założyli, że niektóre programy empatyzują z ludźmi i tak dalej, w dalszym ciągu nie ma sensu przybieranie przez nich takiej powłoki.
2708:  KMM - Natomiast to prowadzi mnie do jednej rzeczy, która jest w światotwórcu dobrze zrobiona, mogłaby być lepiej, to znaczy Ayo, nowe miasto, które się pojawia w Matrixie.
2716:  BFP - I wszystkie jego 12 mieszkańców.
2718:  KMM - I wszystkie jego 12 mieszkańców.
2719:  KMM - To jest próba stworzenia czegoś nowego, co ma jakiś sens.
2724:  KMM - Ale to jest jedyna próba stworzenia czegoś nowego, która ma jakiś sens i zajmuje bardzo niewiele przestrzeni ekranowej.
2729:  KMM - I niestety jest zmarnowana przez najobek, która jakimś cudem jest bardziej wkurwiająca niż w oryginalnych Matrixach.
2736:  KMM - Nie sądziłem, że to jest możliwe.
2738:  KMM - I do tego wszystkiego jeszcze...
2740:  KMM - To komplikuje rolę maszyn w tym świecie, bo ja już nie wiem, naprawdę nie wiem, na jakiej zasadzie funkcjonuje ta rzeczywistość i co podziało się z wątkiem zasilania.
2753:  BFP - Jedyna rzecz światotwórcza, która miała potencjał i która nie została wykorzystana, a można było z tego zrobić cały film, to jest dlaczego maszyny się podzieliły i w jaki sposób doszło do tego podziału, jak Neo jako figura Mesjasza... Może drugi sezon Animatrixa gdzieś tam się pojawi.
2768:  GW - Życzyłbym sobie, bo to najlepszy sequel.
2769:  GW - Bardzo bym chciał.
2771:  AK - No właśnie, bo przecież zobaczcie, ten film, można było zrobić z niego serial, pewnie bardzo kiepski serial na Netflixie,
2777:  AK - i byśmy obrzucali go jajkami, mówili, że to jest gówno i na IMDB, na Metacriticu byśmy go zjechali i tyle.
2784:  AK - Ale ktoś się uparł, żeby zrobić z tego kolejną dokrętkę do kanonu.
2788:  AK - Ja sobie nawet zobaczyłem niedawno, włączyłem Matrixa pierwszego.
2792:  AK - To jest niewiarygodne, ten film się w ogóle nie zesterzał.
2795:  AK - On nadal oddziałuje wizualnie poprzez właśnie ten swój kod.
2799:  AK - To, co pamiętam, co urzekło mnie te 22 lata temu, to było to, że właśnie te dziwne ubiory lateksowe nawiązujące swoim wyglądem… Stworzył całą stylistykę.
2811:  AK - Tak, do jakiejś godzkiej kultury, do tych bananów Nokii, które wszyscy chcieli mieć, ja też miałem, do tych cyferek spadających, tych matrixowych kodów, których każdy miał na wyświetlaczu swojego peceta.
2823:  AK - Kurde, to było coś, to było multikulturalnym takim jakimś kodem, tak jak Gwiezdne Wojny.
2828:  AK - Każdy wiedział, kim jest Lord Vader, każdy wiedział, w ile parseców leci Sokół Millennium.
2835:  AK - Natomiast tutaj żonglowanie tymi popkulturami, tak naprawdę jakimiś miasmatami spowodowało, że ja mam wrażenie, że Lana, przepraszam, muszę trochę pofilozofować w tym wypadku,
2851:  AK - Kwestia jej obecnej sytuacji, bo pamiętajmy też, że jej siostra powiedziała, że nie chce robić tej części, ponieważ teraz jest bardziej zajęta dochodzeniem do pewnego konsensusu między nią, rzeczywistością, swoją karierą, whatever, czyli robiła to tylko jedna z twórczyń pierwotnego Matrixa.
2870:  AK - Natomiast mam wrażenie, że to co powiedziałeś ty Filip, o tym, że ona chciała dać taki bardzo mocny statement, że to ją kompletnie przejęło wewnętrznie i ona zrobiła pod dyktando tego cały film i będzie robiła dalsze części, bo dla niej chyba ten statement jest na tyle ważny, że ona będzie paliła każdy most.
2891:  BFP - Ja boję się, że będzie chciała zrobić kolejny film, kiedy będzie miała kolejny statement do powiedzenia i zrobi go w bardzo podobnym stylu, ale to jeżeli pozwolisz mi,
2900:  BFP - Chciałem też połączyć to ze Spidermanem i porównać wam kilka rzeczy.
2908:  BFP - Kompletnie wyzuty z jakiejkolwiek esencji jest Matrix Resurrections.
2912:  BFP - Jak się porówna z pierwszym Matrixem, nawet drugim i trzecim, to gdzieś była jednak ta figura Mesjasza.
2918:  BFP - Było to naczelne pytanie, co jest prawdą, co nie jest prawdą, co jest rzeczywistością, co nie jest rzeczywistością i wreszcie, co jest zdeterminowane
2927:  BFP - A co jest wolną wolą?
2928:  BFP - Na co masz wpływ, na co nie?
2930:  BFP - Cały wątek tego, że Morfeusz wierzy w Neo, a Neo w siebie nie wierzy, był znakomity.
2935:  BFP - Te wątki buddyjskie można to rozkładać na części pierwsze i była z tego wielka przyjemność, żeby szukać tej esencji, łapać te tropy i jakoś je sobie rozwijać we własnym zakresie, szukając inspiracji w filozofii, w religiach.
2950:  BFP - W przypadku Matrix Resurrections nie ma absolutnie nic.
2953:  BFP - Znaczy nie pojawia się nic.
2954:  BFP - Nie ma tego wątku Mesjasza, nie ma wątku tego, że zmartwychwstanie, nie ma wątku tego, że mamy świat GameDevu i jest crunch.
2960:  AK - Jest kawę, kawę-simulatę, no daj spokój.
2963:  BFP - No tak, jest kawę-simulatę i miłość zwycięży wszystko, co jest właśnie tym statementem Lany Łaczowski.
2969:  BFP - I teraz z jednej strony mamy Matrixa, który został wypatroszony od środka.
2974:  BFP - Naprawdę tam nie ma nic.
2975:  BFP - Wszyscy przyszli tam dla Lany,
2978:  BFP - bo ufają jej, bo ją lubią, bo są jej przyjaciółmi, bo są jej wdzięczni za karierę, które wystrzeliła pierwszym Matrixem i pozostałymi dwoma sequelami.
2987:  BFP - I mamy Spidermana, który jest popcornowym kinem, ale ma przekaz.
2992:  BFP - Bo Green Goblin to jest Joker, a Spiderman to jest Batman.
2996:  BFP - I odwieczne pytanie, albo inaczej, odwieczny dylemat, który stawia, w zasadzie robiąc zakład, taki trochę...
3006:  BFP - Moralny zakład w stylu, nie wiem, Kanta, który mówi głosem Green Goblina, twoją słabością jest to, że jesteś dobry.
3015:  BFP - Twoją słabością jest twoja moralność.
3017:  BFP - Ja mam siłę, ty masz siłę.
3019:  BFP - Ja mam supermoce, ty masz supermoce, ale ja mogę robić co chcę, a ty musisz podejmować decyzje, które jestem w stanie przewidzieć.
3027:  BFP - Jest w stanie mu pokazać, ja mam wielką moc, ale ty masz wielką moc i wielką odpowiedzialność i zobaczysz, że teraz zapłacisz za to cenę.
3033:  BFP - Ktoś zginie, bo taką podjąłeś decyzję.
3036:  BFP - I to jest proste.
3038:  BFP - Joker zawsze to mówił, nie możesz żyć bez mnie, nigdy mi nie zabijesz i tak dalej.
3042:  BFP - I dlaczego czegoś takiego nie ma w Matrixie, na przykład między Smithem, skoro już go wprowadziliście, a Neo, bo wyczerpaliśmy tę formułę mniej więcej na etapie trzeciego Matrixa, Revolutions.
3053:  BFP - To po jaką cholerę wprowadzać tu jeszcze raz Smitha, który zajmuje bardzo niewiele czasu ekranowego i nie wiadomo o co właściwie gościowi chodzi.
3061:  BFP - Więc to jest proste porównanie.
3062:  KMM - To jest kolejny easter egg, który musi zostać prowadzony.
3064:  BFP - Nie, to jest kolejny beat, który musi zostać wygrany, bo już w przeszłości go mieliśmy, więc to jest ten źle rozumiany fanservice.
3070:  BFP - Prowadźmy postać, ale nie dajmy jej nawet zabłysnąć.
3072:  BFP - I teraz kolejne porównanie.
