PRZEtłumacze #117 - Twórca światów: Krzysztof M. Maj o narracji i języku
🔗 https://www.youtube.com/watch?v=GHjPYClqMBk
KW (Kacper Wawrzak, Diuna Language Services)
KMM (Krzysztof M. Maj)

2:  KW - Podcast napędza Biuro Tłumaczeń DUNA.
1525:  KMM - Natomiast wieloma językami sztucznymi, na przykład językiem Navi, stworzonym dla kultury z Avatara Jamesa Camerona, tamżeż przedstawionej na planecie Pandora, no już się tak do końca nie da mówić.
1536:  KMM - Wieść gminna niesie, że jedynie twórca tego języka był w stanie nim mówić.
1540:  KMM - Ale inny przykład, z kolei wzięty z książki The Art of Language Invention, Petersona tym razem, Davida D. Petersona, nie Jordana Petersena, nie mylić ich, i stworzył on język do traki i język wysokowaleryjski dla HBO.
1558:  KMM - To jest dla mnie ciekawy przykład, dlaczego HBO, które ma przecież inne ważne priorytety produkcyjne, ma bardzo wysokie koszty produkcji, decyduje się na zatrudnienie ksenolingwisty po to, żeby stworzył sztuczny język.
1571:  KMM - No dlatego okazuje się, tak twierdzą językoznawcy badający chociażby nieodszyfrowane do dzisiaj utwory, jak chociażby kodeks Serafinianu z Luigi'ego Serafiniego napisany szyfrem, którego nikt nie złamał,
1583:  KMM - Nasz mózg rozpoznaje wzorce, nawet w języku, którego nie zna, nawet w języku, który pozornie nie ma sensu.
1589:  KMM - Dlatego gdyby ktoś tam bełkotał w tym języku do traki, to w którymś momencie widzowie mieliby ten efekt Doliny Niesamowitości, zorientowaliby się, zaraz, zaraz, zaraz, tu jest coś nie tak, a to jest...
1599:  KMM - przeciwieństwo imersji.
1600:  KMM - Jeżeli chcemy, żeby człowiek był zanurzony, nie może wyrwać się z tego stanu zanurzenia i myśleć, zaraz, coś mi tutaj nie pasuje, no bo wtedy tracimy automatycznie to zaangażowanie.
1609:  KMM - Dlatego też opłaca się, wbrew pozorom, zatrudnić takiego człowieka, z tego względu, że będzie on tworzył ten sztuczny język, ale korzystając z prawideł gramatycznych, czy strukturalnych, syntaktycznych, składniowych, innymi słowy, języków naturalnych, które my znamy.
1622:  KMM - Więc im lepszym ktoś jest językoznawcą specjalizującym się w językach naturalnych,
1627:  KMM - będzie w stanie stworzyć język sztuczny.
1630:  KMM - I to jest ważne jeszcze z innego powodu, którego się nie docenia.
1633:  KMM - Przecież tym językiem ktoś musi mówić.
1636:  KMM - Więc jeżeli byśmy wymyślili nawet bełkotliwe słowa, to i tak musimy do nich wymyślić jakąś fonetykę, żeby aktorzy wiedzieli, jak je wyspowiadać.
1644:  KMM - Ta potężna kwestia, którą ma Daenerys w momencie, w którym, nie będę spoilował fabule, ale mówi po raz pierwszy w języku wysokowaleryjskim dla ludzi, którzy myślą, że ona nie rozumiała niczego w ząb z tego, co oni mówili do niej.
1656:  KMM - I to jest akurat moment, w którym pokazuje swoją potęgę i moc.
1660:  KMM - No to by tak nie zabrzmiało, gdyby ona nie wiedziała i nie rozumiała tego, co mówi Daenerys.
1664:  KMM - Więc przekołczowania aktorów czy chóru, jak należy wymawiać poszczególne fonemy, jest ważne.
1671:  KMM - Przypomina mi się też drugi przykład, jak mówimy o światotwórstwie językowym, mój chyba ulubiony, z gry The Elder Scrolls V Skyrim.
1679:  KMM - Starsze zwoje.
1680:  KMM - Skyrim to jest jedna z prowincji planety Tamriel, w której się akurat dzieje akcja tej gry, o...
1688:  KMM - Fabule bardzo prostej, oto zrodzony ze smoków musi pokonać wielkiego smoka czarnego, mrocznego Alduina i zyskać poparcie dwóch frakcji, które ze sobą walczą, gromowładnych i imperialnych.
1700:  KMM - Prosta fabuła fantazyjak i wiele, ale ponieważ jest to świat, w którym są smoki, nasz bohater, który pozyskuje ich moce, natyka się wiele razy na ściany mocy, na których językiem smoczym są wypisane, no wydawałoby się właśnie, bełkotliwe frazy.
1714:  KMM - Nic bardziej mylnego.
1715:  KMM - Po pierwsze, alfabet smoczy charakteryzuje się tym, że przypomina pismo klinowe.
1720:  KMM - Dlaczego?
1720:  KMM - No dlatego, że smoki nie mają przeciwstawnego kciuka, w związku z powyższym, jeżeli by ryły jakiekolwiek litery, to tak, pismo klinowe by one wyglądały.
1728:  KMM - Pierwsza kwestia bardzo świetnie przemyślana pod względem antropologicznym, etnograficznym, smokologicznym.
1735:  KMM - Wreszcie druga kwestia, jeszcze nie mniej ważna i nie mniej istotna.
1739:  KMM - Te ściany, na których pokazują się smocze słowa są złożone z ideogramów.
1746:  KMM - Więc tak z kolei w chińskim, koreańskim czy japońskim.
1749:  KMM - I może taki ideogram sobie znaczyć na przykład siła, moc i pchnięcie i wtedy będziemy mieli zaklęcie pchnięcia kinetycznego.
1756:  KMM - ale to wciąż nie jest ten poziom, na który się wspieli twórcy gry.
1763:  KMM - Otóż okazuje się, że te wszystkie ściany mocy to są poematy napisane w tym języku i te poematy metaforycznie nawiązują do konkretnego zaklęcia i opisują historię chociażby zionięcia ogniem jakiegoś smoka przy okazji, gdy uczymy się takiego
1779:  KMM - ale jest też zaklęcie Animal Allegiance, czyli przynależność czy podporządkowywania sobie zwierząt, które opowiada historię łowów, jak z Mituara Temidzie.
1789:  KMM - Niesamowite to jest.
1791:  KMM - I odkryłem to zupełnym przypadkiem.
1794:  KMM - Gracze stworzyli językę Tuum.org, gdzie wyjaśniają właśnie różnego rodzaju tajniki związane z tym językiem smoczym Tuum, innymi słowy.
1803:  KMM - gdzie przetłumaczyli te wszystkie poematy i zgromadzili je i uczą się mówienia tym rzecz językiem na podstawie tego właśnie kamienia z rozety, trochę Skyrimowego, który dostaliśmy.
1813:  KMM - To był dla mnie moment, w którym też zrozumiałem, że nie ma takiego poziomu detali i szczegółowości, do którego nie warto zejść, o który się nie warto pokusić przy twórczości artystycznej, bo znajdziemy fanów, znajdziemy odbiorców, którzy to docenią.
1828:  KW - Wspomniałeś na samym początku, w pierwszym zdaniu mówiąc o tej grze, o tym świecie, że w sumie jest bardzo prosty.
1835:  KW - No ale właśnie, na tym prostym zrębie zostało wybudowane na tyle wiele, czy też stworzone przez całą społeczność graczy wiele, że okazuje się, że gra jest ogromnym, ogromnym sukcesem.
1853:  KW - I jak to zrobić, żeby gra była sukcesem?
1856:  KW - Czy jest taki przepis, może chociaż jakieś takie golden rules?
1860:  KMM - Widzisz, ja mam niestety jeden bajas, z którego się zawsze muszę tłumaczyć, to znaczy zawsze analizuję gry od strony narracyjnej i światotwórczej, więc mnie w mniejszym stopniu będzie interesowała rozgrywka i to w jaki sposób ona jest skalibrowana, a wielu graczy to docenia i słusznie, zresztą to jest osobna gałąź groznawstwa, która się tym zajmuje, retoryka proceduralna mianowicie.
1880:  KMM - No i jak słychać, chodzi tutaj o analizowanie procedur, różnego rodzaju mechanik, systemów, dynamik, nie wnikając w szczegóły, to są wszystkie sposoby interakcji z obiektami w świecie gry, ale one mogą być znaczące.
1891:  KMM - Na przykład w Dark Souls, grze, która jest bardzo skoncentrowana na mechanikach, na kształtowaniu naszych umiejętności interakcji,
1899:  KMM - i pozornie pozbawiona fabuły, są opisy przedmiotów, które odnajdujemy.
1904:  KMM - I z tych opisów przedmiotów możemy sobie zbudować obraz świata.
1906:  KMM - Możemy też odpalić na YouTubie film, który nam to wyjaśni, ale wtedy pozbawi nas tej przyjemności układania puzzli.
1913:  KMM - Te opisy są dwutrzyzdaniowe.
1915:  KMM - Ale czasem opowiadają bardzo potężne historie, potężniejsze niż rozdział dużej powieści.
1920:  KMM - Wstrząsnęło mnie raz odkrycie bardzo drobne, że ogniska, przy których się gra zapisuje, prozaiczna sprawa, są złożone z ludzkich kości, które płoną.
1932:  KMM - Zastanawiałem się dlaczego i później sobie uświadomiłem, że dlatego, że w tej grze metafora człowieczeństwa i ognia są ze sobą bardzo silnie powiązane, bo to Wiedźma z Izali w po raz pierwszy ogień zdołała wykraść i później jest cały wątek człowieka, który się w to...
1947:  KMM - zagmatwał tę całą historię tajemniczą niesamowicie i okazuje się, że takie powiązanie fabularne na wysokim szczeblu jest odzwierciedlone na poziomie małego detalu światotwórczego w samej grze.
1959:  KMM - Więc to jest jedna z tych metod.
1960:  KMM - Ona została kiedyś mi opisana przez pracownika Games Workshop, który jest odpowiedzialny za rozwój właśnie mechaniki systemów w grze Warhammer Fantasy, Warhammer 40 tysięcy, jako anchor, czyli anchoring, innymi słowy kotwiczkowanie czy zakotwiczanie
1976:  KMM - Na czym to polega?
1977:  KMM - Otóż tworzymy jakąś jedną rzecz, tajemnicę powiedzmy, jakiś problem.
1980:  KMM - Właśnie tak chociażby jak pochodzenie człowieczeństwa w Dark Souls.
1983:  KMM - Zastanawiamy się, to co się w takim razie w tym świecie stało, że naszła ludzi klątwa nieumarłych?
1989:  KMM - Kto popełnił błąd i jak?
1991:  KMM - Być może błędem było właśnie skrzesanie tego pierwotnego ognia?
1994:  KMM - Może wojna ze smokami była tym błędem?
1996:  KMM - I ludzie się zastanawiają nad tym właśnie dlatego, że gdzieś tam jest taka mała kotwiczka.
2001:  KMM - I w przypadku Games Workshop jest przepiękna anegdota dotycząca herezji Horusa, czyli jednej z najsłynniejszych historii w tym świecie osadzonych.
2009:  KMM - Herezji Horusa nazywane jest on dlatego, że część prymarchów najważniejszych, zaufanych i famulusów imperatora przymierzyła się przeciwko niemu.
2019:  KMM - No i później sam Horus starł się z Imperatorem, Imperator w skutek tego do dzisiaj jest sparaliżowany, powiedziałem do dzisiaj, bo dla mnie ten świat jest żywy, na tronie.
2029:  KMM - I jako najpotężniejszy psjonik prowadzi całą ludzkość przez piekło ku, no powiedzmy dawnej świetności, a przez piekło dlatego, że w tym świecie się podróżuje dosłownie przez wymiar demoniczny, bo nie ma czegoś takiego jak prędkość nadświetlna w Gwiezdnych Wojnach, bezpieczna, świetlista i ładna.
2047:  KMM - I jak ta herezja Horusa została wymyślona?
2051:  KMM - Otóż dlatego, że jeden z pracowników Games Workshop bardzo lubił tematy starożymskie i mógł na ten temat godzinę mi rozmawiać, a z drugiej strony potrzebowano wykorzystać wlewkę plastikową do zrobienia dwóch kolorowych, różnokolorowych modeli armii.
2065:  KMM - Jeden miał być powiedzmy czerwony, a drugi niebieski, więc potrzebowano konfliktu.
2070:  KMM - No i nagle się okazało, że ta jedna opowieść, którą gdzieś tam ktoś przytoczył przy obiedzie, może przysłużyć nam do tego, żeby mieć w grze wątek rebelii, który równocześnie będzie wątkiem rebelii w obrębie jednej frakcji, w związku z powyższym wyjdzie nam taniej wyprodukowanie dwa razy większej liczby figurek.
2086:  KMM - i stworzenie różnego rodzaju scenariuszy dla graczy, którzy będą chcieli wcielać się w różne role po dwóch przeciwległych biegunach tego konfliktu.
2094:  KMM - Prosta rzecz, można ją niesamowicie strywializować, że firma chciała zarobić dwa razy, ale gdyby nie to, że ten zaczyn był narracyjny, że ktoś wpadł na pomysł takiego konfliktu, że miał wiedzę z zakresu tego, jak to funkcjonowało chociażby właśnie w czasach Republiki,
2110:  KMM - to nie byłoby właśnie tego czegoś, co sprawia, że się zakotwiczymy, że zainteresujemy się.
2115:  KMM - Więc to jest jedna z takich metod, które staram się popularyzować.
2119:  KMM - I są też dwie inne, o wiele prostsze.
2121:  KMM - Druga metoda, zacząć od jednego słowa i zrobić dokładnie odwrotną rzecz niż leksygografowie.
2126:  KMM - Leksygografowie pouczają nas w słownikach, nie możecie definiować ignotium per ignotius, czyli nieznanego bardziej nieznanym.
2134:  KMM - Musicie używać prostych słów dla nazwania trudnych terminów.
2139:  KMM - Odwrotnie tutaj.
2140:  KMM - Tworzysz nowy termin, powiedzmy, że jest to Hobbit i mówisz, że Hobbici są frakcją żyjącą sobie w Shire, na terenach dawnego Beleriandu.
2150:  KMM - No i teraz mam dwa nowe terminy, które przydały mi się do zdefiniowania Hobbita, ale tobie nie mówią nic więcej na temat tej rasy, ale mówią ci, ojej, ale tutaj jeszcze coś, tu był jakiś Beleriand kiedyś, ojej, a teraz tutaj jest Shire, co to jest Shire, gdzie on jest?
2162:  KMM - No, a Shire będzie groniczył i tutaj dajesz nową nazwę regionu i tak dalej, i tak dalej.
2167:  KMM - Dzięki temu multiplikujesz
2169:  KMM - toponimy, nazwy różnych lokacji, ale możesz równocześnie w tej definicji wspomnieć o jakiejś postaci albo jakimś artefakcie i nagle się okazuje, że tworzysz bardzo dużo komponentów fikcyjnego świata.
2181:  KMM - Czyli tworzysz encyklopedię od słownika.
2183:  KMM - A encyklopedia jest zawsze takim bijącym sercem fikcyjnego świata, o czym możemy się przekonać, chociażby wysłuchawszy tego podcastu, nie zrozumiawszy niczego, co Krzysztof powiedział o Prymarchach i poczytawszy sobie o nich w Wikipedii poświęconej Warhammerowi 40 tysięcy.
2198:  KMM - Na tym to polega.
2199:  KMM - Sam zresztą zginąłem wiele razy na długie godziny w takich Wikipediach.
2203:  KMM - I trzeci sposób, też swoją drogą Tolkienowski, wyrażony przez niego w liście do Naomi Mitchinson z lat 40., gdzie powiedział I started with a map and made the story fit, czyli zacząłem od mapy i dopasowałem dopiero do niej fabułę.
2216:  KMM - To chodzi po prostu o to, żeby zwizualizować sobie podróż naszego bohatera właśnie na mapie.
2221:  KMM - Nieprzypadkowo akurat w literaturze fantasy tak częste są mapy dołączane do różnych wydań powieściowych, bo pomagają one nam w zadomowieniu się w tym fikcyjnym świecie.
2230:  KMM - A równocześnie pomagają także twórcy w śledzeniu losów postaci i nie tylko.
2235:  KMM - Także w tym, żeby zlokalizować siebie relatywnie do innych postaci w innych regionach świata.
2240:  KMM - To nawiasem mówiąc, kiedyś analizował mój licencjusz w ramach seminarium dyplomowego, mianowicie błędy kartograficzne w sadze Wiedźmińskiej Andrzeja Sapkowskiego.
2250:  KMM - Andrzej Sapkowski słynął z tego, że chciał pisać tylko fabuły i nie chciał tworzyć świata, więc mapy zostały spopularyzowane przez twórców zewnętrznych.
2258:  KMM - Pierw to byli
2260:  KMM - projektanci gry, wyobraźni, jeszcze w wydaniu czeskim była bodajże wcześniejsza mapa, przynajmniej tak twierdzi Andrzej Sapkowski, ja tego wydania nie widziałem, potem była Wiedźmin gra wyobraźni, wydana u nas już w Polsce i tam była mapa, a potem CD Projekt Red przyszedł i zrobił mapę wpierw do Zabójców Królów, czyli drugiej części Sagi Wiedźmińskiej, a potem do Wiedźmina trzeciego i ta mapa już teraz jest uznawana za kanoniczną.
2280:  KMM - No ale właśnie, okazuje się, że różnica między tą mapą, a tym, co jest w sadze, jest znacząca.
2284:  KMM - To są drobiazgi w rodzaju, że bohaterowie poszli na wschód do miasta znajdującego się na zachodzie, ale dobrze pokazuje, że nawet taki mistrz słowa i literatury, jakim jest Andrzej Sapkowski, nie jest w stanie do końca kontrolować tego, co się dzieje w wyobrażonym świecie, więc to stworzenie sobie mapy może być bardzo pomocne.
2300:  KMM - Więc reasumując metoda kotwiczki, czyli mamy jakąś tajemnicę i wokół tego rozbudowujemy świat, metoda słownika, tworzymy słowo, ale definiujemy nieznanym
2310:  KMM - to, co jest nam równie nieznane i wreszcie tworzymy mapę wyobrażonego świata, która różnić się będzie od mapy w naszym świecie tym, że nie będzie odwzorowywać rzeczywistości, którą znamy, tylko raczej wytwarzać rzeczywistość, której nie znamy, więc sam akt tworzenia mapy jest już aktem światotwórstwa.
2327:  KW - Wspomniałeś o tym, że mapę można załączyć do powieści.
2332:  KW - W takim razie jakie będą różnice?
2335:  KW - Wymieniłeś te sposoby na stworzenie dobrego, takiego świata, który spodoba się odbiorcom potencjalnie.
2344:  KW - Czym różnią się te sposoby od takich na napisanie dobrej powieści?
2349:  KMM - Myślę, że fundamentalna różnica zasadza się w tym, że przyzwyczajono nas tak przynajmniej w szkołach.
2354:  KMM - Powieść to jest fabuła, bohaterowie, relacje między nimi, głębia psychologiczna i, o, może najważniejsze, forma wysłowienia.
2363:  KMM - Do tego jeszcze wrócę.
2364:  KMM - Tymczasem
2365:  KMM - Właśnie dlatego mówimy świat przedstawiony, bo świat przedstawiony jest w takim ujęciu tylko scenografią, jest tłem.
2372:  KMM - Dlatego możemy sobie pójść do teatru, wysłuchać monodramu aktora i nam jest obojętne, czy ten monodram będzie zrobiony w stacji kosmicznej Gomułce Sera, czy na osnutym pajęcznami krześle.
2381:  KMM - Teatry polskie wybierają ostatni wariant, ponieważ są niedofinansowane.
2385:  KMM - Nie zmienia to jednak faktu, że widzowie nie cierpią z tego tytułu.
2389:  KMM - Monodram pozostaje monodramem.
2390:  KMM - Jeżeli aktor jest dobry, przykuje nas.
2393:  KMM - No niestety jest zupełnie inaczej w wypadku światotworzenia.
2397:  KMM - Nie jesteśmy w stanie fizycznie stworzyć w grze wideo dobrej fabuły czy dobrej rozgrywki bez stworzenia wpierw świata.
2403:  KMM - To jest fizycznie niemożliwe z tego względu, że gra jest jednak produktem cyfrowym, w którym to musimy wymodelować jakąś architekturę.
2411:  KMM - To może być bardzo prosta architektura.
2413:  KMM - Szachy mają prostą architekturę.
2414:  KMM - To jest plansza, na której są pionki.
2416:  KMM - Ale ta plansza ma swoje granice, ma swoje kolory, które zostały w określony sposób zaprojektowane.
2422:  KMM - skorelowane z regułami rozgrywki, a mówimy o najprostszej grze świata, czyli o szachach.
2426:  KMM - Co dopiero?
2426:  KMM - No powiedzmy, że najprostszą grą świata nie są szachy, ale powiedzmy gra w klasy.
2431:  KMM - Niemniej szachy i tak są prościusieńkie w zestawieniu z takim StarCraftem 2, w którym to jest ileś miliardów różnych kombinacji na godzinę, a w szachach jednak mamy skończoną liczbę ruchów.
2444:  KMM - Nieprzypadkowo sztucznej inteligencji udało się w pierwszej kolejności nauczyć gry w szachy, natomiast wciąż uczy się gry w StarCrafta 2.
2451:  KMM - Po prostu tam jest za dużo różnych permutacji i opcji.
2454:  KMM - A zatem to już jest problematyczne.
2457:  KMM - To cóż dopiero?
2458:  KMM - Stworzenie czegoś bardziej skomplikowanego niż w StarCraftzie, grze strategicznej ostatecznie, prostej, jak otwarty świat.
2466:  KMM - Świat, który możemy niesamowicie eksplorować.
2468:  KMM - Ba, utrudnijmy jeszcze to zadanie.
2470:  KMM - świata proceduralnie generowanego przez algorytmy, który korzysta z tak zwanego ziarna do tego, żeby wypluć ileś wariantów danej planety.
2477:  KMM - W ten sposób funkcjonuje chociażby gra No Man's Sky, która swego czasu była na językach wszystkich z uwagi na to, że jej projekt się średnio udał, bo tworzyła właśnie
2486:  KMM - Właśnie raczej doliny niesamowitości, ale potem programiści, designerzy ją naprawili i teraz jest naprawdę w dobrym stanie, więc każdą okazję zawsze zyskuję do tego i staram się wyzyskać, żeby ludziom powiedzieć, że w No Man's Sky już warto zagrać.
2499:  KMM - Niemniej w tych przypadkach, jak tworzymy świat, posługujemy się już znacznie bardziej skomplikowanymi technikami i strategiami.
2507:  KMM - I nie jesteśmy w stanie tego zrobić po prostu opowiadając dobrą historię.
2512:  KMM - Musimy mieć konkretne narzędzia, to są najczęściej duże programy jak RTC chociażby, czy bardziej skomplikowane silniki, Unreal Engine, Unity, w których jesteśmy w stanie zaprojektować architekturę świata, a potem pokryć ten świat teksturami.
2527:  KMM - To jest ciekawe.
2528:  KMM - Bo znajdziemy analogon do tego również w literaturze.
2532:  KMM - Ostatecznie możemy porównać ze sobą utwór fantasy, utwór science fiction i na przykład i w jednym i w drugim utworze może być budynek, który pełni funkcję nadzorczą.
2540:  KMM - Powiedzmy tu będzie ratusz, a tam będzie wieżowiec korporacji.
2544:  KMM - Ale funkcje one mają tę samą.
2546:  KMM - A jeżeli jeszcze w obrębie tego pobawimy się estetyką, no to inna będzie estetyka tego wieżowca, wysokościowca na planecie, tej samej nawet, ale powiedzmy cyberpunkowa.
2555:  KMM - będą neony, dlatego w cyberpunku zresztą dominuje magenta, sajan, zieleń, żółć, bo to są kolory neonów, ale równocześnie możemy skorzystać z innego settingu, z innej estetyki retrofuturystycznej.
2567:  KMM - Wtedy będziemy się inspirować bardziej czasami lemowskimi i tym, w jaki sposób wyobrażano sobie, że miasta przyszłości będą wyglądać, ale wyobrażano to sobie w latach 70-tych albo 60-tych.
2577:  KMM - Tutaj Fallout się do nas uśmiecha z tą estetyką z lat 50-tych jeszcze i 40-tych, a jednak opisujący świat przyszłości, stąd właśnie ta
2585:  KMM - paradoksalne określenie retro i futuryzm.
2588:  KMM - A zatem architektonicznie światy mogą być zbliżone, ale to w jaki sposób je przystroimy estetycznie ma już fundamentalne znaczenie i zauważmy, że w odróżnieniu od utworów, którymi się karmi uczniów historycznymi, zupełnie niepotrzebnie, bo przypomnę, że język polski to język polski, a nie historia literatury akademicka,
2605:  KMM - Dzisiaj wymyślamy nazwy gatunków w oparciu o estetyki.
2609:  KMM - Steampunk, maszyny parowe, sama nazwa wskazuje zresztą, clockpunk, zębatki, sztuka zegarmistrzowska, automatony, dieselpunk, świat kryzysu ogólnoświatowego ropy naftowej, w którym będą dominować wszelako, nigdy nie zrozumiałem tej zależności, samochody ropożerne bardzo.
2631:  KMM - To Mad Max Fury Road jest znakomitym przykładem dieselpunka.
2635:  KMM - ale z drugiej strony będziemy mieli high fantasy.
2637:  KMM - Dlaczego powiemy high fantasy?
2638:  KMM - Bo tam będą elfie królestwa, ale możemy mieć też dark fantasy, gdzie będą te same elfie królestwa, tylko że bez dominacji srebra i złota i zieleni, tylko z dominacją fioletu i srebra i czerni.
2650:  KMM - I to jest zupełnie inny sposób na nazywanie różnych utworów.
2656:  KMM - On dziś bywało tak, że jak nazywaliśmy coś sonetem francuskim, to z uwagi na formę.
2661:  KMM - która tam była bardzo precyzyjną formę, tak?
2663:  KMM - Było w poetykach normatywnych oświecenia.
2666:  KMM - A dzisiaj nie mamy poetyk normatywnych, tylko dzisiejsze poetyki, czyli te sposoby tworzenia klasyfikacji gatunkowych, raczej opierają się na kategoriach wizualnych, estetycznych i nie dotyczących formy, tylko treści.
2678:  KMM - No i tutaj prowadzi mnie to do kluczowej różnicy.
2680:  KMM - To już nie jest świat przedstawiony, to jest świat, który jest...
2684:  KMM - rdzeniem całego projektu artystycznego i niezależnie od niego sobie funkcjonuje fabuła, postaci.
2689:  KMM - Oczywiście im lepiej napisane postaci, tym fajniej.
2692:  KMM - Natomiast to już nie jest ten sam kazus, co w wypadku owegoż monodramu w teatrze.
2697:  KMM - Więc jak ktoś chociażby twierdzi, że możemy mieć
2701:  KMM - Serial fantasy z kiepskimi efektami specjalnymi?
2703:  KMM - Nie rozumiem tego, czym jest to fantasy.
2704:  KMM - Fantasy w pierwszym rzędzie ma nam zapewnić to, co Brian Atebery zresztą nazywa tym łądę, to oczarowanie.
2710:  KMM - Ja muszę być czymś oczarowany.
2712:  KMM - No jeżeli będę widział, że smok jest drewniany i składa się z wielokątów, no to powiem, to jest zły projekt, przeprojektujcie tego smoka, bo ja tutaj chcę zawiesić niewiarę, a nie mogę, bo widzę, że to jest sztuczne.
2721:  KMM - Więc paradoksalnie fantazy musi być bardziej realistyczna niż nawet nasz świat.
2726:  KMM - I to mnie prowadzi do definicji allotopii Umberta, jako który właśnie to powiedział, że allotopia ma być bardziej realna niż świat rzeczywisty.
2732:  KMM - Bo w świecie rzeczywistym dopuszczamy, że jeżeli coś nam się nie zgadza, to może czegoś nie wiemy.
2737:  KMM - A w świecie sztucznym nie ma na to miejsca.
2739:  KMM - W świecie sztucznym wszystko musi nam się zgadzać i być spójne, no bo inaczej właśnie wynurzymy się z tego świata i zaczniemy trybić i kombinować.
2746:  KMM - Co prowadzi mnie do ostatniej różnicy.
2748:  KMM - To jest chyba najważniejsza i najpoważniejsza różnica.
2751:  KMM - Uczy się nas w szkole analizowania formy.
2755:  KMM - Mary Lorian, szwajcarska narratolożka tymczasem, mówi w książce Narracja jako wirtualna rzeczywistość, nieprzetłumaczone jeszcze na język polski, że poezja nie jest imersywna w tym znaczeniu, tylko raczej angażująca właśnie dlatego, że zwracamy uwagę tam na formę.
2770:  KMM - I jeżeli ktoś się da porwać przez poemat, o to co innego, to był swoją drogą cel romantyków w większym sensie.
2775:  KMM - razie, ale jeżeli poezja jest bardzo taka autotematyczna, zwraca uwagę na formę językowo wyłącznie, zanadto, to wtedy możemy nie mieć tego rodzaju zaangażowania właśnie.
2785:  KMM - To będzie bardziej intelektualne zaangażowanie.
2787:  KMM - Przyrównajmy to do sytuacji, w której filmoznawca idzie do kina i mówi, dobra,
2791:  KMM - To ujęcie jest źle nakręcone, to powinno być inaczej, tu jest źle doświetlone, kadrowanie zmienić, nie no, ale przecież tu widać, że jest kamerzysta, nie widziałeś tego kawałka mikrofonu, no i tak dalej, i tak dalej.
2802:  KMM - To jest właśnie to, czego nie powinniśmy mieć, jeżeli chcemy mieć imersję.
2807:  KMM - I to niestety jest mocno niedoceniane.
2810:  KMM - W szkołach, gdzie odpytuje się ludzi z wydarzeń w fabule, z koloru rękawiczek bohaterów, żeby sprawdzić, czy czytali, a my zapamiętujemy czytane czy przyswajane treści obrazami w tym momencie, zwłaszcza, że żyjemy w kulturze wizualnej.
2823:  KMM - Ja nie byłem w stanie, mimo że czytam od lat i czytam nałogowo, nigdy streścić fabuły żadnego utworu.
2831:  KMM - Po prostu jestem do tego niezdolny, ale zawsze byłem w stanie przywołać jakiś obraz, który był
2836:  KMM - nieprawdopodobnie dziwny, oryginalny i na pewno nie było go w opracowaniu.
2840:  KMM - Więc jeżeli ktoś chce sprawdzić, czy rzeczywiście ktoś coś przeczytał, jak ma taką potrzebę, to polecam tę metodę raczej, bo ona jest stuprocentowo skuteczna.
2848:  KMM - A metoda odpytywania z treści wydarzeń sprawdza jedno, to znaczy to, czy ludzie przeczytali opracowanie, bo opracowanie jest stworzone przez rynek, a rynek odpowiada na zapotrzebowanie, a zapotrzebowanie jest takie, że ludzie chcą zdawać egzaminy.
2860:  KMM - Prosta sprawa.
2861:  KMM - Ale nie doceniamy, myślę, tej zmiany, która się nas dokonała.
2864:  KMM - Niestety
2864:  KMM - jesteśmy w stanie cofnąć tego, że kultura wizualna dzisiaj jest o wiele bardziej żywa niż bywało to do XIX wieku włącznie, ale nie od zawsze, bo literatura nie jest najstarszym medium.
2873:  KMM - Najstarszym medium jest komiks.
2876:  KMM - A jeszcze starszym medium jest oczywiście narracja oralna.
2880:  KMM - Opowiadanie przez jednego Neandertala drugiemu, jakiego on to mamuta widział i jak go ubił oczywiście.
2886:  KMM - I że on był taki wielki, że ty sobie nie wyobrażasz, jaki on był wielki.
2888:  KMM - Tu się zaczyna konfabulacja
2890:  KMM - Czyli tworzenie fabuł.
2892:  KMM - Więc myślę, że nie zdajemy sobie sprawy z tego, jak mikrą częścią w zasadzie naszej kultury była ta kultura pisma, bardzo mocno celebrowana.
2899:  KMM - A tak naprawdę my jesteśmy jednak zwierzętami, które reagują bardzo intensywnie na kolor czerwony, bo przyzwyczailiśmy się na sawanie, zanim z niej uciekliśmy do tego, że to znaczy niebezpieczeństwo.
2909:  KMM - Więc jeżeli ktoś projektuje aplikację w smartfonie, to będzie korzystał z wielu barw.
2914:  KMM - A zatem jeżeli chcemy przekonać się, czy jesteśmy uzależnieni od telefonu, jak to niektórzy mawiają dzisiaj, wystarczy włączyć sobie profil monochromatyczny.
2922:  KMM - Zaobserwowałem, że to jest najlepszy lek na to, cudzysłów zamknąć, cudzysłów uzależnienie, bo nagle nasz mózg przestaje reagować na te barwy.
2930:  KMM - I nieprzypadkowo kindle czy inne takie zwane minimalistyczne telefony właśnie są czarno-białe,
2936:  KMM - No bo o to chodzi.
2937:  KMM - My reagujemy na barwy, więc nie ma co z tym walczyć, tylko raczej trzeba się dostosować do tego nowego modelu funkcjonowania w rzeczywistości, który nas bombarduje tymi bodźcami i dostosować do tego wszystko.
2948:  KMM - Począwszy od nauczania, które powinno być multisensoryczne, żeby było skuteczne, a skończywszy na tworzeniu dzieł sztuki, gdzie już nie musimy w teatrze mieć tego osnutego pajęcznami krzesła, bo zainteresujemy tylko część bardziej wyrafinowanych odbiorców, umiejących przezwyciężyć właśnie ten opór początkowy materii,
