Cyberpunk: Edgerunners DOWIOZŁO! | Dyskusja ze spoilerami
🔗 https://www.youtube.com/watch?v=Yz8qP7bMYiU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

1:  BFP - Dobra.
1525:  KMM - Znaczy ja nigdy nie pamiętam imion i nazwisk, zawsze mnie w tym wyrącza Filip, a ja tutaj jestem w stanie nazwać parę postaci.
1531:  KMM - Więc to też pokazuje, jak ten portret był kreślony umiejętnie.
1535:  BFP - I też, żeby wygrzebać jeszcze trochę więcej esencji z tego serialu, mówiliśmy o...
1543:  BFP - uzależnieniu, mówiliśmy o, a nie, jeszcze nie mówiliśmy, nie, wspominałem, bo w kontekście Trainspotting, o wspinaniu się po tej drabinie społecznej, o maniach, o obsesjach, o chęci sprostania wizerunkowi, który kreślił twój rodzic albo twój najlepszy przyjaciel i chcesz się stać taki, jakiego oni sobie ciebie wyobrażali, ale to też jest... David chciał być wyjątkowy po prostu.
1566:  KMM - Więc ta wyjątkowość mogła dać mu tylko aktualizację w jego mniemaniu.
1570:  BFP - Ale to też jest love story.
1572:  BFP - I to dwójki ludzi, którzy mają bardzo ciężkie przeżycia i to wpływa na ich relacje.
1578:  BFP - I nie ma znaczenia ile wszczepów sobie zafundują.
1581:  BFP - Nie mogą zrzucić z siebie tego bagażu.
1583:  BFP - I scena w bodajże siódmym odcinku, która pokazuje origin story Lucy.
1593:  BFP - i te, jak te dzieciaki w Arasace zsyłano do Old Netu i były po prostu wyżerane przez jakieś nieokiełznane sztuczne inteligencje, które tam pozostały, była wstrząsająca.
1605:  KMM - Tak, miałem powidoki z raportu mniejszości i druga rzecz oczywiście z mojego ukochanego Deus Ex Human Revolution, to znaczy z tego, co się dzieje w Panchayi, bez spoilerów.
1614:  KMM - Jeszcze też widzę odpowiedź Szymona, który w ogóle jest świetnym interpretatorem tak swego drogu, znaczy jego komentarz pod moim materiałem
1622:  KMM - Był dla mnie bardzo poruszający.
1625:  KMM - Tekst Lucy o zapamiętaniu cię takim, jak umarłeś, a nie żyłeś, interpretuje bardziej jak rzut na taśmę w kwestii ratowania własnego człowieczeństwa, które zatracało się przez popełniane czyny.
1633:  KMM - Ta mądrość Lucy to jest coś, czego David nie ogarnia.
1637:  KMM - Do samego końca.
1638:  KMM - W którymś momencie orientuje się, że ona miała rację i że te marzenia irracjonalne wydawałoby się od tej podróży na Księżyc.
1647:  KMM - tak naprawdę są czymś, co w ostatecznym rozrachunku dało jej znacznie więcej i pozwalało jej właśnie zachować człowieczeństwo, niż jemu marzenia o byciu wyjątkowym w Night City, gdzie wyjątkowy i tak nie może być, bo wyjątkowa zawsze będzie Chief Financial Officer Varasace, wyjątkowy zawsze będzie Smasher, który ma tyle pieniędzy i o wiele lepszą od niego odporność na wszczepki.
1671:  BFP - Ale David, też zaznaczmy, on nie był takim całkowitym hedonistą i egocentrykiem.
1678:  BFP - Przecież to, co robił, to nie robił po to, żeby zostać zapamiętanym w Night City jako ten twardy cyberpunk, który zrobił coś szalonego jak Johnny Silverhand.
1690:  BFP - Tylko robi wiele z miłości na sam koniec.
1693:  BFP - Przecież on chce zapewnić jakąś... On chce, żeby Lucy poleciała na ten pieprzony księżyc.
1700:  BFP - I to jest ta scena, kiedy oni spadają z wieżowca i jeszcze ma resztki człowieczeństwa, które się tlą w nim i to dlatego się śmieje, kiedy zabija go Adam Smasher, bo spełnił swoją funkcję i zapewnił jakąś przyszłość, przynajmniej próbując odciąć od przeszłości, która kotwiczyła Lucy.
1719:  KMM - Walczył o marzenia innych, tak jak Mateusz też dopowiada, prawda?
1722:  KMM - Tak.
1724:  KMM - Chociaż cały czas pamiętajmy, że to było to marzenie jego matki w pierwszej kolejności.
1729:  KMM - W drugiej kolejności było to marzenie Mayna, który chciał być jednak tym najlepszym edgerunnerem w całym Night City i dać się zapamiętać jako taki.
1741:  BFP - Jeszcze Juliusz wspomniał, że miałem to napisać pod filmem, moją recenzją, ale wytknę to teraz.
1746:  BFP - Narrację z Twojego filmu zrozumiem jakbyś odmawiał Ghost in the Shell bycia anime, a anime definiuje styl Studio Trigger.
1751:  BFP - Nie.
1752:  BFP - Ja tam powiedziałem, że jest Ghost in the Shell Akira i jest przerysowane anime z ADHD.
1757:  BFP - I wejdziemy teraz na moment w temat stylu.
1760:  BFP - Nie każdemu musi spodobać się to, że biegają kobiety z wielkimi cyckami na wierzchu, bo to jest styl anime.
1767:  BFP - Nie każdemu musi się podobać, że musi być przerysowana postać małej dziewczynki z wielkimi giwerami, która wydaje z siebie dziwne dźwięki.
1775:  BFP - Nie każdemu musi podobać się totalnie przerysowana przemoc, która polega na tym, że jeżeli nie eksploduje ci głowa, to z pewnością eksploduje ci cała reszta ciała.
1783:  BFP - Nie każdemu musi się podobać taka szalona rytmika i nawet to, że jak jest potężne uderzenie, to musisz jej pokazać z trzech różnych stron trzykrotnie pod rząd.
1791:  BFP - Nie każdemu musi się to podobać i...
1793:  BFP - Ghost in the Shell nie było tak przerysowanym anime.
1796:  BFP - A to ma elementy przerysowanego anime.
1799:  BFP - Ja nie jestem tego fanem, ale kupuję to, bo jest to w harmonii ze światem cyberpunka.
1804:  BFP - Jest to w harmonii z Night City, który jest atakujący nas reklamami z każdej strony, które wyzwala w nas najbardziej prymitywne instynkty, impulsy.
1813:  BFP - Więc to się łączy ze sobą.
1815:  BFP - Natomiast ta produkcja moim zdaniem flirtuje z dwoma nurtami anime.
1820:  BFP - Takiego bardziej ambitnego, które potrafi
1824:  BFP - zwolnić tempo, zrzucić bieg na niższy i nie mieć tak bardzo ADHD, a takim, który ma totalne ADHD i musi napierdzielać tak jakbyś właśnie włączył w szczepy.
1835:  BFP - Więc nie chciałem, żeby to zostało odebrane w taki sposób, że Ghost in the Shell to nie jest anime, a anime jest czymś gorszym.
1840:  BFP - Nie.
1841:  BFP - Są po prostu różne typy anime.
1844:  KMM - Każde studio ma swój styl, prawda?
1846:  KMM - Więc Studio Trigger też czaty słusznie podnoszą.
1849:  KMM - Ma specyficzny styl i ten styl akurat w moim przekonaniu bardzo pasuje do świata cyberpunkowego.
1855:  KMM - To znaczy, jasne, Geeks pierwszy, czyli Ghost in the Shell jest bardzo wyważony, ale już na przykład jak spojrzymy na Standalone Complex, to tam znacznie bardziej jest, znaczy znacznie więcej brutalności, znacznie więcej tych tropów, które są charakterystyczne dla współczesnego anime.
1871:  KMM - Więc ja myślę, że to trzeba traktować, jeżeli ktoś na przykład nie lubi tego nurtu czy tego medium, to trzeba to potraktować jako część konwencji, część jego specyfiki.
1882:  KMM - zarówno jeżeli chodzi o kreskę, jak i o sposób przedstawiania emocji, bo anime najlepiej z wszystkich mediów, moim zdaniem, audiowizualnych, wyłączając gry może, pokazuje emocje postaci i to jest na pierwszym poziomie.
1895:  KMM - Na pierwszym poziomie w anime zawsze są emocje, na drugim poziomie jest estetyka, na trzecim poziomie jest fabuła, akcja i tak dalej.
1901:  KMM - Więc stąd właśnie to przerysowanie, które niektórych może radzić.
1904:  KMM - Ale jak się to zrozumie, że to przerysowanie jest celowe, to wtedy akceptuje się w 100% to, że to jest specyfika medium.
1911:  KMM - Ja zawsze komuś, kto ma problem z anime, polecam obejrzenie trzech bardzo różnych anime.
1915:  KMM - To znaczy Violet Evergarden, Ergo Proxy i Fullmetal Alchemist Brotherhood w tej kolejności.
1921:  KMM - I zakładam, że wtedy przestanie mieć problemy z anime.
1924:  KMM - A już na pewno z takim stereotypowym wyobrażeniem nad Maddiego.
1927:  BFP - Tak, znaczy jeszcze Juliusz mówi, że jeżeli Filip łączysz kobiety biegające z cycem na wierzchu, małe dziewczynki z giwerami oraz przerysowane gore ze stylem anime, to mało anime obejrzałeś, to nie definiuje anime.
1937:  BFP - No przecież to jest dokładnie to, co powiedziałem.
1940:  BFP - Powiedziałem, że są różne smaki w anime, tak jak kuchnia azjatycka to nie jest jeden posiłek i to nawet nie jest jeden kraj.
1948:  BFP - I tak samo możemy mieć różne style anime, ale są takie produkcje, które mają tego przesycenie.
1955:  BFP - Właśnie ja użyłem w recenzji tego słowa, że jest wszystko hiperboliczne, przerysowane, z ADHD.
1960:  BFP - A ta produkcja flirtuje z różnymi nurtami.
1963:  BFP - Bo zarówno mamy takie ADHD, ale mamy też jednak piękne, długie, przedłużone kadry i momenty.
1970:  BFP - Jest jeden taki kadr, jako ciekawostka, w którym myślałem, że zepsuł mi się Netflix.
1975:  BFP - To jest moment, w którym on wraca po Maina.
1979:  BFP - zostawia Lucy w samochodzie, biegnie i widać tylko jego twarz i się bardzo poci.
1984:  BFP - Ale nie ma żadnego ruchu.
1985:  BFP - I ta twarz jest przez 5 do 10 sekund bez ruchu, dopóki nie podchodzi do niego Mane i mówi, chłopie, odłóż tą pistolet, wracaj do swojej ukochanej i biegnij szybko, bo w tym jesteś najlepszy.
1996:  BFP - Więc jeszcze raz, nie chcę, żeby to zostało odebrane jako to, że
2001:  BFP - To jest dobra produkcja tam, gdzie próbuje naśladować animację zachodnią, ale jak wchodzi w anime, to jest takie naciąganie.
2007:  BFP - No absolutnie nie.
2008:  BFP - Nie, absolutnie nie.
2009:  BFP - To jest anime zrobione przez studio Trigger, które jest w pełni japońskie i oni w pełni odpowiadali za wykonawstwo.
2016:  BFP - Był jakiś nadzór polskich współpracowników, ale właśnie ja jestem wdzięczny za to, że to jest tak wyraziste.
2022:  BFP - O tym też mówię w swojej recenzji, że mogę nie zawsze być fanem pewnych elementów, które tutaj się pojawiają,
2031:  BFP - ale kupuje to.
2032:  BFP - I dlatego, że jest to tak świetnie połączone z istotą świata przedstawionego.
2036:  KMM - I też istotne jest to, że jest ten emocjonalny kontrapunkt, bo my akurat cały czas się w tej chwili wypowiadamy na tle kadru, który jest spokojny, elegijny, statyczny bardzo i tego typu kadry są bardzo często w serialu i one wytwarzają ostry kontrast ze scenami akcji właśnie pełnymi gol, dynamiki,
2057:  KMM - i tego szalonego elementu punkowego, którego tak strasznie mi brakowało w grze.
2063:  KMM - Pamiętajmy, że jedną z takich cech tropów cyberpunkowych, czy stylu cyberpunkowego, czy estetyki cyberpunkowej jest style over substance, czyli styl ponad treścią.
2073:  KMM - I ten styl ponad treścią miał być widoczny w naszym sposobie kreowania postaci, ale także w tym, jak wygląda Night City, jak bardzo jest krzykliwe.
2082:  KMM - I są takie momenty też w grze, ja sobie akurat bardzo cenię, że mogliśmy
2086:  KMM - Odetchnąć troszeczkę od tego zgiełku.
2089:  KMM - Przypomnę cały quest z medytacjami, który się pojawia, albo moment, w którym wyjeżdżamy z Night City i jedziemy do Badlands.
2097:  KMM - I to tutaj się też pojawia.
2099:  KMM - Jak się ucieszy.
2100:  KMM - To oczywiście z Panam.
2102:  KMM - I tutaj też się to pojawia.
2103:  KMM - Znaczy nie Panam i nie czołg, ale Badlands.
2105:  KMM - I te charakterystyczne... Jest czołg, jest bazylisk.
2109:  KMM - A tak, masz rację, bo w siłach militeku jest faktycznie masz rację.
2112:  BFP - Tak, dokładnie.
2114:  BFP - Ja jeszcze chciałem wspomnieć o tym, co troszeczkę zeszło nam na boczny tor, kiedy mówiliśmy o samej historii, ale to też jest piękne.
2122:  BFP - Zobacz, biorąc pod uwagę te nasze specjalizacje w drużynie RPG, ty jesteś magiem, ja jestem...
2129:  BFP - dziwnym niziołkiem, który kradnie sakiewki innym.
2133:  BFP - Czyli ty się zajmujesz światotwórstwem, a ja się bardziej zajmuję narracją.
2136:  BFP - To zobacz, ile miejsca obaj poświęcamy narracji.
2139:  BFP - Ile miejsca poświęcamy fabule.
2141:  BFP - I trzeba wspomnieć o cyberpsychozie.
2144:  BFP - I o tym, że to wszystko zmierza do katastrofy.
2146:  KMM - Tak.
2147:  KMM - I to jest dokładnie tę część fabuły, której oczekiwałem, biorąc pierwszy quest w Cyberpunku 2077 o cyberpsychozie.
2154:  KMM - Pomyślałem sobie, no!
2158:  KMM - zobaczymy, co się będzie działo, zobaczymy, jaki będzie finał.
2161:  KMM - No to finał był taki, że miałem wszystkie znajdźki.
2164:  BFP - Serial zaczyna się od cyberpsychozy i kończy się na cyberpsychozie, aczkolwiek mamy epizody tej cyberpsychozy w przypadku Davida w ostatnim odcinku i jeszcze wcześniej, w przedostatnim, ale nie jest tak, że on kończy
2179:  BFP - swoje życie z tym stanem i odzyskuje tą świadomość i dlatego śmieje się i odchodzi na własnych warunkach.
2186:  BFP - To jest bardzo fajne.
2187:  BFP - Natomiast ta scena, w której znajdują, wydaje się, jakiegoś pijanego żula, który sobie stoi na kontenerze, oddaje mocz.
2196:  KMM - Straszna scena.
2197:  BFP - Jest porażająca.
2199:  BFP - Genialnie.
2200:  KMM - Właśnie dzięki stylistyce anime pokazano to szaleństwo i cyberpsychozę w tych przerażających oczach, które migoczą w trzech spektrum, w trzech spektrach, przepraszam, i pojawia się wiele różnych tęczówek i nie wiadomo, co się w zasadzie dzieje.
2216:  KMM - Myślałem, że to jest, nie wiem, jakaś wszczepka, coś dziwnego, a tu się okazuje, że to właśnie
2221:  KMM - sposób na oddanie tej, tej psychodzy.
2223:  KMM - Cyberpunk 2077 też to robił dobrze, to znaczy tamte postać były tak rozdrgane dziwnie, nie wiadomo było co się z nimi dzieje.
2230:  KMM - I no wstrząsająca scena absolutnie, zwłaszcza, że to jest pierwsza scena śmierci jednego ze Dżranerów.
2236:  KMM - Konkretnie przypomnij mi nazwisko.
2238:  BFP - O za cholerę, nie pomnę.
2241:  KMM - Ja mam wypisane wszystkie, ale ta postać była tak... Nazwijmy go w ręce mocny, bo on miał zręczne palce.
2247:  BFP - Ja bym pisał, żeby był David, Main, Lucy, Falco, Dorio, Beka.
2252:  BFP - Jak?
2252:  BFP - Aha, pojawiło się.
2253:  BFP - Czaty mówią, że Pilar.
2255:  BFP - Kompletnie nie pamiętam.
2256:  BFP - Zapomniałem, że jesteśmy live i że można sprawdzić na czatach.
2261:  KMM - To była taka postać sidekika i comic reliefa, znowu nie jestem w stanie znaleźć polskich odpowiedników, wytchnienie humorystyczne i bocznokopniak.
2273:  KMM - W każdym razie to nie jest taki moment, że tego oczekiwałem, ale spodziewałem się, że jeżeli ktokolwiek będzie ginął, to on pierwszych kolejności.
2281:  KMM - Niemniej ta scena jest absolutnie wstrząsająca.
2284:  KMM - Jest przepięknie pokazane też to, jak we wszystkich Edżonerów wtedy wstępuje duch walki,
2289:  KMM - Jak silna więź jest pomiędzy nimi, paradoksalnie, zupełnie.
2293:  KMM - Naprawdę, jeżeli miałbym powiedzieć, w jednym słowie, czym się różni Cyberpunk Edgerunners od Cyberpunk 2077, to byłaby to więź, czyli bond, bonding między postaciami.
2303:  KMM - Ja w ogóle tego nie miałem.
2304:  KMM - Może jest jedna w porywach dwie postaci, z którymi mi się to udało.
2308:  KMM - Jedną z nich był River, drugą z nich była Judy Alvarez.
2311:  BFP - Patrzę w naszą ankietę, którą robimy w trakcie, 308 osób już oddało głos.
2317:  BFP - 53% cyberpunk jest wspaniały, 39% że jest udany, ale to łącznie daje 92% na tak.
2327:  KMM - Ale popatrz Filip, na czym to polega, że podobno, bo tak czytam w wielu artykułach, jest tak, że fani mówią, że albo coś jest na 10 na 10, albo że jest 1 na 10.
2336:  KMM - Jak to się dzieje, nie?
2338:  KMM - Chyba jednak jest tak, że tak się dzieje w przypadku pozycji, które są polaryzujące.
2344:  KMM - Natomiast pozycja, która jest udana, możemy się spierać, czy jest na 4, czy jest na 5, czy jest na 6, czy jest na 7, czy jest na 8, jeżeli ktoś lubi oceny numeryczne, albo możemy się właśnie spierać, czy jest wspaniała, udana, czy to jest arcydzieło, ale to jest pewien spór merytoryczny.
2359:  KMM - Wątpię, żeby ktoś obejrzał Ed Runners i stwierdził, że to jest gówno, nie da się tego oglądać.
2363:  KMM - I żeby takich ludzi było na tyle dużo, żeby można było oskarżyć o review bombing.
2367:  KMM - Wydaje mi się, że nie.
2369:  KMM - I wydaje mi się, że to jest kwestia tego, że nikt nie miał jakichś przesadnie wzmożonych oczekiwań, ponieważ CD Projekt Red nie zrobił tego błędu, co przy Cyberplanku 2077 i nie hypował tego jako anime, które zmieni wasze życie, zredefiniuje, ono zredefiniuje gatunek anime.
2387:  KMM - Bo ja wtedy na to spojrzałem i sobie pomyślałem, nie no, Fullmetal Alchemist, Brotherhood, Fate Stay, Unlimited Blade Works, Edge Runners, no nie wiem, nie wiem.
2394:  KMM - A tak nie mam takiego nastawienia.
2396:  BFP - Trzymali karty przy swojej piersi i naprawdę dobrze je rozgrywali.
2401:  BFP - Dopiero co przed premierą dowiedzieliśmy się, że będzie utwór stworzony przez Dawida Podsiadło, który jest, ja też wytłumaczę się... Oni w ogóle jakoś umknął kompletnie, szczerze powiedziane.
2414:  BFP - Jak on już został umiejscowiony w samym serialu,
2418:  BFP - On się pojawia w pierwszym odcinku, pojawia się w ostatnim, pojawia się na koniec każdego odcinka.
2424:  BFP - Jest wspaniały.
2425:  BFP - On się pojawia wtedy, kiedy umiera matka Davida i to jest to kopnięcie.
2430:  BFP - To jest znakomity utwór i ponownie to już nawet nie jest to, że oni nie zawiedli fanów.
2437:  BFP - To jest to, ile oni potrafią dać więcej i przykładowo to, ile udało się przemycić polskiej muzyki.
2444:  BFP - którą słyszysz w tle, w globalnym serialu.
2449:  KMM - Ja mam złą rozdzielczość słuchu, ja nie słyszę tekstów piosenek, ale jak usłyszałem w którymś momencie jakiś fragment i nagle sobie myślę, zaraz, ja przecież oglądam z dubbingiem japońskim, co się dzieje, dlaczego ja tutaj słyszę słowa polskie i pomyślałem sobie oczywiście, tak Krzysztof, jak zwykle masz z widy, ale potem upewniłem się, że nie, że jednak rzeczywiście słyszę polszczyznę.
2470:  BFP - Tepesz DH pisze, że Cyberpunk Edgerunners
2473:  BFP - Dzień po premierze.
2474:  BFP - Jest na 79. miejscu na My Anime List.
2478:  BFP - To jest masywne.
2479:  BFP - To plasuje Cyberpunka w gronie najlepszych anime ever.
2484:  KMM - No to jest duża rzecz.
2486:  KMM - Nie wiedziałem tego.
2487:  BFP - Zaznaczmy jeszcze, że głos Faradayowi, postaci, która ma niesamowity design, popieprzone trzy oczy po jednej stronie twarzy, głos mu podkłada Giancarlo Esposito, nie kto inny jak Gustavo Fring.
2501:  BFP - Nie żart.
2502:  BFP - Jak to mogłeś nie poznać?
2504:  KMM - Ale zaraz, to tylko oglądałeś z dubbingiem angielskim w takim razie?
2507:  BFP - Tak, tak.
2508:  KMM - Aaa.
2509:  BFP - A, no to tak, to już wszystko jasne, bo ja z japońskim... Nie, Giancarlo nie nagrał swojej ścieżki po polsku.
2513:  KMM - Tak dobry nie jest.
2516:  KMM - O polskim dubbingu mówiły czaty, że też jest okej.
2520:  KMM - Ja słuchałem prawidłownie, jak to w przypadku anime, z dubbingiem japońskim.
2524:  BFP - Szanuję, szanuję.
2525:  BFP - Ty wybrałeś sushi, a ja wybrałem... Steak.
2529:  BFP - Big burger.
2530:  KMM - Ale taki buffalo.
2531:  BFP - Buffalo właśnie, dokładnie tak.
2535:  KMM - To jest duża rzecz, że angażują też takie nazwiska i zauważcie, że też tym jakoś przesadnie nie spamowano.
2542:  KMM - Ja strasznie to szanuję.
2543:  KMM - Nie da się zapomnieć o porównaniach do Cyberpunk'a 2077, który poległ na
2552:  KMM - strasznej inflacji ego twórców i marketingu samego, który był totalnie nieprzystający do tego, co zostało dowiezione.
2561:  KMM - Tutaj pierwszy raz w życiu miałem taką sytuację, że nie skipowałem intro, bo piosenka w intro była fantastyczna.
2568:  KMM - Pierwszy raz miałem tak, że
2570:  KMM - Jak przygotowywałem recenzję, to jeszcze się zatapiałem w kolejnych odcinkach, żeby przynajmniej zobaczyć te obrazy.
2577:  KMM - Naprawdę jest sztuką zrobić taką opowieść.
2580:  KMM - Co więcej, opowieść, która jest zamknięta i spójna.
2582:  KMM - I to jest chyba najlepsza jej cecha i najbardziej wyrazista.
2585:  KMM - Co też, myślę, przesądziło o tym, że fani anime również tak ją wysoko oceniają.
2590:  BFP - No jeszcze niech wybrzmi cameo, tudzież gościnny występ Adama Smashera, który pojawia się na końcu.
2597:  BFP - Jaki to jest badass!
2599:  BFP - Ciarki mi przeszły, jak grałem w Cyberpunka 2077, kiedy wchodzimy do wspomnień i widzimy, jak Adam Smasher wychodzi z windy, czy wchodzi do windy i mijamy się z nim.
2610:  BFP - I po prostu patrzy na nas.
2612:  BFP - To coś, co...
2614:  BFP - Robocop by po prostu, przepraszam, ale zesrałby się smarem w swoje metalowe gadki, jakby zobaczył Adama Smashera.
2622:  BFP - I to czuć tutaj, to znaczy, źle łączę te wszystkie słowa ze sobą, ale Adam Smasher to jest badass.
2630:  BFP - Myślimy, nie, no przecież David z tym swoim nowym cyberszkieletem na pewno sobie poradzi, no przecież ma, nie wiem, potęgę grawitacji, potęgę magnetyzmu.
2640:  BFP - Nie.
2641:  BFP - Adam Smash jest po prostu Smash.
2644:  BFP - Wgniata go w ziemię.
2645:  KMM - Zresztą mówi mu w którymś momencie, nie udźwigniesz ciężaru tego, bo ty nie masz wzmacniaczy antygrawitacyjnych, więc sorry, nie udźwigniesz tego ciężaru.
2655:  BFP - Nie, on mówi, chcesz walczyć ze mną, kiedy ty nie jesteś w stanie utrzymać się na swoich własnych nogach i niszczy te silniki grawitacyjne, które sprawiają, że on nie może utrzymać nawet równowagi.
2667:  KMM - Zresztą Adam Smasher jest absolutną legendą Night City też i bardzo dobrze, że został wspomniany.
2673:  KMM - Troszeczkę mi brakowało, jeżeli już mówimy o cameo, żeby się gdzieś tam pojawił Johnny Silverhand.
2678:  KMM - To byłby taki jeszcze cymesik.
2681:  KMM - Ach, lukier na ciastku, jak mawiały Anglosasi.
2684:  KMM - Ale nie mam jakichś pretensji w związku z tym kompletnych.
2689:  BFP - A głos by mu podkładał Robert Pattinson.
2691:  KMM - Proszę nie.
2692:  KMM - I myślę, że wybór Adama Smashera był absolutnie idealny.
2696:  KMM - No i wreszcie zauważcie, że to w jaki sposób zostało odmalowane, o czym już wspomniał wcześniej Filip, koligację między Militechem a Arasaką właśnie przesądziło o tym, że my już widzieliśmy w którymś momencie, że ten Adam Smasher się pojawi, bo właśnie gracze w Cyberpunka wiedzieli skąd on się pojawia i dlaczego jest zatrudniony przez Arasaka.
2719:  BFP - Więc przepiękna sprawa.
2720:  BFP - Kaiju napisał na czacie, że Johnny Silverhand nie mógłby się pojawić, bo Johnny był wtedy martwy.
2725:  BFP - I teraz sam fakt, że coś takiego udaje się wyłapać fanom, świadczy o tym, jak bardzo odrobiono swoją pracę domową w zakresie przedstawionego świata.
2734:  KMM - Bo ja akurat jedna, jedyna rzecz, której totalnie nie wiedziałem, to znaczy to, gdzie jesteśmy w czasie.
2738:  KMM - No wiedziałem, że na pewno jesteśmy w czasie przed fabułą Cyberpunka 2077, ale nie wiedziałem, że był wtedy.
2745:  BFP - Jeszcze Juliusz bardzo wychwala...
2749:  KMM - Rock się pojawiła, tak, tak, tak.
2751:  KMM - To była ta fikserka, która w Afterlife się pojawiła.
2752:  BFP - Afterlife, dokładnie tak.
2754:  BFP - I Juliusz zachwala to, jak Adam Smasher został przedstawiony.
2757:  BFP - Ja też jeszcze kinematograficznie zachwalę to.
2760:  BFP - Całą pierwszą scenę, kiedy pojawia się Adam Smasher, on nie mówi słowa, on po prostu siedzi i jest pochylony, oparty o własne kolana, jeżeli to jeszcze są kolana i po prostu siedzi w cieniu.
2772:  BFP - I to jest całe przedstawienie Adama Smashera.
2774:  BFP - Nie masz, właśnie a propos też tego, jak bardzo mi się podoba to krążenie pomiędzy różnymi tonami anime, że nie masz wielkiego wejścia, czas zwalnia i pojawia się Adam Smasher i Smash, tylko on po prostu siedzi sobie wygodnie na kanapie w biurze i czeka na swój moment.
2794:  BFP - I to też jest umiejętność właśnie grania emocjami i oczekiwaniami widza.
2801:  KMM - No i jeżeli wspominamy już o takich rzeczach, to też bardzo wydaje mi się, akurat Cyberpunk Edgerunners rozbudowuje ten wątek, który trochę umknął z fabuły Cyberpunk'a 2077, to znaczy czwartej wojny korporacyjnej, w wyniku której załamał się cały system
2817:  KMM - informatyczny na świecie i sieć została zdominowana przez dzikie sztuczne inteligencje.
2823:  KMM - Tego się dowiadujemy w tym odcinku, o którym już Filip wspomniał, szóstym bodajże, w którym poznajmy przeszłość Lucy, ale jest to o wiele bardziej pogłębione niż w Cyberpunku 2077, gdzie jest to wprawdzie częścią fabuły, ale jest wytłumaczone o wiele gorzej niż tutaj.
2839:  KMM - Trzeba się tam wczytać w
2841:  KMM - drzazgi, czyli e-booki, powiedzmy, w tym świecie występujące.
2846:  KMM - No drzazga dlatego, że to wpinamy tak jak USB do portu szyjnego.
2849:  KMM - Swoją drogą nie mogę się też zachwalać tej terminologii, w jaki sposób ona była bieżąco tłumaczona.
2856:  BFP - No to też oddano fantastycznie bronie np.
2859:  BFP - e-tranerów.
2860:  BFP - Zapomniałem, jak one się nazywały, te charakterystyczne
2865:  BFP - sznury, czy garoty.
2867:  BFP - Wiem, o czym mówisz.
2868:  BFP - Tak, tak.
2869:  KMM - To jest ta broń, którą swoją drogą mieliśmy mieć jako V, ale wycofano się z tego.
2874:  BFP - Nie, no dostajemy ją.
2875:  BFP - Nie, mamy ją.
2876:  BFP - Jest w grze.
2878:  KMM - ale nie w takim zakresie, w jakim tutaj była... Struny, struny.
2881:  BFP - Oczywiście, dziękuję artysto chaosu.
2882:  BFP - Struny, były pociski samonaprowadzające, nawet poszczególne bronie miały swoich producentów.
2887:  BFP - Wracając do tego, co mówiliśmy na początku o megakorporacjach.
2891:  BFP - Chciałbym, żebyśmy jeszcze na koniec te ostatnie 10 minutek, które nam zostały, wykorzystali do tego, co ja zajawiłem w swojej recenzji, a chciałbym z tobą kontynuować.
2900:  BFP - Mianowicie, czy przypadkiem Cyberpunk Edgerunners
2905:  BFP - nie jest kolejną produkcją po Arkane i Castlevanii, która być może mówi nam coś o tym, jak tworzyć dobre adaptacje gier wideo.
2915:  KMM - Na pewno wydaje mi się, że jest rzeczą znaczącą, iż kolejny raz zachwycamy się produkcją, która nie jest produkcją aktorską.
2922:  KMM - Jest pełna zgodność co do tego, że jest świetne światotwórstwo, świetna estetyka, dobrze zrealizowane lore, czyli wiedzę na temat tego świata.
2932:  KMM - I wreszcie również dobrze opowiedziana historia.
2934:  KMM - Być może kwestia leży, tkwi w tym, że w studiach, w których pracują animatorzy jest teraz więcej fanów fantastyki niż w Hollywood, które traktuje fantastykę instrumentalnie.
2948:  KMM - Patrzy, okej, kasa się zgadza, było dużo w Box Office, to zrobimy i potem
2954:  KMM - mówi bzdury, nie traktuje się poważnie.
2956:  KMM - Najbardziej taka charakterystyczna rzecz, po której rozpoznacie osobę, która pracuje w przemyśle filmowym, a nie rozumie fantastyki, to będzie to, a to w zasadzie wszystko jedno, co tam będzie, bo to przecież jest fantazy, więc to jest magia i można to wytłumaczyć i w zasadzie może tam istnieć wszystko.
2970:  KMM - Po takim tekście już wiecie, że ten człowiek nie wie nic na temat fantastyki i nie rozumie.
2974:  KMM - Jeżeli nie traktuje się poważnie materiału, którym się dysponuje i świata, w którym się osadza historię, to nigdy się nie opowie fantazy, ani science fiction, tylko się opowie baśń.
2985:  KMM - baśni jest wszystko jedno.
2987:  KMM - Baśń możemy rozciągać dowolnie, tam jest alegoria, tam są metafory i tak dalej.
2991:  KMM - Tutaj nie.
2992:  KMM - Tutaj musimy mieć do czynienia z ludźmi, którzy wiedzą, jak to się robi.
2996:  KMM - I wydaje mi się, że to jest ta kwestia po prostu, że przez lata animatorzy rekrutowali się spośród fanów, rekrutowali się spośród ludzi, którzy jeździli na konwenty, znali dobrze branżę, znali dobrze oczekiwania fanów i teraz po prostu realizują to, co zawsze mogli z uwagi na to, że technologia na to pozwala.
3012:  BFP - A ja powtórzę się z tym, co mówiłem w recenzji, ale może ty ładnie to uzupełnisz.
