Recenzja 2. sezonu "Love, Death + Robots" – triumf czy niewypał? Analiza odcinek po odcinku
🔗 https://www.youtube.com/watch?v=mQlqJRe0Kms
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Love, Death and Robots, czyli Miłość, Śmierć i Roboty, drugi sezon.
1455:  BFP - Miałem takie trochę odczucia Loopera, film, który uwielbiam Rihanna Johnsona, Looper i tam też jak Joseph Gordon-Levitt trafiał do Emily Blunt na farmę, kojarzysz Loopera mam nadzieję, no to tu miałem też takie wrażenie, że wierzę, trafia ta przemiana, przechodzi.
1473:  BFP - W nim od razu jest nawet jakieś tam parę zwrotów akcji.
1476:  BFP - I trochę takie, brakowało mi może odrobiny poezji w tym zakończeniu, gdzie on stwierdził, że są wartości, o których warto walczyć.
1485:  BFP - Jak na przykład miłość, którą może czuć rodzic do dziecka.
1487:  BFP - I to jest całkiem fajne, ale siermiężny i zbyt Blade Runnerowy sposób, w jaki to jest przedstawiane.
1493:  BFP - Czy on patrzy w górę i spada kropla deszczu na jego twarz.
1496:  BFP - Aż dziwię się, że nie płatek śniegu jak w Blade Runner 2049.
1499:  BFP - Jak to jest poczuć się znowu człowiekiem?
1501:  BFP - No to to było po prostu jechanie takie bardzo, bardzo na tej kliszy Blade Runnerowej, ale prezentacja świata, emocje, to, że ja miałem łzy w oczach, jak widziałem dziecko, które płacze i krzyczy, no to to jest jakiś triumf studia animacyjnego, któremu udaje się coś takiego zrobić, więc mocne 7 na 10.
1521:  KMM - Ja po pierwsze uwielbiam Paola Bacigalupiego, na podstawie którego opowiadania to zostało nakręcone.
1528:  KMM - I uważałem do tej pory, że światów robionych przez Bacigalupiego nie da się zwizualizować.
1536:  KMM - Pamiętam, jak otwierałem książki Bacigalupiego, nakręcaną dziewczynę na przykład,
1542:  KMM - patrzę na tę okładkę i ja wiedziałem już, że koncept artysta po prostu nie rozumie tego świata.
1547:  KMM - I zastanawiałem się, czy da się to zrobić i zobaczyłem ten odcinek i ja miałem szczękę na podłodze przez cały czas, ponieważ dostałem nie dość, że ferie zmieniających się settingów, zaczyna się wszystko od noir, zaczyna się od kryminału noir, więc to skojarzenie z Blade Runner'em on point,
1566:  KMM - Potem przechodzę do czegoś, co się nazywa dekopunkiem, chociaż brzmi to idiotycznie, art deco, futurystyczne miasta.
1574:  KMM - Opera, mówisz też o tym.
1575:  KMM - Waria operowa, po prostu jak ja zobaczyłem te barwy, które tam były, ta czerwona suknia.
1580:  BFP - Ty słusznie mówiłeś Bajoszok, nie?
1581:  BFP - Tak.
1583:  KMM - czerwona suknia na tle tej futurystycznej architektury i śpiew koloraturowy, nieprawdopodobne absolutnie, a potem schodzę na dół, schodzę do The Last of Us, schodzę do post-apo, schodzę do zieleni, która się rozprzestrzenia po zrujnowanych wieżowcach i jestem w innym settingu nagle.
1603:  KMM - I tam dostaje setting w settingu, to znaczy jasny, rozświetlony dom, w którym się w tym przerażającym świecie rodzi życie i dzieje się coś niesamowitego i pięknego, co przemienia tego głównego bohatera.
1617:  KMM - Więc dla mnie ta sekwencja zmieniających się światów przełożyła się w tym wypadku idealnie na poprowadzoną fabułę, zaskakując mnie za każdym razem.
1627:  KMM - Więc ja tutaj nie mam żadnych zarzutów praktycznie, chociaż jak wspomniałeś mi o tych kwestiach fabularnych, to się absolutnie przychylam.
1634:  KMM - Tylko tak jak mówię, dla mnie to kompletnie nie był priorytet, bo chociażby, jeżeli patrzeć od strony fabularnej i bardzo się przyczepiać i krytykować, to ja nie znajduję uzasadnienia wtedy dla tej partnerki.
1646:  KMM - śpiewaczki operowej.
1647:  KMM - Ta wymiana zdań, którą on ma z nią, mogłaby się odbyć z kimkolwiek innym w tym świecie.
1652:  KMM - Ona nie jest potrzebna w żaden sposób.
1654:  KMM - Co więcej, jego i jej arc nie jest w żaden sposób domknięty, pomimo to, co się dzieje na samym końcu.
1662:  KMM - Ale jeszcze jest jedna rzecz, to znaczy wydaje mi się, że jest bardzo odważne, to jest akurat zasługa Bacilla Lupiego, żeby w dzisiejszym świecie zrobić antynatalizm jakby podstawą światotwórczą.
1674:  KMM - I połączenie tego ze snem o nieśmiertelności jest bardzo oryginalne, to znaczy mało ludzi się zastanawia nad tym, jakie byłyby konsekwencje w konstrukcji świata dla wprowadzenia nieśmiertelności,
1684:  KMM - Moje ulubione konsekwencje, ale to są satyryczne, wskazał Marcin Przybyłek w cyklu Orzeł Biały, gdzie powiedział, że NFZ by upadł i systemy ubezpieczeniowe.
1693:  KMM - To jest piękne.
1694:  KMM - A tutaj jest druga strona tego medału, to znaczy po co ludzie mają reprodukować w zasadzie, ale widzisz i tutaj się przychylę do ciebie.
1702:  KMM - faktycznie nie ma żadnego uzasadnienia światotwórczego dla wprowadzenia sił policyjnych, które dokonują fizycznej eliminacji urodzonych ludzi.
1711:  KMM - Egzekucji.
1712:  KMM - Egzekucji w zasadzie, tak, bo to jest sędzia dret, znaczy on jest sędzią, prokuratorem i egzekutorem w jednym.
1718:  KMM - Nie miało żadnego uzasadnienia i rzeczywiście można w tym dostrzegać pewien tani dramatyzm,
1723:  KMM - Ale jak nie zastanawiam się nad tym, to nie widzę tego problemu.
1727:  BFP - Oczywiście rozumiem, w jaki sposób jako scenarzysta chcesz wizualnie opowiedzieć historię, nie wprost, bo to zawsze jest dobre na zasadzie masz jeden plus jeden, sam sobie dodaj, czyli trzyma rękę nad bronią, słyszysz wystrzał, ale nie musisz tego widzieć.
1745:  BFP - Ale można wymyślić coś lepszego.
1747:  BFP - Można wymyślić coś lepszego, to bez wątpienia.
1750:  KMM - Ta sekwencyjność światów dla mnie się przepisywała jeszcze na jedną rzecz, która na przykład rzadko się pojawia w narracjach cyberpunkowych jak Blade Runner.
1759:  KMM - To znaczy, przepisuje się bardzo dobrze na system klasowy.
1763:  KMM - I ja wiem, kto jest w tym społeczeństwie klasą najwyższą, wiem, kto jest klasą najniższą i z jakiego powodu i kto działa jako ktoś, kto będzie migrować między tymi, pośrednik między tymi klasami.
1775:  KMM - Dlatego mi się to spodobało, bo rzadko kiedy to się pojawia w sci-fi, nawet w pierwszym Blade Runnerze tego nie było.
1781:  BFP - Dla mnie to jest bliskie, bo jest gra, nad którą pracuję od pięciu lat i stanąłem i rozłożyłem ręce, czyli Artemidas.
1790:  BFP - gdzie też jest funkcja Blade Runnera, czy takiej właśnie policji religijnej, która sprawdza gdzie jest świadomość ludzka w maszynie, to to jest dość bliskie, rozmawialiśmy kiedyś o tym, ale to jest właśnie bardzo bliskie właśnie to co powiedziałeś fajnie, ten łącznik między dwoma światami, który będzie musiał zdecydować w którą stronę się wychyla wahadło.
1812:  KMM - Tak, i on jest też języczkiem uwagi moralności całego tego odcinka i całego tego świata.
1820:  BFP - Snow in the Desert.
1823:  BFP - Dla mnie to jest udany love story.
1826:  BFP - Bardzo mi się podoba z perspektywy love story.
1829:  BFP - Podoba mi się, że jest dużo brutalności.
1832:  BFP - W ogóle nie ma żadnego impaktu, nie ma żadnego przesłania, jakby ma mniejszą jeszcze głębię niż ten poprzedni odcinek, o którym właśnie mówiliśmy.
1839:  BFP - Więc hedonizm na pełnej.
1843:  BFP - Ale to co mi się nie podoba wiesz, a co mi się podobało bardzo w tym poprzednim odcinku jakim był Popsquad, to jest, ja nie lubię kiedy Love Death and Robots bierze studia, które stosują animację, która jest próbą naśladowania rzeczywistości.
1860:  BFP - Ja osobiście tego bardzo nie lubię, nie podobało mi się to w B&A Killariff, bo to jest tak zwane Uncanny Valley, czyli patrzysz, mówisz, oni udają, że to jest takie ludzkie, ale no nie wiem, strasznie głupio działa ich górna warga.
1873:  BFP - I tak było dokładnie w tym odcinku.
1875:  BFP - Męczyło mnie to, ja lubię jak jest pewne przerysowanie, jak jest pewna konwencja i tutaj tej konwencji nie ma, więc tak z czysto wizualnej perspektywy męczyłem się oglądając tą ultrarealistyczność, ale ten podbicie brutalności, to, że jest love, to, że jest death, to, że jest robots, zawsze to będę podbijał, bo dla mnie to powinien być, jakby tytuł powinien być dla mnie konwencją, ale o tym jeszcze na sam koniec powiem.
1901:  BFP - Podobało mi się, 6 na 10.
1904:  KMM - Ja propsuję w pewnym sensie ten wątek Uncanny Valley, on jest ciekawy i dorzucę od siebie, że nieprzypadkowo fotorealizm w historii sztuki się nigdy jakoś specjalnie nie przyjął i znakomite animacje i znakomite konwencje graficzne rozpoznaje się właśnie po tym, że ktoś coś z nimi próbuje zrobić artystycznego.
1927:  KMM - Złota paleta w Deus Exumen Revolution sprawia, że ta gra się nigdy nie zestarzeje, tak samo jak Dishonored się nigdy nie zestarzeje, przez to właśnie, jaka jest estetyka tej animacji.
1935:  KMM - Przypuszczam właśnie, że jak ktoś za 20-30 lat zobaczy ten odcinek czy Beyond the Aquila Rift z pierwszego sezonu, no to sobie powie mech, dzisiaj robimy lepsze.
1945:  KMM - I przez to ten odcinek traci bardzo dużo, bo właśnie cała… Ale już ice, ice.
1949:  BFP - Ice na przykład.
1951:  KMM - Ice się obroni właśnie.
1952:  KMM - Więc żywotność tej konwencji graficznej jest znacznie niższa, ale znowu wiem, dlaczego to się tutaj znalazło.
1958:  KMM - To znaczy, to się tutaj znalazło po to, żeby pokazać wszystkim boomerom, którzy nie oglądali animacji, że... Zobaczcie, co dzisiaj potrafimy zrobić.
1966:  KMM - Ja pamiętam zresztą wiele razy, jak pokazywałem, nie wiem, trailery do Assassin's Creedów, które... No naprawdę tam fabularnie się nic nie dzieje, ale...
1974:  KMM - No ale to było ładnie zrobione, więc tutaj tak.
1977:  KMM - Natomiast ja mam problem pewien z... To jest dobry love story, jak najbardziej, przy czym mam problem z główną postacią, to znaczy ona dla mnie była kompletnie nielubialna.
1988:  KMM - Nie byłem w stanie przez moment zrozumieć, dlaczego on jest pokazywany wszędzie, że to jest jakiś antagonista, że on jest szukany, że ścigany, wanted i tak dalej.
1997:  KMM - Okej, no liczyłem na to, że z jakiegoś powodu.
2000:  KMM - po czym dochodzi do pierwszej bójki w barze i gość dostaje w pierdol.
2005:  KMM - No więc z jakiego powodu nie jestem trzcigany w tym świecie, najwyraźniej nie jest przesadnie groźny.
2009:  BFP - Może dlatego, że można mu spuścić w pierdol, ale on i tak się zregeneruje, dlatego wszyscy robią to.
2013:  KMM - Tak, tak, przy czym właśnie, jeżeli robimy, widzisz, myślę, że w moich oczach tutaj będzie największy zarzut, brakowało mi właśnie wyrazistego settingu połączonego z pewną konwencją, bo gdybyśmy zrobili z tego western,
2028:  KMM - który miałby jakiś element love story, tylko że wrzucony do jakiejś kolonii karnej, gdzieś na odległej planecie, to ja byłbym bardziej zainteresowany.
2036:  BFP - To ja mam coś lepszego.
2038:  BFP - Kontynuując moją tradycję dobrych twistów.
2041:  BFP - Wystarczyło wziąć Wiedźmina i umieścić go w przyszłości.
2045:  BFP - To mógł być Geralt.
2047:  BFP - Ten gość mógł być Geraltem ze zdolnością regeneracji, a może krzyżówką Geralta i Logana.
2053:  BFP - Mam na myśli Wolverina.
2054:  BFP - To by wystarczyło.
2056:  BFP - Dość jest łowcą potworów, nikt go nie lubi, jest pariasem, ale każdy wie, jakie on ma umiejętności, bo jest mutantem.
2063:  KMM - Nawiązaniem do Logana uświadamiasz mi jedną rzecz, że to jest to, co mi przeszkadzało w tej postaci, to znaczy ja oczekuję postaci człowieka, który jest
2072:  KMM - stary, on jest stary, on wprawdzie jest nieśmiertelny, ale jest stary, oczekuję po nim czegoś innego, innego zestawu przemyśleń, innego sposobu zachowania, jakiegoś znużenia, które akurat Harrison Ford dobrze zagrał w drugim Blade Runnerze i tego zmitrężenia, zniechęcenia światem itd., itd.
2092:  KMM - Tego mi może brakowało.
2093:  KMM - No i właśnie jego partnerka,
2097:  KMM - strasznie niewyrazista.
2101:  KMM - Rozumiem dlaczego.
2101:  BFP - Powiedziałbym, że zachowujesz się jak robot, gdyby nie była robotem.
2105:  BFP - Tak, ale gdybyśmy właśnie próbowali coś... A nie, bo nie była robotem, miała mózg człowieka także.
2109:  KMM - Czyli Cyborium, nie?
2110:  BFP - To jeszcze gorzej.
2111:  KMM - Jeśli byśmy chcieli zagrać jakoś na tej relacji, to można byłoby ją podkręcić do dziesiątki i wtedy... Właśnie, jeżeli chodzi o love story, Beyond Aquila Rift,
2120:  BFP - Znaczy Beyond the Aquila Rift miał dwuminutową scenę seksu, która jest jedną z najbardziej krytykowanych rzeczy w całym poprzednim sezonie i był tak beznadziejnie niepotrzebny, ale zostawmy to, bo nie chcę się już znęcać na tym, to to była jedna z najgorszych rzeczy w tamtym sezonie, to było po prostu głupie.
2136:  KMM - To prawda, ona mogła trwać 11 minut krócej, natomiast cała rzecz polega na tym, że oni źle rozegrali czasowo kontrast, bo chodziło oczywiście o ten kontrast, prawda, z tą późnią ksenopajęczycą, więc wystarczyłoby, żeby skrócili tę scenę i zostawili na niedopowiedzenie, nie?
2153:  KMM - Ale właśnie tutaj i tutaj też ta scena
2156:  KMM - seksu, który się pojawia w Śniegu na pustyni, ona też jest przesadzona, też jest podkręcona o te 3-4 minuty za długo.
2165:  KMM - Znaczy nie wiem, przesadzam, ale parę sekund.
2166:  BFP - Nie, no ja się nie zgadzam, to właśnie, to było tak jak w realu, tak, że pogoni załatwione.
2173:  KMM - Nie, no chodzi mi o to, że to było tak... Czy cytując kultowy tekst Deadpoola, dwa ruchy i suchy, w znakomitym polskim tłumaczeniu.
2180:  BFP - No coś takiego, ale chodzi mi o to, że to nie było takie dosłowne i siermiężne.
2187:  BFP - Wciąż not suitable for work, właśnie to jest trochę stępienie tego pazura, ale właśnie czasem na tym zyskuje.
2196:  BFP - Kolejny odcinek, chyba że chcesz coś bardzo dodać.
2199:  KMM - Nie, nie, ja mogę dodać tylko od siebie zgodnie z konwencją jakąś siódemkę za to.
2204:  BFP - Okej, no to u mnie szóstka.
2206:  BFP - The Tall Grass.
2207:  BFP - No powiem tak, no love, no death, no robots.
2213:  BFP - Mamy gościa, który wysiada w szczerym polu w pociągu, który się zatrzymał, gubi się w wysokiej trawie i atakują go zombiaki z innego wymiaru, ale udaje mu się uciec, a maszynista mówi, no tak się zdarza, no co ja poradzę, Andrzej, no co ja poradzę.
2229:  BFP - Więc prościutkie, banalne, kompletnie niepasujące do tej serii.
2232:  BFP - Jak mówię, że brakuje mi jakiegoś klucza, to znaczy, że jestem wyjątkowo wyczulony na odchodzenie od tego klucza całkowicie bez zaoferowania czegoś ciekawego.
2241:  BFP - Naprawdę, bez niczego.
2244:  BFP - Dla mnie to jest 4 na 10.
2247:  BFP - Może, że momentami faktycznie trzymało w napięciu.
2250:  BFP - Ale nic sobą nie przekazuje ten odcinek.
2256:  BFP - Wizualnie jest w porządku, jest poprawny.
2259:  BFP - Ten design tych potworów jest taki też growy.
2263:  BFP - Kreska jest ciekawa.
2264:  BFP - Ale no naprawdę, szału nie ma.
2268:  BFP - 4 na 10, zupełnie zbędny odcinek do wyrzucenia z tej serii.
2271:  KMM - Ja miałem techniczny problem z tym odcinkiem, to znaczy...
2275:  KMM - klatkował.
2276:  KMM - I nie rozumiem tej decyzji artystycznej kompletnie.
2279:  KMM - Znaczy on był w mniejszej liczbie FPS-u niż powinien być.
2281:  KMM - Tak, tak, rozumiem.
2282:  KMM - Znaczy zakładam, że chodziło właśnie o taki efekt retro trochę.
2286:  KMM - I z tym, bo w ogóle ten odcinek jest powiedzmy steampunkowy.
2290:  KMM - I jego interesujące założenie jest takie, że wprowadza te wrota do innego świata.
2296:  KMM - I dla mnie to był odcinek, który się paruje z farmerami walczącymi, z
2301:  KMM - przeciwnymi naturze ksenomorfami atakującymi ich krowy.
2304:  BFP - Tam przynajmniej Starcraft była.
2308:  KMM - Zwykły pociąg.
2309:  KMM - Zwykły pociąg parowy.
2310:  KMM - Powiem Ci tak, że to Twoje streszczenie fabularne oczywiście jest adekwatne, ale to jest troszeczkę tak, jakby powiedzieć, że dym na bokowa polega na tym, że gość
2319:  KMM - wstaje z fotela, idzie do innego pokoju, odpala peta, patrzy na zewnątrz i wraca na fotel.
2323:  KMM - Natomiast w Dymie Nabokowa chodzi o co innego, chodzi o ten opis, który jest niepotrzebny totalnie.
2328:  KMM - I tak samo postrzegam to, ten pociąg, jest to wprost powiedziane, on się zatrzymuje bez sensu, nigdy nie wiedzą ludzie, dlaczego się zatrzymuje, a moja odpowiedź jest bardzo prosta, on się zatrzymuje po to, żeby bohater mógł spotkać zombiaki, to jest dla mnie kicz, o to chodzi w tym.
2344:  KMM - czy w zasadzie kamp, bo to jest intencjonalny kicz i tak o to odbierałem, że wszyscy sobie zdają sprawę z tego, że te zombie były niepotrzebne, że to wszystko jest niepotrzebne, że to w ogóle mógł być sen tego bohatera, wszystko jedno i tak o tym nikt nie będzie pamiętał i zakończenie dla mnie ratuje ten odcinek.
2361:  KMM - Oni tam wprost mówią, nikomu o tym nie mów, nikt ci w to nie uwierzy, nikogo to nie obchodzi, a w tle pojawiają się światła zombie, które przychodzą z innego wymiaru.
2373:  KMM - To mnie zainteresowało.
2375:  KMM - Cały odcinek, przyznam się szczerze, przeklikałem telefon, jak oglądałem i popatrywałem sobie, ok, just another zombie game, cytując Angry Joe Show.
2385:  KMM - Natomiast pod sam koniec nagle zawiesiłem uwagę i myślę, ha,
2389:  KMM - Czyli tak miało być.
2391:  KMM - Ja rozumiem, że może się ten odcinek nie podobać, ale doceniam to, że twórcy by zagrali na tym, że sami byli świadomi tego, że on jest pusty fabularnie, że tam się nic nie dzieje.
2402:  BFP - No to ciekawe.
2404:  BFP - Ciekawe dlatego, że ja znacznie lepiej oceniam kolejny odcinek, który właśnie taki jest dla mnie, jak tego opisałeś.
2409:  BFP - Czyli All Through the House to jest o kronenbergowskiej wersji Świętego Mikołaja, który jest jakimś demonicznym obcym.
2418:  BFP - I dla mnie to jest bardzo ciekawy koncept, bardzo prosty i bardzo ciekawy.
2421:  BFP - A co gdyby święty Mikołaj był przerażającą istotą, która wykorzystując twoje feromony jest w stanie dowiedzieć się, czy byłeś dobry, czy byłeś niegrzeczny i daje ci dokładnie to, co sobie wymarzyłeś, bo ma takie umiejętności.
2434:  BFP - I ten twist... Wyrzykuje ci to co... Tak, tak.
2438:  BFP - Bardzo mi się podobał ten kątem, chociaż jakby w tym odcinku jest zerowa struktura, tam nie ma fabuły.
2443:  BFP - Ten odcinek nie ma fabuły, po prostu przychodzi Mikołaj, obwąchuje, daje prezenty i jest tylko to, a co by było jakbym był niegrzeczny.
2450:  BFP - I to co akurat mi się podobało, co ma jakiś zaczątek fajnego pomysłu, plot twistu nawet, to był właśnie plot twist, który nie był twistem.
2460:  BFP - Chodzi mi o to, że najpierw patrzy na dziewczynkę i mówi, ty, Emily, czy jak ona miała?
2466:  BFP - Dobra.
2467:  BFP - I patrzy na tego chłopaka i mówi, byli.
2469:  BFP - I każda komórka twojego ciała mówi ci, teraz będzie odwrotnie, niegrzecznie.
2474:  BFP - A on mówi, byli, good.
2477:  BFP - I właśnie dlatego tu nie ma fabuły.
2479:  BFP - Jakby było napięcie, ale nie było konfliktu, nie było jakiegoś...
2485:  BFP - nie było komplikacji tej fabuły, bo to jest najkrótszy w ogóle short, on 5 minut chyba trwa i jakoś jest w tym coś, co mi się podobało, to znaczy to spełnia te warunki wszystkiego, o czym powiedziałeś odnośnie tego, który mi się nie podobał, czyli the tall grass, czyli nie było tu fabuły, każdy zdawał sobie z tego sprawę, ale koncept się bronił.
2501:  BFP - W tamtym poprzednim nie było fabuły, ale koncept się nie bronił.
2505:  BFP - A tutaj było sporo oryginalności dla mnie 6 na 10.
2508:  KMM - To jest jeden z moich ulubionych odcinków tej serii.
2513:  KMM - Przez ten twist, przez to, co tam się dzieje, przez to, że on jest tak doskonale niepasujący do całości serii, że mogę to rozpatrywać tylko i wyłącznie jako psztyczek w nos.
2523:  KMM - Chcieliście roboty, chcieliście seksu, chcieliście gore, no to macie, to macie coś.
2528:  KMM - Macie coś, które się przebrało za Mikołaja i daje dzieciakom prezenty.
2532:  BFP - Ani to, ani to, ani to.
2533:  KMM - I ja to kupuję, to znaczy kupuję kreskę tego, która była taka gdzieś dziecinna, kojarząca się z tymi pierniczkowymi domkami na święta i z ciufcią Coca-Coli coraz bliżej święta i tutaj nagle dostajesz jebudu, monstrum, cthulowate, które sobie wysysa mleczko ze szklaneczki, pożera ciastka i przeraża dzieciaki, później wyrzyguje im prezenty.
2560:  KMM - To wspaniałe absolutnie, aczkolwiek w stu procentach się zgadzam, że to nie pasowało do serii i tak, i tak miało być.
2566:  KMM - That's the point.
2567:  KMM - Do tego stopnia, że ja na przykład znowu czytałem, patrząc na pierwszy sezon, jak do tego zachęciłeś, czytam to bardzo podobnie jak historie alternatywne.
2579:  KMM - które nie są o robotach, jest tam mało śmierci, wyjąwszy oczywiście standardowy argument od Hitleru, już na pewno nie ma tam miłości, wyjąwszy jedną z historii alternatywnych.
2590:  KMM - No dobra, są tam te elementy, ale nie są w takim stopniu, ale to też jest odcinek, który bardzo odstaje od reszty.
2596:  KMM - Do tego stopnia odstaję od reszty, że ja w ogóle nie musiałbym go rozpatrywać jako część antologii.
2600:  KMM - Co mnie zdumiało natomiast, to to, że Netflix z uporem godnym lepszej sprawy we wszystkich trailerach wykorzystał najwięcej scen z tego właśnie odcinka Mikołajowego.
2609:  KMM - Absolutnie zdumiało i myślę, że to było z tego względu, że nie chcieli ujawnić czego innego.
2614:  BFP - A ja uważam, że to było świeże, bo pokazuje, że dzieciaki w ogóle, że dzieciaki będą bohaterami.
2621:  BFP - To jest nietypowe.
2622:  BFP - Ale to zacznij może teraz ty...
2626:  BFP - Jak byś ocenił w ogóle tamten... Mikuajowy?
2630:  KMM - Osiem.
2631:  KMM - Osiem.
2631:  KMM - To jest... Ja uwielbiam oryginalne historie i oryginalne koncepty fabularne i twisty narracyjne, ale jeszcze bardziej lubię, jak to właśnie gra z bawieniem się z settingami.
2645:  KMM - I ten cukierkowy setting skonfrontowany z cosiem
2650:  BFP - Na pewno byłoby to ciekawy weird fiction, ale uważam, że można było to zrobić jeszcze bardziej stylowo.
2654:  BFP - Albo jeszcze bardziej przerażająco, albo jeszcze bardziej niestandardowo, ale zostawmy to.
2659:  KMM - Ale ciekawe jest jedno.
2661:  KMM - Nie podobają ci się dwa odcinki, które nie reprezentują w ogóle nurtów science fiction.
2669:  BFP - Nie zgadzam się z tobą.
2670:  BFP - Nie zgadzam się z tobą dlatego, że odcinek, który będę najbardziej wychwalał, jest najbardziej odległy od science fiction i od Love, Death and Robots.
2678:  BFP - Więc będę tego bronił, będę tego bronił i ten odcinek też był jakby ani love, ani death, ani robots i jeszcze tak sprawdzam swoje notatki.
2687:  BFP - Więc nie, jakby...
2689:  BFP - To będzie, o tym powiemy sobie więcej już robiąc trochę podsumowanie, bo dla mnie ta seria musi zdecydować, w jaką stronę chce iść.
2696:  BFP - Czy chce być wierna hasłu Love, Death & Robots i wymagać tego od studiów, które tworzą na podstawie briefów, które dostają od nich, albo w cały świat, tylko wtedy miejmy jakiś przekaz, miejmy jakąś głębię i więcej stylu, ale spoko.
2712:  BFP - Life Hodge, przedostatni odcinek, powiedz coś więcej, bo ja tu będę miał trochę do powiedzenia.
2719:  KMM - Powiem tak, to jest najniżej oceniany przez wszystkich odcinek antologii części drugiej, przy czym nie zapominamy o jednej rzeczy.
2728:  KMM - Paolo Bacigalupi to jest twórca, który jest współczesny.
2733:  KMM - Harlan Ellison napisał to opowiadanie w 1956 roku.
2737:  KMM - Dla mnie to opowiadanie musi być postrzegane w perspektywie historycznej, to jest bardzo wierna adaptacja opowiadania, bez żadnej wizji artystycznej, która by je zmieniała, grała z konwencją i tak dalej.
2748:  KMM - I uważam, że gdyby zekranizować Lema, to byłoby to tak samo żenujące.
2753:  KMM - Znaczy, pustota opowiadań science fiction z lat 50-tych, 60-tych, pozdrowienia dla wszystkich ludzi, którzy odkrywają teraz w Polsce, że istnieje Lem, bo mamy rok Lema, z Instytutu Książki i z całej reszty.
2765:  KMM - Pustota tych opowiadań jest naprawdę niezależna od tego, czy mówimy o tak wielkim pisarzu, jakim był Harlan Ellison, czy Stanisław Lem, czy jakikolwiek inny pisarz, pisarzyna nawet science fiction z tamtego okresu.
2777:  KMM - To tak miało być, to znaczy to ma być prosta historia
2780:  KMM - w której jest wielka bitwa i nie interesuje nas wielka bitwa z wielkimi obcymi, tak jak to w tamtych latach, tylko interesuje nas, o teraz pokażemy perspektywę indywidualnego żołnierza i jego indywidualne zmagania w indywidualnym łuku fabularnym.
2795:  KMM - I ludzie, mam wrażenie, którzy czytali ten odcinek krytycznie, nie zobaczyli tego, że to jest po prostu
2803:  KMM - stary, zwietrzały koncept, który do dzisiaj nie ma miejsca.
2807:  KMM - Uważam, że jest wiele innych opowiadań Harla Ellisona, które można było wziąć na warsztat i one bardziej pasowałyby do tej współczesnej tonacji.
2815:  KMM - To jest trochę tak, jakby zrobić antologię świetnych opowiadań fantasy lat 2000-2010, po czym jebudu nagle walnąć fragment Hobbita.
2826:  KMM - Każdy odczyta ten fragment Hobbita jako out of place.
2829:  KMM - Dokładnie tak tutaj było.
2831:  KMM - Od strony wizualnej super, ja nie mam problemu z oglądaniem takich rzeczy, przy czym to jest guilty pleasure z gatunku obejrzyjmy jeszcze jedną animację warhammerowską po to, żeby zobaczyć jak Astartes strzelają do obcych Xenosów i ich niszczą.
2848:  KMM - W kategorii Guilty Pleasure super.
2850:  KMM - W kategorii Guilty Pleasure mogę sobie zastanawiać się nad obcymi rozgwiazdami, w których napierdzielali z rakiet i zachwycać się tym faktem i potem skontrastować sobie tą wielką bitwę z tymi indywidualnymi zmaganiami żołnierza z niedziałającym robotem.
2865:  KMM - Przeciętny odcinek, ale nie z winy animatorów.
2871:  BFP - No dla mnie ten odcinek jest katastrofalnie zły.
2874:  BFP - To jest najgorszy odcinek w historii Law of Death and Robots i to nie jest taki odcinek jak Tall Grass, o którym mówiliśmy, który no mogłoby go nie być, tak?
2884:  BFP - Dla mnie to jest odcinek, który ciągnie całą serię w dół.
2886:  BFP - Jest tak zły.
2888:  BFP - Nic w nim nie zagrało.
2892:  BFP - Ja nie rozumiem, co się dzieje na ekranie w dużej mierze.
2894:  BFP - To znaczy mam z jednej strony tą jedną oś, która pokazuje jakąś wielką bitwę i mam jego zmagającego się z robotem i walczącego o przeżycie i nie wiem, jak jedno ma się do drugiego.
2905:  BFP - Mam wrażenie, że ta bitwa zajmuje w ogóle czas cenny, który powinien być poświęcony na rozwinięcie tej postaci.
2911:  BFP - Mam postać, z którą nie jesteś w stanie w ogóle empatyzować.
2914:  BFP - Ja nie wiem, o co mu chodzi.
2915:  BFP - Ja nie wiem, co on tam robi.
2917:  BFP - Ja nie wiem, po co on to robi.
2919:  BFP - Zaraz znowu tradycyjnie podam ci jeden twist, który mógł to zmienić i naprawdę nabrałoby to jakiegoś sznytu.
2925:  BFP - Kompletnie dziwaczna struktura, brak tej empatii, brak motywacji i do tego klisza na kliszy.
2932:  BFP - Fabularnie to jest tak kliszowe, no walczy z robotem i musi znaleźć oryginalny sposób, czy musi wymyślić.
2939:  BFP - kreatywnie rozwiązać problem, czy wyjść z sytuacji, w której się znajduję.
2946:  BFP - Ale wszystko pozostałe... Mamy kolejną animację, która jest dla mnie w stylu, którego nie lubię, czyli ultrarealistyczny, fotorealistyczny.
2954:  BFP - Ale do tego cały ten świat jest taki, no nie wiem, to jest ten świat, nie wiem, Star Citizen albo Aliena, no wszystko jest takie, wszystko jest jak z fabrykatora elementów science fiction do filmów.
2964:  BFP - I nie ma tam niczego, co byłoby interesujące.
2967:  BFP - Naprawdę oglądałem i myślałem, what the fucking fuck, po co ja to oglądam, co tu się dzieje?
2971:  BFP - Nic tu nie ma ciekawego, nie było żadnego plot twistu, niczego ciekawego.
