WIEDŹMIN sezon 2. Recenzja bez litości i analiza bez filtra
🔗 https://www.youtube.com/watch?v=KoZgOqNtxfY
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - No więc, Wiesiek Wiesiek, co z Ciebie wyrośnie?
1491:  KMM - Ja widzę teatrzyk Zielona Geś, a nie widzę serialu fantasy, który miał być wiarygodny i realistyczny.
1497:  KMM - I to jest główny problem, bo ludzie mówią, nie, Krzysztof, przecież fantasy to jest wymyślone, co ci to przeszkadza?
1504:  KMM - Ale cała rzecz na tym polega, że przez to, że to jest wymyślone, ja chcę, żeby to było realistyczne i to się jedno z drugim nie kłóci.
1510:  KMM - Krzysztof skończył.
1513:  BFP - Ja mu przerwałem właśnie.
1514:  BFP - A ty Grzegorz, chciałeś, żeby coś powiedział?
1516:  GW - Tak, tak, właśnie bo tutaj strasznie mnie w ogóle gryzie, ale to no niestety, to jest też efekt tego, dla jakiego odbiorcy to jest zrobione, to jest tragiczne uzachodowienie tej całej prozy, gdzie właśnie spłyca się niektóre wątki,
1532:  GW - To już pomijając, że tam pinkwashing i tak dalej, no to to już jest inna sprawa, ale takie spłycenie niektórych motywów to jest jedno, drugie wsadzenie takich motywów do całości, które po prostu są znane amerykańskiemu odbiorcy, żeby się nie czuł zagubiony i to jest kompletnie...
1552:  GW - bez sensu, bo ten świat jest na tyle bogaty i te linie fabularne są na tyle rozbudowane, że tam naprawdę nie trzeba było niczego ruszać, a tam wsadzili takie motywy po prostu, żeby odbiorca się nie czuł właśnie zagubiony, który w ogóle prozę nie zna, tudzież nie potrafi myśleć dychotomicznie, że wszystko jest czarne albo białe, tylko właśnie brakuje tego cieni szarości, które są istotą tej całej prozy Sapkowskiego.
1578:  GW - Tylko nie wiem, na ile teraz możemy spoilerować.
1580:  BFP - Tak, zaraz, ja myślę, że zaraz wejdziemy totalnie w sferę spoilerów, ale to ja jeszcze może dodam taką jedną rzecz, że a propos tego, co mówił Artur i w zasadzie wszyscy mówiliście, to ja bym powiedział, że Lauren zadbała o to showrunnerka, żeby ten serial miał bardzo dużo contentu, ale bardzo niewiele substancji.
1598:  BFP - I powiedziałem, że to przede wszystkim widać po postaciach.
1601:  BFP - One są dość płytkie, nie mają tego zniuansowania, nie mają tej głębi, która była w książkach czy nawet w grach.
1606:  BFP - To też cały czas mówiłem ta generyczność, specyficzność, ale też jakoś bardzo niewłaściwie rozumiane są konteksty polityczno-społeczne.
1616:  BFP - Wszystkie wątki polityczne mnie bardzo męczą w tym serialu.
1619:  BFP - One mnie nie pociągają tak jak pociągały mnie...
1623:  BFP - Dajmy nawet na to w średnim serialu, jakim jest Fundacja.
1627:  BFP - Serial Fundacja jest pewną trawystacją Izalka Asimowa, ale cały ten wątek, to Krzysztof mi powiedział niedawno, którego nie było w książce, czyli ten wątek genetycznej dynastii Imperatora, Empire, który był grany przez Lee Pace'a m.in., był fantastyczny, mnie bardzo wciągał.
1644:  BFP - Te wszystkie wątki religijno-polityczne były ciekawe.
1647:  BFP - Tutaj ja się męczę, jak ja widzę jakieś wątki polityczne, jak widzę, że się pojawiają królowie, czy ta kapituła magów, kurde, no męczę się strasznie.
1654:  BFP - A jednocześnie nie ma takich wątków, które były bardzo obecne w prozie Sapkowskiego, że elfy są w jakiś sposób rzeczywiście dyskryminowane, mutanci są dyskryminowani i tu dochodzę do jednej rzeczy, która mnie szczególnie ubodła w tym serialu i...
1669:  BFP - wywołało we mnie uczucie, które nie towarzyszyło mi nigdy wcześniej, kiedy oglądałem seriale Netflixa, bardzo często widzę ludzi, którzy to krytykują.
1676:  BFP - Pomijając już to, co powiedzieliście, że ten serial to jest festiwal chujowych soczewek, to absolutnie zgadzam się z tym i po prostu to, jak się ogląda te soczewki, w sensie spójrzcie na mnie, spójrzcie na moje oczy.
1686:  BFP - Ja jestem tym gościem, który może powiedzieć, że jeżeli ja się czuję niekomfortowo, kiedy widzę ich oczy, to znaczy, że to jest naprawdę uncanny valley.
1693:  BFP - Ale jeżeli chodzi o właśnie tą kwestię dyskryminacji, jakiejś głębi
1699:  BFP - Ja wiem, że Netflix stosuje w praktyce i chwała mu za to coś, co się nazywa diversity i inkluzywność, różnorodność i inkluzywność.
1708:  BFP - Ale na Boga Świętego z Faroga i Baldura, jak ja widzę, że się wchodzi do Carmoren i jest tam dwóch czarnych wiedźminów z dredami i jeden Azjata i żaden z nich nie ma kwestii dialogowej jednej w tym serialu.
1724:  BFP - I widzę tak samo zebranie królów i widzę jednego czarnego króla z dreadami, który też nie ma żadnej kwestii dialogowej, nawet nie wiem jak ma na imię.
1732:  BFP - To chcę powiedzieć, to jest trawestacja idei inkluzywności.
1735:  BFP - To jest potraktowanie mniejszościowych aktorów, czy aktorów, którzy wywodzą się z mniejszości etnicznych, jak rekwizyty.
1744:  BFP - Ja wolałbym, dajcie mi jedną dobrą postać, która będzie wyrazista.
1749:  BFP - Ale nie wrzucajcie takich aktorów rekwizytów, bo to nie jest diversity, to jest checklicity.
1754:  BFP - To jest sytuacja, w której Loren chodzi po planie i mówi, czarny jest z redami?
1758:  BFP - Dobra, jest.
1759:  BFP - Jest azjata?
1759:  BFP - No, ale nie odzywa się.
1760:  BFP - Nie, nie, bo tu nie masz kwestii dialogowych.
1762:  BFP - Dobrze, odezwał się, to wytnicie mu ten fragment.
1765:  BFP - I chodzi po prostu z miejsca na miejsce i upewnia się, że jest to diversity.
1768:  BFP - I jeszcze to diversity, które jest całkowicie strawestowane, nijak się nie klei z logiką tego świata.
1775:  BFP - Ja o tym rozmawiałem już z Krzysztofem.
1776:  BFP - Dlaczego ci ludzie są w kermorę?
1777:  BFP - Znaczy, wyobraźcie sobie sytuację, w której w grze o tron jest niańka, która jest na przykład Azjatką wśród Starków.
1784:  BFP - Albo na przykład Lannisterowie mają takiego kuzyna, Deschamps się nazywa, Madred jest czarnoskóry.
1790:  BFP - No nie, tam są czarnoskóre postaci o śniadej karnacji, ale nie w tym zakątku geograficznym.
1798:  BFP - Gdzie indziej?
1798:  BFP - Bo to musi być jakaś logika.
1800:  AK - Dziękuję, dziękuję Filipie, że to podniosłeś.
1802:  AK - Jest co, bo ja np.
1803:  AK - o tym już nie chciałem pisać.
1805:  AK - Nie mogłem znaleźć odpowiedniego podejścia,
1808:  AK - Ja powiem inaczej, mnie to wkurwia, żeby nie wszedł na starego boomera slash x. Rozumiem kompletnie i jestem za tym, żeby inkluzywność w literaturze i sztuce, nie to, że ona była, bo to nie ode mnie zależy, ale chcę, że ponieważ są pewne grupy, pewne osoby, które były do tej pory wykluczane ze względu na kolor skóry, zainteresowania związane z seksualnością itd.
1836:  AK - Ale właśnie to, co powiedziałeś, znaczy
1838:  AK - Próbowałem sobie to wyobrazić i próbowałem sobie to przełożyć na jakieś realia średniowieczne.
1842:  AK - Oczywiście można powiedzieć, że fantasy to jest wymyślona kraina Never Never Land i nie możemy... W krainie fantasy ktoś może mieć halabardę i spać w batystowych majtkach, to jest postmodernizm, halo.
1853:  AK - Natomiast trzymajmy się jakichkolwiek faktów, tzn.
1856:  AK - Były jakieś getta, w których żyli ludzie o innym korlorze skóry, wyznaniu, ludzie, którzy przyjeżdżali np.
1862:  AK - do Europy, nie wiem, właśnie z Maroka, czy byli niewolnikami, ale to, co się pokazuje i to jest właśnie ten trend, który niestety jest bardzo szeroko eksploatowany również w RPGach, bo ja jestem graczem i cały czas próbuję odnaleźć się w tym nowym świecie nazwą właśnie tych RPGów 2.0, to powiem Wam, że to, co jest teraz przez chociażby Wizard of the Coast, czyli największego
1884:  AK - producenta największego też systemu, najbardziej znanego systemu, którym jest Dungeon Dragons, ja się w tym nie odnajduję, dlatego że ja czuję się na wstępie, nie mogę grać w świecie, który jest de facto, ma jakieś logiczne założenie.
1901:  AK - Ja muszę od razu mieć tę właśnie narzuconą formę,
1905:  AK - która być może normalnie bym się zgodził, bo to jest zgodne z moją, moim poglądem, moją wizją świata.
1910:  AK - Natomiast jeżeli ja oglądam seria właśnie, w którym nie wiadomo, ten kontynent dla mnie, ja jednak pamiętam, jak gdyby, jak tak Sapkowski go tworzył, książki
1920:  AK - To jednak jest jakieś nawiązanie do Europy, ale nie w tym sensie, że to jest jeden do jednego przełożenie Europa, a tam północ to jest Skandynawia, a południe to będzie Afryka.
1929:  AK - Natomiast jakaś logiczność musi z tego wynikać.
1931:  AK - Jeżeli ludzie czarnoskórzy mieszkający, dajmy na to, bardziej na południu, oni muszą jakoś przemieszczać się, ale oni na pewno nie przyjeżdżają tak samo jak każda inna grupa kupców.
1942:  AK - W związku z tym logiczność tego,
1943:  AK - No nie może być taka, że nagle mamy, tak jak w obecnym świecie, mamy Hindusów, którzy przyjeżdżają do Londynu i są w City zatrudnieni jako świetni informatycy albo stają na czele ogromnych amerykańskich korporacji.
1955:  AK - Na Boga, to jest właśnie to, co mnie uderza w tych produkcjach, które są, stawiają sobie, tak jak powiedziałeś, za cel właśnie, gdyby takie bardzo powiedziałbym wręcz nachalne pokazywanie tej inkluzywności, nawet za cenę
1968:  AK - logiki tego świata.
1970:  AK - Mi to oddaje, znaczy patrzę na to, to samo było w Ways of Times, tylko że tam przynajmniej ktoś mi powiedział, Artur, to jest w ogóle, ktoś mi w ogóle wyjaśnił całą, powiedzmy, ten bagaż, który stoi za tą literaturą.
1982:  AK - No ja zrozumiałem, okej, nie mam po co się rzucać, bo oni faktycznie sobie trochę inaczej wymyślili.
1988:  AK - Absolutnie nie robi mi to nic, że są ciemne elfy, czarnoskóre elfy.
1992:  AK - Absolutnie mam to gdzieś, że tam nie wiem.
1994:  AK - Ktoś sobie driady wymyślił też zupełnie inaczej.
1996:  AK - Natomiast nie ma w tym zupełnie logiczności.
1999:  AK - Nie widzę tam, żeby ktoś miał przemyślany system kast, które tam są, religii.
2004:  AK - Słuchajcie, jaka religia panuje na kontynencie?
2006:  AK - Ktoś może powiedzieć, bo ja do tej pory nie miałem żadnego, znaczy nie mam żadnej rekolekcji takiej rozmowy.
2011:  AK - Ktoś tam coś mówi, nawet nie ma, co było bardzo, bardzo wyraźnie powiedziane, bo Sapkowski jest antyklerykałem.
2018:  AK - Bardzo duża ilość postaci w świecie Wiedźmina, szczególnie tych, którzy byli kapłanami, byli kretynami, idiotami, którzy mieli bardzo duże ambicje polityczne, ale też przy okazji byli posiadający moc od Boga i to było wprost uzależnione od tego, z czego Sapkowski wyróżniczył RPGów.
2036:  AK - kapłani czerpią moc od Boga modląc się, a magic userzy trzymają te swoje te moce, które gdzieś tam sobie wyjmują z kapelusza.
2043:  AK - I to też w tej literaturze wiedźmińskiej szeroko rozumianej było widoczne.
2047:  AK - Ja mam mętli, bo oglądam tak naprawdę taki tygiel kulturowy, do którego twórcy serialu chcieliby wrzucić wszystko, co jest najlepsze w cudzysłowiu i powinno podobać się, bo osoba na wózku, osoba niepełnosprawna, osoba o innym kolorze skóry,
2061:  AK - Pewnie za chwilę wjedziemy w kolejnych sezonach też kwestie męsko-damskie lub też właśnie LGBT.
2067:  AK - Natomiast ja czuję, że to jest taki temat zastępczy, taki plasterek nałożony na to, żeby się nikt nie mógł przyczepić, że to nie jest nowoczesny serial, który posiada kwestie, które są niezmiernie ważne, bo właśnie tutaj wymieniamy to jednym tchem.
2080:  AK - Dzięki Filip za poruszanie tego, ja powiem od razu.
2082:  AK - Strasznie mnie to mierzi, ale może dlatego, że jestem białym mężczyzną mieszkającym w Polsce, który nie jest tak bardzo wystawiony na te trendy.
2091:  AK - Natomiast, no kurde, no nie kupuję tego.
2094:  AK - Między innymi też ten powód dzieje się strasznie
2097:  BFP - To ja tylko dobiję do końca ten ostatni gwóźdź do trumny w tej kwestii inkluzywności, diversity, który uważam za strawestowany w tym serialu, bo jeżeli o aktorów mniejszościowych umieszcza się w scenie wyłącznie jako rekwizyt, ale nie myśli się w ogóle o tym, żeby nadać im chociaż imię, to jest to moim zdaniem trawestacja tej idei.
2114:  BFP - Ale w grze o tron nikt się nie czepiał o kwestie inkluzywności czy różnorodności, mimo że na dworze Starków na północy nie było żadnego śniadego bohatera, tak?
2124:  BFP - Wśród Lannisterów także był od tego zupełnie inny kontynent, ale ten gwóźdź, który chce dobić, jest taki moment, w którym w jednym z przedostatnich odcinków, chyba przedostatnim odcinku, jeden z bohaterów, elf, mówi do elfki, jesteśmy dyskryminowani ze względu na kształt naszych uszu.
2140:  BFP - A skóry nie? !
2142:  BFP - A tego, że macie dredy nie?
2144:  BFP - Jakby wy chcecie sprzedać mi świat, w którym ludzie się dyskryminują ze względu na kształt uszu, ale nie ma żadnego problemu, jeżeli chodzi o kolor skóry.
2151:  BFP - No kto by pomyślał, kto by pomyślał, może pomyślałby na przykład Franz de Waal, który jest prymatologiem i mówi, że zwierzęta są...
2161:  BFP - Jakby człowiek jest jedynym gatunkiem na Ziemi, który jest w stanie dyskryminować się ze względu na takie rzeczy jak kolor skóry i tak dalej.
2168:  BFP - Goryle, szympansy mogą mieć różne umaszczenie, ale nie zwracają na to uwagi, ale ludzie zwracają, bo szukają tych podziałów, żeby budować pewną tożsamość społeczną, społecznościową i prowadzić wojnę z innymi ze względu na kolor skóry.
2180:  BFP - Więc jeżeli tworzy się świat, który jest kopią czy jakimś lustrzanym odbiciem świata średniowiecza w Europie na przykład i ma się świadomość jakichś procesów historycznych, jakichś procesów migracyjnych, kształtowania się narodów, kształtowania się ludów, wędrówek ludów, no to proszę, no nie sprzedawajcie mi takiego, no czegoś tak naiwnego, że ludzie przyznajemy, dyskryminują innych ze względu na kształt uszu.
2203:  BFP - Ale kolor skóry to już nie ma żadnego znaczenia, wymieszają się jak tylko się da.
2207:  BFP - Jest to po prostu tanie, a jak już powiedziałem, także moim zdaniem krzywdzące dla aktorów, którzy wywodzą się z mniejszości rasowych, z mniejszości etnicznych i mają szansę błysnąć, ale umieszcza się ich tylko po to, żeby na czekliście umieścić, tak mamy takiego bohatera w tej scenie.
2222:  BFP - Trochę to jest moim zdaniem wypaczenie tej idei.
2225:  BFP - Wchodzimy w sferę spoilerów.
2227:  BFP - Zanim, zanim.
2229:  KMM - Zanim wejdziemy w strefę spoilerów, domknę wątek diversity.
2233:  KMM - Przepraszam najmocniej, co to jest za serial, który dba o diversity, w którym mamy niskorosłych karłów grających krasnoludy?
2241:  KMM - Tak, tak, tak.
2243:  KMM - Przecież to jest absurd, to jest autosatyra.
2246:  KMM - Wyobraźcie sobie, że Gimli jest grany przez Petera Dinklage'a, to jest świetny aktor.
2252:  KMM - Ale on nie pasuje, fizjonomia osoby niskorosłej nie pasuje do wyglądu krasnoludów, które są rosłe, umięśnione, tłuste bardzo często, mają wielką krzaczastą brodę.
2265:  KMM - A tutaj, przepraszam, że tak powiem, bo to dopiero zabrzmi rasistowsko, ale te krasnoludy wyglądają jak gnomy.
2271:  KMM - I no niestety...
2272:  KMM - To jest ukonstytuowany, uschematyzowany wygląd, który jest już na przestrzeni wielu, wielu narracji fantasy i nic z tym nie jesteśmy w stanie poradzić.
2281:  KMM - Natomiast to, o czym mówicie, że średniowiecze ma znaczenie, oczywiście, że ma znaczenie, ponieważ każda fantasy ma swoje pole odniesienia i z czegoś czerpie.
2288:  KMM - Nie bez powodu mamy fantasy, które czerpie z XIX wieku i taką fantasy, która czerpie z XIII wieku, ale i w jednym i drugim przypadku mamy wykształcone jakieś realia tego świata i w pełni się podpisuje pod tym, co mówicie.
2298:  KMM - Proszę bardzo, pokażmy Zerikanie, niech tam nie będzie jednego białego człowieka.
2302:  KMM - Spójrzmy na południe, Nilfgaard to samo.
2304:  KMM - Dlaczego Nilfgaard nie jest tyglem kulturowym?
2306:  KMM - Przecież na bogów, na Melitele, niewspomnianą ani razu w tym serialu, oprócz nazwy świątyni i proroka Lebiodę, niewspomnianego absolutnie ani razu, przecież Nilfgaard jest tyglem kulturowym, nie królestwa północy.
2318:  KMM - I to nie w Nilfgaardzie możemy dać.
2320:  KMM - Azjatów, Hindusów, wszystkich możemy.
2323:  KMM - Przepraszam, chcemy wnieść Wiedźminów Czarnoskórych.
2325:  KMM - Szkoła Mantykory, Szkoła Żmij.
2328:  KMM - Są inne szkoły wiedźmińskie.
2329:  KMM - Nie Kermoren, który jest w północnym zimowym Kedwen, żeby tam musieli migrować Hindusi i tak dalej.
2335:  KMM - Musieliby mieć linie lotnicze.
2336:  KMM - Ale ja nie przepraszam, są portale, więc teoretycznie każdy może powiedzieć, że sobie wskakują jak w portal.
2341:  BFP - Raz na miesiąc wychodzi jakiś mniejszościowy Wiedźmin w portalu w Kermorenie.
2345:  KMM - Więc po prostu tam jest rozkład jazdy portali i wiemy, że portal odjeżdża od 13.50, 13.45 i tak dalej, można sobie wskoczyć do Kermoren.
2353:  KMM - Dobra, koniec rantu w temacie diversity.
2355:  BFP - A propos tych krasnoludów, no ja powiem tak, no póki krasnolud mówi z akcentem szkockim, to ja nie mam problemu, tak?
2361:  BFP - Więc tutaj odhaczyli to, więc ja w ogóle nie zauważyłem, co jest nie tak.
2365:  BFP - póki mają szkocki akcent.
2367:  AK - World Warcraft, wiecznie żywy, pamiętam, chyba wszyscy na tym wyrośliśmy, że dobra postać krasnoluda musi właśnie mówić z perfekcyjnym szkockim akcentem, wtedy to jest prawdziwy krasnolud.
2378:  AK - Zrobiono to samo w Tolkienie, oczywiście to nie był szkocki, ale taki bardzo wyrazisty akcent.
2383:  AK - I potem próbowano od tego odejść.
2385:  AK - Natomiast słuchajcie, znowu wrócę.
2386:  AK - Marek Brodski zrobił niskorosłych statystów, którzy grali właśnie krasnoludów.
2393:  AK - I to wtedy już było bardzo cringe'owe.
2395:  AK - Natomiast no właśnie, dlatego myślę, że Peter Jackson, kiedy przygotowywał się do zekranizowania Tolkiena, zrobił parę prób i wyszło mu na to, że jednak będzie robił
2405:  AK - różnicowanie pod kątem wzrostu i będą te duże, duże jakieś przestrzenie, gdzie ci aktorzy mogą grać na innych planach, żeby oni po prostu wyglądali, mieli normalną anatomię, bo pamiętajmy jedną rzecz, krasnoludy to były też bardzo bitne, bitny ludek.
2419:  AK - Ja nie mam bladego pojęcia, jak ten Zarpen Zygrym w ekranizacji Netflixa mógł dobrze siepać toporem, bo on naprawdę, umówmy się, no
2427:  AK - żeby nie brnąć dalej.
2429:  AK - Źle dobrani aktorzy, którzy mieli coś sugerować, mieli coś oznaczyć, mieli coś symbolizować, zawalili to kompletnie.
2437:  AK - I myślę, że znowu nie wiem, czyja to jest wina, no bo kurde, jednak płaci się, ten Netflix wyciągnął dużą kapuchę, rzucił na stół, powiedział zróbcie pierwszy sezon.
2447:  AK - To nie kosztowało 2 miliony ani pewnie 10, tylko więcej, a w drugim sezonie pewnie jeszcze bardziej poszerzyli tą sakiewkę i tam rzucili parę grociszów więcej.
2457:  AK - Więc ja kompletnie nie rozumiem, kto mógł spieprzyć takim bardzo wstępnym, bo to się wiecie, na poziomie look and feel robi, jakieś moodboardy itd.
2466:  AK - Każdy z nas coś takiego robił kreatywnego, w związku z tym to u zarania takiego serialu, takich założeń się takie błędy może popełnić.
2474:  AK - Więc na Boga jedynego, na właśnie na brodę świętego Lebiody.
2477:  AK - Co tam musiało zaś?
2479:  AK - Ja niestety mam wrażenie, że to wszystko jest kwestią złych decyzji,
2482:  AK - Pani Lauren i będę niestety ją kopał po kostkach, bo wydaje mi się, że to jest jedyna osoba z tego, co widzę w mediach, wypowiadająca się, biorąca na siebie odpowiedzialność za całość, głównie oczywiście za sukces.
2495:  AK - Jak się zobaczy jej Twittera, to tam gdyby wiadomo, że są lajki, lajeczki i ona szuka poklasku.
2501:  AK - Ale moim zdaniem ona się na tym przejedzie, bo zacznie być coraz bardziej pewna tego, że jest lepsza niż Sapkowski i zacznie pisać te dyrdymałe
2508:  AK - pójdzie w ten Origin Blood, który będzie moim zdaniem większą klęską niż Marvelowscy ci tam internalsi czy jacyś inni eternalsi i to zamienić po prostu w parodię.
2520:  AK - To już miejscami Nivellen dla mnie bolało mi strasznie.
2525:  AK - Miałem ochotę trzasnąć, dlatego że kupiłem tylko nowy telewizor, zatem tego nie zrobiłem, ale to była parodia ziarna prawdy, była parodia.
2533:  AK - Ten Nivellen to był jakiś
2535:  AK - kuglarz przebrany i ja w ogóle nie czułem tego bardzo dużego pokładu emocji towarzyszącej tej opowieści, tej postmodernistycznej, pięknej opowieści, bo to była piękna i bestia przekuta przez Sapkowskiego.
2547:  AK - Kurde, to była jakaś parodia.
2549:  AK - Bruxa była dobrze CGI-owo zrobiona, that's it.
2552:  AK - Reszta była jakimś potwornym, dzikim żartem, nie wiem, z siebie samych tak naprawdę.
2557:  BFP - Ale to jest właśnie to, co mnie nam myśli.
2558:  GW - A i tak to była najlepsza historia z całego serialu, to trzeba już z tego sezonu.
2562:  BFP - Także, no...
2564:  BFP - Ale to jest właśnie to, co miałem na myśli, kiedy mówiłem, że ten serial nie zasługuje na emocje, które próbuje ze mnie wykrzesać.
2570:  BFP - To powinna być historia, cały odcinek powinien być poświęcony tej historii.
2574:  BFP - Nie był cały odcinek temu poświęcony, bo cały czas były inne wątki.
2577:  BFP - Tam Triss gdzieś była.
2579:  BFP - W ogóle ja się wyłączałem natychmiast, jak coś się pojawiało z elfami i Triss.
2582:  BFP - Na początku, jak one gdzieś tam szli, potem i tam elfy złapały.
2586:  BFP - Ja w ogóle nie wiedziałem, co tam się dzieje.
2587:  BFP - I ta historia z Nivellenem
2590:  BFP - To naprawdę mogło być coś intrygującego, gdyby trochę rozbudować te postaci, a nie gdyby było takie klepanie się po plecach, siadamy, powspominamy stare dobre czasy, napijemy się trochę miodu i rozwiążemy tę historię w tym jednym odcinku.
2608:  BFP - Brakuje tutaj jakiegoś...
2610:  BFP - Zaangażowanie emocjonalnego dla widza, jakiegoś nakreślenia wyrazistego tej postaci, zbudowanie jakiejś dramaturgii, jakiegoś konfliktu, stawki.
2619:  BFP - Ta końcówka, gdzie Nivellen... To jest właśnie taki przykład próby manipulacji naszymi uczuciami, kiedy Nivellen mówi...
2626:  BFP - Bo ja zgwałciłem tą zakonnicę czy tam kapłankę, tak?
2631:  BFP - I nic nie poczułem, jak on to powiedział.
2633:  BFP - Kompletnie nic.
2634:  BFP - W ogóle latała mi ta postać.
2635:  BFP - Pojawiła się na moment, wydawała się trochę taka karykaturalna, taki wujek bobo zadowolony, który częstuje miodem i ma do wspominania parę historii.
2644:  BFP - Ma świadomość tego jak wygląda, no good for him i niby zrzuca bombę, która wiecie w dobrze napisanym serialu i dobrze zagranym serialu byłyby tropy już wcześniej, coś by wskazywało, że jest coś co go męczy albo coś, że on zmienia ten temat za każdym razem albo...
2660:  BFP - I Geralt próbuje dowiedzieć, co się stało, a on odcina go za każdym razem od tej historii, dopiero na koniec dochodzi do takiego wyznania i rozsypania emocjonalnego.
2668:  BFP - I to byłoby potężne, ale tak się nie dzieje.
2671:  BFP - I to jest jeden z wielu przykładów, kiedy ten serial próbuje manipulować naszymi emocjami, a nie potrafi sobie na nie zasłużyć.
2686:  AK - Już weszliśmy w spoilery.
2688:  AK - Tak.
2689:  AK - Czemu miała służyć ta scena, bo ja nie rozumiem, bo wszyscy wiemy, że Cili przeżyje.
2693:  AK - W związku z tym po co, znaczy ona miała zginąć w tym odcinku, odrodzić się?
2698:  AK - Fajn, to pokażcie to, pokażcie, że wychodzi, ale facet podchodzi, wbija jej, po czym ona stosuje językiem przepisów w RPG regenerację i mówi uuuu, teraz to cię będę tam jeszcze wyśleć jednego bazyliszka.
2710:  AK - Znaczy na moim Facebooku rozgarzała jakaś potworna dyskusja pod tytułem, bo ja napisałem, że ci Wiedźmini, którzy tam byli, którzy walczyli, którzy byli w ogóle tłem po to, żeby mogli zginąć w tej jednej scenie, bo oni nie mieli imion, nawet się przemykali, był Lambert Eskel, ktoś tam jeszcze.
2726:  BFP - Ze cztery cechy wiedźmińskie zginęły podczas tej walki.
2729:  AK - Prawda?
2729:  AK - I nagle wychodzą, uwaga, dwa rosłe bazyliszki, bo oni ich rozpoznają.
2733:  AK - Nawet sobie odtworzyłem przed dzisiejszą rozmową.
2736:  AK - Lambert mówi...
2737:  AK - No, to jest jakiś rodzaj Bazyliszka, czyli Wiedźmin wie, jaki to jest potwór.
2742:  AK - I co oni robią?
2743:  AK - Dają się pożreć, jak pacynki latają potem chwytani za głowę, zero znaków, oprócz chwytania, na początku zastosowali jeden znak, chyba art czy tam jakiś ochronny irden chyba przed tymi kawałkami tego monolitu, po czym walczyli jak pierwszopoziomowi jacyś patałachowie,
2762:  AK - Nawet Wiedźmi za bardzo w tej myli nie uczestniczył, bo on stał przy tej Ciri.
2765:  AK - Patrzyłem na to i myślałem sobie, chryste Panie, jak można zmarnować Wezzini, który ma brzuchol, wygląda jak pan od WF-u po 60.
2773:  AK - Absolutnie nie wygląda mi na jakiegoś gościa, który by mógł komukolwiek zagrozić.
2778:  AK - I on jest takim szefunciem.
2781:  AK - Potem traci ten eliksir z jej krwią, też taką robi minę na poziomie, to wszystko stracone.
2786:  AK - Kiedy ona się pojawia, no znowu może powiedzieć, hej, utoczę ci trochę krwi, będę miał na te swoje eksperymenty, ale nie, to się nie pojawia.
2792:  AK - Kurde, znaczy scena z niwelem.
2794:  KMM - W ogóle, w ogóle, w ogóle, w ogóle, moment, stop.
2796:  GW - Postawa Wizimira, tak, względem Siri.
2799:  GW - Dla mnie to jest to wywrócenie, bo ja tu chcę oddać głos Krzysztofowi, bo wiem, że tutaj ma najwięcej do powiedzenia i najwięcej do potyrania, także odpalimy za chwilę Krzysztofa, ale właśnie to jest to, że
2812:  GW - Ile, ilość rzeczy jakie tam pozmieniali, jeżeli chodzi o system wartości i postawy postaci, które są istotne dla fabuły, też dla całego cyklu książkowego, no jak dla mnie to jest, to jest nie do pomyślenia.
2827:  GW - Już spoilery możemy, tak?
2828:  GW - No bo już zaczęliśmy.
2828:  GW - Tak, jedziemy spoilery na grubo.
2830:  GW - No właśnie.
2831:  GW - I jak dla mnie to, to, to mnie strasznie gniotło, że Kaer Morhen, które było taką niezdobytą twierdzą, którą tam
2839:  GW - setki żyć było poświęcone po to, żeby w ogóle wedrzeć się do środka i jakimś cudem zrobili w serialu zajezdnię kolejową po prostu.
2847:  GW - No bo nagle monolit jest jakiś w środku, który w ogóle jest konceptem z Bani tak samo.
2854:  GW - Prostytutki przyjeżdżają, seks wielkim kermorem.
2857:  GW - Co to ma być?
2858:  KMM - Do tajnej twierdzy.
2859:  KMM - Do tajnej twierdzy przyjeżdżają na orgietkę prostytutki, a jakie to mądre!
2863:  BFP - Batman tam trenował, Batman tam wyrobił swoje umiejętności, wrócił do Gotham City, a tutaj wszyscy przyjeżdżają, ja już oddaję głos Krzysztofowi, ale to co powiedziałeś Artur, powinnaś jeszcze jedną zajebistą rzecz a propos tych Wiedźminów Kermoren, przecież oni jeszcze lecą wszyscy do kredensu z eliksirami i biorą wszystko co popadnie, biorą i wszystkie te eliksiry mają taki sam efekt, wszystkie.
2883:  BFP - Release the Kraken!
2901:  KMM - To rzeczywiście, zaczniemy od wysokiego C. Jak się adaptuje tego rodzaju rzeczy, o czym pisze Lisbeth Klastrup i Suzana Toska, powiedział Krzysztof Argumentum ad Doctorum, uderza.
2912:  KMM - Jest mytos, topos i etos.
2914:  KMM - Mytos to jest legendarium lore, mówi na kanale Nerdrotic w co drugim swoim odcinku prowadzący kanał Nerdrotic, nie pamiętam jak się nazywa.
2922:  KMM - Nerdwriter.
2924:  KMM - The fucking lore.
2926:  KMM - To jest jedyna rzecz, którą należy zrobić.
2928:  KMM - Nie trzeba więcej.
2929:  KMM - Napisali za ciebie fabułę, skorzystaj.
2931:  KMM - Jeżeli czegoś nie ma, wypełnij dziury.
2934:  KMM - To jest proste.
2935:  KMM - Wystarczy wypełnić luki, tak jak Fanny też wypełnia.
