Czy Cyberpunk 2077 to cyberprank? Krzysztof Maj wyjaśnia, co poszło nie tak
🔗 https://www.youtube.com/watch?v=AwEdSEVnkzY
MH (Mirosław Haładyj, Głos24)
KMM (Krzysztof M. Maj)

0:  KMM - Muzyka Muzyka
1649:  KMM - I to jest bardzo poważny problem w grze, która stawia tego rodzaju trudne pytania, bo naprawdę wielowątkowość narracji, jakkolwiek nie emocjonująca w wypadku gier wideo, to pokazał chociażby film Bandersnatch Netflixa, gdzie ludzie nie mając nic wspólnego z grami wideo zobaczyli, że
1666:  KMM - jak te rozgałęzienia, drobne wybory przekładają się na liczbę fabuł, które możemy finalnie zapoznać, bo gra wideo nigdy nie ma tak złożona jednej fabuły, ma ich kilkanaście, kilkaset czasem.
1676:  KMM - Oczywiście z postępiem geometrycznym nam rośnie.
1679:  KMM - Ale to nie jest wszystko.
1680:  KMM - To wrażenie swobody i otwartości nie buduje się tylko i wyłącznie wielowątkowością, bo inaczej powiedzielibyśmy, że w poszukiwaniu straconego czasu Marcela Prousta jest wyjściem interaktywnym z otwartym światem.
1691:  KMM - Nie jest.
1693:  KMM - Tutaj to wrażenie otwartości powinno wyrażać się w tym, że świat reaguje na to, co my robimy i świat stwarza nam możliwość chociażby właśnie przeżycia wszystkich porażek, trudów i wręcz przeciwnie sukcesów i radości związanych z sukcesem awansu klasowego lub jego porażką.
1712:  KMM - Bardzo prostym przykładem takiego algorytmu zliczającego różne decyzje, które mamy jest w grze sprzed 10 lat, to znaczy ponad, to znaczy Skyrimie, gdzie w momencie, gdy zostajemy magiem, arcymagiem zimowej twierdzy, w paru miejscach gry zwraca się do nas w ten sposób z jakimś użyciem tytulatury i jakąś dosą szacunku powiedzmy paru bohaterów.
1732:  KMM - I nawet jest taki moment fabularny, gdzie to ma znaczenie decydujące.
1735:  KMM - Natomiast fakt, że ja wybrałem ścieżkę korporacjusza w Cyberpunku 2077 wpłynął w zasadzie tylko i wyłącznie na pewne smaczki w liniach dialogowych, które się pojawiały.
1745:  KMM - To jest za mało.
1746:  KMM - Więc tutaj myślę, że ten sukces reprezentacji nurtu cyberpunkowego trzeba mierzyć właśnie dwutorowo.
1753:  KMM - Po stronie estetycznej, wizualnej, muzycznej w pełni udany.
1756:  KMM - Po stronie konstrukcji świata, zwłaszcza otwartego, moim zdaniem nieudany.
1760:  KMM - Przynajmniej na razie.
1763:  S00 - Przywołałem wcześniej Wiedźminę na trójkę, ponieważ to dzięki niemu CD Projekt Red, tak jak powiedzieliśmy, stał się światową marką.
1771:  S00 - Zresztą nie da się uciec od tego porównania tych dwóch tytułów.
1777:  S00 - Nazwijmy to porównania na metapoziomie, to znaczy właśnie światotwórstwie, o którym Pan mówił.
1784:  S00 - To, z czym mieliśmy do czynienia w przypadku gry powstałej na podstawie literatury Sapkowskiego było naprawdę świetne, a główną przyczyną takiego stanu rzeczy była fabuła.
1793:  S00 - Częściowo pan już o tym powiedział.
1795:  S00 - W Cyberpunku ta ostatnia, jeżeli chodzi o główny wątek, nie jest najgorsza, no ale aż dziw bierze, że studio, które...
1805:  S00 - tak rozwinęło, powiedzmy, wątki poboczne do takiego poziomu, no nie skorzystało ze swoich doświadczeń i nie zrobiło tego w cyberpunku, no bo wydaje mi się, że właśnie to, że w Wiedźminie Trójce mieliśmy do czynienia z taką budową questów pobocznych, a nie inną, sprawiło, że ta gra była jeszcze bardziej właśnie angażująca, emocjonująca i tak dalej, więc myślę, że gracze wybaczyli jakieś niedociągnięcia
1833:  S00 - w błędy, bugi, w mechanice, w grafice, gdyby fabuła była na tyle atrakcyjna i ściągająca, żeby przykryć to wszystko.
1844:  S00 - Z książki Jasona Schreiera, Crefpot i Piksele, tutaj chwalebne i niepokojące opowieści o tym, jak robi się gry,
1854:  S00 - możemy dowiedzieć się nieco o tym, jak wyglądała praca nad Wiedźminem Trójką.
1860:  S00 - Różowo nie było.
1861:  S00 - Nie różowo nie było, pozwolę sobie zacytować, bo to wydaje mi się, że jest stosunkowo ważne.
1871:  S00 - Czekająca ich robota była przytłaczająca, a że zamierzali wypchnąć grę w 2014 roku, nie mieli na to zbyt dużo czasu.
1881:  S00 - policzyli, że świat Wiedźmina Trójki będzie 30 razy większy niż ten z poprzedniej odsłony i kiedy ekipa do questów przejrzała się wczesnym materiału graficznym i szkicom map, zaczęła panikować.
1892:  S00 - Niemniej, inny fragment, który też pozwolę sobie zacytować,
1902:  S00 - Ludzie często zastanawiają się, jak CD Projekt Red zdołało stworzyć tak mocne i tak liczne scenariusze do Wiedźmina 3.
1909:  S00 - Odpowiedź była prosta.
1910:  S00 - Chyba żaden nasz quest nie został po prostu napisany, zaakceptowany i nagrany, mówił Szymałek.
1917:  S00 - Wszystko było przepisywane dziesiątki razy.
1919:  S00 - Dodajmy jeszcze, że w ogóle zrezygnowano w Wiedźminie Trójce z takich questów, nazwijmy to, Fedexowych, jak sami to Redzi nazwali, czyli przynieś mi to, przynieś mi tamto.
1931:  S00 - Oczywiście okolice w przypadku Wiedźmina jakichś tam stworków, potworków.
1936:  S00 - I właśnie, jakie wnioski płyną po tym, gdy zestawi się te dwie gry?
1943:  S00 - Chyba...
1944:  S00 - Tylko jedna, że w przypadku każdego rodzaju sztuki, czyli zarówno gier, literatury, filmu, no jednak fabuła jest najważniejsza tutaj.
1956:  KMM - Absolutnie.
1956:  KMM - Fabuła i projekt narracji, bo też te wszystkie elementy, które nie mają charakteru wprost fabularnego, to znaczy nie wpływają na sekwencyjność łańcuchów wydarzeń, jakie poznajemy w toku danej opowieści, czyli mówiąc mniej w zawalowany sposób, jeżeli znajdziemy jakąś książkę w świecie gry, tę książkę ktoś musi napisać.
1974:  KMM - Jeżeli znajdziemy gdzieś mapę, tę mapę ktoś musi narysować, jeżeli znajdziemy gdzieś nagranie audio, jak by bywało w cyberpunku, albo nawet film, jak w Bioshocku Infinite, wiele innych przykładów, ktoś to wszystko musi zrobić.
1988:  KMM - To jest projekt narracji też.
1989:  KMM - który bardzo często się pomija i w grach wideo i w Wiedźminie III zwłaszcza to narracja emergentna, czyli niejako wnurzająca się ze świata, przytrafiająca się graczowi.
1998:  KMM - Oto gracz wjeżdża zupełnie przypadkiem do jakiejś wioski i tam się coś wydarza.
2003:  KMM - To nie musi być związane z główną fabułą, ale może doprowadzić do jakiegoś interesującego questu.
2009:  KMM - W cyberpunku zostało to zrobione w sposób, wydaje mi się, antywzorcowy.
2015:  KMM - To znaczy główna fabuła jest niesłychanie atrakcyjna, prowadzi nas od samego początku do samego końca przez wszystkie rozgałęzienia jak w bardzo emocjonującym filmie.
2025:  KMM - Jest filmowa.
2026:  KMM - ale w dobrym i złym tego słowa znaczeniu.
2028:  KMM - Złe tego słowa znaczenie to jest ta linearność czy liniowość, jak się to często mawia, prowadzenie gracza niejako po sznurku.
2035:  KMM - A prawda jest taka, że w momencie, w którym staramy się eksplorować ten rzecz otwarty świat, w zasadzie 90% zdarzeń, które się przytrafia w tym świecie, to telefon na smartfona, którego mamy, od kolejnego ze zleceniodawców, który nam opowiada o jakimś kłeście.
2054:  KMM - I teraz mój wzorzec tego, jak powinien wyglądać świat, który jest właśnie otwarty i zachęca do swobodnej eksploracji, znowu będzie to Skyrim.
2063:  KMM - Pamiętam sytuację, w której przechodziłem na północ od ruin dwemerskich, na północny zachód od Akademii Zimowej Twierdzy.
2070:  KMM - i zobaczyłem latarnię morską na szczycie góry.
2072:  KMM - Zdziwiłem się, bo to nie jest typowe miejsce dla latarni morskiej.
2075:  KMM - Podszedłem wtedy do rzeczonej latarni morskiej, otwarłem drzwi, okazało się, że była tam scena zabójstwa i gra w tym momencie rozpoczęła opowieść o tym konkretnym zabójstwie.
2085:  KMM - W tej konkretnej latarni morskiej trzeba było odkryć tajemnice z tym związane.
2089:  KMM - Otwierały się wielkie piwnice i podziemia i tam jakieś monstrum mieszkało, przeciwne naturze, które trzeba było pokonać.
2096:  KMM - I ja się złapałem, wyszedłszy z tej latarni, że właśnie trzy godziny poznawałem historię, która jest w żaden sposób nie związana z głównym nurtem i nikt mi nie powiedział, nie spotkałem żadnej starowinki w mieście, która mi powiedziała, o panie, panie zrodzony ze smoków, latarni morskiej moi krewni zostali zabici, pomóż pan, prawda?
2114:  KMM - I to było zupełnie co innego.
2115:  KMM - To nas kieruje, tak samo jak ten telefon, który się pojawia
2118:  KMM - w cyberpunku, jak przemierzamy ulicę, co zresztą bardzo graczy denerwowało, bo ktoś po prostu chce sobie zwiedzać świat i nagle dzwonią do niego wszyscy fikserzy, bo tak się nazywają zleceniodawcy w settingu cyberpunkowym, ze zleceniami.
2130:  KMM - Co więcej, dzwonią nawet ci, którzy nas nie znali, co było sprzeczne z mechaniką tzw.
2136:  KMM - street credu, czyli szacunku ludzi ulicy, które zdobywaliśmy na
2140:  KMM - Mieliśmy zdobywać na ulicach Night City i od poziomu tegoż miało być uzależnione to, że na przykład zadzwoni do nas fikser, zleceniodawca, który będzie się cieszył jakąś większą renomą.
2151:  KMM - To są wszystko wydawałoby się drobne rzeczy, ale jeśli sobie wyobrazimy nas przechadzających się po mieście i nagle, że dzwonią do nas wszyscy z ofertami pracy w każdej dzielnicy, to zorientujemy się jak bardzo to jest absurdalne.
2162:  KMM - No tak nie wygląda rzeczywistość żadna.
2165:  KMM - I to jest właśnie ten projekt narracji, o którym mówię, a niezależnie oczywiście opowiadanie historii, projekt fabuły jest absolutnie kluczowe, tu się w pełni zgadzam.
2173:  KMM - Natomiast właśnie ten drugi obszar narracyjny jest nie mniej ważny i w Wiedźminie świadectwem tego, jak dobrze było to zaprojektowane jest to, że fabuła głównego Wiedźmina to jest klasyczny trop, your princess is in another castle.
2187:  KMM - Znaczy, Ciri została uprowadzona przez Dziki Gon.
2190:  KMM - Uratuj Ciri.
2191:  KMM - To jest koniec głównej fabuły Wiedźmina III Dziki Gon.
2193:  KMM - Spoiler dla wszystkich, którzy nie grali.
2195:  KMM - Natomiast to wszystko, co się w grze dzieje pomiędzy, wywołuje to, co Clive Hawking kiedyś nazwał dysonansem ludonarracyjnym.
2202:  KMM - No bo jak to, jeżeli Ciri ucieka, a my jesteśmy jej, powiedzmy, taką father figure, jak to Geralt w powieściach Sapkowskiego,
2208:  KMM - No to musimy uratować Ciri, a nie jakaś zielarka mówi nam, żebyśmy coś dla niej zebrali, to o, to trzeba poszukać tych ziół albo ubić Leszego.
2215:  KMM - No nie no, przecież trzeba uratować Ciri.
2217:  KMM - Ale właśnie ta fabuła była tak umiejętnie zawieszona, że poczuliśmy się zachęceni do tego, żeby poznawać wszystko to, co inne.
2224:  KMM - No ale właśnie, to też jest kolejny problem i to jest problem generalny CDP-u.
2229:  KMM - CD Projekt Red ma tendencję do projektowania fabuły wyższego rzędu właśnie z tego rodzaju zawieszeniem, że jest niesamowicie wysoka stawka, trzeba coś szybko zrobić.
2239:  KMM - W wypadku Wiedźmina III jest to uratowanie Ciri, w wypadku Cyberpunka jest to chip, który nam siedzi w głowie i który sprawia, że umieramy stopniowo.
2247:  KMM - I w jednym i w drugim przypadku mamy taki drive w sobie, wewnętrzny przymus, żeby jak najszybciej ukończyć tę fabułę i dowiedzieć się, co jest na końcu.
2255:  KMM - To jest przymus charakterystyczny nie dla opowieści fantazy, tylko dla kryminałów.
2260:  KMM - To w kryminałach kartkujemy, żeby się dowiedzieć, kto zabił.
2263:  KMM - I to jest zupełnie sprzeczne z ideą otwartego świata, w którym chodzi o to, żeby właśnie
2267:  KMM - jest na tyle ta fabuła wyższego rzędu rozbudowana i na tyle poważna, że nawet czujemy taką wewnętrzną potrzebę, żeby wpierw pobyć trochę w tym świecie, dowiedzieć się czegoś więcej o nim, żeby tym skuteczniejszym być na tej konfrontacji z najwyższym złem, charakterystycznym w powieściach fantasy.
2284:  KMM - W Skyrimie jest to konfrontacja ze smokiem pożeraczem światów.
2288:  KMM - No jednak wypadałoby czegoś się dowiedzieć wcześniej, stać się tym arcymagiem, żeby mieć szansę w tej konfrontacji.
2296:  S00 - Zgoda.
2297:  S00 - Panie Krzysztofie, tutaj postawimy kropkę.
2301:  S00 - Niestety czas jest ograniczony.
2302:  S00 - Bardzo dziękuję za spotkanie.
2304:  S00 - Mam nadzieję, że tym, którzy grali w Cyberpunka, coś nowego zdołaliśmy powiedzieć, a tym, którzy za bardzo nie mieli do czynienia na razie z grami w Deo, również mogli się czegoś dowiedzieć z naszego spotkania.
2318:  S00 - Jeszcze raz bardzo dziękuję i mam nadzieję, że jeszcze nie raz się spotkamy.
2323:  KMM - Dziękuję serdecznie za zaproszenie i dziękuję za uwagę.
