Czy zadania domowe znikną ze szkoły? | Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=iEc46kOIsAg
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej, dziś ponownie rozmawiamy z Krzysztofem Majem na temat edukacji w Polsce.
1451:  SP - Natomiast to by wymagało kompletnej restrukturyzacji absolutnie systemu edukacji.
1457:  SP - I to jest w ogóle też takie coś, co ja w swoich gdzieś starszych materiałach przekazywałem też, że taka idea, w której nauczyciel tłumaczy pewne rzeczy na lekcji, a dzieci sobie to przepracowują w domu, to jest właśnie kompletnie...
1473:  SP - została przerośnięta przez technologię, no bo właśnie w tym momencie tym, co bez najmniejszego problemu mogłoby się odbywać w czasie wolnym, czy nawet wiecie, w drodze do szkoły i ze szkoły w autobusie, no to jest właśnie słuchanie wykładu, prawda?
1485:  SP - Coś, co w tym momencie jest na lekcji, a absolutnie nie musi.
1488:  SP - Kiedyś musiało, no bo fizycznie nie byłeś w stanie nigdzie indziej słuchać nauczyciela, teraz mógłbyś, prawda?
1495:  SP - Natomiast, wiesz i na przykład gdyby zaszła taka kompletna restrukturyzacja i w tym czasie i to zostawiłoby miejsce nawet do robienia tych szlaczków wyłącznie w szkole i powiedzmy, że to by wystarczyło, że
1508:  SP - wyłącznie osoby, które mają dodatkowy jakiś problem z tym, musiałyby jeszcze poćwiczyć w domu, no to okej, możliwe, możliwe, że tak by się dało.
1514:  SP - Natomiast ja poruszyłem też tą kwestię matematyki, ponieważ ja nie jestem kompletnie przekonany co do tego, czy da się zawrzeć tego typu rzeczy w matematyce, zwłaszcza na gdzieś tam liceum czy technikum z rozszerzoną matematyką, ponieważ ja wiem, że gdzieś tam jakieś równania wielomianowe to nie są rzeczy, które każdemu człowiekowi się w życiu przydadzą,
1536:  SP - ale niektórym, którzy będą chcieli iść na studia techniczne i tak dalej, to się jednak przydadzą, prawda?
1541:  SP - I ja raczej bym stał na stanowisku, że tego typu rzeczy, one wymagają w taki bardzo dosłowny sposób rozwiązania kilkudziesięciu czy kilkuset czasem przykładów pewnego rodzaju zadania, żeby się przyzwyczaić do sposobów jego rozwiązywania.
1561:  SP - I robienie tego na lekcji jest po pierwsze, może zwyczajnie nie wystarczyć czasu, a po drugie, może faktycznie być nieoptymalne, ponieważ jeżeli faktycznie lekcja jest zrobiona dobrze i na lekcji nauczyciel wyjaśnia jak to zrobić, tak, że ty to rozumiesz, to nadal zostawia przestrzeń, znaczy zostawia wymóg
1580:  SP - W niektórych przypadkach, nie w przypadkach niektórych ludzi, tylko w przypadkach niektórych tematów, że i tak powinieneś przerobić kilkadziesiąt tego typu przykładów samodzielnie.
1590:  SP - No i trochę ciężko mi sobie wyobrażać, gdzie to można robić inaczej niż w domu.
1593:  SP - Mówisz bardzo kluczową rzecz, to znaczy za przecinkiem dodałeś, że to jest potrzebne na studia, więc... Nie, że to jest materiał, który przyda się na studiach, ale materiał robiony jednak w liceum.
1605:  KMM - No bo cały problem polega na tym, że my uczymy wszystkich, to znaczy będziemy uczyć także stolarza, któremu się przyda...
1611:  KMM - Oczywiście, segment pewien tych działań, natomiast nie przyda mu się wszystko, to jest dokładnie to samo, co z historią literatury i z językiem polskim.
1617:  KMM - Każdy musi mówić po polsku, nie każdy musi przeczytać Goszczyńskiego.
1621:  KMM - Natomiast w przypadku matematyki wydaje mi się, że trzeba to robić odgórnie, to znaczy masz nie właśnie podstawy programowe nieszczęsne, które zakładają, że wszyscy musimy wszystko wpruć, tylko masz zagadnienia egzaminacyjne,
1634:  KMM - Po prostu wiesz, że okej, jeżeli chcę zdać maturę, muszę poznać równania wielomianowe.
1638:  KMM - I teraz im starszy w zasadzie człowiek, tym jest łatwiej wtedy, bo on wtedy sobie kalkuluje, tak?
1644:  KMM - Okej, muszę się tego nauczyć, no to jak to zrobić efektywnie?
1647:  KMM - Tutaj część była na lekcji, no więc szukam dalej.
1650:  KMM - Teraz rolą nauczyciela, jako przewodnika jest powiedzieć, okej, proszę bardzo, tu masz 100 zadań.
1655:  KMM - I możemy sobie zorganizować jakieś kółko i tak dalej, przyjdziesz wtedy, tam będziesz zainteresowany, wszystko jedno.
1660:  KMM - Albo wręcz przeciwnie właśnie, ktoś sobie rozwiąza jakieś zadania, przychodzi na lekcję standardową i mówi, że miał tutaj taki jeden problem, świetnie, robimy to.
1669:  KMM - Wiesz, ja też mówię jako człowiek, który się przerzucił na taki model pracy ze studentami.
1673:  KMM - Na początku uważałem, że wykład jest najważniejszy, a teraz wychodzę z założenia, że wolę, żeby maksimum informacji szło do ludzi innymi kanałami, a żeby zajęcia mieć w formie takiego trochę Q&A, tak?
1685:  KMM - Masz problem?
1687:  KMM - Rozwiążmy ten problem wspólnie.
1689:  KMM - Wydaje mi się, że w ten sposób się można nauczyć też równie efektywnie, co przez mnemotechnikę i przez powtarzanie.
1695:  KMM - To jest po prostu alternatywna metoda edukacji.
1698:  KMM - Są różne i najlepiej wykorzystywać wszystkie.
1700:  KMM - Szkoła wykorzystuje głównie metody mnemotechniczne i to ma pewne ryzyka w tej chwili, czy jest obarczone ryzykami z uwagi na to, że nie jesteśmy w stanie zmienić tego, że cała mediosfera funkcjonuje w innym paradygmacie.
1713:  KMM - Ona nie funkcjonuje w paradygmacie mnemotechnicznym, bo
1716:  KMM - Jeżeli wyobraził sobie takiego Gustava Flauberta, który pisał tyle listów dziennie, że schodziło mu za 4 godziny na to.
1723:  KMM - Ja się śmieję, że dzisiaj siedziałby na Messengerze.
1725:  KMM - No i właśnie, wchodzi sobie na Twittera i co?
1728:  KMM - I on zapamięta wszystko, bo jego mózg był trenowany do tego, że jak czytasz informację, to ją natychmiast praktycznie przetwarzasz, zapamiętujesz, ludzie świetno mieli wtedy pamięć.
1736:  KMM - Czyli on byłby nieprzystosowany do życia we współczesnym świecie, bo zapamiętywałby bzdury.
1741:  KMM - Więc nasze mózgi się uczą z jednej strony filtrowania informacji, bo inaczej byśmy zwariowali wszyscy, po czym przychodzą do szkoły i uczą się czegoś dokładnie odwrotnego.
1750:  KMM - No jest spięcie.
1751:  KMM - Ja się nie dziwię, że ludzie wariują, dosłownie czasem, albo że mają różne problemy edukacyjne, o których nie mówiliśmy 20 lat temu.
1758:  KMM - Ja sobie nie wyobrażam, szczerze powiedziawszy, uczenia się w momencie, w którym miałbym tego rodzaju dystraktory i nie miał tej wiedzy, którą ja mam dzisiaj, która umożliwia mi panowanie nad nimi i wykorzystywanie ich do tego, żeby wykonywać jakieś zadanie siedem razy szybciej.
1771:  KMM - Ale wyobrażam sobie, że wdrożenie mechanizmów samoobrony przed czymś takim na wczesnym etapie, a równocześnie czerpanie inspiracji z tego, ok, co tak naprawdę nas wciąga i co interesuje,
1784:  KMM - może być warte przeeksperymentowania, nawet powinno być eksperymentowane, więc cały czas wracamy kołem do tego, że potrzebujemy ogólnopolskiego eksperymentu edukacyjnego, no ale wiesz, ale takim ogólnopolskim eksperymentem edukacyjnym może być tylko coś, co zostanie niestety z góry narzucone, bo w obrębie obecnego systemu, który przyjęliśmy,
1802:  KMM - jest tak dużo ograniczeń już, które swoją drogą sami nauczyciele bardzo często prokurowali, czy to w formie karty nauczyciela, czy podstaw programowych, czy testów, czy krajowych kwalifikacji, które z kolei nam Unia narzuciła i też to nie jest dobre, że my nie jesteśmy w stanie za bardzo tego zrobić oddolnie, w inny sposób niż na przykład właśnie pojedynczy nauczyciele, którzy starają się coś zmienić oddolnie na własną rękę i eksperymentować też na własną rękę.
1828:  SP - Okej.
1830:  SP - To znaczy, to co powiedziałeś na temat tych alternatywnych form uczenia, to znaczy ja nie wiem, nie wiem, czy to faktycznie by zadziało, natomiast całkowicie się zgadzam z tym, że odpowiedzią na to jest właśnie uwolnienie pewnego rodzaju możliwości do eksperymentowania i żeby zobaczyć, jak tego typu rzeczy są, czy tego typu rzeczy działają, bo jeżeli faktycznie ktoś coś takiego by wdrożył i pojawiłyby się problemy w takim systemie, to
1856:  SP - ktoś alternatywnie może po prostu na to jakoś reagować.
1858:  SP - I wydaje mi się, że to też jest dobry moment właśnie do tego, żeby przejść, czy i gdzie faktycznie już się rezygnuje z tych zadań domowych i jakie są dokładnie tego efekty.
1868:  KMM - Ja mogę przywoływać przykłady polskie, bo uważam, że one też są do nas relewantne.
1872:  KMM - Tak, bo nie jesteśmy w stanie, wiesz dlaczego nie jesteśmy w stanie pozyskać danych na temat tego, czy są zadawane zadania domowe?
1879:  KMM - Dlatego, że nauczyciele w Europie mają większą swobodę niż w Polsce i autonomię.
1884:  KMM - Więc musielibyśmy napisać do każdego nauczyciela w każdej szkole, już nawet nie do dyrektora każdej szkoły w Europie, żeby pozyskać takie dane.
1890:  KMM - Ja swoją drogą, jeżeli by ktoś chciał zrobić takiego rodzaju projekt grant, to ja bardzo chętnie bym...
1896:  KMM - Byłoby cudowne absolutnie z czymś takim uczestniczyć, no bo to są takie realne dane, które rzeczywiście by nam pomogły w czymś, bo w tym momencie nie mamy za bardzo narzędzi do tego, żeby badać to na bazie tylko jakichś wytycznych edukacyjnych, bo one po prostu nie schodzą bardzo często na taki poziom.
1911:  KMM - W Polsce wiem o inicjatywie dr Marzeny Żylińskiej, która prowadzi budzącą się szkołę i ona rejestruje na mapie szkoły, które decydują się na zadawanie zadań domowych zgodnie z prawem oświatowym z lat 90.
1922:  KMM - To znaczy, jeżeli są zadawane to w formie projektów i jeżeli są oceniane to w formie komentarza, feedbacku, informacji zwrotnej, która faktycznie może pomóc nam w tym.
1931:  KMM - żeby coś zrobić lepiej i faktycznie się możemy na podstawie tego czegoś dowiedzieć, więc mogę odesłać wszystkich zainteresowanych do mapy budzącej się szkół i co więcej, żeby też można było poddziałać od swojej strony.
1943:  KMM - Jeżeli skontaktujemy się z tą fundacją, prawdopodobnie dostaniemy jakieś wytyczne, informacje, co zrobić, żeby nasza szkoła też mogła się obudzić w dużym cudzysłowie.
1953:  KMM - I jednocześnie myślę, że też można pogadać w obrębie środowiska uczniowskiego czy nauczycielskiego.
1957:  KMM - Ja wiem, że to brzmi abstrakcyjnie w Polsce, ale jest to jakieś rozwiązanie, jeżeli postawimy na to, co Polaków zawsze przekonuje, czyli taki zdrowy pragmatyzm.
1965:  KMM - Wszyscy musimy się nauczyć do matury, szkoła zyskuje na tym, że matura będzie zdana wysoko, ponieważ Fundacja Perspektywy zdominowała nas całkowicie.
1973:  KMM - ma monopol na informowanie o tym, która szkoła jest dobra, która nie.
1976:  KMM - Nawiasem mówiąc, na swojej stronie za sześć stówek sprzedaje tarczkę złotą, srebrną i brązową dla szkół, żeby mogły się wychwalić tym pozycjom w rankingu, który jest wyliczany wyłącznie na podstawie wyników matur i olimpiad.
1987:  KMM - No więc wszyscy wiemy, że mamy osiągać wyniki.
1990:  KMM - No więc jeżeli mamy osiągać wyniki, to wszystkim nam powinno zależeć na tym, żeby to robić jak najskuteczniej.
1995:  KMM - A jeżeli chodzi o ten najwcześniejszy etap, w moim przekonaniu powinniśmy się inspirować w największym stopniu i Mario Montessori i jej modelem, z tego względu, że mówimy o 6, 7, 8 latkach.
2008:  KMM - Wszyscy w tym wieku chcą się głównie bawić i nasze mózgi wtedy są tak nieprawdopodobnie chłonne,
2014:  KMM - że mądrze administrowana i zarządzana zabawa i dobre gry edukacyjne mogą nas nauczyć 7 tysięcy razy szybciej, efektywniej i skuteczniej niż cokolwiek innego i myślę, że każdy, kto nas słucha ma takiego jednego nauczyciela w głowie, który się bawił w jakiś mądry sposób i jest w stanie do dzisiaj pamiętać to wszystko, a nie jest w stanie zapamiętać lekcji 41 i tematu drugiego zrobionego w sposób generyczny.
2038:  KMM - Ja pamiętam na przykład
2040:  KMM - Chyba nawet pamiętam nazwisko, Magister Pietruszewska to była w Gimnazjum 16 w Krakowie, która rzucała w nas taką pluszową sową i myśmy mieli różnego rodzaju definicje językoznawcze podawać.
2051:  KMM - No i jeżeli ktoś nie podał, no to nic się nie działo, tak?
2055:  KMM - Odrzucał sowę dalej.
2057:  KMM - I w ten sposób myśmy czuli się jakoś zachęceni do tego, żeby zgłaszać się, no bo im częściej ktoś się zgłaszał, tym częściej dostawał sowę, więc mógł pieprznąć w kolegę sową, co było zabawne i ciekawe.
2068:  KMM - Albo miała drugi taki pomysł, że zamiast czytania szewców Witkacego, ona czytała fragmenty szewców Witkacego, a myśmy musieli, wróć, ślepców Witkacego, a to jest kluczowe, że to są ślepcy, a myśmy musieli chodzić z opaskami na oczach wokół sali gimnastycznej.
2081:  KMM - To są dwie rzeczy, które ja zapamiętałem z gimnazjum, którego nie znosiłem, nie lubiłem i w ogóle uważam za poroniony eksperyment edukacyjny w tamtych czasach.
2089:  KMM - A jednak pamiętam te dwie rzeczy.
2090:  KMM - I wiesz, to jest naturalnie, że dowód anegdotyczny, ale dowód anegdotyczny, który ma każdy z nas o jakimś dobrym nauczycielu, który umiał gamifikować ten proces.
2100:  KMM - Więc jeśli chodzi o same zadania domowe i sposób ich zadawania, są szkoły, które już tego nie robią, są szkoły, które nie oceniają tego w sposób cyfrowy, są szkoły, które nie biorą tego do średniej, no i mają...
2114:  KMM - Oczywiście moglibyśmy teraz się zastanawiać na ile zdawalność matury w 100% tej matury, jaką ona jest, jest faktycznie jakimś osiągnięciem edukacyjnym, bo z perspektywy akademickiej mogę powiedzieć, że jest z tym różnie.
2126:  KMM - Uczelnie w tym momencie eksperymentują z wprowadzaniem roków zerowych, ponieważ jest tak bardzo źle z kompetencjami matematycznymi, technicznymi, chemicznymi, fizycznymi.
2134:  KMM - Tu się uśmiechamy, bo
2136:  KMM - ta sama uczelnia.
2138:  KMM - I druga rzecz, to samo się dzieje po stronie humanistycznej, to znaczy coraz częściej dochodzimy do wniosku, że potrzeba roku zerowego na nauczenie pisania i czytania.
2146:  KMM - Więc wiesz, to są umiejętności podstawowe i rankingi pisa, na które tak uwielbiają się wszyscy powoływać, jak widać, również są w tym wymiarze niemiarodajne.
2155:  SP - No właśnie, bo to, co powiedziałeś, że
2159:  SP - Ten dowód anegdotyczny, nie?
2161:  SP - Mówisz, że każdy z nas go ma i podejrzewam, że tak jest właśnie, nie?
2164:  SP - Że każdy z nas ma jakieś tego typu doświadczenia, które faktycznie pokazywały, że tego typu zabiegi są przede wszystkim skuteczne, nie?
2172:  SP - W sensie skuteczne w przekazywaniu uczelni.
2175:  SP - Natomiast wydaje mi się też, że tutaj dochodzimy do takiej już trochę ideowej kwestii tego, na ile da się takie rzeczy uogólniać w skali ogólnokrajowej.
2188:  SP - W sensie, czy...
2190:  SP - Ciężko wchodzić w szczegóły, ale pytanie takie jak na ile uwolnienie tego, aby nauczyciele sami oddolnie mogli wpadać na tego typu pomysły i z zaangażowaniem to realizować, na ile to nie zostawi pewnego rodzaju plamek gdzie nie gdzie w Polsce, gdzie jednak nie będzie nikogo, kto by się chciał do tego stopnia zaangażować i będzie jechał po linii najmniejszego oporu.
2218:  KMM - Teraz będziesz rozmawiał z Krzysztofem Konserwatystą, który powie, i dobrze, tak wygląda świat, nie wszyscy mają równe szanse, nie wszyscy będą mieli dobrą pracę, nie wszyscy będą dużo zarabiać, nie wszyscy będą wszystko wiedzieć i sprzedawanie nam kłamstwa o edukacji, bo jest to kłamstwo, że jesteśmy w stanie wszyscy stać się takimi samymi erudytami, polihistorami i multi-instrumentalistami jak Leonardo da Vinci, ponieważ mamy edukację ogólną dla wszystkich taką samą, jest po prostu kłamstwem.
2246:  KMM - I to kłamstwo się bardzo szybko weryfikuje.
2248:  KMM - Weryfikuje się u studentów, którzy poszli na studia myśląc, że no skoro mam same piątki 100% z matury rozszerzonej, to co to ja na tych studiach zrobię?
2258:  KMM - A my tymczasem patrząc na statystyki odejść studentów, mamy precedensowe dane, one są wewnętrzne niestety, dotyczące tego, że no na przykład po pierwszym roku nagle
2268:  KMM - 80% rocznika ci odchodzi.
2269:  KMM - Ale nie ludzi, którzy nie zdali, tylko ludzi, którzy stwierdzili, że to jest w ogóle jakiś poroniony pomysł i to nie jest dla nich.
2275:  KMM - Więc w mojej perspektywie taki człowiek został skrzywdzony przez system, bo nie wysądowano dostatecznie jego kompetencji i kwalifikacji zawodowych.
2285:  KMM - I wszyscy idą w związku z powyższym na te nieszczęsne studia i uczelnie pączkują i wszyscy się oszukujemy trochę.
2292:  KMM - Więc ja bym zdecydowanie postawiał na...
2295:  KMM - To, że może tak być, że jedna szkoła będzie lepiej przygotowywała do matury, a inna gorzej i teraz co zrobić, żeby ta, która gorzej przygotowuje do matury, ma gorszą kadrę na przykład, która nie eksperymentuje, miała czytelny sygnał, no słuchajcie, jeżeli chcecie rzeczywiście robić coś dobrego dla edukacji, no to musicie zatrudnić lepszą kadrę, poeksperymentować z innymi alternatywnymi metodami edukacji, bo po prostu uczniowie wam odpłyną.
2319:  KMM - Więc to jest myślę coś, pod czym podpisałoby się sporo środowisk prawicowych, że tak, jeżeli jakaś szkoła sobie nie daje rady, no to ludzie stamtąd odpływają.
2326:  KMM - I wiesz, jeżeli by jeszcze z tym powiązać koncesję samorządu na prowadzenie instytucji edukacyjnej, to wtedy nagle by się okazało, że dyrektorzy mieliby niesamowitą presję sami na siebie wywartą, żeby dbać o to, żeby ta jakość edukacyjna była największa.
2340:  KMM - A tak nikt nie musi dbać, zauważ, bo wszyscy się oszukujemy, że wszędzie jest tak samo.
2345:  SP - Nie są ludzie rozliczani, że tak się wyrażę, z wyników.
2348:  SP - I to jest właśnie bardzo dobry moment, żeby zapytać, czy w ogóle trzeba było, mogłem napisać, ale czy ty znasz pomysł decentralizacji edukacji profesora Dudka?
2359:  SP - Czy się
2359:  KMM - Słyszałem o tym, tak.
2361:  SP - Właśnie, on jest też poruszany w tej książce, o której ja wielokrotnie wspominałem, umówmy się na Polskę, gdzie jest w ogóle rozpisany właśnie szerzej pomysł decentralizacji, takiego usamorządowienia bardziej wielu aspektów, między innymi właśnie edukacji.
2374:  SP - Jestem ciekaw, co myślisz na temat tych propozycji profesora Dąbrowskiego?
2377:  KMM - Zdecydowanie, znaczy edukacja jest indywidualna, to jest po pierwsze, więc gdzie jest bliżej od jednostki do skali państwa, czy do skali samorządu?
2385:  KMM - No i odpowiedź jest jasna.
2387:  KMM - Ja bym powiedział nawet, że można to myśleć o tym jeszcze w mniejszej skali, to znaczy jakiejś społeczności takiej na przykład jak w szkole demokratycznej, która zarządza szkołą wspólnie, więc rodzice, nauczyciele i uczniowie mają zasadniczo równe głosy co do tego, co ma być realizowane i oczywiście nad wszystkimi i tak ciąży ten egzamin, więc to nie jest tak, że nagle wszyscy stwierdzą, że będą sobie grać w Maxa Payne'a.
2407:  KMM - chociaż to mogłoby być bardzo ciekawe, ale nie zrobią tego, no bo nie mogą tego zrobić, też są te minima i wytyczne odgórne, więc absolutnie organizowanie tego na skalę mikro jest lepsze i sensowniejsze, natomiast rola Ministerstwa wtedy byłaby taka, bo ja bym nie był radnikiem likwidacji Ministerstwa Edukacji i Nauki akurat, chociaż uważam, że ono powinno być właśnie jedno,
2428:  KMM - bo błędem jest myślenie, że nauka się obywa bez edukacji i na odwrót.
2431:  KMM - Więc ministerstwo mogłoby wtedy pełnić rolę pośredniczącą i przede wszystkim audytującą również, bo ja sobie nie wyobrażam, żeby dalej mogło tak funkcjonować, jak funkcjonuje w Polsce prawo oświatowe, że ono po prostu jest i ono nie jest egzekwowane.
2445:  KMM - Wiesz, na poziomie prawym.
2447:  KMM - Co dopiero, jeżeli chodzi o egzekwowanie na przykład tego, czy szkła się rozwija, czy korzysta z osiągnięć pedagogiki, czy w odpowiedni sposób realizuje misję edukacyjną i te koncesje i tak dalej, i tak dalej.
2458:  KMM - Więc jacyś audytorzy powinni być.
2460:  KMM - Oczywiście uważam, że te audyty powinny być robione
2463:  KMM - Dokładnie tak samo, jak już mamy to sprawdzone, czyli przez Państwową Komisję Akredytacyjną dla uczelni.
2468:  KMM - Co cztery lata mamy audyt, przychodzą nasi koledzy z innych uniwersytetów.
2471:  KMM - To nie jest tak, że ministerstwo jakiś gryzi piórków wystawia, absolutnie nie.
2475:  KMM - To są ludzie apolityczni.
2476:  KMM - Bardzo często jest tak, że w komisji są osoby od prawa do lewa i to bardzo skrajnie.
2482:  KMM - I to wywołuje bardzo śmieszne dyskusje w kuluarach.
2485:  KMM - I oni sprawdzają po kolei wszystko, od dydaktyki przez naukę, ale co najważniejsze, robią także wywiady,
2492:  KMM - anonimowe, z wszystkimi zaangażowanymi osobami, w związku z powyższym tutaj w przypadku szkół wyobrażam sobie, że mogliby to być uczniowie, rodzice i nauczyciele właśnie, bo nauczyciele też na przykład mogą zgłosić, że dyrektor ich mobbinguje, tak, no i jest problem jakiś, a rodzice z kolei mogą stwierdzić, że dobra, dobra, to wam mówią, że jest wszystko w porządku, a tak naprawdę my płacimy 400 zł na korepetytorów, ponieważ szkoła sobie nie daje rady, ale jest zadowolona, bo dzięki korepetytorom są wysokie wyniki z matur.
2518:  KMM - Więc tak, jak najbardziej samorządność, decentralizacja w porządku, natomiast ja jestem jednak zwolennikiem tego, żeby ten jakiś nadzór pozostał, chociaż to też jest niepopularna opinia, bo obecne środowiska kuratorskie bardzo często mówią, że należy wycofać się z pojęcia nadzoru pedagogicznego w ogóle i mówić raczej o szkoleniach.
2535:  KMM - No ja uważam jednak, że niestety w tej kulturze obywatelskiej, prawnej, w której jesteśmy w Polsce, no ten nadzór jest konieczny, skoro w ramach
2543:  KMM - tego nawet nadzoru, który teraz mamy, są przypadki rażącego łamania prawa i niestosowania się kompletnie do niego, no to wyobraźmy sobie, co byłoby bez tego nadzoru, nie?
2552:  SP - No jest taka możliwość, tylko właśnie też kolejny punkt jest taki, że rozmawiając o tej reformie proponowanej choćby przez profesora Dudka, no to jest to jednak mimo wszystko swego rodzaju egzotyka w polskich realiach politycznych, prawda, bo my sobie tutaj mówimy,
2564:  SP - Ja nawet widziałem ostatnio z autorami tej książki, z profesorem Dudkiem zresztą też i oni tak właśnie mówią, że tak opowiadają o tym ludziom, ale na ile to jest skuteczne, to jest osobny temat.
2574:  SP - Natomiast i to też przenosi nas do pytania, bo my tu sobie gadamy o znoszeniu, utrzymywaniu, reformowaniu zadań domowych, ale pytanie brzmi...
2583:  SP - na ile, czy i co w praktyce zostanie w tym temacie zrobione, ponieważ pierwsze deklaracje były w ogóle sprzeczne na ten temat, mam wrażenie, ponieważ tam Ministerstwo Edukacji mówiło, że będzie długotrwały program pilotażowy i oni to przetestują, prawda, coś tam tego, a następnego dnia premier mówił, że od kwietnia nie ma zadań hulaj dusza, nie wiadomo, co się będzie działo.
2603:  SP - A w tym momencie, jak tak czytałem stanowiska MEN na ten temat, to w zasadzie ciężko powiedzieć dokładnie, w którą stronę oni idą, ponieważ na przykład w temacie prac pisemnych i praktyczno-technicznych w klasach 4 do 8, to propozycja MEN polega w tym momencie już nie na braku możliwości zadawania uczniom prac domowych, tylko na określeniu, że ten rodzaj aktywności ucznia wykonywanych poza szkołą nie podlega ocenie.
2629:  SP - Więc już w ogóle te ostatnie komunikaty są takie, że to jest krok chyba w dobrą stronę, mimo wszystko, nie?
2634:  KMM - To jest zabawne, ponieważ to już jest w prawie, więc oni to sprzedają jako, oni autentycznie sprzedają komuś, kto już, nie wiem, ma figurkę Złotego Sfinksa, inną figurkę, która jest z brązu, ale jest pomalowana na złoto.
2648:  KMM - To jest niesamowite absolutnie.
2649:  KMM - Ludzie do tego stopnia nie znają prawa oświatowego, że to kupują.
2654:  SP - W to w stanie z tym uwierzyć, aż tak dokończę, że kolejne niedawne stanowisko precyzowało, że dopuszczać właśnie jednak, że z jednej strony oczywiście likwidujemy, ale dopuszczamy zadawanie przez nauczycieli w klasach 1 do 3 szkoły podstawowej prac domowych usprawniających tak zwaną motorykę małą.
2674:  SP - Czyli domyślam się, że chodzi właśnie tylko o naukę pisania i tak dalej i tak dalej.
2679:  SP - Więc ta reforma, która się nazywała likwidacja prac domowych, generalnie w praktyce to się tak głównie nazywa już na tym etapie, nie wiem jeszcze w którym miejscu to się skończy, ale idzie to w stronę, znaczy bardzo możliwe, że to są zmiany na plus, tylko że z tego o czym się bardzo mówiło, to bardzo możliwe, że...
2697:  SP - Nazywa się to w jeden sposób, w praktyce będzie wyglądało to w drugi sposób i też w ogóle stąd moje pytanie takie ogólne, jak ty widzisz szansę na jakiekolwiek faktyczne zmiany w tym temacie, czy to w temacie stricte prac domowych, czy ogólnie jakichś głębszych reform, czy faktycznie rewolucji tego systemu edukacji?
2714:  KMM - Żadnych.
2717:  KMM - Miałem ten problem, że u mnie w domu się dyskutowało o edukacji zawsze i ja po prostu na YouTubie zacząłem to robić dlatego, że nie robiłem nic innego przez ostatnie 20-30 lat swojego życia w domu.
2727:  KMM - Myśmy zawsze na ten temat dyskutowali.
2729:  KMM - Dość dobrze pamiętam, jak wszyscy się natrząsaliśmy z tego, co Roman Giertek wyprawiał, jak był ministrem edukacji, gdzie stwierdził, że jak prowadzimy mundurki, to będziemy mieli takie
2737:  KMM - Dobre przedwojenne gimnazjum, tak jak to w literaturze bywało.
2741:  KMM - No jak się okazało, nie bardzo.
2743:  KMM - Zresztą gimnazje zostały wycofane.
2745:  KMM - No ale zostaną wprowadzone za jakieś 10-15 lat, myślę spokojnie, na nowo.
2748:  KMM - W każdym razie, stąd jest to źródło mojego drwiącego sceptycyzmu w odniesieniu do tego, czy takie reformy coś dadzą, a moja nadzieja pojawiała się wtedy, gdy właśnie ktoś powiedział, zlikwidujemy prace domowe.
2759:  KMM - Dlaczego?
2760:  KMM - Bo skoro, patrząc przez pryzmat realpolitik, skoro teraz jest tak, że nie możesz dawać ocen cyfrowych w szkole podstawowej w klasach 1 do 3, nie możesz, a nauczyciele mówią w odpowiedzi na to, to jak ja mam liczyć średnią, żeby wystawić cyfrę na koniec?
2778:  KMM - To już widać, gdzie jest problem.
2780:  KMM - Dwa, jeżeli w tym momencie w prawie oświatowym jest zapisane bardzo dużo rzeczy, a samo ministerstwo nie zdaje sobie sprawy z tego, albo zdaje właśnie, że te regulacje, które oni teraz wprowadzają z pieśnią na ustach, są już przewidziane przez ustawodawcę w latach 90.,
2795:  KMM - No to oznacza to, że jeżeli prowadzimy zakaz zadawania zadań domowych, to on tak samo nie będzie przestrzegany, ale ludzie się będą bać.
2803:  KMM - W związku z powyższym będą starali się w taki sposób zadawać te zadania, żeby to nie było obciążające, żeby uczniowie nie narzekali do rodziców, żeby rodzice nie narzekali do dyrektorów.
2813:  KMM - Nie zgłaszali do kuratorów, bo to jest tyle problemu.
2816:  KMM - I zacznie działać największy święty w polskim panteonie, czyli święty spokój.
2820:  KMM - I z błogosławieństwem świętego spokoja zacznie to się wszystko oddolnie regulować.
2824:  KMM - Tak bym wierzył w to.
2826:  KMM - I myślę, że radykalne zakazy i nakazy robione przez ministerstwo w tym momencie mogą wywrzeć taką presję psychologiczną.
2835:  KMM - Ponieważ problemem polskiej edukacji nie jest w moim przekonaniu wadliwe prawo, tylko zabetonowane środowisko nauczycielskie, które absolutnie nie chce zmian, jeśli już to oni wyobrażają sobie zmiany dobrze, powolutku przez 40 lat.
2850:  KMM - Nie możemy zmieniać tego powolutku, ponieważ ludzie mają teraz problemy kognitywne i psychologiczne, które są strasznie poważne.
2857:  KMM - Niezależnie od tego, kto to bada i gdzie, wszędzie to wychodzi.
2860:  KMM - Nawet w rankingu PISA, co mnie ścieka niesamowicie, że ludzie cytują go w połowie,
2865:  KMM - Wychodzi, że mamy przynajmniej w trzech kategoriach, gdzie ja mam te dane, w kategorii satysfakcji z życia, no dobra, no to powiedzmy, że nas to może średnio interesować, bo przypuszczalnie wszyscy Polacy w kategorii satysfakcji z życia by byli w 69. miejscu na 74 przebadanych, ale poczucie przynależności do szkoły 73 na 79 i najgorsze, przekonanie o samodzielności w uczeniu się, czyli wiesz, to co kształtują zadania domowe,
