THE LAST OF US odc. 4 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=uodZ_r5yHTQ
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
KMM (Krzysztof M. Maj)

10:  BFP - Mili, witajcie na naszym wieczornym omówieniu i analizie live odcinka The Last of Us.
1557:  KMM - gdy mamy jakby jeden wątek na jeden odcinek, że to są takie zamknięte całostki, jakby to była antologia.
1563:  KMM - Trochę nawiązywaliśmy do tego już wcześniej i nie czuć za bardzo, że te wątki przechodzą wtedy z naszymi bohaterami.
1570:  KMM - Rzadko nawet wspominają oni wcześniej o nich.
1572:  KMM - Może to się troszeczkę zmieni potem, ale moje pytanie jest kluczowe.
1575:  KMM - Czy to jest jedna z ostatnich scen w samochodzie, bo to jest dla mnie bardzo ważne w serialu?
1582:  BFP - Nie wiem, co ci odpowiedzieć, Krzysztof.
1583:  KMM - Ja mam problem z kinem drogi, dlatego to pytam, więc... Aha, okej, czyli jak chodzą na piechotę po drodze, to jest okej, ale jak siedzą w aucie i jadą... Wytrzymam to jakoś, tak, no bo... Tak, bo jeszcze... Inaczej, słuchajcie, jest problem... Samochód w postapo to jest problem.
1597:  KMM - Dlatego mam problem z dieselpunkiem.
1599:  KMM - Mamy teraz coś takiego jak dieselpunk.
1601:  KMM - Świat wyniszczony, nie ma ropy naftowej.
1603:  KMM - Co robimy w takim razie?
1605:  KMM - No, wjeżdżamy na wielkich maszynach i
1607:  KMM - bum, spalić wszystkie zasoby ropy naftowej, które nam zostały.
1611:  KMM - To jest dosłownie cały Mad Max Fury Road, więc mam tutaj z tym problem, tak, to wszystko to, gdzie biorą te benzyny, raz jest pokazane, jak przelewa gdzieś z baku do innego baku, ale to jest, tak, ale to jest generalnie rzecz biorąc straszne marnotrawstwo i niedobre zarządzanie zasobami, co ja jako fan gier strategicznych krytykuję, bo przypominam, The Last of Us byłoby świetnym tower defense'em.
1632:  BFP - Co tu się odjebało, przepraszam?
1635:  BFP - W jaki sposób tutaj gdzieś wjechał Mad Max ze swoją przerysowaną stylistyką?
1641:  BFP - Co tu się w ogóle wydarzyło?
1642:  BFP - Na co razem wrzuć Aviomarine i oglądaj.
1645:  TN - Ja odpowiadając na twoje pytanie, Krzysztof, powiem tylko, że oni przejechali aktualnie około 2000 km ponad i są w połowie drogi.
1658:  TN - Kiedy?
1661:  TN - Między odcinkami.
1663:  TN - Prawda?
1664:  KMM - Jezus Maria.
1665:  KMM - Ja strasznie nie lubię, jak są takie cięcia, a nic nie rozumiem wtedy.
1670:  GW - Zdecyduj się, czy chcesz oglądać... Krzysztof, ja rozumiem, że ci nie pasuje, jak Galadriela przepływa pół morza, tak?
1677:  KMM - To się zgódźmy, tam to było absurd, ponieważ płynęła żabką, więc nie, nie, nie.
1681:  KMM - To jest zupełnie co innego.
1682:  BFP - Krzysztof, musisz się zdecydować, czy bardziej razi cię to, że jest cięcie i nie widzisz drogi, czy bardziej razi cię to, że pokonują drogę?
1688:  BFP - Nie wiem, muszę to przemyśleć.
1691:  S06 - Muszę to przemyśleć, co jest gorsze.
1693:  BFP - Krzysztof, siadaj na karnym jeżyku, siadaj na karnym jeżyku, zkiśnij tam sobie, wrzuć awiomarin i wróć do nas, dobrze?
1703:  BFP - Matko święta.
1706:  KMM - Filip przejął inicjatywę, ponieważ mówimy o poważnych rzeczach, mówimy o sukcesji w świecie postapokalipsy.
1714:  KMM - Trzeba siedzieć cicho, zewrzeć poślady i się zachwycać.
1721:  BFP - Nie, ja też muszę zwrócić uwagę na to, że jeżeli w kolejnych odcinkach, w tym odcinku jest bardzo dużo tej drogi i bardzo dużo podróży, czegoś, czego nie było w grze, bo w grze ten pacing... Ale tam było, oczywiście, że była, w sensie może nie pokonali 2000 kilometrów, ale tam było 250 mil, tak?
1739:  BFP - Tak, ale cięcia, cięcia, cięcia i skoki czasowe.
1743:  BFP - Bardzo dużo ich było.
1744:  BFP - I nie było czegoś takiego jak tutaj, i uwaga, nie było czegoś takiego jak w odcinku trzecim, na początku i na końcu, gdzie widzimy rzeczywiście, że oni zatrzymują się, uzupełniają zapasy, nocują.
1755:  BFP - Tego nie było.
1756:  BFP - Kompletnie tego nie było w grze.
1758:  BFP - Więc ja się zgadzam z Krzysztofem o tyle, że jeżeli znowu będę to oglądał w kolejnym i kolejnym odcinku, to już zacznie mnie to męczyć.
1765:  GW - Hmm, okej.
1767:  GW - Tym bardziej, że... Ale zraz wydaje mi się, że warto by zaznaczyć, że oni się nie teleportują, tylko jadą tym samochodem, patrzą na mapę, Eli tam gdzieś przyśnie i zawiedzie jako GPS i tak dalej, i tak dalej.
1780:  KMM - Nie, ale tak zupełnie serio nie wydaje mi się, żeby ten dystans został tak wyraziście zakomunikowany, chyba, że rzeczywiście odpadłem i nie zauważyłem tego.
1787:  TN - Było tam powiedziane, że chyba kilka dni jadą i że jeszcze mają 5 godzin przed sobą jazdy, więc w sumie można sobie pomyśleć, ile...
1795:  GW - Ale nie każdy robił sobie w głowie geografię Stanów Zjednoczonych, no ale wiadomo, że amerykocentryczność, ale ty Tomaszu uzupełniasz nasze wszystkie merytoryczne braki tutaj i informujesz ludzi na TikToku, na wszystkich mediach społecznościowych po to, żeby ludzie widzieli takie rzeczy, no ale generalnie nie przypominam sobie, żeby nas kiedyś aż tak bardzo egzaminowali z geografii Stanów Zjednoczonych, więc nie każdy to właśnie te odległości potrafi sobie w głowie wykonceptować.
1824:  KMM - Ja w szkole na geografii miałem rozmieszczenie świn w Stanach Zjednoczonych.
1829:  KMM - Niestety nie miałem rzek w Europie, bo to jest mniej istotne, ale o świniach się uczyliśmy.
1834:  KMM - Niestety nie było nas w Stanów.
1837:  KMM - To wiele wyjaśnia.
1838:  S01 - Przepraszam, musiałem.
1845:  BFP - Na pewno martwiłbym się, jakby ten serial nie tylko stawiał na tą drogę, ale jeszcze nie był w stanie tego przetkać wartościowymi dialogami, tym pogłębieniem relacji.
1853:  BFP - Bo jakby oni poszli w artsy-fartsy bullshit.
1855:  BFP - Gdzie mielibyśmy długie cięcia i ujęcia, w których jedzie Joel i po prostu leci Alone and Forsaken i milczy sobie Ellie i tak sobie jadą i jadą i jadą przez dwie minuty, to bym tego nie zdzierżył.
1867:  BFP - To tutaj byśmy byli w jednej drużynie, Krzysztof.
1871:  BFP - Ale póki udaje się to przetkać w jakiś sposób wartościowymi interakcjami, czy nawet tak zabawnym montażem, kiedy Ellie mówi, ja nie jestem zmęczona, po czym jest cięcie i widzimy, że śpi, to jest okej.
1880:  BFP - Ale ponownie uważam, że też jest tego sporo, biorąc pod uwagę poprzedni odcinek, bo mieliśmy 15 minut podróżowania między nimi, wciąż budowanie relacji, ale jednak podróży, chodzenia i właśnie takiej logistyki, to nie chciałbym chyba, żeby tego było za dużo w kolejnych odcinkach.
1895:  KMM - Ale to cięcie, które wspomniałeś, było super.
1897:  KMM - Ja się perliście zaśmiałem, jak to zobaczyłem, bo sobie pomyślałem, właśnie lubię inteligentne cięcia tego rodzaju.
1903:  KMM - Nie lubię, jeżeli są nadużywane po to, żeby skipnąć czas, ale to było pięknie wplecione w dialog.
1907:  KMM - Super.
1907:  KMM - Tak.
1910:  BFP - Zmiana, która jest względem gry, to to, że oni nie wybierają się do Pittsburgha, tylko wybierają się do Kansas City.
1916:  BFP - Tak, dokładnie.
1917:  BFP - Swoją drogą, to jest dokładnie ta scena i to jest ten kadr, kiedy nie widzimy tam Kansas City, w wersji, którą ja oglądałem z Tomkiem, za to widzimy, że po autostradzie jeżdżą auta.
1926:  BFP - I tak, to był taki moment, kiedy... czy może jakieś tam były budynki, ale nie było właśnie tyle tej roślinności, nie było tego... Blue screen, blue screen był.
1934:  BFP - Albo był bluescreen, tak.
1936:  BFP - Bluescreena jeszcze potem będzie więcej w kolejnych odcinkach, jak my widzieliśmy i to w najbardziej absurdalnych sytuacjach, ale powiem tak, gdybyśmy mieli możliwość i pokazali screeny na live'ie, to Krzysztof by skisł tak, jak jeszcze nigdy nie skisł na streamach.
1950:  BFP - To Krzysztof by nam dostarczył po prostu piklę w ciągu jednego streama.
1955:  BFP - Naprawdę.
1955:  BFP - Nie, piklę się nie kisi, przepraszam.
1958:  BFP - No ale to zmarynował.
1960:  BFP - Skisłbyś i zmarynował.
1963:  KMM - Nie chcesz iść w piklę, bo ja wtedy opowiem o doktorze Drakenie z kimkolwiek, który nie umiał otworzyć słoika z piklami i musiałam mu otwierać jego...
1972:  KMM - Pomocnica?
1973:  KMM - Tak chyba trzeba byłoby ładnie to nazwać?
1975:  KMM - Tak mi się wydaje.
1976:  BFP - Przepraszam, jest taki jeden niesprowokowany tekst, który właśnie napisał Jan Guzek.
1980:  BFP - Serwatka Krzysztofowa.
1981:  BFP - I chciałbym tylko po prostu, żeby to wybrzmiało.
1983:  BFP - O nie.
1984:  BFP - Tylko marynowane kurki jeszcze napisał Szczwany List.
1987:  KMM - Ale marynowane grzyby w tym świecie nie brzmi zbyt dobrze.
1991:  KMM - Chociaż można byłoby się zastanowić nad tym, czy marynata likwiduje ten wirus, czy nie, który nie jest wirusem.
1997:  S04 - Hmm.
2000:  TN - To dzisiaj... To są takie rzeczy... Pani Mykolośka powiedziała, że nie ma na to lekarstwa, więc myślę, że Maryna... Załóżmy, że nic na to nie pomoże po prostu.
2008:  BFP - Opacz na palmu.
2010:  BFP - Chciałem na etapie Maryna powiedzieć, że skończył nam się dzisiaj czas, ale zobaczyłem ten przepiękny kadr, który jest też żywcem wyjęty z gry.
2019:  BFP - Pomimo, że to jest Kansas City, a nie Pittsburgh, to jest dokładnie... Zresztą zauważcie, że strefy kwarantanny były budowane w taki sam sposób, no bo zaczynaliśmy pierwszy odcinek w strefie kwarantanny,
2029:  BFP - w Bostonie.
2030:  BFP - Tutaj mamy w Kansas City, ale to jest, kuś mnie, żeby powiedzieć tak brzydko, że to jest asset wyjęty żywcem z gry i umieszczony w serialu.
2041:  GW - Znaczy ja bym się nie zdziwił, jeżeli by właśnie wzięli albo przynajmniej design, albo nawet mesze z gry te w high poly i wtedy po prostu to nałożyli w CGI.
2053:  GW - Także tutaj to może nie być daleko od prawdy, że to podeszli w ten sposób.
2060:  GW - Zresztą tak samo chociażby z zainfakowanymi przynajmniej te podstawowe koncepty mogą być też przenoszone bezpośrednio z gry.
2070:  BFP - Metaverse napisał właśnie na czatach coś, co blew my mind, że Kansas City nie jest Kansas, ale w Mizuri.
2078:  S01 - Czy ktoś może to sprawdzić?
2079:  S01 - Czy po prostu ja tylko z siebie robię frajera?
2082:  GW - Ale tak.
2085:  GW - Nie okłamuje nas tutaj kolegami.
2087:  BFP - Niech ten obrazek wyrazi moją myśl w tym momencie, to co widzicie.
2093:  TN - Tutaj też pierwszy raz się dowiadujemy o tym, że to nie Fedra rządzi miastem, tylko zupełnie ktoś inny, bo na to zwraca uwagę Eli.
2104:  BFP - Cała ta scena jest niemal 1 do 1 jak w grze.
2110:  BFP - włącznie z gościem, który mówi somebody help me, tylko w grze jeszcze Joel mówi, że on wcale nie jest ranny, zapnij pasy.
2120:  GW - Natomiast wszystko, co się dzieje dalej jest znacznie... Właśnie chcę tu jedną rzecz zauważyć, dlaczego jednak dalej gry nie potrafią pisać tak efektywnie dialogów, nie efektywnie, a efektywnie dialogów jak w serialach.
2138:  GW - bo w grze mamy coś takiego, że tam zapnij pasy Ellie i jest tam dosłownie dwa, trzy słowa za dużo, bo do kogo do jasnej cholery Joel miał mówić w tym momencie i tłumaczyć i w ogóle...
2159:  GW - gdzie byłby ten czas na wytłumaczenie pewnych rzeczy jak trzeba działać teraz zaraz a w serialu po prostu zapnij pasy trzymaj się mocno napierdzielamy tak no bo te komunikaty są znacznie bardziej bezpośrednie szybsze wydajniejsze itd.
2176:  GW - I to jest właśnie problem między innymi z prowadzeniem narracji w grach, że przepakowuje się tam informacje, które na przykład można spokojnie się domyślić bez problemu.
2186:  GW - I to wychodzi w paru miejscach właśnie w tych scenach 1 do 1, o ile są te dialogi skracane i obcinane, nic dalej nie tracą sensu i esencji.
2196:  BFP - Tak.
2198:  BFP - Tak.
2199:  BFP - Jest to wciąż fanservice, ale... Wydajny fanservice.
2204:  BFP - Wydajny fanservice, tak, ale gdzieś... Zauważ też, że...
2210:  BFP - Widziałem to już chociażby w tym dialogu samochodowym i jeszcze w kilku dialogach, które nastąpią później w serialu, że starają się zadbać o pewną ekonomikę dialogu względem gry.
2220:  BFP - To znaczy poszerzają je tam, gdzie oczywiście jest na to przestrzeń, miejsce, wprowadzając w ogóle nowe sceny, ale tam, gdzie dialogi były dobre w grze, która jest cutscenką, niekoniecznie sprawdziłyby się w serialu.
2232:  BFP - I to naprawdę szanuję w jakiś sposób Craig Mazin, bo to on przede wszystkim przekładał to na scenariusz serialowy.
2240:  BFP - wiedział jak wziąć to co najlepsze, jak nie zepsuć, jak dawać fanservice, ale jednocześnie nie zrobić z tego trochę takiej autoparodii.
2248:  BFP - Wiesz o co mi chodzi, prawda?
2250:  TN - Ja myślę, że tutaj po prostu te dialogi są dostosowane do tego medium, jakim jest serial, a jeszcze odnosząc się do tych słów Krzysztofa, który powiedział, że zbyt dużo było tego siedzenia w samochodzie, ja z kolei miałem tutaj wrażenie, że zbyt szybko stracili ten samochód, bo tak naprawdę
2268:  TN - po 20 minutach odcinka i tylko 20 minut tego odcinka mieli ten samochód i od razu go stracili i dla mnie to było dosyć przykre.
2277:  KMM - A nie, to, że go stracili, to jest problem znowu z gospodarowaniem zasobami, ponieważ zauważcie, że później, niestety, nasi bohaterowie nagle zapominają, że ojej, tam mamy dużo zapasów i broni, ale to jest nieistotne.
2289:  KMM - Każdy gracz, i tutaj jest ten moment, w którym myślę, że większość osób się ze mną jednak zgodzi, każdy gracz miałby w tym momencie cały czas z tyłu głowy, Boże drogi, gdzie jest mój ekwipunek?
2299:  KMM - Najbardziej znienawidzone przeze mnie elementy fabuł w każdych grach, to jest to, kiedy ktoś mi odbiera mój ekwipunek.
2304:  KMM - W bara od mojego ekwipunku.
2310:  TN - Z jednej strony Joel podcina gardło nożem.
2314:  TN - Co ty z tym gardłem?
2316:  BFP - Co ty z tym gardłem do jasnej cholery?
2318:  TN - W każdym razie nie marnuje amunicji tylko po to, żeby ją zachować na później, ale oczywiście zostawia to, co jest w samochodzie, więc jest taka troszeczkę niespójność logiczna co do tego zachowania.
2329:  BFP - Tak, też ktoś to napisał w komentarzu pod moją recenzją, że on zostawił te
2335:  BFP - te karabiny i czemu?
2337:  BFP - Jakby mógł je wziąć, tak?
2339:  BFP - Przynajmniej jedną szczególnie, że tam skończyła mu się amunicja.
2341:  BFP - No ale tak, nie do końca też rozumiem to.
2344:  BFP - Natomiast wiem, że gdyby Krzysztof robił ten serial, to bohaterowie zrobiliby przerwę przed wjazdem do Pittsburgha na trzy miesiące, zbudowali garaż i tam zostawili auto, żeby było na później.
2353:  KMM - Nie, nie, nie, garaż, tylko rozstawili wieżyczki ogniowe, to jest bardzo ważne.
2357:  KMM - Proste jest stworzyć hub i później robisz sobie sidequesty wokół, to jest proste.
2361:  GW - Tak, poza tym jeszcze Krzysztof jakby chciał wnieść wartość edukacyjną, to bohaterowie serialu pokazywaliby jak wygląda algorytm wydajnego opakowania plecaka, tak zwane problemu plecakowego w programowaniu dynamicznym, gdzie byśmy optymalizowali przestrzeń jaką mamy do zagospodarowania.
2380:  BFP - Gdzie ty byłeś jak mama pakowała mi wałówę do tornistra?
2385:  GW - Czekaj, ile jesteś ode mnie starszy?
2387:  GW - Ile jestem od ciebie młodszy?
2390:  KMM - Ja ci powiem, Filip, co robił wtedy Grzegorz.
2393:  KMM - Grzegorz się uczył do przydatnego zawodu.
2396:  S01 - Faktycznie.
2398:  BFP - To jest jedyna rzecz, z którą muszę się dzisiaj zgodzić.
2400:  BFP - To prawda.
2402:  BFP - Ale kurde, nawet te wnętrza, nawet te wnętrza, zobaczcie, bo wciąż mówimy o praktycznej scenografii, są dobre.
2410:  BFP - To wygląda tak, jak powinno wyglądać.
2412:  BFP - To wygląda jak Łódź.
2415:  BFP - Nie, nie powinienem tego mówić.
2416:  BFP - Wydało się.
2418:  TN - Nawet było, jakieś kine było i nawet w kinie były filmy.
2423:  TN - Chyba filmy, tak.
2424:  TN - Tak, były filmy nawet z tego roku, a nie, bo to jest 2000, tak?
2428:  GW - Nie, z 2003.
2430:  GW - Naciągacze.
2431:  GW - To było z Shaw... Ridley'a Scott'a.
2435:  GW - Machstick Man i Underworld, tak.
2437:  GW - Swoją drogą, nie wiem, czy to nie jest specjalnie refka, dlatego, bo w Machstick Man jest koleś, który okazuje się, że ma 14-letnią córkę.
2445:  GW - Tak?
2445:  GW - Faktycznie!
2446:  GW - Tak.
2447:  S01 - Faktycznie.
2449:  GW - A w Underworld mamy walkę pomiędzy jakby no dwiema siłami, tam no wampiry i wilkołaki.
2455:  GW - Tutaj też się zastanawiam, czy to nie jest taki hit do Fedry i Hunterów.
2459:  BFP - Tak, to jest nawiązanie do Werewolf, coś tam, czyli filmu fikcyjnego, który pojawiał się z kolei w grze, bo oni nie mieli, nie wykorzystali prawdziwych filmów, ci tutaj wykorzystali prawdziwe filmy, a zaznaczmy już idąc tak po całości do tej króliczej nory, że match Stickman było z Nicolasem Cage'em, który to Nicolas Cage niedawno zagrał
2478:  BFP - Z Pedro Pascalem.
2479:  BFP - Wampira.
2480:  BFP - Też, ale chodzi mi o nieznośny ciężar masywnego talentu.
2484:  GW - A, faktycznie.
2486:  BFP - Ale pewnie ten film powstał jeszcze przed The Last of Us, mam takie poczucie.
2489:  BFP - Po The Last of Us.
2490:  BFP - Nie, nieważne.
2493:  BFP - Kurczę, no ja mogę tylko powiedzieć, żałuję, że nie widzę przemocy, tak?
2496:  BFP - Niech już będzie to cholerne podrzynanie gardła, którego faktycznie nie było.
2500:  TN - Tak, było wbicie w serce.
2501:  TN - Tak, było wbicie w serce.
2503:  TN - Prawdopodobnie.
2503:  BFP - Ale no niech będzie to wbicie w serce, no już to by mnie chociaż zadowoliło.
2508:  BFP - Ale to jest chyba ważna rzecz, którą chcę podkreślić.
2513:  BFP - Uczłowieczanie przeciwników i w ogóle uczłowieczanie antagonistów.
2517:  BFP - Tego nie było w pierwszym The Last of Us.
2519:  BFP - To byli jacyś hunterzy, to byli jacyś zabójcy.
2521:  BFP - Owszem, coś tam krzyczeli, o mój Boże, on zabił Briana.
2524:  BFP - Ale nie było żadnej motywacji, nie było czegoś takiego, co pojawiło się potem w The Last of Us Part II, gdzie dosłownie odstrzeliwujemy rękę przeciwnikowi, on kładzie się i płacze, błaga o litość.
2535:  BFP - To są naprawdę mocne rzeczy i trochę tak wydaje się, że przeszczepiono to do serialu.
2541:  GW - No dlatego właśnie mówię, tutaj jest jakość nad ilość, dlatego bo tutaj co prawda mamy chwilę strzelanina, ale potem i jeszcze tego jakby Ellie doświadczyła, a potem Joel kazał jej iść na bok po to, żeby nie zobaczyła czegoś innego, egzekucji człowieka, którym była go życie.
2558:  GW - Także to jest znacznie mocniejsze.
2560:  BFP - I poddał się i tak, i oddaje nóż, którym zostanie zabity.
2564:  KMM - to trochę i tak finalnie bez sensu.
2566:  KMM - To znaczy, nic to nie zmieniło, że nie oszczędził tego człowieka, więc ten... Ja nie rozumiem tej sceny, od razu powiem.
2573:  KMM - Znaczy, zmieniło za nie brutalności świata, nie?
2576:  KMM - No to tak, tak, tak, oczywiście, ale staramy się zrozumieć motywację Joela.
2579:  KMM - To znaczy, zakładam, że był już w wielu takich sytuacjach, że mógł stwierdzić, że to na pewno też jest jakaś gra, jakiś element...
2586:  KMM - z tkania sieci łudy przed nim itd.
2590:  KMM - Chociaż z drugiej strony fakt, że to był młokos i kazali mu to robić zapewne i on chciał do mamy i krzyczał, to było mocne bardzo i przykre.
2598:  TN - Zabił go, bo po prostu mógł zradzić ich lokalizację.
2601:  TN - Oczywiście, to było czysto praktyczne, to nie była złośliwość.
2606:  BFP - Co miał zrobić?
2608:  BFP - Czekać aż znajdą go koledzy?
2610:  BFP - No tak, więc... Ale taka ciekawostka, później jak oni zmieniają swoją lokację, to słychać jak jacyś goście znajdują właśnie tego Briana i mówią tekst dokładnie z gry.
2622:  BFP - To jest tekst dokładnie z gry, they killed Brian, czy coś takiego.
2627:  BFP - To jest dokładnie to, co także pojawia się w grze.
2631:  BFP - Więc te easter eggi są często...
2635:  BFP - Owszem, czasem bardzo takie oczywiste i na wierzchu, a czasem trzeba zwrócić na coś uwagę.
2640:  BFP - Tak jak powiedział już Grzegorz, że być może wykorzystali mesh z oryginalnej gry, żeby zbudować CGI tę bramę, którą widzieliśmy do strefy kwarantanny.
2655:  BFP - No i tak, to też jest dla mnie takie growe, jak oni się ukrywają za tymi samochodami, jak oni widzą, że przejeżdża auto czy samochód pancerny, to to jest totalnie gra.
2664:  BFP - Ale gdybyśmy na przykład mieli scenę akcji, która była w grze, gdzie ucieka się przed samochodem pancernym w wielu różnych lokacjach, ja nie wiem czy to by przeszło.
2674:  BFP - W sensie to mogłoby być ekscytujące, ale mogłoby być też po prostu naiwne.
2679:  KMM - Ja bym dowolał zdecydowanie, bo dla mnie to... Znaczy ja nie czuję odniesienia do gry w momencie, gdy typ się chowa za samochodem.
2687:  KMM - Kompletnie tego nie czuję, ale czułbym realia tego świata w momencie, w którym rzeczywiście doszłoby do jakiejś szaleń, uciekali, byłaby dynamiczna sekwencja akcji.
2695:  KMM - Cały czas powtarzam, mamy bardzo spokojny odcinek.
2697:  BFP - A to polecam ci Mad Maxa.
2698:  BFP - Mad Max ma dużo takich.
2699:  BFP - Tam cały czas uciekają.
2700:  KMM - Ja wiem, ja wiem.
2701:  KMM - To prawda, ale tam za dużo zużywali benzyny.
2704:  BFP - No więc właśnie.
2705:  KMM - Poza tym Mad Max to jest jeden wielki fetch quest.
2708:  KMM - Znaczy, Mad Max Fury Road to jest fetch quest jeden wielki, a tutaj mamy escort quest, to są inne gry.
2714:  BFP - Ale za tymi plot twistami.
2716:  BFP - Tak, to prawda.
2716:  BFP - Potem jadą w drugą stronę, więc kolego, to jest dobry fetch quest.
2719:  GW - Tam i z powrotem tego, że na piasku.
2720:  GW - Tam i z powrotem, tak, tak.
2725:  KMM - Nie, ale zauważcie, że w zasadzie nie wiemy, co się dzieje.
2728:  KMM - Gdzieś się ukrywają, nie wiadomo, jaki jest ich cel, nie wiadomo, co zamierzają zrobić, nie wracają do tego samochodu.
2732:  BFP - Wiemy, chcą się wydostać z miasta, napadnięto i stracili auto, muszą się wydostać z koncesji.
2737:  KMM - No dobra, ale gdzie jest logika w działaniu, jeżeli zastrzeliłeś wszystkich ludzi, którzy cię atakowali, masz samochód, masz w nim benzynę, to wbijasz do tego samochodu i uciekasz.
2747:  KMM - Zmieniasz opony, tak?
2749:  KMM - Znaleźć opony, coś zrobić, whatever.
2753:  KMM - A oni stwierdzają, okej, to pójdźmy na twarte piętro i się kimnimy.
2756:  BFP - Ale przecież tam właśnie trafili, znaczy wszyscy się zlecieli w miejsce, w którym doszło do strzelaniny.
2762:  BFP - Nie mogli tam zostać i zmienić opon.
2764:  BFP - Jedyne, co mogą zrobić, to wejść na najwyższy szczyt budynku, żeby ocenić sytuację.
2768:  BFP - Tak zrobili racjonalnie ludzie.
2770:  TN - Kansas City jest dosyć dużym miastem i też wiedzą, że jest przejęte przez kogoś, kto może ich ostrzelać z każdego miejsca, więc myślę, że jechanie samochodem byłoby dosyć niebezpieczne przez takie miasto, co w sumie już pokazało na samym początku, kiedy do niego wjechali, tak?
2784:  TN - Już od razu ten samochód został przejęty i mogło ich doczekać również w dalszej części miasta.
2792:  BFP - Tutaj Hina Geek, myślę, trafnie to ujął, po prostu Krzysztof nie lubi escort questów i tyle.
2800:  KMM - To jest prawda.
2801:  GW - No tak naprawdę to jest... No to wiesz, no to musisz mieć problem z całym tym serialem, no bo... Ale Krzysztofie, zauważ, że oni się teraz bunkrują w jednym miejscu i jest szansa z kolei na Tower Defense, tak czy tak?
2813:  GW - Właśnie, patrz!
2814:  KMM - Zobaczymy, co będzie w kolejnym odcinku.
2817:  KMM - Może znajdą mi otaczodnia.
2819:  KMM - Jak znam życie w kolejnym odcinku, będzie plus 20 lat później.
2822:  BFP - Wszyscy już rozpracowali Krzysztofa i wiemy, jak dogodzić Krzysztofowi.
2826:  BFP - Także always look on the bright side of life.
2828:  BFP - Nawet postapo.
2830:  BFP - Ta scena i pojawienie się Kathleen była dla mnie pewnym zgrzytem.
2838:  BFP - Chciałem obserwować dalej, co będzie działo się z Joellen i Ellie, kiedy już podnieśli napięcie.
2844:  BFP - Skoro już muszą uciekać, skoro już się ukrywają, to...
2847:  BFP - Ja nie chciałbym wymiany opon, ale chciałbym widzieć dalej, co się dzieje z Joelem i Ellie.
2852:  BFP - Bez przerywania tego.
2853:  BFP - Chciałbym widzieć, jak trochę więcej scen akcji, jak właśnie muszą zachowywać ostrożność, jak ukrywają się, jak czują, że mają dosłownie już oddech na plecach tych...
2864:  BFP - ludzi z ruchu oporu i może dowiadujemy się więcej o tym ruchu oporu, nie oglądając ich de facto, tylko słuchając o nich z perspektywy Joella i Eli, czyli podsłuchując ich rozmowy.
2875:  BFP - To by było dla mnie trochę ciekawsze.
2877:  TN - Ale z kolei pewnie mniej by do fabuły jednak wnosiło, a tutaj się jednak czegoś więcej dowiadujemy na temat tej organizacji.
2886:  TN - To prawda.
2888:  GW - Znowu masz zamiast na parzanki masz zwiększenie jakby powiedzmy gęstości tego świata.
2895:  GW - Także wiesz, że to nie są NPC do strzelenia, tylko że to są ludzie i jakoś pewnie ich losy powiążą się w kolejnym odcinku.
2903:  GW - Ale faktem jest, że znowu tu wychodzi to, że Mazin z Drakmanem chcieli zrobić coś bardziej artsy.
2913:  GW - I jak przy pierwszym odcinku producenci powiedzieli, że ni cholery panowie, bo tak się nie robi serialu, który ma złapać za powiedzmy serca, to tak samo tutaj już im tego nie wskazali, bo pewnie stwierdzili, że jak utną kolejny odcinek, to skrócą serial, nie będzie się opłacało te subskrypcje, troszeczkę im potencjalnie mogą zmaleć itd., itd.,
2940:  GW - Więc tutaj biznesowo po prostu polecieli, bo bankowo, tak jak w przypadku pierwszych dwóch odcinków, tak samo tutaj jak już Filipie sugerowałeś, zapewne by sugerowali też połączenie tych dwóch i no właśnie wychodzi jakaś taka
2957:  GW - Jeżeli chodzi o Drakmanę, to jeszcze mnie to nie dziwi, ale w przypadku Benzina to mnie dziwi, że zastosowali taki zabieg, że w taki sposób poszatkowali tą fabułę, że ona z tych dwóch odcinków faktycznie złoży coś ciekawego, ale to jest tak poprowadzone, że te dwa odcinki obok siebie w odległości tygodnia, jestem w końcu w stanie przyznać tutaj bardziej rację Krzysztofowi, że to jest błąd, że nie ma dwóch naraz.
2983:  BFP - Nie, to ja to samo powiedziałem.
2985:  BFP - Tak, ja również się zgadzam z tym.
2987:  BFP - Zastanawia mnie, co powie Krzysztof odnośnie tego złamania nici fabularnej i wplecenia tego wątku z ruchem oporu, ale może ja teraz zabrzmię jak Krzysztof.
2997:  BFP - Ja naprawdę wolałbym, żebyśmy zostali dłużej z Joelem i Ellie i posłuchali o tej Kathleen.
3002:  BFP - z perspektywy ich ukrywających się.
3004:  BFP - Po prostu widzieli, jak oni się ukrywają, jak są już spoceni, przerażeni i zmęczeni i słyszą w jakimś dialogu, jak ktoś mówi, Katlin nie będzie zadowolona.
3013:  GW - Chciałbyś mieć takie poznawanie fabuły świata, tak jak w grach, czyli że oni przemykają się pomiędzy jakimiś patrolami, a oni mówią, tej Katlin to już całkiem odjebało.
3022:  GW - A my musimy...
