🔴 Odpalamy live'a i Krzysztofa jednocześnie || Q&A Bez/Schematu #1
🔗 https://www.youtube.com/watch?v=4VFsqqQ8tk4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

1:  KMM - Chyba trzeba dwa razy dać też na YouTubie.
2400:  BFP - To jest miasto, które bardzo się zmieniło i Krzysztof, jak pojawił się pierwszy raz od dawna w Łodzi, to jaką rundkę w ogóle zrobiliśmy po bistro, po lokalach, po tapasach, no.
2412:  BFP - Także polecam Łódź.
2412:  KMM - Tak, to przyznaję.
2413:  KMM - I były dobre steki też.
2415:  KMM - Wystarczy, że gdzieś są dobre steki, to już ja jestem zadowolony.
2417:  KMM - Przecież to już kocha miasto, tak?
2419:  KMM - Jak jest dobry stek, to... Nie no, jest tylko jedno miasto, co do którego wszyscy się solidarnie zgadzają w Polsce, że jest, jakie jest.
2426:  KMM - To znaczy Brzydgoszcz i co do tego nie ma najmniejszych wątpliwości.
2429:  KMM - Chociaż oczywiście pozdrawiamy wszystkich z Brzydgoszczy.
2433:  KMM - Lecimy dalej, zanim zawikłem się w tę dygresję.
2436:  KMM - OLAX23.
2438:  KMM - Dlaczego mi to przypomniało film K-Pax?
2440:  KMM - Nie wiem.
2440:  KMM - Wymienicie dzieła, filmy, seriale, książki i you name it, szanuję za ten zwrot, do których wracacie, bo są tak dobre i waszym zdaniem każdy powinien je znać.
2450:  KMM - Filip, teraz ty zaczynasz i teraz ja ciebie wrzucam pod pociąg.
2453:  BFP - Skyler, kocham Poznań.
2455:  BFP - Jest wśród moich ukochanych miast, powiedziałbym Trójmiasto, bo w pakiecie, trzy w jednym, Kraków, Wrocław, Poznań i Łódź.
2465:  BFP - Nie przepadam za Warszawą, ale Poznań jest tej piące.
2470:  BFP - dzieła seriale, do których wracamy tak nie będę oryginalny, jeżeli powiem The Last of Us bez schematu jest esej dlaczego The Last of Us jest najlepszą grą mojego życia
2483:  BFP - I potem okazało się The Last of Us Part II i uważam, że jest grą jeszcze lepszą.
2486:  BFP - Bioshock, Starcraft 2, Baldur's Gate 2 i Pillars of Eternity.
2494:  BFP - No mógłbym tego sporo mnożyć, są gry, do których po prostu kocham wracać.
2498:  BFP - Ale są też filmy, ja bym, o, wiecie co, inaczej.
2502:  BFP - Znajdźcie taki esej na bez schematu, który nazywa się Gry jak dom.
2507:  BFP - Czyli dlaczego kochamy wracać do pewnych światów.
2510:  BFP - I podawałem tam przykład kilku, dla Krzysztofa taką grą, dla większości z nas jest chociażby Wiedźmin 3.
2517:  BFP - Jak wracamy tam, to czujemy, że jakbyśmy usiedli z dobrym łyski, z lodem, na bardzo wygodnym, bujanym fotelu, przy cieplutkim piecyku albo ognisku w palenisku i puścili sobie dobrą muzykę jazzową.
2533:  BFP - To jest mniej więcej to uczucie, które ma się, kiedy włącza się Wiedźmina 3, Red Dead Redemption 2, które kocham grać, Radek Pisula, którego pozdrawiamy z tego miejsca.
2542:  BFP - Ja z Radkiem się zasadzam od dwóch lat na zrobienie materiału o tym, dlaczego tak bardzo kochamy po dziadersku grać w Red Dead Redemption, delektując się wszystkim, co się dzieje w tej grze, nawet niekoniecznie patrząc na samą narrację.
2554:  BFP - I pewnie jak Krzysztof skończy Red Dead Redemption na swoich live'ach, to zrobimy ten odcinek we trójkę.
2559:  BFP - Więc jest takie przyjemne uczucie
2563:  BFP - to się mówi third place bodajże, trzecie miejsce, czy trzeci dom, trzecie miejsce.
2568:  BFP - Jest dom, jest praca i mamy to trzecie miejsce, gdzie czujemy się, że nie jest ani domem, ani pracą i to często są gry, to są filmy.
2575:  BFP - Więc jeżeli chodzi o filmy, to wszystkie filmy Nolana, jeżeli chodzi o
2580:  BFP - O, bajki Pixara.
2581:  BFP - Animacje Pixara są tym, co kocham za każdym razem, jak leci w telewizji, oglądam bajki Pixara, bo czuję się wtedy po prostu dobrze.
2588:  BFP - Więc tyle ode mnie.
2589:  KMM - To jest piękna metafora tego trzeciego domu.
2591:  KMM - Wiecie dlaczego?
2592:  KMM - Dlatego, że eskapizm, to znaczy zawsze myślimy przez to, że tak nas nauczono, że eskapizm to jest ucieczka od rzeczywistości, a tymczasem Tolkien w Drzewie i Liściu mówi, że to jest ucieczka do rzeczywistości.
2605:  KMM - Nie win więźni,
2606:  KMM - za to, że chce uczekać z więzienia.
2608:  KMM - Jest piękne.
2610:  KMM - Uciekamy na wolność, tak?
2612:  KMM - I dlatego ten trzeci dom mi się strasznie podoba.
2614:  KMM - To jest piękna metafora.
2615:  KMM - Dla mnie jest... Ja mam bardzo dużo takich trzecich domów.
2618:  KMM - Do opowiadań często wracam.
2620:  BFP - Przepraszam, że przerwałem czołem Mateusz, który...
2623:  BFP - Jest fanem bez schematu i opalał się na live'a.
2626:  KMM - Tak już jeszcze nawiązujemy do czatów, to widzę, że Stachu pyta o Gęślin Impact.
2630:  KMM - Gęślin Impact był dla mnie przez pewien czas takim trzecim domem.
2634:  KMM - W tym sensie, że w Gęślinie jesteśmy w stanie rzeczywiście wybudować ten dom.
2638:  KMM - O, dziękujemy Livio Jurkiewicz za trybut.
2640:  KMM - Swoją drogą, Livia jest mistrzynią robienia timestampów do live'ów.
2644:  KMM - Parę razy zrobiła takie do Red Dead'a, że szczęka została mi na podłodze i już stamtąd nie wróciła.
2649:  KMM - Musiałem iść na operację i do dzisiaj...
2651:  BFP - Krzysztof Lamy 1, Krzysztof Lamy 2, Krzysztof Lamy 3, Krzysztof Lamy 24.
2655:  KMM - Nie, to tak nie było.
2657:  KMM - To były bardzo lore'owe komentarze, więc szanuję, szanuję bardzo.
2660:  KMM - Ale wracając do tego trzeciego domu, bo to jest właśnie ta piękna część nie gameplayowa gier, tak?
2665:  KMM - To znaczy, że wracamy do nich dla doświadczenia narracyjnego, dla bycia w innym świecie i Genshin to dobrze robił.
2673:  KMM - To znaczy moment, w którym jesteśmy w stanie wybudować swoje domostwo w imbryczku, który jest taką kieszenią astralną, do której wracamy, to jest potężne.
2682:  KMM - Mam nadzieję, że więcej twórców gier będzie robić takie rzeczy.
2684:  KMM - Jeżeli miałbym wymienić takie swoje trzecie domy, takie moje własne imbryczki, do których często wracam, ja bym tak z Silmarillionem Tolkiena.
2691:  KMM - Ja muszę jeden raz w roku przeczytać Silmarillion Tolkiena, bo inaczej jestem chory.
2694:  KMM - Nie dlatego, że to jest dobrze napisane, chociaż jest to napisane lepiej niż Władca Wierszyni, dlatego że pisał to Guy Gavrielka i Christopher Tolkien, a nie J.R.R.,
2701:  KMM - Ale to jest niepopularna opinia.
2703:  KMM - Natomiast jeżeli chodzi o filmy, mam tak z epickimi dramatami quasi-fantastycznymi typu Ostatni Samuraj, Dom Latających Sztyletów, czyli Wuxia też.
2715:  KMM - Uwielbiam to absolutnie.
2715:  KMM - Wyznania gejsze, ja kocham ten film, mogę to oglądać co roku absolutnie.
2719:  KMM - Ostatni Samuraj to jest taki mój must watch.
2722:  KMM - I to rzeczywiście jest coś, do czego wracam, mimo że znam fabułę, nawet z moją pamięcią powiedzmy, że jakoś to idzie.
2728:  KMM - Ale ja wracam dla wrażenia pewnego, które mam.
2730:  KMM - I jeśli chodzi o serial, dla mnie takim serialem był Westworld przez długi czas, do czasu, aż się ukazał ostatni sezon i gra o tron.
2738:  KMM - Nie no, ostatniego sezonu ja nie... Ja będę się kłócił z tobą z ostatnim sezonem, ponieważ tam ostatnia scena w ostatnim sezonie to jest taki rip-off Fight Clubu, że to jest aż przykre i tak się nie robi.
2750:  KMM - Kieszeń Astralna brzmi przepięknie.
2752:  KMM - Kieszeń Astralna ukradłem, babojago, z Neverwinter Nights.
2755:  KMM - Tam ostatnia sekwencja w Neverwinter Nights 2, jedna z ostatnich, dzieje się w Kieszeni Astralnej.
2763:  BFP - Ja tutaj szybciutko anegdotę wrzucę.
2766:  BFP - Sebastian, oczywiście pozdrawiam cię.
2768:  BFP - Sebastian Paliwe napisał, Bartek, a dlaczego?
2770:  BFP - A pozdrowienia dla mnie, co z pozdrowieniem dla mnie?
2773:  BFP - Otóż Sebastian jest moim serdecznym kumplem, z którym kilkukrotnie występowałem na żywo, na różnych wydarzeniach.
2780:  BFP - I Sebastian jest też stand-upperem.
2783:  BFP - I gość ma mocne poczucie humoru.
2785:  BFP - I Sebastian ma taką tradycję, że jak założyłem bez schematu, a my się znamy już ze cztery latka,
2792:  BFP - to zawsze takim leitmotivem było to, że ludzie pisali, Jezu, ale dlaczego ty masz tak mało subów?
2798:  BFP - Czemu tak mało wyświetleń na film?
2800:  BFP - Robisz takie zajebiste materiały, a tak mało wyświetleń na film.
2803:  BFP - No więc w końcu zacząłem robić tę formułę, pamiętajcie, żeby subskrybować Bez Schematu i kliknijcie dzwoneczek.
2808:  BFP - Gdziekolwiek się nie pojawiliśmy.
2809:  BFP - A najczęściej pod wpływem alkoholu Sebastian chodził do ludzi, dosłownie na wydarzeniu,
2817:  BFP - Podchodził do stołów, jacyś ludzie w garniturach, w frakach siedzą, w sukniach pięknych, wieczorowych, a Sebastian podchodzi, bierze mnie i mówi, to jest Filip, to jest on prowadzi bez schematu, subujcie i pamiętajcie, żeby kliknąć dzwoneczek.
2831:  BFP - Ale to piękne.
2833:  BFP - I ostatnio występowałem na Hackathonie, gdzie w ogóle byli licealiści, którzy coś kodowali.
2837:  BFP - I w ogóle wystąpił i puścił muzykę z Enter Sandman.
2841:  S07 - I powiedział, ludzie, założyciel bez schematu, Bartosz, Filip, Malinowski, kliknijcie dzwoneczek.
2850:  BFP - To był jakby... Przeżyłem już sporo żenujących rzeczy w moim życiu, ale Sebastian, Sebastian... Ja zrozumiałem, co to znaczy...
2861:  BFP - zdjąć pancerz, kiedy poznałem Sebastiana.
2864:  BFP - Żaden pancerz nie ochroni Cię przed ciosami Sebastiana.
2867:  BFP - Także pozdrawiam Cię, stary.
2869:  BFP - Jedziemy dalej.
2869:  KMM - Ja mam follow, muszę mieć follow-up, ponieważ pojawił się na czatach Rysław.
2872:  KMM - Jeżeli nie znacie audycji Grysław, co jest prawie niemożliwe, to macie ją poznać.
2876:  KMM - To jest Wasze zadanie domowe.
2877:  KMM - Tak, zadałem Wam zadanie domowe.
2880:  KMM - I zarówno na Spotify, jak i na YouTubie, więc wbijajcie.
2882:  KMM - I Rysław pisze, że tłumaczył kieszeń astralną z dewelopmentera drugiego i nawet nie miałem tej świadomości.
2886:  KMM - Zajebista sprawa.
2888:  KMM - I jeszcze coś innego wyczytałem z czatów, mianowicie wyczytałem trzy piękne słowa.
2893:  KMM - Guy, Garville i Kay od Krzyszton Offa.
2896:  KMM - I to jest rzeczywiście proza, którą faktycznie musiałbym wymienić jako jedną z tych, do których wracam, bo jest to po prostu przepiękna rzecz.
2903:  KMM - I jeżeli nie znacie prozy Guy'a, Garville'a, Kay'a, a na przykład nie jesteście przekonani do fantastyki za bardzo, a lubicie prozę historyczną, to przeczytajcie Lwy Alrasanu albo Sarantyńską Mozaikę.
2913:  KMM - No, nie będziecie żałować.
2916:  KMM - Mika.
2917:  KMM - zadaje najważniejsze pytanie tego wieczoru.
2922:  KMM - Potrzebujemy solennej ciszy, pełnego skupienia i wzmożonych ślinianek, ponieważ pytanie dotyczy tego, czy sernik należy jeść w jedyny słuszny sposób, czy też z rodzynkami.
2935:  KMM - Filipie, odpowiedzi na twoje pytanie zależy nasza przyszła współpraca.
2942:  BFP - Co to są rodzynki?
2945:  KMM - Rodzynki to są stroskane winogrona, jak powiedział Oscar Wilde.
2948:  KMM - To jest bardzo dobra odpowiedź.
2951:  KMM - Jedyna słuszna.
2953:  KMM - Winogrona należy spożywać wyłącznie w postaci sfermentowanej w winie.
2958:  KMM - Jeszcze lepiej w jakimś szlachetniejszym odmianie wina, ale nie w postaci stroskanej.
2966:  KMM - Absolutnie nie.
2967:  S05 - Grzegorz.
2970:  S05 - To się nie dogadamy.
2971:  KMM - Grzegorz wychodzi biedny.
2973:  BFP - Grzegorz, jeżeli chodzi o kulinaria, jest jakby jego podniebienie, jego paleta, to sięga w ogóle jakiejś finezji, której my nie jesteśmy jako szaraczki w stanie pojąć, więc jak ostatnio robiłem taką metaforę, że to jest tak słabe jak połączenie sera koziego z czekoladą, to napisał do mnie na privie Grzegorz i powiedział, stary...
2995:  BFP - Ja nie wiem.
2995:  BFP - Ja nie wiem, co dalej z naszym przyjacielem.
2998:  KMM - Nie no, co ty chcesz?
2999:  KMM - Ser kozi z czekoladą?
3000:  KMM - Przepyszna sprawa.
3002:  KMM - Nie, żartuję.
3003:  KMM - Tak naprawdę to nie.
3005:  KMM - Widzę, że na czatach od razu jest żywiołowa dyskusja.
3008:  KMM - To jest przepis na żywiołową dyskusję na czatach.
3012:  KMM - Wolfi jeszcze raz pyta.
3013:  KMM - Wolfi ma parę pytań dzisiaj wyselekcjonowanych przez nas.
3017:  KMM - A gdzie jest to pytanie dotyczące tego, jak się poznaliśmy?
3022:  KMM - Poczekaj, uspokój się.
3024:  KMM - My jesteśmy, jak mawia Food Emperor, na półpizdę, nie na pełną pizdę.
3028:  KMM - Więc spokojnie.
3029:  KMM - To jest ten moment, kiedy algorytm YouTube'a wjedzie na białym rumaku.
3033:  KMM - Czy jest jakikolwiek kulturowy temat?
3035:  KMM - którym nie jesteście zgodni, ale tak diametralnie, ale tak diametralnie, że nie idzie za nic przekonać tego drugiego.
3043:  KMM - Oraz czy jest coś, do czego się nawzajem przekonaliście.
3046:  KMM - Chyba, nie wiem, czy używanie kontrolera do PSA jest kulturowym tematem, czy nie.
3052:  BFP - Ale ty zostaniesz prezent na urodziny, o, nie będziesz... Oj, oj, oj, oj, oj, oj.
3058:  BFP - Znaczy na pewno, do masy rzeczy się przekonaliśmy kulturowo i cały czas się przekonujemy.
3064:  BFP - Natomiast co ciekawe, Krzysztof, który był w szkole muzycznej, ma zupełnie odmienny guz guzyczny.
3071:  BFP - Muz guzyczny.
3072:  S05 - Muz guzyczny od mojego.
3075:  BFP - Ja na przykład kocham muzykę w takim sensie, chciałem zrobić announcement, ale to powiem tylko, możecie się spodziewać w najbliższym czasie nieco więcej materiałów o muzyce na bezschematu.
3087:  BFP - A więc ja kocham masę gatunków muzycznych, jestem na przykład szalonym fanem death metalu, uwielbiam Cannibal Corpse, uwielbiam Morbid Angel, kocham muzykę elektroniczną, smooth jazz, kocham trip hop, massive attack, portis, no mógłbym mnożyć, mnożyć, kocham muzykę, żyję muzyką.
3106:  BFP - I tu na pewno nie mamy tak wspólnego języka ja i Krzysztof, jeżeli chodzi o tematy muzyczne.
3112:  KMM - Tak, to jest trochę tak, że to jest taki odległy archipelag, w stronę którego moje okręty nie żeglują.
3118:  KMM - Moje okręty żeglują po spokojnym morzu ambientowych dźwięków, które są wspaniałe pod tym względem, że nie trzeba z nimi identyfikować nazw zespołów, nazwisk wykonawców, tytułów piosenek, treści tych piosenek, czyli wszystkiego, co mój mózg by wyparł i nie zapomniał.
3136:  KMM - I tak samo zawsze uwielbiałem muzykę filmową i muzykę z gier wideo, ale instrumentalną.
3140:  KMM - To znaczy w momencie, w którym się pojawia jakikolwiek wokal, Krzysztof odpływa, ponieważ mój mózg nie jest zdolny do robienia dwóch rzeczy na raz.
3147:  KMM - Za dużo na raz.
3148:  KMM - Tak, tak.
3149:  KMM - Głos, muzyka.
3150:  KMM - Nie da rady, to jest za dużo po prostu i to dotyczy wszystkiego, począwszy od naprawdę kultowych piosenek, które mi się podobają, ale ja je słyszę jako taki amalgamat dźwięków, z którego nie wyróżnia mi się w żaden sposób tekst i jak ludzie mi podsuwają coś pod nos, to wtedy ja się dziwię.
3166:  KMM - Najgorsze były lekcje angielskiego pod tym względem, bo oczywiście, żeby dzieci się uczyły chętniej języka angielskiego, no to co pani, puszczono piosenki, puszczali, Krzysztof miał przejebane, no ja nic nie rozumiałem.
3179:  KMM - Jak jeszcze wcześniej mogłem powiedzieć, że rozumiem cokolwiek, to jak to już przybierało formę muzyczną, no to było źle.
3186:  KMM - A jeżeli się przekonałem do czegoś, to Filip jest jedną z tych osób, która mnie przekonała do solsów.
3191:  KMM - Nie będę tutaj nic mówił.
3193:  KMM - Przekonywał bardzo długo.
3195:  KMM - rok konkretnie, więc da się przekonać.
3198:  KMM - I przekona mnie również do tego, że montaż dźwięku i wideo może być czasem bardzo takim pomocnym środkiem przekazu, który wzbogaca przekaz naturalny, słowny.
3211:  KMM - To są takie dwie rzeczy, które mogę od kopa wymienić.
3218:  KMM - Lecimy dalej.
3220:  KMM - Jaki był nasz ulubiony przedmiot szkolny?
3227:  KMM - Ja?
3229:  KMM - No, lepiej, żeby mnie, to był ja.
3234:  BFP - Myślałem nad tym pytaniem i próbowałem wejść w psychę mnie sprzed 20 lat.
3245:  BFP - I za każdym razem miałem takie wrażenie, że nigdy nie myślałem przedmiotem tylko prowadzącym albo prowadzącą.
3251:  BFP - To było to, co mnie przyciągało do danego tematu, to było to, co sprawiało, że czekałem na jakieś zajęcia, bardziej niż na inne.
3257:  BFP - I dlatego bardzo lubiłem zajęcia z języka angielskiego, bo miałem świetne nauczycielki.
3265:  BFP - I zaskoczę Was, ja jestem ateistą, ale chodziłem na religię.
3271:  BFP - I uwielbiałem zajęcia w gimnazjum,
3275:  BFP - Z religii, bo mieliśmy, naprawdę nie spodziewałem się, że to powiem, bo jestem antyklerykałem, a jestem też antyreligijny generalnie.
3283:  BFP - Miałem fantastyczne zajęcia z niezwykle otwartym na świat, na odmienne poglądy księdzem, który zawsze inicjował ciekawą dyskusję.
3292:  BFP - Nigdy mógł mieć jakieś swoje przekonania i poglądy, bo inaczej pewnie nie założyłby koloratki.
3297:  BFP - ale naprawdę to była ciekawa dyskusja.
3300:  BFP - Wszyscy czekaliśmy na te zajęcia.
3302:  BFP - To nie była katecheza, to była po prostu świetna dyskusja i to było fun.
3307:  BFP - I to jest to, co przychodzi mi na myśl, czyli nie przedmioty, a ludzie, którzy je prowadzili.
3312:  BFP - Jakby charyzmatyk potrafi Was przyciągnąć do tego, czym się zajmuje.
3317:  BFP - Ktoś, kto zaraża tą pasją na poziomie neuronów lustrzanych sprawia, że przyswajacie te informacje, a czasem spojrzecie na nie inaczej niż wcześniej patrzyliście, kiedy otwieraliście kartki podręcznika.
3330:  KMM - Czyli teraz ja, tak?
3331:  KMM - Oczywiście mnie bardzo kusi, żeby odpowiedzieć na to pytanie, że moim ulubionym przedmiotem był piórnik i w ten sposób mógłbym uniknąć odpowiedzi, zwłaszcza, że miałbym pyszną anegdotę do podbudowania tego komentarza, mianowicie jak pani w podstawówce pytała dzieci, co mają w piórniczku, no to oczywiście każde dziecko mówiło, że...
3349:  KMM - Mam różową gumkę, nie, nie taką.
3352:  KMM - Mam ołóweczek, mam długo.
3355:  KMM - I wiecie, tak z podręcznika, ładnie, schematycznie, po linijce, wzdłuż linijki, nie wychodząc za margines.
3361:  KMM - Takie były odpowiedzi szyte.
3363:  KMM - I mój serdeczny kolega z podstawówki stwierdził, że on odpowie bez schematu.
3367:  KMM - No i odpowiedział, śrubki, śmieci, brudne papierki.
3372:  KMM - I tak leci z taką listą wyjętą żywcem z gargantu i Pantagruela Rablego.
3379:  KMM - Na cztery strony wymieniał wszystkie śmieci, które miał w piórniku.
3383:  KMM - Nigdy się tak głośno nie śmiałem.
3384:  KMM - Natomiast jeżeli chodzi o...
3386:  KMM - przedmioty takie ogólne, to odpowiem szczerze, bo oczywiście chętnie bym powiedział żaden i zaczął rant, ale szczerze, gdybym miał powiedzieć, to była to historia i to dzięki absolutnie genialnemu historykowi, którego miałem za każdym razem, na każdym etapie szkoły, wszyscy mieli absolutnie, absolutnie
3403:  KMM - absolutnie wyjebany na program szkolny i po prostu robili gawędę.
3407:  KMM - Ale taką gawędę, że człowiek był przyssany po prostu do ust prowadzącego w dobrym tego słowa znaczeniu i spijał każdą głoskę.
3416:  KMM - Coś niesamowitego absolutnie.
3418:  KMM - Pierwszy historyk nauczył nas notować coś w czwartej klasie szkoły podstawowej, kiedy wszyscy metodycy mówią, że to jest niemożliwe.
3424:  KMM - Drugi historyk kosztował Gwiezdne Wojny.
3426:  KMM - Nie muszę mówić nic więcej.
3428:  KMM - A trzeci historyk po prostu nas szanował w liceum, dawał nam przestrzeń i rozumiał, że matura jest stresująca i cały czas robił z nami taki zajebisty konkurs, gdzie wynajdywaliśmy błędy w podręczniku i pokazywał nam cały czas, uczył nas wątpienia w literę podręcznika i tłumaczył nam, jak podręczniki powstają, że to jest synteza, że to jest głupota i że tak naprawdę historia to jest zawsze opowieść fikcyjna kogoś na jakiś temat,
3454:  KMM - a nie dany obiektywnie obraz, więc ogromne pozdro dla Marcina Spórny, który mnie w ten sposób uczył.
3460:  KMM - Często jeżdżę po nauczycielach, ale tutaj mówimy bez schematu, więc tak, jeżeli miałbym powiedzieć o ulubionym przedmiocie szkolnym, byłaby to historia.
3468:  KMM - O dziwo, o dziwo, zupełnie o dziwo.
3473:  KMM - Za poważnie się znowu zrobiło.
3476:  KMM - Jaką trylogię?
3477:  BFP - No gdzie to pytanie?
3478:  KMM - Nie wiem, gdzie to pytanie.
3480:  KMM - Majtaliśmy tymi pytaniami, to pewnie dlatego.
3482:  KMM - Za bardzo zamajtałeś.
3485:  KMM - To teraz po tym pytaniu robimy announcement.
3487:  KMM - Jaką trylogię lub serię książkową najbardziej życzylibyście sobie, aby przeniesiono na wielki lub mały ekran?
3494:  KMM - I kogo widzielibyście za starami produkcji?
3498:  S04 - Chcesz zacząć?
3501:  S04 - Nie.
3501:  BFP - Muszę się zastanowić i przypomnieć sobie.
3503:  BFP - U mnie to jest bardzo proste.
3505:  BFP - To jest najlepsza trylogia science fiction, jaką w całym swoim życiu czytałem.
3511:  BFP - Polecam ją z tego miejsca.
3512:  BFP - Polecałem ją wam też na Discordzie.
3515:  BFP - Tych, którzy są na Discordzie Krzysztofa.
3517:  BFP - To jest wspomnienia o przeszłości ziemi Liu Cixina, chińskiego pisarza.
3523:  BFP - To jest Problem Trzech Ciał.
3526:  BFP - Ciemny las i koniec śmierci.
3529:  BFP - To jest coś, co rozsadziło mi mózg do 11 wymiarów.
3533:  KMM - To może rozsadać mózg.
3535:  BFP - I wiem, że są plany nakręcenia.
3540:  BFP - Nie wiem, kto się za to zabierze.
3541:  BFP - Boję się, bo to jest tak epickie, tak niesamowite, tak oryginalne, tak bez schematu, że... No nie wiem, żeby tylko podać przykład...
3550:  BFP - jest obcy zainstalowali SOFON, który jest wielkości protonu i jest komputerem, cieniutkim komputerem o powierzchni planety, który złożono do 11 wymiarów i na zasadzie splątania cząsteczek jest w stanie inwigilować wszystko, wszystko na Ziemi, usłyszeć wszystko, przewidzieć wszystko i tak naprawdę blokuje postęp nauk fizyki i chemii i matematyki na Ziemi w taki sposób, że ludzie nie mogą rozwijać dalej jakichś swoich systemów obronnych czy nawet uciekać z planety.
3578:  BFP - I to jest z wykorzystaniem Safona, który w czasie rzeczywistym inwigiluje ludzi.
3582:  BFP - No to jest jakiś taki drobny przykład tego, jak wybitna jest ta książka.
3587:  BFP - Ale poza tym, że ma niesamowite właśnie koncepty hard science fiction, to jest znakomicie napisana.
3592:  BFP - Ma naprawdę fajnych bohaterów.
3594:  BFP - I tak, bardzo chciałbym... A kto za starami produkcji?
3598:  BFP - Oczywiście powiem Denis Villeneuve.
3601:  BFP - Ja nie sądzę, żeby on chciał się w czymś takim bawić, ale biorąc pod uwagę, jak mu poszło z Duną,
3607:  BFP - to ja myślę, że udźwignąłby to spokojnie i byłby najwłaściwszy.
3610:  KMM - Myślałem, że powiesz Christopher Nolan.
3612:  KMM - Zaskoczony jestem.
3613:  BFP - Nie, nie.
3613:  BFP - Po te necie ja mam wrażenie, że on już trochę zaczyna lekceważyć to, co jest sercem historii.
3620:  BFP - Jak ja dostaję protagonista, który nazywa się protagonista i rzeczywiście nie ma żadnych cech, które powinna mieć żywa osoba, to coś zaczyna iść nie tak.
3629:  KMM - Pewnie, że czytaliśmy Ślepowidzenie, Gry są sztuką.
3632:  KMM - Nawet rozmawialiśmy w tym momencie.
3633:  BFP - Kocham Ślepowidzenie, to jest najważniejsza książka science fiction, jaką przeczytałem.
3637:  KMM - Ja bardzo chciałbym się zastanowić, jak odpowiedzieć na to pytanie o tym, co bym chciał, żeby było zekranizowane.
3644:  KMM - Może odpowiem na początku tak.
3646:  KMM - Na pewno bym chciał więcej dobrej fantazy, bo jest to gatunek, który się kojarzy dzięki serialowi Wiedźmin obecnie coraz gorzej i znowu wraca do tych korzeni Kseny Wojowniczej Księżniczki, Kronik Szanary, Merlina albo serialu, który się nazywał Dark Knight i był tak leniwy scenariopisarsko, że główny antagonista nazywał się Mordor.
3669:  KMM - Jak nisko trzeba upaść kreatywnie, żeby coś takiego zrobić.
3672:  KMM - Więc chciałbym więcej dobrej fantazy.
3675:  KMM - Mógł być mordo.
3675:  KMM - To było by oryginalnie.
3677:  KMM - Prawda.
3677:  KMM - Jezus Maria.
3678:  KMM - Więc chciałbym więcej dobrej fantazy, ale w dobrych rękach.
3683:  KMM - I tak, moje serce mówi, chciałbym zobaczyć archiwum burzowego świata Brandona Sandersona, ale mój rozum mówi...
3690:  KMM - Chciałbym zobaczyć archiwum burzowego świata Brandona Sandersona zekranizowane wtedy, kiedy narodzi się taki reżyser po stronie fanpazy, jak Denis Villeneuve dla science fiction, który będzie rozumiał ten nurt.
3701:  KMM - Kiedyś myślałbym, że to jest Peter Jackson, bo niestety jego hobbicie mam poważne wątpliwości.
3705:  KMM - To jest trochę tak, jak Filip ma poważne wątpliwości co do Nolana.
3708:  KMM - Jeszcze widzę od Wariatmana trybut, za który dziękujemy.
3713:  KMM - Pytam się, gdzie było omówienie najlepszego polskiego fantasy, magnaci i czarodziei?
3716:  KMM - Pytam bardzo nieironicznie.
3717:  KMM - Filip, odpowiedz na to pytanie, bo ja na nie odpowiadam za często.
3721:  BFP - Ja powiedziałbym, nie mówię, że moje serce bije dla tej produkcji, ale ja chętnie pogadałbym w ogóle z twórcami.
3729:  BFP - Ja wiem, że to jest projekt, który powstał od dość długo, był wyboisty, ma szacun nadzielni i miłość społeczności.
3737:  BFP - Chętnie bym poznał ich perspektywę, porozmawiamy z nimi.
3739:  BFP - Jak wyglądał ten proces produkcji, z czym się zmagali?
3743:  KMM - No, to jest faktycznie, to jest fajna rzecz.
3746:  KMM - Przychyliłbym się do tego rzeczywiście, zwłaszcza, że produkcje fanowskie, umówmy się, naprawdę zasługują na kredyt zaufania, głównie z uwagi na to, jak niemiło się postrzega fanfiction w Polsce.
3758:  KMM - A z drugiej strony mamy świat, gdzie jest projekt Astartes, który wykupuje całkowicie na serio Games Workshop i docenia pracę fanowską.
3765:  KMM - Inna rzecz, że zrujnował całkowicie ten projekt, ale korpo jak korpo, nie?
3769:  KMM - Corpos go na korpo, jak zresztą widzimy po cyberpunku.
3773:  KMM - Ale u nas ten ruch fanowski, mam wrażenie, nie jest tak uświadomiony kulturowo przez ludzi, którzy są decydentami w instytucjach kultury i w korporacjach także rozrywkowych, jak to jest na Zachodzie, więc każde wsparcie jest wymagane, absolutnie.
3789:  KMM - Popatruję dalej.
3791:  KMM - Spokojnie Filip, zbliżamy się do tego pytania, więc jeszcze wytrzymaj.
3794:  KMM - Która część Wiedźmina?
3796:  KMM - Pyta Boston1737.
3796:  KMM - Już chyba widzę, którego numeru zabrakło w puliników dostępnych.
3803:  KMM - Jest waszą ulubioną i dlaczego?
3805:  KMM - Nie licząc dwóch pierwszych opowiadań, Krzysztof, widzę, że ktoś tu wybiega bardzo inwazyjnie w moje myśli.
3811:  KMM - I co według nas Sapkowski mógł zmienić podczas pisania książki?
3817:  KMM - A skoro jeszcze jestem przy głosie, to podziękuję za trybut od Karola Mikołajczyka z pytaniem no do Filip, do ciebie, więc też będziesz odpowiadał za moment.
3823:  KMM - Czy jest Hitchens na ścianie?
