THE LAST OF US odc. 8 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=-qnVegfHyeM
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Mili, witajcie na naszym cotygodniowym omówieniu.
1626:  BFP - Jak najbardziej, kiedy już odkrywamy jego zamiary, jego zamysł, dlaczego chcesz, by Eli przetrwała, dlaczego staje w jej obronie, ile z tego miłosierdzia faktycznie jest tylko i wyłącznie egotyczną i egocentryczną pobudką, to widzimy, jak on naprawdę potrafi subtelnie pociągać za sznurki, żeby... No ale ponownie, wykorzystuje religię jako opium dla ludu, bo błędnie się to tłumaczy jako opium dla mas.
1653:  BFP - I...
1655:  BFP - I bierze, to co powiedział właśnie Grzegorz, bierze dużo elementów z Biblii, które jemu pasują, a tym bardziej jak spojrzy się na niego jako taką starotestamentową wizję ojca, który jest bardzo surowy, ale daje lekcje, uczy po to, żeby ludzkość wyszła z tego wzmocniona, tak?
1677:  BFP - I też tak postrzega Kordycec, ale do tego zaraz przejdziemy.
1680:  GW - W jego mniemaniu.
1681:  BFP - W jego mniemaniu, oczywiście.
1683:  GW - Tak.
1685:  KMM - Koń mówi, narzeka, że nie jest podczas dyskusji obecna, jest na czatach.
1690:  KMM - Się obudził!
1692:  S03 - Się obudził chłopak!
1695:  S03 - Napisał koń.
1696:  S03 - Na najgorszy odcinek mnie zapraszacie, a na najlepszy nie.
1699:  S03 - Jaka tu logika, Filip?
1701:  S03 - Wszyscy był świetny.
1702:  S03 - A kto cię bronił, chłopie?
1706:  BFP - Przepraszam, ale fejsa nie mogę używać, więc nie mogłem do ciebie napisać.
1710:  BFP - Powrót do Joela, antybiotyk i muszę przyznać, że dość szybko Joel wraca do siebie, chociaż bardzo mi się podobało w jaki sposób zagrał Joel, kiedy już pojawi się ekipa Davida, gościa, który ledwo trzyma się na swoich nogach.
1727:  BFP - Fajnie to też było ukazane w grze, bo był ten moment, kiedy z perspektywy Ellie, bo przez niemałą część czasu gramy Ellie,
1735:  BFP - wchodzimy w perspektywę Joella i on faktycznie na początku, jak go widzimy, słania się na nogach, potem tak jakby zażył apteczkę i już jest tip-top, wszystkie czynności może wykonywać tak samo sprawnie, jak przed wypadkiem, co jest pewną poetyką grową, ale tutaj też fajnie to będzie ukazane, jak pojawią się ludzie Davida i będzie musiał, no właśnie, walczyć o swoje własne życie.
1755:  BFP - To jest ta fajna zabawa z widzem, kiedy pojawia się mięso, które trafia do gulaszu czy do zupy
1762:  BFP - Co to jest?
1763:  BFP - Tak, co to jest?
1764:  BFP - To nie, to jest sarnina, tak?
1766:  BFP - Bo oni chyba, oni zabrali te sarny.
1768:  BFP - No nie, no na 100%, to jest sarnina.
1770:  BFP - Tak, tak, tak, tak.
1772:  KMM - Czy możemy przyjąć, że na okoliczność dzisiejszego spotkania jestem wyganinem i bardzo szkodzi mi widok mięsa?
1780:  GW - Czy możemy przyjąć... Poza tym będzie chyba jeszcze tylko jedna scena taka... Weźmy ten rondel stąd, to, dobrze, dobrze.
1790:  BFP - Pierwszy raz w życiu słyszę, żebyś powiedział do mnie, weź mi ten rondel stąd.
1794:  KMM - Naprawdę.
1795:  KMM - Jeżeli ja mówię, że należy wziąć ode mnie i oddać jak najdalej mięso, to znaczy, że mówiąc klasykiem księdza Natanka, że coś się dzieje.
1804:  KMM - Przypomnijmy, ksiądz Natanek to jest ta pierwsza osoba, która bojkotowała Pottera, jak jeszcze to nie było modne.
1810:  BFP - Myślę, że ksiądz Natanek odnalazłby się w tym odcinku.
1814:  BFP - Sarnina czy nie.
1816:  BFP - Ale tak, to jest właśnie ta surowość starotestamentowa, o której powiedziałem.
1821:  BFP - Dawanie lekcji i... Ale no właśnie.
1825:  KMM - Surowość starotestamentowa to byłaby jakby nie ugotowali w rądlek.
1831:  KMM - Dobrze, przepraszam.
1832:  GW - Jakby zrobili Tatar, tak?
1836:  KMM - Tak.
1838:  KMM - Starotestamentowy Tatar.
1840:  KMM - O nie.
1843:  BFP - Dopiero później, kiedy obejrzałem ten odcinek, raz jeszcze zrozumiałem, że on czerpie przyjemność z tego wymierzania kary.
1851:  GW - Oczywiście.
1852:  GW - No bo on się czuje w tym momencie liderem.
1854:  GW - On się czuje ojcem.
1855:  GW - Ugruntowuje swoją pozycję.
1858:  GW - Zauważcie, że jak
1860:  GW - Uderza tą dziewczynę, to potem jego matka tej dziewczyny się podnosi, a on po prostu tylko samym wzrokiem, siadaj po prostu cię cicho.
1869:  GW - To jest właśnie to ugruntowanie patriarchatu, w którym on się czuje po prostu tutaj.
1878:  GW - silny, którym czuje się pewny siebie, w którym się spełnia właśnie, budując właśnie to wszystko w atmosferze z jednej strony ochrony, ale z drugiej strony właśnie podszytego to wszystkim strachu.
1891:  BFP - Pisze Marchewa, że argumentem siły buduje swoją pozycję, a nie siłą argumentu.
1895:  BFP - No nie do końca bym się zgodził, bo wciąż uderza w ten swój refren miłosierdzia.
1900:  BFP - Dlaczego on ją uderzył?
1902:  BFP - Bo ona zażądała śmierci
1904:  BFP - Być może w spółwinnej śmierci jej ojca, Aleka, o którym już wcześniej wspominał.
1909:  BFP - I on na oczach wszystkich, uderzając ją, mówi, nie, my musimy być lepsi.
1915:  BFP - My musimy być ustoją dobra, a miłosierdzie jest dowodem dobra.
1919:  BFP - To, że nie będziemy tacy jak oni.
1922:  KMM - Ale on mówi, że ten człowiek ma kompleks Boga od samego początku tego odcinka.
1926:  BFP - Tak, tak.
1928:  BFP - Boże, dzięki Ci składamy za tego pysznego tatara.
1931:  BFP - Tak zgłodniałem podczas tego naszego streama, że to jest niebywałe.
1933:  BFP - Szkoda, że nie ma jak zamówić tatara.
1936:  BFP - Zawsze z tym jest problem.
1937:  GW - Nawet jakby był stary, nie zamawiaj nigdy tatara.
1940:  BFP - No właśnie, ze względów BHP i higienicznych podobno nie powinno się zamawiać tatara.
1945:  KMM - A propos tatara z ludziny, polecam jedno z dyktant Stanisława Lema.
1949:  KMM - Polecam taką knajpę w Krakowie.
1952:  KMM - Polecam jedno z dyktant Stanisława Lema pod tytułem przepis na ludzką wątróbkę z cebulką.
1957:  KMM - Nie będziecie rozczarowani.
1959:  KMM - Chociaż od razu zaznaczę, że nie nauczycie się z tego dyktanda robić ludzkiej wątróbki z cebulką.
1965:  BFP - Przypomniał mi się świetny quest, jeden z najlepszych questów, jaki widziałem w grach RPG, Fallout New Vegas, gdzie jest takie tajne towarzystwo kanibali w jednym z kasyn.
1974:  BFP - Ale to taki maleńki off-top.
1976:  BFP - Wciąż myślę o Tatarze.
1978:  GW - To jest właśnie ta scena, w której... Jedna z najbardziej wątpliwych medycznie rzeczy, jakie widziałem, bo z taką igłą, kiedy ona się jeszcze wbija w wiątrzącą ranę, to mogło przebić... Co więcej, nie wypuściła powietrza, więc to już w ogóle jest katastrofa.
1998:  GW - No generalnie tutaj jakby to nie był serial, to najprawdopodobniej by chłopa zabiła, bo penicelina nadaje się co prawda do mięśniowo, ale nie bez powodów pośladek, żeby tam była przestrzeń, w której się to może wszystko roznieść, a nie bezpośrednio w brzuch.
2013:  GW - No ale to jest dziecko, jedyne co potrafiła zrobić to zaszyć ranę, dodatkowo niezdezywakowaną, dlatego się zaczęła ją trzyć brzydko.
2023:  GW - No ale cóż, tutaj to jest jedna z tych wątpliwych medycznie rzeczy, druga, że się chłop tak szybko dziwignął, no już pomijając ile mu tam zasadziła tej peniceliny.
2034:  KMM - Chciałem też zaznaczyć, że to jest bardzo znaczące, że w czasach postapokaliptycznych wciąż szkolnictwo wygląda absurdalnie, to znaczy ktoś by pomyślał, że jedna jedyna rzecz, której dzieciaki w czasach postapokalipsy powinny się nauczyć, tak kuźwa zrobić zastrzyk człowiekowi albo zaszyć ranę,
2048:  KMM - Ale z pewnością Ellie uczyła się o rozmieszczeniu świn na kontynencie północnoamerykańskim w XX wieku albo o dacie upadku Konstantynopola.
2056:  KMM - Więc pewne rzeczy się nie zmieniają.
2058:  KMM - School, school never changes.
2061:  BFP - A a propos twojej pamięci Krzysztof, no jak już to wywołałeś, kiedy upadł Konstantynopol? 1453.
2067:  BFP - A nie 1492?
2068:  BFP - A nie, bo wtedy kolumn dopomóż do Ameryki.
2071:  BFP - Krzysztof Kolumb, kochany!
2075:  S03 - Ja nie miałem racji, zostawiłem pułapkę, w którą wszedłem.
2079:  KMM - Nice!
2081:  KMM - To nie była pułapka, to była łajnobomba w żadnym etapie.
2086:  BFP - A niedawno na streamie opowiadałem, że byłem zafascynowany książką Mika Valtariego, Czarny Anioł, która właśnie opowiadała o upadku Konstantynopola i jak wół tam stoi, nie ma na każdej stronie.
2097:  BFP - Anyway, wracając, bardzo lubię ten kadr, bo ja w swojej recenzji argumentowałem, że to jest ta przewaga serialu i to nie pierwszy raz i nie w pierwszym odcinku nad grą, że w grze zawsze walczyliśmy z bandytami, z łowcami i niemal zawsze byli to wyłącznie mężczyźni, kobiety jako przeciwniczki zostały wprowadzone dopiero w drugiej części.
2120:  BFP - Tutaj kogo my widzimy?
2121:  BFP - No wygłodzonych, wychudzonych, brodatych gości, którzy wyglądają jak Peljem na początku swojej działalności, mają szkorbut, psują im się zęby, są głodni, ale każdy z nich, a przynajmniej część z nich, ma rodziny, ma dzieci, ma córki.
2135:  BFP - Ten Alek, który został zabity...
2138:  BFP - miał córkę.
2139:  BFP - Zwróćcie nawet uwagę na to, tutaj nie zobaczycie, bo jest w rękawiczkach, ale obrączkę nosi David, co też jest interesującym kawałkiem informacji do dyskusji.
2149:  BFP - Tego teraz nie widać, jeszcze będziecie mogli później zwrócić uwagę, jak będziemy to przewijali.
2155:  BFP - Ale to właśnie sprawia, że to co później będzie robił Joel daje takie poczucie większego niesmaku niż w przypadku gry.
2161:  BFP - Bo w grze użyłeś takiego pojęcia Grzegorz mob, to był taki mob do zabijania, tłum po prostu gości, którzy się reprodukują i wszyscy stworzyli sobie taką hermetyczną męską społeczność łowców czy bandytów.
2176:  BFP - To jest zupełnie inaczej też jak patrzeć na tych gości, to wygląda jak taka ekipa, która...
2184:  GW - No bo cały czas tutaj przytaczam to, kiedy to się w grach w ogóle zmieniło, że tak naprawdę w Project I'm Going Again, dość starej grze, dopiero mieliśmy to, że jak przemykaliśmy koło strażników, których mogliśmy bądź nie musieliśmy odstrzelić,
2199:  GW - Oni prowadzili ze sobą dialog, że w ten weekend zjeżdżam do domu, zobaczę się z żoną i córką, coś takiego, były takie motywy.
2206:  GW - Dopiero wtedy zaczęło się zmieniać tak naprawdę myślenie o przeciwnikach w grze.
2211:  GW - Stąd też właśnie to jest ten prawidłowy zabieg, który zresztą był już wprowadzany potem w drugiej części gry, gdzie zaczęli ludzie mówić do siebie po imieniu.
2221:  GW - mieli psy, które były z nimi związane, które w ogóle to było też grube bestialstwo.
2227:  GW - Natomiast... Tak, Krzysztofie?
2230:  KMM - Czy to były jamniki, czy jak zawsze?
2233:  BFP - Oni już zjedli wszystkie jamniki.
2235:  GW - Jamniki już zjedzone.
2237:  GW - No bo tu robiłeś za wygodne hot dogi, także w każdym razie...
2242:  GW - W każdym razie, no tutaj faktycznie pokazano tą społeczność od innej strony i znowu te odcienie szarości, gdzie nie ma dobrych i złych, tylko ludzie, którzy próbują jakoś przetrwać, było właściwie oddane.
2254:  BFP - Krzysztof zdjął słuchawki.
2256:  BFP - Nie chcę słuchać nawet tego, co mówimy.
2258:  BFP - Po prostu Krzysztof i jego dramatic moment.
2260:  BFP - Dajmy mu tę chwilę.
2264:  BFP - Już?
2266:  BFP - Już?
2266:  BFP - Wróciłeś do nas?
2267:  S03 - Szkalowanie jamników.
2269:  BFP - Jamniki są pięknymi zwierzętami, także absolutnie.
2272:  BFP - No tak, po prostu nie ostały się już w tym świecie.
2275:  BFP - Jedziemy dalej.
2275:  KMM - Po prostu uciekły w odróżnieniu od tych wszystkich debili, którymi się tak zachwycacie, którzy się
2282:  KMM - pałętają bez przerwy jakoś bez ładu i składu po świecie i napotykają problemy, one sobie siedzą spokojnie i żrą najlepsze mięsiwo, które zostało w tym świecie, które incydentalnie nie jest z mięsa żony tego pastora.
2297:  BFP - Nie zrozumiałem tej piętrowej konstrukcji, ale podoba mi się, znaczy z cyklu randomowe momenty.
2304:  BFP - Tak, ta piękna po prostu matrioszka słów, tak?
2307:  BFP - Idą tu mężczyźni, George.
2308:  S05 - O, o, o.
2311:  BFP - No ale to jest scena... No dobra, ale technicznie.
2317:  KMM - Joel był w stanie prawie agonalnym, tak?
2320:  KMM - Dostał, strzykawał w ranę, no one, pisał na czatach, że teoretycznie mogłoby to zadziałać i że nawet to powietrze w strzykawce to nie jest jakiś problem przy 150-300 ml, to jest poważna wiedza, więc ufam.
2334:  KMM - i dość dokładna, natomiast no nie ma takiej możliwości, żeby w ciągu 15 minut doszedł do takiej formy, żeby być w stanie się obronić i to jeszcze na tyle skutecznie, nie?
2343:  KMM - Ja zakładałem na przykład, że Eli zostawi mu chociażby broń, nie?
2347:  KMM - No bo jeżeli leżał, mógłby wycelować broń, ale nie no, dała mu nóż, a mógłby wycelować jakiś sztucer, prawda?
2353:  KMM - I teoretycznie się bronić w ten sposób, a z takim nożykiem czy z kozikiem, no to jednak musiałby trochę mieć krzepy, żeby się obronić, więc dla mnie to było totalnie nielogiczne.
2362:  GW - Mi tutaj zabrakło, żeby przynajmniej minęło dwa dni, żeby infekcja mu jakoś przynajmniej przestała dokuczać, żeby to troszeczkę odłożyć w czasie, żeby ta penicylina może sprawić cuda, okej.
2381:  KMM - Zwłaszcza, nie będę opowiadał tej historii, ale... Grievous pisze, że Joel po prostu użył apteczki i się ustąpił.
2387:  KMM - No tak, no trochę tak wygląda.
2390:  GW - Mi tam brakuje, żeby zaznaczyć bardziej upływ czasu.
2394:  BFP - Zen pisze, że mija jeden dzień, a nie piętnaście minut.
2397:  BFP - Co?
2399:  BFP - I tak może być.
2400:  GW - Tam krajda jest, ale to jest za słabo zaznaczone wciąż.
2404:  GW - Właśnie tego mi brakuje, że to jest za słabo zaznaczone.
2406:  BFP - Tak, ale moment, w którym Eddie tutaj zostawia Joella i wychodzi, a moment, kiedy jeden z ludzi Davida wchodzi do tej piwnicy,
2417:  BFP - No to, nie wiem, jest 15-20 minut może, a tutaj Joel jest taniagonalnym.
2422:  BFP - To nie jest tak, że Joel sobie robi herbatkę i mówi, dobrze, to ty wyjdź, a ja tutaj będę czatował.
2426:  BFP - Tylko wygląda nie lepiej niż dzień wcześniej i niż dwa tygodnie wcześniej.
2431:  BFP - Także uważam, że to jest jedna z kilku naciąganych w tym odcinku rzeczy.
2436:  BFP - Druga, o której sporo się mówiło w komentarzach pod moją recenzją, też zostanie zaadresowana, ale tam widzę dużo sensownych wytłumaczeń, dlaczego rzeczy wydarzyły się w taki, a nie inny sposób.
2446:  GW - Moja rodzicielka, pielęgniarka, jak zobaczy ten odcinek, na pewno się do tego przypierdzi.
2451:  KMM - Ale wiecie, to też świadczy o jakości serialu, umówmy się, jeżeli zaczynamy się zastanawiać nad takimi rzeczami, a nie uszukujmy się, w większości filmów i seriali puszcza się mimo uszu tego rodzaju, mimo oczu niedociągnięcia.
2465:  KMM - Bo jest się ciężko do czegoś przypieprzyć, więc to jest jedyna rzecz.
2470:  KMM - Właśnie, że poziom realizmu jest jednak wysoki, więc dlatego ja też się cieszyłem, że wreszcie przynajmniej ta groza związana z życiem w postapokaliptycznym świecie jest zaadresowana, a nie na zasadzie, o zdobyliśmy alkohol, bo było tutaj dużo, a tutaj przypadkiem włączyliśmy sobie tabę i mamy prunt.
2487:  KMM - Przynajmniej nie było już takich rzeczy, tylko rzeczywiście jest pełen realizm życia w świecie, w którym wszyscy mają przerąbane.
2493:  BFP - Tak, dość szybko też dojdzie do siebie właśnie ta scena.
2496:  BFP - Jest mocna, ale widać, że on się słania na nogę, że ledwo się trzyma.
2501:  BFP - Tylko dzięki szczęściu i temu, że nie zauważył go ten gość, jest w stanie odebrać mu życie.
2507:  KMM - Ale już w kolejnej scenie... Swoją drogą, ważna rzecz.
2509:  KMM - Czy zarażonych nie ma dlatego, bo słusznie Dawid mówi, że to jest nierealistyczne, czy zarażonych nie ma na tych terenach mroźnych dlatego, że grzyb źle funkcjonuje w takim klimacie?
2518:  GW - Tak, bo jest za zimno na rozwój grzyba.
2521:  GW - Gut.
2522:  BFP - Tak, to ma swoje wytłumaczenie światotwórcze.
2524:  KMM - Ale to go nie powiedzieli nam chyba, nie?
2526:  KMM - Bo sugerowali tylko, że w wyższych temperaturach na samym początku, natomiast nie mówili nam wprost, że tutaj dlatego się udają do tych zimnych stron.
2535:  BFP - No i generalnie w warunkach sprzyjających.
2538:  GW - Jak jest zimno, to jest też dość sucho, a grzyb potrzebuje wilgoci.
2544:  GW - Nawet jeżeli są wśród naszych słuchaczy grzybiarzy, to też wiedzą, że najpóźniej to w połowie listopada jeszcze można opienki znaleźć, a to jest wtedy ostatni jeszcze czas, kiedy może być trochę wilgotno, a potem pod koniec listopada i całą zimę generalnie ni grzyba nigdzie się nie znajdzie.
2561:  KMM - Alternatywnie łakoma konfranternia naszego wspaniałego plebana zrobiła wielki gar grzybowej i wszystkich zjedli wcześniej.
2570:  KMM - To jest rozwiązanie rodem ze smerfów.
2572:  BFP - Ty mógłbyś czytać baśnie braci Grimm, bo to naprawdę tak dokładnie brzmiało.
2578:  BFP - Tylko dorosłym, a nie dzieciom.
2582:  BFP - A propos tego realizmu i a propos tych naszych uwag o to, jak Eli podaje ten antybiotyk, o tym, że Joel słania się na nogach, ale chwilę później już w sumie jest całkiem sprawny, to KG Artfun Artfan.
2596:  BFP - Artfun, Jezus.
2598:  BFP - Tutaj spieszę, żeby jednak uzmysłowić nam, jak to było w grze, no bo w grze każdy jeden uraz można był uleczyć owijając rękę szmatą nasączoną alkoholem i to jest prawda.
2607:  BFP - I jeszcze trzeba było robić crafting, trzeba było połączyć szmatkę z alkoholem i dopiero jak to połączyliśmy, to mieliśmy z tego jakąś apteczkę.
2615:  KMM - Uwielbiam takie zagadki logiczne.
2617:  KMM - Połącz patyk z wyrzutnią nuklearną i otrzymujesz most do krainy baśni.
2621:  BFP - Ty byś się w tym odnalazł, ponieważ te same surowce, które można było wykorzystać w grze do stworzenia jakiejś apteczki, można było wykorzystać do stworzenia koktajla mołotowa, więc ty zawsze grałbyś na minimum health, byleby tylko móc rzucać koktajle mołotowa.
2635:  BFP - Tak, jak Hutao w Gęśni Impact, to jest prawda.
2639:  BFP - Ta scena również w klatce jest, znaczy powiedzmy sobie to wprost, nie licząc tych scen dodatkowych, które dodają kontekstu Davidowi, jest niemalże jeden do jednego przeniesiona z gry, tylko brakuje zainfekowanych.
2651:  BFP - I cała ta scena, gdzie już wychodzi creep szczególnie mocno z Davida jest taka jak była w grze.
2660:  KMM - Filip, ale przed chwilą mówiłeś, że nie ma tam zainfekowanych, bo jest zimno.
2666:  KMM - Więc jak mogli w grze być zainfekowani?
2669:  KMM - Nie, nie, nie.
2669:  BFP - Znaczy ustaliliśmy, że inny jest w ogóle sposób infekowania i rozwoju grzyba w serialu względem gry.
2679:  BFP - W serialu zrezygnowano całkowicie z... Ojejku, jak...
2690:  BFP - Zarodników grzybni.
2693:  BFP - I wprowadzono ponadto tą komunikację, która następuje pomiędzy poszczególnymi zainfekowanymi.
2700:  BFP - I zauważcie, że kiedy obserwujemy zainfekowanych, to jest tam cała chmara w mieście.
2705:  BFP - Tak jakby one trzymały się w kupie albo szukały najbardziej dogodnych warunków do życia.
2711:  BFP - Podstawą jest to, że najlepiej jakby byli gdzieś ludzie w pobliżu.
2714:  BFP - Więc też Tess mówiła w drugim odcinku, że
2717:  BFP - Tych zainfekowanych jest coraz więcej, no bo cały czas ludzie przechodzący przez Boston
2723:  BFP - gdzieś tam zatrzymują się w tych rejonach i ta chmara zainfekowanych się stale powiększa.
2728:  GW - No tutaj zakładam... I jeszcze zauważcie, że oni tutaj podróżują już kawałek czasu po Wyoming, po Colorado i nawet w podcastie zaznaczają, że to w lecie teren jest jeszcze całkiem przyjemny, natomiast w zimie to są bardzo, bardzo mało wybaczające, że tak powiem, tereny.
2749:  GW - No i co też widać, jak opowiadają o tym ta dwójka starszych osób, które Ellie z Jerem tam próbują przesłuchiwać, a oni mają to w pompie ze dwa odcinki temu.
2766:  GW - Tak więc no tutaj, żeby już, bo widzę, że się rozgorzała trochę dyskusja na czatach, po prostu akurat w tym okresie, w którym to się dzieje, jest za zimno, żeby jakieś nowe osobniki się może pojawiły, natomiast nie jest powiedziane, że na przykład na tych terenach jakikolwiek zakażone się nie pojawi w momencie, kiedy będzie roztop, będzie lato, bo wtedy będzie na tyle ciepło, że te grzyby jednak gdzieś się mogą pojawić, więc no...
2793:  KMM - No to powiedzmy w takim razie jaką funkcję mieli zarażeni w tym rozdziale akurat gry, to znaczy jaka była ich rola, co zmieniali w tym układzie sił?
2800:  BFP - No, dawali ci coś do robienia.
2803:  BFP - W tym sensie.
2803:  KMM - Ale rozumiem, czyli jak Ellie jest uwięziona na przykład, jest ta dyskusja, to domyślam się, że jest przełączone jakieś perspektywy wtedy, tak?
2811:  BFP - Powiem tak, bo fajnie, cieszę się, że to wywołałeś.
2814:  BFP - Zaznaczmy, że jest to bardzo spójne w serialu i dość spójne w grze, ponieważ są dwie różne logiki, które rządzą tym, w jaki sposób zainfekowani się reprodukują, tak?
2825:  BFP - Ale...
2826:  BFP - Skoro już to przywołałeś.
2827:  BFP - W grze Ellie musi odpierać zainfekowanych razem z Davidem.
2831:  BFP - Oni zostają tylko we dwójkę.
2833:  BFP - I masz przynajmniej kilka różnych sytuacji, kiedy Ellie, ty jako Ellie myślisz, no nie, porzucił mnie.
2839:  BFP - Albo nie wiem, strzeli mi zaraz w pleca.
2840:  BFP - On cały czas pomaga Ellie.
2842:  BFP - Daje jej broń.
2844:  BFP - wspiera ją, rzuca jej drabinę.
2846:  GW - Więc masz kilka różnych... I to też jest fajne, że zanim... W inny sposób buduje zaufanie w grze, a w inny sposób buduje zaufanie w serialu.
2854:  GW - Ale w każdym razie ten motyw jest.
2855:  BFP - Zanim zrzuci na ciebie tę potężną bombę, to ty walczysz razem z nim ramię w ramię przeciwko zainfekowanym.
2862:  BFP - No to mi się bardziej podoba.
2864:  BFP - No cały czas czeka na ciebie The Last of Us.
2866:  S01 - Także wiesz.
2870:  BFP - Mhm.
2872:  GW - A jeszcze jest jeden istotny motyw, o którym nie mówiliśmy, bo cały czas David chce poznać jej imię.
2876:  GW - A już zbliżamy się do tej sceny, to też istotne jest, żeby to cały czas zaznaczyć, że ona od samego początku nie zdradza swojego imienia.
2884:  GW - A mimo wszystko David znów
2887:  GW - Trzy razy się jej pyta o to, jak ma na imię.
2890:  GW - Tak.
2890:  BFP - I to ona wykorzysta jako kartę.
2892:  KMM - A ona trzy razy się zaparła i nie wydała mu swego imienia.
2895:  BFP - Trzy razy klika czy zaklikał.
2896:  BFP - Tak.
2897:  BFP - Tak.
2897:  BFP - Chociaż i tak najbardziej podoba mi się imię, które podaje The Girl Who Broke Your Fucking Finger.
2902:  BFP - Jezu, jak to zagrała Bella Ramsey, ale zaraz do tego przejdziemy, bo tu mamy jedną z najlepszych scen.
2906:  S01 - No właśnie.
2907:  BFP - Okej, faktycznie widać, że się męczy Joel, nawet jak...
2911:  BFP - sprzedaje ciosy, tak?
2912:  BFP - Że musi chwilę się zregenerować, a nawet upada na tego gościa, którego przesłuchuje.
2918:  BFP - Ale to jest jedna z najbardziej brutalnych scen w całym serialu jak dotąd.
2924:  BFP - Tak.
2924:  GW - Pamiętam rozczarpanie przez Purchlaka, ale tak.
2927:  BFP - Tak, urwanie głowy przez Purchlaka.
2929:  BFP - Ja...
2931:  BFP - W swoim podsumowaniu całego sezonu, które będzie miało miejsce w przyszłym tygodniu, wciąż będę zarzucał temu serialowi brak gore.
2939:  BFP - Brak większej ilości dosłownej, wulgarnej przemocy, która uważam jest elementem estetyki tego świata i ona jest potrzebna.
2948:  BFP - Nią można wyrazić, jak komuś na kimś zależy.
2951:  BFP - Jak na przykład Joel widzi, że ktoś próbuje wyciągnąć Ellie z samochodu, to on chce go rozszarpać.
2956:  BFP - On nim rzuca i rozwala jego głowę o blat.
2959:  BFP - I tego mi tutaj brakuje, ale ta scena jest najbliższa brutalności gry ze wszystkich scen do tej pory w serialu.
2967:  GW - Ale nie sądzisz, że właśnie przez ten kontrast, że wcześniej co prawda ta przemoc była, ale ona była taka stonowa, no to teraz to daje większy impakt właśnie, że mamy teraz faktycznie Spartan Raid Joela, bo wcześniej nie widzieliśmy go w takim szale.
2982:  BFP - Raz go widzieliśmy i to był jeden z pierwszego odcinka.
2986:  GW - Tak, ale zauważ, że tam on nawalał gościa gołymi pięściami i tyle.
2992:  GW - Tutaj większość z tych rzeczy
2995:  GW - nie musiał robić.
2997:  GW - Nie musiał tego robić.
2999:  GW - To prawda.
3000:  GW - On po prostu był tak wpieniony i wiedział, że potrzebuje jak najszybciej... On tutaj wiedział, że musi być skuteczny i robił to, co potrafił najlepiej.
3009:  BFP - No tak, ale moment, w którym... To moment był znakomity już w serialu.
3013:  BFP - Tutaj...
3014:  BFP - Ci goście właśnie, te niedoszłe Pearl Jam czy Pearl Jam Cover Band, jeszcze bardziej, ja nie mogę powiedzieć, że jest mi ich żal, ale jestem w stanie jakkolwiek z nimi empatyzować.
3026:  BFP - W grze nie było to aż tak odczuwalne, jakby ci goście po prostu są przerażeni, myślą, ten człowiek jest pierdolnięty.
3033:  BFP - I to, co robi Joel, mówi wskaż mi na mapie i lepiej, żeby twój kumpel wskazał dokładnie to samo miejsce.
3039:  GW - Zagrywka psychologiczna.
3040:  BFP - Tak, ten wskazuje na mapie, po czym go zabija, podchodzi do niego i tamten jest przekonany, że będzie kazał mu tak samo wskazać na mapie.
3048:  BFP - A Joel mówi, nie musisz, ja mu po prostu wierzę.
3051:  BFP - I zabija go w brutalny sposób.
3052:  BFP - To jest tak, Joel bez łańcuchów, tak jak Kratos.
3057:  GW - To jest przemoc przez wielkie py.
3059:  GW - Swoją drogą, jak teraz się im przyglądam, to w sumie wyglądają jak ZZ Top.
3065:  BFP - To jest ZZ Top Cover Band, który stwierdził, że nie opłaca się być ZZ Top Cover Bandem i przerzucili się na Pelgę, bo stało się popularne dzięki The Last of Us.
3073:  BFP - Krzysztof?
3074:  KMM - To jest zepsucie całego moim zdaniem łuku postaci Joella, to znaczy on się przestaje w tym momencie rozwijać jako postać serialowa, bo jako postać serialowa na początku przechodził jakąś przemianę, to znaczy chciał zostawić pod wpływem Ellie przynajmniej, tak można było domniemywać ze sobą tę brutalną przeszłość i o tym cały czas była jego historia.
3097:  KMM - temu była poświęcona.
3099:  KMM - Po czym nagle podejmuje tego rodzaju decyzję, która jest totalnie irracjonalna z perspektywy informacji, które są z wewnątrz serialowe.
3104:  KMM - Z perspektywy informacji, które są z gry jest to totalnie, jak tłumaczycie to, zrozumiałe i logiczne.
3110:  KMM - Natomiast z perspektywy rozwoju tej postaci nie ma to żadnego sensu.
3113:  KMM - To znaczy, to jest taka brutalność dla brutalności, przemoc dla przemocy.
3116:  KMM - Nie jestem w stanie zrozumieć, dlaczego ten serial unika wprowadzania
3120:  KMM - przemocy wtedy, kiedy to byłoby fajne i podbijałoby troszeczkę akcję, która się czasem za bardzo snuła i tego nie robi, ponieważ sztuka, ponieważ artyzm, po czym jak przychodzi co do takiej sceny, gdzie jest już gore, nie potrzebujemy zrobić nic więcej, to właśnie tutaj stwierdzają, że podbiją troszeczkę stawkę, bo te ćwierci, znaczy te półtusze, które sobie ludzkie wisiały w zamrażarce, to jest za mało, to teraz trzeba tego podbijać.
3147:  BFP - Nie rozumiem.
3148:  BFP - No ale dlaczego to robi?
3151:  BFP - Dlaczego Joel to robi?
