POBITY, POŁAMANY, PONIŻONY. Roast 3. Sezonu Wiedźmina
🔗 https://www.youtube.com/watch?v=MxmMzmDBX6I
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)
JM (Jaga Moder, Legendystka)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Wiecie, ja nie jestem fanem rantów ani roastów na YouTubie, to jest zmora YouTube'a.
1449:  BFP - Oddając sobie głos Dominice, absolutnie to mówiliśmy to na naszej poprzedniej dyskusji dotyczącej pierwszej części sezonu trzeciego, że jak to jest, że twórcy nawet kiedy literalnie starają się przenosić tekst, dalej nie są w stanie dostrzec tego, co jest między wierszami, dalej nie są w stanie zrozumieć tekstu, który przenoszą na ekran, a a propos właśnie postaci, ich jednowymiarowości, to jest dokładnie to, co wtedy mieliśmy na myśli mówiąc te słowa.
1471:  BFP - Dominiko?
1473:  DS - Obawiam się, że jedyną odpowiedzią na twoje pytanie jest to, że oni po prostu nie potrafią pisać scenariuszy.
1478:  DS - Nie wiem, może oni chcą pokazać... Nie, nie oczekiwałem, że odpowiesz na to pytanie.
1481:  DS - Bardziej chodziło mi o to, czy podejmiesz wątek tego... Już przejdę do tego spokojnie.
1486:  DS - No więc mówiłeś w swojej wypowiedzi, że właśnie jakby mało było Wiedźmina, że Geralt bardziej się stał ochroniarzem i to jest dokładnie odczucie, które ja miałam oglądając ten trzeci sezon.
1497:  DS - Tam w ogóle...
1499:  DS - Nie było nic, co jest charakterystyczne jakby dla Wiedźmina, dla jego cech, dla jego zawodu w ogóle.
1505:  DS - Medalion, który Geralt nosi, w zasadzie staje się dla mnie tylko jakąś ozdobną biżuterią, którą on ma, no bo nie wiem, bo widzowie nie rozpoznają Geralta, jak nie będzie miał medalionu wilka na piersi.
1516:  DS - Jest chyba jedna, jedyna scena, gdzie ten medalion... Złapał się tak za medalion, tak, tak, raz, raz...
1522:  DS - tuż przed tym, jak spotkał Vilgefortza, ale w ogóle to było jeszcze tak krótko pokazane, że ja tego nie zauważyłam, jak oglądałam za pierwszym razem.
1528:  DS - Ja zauważyłam, że on się złapał za ten medalion dopiero jak przygotowywałam scenariusz do odcinka na mój kanał, więc kurczę, coś tu jest nie tak, no nie?
1537:  DS - Zresztą przecież w książce ten amulet nie drżał tylko wtedy, jak były potwory, on też choćby wykrywał użycie magii.
1545:  KMM - Amulet drży to miejsce mocy.
1550:  DS - ale jak Wiedźmin w książce był na tym balu w aretuzie, no to przecież cały czas tam było powiedziane, że tam drgał mu ten medalion, bo on wyczuwał, jak używają na przykład telepatii, coś tam próbują wysądować z jego umysłu i tak dalej, no nie?
1562:  DS - Więc amulet jest już nieprzydatny.
1566:  DS - Potworów, jak już powiedzieliśmy, w ogóle nie ma.
1568:  DS - Jest ta jedna nieszczęsna żagnica przez cały sezon, więc też nieszczególnie walczy z potworami.
1573:  DS - Nie ma tego wątku, że on gdzieś podróżuje i tam łapie fuchy po drodze, mówiąc prosto.
1579:  BFP - No robi wiedźmiński fach, no to do czego został powołany.
1583:  BFP - Należy do cechu, pamiętajmy.
1585:  DS - Eliksirów też użył tylko raz.
1587:  DS - Tam jak wchodził do tego zamku, to przed walką tam sobie go wypił, ale...
1594:  DS - No i ja nie rozumiem, dlaczego Wiedźmin nie używa tych eliksirów w serialu, przecież on nie musi używać ich tylko walcząc z potworami, no on przecież tam, teraz już nie wiem, czy mi się nie miesza gra i książka, ale przecież tam te eliksiry, nie wiem, wyostrzały mu zmysły, na przykład zwiększały szybkość, wydaje się, że to byłaby idealna rzecz do wypicia przed pojedynkiem z jakimkolwiek wrogiem, prawda?
1614:  DS - Tak.
1616:  DS - Więc nic już nie ma wiedźmińskiego w Wiedźminie.
1620:  BFP - Dając głos Grzegorzowi, ale zauważcie, on jest naprawdę, na naprawdę bardzo długim tacierzyńskim od swojej roboty, bo przecież on należy do cechu, no przecież cech po coś został powołany, tak?
1630:  BFP - Oni mają robotę do wykonania, no po coś jest Kermoren, no po coś...
1635:  BFP - ten trening odebrał, no po coś go zmutowali, no po coś został powołany.
1638:  BFP - To nie jest tak, że potworów jest mniej na świecie, to właśnie Wiedźminów jest mniej, a zagrożeń jest więcej i do tego wszystkie machinacje polityczne raczej tylko wprowadzają więcej chaosu, no ale widać... W serialu to oni chyba jeszcze jakieś nowe potwory w ogóle z innych światów ściągają, nie?
1653:  GW - Tak, to już w ogóle zespawnowali w nie wiadomo skąd po prostu.
1656:  KMM - Grzegorz?
1657:  KMM - To jest piękne.
1657:  KMM - Pierwszy raz usłyszałem Kermoren przeczytany z akcentem Stusson przez Filipa.
1662:  KMM - Kermoren, jak croissant.
1664:  KMM - Tak, jak korusan.
1665:  KMM - Zamiast korusan powiedziałeś koroson.
1667:  KMM - Także jesteśmy 1-1.
1668:  BFP - Grzegorzu?
1677:  GW - Z tych nowych potworów, który był mokrym snem Kronenberga, to jeszcze doceniam w którymś momencie w sezonie, ale tak szczerze powiedziawszy, to faktycznie zamiast te nudne wstawki, te nic nie prowadzące sceny, mogli chociażby pokazać w jakimś takim szerokim ujęciu, że
1697:  GW - Geralt gdzieś tam biega po tym lesie, popierdziela po prostu wyrzynając jakąś wrogą zwierzynę, że tak powiem, i zbiera hajsę po drodze, żeby przynajmniej przez te podróże, w których co chwila daje w łapę gdzieś tam hajsy po to, żeby się mogli poukrywać w chatkach, jednocześnie zestawili to z tym, że jednak chodzi i zapierdziela te potwory, co on przecież czaruje te pieniądze, czy jak?
1720:  GW - Właśnie, mógłby na przykład...
1721:  DS - wymienić schronienie na usługę, nie?
1723:  DS - Zabijam potwora, a ty wynajmujesz mi swoją chatkę na odludziu.
1727:  GW - No dokładnie, ale to jest, tak pozmieniali jakby zasady, to mnie zawsze wpienia, cały czas mówię o braku konsekwencji, braku prawdopodobieństwa w momencie, kiedy się ustali jakieś zasady, to mnie niesamowicie wkurwia i tutaj jest to po prostu ewidentny przykład, kiedy tak,
1745:  GW - Koleś się napieprza z tym, Geralt się nawala z Dijkström.
1750:  GW - Łamię mu nogę, łamię mu tam łapę, w ogóle to jest jeszcze, sama scena jest spoko, jest okraszona odpowiednim dialogiem i wtedy
1760:  GW - Wiedźminowi nic się nie dzieje.
1762:  GW - Potem podejdzie jakiś koleś, ja szczerze powiedziawszy myślałem, jak tam jeden z tych gości, który podszedł do Dijkstra, potem jak ten leży połamany pod ścianą, podejdzie do niego z nożem, to że Dijkstra gdzieś tam wyciągnie po prostu, albo będzie miał w rękawie jakiś sprężynowiec i tam goście ciachnie.
1780:  GW - A tutaj przylatuje po prostu Hedwig'a i go ściąga, nie?
1783:  BFP - No i...
1785:  GW - Gdzie ona do psiej nędzy była wtedy, kiedy Geralt łamał te, łamał giry Dijkstrze.
1792:  JM - No listy roznosiła przecież do Hogwartu.
1796:  GW - No dokładnie.
1797:  GW - No i tak naprawdę wtedy, kiedy wygodnie jest, to Geralt zrobi wszystko jak trzeba.
1803:  GW - Wtedy, kiedy niewygodnie jest dla fabuły, to nagle w ogóle zapomina, kim on jest.
1807:  GW - To jest tak out of character, tak w ogóle to nie pasuje do tego, kim jest Geralt.
1813:  GW - To już właśnie...
1814:  GW - To już pomijając kwestię, że ja uwielbiam fizyczność Henka, jasne, ale on nie pasuje w ogóle do profilu Wiedźmina, który miał być zwinnym zwierzęciem wyrzynającym przeciwników i nadrabiał właśnie tą szybkością, zwinnością, a nie po prostu, że jest takim byczkiem, że faktycznie był w stanie uciągnąć przez trzy sezony cały serial.
1833:  GW - Ale tutaj...
1834:  GW - Jak już zabrali nam to, żeby po prostu wyglądał ładnie i była ładna scena w wannie, no to w takim razie przynajmniej mogli nadrobić to, że faktycznie nadrabia intelektem, dialogami, właśnie rozmyśla nad każdym ruchem, który zrobi, bo Geralt nie angażował się w walkę tak po prostu, to nie był Leroy Jenkins, tak, on po prostu
1858:  GW - Wtedy, kiedy wiedział, że musi już podjąć walkę, to robił to z namysłem w książkach, a tutaj to jest albo siepacz, albo taka sirota po prostu, która siedzi w koncie, a już jak się bierze za coś, to jeszcze daje się połamać.
1872:  GW - Ja wiem, że to w książce akurat pasuje, ale...
1874:  GW - Chodzi mi o to, że dużo zachowań Geralta w ogóle tutaj w serialu na przestrzeni tych trzech sezonów nie pasuje do niego.
1884:  GW - I jasne, już sama choreografia walk, jak już mam coś powiedzieć, bo już tak obsmarowujemy go, obsmarowujemy, jedyne co myślę, że w 100% wyszło to choreografia walk.
1894:  GW - I to jest spoko, tylko w większości to są walki z ludźmi,
1899:  GW - Gdzie tu jest walka z potworami, czyli główne zajęcie właśnie Wiedźminów?
1903:  GW - Faktycznie nie wiem.
1904:  GW - Ja zakładam po prostu, że im brakło już budżetu na potworasy i tyle.
1909:  BFP - Ja tylko chciałem powiedzieć, że użytkownik SeeYouInHell odpowiedział na twoją zagwozdkę odnośnie tego, skąd Geralt ma pieniądze.
1917:  BFP - Otóż Geralt pobiera 800 plus na Ciri.
1919:  BFP - I to by się jeszcze nie zgadzało.
1924:  BFP - Krzysztofie, czy ty chciałbyś coś dorzucić jeszcze odnośnie nie nawet samej gry Henry'ego Caviella, tylko rzeczywiście to...
1931:  BFP - W jakim kontekście umocowano tę postać fabularnie?
1935:  BFP - Nawet nie w tym sezonie, tylko od pierwszego.
1937:  BFP - Ja nazwałem to odebraniem mu podmiotowości, lekkim zimpieniem i w zasadzie sprowadzeniem do dwóch wymiarów postaci, która miała co najmniej trzy.
1947:  KMM - Znaczy ja cały czas staram się śledzić to, co mówią producenci i showrunnerka, ponieważ już dawno nie rozumiem, o co chodzi w tym serialu, więc jedynie ich komentarze są mi w stanie powiedzieć, o co chodzi.
1957:  KMM - To jest troszeczkę tak jak ze streszczeniami i opracowaniami lektur do matury.
1960:  KMM - Nikt nie ma zielonego pojęcia, o co chodziło w tych ramotkach z XIV wieku, więc czyta się opracowanie, że można było zdać maturkę na 100%.
1968:  KMM - w związku z powyższym jaro je bardzo podobnie i starałem się śledzić te wypowiedzi.
1971:  KMM - Bardzo mnie zaniepokoiło to, że na poziomie czwartego sezonu, który przypomina będzie bielił postać Regisa, a nie mogę się doczekać już kim będzie Regis, mam parę swoich typów, wciąż bardzo czekam na wykastowanie Adama Sandlera i liczę, że to jest ten moment, ale to już czekam od dwóch sezonów, więc mam nadzieję, że moje fanowskie marzenie zostanie spełnione.
1991:  KMM - I w tym dopiero sezonie mówi się nam, że Ciri będzie główną bohaterką.
1995:  KMM - Chciałbym uprzejmie zaznaczyć, że Ciri jest główną bohaterką sagi w ogóle.
1999:  KMM - W serialu jest troszeczkę inaczej, ponieważ mamy te dwa, powiedzmy, no, półtora sezonu, który się koncentruje na pewnych wątkach z opowiadań, tam jest straszny bałagan, ale zarówno Miecz Przeznaczenia, jak i Ostatnie Życzenie, no to to nie jest część sagi, prawda?
2014:  KMM - To jest część, powiedzmy, uniwersum wiedźmińskiego.
2016:  KMM - Saga Matomów V zaczyna się od Krwi Elfów.
2019:  KMM - I oczywiście od tej krwi elfów zaczęły się największe problemy w serialu, tak nawiasem mówiąc, bo właśnie nie umiano zaakceptować faktu, że Cirilla ma być tym rdzeniem, wokół którego się wszystko kręci.
2030:  KMM - Zrobiono trio, niestety, ponieważ pozazdroszczono grze o tron, natomiast chciałbym tylko uprzejmie zaznaczyć, że jeżeli się ma Matthew V. Ambrosio,
2040:  KMM - a nie George'a R. R. Martin'a na przykład, czy Andrzeja Sapkowskiego przy stole pisarskim, to niewiele się zdziała, zwłaszcza, że jak sprawdziłem na IMDB, Giorgio D'Ambros jest odpowiedzialny za taki hit, moi drodzy, jak Agent XXL Rodzinny Interes, więc już wiemy, skąd ta rodzina w Wiedźminie się pojawiła.
2057:  GW - No generalnie chłop ewidentnie abrozji nie pisze.
2060:  KMM - Tak, a zatem to wyciszanie takie postaci Geralta, o którym mówi Filip, myślę, że jest przygotowaniem po to, żeby od czwartego sezonu rzeczywiście Cirilla była na pierwszym planie, czego ta aktorka nie jest w stanie absolutnie uciągnąć.
2071:  KMM - I żeby nie było, znowu powołam się na mądrzejszego od siebie, Marcin Łukański na gałęzi powiedział wprost, Ciri...
2079:  KMM - aktorka grająca Ciri, nie pamiętam jak się nazywa, zaraz może sprawdzę, dziękuję, nie umie grać i ja w 100% przyznaję Marcinowi Łukańskiemu rację, ona nie jest w stanie grać, nie umie tego robić i wyszło to w odcinku w pustyni i w puszczy tudzież,
2095:  KMM - No tym wiadomo w którym, tak?
2097:  KMM - Z jednej strony macie Brokilon, z drugiej strony macie pustynię, jedno i drugie konkuruje ze sobą o to, które jest nudniejsze.
2103:  KMM - No i wiecie, to jest taki moment, kiedy poznaje się, czy aktor jest dobry, czy aktorka jest dobra.
2107:  KMM - Jeżeli jest w stanie uciągnąć taki monodram, no nie była w stanie tego uciągnąć absolutnie, więc drże, co będzie później.
2116:  DS - Tak, chociaż trzeba przyznać, że ma przed sobą naprawdę trudne wyzwanie, no bo sami powiedzieliśmy przed chwilą, że Henry Cavill ledwo daje radę, no nie?
2122:  DS - A ona mimo wszystko dopiero zaczyna takie poważne role, więc...
2140:  KMM - Wprost zostało to powiedziane i powiedziano również, że przesłuchiwano ją w trakcie przedstawienia teatralnego o Indiach.
2148:  KMM - I wtedy Lauren przyszła na to przedstawienie teatralne, popatrywała i sobie pomyślała, o, o, to będzie świetny wybór na leadową aktorkę do zagrania najpotężniejszej czarodziejki, jednej z najważniejszych postaci w życiu Geralta.
2160:  KMM - Genialny pomysł, idziemy w to.
2162:  BFP - Ciekawe w jaki sposób rzeczywiście rozkłada się praca w tym writer's roomie, no bo nigdy nie powstają tego rodzaju seriale w wyniku pracy jednej osoby, no chyba, że jesteś tam Stevenem Knightem, który robi Peaky Blinders, który jest po prostu genialny i faktycznie siada i pisze każdy pojedynczy odcinek.
2185:  JM - Ja Ci mogę powiedzieć to na podstawie rozmowy, którą odbyłam na zeszłorocznym festiwalu komiksu w Łodzi z Gregiem Ruką, czyli tym od Wonder Woman itd.,
2199:  JM - I on mi opowiadał, że generalnie to jest piekło, że pierwsza część skryptu to jest coś, co stworzył sobie autor, który za ten skrypt odpowiada, a później to przechodzi przez machinę.
2211:  JM - Wszystko jest, wiecie, mielone przez sto różnych osób i na koniec wypluwana jest jakaś taka ostateczna wersja, pod którą musi podpisać się człowiek, który teoretycznie napisał pierwszą wersję.
2223:  JM - Więc najczęściej to nie jest w ogóle wersja, z którą ten człowiek miał cokolwiek wspólnego.
2227:  JM - To głuchy telefon w wersji hard.
2229:  GW - Tutaj to chyba ten scenariusz przeszedł autentycznie esbeską ścieżkę zdrowia po drodze.
2234:  BFP - To mi się właśnie rzuca w oczy, bo patrzę na Wikipedii w tym momencie, poza tym Matthew D'Ambrosio, o którym wspomina Krzysztof, to na osiem odcinków, a to naprawdę nie jest spotykane, na osiem odcinków trzeciego sezonu,
2247:  BFP - Nie powtarza się żadne nazwisko.
2248:  BFP - Każdy odcinek ma innego scenarzysta.
2250:  BFP - Każdy.
2252:  BFP - Tylko Mike Ostrowski zrobił pierwszy odcinek i współtworzył ostatni razem z Troyem Dangerfieldem.
2259:  BFP - Ale poza tym żadne nazwisko.
2261:  BFP - Czyli poza tym mamy jeszcze siedem nazwisk.
2264:  BFP - i każdy jest przypisany innemu odcinkowi, to jest raczej niespotykane, to znaczy zazwyczaj jakiś showrunner na przykład pisze pierwszy, drugi, trzeci odcinek i potem nie wiem jeszcze dwa ostatnie, tak było w przypadku chociażby sukcesji.
2276:  BFP - Tutaj widać, że jest bardzo duży writers room, ale jednocześnie to
2282:  BFP - przypisuje się autorstwo właściwego scenariusza danego odcinku, co odcinek innej osobie.
2288:  BFP - Może rzucali kostką, słuchaj, albo grali w butelkę, nie?
2292:  BFP - Tak właśnie to wygląda, nie?
2294:  BFP - I aż nie chce mi się wierzyć, że można zachować jakąkolwiek spójność wewnętrzną, nawet nie spójności z książkami i materiałem źródłowym, tylko spójność wewnętrzną serialu, tak bardzo tym szafując, a jednocześnie ile ich tam musi być?
2306:  BFP - Znaczy, po jaką cholerę aż tyle osób ma pisać jeden serial?
2309:  BFP - Może właśnie dlatego taki jest rezultat.
2311:  DS - Nie wiem, trzeba by porozumieć z jakimiś... W dzisiejszy odcinek dostajesz, ty masz gorzej, siadasz i patrzysz i mówisz, Boże, ja mam to jakoś naprawić, przecież to już się w tym nie da nic zrobić.
2319:  KMM - Ale dla... Na tym etapie rzeczywiście jest to ciężkie, to znaczy to jest pewne wyzwanie, już było właśnie w momencie, w którym mamy nowego Wiedźmina, powiedzmy, co z tym fantem zrobić, ale przypominam, że oni doprowadzili do sytuacji...
2332:  KMM - w której wieży Mewy nagle pojawił się pieprzony Menhir.
2337:  KMM - No tego nie jest w stanie nikt uratować, nawet Andrzej Sapkowski by tego nie uratował, choć jak znam Andrzeja Sapkowskiego, pewnie by stwierdził, że to był pijany wit Jarpenazjirgina.
2345:  KMM - Wpadłby Feldmarszałek Duda i powiedziałby rrrr Wamaci, wszyscy byliby zadowoleni i przypieczętowali to śmiechem.
2350:  KMM - Tylko tak sobie coś takiego wyobrażam.
2352:  KMM - Ale to jeszcze ciekawsze.
2352:  GW - Ja w ogóle mam takie poczucie, że tak naprawdę gdyby zaczęto tak robić ten scenariusz, jak teraz przynajmniej, jeżeli chodzi o odniesienie do książki, czyli bardziej jednak się trzymano oryginału i starano się przynajmniej zawrzeć chociażby część dialogów właśnie w pierwszym, drugim sezonie,
2374:  GW - Nie rozpoczęto jakichś dziwnych zabiegów z tymi zasranymi menhirami, które nie wiem, może planują w przyszłości zrobić jeszcze raz reboot aktorskiej wersji po prostu Asterixa i Obelixa i się okaże, że po prostu jest jakiś crossover pomiędzy tymi dwoma uniwersami po drodze.
2389:  GW - No to...
2392:  GW - Myślę, że nie podstawiono by sobie tyle przeszkód i płotek, przez które teraz wszyscy muszą po prostu zapieprzać, jak przez dziwną ścieżkę zdrowia połączoną z kolejną edycją amerykańskiego Ninja, żeby poradzić sobie z tymi wszystkimi zabiegami, jeżeli chodzi o właśnie scenariusz.
2413:  GW - Sami sobie po prostu narobili bidy na początku i teraz próbują wypić to niesmaczne, po prostu rozmieszane, rozmemłane piwo, które sobie naważyli w poprzednich sezonach.
2424:  BFP - Tak, ja podniosę to, co napisał Oskar, nie widzę do jakiego komentarza się odnosił.
2428:  BFP - Oskar Rogowski z napisów końcowych, którego pozdrawiam serdecznie, napisał, sorry, ale lincz scenarzystów i aktorów to nie jest coś, na co mamy prawo, bo jesteśmy wkurzeni.
2439:  BFP - To taki też trochę mały apel, ja widziałem kilka takich komentarzy, niektórych słów nie mogę używać, żeby nie zablokować tego odcinka, ale widziałem kilka takich komentarzy, że wysłać scenarzystów do guagu i tak dalej,
2452:  BFP - jakby rozumiem irytację i frustrację, ale dwie rzeczy.
2455:  BFP - Po pierwsze, to na koniec nie jest tylko cholerny serial, tak?
2459:  BFP - I naprawdę mieszmy
2462:  BFP - Mierzmy słowa, którymi się posługujemy.
2463:  BFP - A druga rzecz jest taka, że to naprawdę nie jest ich wina często.
2467:  KMM - W sensie... Ależ oczywiście, poza tym nie można im życzyć tak źle.
2471:  KMM - Oni już są w znacznie gorszym miejscu, to znaczy są w jednym pomieszczeniu z Loren Fistech.
2476:  KMM - To w zupełności wystarczy jako kara.
2478:  KMM - Ja nigdy za żadne pieniądze bym nie zdecydował się na przypieczętowanie takiej mojej kariery.
2483:  KMM - Absolutnie.
2485:  BFP - Pisze na przykład taki Krzysztof, a czyja wina?
2487:  BFP - Showrunnerki, głównie i producentów.
2490:  BFP - Ludzi, którzy pociągają za sznurki, czyli ludzi, którzy wykładają pieniądze i oczekują konkretnego produktu, ale wraz z tym produktem stawiają pewne wymogi, oczekiwania.
2500:  BFP - Jak wiecie, Netflix ma jakąś politykę i pewną agendę, która jest realizowana, bo widać to na przestrzeni wielu seriali i myślę, że różnie,
2509:  BFP - Twórcy seriali to interpretują i włączają, ale mieliśmy chociażby przykłady włączania wątków LGBT karykaturalne w przypadku tego sezonu, gdzie mieliśmy jedną scenę miłości homoerotycznej, która sprowadzała się właściwie tylko do uprzedmiotowienia jakiejś postaci, która nie miała żadnej osobowości, pojawiała się tylko na moment.
2530:  BFP - Ale wróciła teraz, tak jak w ostatnich odcinkach.
2533:  BFP - Więc dobrze jest spojrzeć na to, kto stoi generalnie.
2537:  BFP - Ale z drugiej strony też naprawdę bym przestrzegał przed z kolei zrzucaniem całej winy na tego mitycznego Netflixa, tak jak się zrzuca winę na mitycznego Disneya.
2547:  BFP - jakaś naprawdę myszka Miki siedziała w specjalnym control roomie i pociągała za wajchy i sterowała tymi wszystkimi filiami, które są, czy to Lucasfilm będzie, czy to będzie Marvel Studios, nie, to tak nie działa biznes, tak nie działa zarządzanie.
2560:  GW - Polecam obejrzeć odcinki South Parka właśnie, w których traktują o tym, jak Disney prowadzi produkcję filmową.
2567:  BFP - Natomiast faktycznie, no wina jest na pewno ze strony tych, którzy są producentami i Lauren Hissrich, jeżeli ktoś miałby zbierać cięgi,
2575:  BFP - to z tych wszystkich nazwisk scenarzystów, które się pojawiają, na pierwszym miejscu powinno być to imię i nazwisko pierwszej pośród pierwszych, czy pierwszej pośród równych, czyli właśnie Lauren Hissrich.
2585:  BFP - To bez wątpienia.
2587:  BFP - Ale czy poszczególnych scenarzystów, którzy piszą te odcinki, no wiecie, każdy z was to pracuje gdzieś na etacie, czy u kogoś wie, jak czasem wygląda praca, kiedy ktoś sobie czegoś zażyczy, czy szef, czy bezpośredni przełożony.
2600:  BFP - No ale tak.
2601:  BFP - Czy klient.
2603:  BFP - Czy klient, tak, o tym też coś mógłbym powiedzieć.
2605:  BFP - Natomiast i tak na koniec dnia
2609:  BFP - To ktoś jest, kogo musimy krytykować za to, co powstaje, a wydaje mi się, że najłatwiej jest krytykować patrząc na to, jak komuś wychodzi coś lepiej.
2616:  BFP - I już dzisiaj pojawiło się kilka razy hasło Dune'a.
2621:  BFP - Ja wiem, Dune'a nie jest serialem, Dune'a jest filmem, ale wiecie co?
2625:  BFP - Była ciekawa dyskusja i wciąż, myślę, trwa i wróci do nas niebawem w listopadzie, kiedy wyjdzie druga część Dune'y, a właściwie druga część pierwszej książki.
2635:  BFP - I tam parę osób pisało i podnosiło, że to jest jednak nudny film.
2641:  BFP - To jest nudny film, że jest przegadany.
2643:  BFP - Kochani, ja teraz słucham... Poczytajcie książkę.
2646:  BFP - Dokładnie tak.
2647:  BFP - Znaczy ja słucham audiobooka, ja jestem absolutnie zachwycony, ale to, co przyjmie papier, tego nie przyjmie ekran w naszym domu, ani tego nie przyjmie ekran kinowy.
2656:  BFP - Absolutnie.
2657:  BFP - Tam w tym filmie jest może jedna setna, może jedna tysięczna dialogów między postaciami, które są w książce.
2663:  BFP - Ale...
2665:  BFP - No, twórcy wiedzieli, co z tym zrobić.
2667:  BFP - Wiedzieli, które dialogi mają znaczenie, które nie.
2670:  BFP - Które podmienić, dlaczego nie zaczynać filmu od rytuału Gom Jabbar.
2675:  BFP - Podejmowali pewne decyzje.
2677:  BFP - Ja robiłem pewne porównania z czasem Pogardy i trochę rozliczałem twórców tego sezonu co do ich słów, że oni rzeczywiście teraz będą się trzymali bardziej książek.
2685:  BFP - I oni...
2686:  BFP - Rzeczywiście trzymają się bardziej książek, tylko właśnie nie tych stron, których powinni.
2690:  BFP - Oni biorą te strony, które mają mniejsze znaczenie.
2694:  KMM - Czytają między wierszami, nie?
2695:  KMM - Biorą tylko to, co białe, a nie tych liter, nie?
2699:  KMM - Tak, więc wszystko się zgadza.
2702:  BFP - To Krzysztof, jak już jesteś w przygłosie,
2706:  BFP - Bo ja staram się tego unikać i ja tego nie będę robił, ale wy w większym stopniu niż ja możecie to zrobić, rozliczać serial za wierność materiałowi źródłowemu, dla mnie to ma mniejsze znaczenie, ale ponownie inaczej oceniamy taki serial, kiedy twórcy sami rzucają w eter hasło, teraz możecie nas sprawdzić, teraz będziemy się tego trzymali bardziej.
2727:  BFP - No to przyjmując rzeczywiście tę miarę wierności materiałowi źródłowemu, co można powiedzieć?
2736:  KMM - Może zacznijmy od tego, że jeżeli rzeczywiście chciano uczynić z czasu pogardych, który nawet swoją drogą nie pojawia się w tytule tego sezonu, przypominam, pojawia się tylko jako easter egg w środku podczas wizji Siri, to należałoby powiedzieć o polityce, prawda?
2753:  KMM - To znaczy o machinacjach różnych, które są między Królestwami Północy.
2757:  KMM - Mamy jedno Królestwo Północy.
2759:  KMM - No to wiecie, to jest trochę tak, jakby zrobić grę o tron i zapytać, no okej, to co w grze o tron było źle?
2765:  KMM - Pomyślmy, jest tylko ród Starków.
2767:  KMM - No nie ukręcisz z tego fabuły, nie ma szans.
2770:  KMM - Nie czujesz w żaden sposób, że Nilfgaard atakuje, jeżeli przedstawiasz to jak ostatni kretyn, pozakadrowo.
2775:  DS - Wyobraźcie sobie, że na przykład jest... Tam jest całe mnóstwo królestw, oni ciągle rzucają nam nazwy jakichś królestw i imiona królów, żebyś wiedział, że tam jest bardzo dużo królestw.
2784:  KMM - No i potem jest tak, jak wiesz, w tej klasyce Tomasza Lisa, jak biedni ludzie mają wiedzieć, o co chodzi, tak?
2790:  KMM - Ja sobie nie wyobrażam dokładnie tak samo, jak sobie nie wyobrażałem przy Rings of Power, jak ludzie mają z jednej strony wiedzieć, że to jest adaptacja, a z drugiej strony przejmować się książkami.
2799:  BFP - Zabawne, że wywipałeś akurat te przestrzenie i było słychać dokładnie, że powiedzieli Rings of Power, ale... To było takie Rings of...
2806:  KMM - Bo ja jestem dokładnie tak jak scenarzyści Wiedźmina, to znaczy biorę tylko to, co jest między słowami.
2812:  KMM - W każdym razie problem jest analogiczny, tak?
2815:  KMM - To znaczy mamy rzucane różne hasła, tutaj są jakieś królestwa, tutaj są jakieś zjawiska, tu są jakieś artefakty, tu przede wszystkim są jakieś imiona postaci, których my kompletnie nie znamy, bo nikt nam ich nie przedstawił.
2826:  KMM - I w tym chaosie informacyjnym człowiek się ma jakoś zorientować, a z drugiej strony nie.
2830:  KMM - Z drugiej strony to jest samodzielny utwór artystyczny, a z trzeciej strony nie, to jest adaptacja.
2833:  KMM - Ja nie mogę takiego dwójmyślenia.
2835:  KMM - Więc jeżeli by rzeczywiście porównywać to, co zostało przedstawione w materiale źródłem, tak na najbardziej elementarnym poziomie, to na najbardziej elementarnym poziomie atak Nilfgaardu powinien być ukazany konkretniej.
2848:  KMM - Na najbardziej elementarnym poziomie zjazd na Tanet powinien zajmować pół tego sezonu, żeby na przykład przetykać, nie wiem, jakimiś retrospekcjami cokolwiek te nudne sceny na pustyni, bo adaptacja jeszcze ma pokazać coś nowego, tak, w stosunku do materiału źródłowego.
2863:  KMM - Akurat sceny na pustyni są najsłabsze z całego czasu Pogardy i trzeba byłoby z tego wyciągnąć wnioski.
2867:  KMM - Ale jeżeli ktoś jest słabszym pisarzem od Andrzeja Sapkowskiego, to nigdy nie będzie w stanie być lepszym pisarzem, domyślę lepszym scenarzystą i niektóre rzeczy, które Sapkowi nie wychodzą,
2878:  KMM - Na przykład Sapkowi kompletnie nigdy nie wychodziło ogarnianie się w geografii.
2882:  KMM - On sam nie wie, gdzie co jest, ponieważ stwierdził, że ja nigdy nie zrobię mapy.
2885:  KMM - W związku z powyższym są różnego rodzaju kartograficzne nieścisłości.
2889:  KMM - Serial powinien to naprostowywać.
2890:  KMM - Jest nieporozumieniem, że ktoś mi pokazuje jakąś scenę, jakąś lokację i nie mówi mi, gdzie to jest.
2895:  KMM - Skąd ja mam wiedzieć, gdzie oni się znaleźli na Skellige?
2897:  KMM - Skąd mam wiedzieć, czy to jest Aretuza, skoro zupełnie się zapomina o tym, że Zjazd Magów nie był w Aretuzie?
