Shōgun | Omówienie odc. 1-3
🔗 https://www.youtube.com/watch?v=4St49k3ZVBE
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

41:  BFP - Dobry wieczór.
1659:  KMM - Ja zrozumiałem, że on był jego sługą albo jakimś… Ja też tak zrozumiałem.
1663:  KMM - Podopiecznym, nie?
1664:  ML - Znaczy, no tak, tak.
1666:  KMM - Basalem nazwijmy.
1667:  KMM - To ja od razu zaznaczę, że…
1670:  KMM - Tu mam brak, jeżeli chodzi o terminologię, natomiast tak zrozumiałem, że po prostu wystąpił, wyszedł przed szereg, jak to mawiamy i w związku z powyższym musiał ponieść karę, ponieważ zaczął się, z tego co pamiętam, chodziło o to, że on chciał bronić honoru swojego pana, a na to bardzo słusznie Toranaga powiedział, ale ja tu jestem gościem, mój honor nie został znieważony, bo on chciał prowadzić tę grę polityczną.
1692:  ML - Dokładnie, to była piękna właśnie dla mnie gra o tron, czy sukcesja, gdzie ten tutaj dwa kroki do przodu.
1697:  KMM - Sukces już nie będzie.
1698:  ML - No tak.
1699:  ML - Gdzie oni wiedzą, że jest full fight na słowa właśnie i te zagrywki polityczne i on się, Tora Naga się oficjalnie nie obraża, oficjalnie nie daje się sprowokować, mówi, że my jesteśmy tutaj wszyscy przyjaciółmi, nic się nie dzieje, a tamten chłop, niestety nie będący obytym graczem, wypala jak ten i przypłaca to.
1718:  BFP - Ale zobaczcie ile tam jest jurnych byczków takich, takich młodych kurwa, którzy piersi do piłki chcą ruszyć.
1724:  GW - To są samurajowie właśnie Toranagi.
1727:  ML - Ale też dzięki nim właśnie Toranaga zajebiście dobrze wybrzmiewa jako ten taki trochę Tywin Lannister, gdzie widać, że on ogarnia, że właśnie on jest absolutnie stoicko opanowany i planujący,
1738:  ML - Fajnie, że jest taki kontrast w tych graczach, że ci bohaterowie są bardzo levelowani.
1744:  KMM - Mistrzowsko też ta rada regencyjna jest przedstawiona, bo zauważcie, że powoli się nam dawkuje informacji, na początku jest wszystko fokalizowane z perspektywy Toranagi, potem dopiero dowiadujemy się, bodaj w drugim odcinku, w przedakcji jest przedstawiona retrospekcja, która ukazuje nam tego,
1767:  KMM - Fełdała, który później podzielił władzę między regentów.
1772:  KMM - No i na sam koniec, to chyba moje ulubione, jak Toranaga wymyśla, co zrobić, żeby Rada Regencyjna nie mogła w ogóle uchwalać jakichkolwiek edyktów.
1780:  KMM - No to jest zapisane, że musi w komplecie przejmować wszystkie uchwały, więc Toranaga po prostu ustępuje z Rady Regencyjnej.
1786:  KMM - Haha, co mi zrobicie?
1788:  BFP - Uciekając z Osaki, bo oni go tak naprawdę uwięzili tam,
1792:  KMM - Zauważcie, że dawno nie było na małym ekranie tego rodzaju inteligentnych zagrywek.
1797:  KMM - Ja się strasznie ucieszyłem, jak to zobaczyłem, bo jeżeli to się dzieje na początku samym, to co dopiero?
1803:  ML - Nie, ale fajne jest to, że wykorzystuje tę biurokrację przeciwko nim, nie?
1805:  ML - Tak.
1806:  ML - Że tutaj właśnie w tej Japonii nie tylko miecze i tak dalej, tylko od razu wchodzi to, że mają jakieś przepisy.
1812:  ML - Nie tylko biurokrację, religię.
1814:  ML - To, że wykorzystuje też religię, to jest... Tak, tak, znaczy religię, żeby ich skłócić, na zasadzie dzieli rządź, a...
1821:  ML - a biurokrację, żeby tymczasowo nie mogli podjąć decyzji.
1824:  ML - No także bardzo fajnie.
1825:  ML - Właśnie fajnie.
1826:  KMM - Tak, religia poddzieli rząd, a biurokracja poddzieli zrzęć.
1831:  KMM - I to wtedy działa wszystko pięknie.
1834:  GW - Z powoli.
1834:  GW - Ale tu jest jeszcze kolejna rzecz, jeszcze mi się tak przypomniała w tym wszystkim, że w książce było tak, że wprowadzano tak naprawdę świat oczami Blackthorna dość długo i ten szok kulturowy był znacznie
1850:  GW - wydłużony, bo o ile dobrze kojarzę, to Toranaga był w jednej piątej książki w ogóle wprowadzany, a tutaj mamy go od razu jako równoległą linię fabularną, co skraca bardzo mocno ten etap, w którym książka była, kurwa, nudna.
1863:  GW - W sensie...
1865:  GW - Jest adaptacja, adaptacja do tego środowiska tam właśnie była budowana tak, że on poznawał od tych takich, właśnie było bardzo mocno to poziomowane, że nauka języka, próba w ogóle zaadaptowania się do środowiska, jakby sposób komunikacji.
1882:  GW - Jedni i drudzy uważali, znaczy on uważał ludzi dookoła za bydlaków i zwierzęta i wzajemnie.
1889:  GW - więc jakby ten problem komunikacyjny był znacznie większy.
1892:  GW - Tutaj widać, że Blackthorn jest bardziej przebiegły i wie, że on musi się dogadać i bardziej się otwiera, bardziej gestykuluje i tak dalej i tak dalej, przez co jest troszeczkę bliższy temu, jak aktualnie ludzie działają, że chcą się dogadać, więc nie wychodzą z tego punktu wyższości.
1911:  GW - W książce do końca tak nie było.
1914:  GW - I też tam Blackthorn był jeszcze bardziej przebiegłą łasicą, że tak powiem, względem tego, jak to jest pokazane w serialu.
1921:  GW - Ale dzięki temu, że pominięto te zabiegi, jest bardzo fajnie skrócone ileś rzeczy, które właśnie by niepotrzebnie rozciągały fabułę.
1932:  GW - Tutaj przechodzimy do mięska znacznie szybciej.
1934:  GW - Ja młasica.
1935:  KMM - To mi się to bardzo podoba, powiem wam, bo myślę, że relacja między Taranago a Blackthornem to jest coś, czym ten serial się wybija na pierdolony pierwszy, bo jest poprowadzona znakomicie i może naiwnie przypominam sobie podobnie prowadzone relacje typu, wiecie, z Ostatniego Samuraja i tak dalej, ale skojarzyło mi się od razu i momentalnie.
1955:  KMM - Ja za dzieciaka kochałem, więc... No ja też, no co poradzę, jest gigantyczny sentyment.
1959:  ML - Boję się odwiedzić teraz, bo za dzieciaka kochałem.
1963:  KMM - No tam nie moglibyśmy mówić nic o adekwatności historycznej, chyba że chcielibyśmy powiedzieć tak arebur, że w odróżnieniu od tego, co jest w Ostatnim Samuraju, to...
1972:  BFP - Ja właśnie chciałem zwrócić uwagę na tę autentyczność realiów historycznych.
1979:  BFP - Troll niekulturalny i Pink Duke w zasadzie w tym samym momencie to napisali, że ta scena, jak Mariko mówi, że Blackthorn powinien się umyć, a on odpowiada, że w sumie jak?
1987:  BFP - Ona oczekuje, że dwa razy w tygodniu ma się umyć?
1989:  BFP - Dostanie czerwonki.
1991:  BFP - A moim zdaniem nie tylko to fajnie pokazuje realia historyczna, ale to pokazuje też, jak bardzo w niektórych aspektach zaawansowaną cywilizacją byli Japończycy.
2001:  BFP - Bo jest także analogiczna scena, kiedy jego ręka jest opatrywana po tym, jak on odnosi obrażenie podczas ataku tej skrytobójczyni.
2008:  BFP - I też patrzy jak na szarlatana i na czarnoksiężnika lekarza, który wie, w jaki sposób zatomować jego krwawienie i w jaki sposób upuścić tą krew i tak dalej i zaszyć jego ranę.
2019:  BFP - Więc bardzo mi się podobają te drobiazgi, ale a propos, mogę przejść teraz do bohaterów razem z wami, bo...
2027:  BFP - Tak ostatnio przesłuchiwałem się Grzegorzowi i Rysławowi, którzy chwilę rozmawiali o tym serialu podczas naszego spotkania comiesięcznego o poleceniach popkulturalnych i jeszcze nie widziałem wtedy żadnego odcinka i tak myślałem, ojej, to może ten Blackthorn tak średnio wypada, że wy mówicie, że głos ma fajny, ten Cosmo Jarvis, ale to tyle.
2045:  BFP - No ja muszę powiedzieć, że dla mnie to jest najlepsza postać w tym serialu na ten moment.
2048:  BFP - Znaczy ten gościu jest magnetyczny.
2051:  BFP - On jest fantastyczny.
2053:  GW - Nie, nie zgadzam się.
2055:  GW - No to proszę.
2056:  GW - Po pierwsze, no to proszę mi tu nie obrażać Hiroyuki Sanady.
2061:  GW - Ale ja nie obrażam, ja niczego nie odbieram mu.
2063:  GW - To jest absolutna świętość, on powinien być wiesz, trzymany w osobnym sejfie, po prostu dawać mu tylko jeździć, żeby miał spacery i tak dalej, żeby tylko mógł zagrać jak najwięcej samurajów do końca życia, ile się da.
2075:  GW - To jest raz.
2076:  GW - Dwa.
2078:  GW - Kosmo Jarvis ma to do siebie, że właśnie bliżej mu znowu postaci książkowej niż Czarusiowi Chamberlainowi, więc nie jest tak bardzo lubialną postacią, ale faktycznie ma ten piękny tembr głosu i charyzmę, która dodaje mu czaru, natomiast ten jego akcent i to, że
2104:  GW - jakby jego arogancja miejscami trochę przeszkadza, mam wrażenie, tylko że z drugiej strony, znowu, to jest tak, że jakby był tak jak w książce, to w ogóle byśmy tego Gnoja nienawidzili.
2118:  GW - Wciąż dla mnie miejscami, nie wiem, sztucznie reaguje na pewne rzeczy może,
2125:  GW - ale to jest też to, że staram się przyjąć zupełnie inną perspektywę, że to jest człowiek osadzony z zupełnie innego świata, wsadzony do innego świata, próbuje się zaadaptować itd.
2136:  GW - Dalej po prostu coś w niektórych scenach mi nie siada, stąd on prowadzi mimo wszystko bardzo dobrze tą rolę, jednakże no, senady mi tutaj nie przebije.
2149:  BFP - No to ja nie mówię, że to są wyścigi, chociaż powiedziałem, że on dla mnie jest kotwicą tego serialu bardziej niż Sanada, bo Sanada jednak jest takim, jest księżycem, który krąży wokół tej planety, jaką jest Cosmo Jarvis, jeżeli chodzi o protagonistę.
2163:  GW - A Cosmo Jarvis to taki budżetowy Tom Hardy, tak.
2167:  ML - Jeszcze mi się kojarzył z tym, co w Upgrade grało jakoś tam.
2170:  BFP - Logan, kurde, Marshall Logan, tak, Marshall Logan Green, tak, tak, tak, to jest budżetowy Tom Hardy, więc to jest... A to jest trzeci brat.
2178:  BFP - To jest ekonomiczny z kolei Marshall Logan Green.
2181:  KMM - Ja przyznam, że jak ktoś napisał na czacie, że Cosmo Jarvis ma spojrzenie zbitego szczeniaka, to ja myślałem, że to jest żart, że chodzi o jakiegoś Cosmo Jarvisa i zacząłem przeglądać swoją bazę.
2192:  KMM - Nie widziałem, że jest to autentyczne imię i nazwisko postaci.
2195:  KMM - Przepraszam od razu.
2196:  KMM - Ja myślę, że on jest zrobiony tutaj na takiego bohatera powieści, którą się kiedyś nazywało Szelmenroman albo powieści pikarejskiej, łotrzykowskiej i trochę pasuje tutaj.
2206:  KMM - To znaczy jest bardzo duża pompa w tym serialu jednak.
2209:  KMM - Ceremoniału jest sporo, dialogi, które są takie stentorowe, wygłaszane na wysokim C. I on tutaj wpada jak taki troll chochlik.
2218:  KMM - czasem rzuci jakimś grubym dowcipem i myślę, że to jest potrzebne i może dlatego Filip twierdzi, że to jest kotwica serialu, choć ja też jestem po stronie Grzegorza w tym zakresie, że jednak Hiroyuki Sanada to jest człowiek, dla którego bym to oglądał.
2231:  KMM - Ja bym oglądał ten serial nawet wtedy, gdyby Hiroyuki Sanada nie wypowiedział ani jednego słowa i gdyby to był serial reżyserowany przez Wes Andersona,
2238:  KMM - w którym Hiroyuki Sanada by cały czas patrzył tylko w kadr na tle symetrycznego tła.
2242:  KMM - Ja bym to oglądał bez żadnego problemu, ponieważ to jest Hiroyuki Sanada.
2247:  KMM - Fajnie byłoby, gdyby miał jakąś pozę samurai'ową, ale niekoniecznie.
2250:  KMM - On po prostu mógłby siedzieć nieruchomo kompletnie.
2253:  ML - Wyobraziłem sobie te kadry.
2255:  ML - Siedzi on i jego ludzie naokoło porozmieszczali, jak takie te małe figurki.
2259:  KMM - I wszyscy się krzątają i usuwają scenę i dawaj dają następną.
2263:  KMM - Jak to Wes Andersona.
2265:  KMM - Natomiast Blackphone, myślę, mnie ujął właśnie przez tą swoją szorstką powierzchowność i ten dowcip, który jest bardzo taki sapkowski.
2273:  KMM - To znaczy, ta postać nie jest jakoś przesadzona, to nie jest humor slapstickowy, przesadnie, tylko dobrze się go słucha, jest to inteligentny, ale grubszy czasem humor.
2284:  KMM - Wiecie o co chodzi.
2285:  KMM - W takich właśnie rewirach
2288:  KMM - Więc to mi się podoba, natomiast zdecydowanie myślę, że jeżeli byśmy mieli tutaj godzić Grzegorza i Filipa, to moglibyśmy powiedzieć, że ten serial się opiera na dwoistości tych postaci i konflikcie pomiędzy nimi.
2300:  KMM - Myślę, że tak jest też konsekwentnie budowany i chyba najbardziej przekonuje mnie do tego scena na statku z nauką pływania.
2308:  BFP - O, jest przepiękne zakończenie trzeciego odcinka właśnie, gdzie on każe mu skakać i skakać i skakać, nurkować.
2315:  BFP - Ale to ja wystąpię jako adwokat na moment pana Blackthorna, granego przez Cosmo Jarvisa i oddam głos Michałowi, żeby rozstrzygnął ten spór.
2326:  ML - Ja jestem po stronie chłopaków, także sorry.
2328:  BFP - Sporem bez schematu żyję, ale to w takim razie spróbuję przedstawić wam moją argumentację.
2337:  BFP - Jak zacząłem oglądać Shoguna, to miałem trochę taką obawę, że Blackthorn będzie nikim innym jak reinterpretacją, oczywiście w innym okresie historycznym, w innej fabule, ale reinterpretacją postaci
2352:  BFP - tego pułkownika, którego grał Tom Cruise w Ostatnim Samuraju.
2356:  BFP - Czyli będzie takim poczciwym, czcigodnym, honorowym człowiekiem, który odnajdzie się w nowej kulturze.
2362:  BFP - Nie, on jest mistrzem knowania.
2365:  BFP - On tu wyruszył z pewną misją.
2367:  BFP - I on jest dla nas zagadką wciąż.
2369:  BFP - My wciąż nie wiemy, czy on na pewno jest nawigatorem, czy może on jest jednak piratem.
2374:  BFP - Czemu on jest tak zdeterminowany?
2377:  BFP - Czy on działa na przykład na życzenie, nie wiem, królowej...
2382:  BFP - I on szuka tutaj sojuszników, co wychodzi w drugim odcinku wyraźnie, że oni szukają sojuszników, bo Anglia jest w konflikcie z Portugalią.
2392:  BFP - Czy może on coś więcej chciałby tutaj osiągnąć?
2394:  BFP - I ta jego taka...
2398:  BFP - niezwykła nachalność wręcz momentami, taka, że on nie chce być gdzieś w tle, że on ryzykuje swoje życie, że wręcz nadstawia karku w momentach, w których nie powinien, każe sądzić, że ten gościu prowadzi swoją własną rozgrywkę i to mi się w nim bardzo podoba, że nie jest ugładzony, że nie jest ugrzeczniony, że nie jest podporządkowany tej nowej kulturze,
2423:  BFP - Tylko tak jak oni traktują go jak barbarzyńcy, to on potrafi patrzeć na nich z góry i traktować ich jak barbarzyńców.
2429:  BFP - Michale?
2430:  ML - Znaczy, Cosmo dla mnie... Ja mam takie mieszane uczucia, także rozumiem tu jakby wszystkie te strony, ponieważ ja zdecydowanie wolę póki co na takiego Hiroyukiego się odmienia, czy nie?
2440:  ML - Hiroyuki Sanade.
2442:  ML - Whatever.
2442:  ML - W każdym razie ci Japończycy, zgodnie z tym, jak tutaj w tej realistycznej konwencji są przedstawiani w swojej kulturze, oni są typowo, że siadamy, nawet jak tam się politycznie kłócą, to nikt tam nie wali pięścią w stół, tylko...
2453:  ML - siedzą w kuckach, oni są wszyscy spokojni, tacy stoicy, więc on jest specjalnie taką rozumiem pod jej decyzję tym zewnętrznym czynnikiem absolutnie przeciwnym temu, więc on jest tym jak ja rantujący, gestykulujący i tak dalej.
2466:  ML - I mam z tym minimalne problemy tylko w tej kwestii, że po tych trzech odcinkach póki co, że widzę te takie narracyjne rączki scenarzysty, który chce go, wiecie,
2478:  ML - jakby z tą ładną dziewczyną, nie wiem jak się nazywa, że tak powiem, ich losy trochę powiązać.
2483:  ML - Mariko.
2484:  ML - Mariko, zbudować trochę ten, to co mówiłeś, jak w ostatnim Samuraju trochę ten taki, że tu będą się poznawać i mam wrażenie, że po tym jak on się zachowuje przez te trzy odcinki, chociaż wykazuje się inteligencją jakąś tam i sprytem i odwagą i przy okazji wykazuje się też tym, że im się przyda, że będzie bardzo użyteczny,
2501:  ML - Ale mam wrażenie, że oni trochę za szybko go polubili.
2503:  ML - Myślę, że oni patrzyli na niego jak na dzikie zwierzę, które im się przyda bardziej.
2506:  BFP - To była taka moja mini... Ale tak jest moim zdaniem.
2509:  BFP - Oni naprawdę cynicznie podchodzą do niego, bo wiedzą, że ma go zagrać.
2511:  GW - Absolutnie tak jest, że on jest tak naprawdę tulem tutaj po prostu.
2515:  ML - Ale nie uważacie, że jednak było trochę takich spojrzeń na koniec tego trzeciego odcinka?
2520:  ML - Ale dlaczego?
2521:  BFP - Dlaczego?
2522:  BFP - On robi dwie rzeczy, które pokazują honor.
2525:  BFP - Honor jest niezwykle ważny w tej kulturze.
2528:  BFP - Pierwsza, zobacz, że on biegnie do kwatery.
2531:  BFP - To jest świetna scena w drugim odcinku.
2532:  BFP - Atak skrytobójczyni.
2534:  BFP - Jak oni się domyślają, że oni chcą zabić Andzina, bo on się zamienił kwaterami z Lordem.
2541:  BFP - I on biegnie do jego kwatery, żeby uratować jego życie.
2545:  BFP - No bo on też zdaje sobie sprawę, że to jest jedyna osoba, która chroni go przed ucięciem łba.
2550:  BFP - To prawda, dokładnie.
2552:  BFP - A potem robi na nim wrażenie, kiedy oni go... Mam jeden potężny kontrargument na to, co powiedziałeś, że oni się z nim zaprzyjaźniają, traktują go do prawdy.
2561:  BFP - To czemu go zostawiają w Osace?
2563:  BFP - Przecież podejmuje decyzję Lord, żeby zostawić go w Osace, bo tego oczekują jezuici.
2570:  BFP - On go odstawia.
2570:  BFP - Sorry, typie polityka, tak?
2572:  BFP - Dokładnie, odstawiają go, a ten mówi nie, nie, nie.
2575:  BFP - Wsiada do swojego statku, traktuje Japończyków, którzy tam są załogą jak niewolników, mówi szybciej, kurwa, szybciej.
2582:  BFP - Okłada tam...
2584:  BFP - cały czas uderza nogą w pokład i szacunek ma Toranagi, że udaje mu się przebić przez tę blokadę, która została założona przez jednego z tych regentów przy porcie, że był bardzo konsekwentny i że razem z nim wypłynął Zosaki.
2600:  GW - Jedyny akt łaski czy też przyjaźni to jest ze strony tego Portugalczyka, który zrobił mu otwarcie, żeby to się nie rozwaliło w skały.
2607:  GW - Ojciec Rodríguez, dokładnie.
2610:  GW - To on się nazywa Ojciec Rodríguez?
2612:  BFP - Tak, Rodríguez.
2614:  GW - Okej, no w każdym razie to jest jedyny faktyczny taki akt przyjaźni na zasadzie, no w sumie ciebie lubię, to nie chcę, żebyś tam rozwalił skały, albo żeby zrobili z ciebie jeżyka na strzały, tak?
2626:  GW - Więc w takim razie tutaj go puścił, ale jeżeli chodzi o relację właśnie Toranagi i Baktorna, no to to jest relacja wzajemnie utylitarna póki co.
2641:  BFP - Przepraszam, ale patrzę na fryzurę Alvito i... Tak, skąd znalazł taki garnek, nie?
2647:  KMM - No to on jest ojcem, bo Rodriguez tutaj też na czatach ludzie korygują, że jest po prostu pilotem, tak samo jak Blackthorn i ma swoją agendę.
2656:  BFP - A ja miałem wrażenie, że w pewnym momencie mówią do niego Father Rodriguez, ale może macie rację?
2660:  ML - Nie, nie, on jest pilotem.
2662:  ML - A okej, to przepraszam.
2663:  ML - On nawet nie z sympatii, tylko też mu oddał, bo tamten wcześniej jego ratował, więc...
2668:  GW - Tak.
2668:  GW - Chciałbyś po prostu, żeby był twoim tatuśkiem, powiedz.
2671:  GW - Swoją drogą, Dayoin.
2672:  GW - Daddy Rodriguez, tak?
2675:  BFP - Zaraz wam powiem coś o tym aktorze.
2677:  BFP - Nie mogłem się doczekać, bo jeszcze jej nie było, aż się pojawi Bene Gesserit w tym serialu.
2680:  BFP - Nie wiem, czy widzicie.
2681:  BFP - Dayoin.
2682:  BFP - Nie wiem, kim ona jest.
2684:  BFP - Żona Taiko, która chyba... Nie mam pewności, że ona się pojawiła w tym serialu, no ale może pojawi się w odpowiednim momencie.
2691:  BFP - W każdym razie... Ja uwielbiam takie opisy.
2694:  BFP - Żona Taiko.
2694:  BFP - Kim jest Taiko?
2695:  BFP - Nie wiem.
2697:  BFP - Taiko to jest ten lord, który zmarł i który zostawił po sobie syna, który jest wychowywany przez Toranagę.
2705:  BFP - Dobrze powiedziałem?
2705:  BFP - Toranagę?
2706:  BFP - Kurczę.
2706:  KMM - W ogóle ludzie mówią, że ona już była w pierwszym odcinku, ale nie wiem gdzie, też nie pamiętam.
2710:  KMM - Może faktycznie, żona Taiko się pojawiła.
2712:  GW - Tak, ja cały czas się produkuję na wyłączonym mikrofonie.
2714:  GW - Ona już była, bo...
2717:  GW - Bo jak pokazywali tego młodego, który ma przejąć stronę, jak już mu broda obrośnie, to wtedy właśnie tam rozmawia z Toranagą, bo ten miał sprawować nad nim opiekę, tam częściowo czego wychowywać, jakoś tak to ujął.
2733:  GW - I tam właśnie jest ta dajoin przy okazji właśnie tej rozmowy.
2737:  GW - I ona właśnie jest w tym prześcieradle tam, tak?
2740:  GW - Właśnie a la Bene Gesserit.
2742:  KMM - Ja w ogóle jeszcze w temacie Black Forna chciałem przeżyć z wami jedną bardzo smutną i bardzo radosną chwilę.
2748:  KMM - Bardzo radosna wiąże się z tym, że Cosmo Jarvis tak naprawdę nazywa się Harrison Cosmo Jarvis i to brzmi troszeczkę lepiej do momentu, w którym poznacie jego trzecie imię, które brzmi Krikorian.
2759:  KMM - Natomiast rzecz, która mnie bardzo zasmuciła jest taka, że Cosmo Jarvis jest moim równolatkiem.
2764:  KMM - Urodził się w 1989 roku, więc ja idę na siłownię.
2765:  KMM - Moim też, kurde, ej.
2770:  GW - Ale swoją drogą, trzy imiona, jedno nazwisko, a wszystko brzmi jak model samochodu.
2775:  BFP - Ale kochani, ja chciałbym zaznaczyć, że on jest armeńskiego pochodzenia.
2779:  BFP - On ma w sobie połowę ormianina.
2782:  ML - Nawet jak pójdziesz na siłowie, to nie zrobisz sobie takiego głosu.
2789:  ML - Chyba, że Fritkin zmartwychwstanie i opęta się.
2793:  BFP - Wiecie, co jest jedną jedyną rzeczą, która zdradza, że jest rzeczywiście piratem?
2796:  BFP - To jest właśnie jego głos.
2801:  BFP - Jak on wrzeszczy, jest ta fantastyczna scena w drugim odcinku jeszcze chyba, jak rusza ten orszak do portu i Toranaga zamienia się miejscami ze swoją żoną tam, to on robi scenę, żeby nie zajrzeli do tej lektyki.
2818:  BFP - I właśnie jak on się wydziera, jak on takiego barbarzyńcę z siebie robi, oj, robi wtedy wyrażenie.
2822:  KMM - Ale to jest przeinteligentny Fortel, to trzeba powiedzieć, prawda, że wykorzystuje to, że wszyscy mają go za kretyna.
2827:  BFP - Tak, żejapet, żeby zrobić raban, to prawda.
2830:  BFP - Ale nie, genialny, to prawda, to jest to, co mówiłeś właśnie o tych fajnych intrygach, które ciekawie są przedstawione i czasem wymagają precyzji i pomyślunku.
2838:  BFP - Zresztą w ogóle Toranagi, Toranaga zdradza w pewnym momencie swoją filozofię,
2844:  BFP - władzy, kiedy rozmawia ze swoim synem, którego na razie mieliśmy dość mało.
2848:  BFP - Ten jego syn to jest Nagakato i mówi synowi, że synu ty chyba nie rozumiesz wciąż, mamy przyjaciół, mamy wrogów, a i tak możesz ufać tylko i wyłącznie sobie.
2859:  BFP - I to tłumaczy mu, kiedy syn konfrontuje go z tym, że Yabushige, który jest moją drugą ulubioną postacią w tym serialu,
2866:  BFP - Jabłuszigę, czyli ten, który zszedł po Rodriguez'a w pierwszym odcinku, wpadł między skały i prawie fale go zabrały.
2874:  BFP - Chciał popełnić sepuku, żeby tylko go fale nie zabrały.
2877:  BFP - A przy okazji ten gościu, który ugotował jednego z załogi Blackthorna, to... No i on właśnie w książce naprawdę zrobił sobie fiestę.
2887:  GW - Aha, z tych ludzi.
2890:  GW - Nie tylko z jednym marynarzem.
2891:  BFP - Okej, no myślę, że scena, w której jeden z żołnierzy na Bushige, ja Bushige przepraszam, oddaje mocz na Blackthorne, nie zapominajmy, może być jakąś wskazówką tego, co się dzieje w tej książce.
2904:  GW - No, akurat to było ciekawiej pokazane w serialu, bo tutaj on faktycznie reaguje na zasadzie, że on nie chce być oszczany przez jakiegoś obcego chłopa i się trochę tam rzuca, więc go przyciskają do podłogi.
2918:  GW - Natomiast w książce jest to chyba, o ile dobrze pamiętam, to było na zasadzie, że on...
2927:  GW - wie, że aktualnie nie ma żadnej w ogóle przewagi, niczego, co może zrobić i lepiej, żeby się nie ruszał, bo to jedyne, co mi uratuje dupę w tym momencie.
2937:  GW - Także tu jest też pokazane to, że ta postać w serialu ma trochę właśnie
2945:  GW - Mniej wyrachowanie jest bardziej emocjonalne i jednocześnie ma swój charakter.
2950:  GW - Właśnie w książce jest bardziej taki, no mówię, taka przebiegła łasica trochę jest bardziej z niego.
2957:  BFP - Okej, to Omi, którego teraz pokazuje młody Omi, który jest lordem Ajiro, to jest ta bodajże wioska, mieścina, do której trafia na początku.
2971:  BFP - Blackthorn jest tym, który oddaje mocz na Blackthorna, a w międzyczasie Karneval Mephisto i Kneel Before Zod napisali śmieszną rzecz odnośnie tej sceny, w której wrzeszczy Blackthorn, żeby odciągnąć ludzi Yoshidy od lektyki.
2983:  BFP - To Karneval Mephisto kisłam przy tym w książce, on tam chyba tańczył czy coś i Kneel Before Zod uzupełnia, w książce Blackthorn udawał obłąkanego, co się udało, ponieważ w Japonii uważano choroby psychiczne
2994:  BFP - za formę błogosławieństwa.
2996:  BFP - Więc żałuję, że tego nie widzę.
2999:  BFP - Że tego nie przedstawili w serialu w ten sposób.
3003:  KMM - W Polsce też dzisiaj się tak uważa, dlatego nie leczymy.
3006:  KMM - I nie ma dotacji na choroby psychiczne w Polsce.
3009:  ML - Krzysztof, boże, jak dramatycznie wszedł.
3013:  KMM - Ale to prawda.
3013:  KMM - Przepraszam, ale wszystkie drogi prowadzą do żywiej edukacji.
3017:  KMM - Koniec imprezy.
3018:  S00 - Party Pooper przyszedł, kurwa.
3021:  KMM - Czy wiecie, no może przynajmniej jak zapuścimy taką informację w gronie ludzi zainteresowanych serialami historycznymi, to się przebije, bo na razie się nigdzie nie przebije.
3029:  KMM - Gdziekolwiek, nie?
3030:  GW - Niech się wieś niesie.
3032:  BFP - Ja zwróciłem uwagę, że ta twarz Ishido, pomimo że nie ma części włosów, z czymś mi się i z kimś mi się kojarzy.
3043:  KMM - Wiem, i to był Ishin Ashina.
3045:  KMM - A nie, zapomniałem, że ty nie grałeś w Sekiro.
3050:  GW - Kolejna dobra okazja, żeby pocisnąć film i powiedzieć, że nie gra w te gry, co powinien.
3054:  BFP - Temu ta maturga wypomniał, mnie wypomniał Sekiro.
3057:  BFP - Aż się dziwię, zaraz jeszcze chwila i powiesz Grzegorzowi, kiedy wyjdzie Baldur's Gate 3.
3061:  BFP - W każdym razie.
3063:  BFP - Ishide gra Takehiro Hira, który grał w jednym z moich ulubionych miniseriali.
3069:  BFP - Zresztą nawet umieściłem na swojej pierwszej liście ulubionych miniseriali.
3072:  BFP - Giri Haji.
3073:  BFP - Powinność, wstyd.
3075:  BFP - Naprawdę bardzo polecam na Netflixie.
3078:  BFP - I właśnie Takehiro Hira grał starszego brata, który przyjeżdża do Londynu w poszukiwaniu swojego schańbionego brata.
3085:  BFP - Kapitalny jest ten aktor.
3086:  BFP - Naprawdę, w ogóle bardzo podoba mi się postać Ishidy.
3089:  BFP - Bo Ishida jest tym, który podporządkował sobie trzech pozostałych członków Rady Regencyjnej i tym, który bezpośrednio traktuje jako antagonistę naszego ulubionego Lorda.
3103:  BFP - Ale widać, że on ma jakiś plan polityczny i widać, że on nie jest jednoznacznie zły.
3109:  BFP - Jest taka sekwencja scen, która bardzo mi się podobała, kiedy on patrzy na swoją zbroję, ale nawet nie miałem pewności, czy to nie jest zbroja szoguna.
3115:  BFP - Kiedy on zaczyna dzień, przychodzą służący, ubierają go, on stempluje, jak biurokrata jest zmęczony tą codziennością, ale wiadomo, że on myśli o scedowaniu władzy w jednym ręku i potem zwołuje pozostałych regentów na radę poza...
3132:  BFP - Poza tym jednym, który jest protagonistą, ale jestem naprawdę bardzo zainteresowany tym, w jaki sposób ta postać zostanie rozwinięta, biorąc pod uwagę, że prawdziwe zło, jak już można było zobaczyć w drugim odcinku, to są jezuici, to są Portugalczycy, to są Europejczycy.
3150:  BFP - I to są, jakby nie patrzeć, chrześcijanie, czy też katolicy.
