Czy podział na literaturę wysoką i masową ma sens? - dyskusja z @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=9sO7jV7tUyA
KMM (Krzysztof M. Maj)
TLM (Tadeusz Lemiesz-Wrocławski)

0:  TLM - Jeszcze puszczam tutaj na Facebooka.
1775:  KMM - I to przesądza o tym, że Tolkien mimo upływu lat w dalszym ciągu zachowuje niesamowitą aktualność w zestawieniu z dziełami, które powstawały w tym samym czasie.
1786:  KMM - Przypomnijmy, to są lata 30., 40., 50. mniej więcej praca Tolkiena nad całym legendarium.
1792:  KMM - I w 60. oczywiście ukazują się cały Władca i reszta.
1796:  KMM - I to zachowuje swoją aktualność nie dlatego, że to zostało napisane w sposób przystępny, bo to już nie jest przystępna literatura, tylko dlatego, że no właśnie, jest tam jeszcze jakaś wartość dodana.
1809:  TLM - To tutaj w takim razie może poprosiłbym o sprecyzowanie, co masz na myśli przez wartość literacką danego dzieła i jaką wagę przydajesz tej wartości literackiej w porównaniu właśnie do tej poczytności czy tej wartości dodanej światotwórstwa.
1830:  TLM - Czym jest według ciebie ta wartość literacka?
1834:  KMM - No powiedzieć.
1835:  KMM - To jest w zależności od tego, z teorii estetycznych się przejmiemy, czy w ogóle będziemy się przejmować estetyką w tradycyjnym ujęciu, czy nie.
1843:  KMM - Ale na pewno nie jest to konsensus krytyków literackich w danym momencie, ponieważ krytycy literacki są najczęściej i w większości przypadków, zwłaszcza w Polsce, służebni wobec jakiejś opcji politycznej.
1855:  KMM - I bardzo często się zdarza tak, to jest przykład anegdotyczny, więc zaznaczam, że nie należy go traktować jako wiążący, ale
1861:  KMM - Jak słyszałem dwóch jurorów w Nike, którzy mówili, ta powieść jest gówniana, no tak, ale jest o uchodźcach, to ją nagrodźmy, to nie miałem zasadniczej wątpliwości co do tego, w jaki sposób wartość literacka jest ustalana.
1872:  KMM - Kuluarowo oczywiście.
1874:  KMM - I jest to pewien niepokój.
1876:  KMM - Ten niepokój oczywiście mogę też potwierdzić nie w sposób nieanegdotyczny, to znaczy patrząc chociażby na to, w jaki sposób wartość literacką ustalano wstecznie do baśni o wężowym sercu Radka Raka, od której w ogóle zaczął się cały mój kanał.
1889:  KMM - Uderzyło mnie mianowicie, że unikano za wszelką cenę użycia słowa fantastyka, tylko używano słowa klechda.
1896:  KMM - I tak samo Kazuo Ishiguro w momencie, w którym dostał Nagrodę Nobla, to mówił, że będzie unikał w wywiadach słowa fantastyka, ponieważ ono się źle kojarzy i to krytykom na całym świecie.
1911:  KMM - Więc krytyka literacka w pewnym sensie nie wyszła spod skrzydeł
1916:  KMM - tradycyjnego New Criticism angloamerykańskiego, a w zasadzie amerykańskiego, ale to się bierze już od tradycji talentu indywidualnego Thomasa Stanisa Eliota w górę.
1925:  KMM - Mianowicie nie wyszła od tej zasady atrybuowania tego, co wartościowe, estetyczne i piękne do bardzo określonego typu literatury, to znaczy literatury realistycznej tworzonej przez białych, heteroseksualnych mężczyzn.
1939:  KMM - I nawiasem mówiąc, jeżeli poczytamy cokolwiek na temat literatury pięknej, podziału literatura wysoka, piękna, klasyczna, popularna, masowa, czy jakkolwiek byśmy używali tych terminów, to współczesne studia bardzo często, znaczy współczesne od lat 70. w górę w Stanach Zjednoczonych.
1957:  KMM - Myśmy przyjęli analizę postkolonialną, genderową i tak dalej 20-30 lat po tym, jak ona się rozwijała w Stanach.
1964:  KMM - wskazywały właśnie na te problemy.
1966:  KMM - To znaczy, że literatura mniejszości narodowych, literatura mniejszości w ogóle jako taka, literatura osób marginalizowanych i wykluczonych nigdy nie trafiała do tego kanonu.
1976:  KMM - Więc ustalenie tej wartości artystycznej jest bardzo trudne.
1979:  KMM - Ja osobiście obstaję przy tym dokładnie tak samo, jak przy ustalaniu prawdy.
1984:  KMM - Uważam, że to powinno być na zasadzie umowy społecznej, koherencyjnie, a niestety to oznacza, że musimy także brać pod uwagę głos ludzi.
1991:  KMM - Więc sytuacja, w której nagroda Nike
1993:  KMM - ma nagrodę, ma wersję przygotowaną przez specjalistów i wersję robioną przez plebs, to znaczy nika od czytelników, właśnie ściśle pokazuje ten problem.
2004:  KMM - Wartość artystyczną, wartość literacką powinno się traktować synergicznie jako głosy krytyków, akademików, ale także czytelników, bo fakt, że coś jest czytane jest istotne, ale nie jest to wartością samą w sobie, bo inaczej mówilibyśmy, że literatura wartościowa to 365 dni blanki lipińskiej, co jest absurdem.
2022:  KMM - Ale takim samym absurdem jest to, że jako literaturę bezwzględnie wartościową nazywa się wszystko to, co napisze np.
2029:  KMM - Olga Tokarczuk, ponieważ nie zawsze jest to rzecz wartościowa, bo nie zawsze jest czytana przez czytelników i im się podoba.
2036:  KMM - I osobiście uważam, że jeżeli czytelnikowi trzeba, tak samo widzowi muzeum, trzeba wytłumaczyć dopiero na czym polega artyzm danego utworu, bo go on nie rozumie, to uważam, że...
2046:  KMM - Cierpi taki utwór artystyczny na wartości, bo właśnie nie ma tego jednego elementu, który sztuka zawsze miała.
2053:  KMM - Sztuka od zarania dziejów ma poruszać emocje.
2056:  KMM - Ona nie jest intelektualistyczna.
2058:  KMM - Racjonalistyczny, intelektualistyczny wymiar sztuki to jest XVIII wiek dopiero.
2062:  KMM - Wcześniej takiej idei w ogóle nie ma.
2065:  KMM - Nie rozpatrywano twórczości Petrarki czy, nie wiem, Gargantu i Panta Gruela w kategoriach wysokie, niskie.
2073:  KMM - Nie.
2074:  KMM - Dzisiaj jak wczytamy się w utwory doby średniowiecza czy renesansu, to jest w nich sprośny humor, który byśmy znaleźli u Kuby Wojewódzkiego.
2081:  KMM - Jednym z najprzedniejszych dowcipów prozaików średniowiecznych z opowieściami kanderberyjskimi na czele jest pierdzenie nad pochodnią.
2090:  TLM - Jak najbardziej.
2092:  TLM - Zgodzę się, że dużo jest tego humoru, również w starożytnych Grekach, w tych sztukach i tak dalej.
2098:  TLM - Natomiast, no dobra, to teraz w takim razie bym się zgodził co do tego, że oczywiście jest, no tutaj, żeby nie wdawać się zbytnio w metafizykę tego zagadnienia, w ontologię w ogóle wartości sztuki, czy piękna i tak dalej, to jak najbardziej mogę się zgodzić na to, że to jest, no, że spojrzymy na to pragmatycznie, konstruktywistycznie po prostu.
2119:  TLM - Natomiast
2120:  TLM - Zapytam w takim razie, jeśli nie przyjmujesz, że konsensus krytyków współczesnych stanowi o tej wartości tego dzieła, zaś konsensus ogółu ludzi już stanowi, to co powiedziałbyś...
2137:  TLM - No tak, plus krytyków.
2139:  TLM - Natomiast co jeśli porównamy to z konsensusem po prostu pokoleń, całych dekad pracy akademickiej, która w jakiś sposób analizuje dane dzieło i odkrywa nowe wątki, intertekstualność, uznaje, jest dobrze poinformowana w sytuowaniu tego dzieła wśród kanonu literatury światowej czy zachodniej.
2164:  TLM - Wydaje mi się, że to jest dużo bardziej rzetelna ocena niż ocena, którą mógłby sobie wyrobić jeden człowiek subiektywnie, gdyż, jak już wspomniałem wcześniej, każdy ma różne gusta, różne zaplecza, różne narzędzia, podejdzie w różny sposób do danego dzieła kultury.
2182:  TLM - Natomiast jeśli spotykamy się z taką ilością po prostu wysiłku intelektualnego dookoła tego dzieła, możemy mieć
2190:  TLM - Może nie pewność, ale możemy założyć, że jest to konsensus zbliżający się do obiektywności tak bardzo, jak można się do niej zbliżyć.
2198:  TLM - W podobny sposób, w jaki na przykład historia, zajmowanie się historią jest też właściwie spekulacją, dobrze poinformowaną spekulacją.
2210:  TLM - Nie można mieć tak naprawdę pewności co do tego, czy dane wydarzenie historyczne się wydarzyło w taki sposób,
2216:  TLM - Natomiast uznajemy to za prawdę, że okej, taka była kolejność i po prostu pragmatycznie wierzymy w to, że tak było.
2223:  TLM - I w ten sam sposób bym uznawał, że dane dzieła się uznaje za te arcydzieła kultury ze względu na ten wieloletni konsensus, zaś te współczesne dzieła mogą być wielkimi dziełami, ale zawsze pozostają pod tym znakiem zapytania.
2238:  KMM - To jest pewne nadużycie z tego względu, że nie jesteś w stanie zmierzyć tego konsensusu tak, jak nie jesteśmy w stanie zmierzyć w tym momencie, tu i teraz, poczytność danego dzieła w sposób, jaki był niedostępny w XIX, XVIII, XVII i wcześniej wieku.
2253:  KMM - Nie są porównywalne te sytuacje i jest bardzo wiele dzieł wybitnych.
2258:  KMM - pod względem na przykład tego, ile poświęcono im studiów różnych, na przykład Życie i myśl jaśnie wielmożnego pana Tristrama Shandy, Lorenza Sterna, które kompletnie nie wchodzą do kanonu literatury światowej, mimo że traktowane są jako bezwzględnie wybitne w co najmniej siedmiu dyscyplinach literaturoznawstwa, o których jestem w stanie pomyśleć.
2278:  KMM - Więc nie jest to prawdą, że do kanonu wchodzą wyłącznie takie utwory.
2281:  KMM - Jest za to prawdą to, że kanon, jak kiedyś przytaczałem w jednym z filmów, nie jest listą, tylko jest narracją.
2287:  KMM - I jest narracją bardzo określonej, wąskiej, co dodajmy, grupy ludzi.
2292:  KMM - To jest ten wątek, do którego się nie odniosłeś, prawda?
2294:  KMM - Ale więc jeszcze go jeszcze raz wybiję, tak?
2295:  KMM - To znaczy białych, heteroseksualnych mężczyzn z bogatych społeczeństw zachodnich.
2299:  KMM - I to jest znaczące.
2300:  KMM - To jest bardzo znaczące, bo inaczej nie mielibyśmy alternatywnych kanonów.
2304:  KMM - I one powstają.
2305:  KMM - Oczywiście, że powstają, tylko że powstają oddolnie.
2307:  KMM - I to jest drugi problem, o którym często się nie wspomina.
2311:  KMM - To znaczy, że to nie jest tak, że ludzie nie mają potrzeby kanonu.
2314:  KMM - Po prostu ten kanon jest negocjowany w innych rejestrach.
2317:  KMM - Jest negocjowany chociażby na grupach facebookowych, gdzie ludzie pytają, sam zresztą dostaję takie pytania, ale jaka jest lista książek, od których powinienem zacząć poznawać jakiś gatunek.
2328:  KMM - Ludzie poszukują tej ekspertyzy osób, które właśnie znają się na literaturze.
2333:  KMM - Problem polega na tym, że te osoby, które znają się na literaturze mają ich w dupie.
2336:  KMM - Nie zawitają na taką grupę facebookową, nie zawitają na Discorda, nie zawitają na konwenty, ponieważ zajęte są tym, żeby odcinać kupony i sowite honoraria za występy na festiwalach, które są prestiżowe.
2351:  KMM - To znaczy osoby, które występują na festiwalu Konrada nie zawitają na konwencie.
2356:  KMM - Bo nie.
2357:  KMM - I pieniądze, które są przekazywane przez Ministerstwo Kultury i Samorządy na takie inicjatywy jak festiwale Konrada, konwenty ominiają.
2364:  KMM - Co jest zabawne, ponieważ na konwenty ludzie przychodzą z własnej wolni, a nie dlatego, że coś się cieszy jakimś prestiżem.
2370:  KMM - Nie mówię oczywiście, że na Konrada przychodzą wyłącznie ludzie, którzy uważają, że to jest prestiżowe wydarzenie.
2375:  KMM - Zmierzam krótko mówiąc do tego, że akurat w tym aspekcie tego wielopokoleniowego transferu prestiżu
2382:  KMM - Mogę powiedzieć, że nie odnajduję takich przesłanek w tekstach naukowych, to znaczy historia literatury nie wykształciłaby na przykład takiej serii, jaka jest w wydawnictwie Uniwersytet klasyka mniej znana, gdyby nie fakt, że właśnie teksty cenione przez historyków literatury i teoretyków literatury nie przedostawały się do głównego kanonu, w którym to bardzo często mamy rzeczy, które są
2407:  KMM - przyjazne politycznie, ale nie mają wybitnej wartości literackiej, jak na przykład proza Żeromskiego, która nie ma wybitnej wartości literackiej i wystarczy przeczytać dowolne eseje na temat prozy Żeromskiego, żeby to przeczytać już to między wierszami, już to wprost.
2420:  KMM - Tu oczywiście zaznaczam im nowsze teksty, tym częściej się to podkreśla.
2426:  KMM - A jeśli już, to nie mówi się o takiej trylogii Nawracanie Judasza Żeromskiego, która jest znakomitym i oryginalnym przykładem powieści modernistycznej, a mówi się częściej o tych tekstach, w których Żeromski tłuk dzieciom do głowy socjalizm.
2441:  KMM - Co jest zabawne, że wciąż dzisiaj tak sobie uświadamiam, że to jest dalej na listach lektur i to tylko pokazuje, jak bardzo płytko są te lektury czytane przez polonistów, że wrócę do przykładu Sferdydurkę, która szydzi ze szkoły, a się w szkole utrzymuje.
2453:  KMM - I te płytkie odczytania, to jest coś, co ja zapamiętałem niestety z wykładów z historii literatury.
2458:  KMM - Pogłębione odczytywania proponowała teoria literatury, czy to, co nazywa zachodnia
2465:  KMM - w zachodniej nomenklaturze się nazywa critical theory, to jest to samo co teoria literatury.
2470:  KMM - I problem polega na tym, że te odczytania nie przedostawały się do tego mainstreamu szkolnego z bardzo prostego powodu, to znaczy szkoła zatrzymała się na myśli strukturalnej lat 70., 80.
2478:  KMM - XX wieku, a w Polsce postmodernizm i nurty interpretacyjne zostały przyswojone po latach 80.
2486:  KMM - XX wieku na taką skalę.
2488:  KMM - Zresztą, żeby nie było i żeby nie było, że zawsze krytykuję polonistykę krakowską, między innymi dzięki krakowskiej polonistyce, ale nie tylko.
2495:  KMM - I wydaje mi się, że tutaj leży pies pogrzebany głównie, że ta nasza metodologia wartościowania utworów literackich jest po prostu przestarzała w dużej mierze.
2506:  KMM - Jeszcze mógłbym do tego dorzucić drugi argument, to znaczy to, że ta praktyka wartościowania, którą uprawiamy, właśnie najczęściej pomija swobodę interpretacyjną, o którą się dopominają właśnie historycy literatury i teoretycy literatury,
2521:  KMM - Tylko narzuca nam pewną wizję rzeczywistości, z którą się możemy zgodzić lub nie i tak się składa i myślę, że tutaj będę wyrazicielem większości, że większość ludzi, która kończy szkołę nie kończy z umiłowaniem do literatury, tylko kończy z przeświadczeniem, wreszcie to jest za mną i wydaje mi się, że to jest niepokojące.
2540:  KMM - Nie mówię tego jako człowiek, który nienawidzi czytania, mówię to jako człowiek, który kochał czytanie zanim poszedł do szkoły.
2545:  KMM - która troszkę próbowała tę miłość w nim zabić, ale się nie udało, szczęśliwie.
2550:  TLM - Ja nie uważałbym tego za alarmujące, jeśli czytanie nie jest dla każdego, tutaj się w pełni zgodzę, jeśli ktoś nie czerpie, nie widzi tej wartości w czytaniu klasyków czy jakiejkolwiek innej literatury, to nie powinien być zmuszony, a nawet nie powinna być wywierana na niego presja, żeby
2566:  TLM - miał ją przeczytać, natomiast w szkole jest to dalej istotny element.
2571:  TLM - Natomiast jeszcze chciałbym szybko powiedzieć coś, co mi tak tkwiło jak ten cierń w twojej wypowiedzi o tym właśnie kanonie, który się składa wyłącznie z tych białych, heteronormatywnych mężczyzn.
2588:  TLM - No to trzeba się zapytać, o którym kanonie mowa.
2591:  TLM - Jeśli kanon polski
2593:  TLM - No to być może, owszem, zgodzę się, natomiast też trzeba zadać sobie pytanie, prawda, czemu tak było?
2601:  TLM - Dlatego, że ci ludzie, ta klasa społeczna dostawała wykształcenie i była po prostu zdolnymi pisarzami przez setki lat już.
2613:  TLM - i z musu przymusu to oni będą tworzyć te wybitne dzieła, a nie kobiety, które będą niepiśmienne, albo ludzie z niższej klasy społecznej, którzy są niepiśmienni itd.
2624:  TLM - Piśmiennictwo w Polsce było na dosyć niskim poziomie przez bardzo wiele lat, więc właśnie musi tak być, że to ten stan arystokratyczny, który składał się, ten wykształcony arystokratyczny, który składał się właśnie z mężczyzn,
2640:  TLM - będzie równocześnie tym zbiorem, który pisał wybitną literaturę, co nijak nie umniejsza tego, że ta literatura będzie dalej wybitna.
2648:  KMM - Muszę ci przerwać, mianowicie widać po twojej wypowiedzi, że odebrałeś taką wykształcenie jak większość Polaków polonistyczne, to znaczy skoncentrowane na poezji, bo to w zasadzie w obrębie poezji zawsze tak było, że była ona zdominowana przez mężczyzn, natomiast literatura właśnie ta, o której ja się upominałbym, kanoniczna,
2666:  KMM - Na przykład proza powieściowa.
2668:  KMM - Prozy nie byłoby, gdyby nie kobiety.
2670:  KMM - Pierwsze utwory prozatorskie w Europie powstały wtedy, kiedy krzyżowcy wyruszyli na wyprawy krzyżowe i na przykład Marie de France pisała tak zwane Les.
2680:  KMM - To były pierwsze, jedne z pierwszych opowieści, które zbierały wątki arturiańskie między innymi.
2684:  KMM - Potem będziemy mieli
2686:  KMM - Powieści, które się pojawiają nie w Wielkiej Brytanii, tylko w Niemczech, na północy Włoch i we Francji, to jest już XIV, XV wiek, to są powieści pisane przez kobiety.
2696:  KMM - Dlaczego o nich nie mówimy?
2697:  KMM - Właśnie dlatego, że kanon był tworzony przez białych, heteroseksualnych mężczyzn.
2703:  KMM - To nie jest prawda.
2704:  KMM - że klasa arystokratyczna była tak zdominowana.
2707:  KMM - Wręcz przeciwnie, na dworach europejskich w średniowieczu to kobiety odpowiadały za krzewienie kultury, to kobiety śpiewały, pisały, zabiegały o to, żeby przybywali, przybywali właśnie ci, którzy śpiewali te chansons de gestes i tak dalej i tak dalej.
2722:  KMM - To było w ich gestii i fakt, że nie dawano im możliwości
2729:  KMM - włączenia w ten obieg publikacyjny był jednym z pierwszych kanonów, który został uformowany.
2735:  KMM - Nie wiemy, zostały utracone te opowieści, nie zostały spisane.
2740:  KMM - To, że one w ogóle zostały spisane, częstokroć jest dziełem przypadku albo tego, że kobieta decydowała się pisać pod męskim pseudonimem.
2748:  KMM - J.K.
2748:  KMM - Rowling w XX wieku.
2750:  KMM - debiutowała i osiągnęła sukces tylko dlatego, że debiutowała pod męskim pseudonimem.
2756:  KMM - Więc to jest bardzo śliski grunt i absolutnie bym nie był tego taki pewien, bo właśnie na studiach literaturoznawczych zajmujemy się bardzo często tym, żeby mówić o tych kanonach, które są supresjonowane, które są wyłączane z tego głównego obiegu.
2770:  KMM - I pamiętajmy, że na Europie świat się nie kończy.
2774:  KMM - Mamy też Afrykę, mamy też Kiny.
2776:  KMM - Nie znamy w ogóle literatury tamtego okresu, więc to jest pewien fantazmat, który sobie wmawiamy, że tak, że w szkołach musimy się nauczyć o klasyce literatury.
2785:  KMM - Ale jakiej klasyce literatury?
2787:  KMM - Podług jakich kryteriów?
2788:  KMM - Rozumiem europejskiej, białej literatury, tak?
2792:  KMM - To znaczy nie interesuje nas literatura powstająca w tym czasie w Chinach.
2796:  TLM - W poprzedniej, kiedy zacząłeś, to myślałem, że ok, skupiamy się w takim razie na tych latach średniowiecznych, które faktycznie mógłbym się zgodzić, że kobiety odgrywały wtedy dużą kulturotwórczą rolę wciąż.
2810:  TLM - Natomiast potem powiedziałeś cykl publikacyjny, że nie mogły się dostać do cyklu publikacyjnego.
2818:  TLM - Obieg wydawniczy.
2822:  TLM - Przed wynalezieniem maszyny drukarskiej, przed rozpowszechnieniem w ogóle słowa pisanej.
2828:  KMM - To Lorenz Stern osobiście iluminował swoją książkę, rysował w niej.
2834:  KMM - Każdy egzemplarz wykonał własnoręcznie.
2836:  KMM - Było 800 egzemplarzy.
2838:  KMM - Ludzie radzili sobie.
2839:  KMM - Obieg wydawniczy to jest oczywiście pewne uproszczenie, ponieważ coś takiego powstaje w zasadzie dopiero w XVIII wieku.
2846:  TLM - No w porządku, natomiast jeśli mówimy o tych wiekach, latach przed prasą drukarską, to wtedy największa część słowa pisanego nie tylko literatury, ale każdego innego gatunku będzie udziałem mnichów.
2861:  TLM - i spisywano w klasztorach.
2863:  TLM - I to jest też pomięcie, które zauważam w twoich filmikach, gdzie mówisz, że zawsze książki były przywilejem najbogatszych i książka jedna kosztowała tyle, co karta graficzna, a wcześniej to jeszcze więcej, tyle co wieś.
2877:  TLM - Natomiast zawsze tutaj mówimy o czasach, gdzie jedyny właściwie pożytek z książek miał Kler, mieli mnisi i oni
2886:  TLM - nie płacili osobiście za te książki, tylko klasztor płacił za te książki i oni kopiowali te książki.
2892:  TLM - No to jest pewne takie przekręcanie narratywy tutaj bym powiedział, dlatego...
2899:  KMM - Wiesz dlaczego nie?
2899:  KMM - Dlatego, że w klasztorze miałeś Biblię Pauperum.
2903:  KMM - I Biblia Pauperum była właśnie odpowiednikiem literatury masowej.
2907:  KMM - Tak samo jak były opowieści wędrownych grajków, karnawały.
2912:  KMM - To wszystko była przestrzeń literatury masowej.
2914:  KMM - To nie jest prawda, że ten podział teraz się jakoś istotnie zmienił.
2922:  KMM - Może terminy, które mamy na to, to są lata 60.
2925:  KMM - XX wieku, ale potrzeba dzielenia ludzi pod łuk tych, którzy byli piśmienni i wykształceni, pod łuk tych, którzy byli niepiśmienni i niewykształceni i nie mieli dostępu do pewnych dzieł kultury, ona się utrzymywała.
2936:  KMM - I w tym sensie mówię o braku dostępu do tego obiegu wydawniczego, jakkolwiek byśmy go nie nazywali.
2942:  KMM - ponieważ nie było to możliwe, jeszcze raz powtórzmy, przez wszystkie wieki do późnego XIX wieku kobiety nie miały dostępu do głównego obiegu wydawniczego.
2952:  KMM - I ten argument jest mi potrzebny tylko po to, żeby pokazać iluzję stojącą za mówieniem o tym, że kanon to jest wyłącznie wybitna literatura.
2961:  KMM - Bo nie.
2962:  KMM - Kanon to jest wyłącznie wybitna literatura pod określonych kryteriów bardzo zawężonej grupy społecznej, opisująca bardzo zawężoną część kultury.
2972:  KMM - Bo właśnie pomijająco te wszystkie rzeczy, które się działy na opodal, prawda, na pograniczu.
2979:  TLM - Stanowczo tutaj się nie zgodzę, jak dla mnie kanon, przynajmniej ten literatury zachodniej, który załóżmy, że znam go najlepiej, bo polską literaturą tutaj nie ukrywam, nie zajmuję się aż tak dużo, ale ta światowa mnie bardziej interesuje.
2992:  TLM - Więc jeśli spojrzymy na kanon literatury zachodniej, to on nosi wszystkie znamiona bycia ocenianiem dzieł w sposób jak najbardziej obiektywny, biorąc pod uwagę wpływowość kulturową tych konkretnych dzieł, jak również ich wartość estetyczną.
3006:  TLM - I dlatego zauważamy, że na przykład jeśli w Europie była dosyć niska reprezentacja osób homoseksualnych,
3013:  TLM - to również będzie dosyć niska reprezentacja osób homoseksualnych wśród tych wybitnych autorów, gdyż nie możemy jakoś powiedzieć, że geje są lepszymi pisarzami z zasady.
3024:  TLM - Dlatego mamy Oscara Wildego czy mamy Platona w kanonie.
3028:  TLM - Nie mamy też samych Europejczyków wbrew pozorom w kanonie literatury zachodniej, bo mamy, no może to nie jest tak szeroko wiadome, mamy Balzaka z Afryki, mamy Gogola o afrykańskich korzeniach,
3040:  TLM - Mamy tego Avicenę, jeśli chodzi o historię filozofii.
3045:  TLM - Mamy wielki wpływ myślicieli perskich i hinduskich.
3050:  TLM - Biblia przecież to jest największe dzieło kanonu zachodniego, a była spisana przez Żydów na Bliskim Wschodzie.
3057:  TLM - Więc tutaj kłóciłbym się stanowczo, że ten kanon zachodni jest tak homogeniczny
3064:  TLM - złożony z samych tych białych, heteronormatywnych mężczyzn.
3067:  TLM - Kobiet też nie brakuje w tym kanonie zachodnim.
3072:  TLM - Siostry Brunte przecież, Emily Dickens, Virginia Woolf, jest dużo kobiet.
3078:  TLM - Może nie tak dużo jak mężczyzn, natomiast nie razi mnie tutaj niesprawiedliwość.
3083:  TLM - To naprawdę byłoby bardzo dziwne, gdyby kanon wyglądał tak jak ty mówisz, ale nie wygląda, jest dosyć różnorodny.
3089:  KMM - Poszedłeś trochę w innym kierunku, to znaczy zacząłeś przebywać trochę falace accidentis, przypadki.
3095:  KMM - Ja mówię o zupełnie innej rzeczy.
3096:  KMM - Ja nie mówię o reprezentacji mniejszości różnych w kanonie.
3100:  KMM - Ja mówię o tym, kto kanon tworzy.
3102:  KMM - Kto tworzy takie pojęcie.
3104:  KMM - Posługujesz się pojęciem kanonu, ale to pojęcie ma swoją historię.
3108:  KMM - Od niego zacząłem.
3109:  KMM - To znaczy pojęcie to zaczyna być wykorzystywane w latach 60.
3113:  KMM - Operuje nim Harold Bloom.
3114:  KMM - To, co nazywasz kanonem literatury światowej, wprowadził Harold Bloom.
3117:  KMM - Swoją drogą jest to w formie listy.
3120:  KMM - Możesz przeczytać tę listę.
3121:  KMM - Nawiasem mówiąc, znajdziesz tam też pisarza fantastycznego, Johna Crowleya, który nigdy nie został w Polsce rozpoznany.
3126:  KMM - Sam tę listę.
3127:  KMM - No więc właśnie.
3128:  KMM - I ta lista, ponieważ ma pieczęć autorską, ja mówię tylko jedną rzecz.
3132:  KMM - Ona jest napisana przez człowieka z określonymi poglądami politycznymi,
3136:  KMM - która nie jest obiektywna, która jest pewną historią literatury z określonej perspektywy.
3141:  KMM - Jak Czesław Miłosz napisał historię literatury polskiej, będąc w Chicago, to była to historia literatury polskiej według Czesława Miłosza.
3149:  KMM - To nie była obiektywna historia literatury polskiej, która proponowała obiektywny kanon.
3153:  KMM - No tak, a kanon Harolda Bluma...
3155:  TLM - nie jest jedynym kanonem, jaki istnieje.
3157:  TLM - Jeśli spojrzymy na kanony innych akademików i je porównamy ze sobą, zauważymy bardzo dużo pola wspólnego.
3162:  TLM - Zależy, ile im się da tych pól do wypełnienia.
3165:  TLM - Jeśli da im się 50, no to będą mieli większy ten rozstrzał, będą mniej homogeniczni w swoich wyborach.
3171:  TLM - Jeśli damy im 100, to jeszcze bardziej, a jeśli damy im 10, no to się oszczędzą do tych najgłośniejszych dziesięciu nazwisk, więc
3178:  TLM - To, że to jest subiektywna lista stworzona przez Harolda Blooma, która nie jest wyssana z palca niejako, tylko jest podparta po prostu latami studiów i zastanawiania się nad tym i z naprawdę głębokim znawstwem tematu.
3193:  TLM - Natomiast jeśli zauważamy pola wspólne w tych kanonach, różnych kanonach literatury, najlepszej literatury zachodniej czy światowej, no to trzeba chyba zacząć myśleć, że coś tu jest do rzeczy i jeśli, no tak jak mówię, nie możemy tutaj mówić o obiektywnej oceny danych dzieł, że są obiektywnie świetne, ale przynajmniej tak intersubiektywnie wartościowa jest ta opinia, że powinniśmy ją brać do wiadomości, wydaje mi się.
3220:  KMM - Tak.
3220:  KMM - Absolutnie.
3220:  KMM - Powinniśmy brać do wiadomości, ale tak nie jest.
3223:  KMM - To znaczy te kanony są używane do tego, żeby ludzi okładać nimi po głowie i pokazywać im, że to jest rzecz wartościowa.
3230:  KMM - Jak tego nie przeczytają, to...
3233:  KMM - To co?
3234:  KMM - To nie są erudytami.
3236:  KMM - To nie są wykształceni.
3237:  KMM - To nie znają kultury swojej.
3239:  KMM - I jeżeli przychodzi osoba obca do tej kultury, to na niej wywiera to presję.
3245:  KMM - Wspomniałeś o Oscarze Wilde.
3247:  KMM - Oscar Wilde pisał powieści homoseksualne, ale nie są one jako takie czytane w szkołach.
3253:  KMM - Ten homoseksualizm jest wycinany z nich z tego względu, że w opracowaniach... W Stanach Zjednoczonych tak.
3261:  KMM - Ale o Stanach Zjednoczonych to nie mówmy.
3264:  KMM - Po pierwsze dlatego, że o Stanach Zjednoczonych w Polsce głównie anegdoty krążą różne na temat tego, jakie to marksistowskie uczelnie są i tak dalej.
3273:  KMM - Więc ja się nawet nie chcę zacząć denerwować na ten temat, bo nasz obraz uczelni amerykańskich jest bardzo daleki od tego, jaki on jest faktycznie.
3281:  KMM - Są one tak niesamowicie heterogeniczne i tak zróżnicowane i tak potwornie klasistowskie,
3286:  KMM - że nawet nie zaczynajmy, bo wtedy będziemy musieli dokonać rozróżnień między szkołami Ivy League, szkołami prywatnymi, szkołami stanowymi.
3294:  KMM - Każda ma inne kanony, każda inaczej do tego podchodzi.
3298:  KMM - Natomiast sam Oscar Wilde jest czytany w polskich szkołach jako lektura nadobowiązkowa i jest właśnie wycinany z niego homoseksualizm, tak samo jak jest wycinany na uniwersytecie, gdzie czytaliśmy Oscara Wilde'a właśnie kompletnie niejako literaturę queerową, więc nie jest prawdą to, co mówisz,
3313:  KMM - że kanon jest heterogeniczny, ponieważ on jest uformowany przez szereg dzieł, które już czytamy od lat tak samo.
3320:  KMM - I one co więcej są politycznie bardzo jednorodne.
3323:  KMM - Takich przypadków jak Virginia Woolf jest naprawdę niewiele w kanonie zachodnim.
3327:  KMM - Nie mówię, że ich nie ma, ale jest ich bardzo niewiele i ogólna historia, jaką ten kanon opowiada,
3332:  KMM - jest historią sukcesów i podbojów cywilizacji zachodniej.
3336:  KMM - Trosk, manieryzmów, rozterek i tak dalej, niesnazek i tak dalej, i tak dalej.
3341:  KMM - Nie dowiemy się przeczytawszy wszystkie te utwory.
