Cyberpunk 2077: jest jak jest VS jak mogło być || Dyskusja Bez/Schematu
🔗 https://www.youtube.com/watch?v=XbH9VgGem-A
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak)

0:  BFP - Znaczy panowie, no powiedzieć, że o Cyberpunk 2077 jest teraz głośno, to nie powiedzieć nic.
1476:  MG - Jednym biznes się kręci, drugim idzie słabo, niektórzy są w tym dobzi, inni są raczej w tym niskobudżetowym odcinku rynku.
1485:  MG - Też jest w tym ogromny potencjał.
1487:  MG - I wreszcie gangi.
1489:  MG - Ta gra ma niesamowity zestaw gangów.
1494:  MG - Demoxes, czarny sen polskiej prawicy, czyli gang mniejszości seksualnych i seksworkerów, którzy się zorganizowali dla samoobrody.
1505:  MG - I można ich spotykać bardzo często przed lokalami, przed domami publicznymi.
1509:  MG - Trzymają też branżę porno, mają w sobie coś trochę w stylu The Deuce, Simona.
1517:  MG - Sixth Street Gang, czyli tacy amerykańscy good old boys, wyglądają trochę jak Tea Party, które przychodzi bronić drugiej poprawki.
1525:  MG - To jest gang, który powstał, żeby chronić uczciwych obywateli przed gangami.
1529:  MG - Sam się zamienił w jeden z najgorszych gangów.
1532:  MG - Mój ukochany gang, czyli Voodoo Boys, to jest hajdańska mafia, która łączy voodoo z kultem technologii.
1541:  MG - I teraz, kiedy mówię wam o tych gangach, jest ich więcej, to aż chciałoby się wejść w sojusz z jednym z nich przeciwko drugiemu gangowi, przyłączyć się do nich, mieć z nim jakąś relację.
1554:  MG - A jedyne, co mamy, to możliwość zastrzelenia ich, rozcięcia ich w pół kataną albo rozjechania samochodem.
1560:  MG - Tak.
1560:  MG - To są jedyne interakcje, na które gra nam pozwala z gangami.
1563:  MG - To jest absolutnie zmarnowany potencjał.
1565:  MG - Ale jeżeli powstanie DLC na temat gangu Tiger Claws,
1570:  MG - czyli takiego przemieszania Jakut ze Striadą.
1572:  MG - Albo jeżeli powstanie mod, czy DLC, gdzie będziemy mogli współpracować z RipperDockami, to będzie zupełnie inna rozmowa.
1580:  MG - Ja po prostu liczę na to, że cyberpunk zamieni się w taki trochę światak Skyrim, że my za 10 lat od dzisiaj będziemy rozmawiali o cyberpunku, dlatego, bo powstaną naprawdę udane mody i naprawdę udane DLC, które powiększą ten świat i pogłębia po prostu.
1595:  KMM - śmieszne.
1596:  KMM - Czyli mówiąc trochę złośliwie, jeżeli chcemy pozytywnie ocenić świat Cyberpunka, musimy ocenić Cyberkabanka 2020, a także DLC, których jeszcze nie ma.
1606:  KMM - Więc to jest pewien problem, prawda?
1609:  KMM - Zgadzamy się wszyscy z tym, że tu jest niesamowicie dużo treści, nieprawdopodobny potencjał, ale jest niestety coś, co anglosasi nazywają void, czyli jest po prostu
1620:  KMM - próżnia fabularna, próżnia narracyjna także, bo to nie to samo, próżnia światotwórcza w tym sensie, że ten świat nie wytwarza się sam, to znaczy on już został wytworzony, ale nie żyje, nie rozwija się, w tym świecie nie ma czasu, on jest zawieszony w bezczasie.
1637:  KMM - Postaci są tak oskryptowane, że krążą wokół tej samej dzielnicy, ja wpadłem parę razy na niewidzialną ścianę, przed którą wszyscy przechodnie zawracali.
1647:  KMM - Samochody krążą w kółko po rondach.
1650:  KMM - To jest oczywiście przykład tego, jak gra została oskryptowana, ale te decyzje przenoszą się dalej.
1655:  KMM - To znaczy nie ma konsekwencji właśnie dlatego, że zastrzelimy chociażby jakiegoś szefa gangu, bo za moment w głównej linii fabularnej on zmartwychwstaje i daje nam dalej questy.
1665:  KMM - To był mój przypadek.
1666:  KMM - Więc ten brak konsekwencji i brak poczucia jedności ze światem sprawia, że właśnie on jest tak trochę zawieszony między tymi dwoma porządkami.
1674:  BFP - Ja będę bronił tego tytułu, jeżeli chodzi o warstwę fabularną.
1679:  BFP - Dlatego, że mimo, że jestem jedynym z naszego grona, który jeszcze nie ukończył gry, to miałem pośród wszystkich moich zarzutów, a jak już wiecie, największy to jest to, że poszli w szerokość i w ilość, a nie w głębie i w jakość.
1693:  BFP - To jest to, że wydawało mi się, że nie trafię na takie questy, na takie zadania, takie małe, zamknięte historie, które uwielbiam w grach, jakie oferował Wiedźmin 3 na każdym kroku.
1704:  BFP - I Marcin mówił mi, uspokajam cię, spokojnie, poczekaj na quest List Jonasza, poczekaj na quest Judy i tak dalej, i tak dalej.
1713:  BFP - I rzeczywiście, miał rację, trafiłem na te questy, tylko ciężko było je odsiać od różnych innych questów, które są banalne, bo jest wiele questów zbudowanych na następującym silniku, czy też schemacie.
1724:  BFP - Zinfiltruj, ukradnij, zabij albo ochraniaj.
1729:  BFP - I to jest kopiuj w klej.
1730:  BFP - To jest taki niebezpieczny krok w stronę Dragon Age Inquisition od Bioware'u i Electronic Arts, czy też od nieprawdopodobnie rozdmuchanych wielkością gier typu Assassin's Creed, które osobiście lubię, ale Valhalla czy Odyssey są po prostu przeładowane takimi
1748:  BFP - Rzeczami typu kopiuj wklej, kopiuj wklej.
1750:  BFP - Tutaj mam jakiś klub, mam jakiś magazyn należący do tego gangu i mam tam wejść i coś wykraść albo zinfiltrować i zawsze muszę wyciągnąć katanę albo karabin, albo muszę się spróbować zagrać, ale hakować mogę niewiele, nie mogę się przebrać, nie mogę talk my way in, czyli nie mogę wkupić się tam po prostu dając jednego z nich, to jest to o czym mówiliśmy przed chwilą.
1770:  BFP - Natomiast
1771:  BFP - Siłą rzeczy i tak te questy na koniec są do siebie bardzo podobne, mówię o tych aktywnościach, ale wciąż i tego żałuję, że w jakiś sposób nie wyróżniono tych questów chociażby wizualnie na mapie.
1783:  BFP - Żeby trafiać na te, które są wartościowe i jest ich sporo, to jest właśnie ten list Jonasza, to są wszystkie questy Judy, to są wszystkie wyborne questy Della Mainne.
1794:  BFP - które trafią na kolejny i kolejny samochód z kolejną osobowością.
1798:  BFP - To są te momenty, gdzie naprawdę dobrzy pisarze mogą się wykazać.
1802:  BFP - Aha, no i przepraszam, główny wątek fabularny jest naprawdę bardzo dobry.
1808:  BFP - Koncept jest świetny.
1809:  BFP - Takie postaci jak, Marcin się uśmiechnie, Takemura, który jest moją ulubioną postacią w grze Bogdaniego Silverhanda.
1816:  BFP - Sposób, w jaki zagrano te postacie, to jak nawet jakieś drobne dialogi z takiemurą na dachu wychodzą, czy komentarze, które rzuca Johnny Silverhand, sama Judy, Panam, Jackie Wells, to są naprawdę świetne postaci umieszczone w ciekawym świecie i ja tego będę bronił, tylko one cierpią na tym nadmiarze, że jest tyle rzeczy, które odciąga moją uwagę, że jest tyle niepotrzebnego contentu,
1838:  BFP - który powstaje, no bo przecież jak w Red Dead Redemption można polować na jelenie i łowić ryby, to czemu my tu nie możemy wrzucić sporo aktywności?
1845:  BFP - Dzieje się przez ten, co pojedź tam i uratuj ludzi.
1848:  BFP - Albo zabij kogoś, albo coś ukradnij.
1850:  BFP - I to jest właśnie to dziwne rozedrganie, w którym utknęła ta gra ponownie.
1854:  BFP - Ono wraca, które sprawia, że to co fabularnie jest świetne, nie zostaje skanalizowane.
1859:  BFP - Tylko cały czas mam inne rzeczy, które odciągają mnie od tego, żeby się na to skupić.
1864:  BFP - A zauważcie, że gdyby to nie była silnie skupiona na fabule gra, to i tak powinien mieć bardzo mocny ten komponent, możesz robić co chcesz.
1871:  BFP - A nie możesz tak naprawdę robić co chcesz, bo masz tą potiomkinowską wioskę.
1876:  MG - Nie, skorridor shooter w pewnym sensie.
1878:  MG - Natomiast jeżeli chodzi o fabułę, to
1885:  MG - Jedna rzecz in plus, jedna in minus.
1886:  MG - In plus to jest naprawdę character driven story.
1889:  MG - Chcesz wiedzieć, co się będzie działo dalej z tymi postaciami.
1893:  MG - Judy jest znakomicie napisaną postacią.
1896:  MG - River, który ma wydawałoby się prosty wątek dobrego gliny na złym posterunku, takiego serpiko, jest świetnie napisaną postacią.
1906:  MG - Nawet takie postaci, które pobłyskują na 3-4 quest, jak właśnie Takemura.
1910:  MG - Wydawałoby się, że to jest stokowa postać, taki korporacyjny samuraj, ale poznajemy go nie tylko w toku operacji typu wpadnijmy do doków i wystrzelajmy wszystkich, którzy tam są,
1925:  MG - ale poznajemy go w trakcie takiej sceny, gdzie razem z bohaterem musi poczekać kilka godzin i zaczynają naturalnie rozmawiać o tym, skąd są, o swoich rodzinach, o swojej przeszłości.
1936:  BFP - SMS-y o takie mury są złote.
1937:  MG - Dostajemy SMS-y o takie mury,
1941:  MG - Nie może znaleźć w Night City nic dobrego do jedzenia, on musi jeść japońskie potrawy, więc idzie do knajpy z sushi i oczywiście jest fatalna, idzie do knajpy z ramenem czy czymkolwiek, jest fatalna i możemy go trollować, możemy mu pisać to idź na pizzę.
1958:  MG - I to jest rzadki wątek RPG-owy, ale on jest świetny.
1963:  MG - Jeżeli mamy bardzo wysoki wskaźnik kul, to jest wskaźnik, który pozwala nam zachowywać zimną krew, to dostajemy świetne opcje dialogowe.
1971:  MG - I jest na przykład moment, w którym Takemura umawia się z nami na moście i możemy podejść do niego i powiedzieć, Goro,
1979:  MG - To, że straciłeś pracę i straciłeś wszystko w życiu, nie znaczy, że życie nie ma sensu.
1983:  MG - Nie musisz skakać, porozmawiaj ze mną o tym.
1986:  MG - Jest mnóstwo fajnych tego typu opcji, na przykład przy wymaksowanym cool.
1993:  MG - Tylko dobrze by było, gdyby to było robione z większą konsekwencją i gdyby to naprawdę pozwalało na imersję.
2001:  MG - Natomiast co bym powiedział in minus, jeśli chodzi o fabułę.
2005:  MG - Wyobraźcie sobie, że cyberpunka zrobiłby obsydian.
2010:  MG - Ci ludzie robiliby wszystko, żeby bawić się konwencją.
2014:  MG - żeby nie brać takich typowych trop cyberpunkowych, tylko żeby zawsze odwrócić, zmienić, zadać sobie pytanie, co możemy zrobić inaczej.
2022:  MG - Natomiast CD Projekt Red jest niesamowicie wierne materiałowi źródłowemu, które dostało i jest wierne wszystkim oczywistym stereotypom cyberpunkowym i to wypada słabo.
2037:  MG - To znaczy,
2041:  MG - Gdyby udało im się choć trochę tym zamieszać, to ja bym wtedy nie miał poczucia, że to jest aż tak odtwórcze.
2048:  MG - A to jest odtwórcze do tego stopnia, że jeśli ktoś czytał Neuromancera, to będzie widział całe wątki fabularne.
2055:  BFP - A zauważmy, że akcja toczy się w mieście, które się kurwa nazywa Night City.
2060:  BFP - Nocne miasto.
2060:  BFP - Znaczy czego oczekiwać od tego...
2063:  MG - I powiem wam więcej.
2065:  MG - Nazwa Night City pada w neuromancerze jako swego rodzaju pseudonim miasta Chiba City, w którym toczy się akcja.
2073:  MG - Jak to są takie drobne rzeczy?
2074:  MG - Na przykład to, że giniemy i jest napis Flatlined.
2078:  MG - Flatlined to jest w slangu postaci z New Romancera śmierć.
2083:  MG - I William Gibson to podłapał... Netrunnerzy.
2087:  MG - William Gibson to podłapał z socjolektu motocyklistów kanadyjskich, którzy mówili Flatlined, o kimś kto miał wypadek na motorze i zginął.
2094:  MG - To jest świetne, ale nie... Umówiliśmy się, że nie spojlujemy, ale naprawdę centralny wątek w grze jest wyjęty z powieści i zacytowany.
2107:  MG - Oczekiwalibyśmy czegoś więcej w 2020 roku niż kopiowanie wątków z powieści wydanych w latach 80.
2112:  BFP - Która nazywa się Cyberpunk 2020.
2115:  BFP - Ze świata.
2116:  BFP - Bo oczywiście jest tu miks, tak jak mówisz, faktycznie takich cyberpunkowych tekstów kultury.
2122:  KMM - Ja tu od razu ad vocem muszę coś powiedzieć, to znaczy ten wątek, te wątki wszystkie w zasadzie, które wymieniliście, Judy Alvarez, Rivera, wątek główny oczywiście, wątek samego Johnny'ego Sylvanhanda, one tak dalece odstają od wszystkiego innego, co znajduje się w grze, że ja przez cały czas miałem absolutne i niezłomne wrażenie, że to jest wątek główny.
2145:  KMM - To znaczy te linie fabularne mi się nie rozwarstwiały.
2148:  KMM - One mi tworzyły taką synergiczną całość, która sprawiała, że się cieszyłem grą.
2153:  KMM - I to był ten moment, kiedy włączałem nagrywanie.
2156:  KMM - I stałem się uwiecznić każdą z tych chwil.
2159:  KMM - To był moment, kiedy robiłem screenshoty właśnie ze złośliwych rozmówek z Takemurą.
2163:  KMM - Do dzisiaj pamiętam, jak sobie nie radził z wpisaniem czegoś w odpowiedniku tamecznym Google'a i wysyłał to komunikatorem.
2170:  KMM - Przepiękna sytuacja.
2171:  KMM - To są takie drobne...
2173:  KMM - fragmenty, kawałki fabuły, które sprawiają, że ta historia żyje.
2177:  KMM - Ale właśnie ta historia, która żyje, jakkolwiek by nie była schematyczna pod pewnymi względami oczywiście, jednak bardzo odstaje od tego wszystkiego, co w grze jest poza, a zwróćmy na to uwagę, że tego w grze jest bardzo dużo, jest znacznie więcej.
2192:  KMM - Dzisiaj czytałem artykuł w serwisie, który specjalizuje się w badaniu schematyczności questów i wyszło im, że 92% wszystkich questów i z głównej linii, z pobocznych i samych questów emergentnych w otwartym świecie nie ma żadnego wpływu na zakończenie gry.
2210:  KMM - 92%, strasznie dużo.
2211:  KMM - I sam jak starałem się testować różne momenty, pamiętam właśnie to, co przywołał przed sekundą Marcin, ten moment fabularny, wydaje mi się, że mówimy o tym samym, kiedy wydawało się, że popełniliśmy błąd zabijając jakąś osobę.
2226:  KMM - Ja zloadowałem wcześniejszy stan gry, żeby jej nie zabić, żeby poprawić relację z postacią, z którą chciałem mieć bardzo dobre relacje.
2235:  KMM - Po czym się okazało, że ona na to zareagowała negatywnie.
2239:  KMM - I starałem się zrozumieć te motywacje i nie umiałem ich zrozumieć, więc Cyberpunk jest grą paradoksalną, to znaczy z jednej strony oferuje detale, które urzekają, jak ten moment, który ja uwielbiam przytaczać jedzenia klopsików z szaszłyku, które znikają jeden po drugim, a nie tak jak we wszystkich grach, to znaczy podnosimy cały szaszłyk cały czas i to jest piękny detal.
2259:  KMM - Pięknym detalem jest to, że każda wlepka w grze, na każdej wiacie jest namalowana od zera przez level designera, że wnętrza są zrobione ręcznie, to widać.
2270:  KMM - Są piękne detale, ale one nie tworzą synergicznej całości.
2274:  KMM - Tak samo jak ten piękny, dopracowany wątek główny i te quest line'y w zasadzie nie tworzą synergicznej całości z repetytywnymi, nudnymi Ubisoftowymi questami typu podaj przymieść, pozamiataj, Fedexami, escort questami i innymi.
2289:  BFP - Zacząłeś mówić o czymś, do czego chciałem już teraz przejść, czyli troszeczkę przejść przez pracę, która powinna zostać doceniona, ale niestety zostaje przykryta przez kontrowersję.
2299:  BFP - Odchodzimy powoli od tego, co jest uznaniowe i możemy mieć swoje opinie, a przechodzimy do tego, co jest po prostu jakimś faktem, jak sytuacja CD Projekt Red, ale najpierw jeszcze właśnie o tej pracy artystów, czyli powiedziałbym technikalia, bo mówiłem o pracy artystów,
2316:  BFP - scenarzystów i pisarzy, która jest naprawdę dobra, jeżeli uda się ją odsączyć, odfiltrować od tego contentu kopii w klej.
2325:  BFP - Natomiast wizualia są dość niezwykłe.
2329:  BFP - Ja nie uważam, że to jest najpiękniejsza gra na rynku.
2331:  BFP - Ja uważam, że Observer jest ładniejszy.
2334:  BFP - w tej nowej wersji.
2335:  BFP - Uważam, że production design w Observerze jest jeszcze lepszy, ale ilość pracy, to o czym mówisz Krzysztof, to że jest art w samej grze, że są plakaty, że są wszelkiego rodzaju no nawet
2352:  BFP - Okładki winyli, na których widzimy podobiznę Johnny'ego Silverhanda, tego typu rzeczy.
2356:  BFP - I wreszcie wchodzimy tu też w sam soundtrack.
2359:  BFP - Ja miałem zajęcia z Marcinem Przybyłowicz, który jest w ogóle inżynierem dźwięku, a jest jednocześnie też kompozytorem.
2374:  BFP - No jego muza, jego autorstwo, chociaż on, przepraszam, on jest jednym z trzech kompozytorów, który tworzył muzę do tej gry, no po prostu rozwala.
2381:  BFP - No jak wchodzą motywy podczas walki, które są takim ciężkim vapor wave'em, synth wave'em połączonym z brutalnym noise'em i techno, to jest coś niesamowitego.
2391:  BFP - To naprawdę wypada nieźle i to, że zaangażowano takie gwiazdy jak Run the Jewels chociażby do tego, żeby
2396:  BFP - nagrać kawałki, to wypada naprawdę fajnie i nie spodziewałem się, że trafię na stację radiową cyberpunkową, która gra muzykę jazzową.
2404:  BFP - Jest tam parę dobrych kawałków jazzowych, to robi na mnie duże wrażenie.
2408:  BFP - Myślę, że bardzo wielu graczy się tym nie nacieszy, bo nie spodziewało się, że to jest gra typu GTA, gdzie spędzą bardzo dużo czasu w tym świecie, tylko odbębnią po prostu questy, no bo nie została założona jako zabawa w emergentność, tak jak już mówiliśmy.
2421:  BFP - Natomiast jest to masa, masa znakomitej pracy i to da się docenić na dobrym sprzęcie.
2427:  BFP - Ale Marcin, pora żebyś powiedział, jak ty odbierasz tę grę na PS4?
2433:  MG - Z dużym wysiłkiem.
2437:  MG - To znaczy, do momentu, kiedy nie pojawiły się obydwa patche, łącznie z tym, który pojawił się całkiem niedawno, czyli dwa razy po 20 giga, trzeba wziąć w lew dwa razy po 20 giga, żeby gra faktycznie zaczęła działać z grubsza bez problemu.
2453:  MG - Bo wcześniej był jeden problem fundamentalny, gra się wieszała.
2457:  MG - Potrafiła się zawiesić dwa razy w ciągu jednej godziny.
2460:  MG - No i mogę to rytualnie potępiać.
2462:  MG - Oczywiście coś, co się kupiło w sklepie nie ma prawa nie działać w taki sposób.
2467:  MG - Muszę przyznać, że po tych dwóch paczach ten problem zniknął.
2470:  MG - Nadal zdarzają się różnego rodzaju wpadki, natomiast dla mnie one są overblown.
2477:  MG - To znaczy odnoszę wrażenie, że ludzie z dużą rozkoszą robią te kompilacje na YouTubie, gdzie widać jak bardzo
2488:  MG - Gra może się rozlecieć w rękach, jak tekstury mogą się nie renderować itd.
2492:  MG - Ale naprawdę w moim playthrough ja nie widziałem tych rzeczy, które potem są na YouTubie.
2497:  MG - Więc myślę, że ludzie po prostu wybierają the worst of.
2500:  MG - Cyberpunki się nad tym pastwią.
2504:  MG - ale ja miałem swoje incydenty, które będą jednymi rzeczy, które najlepiej zapamiętam w tej grze i jeden z nich był taki, że zmierzałem na randkę z jedną z postaci, trzeba się naprawdę napocić, żeby ta postać dopuściła nas do swojego wewnętrznego kręgu i zmierzam do jej mieszkania i w sposób absolutnie niewytłumaczalny spadłem pod windę, po prostu otworzyła się niewidzialna zapadnia i znalazłem się pod windą, która była
2531:  MG - Tam naprawdę się coś działo, tam jakaś trawa rosła i tak dalej.
2534:  MG - Oni nawet się przyłożyli do tej sekcji pod windą, tylko nie stworzyli żadnego wyjścia z tamtej sytuacji.
2539:  MG - Ja dosłownie wyglądałem jak dziewczynka z The Ring, patrząc się w górę i mówię, czy ktoś mnie słyszy?
2544:  BFP - A czy możemy wrócić do rozmowy o cyberpunku?
2546:  BFP - Bo to miło było posłuchać tej historii, ale wróćmy do cyberpunka.
2549:  MG - No przepraszam, odpłynąłem trochę.
2553:  MG - I dodam jeszcze, zanim wrócimy do Cyberpunka, że to nastąpiło po tym, jak przez 15 minut customizowałem swoje broni.
2559:  MG - Byłem naprawdę zadowolony z zestawu, który miałem, a save był wcześniej.
2562:  MG - Więc w poprzedniej wersji gra uczyła cię save'ować co chwila, bo za chwilę się zawiesi.
2568:  MG - Albo nie będzie w stanie wyjść z combat mode.
2571:  MG - A to sprawia, że nie możesz nigdy zasejwować i nie masz checkpointu.
2574:  MG - Po prostu combat mode jest wieczny.
2577:  MG - Więc tego rodzaju wpadki oczywiście, że psuły przyjemność i oczywiście, że nie miały prawa mieć miejsca, ale twierdzenie, zwłaszcza po tych paczach, że gra jest niegrywalna, że zasługuje na osobną recenzję, moim zdaniem jest przesadzone.
2598:  BFP - Ja zapytam Ciebie Krzysztof o jakiś zabawny bug, bo na pewno masz coś, ale ja tutaj ad vocem, bo zaraz przejdziemy do wątku CD Projekt Red, oczywiście, że daję Ci wiarę i że odbierasz tę grę lepiej niż być może duża część graczy na PlayStation 4, no ale w tym wypadku ja będę po prostu sugerował się statystyką i faktami zewnętrznymi, znaczy jeżeli Sony
2623:  BFP - W ruchu bez precedensu usuwa ze swojego sklepu grę AAA, na której przecież zarabia wielkie pieniądze, Sony zarabia na tym, no przecież oni biorą prowizję z tego, że to jest w ich sklepie.
2635:  BFP - Usuwa i oferuje zwroty pieniędzy, no to znaczy, że coś jest na rzeczy, znaczy, że ta gra jest w stanie, w którym nie powinna być i być może byśmy byli w stanie przepuścić to w przypadku innych tytułów,
2645:  BFP - ale nie gry, która od 8 lat była tak hype'owana, tak zapowiadana i od tak renomowanego studia, które przyzwyczaja nas do takiej jakości.
2652:  MG - A propos... Wejdę Ci w słowo.
2655:  MG - Rozróżnijmy dwie rzeczy.
2658:  MG - Według mnie bezpośrednią przyczyną decyzji Sony było to, że gra cały czas się wieszała.
2662:  MG - Dosłownie wyskakiwał błąd numer i nie można było grać dalej.
2666:  MG - I druga rzecz, były błędy, które sprawiały, że gry się nie da przejść na początku.
2670:  MG - Na przykład jakaś postać ma do ciebie zadzwonić.
2672:  MG - Bez tego fabuła nie posunie się dalej.
2674:  MG - I ta postać nie zadzwoni do ciebie nigdy.
2678:  MG - Natomiast kiedy wycofano te najgorsze błędy, po pierwszym patchu, pierwszy patch przyszedł szybko, to grę się da spokojnie przejść.
2687:  BFP - Ja przyznam, że mimo, że przez pierwsze około 20 godzin nie miałem w ogóle żadnych bugów.
2692:  BFP - To było dla mnie zaskakujące.
2694:  BFP - Kiedy już się pojawiły, to pojawiły się, że tak powiem, delikatnie na pełnej kurwie.
2699:  BFP - To znaczy, na przykład byłem w stanie przyzwać motor, który gdzieś tam leciał w stratosferę,
2705:  BFP - albo ktoś wykonywał telefon w trakcie wykonywania jakiegoś questu czy jakiejś rozmowy i kompletnie mieszał mi opcje dialogowe, a miałem też rozmowę, której nie mogłem rozłączyć i nie mogłem zejść z motoru, bo nie działał mi klawisz F, bo kiedy wciskałem klawisz F, to po raz setny słyszałem tę samą kwestię dialogową, którą miałem przez rozmowę, więc musiałem zrestartować grę, ale było to do przełknięcia.
2728:  BFP - Krzysztof, możesz powiedzieć coś o bugach, ale chciałbym, żebyś ty powiedział coś o tym, co uważasz
2732:  BFP - odnośnie tej sytuacji, w której znajduje się teraz CD Projekt Red, bo znajduje się w sytuacji kryzysowej.
2739:  BFP - Jakby nie patrzeć, ta wersja, która okazała się na PlayStation 4, pomimo tego co mówi Marcin, jest bardzo negatywnie odbierana i jest traktowana jako duża wtopa.
2748:  BFP - Co Ty o tym sądzisz?
2750:  KMM - No właśnie, jeśli chodzi o bugi, to ja mam niewiele do powiedzenia, bo niestety ja nie mam nigdy żadnych zabawnych bugów.
2755:  KMM - Jeżeli ja napotykam na jakieś bugi, to to są game-breaking bugi, a ja reaguję nerwowo jak grać, to bardzo nerwowo, więc to nie są historie, które mi się z lekkim sercem dzielę, bo mam kilka questów, których się nie da skończyć i mnie ten problem będzie drążył głowę, aż one nie zostaną naprawione.
2770:  KMM - A że to są questy poboczne, to nigdy nie zostaną naprawione.
2773:  BFP - Kogo gał Keanu Reeves na przykład?
2774:  BFP - Tak.
2776:  KMM - I rolem z CD Projekt Red polega na tym głównie i o tym mówią wszyscy.
2781:  KMM - Niestety nie mówi tylko i wyłącznie o tym, no nie wiem, Ninja czy Angry Joe, którzy będą się skupiali na takim bardziej rozrywkowym aspekcie, ale mówi też o tym Jim Sterling, który od lat prowadził kampanię informującą nas o tym, że CD Projekt Red nie jest tym, za kogo się podają.
2800:  KMM - No i powoływało się na dane różne, głównie chodziło o rozmowy z developerami, którzy narzekali na crunching.
2807:  KMM - Potem się okazało, że nie ma żadnego crunchingu, tak mówiono, że nie jest o premie uzależnione od sukcesu gry.
2813:  KMM - Potem się okazało, że tak, tylko po prostu devowie dostają żetony, które sobie mogą później wymieniać jak w kasynie na pieniądze, ale tak, ale to nie jest premia, tylko dostają żetony, czyli płaci się im euro gąbkami, krótko mówiąc, za to, że crunchują.
2828:  KMM - No więc to nie jest dobre.
2831:  KMM - Dużo wyciekło tego rodzaju historii, ale dla mnie
2836:  KMM - Wisienka na torcie.
2837:  KMM - To była sytuacja sprzedwczoraj bodajże, którą raportowały absolutnie wszystkie media i która trafiła też z tego, co pamiętam, do tego dużego artykułu w New York Timesie, ale mogę się mylić.
2847:  KMM - Chodzi mianowicie o sytuację, w której CD Projekt, nie CD Projekt Red, ale grupa CD Projekt wycofała z Good Old Games grę, która ośmieszała przywódcę komunistycznej partii Chin, porównując go z Kubusiem Puchatkiem.
2862:  KMM - I eksplodował internet, to pokazując, że nie dość, że korposi, którzy zarządzali CD Projektem Red doprowadzili do tego, że gra o korposach jest grą, która korpożycie faworyzuje, to jeszcze do tego wszystkiego zrobili to, co wszystkie największe korporacje niestety robią od jakiegoś czasu, to znaczy stwierdzić, że trzeba się podlizać Chińczykom.
2885:  KMM - I to jest najgorsza rzecz, którą CD Projekt Red mógł zrobić i ten 40% w sumie spadek akcji, to nie jest kwestia tego, że wypuścili grę z bugami, bo robił to EA, robił to Blizzard, robił to BioWare, zrobili to sami wielcy.
2899:  KMM - Robiła to Bethesda, to robi od 10 lat.
2902:  KMM - Ale CD Projekt Red
2905:  KMM - Za każdym razem prowadził zupełnie inną narrację.
2909:  KMM - We are rebels, to jest ich motto, które wszędzie mają wyplakatowane studio.
2915:  KMM - Mówili, że są po stronie graczy.
2917:  KMM - Mówili, że to nie my jesteśmy oszustami, nie będzie mikrotransakcji, nie będzie tego rodzaju rzeczy.
2922:  KMM - I tak wiele z tych obietnic, które składali, złożyło się na taki obraz firmy, która jest po stronie gracza przeciwko korposom.
2929:  KMM - I nagle się okazało, że jest odwrotnie.
2932:  KMM - I wydaje mi się, że furia ogarnęła wtedy wszystkich.
2934:  KMM - To znaczy, no gracze są wszędzie.
2937:  KMM - Wśród graczy są akcjonariusze, wśród graczy są inwestorzy, wśród graczy są redaktorzy serwisów, wśród graczy jest też Jimmy Sterling.
2944:  KMM - I wszyscy nagle zaczęli tworzyć narrację zupełnie inną.
2947:  KMM - To znaczy, no zobaczcie, oni pokazali swoje prawdziwe oblicze.
2950:  KMM - I co z tego, że w CD Projektie są zdolni ludzie,
2952:  KMM - skoro nad nimi jest korpo.
2954:  KMM - I krótko mówiąc to, co ja zawsze powtarzam, problem ze światotwórstwem zaczyna się wtedy, kiedy świat przestają projektować architekci, designerzy, a zaczynają projektować księgowi.
2966:  BFP - Krzysztof, ja generalnie uważam, że przesadzasz i spółka Good Old Games to jest coś innego niż CD Projekt Red w tym momencie.
2975:  BFP - I to warto zaznaczyć, więc nie mieszałbym ze sobą tych spraw.
2978:  BFP - Brzmisz trochę jak Johnny Silverhand, to znaczy anarchistycznie punkowe podejście masz do wszystkiego i uważasz, że trzeba zniszczyć każdą formę organizacji, która może mieć rys korporacyjny.
2990:  BFP - I nie uderzałbym w CD Projekt Red z każdej strony.
2993:  BFP - To znaczy, mają zarzuty o Crunch, trzeba im stawić czoła.
2999:  BFP - Mają zarzuty o to, co dzieje się w tym momencie, czyli nieudaną premierę.
3005:  BFP - cyberpunka i temu trzeba stawić czoła, ale ja bym powiedział, że źródło problemu, może nie źródło problemu, ale istota tego problemu jest taka, że CD Projekt Red ukrywał, że tworzył dwie gry.
3019:  BFP - Jedna była bardzo dobra, a druga była niedopracowana kompletnie.
3024:  BFP - I ta jedna gra była promowana i pokazywana wszystkim, a druga była trzymana w piwnicy.
3031:  BFP - I ta trzymana w piwnicy gra to jest ta, która trafiła na konsolę starej generacji.
3037:  BFP - I wysłano intencjonalnie recenzentom tylko wersję pecetową, tą, którą promowano, a graczy do samego końca trzymano w dezinformacji,
3049:  BFP - I dopiero kiedy otrzymali grę, za którą zapłacili pieniądze, tak jak Marcin, okazało się, że to jest inna gra.
3054:  BFP - Inna gra to w takim sensie, że inaczej wygląda miasto, bo jest tam mniej ludzi, bo jest tam mniej samochodów, bo tekstury się doczytują inaczej.
3062:  BFP - Oczywiście mam w głowie głos Marcina, który...
